[00:00] 欢迎收听骨癌,我是圣梦宫,本期节目由Dr.CYJ赞助
[19:38] 然后选出一个
[19:39] 就类似说1000个人
[19:40] 一样在拍一些那种
[19:42] 炫富型内容
[19:42] 或是挑战内容
[19:43] 但只有一个MrBeast
[19:44] 其他人还是有机会
[19:46] 只是规模就是没有办法到这么大
[19:47] 所以要去做整个产业的颠覆
[19:49] 那就很难
[19:50] 就有点类似说
[19:50] 之前有些人会讲说
[19:51] YouTube的一个大量的发展
[19:53] 然后会导致一些什么
[19:54] 电影院倒闭之类的
[19:56] 你最后面发现说
[19:56] 当然会有一些影响
[19:57] 因为在这些新时代的
[19:59] 娱乐大量产出之下
[20:00] 大家的注意力
[20:01] 现在变成一种稀缺的资源
[20:03] 大家都要抢这个注意力
[20:04] 可是你要把任何一个人
[20:05] 轻易的直接扫出去
[20:06] 那是不容易的事情
[20:07] 你可以加进来
[20:09] 然后去强占一些市场
[20:10] 可最终还是要回归到成本
[20:12] 跟做这件事情到底合不合理
[20:13] 去做讨论
[20:14] 所以以SORA的案例来讲
[20:16] 我不会觉得说在存储方面
[20:18] 可能会遇到一些逆风
[20:19] 我还是会觉得说
[20:20] 它是有很好的一个发展可能性
[20:22] 特别是最近看到C-Dance的一些表现
[20:24] 只是虽然我们看到了很多这种嘎吹
[20:27] 然后最后面发现是
[20:28] 这是怎么讲
[20:29] 败续其中的内容
[20:31] 可是我们还是相信
[20:32] 未来的趋势会往这边去做发展
[20:34] 因为有时候你回头看一下
[20:35] 像Will Smith
[20:36] 最早在吃意大利面的影片
[20:38] 三年前
[20:38] 那超恐怖的
[20:40] 会有那种不知道就是
[20:41] 可能恐怖股效应的感觉
[20:42] 那跟现在呢
[20:43] 就像是他真的在吃这个意大利面
[20:45] 可是一样
[20:46] 因为你要去生成这些好玩有趣的东西
[20:48] 你不用考虑版权
[20:49] 没有太大问题
[20:50] 可是当你今天要走到
[20:51] 现实的商业世界
[20:52] 你就要考虑版权炮的问题
[20:53] 所以其实像这些影片生成的平台
[20:55] 我觉得可能只有在中国
[20:57] 会非常蓬勃的发展
[20:58] 在其他地方可能会开始
[21:00] 不知道就走两步退一步之类的
[21:02] 因为你没有办法
[21:03] 随便去拿人家版权的东西去捐
[21:05] 你可能后面就给人家告到脱库
[21:07] 所以你可能一开始出发点是好的
[21:09] 我只是想用AI去创作一些东西
[21:11] 最后面真的给人家告到之后
[21:12] 你就会知道说
[21:13] 你还是要乖乖的去买授权
[21:14] 你还是乖乖的去请演员
[21:15] 因为你不可以随便乱捐人家东西
[21:17] 所以这个是后面会要去面对的一些课题
[21:20] 接下来我们稍微来看一下
[21:21] 马斯克的Terafab
[21:24] 它的目标是1TW
[21:25] 它其实是一个非常大的产能
[21:27] 因为它说目前全世界的一个
[21:29] AI的年产能是大概20GW
[21:31] 然后这个是它需求的2%
[21:33] 它是讲了一个比较耸动的数字
[21:36] 我们这边先跟大家讲一个结论
[21:38] 就是说马斯克的很多讨论
[21:40] 其实是聚焦在成本
[21:42] 只是他不会对外说是成本
[21:44] 他现在一直跟你讲说
[21:45] 他没有产能
[21:46] 但是其实去熟知供应链的人
[21:49] 或是你也不一定要到很熟知
[21:50] 你只要有点消息能力的人
[21:51] 你就大概会知道
[21:52] 那我就直接跟大家分享
[21:53] 简单来讲就是说
[21:54] 因为马斯克整天在撒假
[21:55] 他其实AI5 AI6
[21:56] 他也想在台积电这边做
[21:57] 什么东西过不去
[21:59] 价格
[21:59] 他想要更便宜的价格
[22:01] 那三星要给他更便宜的价格
[22:02] 而且三星愿意去打开他的Fab
[22:04] 让他进来
[22:05] 什么设一个办公室
[22:06] 然后让他可以在里面寻产一些
[22:07] 甚至直接去做一些干预
[22:08] 三星为了要跟台积电竞争
[22:10] 所以他们去给出这样子一个领域
[22:12] 然后外加超级便宜的价格
[22:14] 所以才会导致说
[22:15] 他现在要大量的往三星方面去靠
[22:17] 可是并不是说
[22:19] 产能是非常的缺乏
[22:21] 或是完全的不够
[22:21] 当然现在绝对是缺
[22:22] 可是因为现在是AI的发展大潮
[22:24] 你说未来等到瓶颈过去之后
[22:26] 会不会还是像现在缺成这样子
[22:28] 我觉得一定会慢慢的舒缓
[22:29] 之所以他可能强不赢别人
[22:31] 单纯就是因为他想要把价格
[22:32] 压到更低
[22:33] 你现在如果愿意要付更高的价格
[22:35] 你要去买什么Super Hot Run之类的
[22:37] 你都可以让你的东西
[22:38] 拉到更前面的一个顺位
[22:39] 可是问题就是说
[22:40] 他是没有这样的一个考量
[22:42] 所以我们会知道说
[22:43] 他并不是说什么
[22:44] 他真的没有办法
[22:45] 在一些晶圆厂拿到产能
[22:47] 而是说他想要用一个更便宜的价格
[22:49] 所以如果你看懂
[22:50] 他想要更便宜价格
[22:51] 这样的一个说法的话
[22:53] 你就会明白
[22:53] 他在做的事情就是以前的IDM
[22:55] 其实就是以前的IDM
[22:57] 就是说我自己有产品
[22:58] 同时我又去把晶圆
[23:01] 从最早的设计到生产
[23:03] 跟后面的封装
[23:04] 我都自己包
[23:04] 我直接做一个垂直一条龙
[23:06] 这个跟他想要去搞电动车的做法
[23:08] 其实是一样的
[23:09] 也就是说垂直一条龙
[23:10] 他所有的零件可以自己做
[23:12] 甚至一些SMT打板
[23:14] 他都自己做
[23:14] 所以他只是要把这个东西
[23:16] 再往更前面一步去推
[23:18] 就是我连晶片
[23:19] 我都想要自己去做
[23:20] 先讲我自己的感受
[23:21] 我自己本身算是一个马粉
[23:23] 可是就如同前面我在讲AI一样
[23:25] 我也算是AI粉
[23:26] 可是我很讨厌AI嘎吹的
[23:27] 我也不太喜欢
[23:29] 马斯克那些尬吹的粉丝
[23:31] 我自己已经算是说
[23:31] 我很相信他所有东西
[23:32] 可是你说他可以在什么
[23:34] 一个晶圆生产的基地里面
[23:36] 去抽雪茄跟吃汉堡
[23:38] 一样啦
[23:38] 这个未来都有机会了
[23:40] 好不好
[23:40] 如果你真的要扯未来
[23:41] 你要妈的没有timeline限制的话
[23:43] 你都马是有机会
[23:44] 可是在近期看
[23:44] 就真的看不到这样的一个可能性
[23:46] 所以他最终还是要回归到一些
[23:48] 传统的厂物跟设备
[23:50] 那最后面呢
[23:51] 可能等到他把东西
[23:52] 都可以做出来之后呢
[23:53] 他才有机会进一步的去完成
[23:56] 他想要去实践的
[23:57] 那些看起来像是嘴炮的东西
[23:59] 就是可能需要拉很长的一段时间
[24:00] 那用一个最简单的举例
[24:02] 我们现在直接讲一个
[24:03] 很北南的例子
[24:04] 就是不可能发生
[24:05] 可是大家想这个
[24:06] 就会明白说
[24:07] 为什么我们觉得他讲的东西
[24:08] 有点像是说
[24:08] 以现今来讲
[24:09] 实践的机率比较低
[24:10] 今天就算台积电魏哲佳
[24:12] 突然间跑去跟马斯克讲说
[24:14] 我把两奈米寄转给你
[24:15] 我教你怎么弄
[24:16] 然后你去弄一个晶圆厂
[24:18] 你觉得他有办法在2027 2028
[24:20] 然后生成两奈米
[24:21] 然后正式的量产大量上线
[24:23] 而且量率是OK的
[24:24] 那任何一个在业界的人
[24:26] 应该都会告诉你说
[24:26] 干超难
[24:27] 就不可能
[24:28] 怎么可能
[24:29] 我直接去寄转给你
[24:31] 你要在短时间内
[24:31] 一路拉上来
[24:32] 都很难
[24:33] 都非常困难
[24:34] 你连台积电自己去
[24:36] 他可能都要在那边
[24:36] tune tune tune
[24:37] 一两年以上才可以
[24:38] 何况是你一个外行的
[24:40] 然后你现在
[24:40] 我来帮你去
[24:41] 做这些规划跟建制
[24:43] 你可以直接去做使用
[24:44] 我觉得他都需要花时间
[24:45] 何况是你自己要去做
[24:47] 就你自己做
[24:47] 你一定会花更多时间
[24:49] 就是他一定是会一个
[24:50] 超级delay的方式
[24:52] 呈现在大家面前
[24:53] 可是我们还是不要去忽略
[24:55] 这个人的一个执行力
[24:56] 这就是我可能跟一些
[24:57] 那种极端麻烦不一样的点
[24:58] 就是我是相信说
[25:00] 要不然以前我们都觉得说
[25:01] 那个火箭接回来是超难的事情
[25:02] 它真的就接回来
[25:03] 我相信说你真的要去做
[25:04] 有志者是进程
[25:06] 何况你是马斯克
[25:06] 就你一定会做成
[25:07] 那只是你可能花的时间会很长
[25:09] 而且投入的成本
[25:10] 可能会远高于大家的想象
[25:11] 那一些他觉得是很酷很潮的东西
[25:14] 大家听了也很买单的
[25:15] 像是什么你可以在
[25:16] Fab里面去抽烟吃汉堡
[25:19] 这个我就觉得是不可能的事情
[25:21] 那可能有机会会发生在不知道十二十年以后的未来可是短期内非常困难或者说只能够有限度去做到这件事情因为以现在的这些厂商来讲或者说大家都熟知的
[25:32] TSM或三星
[25:32] 你看谁可以这样子做
[25:34] 为什么他们不这样做
[25:35] 可以吃汉堡
[25:35] 为什么大家不要吃汉堡
[25:36] 就是因为像之前跟大家分享
[25:38] 几公里外的一个牧场
[25:41] 的那种牛屎的围栗
[25:43] 因为可能抽风系统
[25:45] 把它吸进来之类
[25:45] 它都直接造成一些良率的影响
[25:47] 那都是钱
[25:48] 每一个都是钱
[25:49] 那并不是说什么
[25:50] 你今天他妈一个CD片拿起来
[25:52] 你知道我们小时候
[25:52] 那CD片怎么样
[25:53] 放进去读取不到
[25:54] 怎么舔一舔
[25:55] 然后在衣服上擦一擦
[25:56] 吹一吹
[25:56] 卡带拿起来用吹的
[25:57] 它不是这样子
[25:58] 因为以这些晶片来讲
[26:00] 奈米等级的东西
[26:01] 你一个沙子在上面
[26:02] 那像是一个巨石
[26:03] 它是一个山卡在上面一样
[26:05] 所以你知道有一些东西掉在上面
[26:07] 那东西可能就直接是不能用
[26:08] 那良率就会直接产生问题了
[26:09] 所以我会觉得
[26:10] 它这个比较偏向是一个画梦
[26:12] 但我们还是很乐观启程的主因
[26:14] 是因为
[26:14] 这要讲
[26:15] 我心情下是两面
[26:16] 因为我身为特斯拉股东
[26:18] 我觉得这是很恐怖的事
[26:19] 如果你今天是特斯拉
[26:20] SpaceX或是XII的股东
[26:21] 你应该都会觉得有点害怕
[26:23] 为什么
[26:23] 因为你要投入大量的钱
[26:24] 你要搞Fab
[26:25] 你要花超多钱
[26:26] 而且他更疯狂的是
[26:27] 他不是只要做一段
[26:28] 他不是只要做什么
[26:29] 后段封装
[26:30] 或什么前段的weather
[26:32] 不是
[26:32] 他是要做全段
[26:34] 他全部都要
[26:35] 然后他连什么光照
[26:36] 他都要自己弄
[26:36] 而且他全部要整合在一个工厂里面
[26:39] 干的超级疯狂的
[26:40] 这可能等他tune出来
[26:41] 不知道要花多少钱
[26:41] 所以各位股东
[26:43] 可能都要做一个心理准备
[26:44] 就是未来的一阵子
[26:45] 我觉得莫名其妙
[26:46] 有一些钱要花出去
[26:46] 如果真的要搞的话
[26:47] 一些钱要花出去
[26:49] 而且你在短期内
[26:49] 看不到任何的收益
[26:50] 那你就要陪他扛
[26:51] 就要扛这个风险
[26:52] 这个是身为
[26:53] 我自己也是Tesla股东
[26:54] 我也觉得比较害怕的
[26:55] 可是如果我今天是身为
[26:56] 因为我现在有一些
[26:57] 设备 产物
[26:58] 这些光通相关的股票
[26:59] 干的超级爽
[27:00] 就是你看到有一个人
[27:01] 钱多
[27:02] 那梦想又大
[27:03] OK 那你就来吧
[27:04] 你最早
[27:05] 你还是需要一些无尘室
[27:06] 你还是需要一些设备
[27:08] 然后一些产物相关的内容
[27:10] 建厂配水配电配气
[27:12] 没有一个你闪得掉
[27:13] 全部你都要
[27:14] 但以我们对马斯克的认知
[27:16] 虽然我自己家持有
[27:17] 蛮多这样的股票
[27:18] 可是都是以台股为主
[27:19] 他应该会选择去找美股的厂商
[27:21] 所以我觉得如果你要去找厂务
[27:23] 跟配水配电配气的话
[27:24] 要往美股或者说韩股去找
[27:26] 因为他家跟三星的密集度是很高的
[27:29] 所以有可能是三星的少主
[27:31] 会协助他去在可能Austin
[27:33] 或是哪些地方去完成建厂
[27:34] 所以这些东西可能在未来
[27:36] 只要你看到马斯克开始花钱的时候
[27:38] 你可以去做一个对冲
[27:39] 你在特斯拉这边
[27:40] 你可能会受到伤害
[27:41] 可是你去做多这些
[27:42] 产物跟设备相关的
[27:43] 美股跟韩股的话
[27:44] 那应该会获得
[27:45] 蛮不错的一个收益
[27:46] 因为最早
[27:47] 他一定是绕不开这些东西的
[27:48] 他一定还是要去
[27:49] 拉传统一个Fab
[27:51] 需要什么东西
[27:51] 他再拉什么
[27:52] 可能等到
[27:53] 他真的把东西都
[27:54] 建立就位
[27:56] 然后开始可以去
[27:56] 做初步的生产跟量产之后
[27:58] 当然他就可以去讨论说
[28:00] 是不是他可以去搞出一个
[28:02] 不是
[28:02] 半封闭的场合
[28:04] 所以他可以在里面抽雪茄
[28:05] 我还是觉得超问题
[28:05] 你要抽雪茄
[28:06] 你不去外面抽吗
[28:07] 你为什么一定要在室内抽烟呢
[28:09] 所以OK
[28:10] 那他未来是有可能去推这个东西
[28:11] 可是初步你要去在短期内
[28:14] 可以立刻的量产的话
[28:15] 一定就是copy and paste
[28:16] 你不可能一开始去搞一些太多的标
[28:18] 你一定是先copy and paste
[28:19] 那等到你的东西可以出来的时候
[28:21] 你再去做产线的简化
[28:22] 这个我相信是办得到
[28:23] 这就类似说
[28:24] 他一开始去生产汽车的时候
[28:27] 很多人讲说
[28:27] 他那个压住机应该不行
[28:29] 可是最后面就证明
[28:30] 这个压住机是OK的
[28:31] 只是当然他需要一些时间去cook一下
[28:33] 所以他后面可能真的可以想出一套方法
[28:35] 然后去颠覆掉传统FAB
[28:37] 的一个生产的流程
[28:39] 真的有可能有这样一个现象
[28:41] 可是在短期内
[28:42] 你要去施作
[28:43] 然后要获得
[28:43] 就所谓的你讲的
[28:44] 你真的很缺晶片的话
[28:45] 你一定是要先copy and paste
[28:47] 去抄别人的
[28:48] 所以这些传统的Fab
[28:50] 所需要的东西
[28:51] 你一个都赏不掉
[28:52] 传统IDM所需要的东西
[28:53] 你每个都要去做投资
[28:54] 那这可能就会在市场里面
[28:56] 产生一个巨大的机会
[28:57] 因为这个花距不知道
[28:58] 可能要个几百币以上吧
[29:00] 它应该是一个几百币以上的投资
[29:02] 那如果真的按照它
[29:03] 要去做到这个规模的话
[29:05] 甚至会花再多个几倍
[29:07] 那这些东西呢
[29:08] 对于这些产物
[29:09] 或者说配水配电配气
[29:10] 然后跟相关的
[29:12] Wefer的前后端的一些厂商来讲
[29:14] 都是一个超级巨大的一个利多
[29:16] 但是我自己觉得
[29:17] 对于Tesla或是一些
[29:18] 马斯克有提到的
[29:20] 就是要去参与这个
[29:21] TerraFab的旗下的公司来说
[29:22] 它是一个财务上的不确定性
[29:24] 这是可能大家要比较注意的
[29:26] 那最后我们就稍微的
[29:27] 讲一下下下的盘式
[29:28] 就是像今天的台股呢
[29:30] 又出现一大堆股票的涨停
[29:31] 包含我自己也吃了一大堆涨停
[29:33] 所以我其实是很难想象
[29:34] 就是前一天
[29:35] 前一天叫做愁云惨雾
[29:37] 然后到今天突然间
[29:39] 怎么就这么多东西在涨天
[29:41] 但我还是维持我现在的一个规划
[29:43] 就是我相信这个盘位是一个区间盘
[29:45] 就直到可能在中东这边的状况
[29:48] 是稍微的和缓下来
[29:49] 那在过去一阵子发生的事情是
[29:52] 反正川普有去提说
[29:53] 伊朗这边要跟他谈
[29:55] 然后最后面隔了大概一个小时之后
[29:56] 伊朗就直接透过外交单位发出说
[29:58] 我根本没有要谈
[29:59] 那是川普在打嘴炮
[30:00] 可是川普这个打嘴炮
[30:02] 他就非常有效的把油价给打下去
[30:04] 然后在美股跟台股都做出一个很大的反弹
[30:07] 所以代表说
[30:08] 其实里面那个speculation的资金是很多的
[30:10] 那把大家稍微清醒之后呢
[30:12] 我觉得油价应该是慢慢的靠回去100多
[30:14] 然后等到这个可能不确定性稍微的弥平之后
[30:18] 才会有一些新的起色
[30:19] 那在股票方面呢
[30:20] 我还是抱持着一个区间盘的看法
[30:23] 也就是说如果今天东西弹上来
[30:24] 大家要再拼命抢的时候
[30:26] 那如果我今天手上不会太多
[30:28] 我就去卸货一点
[30:29] 那一样就像上期所提到的
[30:31] 出现一个那种大根的黑K
[30:33] 然后大家都开始在逃命的时候
[30:34] 那就是我会去稍微补货的
[30:36] 但是我现在讲的东西
[30:37] 都比较不是偏向说
[30:38] 可能一只标的
[30:39] 怎么我高卖低卖
[30:40] 我不喜欢做这样的事情
[30:41] 那对我的做法
[30:42] 就是太弱流强
[30:43] 今天如果说下去
[30:45] 那有些东西在反弹
[30:46] 没有站回来的
[30:46] 就会被我砍掉
[30:47] 那我加的东西
[30:48] 可能就会去往新的一些题材去补
[30:50] 那目前非常明显
[30:51] 就是在光跟CPU这边
[30:53] 其实特别是像美股这边
[30:54] 开始往大量的光去靠着
[30:56] 我本来是台股光
[30:57] 比较相对少
[30:59] 那美股的光是多的
[31:00] 那可是问题就是说
[31:01] 美股还是有很多是配置在一些透油品
[31:03] 那后来我就把那些东西都换到美股的光通去
[31:06] 就加光通的持股算是还蛮大的
[31:08] 然后在台股这边呢
[31:09] 在上坡的一个回档之后
[31:11] 我自己也是选择把东西往光的方向去靠
[31:13] 然后突然间觉得说
[31:14] 这个股票市场好简单
[31:16] 虽然现在讲的时候感觉要leak flag
[31:17] 马上就要出事情
[31:18] 但没关系因为最近真的有点舒服
[31:19] 反正光的表现是极好
[31:21] 所以就先往光的方向去看
[31:22] 那接着如果说有什么样的新的变化
[31:25] 或是新的题材产生
[31:26] 可能才会慢慢的移动过去
[31:27] 那我觉得惊奇一个
[31:28] 比较新鲜跟热门的话题
[31:30] 是聚焦在CPU这边
[31:32] 因为在推论的应用上
[31:33] 其实CPU的表现是备受关注的
[31:37] 那大家也非常的期待
[31:39] 在CPU后续的一些发展
[31:40] 甚至开始有注意到说
[31:41] 在CPU这边
[31:42] 也会出现一些产能卡住的状况
[31:45] 那像AMD这边
[31:46] 我们已经有注意到
[31:46] 它就把一些产线都包起来了
[31:48] 所以在接下来的一段时间
[31:49] 可能CPU也是有机会
[31:51] 可以带出一波表现的
[31:52] 所以我自己的做法
[31:53] 就是反正以区间的角度去看
[31:54] 那如果说
[31:55] 在每次的震荡里面
[31:56] 比较弱的东西
[31:57] 就会慢慢的被我去做减码跟态数
[31:59] 然后加到一些比较强
[32:00] 或者是往新题材
[32:01] 所以就是either去加强的东西
[32:03] 偶尔新题材的东西
[32:04] 那减的话就是
[32:05] 在这阵子只要是有破底
[32:07] 或者说持续肌肉不振的东西
[32:09] 就会被我去做调节
[32:10] 然后等到可能盘面转变为止
[32:12] 那盘面转变就包含说
[32:14] 包含但不限于
[32:15] 就第一个就战争这边
[32:16] 可能要稍微的告一段落
[32:18] 然后再来就是第二个
[32:19] 有时候我们不会去完全的
[32:21] 很信赖所谓的fundamental的东西
[32:23] 我们去参考一些线图
[32:24] 因为我们相信说市场的资金
[32:25] 是相对有效率的
[32:26] 特别是以大盘的角度来讲
[32:27] 所以如果说大盘开始
[32:29] 持续的去走强的话
[32:30] 其实也可以期待说
[32:31] 可能后面有一些好消息要出来
[32:33] 只是以目前的角度来看
[32:34] 还是属于亚股是比较强
[32:36] 美股还是
[32:36] 虽然川普去做了一根反弹
[32:38] 可是他整体的形态
[32:39] 都还是持续的在盘底里面
[32:41] 所以美股的趋势扭转
[32:42] 可能还没有看到
[32:43] 那亚股还是持续的强大
[32:45] 所以自己以下的心态
[32:46] 也是认为说雅谷的好做程度
[32:48] 是远大于美股
[32:49] 然后之后看有什么样的一个契机
[32:51] 再跟大家讨论跟分享
[32:52] 那大概是这样
[32:53] 好那接下来我们进入Q的部分
[32:54] 第一位林屯乙
[32:56] 猛攻您好
[32:57] 我是林屯乙AKA波老大
[32:58] 那之前听过台通和和说
[33:01] KOK玩会精神涣散
[33:02] 不容易达成目标
[33:03] 那想问猛攻对此的看法是怎么样
[33:07] 那另外想问此机都是拿M762还是AUG
[33:10] 那祝猛攻大全家健康
[33:12] 每年每日都能够顺顺利利
[33:15] 非常感谢
[33:15] 那首先吃鸡的话
[33:17] 这两把硬要选
[33:18] 我最喜欢是AUG
[33:19] 那再来我是比较喜欢拿冲锋枪
[33:20] 我喜欢拿那种小型的冲锋枪
[33:22] 什么MP5之类的
[33:23] 这个可能去干人家是比较稳
[33:25] 压枪也是比较好压
[33:27] 那再来讲说
[33:28] 是不是铐枪完会容易换战
[33:29] 达成不了目标
[33:30] 我觉得不会
[33:31] 铐枪完之后是比较偏向说
[33:32] 你会进入一个圣人模式
[33:34] 你会突然间觉得说
[33:34] 好像这个世间的斗争是没有意义的
[33:37] 这个川普把盘喊崩了
[33:39] 又怎么样
[33:39] 就我们人就是开心就好
[33:41] 我们仍旧去欣赏一下
[33:42] 窗外的一些什么鸟语花香
[33:44] 其实人生是很美好的
[33:45] 大概可以维持个十二十分钟吧
[33:47] 可是之后你会拉回正常
[33:49] 它只是让你暂时间的
[33:50] 可能松懈下来
[33:51] 但你说因为这样子
[33:53] 就会达成不了目标
[33:54] 我觉得不是这样
[33:55] 应该是说它除非是
[33:56] 每五分钟就靠一支枪
[33:57] 才会这样子
[33:58] 所以何一应该是整天在打走枪
[33:59] 下面一位
[34:00] 马桶上的五四三
[34:02] 诸位最近都在慢跑
[34:03] 是不是不打太全了
[34:04] 那推荐Meta VR头盔
[34:06] Thrill of the Fight 2
[34:07] 能够与穿衣服真人
[34:10] 对战
[34:11] 那记得开穿透模式
[34:13] 打到抢手断掉还好
[34:14] 打到老婆就大条了
[34:16] 那另外请教
[34:16] GTC后
[34:17] 主线聚焦
[34:19] 电力散热
[34:20] 传输CPU
[34:21] 细光子跟AI Agent
[34:22] 这三块投资要怎么布局
[34:24] 那前面的已经知道
[34:25] 但AI Agent怎么买
[34:26] 对最近就比较没有在打泰拳了
[34:29] 其实你这样一讲
[34:29] 我才突然间想到
[34:30] 对好像要回去打一下泰拳
[34:32] 我最近还养成一个新的习惯
[34:33] 就打网球
[34:34] 找教练教我
[34:35] 那我觉得网球
[34:36] 也是一个蛮好的运动
[34:37] 所以我现在就尽量的
[34:38] 去多找一些运动
[34:39] 反正每个都摸一点
[34:40] 希望是让自己的身体
[34:42] 可以维持在一个更好的状态
[34:44] 那非常感谢游戏推荐
[34:45] 然后再讲说
[34:45] 这三条线要怎么样去布局
[34:47] 电力散热跟传输
[34:49] 应该完全不用讲
[34:50] 那已经是超级劳根
[34:51] 所以每个人都知道买什么
[34:52] 那CPU跟细光子的话
[34:53] 我自己是比较不喜欢
[34:54] 所以pluggable相关的
[34:56] 虽然我现在把它称为是光
[34:57] 我自己都是买CPU相关的设备
[35:00] 然后跟一些
[35:00] 可能就是在建厂
[35:02] 会用到的东西上面
[35:03] 那近期的表现非常好
[35:04] 像今天就涨停了三支吧
[35:05] 非常傻眼
[35:06] 那再讲说AI agent的话
[35:09] 开股来讲的话
[35:11] 但这可能我自己的利益冲突
[35:13] 但反正就是有一个小资的股票
[35:15] 他有在退AI agent
[35:17] 在美股的话
[35:18] 那可能比较偏向是像Calflare
[35:21] 他就是AI agent
[35:22] 我觉得最实质的受惠股之一
[35:24] 因为这些Agent要去crawl
[35:26] 要去爬人家的东西
[35:27] 每个都会去经过Calflare的一个收费墙
[35:31] 所以我觉得他已经在各处都架了收费站
[35:33] 只要越来越多这种AI的agent
[35:36] 上去帮你搜寻爬虫的行为
[35:37] 对他来讲就是很大的一个收益
[35:39] 所以AI Agent的话
[35:40] 我觉得他就是一个
[35:41] 然后再来我认为说
[35:42] Paymentier也可以算是一个
[35:43] 虽然他不是土C的
[35:44] 可是在土B的应用
[35:45] 已经是做得非常的好
[35:48] 拿到很多政府的标案
[35:49] 所以已经Secure好
[35:50] 未来的一段时间
[35:51] 我觉得都会很不错
[35:52] 但是这两次最大的一个问题
[35:54] 就是他们是很贵的股票
[35:56] 就如果你今天用一些
[35:57] 什么P-E Ratio的估值
[35:58] 你一定算不出来
[35:58] 你不知道要怎么样买
[35:59] 所以在我的角度就是
[36:01] 反正买了就放着
[36:02] 然后就等
[36:02] 然后很多时候
[36:03] 我那时候买觉得超贵
[36:04] 结果后来他现在竟然更贵了
[36:05] 会不会后来又再更更贵
[36:07] 这个我不太确定
[36:08] 但如果是AI Agent的话
[36:09] 可能就是
[36:10] 这两支我实在蛮喜欢的
[36:12] 其他的话
[36:13] 可能还要再稍微的找一下
[36:15] 因为现在每一家都声称自己有AI Agent
[36:17] 可是我觉得
[36:17] 因为现在是一个比较竞争激烈的时间点
[36:20] 特别是从一些C-Base的收费方式
[36:22] 然后变成是Result Base的一个收费方式
[36:25] 所以谁是赢家还不确定
[36:27] 但这两家应该算是赢家
[36:28] 我觉得没有什么问题
[36:29] 后面可能找到一些赢家
[36:31] 才会去增加更多的部位
[36:33] 下面一位Trista
[36:34] 五星好评推推
[36:36] 想问MK人生中
[36:37] 最想做的事情是什么呢
[36:39] 有朋友Amy最近去德国玩
[36:40] 能够推荐她好玩的地点吗
[36:42] 然后祝福我同事肖肖
[36:45] 3月18号生日快乐
[36:46] MK一家人都平安健康快乐
[36:48] 非常感谢Trista
[36:49] 那再讲说去德国玩
[36:51] 不是你问我没有办法
[36:52] 因为我就是只有去柏林而已
[36:53] 我就去柏林看演唱会
[36:55] 我都待在Uber Arena里面
[36:56] 所以你问我说哪里好
[36:57] 我就跟你讲说Uber Arena
[36:58] 可是当然你还是要看说
[37:00] 不知道去去唱歌的人是谁
[37:01] 那柏林的话
[37:02] 我没有什么太多的印象
[37:04] 然后回来就被蛮多朋友念了一顿
[37:06] 虽然这个某个程度上代表
[37:08] 我是乖宝宝硬张盖下去
[37:09] 要么就说柏林最好玩的
[37:11] 就是夜店跟夜生活
[37:12] 因为他们非常的疯狂
[37:13] 那我回来还稍微的找了一下
[37:15] 然后找到一些关键字
[37:17] 我觉得德国真的有一些夜店是
[37:18] 不知道那个就是卖肉大会吧
[37:21] 就大家真的在里面放荡
[37:23] 然后跟不知道就是各种交合之类的
[37:26] 其实老实讲
[37:27] 你说我真的到那边会开心吗
[37:28] 我可能还是会害怕
[37:29] 我害怕STD之类的
[37:30] 我可能就在旁边看吧
[37:32] 就如果到那边
[37:32] 我可能就站在旁边看
[37:33] 所以我觉得那些机会
[37:34] 还是不属于我
[37:35] 但很多人都说
[37:36] 去柏林是要玩这些东西
[37:37] 所以可能是他们
[37:38] 最有名的就是这个
[37:39] 还有什么FKK之间
[37:40] 那些比较你知道
[37:41] 坏坏的东西
[37:42] 可是实际上柏林
[37:43] 我自己去
[37:44] 我是没有太多的一个印象
[37:46] 它并不是一个
[37:46] 在我心目中会认为
[37:48] 是一个好玩的城市
[37:49] 虽然我已经有去
[37:50] 附近的一些
[37:51] 什么知名景点
[37:52] 稍微看一下
[37:53] 走一下吃东西
[37:54] 但它没有什么记忆点
[37:55] 在我看来
[37:56] 可能真的东西都在玩上
[37:57] 那再来讲说
[37:58] 人生中最想要做的事情
[38:00] 是什么
[38:00] 我觉得现在应该是看看孩子结婚之类的吧就是看看孩子有他的孩子之类的但我现在讲这个我知道有些人会觉得说正是不正确小孩可以自己选择他可能喜欢男生喜欢女生
[38:15] why the fuck
[38:16] 但我现在觉得
[38:17] 我的儿子就是he him
[38:18] 他看起来就是
[38:19] 很明显的一个he him
[38:20] 那我也不是说
[38:21] 我一定要强迫他这样
[38:21] 但我就
[38:22] 很奇怪
[38:23] 你看一下这个世代
[38:24] 讲话竟然要帮自己
[38:25] 上一堆filter
[38:25] 但我的想法就是
[38:27] 我想看到他有自己的家庭
[38:28] 我这样讲就中性了
[38:29] 我想要看到他
[38:30] 有自己的家庭
[38:31] 那希望他可以
[38:32] 然后这个快乐健康
[38:34] 然后过的一个很充实的人生
[38:36] 那你说对我自己的话
[38:38] 我不知道
[38:39] 我要什么就可以有什么
[38:40] 我现在要什么
[38:41] 我真的是要什么就可以有什么
[38:43] 我现在的状态是这样
[38:44] 所以我根本不觉得
