[00:00] 欢迎收听谷爱,我是孟公,本集节目由比如我赞助
[19:28] 有一些前辈的提醒之下就知道
[19:31] 可能就是没有办法像过去那样子抢钱了
[19:34] 今年可能大家抢钱都抢得很开心
[19:35] 各种族群切换切来切去
[19:37] 基本上都是可以赚钱
[19:39] 或者说拉回就是无脑脉
[19:40] 现在可能就会稍微的
[19:42] 会把周期看长一点
[19:44] 然后再来就是一定是不要再去使用杠杆
[19:46] 因为现在再去使用杠杆的话
[19:47] 你不知道这个波动会多大
[19:49] 就算这边出一个反弹的话
[19:51] 其实怎么讲
[19:52] 如果这个反弹是在上个礼拜
[19:54] 或上上礼拜我觉得OK
[19:55] 因为其实上面的均线没有这么多
[19:57] 可是現在已經跌這麼深了
[19:59] 然後現在反彈在碰到那些均線
[20:00] 那全部都是壓力
[20:01] 就一定會有一堆解套的
[20:02] 或是什麼樣
[20:02] 就要把它丟出來
[20:03] 所以我覺得
[20:04] 變得比較難搞一點
[20:06] 那抑或是
[20:06] 其實按照過往的經驗
[20:08] 就當一堆東西的形態
[20:09] 又跌要壞掉之後
[20:10] 它要再繼續重
[20:11] 它可能需要整理一陣子
[20:13] 這個可能在美股跟台股都是這樣
[20:15] 雖然我們現在可能
[20:16] 這一集講比較多那種
[20:17] 價格跟技術面相關的東西
[20:19] 那是我們的輔助
[20:20] 就我們用這個作為一個輔助
[20:22] 只是我覺得是值得參考的
[20:24] 就是如果當今天一堆東西的價格
[20:26] 是已经一次回到太深的话
[20:28] 其实一般来讲
[20:29] 要直接V上去的
[20:31] 这个情景会比较难一点
[20:32] 就是越低的
[20:34] 就是越难V上去
[20:35] 他可能会需要
[20:35] 一段时间的盘整休息这样
[20:37] 所以其实
[20:38] 虽然目前比起来
[20:40] 跟去年三月比
[20:41] 没有到那么严重
[20:43] 但是我觉得可能会跟
[20:44] 去年三月后来
[20:45] 那个recover的状况有点像
[20:47] 就是他可能给你一个V
[20:48] 然后V上来之后
[20:49] 就是要横一阵子
[20:50] 然后慢慢推
[20:51] 然后慢慢的重振信心
[20:53] 然后大家找到一个族群
[20:55] 再把它切进去
[20:56] 我觉得有可能是往这个方去
[20:57] 那在这个同时呢
[20:59] 当然其实当然以下的角度来看
[21:00] 可能大家就觉得说
[21:01] 这个研究是没有必要的嘛
[21:03] 其实你做什么事情都没有必要
[21:04] 因为反正市场每天就是只会跌
[21:06] 可是像我自己的工作态度呢
[21:08] 就是我还是会觉得
[21:09] 怎么说
[21:10] 就是你平常没有做准备的话
[21:11] 你就只能够等到后面
[21:12] 假设行情突然间转好
[21:13] 然后你就蒙着眼睛乱嘴东西
[21:15] 可能也是蛮痛苦的
[21:16] 所以近期还是有去扫一些市场上的机会啦
[21:19] 那像前面大家在讲那个Kimi K3之乱的时候呢
[21:23] 我觉得它里面的一个silver lining
[21:25] 也是告诉大家讲说
[21:26] 其实这个东西也是着重于
[21:27] Agenti AI的一个使用
[21:29] 那Agenti AI方面呢
[21:30] 大家都知道说CPU是里面
[21:32] 扮演一个非常重要的角色
[21:34] 那最近其实也是因为启发于
[21:35] 我注意到一些脸书的粉专
[21:37] 在讨论这件事情
[21:38] 或者说一些新闻的页面
[21:40] 那因为大家在讨论这件事情
[21:41] 就让我去做了一个研究
[21:43] 就是其实我们过去都知道说
[21:44] 像那个陈立武
[21:46] 然后跟苏妈
[21:47] 他们都有提到说
[21:48] 在未来呢
[21:49] 你可以期待的是CPU跟这个GPU
[21:51] 可能会以一个1比1的方式
[21:53] 去做呈现
[21:54] 因为在Ugentech AI的应用上面
[21:55] 其实他们需要非常多的CPU
[21:56] 那当然这里面一定有一些
[21:59] 商业的术语啊
[22:01] 怎么说
[22:01] 因为这两家就是在靠CPU赚钱的嘛
[22:04] 非常明显的这样子
[22:05] 那大家会说
[22:05] 目前NVIDIA也是有靠CPU赚钱
[22:07] 只是那个Vera
[22:08] 就我们了解啊
[22:09] 它那个standalone rack
[22:10] 就是只有Vera CPU的rack
[22:12] 目前我们的考察之下
[22:14] 就是它的客人可能不多
[22:16] 就大概只有一两家厂商有去做使用
[22:18] 所以短期内不会注意到太大的放量
[22:20] 那当然像是Jensen
[22:21] 他也是有提到说
[22:22] CPU的用量
[22:24] 然后跟趋势是非常的明显
[22:26] 但是他没有去丢出
[22:27] 可能比较强烈的行销术语
[22:29] 像是陈立武或者是苏马所提到的
[22:32] 就是他会往1比1的方向去靠
[22:33] 那我们在过往的节目上
[22:35] 就是前面那个CPU之乱的时候
[22:36] 其实有跟大家聊到说
[22:37] 我觉得短期内
[22:38] 你很难看到直接往那个1比1去靠
[22:40] 因为其实你从一些客观的数据就知道
[22:43] 就像说你今天去看
[22:44] NVIDIA的GBE或者说VRubin
[22:47] 或是最近AMD出的Helios
[22:49] 那它的那个Spec
[22:50] 已经开出来给你看了
[22:51] 它就是一个EPYC ZEN的CPU
[22:54] 然后再配四颗MI Series的GPU
[22:57] 所以它还是一比四
[22:58] 那就想说奇怪了
[22:59] 你们大家其实都没有丢出
[23:01] 一比一的产品
[23:02] 只有NVIDIA的VERA的CPU Standalone Rack
[23:05] 它是完全的纯CPU
[23:07] 所以是不是一比一的说法
[23:10] 会是有问题的呢
[23:11] 那我就很快的去找了一些
[23:13] 身边跟产业圈的人士去做确认
[23:15] 那目前所了解到的状况
[23:17] 应该是这样
[23:18] 其实CPU呢
[23:19] 它不一定會是以AI Server Rack的方式呈現給大家看到
[23:24] 也就是說 這裡面有很多的討論的空間
[23:28] 像美光最近跟Meta他們發的一個白皮書
[23:31] 就告訴大家說 如果你今天從DRAM要卸載到SSD的話
[23:35] 其實那個速度是慢幾十倍
[23:37] 所以理論上DRAM或者說HBM這類的記憶體的用量
[23:41] 應該還是會比那種純儲的東西還要再強大非常多
[23:44] 因為你這個料理台越大 你可以做的事情越多
[23:47] 所以如果你想通这个道理
[23:49] 就会了解到说
[23:50] 如果今天你不是把CPU
[23:52] 直接像可能Helios这样子
[23:54] 或是Vera Rubin
[23:55] 它本身就整个CPU
[23:56] 在AI伺服器里面的话
[23:58] 它速度一定会有所延迟
[24:00] 就如果说我今天
[24:01] 我需要去用到这些CPU
[24:02] 我是要连到外面的
[24:03] general purpose的CPU rack去的话
[24:06] 是不是就会有可能
[24:08] 会在AI的推论
[24:09] 或是工作的效率上面
[24:11] 去造成一些折扣
[24:13] 稍微的跟业界的朋友
[24:14] 跟CSV的朋友
[24:15] 请教一下之后发现说
[24:16] 其实他们是有做出一些
[24:18] 当然这个对我们那种
[24:19] 做股票或者说做投资来讲
[24:21] 有点复杂
[24:21] 简单来讲就是说
[24:22] 把一些工作去做切割
[24:24] 所以其实在一个SuperPath
[24:26] 或是一个AI Data Center
[24:28] 里面的运用
[24:28] 它是有可能
[24:29] 就是我多放几台
[24:31] 可能General Purpose的伺服器
[24:33] 它就是可以透过一些
[24:35] 可能串联的方式
[24:36] 或者说并联的方式
[24:37] 然后就让这个
[24:39] General Purpose的server
[24:40] 可以去帮忙
[24:42] 卸载一些
[24:43] 可能在AI伺服器这边的压力
[24:45] 特别是在Agentive Workflow里面的运作
[24:47] 那所以如果说可以看明白这点的话
[24:50] 然后去结合大家在供应链上
[24:52] 所看到的一个状态
[24:53] 就是目前CPU
[24:55] 它算是在市场上一直被追加的东西
[24:59] 就GPU或是什么HBM
[25:00] DRAM什么这个
[25:01] 非常缺大家都已经知道
[25:02] 也不用再去多做讨论
[25:04] 那CPU呢
[25:04] 比较像是前面的一波风潮带起来
[25:06] 然后后面大家开始去敲一些问号
[25:09] 因为想说
[25:09] 你不是想说1比1
[25:10] 可是你们东西都没有1比1
[25:11] 它那个1比1可能是这样算的
[25:13] 就是要把那個general purpose裡面的CPU全部加在一起
[25:16] 然後這樣去算的話
[25:18] 就想像成AI伺服器的量
[25:19] 大家都已經知道是差不多定量了
[25:21] 可能今天NVIDIA的Rack就是一年可能五萬多
[25:24] 那ASIC可能就七萬多
[25:25] 可是蠻多人沒有算到的是general purpose的這些Rack
[25:29] 或者這些Trade
[25:30] 那他們裡面有很多的CPU有很多的Intel或是AMD的表現空間前提是他們有secure到夠多的一个产能所以在这样的一个状况之下你把这些数字加起来那它就是有可能会让你就想象成说
[25:42] 因为这边冲得非常快
[25:43] 所以就会慢慢的去往
[25:45] 1比1的方向去收容
[25:46] 只是它不会这么快
[25:47] 就会慢慢的往这个方向去收容
[25:48] 所以看起来这个方向
[25:50] 应该是可以做的
[25:51] 就是简单来讲
[25:51] 因为前面大家在说
[25:53] Keyme的影响或什么的
[25:55] 那我们就会试着换个角度去
[25:57] OK那Keyme可能会造成一些影响
[25:59] 没错
[25:59] 虽然几遍蛮多都被打脸了
[26:01] 但Kimi有没有可能带来某一些加速呢
[26:04] 在我们看来就是
[26:05] 他在推论的需求上面
[26:07] 或者Genentech AI的应用上
[26:08] 它会是一个加速
[26:09] 可能就是往这个方向去看
[26:12] 就是一个简单的换句话说
[26:13] 有没有可能我们找到一些机会
[26:15] 像最近市场上也有一个
[26:17] 新的鬼故事降临
[26:19] 反正就是在讲说
[26:20] 在中国这边
[26:21] 他们是有可能可以搞出自己的DUV
[26:24] 甚至是这样
[26:25] 其实早在一两年前
[26:27] 我们节目就有跟大家提到
[26:28] 他们有在试着去做自己的EUV
[26:30] 那只是在我们的角度
[26:33] 或者说一些市场跟产业派的人
[26:35] 就会认为说
[26:35] 那其实是超级困难的事情
[26:37] 简单来讲
[26:38] 就是以ASML来说
[26:39] 它也不是说一个国家
[26:41] 一家公司的一己之力
[26:42] 可以去做出它的DUV或是EUV
[26:45] 它是需要去协同各个国家的
[26:47] 一些顶尖科技才有办法去做出来
[26:49] 那其实在中国这边
[26:50] 当然我们已经知道说
[26:51] 他们确实是有办法用DUV
[26:53] 然后去做到很微小线宽的一个东西
[26:55] 就是透过重复曝光一些工序的方式
[26:58] 去达到
[26:58] 当然他牺牲的就是良率
[27:00] 它可能会花更多的成本
[27:01] 但它是有办法
[27:02] 土法炼钢去把一些东西搞出来
[27:04] 那前阵子就是因为丢出来说
[27:06] 他们可能要去把DUV推出来
[27:08] 所以就造成
[27:09] 可能像美股的设备的一些杀盘
[27:10] 那美股设备杀盘之后
[27:12] 就影响到整个半导体
[27:13] 又再一次的往下杀
[27:14] 那这件事情的话
[27:15] 就是一样
[27:16] 就是我觉下市场很麻烦的点是
[27:18] 理论上是这样
[27:19] 就是如果说有一个东西出来
[27:21] 那它会对某些人造成伤害
[27:23] 那它理论上会对一些人
[27:24] 造成是加分的效果
[27:26] 所以这时候
[27:27] 如果你去看那些
[27:28] 理论上造成加分的东西
[27:29] 它有跟着上去的话
[27:30] 你就可以解释成为说
[27:31] 那市场可能正在反映这件事情
[27:33] 可是如果你发现说
[27:34] 是一个通杀的局面的话
[27:36] 那不一定是这样
[27:37] 就有点类似
[27:37] 现在的盘可能只是比较脆弱
[27:39] 所以任何的消息
[27:40] 都是有办法把东西打下去
[27:42] 所以我们初步会这样子看
[27:43] 因为它其实DUV的一个进程
[27:45] 在一些产业圈人士的角度
[27:47] 他们不会认为是一个新鲜事了
[27:49] 反正里面就是有一些那种
[27:50] 北国朋友去帮忙他们做
[27:52] 然后那种东西
[27:53] 其实已经是有一点雏形
[27:55] 然后持续在推荐
[27:56] 这个已经算是一个
[27:57] 不真的事实
[27:59] 只是问题是在于说
[28:00] 今天你就算把你的
[28:02] DUV的东西做出来
[28:03] 其实需要考量的点是
[28:04] 第一个是
[28:05] 你的东西有没有办法出来
[28:07] 就是你有办法去
[28:09] 做出自己的一些曝光机
[28:11] 然后要去做生产
[28:12] 可是问题是
[28:13] 你生产的东西
[28:14] 外面不用的话
[28:15] 其实对外面的影响
[28:16] 理论上是有限的
[28:17] 所以这边的一个防线
[28:18] 它会是放在美国政府这一边
[28:20] 就如果说大家后来看到
[28:22] 美国政府真的开绿灯给苹果
[28:24] 因为我们知道
[28:24] 苹果家已经有一些新闻的报说
[28:26] 他们想要去游说
[28:27] 要去使用CXMT的记忆体
[28:29] 其实在我们的角度
[28:30] 我们也是有听说一些CSP
[28:31] 有在测他们的东西
[28:33] 只是问题是美国政府理论上
[28:35] 就是你关税战贸易战打成这个样子
[28:38] 你不太可能会去放中国人一条生路
[28:40] 你已经是压成这样一个程度
[28:42] 但如果说
[28:43] 他真的把这条大门打开的话
[28:45] 那可能就会出问题
[28:46] 我觉得他可能或多或少就可以解释
[28:49] 市场家到底在恐慌什么东西
[28:51] 因为中国的一个惯性
[28:53] 就是我们知道
[28:54] 他可以非常便宜的去输出大量的生产力
[28:57] 然后最后面把整个市场搞到坏掉
[28:59] 不管是早先的记忆体面板
[29:01] 或是各种东西
[29:02] 其实要承受制成
[29:03] 这个我们都知道说
[29:04] 就是中国人只要他有心要介入的话
[29:06] 其实他可以把超东西玩到坏掉
[29:07] 所以如果说今天美国政府并没有去开这一扇门
[29:11] 让苹果或是让这些CSP
[29:13] 可以去取得CXMT的记忆体的话
[29:16] 那我就会认为说
[29:17] 那他DUV这个事情的影响应该是不会太大
[29:20] 因为你的东西是出不来的
[29:22] 但如果说今天是开了这个门
[29:23] 然后他又有一些生产的器具的话
[29:26] 那就会变得很麻烦
[29:27] 就他可以再一次的
[29:28] 再搞倾销的方式
[29:29] 然后把大家打到爆掉
[29:30] 所以这件事情就蛮像的
[29:32] 就如果说你考量美国政府的态度
[29:34] 假设虽然非常难以相信
[29:37] 但假设他真的最后面
[29:38] 开这条路给苹果
[29:39] 或是说给那些CSP
[29:40] 你们可以用中国的一些料的话
[29:42] 那就可能或多或少可以解释
[29:44] 这波到底在叠三小
[29:45] 所以就叠到后来
[29:46] 终于知道说有可能
[29:48] 在叠这个东西
[29:49] 但其实最后面搞不好
[29:50] 美国政府是非常严正的否决
[29:52] 那就不是叠那个
[29:53] 所以在下跌的时候
[29:54] 其实去做过多的找理由
[29:57] 好像意义也不是太大
[29:58] 但我们还是会想了解说
[29:59] 到底我们家受到的伤害
[30:00] 是什么原因
[30:01] 所以还是会去稍微的看一下
[30:03] 所以这边简单讲一下这个事件
[30:04] 就是因为中国的东西
[30:06] 现在都是被封禁的一个状态
[30:08] 所以他做出来的东西
[30:09] 理论上也就是
[30:10] for他的内需的需求
[30:11] 你也知道说
[30:12] 中国家对美这个贸易伙伴的
[30:14] 一个名次都已经调到台湾之后
[30:16] 就基本上台湾是已经取而代之
[30:18] 那中国做的东西
[30:19] 就是内循环自己在做使用
[30:21] 所以他们就是自己在卷自己
[30:23] 甚至很多时候你会发现说
[30:24] 像中国自己的模型推出
[30:26] 就他们自己相关的模型
[30:27] 常常底要烂掉
[30:27] 反而是墙外的
[30:28] 美国都不一定底要烂掉
[30:30] 因为你可能你要中国的模型
[30:31] 你也不能用
[30:31] 就是他们可能有一些内控
[30:34] 或者说政府的要求
[30:36] 一些东西是被封禁掉
[30:37] 你不能用
[30:37] 所以他们其实是自己在卷自己
[30:38] 那以我现在的角度看
[30:40] 也会认为说
[30:41] 因为当他今天这个DUV出来
[30:42] 他一定就是直接送去CXMT
[30:44] 去做使用
[30:45] 所以也有可能就是
[30:46] 中国人自己在卷自己
[30:47] 只要美国这边
[30:48] 不要去把这个大门打开
[30:50] 我觉得可能就影响有限
[30:52] 但是反正言归正传
[30:54] 就是现在盘面的状态
[30:55] 真的不是太好
[30:56] 然后真的是回了非常的深
[30:58] 可是之所以一直没有杀出一个
[31:00] 很大量的一个主营
[31:02] 就是可能就像一些大哥所提点的
[31:04] 因为你看那些股票
[31:05] 就算超多跌超深
[31:06] 跌到那种50%去的
[31:08] 他们其实也就是回到
[31:09] 四五月的一个价格而已
[31:10] 所以四五月可能到六月
[31:12] 是一个非常疯狂的行情
[31:13] 然后现在大家在还
[31:14] 在还这一段
[31:15] 所以你没有办法看到一些
[31:17] 巨大的那种可能卖压
[31:19] 或是超大的换手量出现的
[31:21] 原因可能在这
[31:22] 因为还蛮多人还没有被杀到
[31:24] 那只是当然这边我们觉得超级害怕
[31:26] 就是如果大家都抱持这个心态
[31:28] 反正我进来很久嘛
[31:29] 我就跟你耗
[31:30] 大家都一起耗的话
[31:30] 会不会就跌不完
[31:32] 希望不要发生
[31:33] 但总之这是一个非常恐怖的行情
[31:37] 已经是可以载入实测了
[31:38] 我的邻居还跑来问我说
[31:40] 他前面跟我讲说
[31:41] 这是不是大场面
[31:42] 就是可能一两个月前吧
[31:43] 我就说这根本不是什么大场面
[31:45] 但他现在如果再跑过来问我说
[31:46] 这是不是大场面
[31:47] 这个绝对是大场面
[31:48] 这个绝对是非常非常严重的一个
[31:51] 暴力行情的
[31:52] 总之就还是希望
[31:54] 大家可以顺利的度过
[31:56] 还是回归到投资
[31:57] 最核心的东西
[31:59] 简单来讲就是说
[32:00] 不要去做一些
[32:01] 能力范围以外的事情
[32:03] 然后这个其实
[32:04] 跟你的钱多少是没有关系的
[32:06] 因为对每个人来讲
[32:07] 买满都是100%
[32:08] 对一个10亿的人来讲
[32:10] 买满也是100%
[32:11] 1000万的人
[32:12] 100万的人买满都是100%
[32:14] 所以下去的时候
[32:15] 股票在叠是用百分比去算的
[32:17] 其实我们后来发现是这样子
[32:19] 有蛮多那种大资
[32:20] 也是有可能在某一波的行情错判
[32:23] 然后跟使用太大的杠杆
[32:24] 就一夕回到解放前
[32:26] 那种可能赚到几亿
[32:27] 跑去当警卫的
[32:28] 也是听过几次
[32:28] 所以就大家要小心
[32:30] 我觉得在这样的一个排名之下
[32:32] 千万不要去做
[32:33] 超出自己能力范围的东西
[32:34] 就如果说都是用现股去面对的话
[32:36] 然后特别是
[32:37] 也不是刚加入市场
[32:39] 刚加入市场的
[32:39] 其实就只能够承担
[32:41] 只能够做这样
[32:41] 因为就没人在叠
[32:42] 就如果你今天是说
[32:43] 只有特定的一些东西在叠
[32:46] 那可能就是说
[32:47] 你买到不好的东西
[32:47] 你的眼光有问题或什么
[32:49] 可是当你发现
[32:49] 全部人都在跌的时候
[32:50] 这个就是要试着承担
[32:52] 这个市场可能就是
[32:53] 有时候会有这样的一些情形发生
[32:55] 那希望后面可以尽快的好转
[32:57] 这边一个玄学小分享
[32:59] 后来发现说
[33:00] 妈的我阳台的黄金格
[33:01] 可能是因为最近
[33:02] 就是一直在那种战斗的角度
[33:04] 所以就没有时间去顾到他
[33:05] 然后后来是帮我整理盆栽的
[33:07] 一个老板跟我讲说
[33:09] 那个黄金格你要浇水
[33:10] 那个不是招财的东西吗
[33:11] 怎么现在要枯掉了
[33:12] 靠北 赶快跑去浇水
[33:13] 所以浇了
[33:14] 希望后面就是可以为我们带财
[33:17] 拜托不要再杀了
[33:18] 好 大家这样
[33:18] 好那接下来我们进入Q的部分
[33:19] 第一位Jaco Chen
[33:20] 到了今天才知道原来红眼路比的上限
[33:23] 是要叫大家这个暑假打电动就好的意思
[33:26] 这就是用心良苦吗
[33:27] 那想知道如果你在梦里可以选择女伴的话
[33:30] 你会选择Dualipa还是Taylor Swift
[33:32] 那另外想知道经历过这波的痛苦
[33:35] 你还会愿意陪Liza去韩国吗
[33:37] 那最后想说微微梦梦一起去日本
[33:39] 厉害的微梦让旅途顺畅无阻
[33:43] 有时候梦宝是怪怪宝
[33:44] 还好有微宝细心保护梦宝
[33:47] 开始了
[33:48] 盘不好的时候
[33:49] 就是你看
[33:50] 微微梦梦是什么鬼东西
[33:52] 然后再来前面讲说
[33:53] 可以选女伴的话
[33:54] 没有我一定是选我老婆
[33:55] 这两个女的
[33:57] 我是不可能会选她的
[33:58] 那再来讲说
[33:59] 会不会再陪她去韩国
[34:00] 没有我老婆已经是立誓
[34:02] 她不要再去韩国
[34:03] 就上次被阿朱玛骗过的时候
[34:04] 她就是决定再不要去
[34:06] 虽然我刚刚讲说
[34:07] 你知道那可以解除
[34:08] 就我们还是去
[34:09] 其实韩国也没有这么差
[34:10] 有个降卸或啥晓得
[34:12] 但她就很生气
[34:13] 她被人家骗钱这件事情
[34:14] 下面有位
[34:15] 从今以后睡公园
[34:17] 安安梦宫近来安好
[34:18] 八月还要去玩吗
[34:20] 我现在人在大安森林公园的2330
[34:22] 软弱无能区
[34:24] 这区蛮大的
[34:25] 但人也蛮多的
[34:26] 我先帮你卡一个位置
[34:27] 看要不要带纸箱
[34:28] 不说了
[34:29] 连蚊子都不放过我
[34:30] 我先去借防蚊液
[34:31] 这边给大家一个很简单的概念
[34:34] 但我发现其实很多人不知道
[34:35] 就是股票是一个相对的东西
[34:37] 就像说你来市场里面
[34:38] 就是你到厨房里面
[34:39] 你就是一定会被烧到
[34:41] 被捡到
[34:41] 被烫到
[34:42] 或什么有的没有的
[34:43] 所以如果你今天告诉大家
[34:44] 你满手2330的话
[34:46] 其实在市场里面的各路的前辈
[34:49] 或是大家会羡慕你
[34:50] 因为代表说你其实跌很少
[34:53] 因为2330真的跌很少
[34:54] 你怎么不去问问我们这些
[34:55] 手上还有一些中小的
[34:57] 他真的很惨
[34:58] 那种流动性被抽干是超级恐怖的
[35:00] 所以现在手握2330的
[35:02] 就是市场的一个赢家
[35:04] 那也希望说2330后面会带头去做突破
[35:07] 但是也是有可能
[35:08] 因为2330家真的被太多人当胜亏股
[35:10] 当成是一个parking的地方
[35:12] 所以后面假设
[35:13] 虽然我们现在已经是不抱太多的希望
[35:16] 假设中小一些热门题材股
[35:19] 一些强势股开始
[35:20] 就是以前的强势股
[35:21] 现在全部都跟垃圾一样
[35:23] 就大家开始反弹的时候
[35:24] 有可能就是大家会从那边撤出来
[35:26] 然后去买那些东西
[35:27] 所以就变成说2330
[35:28] 说不定就是有可能在被提款的状况之下
[35:31] 后面就不会这么强
[35:32] 不一定都是要再看
[35:33] 可是以现阶段
[35:35] 特别是以7月的year today来说的话
[35:38] 2330是绝对的最强的股票之一
[35:41] 所以你手上都是拿2330
[35:42] 应该只有拿什么伪创跟伪演的
[35:44] 可以赢你吧
[35:45] 那其他人应该都是赢不过你
[35:47] 所以你其实不用去公园
[35:49] 你可以回家了
[35:49] 那公园请让给我们
[35:51] 下面一位
[35:51] 加MK好
[35:53] 那想问平常用什么软体
[35:54] 来记录自己的期货总部位
[35:55] 跟获利的状况吗
[35:56] percentos会没有办法记录期货的样子
[35:58] 那另外想问
[35:59] MK去改莫装空气清净机
[36:01] 台北的空气真的好脏
[36:03] 开窗的话会有一堆灰尘
[36:04] 以下请唱歌
[36:05] because maybe
[36:07] you're gonna be the one
[36:09] they says me
[36:10] 唱不下去
[36:10] 我现在没有心情
[36:11] 先不要叫我唱歌
[36:13] 我唱一唱可能会被人哭出来
[36:15] 那再来禁止的记录的话
[36:17] 可以很简单去拉个Excel就好
[36:19] 或是现在就直接丢给AI Agent
[36:20] 让他乱跑就好
[36:21] 像是AI时代
[36:22] 就是不用再去用一些那种很土炮的方式
[36:24] 那Percento这个App我还是蛮喜欢用的
[36:26] 就是现股是用这边去做记录
[36:27] 但确实是期货可能没有办法
[36:29] 所以期货可以用一个
[36:30] 如果你要用这个App的话
[36:31] 比较简单的做法就是
[36:32] 你额外拉一个类似那种现金区
[36:34] 然后你就把期货每天的禁止
[36:36] 直接自己手动提上去
[36:37] 这就是一个记录的方式
[36:40] 那下面一位
[36:41] 太久保
[36:42] 大久保公元
[36:43] 所以你好
[36:44] 我今年六月才进股市
[36:46] 我知道现在沙融是杠杆
[36:47] 但我全线股满仓
[36:49] 全部都是0050的成分股
[36:50] 目前负三十几趴
[36:51] 我用明年的EPS来估
[36:53] 都觉得很便宜
[36:53] 但它就一直跌
[36:54] 我是不是被基本面绑架
[36:56] 停损不下去
[36:56] 这位兄弟
[36:57] 因为你是六月才加入
[36:59] 所以吃到回档
[37:00] 就叫做非常正常的事情
[37:02] 六月至今
[37:02] 就算你是什么巴菲特
[37:05] 还是什么沙小的
[37:05] 叫你去买股票
[37:06] 应该都是赔钱
[37:07] 因为就太难了
[37:08] 基本上你买什么都是赔钱
[37:09] 它是一个地域难度
[37:11] 确实是一个非常高难度的盘
[37:13] 所以有时候就是会这样
[37:15] 就是因为你没有办法选择你的出身
[37:17] 我觉得说像
[37:18] 现在才要加入股票市场的人
[37:20] 他一定就是未来一两年
[37:22] 会被人家称羡的那些人
[37:23] 我觉得说像我自己
[37:24] 在林口丢的一个生意
[37:26] 那是我好朋友
[37:26] 那他就是去年的4月
[37:29] 然后开始买他的第一笔股票
[37:31] 他就觉得说
[37:32] 股票是一个超级好的地方
[37:33] 他根本不觉得股票是一个
[37:35] 什么会害人会杀人的地方
[37:37] 就是怎么买都是赚钱
[37:38] 所以真的会有这样子的一些情形产生
[37:40] 所以你的出生点
[37:41] 其实会很高几率的决定了
[37:43] 你会变成是怎么样的一个个性
[37:45] 或是你对市场的看法是怎么样
[37:46] 那这个在我们几年前
[37:48] 跟大家分享Harmox的一个memo的时候
[37:50] 就有提到
[37:51] 那为什么Harmox
[37:52] 他后来都去做一些那种distressed company
[37:54] 或者是去做可能跟那种公司的债券
[37:57] 比较有关的一些东西
[37:58] 就是因为他当时进入市场的时候
[38:00] 他就看到当时的Nifty 50
[38:02] 你可以想象成就现在的什么M7之类的
[38:04] 就大家都认为说
[38:05] 一定不会输超级好的公司的爆炸
[38:08] 他就是看到那些爆炸
[38:09] 所以他對股票這種東西就覺得說
[38:11] 就像不知道他看到股票過來
[38:12] 他覺得說幹他一定是要亂摸我屁股
[38:14] 他要強姦我直接趕快散
[38:15] 他對股票會有一點
[38:17] 也不能說敵意
[38:18] 但就是會有很高的戒心
[38:20] 所以導致他選擇了那個路線所以像這位兄弟因為你加入的時間點老實講是比較不幸運的你剛好就是加入在AI的一个大回档之际那你要知道这AI的股票其实从过去到现在真的是为绝大多数
[38:32] 不管是台湾人
[38:32] 韩国人
[38:33] 日本人
[38:33] 美国人
[38:34] 都带来非常巨量的报酬
[38:35] 所以对于绝大多数人来讲
[38:37] 这就是一个回档
[38:37] 所以其实大家现在
[38:39] 如果你要去传输一些
[38:40] 那种什么基本面的鬼故事
[38:41] 你可能也不一定
[38:42] 吓得到这些人
[38:43] 因为他们在过去
[38:44] 看过太多个回档
[38:45] 就类似
[38:45] 我可能也看过很多个回档
[38:46] 所以我就会觉得
[38:47] OK可能就是某些理由导致它下跌
[38:50] 但我不会认为说是什么fundamental不行的
[38:53] 但因为按照你的角度是
[38:54] 你来的时候就是那个位置
[38:56] 所以你就会觉得说
[38:57] 是不是这些东西基本面不行
[38:58] 我只能够说你需要一点时间去适应一下
[39:01] 如果真的觉得不舒服的话
[39:02] 就去把部位降低
[39:03] 就不要打太满
[39:04] 所以还是建议大家去参与投资的时候
[39:06] 先用小量去做尝试
[39:08] 因为其实你不太确定
[39:09] 你会买在什么样的一个位置
[39:11] 但我觉得这是非战之罪
[39:12] 这绝对不是说什么你的问题
[39:13] 因为你跟我讲
[39:15] 6月多你要选什么股票
[39:16] 才可以避开
[39:17] 这一波的下杀
[39:18] 超难
[39:18] 真的超级难
[39:19] 所以就只能够稍微的去做承担
[39:22] 只是说在后面
[39:23] 假设还想要再去买东西
[39:24] 要去做加码
[39:24] 可以先慢慢的慢慢看
[39:26] 因为像我们节目前面分享的
[39:28] 其实下一堆东西
[39:29] 你看它已经跌到什么
[39:30] 它在15倍的时候
[39:31] 我就开始在买它了
[39:33] 它竟然可以变10倍股
[39:34] 类似这样
[39:35] 我们不确定会不会坏
[39:36] 据来说反弹
[39:37] 它是有出
[39:38] 真的有一个那种什么
[39:39] 绝世大跳
[39:40] 就是发生在
[39:41] 它杀到变7倍股
[39:42] 那其实从10倍变7倍又跌到30%
[39:44] 所以这个很难讲
[39:46] 这个我们也没有办法去做一些预判
[39:48] 但确实如果你今天用一个比较笼统的角度来说
[39:50] 前提是假设AI没有爆炸
[39:53] 也没有什么打抗泡沫那种类似的事件出现的话
[39:56] 现在其实真的蛮多东西是在所谓的便宜的地方
[39:58] 那过去可能我们跟大家讲一些股票的时候
[40:00] 说什么现在这个股票贵
