[00:00] 欢迎收听谷爱,我是圣梦宫,本期节目由军企医美赞助
[19:55] 就是市场最后面
[19:55] 就会去正确的帮所有东西定价
[19:57] 可是短期的话
[19:58] 市场其实超容易犯错
[19:59] 非常常犯错
[20:00] 那严格上来说
[20:01] 如果市场没有犯错的话
[20:02] 那各位都不用做主动交易了
[20:04] 懂我意思吗
[20:04] 就如果说你真的是相信说
[20:06] 市场是极有效率
[20:07] 然后一定是对的话
[20:08] 那特别是主动投资人
[20:09] 如果整天讲这样的话的话
[20:10] 你等于是打自己的脸
[20:12] 你懂我意思吗
[20:12] 因为你会去主动交易
[20:13] 就是你知道有预期的落差
[20:14] 那这个预期的落差
[20:16] 其实就代表说市场是错的
[20:17] 他没有定到正确的价格
[20:19] 所以像刚才前面所提到
[20:20] 像那什么KGI
[20:21] 去上修旺宏的目标价到300
[20:24] 他某个程度上是在告诉大家说
[20:26] 市场错了
[20:27] 那个价格是在那个地方
[20:28] 你懂我意思吗
[20:29] 所以这其实是一个
[20:30] 在我看来是很简单的逻辑
[20:32] 但后来发现说
[20:32] 蛮多人真的不知道这件事情
[20:33] 而且有些甚至做了好几年的人
[20:35] 他也不知道这件事情
[20:36] 因为不知道怎样
[20:37] 是浑厚度过的这些年
[20:38] 所以在我的角度是
[20:40] 如果你没有办法去识别
[20:42] 市场错的时候
[20:43] 那你要怎么样
[20:44] 在主动投资里面赚到钱
[20:46] 因为你主动投资
[20:47] 你去买一些东西
[20:48] 其实某个程度上
[20:48] 你就是相信说
[20:49] 市场正在犯错
[20:51] 那个价格应该是那个位置的
[20:52] 可是它竟然在这个位置
[20:53] 但如果换一个角度讲
[20:55] 如果你是很技术面的人的话
[20:56] 他们可能就真的会
[20:58] 比较容易会讲出说
[20:58] 市场是对的这件事
[20:59] 为什么
[21:00] 因为他们都是买那种
[21:00] 在右上角的股票
[21:01] 不管它什么垃圾故事
[21:03] 很多时候那故事
[21:04] 大家去check就发现说
[21:05] 干诈骗
[21:05] 好像最近某一档
[21:07] 跑去跌停的股票
[21:08] 那就是很多人就说
[21:09] 干他是诈骗
[21:10] 他前面不知道为什么
[21:11] 这么多人去推他
[21:12] 或什么的
[21:13] 那可是在当下
[21:14] 一直在狂涨的时候
[21:15] 你去问在上面参与的人
[21:16] 他们一定会跟你讲说
[21:17] 市场就是对的
[21:18] 对啦
[21:18] 就算你跟我讲说
[21:19] 故事是诈骗
[21:20] so what fucking
[21:21] 他就一直涨
[21:21] 你要讲什么
[21:22] 他就在涨
[21:23] 就是有赚钱
[21:24] 屌就大或什么的
[21:26] 那可是今天出现跌停的时候
[21:27] 那请问一下
[21:28] 现在到底是谁对谁错
[21:29] 到底市场是对还是错
[21:31] 所以我就不用一直去聚焦
[21:32] 这样的一个
[21:33] 到底市场对不对
[21:34] 杀小众
[21:34] 超无聊的讨论
[21:35] 就你要知道说
[21:36] 反正长期来看
[21:37] 市场不会骗人
[21:38] 没错
[21:39] 可是这个长期
[21:40] 是蛮长期的
[21:40] 就有时候可能在
[21:41] 短期在一两年内
[21:42] 我们也知道说
[21:43] 在过去的修正
[21:44] 你就想
[21:44] 如果市场永远都是对的话
[21:45] 就不会有那些修正
[21:47] 会有那些修正
[21:47] 就代表说
[21:48] 市场可能在犯错
[21:49] 或是你用更微观的角度
[21:51] 去看的话
[21:51] 你也可以说
[21:52] 市场是对的
[21:53] 因为现在就是可能
[21:54] 行情不好
[21:54] 所以大家先卖再说
[21:55] 所以价格就是对的
[21:57] 所以这是一个
[21:57] 很没有营养的讨论
[21:59] 但因为最近市场上
[22:00] 开始越来越多这样的讨论
[22:01] 我就觉得说
[22:02] 我们就聚焦回到一些
[22:03] 公司的论述上面去
[22:05] 所以其实像我过去
[22:06] 也不是想要去赌说
[22:08] 这个软体股就一定都是错杀
[22:09] 那搞不好
[22:10] 他就算是错杀
[22:11] 他也可以杀一整年
[22:12] 有时候会杀到你妈都不认得
[22:13] 所以我们不敢太有自信的原因
[22:15] 都是这样子
[22:15] 可是我们尽量是
[22:16] 反正就就事论事
[22:18] 一个公司我不愿意他涨
[22:19] 然后我就说他是好公司
[22:21] 那也不会
[22:21] 因为他跌就说他丧妈垃圾
[22:22] 就还是要把东西分清楚
[22:24] 所以软体它不是一宝
[22:25] 软体是有很多种
[22:26] 不同的层面的公司在里面
[22:28] 那有些是所谓的被取代的
[22:30] 而有些是
[22:30] 它可能在AI的加持之下
[22:32] 它变成是一个魔兽
[22:33] 它反而变得更强大的
[22:35] 就像Planetier
[22:35] 或是像是Cloudflare
[22:37] 我觉得就是这样的一个属性
[22:39] 那像硬体股
[22:40] 你也不会讲说什么
[22:41] 在AI的加持之下
[22:42] 每个都很好
[22:42] 因为硬体股
[22:43] 就像说像IPC
[22:44] IPC它就不是说什么
[22:46] 在过去一段时间
[22:47] 是最大的受惠者
[22:48] 那受惠者是哪一些
[22:49] 是那一些
[22:50] 所谓的电子五哥十哥
[22:51] 有去做AI相关的东西
[22:53] 那量大管宝
[22:54] 出一大堆东西
[22:55] 那可能毛利不一定很漂亮
[22:57] 可是重点就是说
[22:57] 实际上赚了很多钱
[22:58] 那可是现在这样
[23:00] 也不代表未来是这样
[23:00] 所以像硬体
[23:01] 你不会把所有东西
[23:02] 都包成一包
[23:03] 那软体也是一样的道理
[23:04] 所以这样就是在后面
[23:05] 我觉得要去识别这一些机会
[23:08] 那可能这个就是
[23:09] 在AI时代的一个
[23:10] 怎么讲
[23:11] 在投资方面很重要的学习
[23:13] 也就是说
[23:14] 有些的情绪会被放到更大
[23:16] 其实它有点类似说
[23:17] 之前大家讲说
[23:18] 社群对于股价的影响
[23:19] 社群会去放大一些波动跟震荡
[23:22] 那时候大概是两三年前的一个话题
[23:24] 那现在AI
[23:25] 我觉得就是把这个波动跟震荡放得更大
[23:28] 那往好处想就是说
[23:29] 当有这些波动跟震荡
[23:31] 或者说所谓的错杀错涨的出现
[23:33] 不管你是多军或是空军
[23:35] 你才可以在这里面找到机会
[23:37] 如果说市场都是非常绝对的在反应
[23:40] 都是那种所谓的
[23:41] 全强的效率市场假如说的话
[23:44] 那就会导致任何人
[23:45] 是没有办法在投资股票市场里面赚到钱
[23:47] 然后就要说知道美光的数字多少
[23:49] 它就一直涨到那个位置
[23:50] 那请问一下
[23:50] 你有办法再过去
[23:52] 什么低收
[23:52] 然后接着等到开财报
[23:54] 再卖出来吗
[23:54] 没有办法
[23:55] 因为它太有效率了
[23:56] 就不会有这样的机会产生
[23:57] 所以其实我们都要去掌握
[23:58] 市场中的这些
[23:59] 就是错误定价的时间点
[24:01] 这可能是蛮重要的一件事情
[24:03] 所以在接下来
[24:03] 如果美股产生一些破底的话
[24:05] 怎么讲
[24:06] 你可以选择就是像一些人
[24:08] 就会整天在网上po文说
[24:09] 美股他妈垃圾
[24:10] 我们回来做台股
[24:11] 但这个过去演过很多次
[24:13] 老听众人刚好知道
[24:14] 有一段时间大家想说
[24:15] 台湾就留给这些他妈的
[24:17] 垃圾法人跟这些投资公司
[24:19] 然后内线大户去玩
[24:21] 我们去美股
[24:21] 因为那段时间美股超好
[24:22] 然后后来换去美股
[24:23] 美股就吃大便
[24:24] 所以我自己还是会认为说
[24:25] 因为以美股在过去
[24:26] 它是比较没有表现的市场
[24:28] 怎么讲
[24:30] 按照自己的经验
[24:31] 觉得说它有机会
[24:32] 会是可能修正完之后的地方
[24:34] 也就是说它前面是最烂的
[24:36] 所以它可能在后面
[24:37] 就是有机会会转强回来
[24:39] 所以像我自己对美股的信仰
[24:40] 还是没有放弃
[24:41] 即便美股市场
[24:42] 可能在今年的表现是不太好
[24:43] 那能夠說就是要去因應下的一個狀態
[24:46] 去做出一些調整
[24:47] 特別是假設你已經知道說
[24:49] 後面就是高機率會產生一些破底
[24:52] 只要這個國際情勢沒有緩解下來的話
[24:54] 那如果到時候真的破底手上有沒有一些流動性可以去做採購你可不可以買到一些真的便宜的東西還说你所有的成本都是建立在超高的地方那请问要不要先去做一些调节或是要不要去做一些吃果轮动
[25:06] 这个我觉得都会是
[25:07] 可能在接下来
[25:08] 是蛮重要的一件事情
[25:09] 所以按照我自己的做法是
[25:11] 我可能在过去一阵子
[25:12] 就会开始去态掉一些
[25:14] 就是可能在portfolio里面
[25:15] 是比较不会涨的东西
[25:16] 那这个是我跟Peter Lynch学来的
[25:19] 反正就是说你要去
[25:20] 灌溉鲜花砍掉杂草
[25:23] 但很多人是砍掉鲜花
[25:25] 去灌溉雜草
[25:25] 也就是说你把它具体的实践
[25:27] 是理论上你的winners
[25:28] 就是你在你的portfolio里面
[25:29] 最会涨的东西
[25:30] 你要把它留着
[25:31] 甚至去把它加大
[25:32] 那些都不会动
[25:34] 或者说开始掉下去的东西
[25:35] 你就要把它去做一些修剪
[25:37] 如果说在后面真的是有一些破底
[25:40] 或者说偏移的机会出来的话
[25:41] 你才会因为说
[25:42] 你前面有修剪掉一些东西
[25:44] 然后因为像说
[25:45] 你家里有清掉一些垃圾
[25:46] 你才有地方可以去放
[25:47] 你新买的玩具
[25:48] 所以会往这个方向去做一些调整
[25:52] 接着还是要等到
[25:53] 就是有一些那种主流题材出来之后
[25:55] 才比较好再去做进一步的加码
[25:58] 像台股的话就是很明确
[25:59] 因为那个轮动是很明快的
[26:01] 可是美股的话
[26:02] 除了光以外
[26:03] 我真的是没有看到太多的机会
[26:05] 设备有些也开始进入一些横盘
[26:07] 但有一些比较强势的东西
[26:08] 像最近就是在看
[26:09] Teradyne
[26:10] 然后跟Adventest
[26:11] 就是在日本的股票
[26:13] 然后跟KeySight
[26:14] 就是他怎么讲
[26:16] 说他们都是在整个供应链上
[26:18] 算是有些地方是竞争
[26:20] 有些地方算是互补
[26:21] 环节不太一样
[26:22] 反正这些
[26:23] 相关的类股
[26:23] 我最近有在注意
[26:25] 因为它可能是
[26:26] 相对的强势
[26:27] 有走出去的
[26:28] 就会去看它
[26:28] 接着可能就是再去注意说
[26:31] 像前面已经修正完的东西
[26:33] 如果又再一次的转强
[26:34] 走出去的话
[26:35] 也会去优先的注意
[26:36] 持续软弱的东西
[26:37] 像Microsoft的话
[26:38] 前面我是有去做一些抄底
[26:40] 但它如果是持续软的话
[26:42] 我就不会去加它
[26:43] 就是加码一定都是要往
[26:44] 可能已经走出去
[26:45] 然后比较强的东西冲
[26:46] 你可以选择抄底
[26:47] 只是抄底之后
[26:48] 不要说越抄越多
[26:49] 然后买成大股东
[26:50] 然后套到变老公
[26:52] 这个就比较尴尬一点
[26:53] 可能就是有些东西
[26:54] 当你发现你去试单之后
[26:56] 然后它还是持续要往下走的话
[26:58] 你不要太容易的
[26:59] 在同一个成本区间
[27:00] 去建立太多的部位
[27:01] 因为如果它后来
[27:02] 真的就直接往下跳的话
[27:03] 你就会变得非常的棘手
[27:05] 非常的难处理
[27:06] 所以美股的轮动
[27:07] 可能要再等后面再识别一下
[27:09] 那台股的轮动
[27:09] 我觉得就蛮容易可以看得出来
[27:11] 就是过去的一些强势股
[27:13] 大家开始做头之后
[27:14] 然后东西换去别的地方
[27:16] 然后别的族群
[27:16] 直接整个整包拉出去
[27:18] 你就知道说
[27:18] 那就是一个新的资金轮动的产生
[27:20] 这个持续都有在台股去做发生
[27:23] 所以相对是比较好做
[27:24] 但是我还是觉得
[27:25] 以美股下的惨状
[27:27] 就是有机会
[27:28] 就等到它修正完之后
[27:29] 虽然真的不知道修正完什么时候
[27:30] 搞不好战争周面
[27:31] 不知道
[27:32] 最差的一个剧本
[27:33] 就是它变得像乌鱼那样子
[27:36] 就是说可能油价再一次的继续往上推
[27:39] 那都是没有办法掉下来
[27:40] 虽然下看几率应该不会太大
[27:42] 我还是相信说会settle掉
[27:44] 但如果油价一直停在高位的话
[27:46] 真的会产生掉一些
[27:47] 需求破坏的状态
[27:50] 那可能就会比较头痛一点
[27:52] 然后再来就是说
[27:53] 如果持续维持在高位的话
[27:54] 可能也会影响到利率
[27:55] 然后利率也会影响到
[27:57] 临走会有决策
[27:57] 那也会影响到一些市场标的估值
[27:59] 那就有可能会变成是一个
[28:01] 比较长尾的事件
[28:02] 那就会比较麻烦一点
[28:03] 所以反正都是携带携走
[28:05] 那先稍微跟大家分享一下
[28:06] 就是我自己会认为说
[28:08] 美股有点危险
[28:09] 又再一次的回到前提
[28:10] 有可能再吓一下大家
[28:12] 那要记得就手上要维持一些流动性
[28:15] 就尽量不要把东西干好干满
[28:17] 然后option买满
[28:18] 当然有时候这样赌
[28:20] 就是说真的有机会致富发大财
[28:22] 可是这样也有可能会让你在一次的失败里面
[28:24] 就直接爆炸
[28:25] 那最后发现说其实你是对的
[28:26] 然后就可能两三个月之后
[28:28] 他真的就在更高的地方
[28:29] 可是你在一次的战斗里面死掉的话
[28:32] 那未来的战役就跟你没有什么太大的关系
[28:35] 所以这也是要稍微注意一下的
[28:37] 大概这样
[28:37] 那接下来我们来进入QA的部分
[28:39] 第一位神奇保罗云霄飞车做怕了
[28:42] 感谢梦中大优质好节目
[28:43] 让我气氛载也可以吸收一些产业发展趋势
[28:46] 那祝福您全家身体健康平安快乐
[28:48] 那想请孟公大用诺娜的可爱声音
[28:51] 祝3月7号生日的婷婷生日快乐
[28:53] 哟谢谢
[28:54] 下面一位
[28:54] Lexi Wood台积上3000留言测试6
[28:57] MK您好
[28:58] 我是从第二集开始听的忠实听众
[29:00] 请帮我用CC位的声音
[29:01] 那不会那个太难的
[29:02] 那祝3月9号生日的苗栗
[29:04] 铜锣偏乡客家暗锤沟
[29:06] 快乐宝贝男友Demi生日快乐
[29:08] 从真食品后理解踏上科技也辛苦了
[29:12] 那1980终于决定下定决心
[29:14] 欧印台积交往五年
[29:16] 请快点跟我结婚
[29:17] 放弃新竹买房
[29:18] 跟我一起住亲普
[29:19] 那祝您全家身体健康
[29:22] 事事顺心
[29:22] and超底顺利
[29:24] 那非常感谢
[29:25] 也祝你们一些平安健康快乐
[29:27] 生日快乐
[29:27] 那下面各位
[29:28] 这集节目就到这
[29:29] 拜拜
[29:30] 古埃认证的边缘人
[29:32] 五星吹捧留言测试XIV
[29:34] 那记得MK大之间提过几次
[29:36] 自己不追卖飞的股票
[29:38] 能谈谈这是纪律问题
[29:39] 还是个性问题吗
[29:40] 还是性格问题吗
[29:41] 那另外有时候留言会自己产生画面
[29:44] 想像MK大一天的作息
[29:45] 不知道MK大是吃饱干活行
[29:48] 课完午餐后接着录节目吗
[29:50] 或是录节目的时间是怎么安排的
[29:52] 那像下的时间是3月14号的下午2点8分
[29:56] 反正就是吃饱饭之后就没事就来录个节目
[29:59] 那如果有事的话可能就玩一下小孩
[30:01] 然后等到大概3点再录
[30:03] 然后接着就直接上传
[30:04] 那一般是1点多录
[30:05] 然后就在3、4点的时候上传
[30:08] 那再讲说不追卖飞的股票
[30:10] 没有啦
[30:10] 就是一些股票
[30:11] 就算可能之前有做过
[30:12] 后来还是有机会会把它买回来
[30:14] 所以并没有说什么叫做不追卖飞的股票
[30:17] 应该是讲说你比较不会说
[30:19] 就像说一个标的可能今天做60到100
[30:22] 那你后来看到回挡到90的时候
[30:25] 你把它出掉
[30:25] 然后接着它110的时候
[30:27] 你又再把它追回来
[30:28] 这个我自己是比较不这样做
[30:29] 但是有一些那种做技术面的朋友
[30:31] 他们会这样做
[30:31] 或者有些我自己是那种比较偏向动能部位的
[30:33] 会这样子做
[30:34] 就是你只要看到有人要继续搞的话
[30:36] 你就有可能会再把钱丢回来
[30:38] 但确实比较不会说
[30:39] 可能我今天买
[30:40] 然后明天卖
[30:41] 然后可能大后天又再把它追回来
[30:43] 比较不做这样的事情
[30:44] 但一些怎么讲
[30:46] 独立的事件的话是例外
[30:47] 就是我今天可能买A标的
[30:49] 是因为某个故事
[30:50] 那我可能做了一段
[30:51] 然后接着呢
[30:52] 后来他可能到了另外一个价位去了
[30:54] 可是我今天买的可能是另外一个故事
[30:56] 那我觉得他就用重新的方式去定义它
[30:58] 就是我不会去觉得说
[31:00] 过去我曾经买它是便宜的
[31:02] 那我今天就不买
[31:02] 因为如果是这样子的话
[31:03] 其实像台股很多标的
[31:04] 你都不可能再买了
[31:05] 因为相较于可能不知道
[31:07] 最早去做的时候
[31:07] 2016 2018 2020
[31:09] 其实现在很多东西都是天价
[31:11] 你根本那时候没有想象过什么
[31:13] 这么多天价股
[31:14] 这么多千元股在那边
[31:15] 那在我们的角度就会觉得
[31:17] 就是都是独立的事件
[31:19] 就是你可能上次在
[31:20] 做一些板厂的时候
[31:22] 它是几十块
[31:22] 那它现在是三四百块
[31:24] 可是你还是有可能买回来
[31:25] 但这个你不会把它视为
[31:26] 是什么过去卖肥
[31:27] 因为那可能是不一样的事件
[31:29] 就像是
[31:29] 像他的新人杀手东巴两家
[31:31] 两家家族飞起来
[31:32] 其实两家飞起来的故事
[31:34] 跟当时可能很多人进去买的故事
[31:35] 不然像我自己也曾经
[31:37] 在差不多一百多块的时候
[31:38] 去买蚊帽
[31:39] 只是后来我是把它停损掉
[31:40] 那我买的故事
[31:41] 春田的故事
[31:42] 可是它现在在长的是
[31:43] 光通的故事
[31:44] 那我们可能因为光通的故事
[31:46] 就把它买回来
[31:46] 是有可能的
[31:47] 只是就是讲说
[31:48] 怎么讲
[31:49] 这个是一个新的事件
[31:50] 我们不会把它称为是什么
[31:51] 卖飞
[31:52] 就是说那个理由是要连贯的
[31:54] 所以有些人会觉得说
[31:56] 我曾经在几块钱买过某支股票
[31:58] 拿到现在多少钱
[31:59] 那在我们听起来
[32:00] 好像废话
[32:00] 是因为你那时候买理由
[32:01] 跟现在的理由
[32:02] 可能是差很多的
[32:03] 那你本来就不太可能
[32:04] 用当时的理由包现在
[32:05] 下面一位
[32:06] 酷拉皮卡车
[32:08] 快乐宝贝其实一点都不快乐
[32:09] 好奇Google的TPU是要卖给谁
[32:11] 不是讲过了
[32:12] 然后再来就是
[32:13] 一定还是有很多那种中小的业者
[32:15] 会想介入
[32:16] 各大CSP不都有自己的ASIC
[32:17] 没错
[32:18] 他们目前都是用自己的ASIC为主
[32:20] 只是不排除后来
[32:21] 就是有可能有些假设
[32:23] 在竞争里面失利的话
[32:24] 是有可能会想要去用Google的东西
[32:27] 但当然他们都还是有一些
[32:28] 那种竞争的关系在
[32:29] 所以未必会想用
[32:31] 没错
[32:31] 另外想要跟大家分享一个
[32:33] 我在进座的时候
[32:34] 突然冒出来的想法
[32:35] 人活着遇到很多的痛苦跟挫折
[32:37] 其实比快乐的许多很多
[32:40] 那所以痛苦跟挫折
[32:41] 才是人生的常态
[32:43] 但也是因为这些痛苦
[32:44] 才让我们变得更好
[32:45] 那明白这一点
[32:46] 虽然现实还是很辛苦
[32:47] 但能够少一点疑惑
[32:49] 多一点宽心
[32:49] 祝福大家都能够改正自己的错误
[32:51] 然后慢慢的进步
[32:53] 这个我完全认同
[32:54] 就是我确实
[32:55] 觉得在生命中
[32:57] 磨难跟痛苦是比较多的
[32:59] 那这也是为什么
[32:59] 我会跟大家说
[33:00] 就是IG有时候你看看就好
[33:01] 因为IG是每个人的highlight
[33:03] 我帮你说像我自己的IG
[33:04] 但我现在可能都是只放孩子的照片
[33:06] 因为我觉得除了孩子以外的东西都不值得一提
[33:09] 所以我也没有什么要跟大家分享
[33:10] 但总之就是
[33:12] 我可能也是上传一些
[33:13] 跟孩子出去玩的照片或什么的
[33:15] 但其实绝大多数的时间是怎样
[33:17] 就柴米油烟酱醋茶
[33:18] 小朋友要上学
[33:19] 要接他
[33:20] 然后去上什么的才艺班
[33:22] 然后可能要带他去吃个餐厅
[33:24] 吃个饭或什么的
[33:25] 或者说可能他有一些情绪上的问题
[33:27] 在课业上需要去辅助他之类的
[33:30] 有的没有的
[33:30] 但这些东西你都不会把它抛网路上
[33:32] 所以你抛网路上的东西
[33:33] 基本上就是所谓的快乐的时刻
[33:35] 那这些快乐的时刻
[33:36] 其实在生命中的占比
[33:38] 它并不是一个大多数
[33:39] 那可能很多人
[33:41] 现在就是大量的看了这些
[33:42] 社群媒体变得不太快乐的原因
[33:44] 是因为他们就觉得说
[33:45] 怎么别人都过得很快乐
[33:46] 然后我过得不快乐
[33:47] 怎么别人都感觉很漂亮
[33:48] 那我怎么一点都不漂亮
[33:50] 但其实是因为
[33:51] 大家都把最好的一面
[33:52] 可能会放在网路上
[33:52] 跟大家分享
[33:53] 谁会分享说
[33:54] 他妈我很惨很苦的一面
[33:55] 会啦
[33:55] 好像我节目就跟大家分享说
[33:56] 可能不慎被套
[33:58] 或者说有些决定做错
[34:00] 因为我自己是觉得
[34:01] 把这些东西讲出来
[34:02] 是还蛮舒服的
[34:03] 但其实你会注意到
[34:04] 很多人是不愿意去讲
[34:05] 自己脆弱的一面
[34:06] 或是不愿意讲自己赔钱
[34:08] 像我们的投资圈
[34:09] 也很多人会讲
[34:09] 就说他不愿意去分享
[34:11] 说什么自己赔钱
[34:12] 好像说每次都是赚钱
[34:13] 你每天都在赚钱的话
[34:14] 那你怎么还没有变台湾首富
[34:16] 照你的报酬率
[34:17] 你早就该变台湾首富了
[34:18] 那不是每个人都会去跟你
[34:20] 分享一些那种
[34:21] 可能难受的那一块
[34:22] 所以当你看久了之后
[34:24] 你就会觉得
[34:24] 是不是大家都很好
[34:25] 是不是只有我很废
[34:26] 怎么感觉我的人生特别苦
[34:28] 没有
[34:28] 只是因为大家都
[34:28] 只会把好的贴出来
[34:32] 痛苦跟挫折是蛮多的
[34:34] 但也不要去认为说
[34:35] 这个是人生的常态
[34:36] 或是它就是绝对的一切
[34:38] 应该说你就要习惯它
[34:39] 就要知道说
[34:40] 你要有一些好的事情的发展
[34:43] 一般来讲都会先有一个痛苦
[34:45] 或是需要等待
[34:46] 就是世界上的所有的好事
[34:48] 或是很珍贵的东西
[34:49] 几乎都不是唾手可得的东西
[34:51] 因为唾手可得的话
[34:52] 它就不会是好事跟珍贵的东西
[34:54] 不知道大家听不听得懂
[34:54] 下面一位
[34:55] 林口张元英
[34:56] 薯条好大盘
[34:57] 听这集的时候
[34:58] 刚好来林口老街吃
[35:00] 旧名叫长松牛排
[35:01] 那下烂
[35:02] 40元薯条超大盘
[35:04] 大概两包中薯以上吧
[35:06] 那其他餐厅有的薯条
[35:07] 60到120都有
[35:08] 但就是一个小小碗的量
[35:10] 那鼠被乱喊价
[35:12] 推荐给您
[35:14] 那一间CP值高的夜市牛排味店
[35:17] 那个长送牛排之前
[35:18] 我还蛮常去点他的Uber外送
[35:19] 只是后来好像
[35:20] 好像是换人经营还是怎么样吧
[35:22] 反而就就比较少叫了
[35:24] 那确实是一个很棒的餐厅
[35:26] 下面一位
[35:26] 传道桥头自然歪
[35:28] 推荐一部动画Overlord
[35:31] 那孟公请问您有没有
[35:33] 您在没有AI的时代
[35:34] 是怎么样整理笔记的
[35:35] 有AI的时候
[35:36] 又是怎么样整理笔记的呢
[35:37] 那对啊那边好多人
[35:38] 在买拼多多跟Uber
[35:39] 那请问您有没有什么头绪
[35:41] 祝大家天天开心
[35:42] 拼多多是没有什么兴趣
[35:44] Uber的话
[35:45] 其实我自己是一直有
[35:46] 想要去买Uber
[35:48] 可是后来都没有去买
[35:49] 我也不知道主因在哪
[35:50] 但我自己算是高度绑定Uber
[35:52] 不管是轿车或是Uber Eats
[35:54] 都是我几乎每天都会使用的东西
[35:56] 对可能就是不知道
[35:57] 因为以前的印象
[35:58] 他高度竞争嘛
[35:59] 那只是他现在开始
[36:00] 把一些竞争者排出去之后
[36:01] 对啊或许可能可以去
[36:03] 研究看看这个Uber的股票
[36:05] 就是有空再跟你讨论
[36:06] 那再来讲说
[36:07] 是怎么样整理笔记
[36:08] 其实我不太爱整理笔记
[36:09] 就是以前可能会去写一些笔记
[36:11] 或者说去把它整理成
[36:13] word档或什么之后
[36:13] 后来就发现说
[36:14] 真的重要的东西
[36:15] 其实当下就会直接记起来
[36:17] 因为我记忆力也不算是不好
[36:18] 这样讲好像有点绕口
[36:20] 就记忆力算蛮不错
[36:21] 只是我也不想讲说
[36:22] 自己记忆力很好
[36:22] 好像在自吹
[36:23] 但反正总之就是一般
[36:24] 真的重要的东西
[36:26] 就是看一次就会记起来
[36:27] 那如果是不重要的东西
[36:28] 就会忘记
[36:28] 但如果说今天是一些
[36:30] 那种数字
[36:30] 就是觉得说
[36:31] 我可能知道一些公司的
[36:32] 什么生产量或什么的
[36:33] 那我是有可能会把它
[36:34] 放在小memo里面
[36:35] 就等于说是
[36:36] 有一天要查的时候
[36:37] 可以拿出来看
[36:38] 可是绝大多数的东西
[36:39] 我并不会把它
[36:40] 超成字笔记
[36:41] 把它留下来
[36:42] 那在AI时代
[36:43] 其实也并没有说去
[36:45] 因为这样子
[36:46] 多写一些笔记或什么的
[36:47] 我只是去把一些
[36:48] 可能大量的文字的资料
[36:51] 然后让他去帮我做一个通证
[36:52] 我快速的吸收了解
[36:53] 或是一些
[36:54] 我自己觉得
[36:55] 并不是投资核心的东西
[36:57] 就像说像我们每天都会去看新闻
[36:58] 以前看新闻就是可能
[37:00] 我要去多找几个网站
[37:01] 我家比用我都直接放给
[37:02] 像近期的使用case
[37:03] 就是直接放给Proplexity Computer
[37:06] 然后每天让他帮我设一个任务
[37:08] 就时间到就直接把昨天的
[37:10] 可能最有流量的几个新闻都丢给我
[37:12] 然后或者说最市值大的前十家公司
[37:15] 有公布财报的人就丢给我
[37:17] 就当天前十大市值的
[37:19] 你就把它整理来
[37:20] 像这个就会帮我省下非常多的时间
[37:22] 但也不会因为这样去做笔记
[37:23] 就只是可以看得更快而已
[37:25] 下面一位JCC棉花工尼可孩大你好啊那女儿出生之后慢慢体会孟公说的重新建立体会童年的感觉纵使女儿只有六个月每天晚上回家抱她
[37:36] 对我笑的感觉
[37:37] 真的是一天疲惫的良药
[37:38] 那题外话
[37:39] 近期海大有玩RE9吗
[37:41] 小弟的体验还不错
[37:42] 那另外GTA6
[37:44] Apple Folder and Touch Mac
[37:45] 救得了消费性市场吗
[37:47] 祝LISA全家
[37:48] and观众们身体健康
[37:50] 非常谢谢
[37:50] 那首先
[37:51] RE9的话
[37:53] 在上次好像有听众跟我讲完之后
[37:55] 我忘记是听众跟我讲
[37:56] 还是我朋友跟我讲
[37:57] 但我有把它弄来玩
[37:58] 真的是做得非常的精美
[38:00] 很好玩
[38:01] 然后再讲说
[38:02] Apple的折叠机跟TouchMac
[38:04] 有没有办法救消费性市场
[38:06] 或者说GTA6
[38:07] 有没有办法去处罚
[38:08] 我觉得都比较困难
[38:09] 都比较困难
[38:10] 可能会有一些换机潮的发生
[38:13] 可是按照目前各种言调的
[38:15] 一个资料调查
[38:17] 跟目前我们看到的一些拉货数字
[38:19] 其实今年的消费性
[38:21] 应该都还是不好
[38:22] 而且甚至是
[38:23] 有些是年减
[38:24] 像笔电的话应该就是一个年减
[38:26] 手机的话
[38:27] X Apple
[38:28] 就是Apple以外的
[38:29] 应该蛮多也会是年减
[38:31] 但Apple的话
[38:32] 应该会是一个年增
[38:33] 而且Apple可能会卖得更好
[38:35] 包含说像我们在前几天跟大家聊到的
[38:37] 我们觉得它这个低价策略是OK的
[38:39] 除了去协助它的AI渗透之外
[38:41] 当然比较
[38:42] 怎么讲
[38:43] 实务面的话
[38:44] 它可以打进一些教育市场之类的
[38:46] 这些都是蛮有发挥空间的
[38:48] 所以Apple应该会不错
[38:50] 可是其他人会不太好
[38:51] 这样子有没有办法去把整个消费市场拉起来
[38:53] 比较困难
[38:54] 但我们还是会持续的去关注
[38:56] 因为有时候
[38:56] 东风一来是一瞬间的
[38:58] 如果有看到影子
[38:59] 会跟大家分享
[39:00] 下面一位
[39:01] 姨这个生鱼片有熟吗
[39:03] 我的老公是男友界的天花板
[39:06] 如果你的另外一半
[39:07] 不言不久认真谈感情
[39:08] 不喜欢到处社交
[39:09] 平常就喜欢打打游戏玩玩手机
[39:12] 已经赢了80%的全国女生
