[00:00] 歡迎收聽谷外,我是蕭夢宮
[19:04] 這個也算是我一直在跟大家傳道的
[19:07] 就因為我自己的經驗
[19:07] 所以我就跟大家
[19:08] 網路言論是不等價的
[19:09] 你要知道講的人是誰
[19:11] 很重要
[19:11] 講的人是誰真的非常重要
[19:13] 因為如果講的人是一個
[19:14] 你根本就懶得care的nobody
[19:16] 那他講什麼到底幹你屁事
[19:17] 他在網路上就算有1000個贊
[19:19] 可是1000個人
[19:20] 是一輩子都不會跟你交手的
[19:21] 你到底為什麼要在意他的一個想法
[19:23] 所以我覺得Michael O'Leary
[19:26] 算是對他的business
[19:27] 是非常瞭解
[19:28] 他知道他的客人是什麼樣子
[19:29] 所以他可以去嗆出這些話
[19:31] 即便他在網路上可能是逆風
[19:32] 可是你就會注意到他的票還是會賣得很好
[19:34] 因為真的夠便宜
[19:35] 所以就大概是簡單跟大家分享一下
[19:37] 自己對這個事件的看法
[19:38] 當然我自己是站在
[19:40] 我希望可以在更多地方看到
[19:41] Starlink這樣的一個角度
[19:43] Starlink一開始剛出的時候
[19:44] 我也是在國外有幫大家測試過
[19:47] 那時候他那一代天線還超級大一顆
[19:49] 那個網路真的非常快
[19:51] 就只是有一些小缺點
[19:52] 你要打FPS的話可能會沒有辦法
[19:55] 因為他過程之中衛星交錯的時候
[19:57] 會有小斷線
[19:58] 那時候是這樣
[19:58] 那下到最新的可能有空
[19:59] 再幫大家去做一些測試
[20:01] 但它真的是一個非常非常好的產品
[20:03] 那希望在更多地方可以看到
[20:04] 那我覺得如果今天廉價航空要用的話
[20:06] 一定就是可能成本夠低的一個狀況
[20:09] 就它價格變得更加便宜
[20:10] 所以你也不用太在意
[20:12] Michael O'Leary去回擊了什麼
[20:13] 什麼藍油成本殺小
[20:14] 如果今天真的夠便宜啦
[20:16] 夠輕
[20:16] 那可能還會用
[20:17] 就他就還會用
[20:18] 因為他就上人嘛
[20:19] 他也不是說真的要去disc嘛
[20:21] 是各自的
[20:21] 那或者說
[20:22] 其他的廉價航空
[20:23] 因為裝了WiFi之後
[20:24] 然後很意外的發現說
[20:26] 客人他們願意
[20:27] 為了WiFi多付一點錢
[20:28] 那就有可能
[20:29] 他也會跟著裝
[20:30] 反正就是在商言商
[20:31] 那只是
[20:32] 在我自己的角度看來
[20:33] RunAir就是一個
[20:34] 便宜到令人乏指的航空公司
[20:35] 然後大家已經是
[20:36] 把它當成是
[20:37] 反正就是
[20:38] 空中的某種程度的巴士
[20:40] 所以我根本就懶得叼
[20:41] 你給我什麼東西
[20:42] 你只要不要騷擾我
[20:43] 不要煩我就好
[20:44] 然後給我超級便宜的價格
[20:45] 我就沒有什麼太大的問題
[20:46] 那我之前被弄到是
[20:48] 反正那時候要改機票
[20:49] 當然改機票
[20:50] 我們都知道說要付錢
[20:51] 只是改機票
[20:52] 然後變成是
[20:53] 你要付比
[20:54] 本來機票還要貴很多
[20:55] 這個就是我第一次遇到
[20:57] 可是也沒有辦法
[20:58] 因為大家都在搶那個票
[20:59] 因為你根本沒有別的選擇
[21:01] 你總會打亂
[21:01] 所以某程度上也讓他很有底氣
[21:04] 因為他就是真的是拿下了
[21:05] 蠻大的一個事戰
[21:07] 好 大家這樣
[21:07] 簡單跟大家聊一下這個事件
[21:09] 好 接著我們快速的來看一下
[21:10] 市場下的狀態
[21:11] 現在臺灣市場真的是非常強勢
[21:13] 是強勢到很誇張那一種
[21:15] 就如果說你今天去比一下NASDAQ
[21:17] 就會發現說脫鉤了
[21:18] 過往當然我們的節目
[21:20] 跟大家聊過數次的脫鉤現象
[21:22] 最後面其實都是會收斂回來
[21:24] 漲多的就下去
[21:25] 漲少的可能就拉上去
[21:26] 或者說兩個一起下去
[21:28] 然後跌多的可能就後來跌少一點
[21:30] 然後漲多的可能後來跌多一點
[21:31] 反正基本上臺美是有高度的一個
[21:34] 同方向的一個調性
[21:36] 所以應該後面還是會有收斂的情形出現
[21:39] 只是老實講臺股真的是強到
[21:41] 我自己就覺得有點不可思議
[21:42] 最近甚至是市場的廣度
[21:44] 已經又開始的開啟了
[21:46] 過往我們講說市場是呈現一個非常窄的狀態
[21:49] 但我覺得可能跟關稅的談判是有關係
[21:53] 就是一些過去非常疲軟的股票
[21:55] 像一些什麼工具機
[21:57] 傳統的加工鐵工
[21:58] 重南部的傳產工廠什麼的
[22:01] 那這些在股票市場
[22:02] 都是表現非常爛的
[22:03] 但如果你現在看一下
[22:04] 什麼上銀
[22:04] 值得
[22:05] 全球傳動
[22:06] 或是一大堆
[22:07] 反正你可以列出來這種
[22:08] 所謂的比較偏傳產工廠的
[22:10] 那在過去一陣子
[22:12] 其實這個股價表現都是非常的好
[22:14] 那所以再簡單的講一下
[22:15] 我們上期因為有提到說
[22:16] 我認為這個關稅談得非常好
[22:18] 那後來就是
[22:19] 當然我們知道說
[22:20] 不要去看一些少數言論
[22:22] 然後只是
[22:22] 就是有人要把我放在一些論壇
[22:24] 去給人家燒
[22:25] 說我在亂講
[22:26] 我不懂還是什麼
[22:27] 反正我們是什麼說書人
[22:29] 反正就講一堆有的沒有的東西
[22:31] 但一樣
[22:32] 就是每個要罵的
[22:33] 我覺得都是可以罵
[22:34] 就像我們有一句嘴別人一樣
[22:36] 那只是
[22:36] 很多時候像我跟大家分享一個
[22:38] 很重要的觀念
[22:39] 前面又再一次的提到
[22:40] 說言論是不等值的
[22:41] 先查一下講的人是誰
[22:43] 你查一下
[22:43] 你確定一下
[22:44] 就講人這樣高階
[22:45] 或者說
[22:46] 為什麼他會有這樣的想法
[22:47] 其實有時候你稍微查一下
[22:48] 要麼你就發現說
[22:49] 對方有可能是假賬號
[22:51] 那不然就是
[22:52] 對方可能真的是受害者
[22:53] 那我為他感到同情
[22:55] 所以他要出來罵
[22:55] 要出來批評什麼
[22:56] 那也是蠻合理的
[22:58] 因為其實一個世代的發展
[23:00] 就是一定有些東西會受害
[23:01] 有些東西就受害
[23:02] 那確實在臺灣
[23:03] 如果你今天是念理主
[23:04] 你就是憂於文主
[23:05] 你的發展就是會差很多
[23:07] 所以當然一定有些人會不喜歡
[23:09] 會不高興
[23:10] 只是我最後面會跟大家講一個結論是
[23:12] 反正我們都只能夠為自己
[23:14] 跟為自己的家人去做努力
[23:16] 那如果今天發現
[23:18] 我自己在一個不對的軌道
[23:19] 是我覺得趕快換車
[23:20] 趕快跳車
[23:21] 那所以因為我們的工作
[23:22] 就是市場繫結
[23:24] 就是在做股票
[23:25] 講白點就是這樣子
[23:26] 那甚至是
[23:27] 我們的一些延伸的應用
[23:29] 不然說像我的節目
[23:30] 也是跟股票相關
[23:31] 那或者說我們的創投
[23:32] 老實講
[23:33] 如果說臺灣蝦
[23:34] 是一個非常貧瘠的狀態
[23:36] 你覺得創投會搞得起來嗎
[23:37] 特別來這種遊戲創投
[23:38] 偏文化類的
[23:40] 一定就去吃大便
[23:40] 所以對我來講
[23:42] 就是我們的戰隊
[23:42] 一定會非常分明
[23:43] 那過去大家也知道說
[23:45] 我們節目的長期聽眾
[23:46] 應該都知道
[23:47] 我被抹過各種顏色
[23:49] 很多時候你回頭看就發現說
[23:51] 其實我們就就事論事
[23:52] 雖然講的東西可能大家不一定喜歡
[23:54] 所以才會被抹上各種不同的顏色
[23:57] 像講關於電力的東西
[23:58] 我覺得說核電不錯
[23:59] 那就變成說你這個臭小草
[24:01] 就人去講是小草
[24:02] 現在又變成說什麼我是小綠
[24:04] 反正不管怎麼樣
[24:05] 這顏色就是換來換去
[24:06] 我覺得他們會看不清楚
[24:08] 說我們為什麼會
[24:10] 可能在一些人的眼中
[24:11] 看起來是顏色換來換去
[24:12] 是因為我們從來都不是用顏色在評論
[24:14] 我們從來都是用自己的工作在評論
[24:17] 我的工作就是投資
[24:18] 要搞清楚這件事情
[24:19] 所以就像剛才前面講的
[24:21] 你為什麼會不懂Michael O'Leary的說法
[24:23] 是因為你的考量跟他不一樣
[24:25] 你以為說你在搞一個高階餐廳
[24:27] 人家是在搞那種廉價吃到飽
[24:29] 超級便宜的
[24:30] 或者說甚至不是吃到飽
[24:31] 是什麼一人一口吃個粗飽
[24:32] 他在玩這種生意的
[24:34] 然後你在搞那種高階one to one的
[24:36] 你覺得你們的想法怎麼可能會一樣
[24:38] 所以其實以目前的市場的角度來看
[24:40] 臺灣的市場在關稅的反應上
[24:42] 其實是很直接明朗
[24:44] 我們指數是在過去一陣子
[24:46] 都是維持相對的強勢
[24:48] 再來就是市場的廣度開啟
[24:50] 這件事情其實非常關鍵
[24:51] 就是過去一些不會漲的股票
[24:53] 然後現在開始漲了
[24:54] 他們為什麼過去不會漲
[24:56] 因為他們就受到關稅的壓抑或是說關於日韓競爭者的一個強烈環伺之家在報價輸人家現在你看到他們的股價動起來其實代表說可能新一波的因為過往會講說
[25:08] 你在做股票
[25:08] 可能就做半導體
[25:09] 或電子股都會賺錢
[25:11] 你現在在搞一些傳產的
[25:12] 可能你都意外會開始賺錢
[25:14] 所以可能之後等到
[25:15] 就是說在車上的人賺錢的越來越多之後
[25:18] 你就會發現說
[25:18] 我們這群人的身量就越來越大
[25:20] 現在可能會給人家罵
[25:22] 因為有些人他就真的沒有賺到錢
[25:23] 他就真的是有受傷
[25:25] 我也不會想要去
[25:26] 像一些比較激進的
[25:27] 就會講說你活該了
[25:28] 你就是爛了什麼的
[25:29] 因為我們知道在世界上
[25:31] 其實光是活著
[25:32] 就是一個不容易的事情
[25:33] 坦白講是這樣
[25:34] 可不可以賺錢
[25:36] 我有一個很常說的說法是
[25:38] 我覺得你只要是一個
[25:39] 夠聰明的人
[25:40] 就是你腦袋夠好
[25:41] 其實你都可以過得不錯
[25:42] 但是如果你要大富大貴
[25:43] 其實你還是要有運
[25:44] 所以運是很重要的
[25:46] 不會有任何一個
[25:47] 我覺得真的有本事
[25:48] 可以幹大的
[25:49] 然後他會講說
[25:50] 都是我自己厲害
[25:51] 都沒有運
[25:51] 都一定有運
[25:52] 你光是你出生在臺灣
[25:54] 或者你出生在美國
[25:55] 你出現在什麼八部星級內亞
[25:56] 還是馬達加斯加
[25:57] 你覺得你的發展有可能一樣嗎
[25:59] 就算你是同一個機體
[26:00] 你也不一樣
[26:01] 你只能夠說
[26:02] 我自己是很努力
[26:03] 可是我也感謝
[26:04] 可能環境讓我
[26:05] 讓我走向一個更好的方向
[26:06] 或是感謝當時選組的時候
[26:08] 我可能是選理科之類的
[26:09] 就是那個想法就會
[26:11] 隨著一些這種背景知識的差別
[26:14] 會有一些不一樣
[26:15] 所以我不會認為說
[26:16] 那些可能在幹屌的
[26:17] 全部都是活該給我們趕
[26:19] 雖然有時候
[26:20] 他們用一些比較強烈的言論
[26:21] 我就會想笑
[26:22] 我覺得說難怪你這樣
[26:23] 但現在也不會想去批評人家
[26:25] 因為覺得每個人都是媽媽的寶貝
[26:27] 好不好
[26:27] 就那些可能看起來很兇的
[26:28] 他們也是他媽媽的寶貝
[26:29] 然後可能就下來比較不順
[26:31] 所以希望他可以順
[26:32] 那只是呢
[26:33] 至少這個股票的廣度是開啟了
[26:35] 這是一個好事情
[26:36] 代表更多的族群可以去做參與
[26:38] 也不會變成說
[26:39] 就是我們過往的討論
[26:40] 有時候我們還是會聊一下
[26:41] 一些外面的東西
[26:42] 所以我們後面都
[26:43] 比較不聊可能科技
[26:44] 跟半導體以外的東西
[26:46] 因為真的沒有題材可以做
[26:47] 以前你可能還會做一下
[26:48] 別的題材
[26:48] 現在真的沒有別的東西可以做
[26:50] 可是現在你看到這工具機起來
[26:52] 或許你後面沒有選項的時候
[26:53] 就可以去工具機
[26:54] 雖然以我自己的角度來看
[26:56] 就目前還是有太多的成長性
[26:57] 是比這個更加缺點
[26:59] 還有一點要強調
[27:00] 就是因為川普政府
[27:01] 他們一向就是會有
[27:03] 這種改來改去的一個慣性
[27:05] 所以後面有可能會改
[27:06] 然後再來就是我覺得
[27:07] 其實臺灣人對於關稅的話題
[27:09] 會有一些衝突的一個
[27:11] 很核心的原因
[27:12] 其實還是盧特尼克
[27:13] 所以其實我們在
[27:14] 最早關稅的話題的時候
[27:16] 就是在講說
[27:16] 盧特尼克真的是一個
[27:17] 我覺得非常討人厭的人
[27:18] 當然臺灣還是有些人是他的粉絲
[27:20] 一直在寫他多調
[27:21] 我看不懂
[27:22] 我真的看不懂
[27:23] 為什麼會寫這個人怎麼樣
[27:24] 所以那時候會講說
[27:25] 我覺得像貝森特的腦袋
[27:26] 或是整個想法我是比較喜歡
[27:28] 那盧特尼克就因為他就喜歡嘴丘
[27:30] 所以他就是有附帶一句
[27:31] 就是說他希望40%的半導體
[27:34] 產能是愛美國
[27:35] 這句話其實坦白講
[27:36] 就是不太可能的事情
[27:37] 就算他想要也不一定可以達成
[27:39] 就是非常困難
[27:40] 因為他現在在短時間內
[27:41] 可能把美國的share拉上去
[27:43] 可是整體來看
[27:44] 其他地方也是會持續的增長
[27:46] 所以你說美國要拉到40%
[27:47] 其實按照半導體的這個特性
[27:49] 如果你說IC design之類的
[27:51] 還有機會
[27:51] 但如果你今天講說
[27:52] 要把Fab
[27:53] 或是一些半導體related的東西
[27:55] 然後變成說美國的製造是40%
[27:57] 我覺得那個就是一個政治言語
[27:59] 就是他怎麼講
[28:01] 因為他就是要去宣誓他多屌
[28:02] 他的過往的慣性就是這樣
[28:04] 他就是各種那種西韓吹田口
[28:06] 非常厲害的人
[28:06] 所以他講的話
[28:08] 我也是不喜歡
[28:08] 所以應該這樣講
[28:09] 就是說我們講的一些言論
[28:11] 然後可能把它評論出來
[28:12] 其實在臺灣的角度看
[28:14] 這是一個好的東西
[28:14] 只是他們會去拿一些其他的
[28:16] 可能比較自衛末節的東西
[28:18] 也不能說自衛末節
[28:19] 因為畢竟盧特尼克
[28:20] 就真的是商務部長大官
[28:21] 大官講的話
[28:22] 然後說你看你們臺灣人在自衛
[28:24] 其實他就是要把你所有東西都搶走
[28:26] 所以我說我們跟你們一樣
[28:27] 是非常討厭盧特尼克
[28:28] 只是至少以下我們看到的地友
[28:31] 他是一個不錯的狀態
[28:32] 也就是說既然大家都要被美國給劫一把
[28:35] 馬匪都是要劫你一把的話
[28:37] 其實這都是一個相對的
[28:39] 你被劫比較少的
[28:40] 你關稅付比較少
[28:41] 你相對於你的對手付的少
[28:42] 你相對你的對手
[28:44] 你是成本更有競爭力
[28:46] 其實你就是贏了
[28:47] 那當然我照現在來說
[28:48] 會講說你這就是RQ
[28:49] 就是最好的狀態
[28:50] 就是你不要被美國人搶
[28:51] 那這些人可能就是不懂國際見識
[28:53] 他們可能就是以為說
[28:54] 你真的可以
[28:55] 我還是要做美國人生意
[28:57] 可是我都不要去理你關稅
[28:58] 有什麼的
[28:59] 那我都不要配合
[28:59] 你真的可以這樣做嗎
[29:01] 很多人就記要起要
[29:02] 腦袋沒有想清楚
[29:03] 所以大概這樣
[29:03] 那簡單跟大家說自己的看法
[29:05] 那總之這個市場廣度開啟也好了
[29:07] 那之後話題可能多元性也會變多
[29:09] 那我們再持續觀察看看
[29:11] 但希望不要後面有一些翻盤的狀況產生
[29:13] 那是最好
[29:14] 那這就我們加進去的部分
[29:16] 地位波波愛上孟公
[29:17] 愛上孟公的那一天
[29:19] 有點長
[29:19] 但因為他前面寫孟公去嘎
[29:21] 所以念一下
[29:21] 孟公去嘎
[29:22] 您好我是波波
[29:23] 最近被公司的主管針對
[29:25] 只因為他的新人兒子獎金領的比我少
[29:27] 而且甚至發獎金前
[29:29] 他故意把我的獎金寫在他兒子的名字上
[29:31] 那當然董事長有主持公道
[29:33] 但看到這嘴臉還是很不爽
[29:35] 想問孟公去嘎會怎麼調適心情
[29:37] 怪不得這公司除了這主管
[29:38] 其他都很棒
[29:39] 我怎麼感覺有回答過你的問題
[29:41] 我好像回答過你的問題
[29:42] 那想來林口先夢宮參拜一下
[29:44] 祝福我持續朝理想生活前進
[29:47] 遠離小人
[29:47] 股票高開長大
[29:48] 愛生氣的妮妮
[29:49] 快點跟波波和好
[29:50] 我會繼續帶你吃喝玩樂
[29:52] 疼愛你一輩子的
[29:53] 那祝福夢宮
[29:54] 跟著radio help
[29:55] 環遊世界
[29:56] A家人永遠平安健康幸福
[29:57] 資產翻的跟周杰倫一樣愛你
[29:59] 不是啊
[30:00] 非常感謝這位兄弟
[30:01] 或是姐妹的說法
[30:02] 但問題是我印象中
[30:04] 我回答過這個
[30:05] 真的有印象
[30:06] 所以如果你們要留言
[30:07] 你們每一集都要聽好不好
[30:09] 你不要說你來留言
[30:10] 然後你又要聽不聽的
[30:11] 所以就變成說
[30:12] 我明明就回答過
[30:13] 還是我現在在中寫
[30:15] 但是我是印象中回答過
[30:16] 你往前找
[30:16] 下面一位
[30:17] 筍克里斯多夫
[30:20] 安東尼奧
[30:20] 班尼迪克
[30:22] 希爾維特
[30:23] 會不會被卡掉
[30:23] 留言密碼測試是
[30:25] 我是快樂氣氛仔
[30:26] 筍克里斯多夫
[30:28] 你還沒辭職吧
[30:28] 你名字那麼長是怎樣的
[30:30] 終於找到留言的地方了
[30:31] 希望主委可以助我
[30:33] 我不要助你
[30:34] 你名字太長
[30:34] 而且他故意寫好幾次
[30:35] 12月26號生日快樂
[30:37] 2002出生
[30:38] 爸媽的個性
[30:39] 跟主委的爸媽幾乎一樣
[30:41] 高好
[30:41] 身於安穩的公務員世家
[30:43] 有時候分享類似的故事
[30:44] 聽著聽著其實很有共鳴
[30:45] 只有我非常叛逆
[30:47] 走一個喜歡大冒險
[30:48] 不穩定但很酷的養動物工作
[30:50] 根本氣死爸媽的系列
[30:53] 祝主委一家平安身體健康
[30:55] 非常感謝
[30:56] 對啊
[30:56] 就是我們的爸媽
[30:57] 可能是屬於那種相對穩定的人
[31:00] 就是比較注重安穩大於一切
[31:03] 所以他們其實給我們的很多指引
[31:05] 是這樣子
[31:05] 但其實這樣的一些指引
[31:07] 我後來越來越覺得
[31:08] 它是有幫助到我
[31:09] 就是當你看到身邊有些人衝很快
[31:12] 可是後來烙曬爆炸或什麼
[31:13] 你就覺得說
[31:14] 還好我一向是比較風險區別的
[31:17] 只是我自己是有意識的去調這個mixture
[31:20] 就是雖然是風險區別
[31:21] 可是我還是會去做一些
[31:23] 像是朋友的生意投資
[31:24] 或是像說今年可能要開餐廳
[31:27] 或是什麼遊戲的創投
[31:28] 其實都算是非常高風險的事情
[31:30] 就是自己去抓一個平衡
[31:32] 可能說你有相對穩的
[31:33] 然後去做一些相對沖
[31:34] 就像是我自己股票都是以這個
[31:37] 自己去選股做題材做股票
[31:39] 或者說去翻財報
[31:41] 找一些有趣的故事或什麼
[31:42] 但實際上我也是有那個
[31:44] 定期定額0050
[31:45] 或者說我不知道買什麼
[31:46] 就丟0050
[31:47] 所以就是因為有一些那種保守的思維
[31:49] 所以會讓我把這些東西
[31:50] 就可以混在一起做使用
[31:52] 那往一個角度想
[31:53] 就是說我可能這樣子比較安全
[31:55] 往另外一個角度想
[31:56] 有時候不免也想說
[31:57] 早知道那時候衝一點
[31:58] 說不定我家又可能飛更高更遠
[32:00] 但總之人生就是知足常樂
[32:02] 那也希望你順利
[32:03] 下面一位林口新移民之子
[32:05] 觀音大爺保佑
[32:07] 聽說林口有做謝夢宮
[32:08] 宮裡有尊觀音大爺
[32:10] 公主是Lisa的阿姨
[32:11] 來這邊許個願
[32:12] 而且他後面沒有觀音大爺
[32:14] 現在我仍在外頭出差中
[32:16] 這個只剩下我自己
[32:18] 然後他說
[32:19] 我老媽是林口的新移民
[32:20] 掛號李阿美
[32:21] 前兩天才入住林口頂福林園
[32:23] 剛到新的環境
[32:25] 人生地不熟
[32:26] 還請觀音大爺可以幫忙照顧一下
[32:28] 那若有他有路過謝夢宮
[32:30] 再麻煩公主跟他說
[32:31] 我捨不得他的離去
[32:32] 也很想念他
[32:33] 永遠愛他的兒子Jason2
[32:35] 那奉勸各位在父母還走而動
[32:37] 多帶他們出去走走
[32:38] 別把盲字掛嘴邊
[32:39] 等到他們走不動就多多陪伴
[32:42] 那要記得血緣只有今生沒有來世
[32:45] 好好珍惜彼此幾輩子修來的緣分
[32:47] 那最後再來大
[32:48] 好人一生平安
[32:49] Lisa以及一對寶貝
[32:50] 平安健康快樂
[32:51] 非常感謝這位兄弟
[32:52] 充滿味道充滿溫情的一個留言
[32:55] 雖然我講味道很怪怪
[32:56] 但反正總之呢
[32:57] 這個應該可以超越時空啦
[32:59] 希望在林口的大愛
[33:01] 還是有幫忙的照顧一下
[33:03] 這個新住民來了
[33:04] 好好的疼惜他一下
[33:05] 那也希望在夢裡可以多看到他
[33:08] 下面一位
[33:08] 酷炫饅頭
[33:10] 人生迷茫
[33:11] 挨大安
[33:12] 我現在25歲
[33:13] 做行政文書一年半
[33:15] 工作超重複
[33:16] 越做越覺得自己被耗掉
[33:17] 沒有什麼成就感
[33:18] 也不知道下一步要幹嘛
[33:19] 不是不努力
[33:20] 只是不知道要往哪裡走
[33:22] 也覺得自己沒有一技之長
[33:23] 我想換到穩定
[33:24] 但不要無聊的工作
[33:25] 像是營運流程協調這種
[33:27] 那最近也在想
[33:28] 要不要出國學語言
[33:30] 當做人生重開
[33:31] 那想要去菲律賓學英文三到四個月
[33:33] 掛英文基礎很破
[33:35] 回來希望能夠用英文應付大部分的溝通
[33:38] 增加轉職到營運助理
[33:40] 克服營運業助的機會
[33:41] 之後再想要不要去日本學日文
[33:44] 想問您
[33:45] 如果你在我這個狀態
[33:47] 你會怎麼選
[33:47] 我這樣的做法是逃避嗎
[33:49] 還是其實是個可以翻身的投資
[33:51] 那最後謝謝大家
[33:52] 讓我在通勤的路上不孤單
[33:54] 祝您全家一切平安
[33:56] 酷炫饅頭
[33:57] 老實說就是很多人的留言
[33:59] 在我這邊
[34:00] 我都是會覺得說
[34:01] OK我大概知道你想要幹嘛
[34:03] 所以OK
[34:03] 但你是很少數
[34:05] 就是我看完之後
[34:05] 我真的覺得你不知道要幹嘛的
[34:07] 就沒有惡意
[34:08] 可是你真的看起來不知道要幹嘛
[34:09] 那你要換的工作
[34:11] 我感覺也是會讓你覺得自己被耗掉
[34:13] 就什麼業主啊
[34:15] 或什麼營運助理
[34:16] 你覺得那個在幹嘛
[34:17] 那一定也在做雜事啊
[34:18] 所以你一定還是覺得說
[34:19] 操我在這幹嘛
[34:20] 那你的解方竟然是要跑去菲律賓
[34:22] 學英文三到四個月
[34:24] 然後之後再跑去別的地方學日文
[34:26] 這個對我來說
[34:26] 但我得說語言本身是有幫助啦
[34:30] 因為我自己就算是語言不錯的人
[34:31] 所以語言在我的
[34:33] 至少工作上面是幫助很大
[34:35] 可是語言它終究是
[34:37] 對我來說是某種工具
[34:38] 所以如果說你今天是
[34:40] 需要這個工具的話
[34:42] 但有時候是書到用時方很少
[34:44] 好像我小時候也不知道說
[34:45] 原來這個語言
[34:46] 可以在這些方面上幫到我
[34:48] 甚至我老婆
[34:49] 其實一開始跟我講英文
[34:50] 我根本也沒有想過
[34:52] 那是一個比較
[34:53] 怎麼講偏向說是盲目
[34:55] 沒有辦法看到終點的一種投資
[34:57] 可是它就是有效了
[34:59] 所以當然也不能夠否決掉
[35:00] 說你跑去菲律賓學
[35:02] 或是你跑去什麼
[35:03] 哪裡學日文
[35:04] 它某個程度在未來會幫到你
[35:06] 可是按照你現在
[35:07] 你對於生涯的期許跟規劃
[35:09] 我覺得它幫到你的機遇
[35:10] 本身就是偏低
[35:11] 就是你是做行政文書
[35:13] 就是重複性很高的東西
[35:14] 然後現在又要再去做
[35:15] 另外一個可能相對
[35:16] 重複性很高的東西
[35:17] 所以這些語言可以幫助你多少
[35:19] 我覺得可能沒有
[35:21] 可能就是一個那種校外教學好玩
[35:23] 然後花了一筆錢
[35:23] 然後覺得說我現在有點能力
[35:24] 然後之後可能會更生氣
[35:25] 老子都拿了某個徵兆回來
[35:28] 那我怎麼還是隻有這樣
[35:29] 所以我覺得是要大破大立
[35:31] 雖然我沒有辦法
[35:32] 從你的說法裡面知道更多的線索
[35:35] 可是我感覺你這個選項是錯的
[35:37] 就你應該是要跳出來
[35:38] 然後去想別的更大的東西
[35:41] 就像說老子就要去拼個什麼國外業務之類的
[35:44] 這個就跟你本來的特性差很多
[35:46] 因為你想要講的
[35:46] 你想要做的事情
[35:47] 跟你正在做的事情
[35:49] 跟這個就差很多
[35:49] 你現在就是要去往那個方向拼
[35:51] 有時候是這樣
[35:51] 就是你不要覺得說自己都是準備好才去
[35:53] 你就先去再說
[35:54] 有時候你又意外的就中了
[35:56] 或什麼的
[35:56] 那就像我可能畢業跑去考機師
[35:59] 我也沒有想過會中
[35:59] 或是我那時候還有申請一份工作
[36:01] 因為我跟大家聊過
[36:02] 就是在當兵的時候跟營長請假
[36:04] 然後跑去報那個什麼
[36:05] 海尼根的培訓業務
[36:08] 我覺得還有一個培訓業務
[36:09] 就是說什麼之後可以空降主管之類的
[36:11] 我也沒有賣過東西
[36:12] 我也沒有賣過酒
[36:13] 可是我也是過到最後一關
[36:15] 然後被刷掉
[36:15] 所以很多時候就是
[36:16] 你先試了才知道
[36:18] 就是你不要先去想一大堆
[36:19] 就類似說什麼
[36:20] 我今天想要搞個遊戲創投
[36:21] 我先去研究一下
[36:22] 什麼臺灣的遊戲界的狀態
[36:24] 然後我再怎麼樣
[36:25] 我再怎麼樣再去做
[36:26] 你這樣就不會做了
[36:27] 你就直接先衝進去
[36:28] 然後衝進去之後
[36:29] 你再看怎麼樣去修正它
[36:30] 只要你衝進去的代價
[36:31] 不會太大就OK
[36:33] 那以你來說
[36:33] 你現在不知道25歲
[36:34] 你也沒有什麼家累
[36:36] 你也沒有欠錢或什麼的
[36:37] 你其實很有底氣
[36:39] 可以去選任何你想要做的事情
[36:40] 我跟你講
[36:41] 等到你到我的年紀
[36:42] 雖然我也沒有多老
[36:43] 33 34
[36:43] 可是現在對我來講
[36:45] 這些東西就已經真的是夢了
[36:47] 就是以前
[36:48] 當然我現在講出來
[36:49] 可能就會覺得很好笑
[36:50] 可是我也想過說
[36:50] 有一天我假設要認真去研究DJ
[36:53] 我搞不好可以變Avicii
[36:54] 或什麼的
[36:54] 雖然當然聽起來很像幹話
[36:56] 只是你還年輕的時候
[36:57] 你真的可以去夢想這些東西
[36:59] 可是你過了三幾歲
[37:00] 四幾歲
[37:00] 或是你有家庭有小孩
[37:01] 你就知道說
[37:02] 就算你現在想要去做那件事情
[37:04] 你的成本超級高
[37:05] 然後你的
[37:06] 可能會遇到的摩擦是超級大的
[37:09] 你未必會有辦法做
[37:11] 就算你有那個天分
[37:12] 所以還年輕就是你最大的本錢
[37:14] 那我覺得你要想大一點
[37:15] 就是你現在想的東西
[37:16] 都還是太保守
[37:18] 然後太短視
[37:19] 我感覺是這樣
[37:20] 就是直接跟你說
[37:21] 我覺得你的想法
[37:24] 然後跟你的規劃
[37:25] 感覺都有一些問題
[37:26] 你要直接整個打掉重變
[37:27] 你乾脆先去找一些比較明確的就是你哪個工作是你真的想做的或甚至是你不知道你想做什麼那你先找錢多的然後先想辦法擠進去再說然後再看你缺什麼再去補其實很多人都這樣
[37:38] 像身邊有些朋友
[37:38] 什麼在半導體廠的
[37:40] 現在要跑去什麼
[37:41] 美國唸書什麼
[37:41] 他也是發現說
[37:42] 他要升到那個位置
[37:43] 他需要這個他才去念
[37:44] 如果他當時
[37:45] 根本連進去都還沒有進去
[37:46] 他就想說我要念書
[37:47] 我要弄這個我要弄那個
[37:48] 他一定什麼都不會做
[37:49] 所以這小弟的小小建議
[37:51] 參考看看
[37:52] 下面一位
[37:52] Pedro的羊
[37:54] 我保1月26號生日快樂
[37:55] 愛大安
[37:56] 我跟男友都是忠實聽眾
[37:57] 從交往到現在準時收聽
[37:59] 想愛大安用一口氣
[38:00] 不間斷的念法
[38:01] 祝全世界最棒的男友
[38:03] 折折1月26號生日快樂
[38:04] 健康平安
[38:05] 2026季節大爆色
