[00:00] 歡迎收聽國外,我是孫夢宮,本期節目由綿豆腐贊助
[19:31] 然後竟然還聯想到了
[19:32] 因為那個圖片上面沒有上蓋
[19:34] 所以大家就選擇去做空一些標題
[19:36] 那只是就我們的理解
[19:38] 它不一定會往那個方向去走
[19:39] 它可能只是一箇中繼的研究解放
[19:41] 我這個稍微跟大家講一下
[19:43] 那最後呢我們來聊一下
[19:44] 市場情緒相關的一些
[19:46] 簡單的心得討論
[19:47] 那像今天就有自己的營業員跟我講說
[19:50] 他們那個耗子
[19:51] 已經整個禮拜都是人
[19:53] 就大家都跑去狂做交易
[19:55] 然後再來就是
[19:56] 像身邊一些做量化
[19:58] 或是做策略漲停的朋友講說
[20:00] 散戶好多好爽啊
[20:02] 一直衝啊
[20:02] 他們都瘋狂的一直要往上追價
[20:04] 那這麼好的日子
[20:06] 不知道可以幸福多久
[20:08] 這個是我們一直有聽到的一個說法
[20:10] 那身邊一些
[20:11] 我覺得資金蠻大的人
[20:13] 也開始聞到一些恐懼的味道
[20:15] 但其實老實講
[20:16] 他們聞到恐懼的味道
[20:17] 這個我會站比較neutral去看待
[20:20] 就是如果說今天
[20:21] 怎麼講
[20:22] 就當然他們都是smart money
[20:23] 他們都是big money
[20:24] 可是大家假設都不怕的話
[20:27] 那我可能才會隱隱約約覺得害怕
[20:29] 可是如果今天
[20:30] 一些很有sense的人
[20:32] 他們已經提早有先去踩剎車
[20:34] 或什麼的
[20:35] 有時候我自己不免的會去思考
[20:36] 說會不會
[20:37] 其實最樂觀的行情還沒有出現
[20:39] 就是說那都是一個相對的
[20:40] 像上集聊到
[20:41] 其實現在的行情雖然很瘋狂
[20:43] 但它是很窄的一個行情
[20:44] 它不像2021
[20:45] 就是那時候可能設飛標買股票
[20:48] 你隨便買真的都會賺錢
[20:49] 就還是有差
[20:50] 所以以現在跟那時候比
[20:51] 我就不會覺得說現在是比較瘋狂
[20:53] 它只是因為現在可能指數在一個更高的危機
[20:55] 可是指數在更高的危機
[20:57] 也是有它的背景理由存在
[20:59] 不然說像通膨就是一個很絕對的影響
[21:02] 然後再來
[21:03] 其實臺灣的企業這幾年越賺越多錢
[21:05] 也都是事實
[21:06] 所以指數本來就是會越跌越高
[21:08] 我覺得沒有什麼爭議
[21:09] 但是說全面瘋狂有沒有不一定
[21:11] 那在這種時間點呢
[21:13] 老實講我自己也不太確定
[21:14] 要怎麼樣去做一些預判
[21:16] 所以很多時候我們都只能夠
[21:18] 就是看到有各種狀況出來的時候
[21:20] 立刻去做調整
[21:21] 這我想也是為什麼
[21:22] 就是在可能幾年的這樣子做下來
[21:24] 會發現說難怪
[21:26] 就是有時候可能突然間極度樂觀
[21:28] 會一瞬間散崩
[21:30] 因為可能很多人的想法都跟我們一樣
[21:31] 就是我們都知道party還在進行中
[21:34] 那我們也都不想要提早回家
[21:36] 那怎麼辦
[21:37] 就是說我開始發現有一些不對勁
[21:39] 像前幾個交易日其實就有一次
[21:41] 只是後來是有拉回來
[21:42] 就是突然間跳下去
[21:43] 然後大家就會跟著瘋狂亂砍表跡
[21:46] 這些smart money
[21:46] 可能都想要第一班車都直接跳走
[21:48] 那只是有可能
[21:50] 就是接著又被拉起來就繼續開走
[21:52] 那沒有辦法
[21:52] 其實每次像這樣子的一些拉回的產生
[21:55] 以我自己來講
[21:56] 我都是會有一些部位被洗掉
[21:58] 因為我就是不想要當留下來洗碗的那個人
[22:00] 因為以前洗過碗
[22:01] 所以你現在不想要洗碗
[22:02] 所以就會變成
[22:03] 有些你可能槓桿比較大的部位
[22:05] 你就趁這個地方趕快把它丟掉
[22:06] 或者有些你就已經知道你在白嫖了
[22:08] 就你那個心態上
[22:09] 這個其實很難說
[22:11] 因為最近開始網路上
[22:12] 又有一些那種主被動之戰
[22:14] 大家在那邊吵架
[22:15] 有時候在旁邊看
[22:15] 也覺得蠻過癮的
[22:16] 只是我自己
[22:16] 不會想要吵這個原因
[22:17] 是因為像我們都知道說
[22:19] 在自己的手上的部位
[22:20] 有些我真的就是
[22:21] 非常密集的
[22:22] 在看你的基本面
[22:23] 那也不是說
[22:24] 非常密集的
[22:24] 看基本面的標的
[22:25] 我就會贏了
[22:26] 有些密集看基本面的標的
[22:27] 真的都不會漲
[22:28] 超鳥的
[22:29] 那有些密集看基本面的
[22:31] 帶給你非常好的一個報酬
[22:32] 但總之就是因為
[22:33] 整體看起來不錯
[22:33] 所以你會這樣的做
[22:34] 有些標的老實講
[22:36] 根本就沒有在屌他的基本面
[22:37] 像我現在手上有一些新藥股
[22:39] 其實我是不太喜歡新藥股的
[22:40] 只是因為他形態真的長得很好看
[22:42] 然後他的成交量又還蠻不錯
[22:44] 然後外加那個形態的感覺
[22:46] 有機會要突破
[22:47] 所以我就搞一點
[22:48] 像這種東西就會變成說
[22:49] 如果今天盤面不好的時候
[22:50] 我一定第一個丟這個
[22:52] 因為我根本對你的公司不熟悉
[22:54] 或者說我也不願意去了解
[22:55] 就算可能有人會給我memo
[22:57] 我也懶得看
[22:57] 因為我就只是來做你的形態的
[22:59] 類似這樣的一個選擇
[23:02] 所以因為你有這樣子的一些配置的存在
[23:05] 所以就會變成
[23:06] 當今天你注意到
[23:07] 整個市場開始有風向的轉變的時候
[23:10] 這些東西一定他媽的
[23:11] 第一時間就會把它丟掉
[23:12] 雖然有時候會超乎你的想象
[23:13] 就是你以為會有防守性質的東西
[23:16] 反而這方面疊比較多
[23:17] 然後那些你覺得
[23:18] 應該大家都只是來虛情假意的
[23:21] 做做形態
[23:21] 就意外的超級強
[23:23] 當你看過很多這種事情之後
[23:25] 其實你就不會太鐵齒
[23:26] 所以我很多時候看到人家那種超級鐵齒
[23:28] 我覺得說你看不夠多
[23:30] 你真的是看不夠多
[23:31] 就像以前我也對神明這種事情很鐵齒
[23:32] 你看不夠多
[23:34] 看了夠多之後
[23:35] 你就不會對什麼很鐵齒
[23:36] 因為我發現這個世界之大
[23:37] 很多鳥事都是會發生的
[23:39] 所以那些你以為
[23:41] 大家會把它丟掉的東西
[23:42] 結果沒有想到最後面會是最強的
[23:44] 所以有時候我會跟我自己的朋友細成說
[23:46] 我搞不好以後會變成什麼
[23:48] 技術面的一個終極信徒之類
[23:50] 我現在都只把它當一個輔助
[23:51] 可是其實有時候
[23:52] 你真的會覺得說這個東西有料
[23:53] 就是說你只要懂得去判斷的話
[23:55] 很多時候會幫你把
[23:56] 不是說你隨便就去用那種量化的方式
[23:59] 然後可能臺股
[24:00] 美股幾千檔股票
[24:02] 然後去選上期
[24:02] 是不是好看
[24:03] 我不會做這種事
[24:03] 我一直說
[24:04] 可能我選好了幾個
[24:05] 在股池裡面的
[24:06] 我知道說
[24:07] 你們可能在未來的發展是不錯
[24:09] 你們那個TEMP
[24:10] 是會持續成長的
[24:11] 那突然間你表態了
[24:12] 那股價突然動
[24:13] 那個一般都有理由
[24:14] 就類似說
[24:15] 那個裝置產物突然間動起來
[24:17] 你覺得為什麼突然間動起來
[24:18] 真的是因為說
[24:19] 有人聊到
[24:20] 有人提到
[24:20] 不是
[24:21] 那都很多錢
[24:22] 才可以撬動的東西
[24:23] 那可能就是說
[24:24] 他們已經提早知道一些事情了
[24:26] 你知道嗎
[24:26] 就如果你今天
[24:29] 當然除非那種超級嚴格
[24:30] 你有籤一堆東西
[24:31] 你可能不能動
[24:32] 你剛好聽到
[24:33] 你搞不好是他的外圍的一些什麼
[24:35] 承包商之類的
[24:35] 你知道人家要去上修書之
[24:37] 要去改什麼
[24:37] 你要怎麼做
[24:38] 買股票啊
[24:39] 你一定趕快跑去買股票
[24:40] 你就知道你怎麼可能不買
[24:41] 因為說你去買
[24:43] 你又買得很急
[24:44] 你又叫你的朋友買了什麼
[24:45] 所以就推上去
[24:46] 有時候真的是因為這樣
[24:47] 當然一定會有人舉說什麼
[24:49] 有些突破片假突破片
[24:50] 我能夠說
[24:51] 因為事實上沒有穩贏的東西
[24:52] 只是說你長期這樣子做然後你知道停損要怎麼樣去抓的話其實是有機會可以一直持續的賺到錢總之就是我自己的想法是這樣因為剛好我在
[25:04] 這個禮拜就要出國了
[25:05] 所以已經有提早去做一些調整
[25:08] 接下來會再持續的往下調
[25:10] 會希望說把這個部位
[25:11] 弄得比較善一點
[25:13] 集中度稍微降低一點
[25:15] 然後接著
[25:16] 反正幾個checkpoint
[25:17] 第一個就是臺積的法
[25:18] 說開出來看怎麼樣
[25:19] 然後接著我們再找下一個checkpoint
[25:21] 然後看是怎麼樣
[25:22] 再去把這個部位去做新一波的一個調整
[25:25] 但現階段這個行情真的很瘋狂
[25:27] 真的有一種那種氣勢
[25:28] 像是說在第一季就要把大家績效做完了
[25:31] 所以我覺得一定很多人
[25:32] 會產生一些FOMO的情緒
[25:33] 覺得說我如果都沒有搭到的話
[25:35] 會不會今年就沒了
[25:37] 但一般這種時候
[25:38] 就是有機會後面大家會受傷
[25:39] 那我們也不是喜歡去當那一種
[25:41] 就是可能這個股價一直跌的時候
[25:43] 就跟你講說什麼
[25:43] 要一直買一直買
[25:44] 因為後面會反彈
[25:45] 然後說一直漲的時候
[25:46] 就跟你講說後面一定會崩
[25:47] 因為本來市場就一定這樣
[25:49] 就是說有起有落
[25:50] 潮起潮落
[25:50] 那就是一個像呼吸一樣的
[25:52] 正常的迴圈
[25:53] 只是我們其實在追求
[25:55] 就是說在這個過程之中
[25:56] 可不可以在潮起的時候
[25:58] 我們就多賺一點
[25:59] 潮落的時候
[25:59] 不要受到這麼多的傷害
[26:01] 所以其實在努力的方向
[26:02] 是這樣子
[26:03] 所以看著自己身邊的朋友
[26:05] 去做一些調節
[26:06] 反而不免的讓我去想說
[26:08] 搞不好還沒有到
[26:09] 最瘋狂的那個時間點
[26:11] 我就有時候很好笑
[26:12] 就覺得說
[26:13] 我自己體感上的一些經驗
[26:15] 就以前可能發生過
[26:16] 你看到自己身邊
[26:17] 有些朋友在調節
[26:18] 然後最後面
[26:19] 就證明他們真的是對
[26:21] 就調的真好
[26:21] 因為後來可能出現了一個
[26:23] 不知道就大盤來說
[26:24] 五到八趴的一個回檔
[26:26] 然後搞不好後面又再繼續噴走
[26:28] 那些賣掉的人
[26:29] 他不一定買得回來
[26:30] 所以重點還是手上要去拿這部位
[26:32] 我覺得這個是比較重要的一件事情
[26:35] 所以大概講一下
[26:36] 我現在對這個瘋狂行情的一個看法
[26:39] 稍微跟大家抒情一下
[26:40] 那也覺得
[26:41] 其實投資這件事情
[26:42] 也沒有這麼複雜
[26:44] 因為一開始會複雜是
[26:45] 你可能沒有方向
[26:46] 所以你就亂做
[26:48] 然後就覺得說
[26:48] 有好多東西要學
[26:50] 好多東西要弄
[26:50] 可是最後面
[26:51] 你真的會慢慢的
[26:52] 變成那種減法的思維
[26:54] 就是有些東西
[26:54] 你會做的
[26:55] 你就會一直瘋狂的重複做
[26:57] 那有些東西呢
[26:58] 你知道今天
[26:59] 如果是天塌下來
[27:00] 他也有機會可以扛住的
[27:01] 你會那個資金
[27:02] 可以趴到那個地方去
[27:03] 你會開始產生一些
[27:04] 想法跟論述邏輯
[27:06] 那因為說
[27:07] 你自己的中心思想
[27:08] 越來越明確
[27:09] 那就會導致說
[27:11] 其實你也不會想去
[27:11] 跟人家做太多的辯論
[27:13] 因為發現說有些人
[27:14] 你怎麼講他也聽不懂
[27:15] 就是不同世界的人
[27:16] 是聽不懂
[27:16] 就是有些人他就是創業的
[27:18] 創業的老闆們
[27:19] 他去跟那些覺得說
[27:21] 創業是白痴
[27:22] 創業是超級高風險
[27:23] 我只想要穩定拿薪水就好
[27:25] 你跟這些打工的講
[27:26] 怎麼可能聽得懂
[27:27] 也不知道去貶低打工的
[27:28] 打工的
[27:29] 他打工了半天
[27:30] 跳來跳去越賺越多錢
[27:31] 那創業的有些就死掉了
[27:32] 所以那個心態上差很多
[27:34] 所以就會導致
[27:35] 他們做出來的選擇不一樣
[27:37] 所以有時候你去注意說
[27:38] 一些那種糾紛
[27:39] 或者說派別的選擇上
[27:41] 為什麼他們會有這樣的一個
[27:43] 就是說那種糾紛產生
[27:45] 你稍微觀察一下
[27:46] 如果你發現說
[27:46] 他們其實在追求的人生目標
[27:48] 是不一樣的話
[27:48] 你答案就知道了
[27:49] 所以這時候你根本就沒有辦法
[27:51] 去炒出一個高下
[27:52] 就因為那是說
[27:53] 因為像我自己
[27:54] 以前也曾經是腿派的
[27:56] 然後後來我就變成是靠派
[27:57] 結果發現說
[27:57] 成年男生很多時候都變靠派
[27:59] 那當你變靠派的時候
[28:00] 你去找一個腿派的
[28:02] 你們要去做辯論
[28:03] 你會發現說
[28:04] 好的結果叫做
[28:05] agree to disagree
[28:06] 不好的結果
[28:07] 就是你們大打出手
[28:08] 可是你們其實
[28:08] 永遠都找不到一個結論
[28:09] 你們只能夠試著去互相接受彼此的一個選擇
[28:12] 因為我就是喜歡屁股
[28:14] 你就喜歡腿
[28:14] 雖然這個舉例感覺很奇怪
[28:16] 可是我覺得我把答案
[28:18] 這樣子可以闡釋的非常非常的明顯
[28:20] 那大概這樣
[28:21] 那接下來我們來進入Q的部分
[28:22] 第一位沸沸腦補王
[28:24] 感謝又帥又薩的挨大
[28:26] 長期理性輸出
[28:27] 早期疫情時就有聽骨癌
[28:29] 但當時腦子可能有動
[28:30] 完全沒有意識到這個節目的含金量這麼高
[28:32] 那最近重聽才發現
[28:34] 以前錯過的不只是報仇還有思考
[28:36] 直接從第一集補起
[28:37] 連同回街思考一起復習人生
[28:39] 現在我跟男友
[28:41] 每週最期待的就是新的集數
[28:42] 吵架的時候
[28:42] 還會用挨大的話
[28:43] 互相風水
[28:45] 效果比技術分析
[28:46] 祝您與家人都健康平安
[28:48] PS男友從業
[28:50] 1月30號生日
[28:51] 請挨大祝男友生日快樂
[28:53] 並請他多給女友一些情緒價值
[28:56] 留言被唸到
[28:56] 就是最好的生日禮物
[28:58] 祝從業生日快樂
[29:00] 其實節目的部分
[29:02] 因為老實講
[29:02] 我自己也都有感的發現
[29:04] 我這些年的一些成長跟變化
[29:06] 不然說其實有些聽眾
[29:08] 他們講說早期聽不下去
[29:11] 是因為我講了很多髒話
[29:12] 那反而有些人是反過來的
[29:13] 他想說現在講話越來越清晰了
[29:15] 不會去講一些幹話
[29:16] 不會去講一些髒話
[29:17] 反而他覺得沒有這麼有趣
[29:18] 所以其實每個人的喜好不一樣
[29:20] 就像我們前面講的
[29:21] 青菜蘿蔔各有所好
[29:22] 有些人可能是他在那個時間點
[29:26] 有可能是說你的
[29:27] 怎麼講
[29:28] 發展還不到
[29:29] 所以你聽不懂
[29:29] 也有可能說你發展早就已經超過我
[29:31] 所以你就覺得說
[29:32] 媽這個人在講什麼童言童語
[29:34] 都有可能
[29:34] 但也都不排除
[29:36] 只是說反正最後面會發現
[29:38] 這個世界這麼大
[29:39] 選擇這麼多
[29:39] 只要在某些時間點
[29:41] 有人可以陪過你就好
[29:42] 就類似可能在某些時間點
[29:43] 我曾經超級喜歡小叮噹
[29:45] 我不會糾結說
[29:46] 小叮噹現在到底變怎麼樣
[29:47] 改名叫哆啦A夢或什麼的
[29:48] 那我曾經喜歡過小叮噹就好
[29:50] 所以只要這個節目
[29:51] 可以在某個時間點
[29:52] 幫助到大家
[29:53] 我覺得都是
[29:53] 對我來說是
[29:55] 是很好的一件事情
[29:56] 那也非常感謝
[29:57] 大家的一個支援
[29:58] 下面一位
[29:59] 翻桌寶寶留言密碼測試二
[30:02] 海大您好
[30:03] 想請教您對銀劍谷的看法
[30:05] 以及有無業內的相關資訊
[30:07] 可以透露
[30:07] 您曾提到房地產是經濟火車頭
[30:10] 銀建股低迷已久
[30:11] 那另外關於記憶體模組廠
[30:13] 營收跟庫存多半可以預期
[30:15] 那散戶還能夠從哪些管道
[30:17] 掌握其他的資訊
[30:18] 目前仍抱著記憶體股
[30:20] 擔心抱過一座山頭
[30:22] 懇請指點謝謝
[30:23] 那首先銀建股本身
[30:25] 不是我熟悉的東西
[30:26] 但是我身邊有朋友會做的
[30:27] 我都注意到他們自己
[30:29] 會拉一些表格去寫說
[30:31] 什麼時候會有認列或什麼的
[30:32] 就非常清楚
[30:33] 所以他算是一個
[30:34] 就是就我觀察他們
[30:36] 那應該是相對好做的東西
[30:38] 因為什麼時候開案
[30:38] 什麼時候前進來
[30:39] 其實都可以掌握到
[30:40] 那只是股價什麼時候要去反應
[30:42] 所以他們其實都在賭說
[30:43] 我比你早知道這件事情
[30:45] 或者說我可能拉一個圖
[30:46] 然後讓你想要上車
[30:47] 然後接著我知道要丟
[30:49] 因為可能營收的高峰
[30:50] 就在那個位置而已
[30:51] 所以我觀察他們
[30:52] 自己都會去做這些東西
[30:53] 那這些東西是不是公開資訊
[30:54] 應該我覺得你都找得到
[30:56] 只是你要把它整理起來
[30:58] 那是要花一些功夫
[30:59] 所以可能可以往這個方向去努力
[31:00] 因為我是觀察人家這樣
[31:01] 然後再講說
[31:02] 我說房地產是經濟
[31:03] 那不是我講的
[31:04] 那個是臺灣一直有這樣子的一個說法
[31:06] 但這個說法其實我算是蠻認同的
[31:10] 就確實就是這樣子
[31:11] 因為臺灣人就是喜歡把錢丟房地產
[31:13] 那很多人的一個購買力
[31:16] 或者說對於不管是投資
[31:17] 或者一些支出的想法都是based on
[31:20] 就像說他今天房地產一直漲
[31:21] 他就真的覺得他有錢
[31:22] 他就去做更多的投資
[31:23] 他買更多的房
[31:24] 他去投更多的股票
[31:25] 他去花更多的錢來做消費
[31:28] 所以如果房地產一直是死氣沉沉的樣子的話
[31:31] 說不定這些人會選擇去消費搜尋
[31:33] 我覺得這個句話
[31:34] 這個陳述
[31:35] 在臺灣大家應該都是認同的吧
[31:37] 因為很多人的資產
[31:38] 真的都是綁著房地產
[31:39] 所以房地產好
[31:40] 他們就覺得自己有錢
[31:41] 那是不是就去推動
[31:42] 某個程度的經濟的一個熱絡程度
[31:45] 所以我覺得這句話是我認同
[31:47] 但它不是我發明的話
[31:49] 然後再講說
[31:50] 記憶體的這些價格
[31:52] 還是得講一些
[31:54] 可能大家不一定會喜歡聽的東西
[31:56] 就這個如果我們是在
[31:57] 行情還沒有起來的時候
[31:59] 講它是中性的
[32:00] 可是現在講
[32:01] 有些人就會覺得說
[32:01] 是怎樣
[32:02] 你家是要唱壞嗎
[32:03] 也不是
[32:04] 就有些東西
[32:04] 他其實都是中性言論
[32:05] 只是大家看的
[32:06] 眼光不一樣
[32:08] 視角不一樣
[32:08] 可能就會獲得不一樣的看法
[32:10] 其實記憶體的現貨報價
[32:12] 那個現貨交易市場
[32:13] 是相對小的
[32:14] 這個可能蠻多人都不知道
[32:15] 也就是說
[32:16] 你還是要以合約價格為主
[32:18] 但合約價格的話
[32:19] 它就不是
[32:20] 一般散戶可以這麼容易取得的東西
[32:22] 特別是它會有很大的一個時間差
[32:24] 因為像很多散戶
[32:25] 他們在追的東西
[32:26] 那個是現貨價格的一個變化
[32:28] 那個現貨價格
[32:31] 那個是有人可以在提早可能幾十分鐘就會知道
[32:34] 甚至搞不好早上就知道
[32:36] 但我不確定
[32:36] 但我知道提早幾十分鐘是
[32:38] 我自己身邊的朋友就有些人會有這樣的一個資訊
[32:41] 所以大家看到11點去那邊刷網站
[32:43] 然後你去買的時候
[32:44] 你可能就給人家出貨
[32:45] 人家做那種極短線的
[32:46] 所以確實有很多人都會去善用自己的一個資訊優勢
[32:50] 那現貨的報價
[32:51] 它其實不是記憶體市場的全部
[32:54] 只是怎麼講
[32:55] 因為它量少
[32:56] 然後跳動又快
[32:57] 所以在這種連續單方向的一個快盤的時候
[33:00] 大家會把它做為一個參考
[33:03] 只是你後來就會發現
[33:04] 就相信我
[33:04] 你可能早一兩年之後
[33:05] 你去做那個
[33:06] 你會發現那個指標
[33:07] 是沒有這麼有效的
[33:09] 只是說在現在是有效的
[33:11] 那有沒有其他管道
[33:12] 可以去掌握資訊
[33:13] 我覺得法說會是一個
[33:14] 很好的做法
[33:15] 我覺得說
[33:16] 像我自己就是很讚歎
[33:17] 臺灣的一些模組廠
[33:18] 他們要舉債
[33:19] 再去買更多的顆粒
[33:21] 所以要麼就是這些老闆
[33:23] 是集體暈車在耍笨
[33:24] 要麼就是他們真的看到了
[33:26] 大家沒有看到的東西
[33:28] 那絕大多數的時間點
[33:29] 當然我們知道說
[33:30] 人都有可能犯錯
[33:31] 人都有可能會有失誤
[33:32] 或者說錯誤的一個判斷
[33:34] 那只是我還是會選擇去相信
[33:36] 錢怎麼樣講話
[33:38] 就是人家真金白銀的去買東西
[33:41] 那他都敢買在這個地方
[33:43] 那是不是這個行情
[33:44] 可能是還沒有結束
[33:45] 我知道一定會一堆人舉反例
[33:46] 哪一個什麼杜拜的
[33:47] 你知道就是我們都會講說
[33:49] 那種中東油果
[33:50] 那時候給人家出貨
[33:51] 他們都買在最高點
[33:52] 可是你不能夠只看人家失敗的
[33:54] 就是他們做的很多投資
[33:55] 一定都是對的
[33:56] 才會有現在的一個狀態
[33:59] 就他會有這麼有錢
[34:00] 或者說他會是這些公司的老闆
[34:01] 一定是過往的累積
[34:02] 你的現狀就是你過往的選擇
[34:05] 所疊加導致的
[34:06] 對不對
[34:07] 所以我們會去相信
[34:08] 那些大錢在幹嘛
[34:09] 當這些大錢可能都還在
[34:11] 持續的要去買的話
[34:12] 那可能就
[34:13] 還有機會會有一波
[34:15] 那就算可能
[34:16] 他們這一波新買的是被套到
[34:18] 可是他前面也都賺爆了
[34:20] 所以我覺得一些公司的說法
[34:22] 或是他們的實際上的動作
[34:24] 很多時候這是被低估的
[34:25] 大家反而不喜歡看這個
[34:26] 然後喜歡去看一些市場上的
[34:28] 小作文留言費率
[34:29] 不去看公司
[34:30] 現在到底在做什麼事情
[34:31] 他們在做什麼事情
[34:32] 很多時候是
[34:33] 大家事後才發現說
[34:34] 早知道那時候
[34:35] 我就可以去看了
[34:36] 我覺得說
[34:37] 你現在看到一些
[34:38] 大的Fab在買地
[34:39] 或什麼的
[34:40] 你覺得他們在幹嘛
[34:41] 就你覺得他們在幹嘛
[34:42] 你與其傳一些小作文
[34:43] 你不如直接看
[34:43] 他真金白銀去買這些東西
[34:45] 他要去擴敞
[34:46] 你覺得他要擴敞
[34:47] 你真的覺得他是傻了
[34:48] 他要去擴敞嗎
[34:49] 還是說他的客戶
[34:50] 一直在給他要產能
[34:51] 所以這個都是
[34:52] 值得去思考的
[34:53] 直接看這些公司的行徑
[34:54] 很多時候
[34:55] 可以做出很多判斷
[34:56] 下面一位
[34:56] 戎戎張0218
[34:58] 狂戰是如此頻繁
[35:00] 50歲目前做的最對兩件事
[35:02] 第一早早投資理財
[35:03] 第二辭去臺北的工作
[35:05] 回老家陪病
[35:06] 媽媽生病
[35:07] 期間帶爸媽出國三次
[35:09] 老媽甚是歡喜
[35:10] 定期爆牌四個號碼
[35:12] 加上記憶體這次完整的
[35:14] 轉速骨癌
[35:15] 他隔天衝進去買了58塊的南亞科
[35:19] 應該是這樣又續命了三個月
[35:21] 總之他去天堂炒股了
[35:23] 那希望不要造成佛祖太大的困擾
[35:26] 雖然日常照舊
[35:27] 只是那些有時候很煩的嘮叨
[35:29] 再也聽不到
[35:30] 孟公大大請聽到第十遍的草莓沒有農藥
[35:34] 也要面帶微笑哦
[35:35] 小孩需要照顧
[35:36] 其實養育我們的爸媽也是需要陪伴啊
[35:39] 那祝福所有聽眾都能夠把握當下
[35:42] 爸媽都身體健康
[35:43] 孟公大大和家平安愛你
[35:45] 不然我這段留言感覺是非常平淡的
[35:48] 在敘述事情
[35:49] 可是有打中我
[35:51] 真的有打中我
[35:51] 那首先先希望您的母親在天堂
[35:54] 也是持續的可以跟著佛祖一起炒股票
[35:56] 如果炒股票為他帶來很多的快樂的話
[35:59] 那在他提到的這個草莓沒有農藥
[36:02] 是我之前有一集跟大家分享說
[36:03] 就是基本上我們都知道說
[36:04] 長輩他們家就是會一直repeat
[36:06] 可能是因為他擔心你
[36:08] 他就是習慣的要去提醒你
[36:11] 或者是他可能腦部就已經慢慢退化了
[36:14] 所以有些東西記不得
[36:15] 他會一直跟你重新講
[36:16] 我是直到我媽大概講第四第五次的時候
[36:19] 我就說老子喜歡吃農藥
[36:20] 當然這句話可能不是一個太好的事情
[36:23] 但我意思是說
[36:24] 就是有時候還是會去
[36:25] 稍微喊一下煞車
[36:26] 就我一直聽你講
[36:27] 可是聽到後來我還是會喊一下煞車
[36:28] 那我這個突然間我想到一件事情
[36:31] 就是其實我在有小孩之後
[36:34] 我才是對於我自己的家長
[36:36] 感覺好像我在檢討他們
[36:38] 有些可能會覺得說
[36:39] 你是不是在檢討你的家長
[36:40] 然後你開始去重新的檢視你的過往的一切
[36:43] 其實我會覺得我有今天
[36:45] 我一定非常感謝我爸媽
[36:46] 這是肯定的
[36:47] 只是為什麼說有小孩之後
[36:48] 我會去做這件事情
[36:49] 因為我突然間意識到
[36:52] 就是我真的沒有辦法打我小孩
[36:54] 我看到他痛的時候
[36:56] 我很痛
[36:57] 所以我真的沒有辦法對他動手
[36:59] 那為什麼我爸可以對我動手
[37:01] 為什麼我媽可以
[37:02] 就是有時候會對我罵一些
[37:04] 比較難聽的話或什麼的
[37:06] 為什麼他們可以這樣
[37:07] 為什麼可以
[37:07] 就是可能小時候
[37:08] 有一次我飯沒有吃完
[37:09] 他們說要走
[37:10] 然後他們就真的就開車就走
[37:12] 然後我就是嘴巴都還含著東西
[37:13] 在後面追車子
[37:14] 我就一直記得這個回憶
[37:16] 就是為什麼他們對我
[37:17] 可以做這樣的事情
[37:19] 然後我妹直接跟我講為什麼
[37:20] 我妹說你謝諾亞
[37:22] 你老實講她個性也不是太好她也是小霸王或什麼的她只是因為長得可愛所以大家喜歡她你以前長得那樣小小黑黑的誰會喜歡你啊小小黑黑然後脾氣又這麼差講話又跟演技者一樣是什麼的
[37:33] 媽誰會喜歡你
[37:35] 對啊
[37:35] 這是真的
[37:36] 所以我媽媽以前也跟我講過說
[37:37] 你媽媽都不喜歡你了
[37:39] 誰會喜歡你
[37:39] 我媽對我講過
[37:40] 因為我媽覺得我一直在那邊念
[37:42] 就是我會很多自己的想法
[37:44] 以前我也被老師幹這件事情
[37:46] 就說媽最有想法
[37:47] 像那時候在聊
[37:48] 中國不知道哪個時代
[37:49] 有什麼叫顏色的教
[37:51] 什麼紅教黃教
[37:52] 我就問說有沒有攔教
[37:53] 當然我一方面一定是想惡搞
[37:55] 我想要做效果
[37:56] 可是我真的也就好奇
[37:58] 有沒有攔教
[37:58] 老實說來去外面罰站
[38:00] 所以我就很多這樣的一些時間點
[38:02] 我覺得我開始會有一些
[38:04] 就對於這種
[38:05] 到底爸媽那時候怎麼對我
[38:06] 或者說我跟孩子是怎麼樣
[38:08] 會去想比較多
[38:09] 是因為因為你自己當爸了
[38:11] 所以我終於變成
[38:12] 我父親當時的樣子
[38:14] 我做的一些決定是這樣子
[38:17] 我父親當時做的決定是這樣子
[38:19] 有些是有衝突的
[38:21] 所以我就想說
[38:21] 他為什麼會這樣子對我
[38:23] 就一方面是委屈
[38:24] 可是後面的
[38:25] 慢慢越想越多
[38:26] 會知道說
[38:27] 沒有嘛
[38:28] 因為時代不一樣
[38:29] 環境也不一樣
[38:29] 你爸爸那時候
[38:30] 可能承受了什麼壓力
[38:31] 你爸爸要照顧
[38:32] 年邁的母親或什麼的
[38:33] 你現在你需要照顧你爸媽
[38:35] 你爸媽比方
[38:35] 你爸媽自己會照顧自己
[38:36] 照顧得好好的
[38:37] 現在又跑去印尼玩了
[38:38] 所以他們自己
[38:39] 會把自己打理好
[38:41] 所以他少了這個壓力
[38:42] 然後他
[38:43] 像像我就記得
[38:45] 我爸爸有一段時間
[38:46] 他很憂鬱
[38:46] 因為他一直想要退休
[38:48] 他覺得在學校教書
[38:49] 他不快樂
[38:50] 簡單講就是
[38:50] 他回家就很憂鬱
