[00:00] 欢迎收听谷外,我是星梦宫,本集节目由EVOASIS赞助
[20:18] 对那可能就是要等到
[20:20] 市场稍微告一个段落之后
[20:21] 你就会注意到说
[20:21] 这些钱有些我自己猜测
[20:23] 他就会回溜回去房地产
[20:24] 或者跑去买其他的东西
[20:26] 那应该是后面
[20:27] 会有绝对看到的一个情形
[20:28] 反正总之会认为说
[20:29] 他没有太大的一个压力
[20:32] 需要在短期内
[20:33] 去做一个急迫的升息
[20:35] 我就觉得这个应该
[20:36] 也不是最主要的
[20:37] 一个核心的理由
[20:38] 所以纵观下来
[20:39] 我觉得不是战争
[20:40] 我觉得也不是什么
[20:41] 美银报告说
[20:42] 什么快速升息
[20:43] 我觉得应该rebalance
[20:44] 就你硬要去找一个理由的话
[20:46] 这个东西是比较接近的
[20:48] 至于市场上其他人讲的
[20:49] 那什么AI泡沫什么的
[20:50] 这个你就听听就好
[20:51] 因为那些AI泡沫论者
[20:53] 从2023、2024一路讲讲到现在
[20:55] 他总会有对的一天
[20:56] 你懂吗
[20:57] 他总会有一天被他讲中
[20:58] 可是他错过的是这么大段的一个东西
[21:01] 所以我觉得那个就稍微看看就好
[21:03] 但我最近确实是有跟自己的身边朋友
[21:05] 讨论到一件事情
[21:06] 就是这些科技巨头的股东
[21:08] 会不会开始有一些坐不住了
[21:10] 为什么
[21:11] 因为你看到说像美光的毛利率80几
[21:13] 他搞不好在接下来几个Q
[21:14] 甚至会上到90几
[21:15] 就是暴利
[21:16] 他现在是随便卖随便赚
[21:18] 那这些科技巨头
[21:19] 他们是付钱的支出方
[21:21] 他们也是去做出应用
[21:23] 然后真的去实践
[21:24] AI导入大家的生活中
[21:26] 去改变大家生活的那一方
[21:27] 可是他们的股价的表现非常不好
[21:30] 他们的cash flow
[21:31] 有些可能甚至要跑到负值去了
[21:33] 所以在这样的一个状况之下
[21:36] 是不是就是会开始
[21:37] 有一些检讨的声音出现
[21:38] 这个是有机会
[21:39] 虽然可能在DeepSeek那一波
[21:41] 就有类似在市场上
[21:42] 这样子一个讨论
[21:43] 那后面因为DeepSeek
[21:44] 它并没有烧得很大
[21:45] 它是造成一些改变
[21:46] 没错
[21:47] 就是大家把一些注意力
[21:48] 可能发到开源模型去
[21:49] 可是那时候并没有造成
[21:51] 这么大的一个讨论
[21:52] 看这波有没有机会
[21:53] 去酝酿出这样的一个讨论
[21:54] 就是这些巨头的股东
[21:56] 会不会开始住不住
[21:56] 然后觉得说
[21:57] 这些钱都付给
[21:58] 这些零组件厂商
[21:59] 被他赚走了
[22:00] 我们全部买得这么急
[22:01] 可是成效不一定有看到
[22:03] 那我们是不是
[22:04] 还是要推得这么快
[22:05] 所以我后面去注意一下
[22:06] 有没有这样的论述
[22:07] 跑出来的可能性
[22:08] 我觉得可能盘面
[22:09] 在继续转叉的时候
[22:10] 就会有这样子论述
[22:11] 跑出来的可能性
[22:12] 到时候再来看
[22:13] 会不会对市场的
[22:14] Sentiment造成一些影响
[22:16] 那目前我们看下来会觉得
[22:18] 我特别是我最近有少了一些
[22:21] 这些巨头们
[22:23] 他们去deploy AI伺服器的数字
[22:25] 他们在台系供应链的拉货
[22:27] 目前看起来
[22:28] 还是没有什么太多的问题
[22:29] 那当然至于
[22:30] 是不是要去杀估值什么
[22:32] 这个我就没有办法去做太多判断
[22:33] 可是呢
[22:34] 纯就产业层面来看呢
[22:36] 其实有蛮多事情都还在酝酿中
[22:38] 所以我觉得
[22:38] 比较像是一个市场信心的
[22:40] 短期内的丢失啊
[22:42] 就跟过去几波的一些修正
[22:43] 可能是比较类似
[22:44] 像是2026年的
[22:45] 三月的那一波
[22:47] 也是正当的休
[22:48] 然后再来就是可能
[22:49] 六月初的那一波
[22:50] 我觉得现在是比较偏向
[22:50] 这样的一个情形
[22:51] 但是因为真的
[22:52] 已经有一些东西开始出现
[22:54] 它是跑到际线下面去的
[22:55] 所以还是要自己
[22:56] 稍微的注意一下
[22:57] 因为你可能去
[22:58] 看到大盘的位置
[22:59] 还是蛮不错的
[23:00] 还是有机会踩到大军线
[23:02] 继续进攻
[23:03] 可是你自己手上不会
[23:04] 如果开始发现说
[23:05] 它站不回去的话
[23:07] 这个要稍微的注意一下
[23:09] 即便它可能是
[23:10] AI相关的东西
[23:11] 即便它可能是
[23:12] 市场上一些大题材
[23:13] 但资金没有在这边
[23:14] 它就是可能会比较难上去
[23:16] 也就是说你可能掉记线的部分
[23:18] 是一个以价值投资来讲
[23:20] 相对好的买点
[23:21] 但你就有机会要等
[23:22] 有机会要等
[23:22] 这个可能是稍微要看一下的
[23:24] 好那接下来我们来稍微的聊一下
[23:26] 苹果的涨价话题
[23:27] 那苹果终于是撑不住了
[23:29] 也在记忆体的价格高涨的状况之下
[23:31] 拿他们去上修了
[23:32] 我们也就是看到说
[23:33] 像是MacBook或是一些产品线的价格
[23:35] 拉了大概十几到二十%左右的一个位置
[23:38] 那在这个时间涨价还蛮有趣的
[23:41] 就本来可能大家想象会
[23:42] 他跟着一些新品去做涨价
[23:43] 可能是还OK
[23:44] 但他选择在这个时间
[23:46] 某个程度上去涨了一些
[23:47] 像是可以把它称为是旧品的东西
[23:50] 那是不是代表说
[23:51] 他在新品的这个涨价
[23:52] 也先去做了一个预热
[23:54] 就这个东西后面丢出来
[23:55] 也会是一个
[23:56] 就是可能会让一些人吓到的价格
[23:58] 但是让一些人吓到的价格
[23:59] 不代表会让果粉吓到
[24:01] 这个非常重要
[24:02] 所以有时候在市场里面
[24:03] 去讨论一些话题的时候
[24:04] 我觉得首先你要先定义出
[24:05] 你的客人是谁
[24:06] 然后再来就是
[24:07] 你去参与一些讨论的时候
[24:09] 你要知道
[24:09] 对方是不是跟你是同一类型的人
[24:12] 就是我们有时候会知道说
[24:14] 反正河水不犯井水
[24:15] 大家其实在不同圈子的东西
[24:18] 有些人去买苹果的
[24:19] 他们把它称为是臭盘子
[24:21] 那这些臭盘子
[24:22] 其实他一辈子也不会跑去买安卓
[24:23] 那安卓的一辈子
[24:24] 可能也不会跑去买苹果
[24:25] 所以你们在那边互干了半天
[24:27] 其实大家是彼此不影响对方
[24:29] 只有在一些特殊的场域上
[24:30] 像在游戏业界
[24:32] 很常会因为外面的一些DI的言论
[24:35] 然后去改变游戏的设计
[24:36] 可是他们最终也开始发现说
[24:38] 其实很多在对这些游戏的
[24:40] 所谓的多元价值去做批评的人
[24:42] 他们本身不太会买游戏
[24:45] 蛮多游戏商注意到这件事情的
[24:47] 所以他们知道说
[24:48] 他真的要去巩固
[24:49] 其实是他的客人
[24:50] 而不是那一些
[24:51] 可能就是在场外含烧的人
[24:53] 所以一样的道理
[24:54] 你说苹果这个涨价数字高不高
[24:56] 因为我自己身为果粉的角度来说
[24:58] 我觉得一定是高的
[24:59] 但你说会不会继续买
[25:00] 就还是会买
[25:01] 听到这边
[25:02] 你不是果粉
[25:03] 就是说妈的你这个臭盘子
[25:04] 可是果粉的听到这边就觉得说
[25:06] 不就是这样子
[25:07] 其实老实讲
[25:08] 你说这个记忆体的markup价格
[25:09] 苹果它确实是
[25:11] 在记忆体这边
[25:12] 是做了蛮多的涨价
[25:14] 就是说它不可能的
[25:15] 很老实去反映它原物料的价格
[25:17] 我随便举一讲
[25:18] 这记忆体它多差一条
[25:20] 成本假设是10块好了
[25:21] 从10块变20块的成本
[25:23] 它不可能
[25:23] 它就是在售价上面加你10块
[25:25] 因为它有它的毛利要顾
[25:26] 然后再来就是说
[25:27] 也有品牌价值这一点
[25:28] 这点可能就是说
[25:29] 一样我刚刚前面讲的
[25:30] 井水不犯河水
[25:31] 不懂的人就是永远不会懂
[25:32] 懂的人其实也不需要
[25:33] 去做太多的说明
[25:34] 但我们这边还是稍微说明一下
[25:36] 简单来讲就是说
[25:37] 一个爱马仕的包包
[25:40] 他在上面去多给你几个毛钉
[25:42] 或是什么多缝个几块皮革
[25:44] 他可以多卖你几千上万
[25:47] 那可是如果你今天是一个
[25:48] 不知道华强北那边
[25:50] 假设有在弄包包的话
[25:51] 那这个包包你额外再打一个毛钉
[25:53] 他可能就是成本价
[25:55] 然后再额外价一点点就这样就给你
[25:57] 那可是你会说
[25:59] 所以买华强北的包包就比爱马仕划算吗
[26:01] OK对
[26:02] 这是可能是一个比较极端的举例
[26:04] 那一样见仁见智
[26:06] 以他手机的角度来讲
[26:07] 我还是不会去买
[26:08] 可能就是中细手机之类的
[26:11] 我就是会买苹果
[26:11] 那可是以包包角度来讲
[26:13] 我还真的可能会去买
[26:14] 那个花枪杯的包包
[26:15] 所以一样的道理
[26:16] 就是这个东西
[26:17] 它是比较属于一个
[26:19] 见仁见智的东西
[26:20] 所以你在网上看到很多吵架
[26:22] 他们其实是一个
[26:23] 就是大家互相在倾谈
[26:25] 你们吵了半天其实你们彼此的生活都还是会去走各自的路你觉得对方是白痴对方刚好也觉得你是白痴可是要注意的点是这个东西会不会真的影响到实际上会买这个产品的人
[26:36] 这个才是可能在各种话题里面
[26:39] 要讨论的一个重点
[26:40] 其实这种东西
[26:41] 也不用去做太多网络的辩驳
[26:43] 最后面直接看销量就好
[26:44] 就类似说我们去做股票上的投资
[26:47] 你不用去讨论太多
[26:48] 那种战争的话题
[26:50] 大概知道就好
[26:50] 最后面直接看油价就好
[26:52] 因为那就是一个结果
[26:53] 那一样的道理
[26:54] 如果我们今天注意到
[26:55] 销量的数字是跑得不好的话
[26:57] 那就反映了
[26:58] 它这个价格可能就是
[26:59] 不被它本来的消费者接受
[27:01] 然后再来就是
[27:01] 可能新的想加入的消费者
[27:03] 也会因为这样子会却步
[27:05] 所以才反映到你的销量是不好
[27:06] 那时候可能就等到
[27:07] 用销量去做一个佐证就最好了
[27:10] 所以像前阵子不是蛮多人
[27:11] 也是整天在臭苹果说什么
[27:13] 你跟不到AI时代
[27:14] 你表现不好吗
[27:14] 可是太香了
[27:15] 因为那时候以各家其他手机OEM
[27:18] 他们为了要去反映记忆体的涨价
[27:20] 严格上来说不是说什么
[27:21] 他们先涨价
[27:23] 他们是比较黑心
[27:24] 应该说苹果的价格年性
[27:26] 一般来说都是比较高
[27:27] 它提早就已经在上面
[27:28] 它毛利是比较肥
[27:29] 所以它不用这么快去反应
[27:30] 那些中系的OEM
[27:32] 或是一些什么韩系
[27:33] 或说美系的手机
[27:34] 可能没有办法
[27:35] 它没有这么大的一个护城额
[27:36] 它立刻去做反应
[27:37] 所以在当下的一个相对之下
[27:40] 大家觉得苹果是相对划算的
[27:41] 所以导致说苹果那时候
[27:42] 冲一波销量出来
[27:44] 可是苹果如果现在
[27:45] 它也跟进了这个涨价
[27:47] 我们就要去看后续的一个
[27:49] 这个销量的表现是怎么样
[27:51] 然后再判断说
[27:52] 这个涨价到底消费者吃不吃得下去
[27:54] 有时候你觉得吃不下去
[27:55] 可能只是你不是他的受众
[27:58] 所以这个可能要理性一点
[27:59] 去看会比较准一点
[28:00] 但一般来说
[28:01] 我们看到这种涨价的东西
[28:03] 会是报一个比较正向的讯号
[28:05] 不然说像是供应链的这边涨价
[28:07] 除非说你看到这个涨价
[28:09] 是客户已经拒绝去吃了
[28:11] 你才会去担心
[28:11] 以目前在AI端来说
[28:13] 我觉得蛮多做供应链的
[28:15] 其实我们的胃口也被养坏掉了
[28:16] 就会觉得说这些涨价
[28:17] 怎么看到那种波线布
[28:19] 或是你看到什么Q布
[28:21] 然后或者是各式各样的原物料
[28:23] 零组件 被动元件 记忆体
[28:24] 你知道你怎么涨
[28:25] 这些亏巨头都会买单吗
[28:26] 所以大家已经是丧失了那种风险意识
[28:29] 反正怎么涨他们都会买单
[28:30] 只要是涨价就等于是好消息
[28:32] 那消费端这边
[28:33] 其实是要比较小心一点的
[28:34] 因为他最终要面对的是普罗百姓
[28:37] 那普罗百姓不是他妈
[28:38] 每个都有在做股票炒房地产
[28:40] 或者说他盛观发财赚很多钱
[28:41] 有蛮多可能是
[28:43] 他就是拿一个差不多的薪水
[28:44] 所以一个东西贵了20%贵了30%
[28:47] 它不像那些科技巨头
[28:48] 反而无条件接受
[28:49] 我就知道去参与AI竞赛
[28:50] 我一定会买
[28:51] 消费者可能有些就真的就不买了
[28:53] 所以它就会直接很血淋淋的
[28:55] 反映在它的销量上面
[28:56] 所以这可能也解释了
[28:57] 就是为什么你看到一些供应链的股票
[28:59] 你听到涨价
[29:00] 基本上就等于说一定会往上涨
[29:02] 可是为什么苹果的涨价刚出来是一件碟
[29:04] 当然它隔一天又继续涨
[29:05] 所以这个还比较
[29:06] 我觉得neutral
[29:07] 你还没有办法下去做判断
[29:09] 还是要观察一下
[29:10] 因为其实我觉得
[29:10] 大家应该都很想问这个问题
[29:12] 就是现在终端消费市场
[29:14] 到底有没有利器
[29:15] 那现在比较难判断的主因
[29:16] 是因为过去的股票涨很多
[29:18] 大家理论上都相信财富效应
[29:19] 会蔓延出来
[29:21] 会买各种东西
[29:21] 可是因为就是股票一直在涨
[29:23] 所以大家不愿意出来
[29:24] 那出来之后
[29:25] 说不定你还会看到一个消费的龙井
[29:27] 这个是有机会看到
[29:28] 所以到时候那些涨价
[29:29] 不一定会对这些消费者造成一些压力
[29:31] 这是有机会的
[29:32] 所以这个我们还是得稍微的看一下
[29:35] 才可以去做一个比较全面的判断
[29:38] 所以就大概评论一下这件事情
[29:39] 那快速的总结一下
[29:41] 其实去做Markup这件事情
[29:43] 它并不是苹果的一个专利
[29:45] 只是苹果它一般就是可能
[29:46] 毛利看起来特别厚
[29:47] 然后它的价格是特别粘
[29:49] 这是真的
[29:49] 可是其他人其实也都会去做类似的事情
[29:52] 唯一一个比较老实在反映价格
[29:53] 是中细的OEM
[29:55] 可是中细的OEM为什么会老实反映价格
[29:57] 因为他们就是用低价廉价去做强势战的动作
[30:01] 所以他当然会用一个可能相对便宜的价格
[30:04] Markup比较少的价格去对市场做贩售
[30:07] 可是你会去买那个吗
[30:08] 也不一定你会去买那个
[30:09] 除非就是可能经济真的不好
[30:10] 那开始出现一些消费降级
[30:12] 像之前在中国这边是看到说
[30:14] 他们那种整形机卖的特别好
[30:15] 就是可能经济比较差的时候
[30:17] 才会有大家往那个方向去挤的一个样态
[30:19] 可是如果经济好的时候
[30:20] 其实蛮多人都是很乐意去吃那个markup
[30:22] 所以我们要看一下说
[30:24] 就是这一波记忆体造成的一个影响
[30:26] 那它目前看起来呢
[30:28] 我觉得对记忆体厂商来说
[30:29] 压力不会太大
[30:30] 因为只要这些巨头持续买单的话
[30:32] 消费性不好
[30:33] 你看美光直接把消费性放掉
[30:34] 它根本就没差了嘛
[30:35] 那可是如果说
[30:37] 怎么说
[30:38] 就是在消费性这边
[30:39] 你开始注意到一些收手
[30:41] 因为这些人
[30:42] 你要知道
[30:43] 其实在科技巨头上班的这些人
[30:44] 或者是说
[30:44] 炒股票赚钱这些人
[30:46] 他们最终
[30:46] 他们其实也都是消费者
[30:48] 如果说外面的世界
[30:49] 开始产生一些影响
[30:50] 价格开始高涨
[30:51] 然后导致大家
[30:53] 不愿意去做一些支出的话
[30:55] 其实最终都会影响到
[30:56] 就是最核心的那些
[30:57] 甚至是跟AI有关的需求
[30:59] 只是这个现在讲
[31:00] 我觉得是有点太早
[31:00] 但趁着播放
[31:02] 反正现在外面也都是鬼故事
[31:03] 就一次把所有的鬼故事讨论完
[31:04] 我觉得大家就之后会
[31:06] 可以去感受到
[31:07] 之前跟大家分享的
[31:08] 为什么我会说有时候在修正的时候
[31:10] 那个故事你知道就好
[31:11] 可是你不要太认真去看待它
[31:12] 因为你会发现每一次
[31:14] 就是以过去来讲
[31:15] 其实波段往下跌5到8%的
[31:17] 那个机会是蛮多的吧
[31:19] 以大盘的角度来讲
[31:20] 每次跌的时候
[31:22] 那些鬼故事
[31:23] 你在之后新高的时候
[31:24] 你回头看
[31:24] 其实真的就没有半个人在讨论
[31:25] 所以它有点像是说
[31:27] 反正不好的时候
[31:28] 会被拿出来当一个谈资
[31:29] 但我们简单的去做一个review
[31:31] 那目前对于产业的角度呢
[31:33] 还是跟过去一样
[31:34] 就是我们没有注意到
[31:35] 有太多显著的
[31:36] 立刻会反转的一个可能性
[31:38] 但是确实是可能因为一些资金面的驱动
[31:41] 导致一下盘面出现一些不一样的状况
[31:43] 那些rebalance可能会trigger一些事情
[31:45] 哪一些股票可能跌到季限以下的
[31:47] 可能开始假设
[31:49] 因为我们现在不知道说台面下的这些贷款
[31:52] 到底大家跌的多高
[31:53] 我们只知道很高
[31:54] 可是我们知道跌在哪里
[31:55] 我们不知道他们什么时候会开始感受到压力要丢
[31:58] 会不会触发一个连锁反应
[31:59] 这个还是要稍微小心一点
[32:01] 比较容易去保护自己的方式
[32:03] 就是你去稍微注意一下形态
[32:05] 那个均线如果开始拉平
[32:07] 你開始做一個頭的
[32:08] 雖然這邊講起來會有點
[32:09] 有些人會覺得說
[32:11] 這個感覺像是現先的
[32:12] 可是我們真的會參考這些東西
[32:13] 就是價格的一些變化
[32:14] 其實還是蠻重要的
[32:16] 你不可以完全說
[32:17] 我就是Fundamental
[32:18] 然後一個東西一直爆爆爆
[32:19] 因為很多時候那個價格變化
[32:20] 會跑在前面
[32:21] 然後類似說大家還記不記得
[32:22] 那時候在去年
[32:23] 關稅帝君要開始出權的時候
[32:25] 那時候3月不是
[32:26] 美股整天在往下跌
[32:28] 就整天跌
[32:28] 然後沒有消息
[32:29] 然後跌到後來
[32:30] 我那時候的說法是說
[32:31] 就是我要找一個還OK的反台
[32:33] 我要有尊嚴的出去
[32:35] 那後來就是有去做一些調整
[32:37] 然後於是我們後面看到
[32:38] 這個關稅帝君的事情
[32:39] 所以當一個下跌
[32:40] 假設它持續的蔓延
[32:41] 持續的發生的話
[32:42] 有時候消息
[32:43] 它其實是跟在後面的
[32:44] 這個可能大家自己也是要
[32:45] 稍微的注意一下
[32:47] 所以大概這樣
[32:47] 但以現階段來說
[32:48] 相信九大讀書人
[32:49] 他就是一個獲利回吐的問題而已
[32:51] 只是說吐到什麼時候
[32:52] 大家會受不了
[32:53] 然後開始去亂賣
[32:54] 這我們不知道
[32:55] 但一般來講
[32:56] 如果他不小心的回到太深
[32:58] 那接著反彈又彈不上去的話
[32:59] 就會有亂賣的一個情形
[33:01] 這可能自己要稍微注意一下
[33:03] 就自己的那個現金水位
[33:05] 要买的要稍微先腾点钱出来
[33:06] 大概这样
[33:07] 好那接下来我们来进入QA的部分
[33:08] 那因为在QA这边呢
[33:10] 我们平常是礼拜三走Spotify
[33:12] 然后礼拜六走Apple
[33:13] 那可是像我刚刚限动发的
[33:15] 就是现在Apple的
[33:16] 它的那个QA
[33:17] 不知道什么都没有在更新了
[33:18] 所以呢在未来的一阵子呢
[33:20] 我们都先三六都维持在Spotify这边
[33:23] 我们先尽量都在Spotify这边
[33:24] 那如果后面有一些变动
[33:26] 再跟大家说
[33:27] 好再这样子
[33:28] 第一位阿金
[33:29] 老公好
[33:29] 有件事想听您的看法
[33:31] 前阵子因为目睹前方车祸
[33:33] 机车倒地
[33:34] 第一时间虽然想伸出援手
[33:36] 但因为顾虑后续麻烦
[33:37] 而选择冷漠的绕开
[33:39] 现在心里有些后悔跟纠结
[33:41] 那想问这种两难状况下
[33:43] 有没有更圆融的做法
[33:45] 谢谢
[33:45] 好像没有耶
[33:47] 就是你要嘛就停下来帮忙
[33:49] 要嘛就是你就离开
[33:50] 然后可能打个电话
[33:51] 可是就算你不打电话
[33:52] 应该也是很多人会打电话
[33:53] 因为他就是在路中间嘛
[33:54] 所以就是二选一啊
[33:56] 那我自己的话会怎么样做呢
[33:58] 一般来讲
[33:59] 我应该是会停下来的那一个
[34:00] 但如果我今天车上
[34:02] 假设有载我小孩
[34:03] 又在高速公路的话
[34:04] 我应该是会绕开
[34:06] 然后再报警
[34:07] 所以我觉得你也不用对自己
[34:08] 可能给太大的压力
[34:10] 说好像你很冷漠的绕开
[34:11] 不是啊
[34:12] 就是说你可能
[34:12] 你也没注意到嘛
[34:14] 或者你当下没有反应过来嘛
[34:15] 那个不是你的错啊
[34:16] 不要再想太多了
[34:18] 下面一位
[34:18] Tim MK哥您好
[34:20] 小弟最近工作刚满五年
[34:22] 现在在MTK过得不是很开心
[34:24] 想换工作
[34:25] 但是又有点不晓得
[34:26] 要追求钱还是自由
[34:27] 您的话肯定是选钱吧
[34:29] 不过您28岁的时候
[34:30] 也是一样吗
[34:31] 爱您
[34:32] PS即使发哥前阵子涨停了超多根
[34:35] 但是因为公司的制度
[34:36] 周遭的人跟我大多数在三月就卖了
[34:39] 这个听起来是一个非常令人难受的故事
[34:43] 刚刚前面讲到MTK
[34:44] 我被人笑出来的原因
[34:45] 不是因为我想要嘲笑
[34:47] 因为我身边真的蛮多朋友在MTK
[34:49] 我跟MTK也有一点渊源
[34:51] 就是去他们公司也参访过
[34:53] 然后也有去那边演讲过
[34:54] 所以算是认识了蛮多那边的人
[34:56] 我是感觉他们看起来都还蛮快乐的
[34:58] 虽然我讲这个的时候
[34:59] 我相信他们很多心中
[35:00] 一定是有一些OS要讲
[35:02] 大M铲鼠条
[35:03] 快乐铲鼠条
[35:04] 快乐赚钱
[35:05] 那以一个
[35:07] 怎么讲
[35:07] 年轻人的角度来讲
[35:09] 我会认为说
[35:10] 赚钱是比较重要的
[35:11] 就是我也很难去想象说
[35:13] 工作本身是会非常快乐的
[35:15] 只要这个工作本身
[35:17] 它不会让我觉得
[35:18] 心理压力很大
[35:19] 每天看到老板
[35:20] 我就想他妈
[35:20] 给他一个走急
[35:21] 或者说
[35:22] 每天想到上班
[35:23] 我就很忧郁的话
[35:24] 那我会认为说
[35:26] 反正上班本身
[35:27] 我这样问一个话
[35:28] 谁是没事去上班的
[35:30] 你各位谁是没事去上班的
[35:32] 除非说你是五六十岁
[35:34] 然后第二春在家真的不知道干嘛
[35:35] 才跑去
[35:36] 主要多数你上班
[35:37] 你不就是为了去赚点钱吗
[35:39] 所以钱很多的话
[35:41] 稍微的有点不快乐
[35:43] 我觉得也是OK的
[35:44] 就是他应该是一个可以接受的trade off
[35:46] 没有问题
[35:47] 所以在我的角度会觉得
[35:49] 如果你今天钱不够多的话
[35:51] MTK是很多人梦寐以求可以去的地方
[35:54] 甚至MTK在这几年
[35:56] 他算是某种程度上的跳板
[35:58] 对不对
[35:59] 蛮多跳去的
[36:00] 你知道那几家
[36:02] 就跳到人家都觉得说
[36:03] 靠北整天挖我的人
[36:05] 那你要想
[36:05] 你没有这个经验
[36:06] 你也很难跳到
[36:07] 那几个公司去
[36:08] 我们就不要去点名了
[36:10] 但反正总之
[36:11] 它是一个应该
[36:11] 蛮多人称羡的地方
[36:13] 那这个东西
[36:14] 我觉得通常在各种工作室
[36:16] 你去问医生
[36:17] 医生家每个人都在跟你干说
[36:18] 他们的工作压力大
[36:19] 然后钱少
[36:20] 可是你在绝大多数人眼中
[36:21] 是你们就是台湾最有钱的人
[36:23] 就以领薪水来讲
[36:24] 很多时候你觉得
[36:25] 你自己没有钱
[36:26] 是因为你去比较的对象
[36:28] 是资产阶级
[36:29] 另外一回事
[36:30] 那个是长年的累积
[36:31] 或者说有时候要有一点
[36:33] 那种时事的背景在
[36:34] 要有一点胆识或怎么样的
[36:36] 薪水就是反而不败
[36:38] 怎么样都可以拿到钱
[36:39] 所以我觉得MTK
[36:40] 已经是一个
[36:41] 大家都很羡慕的地方
[36:42] 除非你真的是极度的难受
[36:45] 那你去退而求其次
[36:46] 找一个薪水没这么高
[36:48] 但至少你心情好一点的地方去
[36:49] 也好
[36:50] 但我要跟你讲一个
[36:51] 很现实的东西是
[36:52] 你会以为说
[36:53] 你去别的地方会很好
[36:55] 说不定你跑到别的地方时
[36:56] 你一样有不满的东西
[36:57] 然后钱又没有给够
[36:58] 所以不爽指数反而会跑到更高
[37:00] 这个是有机会是这样子的
[37:03] 要稍微注意一下
[37:04] 下面一位
[37:05] Mark 孟公老公安
[37:06] 刚从韩国打工度假回来
[37:08] 不知道要找什么工作
[37:09] 救命啊
[37:10] 不过珍味食堂真的好好吃
[37:12] 可惜Lisa现在不来韩国了
[37:14] 好想见到老公全家人
[37:15] 许愿可以找到一个躺平的工作
[37:18] 爱您
[37:19] 不知道
[37:20] 现在有什么工作是可以躺平的
[37:23] 去当那种血牛之类的吧
[37:25] 现在有这种工作吗
[37:26] 就以前会听我爸说什么
[37:28] 他年轻没有钱的时候
[37:29] 曾经当过血牛
[37:30] 就是去参与人家什么药物实验
[37:32] 或是去什么捐血换钱
[37:34] 现在应该没有这种东西
[37:35] 但他那个看起来就是躺着
[37:37] 就可以工作
[37:38] 或许可以往这个方向去思考看看
[37:40] 然后你不是从韩国打工度假回来
[37:42] 我去韩国也遇不到你
[37:43] 下面一位York
[37:44] 嘿嘿梦工起卡
[37:46] 以前没有买股票的时候
[37:47] 花钱如流水
[37:48] 但是开始投资股票的时候
[37:50] 随着资产翻倍成长
[37:51] 反而越来越省
[37:52] 因为总有种今天省下来的一块钱
[37:54] 未来会变成两块
[37:55] 那想问梦工有过一样的感受吗
[37:57] 这个就是我刚才前面讲的
[37:59] 就是当今天股票一直在上涨的时候
[38:01] 其实真的没有人
[38:02] 就是你在股票会做的人
[38:04] 会想要把钱拿出来花
[38:06] 因为你会觉得我的每一笔钱
[38:08] 现在都可以赚到更多钱
[38:10] 你甚至会非常的
[38:11] 反感任何要让你踩刹车的一个行为
[38:15] 据他来说在2020 2021
[38:17] 因为那时候我们有孩子
[38:18] 然后老婆说
[38:18] 那我们来买一间房好了
[38:20] 当时我是很不爽
[38:21] 我觉得这个盘这么好
[38:22] 怎么可以现在去买房子
[38:24] 然后那时候觉得说
[38:25] 其实后来看是一个蛮不错的决定
[38:27] 你的心态会稍微的稳一点
[38:28] 因为你不是所有的钱都在那种股票里面
[38:31] 你有些可能放到别的地方去
[38:33] 所以有时候赛翁司马焉知非福
[38:34] 如果有一些必要的支出
[38:36] 就还是把它花下去吧
[38:37] 但是你这样的心态是每个人都有
[38:39] 而且其实跟你的资产高低没有关系
[38:42] 就是说你可能在百万千万的时候
[38:44] 你有这个想法
[38:45] 那我告诉你
[38:46] 你破亿你十亿
[38:47] 你应该都还是会有一样的想法
[38:48] 因为我们身边的人都有类似的想法
[38:50] 就是他们都会想要有更多钱
[38:52] 可以丢到市场里面
[38:54] 从来没有听过说什么
[38:54] 我这样赚够了
[38:56] 然后就是想要把所有钱都拿出来
[38:57] 我不要再参与市场
[38:58] 就是每个人都是不够的
[39:00] 甚至像之前有一个身边的朋友
[39:02] 跟我分享过
[39:03] 他在业界也算是待了蛮久
[39:04] 他说他只有看过一个
[39:06] 是真的赚到他的设定目标之后
[39:08] 然后就退休
[39:09] 把所有东西拿去买
[39:11] 就是拿去买债券
[39:12] 然后接着就是连那个债券的利息
[39:14] 再也不碰股票
[39:15] 我说连0050都不买吗
[39:17] 都不买
[39:17] 就是直接完全的退出
[39:19] 其实很多人都讲过说
[39:20] 我到什么地方我就要退出
[39:22] 我就要陪家人
[39:23] 但他看下来就只有那一个人这样
[39:25] 那以我自己的角度來看
[39:26] 因為他算是比我資深的人
[39:28] 那我自己的角度是
[39:29] 我沒有看過任何一個
[39:31] 就是有喊停的人
[39:32] 就基本上是停不下的
[39:34] 所以自己還是要去找到一個平衡
[39:36] 特別是我還是在節目上
[39:38] 常常呼籲大家要善待自己的家人因為你在國際市場你一天的震盪可能就是你家人他跟你許願說要某個東西你的震盪是远超过那个东西然后你一直不想要买给他但是不是每个人都会一辈子在你身边陪着你
[39:50] 所以这个还是自己要稍微小心一下
[39:52] 那下面为万事不绝对
[39:54] 孟公你好
[39:55] 我是马来西亚的听众
[39:56] 从EP300多开始到现在
[39:58] 你的好多无意间的话
[39:59] 都会让我好几次shock的恍然大悟
[40:02] 非常感谢遇到这么好的节目
[40:04] 也谢谢你
[40:05] 祝你全家身体健康开开心心
[40:06] 那我们希望这个
[40:07] 马来西亚的朋友
