[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由Ray Chen穩資坐墊贊助
[00:04] 各位最近這個行情我看很多人是睡不著覺,上沖下洗,磨來磨去
[20:30] 那些都要稍微的小心一下
[20:32] 因為當然甚至有些我自己也是後來才知道
[20:34] 但你就是要去做一個細猜
[20:36] 類似說我們要去細猜說
[20:38] 誰是現貨傳
[20:38] 誰是合約傳
[20:39] 一樣的道理
[20:40] 你去細猜之後
[20:41] 你就會發現說
[20:41] 他可能他做的那個環節
[20:43] 他是半導體的某個生成環節
[20:46] 沒錯
[20:46] 然後可能跟EMIB的東西
[20:48] 也有相關性
[20:49] 可是他並不是
[20:50] 可能跟Intel是比較交好的廠商
[20:52] 或是他可以直接supply給Intel的
[20:54] 所以你光是去下這個
[20:56] 一道一道的filter
[20:57] 你就會把那個持股
[20:59] 就像我本來可能選出來是10檔
[21:00] 然後塞一塞
[21:01] 最後面剩下兩三檔這樣
[21:02] 那就一樣
[21:03] 會把它放在追蹤裡面
[21:05] 那有些可能就會選擇說
[21:06] 強快就先蹲看看
[21:07] 那有些就會選擇說
[21:08] 因為你知道這個EMIB的時間
[21:10] 還在很後面
[21:10] 所以你真的突破
[21:12] 你真的心高的時候
[21:12] 我再來追你
[21:13] 所以類似這樣子的一個做法
[21:15] 也簡單的跟大家分享一下
[21:17] 所以就大概是這樣子
[21:18] 就是目前在市場上
[21:20] 我覺得又再一次的回到了一個
[21:22] 就是在我自己的角度
[21:24] 研究的時間是大於交易的時間
[21:26] 要去做更多的功課
[21:28] 然後要趕去春風化雨
[21:30] 有些東西掉下來的時候
[21:31] 會選擇去買它
[21:32] 那有些東西
[21:33] 如果是本來這裡面已經買好的
[21:34] 當它形態轉差
[21:36] 或是又開始出現那種
[21:37] 以臺國來講就長黑
[21:39] 也沒過來講就是長紅的話
[21:40] 就會再去做一些減碼
[21:42] 因為還是會覺得說
[21:43] 就這波蛋
[21:44] 只是我相信還有一些空間
[21:46] 那只是
[21:46] 如果說後面上不去的話
[21:48] 那一般我們都知道
[21:49] 這樣的行情
[21:50] 過去演過很多次
[21:51] 就是第一波軍線還很陡的時候
[21:53] 它掉下來才要軍線
[21:54] 就是會回彈
[21:55] 所以像前面又跟你講說
[21:56] 如果今天是什麼破季線
[21:58] 就是我自己會大買的地方
[21:59] 因為我就敢買
[22:00] 我知道說
[22:00] 因為它那個協力很大
[22:01] 可是如果今天是
[22:02] 開始已經橫一個
[22:04] 不知道就是可能
[22:05] 幾個禮拜到數月的一個狀態的話
[22:08] 那就有機會
[22:09] 就他下次下去的時候
[22:10] 就下比較深
[22:10] 所以接下來可能就是
[22:12] 在後面下去下比較深的時候
[22:14] 如果說手上有點錢的話
[22:15] 是不錯的
[22:16] 所以還是會再做一下
[22:17] 持股的一個調整跟變化
[22:19] 那這邊稍微跟大家
[22:21] 分享一下自己的心得
[22:22] 好那這邊
[22:23] 讓我們接下JKQ的部分
[22:24] 第一位CK Pharmacy
[22:25] 我要看極光
[22:26] 大家好你好
[22:27] 有幾個新手問題要請教一下
[22:28] 一
[22:28] 期貨的部位槓桿要如何計算呢
[22:31] 因為會有古奇跟臺子奇的部位
[22:33] 是一樣把總市值除以保證金這樣計算嗎
[22:35] 那這樣槓桿的計算
[22:36] 有時候好像不是這麼直觀的感覺
[22:38] 因為臺子奇一口市值就好大
[22:39] 還是愛大會把古奇跟臺子奇的部位分開算呢
[22:43] 其後的部位是空單的話
[22:45] 空單的槓桿又會如何計算呢
[22:46] 一樣是總市值去除以保證金嗎
[22:48] 那如果說部位同時有多空的話
[22:50] 會分開計槓桿嗎
[22:51] 還是會一起計算呢
[22:53] 在懇請愛大解惑愛你
[22:54] 希望反彈在即多軍勝利
[22:56] 沒有其實反彈已經發生中了
[22:58] 如果說你還在等反彈
[22:59] 然後要去追的話
[23:00] 就很高機率
[23:01] 你會再一次被殺在三點
[23:02] 那再來他問槓桿的計算
[23:04] 其實這個就直接問AI
[23:06] 一秒鐘就有答案
[23:07] 我覺得這個就不用拿來問我
[23:08] 因為這根本就沒有什麼
[23:09] 技術性的東西
[23:10] 這完全就只是一個
[23:11] 定義上的問題而已
[23:12] 好但來都來了
[23:13] 還是跟你講一下
[23:14] 反正就是市值去除以你的保證金
[23:15] 就結束了
[23:16] 就是這麼簡單
[23:17] 所以並沒有什麼
[23:18] 什麼直不直觀
[23:19] 因為臺子企業本身是大的
[23:21] 所以理論上
[23:22] 你就是如果只用他的
[23:24] 那種最低保證金的話
[23:25] 你就是開蠻大的一個槓桿
[23:26] 沒錯
[23:26] 那一般來說
[23:28] 臺子企業槓桿
[23:29] 我們會允許
[23:30] 是比個股的槓桿
[23:31] 再大一點
[23:32] 因為它可能是
[23:33] 相對比較穩的東西
[23:34] 也就是說
[23:35] 類似我們常跟大家講
[23:36] 大盤今天假設
[23:37] 跌10%的話
[23:37] 有些個股是要摔
[23:38] 20 30%的
[23:39] 所以它的槓桿
[23:40] 可以稍微大一點
[23:41] 只是一般我們還是
[23:42] 會把它去做一個
[23:43] 同一的計算
[23:44] 空單的槓桿的話
[23:45] 計算方式也是一模一樣
[23:47] 只是有些人會去選擇
[23:48] 把它做一個hedging
[23:49] 也就是說
[23:50] 你今天空單假設
[23:51] 有個1000萬的部位
[23:52] 然後你多單
[23:52] 有個2000萬的部位
[23:53] 我們就講說你目前就是net多單1000萬
[23:56] 這樣的意思
[23:56] 就是2000去減量那個1000
[23:58] 那這當然這都是各種計算上
[24:00] 然後跟方便自己控管的一個做法
[24:02] 就是我不太清楚
[24:03] 你問這個定義問的這麼細要幹嘛
[24:04] 因為重點只是你自己
[24:05] 有沒有辦法去把那個部位給控制好
[24:08] 這個數字呢
[24:09] 並不是要去對外報的
[24:10] 而是你自己知道說
[24:12] 那我家水位是偏高還是偏低
[24:13] 那是給自己計算用的
[24:14] 所以你自己要用別的方式去做定義
[24:16] 其實也沒有問題
[24:17] 下面一位
[24:18] 陳一訊和MNK平均有1.5顆蛋蛋
[24:21] 我的記霸豪洋
[24:22] 文這裡很靈驗
[24:24] 那來請諸位祝我12月12號放榜順利
[24:27] 有獎學金那種最好
[24:28] 不然讀書好貴
[24:30] 那另外請順便祝新普Karina生日快樂
[24:33] 剛好跟我放榜同一天
[24:35] 如果實現在寄禮物給諸位一家還願
[24:38] 或是捐款給慈善機構之類的
[24:40] 感恩珍惜
[24:40] 那就祝你們都放榜順利
[24:43] 那來祝他生日快樂
[24:44] 那如果說實現的話
[24:45] 你就捐給慈善單位就好
[24:47] 不用寄東西給我
[24:48] 下面一位王阿炎
[24:49] 老師的狗
[24:50] 挨大您好
[24:51] 我跟弟弟都是您的忠實粉絲
[24:53] 弟弟Xin
[24:54] 今年生日願望是
[24:55] 希望挨大家可以祝他生日快樂
[24:56] 可以麻煩用肌肉猛男的聲音
[24:58] 祝他12月21號
[24:59] Xin生日快樂
[25:01] 那也祝福挨大家快樂
[25:02] 平安愛你
[25:03] 下面為MZBGATEID
[25:06] 唯一支援林口仙夢宮
[25:07] 為了去看的動物方程式
[25:09] 二
[25:09] 愛是需要溝通
[25:10] 不管是哪一種感情
[25:11] 談戀愛真的好麻煩
[25:13] 愛的時候什麼都可以
[25:15] 不愛的時候什麼都不可以
[25:16] 但我覺得最愛的還是
[25:18] 洗衣機
[25:19] 烘衣機
[25:19] 洗碗機
[25:20] 掃地機
[25:21] 廚師機
[25:22] 便品冷暖機
[25:23] 空氣清淨機
[25:24] 祝孟公我老公一家健康平安
[25:27] 股票繼續賺爛
[25:28] 諾亞奇安繼續可愛
[25:29] 我是雲林小吃貨
[25:30] 奇怪像一般這種留言
[25:32] 就是那種盤在疊的時候才出現
[25:34] 就是已經語無倫次
[25:35] 疊到不知道在幹嘛的那種
[25:37] 那像這位的話
[25:38] 不知道就比較特別
[25:40] 可能是那種空方被嘎到
[25:41] 開始講一些那種
[25:42] 搞不太清楚的話
[25:44] 下面一位
[25:44] 考研的皮卡丘
[25:46] 考研好累救救我
[25:47] 那想請教一下
[25:48] 最近有謠傳Flex的TPU訂單會被拆分
[25:51] 主機板CLS冷卻紅海
[25:53] 它只剩下一個組裝殼
[25:54] 不知道是不是真的
[25:56] 那個煩情解惑
[25:57] 應該不是這樣子一個狀態Flex後面會是一個蠻主要的一個組裝廠就是他會有相當多的一個TPU的訂單會在這邊那CLS的話
[26:07] 就是他除了這個伺服器之外
[26:09] 這交換器這邊的市佔也很大
[26:10] 那你說鴻海有沒有可能
[26:11] 進來去卡到這些人的生意
[26:13] 都是有可能的
[26:14] 鴻海就是一家
[26:14] 什麼小都做出來的公司
[26:17] 所以什麼機會
[26:18] 都有可能會跑到他身上
[26:19] 可是不代表就是
[26:20] 今天可能有一個人
[26:21] 可以獲得一些東西
[26:22] 那其他人就要去死
[26:22] 一樣這是我們一直強調
[26:24] 在股市裡面
[26:24] 很多人的思維是零和的
[26:25] 但它其實不是零和的
[26:27] 特別是那種有高速增長
[26:28] 然後它的需要的產量是超級大的公司
[26:31] 它可以養活很多人
[26:32] 所以也不會類似說
[26:34] 像我們前面講到說
[26:35] Google它又要去做EMIP
[26:36] 很多人可能就直覺覺得說
[26:38] 那是不是臺積電的COWAS也要去死了
[26:40] 不是這樣子一個狀態
[26:41] 它只是可能說它需要更多的產能
[26:43] 它只要去做這樣子的一個分散的做法
[26:45] 所以其實在這個案例上
[26:47] 應該是這樣的一個狀態
[26:48] 因為CRS我們知道說
[26:49] 它是一個近乎是全滿
[26:51] 或者說已經可以講
[26:52] 它就是全滿的一個產能
[26:53] 所以如果你今天是站在Google的角度的話
[26:56] 你就知道說你一定會去找更多的供應鏈來做
[26:59] 就像我們前面跟大家聊到
[27:00] 其實Google現在在各種封裝廠
[27:03] 就是到處都去找人家要產的
[27:05] 有在供應鏈上的朋友應該都有看到這樣子的一個狀態
[27:08] 所以我個人認為這是很正常的一個操作
[27:11] 下面一位肥宅王者3661上5000
[27:14] 五星推白大
[27:15] 感謝您陪伴了許多通行的時光
[27:17] 想拜託您幫我祝12月8號生日的臺中廣賴林
[27:21] My Leo Cutie
[27:22] 曹博士生日快樂
[27:24] 要天天開心
[27:25] 工作加油
[27:26] 我們祝曹博士生日快樂
[27:28] 這個3661上午前
[27:30] 好像很常看到他的ID
[27:31] 祝他早日上午前
[27:32] 下面一位
[27:33] 地方炯哥
[27:34] 炯哥就是爆哥
[27:35] 聽到太太連續兩次留言成功
[27:37] 好開心
[27:38] 未來留一下好了
[27:39] 那我就是那個喜歡歷史人物的先生
[27:42] 我現在在看德川家康小說
[27:44] 掛號推作者鋼山莊八
[27:47] 那之後來看陳吉思漢
[27:49] 最近的名片假如不見了
[27:50] 太太幫我選了幾款之後
[27:51] 我都不喜歡
[27:52] 壞不了了之
[27:53] 然後內心想太太之後
[27:54] 一定會自己幫我買
[27:56] 沒有想到過了不久
[27:57] 就真的收到太太
[27:58] 自己幫我買的名片夾
[27:59] 太太就說
[28:00] 你一定不會自己買
[28:01] 子丹喬我跟太太
[28:02] 也有神默契嗎
[28:03] 有
[28:03] 我真的覺得
[28:04] 你跟一個人在一起久了之後
[28:05] 特別是那種
[28:06] 就朝夕相處
[28:07] 你真的會有一些默契的產生
[28:09] 甚至是我們講的那種
[28:11] 心有靈犀
[28:11] 很恐怖
[28:12] 就是你突然間肚子餓
[28:14] 然後你們互看一下
[28:15] 你們就知道說
[28:16] 要去吃什麼東西
[28:17] 或者說你在路上
[28:18] 看到一個很奇怪的人
[28:19] 然後你們互看一下之後
[28:20] 你們就直接一起笑出來
[28:21] 因為你們要吐槽的內容
[28:22] 就彼此都知道了
[28:23] 所以這個是真的會發生的事情
[28:25] 下面一位
[28:26] 我愛你我也愛你
[28:27] 安安孟公寶
[28:28] 孟公寶最近是不是沒有打太全了
[28:30] 好像很久沒有聽你分享了
[28:31] 那想問一下
[28:32] 我請人幫忙做某件事情
[28:34] 已經跟他講怎麼做
[28:35] 但就是要自己叫到天出的
[28:37] 常常因為這樣爆氣
[28:39] 那這樣的我是混蛋嗎
[28:40] 那還是一堆人在問槓桿
[28:43] 最近幾集幾乎都在問槓桿
[28:45] 下次可以叫快樂寶貝回聽嗎
[28:46] 槓桿就像吃辣
[28:48] 有些人可以吃很辣
[28:49] 有些人一吃辣屁眼就炸
[28:51] 這麼難理解
[28:52] 那另外12月要去沙漠出差了
[28:54] 可以祝我工作順利嗎
[28:56] 還有in and out必吃什麼
[28:57] 安哥越來越像他爸爸了
[29:00] 非常感謝
[29:01] 就是被說像安哥
[29:02] 對我來講是一種驕傲
[29:03] 我覺得安哥長得還蠻可愛的
[29:05] 然後再講說in and out
[29:06] in and out好像有一個
[29:07] 我忘記什麼
[29:08] 什麼beast還是什麼啥小
[29:10] 反正就是弄個亂七八糟
[29:11] 他們講說那個是什麼隱藏menu
[29:12] 我是沒有點到那個東西
[29:13] 我只有點他一般的burger
[29:15] 覺得超好吃的
[29:15] 那只是後來有人跟我講說
[29:16] 要點那個
[29:17] 反正就是他那個名字
[29:19] 聽起來就很粗獷
[29:20] 你上網Google一下
[29:20] 應該找得到
[29:21] 要點那個東西
[29:22] 然後再來講說這個槓桿
[29:24] 其實我覺得他講的非常好
[29:24] 就是我很多時候
[29:26] 我不忍直接跟大家講的東西
[29:27] 就是其實你會來問的
[29:29] 你就是不適合
[29:30] 簡單講
[29:31] 就是你會來問的
[29:32] 你就是不適合
[29:33] 只是很多人就是
[29:33] 他沒有辦法接受
[29:35] 自己不適合
[29:36] 或是不會這件事情
[29:37] 他就是要一直問
[29:38] 一直問一直問
[29:39] 然後直到自己受傷之後
[29:40] 才學會
[29:41] 那所以真的講
[29:42] 就我覺得那個就像他講的
[29:44] 他就是吃辣
[29:44] 有些人可以吃辣
[29:45] 有些人不能吃辣
[29:46] 那真的沒有什麼好問的
[29:46] 有些人喜歡大辣
[29:47] 有些人喜歡小辣
[29:48] 然後再來講說
[29:49] 是不是很久沒有打泰拳
[29:51] 沒有都還是有打
[29:52] 只是它頻率沒有像之前
[29:53] 就是最瘋的時候
[29:54] 是兩三天就去一次
[29:56] 兩天就去一次
[29:56] 下午大概就是一個禮拜去一次
[29:58] 因為其實我覺得
[29:59] 小朋友的事情
[30:00] 也開始越來越多
[30:02] 所以就是必須要
[30:03] 在家裡待命的時間
[30:04] 是相對多的
[30:06] 然後再來講說
[30:07] 你已經請某人幫忙某件事
[30:08] 也教他怎麼做
[30:09] 然後自己會加油添出
[30:10] 這個沒有辦法
[30:11] 這個就是去管理人
[30:12] 就是會發生的事情
[30:14] 就是我們很多時候
[30:15] 都希望去找到一些人
[30:17] 是可以使命必達
[30:18] 你跟他講要怎麼做
[30:19] 你給他一個錦囊
[30:20] 他就照著做
[30:20] 或者說他今天如果發現
[30:22] 有什麼樣的一個狀況
[30:22] 他就直接跟你回報
[30:23] 然後你可以直接下判斷給他
[30:25] 就把事情都做好
[30:26] 可是呢
[30:26] 人就是喜歡去加入
[30:27] 自己的一些判斷
[30:29] 那又或者像我去
[30:30] 交一些人股票
[30:31] 我有時候覺得
[30:32] 很煩的一點就是說
[30:33] 我都會直接嗆
[30:34] 就說你憑什麼
[30:35] 有自己的想法
[30:36] 雖然這樣講話
[30:36] 可能是很吉巴很靠北
[30:38] 可是以前可能也有人
[30:39] 跟我講過一樣的話
[30:39] 就是你到底憑什麼
[30:41] 有自己的想法
[30:41] 你的判斷力就不準
[30:42] 你就是怎麼都還不會
[30:44] 然後我給你講一個東西
[30:45] 你要跟我講一堆可是可是可是
[30:46] 沒有什麼叫可是
[30:47] 你先照著我講的做
[30:48] 然後照做之後
[30:49] 後來有問題的話
[30:50] 你當時說責任是我負擔
[30:52] 也是我教你
[30:52] 你會賠會怎麼樣
[30:54] 我還可以幫你修正
[30:55] 你按照你自己的東西去做調整之後
[30:57] 前後我要怎麼辦
[30:57] 我根本就救不回來
[30:58] 所以真的是有這樣子的一個問題
[31:00] 可是最後面就發現說
[31:01] 這其實也沒有什麼好去糾結跟吵
[31:04] 就如果你真的不爽的話
[31:05] 就自己做
[31:05] 自己做的話就不會有問題
[31:07] 所以為什麼有些人能者過勞
[31:09] 就是因為這樣
[31:09] 因為你就發現說
[31:10] 你交給別人做
[31:11] 你根本就不放心
[31:11] 別人會亂搞
[31:12] 你自己做做到死掉
[31:13] 所以這方面會
[31:14] 我覺得是這樣
[31:15] 就像我去
[31:16] 讓別人做事情
[31:17] 或者說假設
[31:18] 請請助理做什麼
[31:19] 有的沒有的東西
[31:20] 我會盡量去把那些
[31:21] 容錯率比較高的事情
[31:23] 給他做
[31:23] 就重複性比較高
[31:24] 容錯率比較高的事情
[31:25] 然後一些
[31:26] 真的需要去下判斷
[31:28] 跟甚至會用到
[31:29] 自己的一些隨機應變的事情
[31:30] 就還是留在自己的手上
[31:31] 就去做一些
[31:32] 工作的切割
[31:33] 因為如果把這些東西
[31:34] 丟給別人
[31:35] 然後別人失誤的話
[31:36] 像我也是那種會超級生氣的人
[31:37] 可是你也知道說
[31:38] 你不能怪別人
[31:39] 因為是你自己要委託這個人的
[31:41] 雖然你會想說
[31:41] 我不是早就跟你講說
[31:43] 步驟是怎麼樣
[31:44] 可是你知道
[31:44] 就是每個人在那個環境下
[31:46] 他可能還是會想要去下自己的判斷
[31:47] 證明自己的價值
[31:48] 或什麼的
[31:49] 然後就會有一些
[31:50] 很雷的狀況產生
[31:52] 這不是之前三國演義
[31:53] 有演給你看過嗎
[31:54] 叫他說他媽的在下面守
[31:56] 他就要跑到山上去給人家圍
[31:57] 那個累斬馬術
[31:59] 對就是會有這樣的一個狀況產生
[32:02] 所以只能夠接受他
[32:03] 好那下面一位
[32:04] 家燈漲停預備備
[32:06] 好物推推推來一款超讚的
[32:08] 韓國樂天無糖優格碳酸飲
[32:10] 好事多就有
[32:11] 幫你素一口就愛上
[32:12] 好想趕快考完學測玩煙雲
[32:14] 是說用遊戲機玩跟用iPad玩
[32:16] 有差很多嗎
[32:17] 那最後幫我用小貓咪
[32:20] 被無麻醉煙疙瘩的聲音
[32:23] 祝我跟我家小貓咪
[32:24] 明年學測都上牙醫系
[32:27] 這個資訊量有點多
[32:29] 首先會講家燈漲停預備備
[32:31] 因為家燈不是那種
[32:33] 就是可能不知道
[32:33] 就高中生會接觸到的股票
[32:35] 他是一個比較
[32:36] 怎麼講
[32:37] 他那個FOOP
[32:38] 不是每個人都會了解的東西
[32:39] 所以他應該是老人家
[32:41] 就是會問這個標的
[32:42] 我直覺是老人家
[32:43] 然後就他媽老人家
[32:44] 竟然要去考牙醫系
[32:47] 要去考學測
[32:48] 那他自己考學測就算了
[32:49] 他還有一個
[32:50] 他家的小貓咪也要一起考
[32:52] 我不知道
[32:52] 我覺得資訊量太大
[32:53] 我覺得這個人
[32:53] 一定是他媽超奇怪的人
[32:54] 所以他推的那個飲料
[32:56] 我覺得可能有問題
[32:56] 大家不要喝
[32:57] 下面一位
[32:57] 出國留學卻只學會烤蛋糕
[33:00] Us against the world
[33:02] 嗨夢宮
[33:03] 請用部隊進餐廳
[33:04] 喊口號的宏亮聲音祝我
[33:06] 來
[33:06] 一哦一哦
[33:08] 生日快樂
[33:09] 32粒的
[33:10] 我覺得現在外面的保姆
[33:12] 一定覺得他媽有病
[33:13] 那收到最美好的生日禮物
[33:15] 就是今年結婚了
[33:16] 那感謝老婆包容我在烘焙料理
[33:19] 乃至生活上對於細節的小執著
[33:21] 我會繼續烤可力露給你吃
[33:23] 在你滑手機滑到睡倒
[33:25] 在沙發的時候抱你到床上
[33:27] 附上一根擠好牙膏的牙刷
[33:30] 雖然以你只會說謝謝的中文程度
[33:32] 這段大概聽不懂
[33:33] 但沒關係
[33:34] 我一樣愛你
[33:35] 那請主委哼一段結婚進行曲
[33:37] 祝我們新婚愉快
[33:39] 結婚進行曲怎麼唱
[33:41] 那也感謝主委不藏私的分享人生體悟
[33:49] 讓我如同開外掛班
[33:50] 認知邊界往前拓寬了不少
[33:53] 那衷心祝福主委一家五口
[33:55] 一切健康一切平安
[33:56] 我愛老婆
[33:57] 我愛你
[33:57] 我愛你
[33:57] 聽說這裡很靈
[33:59] 最近有個籌備投顧
[34:02] 找我去當總經理
[34:03] 怪我小弟只是有分析師牌
[34:05] 但一點經歷都沒有
[34:07] 感覺很像是掛人頭
[34:08] 請保佑我別遇到詐騙
[34:10] 我可以如何預防被騙呢
[34:12] 首先如果是有牌的話
[34:14] 是一定找得到
[34:15] 就是說那個牌
[34:16] 不是這麼容易可以取得的東西
[34:18] 因為像之前有一個聽眾
[34:19] 蠻有趣的
[34:20] 他送我一本他寫的書
[34:22] 然後他就跟我講說
[34:23] 他們家跟投資有淵源
[34:25] 他媽媽有一個什麼
[34:26] 投顧公司的牌
[34:27] 那後來回去一查
[34:28] 還真的有
[34:28] 只是就是感覺應該是沒有什麼客戶
[34:30] 但就類似這種吧
[34:31] 他們可能是有牌有資格
[34:34] 那可能在過去的經營上
[34:36] 比較沒有處理好
[34:37] 然後現在可能要重新的去找到一些機會
[34:40] 所以就去對外招聘
[34:41] 不一定都是騙你的
[34:43] 只是說要怎麼樣預防詐騙
[34:44] 首先就是進去不要亂撿東西
[34:46] 然後再就是相關的檔案
[34:48] 跟一些東西要給你看
[34:49] 你也是分析師
[34:50] 你一定看得懂
[34:51] 這不用害怕
[34:51] 那最後就是如果說面試的地點
[34:54] 是超奇怪的地方的話
[34:55] 就要注意器官不要給人家摘掉
[34:56] 就是可能不知道
[34:57] 就那種超偏僻的地方就不要亂去
[34:59] 好那下面一位
[35:00] 手錶太大
[35:02] 手錶大大
[35:03] 請問健身後每次都很痠痛
[35:05] 還大致如何強迫自己持續運動的
[35:07] 那另外想要請問
[35:09] 自己是可以在長期投資賺錢的
[35:11] 但偶爾還是會被影響心情
[35:13] 甚至有時候小孩跟老婆也都會被影響
[35:15] 這樣的我還適合繼續投資嗎
[35:18] 那首先第一個
[35:20] 健身後的痠痛我超愛
[35:22] 我有時候覺得說
[35:23] 就是我練完沒有痛的話
[35:25] 是很不舒服的事情
[35:26] 我也想要再趕快再去補個幾下之類的
[35:29] 雖然我知道這個不一定是對的
[35:31] 就是其實如果說什麼熱身都有做好
[35:33] 如果說什麼已經非常習慣
[35:35] 都有去做各種補充跟訓練
[35:37] 睡眠都有睡足的話
[35:38] 不一定會痠痛
[35:39] 可是像我就是很喜歡那種
[35:41] 就是你狂推完
[35:42] 然後回來的那種撕裂感
[35:44] 如果說很痛的話
[35:46] 就稍微再多休息幾天
[35:47] 我自己就搭配伸展
[35:48] 所以可能就還OK
[35:49] 那再講說投資是會賺錢的
[35:51] 但是會影響到周邊的人
[35:53] 這個就是說怎麼講
[35:54] 我懂了
[35:55] 因為長期投資的話
[35:56] 就代表說你可能是跟著市場會一起
[35:58] 就類似在海上飄
[36:00] 有時候會起浪
[36:02] 有時候可能是比較平穩
[36:03] 然後有時候掉下去的時候
[36:04] 你可能就心情不好
[36:05] 你可能會一直去想他
[36:06] 你可能一直滑你的APP
[36:07] 你可能家人跟你講話的時候
[36:09] 你的心不在焉
[36:09] 或者說他們跟你在講到很小的東西
[36:12] 然後你就想說
[36:12] 操你媽老子家在那邊一天回賭1000萬
[36:15] 你在跟我講說
[36:16] 1萬塊的東西要買不買
[36:18] 你知道我講的這些東西嗎
[36:20] 因為我曾經有過類似的感受
[36:21] 所以就會比較不耐煩或什麼的
[36:23] 這個不能夠說是不適合投資
[36:25] 這個叫做人品不好
[36:27] 所以這個是要去修改你的人品
[36:29] 因為像我自己也曾經
[36:30] 會因為自己工作上的壓力比較大
[36:32] 然後會影響到我身邊的人
[36:33] 甚至我老婆會跟我講說
[36:35] 孩子我們不要做那麼多了
[36:36] 我們好好休息了
[36:37] 對我們去新加坡
[36:38] 不是新加坡
[36:38] 我們去西班牙
[36:39] 我們回去
[36:40] 我們不要在這邊
[36:41] 你看弄你的工作
[36:42] 有時候你心情好的時候很好
[36:43] 你心情差的時候
[36:44] 你都不講話
[36:45] 然後我跟你講話
[36:46] 講三次你才要聽
[36:47] 那後來我就慢慢去修正這件事情
[36:49] 那我覺得要去調節這件事情
[36:51] 其實還是要從工作下手
[36:52] 也就是代表你現在工作壓力太大
[36:55] 那工作壓力太大
[36:56] 意思是什麼
[36:56] 就是我們把投資當成工作
[36:57] 那這是我了
[36:58] 可是你可能不一定
[36:59] 這可能是你的
[37:00] 就是副業
[37:01] 或者說小投資這樣
[37:02] 那就是說部位太大
[37:04] 在我的認知
[37:05] 其實就是部位太大
[37:06] 就有這樣子一個狀態
[37:07] 據我來說
[37:07] 如果今天是去下個
[37:09] 什麼臺幣一萬塊
[37:10] 你會在意他媽腰斬嗎
[37:12] 他腰斬
[37:13] 你可能甚至想說
[37:13] 幹你不要跟我講了嗎
[37:14] 我今天薪水隨便拿
[37:16] 就有這個一萬塊出來
[37:16] 就把它補掉
[37:17] 可是如果你今天
[37:18] 下到一千萬的話
[37:19] 或者說一億的話
[37:20] 那當然他腰斬的話
[37:22] 你的心情就很難好起來
[37:23] 只是說這個標準
[37:24] 可能說每個人是不太一樣
[37:26] 而且它其實會慢慢的與時俱進
[37:27] 像我曾經也
[37:28] 因為在短期內
[37:30] 因為可能在2020到2024這個階段
[37:33] 真的非常瘋狂
[37:33] 其實今年也是很瘋狂的一個行情
[37:35] 那時候會有這種
[37:36] 就是可能每年翻倍的狀況產生
[37:38] 因為這行情太好了
[37:39] 並不是說我們真的自己多厲害
[37:41] 有時候你那個認知是跟不上的
[37:43] 就是你錢變多了
[37:44] 可是你認知是跟不上的
[37:45] 所以你可能在上去的時候很快
[37:47] 可是後面有一段時間
[37:48] 你會非常的痛苦
[37:49] 就是說你還不習慣
[37:51] 這個損益的跳動
[37:52] 這個可能要
[37:53] 真的有做股票做蠻生的人
[37:55] 會懂我在講
[37:56] 你不習慣
[37:57] 就是你以前可能會覺得說
[37:58] 一檔股票已經回吐
[38:00] 什麼150萬200萬
[38:01] 這個可能就是非常嚴重了
[38:03] 可是你要知道
[38:04] 就是按照你下的部位
[38:05] 一兩百萬的一個回吐
[38:07] 其實就是不知道
[38:08] 就是過去對你來說
[38:09] 甚至就是三五萬的一個回吐而已
[38:10] 用趴數來看的話
[38:12] 其實差不多的
[38:13] 可是你先用絕對數字看的話
[38:15] 你身體就很不舒服
[38:16] 那個其實是需要一點時間
[38:17] 去調節到
[38:18] 就是你會去習慣說
[38:19] 好OK我現在去進出的話
[38:21] 我一比就是大概是這樣子
[38:23] 就是那個如果調節好之後
[38:24] 你的心情也比較不會受到影響
[38:25] 但如果說有極客的問題的話
[38:27] 其實最快的一個方式
[38:29] 就先去降低那個部位
[38:30] 降低部位之後
[38:31] 應該就會顯著的改善
[38:33] 那還是要去把這個人品給處理好
[38:35] 這個非常重要
[38:36] 不要影響到家人
[38:37] 下面一位
[38:37] 會仔
[38:38] 夢工說偶像拜託念我
[38:39] 我愛大安
[38:40] 最近看你一下
[38:41] 消難一下
[38:42] 無閃
[38:42] 真的覺得你超猛超帥
[38:43] 那上一次留言是一年前
[38:45] 祝男友生日快樂
[38:46] 這次也想借謝總金口琴
[38:47] 哆啦A夢的聲音
[38:48] 唱一小段主題曲
[38:50] 加註男友12月4號
[38:52] 不是啊
[38:53] 哆啦A夢聲音沒有辦法
[38:55] 我只會
[38:55] 我真的只會那一招
[38:57] 生日快樂那另外男友剛從ID轉機構雖然是思考很久後才做的決定但他時不時會因為以後可能需要長出差之類的事情擔憂
[39:10] 想請直男敲回來
[39:11] 幫他矯正
[39:12] 那請他做好決定之後
[39:14] 就帥氣的接受挑戰
[39:15] 不要總是想都想心
[39:16] 猶豫不決的
[39:17] 那感愛大愛您
[39:18] 祝全家平安健康
[39:20] 這位惠仔就是我們講的
[39:21] 那種會有幫扶孕的人
[39:22] 真的是這樣子
[39:23] 就是很多時候
[39:24] 我覺得男生不免
[39:25] 因為可能
