[00:00] 欢迎收听谷外,我是孙梦宫,本期节目由米红米红生医赞助
[20:06] 很高程度的会
[20:07] 因为你把那个
[20:08] 怎么讲
[20:08] 预期打得太满了
[20:10] 所以很多时候
[20:10] 大家会注意到这样
[20:11] 就是每次有一个
[20:12] 新的模型出来
[20:12] 前两天你去滑社群
[20:14] 都是尬锤文
[20:15] 说太屌了
[20:16] 那个比分又怎么样
[20:17] 用起来多强
[20:18] 然后大概两个礼拜之后
[20:19] 就开始一堆人来骂
[20:20] 所以也会是类似的状态
[20:22] 只要他没有把算力解决
[20:23] 都是这样子
[20:24] 那至于那些可能
[20:25] 烧下去的软体股会怎么样
[20:26] 我个人是认为说
[20:27] 因为那算是我的长期持股
[20:29] 所以像我自己会继续抱着
[20:30] 那可能等到下一波
[20:32] 他们开始要进攻的时候
[20:33] 我们才会再去
[20:34] 额外的去做注意
[20:36] 不然这阵子我觉得
[20:37] 我自己也是蛮意外说
[20:39] 像Enthropic这样的一个
[20:41] AI Doomsday Call
[20:42] 每次都去把这些SaaS
[20:44] 或是说相关的一些软体应用
[20:46] 跟整合商打下去
[20:48] 我以为早就该告一个段落
[20:49] 但还是持续的在发生中
[20:51] 所以目前很明显资金没有在这个地方
[20:53] 可能要等到后续再来去观察
[20:56] 什么时候会让市场稍微的冷静一下
[20:59] 然后接着再找一些介入的机会
[21:01] 最近在台股也有一个蛮有趣的事情
[21:04] 应该说两件事
[21:05] 首先先快速聊一下被动元件
[21:06] 因为被动元件我们算是可能在
[21:08] 两三个月前就持续的有去注意
[21:11] 可是两三个月前
[21:12] 我自己觉得我那时候买太早
[21:14] 所以我是有认输
[21:15] 认输之后后来又有再回头去做介入
[21:18] 现在就在思考说
[21:20] 要不要把这个不会放到很大
[21:21] 下个礼拜会有一个比较重大的事件
[21:22] 就是礼拜三国际要开法说会
[21:24] 没有意外的话
[21:26] 法说会的内容应该是会全面性的正面
[21:29] 为什么
[21:29] 因为我们现在已经有注意到说
[21:30] 很多的被动元件都开始出现
[21:31] Lead Time是往上拉的一个状态
[21:34] 它还没有像记忆体这样全面的缺货
[21:36] 可是已经在像是Tencap
[21:39] 就是谈电容或者说SPcap
[21:41] 铝电容上面已经有注意到是
[21:43] 严重的缺货
[21:44] MLCC已经在警戒线附近
[21:46] MLCC目前其实在市场里面最缺的
[21:48] 应该是会比较偏向像是春田
[21:50] 或像是SAMCO所做出来的
[21:52] 比较高阶AI应用的
[21:54] 那当然这个比较有点类似
[21:55] 2017的状态
[21:57] 就是说那时候也是
[21:58] 可能在一只手机
[21:59] 或是一个电动车里面
[22:00] 要用到超多的被动连接
[22:01] 导致一些高阶厂商
[22:03] 去往高阶的方向走
[22:05] 那一些比较低阶的产品就放出来
[22:07] 它其实有点类似的逻辑
[22:08] 就是有一个主轴产品
[22:10] 以前可能是手机或电动车
[22:11] 然后现在就是AI伺服器
[22:13] 所以有机会就是会变成是一波新的缺货潮
[22:17] 那我自己有在脸书分享这个文章
[22:19] 很多时候我们都抛转一遇
[22:20] 我们就故意丢出来
[22:21] 然后看大家会怎么讲
[22:21] 那有一些产业的朋友就有来给我feedback
[22:24] 那基本上在产业的朋友都有看到这样的一个趋势
[22:27] 那只是他们的说法就是说
[22:28] 这有点类似说23或者24的记忆体
[22:30] 就是你不知道什么时候它会发作
[22:33] 那时候发作的一个原因是因为SORA
[22:35] 因为SORA就整个触动到整个记忆体族群喷出去
[22:38] 还有那时候有看到Sandisk的一个涨价信
[22:41] 我们在第一时间就有跟大家分享
[22:43] 所以可能就是
[22:44] 当然涨价信我们过去在被动人间已经看到很多了
[22:47] 所以他可能需要某一个事件去做催化跟驱动
[22:51] 所以如果说有那个事件跑出来的话
[22:53] 那可能资金就会往这个方向去看
[22:54] 那接下来可能就注意一下
[22:56] 礼拜三的国际的法说会讲什么东西
[22:57] 没有任何意外的话
[22:59] 就是我们已经看到说
[23:00] 他下个Q也是要持续的涨价
[23:01] 然后再来就是他旗下的Kemat
[23:03] 就是基美也是持续的在谈电荣上面去做涨价
[23:07] 所以被动元件非常的缺
[23:08] 这应该是没有什么太多的争议
[23:11] 然后到后面还会再更缺
[23:12] 接下来另外一个有趣的题材
[23:15] 在这边跟大家分享一下
[23:16] 总之就是现在有蛮多的光通厂
[23:19] 不管是美系的
[23:21] 其实有些是美系
[23:22] 跟他是台股
[23:23] 就是身体里面是台股的
[23:25] 再来或者说台湾的自己的一些光通的相关元件厂
[23:29] 我们最近有注意到一个趋势
[23:31] 相信股票圈的人士应该大家都发现
[23:34] 我觉得说像前面大家买的鲜卤是怎样
[23:36] 先爐就是去幫人家做代工Shuffle Box
[23:40] 後來大家跑去買了一個網通廠
[23:41] 為什麼 因為網通廠有S&T產線
[23:44] 然後在過去一陣子
[23:45] 大家跑去買一些LED的打鍵廠
[23:47] 為什麼跑去買LED打鍵廠
[23:49] 因為就有在講說美系的這些客人們
[23:51] 他們現在就是需要這些產線
[23:54] 所以要怎樣
[23:54] 他可能就是自己去自帶這些設備進來
[23:57] 設備應該也是甲方去付的
[23:59] 就是可能這些巨頭
[24:01] 他們需要這些光通相關的元件
[24:03] 所以他就付錢給廠商買了設備之後
[24:06] 然后这个厂商可能再去找另外一个
[24:08] 有场地有产线的厂商
[24:10] 然后把我的设备放进去去做生产
[24:12] 像这样子的标的在台股是越来越多
[24:15] 现在已经是上升到大概有四档是这样
[24:17] 所以我开始不免的认为说
[24:19] 这会不会有机会变成是某一种新的趋势
[24:22] 首先大家先知道SMT打建厂的时候
[24:25] 简单讲说把一些电子元件弄到板子上面
[24:27] 其实毛利本身并不是一个太高的东西
[24:30] 可是过去可能有蛮多的闲置
[24:32] 像有些在做LED的
[24:33] 他SMT的打件其实是非常的完善
[24:36] 只是说产线可能是没有办法把它放满
[24:38] 所以在过去一阵子
[24:40] 大家都不会喜欢他
[24:41] 谁会喜欢这种没有在题材上的东西
[24:43] 可是近期发生的事情
[24:44] 就是因为可能光通的需求真的是太大了
[24:47] 所以他们必须要去把很多的产能生出来
[24:50] 因为自己可能去做货厂
[24:52] 又需要去过环平
[24:53] 土地取得不易
[24:55] 要买厂房可能也没这么简单
[24:57] 有一个可能相对简单的做法怎么样
[24:59] 我直接去找既有的厂商
[25:00] 他即便他跟我的本业根本就是没有关系
[25:03] 反正没有关系
[25:03] 你就是给我你的场地跟人力就好
[25:06] 那可能设备
[25:06] 或是相关know how
[25:07] 我自己会进去帮你去做处理
[25:09] 那像这样子的标的
[25:10] 在台股算是越来越多了
[25:12] 所以这有可能会是
[25:13] 接下来的一个新的趋势
[25:15] 但是我自己稍微
[25:16] 跟朋友讨论了一下
[25:17] 这个你很难提早去布局
[25:19] 就觉得说
[25:19] 你现在可不可以去找一些
[25:20] 有SMT产能
[25:21] 然后你知道它的
[25:22] 产线的加工率并没有很高
[25:24] 你就先去买
[25:24] 然后蹲说会不会有客人来找他这个可能在投报上面就没有这么好所以我们的做法怎么样我们的做法就是说我们把这些股票全部捞出来然后接着去做一些调查但如果我们有办法调查到的话最好
[25:35] 如果没有办法调查到
[25:36] 谁转强
[25:37] 谁就是有可能有一些新的故事在背后
[25:41] 只是这个可能被我们排在
[25:42] 我们去介入顺序的Tier
[25:43] 会比较后面的东西
[25:44] 因为他有点像是在赌博
[25:46] 可是我们自己已经有看到的厂商
[25:48] 是有4家
[25:49] 就是有4家厂商
[25:50] 他们的状态就是
[25:51] 反正因为光通这些客人
[25:53] 他们的需求太大
[25:54] 所以他们就把设备
[25:56] 或者有的没有的东西
[25:57] 然后委托你在你这边去做生产
[25:59] 分到的钱虽然不多
[26:01] 可是对这些厂商来讲
[26:02] 他可能现在是一个亏损的状态
[26:04] 所以不小补
[26:05] 毛利即便是可能就10%上下
[26:07] 或甚至是更低
[26:08] 可是就是赚钱的东西
[26:10] 而且他可能来的量是很大的
[26:11] 所以这可能也是
[26:12] 在后面可以稍微注意的一些新的话题
[26:16] 我相信这个应该后面市场
[26:18] 就会有一些种新闻
[26:19] 那些去讨论
[26:19] 因为这个太夸张了
[26:21] 就我们也没有想过说怎么会这样
[26:23] 怎么会这么多人会来找这些
[26:24] 八竿子打不着的
[26:26] 当然我会讲说
[26:27] 光通某个程度上
[26:28] 也是一种网通
[26:30] 泛网通的题材
[26:31] 可是一个是做
[26:32] 可能不知道
[26:33] 那种CPE小东西的东西
[26:35] 你怎么可能会去做光通的东西
[26:37] 要后来知道说
[26:37] 原来是因为
[26:38] 前面讲的东方有贵人
[26:40] 有贵人来了
[26:41] 贵人要他们去拓产
[26:44] 先弄东西
[26:44] 就导致说
[26:46] 原来现在可以有这么多的订单
[26:48] 就这样凭空生出来
[26:49] 这个可能是说
[26:50] 你投资这家公司的时候
[26:51] 你根本就不知道
[26:52] 像我那时候去看到一些
[26:53] 就我们提到这几家公司的
[26:55] 我就故意会去滑一下讨论区
[26:56] 看大家怎么看
[26:57] 然后大家还在那边瞎掰理由
[26:59] 就他们不知道
[26:59] 实际上是有来自美国
[27:02] 或者说台湾的一些大客户
[27:04] 然后他们看上你的产线
[27:05] 所以它是有一个背后的故事在这边
[27:08] 当然这个其实我觉得
[27:09] 它可以视为是一个
[27:12] 可能深水区的东西
[27:13] 就一般人比较轻易的去介入
[27:15] 因为它可以把东西给你
[27:16] 当然它也可以把东西抽走
[27:18] 或者说它可以把东西说要给你
[27:21] 但是他可能还在防场
[27:22] 或者说验证的阶段
[27:23] 然后最后面没有给你
[27:25] 可是股价是炒到恨天高
[27:26] 那后来就会崩下来
[27:27] 所以还是要小心
[27:28] 但我们还是会把自己
[27:29] 有注意到的一些机会
[27:30] 都跟大家分享跟讨论一下
[27:32] 所以大概是这样
[27:33] 那这节目先聊到这边
[27:34] 我们接下来进入一个部分
[27:35] 第一位
[27:36] 茫茫古海老韭菜
[27:37] 第一次留言密码念我念我
[27:39] 孟公区卡你好
[27:40] 上一集听了诺亚的奶音
[27:41] 真的忍不住要来留言一下
[27:42] 身为一个八岁女宝爸
[27:44] 涅兰阵线联盟的成员
[27:46] 每每听到孟公区卡
[27:47] 分享亲子话题大小是总是深受触动
[27:50] 比起教条式的育儿教材
[27:52] 你对每个育儿事件心中的感受
[27:54] 让人更有共鸣
[27:55] 也是受益良多
[27:56] 那如果我的小朋友真的有快乐存折
[27:59] 里面的收益
[27:59] 有一半真的要算是孟公去嘎的
[28:01] 那另外一半是因为我女儿真的超可爱
[28:04] 那祝福孟公去嘎一家平安喜乐
[28:06] 也希望我的女儿能够健康平安快乐长大
[28:09] 那我们希望茫茫孤海老韭菜的宝贝女儿
[28:12] 一定要平安健康的长大
[28:13] 那非常感谢这位兄弟啊
[28:15] 特别是又叫孟公去嘎
[28:16] 包括某些他覺得說大家
[28:18] 就是像我老婆
[28:19] 我老婆一開始跟我講的時候
[28:20] 我真的都是覺得
[28:20] 你在講什麼
[28:22] 就老婆很多時候她講的話
[28:23] 我就覺得
[28:23] 你在講什麼
[28:24] 她會講說
[28:25] 叫你古來的都不是你的朋友
[28:26] 只要是叫你古來的
[28:27] 就是因為她看到的是那個Fame
[28:29] 她看到的是你的名氣
[28:30] 是你的節目
[28:31] 你就已經講說
[28:32] 你是謝孟公
[28:32] 你開頭講說
[28:33] 歡迎收聽古來
[28:34] 你是謝孟公
[28:34] 還在叫你癌的
[28:35] 那一定就是腦子不好使
[28:36] 我老婆一直是這樣
[28:37] 那以前我都不覺得是怎麼樣
[28:38] 我在節目有一次跟大家分享之後
[28:40] 那後來就
[28:40] 就蠻多人就開始就
[28:42] 從以前可能不知道
[28:43] 我覺得台灣人也是禮貌啊
[28:45] 习惯啊
[28:45] 那可能觉得叫你本名是怎样
[28:47] 跟你装熟嘛
[28:47] 所以他们说爱大爱大
[28:48] 然后还蛮多人都改了
[28:50] 那我也是现在才懂
[28:51] 我老婆的用心良苦啊
[28:53] 就真的觉得说
[28:54] 像我现在有些人他私讯我
[28:56] 他只要是开头写古外
[28:58] 我一直也不屌你
[28:58] 因为我觉得我老婆这个filter
[29:00] 也蛮好用的啊
[29:01] 并不是说什么
[29:02] 我想要去差别对待一些人
[29:04] 就是说因为我们时间真的有限嘛
[29:06] 所以有时候我们心中
[29:07] 有一些filter也蛮不错的
[29:08] 可以帮自己省下一些麻烦事
[29:10] 那非常感谢像这位兄弟
[29:12] 就是用这个很暖心的名字
[29:14] 称呼小弟啊
[29:15] 那同时也跟我提到一个
[29:18] 我看了蛮感动的东西
[29:19] 就是说
[29:19] 就是可能我们不知道
[29:20] 教条式的东西
[29:21] 我也非常讨厌教条式的东西
[29:23] 我反而是在每次的事件里面
[29:24] 甚至有时候
[29:25] 我觉得我自己
[29:25] 没有当好爸爸的部分
[29:27] 我也会跟大家分享一下
[29:28] 然后看大家怎么
[29:29] 再下次去把它做得更好
[29:30] 所以像我自己身边
[29:32] 是没有多少人
[29:33] 可以跟我讨论这样子的东西
[29:34] 所以可能
[29:35] 我甚至获取资讯的蛮多管道
[29:37] 是在一些听众的feedback
[29:38] 所以这个
[29:39] 它绝对是一个双向的关系啊
[29:41] 就不是说只是
[29:42] 我在给大家东西
[29:43] 大家其实也给我非常多东西
[29:44] 希望我们的孩子都可以
[29:45] 快乐健康的长大
[29:47] 下面一位
[29:47] 书男想象
[29:49] 孟宫性感多金
[29:50] 幽默女人缘不断
[29:51] 不要乱讲话
[29:52] 挨大曾经说过
[29:53] 股票现行够好
[29:54] 就会上去弄弄
[29:55] 那身为巨线化系的
[29:56] 我脑中直接浮现出
[29:57] 一个线条很好的女生
[29:59] 后面跟着一个帅气的孟宫
[30:00] 准备上去弄爆她
[30:01] 方便分享一下
[30:02] 线型很好
[30:03] 大概长什么样子吗
[30:04] OK
[30:05] 你把光通的肋骨
[30:06] 全部打开
[30:07] 那个就叫线型很好
[30:08] 全部都长在右上角
[30:09] 一般来讲
[30:09] 我们是不太怕高的
[30:10] 对我们来讲就是说
[30:11] 到底upside还有多少
[30:12] 上面还有多少比较重要
[30:14] 我不在意说过去涨了多少
[30:15] 因为可能过去涨很多的东西
[30:17] 未来还会涨更多
[30:18] 所以其实看一下光通类股
[30:20] 就知道说这个就是现行很好
[30:21] 你看一下CPU
[30:22] 看一下Marvel
[30:22] 在台股的话
[30:24] 就一堆股票
[30:25] 其实都现行涨得非常好
[30:26] 一堆老AI
[30:27] 或者说一些新AI
[30:28] 这些光通相关的元件
[30:30] 然后或是像被动元件
[30:32] 你看一下国具
[30:33] 如果国具再往上挑一根的话
[30:34] 那现行也就变好
[30:35] 因为它就创历史新高了
[30:36] 所以这些都是属于现行很好的东西
[30:38] 那什么叫现行不好
[30:39] 线型不好就是左上右下
[30:40] 看一下Tesla
[30:41] Tesla就属于线型不好的一个状态
[30:43] 其实这个线型都还是要回归到
[30:45] 就是背后有一些基本面的底子
[30:47] 就对我们来讲是说
[30:48] 我们可能脑中已经知道说
[30:49] 哪些东西不错
[30:50] 可是你现在不会涨的话
[30:52] 我就没有这么喜欢你
[30:54] 简单来讲像NVIDIA好不好
[30:55] 绝对好
[30:56] 可是NVIDIA它没有过新高前
[30:57] 可能我暂时都没有兴趣了
[30:59] 就会有这样的一个思考在背后
[31:02] 所以也不是说什么
[31:02] 你现涨的好的东西
[31:04] 我们就会全部上去弄
[31:05] 蛮多人是这样
[31:06] 就像说你去看一些
[31:07] Fresh的少年股神
[31:09] 他们分享的东西就是你看得出来说
[31:11] 他没有一个中心的思想跟逻辑
[31:13] 因为他买的东西超级杂
[31:15] 简单来讲说他是完全去看线买的
[31:17] 像这样子的话
[31:18] 其实停损的机遇就会比较高一点
[31:20] 因为他买的有些东西
[31:21] 我们一看就知道说他后面没有故事
[31:23] 所以就算他突破
[31:24] 然后真的有一小段
[31:25] 可是也不会多
[31:26] 你真的要给大赚的东西
[31:27] 一定背后都是有基本面去做支撑
[31:29] 才可以有超级大的波段
[31:31] 所以我觉得技术面这个东西
[31:33] 他有点像是台湾人特别喜欢
[31:35] 最主要原因是因为
[31:36] 我觉得第一个台湾没有资本利得税
[31:38] 然后第二个是
[31:38] 感觉你好像学一点
[31:40] 你都会以为自己懂了什么东西
[31:42] 但是我认为它也是
[31:43] 严格上来说算是辅助的一种
[31:45] 所以你还是要先去了解到说
[31:47] 这个东西我非常喜欢
[31:49] 然后我也知道它很好
[31:50] 可是过去一直在盘整
[31:51] 那盘整我进去买就效率不张
[31:53] 那什么时候我会进去
[31:54] 那新高
[31:55] 那最简单
[31:55] 任何一个股票的
[31:57] 怎么讲
[31:58] 震天高的目标价
[32:00] 或是市值都是始于新高
[32:01] 你只要想通这一点
[32:02] 就会想通蛮多事情
[32:03] 那下面一位
[32:05] 阿狗
[32:05] 如何与父母相处
[32:06] 挨打平常都怎样跟家人相处的
[32:08] 那父母比较传统很容易走心
[32:10] 所以平常的一句玩笑话
[32:12] 就会让他们想太多
[32:13] 太太如果少叫几次
[32:15] 他们也会在心里乱想
[32:17] 觉得家里气氛变得不好
[32:18] 我想要拉近彼此的距离跟关系
[32:20] 但是又觉得跟父母的观念互相抵触
[32:23] 我也不想假装自己是父母想要的样子
[32:26] 恳请挨打解惑了
[32:27] 我觉得是这样子
[32:28] 就是我们亚洲生出来的小朋友
[32:30] 蛮多时候会想要去两全其美
[32:33] 但你最后面会发现
[32:35] 第一个人的时间是有限的
[32:37] 精力是有限的
[32:38] 第二个是说
[32:38] 你想要去两全其美的话
[32:40] 那最伤害的人
[32:42] 就会变成是你自己
[32:43] 就会是那个协调者
[32:44] 所以为什么
[32:45] 把自己搞得这么累呢
[32:46] 所以到最后
[32:46] 我是觉得这样
[32:47] 就是像我有时候
[32:48] 我想我家人的时候
[32:49] 我就会主动联系他们
[32:50] 会去找他们
[32:51] 可是我不想你的时候
[32:52] 我就一通电话都不用打
[32:53] 我也觉得没差
[32:53] 那以前就会觉得说
[32:55] 我这样是不是一个坏儿子
[32:56] 或什么
[32:56] 但后来发现说
[32:57] 没有啊
[32:57] 你如果要让他们开心的话
[32:59] 那就一定有些人会不爽
[33:00] 像我家人
[33:01] 你说那个走心
[33:02] 那个我家人也有过
[33:03] 那个儿子刚刚讲说
[33:04] 我不要什么
[33:05] 我不要什么
[33:05] 他就直接说
[33:05] 好我们回家
[33:06] 少小你为什么要对一个小baby
[33:08] 那个是小baby
[33:09] 那两岁三岁的东西
[33:11] 然后你为什么要对他认真
[33:12] 小朋友你没有陪他
[33:14] 当然他不要你
[33:15] 你多花时间陪他
[33:16] 他就要你了
[33:17] 可是像这种时候
[33:18] 你要怎么办
[33:19] 你可能就想说
[33:20] 我跑出来协调一下
[33:20] 没事啊
[33:21] 误会啊
[33:22] 怎么大家讲一下
[33:23] 讲开来
[33:23] 你这个感觉
[33:25] 当下好像讲开一些事情
[33:26] 可是后面就造就更多的矛盾
[33:27] 所以有时候就是
[33:28] 反正保持安全距离
[33:29] 你发现说讲不通
[33:30] 你发现说
[33:31] 你们有一些不舒服的点
[33:33] 只要有不舒服的点
[33:34] 你不用问为什么
[33:35] 不用解决
[33:35] 不舒服就离开现场
[33:37] 所以除非说
[33:37] 你们真的是住在一起
[33:39] 那我希望你可以找一点
[33:40] 有自己的一些空间
[33:41] 那不然的话
[33:42] 其实我现在感受这样
[33:43] 就是我想你的时候就找
[33:44] 你要我不想你的时候
[33:45] 我就完全不联络你
[33:47] 也不只是家人
[33:47] 朋友也是
[33:48] 我现在就懒得跟朋友出去见面
[33:50] 所以大家想说要见面什么
[33:51] 我就直接
[33:51] 我都已读不回
[33:52] 我就是不想出去
[33:53] 没有恶意
[33:54] 大家也知道
[33:54] 熟了就知道
[33:55] 可是如果今天是不熟了怎么办
[33:57] 不熟的可能就会说
[33:58] 怎么了
[33:58] 为什么你后面会越来越少朋友
[34:01] 就是这样子
[34:01] 因为每次去交新朋友
[34:03] 摩擦成本
[34:04] 除非说新的朋友
[34:05] 他很懂你
[34:06] 他直接立刻就懂
[34:07] 说你是怎么样的一个人
[34:08] 那可能还可以
[34:08] 所以我觉得成年人的圈子
[34:10] 会越来越小
[34:11] 或者说跟家人
[34:12] 会开始保持一些
[34:13] 我觉得合理的界限
[34:14] 那是蛮正常的一件事情
[34:16] 那可能是我们以前
[34:17] 的某一种教育
[34:18] 跟我们讲说
[34:18] 没有其实大家应该
[34:19] 要什么三代同堂
[34:20] 和乐融融
[34:22] 你有没有去想过说
[34:22] 课本这样教你
[34:23] 可是到底真的有多少
[34:24] 和乐融融的
[34:25] 可能他们都只是演的
[34:26] 有很多委屈又不讲
[34:27] 或者说可能
[34:28] 就有这个嫁进来的
[34:30] 说是媳妇
[34:31] 你嫁进来
[34:32] 你就要怎么符合我们的规矩
[34:33] 都是他在忍
[34:33] 所以他变成是全家的
[34:35] 唯一一个在受难的
[34:36] 然后去换取
[34:37] 你们看起来是一面和谐
[34:39] 这都是不健康的
[34:40] 所以我还是回归到
[34:41] 我最常跟大家讲的
[34:42] 最小家庭的一个做法
[34:44] 就是你的家庭
[34:45] 就是你跟你太太跟你的小孩
[34:46] 所以这个圈子没有弄好之前
[34:49] 你不要去插小
[34:50] 其他外圈的人是怎么样
[34:51] 你真的没有空
[34:52] 你也没有那样的精力
[34:53] 好下面一位
[34:54] 阿北师傅之捏软仔
[34:56] 特斯拉信仰之月
[34:57] 还打去年右侧
[34:59] 从300打到成本400
[35:00] 从马斯克大饼吃到吐
[35:02] 从未来期待到天天失眠偏头痛
[35:05] 抱歉我这个没有信仰的
[35:07] 为了治疗失眠头痛先叛逃了
[35:09] 你各位有信仰很好
[35:10] 但记得带获利出场
[35:12] 军线破了记得砍一些
[35:13] 那台股战台股棒
[35:15] 让我今年还有打平
[35:16] 马斯克上太空羡慕未来人
[35:18] 这个就是动能仔
[35:20] 势必要面对的事情
[35:21] 就是说
[35:22] 因为像我自己本身
[35:23] 在台股部也是偏向动能
[35:25] 就持股会换来换去这样
[35:26] 那美股蛮多
[35:27] 就是我买了就放着
[35:29] 放好几年这样子
[35:30] 所以最大的一个差别就是在于
[35:32] 在泰国这边
[35:33] 你就比较不会去种一些圈套
[35:35] 因为一个东西跌破你就砍掉
[35:37] 所以后来真的崩烂
[35:38] 也跟你没有关系
[35:38] 可是当然有好就一定有坏
[35:41] 坏处就是说
[35:42] 有一堆东西是
[35:42] 我当年可能几块钱买过它
[35:45] 你真的要念这个念不完
[35:46] 太多了
[35:47] 这个我几块钱曾经买过
[35:48] 那现在多少钱
[35:49] 为什么我现在都没有报酬
[35:50] 不晓得
[35:50] 可是美股每一支都有报酬
[35:52] 当然美股也会有那种
[35:53] 就是报到负三四十趴以上的
[35:54] 泰股不会让这种事情发生
[35:56] 所以你要去把动能发展的交易里面
[35:58] 你就是势必会要去面对一些
[36:01] 怎么讲
[36:01] 就是说因为价格变化
[36:03] 所导致的停损
[36:04] 而且可能你停损完之后
[36:05] 就直接射出去
[36:06] 那没有办法
[36:07] 那就是做交易
[36:07] 本来就要去面对的事情
[36:09] 对
[36:09] 就希望特斯拉可以早日复活
[36:12] 因为他也是我的长期持股
[36:14] 我也是蛮喜欢的
[36:14] 只是就是
[36:15] 像前面已经跟大家提到
[36:16] 他现在要去搞Terafab
[36:18] 所以有机会会变成一个
[36:20] 蛮大的钱坑
[36:20] 就看市场何时会消化完这个情绪
[36:23] 就算消化完这个情绪
[36:25] 可是在基本面的部分
[36:27] 说不定你后来真的看到
[36:28] 他开出一个天价的账单
[36:30] 然后股东们要去买单的话
[36:32] 你又不一定看得到效益
[36:33] 那是很恐怖的事情
[36:34] 或者说搞不好最后面变成说
[36:36] 前人种树后人乘凉
[36:38] 现在的股东扛一堆人没有东西
[36:40] 然后五年后回头一看
[36:41] 马斯克做了一个正确的决定
[36:42] 喷爆
[36:43] 可是一堆人就是在
[36:44] 自断期间内
[36:45] 因为超烂的报酬
[36:46] 就全部都砍在地板上
[36:47] 都是有机会的
[36:48] 所以股票就是下好里手
[36:50] 反正以我自己的做法
[36:51] 就是当我今天注意到
[36:53] 你的东西我没有这么喜欢的时候
[36:54] 我就会去调节一点
[36:56] 就是我还是会去持有这个东西
[36:58] 不像说台股
[36:59] 有的时候我就直接把它砍掉
[37:00] 我会持有
[37:01] 可是我就会可能去做一点调节
[37:03] 那我新加码的东西
[37:04] 我一定都是加强势的东西
[37:05] 或者说我已经觉得
[37:06] 你可能叠完了
[37:07] 你开始有持续向上进攻
[37:09] 那你有一些破底的地方
[37:10] 你本来会掉下去
[37:11] 但是你有收缴回来之类
[37:13] 那可能会再重新的去做买进
[37:15] 所以会这样去规划
[37:17] 下面一位
[37:17] 水不再生Good morning
[37:19] 水不再生Good morning
[37:20] 孟公家你好
[37:21] 小弟一群好友都是你的长期听众
[37:23] 最近我们讨论到做尿的问题
[37:25] 要如何才会尿干净
[37:26] 因为尿往下压
[37:28] 怕会按到马桶
[37:29] 那我自己是会把屁股往后移一下
[37:31] 然后再抖一下
[37:32] 不晓得老公怎么样解决
[37:34] 请老公用川普的语音包说
[37:37] Fubon Champion I love you
[37:40] 他讲的这个
[37:42] 其实是我记得
[37:43] 我看到一些泌尿科医师有说到
[37:45] 就是说男生做尿的时候
[37:47] 有可能会卡一些尿
[37:49] 确实我们自己有体验过
[37:51] 应该都有这样的感受
[37:52] 应该说其实很正常
[37:53] 你有说你尬赛的时候
[37:54] 你尬賽同時也在放尿嘛
[37:55] 所以你不一定要做尿派
[37:56] 你也知道這件事情
[37:57] 我覺得你講的這個
[37:58] 其實是蠻典型的一個做法
[38:00] 就屁股稍微往後一下壓一下
[38:01] 其實就解決了
[38:02] 它不是一個超級困難的東西
[38:03] 你看這些人一定是好朋友
[38:05] 聊到沒有東西可以聊了
[38:06] 要聊怎麼樣把小鳥躲乾淨
[38:07] 下面一位
[38:08] 我是JCGG
[38:10] 挨大我要結婚了挨大你好三年前有來流過言那時候美國一攬子股票全部賠钱账上总损益达负50%挨大念到都笑出来后续有跟上AI浪潮
[38:21] 那现在已经有一定的收益
[38:22] 股票赚钱之余也准备要结婚了
[38:25] 那这边想借挨大金口
[38:26] 祝我跟老婆Amanda
[38:28] 4月12号的婚礼一切顺利
[38:29] 希望宾客们都玩得愉快
[38:31] 感谢今天几号今天11号
[38:33] 希望你们明天结婚愉快
[38:35] 一定要开心一定要幸福
[38:36] 那这位兄弟
[38:37] 所以是我们老听众
[38:38] 三年前对就是2022
[38:39] 2022我自己的账上也是扛了
[38:41] 我记得最深的时候是到三十几趴
[38:42] 而且我是有去做一些long show配置
[38:44] 然后最深都还是他妈摔成这样
[38:46] 那时候真的是一个非常难忘
[38:48] 非常痛苦的一个回忆
[38:49] 那要记得以后一定还是在发生
[38:51] 所以大家一起勇敢的面对
[38:53] 你看一下他妈回档
[38:53] 回个一点点大家在那边干干叫
[38:55] 2022那个真的是很恐怖
[38:57] 2018其实我印象也是蛮恐怖的
[38:59] 下面一位RayPam168
[39:02] 是谁住在深海的大凤梨里
[39:04] 海绵宝宝
[39:05] 后面是我自己家
[39:06] Mongochka你好
[39:07] 小弟一群朋友都是你的听众
[39:09] 所以这是另外一个
[39:15] 尿尿卡住的朋友
[39:16] 跟上面的一样
[39:16] 我自己跳过
[39:17] 下面为善化大宝
[39:18] 孟公孟公我老公
[39:20] 嗨挨大你好
[39:21] 三月底宝宝出生了
[39:22] 因为宝宝产检的时候
[39:23] 胎心因太低
[39:24] 紧急婆妇出来之后
[39:25] 就马上进了家户病房
[39:27] 人生第一次签了病危通知书
[39:29] 还有很多张的急救相关文件
[39:31] 当下脑袋一片空白
[39:32] 索性在医院医生的治疗之下
[39:34] 宝宝在15天后顺利出院
[39:36] 很感谢奇美医院的医生
[39:38] 跟护理师们的照顾
[39:39] 最后要麻烦你用诺亚的声音说
[39:41] 宝宝谢谢你这么努力
[39:43] 要健健康康长大
[39:44] 这种就是我现在会觉得
[39:47] 就是听到这种事情
[39:48] 就会觉得今天一整天很开心
