[00:00] 歡迎收聽股癌,我是謝孟恭。本集節目由我們的鑽戒老朋友Alox亞歷斯贊助。
[26:27] 所以Meta可能後面也要去克服這件事情,就要怎麼樣做到不顧人願,拿這些平台或者串流的對象願意去接受他。
[26:36] 等到他生態系夠大之後,搞不好就變成別人要拜託他,讓他可以進來。
[26:41] 但他要先把這一段給做好,我覺得那可能也是需要去挑戰的。
[26:46] 但你會明白為什麼他有這個執念要去衝,因為他真的被Apple、Google或其他人卡住,知道自己沒有終端的話是不行的。
[26:54] 所以應該會一直想要往這個方向去推,甚至可能在前期會有蠻多讓利的行為產生。
[27:00] 我覺得這都是有機會可以看到的。
[27:01] 所以這是本週我覺得蠻有趣的東西,在這邊稍微跟大家分享一下。
[27:06] 好,那接下來我們來進入Q的部分。
[27:08] 第一位,Hank Yu。
[27:09] Aida,你好,我是前年才入坑的快樂小寶貝。
[27:12] 想在這邊真心的謝謝您無私分享最新的產業現況。
[27:16] 常常邊聽邊想,這也是可以免費聽的嗎?
[27:19] 另外,10月是我的女友皮皮的生日,冠號皮牢的皮。
[27:22] 希望Aida可以用剛練完保加利亞分腿蹲的聲音祝她那四個字。
[27:27] 生日快樂!
[27:28] 現在保加利亞分腿蹲已經不是一個超級困難的事情
[27:32] 為什麼?因為我後來買了一個保加利亞袋
[27:35] 然後在家裡整天在那邊甩
[27:37] 這個東西就是你整天甩之後就開始會甩出一些心得
[27:40] 所以現在比較穩一點
[27:41] 像前陣子我的教練就跟我講說
[27:44] 你現在已經有辦法看鏡子裡的自己了
[27:47] 之前可能都會去看地板
[27:49] 因為你光是要去負擔重量跟把自己的姿態弄好
[27:52] 你就很費力了
[27:53] 但你開始掌握一些訣竅之後
[27:54] 你眼睛是有餘裕的
[27:56] 可以稍微的往前看著
[27:57] 這個蠻高興的,所以家保加利亞已經是我的愛,它已經不是我的恨。
[28:01] 我喜歡保加利亞,我希望有一天你們也喜歡保加利亞。
[28:04] 下面一位樂邦樂邦監事,孟恭武安最近看到某公股銀行的投資長上班時間查AV,當事人的照片直接高清無碼爆出來。
[28:15] 不禁讓我聯想到那些犯罪嫌疑人怎麼每個人的馬賽克都比我低潮那幾步還厚。
[28:20] 那如果已經是非常明確的罪犯,到底有什麼好不公布照片的?
[28:23] 這些罪犯的隱私權不是應該向認真守法的普羅大眾的資訊獲知權退讓嗎?
[28:30] 謝謝孟恭祝您天天開心!
[28:31] 瀟南烏山績效圖倫悶
[28:33] 這個不就是很羨慕日本人嗎?
[28:35] 日本人不是會直接把那個嫌疑人直接打出來
[28:37] 其實我也覺得就是要直接打出來
[28:39] 因為像我最近在網上看到一個影片
[28:42] 反正就是他好像是在台東還是屏東那邊騎摩托車在海邊
[28:48] 然後他上一秒就是在看海 覺得好漂亮
[28:50] 下一秒鏡頭一回正
[28:51] 幹一個貨車這種學長啊超大的台的直接逆向尬到他這邊
[28:57] 然後結果令我很生氣的是什麼
[28:59] 這個影片那個學長的車牌竟然是馬賽克
[29:02] 我就想說這是不是一個Rage bait
[29:05] 這是不是故意要讓人家生氣
[29:06] 你要多低端多快樂寶貝
[29:09] 你才會覺得那個學長的車牌應該是要馬賽克
[29:12] 就他都要殺人的
[29:14] 你他媽你在馬賽克殺小
[29:16] 然後在外面講的這一個投資長
[29:19] 我有看到那個新聞蠻北蘭
[29:20] 他應該是惹到人
[29:21] 這一看就惹到人了
[29:22] 因為你說看AV很嚴重嗎?
[29:25] 這個我也沒有辦法跟大家講
[29:27] 因為我們家是不准我看AV的
[29:29] 大家知道我家也是七管炎
[29:31] 非常嚴格
[29:32] 我也沒有抗議
[29:32] 我沒有不滿
[29:33] 我先講我沒有不滿
[29:34] 請大家不要再告狀
[29:35] 我很享受被管
[29:37] 我覺得這個是讓我收斂成為一個更好的人
[29:39] 你看至少我就不會有機會給人家看到說什麼
[29:41] 我的媽在看AV
[29:42] 然後被人家拿出來攻什麼
[29:44] 對
[29:44] 就是看AV它理論上不是一個犯罪
[29:47] 它是一個可能道德有瑕疵的事情
[29:50] 特別是你在上班看
[29:51] 結果這種你可以直接把他的大頭貼秀出來
[29:54] 然後每一個可能在轉發的一些媒體報導
[29:57] 大家也覺得沒問題喔這可以轉發
[29:58] 結果那些什麼違法的人殺人都殺小的
[30:01] 有些已經就是有判決定業或什麼的
[30:03] 可能都還是要去把人家cover起來
[30:05] 或是那種直接在路上的現行犯要把他撞死了
[30:08] 都還去把他cover起來
[30:09] 我覺得這個就是腦袋的問題
[30:11] 從業人員可能蠻多自己真的要去想一想
[30:13] 這是很奇怪的事情
[30:14] 下面一位臺中地方姐姐想借孟恭吉言祝福我弟弟
[30:19] 謠言哈瑞與蒂希大寶,順利懷上未來地方咕咕想要的小小哈瑞寶。
[30:25] 也祝福聽眾跟挨打一家大小平安開心愛您。
[30:30] 希望你們今天一次就中,一次順利。
[30:32] 今天晚上直接開始教功課。
[30:34] 下面一位Blue Peel,MK好,上一集聊打棒球跟看到打球的照片,
[30:40] 請問下次會拿出手邊最猛的球棒,證明銀髮族也是戰力強的嗎?
[30:44] 另外我老婆Kimi媽今日生日可以幫我祝她生日快樂,感謝認識她的14年讓我學習不要急躁。
[30:53] 重點是知道狗都比人過得更爽,狗真的是最在乎人類的存在。
[30:58] 祝MK跟聽友都身體健康股票大賺錢。
[31:02] 我們先祝Kimi媽生日快樂,然後再來講說會不會去拿最猛的球棒。
[31:07] 其實我是有想過,因為我在東京巨蛋打球,開頭所聊到的,
[31:11] 我最想說就是要不要帶自己的球棒來?
[31:14] 因為這個球棒也是我很細心挑選的
[31:16] 它的什麼色彩啊花樣什麼還好沒有帶
[31:19] 拿著一個最酷的球棒然後給人家刪正掉
[31:22] 真的就是那種fucking monkey
[31:24] 所以我就是那種設備組的啦
[31:25] 就是設備組設備
[31:27] 他連話都講不好設備職上
[31:29] 但是這個技巧不一定好
[31:31] 下面一位
[31:33] Pomo Lu Yu Yu
[31:35] 夢宮chika 無安想問Lisa喜歡精品嗎?
[31:38] 最近迷上愛馬仕感謝優質好節目祝福你們全家平安
[31:41] 我以前不是講過很多時候老婆不喜歡精品嗎?直到近期,因為這個地方的同學的家長,有人是那個精品的VIP啊,帶我老婆去看了一下之後,老婆覺得說,嗯,欸真的長得蠻好看的啊,然後就開始買了幾個,他也是買了幾個愛馬仕,他以前是有什麼香奈兒什麼,但那不是我買,那是我岳母買給他的,那他也都沒有想要去買這些東西,因為他從小就是我岳母覺得買這些東西給他,所以他就類似說他看習慣了,他也不覺得怎麼樣,但最近呢,他也開始跑去買愛馬仕了,所以我現在也是一個這個愛馬仕老公啦,我也不會再去
[32:11] 那邊靠北或者說去評論殺小
[32:13] 我就說我就是扮演好我的角色
[32:15] 就好好的認真刷卡
[32:16] 只是我覺得他們那個機制還是蠻北的
[32:18] 就跟紅酒一樣啦
[32:19] 就是這種頂奢侈品很多都在那邊跟你搞配貨嘛
[32:23] 其實我自己是不搞配貨這招的啦
[32:25] 我就是說反正我就是買到正貨就對了
[32:27] 或是一些那種酒商他跟我講說哪些是配貨
[32:30] 我就不管我就說你就是要賣我
[32:32] 你要不要賣你不賣沒關係
[32:33] 那我會找別人
[32:33] 那你賣我之後我就跟你去買其他東西
[32:35] 我就覺得說規則應該是這樣啦
[32:37] 就是你賣我一些好東西
[32:39] 我一定會再跟你買其他東西
[32:40] 我一定永全以報。
[32:41] 我討厭去跟你玩說什麼我還不知道要累積多少喔
[32:44] 因為他們那種很多精品是這樣
[32:45] 你要什麼累積那你也不知道你到底要累積到多少
[32:48] 應該可能是用同期去比你要跟一群人比啊
[32:51] 你可能相對買到多少然後才會有機會或什麼的
[32:54] 我老婆自己後來也開始有看懂這件事情
[32:56] 所以我覺得她最近有稍微的醒一點
[32:58] 然後她前面也都想說要累積要累積
[33:00] 皮件不可以喔你要去買什麼家事
[33:04] 然後還有什麼奇怪的東西就那種很鳥的東西
[33:06] 我說你這就變成是他的奴隸
[33:08] 你寧願去找一些那種可能遠近馳名的店
[33:12] 然後他直接把那種最屌的款式
[33:14] 他Premium嘛四五十趴
[33:16] 你直接去買那個都好
[33:17] 你去跟人家搞配貨
[33:18] 我就覺得很瞎
[33:19] 有些那種買配貨買了
[33:20] 然後再把配貨轉賣
[33:22] 你不覺得就很奇怪嗎
[33:23] 就你們也是有頭有臉的人做這種事
[33:25] 我覺得就很
[33:26] 對啊
[33:26] 我又在抱怨了
[33:27] 但反正總之我就是跟我老闆講說
[33:28] 你就直上就對了
[33:29] 然後他最近確實也在玩這個遊戲
[33:31] 下面一位
[33:32] 瑞傑吃留言測試
[33:34] 下面一位
[33:34] 小魚稀飯直男巧虎夢宮chika
[33:37] Aka 觀音大廟公您好,祝孟恭大生日快樂,也祝各位妮卵聯盟快樂寶貝端午快樂。
[33:45] 之前股市行情太好鬼故事一堆,拜託孟恭大可以降低蔣市場行情的時間多噴一點快樂寶貝,但不要因此失去樂趣。
[33:54] 感謝孟恭大點醒了我,我現在只要做波段有策略上的轉變,就會自己叫兩聲。
[34:00] 可以學華爾街智囊 Matthew McConaughey 崔雄哼唱歌嗎?
[34:07] 許願可以在某個品酒會遇到孟恭大,您的等級已經是望塵莫及的,我會一直捐出每年獲利的10%,直到在酒會跟你說一聲嗨。
[34:17] 我們演酒會就都還是去那個樂華的,樂華我上次去了第二場,好像是某一種那種fucking bread,那種不是最貴的不去,就是我
[34:26] 我就不小心就像我前面講的,我就是裝備組,設備組,我一開始就不小心直上了,所以後來就覺得說,嗯,這個頂貨蠻有趣的,就來這邊玩,那其他的就
[34:36] 就反正就在家裡可以隨便喝
[34:37] 其實這話也不是說
[34:40] 怎麼講都不對
[34:41] 反正總之就是你已經去過那個人就覺得說
[34:43] 好就是如果他們有還再去
[34:45] 那其他的就還好
[34:47] 就不會一直想要出門
[34:48] 因為我本來也不喜歡出門
[34:49] 然後再來講說這個快樂寶貝一堆
[34:53] 對嗎
[34:54] 其實在那個7月以前
[34:55] 就那時候我不是也跟大家多次的反感表示說
[34:58] 現在一堆催上面在轉貼
[35:00] 然後在那邊催
[35:00] 我說這些人以後一定會討厭我
[35:02] 然後我還是不是就講重了嗎
[35:03] 後來就有些人就討厭我
[35:04] 可是他們其實從頭到尾都在打稻草人喔
[35:07] 因為他們在那邊狂吹我的時候
[35:08] 我根本也沒有要求你狂吹我
[35:10] 我就已經跟你講說這個地方我已經有點看不懂或什麼的
[35:12] 然後就在那邊吹吹吹吹吹
[35:14] 然後後來下來就說啊他說什麼
[35:15] 但我後來發現說就是現在民演人越來越多啦
[35:18] 因為可能市場也越來越成熟
[35:20] 聰明人越來越多
[35:21] 一些快樂寶貝就會慢慢被洗掉
[35:22] 所以有稍微海巡一下有發現說
[35:25] 就沒有像2022那樣子
[35:26] 2022就其實我也是一直在做一樣的事情
[35:29] 然後只是可能上去會被吹下來會被當狗幹
[35:31] 然後現在就越來越少人去做這種事啦
[35:34] 但還是會有,有時候看到還是會心情會受到一點影響
[35:37] 這說什麼其實我話還是不怎麼去看社群
[35:40] 這也是一個好事
[35:41] 並不是說我會委屈我不看社群
[35:43] 我是受傷被他罵
[35:44] 是就意外的發現說其實社群真的不要看太多
[35:47] 特別你看剛剛前面在講祖克柏
[35:48] 祖克柏的FRED是一個很有惡意的平台
[35:52] 因為你各位可能不是名人不知道
[35:54] 我也不是說自己很求職名人
[35:55] 我意思說就是因為我們是會有人會討論的人
[35:58] 我們被罵的任何一筆他一定都會讓我們看到
[36:02] 百分之百都會讓我們看到
[36:04] 所以這個平台就是給我一種那種滿滿的惡意的感覺
[36:07] 所以後來我就都不看了
[36:09] 那現在也不會受到這些人的影響
[36:11] 因為我會知道說就專注在像你們這些覺得這個節目不錯的人
[36:15] 其實我也不希望講太多股票
[36:17] 後來都喜歡講生活的東西
[36:18] 因為股票到底有什麼好講的
[36:19] 其實後來發現會的就是會
[36:20] 不會的交一百年還是不會
[36:22] 那我會想要怪別人的就是沒有辦法的
[36:25] 那下面一位阿銀仔
[36:26] 祝大家中秋佳節愉快身體健康
[36:29] 大家好我是阿銀仔
[36:30] 我是熊
[36:30] 我喜歡男生
[36:31] 我喜歡男生
[36:32] 夢宮chika你好
[36:33] 為什麼你我喜歡男生要講兩次?
[36:34] 我想問請問宋雨綺跟Dua Lipa誰比較漂亮?
[36:38] 那當然是賭
[36:39] 喔不不不不不我老婆Lisa最漂亮我老婆Lisa最漂亮我老婆Lisa最漂亮
[36:43] 幹你娘不要留這種雞掰留言陰我好不好
[36:45] 我賭上右邊的睪丸
[36:46] 這肥宅一聽到POD的時候一定在那邊咳咳吃笑
[36:50] 這個也是需要去吃藥的啊
[36:52] 這兩個誰比較漂亮?
[36:53] 欸我真的沒有辦法做這個評論
[36:55] 因為我後來有跟老婆說欸這個宋雨綺不錯
[36:58] 她很會唱歌
[36:59] 因為她有cover陶喆的一首
[37:01] 等待我隨時隨地在等待
[37:04] 那時候普通朋友啊
[37:06] 我跟他說啊唱的真好聽
[37:08] 我老婆說How old is she?
[37:09] 我說I don't know
[37:10] 他去查他說She's a fucking kid
[37:12] You like a kid
[37:13] 我說幹這個不能在外面亂講
[37:15] 就你看我現在在節目公開講說You like a kid
[37:17] 我說沒有他是就是idol
[37:19] 我也不知道他幾歲嘛
[37:20] 所以我老婆跟我講說
[37:21] 你不可以去喜歡這些年紀比你輕的
[37:24] 他說那個大禮拜就算了
[37:25] 所以大禮拜可能還可以講那宋雨淇我已經沒有辦法去做評論那下面我也好下面這位大家好a您好,想問Radiohead有什麼歌推薦嗎?覺得懂聽Radiohead的人都好帥,目前只喜歡Creep,No Surprise 的我很可憐嗎?
[37:38] 那另外想做隔空算命,前十大持股0050 QQQ,IFX,Google,Lumintum,Coherent,BE,就是Bloom Energy,GLW,嗯不錯啊,TR,Teradyne 跟AMD。
[37:52] 可以看出我是怎樣的人嗎?愛您!印象在台通節目有聽到
[37:56] 這就是蔡蘭竹那邊瞎買啊
[37:59] 還OK啦,買到的東西都是我自己蠻喜歡的東西
[38:04] IFX可能會稍微嫌他牛皮一點
[38:07] 但如果你要往功率元件去看的話
[38:10] 一定會看到的公司
[38:12] Google沒有問題
[38:14] Lumenton、光通、口譯輪兩個全包了
[38:16] Bloom Energy就是你要去賭那個什麼表後供電
[38:19] 有些人會搭台灣的一些Supply Chain
[38:21] 我們就不去點名了
[38:22] 有些人會直接把它包一包看
[38:25] 所以它也是電話中心整個整體的敘事
[38:28] 康寧玻璃很合理
[38:29] 它家基本上也是有點那種光的味道光的形狀在
[38:33] 所以搭配前面光的組合跟Terradigm機台
[38:36] 然後再外加AMD CPU
[38:38] 這個是一個很全面的組合
[38:39] 剛剛前面那邊小嘴你家菜人組就說你什麼都有
[38:43] 但是其實這個配置感覺是選的還蠻漂亮的
[38:46] 我講講以過去來講
[38:48] 這個未來的話裡面有些東西我現在可能不一定會挑
[38:50] 但整體來說是還蠻不錯的一個選擇
[38:54] 那只會聽 Creep 跟 No Surprise 會很可憐嗎?不會
[38:58] 就是以前我們確實會有那種聽團仔的優越
[39:01] 會覺得自己很屌
[39:02] 如果說別人是只聽那種可能最有名的歌
[39:06] 我們就覺得說這個人很Low
[39:07] 你不是真正的粉絲
[39:08] 你一定要去聽一些那種超鞭策冷門的
[39:11] 甚至有些會故意講
[39:12] 你知道還有什麼A賽跟B賽嗎?
[39:14] 你聽A賽都不酷哦
[39:16] 你一定要聽B賽哦
[39:17] 你要聽那種就是沒有對外發售的歌
[39:19] 怎麼說就是他可能有20首歌去挑
[39:21] 他選了10首拿去發售
[39:23] 那可能有10首沒有被挑到
[39:24] 可是最後面他把它做成是一個B賽推出
[39:26] 那種很die hard 的粉絲有些會講說他只聽B賽
[39:29] 那個我覺得都太過分了
[39:31] 所以喜歡這兩首有沒有問題
[39:32] 沒有問題啊
[39:33] 只是可能Tom York會覺得你有問題
[39:35] 因為Tom York應該是蠻不喜歡Creep這首歌
[39:37] 但No Surprise是一個超棒的歌
[39:39] 而且他現在都還會在一些演唱會唱
[39:41] 在柏林場我就有聽到
[39:42] 超級喜歡這首歌
[39:43] 他光是那個前奏下去我就想哭了
[39:45] 那只是我狗很討厭那個前奏下去
[39:47] 我在想說可能是因為跟門鈴的聲音很像,所以他聽到就會過敏,他開始變狂吠。
[39:52] 那有什麼歌推薦?
[39:54] 因為你上面有講到台通節目,台通節目的時候我那時候是推Let Down,然後只是Let Down,他們講說這個蠻芭樂的,聽團仔的一個敏感神經又被觸動,你說我芭樂,那我就推一個不芭樂,我就推一個Motion Picture Soundtrack,那這首就是聽了你會想去跳的歌,但是你就忍住不要跳,你就在那邊把它聽完,你會覺得悲傷到一個極限之後,
[40:17] 這幾個都可以去看。
[40:47] 請看看
[40:48] 那再來 OK Computer 再推一首好了
[40:51] 他最後一首 The Tourist 這個我也是非常喜歡的歌
[40:54] 下面一位死老鼠夢宮有沒有突然不會做股票的時候
[40:58] 有啊很常有啊拜託
[41:00] 那我就是七八月的時候就覺得自己不會做股票
[41:03] 他說上半年的我績效破200%
[41:05] 7月大家一起死
[41:06] 那之後開始進入完全不會做股票的階段
[41:09] 買新興隔天公司就被剪掉搜索
[41:11] 買台達結果移動也不動
[41:12] 買旺系影威跟微影結果莫名下殺
[41:15] 任培台達電隔天就噴上去,昨天任培旺系轉倉到某光通,結果今天差點跌停。
[41:22] 我有點不曉得要怎麼友善的面對這個世界,不動就繼續跌動而就噴上去,很多反指標都能夠自嘲,但我只覺得整個世界都是黑暗的,也不能夠遷怒家人,所以只能夠一直憋著。
[41:33] 目前除了用烤肉的名義去買木炭以外,還有什麼選項?
[41:37] 這位兄弟,其實很明顯你在做的就是動能嘛,就是你就是看什麼東西強就去追誰嘛。
[41:42] 只是如果是看強去追的話怎麼會買台達呢?
[41:46] 因為台達早就已經轉空了
[41:47] 就他的那個型態是長得相對差一點
[41:49] 他算是這一波比較落後一點的
[41:51] 所以你如果只跟我講說前面那幾隻的話
[41:53] 我會知道說你就是在追高嘛
[41:55] 追高就是七八月專門在殺的人
[41:58] 甚至連九月的前半段都是專門在殺這種追高的
[42:02] 所以後來我們的做法都是變成說
[42:03] 我選強中帶弱的
[42:05] 聽起來很北藍
[42:06] 但就是他的型態是多頭型態
[42:08] 只是我就是買綠啦
[42:09] 很少買綠平常都是買紅追強
[42:11] 只是你就發現說在這波你被幹了一段時間之後你總會學會吧我買濾型吧我不要追高谷可以
[42:17] 因為一堆東西你會注意到你今天追然後立刻就被幹甚至根本不用等到隔天
[42:22] 當天尾盤就直接把你幹出來然後心態看起來超爛
[42:26] 隔天又再下去踩一次十字線感覺完了會不會那個線又要往下扭
[42:30] 再隔一天Surprise直接大噴你再去追你又再被連續修理兩天
[42:35] 所以它已經是這樣子一陣子其實在過去來說這個算是一個比較少見比較牛的盤
[42:41] 只是後來我看那個財報狗就是上游的Jeff他所寫的那種因為畢竟Jeff算我們的前輩啦他看的市場是比我們多啦他就提到說其實呢台股這樣才是正常那種過去動得很瘋狂那其實是過去五年的事情那只是剛好過去五年就是我生涯的快要一半了嘛所以我就很熟悉這樣很很快的盤面然後只是就自己慢慢調適然後做出一些新的做法覺得還蠻不錯甚至會覺得說其實就算以後真的再一次變回去動人的盤
[43:11] 我還是會想用我現在的方式去經營
[43:13] 因為你終有一天知道說這個AI一定有休息的一天嘛
[43:16] 到時候那一些動人的又會再被修理
[43:18] 你又想說啊到時候可能你前面很爽
[43:21] 只是如果又再次一個那種什麼三四十趴的作道
[43:24] 你扛不扛得住
[43:25] 就是加槓之後三四十趴可能壓力也很大嘛
[43:28] 所以或許就是真的該慢下來
[43:30] 這陣子我一個心得就是或許真的該慢下來
[43:33] 就是挑一些你喜歡的公司你也不要急著追啦
[43:35] 因為你其實會急著追是因為你三到五月
[43:38] 基本上你只要趕上車你就會賺錢
[43:40] 而且你一定要趕上車,為什麼?因為你不上車,你媽媽你隔天就開始連續兩根漲停,你就再也上不了車了。
[43:45] 所以它會養成就是大家那種多巴胺被刺激到一個極限,那種老二變摸一下直接抓出來之類的,就是你會很習慣就是會長這樣,所以你後面會不習慣,因為你去買一些東西,然後被修理,就想停損。
[43:57] 就你停損之後又剛好是大家都想要停損的位置,因為過去大家都被養壞掉了嘛,所以就一直這樣反覆的被虐,只是我後來就會想覺得說反正就是要去往這個,可能比較類似這種架頭的心態去調整啦,就是我已經去挑好的股市。
[44:10] 我股市都還是一樣只是我選擇介入的方式不太一樣
[44:14] 其實過去後來就是有調整到這樣
[44:16] 所以我一直覺得其實在過去的兩個月很多人說很不好做
[44:20] 對確實是跟之前比不好做
[44:22] 但我們一直講這個東西你只要拿著放著
[44:25] 其實他一直是往上墊
[44:26] 你看指數都新高了
[44:28] 所以他其實一直有在往上
[44:29] 他只是你想要貪快的
[44:30] 你想要上槓的就會被上課
[44:32] 所以你並不是遇到一個好像說老天針對你
[44:36] 或是你的帳戶被鎖定了
[44:38] 是不是嗎主力鎖定我也沒有幾張
[44:40] 為什麼我一買你就要疊我面?
[44:41] 就是一個我覺得很像說大家在互相凌遲
[44:45] 就我們講的咒思法則的一個喪失
[44:47] 但最近真的有聞到一點味道
[44:49] 好像那個信任感快回來的感覺
[44:52] 我看中秋之後怎麼樣再說
[44:53] 那希望你順利
[44:54] 只能說你遇到的事情是很多人都遇到的事情
[44:56] 所以不用覺得難過
[44:58] 就上來取暖一下就沒事了
[44:59] 下面一位
[45:00] 不吃美睡不著
[45:01] 請問哪個職業很會烤肉?
[45:03] 老師因為他烤的都沒焦
[45:05] 掛號烤的都沒焦
[45:10] 6分吧
[45:11] 他自己幫自己打8分
[45:12] 他說沒有這是他自己打的評分
[45:14] 這太6分
[45:14] 幹你猜中了你猜中了
[45:16] 對沒錯就是6分
[45:18] 好啦認真之前去國外交換時認識了一個黑人朋友
[45:21] 你們不要再來這裡整天講黑人的
[45:25] 我已經快喪失跟你們之間的信任
[45:27] 他說最近他來台灣玩預計會在雙北基隆跟宜蘭待一個禮拜
[45:31] 想問孟恭覺得北台灣有沒有什麼值得帶外國朋友去走走的地方
[45:35] 目前只有想到之前孟恭分享過的礁溪溫泉好像不錯
[45:39] 還有日本人超多的九份感謝回覆,然後不要推薦101上面有我表演我選擇不念。
[45:46] 那北台灣的話我蠻喜歡北海岸的,這其實也是你要去九份的路上好像就是會經過北海岸吧應該對。
[45:57] 那附近有蠻多很漂亮的東西,包含像一些我也喊不出名字的瀑布、古蹟、北海岸的旗山逸石,我真的都還蠻喜歡的。
[46:11] 去宜蘭泡個溫泉也不錯,或是去北投也可以,北投那邊有一些不錯的飯店,這應該也是我覺得外國人朋友會喜歡的。
[46:19] 然後再來就是這時候我就要套因為我有一個朋友我之前跟大家分享吧就是他在林口開生產店嘛然後他招待了他超喜歡的團就那種本命團
[46:31] 他們從澳洲來台灣他就私訊他然後接著就就招待他來林口做生產然後帶他去什麼
[46:37] 中山去逛一下好像那邊有些什麼地下街然後跟一些那種服飾店吧然後大家玩得很開心然後我看他還做什麼他們好像
[46:45] 這就是我最喜歡的東西,我最喜歡的東西是在中山那一帶,因為這可是我絕對不會想到的東西,不是說我不逛路邊攤或什麼,就是以前小時候也很愛去逛這些東西,只是長大就懶了,就不想走路,可是你那時候看到朋友跟一群外國的樂團成員在那邊玩得很高興,想說如果之後不知道Tom York如果來台灣的話,我可能也會想帶他去那邊走一走之類的,可能中山那附近也可以看一下吧。
[47:12] 以前有些人可能會推說你就帶他去什麼信息就要去百貨什麼的
[47:15] 那個我會覺得說就不太適合
[47:17] 因為百貨你到哪裡都是一樣的專櫃
[47:19] 不管在台灣的百貨還是你到義大利的什麼Renaissance
[47:23] 那個裡面都是一樣的東西
[47:24] 所以沒有意義
[47:25] 所以還是要去一些那種特色小店
[47:27] 可能是還蠻不錯的
[47:28] 大家講下面一位
[47:29] Subway怎麼點好吃
[47:31] 嗨老公這陣子盤整中動能仔難過中
[47:35] 我自己的個人體感大概是9月第二個星期我自己被殺爆才覺得幹
[47:40] 這陣子怎麼越弄越賠錢
[47:41] 但同時懷疑有沒有可能其實動能可以做只是我太爛剛好都選到會賠錢
[47:45] 回聽過去的起訴發現老公在9月2號那集就有意識到動能難做的狀況
[47:50] 想請問老公是有什麼指標或是依據可以判斷可以做動能的盤或是不能做的盤?
[47:54] 雖然同樣是動能仔但動能仔也要再去細分可以拆出很多種流派
[47:58] 持股很類似但有人可以賺錢有人會賠錢
[48:00] 想請教怎麼判讀的愛寧?
[48:03] 為什麼我會知道是因為我覺得我蠻幸運的
[48:07] 就一樣因為節目或是因為後來自己也算是蠻認真在交友會貢獻自己會的東西
[48:13] 然後就換來一群他們基本上在市場算是我覺得就是那種乘風等級的動能仔就超級強
[48:19] 所以耳濡目染之下就自己的動能的技巧又變強
[48:22] 然後外加其實因為他們都是那種我覺得已經是超級強等級的人
[48:27] 所以當他們也在說難做的時候我覺得沒有爭議啦就一定就是難做
[48:31] 所以就連他們都在說難說連他們都在說可能這邊還是用波段去處理會比較好
[48:36] 我就想要賺一些快錢啊想要去偷看隔壁答案啊
[48:39] 因為那些去做動人某個時候偷看隔壁答案嘛
[48:42] 這個東西有人在拉是不是有故事我趕快進去搶
[48:44] 就是會比較辛苦一點
[48:46] 所以你看這位兄弟然後跟剛剛前面的幾位兄弟
[48:49] 然後外加我現在跟大家講的我身邊的一些朋友
[48:51] 其實大家都講一樣的東西
[48:53] 所以你們有沒有想過一件事情是你們在互相虐待
[48:56] 因為你們都發現說拉不動之後就他都亂丟啊
[49:00] 大家都亂丟你知道像我自己身邊有個動人仔
[49:02] 我蠻喜歡他的一點是他處理的標的隔天開高
[49:06] 或是說穩住的機率就高
[49:08] 他說因為他處理標的就像他對待他的女伴一樣
[49:11] 即便說我才跟你認識第一天
[49:12] 即便可能一夜情或什麼的
[49:14] 我一定會在結束之後帶你去市民大道吃個小火鍋
[49:18] 該怎麼樣該整理乾淨該弄什麼我都一定會幫你弄到
[49:21] 他都用這個心態去處理股票
[49:23] 可是很多人不是其實很多動能仔他是這樣
[49:25] 他一刀殺進去然後隔天發現不對他就一刀殺出來
[49:29] 甚至是他連盤前演都不演了
[49:32] 他直接就給你開低他媽6%
[49:34] 然後記得大家一起殺跌停
[49:35] 然後想說幹哪個智障?
[49:36] 然後結果大家發現說可能就是同一群人在那邊互相搞自己
[49:40] 所以我覺得有可能就是大家都有點太急躁了
[49:44] 所以導致是一個互相虐待的一個情形
[49:47] 這個盤面是在反映大家的一個心性
[49:50] 但隨著可能越來越多人放棄之後
[49:52] 現在這個盤面真的是有感覺有點氣氛回來
[49:55] 但一樣還是要等中秋之後再來觀察
[49:57] 我也是一直不停在觀察
