[00:00] 欢迎收听谷爱,我是星梦宫,本期节目由ZZSleeper-2度两感忘忧枕赞助
[19:32] 開始軟掉的話
[19:32] 那我可能就會選擇
[19:33] 去找一些Tier2的東西
[19:34] 那直到可能沒有東西
[19:35] 可以找的話
[19:36] 那就知道說
[19:36] 那可能盤就要進入一個休息
[19:38] 所以不排除
[19:39] 現在就只是一個
[19:40] 因為盤真的很好
[19:41] 所以大家就去找其他東西拉抬
[19:43] 特別是像最近的光通
[19:44] 可能開始出現一些回檔
[19:45] 所以一些資金出來
[19:46] 或甚至像記憶體
[19:47] 即便其實你現在注意到
[19:49] 像是美國
[19:50] 或是其他地方的記憶體
[19:51] 很多都很噴
[19:51] 但台灣的記憶體
[19:52] 就感覺好像有一點沒力了
[19:56] 大家都知道他很好
[19:57] 可是可能上面
[19:58] 车上的人真的太多了
[19:59] 所以他就是必须要去
[20:00] 盘整一段时间之后
[20:00] 才要去做表态之类的
[20:02] 那有些资金就退出去
[20:03] 跑到别的地方
[20:04] 所以有可能是这样
[20:05] 就他们去退到一些
[20:06] 他们觉得是安全
[20:07] 或者说舒服的地方
[20:08] 一些可能甚至连
[20:09] 工业电脑蛮多都在涨
[20:10] 那只是你说
[20:11] 是不是工业电脑
[20:12] 有什么大故事
[20:12] 或者说是不是P-MIC
[20:13] 是不是什么消费性
[20:14] 有什么大故事
[20:15] 老实讲一下
[20:16] 真的还没有看到
[20:16] 那当然你有看到的听众
[20:18] 欢迎跟我分享
[20:18] 你跟我分享说什么
[20:19] HP还是Dell
[20:20] 他们的什么消费性
[20:21] 突然间什么大拉focus
[20:23] 那听到这个
[20:24] 我当然也觉得非常好
[20:25] 因为就代表市场
[20:26] 有更多的故事
[20:27] 可是我们家其实是没有看到
[20:28] 所以还是会认为说
[20:29] 可能比较偏向是一个
[20:30] 它不是有需求去driven的东西
[20:33] 它是比较偏向像是一些
[20:35] 结构性的原因去驱动的东西
[20:37] 那这个像一些市场前辈
[20:39] 他们也会蛮常去提醒
[20:40] 我们这一件事情
[20:41] 就是到底一个东西的涨价跟拉货
[20:45] 它是因为需求
[20:46] 还是它是因为成本端的问题
[20:48] 那这个大家要去思考一下
[20:49] 就如果是需求的话
[20:50] 那它就是比较偏向是
[20:52] 可能上前或上上前
[20:54] 那如果说它只是一个结构性的问题
[20:55] 或者说成本的关系
[20:57] 推动的涨价的话
[20:58] 那可能就没有这么好
[20:59] 所以大概是这样去评论一下
[21:01] 但我们还是相信说
[21:03] 就是有机会东西都会轮来轮去
[21:04] 所以现在可能AI的东西跑得非常好
[21:07] 然后后面可能就跑了一些
[21:08] Consumer Auto
[21:09] 或者说Industry的东西
[21:10] 这个我们后面可以再来观察看看
[21:12] 那最近市场上有一个东西
[21:14] 也是引起蛮多人的讨论
[21:15] 除了说大家都知道说
[21:16] 现在它是晴天收散
[21:18] 就是不让大家去做更多的融资
[21:20] 那其实我最近有去新开一些户头
[21:21] 有遇到类似的状况
[21:22] 那我的营业人就跟我讲说
[21:24] 如果你在晚一点开的话
[21:25] 这个额度甚至连拿都拿不到
[21:27] 这个不是你的什么财力
[21:29] 或者说你的交易量
[21:30] 可以去决定的东西
[21:31] 是他真的就已经没有额度
[21:32] 可以放给你了
[21:33] 然后再来就是
[21:33] 像我自己的一些抵押账号
[21:36] 那他的利率也被调升了
[21:37] 我以前都是拿2点多
[21:38] 那已经有
[21:39] 劝伤是跟我讲说要调到3
[21:41] 当然低的还是有在2.3 2.5之间
[21:43] 可是已经有些要
[21:44] 强迫就是说要往上调
[21:46] 说真的没有办法
[21:47] 就即便可能我们是好朋友
[21:49] 但没有办法
[21:49] 我们公司就这样跟我们讲
[21:51] 有注意到一些
[21:53] 这种资金面的状况产生
[21:55] 有些人会去讨论
[21:56] 这个资金面的东西
[21:57] 会不会去影响到后续的市场
[21:58] 我个人是觉得说
[22:00] 应该是还好
[22:01] 应该是还好
[22:02] 甚至我本来是认为说
[22:04] 这可能在里面
[22:05] 是有很多杠杆的意思
[22:06] 但我后来想通一件事情
[22:07] 其实市场在4万多点
[22:09] 所以你要想这个券商
[22:11] 他们有一个
[22:12] 那是什么
[22:12] 市足率这些东西
[22:14] 反正就是
[22:14] 他是要用你的资本
[22:16] 去算说你可以借出多少钱
[22:17] 但是问题是市值都变贵了一倍
[22:19] 所以其实它不一定是
[22:22] 让大家的杠杆变大了
[22:24] 它只是说
[22:24] 就是说上限是遇到
[22:26] 什么意思
[22:26] 我拿我自己做的举例
[22:27] 我假设去开杠杆的话
[22:29] 我目前最多就是会开到
[22:31] 大概就是1.5到1.6倍
[22:32] 我也没有办法再多开
[22:33] 多开的话可能流动性
[22:35] 我自己也没有办法去找到
[22:37] 可以对应的东西持家
[22:37] 除非我全部都买台积电
[22:38] 联发科这种超大的股票
[22:40] 所以以我的案例
[22:41] 就是我可以开到1.6
[22:43] 但我现在没有办法开到1.6
[22:44] 为什么
[22:45] 因为有些券商跟我讲说
[22:46] 这个额度我没有办法开给你
[22:47] 即便我有这么多的担保品
[22:49] 我是可以放进去
[22:49] 然后可以从1.3拉到1.6
[22:51] 你可能再多借我个几千几亿之类的
[22:53] 但是他要直接跟我讲说
[22:54] 我没有这么多钱可以借你
[22:55] 所以其实在我的角度是
[22:57] 我等于被迫这样杠杆
[22:58] 就是大家会听到说
[23:00] 这些券商的额度被拿光了
[23:02] 然后想象成是
[23:02] 好像每个人都把杠杆开高
[23:04] 其实我第一个印象来讲
[23:05] 但后来我用我自己的角度去套
[23:07] 我就知道了
[23:07] 其实我还是可以借更多钱的
[23:09] 那只是你现在不让我借了
[23:11] 你把我锁住了
[23:12] 你跟我讲说
[23:13] 现在我们要去控制
[23:14] 所以可能就是说
[23:15] 参与的人也变多了
[23:16] 所以大家把这个额度分掉
[23:18] 可是对于一些特定的大户
[23:20] 或是一些那种动能者来讲
[23:21] 他不一定代表
[23:22] 他可以去开更高的杠杆
[23:23] 然后进入一个更疯狂的局面
[23:25] 因为他其实是被cap掉
[23:26] 他上线是被cap掉
[23:27] 所以资金面的影响
[23:29] 在最近也开始出现一些
[23:30] 蛮多的讨论
[23:31] 像台股的一些大型的股票
[23:34] 其中一档受害股
[23:35] 就受害刚刚前面
[23:36] 那个Invidia
[23:37] 可能要去改材料的
[23:38] 那个是很大的一个股票
[23:40] 那个是我们把它称为是大票的
[23:41] 就他是几千亿cap的东西
[23:42] 结果骂他跌停
[23:44] 连续跌停
[23:44] 然后直接进处置
[23:45] 那另外一档像联发科
[23:47] 当然两样钱
[23:47] 他是连续涨停
[23:48] 然后涨到进处置
[23:49] 其实我们就有听说
[23:50] 这个是有蛮多外资法人
[23:52] 或是一些大买房在那边干
[23:53] 然后去找立委
[23:54] 然后打电话进去骂人
[23:55] 就说你不可以乱处置东西
[23:58] 你这样处置那么大的票
[23:59] 这不是什么小鬼谷
[24:01] 这个是大票的东西
[24:03] 那你把流动性给抽掉的话
[24:05] 你先抽掉一个发哥
[24:07] 然后你抽掉一个什么散热厂
[24:08] 那你之后如果
[24:09] 有一天讲说台积电
[24:10] 被外面变标股
[24:11] 你把台积电流动性抽掉
[24:12] 那这市场还要玩吗
[24:13] 所以呢
[24:14] 就是开始有看到一些报道
[24:15] 不再讨论说
[24:16] 他们会去确认
[24:17] 到底这个处置啊
[24:19] 或者说警告股
[24:20] 是不是有可能
[24:20] 那个机制可以做调整
[24:21] 我在想啊
[24:22] 这以我们国家政府的
[24:24] 一个思维呢
[24:24] 他一定不会想要说
[24:25] 那我们干脆就把整个限制
[24:26] 一拔掉
[24:27] 他应该就是
[24:27] OK那以后可能
[24:28] 市值多大的东西
[24:29] 我们就不会去做限制
[24:31] 因为我们相信
[24:31] 说在里面的
[24:32] 这个价格呢
[24:33] 是更加理性的
[24:35] 他不会像一些
[24:35] 那种小型的股票
[24:36] 有可能是有些人
[24:37] 他狂买或者恶意炒作
[24:38] 然后把它弄上去
[24:39] 那所以我需要去
[24:40] 把你放进去助育股
[24:41] 或处置股里面
[24:42] 去把你降稳
[24:43] 那所以呢
[24:43] 这个其实在最近市场上
[24:45] 也有人在讨论
[24:45] 这些大型的股票
[24:46] 当它流动性被抽掉的时候
[24:48] 会不会后面会产生一些问题
[24:50] 那一些法人也开始在思考说
[24:52] 就像说一些那种散热厂
[24:53] 它的市值是几千亿的市值
[24:55] 结果它竟然可以
[24:56] 就跌到没有流动性
[24:57] 因为可能涨跌停机制的关系
[24:59] 然后因为处置的关系
[25:00] 那这其实对大家来说
[25:05] 在市場裡面是兵家常識嘛
[25:07] 每個人都會賺錢
[25:08] 每個人都會賠錢
[25:09] 但問題是
[25:10] 你讓我連出都出不掉的話
[25:12] 是很恐怖的事情
[25:13] 所以某個程度上其實有蠻多人會喜歡
[25:15] 像美股這樣的機制
[25:16] 它可能可以一天就跌掉12% 30%這樣
[25:18] 但至少你都是可以跑的
[25:20] 你要走都是可以走的
[25:21] 可是在台灣就是有時候會關廁所
[25:23] 像那時候在關稅小版本事件
[25:25] 那時候就真的是蠻恐怖的
[25:27] 因為當時幫大家快速的回憶一下
[25:29] 那時候大家都會講說什麼
[25:31] 你要盡量進去一些熱門股
[25:32] 就是這些有共識的股票
[25:34] 那個流動性還大
[25:35] 其實那時候真的大家這樣想
[25:36] 可是後來為什麼很多人想法改變
[25:37] 就是因為越擁擠的地方
[25:39] 擠了越多的槓桿然後這很多的槓桿在跌停之後它變成說它跌停跌第一根可能还可以扛到第二根没有办法它就要被断头了那它断头呢就会出现新一波的麦芽
[25:51] 那就变成说
[25:52] 因为本来就已经没有人在接了
[25:53] 它就必须再锁一根跌停之后
[25:55] 所以越锁越多根
[25:56] 那会出现一些连锁反应
[25:57] 所以我觉得像这波
[25:58] 一些大股票
[25:59] 然后导致大家去讨论
[26:00] 说这个机制会不会有机会
[26:02] 要去做一些调整
[26:03] 我认为是好的
[26:04] 就对于后面的
[26:05] 整体市场的健全程度
[26:07] 都会是一个更好的方向
[26:08] 所以最近市场上的
[26:10] 最主要的议题大概就这些了
[26:12] 总之我觉得在接下来的关注重点
[26:15] 一些讲到烂掉就不需要再说了
[26:17] CPU从可能本来1比8
[26:19] 然后1比4 1比2
[26:20] 然后所导致的一些后续的影响
[26:22] 不管是可能Socket的一些
[26:23] 可能不管是BMC晶片
[26:26] 或者是CPU的本身
[26:28] 机体的相关的应用
[26:29] 然后再来到
[26:30] 其实被动元件大概注意到说
[26:31] 终于全部都喷发了
[26:33] 当然已经喷发出去
[26:34] 我们就不用再去做过多的描述
[26:35] 只是可以稍微的注意一下
[26:37] 就是大家都只看到这个MLCC
[26:39] 可是如果你今天有去注意到
[26:40] 日本的几档股票
[26:42] 像是Nichicon
[26:42] 或是Nippon Chemical
[26:44] 这个其实是电容的股票
[26:46] 电容的股票也表现很好
[26:47] 然后像美股这边的Vichay
[26:49] 或是VPG
[26:50] 这两家都表现很好
[26:51] 所以被动元件理论上
[26:53] 就是如果我们用产业
[26:54] 跟基本面的角度来说的话
[26:55] 我们知道说它就是要缺
[26:57] 因为现在我们看到
[26:59] 这个需求是非常庞大
[26:59] 但是问题是
[27:00] 其实大家本来的假设是认为说
[27:03] 它大概会在2026的下班到27之间
[27:06] 才会发生
[27:07] 那现在看起来是提早去做动
[27:09] 它有可能会类似记忆停量
[27:11] 不排除
[27:12] 就是说可能前面先稍微动个小波
[27:14] 然后休息一阵子
[27:15] 然后接着才是一波真正的
[27:16] 我会这样去做假设
[27:17] 可是当所有东西都提早动起来的话
[27:19] 那有可能就是要提早去做发生
[27:21] 那目前看起来就是
[27:22] 除了这个MLCC
[27:24] 陶瓷电网大家都知道之外
[27:25] 然后现在谈电大概都知道
[27:27] 以前我都念什么
[27:28] 淡电 打电
[27:30] 因为我不会念
[27:30] 因为我们都是看文字
[27:32] 所以都是有听众跟我讲的才知道
[27:34] 对Tencap是坦电
[27:35] 这个铝电龙或者说电感
[27:38] 其实后面都是可以稍微的关注一下
[27:40] 甚至是电阻
[27:41] 电阻可能都可以稍微的去看一下
[27:43] 所以题材都差不多了
[27:46] 我觉得没有什么好聊的
[27:47] 反而现在的行情
[27:48] 老实讲你去做过多的基本面分析
[27:50] 是没有意义的
[27:51] 因为反正就是一直喷
[27:52] 它就是一个孤职上修
[27:54] 外加一些涨价连锁
[27:56] 一直去疯狂的喷射
[27:57] 反而去研究一些新的领域
[27:59] 可能比较有趣
[28:00] 所以像我自己会比较想去关注说
[28:02] 是不是消費心這邊
[28:03] 或者是成熟製程有一些機會
[28:05] 其實我們一直都知道說
[28:06] 在世界前景
[28:07] 我記得那時候它法收開完
[28:08] 我們就有跟大家聊到說
[28:10] 其實看起來它的狀況不錯
[28:11] 因為它其實是拿到TSM的一個
[28:13] 怎樣講就是記轉
[28:14] 東西放在它這裡
[28:15] 所以它不會太長
[28:16] 只是連電都噴上去
[28:18] 這個我就是有一點意外
[28:19] 所以當整個族群有跑起來的時候
[28:22] 就類似我們那時候去鎖定到
[28:23] 可能不管是CP或前面的一個記憶體
[28:25] 其實都是先看到一個族群性起來
[28:28] 然後接著我們去做研究
[28:29] 那對的話
[28:30] 那就可能就可以把這個籌碼推進去
[28:31] 所以像我自己
[28:32] 可能会比较倾向去研究
[28:34] 这一类相关的东西
[28:35] 所以就可能像
[28:36] 我自己身边大哥讲的
[28:38] 说不定这根本就不是一个
[28:39] recovery的故事
[28:40] 或者说
[28:41] 什么消费线要给什么惊喜
[28:42] 而是就市场上的人
[28:43] 想法可能也是类似这样子
[28:45] 一堆那种高在天上的
[28:47] 我不敢买了
[28:47] 那我不如去买一些
[28:48] 看起来像是会复苏的东西
[28:50] 反正至少它便宜
[28:51] 至少它躺在那边
[28:52] 所以它有可能
[28:53] 就当大家可能资金冲进去之后
[28:54] 又再次给你一些大回答
[28:56] 但我觉得往这个方向看
[28:57] 可能是还OK的
[28:58] 先稍微的关注看看
[29:01] 好那这就没了
[29:03] 我们接下来是约会部分
[29:04] 第一位
[29:04] 师偷叫做九桃
[29:05] 有超过八行吗
[29:06] 孟公去嘎
[29:07] 你好
[29:07] 我已经30岁了
[29:08] 我的父母很爱吵架
[29:09] 即使到长大
[29:10] 听到争吵声音的声音
[29:12] 还是会不由自主的害怕
[29:13] 可以请教怎么做吗
[29:14] 我真的很怕妈妈气到昏倒
[29:16] 或是爸爸忽然不想忍了
[29:18] 让事情变得更糟糕
[29:19] 那另外也请您帮我
[29:21] 跟面后面的观音大佬
[29:23] 说祝我可以早日脱离单身
[29:24] 找一个理想的男友
[29:26] 共创一个可以理性沟通
[29:27] 不大吼大叫的家庭
[29:28] 祝孟公一家身体会被卡掉
[29:30] 不是啊
[29:31] 观音大佬的辖区范围
[29:33] 应该没有算在这里
[29:34] 你应该是要去找辖海城隍庙
[29:37] 要找对地方
[29:38] 但还是希望观音可以保佑一下
[29:41] 然后再来讲说
[29:42] 听到父母争吵声音
[29:43] 其实我小时候也是在一个
[29:45] 充满争吵的环境长大
[29:46] 我爸的个性是比较急躁一点
[29:48] 我妈的个性就是比较冷酷
[29:51] 有时候会偏酸
[29:52] 所以有时候在他们两个的一个互动之间
[29:55] 我也会觉得有一点受伤
[29:57] 甚至我长大之后
[29:58] 我家有时候听到
[29:59] 我爸爸讲话稍微大声一点
[30:01] 或者说
[30:01] 我甚至只要听到
[30:02] 他们在讲话的声音
[30:04] 我就会开始有一点紧张
[30:05] 或甚至是会
[30:06] 怎么形容就会生气
[30:08] 你就突然间会有那个情绪上来
[30:09] 那我也是后来还知道说
[30:11] 可能就是你家里
[30:11] 以前会吵架就是这样
[30:12] 当然吵架不代表说
[30:13] 家里的感情不好
[30:14] 有时候那就是一种
[30:15] 互动的模式之类的吧
[30:17] 我其实仔细看
[30:18] 我们苗栗的很多家庭
[30:19] 我姑姑家
[30:20] 爸家什么的
[30:21] 大家都在互干
[30:22] 真的整天都在互干
[30:23] 那基本上就是说
[30:24] 那个个性就是
[30:25] 甚至某個程度上是有點互補啦
[30:27] 所以就一個過一個蓋這樣
[30:28] 那我媽就是比較神經大條嘛
[30:30] 她有時候有些事情就真的
[30:31] 媽像舉例來說
[30:32] 你把嬰兒交給她
[30:33] 你下一秒鐘看到她
[30:34] 她把嬰兒在那瑜伽球上面彈跳
[30:36] 你剛才講說不要用筷子餵嬰兒
[30:38] 下一秒鐘她偷看你一下
[30:39] 然後拿筷子餵嬰兒
[30:40] 所以我爸就屌她嘛
[30:41] 我爸罵又罵得很兇
[30:43] 那我爸爸當然你說
[30:44] 這時候就代表說
[30:45] 他是一個比較正經的人嘛
[30:46] 他幫忙管秩序或什麼的
[30:47] 那可是有時候一些很小的小事
[30:49] 他也會突然間發大脾氣
[30:50] 那其实我觉得到
[30:52] 我自己我都还是有传承到
[30:53] 这样的一些特性
[30:54] 然后当然我不会整天在那边靠背
[30:55] 去怪说什么原生家庭
[30:57] 我知道那自己要修正
[30:58] 但有时候我就会注意到说
[30:59] 像我们要下楼梯的时候
[31:00] 我老婆就拿着鞋子
[31:01] 然后到电梯里面穿
[31:03] 我说那你有病
[31:04] 你干嘛不要在家里就穿
[31:05] 她说因为有太多时候
[31:06] 我如果动作太慢
[31:07] 你就会突然间跟我讲说
[31:08] 你不想出门了
[31:09] 那我想说
[31:09] 这个应该不是脾气的问题
[31:11] 因为在我看来就是
[31:12] 我上一秒钟我真的想出门
[31:13] 然后下一秒钟我就不想出门了
[31:15] 那确实可能跟等待的时间有关
[31:17] 但我不知道我这样的行为
[31:18] 可能已经影响到他
[31:19] 然后让他变得是比较紧张的人
[31:21] 所以其实我们都要去
[31:23] 控制好自己的脾气
[31:24] 即便可能就要说
[31:25] 像你跟你老婆的互动就这样
[31:27] 你说我们从年轻就在那边互干
[31:28] 我们在那边互唱
[31:29] 可是问题是你的孩子不知道
[31:31] 你的孩子就觉得说
[31:32] 我爸妈整天在吵架
[31:33] 所以我自己也是非常小心这一块
[31:35] 我个人会认为说
[31:36] 如果真的觉得家里的环境
[31:39] 可能气氛不太好之类的话
[31:40] 那就要稍微远离一下
[31:42] 我觉得每个家庭
[31:42] 其实你最终都会发现
[31:43] 所具有些东西
[31:44] 可能让你没有办法去接受
[31:46] 不一定是吵架
[31:47] 可能是一些其他的東西
[31:48] 所以才會有一個說法
[31:49] 就是說最好的距離
[31:50] 就是可能不知道
[31:51] 你真的要住在一起的話
[31:52] 要上下樓或是隔壁
[31:53] 你不可以說什麼
[31:54] 全部都住在同一個空間裡面
[31:56] 因為就是會有一些代溝
[31:57] 會有點不適
[31:58] 所以盡可能離開現場
[32:00] 那你說要不要擔心
[32:00] 有什麼樣的什麼悲劇
[32:02] 或是意外發生
[32:03] 我就不用想太多
[32:03] 因為在一起這麼久
[32:04] 其實某程度上有一些默契
[32:05] 老人家你一定要去改
[32:07] 不一定改得過來
[32:08] 或者說改了之後
[32:09] 搞不好不知道
[32:09] 就感覺就不對了
[32:11] 他們就已經是這樣互動很久了
[32:12] 所以一個東西沒有壞掉
[32:13] 不用刻意去修它
[32:14] 大概是这样
[32:14] 那下面一位
[32:15] 0050唯一真理
[32:16] 孟公五星爱你
[32:17] 孟公大大爱
[32:18] 想来推荐PS5
[32:19] 新出的SAROS
[32:21] 沙罗周期
[32:22] 连我这种射击游戏苦手
[32:24] 都可以玩得超爽超过瘾
[32:25] 尤其是美术跟音乐
[32:26] 充满神圣
[32:27] 但又疯狂黑暗的冲突感
[32:29] 真的是超赞
[32:30] 那最后可以拜托
[32:31] 孟公川普的声音
[32:33] 跟我说
[32:34] You're a nice person
[32:35] 那谢谢孟公
[32:36] 下面一位
[32:37] 美股奈米藏AMD Intel
[32:39] 孟公你好
[32:39] 你在节目说
[32:40] CPU類股已經漲到看不懂了
[32:41] 大部分獲利出場
[32:43] 問號不知道
[32:43] 我什麼時候講過這個
[32:44] 但目前線圖都是右上角
[32:46] 也都還在五日線上方
[32:47] 為什麼要出場呢
[32:47] 謝謝回答
[32:48] 我真的很多時候覺得
[32:49] 我們的節目很屌
[32:50] 就一個節目放在那邊
[32:51] 甚至有人去抄筆記
[32:52] 然後大家都可以聽到
[32:53] 很奇怪的東西
[32:53] 我不可能去賣掉一個
[32:55] 還在強勢進攻的東西
[32:56] 那我的心態可能比較偏向的是
[32:58] 我在想啊
[32:59] 我可能有提到類似的
[33:00] 就是說我現在站在賣房
[33:01] 我不會再去做家嘛
[33:02] 就是怎麼講
[33:03] 有些東西在突破上去的時候
[33:05] 我真的會一直點一直點一直點
[33:06] 那可是點到某個
[33:07] 我开始去宣称说看不懂的时候
[33:09] 我就不会再去点了
[33:10] 因为我就知道说
[33:10] 就已经进入到不懂的领域
[33:12] 就有机会会受伤了
[33:13] 所以一般我们会站在卖方
[33:14] 所以站在卖方的意思就是说
[33:16] 你可能拉一拉
[33:17] 就在说你跌破五日线
[33:18] 或是你出一些黑K或什么的
[33:19] 就丢一点丢一点丢一点这样
[33:20] 所以站卖方
[33:21] 但绝对不会去把手上好的东西丢掉
[33:23] 这个是违反我们的所有逻辑
[33:25] 好的东西绝对不要乱杀
[33:27] 所以我不知道你是怎么理解的
[33:28] 下面一位
[33:29] 阿财牛肉汤请教感情问题
[33:31] 孟公好和女友出社会五年了
[33:33] 我的年薪130万
[33:37] 稍有不合理就離職都不滿一年
[33:39] 提示他要累積職癌
[33:41] 他都說為什麼要忍受
[33:42] 也覺得又沒有要我養
[33:44] 今天忽然覺得他好像沒有把這段關係看得很遠
[33:47] 您怎麼看
[33:48] 我只能夠說
[33:50] 你的女友跟我太太或是跟A君
[33:53] 也就是我妹
[33:54] 他們的個性是比較類似
[33:55] 就是世界上真的有一群人
[33:57] 他是我今天出茶淡飯我也可以過
[34:00] 你給我榮華富貴我也可以過
[34:02] 差別在哪裡
[34:02] 差別在於說我自己不會去主動要求榮華富貴
[34:05] 是你給我的
[34:05] 你不給我其實我還是可以吃完
[34:07] 我的Uber
[34:07] 我根本没有差
[34:08] 那如果他是这样子的个性的话
[34:10] 老实讲
[34:10] 你真的不能够对他要求什么
[34:11] 只是如果说
[34:12] 你是属于那种
[34:13] 所以才比较上进
[34:14] 你就是希望说
[34:15] 房子要越换越大
[34:16] 车子要越换越大
[34:17] 那这时候就势必会出现
[34:18] 一些价值观的冲突
[34:20] 那我觉得你也不用
[34:20] 刻意的去改造女朋友
[34:23] 你这时候就衡量
[34:24] 你到底是爱她多
[34:25] 还是你是希望她成为
[34:26] 家里的经济贡献之一
[34:27] 有时候就是摸摸鼻子
[34:28] 就是你自己是爱钱的
[34:30] 你是希望说
[34:30] 大家可以越来越好
[34:31] 那你自己就下去做
[34:33] 所以像我觉得
[34:34] 不会去期待说
[34:35] 我老婆怎么爱
[34:35] 赶快帮忙家里贡献一点赚点钱
[34:37] 我只有一段时间想把她
[34:39] 这样好像不好听
[34:41] 踢出去工作
[34:41] 是因为她每天跟我吃醋
[34:43] 我只要可能互动的一些对象
[34:45] 研究员 券商的人员
[34:46] 或者怎么样
[34:47] 是女生
[34:48] 她就会整天搞事情
[34:49] 或是一些产业的
[34:49] 即便那个是我妈妈的年纪
[34:51] 她一样会讲说
[34:52] 这个女的什么
[34:53] 她要拔你
[34:54] 我什么想说
[34:54] 干 啥小油病
[34:55] 然后那段时间
[34:56] 我真的就一直叫她出去工作
[34:57] 可是我们要的不是那个钱
[34:58] 我是希望说
[34:59] 就你待在家里
[35:00] 你就会一直整天烦我们
[35:01] 就赶快出去这样
[35:02] 只有那段时间
[35:05] 我不会去想说什么
[35:05] 家里今天要去做什么填购
[35:07] 我希望我老婆贡献
[35:08] 那当然我知道
[35:09] 不是每个人都有办法
[35:10] 像我这样子去搞嘛
[35:11] 那只是
[35:12] 我觉得这是一个目标啦
[35:13] 就是如果说
[35:14] 对方他本身也都没有跟你要求
[35:16] 他不会跟你那边闲说什么
[35:17] 你的车子太小
[35:18] 你的摩托车怎么样
[35:20] 安全帽怎么样
[35:20] 还是说什么
[35:21] 家里要换大一点
[35:22] 他没有在那边靠背的话
[35:23] 那他其实要去过一个
[35:25] 出茶淡饭
[35:26] 甜淡的生活
[35:26] 我认为是一点问题都没有的
[35:28] 所以严格上来说
[35:29] 他没有错
[35:30] 只是你们可能不适合
[35:32] 那这就要去权衡一下啦
[35:33] 因為你就會發現說一段感情
[35:35] 你不可能所有東西都是適合的
[35:36] 一定有些不爽
[35:37] 好像我整天抱怨我老婆愛吃醋
[35:38] 我老婆也會抱怨說
[35:39] 這個人是very fucking aggressive
[35:41] 可是我們還是在一起
[35:42] 就你抱怨歸抱怨
[35:43] 可是你發現說這個人
[35:44] 可能還是最適合你的一個選項
[35:46] 那我知道讓你知道說就是像
[35:48] 我自己家裡就有好幾個這樣子的人
[35:50] 所以我妹那時候不是講過一個很經典的嗎
[35:52] 什麼以前工作叫養家活口
[35:54] 現在工作叫實現自我
[35:55] 所以不爽就真的不做
[35:57] 甚至他也不要錢多
[35:58] 我只要輕鬆我只要快樂
[36:00] 我跟他講說
[36:01] 媽的你這個不會
[36:02] 那時候不是有在節目跟他分享
[36:03] 我叫他趕快去開槓
[36:04] 我說你到底在幹什麼
[36:05] 你開槓你爆倉我幫你補
[36:07] 我會先罵電你一頓
[36:08] 跟你說你為什麼會爆
[36:09] 可是你不要這麼慢
[36:10] 你要快一點
[36:11] 我可以幫你拉一把
[36:12] 我可以當你的
[36:13] 就是有點像是說安全港
[36:15] 你出事情我會罩你
[36:16] 因為你那個部位這麼小
[36:18] 老實講對我來說小事情
[36:19] 我可以幫你快一下
[36:20] 你就快一下
[36:21] 他結果他不要
[36:22] 就是有這種人
[36:23] 真的有這種人
[36:24] 所以不是說什麼每個人都是
[36:25] money money money之類的
[36:27] 所以你自己要認知一下
[36:29] 我覺得他沒有錯
[36:30] 下面一位 麻章 拜託孟公幫忙 留言密碼
[36:34] 2.孟公chika 你好 528是一位在澳洲幫助我很多
[36:37] 是我的貴人 也是我的朋友 也跟孟公的英文名字一樣是MK
[36:40] 小君的生日 我想送他禮物 只是他總說不用啦
[36:43] 我只知道他是你的忠實聽眾
[36:45] 能拜託孟公chika跟他說聲生日快樂 謝謝
[36:47] 我們住在澳洲的小君 生日快樂
[36:50] 下面一位 地方人氣116
[36:52] 這怎麼很像以前那種色情聊天室的ID
[36:55] 幫iPhone老公留言 pick me
[36:57] 孟公您好
[36:58] 老公是刚入社会时期
[37:00] 就在听您节目的老爱粉
[37:01] 也因为这场节目
[37:02] 在股票中存了一笔不错的数字
[37:04] 谢谢大家一直来的大方分享
[37:06] 让我们这些外行人
[37:06] 也可以稳当的在股票上面赚点零用钱
[37:09] 另外老公从几个月前开始会做成尿尿
[37:12] 这个部分真的是要感谢Lisa和您
[37:14] 希望直男巧舞的神奇魔力
[37:16] 可以继续感化直男们
[37:17] 最后老公去年的生日愿望
[37:19] 就是希望能够收到一大大祝福
[37:20] 加上前阵子参加铁人三项顺利完赛
[37:24] 可以请来大家用Lisa的声音祝福
[37:26] 但他真的没有办法
[37:27] 5月9号生日的桃园柯震东
[37:30] 生日快乐
[37:30] 三铁完赛你超厉害的
[37:32] 谢谢爱大祝您全家幸福
[37:34] 也祝你们幸福平安快乐
[37:35] 下面一位
[37:36] 摩萨飞高高特萨飞高高资产配置
[37:38] 爱大好想问资产配置
[37:40] 目前的股票资产68.6%
[37:43] 现金定存31.4%会不会太保守
[37:46] 我股票资产大部分买大盘
[37:47] 90%有一些题材鬼股
[37:49] 那每次都说下来要现金加码
[37:52] 但都买一点
[37:53] 结果台股就一路往上买不下手
[37:55] 我个人是这样觉得
[37:56] 其实每个人都有自己的资产配置跟习惯
[37:59] 你不用去太在意网络上
[38:01] 或甚至是我的节目会跟你讲说
[38:03] 像我都会讲说
[38:04] 我自己的钱全部放股票
[38:05] 但是你知道我们听众有些
[38:07] 他不一定会这样子做
[38:08] 可是没有问题
[38:09] 就是每个人都有自己的一些想法
