[00:00] 欢迎收听谷外,我是星梦宫,本集节目由NordVPN赞助
[20:01] 这些Data Center的设备
[20:03] 你买越多省越多
[20:04] 就是要一直疯狂的去建制
[20:06] 然后到后面拉到Agentic
[20:07] 拉到Robotics
[20:09] 最后面拉到在生活中的各种应用
[20:11] 那从本来是讲说是卖GPU
[20:13] 后来变成是卖Horex Solution
[20:14] 现在变成是所有Infra的一个Supplier
[20:16] 他的论述也算是不停的在与时俱进
[20:19] 所以算是一个非常精彩的分享
[20:22] 当然这家公司以下整体的AI peer来讲
[20:25] 其实我觉得他跟TSM有点像
[20:27] 就是市场中的大龙头
[20:29] 一个是代工的龙头
[20:30] 另外一个算是晶片跟AI的一个大龙头
[20:33] 但他们其实都
[20:34] 不知为什么就交易在一个相对便宜的位置
[20:37] 我自己甚至是在想说
[20:39] 会不会他们会单刚最后一棒之类的
[20:41] 就像他可能大家已经习惯说
[20:43] 反正大家都知道说TSM很好
[20:45] 大家都知道UberEats很好
[20:46] 可是我們就要去買一些小標股
[20:47] 因為小標股比較動
[20:48] 像可能MARVEL這邊在cue光通
[20:51] 我們要衝回去光通
[20:52] 因為大家的思維可能都偏向這樣
[20:54] 因為現在市場是有點那種百花齊放
[20:55] 所以大家都想找跑最快的
[20:57] 我覺得甚至是可以反映在比特幣的一個走勢
[21:00] 過往就大家去買比特幣
[21:02] 你說多少人真的相信比特幣的未來
[21:03] 我覺得不一定
[21:04] 就大家覺得這個東西很會跑
[21:05] 跑很快所以想去買它
[21:06] 可是在市場上一堆東西跑很快的話
[21:08] 可能就資金就撤出來
[21:10] 所以一樣的道理
[21:10] 就是可能我也知道TSM好
[21:12] 我也知道NVIDIA好
[21:13] 可是也就是有很多東西跑很快
[21:14] 所以我就先往別的地方跑
[21:15] 那大概是这样的一个状况
[21:17] 那其他东西可能就等到
[21:19] 我自己去看了这个电脑展之后
[21:21] 再跟大家分享
[21:22] 但是我自己猜
[21:23] 八九不离十
[21:24] 可能都是差不多的东西
[21:26] 反正就是更新更快更厉害
[21:27] 但是应该不会有太多
[21:28] 那种突破性的新的发展
[21:30] 所以在市场上的各种讨论
[21:33] 其实已经是蛮充分的在反映的
[21:35] 那像这一波的一个盘石
[21:37] 喷到下这样一个阶段
[21:38] 我自己的心中也会觉得
[21:39] 去称估值的一个可能性
[21:41] 是远大于就是
[21:43] 可能在市场上面
[21:44] 我们找到新的一个上修的动能
[21:46] 上修的动能应该是还没有
[21:48] 要有一些技术的突破出来
[21:49] 才会把那些数字再往上调
[21:50] 那比较偏向说是因为盘面整个很好
[21:53] 那资金又很多
[21:53] 所以就持续的把东西往上推
[21:55] 那最近呢
[21:56] 开始有出现一些热门题材的修正
[21:58] 像被动硬件开始出现一些横盘
[22:00] 其实我觉得这是好的
[22:01] 就如果他一直喷的话
[22:02] 老实讲
[22:02] 第一个是在台湾这边又会去做处置
[22:05] 所以你也没有办法做什么事情
[22:07] 你可能也没有办法去做太多的家
[22:08] 又要圈钱或什么的
[22:10] 那再来就是如果再继续喷的话
[22:12] 就你會擔心說會不會結束的時候
[22:13] 下雨會非常重
[22:14] 如果說有一些整理的話
[22:15] 其實算是一些好事
[22:16] 所以最近在盤中開始看到
[22:17] 有一些東西整理
[22:18] 當然就對我們自己來講
[22:19] 我們就是被拉回現實
[22:20] 本來前面就是每天睡醒都一直在賺錢
[22:22] 然後現在是開始有這些東西
[22:24] 進入橫盤進入整理
[22:25] 但目前來看就是特別是以
[22:27] 前面的指數是以這樣的
[22:28] 斜率衝上去的話
[22:29] 還是會覺得說
[22:30] 就是有可能就是今年都還是走多
[22:32] 那當然過程之中
[22:33] 一定是會出現一些修正
[22:35] 一定是會出現一些盤整
[22:36] 但是以這個斜率來講
[22:37] 就是他要直接去做一個終結
[22:39] 我會覺得是比較困難一點
[22:40] 那只是就是要如何的在
[22:42] 可能每次的题材切换之中
[22:44] 或甚至你也不一定要切换
[22:45] 就是要把这个软弹捏好
[22:46] 然后去获得这个市场的报酬
[22:49] 最差最差可能要拿到平均报酬
[22:50] 大概是这样子
[22:51] 所以简单跟大家分享一下
[22:52] 就是NVIDIA跟Marvel
[22:54] 他们在Computex上面演讲的一个内容
[22:57] 那去浓缩的话
[22:59] 就是怎么说
[23:01] 它不是一个特别新鲜的东西
[23:02] 但再一次的去跟大家emphasize
[23:04] 去强调光
[23:05] 就是未来的一个主轴
[23:07] 然后去强调
[23:08] 现在可能就是在AI的infra的建制上面
[23:11] 我们已经不会再去细分说
[23:12] 这个可能是做GPU
[23:14] 这个是做ASIC
[23:14] 可能大家拼的都是一个total solution
[23:16] 其实Google在沟通的也是这样子的一个概念
[23:19] 因为他去跟Neo Cloud去做合作的话
[23:22] 他去投资Neo Cloud
[23:23] 其实本身他也是想去卖一个total solution
[23:25] 所以大家的战场已经是转移到那边去了
[23:28] 其中的一个就是潜在的突破性的点
[23:32] 就是像Snowflake员工跟我所分享的
[23:34] 就是如果在这个过程之中
[23:36] 那闭锁的模型
[23:38] 当然他在前面冲得很快
[23:39] 要花很多钱去投资
[23:40] 他把一片江山给打下来之后
[23:42] 然后开源的模型在后面有跟上
[23:43] 那他可以去做到
[23:45] 就觉得说可能闭锁模型
[23:46] 是已经拿到1万分了
[23:48] 那我们人类的需求是9000分的话
[23:50] 那开源模型可能就可以去满足
[23:51] 大家的一个需求
[23:53] 所以像前面有点像是一个预言
[23:55] 就是当OpenCloud刚出来的时候
[23:56] 不是蛮多人跑去买一个
[23:58] 苹果的小装置吗
[23:59] 想说这样去搞
[24:00] 那最后面
[24:00] 其实我觉得就是说
[24:02] 有点那种深不逢时
[24:03] 时间还没有到
[24:03] 那时候可能就是有一些geek
[24:05] 可以去使用會覺得很屌
[24:06] 可是它其實是不敷大多數人的使用的
[24:08] 我覺得我們還會持續相信著
[24:10] 這個科技的進步
[24:11] 甚至搞不好快的話
[24:12] 就是今年
[24:13] 慢的話就是可能兩三年內
[24:15] 你可以買一個筆電
[24:16] 你就做到絕大多數
[24:17] 你目前可能需要去付費
[24:19] 讓雲端去幫你跑的東西
[24:21] 你都可以在你的地端去做使用
[24:23] 如果那一天到來的話
[24:25] 那應用的滲透也會更加的加速
[24:27] 然後再來就是像可能這些Data lag
[24:29] 或是在中間的一些軟體層的東西
[24:32] 他們就有機會
[24:33] 因为你知道他现在其实有蛮多的费用
[24:35] 他收到的钱
[24:35] 他是需要去付给这些LLM的
[24:37] 那他就有可能这都变成是他的一个存益
[24:40] 所以如何去获得你的用户
[24:42] 可能就像我们上集所强调
[24:44] 他是现在最重要的事情
[24:45] 你要怎么样去把这个单接进来
[24:47] 因为到某个时间点
[24:49] 你会注意到这些
[24:50] 所谓的新的科技
[24:52] 很猛的东西
[24:53] 那他距离大家已经是太近了
[24:56] 近到是唾手可得
[24:57] 我可能随便买一家
[24:58] 我都可以拿到差不多的一个效果
[25:00] 甚至是我们开源都可以达到这样子的效果
[25:02] 那當然就是比CGA把這個服務包得更好
[25:05] 於是像前面的整個邏輯就竄起來
[25:07] 為什麼現在會開始有很多的這種
[25:09] 前端部署工程師的職缺跑出來
[25:11] 就是一樣的道理
[25:12] 我要怎麼樣去獲取客戶
[25:13] 變成是一個最最最關鍵的重點
[25:15] 怎麼樣把服務做好
[25:16] 怎麼樣去提升大家的需求
[25:18] 反而不是在那個摩星那邊
[25:19] 去做非常高強度的競爭那當然它持續都還是會有它的發展我們講這個並不是說所以可能在雲端的建置就會暫停絕對不會因為絕對會有那些需求是需要去用到可能最高階的東西的
[25:31] 它絕對不是一個鴻海市場
[25:33] 它還是持續的蓬勃發展
[25:34] 我們就要持續的觀察
[25:35] 當然希望說在可能終端裝置
[25:38] Age computing這邊可以發展出一些契機
[25:40] 因為對我們的工作來講
[25:41] 我們是需要有很多新的題材
[25:42] 同樣一個題材
[25:43] 那周面在噴菇子
[25:44] 雖然是心情也蠻高興的
[25:46] 但會有點不太踏實
[25:48] 就覺得應該是要有東西可以轉來轉去
[25:49] 也不知道怎么整件事
[25:50] 国外去转换
[25:51] 但一直有新的题材出现
[25:53] 对一个多核市场来讲
[25:53] 可能是一个蛮好的事情
[25:54] 所以大家想跟大家
[25:55] 简单的分享一下
[25:57] 就可以稍微的关注一下
[25:57] AIPC后面有什么新的可能性
[25:59] 那大概这样
[26:00] 接下来就我们进入规则部分
[26:01] 第一位
[26:02] 威尼航特
[26:03] 孟公老大您好
[26:04] 发现热门族群
[26:04] 都有他们的专属主题曲
[26:06] 记忆体我希望
[26:07] 你是我独家的记忆
[26:10] 被动元件爱你
[26:11] 越久我越被动
[26:12] 光通讯你是电
[26:14] 你是光
[26:14] 你是唯一的升华
[26:16] 主动是ETF
[26:17] 呂士軒9898981
[26:19] 這我就不知道
[26:19] 那想問MK老大
[26:21] 那邊有什麼新族群的
[26:22] 主題曲可以分享一下
[26:23] 瓜好上述提到的歌曲
[26:25] 可以不用唱沒有關係
[26:26] 但你可能已經唱完了
[26:27] 最近的話可能只剩下救命
[26:29] 這兩天剩下救命而已
[26:30] 下面一位
[26:31] 青出於藍更勝於藍
[26:33] 帥哥老公是我啦
[26:34] 可以幫我祝六月六號
[26:35] 先夢宮AK
[26:35] 直男巧虎AK
[26:36] 夢宮老公
[26:37] 六月十三號
[26:38] 青出於藍更勝於藍
[26:39] 六月十四號川普
[26:40] 六月十五號
[26:41] 秋口家喜主席
[26:42] 生日快樂
[26:43] 我們雙子座
[26:44] 快要稱霸地球了
[26:45] 如果标题可以放地球
[26:46] 或是双子座吗
[26:47] 那谢谢帅哥孟公
[26:49] 地球
[26:51] 我第一次看到地球的emoji
[26:52] 好大家试试看
[26:53] 那下面一位小明
[26:54] 孟公安安
[26:55] 我想来这边留言的
[26:56] 听众一点都没有惜福
[26:57] 你没有这么想
[26:58] 但是被您念到
[26:59] 就等于是实质上赚到了
[27:01] 一次业配的收益
[27:02] 那希望来发问的
[27:03] 艳足多惠们
[27:04] 不要拿AI可以解答的问题来问
[27:06] 来许愿的善男信女们
[27:08] 心想事成
[27:09] 来发疯的换个地方
[27:10] 感谢孟公好人全家平安
[27:12] 最近废办真的好扯
[27:13] 真的非常扯
[27:14] 那对了
[27:15] 就是有些AI可以解决的问题
[27:16] 尽量就交给AI
[27:17] 那只是如果来这边发疯的话
[27:18] 其实我蛮欢迎的
[27:19] 我蛮喜欢看到各路的
[27:21] 怪小跑来这边
[27:22] 稍微就浮出来
[27:24] 这个是我蛮喜欢的一个气氛
[27:25] 下面一位TTH
[27:26] 嗨梦工chika
[27:27] 请问你会觉得天赋
[27:29] 是来弥补自身不足的部分吗
[27:31] 就好像你蛮懂得投资股票
[27:33] 但私下不太讲话
[27:34] 借由podcast节目
[27:35] 分享你的投资知识
[27:36] 以及生活的分享
[27:37] 上天给了你另外一种方式
[27:39] 弥补你能和社会产生连接
[27:41] 但又不需要进行过多社交的部分
[27:43] 那最后是不是可以用唐老鸭的声音
[27:45] 祝我生日快乐呢
[27:46] 祝您一家平安健康爱您
[27:49] 我不会觉得好像说一切是那种
[27:52] 类似命定
[27:53] 好像你是因为你有这样子的个性
[27:55] 所以老天就会帮你开另外一扇窗
[27:57] 而是因为你的个性是这样子
[27:59] 然后你最终会找到舒服的一个方式
[28:01] 去做输出
[28:02] 那当然觉得像现在好像有一个节目
[28:05] 可以跟大家互动是还蛮不错的
[28:07] 但我自己也不知道
[28:08] 这个节目可以到什么时候
[28:09] 那你说如果这个节目不见的话
[28:10] 我会不会就失去了互动的管道
[28:12] 然后觉得人生是非常的空虚
[28:14] 或怎么样
[28:14] 我觉得也不会
[28:15] 就是你会找到一个新的方向
[28:16] 那总之呢
[28:17] 就是最终大家会找到一个
[28:18] 最小阻力的平衡
[28:19] 差不多这样的一个感觉
[28:20] 那下面一位大人
[28:21] MK今天是我跟我老婆交往纪念日
[28:24] 祝我们生产顺利
[28:25] 感谢您
[28:26] 祝你们生产顺利
[28:26] 下面一位柯柯
[28:28] 太长跳过
[28:28] 下面一位妙妙屋
[28:29] 孟公去搞黄人勋
[28:30] 点石成金的魔法
[28:32] 真的很厉害
[28:33] Marvel的股价被点燃
[28:34] 但Invidia何时也可以
[28:35] 点石成金自己的股票呢
[28:37] 那感觉GTC后资金又回流
[28:39] NVIDIA台积电供应链
[28:40] 孟宫觉得市场是否会补涨NVIDIA TSMC
[28:44] 另外下一波的涨价题材
[28:45] 是否有可能会延伸到功率半导体
[28:47] IDM如ON跟PIMIC如ADI
[28:49] 我觉得这位兄弟他的敏感度非常好
[28:53] 就是我觉得功率元件
[28:54] 或者是功率半导体相关的一些公司
[28:58] 其实我们都注意到
[28:58] 他的基本面有蛮显著的在改善中
[29:01] 所以他确实有可能是
[29:02] 下一波题材的一个汇聚点
[29:04] 可是他的光芒没有像
[29:06] 觉得说CPU或者是被动元件那样子的全面
[29:09] 因为现在市场上非常喜欢那种
[29:11] 类似戴维斯双极的东西
[29:13] 反正我ASP给拉上去
[29:14] 那再来呢
[29:15] 我的PU Ratio也拉上去
[29:16] 这个可能是大家会比较喜欢的
[29:18] 重点是你还要搭配缺货啦
[29:19] 那功率元件的话
[29:21] 就是他们也都有在涨价
[29:22] 可是可能目前没有看到那种
[29:23] 全面性屌缺的一个情形
[29:25] 那或许如果后面
[29:26] 觉得说电源柜的表现状况很好
[29:28] 那开始产生大量的拉货
[29:29] 那不排除有这样子一个可能性啦
[29:31] 所以抓这两个题材还蛮OK的
[29:33] 那再講說會不會去補漲NVIDIA跟TSMC
[29:36] 我覺得最近的盤有一點點這樣子的味道
[29:38] TSMC很明顯的在轉強
[29:40] 然後搭配前面因為監管會開了一個大門
[29:43] 那這些投信公司
[29:45] 他們是必須要去改他們的公發書之類的
[29:47] 那差不多就是在這一兩個月會完成
[29:49] 所以搞不好後面投信的資金進來之後
[29:52] 就有機會會把它推上去
[29:53] 那當然我們也不確定是怎麼樣
[29:54] 只是最近TSMC的形態確實是有變強
[29:57] 那NVIDIA也是有突破再往上去走了
[29:59] 所以確實是有機會的
[30:00] 下面一位Andy Liu Winnie同學
[30:02] 我又来了
[30:03] 6月1号我生日
[30:04] 可以跟我说那四个字吗
[30:05] 你娘可好
[30:07] 对不起
[30:07] 我不知道为什么要这样讲话
[30:08] 我不知道为什么
[30:09] 我刚才要这样子接
[30:10] 就生日快乐就好
[30:12] 为什么要乱接话
[30:13] 那孟公您好
[30:14] 去年10月有来留言
[30:15] 请大家帮忙集气
[30:16] 有关我和太太
[30:18] 在美国领养小孩
[30:20] 你看
[30:20] 她是来领养小孩的
[30:22] 为什么我前面要这样子
[30:23] 口无遮拦呢
[30:24] 她是好人
[30:25] 为什么我控制不了
[30:26] 自己的嘴巴呢
[30:27] 终于在今年有配对上了
[30:29] 真的是谢谢您和广大听众们
[30:31] 看着小朋友的照片和影片
[30:33] 傻笑着想取名字之类的事情
[30:35] 突然就明白钢铁人他老爸那一句
[30:37] That kid is not even here yet
[30:40] and there is nothing I wouldn't do for him
[30:41] 那再次谢谢孟公制作优质的节目
[30:44] 也感谢老婆健在辛劳掌管家中的大小事
[30:48] 愿上帝祝福孟公一家和秋口家A君
[30:50] 都平安健康顺遂爱您
[30:52] 我真的是很糟糕的人
[30:56] 那希望你可以一切顺利平安
[30:57] 这位兄弟
[30:58] 你们在做一个非常伟大
[30:59] 非常了不起的事情
[31:00] 希望你的家庭可以和乐融融
[31:02] 下面一位
[31:03] Cheng Yu-Ri
[31:05] 永兰教供酒陶
[31:06] 每次一个很温情的
[31:08] 下面就是接这种
[31:09] 有的没有的人
[31:10] Mongonchika Ainin
[31:11] 想问您会喝大卖场的便宜红酒吗
[31:14] 会不会有推荐的评价庶民红酒呢
[31:16] 这个就是我很害怕的
[31:17] 因为我自己是从price tag
[31:19] 去做一个策略
[31:20] 那只是我的一个策略
[31:22] 并不是说什么
[31:22] 我是拜金仔
[31:24] 特别是像在我自己的书里面
[31:25] 曾经写过
[31:25] 因为我岳母的男朋友
[31:28] 他们自己是经营酒庄的
[31:29] 那確實都是有辦法在幾百塊到一兩千塊的紅酒之間
[31:33] 找到味道極好的東西
[31:34] 他自己的紅酒也大概是一兩千塊
[31:36] 那評分也都很高
[31:37] 所以絕對不是說什麼高價的酒就一定比較厲害之類
[31:39] 那你現在要我推一個平價紅酒的話
[31:41] 我覺得我會推那個卡蒂娜的
[31:44] 一個叫做Rebirth重生
[31:46] 然後他是Malbec的葡萄做出來的
[31:49] 我覺得這一款非常好喝
[31:50] 那它的價格也是屬於平價的
[31:52] 應該也是屬於絕大多數
[31:54] 假設你還沒有開始很認真的研究
[31:56] 你會喜歡的一種味道
[31:57] 所以或许可以试看看
[31:59] 这个卡蒂娜酒庄
[32:00] 那阿根挺到
[32:01] 下面一位
[32:01] 之前听到
[32:03] 挨大推荐TZBag
[32:05] 真的是有够开心
[32:05] 不知道挨大有没有去
[32:06] TB20周年那一场
[32:08] 非常推荐可以去看RP
[32:09] 当时我在现场
[32:10] 真的是灵表TZ不知所云
[32:11] 上一集听到挨大说
[32:13] 生命中的小事
[32:13] 和深呼吸的分享
[32:14] 这边推荐Netflix的
[32:15] 正念冥想指南
[32:17] 一集不到20分钟
[32:18] 但基本上就是要
[32:19] 在做挨大提到的
[32:20] 这些事情
[32:21] 推荐给您
[32:22] 这边建议不要
[32:23] 一直直上吧
[32:24] 八级课完
[32:24] 那最后希望观音斗爱
[32:25] 可以祝小弟找工作顺利
[32:27] 那这边许愿找到理想的工作
[32:29] 小弟会陆续30万元做善事爱您
[32:31] 我还是要跟大家强调一下
[32:33] 现在你们有一点推得太过头
[32:35] 现在大家是太多了
[32:36] 就是以前是太小气
[32:37] 然后现在是太多
[32:38] 我觉得可以稍微稍微去一点
[32:39] 因为大家还是需要钱去做更多的投资
[32:42] 或者去改善家人的生活
[32:44] 那当然你说捐出去好不好
[32:45] 绝对是好的
[32:46] 那只是特别是在年轻在累积的时候
[32:48] 自己要稍微的帮自己再多想一点
[32:50] 我觉得不用太大方
[32:51] 可以大方
[32:52] 但是也不要到太大方
[32:53] 那再来对TZBag的演唱会
[32:55] 后来前缘老师有邀我去看过一场
[32:58] 我非常的喜欢
[32:58] 那前缘老师可能是我在台湾
[33:01] 最喜欢的鼓手之一
[33:02] 从小看他们长大
[33:04] 虽然他们天天想说
[33:05] 干你这光笑
[33:06] 但在长大之后呢
[33:07] 那还可以在自己的偶像的邀请之下
[33:09] 去看他们表演
[33:10] 真的是非常过瘾的一种体验
[33:12] 那下面一位Bob
[33:13] 嗨MK新年快乐
[33:15] 生日快乐端午快乐
[33:16] 从2万点空手到4万6的人会不会很呕
[33:19] 那这一定是呕到爆炸了
[33:20] 就如果你是不懂股票的
[33:22] 你看到股票一直喷
[33:22] 你可能只会想一下
[33:23] 但如果你是懂股票的
[33:24] 那你又一直在那边空手
[33:25] 然后看着它上去
[33:26] 那个感受是完全不一样的
[33:28] 那个是很难受的体验
[33:30] 下面一位
[33:31] 秒速五公分是樱花落下时的速度
[33:34] 还要跟你讲
[33:35] 我本来以为是别的速度
[33:36] 下面一位
[33:37] 凤梨展爷爱自拍秀肌肉
[33:40] 你好
[33:41] 我读陈大志公系的朋友展爷
[33:44] 最近很忧郁
[33:44] 其因是因为他在考计算机组织上机考的时候
[33:48] 因为考场的设备出了问题
[33:50] 间接导致他其中考零分
[33:51] 并影响他推荐研究所的排名
[33:53] 教授对此并无有效的补偿措施
[33:55] 还在Dcard上跟学生对抢超幼稚
[33:58] 而展爷却无能为力
[34:00] 只能在IG写小作文抒发情绪
[34:02] 想问孟哥
[34:03] 我们遇到被人掐住脖子
[34:05] 却无能为力的时刻
[34:06] 以及遇到这种状况会怎么处理
[34:08] 最后希望用川普的声音说
[34:10] 恭喜展爷成为红鸡佬
[34:13] 谢谢你们
[34:13] 可以祝你们一家健康快乐
[34:15] 这个没有办法用川普的声音
[34:17] 你说我们遇到那种
[34:18] 就是像是那种
[34:19] 刀组上的鱼肉之类的
[34:21] 我不是跟大家分享
[34:22] 那时候我们在
[34:23] 那个复兴航空下面
[34:24] 威航在做训练的时候
[34:26] 然后后来
[34:26] 反正就是因为
[34:27] 复兴航空摔两架飞机嘛
[34:28] 那他就是要找个理由
[34:30] 把大家给lay off掉
[34:31] 可是他又不想要去付之前费
[34:32] 他就要逼我们去签志愿离职嘛
[34:34] 那当时就是
[34:35] 跑到我们的训练基地
[34:36] 就找各种理由来干我们
[34:38] 就是把我们凑干一顿
[34:39] 然后讲了
[34:39] 好像说我们什么废物中的废物
[34:41] 我们很怠惰啊
[34:42] 什么有的没有的
[34:42] 所以他就是
[34:43] 要我们自己签志愿离职
[34:45] 不然以后呢
[34:45] 就是在业界去走跳的话
[34:47] 自己就小心一点什么的
[34:48] 那其实到现在我都觉得那个机长
[34:50] 就是有时候你想说
[34:51] 这世界上到底有没有报应的存在
[34:52] 就这个人为什么现在还可以
[34:54] 在那边当机长之类的
[34:55] 就你想要这种事情
[34:56] 那会很生气啊
[34:57] 那当下其实我们是没有任何的
[34:59] 管道去做处理的人
[35:00] 假如就是死老百姓啊
[35:02] 那现在也是死老百姓啊
[35:03] 可是就是有点钱之后
[35:05] 你就可以做很多事情
[35:06] 所以如果现在再给我遇到这种事情
[35:07] 我一定会去修理那个机长
[35:08] 我一定会找尽方法去修理这个人
[35:11] 那只是回到过去
[35:12] 你比较年轻
[35:13] 或者说你没有方法的时候
[35:14] 老实讲就是忍耐啦
[35:15] 那你能够希望说
[35:17] 以後你要路見不平拔刀相助
[35:18] 當你知道有這樣子的狀況產生
[35:20] 發生在你身邊的朋友跟家人
[35:22] 或甚至是你的小孩身上
[35:23] 你就去修理那個人就對了
[35:25] 就是他修理你的小孩你就修理他
[35:27] 反正這種人就是一定要被人家處理
[35:29] 這也是為什麼以前在路上
[35:30] 有時候我過馬路的時候我很生氣
[35:31] 因為你知道你他媽的
[35:33] 你不小心碰到我撞到我算了
[35:34] 如果你今天撞到所有小孩
[35:35] 我一定是跟你拼命
[35:37] 所以你看到一些這種違反規矩
[35:39] 或做很奇怪的事情的人
[35:41] 其實那個心中真的會有一種那種火上來
[35:44] 那當然你已經有一點資源之後
[35:47] 你就可以去花时间去对付这些人
[35:49] 你有时候很尴尬的点是
[35:51] 年轻的时候你没有资源
[35:52] 你也没有时间
[35:53] 所以就算你真的拿出一点钱
[35:55] 好我来跟你对拼
[35:56] 我去告你或什么的
[35:57] 你也没有时间去上法院
[35:59] 那人家就是比你有余裕
[36:00] 所以当遇到这种事情的时候
[36:02] 你会内心有一把火就在那边烧
[36:05] 可是你也没有办法做什么
[36:06] 那我只能够说
[36:07] 这个是老天给你一种修炼
[36:09] 就是你也不要说
[36:10] 怎么真的去动手贬人家或什么的
[36:12] 这绝对不是好事情
[36:13] 就有时候你就是遇到这样的事情
[36:15] 应该说人生中
[36:15] 一定会遇到这样子的事情
[36:17] 那他最终会变成某一种能量
[36:19] 真的是有点像是说
[36:20] 化悲愤为力量
[36:22] 就是他会变成某一种
[36:23] 去督促你继续往前的东西
[36:25] 那也只有在像现在可能
[36:26] 跟大家聊到
[36:27] 我会提到这个往事
[36:28] 那大家可能听得出来
[36:29] 我真的是很火大之类
[36:30] 可是我平常我也不会去想了
[36:32] 你也不会想跟这种人计较了
[36:33] 因为你们的层次已经差太多了
[36:35] 所以这些人某个程度上
[36:37] 他是你生命中的一种刺
[36:39] 可是他某个程度上
[36:40] 也是推了你一把
[36:41] 除非不好
[36:42] 就是今天在人烟罕至的山上
[36:44] 他刚好挂在悬崖边
[36:46] 老子一定不救他
[36:46] 我一定是不会救你
[36:48] 那我就是看你该怎么办
[36:49] 那可是除此之外
[36:50] 你说我也想要去害他吗
[36:51] 想要去处理他
[36:52] 我是想要去抗争对抗
[36:54] 或者去把当时的东西拨乱反正
[36:56] 或什么
[36:57] 不会啦
[36:57] 就算了吧
[36:58] 就人生一定会遇到很多这样的事情
[36:59] 所以我的最高指导原则就是
[37:01] 能够不去接触人
[37:02] 就尽量不要接触人
[37:03] 因为接触人很多时候
[37:04] 都会让自己非常的失望
[37:05] 来这样
[37:06] 下面一位
[37:06] 五棍阿皮婆百烂
[37:08] 简称五百
[37:09] 孟公你说你爱了不该爱的人
[37:12] 你的心中满是伤痕
[37:15] 记得你说过行情好的时候
[37:17] 会有群怪小人
[37:18] 跑出来问垃圾问题
[37:19] 那想问行情不好
[37:20] 留言区会出现什么样的现象
[37:21] 也是怪小
[37:22] 反正行情只要走到极端
[37:23] 就很多怪咖会跑出来
[37:24] 那另外想问一个清酒
[37:26] 你说不知道喝什么
[37:27] 就推荐喝十四代
[37:28] 那除了十四代之外
[37:29] 有什么另外推荐的吗
[37:30] 那感谢祝您及各位听众
[37:32] 都能够身体健康平安
[37:33] 我没有这样子讲过
[37:34] 我只有说十四代
[37:35] 它本身确实是一个
[37:36] 怎么讲
[37:37] 你可以用金银剔透
[37:38] 来形容这一支
[37:39] 它不是这一支红酒
[37:41] 就是这个品牌
[37:42] 他的酒都做得非常的好
[37:44] 那也是属于比较甜美的风味的
[37:46] 那只是我那时候会想去研究清酒
[37:48] 是因为就是每个人都只会喝十字袋
[37:50] 我想说是只有十字袋吗
[37:51] 所以就去多摸了一些
[37:52] 那像我自己喜欢的话
[37:53] 我蛮喜欢新正
[37:54] 我也喜欢额金
[37:55] 那比较平价一点的话
[37:56] 像我也很喜欢那个富九井
[37:58] 之前有跟大家推荐一个
[37:58] 什么富九井不苦嘛
[38:00] 那个才900块
[38:01] 那个超级好喝
[38:01] 然后后来就是
[38:03] 因为我是在一个叫利木的店喝那个然后后来好像就卖到断货了所以我不確定這個東西現在好不好找但反正總之這幾個都是蠻不錯的牌子下面一位迪化街的台南人
[38:14] 夢宮去搞不China
[38:16] China
[38:18] 最近散熱散熱的
[38:20] 被動不被動的
[38:21] 2330也2330了
[38:22] 大意我也大意了
[38:23] 微軟一樣微軟的
[38:24] 華星讓我華星的
[38:26] Power總算Power了
[38:27] 勵志讓我勵志了
[38:28] 最後犀利丟犀利
[38:30] 大家有空來迪化街走一走
[38:32] 這幾年很不一樣
[38:33] 有什么改变是不是
[38:34] 我前几天才
[38:36] 不是前几天
[38:37] 前几个月才在那边路过
[38:38] 确实是一个
[38:39] 就是给你那种
[38:40] 小时的
[38:41] 九时光
[38:42] 1943
[38:43] 那种味道
[38:44] 但还是有点太拥挤
[38:45] 如果没有这么拥挤的话
[38:46] 更好
[38:47] 那
[38:47] 前面这些打游戏
[38:49] 还蛮有趣的
[38:50] 下面一位悠悠
[38:50] 祝孟公去搞生日快乐
[38:51] 非常谢谢悠悠
[38:52] 下面一位
[38:53] Karina
[38:54] 孟公大午安
[38:55] 跟你一样是双子宝宝
[38:56] 今天是我生日香
[38:57] 请你用秋口的旺旺声
[38:59] 干
[39:00] 帮我旺一段
[39:01] 祝你生日快乐的旋律
[39:03] 那这样子我跟肚子里的宝宝
[39:04] 都会很开心
[39:05] 你看人家肚子里有宝宝
[39:06] 为什么我前面要那样子
[39:08] 我还是以后少讲一点话好了
[39:10] 那我会把它录下来当
[39:12] 每日的胎教
[39:14] 他要当胎教的东西
[39:15] 那希望宝宝出生当天
[39:17] 就会忘给自己听
[39:18] 结果宝宝学到的第一个字就是干
[39:21] 那也提早祝孟公生日快乐
[39:23] 祝福身体健康
[39:24] 祝大家超过少到100岁
[39:26] PS昨天推老公入坑
[39:27] 不知道今天会不会被念到
[39:29] 如果有念到
[39:29] 请帮我跟老公说
[39:30] 你看他还推老公路
[39:31] 可能就老公一听就说
[39:33] 怎么会有这种玩世不恭的家伙
[39:34] 你知道我小学二年级
[39:36] 我的联络部老师就写说
[39:37] 这个人玩世不恭
[39:38] 小学二年级就被这样子写
[39:39] 不要当风末仔哦
[39:41] 你最棒了
[39:41] 白地方快乐宝妈
[39:43] 我前面那个可能
[39:44] 我后来发现
[39:45] 我这样讲
