[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由Ergotron赞助
[19:41] 是一个不错的选项
[19:42] 可是在一般的成平时期
[19:44] 我觉得很有趣
[19:45] 当然对散户朋友来讲
[19:47] 这可能是某种很幸运的事情
[19:49] 你可能就只要买台积电
[19:50] 然后你去睡觉
[19:51] 你的部位就会蛮不错的
[19:52] 可是我注意到在交易圈里面
[19:54] 其实大家是不太喜欢买台积电的
[19:56] 绝大多数时间
[19:57] 买台积电
[19:57] 但老实讲
[19:58] 就大家的报酬
[19:59] 也真的都有跑赢台积电
[20:00] 就是去玩一些那种
[20:01] 什么小鬼谷
[20:02] 然后那种中小型的
[20:03] 曹黑鹏的各种元件
[20:04] 是非常强大
[20:05] 可是最近算是
[20:07] 非常的有共识
[20:08] 就是蛮多人都认为
[20:09] 说要去加台积电
[20:10] 只是当然
[20:11] 有时候你听到
[20:12] 很多人在做的时候
[20:12] 你就在思考说
[20:13] 那是不是钱都已经进去了
[20:14] 可是就我们去看筹码
[20:16] 会觉得说
[20:16] 其实还没有
[20:17] 就是说这个钱
[20:18] 应该还是有机会
[20:19] 会有更多会灌进去
[20:21] 那一样
[20:21] 就它都有可能
[20:22] 会有一个风险
[20:23] 就每个交易都有一个风险
[20:24] 就像MTK下非常好
[20:25] 那我已经在上集跟大家提早揭露
[20:27] 它的风险
[20:28] 就假设Intel的封装出问题的话
[20:30] 那个是很久以后的事情
[20:31] 那要到底就是说
[20:32] 台积电的这个交易
[20:33] 它的风险可能就是会落在
[20:36] 就像说如果外资开始持命的道
[20:38] 但我自己的猜想是这样
[20:40] 就是当今天一个
[20:41] 就是过去我们都知道说
[20:43] 多元把他称为是护国神山
[20:45] 稳稳的涨或什么的
[20:46] 他如果开始变标股会怎么样
[20:48] 这是一个很大胆的假设
[20:51] 就像是可能MTK
[20:52] 你敢在可能上个月去假设说
[20:54] 它会有这么多根涨停吗
[20:56] 就连我自己是在起涨点前
[20:58] 就在跟大家聊到说
[20:59] MTK它可能在手机跟
[21:01] AI伺服器的一个转换之间
[21:04] 有可能会有一个资金的新的轮动
[21:06] 那个是在涨停之前
[21:07] 我都不敢跟你讲说
[21:08] 我知道后面会涨停
[21:09] 因为会这样讲的一定都是诈骗集团
[21:11] 那么你最好知道
[21:12] 你知道你就说话
[21:13] 你就变首富
[21:13] 我们真的都不知道
[21:14] 但只是当你注意到市场的钱
[21:17] 已经开始去往一些大型股去推的时候
[21:20] 那特别你前面有看到一些case出来
[21:23] 就是原来这些大型的牛车
[21:26] 以前不太会动
[21:26] 现在会飞
[21:27] 他们会飞起来
[21:28] 那有没有可能你也去假设
[21:30] 就是假设在大量的钱灌进来之后
[21:33] 那你会注意到TSM的股性改变
[21:35] 而且它其实在fundamentally
[21:37] 就是它是很有资格去做改变
[21:39] 因为它是便宜的股票
[21:41] 就如果说你今天去跟AIP而比的话
[21:44] 我觉得现在可能也算是便宜的股票
[21:46] 就有回答吧
[21:47] 但回答以外的蛮多东西
[21:48] 其实它都已经不是便宜的股票
[21:50] 就是你用它的4P Ratio去推
[21:52] 可能都是高上了大概50%
[21:54] 或甚至是100%的一个状态
[21:56] 所以在这样的一个环境之下
[21:57] 一个相对便宜的东西
[21:59] 它产生了一些catalyst
[22:01] 一些新的变化
[22:02] 它会有新的资金可以进来
[22:04] 这些新的投信
[22:05] 如果说进来的过程中
[22:06] 还是要强调
[22:07] 就是没有遇到那种北八外资
[22:08] 在那边耍白痴
[22:09] 然后在那边
[22:09] 大家要派对的时候
[22:11] 你已经跑来乱倒货
[22:12] 如果被倒掉就可能会休息
[22:14] 就有机会这样
[22:14] 但如果说没有被倒掉
[22:16] 那被推上去
[22:17] 推上去之后代表什么意思
[22:18] 因为台股好像以加权来讲
[22:21] 那个占比很高是台积电
[22:22] 所以台股的市值也会跟着被往上推
[22:25] 当市值被往上推的时候
[22:26] 那些去做global配置的一些外资们
[22:30] 他们也有机会看到说
[22:31] 今天台股的市值变大了
[22:33] 那我可能就可以再多放一点钱进来
[22:35] 因为这个市场可能变得够大
[22:37] 他又去达到了一些benchmark之类的
[22:39] 所以他们可能会去甚至去助长
[22:41] 这一波的一个趋势
[22:42] 所以我觉得蛮有趣的一点就是说
[22:44] 过去我们可能在
[22:45] 就要说聊一些产业面的东西
[22:47] 不管是可能像前面的记忆体
[22:49] 然后或者是各式各样的原件
[22:52] 散热 水冷什么的
[22:54] 蛮多时候我们是
[22:54] 不太敢去直接去讲一些标题
[22:56] 因为其实老实讲
[22:57] 我们也不需要去影响市场
[22:58] 我们就可以赚钱
[22:59] 所以我们不用去帮自己
[23:00] 扔上一些麻烦
[23:01] 但台积电就是一个
[23:02] 反正它就是白纳的东西
[23:03] 全民的台积电
[23:04] 大家都知道说
[23:05] 反正买股票
[23:06] 蛮多都会跑去买台积电
[23:07] 虽然我自己还是会比较推荐的说
[23:09] 就是一般人
[23:10] 你尽量以006208或是0050
[23:12] 作为你配置的一个主轴
[23:13] 但你其他要去
[23:14] 这边夹一点菜
[23:15] 那边夹一点菜都没有问题
[23:16] 只是用这个指数投资
[23:18] 可能是相对保守的一个做法
[23:19] 但台积电本来就是很多人的一个选择
[23:21] 所以我其实也不会觉得说
[23:23] 有需要去可能稍微避险一下
[23:25] 反正台积电就是那样狂轰滥炸
[23:27] 然后现在自己的做法就是
[23:29] 我觉得可能也是蛮多人的想法跟我一样
[23:31] 所以才会产生礼拜四跟礼拜五
[23:34] 就是说这些smart money
[23:35] 因为动很快
[23:36] 然后在大家在那边疯狂的去推
[23:39] 其他中小型的时候
[23:40] 然后你就注意到说
[23:41] 礼拜四直接大到货
[23:42] 然后礼拜五的时候是拉高之后
[23:44] 又再大到货
[23:44] 为什么
[23:45] 因为可能他们的想法都跟我一样
[23:46] 就是我现在就是要买台积电
[23:47] 所以我就必须要把钱丢出来
[23:50] 那反之你去思考一下
[23:51] 我们刚刚前面都是在讲说
[23:53] Pro TSM的东西
[23:54] 可是有没有一些con会出现
[23:55] 一定有
[23:56] 为什么
[23:56] 因为假设你要把台积电
[23:58] 先不要讲25%
[23:58] 你从本来10%
[24:00] 你要拉到15% 18%好了
[24:01] 你的钱要从哪里来
[24:02] 你懂我说吗
[24:04] 你在短期内
[24:05] 你的钱要从哪里来
[24:06] 你一定就是要去卖
[24:07] 你本来的一些持股
[24:09] 就像我们在做的事情一样
[24:10] 我们把一堆中小丢掉
[24:11] 所以我觉得在后面
[24:14] 会有一个有趣的现象是
[24:15] 有可能会变成是
[24:17] 就是蛮大规模的一个垃圾盘
[24:19] 就我们现在纯用筹码角度
[24:21] 但你要知道一件事就是说
[24:22] 其实像我们的节目
[24:24] 为什么会三六更新
[24:25] 就是因为有太多变数
[24:27] 突然间有打仗
[24:28] 突然间有干嘛
[24:28] 或是突然间哪个公司
[24:29] 开一个财报影响到谁
[24:30] 我们现在都是用
[24:32] 我们既有的线索去做推理
[24:34] 为什么说投资有时候蛮困难
[24:35] 或者说对我们主动交易者来讲
[24:37] 你需要一直去
[24:38] 就要看盘或是了解事情
[24:39] 他會有很多變數加強
[24:40] 但我們用既有的變數去看的話
[24:42] 其實蠻能夠理解就是
[24:44] 你需要去買台積電
[24:45] 而且你有強烈的動機
[24:47] 因為假設你脫鉤大盤
[24:48] 你會被你的老闆當狗屌
[24:49] 所以你一定要去買台積電
[24:51] 買多買少你就是一定會去加
[24:53] 你不可能說什麼調高上限到25%然後你還是控在你的10%因為你就輸給你那些手上都有台積電的同業們所以你就必须去买那这个是一个非常强烈的动机就是no brainer我觉得大家都一定会去买只是买多买少的问题
[25:04] 那你买多买少就影响到
[25:06] 那你在其他标的卖多卖少
[25:08] 所以甚至有机会是这样子看
[25:10] 我觉得有一个身边的大哥
[25:12] 那个交易太聪明了
[25:13] 他第一瞬间就是
[25:14] 他也是拷了满手TSM
[25:16] 然后他就空台之气
[25:17] 那这个其实
[25:19] 听我们节目早期
[25:20] 有在跟你讲说
[25:21] 那种什么long short
[25:22] 大家应该会带一点概念
[25:23] 这什么意思
[25:23] 你去做多台积电
[25:25] 然后你去空台积电
[25:26] 等于说你是去做多台积电
[25:28] 并空X台积电以外的标的
[25:30] 这是因为人家资金超级大
[25:32] 他要去做hedging
[25:33] 他会这样子做
[25:34] 我是没有这样做
[25:36] 因为我资金没有大到
[25:37] 需要去做hedging
[25:37] 我可以直接去裸拜
[25:39] 所以类似的道理
[25:41] 就是说
[25:41] 如果你今天必须要去买台积电的话
[25:44] 你就有机会要去卖出
[25:45] 你手上的一些持股
[25:46] 所以这些投信
[25:47] 他们可能在过去
[25:48] 买比较凶的东西
[25:50] 在后面一阵子
[25:51] 有机会是你要稍微小心的东西
[25:54] 因为假设说我的推论是对
[25:56] 但我的推论有可能是错的
[25:57] 有可能是错
[25:58] 有可能就
[25:58] 现在真的是台积电的什么热点
[26:00] 然后后来
[26:01] 你下礼拜开始就看到了
[26:02] 盘整就不会涨了
[26:03] 还是有机会是这样子
[26:05] 但如果说你注意到
[26:07] 就是我讲的剧本开始发生
[26:08] TSM直接一直上去的话
[26:10] 那就有可能会产生一个
[26:12] FOMO的情绪
[26:12] 他必须要去丢掉他
[26:14] 手上持有的其他东西
[26:15] 然后转过来这里
[26:16] 反之就是说
[26:18] 每次投资交易里面
[26:19] 有趣的地方是
[26:20] 跌很深
[26:21] 就是有机会后面会有大报酬可以赚
[26:23] 涨很多就有机会后面就是有你得受
[26:26] 所以一样的道理
[26:27] 就是你现在知道说这些东西
[26:28] 有机会会在后面被sell
[26:31] 那反之呢
[26:32] 会不会等到当资金开始重新平衡之后
[26:35] 那这些东西会产生一个非常强大的补部位
[26:37] 那这也是我们在大概两期前
[26:39] 有跟大家聊到
[26:40] 就是肋骨轮动的一个产生
[26:41] 我非常喜欢肋骨轮动
[26:43] 因为我们很会抓这种东西
[26:44] 所以呢
[26:45] 虽然我们现在的想法是认为说
[26:47] 这个市场可能会因为法规面跟制度面的事情
[26:49] 大量的去买进台积电
[26:51] 前提
[26:52] 还要讲前提
[26:52] 就是外资没有跑出来乱的话
[26:54] 如果说这个剧本
[26:55] 真的去启动的话
[26:56] 可能就会导致
[26:57] 蛮多东西开始被狂卖
[26:58] 这些狂卖的东西
[27:00] 如果说有撑住
[27:01] 有守住
[27:01] 等到资金的调整完成之后
[27:03] 有可能你又有新的东西
[27:05] 可以做了
[27:05] 所以还蛮有趣的
[27:06] 你刚刚前面可能在
[27:08] 有些人在MTK
[27:09] 有些人在一些中小光通
[27:10] 什么赚很多钱
[27:11] 然后现在蛮多
[27:12] 有新的地方可以去
[27:12] 然后接着一个月
[27:13] 你就知道说
[27:13] 又有下一个地方可以去
[27:15] 假设说国际情势
[27:16] 没有出什么大事
[27:17] 所以这个盘对我们来讲
[27:18] 就是超赞的
[27:19] 或许可能
[27:20] 不知道
[27:21] 就2026年真的是一个
[27:22] 令人意想不到的年吧
[27:24] 因为在前面
[27:25] 我们本来
[27:26] 至少以我自己来讲
[27:27] 甚至觉得说
[27:27] 今年的美股就这样了
[27:29] 因为我自己的光通
[27:30] 其实是
[27:30] 有点难去成
[27:32] 我手上的一些大型股
[27:33] 或是一些晶片股的表现
[27:35] 或是一些软体股
[27:35] 也在回荡
[27:36] 只是没有想到说
[27:37] 在过去一阵子
[27:38] 就全部都大喷射
[27:40] 这真的连想都不敢想的
[27:41] 一个剧本
[27:41] 那当然
[27:42] 因为既然东西
[27:43] 都已经喷出去了
[27:44] 所以我们想要做的
[27:45] 並不是要去散播一些情緒
[27:47] 就是說長高一定會跌
[27:48] 因為廢物猴子都知道長高一定會跌
[27:50] 就是終究就是會跌
[27:52] 終究就是會有崩盤
[27:53] 可是重點是在可以賺錢的時候
[27:55] 其實要非常積極的
[27:56] 特別是那種目標很明確的時候
[27:57] 要積極的去做
[27:58] 所以現在的想法就是
[27:59] 可能可以注意一下
[28:00] 下禮拜開始會不會有一些
[28:01] 新的資金行情的出現
[28:03] 這些行情它基本上表示的就是說
[28:05] 它有機會產生更多的波動
[28:07] 波動就是我們在工作裡面
[28:09] 有機會可以賺錢的機會
[28:10] 所以自己是覺得非常的興奮
[28:12] 非常期待下禮拜的一個到來
[28:14] 大概這樣
[28:14] 那就在這邊簡單跟大家分享一下
[28:16] 自己對一下市況的一個分享
[28:18] 那基本上在美股這邊
[28:19] 現在也覺得沒有什麼特別要說的
[28:21] 反正就以半導體相關類股來講
[28:24] 反正就是一直噴
[28:25] 那當然等到後面有一些新的變化產生的時候
[28:29] 才有機會再去做新的update
[28:30] 所以這邊簡單跟大家分享一下
[28:31] 就是我覺得這是一個事件型驅動的
[28:34] 政策面的某種程度的大利多
[28:37] 那只是就是看市場的資金會怎麼樣去做反應
[28:39] 那我們設定好劇本之後我們去執行
[28:41] 那一樣我們都還是會去設定一些
[28:43] 就像台积电
[28:44] 其实他本身不是很多
[28:46] 在做交易圈的人
[28:46] 他可能会频繁去做交易的东西
[28:48] 所以就是两个选项
[28:50] 一个就是说
[28:50] 我就买了放着去等
[28:51] 另外一个就是
[28:52] 你还可以去设一些
[28:53] 有些会把它称为是停损
[28:54] 虽然在台积电停损
[28:55] 听起来好像是一个
[28:56] 很奇怪的事情
[28:57] 但反正总是就看你压大压小
[28:58] 如果当然是压小
[28:59] 你就可以放着等
[29:00] 所以反正就是会往这个方向去
[29:02] 只是说做多做少的一个问题
[29:03] 大概是这样
[29:03] 好那接下来我们进入Q的部分
[29:05] 地位板桥李多慧2.0
[29:07] 而效法该保护的是人
[29:08] 不是魔鬼
[29:09] 最近因为YouTuber
[29:11] 在一次整理了2023年
[29:13] 震惊全台的割喉案
[29:14] 看到里面的干哥干妹
[29:16] 所作所为
[29:16] 真的只能够恶心的魔鬼来形容
[29:18] 不知道您的看法如何
[29:19] 法律保护这些魔鬼的用意
[29:20] 究竟何在
[29:21] 结果下都尽可能去少看一些
[29:23] 这种关于小朋友的
[29:25] 受到伤害或甚至是死亡的案子
[29:28] 因为看到后来就很难过
[29:29] 像上次跟大家分享说
[29:30] 有一次在瑞典旅行的时候
[29:32] 然后刚好看到那个
[29:33] 就是一个那个虐音案
[29:34] 然后后来我们两个就在餐厅
[29:35] 根本连饭都吃不下
[29:36] 两个一起在那边哭
[29:37] 那当然这不知道去诉诸情绪或什么
[29:40] 就只是跟大家分享说
[29:41] 就看到这种东西
[29:41] 对有些人来讲
[29:42] 真的会很敏感会很难受
[29:44] 然后特别是像你讲的这个歌景
[29:45] 我不知道我们是不是看的是同一个歌景
[29:47] 我记得那时候有看到说什么
[29:49] 受害者的爸爸出来讲说
[29:50] 法官跟他讲说
[29:51] 有没有机会让什么
[29:52] 就是那个加害者
[29:53] 那个小朋友来孝顺你
[29:55] 你他妈你在讲什么
[29:56] 这到底是他妈什么
[29:57] 什么垃圾言论
[29:59] 这种人要不要抓去
[30:00] 他妈脑袋要不要拆开
[30:01] 检查一下脑袋里面装什么东西
[30:02] 其实老实讲
[30:03] 我跟你讲
[30:04] 在我们是相信专业的人
[30:06] 还是要先讲我们的button line
[30:07] 我们的前提
[30:08] 我们绝对是相信专业的人
[30:09] 大家一定都知道
[30:10] 我们一切都是诉诸专业
[30:11] 只是你不要跟我讲说
[30:13] 在同一个license下面的
[30:14] 每个人都是没问题的
[30:15] 一定有很多garbage
[30:16] 就像是在做交易的
[30:17] 有很多garbage
[30:18] 在那边当医生的
[30:19] 一定有很多是garbage
[30:20] 他可能在那边偷栽人家器官
[30:22] 还是说在做什么
[30:23] 奇怪的买卖
[30:24] 那再来就是说
[30:25] 这些法官有些
[30:27] 你就是判他妈垃圾的东西
[30:28] 所以不要很简单的
[30:29] 把大家划分成为说
[30:31] 你知道相信法官
[30:32] 那不相信就是什么
[30:33] 民粹就是法盲
[30:34] 绝大多数案例
[30:35] 我真的都相信法官
[30:36] 甚至有时候
[30:36] 我真的觉得是大家在搞民粹
[30:38] 这种东西讲出来
[30:39] 你也是跟他妈势头对着
[30:40] 我现在都是懒得去介入这种纠纷
[30:42] 只是你怎么会对一个
[30:44] 就是小朋友被杀掉的父亲讲说
[30:47] 有没有可能让别的小孩来孝顺你
[30:50] 如果你今天有小孩的话
[30:52] 你讲出这种话的话
[30:53] 我觉得这个就叫不试论
[30:55] 如果说你今天是没有小孩的话
[30:56] 那你可能就真的是
[30:57] 免灭人心的那种
[30:59] 就是完全没有同理心的废物
[31:02] 今天讲是这样
[31:02] 所以你知道有些那种
[31:04] 我可以理解
[31:07] 就像说像
[31:08] 因为大家蛮多时候会想要去诉诸
[31:10] 什么东西都死刑
[31:11] 把人家变掉
[31:11] 可是我其实是知道说
[31:13] 什么东西都不可以是完全的死刑
[31:15] 为什么
[31:15] 因为如果你今天知道说
[31:17] 你做这个犯罪
[31:17] 你一定会死的话
[31:19] 这已经有一些统计数据去佐证了
[31:21] 那我在犯罪的当下
[31:22] 其实我不会想要去hold back
[31:24] 我不会想要去反悔
[31:25] 因为我知道反正我就死定了
[31:26] 所以我还把我可能碾到一个人
[31:28] 我就直接就来回把他碾死
[31:29] 类似这样
[31:30] 我如果每个东西都死刑会变这样
[31:31] 所以有些名催去讲的
[31:33] 全部东西都应该死刑
[31:35] 要边刑
[31:35] 这个我是不认同的
[31:36] 但你也不要想要去
[31:38] 把死塞到嘴巴里面
[31:39] 告诉我说
[31:40] 因为我要去相信法官
[31:41] 所以你法官讲的
[31:42] 各种垃圾话
[31:43] 都不用去受到公平
[31:44] 像那个就超级垃圾话
[31:46] 那一样
[31:46] 只讲到这种东西
[31:47] 就会影响到我情绪
[31:48] 那我现在的做法就是
[31:49] 基本上我生活中
[31:51] 要忙的东西太多了
[31:52] 我要去工作
[31:53] 我要去照顾我的孩子
[31:54] 我现在还要去研究
[31:55] 怎么样减肥
[31:56] 开始去做很多运动
[31:57] 我要去采购各种好玩
[31:59] 有趣的红酒
[32:00] 所以我能够做的怎么样
[32:01] 我就是去看到一些需要帮助的人
[32:04] 我去捐钱
[32:05] 我去处理
[32:05] 可是我已经不会想要去
[32:07] 把自己大量放到这些案子里面
[32:08] 像我刚才跟你回答
[32:09] 你看我情绪又上来
[32:10] 我就想去喷那个法官
[32:11] 那可能有些人听了就觉得说很爽
[32:13] 但这个对我来讲
[32:14] 是心理的一种负担
[32:15] 所以只能够说
[32:16] 希望社会可以去太促掉
[32:18] 因为你知道
[32:18] 这个东西可以留给法界的人士
[32:20] 法界人士也要自己振作
[32:21] 你看到你同行的法官
[32:23] 在讲这种垃圾话
[32:24] 你怎么可以接受这种事情
[32:25] 拜托出来踢爆他好不好
[32:26] 拜托让这种不识人的他妈下去好不好
[32:28] 下面一位
[32:29] 我梦宫啦
[32:30] 为了posty哈一根
[32:32] 记得你在某集说
[32:33] 虽然戒严了
[32:34] 但会为了posty再抽一根
[32:35] 接着推荐他录音室的演唱版本
[32:38] 那我跑去听了之后
[32:39] 整个爱上
[32:39] MK9月也会去看高雄的posty演唱会吗
[32:43] 好久没有分享湘南跟乌山了
[32:44] 那另外
[32:45] 我老婆一直说要去林口巧遇你
[32:47] 整天在那边
[32:48] 梦宫我老公
[32:49] 如果哪天遇到他失控太high
[32:51] 然后后面被卡掉了
[32:52] 那会不会去看post Malone
[32:54] 这次应该是不会了
[32:55] 因为上次看过
[32:56] 然后上次的印象
[32:56] 其实老实说不是太好
[32:58] 因为你知道
[32:59] 就是后来影片有传出来
[33:00] 虎爷在地上
[33:01] 在地上那个不是什么大问题
[33:02] 问题是他在虎爷的时候
[33:04] 然后又直接阴长爆掉
[33:06] 那次去真的是耳朵痛到不行
[33:08] 所以应该就没有下一次
[33:10] 然后再来
[33:11] 肖南跟乌山
[33:12] 他并不是一个
[33:13] 就是每天都要分享的东西
[33:15] 因为我们讲的东西是真的
[33:16] 他是evergreen fund
[33:18] 也就是我们是跟着这些funder
[33:19] 我们是跟你到最后的那一种
[33:22] 也就是我们不会去跟你
[33:23] 在那边吹说
[33:24] 报酬率
[33:25] ROI 什麼東西什麼都要出來
[33:27] 甚至去引導去教你怎麼樣創作
[33:30] 我們就是一個甚至某程度上可以講說是
[33:33] 就是懂玩的人
[33:34] 我們都知道自己扛上什麼風險
[33:36] 所以其實我們進來都是陪這些案子會走一陣子
[33:39] 當然這些案子並不會說如雨後春筍般的一直跑出來
[33:42] 只是持續都有
[33:43] 像現在已經有案子是在Steam上面是有的
[33:46] 只是因為那些團隊可能有些不一定是會想我們去公開它
[33:49] 再來有些東西會在後面上
[33:51] 就像今年會上的紅顏鹿比
[33:53] 就是麻煩大家支持
[33:54] 那當然這個遊戲出來之後
[33:55] 我們也會去跟大家多聊一點
[33:57] 但它不會像是我們在做投資交易
[33:59] 因為我可能
[34:01] 你覺得說我現在的標的
[34:02] 手上持有的一個比例
[34:03] 跟一個月前就有很大的差距
[34:05] 一個月前再跟兩個月前
[34:06] 又有超大的一個差距之類的
[34:08] 所以它不是這種
[34:08] 可能三天就會去變來變去的東西
[34:10] 所以比較像是說
[34:12] 反正我們找到機會
[34:13] 就會持續的去做介入
[34:15] 那也非常感謝自己身邊
[34:17] 就是這些股東
[34:18] 因為跟自己有些是
[34:20] 在投資交易裡面的一些同業
[34:21] 然後大家把錢拿出來
[34:23] 然後就放在裡面
[34:24] 就真的都是让他去跑
[34:25] 觉得非常感恩
[34:27] 有这样子的一个共识
[34:28] 所以之后有一些好消息
[34:29] 就持续跟大家分享
[34:30] 只是这些东西
[34:31] 他不会是每天都有新东西
[34:32] 他跟投资交易
[34:33] 是有点不太一样的
[34:35] 那再讲说
[34:35] 幸运的风口珠超过八行跳过
[34:38] 他自己这样写
[34:39] 那我就来数一下
[34:39] 12345678
[34:41] 跳过下面一行
[34:42] 下面一位班生
[34:44] 他自己叫我八行跳过
[34:45] 因为像这个我本来不会跳过
[34:46] 可是
[34:47] 我这样好像很坏
[34:48] 来念一下
[34:49] 我是被老婆推根
[34:50] 才开始听古来的
[34:51] 老实讲
[34:52] 刚开始听的时候
[34:53] 心里只有一句话
[34:54] 这人在丘杀小
[34:54] 结果现在很靠杯变成铁粉
[34:56] 自己不是有钱家庭出生
[34:58] 出社会后靠工作热情
[35:00] 一路拼到现在
[35:01] 但疫情后才发现
[35:02] 年轻时对股票不信任
[35:03] 钱是有赚
[35:05] 资产却没有跟上时代
[35:06] 所以要谢谢MK
[35:07] 让我在人生半百才开始重新投资
[35:09] 虽然说投资是个更虐心的修罗场
[35:12] 但却多个机会
[35:13] 替家人替自己准备一个更安心的未来
[35:16] 以上是吃了CPU族群大掌的感谢文
[35:19] OK
[35:20] 但有一天你可能去
[35:22] 跟着去吃某个族群
[35:23] 然后就不会大涨
[35:24] 甚至是大赔
[35:25] 这还是自己要有心理准备
[35:26] 投资教育就是
[35:27] 你会有赚你会有赔
[35:28] 那整体是赚的就好了
[35:29] 那再来讲说
[35:30] 就是一开始觉得
[35:31] 这个人在chill
[35:32] 我知道很多人对我的第一印象都是
[35:34] 你到底在屌什么
[35:35] 特别是听节目的
[35:36] 因为我本人其实不会这样子讲话
[35:38] 因为我本人是不讲话的
[35:39] 不太讲话
[35:40] 但在节目里面
[35:41] 那可能就会
[35:42] 因为我就必须要表达
[35:43] 我就讲话
[35:44] 这是我的单口秀
[35:46] 所以我就一直讲
[35:46] 那有些可能就会觉得说
[35:48] 这个人很潦白
[35:49] 很chill什么的
[35:50] 但是我觉得
[35:51] 我这样跟他讲
[35:52] 我不知道去帮自己
[35:53] 去做一个什么佐证证明
[35:55] 或是想去justify我的一些行为
[35:57] 我其实是很刻意的
[35:59] 去让自己看起来是谦逊的
[36:01] 所以你看到的
[36:02] 已经是一个谦逊的结果
[36:03] 很不好意思
[36:04] 但实际上我现在要去
[36:06] 就要说我看到一个店的评价
[36:08] 一个餐厅
[36:09] 那他的副评
[36:10] 都是在讲老板态度的
[36:11] 这种我一定会进去吃
[36:12] 就是是那种高级餐厅
[36:14] 然后你只能够骂他态度的
[36:16] 这我一定会进去吃
[36:16] 那骂他的
[36:17] 为什么每个人都去想象
[36:19] 每个人一定讲话
[36:19] 都是什么温良恭俭让
[36:20] 然后都要说
[36:21] 难怪台湾一堆诈骗
[36:22] 因为他妈只要讲好话给你听
[36:24] 编个报酬率给你听
[36:25] 你他妈的你头洗下去
[36:27] 那你不就活该了吗
[36:28] 七四一四
[36:28] 所以我真的会因为看到一些餐厅
[36:31] 然后我知道这个老板是很有个性的
[36:33] 那他不是被骂说什么食安问题
[36:35] 东西很脏或什么的
[36:37] 我就会跑去吃
[36:38] 那甚至我发现说
[36:39] 自己身边的一些专业人士
[36:41] 特别是
[36:42] 我觉得一个差距是这样
[36:43] 有些专业人士看起来可能说
[36:45] 他蛮问问如鸦的
[36:46] 那是因为他没有接触到很多人
[36:48] 好像我自己身边有一个超级会搞股票的人
[36:50] 他本来都自己在搞
[36:51] 那后来就是认识我之后
[36:53] 我就介绍一些人给他认识
[36:54] 他认识很多人之后
[36:54] 他现在讲话也变超秋的
[36:56] 你知道为什么会变这样吗
[36:57] 因为他妈太多白痴了
[36:59] 整天你今天你发现说这个人聪明
[37:01] 你就变成你每天都在问他白痴问题
[37:03] 问到后来他回你
[37:04] 他真的就变很呛
[37:05] 他就直接就回你一些
[37:06] 其实他不想回你
[37:07] 他想说你在干嘛
[37:08] 那为什么他会变这样
[37:09] 因为他的耐心被磨掉了
[37:10] 所以后来发现说
[37:12] 就是蛮多我自己知道的职人等级的
[37:15] 不管是可能股票
[37:17] 或是餐厅或什么的
[37:19] 他們都會有他的那個個性存在
[37:21] 就是一般都會長得比較有人有角
[37:23] 那當然也會有一些非常圓融的人或什麼那我只能夠說那那個人他心裡一定承受了很多当你遇到这样子的人你好好的珍惜这个人因为你没有办法把这些压力释放出来
[37:35] 遇到白痴
[37:36] 那个气你没有直接
[37:37] 吐回去的话
[37:37] 都等于是你内化去吸收掉了
[37:40] 所以甚至是这样讲
[37:41] 那跟地震一样
[37:42] 你没有正常能量释放的东西
[37:44] 后来他爆一个都爆最大的
[37:46] 平常看起来不讲话
[37:47] 真的要爆炸的时候
[37:48] 他直接把你给宰了之类的
[37:49] 所以大概这样
[37:50] 但我不知道去帮自己开脱
[37:52] 那我后来也觉得
[37:53] 这是一件好事
[37:53] 就是有些人可能来听
[37:54] 然后觉得说
[37:55] 你在邱插小的
[37:56] 你就赶快滚
[37:57] 那也是最好
[37:58] 因为你不喜欢我
[37:58] 刚好其实老子也不喜欢你
[38:00] 就不要以为说
[38:01] 每个出来录节目的
[38:02] 都是流量
[38:03] 我需要人
[38:04] 像最近有一些怪咖
[38:05] 那整天跑到YT
[38:06] 讲说什么
[38:06] 你现在就在录节目
[38:08] 你其实是要服务大家
[38:09] 然后叫我去改我那个logo
[38:10] 什么太亮
[38:11] 他一直看
[38:12] 他眼睛不舒服
[38:13] 我说他妈的
[38:13] 你不会去听podcast吗
[38:15] 你为什么要开着YT的萤幕
[38:16] 盯着看
[38:17] 然后每天来洗我的留言说
[38:19] 我应该要去服务大家
[38:20] 我扶你去红干
[38:21] 你不要听
[38:22] 你赶快滚一滚
[38:23] 为什么会有一堆白痴
[38:24] 整天跑来留白痴的东西
[38:25] 好那下面一位
[38:26] 班森0503
[38:28] 还记得你说家是唯一的城堡
[38:32] 孟公好
[38:32] 好奇诺亚会找你玩角色扮演吗
[38:35] 最近陪儿子看妙妙犬布丽
[38:37] 那发现里面的爸爸
[38:38] 对小孩的要求极度配合
[38:40] 虽然说我儿子还不到
[38:42] 找我陪他玩的年纪
[38:43] 但我提醒我自己未来
[38:45] 也是要像布丽爸一样
[38:46] 当个不扫兴的老爸
[38:48] 那与你分享这部
[38:49] 优质的卡通案
[38:49] 我兒子超級喜歡
[38:51] 這個叫什麼
[38:52] Bluey
[38:53] 因為我們不是要裝逼
[38:55] 只是我們家裡我老婆是買英文的書
[38:56] 所以你剛講Booly
[38:57] 我還稍微想了一下
