[00:00] 欢迎收听谷爱,我是孙梦宫,本集节目由尼谷青赞助
[19:16] 我们就来看说他会不会再去做一些
[19:19] 针对AI的一些指引
[19:20] 那先讲一下
[19:21] 就是可能市场有公布
[19:22] 或说大家有预期
[19:23] 大家知道的一个东西
[19:24] 我们可以expect
[19:25] 有什么样的事情发生
[19:26] 那首先呢
[19:27] 是他们有先公告了
[19:28] 有Microsoft这边有大胆
[19:29] Ager会去部署大量的Helios机柜
[19:32] 去跑他们的模型推论
[19:34] 那再来呢
[19:35] 除了Microsoft之外
[19:37] 我们知道过往Meta
[19:38] OpenAI或是Oracle
[19:39] 他们有一个非常华丽的客户名单
[19:41] 这个就是说
[19:42] 加多一个Microsoft进去
[19:44] 画龙点金
[19:46] 那后面还有一个比较大的惊喜
[19:47] 其实在法人圈或是投资圈里面
[19:50] 已经不是惊喜了
[19:50] 可是我觉得应该有蛮多的消费者
[19:52] 不一定知道这件事情
[19:53] 就是AmpliPay这边有机会
[19:55] 也会在这次的会议上面去公布说
[19:57] 跟AMD有什么样的一个合作
[19:58] 然后会去使用AMD的伺服器
[20:00] 我们知道说AMD的伺服器在近期
[20:03] 其实它的状况是表现的蛮好的
[20:05] 就是不只是它可能在GPU跟CPU这一段
[20:09] 就是可能在一些整合应用上面
[20:11] 大家也开始发现
[20:12] 有一个说法是这样说
[20:14] 虽然可能讲很久了
[20:15] NVIDIA的CUDA的护城盒
[20:17] 其实慢慢的有在被降低中
[20:19] 因为大家在上面去
[20:20] 可能用AMD的
[20:22] 比较高CP值的硬体
[20:23] 去开发一些软体的应用
[20:25] 可能没有像CUDA这么顺
[20:26] 可是至少是堪用的
[20:27] 所以也不是像过往
[20:29] 大家讲便宜没好货
[20:30] 因为AMD的东西
[20:31] 就是相对便宜
[20:31] 当然可以买到
[20:32] 比较高的spec
[20:33] 现在可能说
[20:34] 因为自己有上去
[20:35] 开发一些软体
[20:36] 所以慢慢的
[20:36] 有去导致这件事情
[20:37] 市场有一个说法是说
[20:39] 等到他走到
[20:40] 550这个阶段之后
[20:41] 他会在硬体
[20:42] 跟软体的整个方面
[20:43] 会跑Invidia
[20:44] 就看大家相不相信
[20:45] 这样的一个论述
[20:46] 但我是觉得皮衣刀客他不是吃素的
[20:48] 他不会躺在那边给你干
[20:49] 现在市场的一个论述说
[20:51] 因为跑到550那一代之后
[20:52] 他可能一个板子上面可以打
[20:54] 比NVIDIA还多颗的晶片
[20:56] NVIDIA相较之下
[20:57] 可能就只有在机体这边有去做提升
[20:59] 所以搞不好硬体就有一个超车的机会
[21:01] 可是老黄可能突然间又再搞出
[21:03] 某一种韧体
[21:04] 或是某一些特殊的软体应用
[21:07] 又把它的performance
[21:08] 又在整个推行局都是有机会
[21:09] 但至少就是说AMD这边你可以去期待
[21:11] 它的GPU在后面是有一些表现的
[21:13] 然后有一些大型的客户
[21:14] 除了这些CSP之外
[21:15] 像模型商Enthropic
[21:17] 这个市场已经传很久了
[21:18] 就是有机会也会被端出来说
[21:21] 他们有去做合作
[21:22] 那在他的Keynote上面
[21:23] 我们觉得应该是会去正式发表Venice
[21:26] 这应该也不是算是非常意外的事情
[21:28] 那Venice是什么
[21:29] 就是他的SP7的一个CPU
[21:32] 那这个CPU已经可以保证
[21:34] 基本上就是在后面
[21:35] 算是一个会供不应求的东西
[21:36] 首先我们知道说AMD
[21:37] 它在这个CPU的市占率是越拉越好
[21:41] 它基本上是有点像说
[21:42] 骑在Intel上面持续的去做攻击
[21:45] 那Intel当然他也只有端出新东西
[21:47] 只是他的Octstream
[21:48] 也就是他的下一代
[21:49] 不管是Clearwater Forest
[21:50] 然后或者是Diamond Rapids
[21:52] 那应该是要等到今年年底
[21:53] 或者明年年初才出来
[21:55] 所以AMD又可以抢先持点
[21:57] 然后看有没有机会去攻占下来
[21:59] 更多的一个市场
[22:00] 那在这样的一个时空背景之下
[22:02] 其实我们是认为说
[22:04] 非常的有机会
[22:05] 只要他可以想办法
[22:07] 把CPU顺利的出货就好
[22:09] 那CPU现在有一些瓶颈
[22:10] 除了在近代工端这边
[22:12] 可能要去Secure更多的产能
[22:14] which is very difficult
[22:16] 非常的困难
[22:17] 因为大家都在抢这个产能
[22:18] 然后再来就是
[22:19] 你要去拿到足量的记忆体
[22:21] 可能也是一个不容易的事情
[22:23] 你要把整个东西拼出来
[22:24] 是不容易的事情
[22:25] 其实我们今天如果挑到一个
[22:27] 比较大的架构来看的话
[22:29] 目前市场里面很大的一个瓶颈
[22:31] 其实是CPU
[22:31] 如果说CPU没有办法顺利的供应的话
[22:35] which is我们现在已经在很多的供应链上
[22:37] 已经有看到很多老板在抱怨
[22:39] 甚至他們自己在做CPU相關components的
[22:41] 他都告訴你說CPU很好
[22:43] 但是因為可能出貨這邊會卡住
[22:45] 所以我們的營收韌列進來
[22:47] 可能不會是那種一次性超大量的進來
[22:49] 會慢慢的
[22:49] 因為整個鏈其他是卡住的一個狀態
[22:52] 那我們知道說CPU
[22:53] 因為在Agenti AI的應用上面
[22:55] 它扮演一個非常重大的角色
[22:57] 從本來可能CPU是一個隊
[22:59] 可能不知道超多個七八個GPU ASIC
[23:01] 然後到現在1比4 1對2
[23:03] 甚至後面大家開始在講說
[23:05] 有可能有1對1的狀況產生
[23:06] 當時我們是講說這個可能講太早
[23:08] 但现在来看
[23:09] 时间随着这样慢慢的推进
[23:11] 也是有机会看到
[23:13] 这样的一些情形出现
[23:15] 甚至是有一些
[23:16] 好像NVIDIA过往
[23:17] 它的CPU是直接打开板子上面
[23:19] 就是包着出的
[23:20] 说不定它后面会出一个
[23:21] standalone的版本
[23:22] 为什么
[23:22] 因为CPU的用量
[23:23] 就真的变得很大
[23:24] 大家注意到
[23:25] 在Argentia Warflow里面
[23:26] 其实会用到很多的CPU
[23:27] 所以我也觉得说
[23:28] Venice它提早去诞生
[23:31] 它会为AMD带来蛮大的一个优势
[23:33] 特别是他们在上次
[23:35] 好像是投资人大会
[23:36] 就是已經有把CPU的TAM整個蓋了一倍上去
[23:39] 就它給一個非常高的數字
[23:41] 所以在Keynote上面你可以去期待
[23:43] 它怎麼樣去吹這個Venice
[23:44] 雖然它的SPAC大家都已經是相當程度的知道
[23:47] 也已經拿去跟Intel的Oxtreme的ClearWire Forest
[23:49] 去做一個對標
[23:50] 但還是可以來看一下說
[23:52] 可能在上面去做更多的論述
[23:53] 不然說哪些客戶會採用
[23:54] 或是有一些什麼Use Case之類的
[23:56] 所以CPU相關的一些公司
[23:59] 也是在這一波我會想要去關注的一個對象
[24:01] 除了CPU的本體
[24:03] 就像是Intel或是AMD
[24:05] 或是我們過往去可能在美股注意的那些CPU的公司之外
[24:08] 然後再加相關的components
[24:10] 我覺得也是有機會在缺貨的一個狀況之下
[24:13] 可能大家都會產生更好的一個溢價權
[24:16] 就整條鏈有可能會稍微的去做一個價值的提升
[24:19] 首先一個比較明顯的價值提升是
[24:21] 我們知道說當每一次的CPU換代
[24:24] 上面的一些那種標準品
[24:26] 可能像是一些什麼被動元件用量增加什麼
[24:28] 這個我們就不用講了
[24:29] 記憶體 不知道
[24:30] 這個就不用講了
[24:30] 如果今天我們是討論到
[24:32] 像CPU它负载的Sockets
[24:35] 因为它的对率大概是1比1
[24:36] 除了像可能NVIDIA
[24:37] 在它的AI伺服器里面
[24:40] 不一定会用到一些Sockets
[24:41] 当然SoCAN这边还是有用到
[24:43] 不过就是我们知道说
[24:44] 随着CPU的换代
[24:46] 因为像Sockets
[24:47] 它里面的针脚数就会变多
[24:49] 针脚数变多的意思就代表说
[24:50] 它ASP会提高
[24:51] 因为它不像刚刚前面讲到
[24:53] 那些原件是
[24:53] 反正就是今天一个大潮来
[24:55] 它就跟着涨价
[24:56] 大潮结束它就会崩掉
[24:57] 像这样子的
[24:59] 可能一对一
[24:59] 或是会绑定出的
[25:01] 某一些零组件
[25:02] 它会比较偏向是
[25:03] 它在每一次的换代
[25:04] 随着像刚刚提到
[25:05] 针脚变多
[25:06] 或者说技术难度变高
[25:07] 它会有一次的ASP的提升机会
[25:09] 所以等到这个ASP拉上去之后
[25:11] 那有可能也会去改善
[25:13] 公司的一些体制
[25:14] 所以整个CPU相关的supply chain
[25:16] 我会认为
[25:17] 就是在AMD的keynode之后
[25:18] 有可能会再一次的被关注
[25:20] 第一波CPU
[25:21] 可能是在今年年初的时候
[25:22] 那时候有吵一波
[25:23] 大家知道Intel跟AMD
[25:24] 喷到烂掉
[25:25] 可能后面有机会
[25:27] 可能CPU会再带动第二波
[25:28] 不然我自己是比较难去想象说還有什麼樣的故事因為你知道這個市場要繼續往上跑就要有領頭羊所以目前先觀察看看AMD有沒有機會成為這樣子一個領頭羊當然有可能Google搶先假設Google開的數字突然間有一些
[25:41] 雖然我們很難去想像有超出預期的東西
[25:44] 但你覺得說它假設帶動市場的話
[25:46] 有可能就是它先跑
[25:47] 只是如果說Google這個東西沒有辦法帶起來
[25:49] 因為它市場對它預期其實不高
[25:51] 可能反而要期待AMD的Vancing AI
[25:54] 有沒有可能會端出什麼樣不一樣的東西
[25:57] 那再来就是有一些
[25:58] 可能对我们这些市场仔
[26:00] 或是投资圈人士
[26:01] 法安圈
[26:02] 大家已经是
[26:03] 就觉得是尝试的东西
[26:04] 但是有可能传到市场上
[26:06] 它还是会造成
[26:06] 非常强大的一些催化
[26:08] 这个是有机会的
[26:09] 所以包含像是Enthropic
[26:10] 或者说
[26:11] 它会不会再公布
[26:12] 除了Enthropic之外的其他客户
[26:14] 像那时候BlaCom
[26:15] 它去公布客户的时候
[26:16] 对我们来讲
[26:17] 其实我们大概知道是谁
[26:18] 我们也知道说有这样的订单
[26:20] 但是那时候在市场上面
[26:21] 还是有造成一些影响
[26:22] 所以这些消息
[26:23] 它都是有机会成为
[26:24] 某一种那种催化的一个催化剂
[26:27] 那可能就后面再来观察看看
[26:29] 那总之呢
[26:30] 就是在接下来
[26:31] 我觉得盘面是一个很震荡的情形
[26:33] 但是我们知道说
[26:34] 其实有蛮多公司的业绩跟环境
[26:36] 都是在很好的一个状态
[26:38] 然后再就是可能像过去一集
[26:40] 跟大家聊到Kimi Carefree
[26:42] 很多人把它解读成为说
[26:43] 可能这个美国的软体定价会崩掉
[26:46] 这些模型定价会崩掉
[26:48] 然后再来就是可能
[26:49] 因为它是
[26:50] 大家把它称为比较有效率
[26:52] 虽然我们有去稍微打脸一下
[26:53] 因为他要用到的机体量
[26:55] 其实是超级大的
[26:56] 它是一个大型的东西
[26:57] 你不可以用什么
[26:58] 小型的桌机去跑
[26:59] 它跟那时候DeepSeek
[27:00] 造成的想象
[27:01] 还是有一定程度的差距
[27:02] 但大家把它联想在一起
[27:03] 觉得说不会用到这些伺服器
[27:05] 可是最后面
[27:05] 我们看到Kimi
[27:06] 就是在我们上集聊完之后
[27:07] 他们就是有公布
[27:08] 直接告诉大家
[27:09] 月之爱命就跟大家讲说
[27:11] 抱歉
[27:12] 我们家算力要留给老客户
[27:13] 因为不够用
[27:14] 所以前面讲说
[27:15] 算力已经什么够用
[27:17] 要往下
[27:17] 就立刻就被打脸
[27:18] 我们在上集
[27:19] 才刚讲完说
[27:20] 很快会被打脸
[27:21] 没有想到打脸这么快
[27:22] 就是一两天就打脸
[27:23] 但是要强调一下
[27:24] 就算一下
[27:24] 所有的基本面都是on track
[27:26] 甚至是有一点忧郁预期
[27:27] 我觉得跑得蛮不错
[27:28] 但是股价很难讲
[27:30] 真的难讲
[27:31] 就是你不知道会不会可能
[27:32] 他还是需要去整理
[27:33] 或者休息一阵子之后才怎么样
[27:34] 所以我们就去规划多重的剧本
[27:36] 像刚才前面聊到
[27:37] 我会规划说一个
[27:38] 假设是区间盘的剧本是怎么样
[27:40] 假设是冲起来的剧本是怎么样
[27:42] 然后去找好
[27:43] 可能相对应
[27:44] 我想要去涉略的标的
[27:46] 然后对照一下
[27:46] 中小跟大型股
[27:48] 到底是哪一个抢
[27:49] 然后选择就把钱往那个方向开
[27:50] 就是还是会有这样的一些规划
[27:52] 那这个东西呢
[27:53] 其实它不完全是跟基本面子有关
[27:55] 因为简单来讲
[27:56] 就像上集QA有一个听众问的
[27:58] 他说为什么他的股票不会涨
[27:59] 我就想跟他讲说
[28:00] 干 现在一堆东西我都觉得该涨
[28:01] 可是他不会涨
[28:02] 他怎么可以修正
[28:03] 修得这么深
[28:03] 你觉得莫名其妙
[28:04] 其实那个成绩都很好
[28:05] 所以对
[28:06] 现在市场就是
[28:07] 大家都觉得自己被冤枉
[28:09] 那到底最后面
[28:10] 市场之神会选哪些东西拉起来
[28:12] 我们没有办法下去做预判
[28:14] 我们只能够就是看到之后呢
[28:16] 赶快加入上车
[28:17] 这是自己的规划
[28:18] 但是我自己觉得
[28:19] 我应该不会加的非常的大力
[28:21] 在过去一阵子
[28:22] 甚至我开始再去把一些那种
[28:23] 还记得我在4月多
[28:25] 在抱怨说券商不给我借钱
[28:27] 可是我过去
[28:27] 我想一想我都要去放假了
[28:29] 我的妈还扛着一些那种借钱的部位
[28:31] 即便那种整体的杠杆比超低
[28:32] 基本上是没有
[28:33] 还是会觉得
[28:34] 那这样子我就会一直看盘
[28:35] 我不想要一直看盘
[28:36] 所以就会打的相对的保守一点
[28:39] 但是我们还是会持续的去关注一些题材
[28:41] 然后希望大家可以在里面打猎顺利
[28:43] 大概这样
[28:43] 接下来我们进入Q的部分
[28:45] 第一位肚子好饱
[28:46] 嗨孟公
[28:46] 关于股价可以分为EPS乘以4PE
[28:50] 但发现各家机构写出的报告
[28:52] PE倍数都是莫名其妙给一个倍数
[28:54] 可以理解机构是为了工作出报告
[28:57] 主要重心会放在股市的撰写跟EPS尽量估得准
[29:00] 可是实际在打股票4PE
[29:02] 孟公你具体会怎么使用呢
[29:04] 给上下缘的倍数
[29:05] 单纯看自己相不相信那个故事吗
[29:07] 还是通常你会怎么用爱宁
[29:09] 然后讲一些关键字
[29:10] 就是你到底buy不buy in这个故事是非常重要的
[29:13] 所以对我们来讲
[29:14] 看报告的一个关键是
[29:16] 首先我要先知道说
[29:18] 大家的模型是怎么样估
[29:19] 再来是我要知道
[29:20] 目前大家的预期是到怎么样
[29:22] 就像说过往一个
[29:23] 我们知道它交易区间是在
[29:25] Forward的可能15到30倍的东西
[29:27] 可是现在报告每个人都给40倍
[29:30] 那你就要去注意
[29:31] 你有没有可能是最后一只老鼠
[29:33] 当然可能鱼尾会超级大
[29:34] 跟黄带鱼一样
[29:35] 这是有机会没看过好几次
[29:37] 但就是要比较小心一点
[29:39] 像这种我们就一定会搭配
[29:40] 技术面的停损跟停利一点
[29:42] 因为如果说实际不对的话
[29:44] 那我们一定要跑第一个
[29:45] 没有办法跑到可能最最领先
[29:47] 也不要跑最后一个
[29:48] 不要说什么锁碟题被关在里面之类
[29:50] 所以我们会去参考一点点
[29:53] 这样的估值的指标
[29:54] 但那确实是不太重要
[29:55] 因为其实你会注意到
[29:57] 绝大多数
[29:58] 当他们在疯狂上修目标价的时候
[30:00] 就是一个股价已经在飙了
[30:01] 然后大家在比CK喊得更高
[30:03] 过去甚至有一些法人单位
[30:05] 他最著名的就是
[30:06] 他们会喊出那种恨天高目标价
[30:08] 然后永远都不会到
[30:09] 可是他就知道怎么样
[30:09] 他要获得一些关注
[30:10] 事实上真的是这样子
[30:12] 就是一个报告要有话题
[30:14] 要有人看
[30:14] 要有人讨论
[30:15] 要有一些客户会喜欢
[30:16] 他需要一些
[30:18] 就是一些可能比较耸动的东西
[30:20] 所以我们不会太在意这个东西
[30:22] 但是会参考
[30:22] 会去看一下大概是怎么样估
[30:24] 那你讲到的才是关键
[30:26] 就是到底这个故事我相不相信
[30:28] 然后再来更棒的是什么
[30:29] 更棒的是我知道的一些讯息
[30:32] 可是我看了这些报告
[30:33] 我发现你们没有人有写到
[30:35] 这个就代表说你有alpha
[30:37] 就这个东西有可能
[30:38] 后面就会造成一些意外的上修
[30:40] 等到大家发现之后
[30:41] 可能少估了两块钱
[30:43] 这两块钱再加上他的倍数
[30:45] 那个就是你纯纯的获利
[30:46] 所以其实我们会去看说
[30:48] 第一个这个故事我相不相信
[30:50] 那再来就是
[30:51] 有没有是你不知道
[30:52] 但是我知道的东西
[30:53] 这个对我们来讲
[30:54] 可能是以现阶段来说
[30:55] 比较重要的东西
[30:57] 那下面一位
[30:57] 来去菜西亚
[30:59] 吃水果豆花
[31:01] 去海角
[31:01] 梦宫大午安
[31:03] 在晚上七八点提供一个战场
[31:05] 真的是太会吸流量了
[31:06] 想跟昨天吃水西瓜的兄弟说一声
[31:09] 不吃沙的不如不要吃
[31:10] 都是兄弟开玩笑的
[31:12] 那不论你吃沙还是吃水的
[31:14] 明天7月23号准时开完红眼路比
[31:17] 非常感谢这个来去菜市场
[31:19] 假水果豆花兄弟
[31:21] 非常感谢你的支持
[31:22] 那对我自己本身在西瓜
[31:24] 那是站在沙沙派这里
[31:26] 那为什么昨天会突然间
[31:27] 在我的限动发一系列的
[31:28] 问大家意见的东西
[31:29] 是因为我自己本身喜欢吃沙沙的西瓜
[31:32] 所以像有一次我老婆买一个西瓜
[31:34] 我说妈怎么这么难吃
[31:35] 她说这个是她已经是买到
[31:37] 就相对比较贵的西瓜了
[31:38] 我说这个超难吃
[31:40] 我小时候吃的都是沙沙的
[31:41] 所以后来我自己的妹妹
[31:43] 听到这件事情之后
[31:44] 她就在回来的路上
[31:45] 就帮我买那种沙沙的西瓜
[31:46] 可是她买沙沙西瓜的时候
[31:48] 老板竟然跟她讲一个
[31:49] 我觉得干超怪的话
[31:50] 老板就说
[31:51] 你知道那个沙沙西瓜
[31:52] 就是已经是熟透
[31:53] 准备要坏掉的
[31:54] 所以一般可能
[31:56] 没有人要买这个吧
[31:57] 你怎么会想要买沙沙的西瓜
[31:59] 所以我妹也觉得很纳闷
[32:01] 因为我们从小就吃沙沙的西瓜
[32:03] 所以我才想问说
[32:04] 到底是沙沙西瓜好
[32:06] 还是水水的西瓜好
[32:07] 因为像我老婆
[32:07] 他是喜欢水水的西瓜
[32:08] 那最后面我们甚至得出一个小结论
[32:11] 因为我妈妈从小是一个
[32:12] 比较那种精打细算的
[32:14] 就是很厉害的那种大妈
[32:15] 她去买菜会有办法抓到
[32:17] 哪个东西便宜
[32:18] 然后就大量扫货之类
[32:19] 所以我妹就给我们一个
[32:20] 比较大胆的猜测
[32:22] 就会不会沙沙西瓜
[32:23] 是比较便宜的东西
[32:25] 因为按照我妈采购逻辑这样
[32:27] 所以我们从小吃习惯了
[32:29] 所以它是我们童年的味道
[32:30] 我们才喜欢
[32:31] 因为像可能在当天
[32:33] 一起吃西瓜的一些人
[32:34] 他们表示他们都
[32:35] 从小都是吃水水的西瓜
[32:36] 所以那可能是一个
[32:37] 味道建立的差异
[32:39] 所以就想说来问看看
[32:40] 大家的意见
[32:41] 然后后来
[32:41] 我记得好像沙沙西瓜
[32:42] 比较多一点吧
[32:43] 那其他东西的话
[32:45] 就比较没有争议
[32:46] 就觉得说薯条
[32:47] 大家都喜欢吃脆脆的
[32:48] 没有人喜欢吃软的
[32:49] 那种少部分反社会
[32:50] 也喜欢吃软的
[32:52] 那水蜜桃
[32:52] 大家喜欢吃软的
[32:54] 那没有人要吃硬的
[32:55] 除了少部分反社会的
[32:56] 还敢蜜我
[32:57] 跟我说什么水蜜桃
[32:58] 一定要吃硬的
[32:59] 一个怪咖
[33:00] 怪咖妹妹
[33:01] 反正总之就是
[33:01] 绝大多数的东西
[33:03] 大家都蛮有共识的
[33:04] 可是呢
[33:04] 这个大家的共识是不一的
[33:06] 所以有些人很喜欢吃沙
[33:07] 有些人吃水
[33:08] 那我喜欢吃沙
[33:08] 下面一位
[33:09] 兰阳地区快乐宝贝一号
[33:11] 梦宫去干安
[33:12] 听到您说陪小孩那一段超有感
[33:14] 深刻感受小孩长大
[33:15] 很多一起的时间
[33:16] 过去就没了
[33:17] 像是四岁的儿子
[33:18] 上礼拜跟我说
[33:19] 你说错了要说晚
[33:20] 不能够说晚完
[33:21] 因为我已经长大了
[33:22] 你不要再用两个字了
[33:23] 那另外一听梦宫说
[33:25] 快乐宝贝都觉得好笑
[33:26] 但听老公说
[33:27] 你是快乐宝贝吗
[33:28] 我却一秒暴怒
[33:29] 吵架的时候说
[33:31] 老婆快乐宝贝
[33:32] 是不是缺乏求生欲的表现
[33:34] 那最后借孟公金口
[33:36] 祝推我听古来的
[33:38] 我们家老公可以顺利
[33:39] 把自己开心的工作
[33:41] 转换成为可以赚钱的工作
[33:43] 我们三个都很爱你
[33:45] 也祝孟公一家平平安安健健康康
[33:47] 适合在最适合的时间点
[33:49] 喜欢女儿
[33:50] 非常感谢
[33:51] 不是啊
[33:52] 你的最后一段
[33:53] 我怎么觉得有一点
[33:54] passive aggressive的感觉
[33:55] 就是你现在一直在凑你老公
[33:57] 说他喜欢做的工作
[33:59] 不太会赚钱
[33:59] 所以希望说
[34:00] 这个工作赶快去赚钱
[34:02] 还是说老公正在经营某一些
[34:04] 他非常有理念的东西
[34:05] 那他也不知道这个东西
[34:07] 可不可以赚钱
[34:07] 那我们希望可以赚钱
[34:08] 我希望是后者
[34:09] 而不是前者
[34:09] 你妈要偷臭他
[34:10] 他叫你快乐宝贝
[34:11] 你妈要臭他
[34:12] 对我们希望老公可以顺利
[34:15] 然后再讲说这个孩子感触的
[34:16] 对后面有蛮多地方
[34:17] 家长浮出来
[34:18] 然后大家都有类似一个感受
[34:20] 其实很多时候
[34:21] 当我知道说我的一些想法
[34:23] 因为平常我没有太多人
[34:24] 可以交流
[34:25] 在节目上跟大家交流
[34:26] 然后大家有一样的一些意见
[34:28] 那个感觉真的是非常好
[34:30] 希望我们都可以好好的把握时间
[34:32] 那下面一位
[34:33] 对不起
[34:38] 不该笑
[34:39] 无论家人怎么劝
[34:41] 贴再多的真实案例给他看
[34:43] 他依然执意汇款
[34:44] 那深信对方会来见面
[34:46] 我们其实已经无奈到想放弃
[34:47] 但最怕的是
[34:48] 我问他如果钱全部被骗光怎么办
[34:51] 他竟然说自我了断
[34:52] 那面对这种讲不听
[34:54] 钱快被骗光
[34:55] 还用生命威胁的举
[34:56] 家人真的很无助
[34:57] 想问这题该怎么解
[34:58] 不是啊
[34:59] 这题我觉得一定是要去找专业人士的帮忙了
[35:01] 这个可能就是要去找地方的里长一起下来聊天
[35:05] 找个什么警察
[35:07] 虽然警察已经很忙了
[35:08] 但我觉得拜托一下
[35:09] 然后再来就是可能找一些那种心理辅导单位
[35:12] 都要一起来问一下
[35:13] 这个已经是有点那种偏差跑调
[35:15] 但是不知道什么某个程度上我可以大概理解他
[35:17] 就如果说我今天去走到某个阶段是
[35:20] 我随便乱举例
[35:21] 我太太也挂掉了或什么的
[35:23] 我也没事做
[35:24] 我也不知道干嘛
[35:25] 我还真的可能就想说
[35:26] 好啊这个诈骗的来
[35:27] 搞不好真的有一个是真爱
[35:29] 好玩啊
[35:29] 我跟你讲话的过程之中
[35:30] 多巴胺分泌
[35:31] 我觉得很爽啊
[35:32] 然后给你骗点钱
[35:33] 我觉得也没差
[35:33] 前辈骗光你问我要怎么样
[35:35] 就干脆去跳一跳
[35:36] 反正我也不知道要干嘛
[35:37] 是有机会会讲出这样子的话
[35:38] 可是一般会讲出这样的话
[35:39] 当时的心理状态
[35:41] 应该已经是一个
[35:42] 就是准备要tip over了吧
[35:44] 他有可能是
[35:45] 第一个
[35:45] 他本来的状态就已经不太好
[35:47] 所以他有一种那种
[35:48] 死了就算人的心情
[35:49] 这个我可以理解
[35:49] 因为以前我也会
[35:50] 有时候会有这样的心情
[35:51] 那第二个是
[35:53] 他可能已经是被骗太多次
[35:54] 骗到自己都觉得没面子
[35:56] 所以他就这样
[35:57] 他投铁我不信
[35:57] 我就要试给你看
[35:58] 我可以试出来
[35:59] 这个我们在一些长辈
[36:00] 或是一些那种
[36:01] 我们科教要讲
[36:01] 很硬紧的人
[36:03] 那种反而就是说
[36:05] 名字是山有虎
[36:06] 偏往虎山行
[36:06] 直到可能被咬掉一条腿
[36:08] 他都还在想说
[36:09] 靠北这个老虎
[36:09] 可能只知道跟我玩
[36:10] 就是有些人
[36:11] 他真的是这样子
[36:12] 像这样子的人的话
[36:13] 我觉得是要去找
[36:14] 专业的治疗
[36:15] 因为这个
[36:16] 像我自己
[36:17] 我觉得我蛮会帮人家出点子
[36:18] 我看过很多事情的人
[36:19] 我都告诉你说
[36:20] 这个应该是无解
[36:21] 这个应该是没有办法解
[36:22] 所以我们也是丢给专业人士
[36:24] 我们也不知道专业人士有没有办法解
[36:25] 如果说没有办法解的话
[36:26] 至少你曾经尝试过
[36:28] 因为这个已经有点那种
[36:29] suicidal的一个心态
[36:31] 他就是死了算了
[36:32] 他就觉得说反正人生是游戏一场
[36:34] 这种真的很难解
[36:35] 下面一位
[36:38] Jay Cole Chen
[36:40] 梦宫是我啦
[36:40] 为梦想而窒息的男人
[36:42] 明天7月23号
[36:43] 做我美丽的空姐老婆
[36:44] Elaine的生日
[36:45] 想请你帮我告诉她
[36:46] 生日快乐
[36:47] 亲爱的老婆
[36:47] 不要再年龄焦虑了
[36:49] 你永远是我心中最美丽高贵的存在
[36:51] 尤其是每当我获利回吐到
[36:53] 软蛋快捏破的时候
[36:54] 我都会想起输了钱又如何
[36:56] 最珍贵的资产永远是我老婆
[36:58] 快吐了
[37:00] 永远爱你
[37:00] 如果说非要在这份爱上加一段话
[37:03] 我希望是
[37:04] 不要在宵夜都老公煮
[37:06] 不要晚快都老公在洗
[37:07] 不要在老公每天快乐两个小时
[37:10] 打捞的时光中疯狂中断我
[37:12] 一下叫我捡狗大便
[37:13] 一下叫我做家事
[37:14] 一下裸体在那边晃来晃去干扰我
[37:16] 那最后不要整天不爽就在打老公
[37:18] 你不是才答应我
[37:20] 不会打我了吗
[37:20] 不准拿打我当抒压
[37:22] 虽然靠北一堆
[37:23] 但他依旧是我最爱的好老婆
[37:25] 生日快乐
[37:25] 白尾到底谁西瓜在吃沙的
[37:27] 那你牛排怎么不吃柴的
[37:29] 你看嘛
[37:30] 我后来发现说
[37:30] 这可能是小时候
[37:31] 口味建立的一个问题
[37:33] 因为像我太太
[37:34] 他们就是吃鸡胸肉
[37:35] 应该说很多欧洲地方的人
[37:36] 你都知道他们是吃鸡胸肉
[37:37] 他们不喜欢吃鸡腿
[37:38] 可是我喜欢吃鸡腿
[37:39] 可是像我爸
[37:40] 他喜欢吃鸡胸肉
[37:41] 那他的理由是什么
[37:41] 他的理由是
[37:42] 以前我阿公阿婆
[37:43] 就给他吃鸡胸肉
[37:44] 所以他从小就觉得
[37:45] 鸡胸肉才是鸡该有的一个口感
[37:47] 类似这样子
[37:48] 那所以我们不知道
[37:49] 这个沙跟水到底怎样
[37:50] 但很有争议
[37:51] 我觉得其实有争议是好的
[37:53] 代表你种出来的两种西瓜
[37:54] 或甚至是因为保存
[37:56] 而产生的问题
[37:57] 像沙沙的西瓜
[37:59] 你知道怎么样吗
[37:59] 沙沙西瓜如果说
[38:00] 它被人家泡在西瓜水里面
[38:01] 泡太久的话
[38:02] 它其实会变水水的
[38:03] 这时候怎么样
[38:04] 这时候拿去给那些
[38:04] 喜欢水水的吃
[38:05] 那前面非常恭喜你们
[38:07] 有一个这个很好的关系
[38:08] 前面讲的时候
[38:09] 我还在那边
[38:09] 好饿
[38:10] 在那邊給我曬很矮
[38:11] 但後面馬上就是各種吐
[38:13] 其中一個我真的要這邊呼籲一下
[38:15] 各位地方老婆
[38:16] 就是打Low的時候不要去中斷勞工拜託這個打Low的時間就很珍貴了就不多了然後再來是怎麼樣你感覺你是消耗一個人的時間不是耶你是消耗九個人的時間耶
[38:26] 因為你老公在那邊雷
[38:28] 在那邊AFK剩下的九個人
[38:30] 對面也沒意思你媽四個隊友
[38:32] 打了也打不贏所以就會變成
[38:34] 就是讓大家變成是浪費時間
