[00:00] 欢迎收听谷外,我是星梦宫
[20:50] 跟记忆体一样缺货的东西
[20:52] 所以这个东西
[20:52] 它随时会有一个断电的危机
[20:54] 那如果说中东这边
[20:55] 没有去做解决的话
[20:57] 如果我们看到旅价创新高的话
[20:59] 那可能大家就会去注意到
[21:01] 一个传导链跑出来
[21:02] 也就是在旅博这边
[21:03] 可能也会出现一些涨价
[21:04] 然后在旅店的相关的被动元件
[21:06] 可能会出现一些涨价
[21:07] 那所以这个是最近
[21:09] 自己有在稍微观测一下的
[21:11] 但最近刚好跟朋友聊了一下之后
[21:13] 就有一点被踩到煞车
[21:15] 因为很多时候我们去做研究
[21:16] 像前面所提到的
[21:17] 你看到一个题材
[21:18] 你觉得很像
[21:18] 因为你是业外人士
[21:20] 所以有时候你会自己去
[21:21] 怎么讲
[21:22] 就自洽自己的逻辑
[21:23] 然后让它变成是
[21:24] 在你的脑袋是合理的
[21:25] 可是可能跟现实之中的应用
[21:27] 是没有切到
[21:28] 或者说其实没有切得这么准
[21:29] 还是要看产业界的一个想法
[21:31] 因为产业界
[21:31] 他们可能会去考量更多的成本
[21:34] 或者说可能在供应
[21:35] 如果说这个东西我就是拿不到
[21:36] 那就算它很好
[21:37] 那我还是不能够用它
[21:38] 所以稍微的问了一下之后
[21:40] 会发现
[21:40] 就我们现在看到很缺的
[21:41] 可能像是弹电或是铝电
[21:43] 相关的被动元件
[21:44] 在后面有机会
[21:45] 在接下来的代数
[21:46] 会有MLCC去取代它的功能
[21:49] 所以像是三星电机
[21:50] 他们有提到说
[21:50] 他们会使用MLCC
[21:52] 拿外加TLVR的电感
[21:54] 可能就可以有效的去取代一些
[21:56] 铝电或是说弹电相关的一个应用
[21:58] 所以在后面可以稍微的注意一下
[22:00] 就是说它不是一个像
[22:01] 可能光通是sky is the limit
[22:03] 大家都可以去做无限的想象
[22:05] 这些东西就是因为很缺的关系
[22:07] 所以他们有开始去做一些
[22:08] alternative的solution
[22:09] 那是如果说往这个方向去走的话
[22:12] 那可能就不会是一个
[22:13] 就是非常恐怖的紧俏
[22:15] 然后跟断货的危险
[22:16] 但至少在短期内
[22:18] 应该是有一个题材的可能性
[22:20] 所以自己的想法是
[22:22] 因为你现在看到这个战争
[22:23] 它开始有一点
[22:25] 怎么说
[22:25] 就按照本来的预期
[22:26] 是它会在短期内去做结束
[22:28] 这也是川普这样跟你讲
[22:29] 或者说可能像2022
[22:30] 普丁也跟你说很快会做结束
[22:32] 然后这边打超级多年
[22:34] 所以会不会后来
[22:35] 过了某一个临界点之后
[22:36] 然后大家发现说
[22:37] 这个东西有可能不会结束的这么快
[22:40] 那这时候你到底该往哪个方向去做锁定呢
[22:43] 那我注意到我身边有蛮多朋友
[22:44] 是跑去买了塑化股
[22:46] 因为他们认为说
[22:46] 塑化股如即是
[22:48] 因为在过去像台湾的塑化股之最
[22:50] 会完全的被中国给虐杀
[22:52] 是因为中国这里呢
[22:54] 他们可以从伊朗这边获得便宜的石油
[22:56] 所以他们竞争力是很强大的
[22:58] 但现在这个石油的价格开始去往上推
[23:00] 那伊朗这边的供货呢
[23:01] 也可能会在后面
[23:03] 如果说美国真的取得一些
[23:04] 阶段性的重要胜利的话呢
[23:06] 中国可能会被锁住
[23:08] 如果中国被锁住的话
[23:09] 台湾的塑化就有可能会是受惠的
[23:11] 所以是这样的一个大框架逻辑之下
[23:13] 我们去做这个布局
[23:14] 只是因为塑化它对我来讲是一个
[23:16] 就离我太远的东西
[23:18] 所以我就没有去看它
[23:19] 但我自己是开始又去往
[23:20] 就是如果说战争持续的更严重的话
[23:23] 这样的一个前提假设
[23:25] 可能可以往那个方向去布局
[23:27] 所以像我的话可能就会想去注意看看
[23:29] 像原物料的上涨
[23:31] 像过去是银
[23:32] 然后现在可能大家开始注意到铝
[23:34] 铝的价格也往上跑
[23:35] 即便可能在中东这边
[23:36] 那两个被炸的厂家
[23:38] 他们其实并不是在AI的supply chain里面
[23:41] 扮演一个非常重要的角色
[23:42] 但是他们可能也会因为说
[23:45] 就是可能在供应的一些卡关
[23:48] 然后变成是情绪
[23:49] 然后情绪可能就会把
[23:50] 整个铝的价格再往上推
[23:52] 那当然铝的价格往上推
[23:53] 到铝箔到后面的应用
[23:55] 都可能会一起往上推
[23:57] 特别是可能在AI的一个高度需求之下
[24:00] 大家就是要去抢这些料
[24:02] 那有可能他们就会推一波涨价的行情出来
[24:04] 所以这个可能是我
[24:06] 我自己某个程度上
[24:07] 就虽然他也是做多了
[24:08] 可是他可能类似
[24:09] 在我心中会放在
[24:10] 有点像是说
[24:11] 去hedge战争风险的一些布局
[24:13] 所以去找一些
[24:15] 可能铝相关的供应链来做
[24:16] 会是我在后面的一些选项
[24:19] 那当然他的一个潜在的利空
[24:21] 就是第一个
[24:22] 就铝的价格
[24:23] 后来就上不去了
[24:24] 就掉下来战争结束
[24:25] 当然这也是好事
[24:26] 就代表说你其他部位就会上去
[24:27] 那第二个呢
[24:29] 就是我们知道说
[24:29] 如果你今天拉到
[24:30] 可能到三年左右的一个
[24:33] 视野来看的话呢
[24:34] 那现在很缺的这些
[24:36] 不管是什么谈电或是旅店
[24:38] 都是有机会会被MLCC
[24:40] 或其他东西给取代
[24:41] 那当然如果在这样的状况之下的话
[24:43] 就代表说它的那个P ratio
[24:45] 可能就是没有办法到很高的一个位置
[24:47] 但是呢它持续的去做增长
[24:49] 或者说带来一些获益
[24:51] 那还是可以的
[24:51] 但你就要去接受说
[24:52] 那个乘数可能没有办法
[24:54] 像台湾的一些股票乘数就是
[24:55] 万年都是在可能三四十倍左右
[24:58] 那它的股票乘数
[24:59] 可能就只能够落在可能二十倍最多
[25:01] 因为那个未来并不是这么明朗的
[25:03] 但至少在短期内
[25:04] 可以看到一个缺货的状态但如果说你把这样的一个逻辑套去前面讲的塑化股其实也是一样的道理就如果说真的所有东西都解决的话那可能这个塑化股也没有办法再继续的走下去
[25:15] 所以它偏向是一个实机财
[25:17] 或是事件财
[25:18] 但是因为我们还是要去找一些标的
[25:20] 做一些备用
[25:21] 虽然台股目前其实并不是特别的需要
[25:23] 因为还是有很多的族群
[25:24] 但如果说后面战争
[25:26] 在往一些更不好的方向
[25:27] 那你又必须要去做多一些东西的话
[25:29] 就手上的不为可能多单太少
[25:30] 那我可能会选择网率
[25:32] 相关的一些标题去观察看看
[25:34] 那一样这些东西呢
[25:36] 都可能会随着局势的改变
[25:38] 会再去做一些变化
[25:39] 或是估值的变化
[25:40] 就会再去做一些调整
[25:42] 所以在每一集呢
[25:43] 会尽量的去跟大家分享一下
[25:45] 可能自己
[25:45] 可能在脑中里面最新的一些想法
[25:47] 所以大概就是这样子
[25:49] 然后其实最近在NVIDIA这边呢
[25:51] 因为他们已经
[25:52] 这个VR的Bomb Cost
[25:54] 然后以及可能这个Bomb表
[25:55] 都已经有跑到市场上面去
[25:57] 所以大家确实也是
[25:58] 往这个方向去看待
[25:59] 像一些被动元件
[26:00] 就直接拉出去
[26:01] 因为大家注意到说
[26:02] 他竟然可以拿下这么多的料
[26:04] 那大家有注意到这件事情
[26:05] 所以开始往这个方向去布局
[26:06] 所以不排除
[26:07] 因为前面我自己也有去做
[26:09] 被动元件的一些布局
[26:10] 那只是那时候去压住的一些涨价的故事
[26:13] 然后最后面这个涨价发生了
[26:15] 可是股价还没有动
[26:16] 所以当时我就继续放弃了
[26:17] 但现在又重新的去关注它
[26:20] 跟注意就是因为看到这个旅店的价格
[26:21] 持续的走上去
[26:23] 那如果说最后面
[26:24] 又再出一些事件的垂化
[26:26] 直接喷出去的话
[26:26] 在需求可能是维持固定
[26:28] 然后跟快速增加的一个状况之下
[26:30] 那就有可能会在
[26:31] 供给店这边会产生一些新的价格变化
[26:33] 这个是我自己会想要稍微的关注一下的
[26:36] 好那这期视频到这里
[26:37] 我们就来进入Q&A部分
[26:38] 第一位大头牛牛
[26:39] 世界最浪漫的事情
[26:40] 孟公大的老公无心好评
[26:42] 原来老头也都有默默的在听古癌
[26:44] 感觉好像这几年
[26:45] 你其实一直都在身边陪伴
[26:46] 这也算是一种另类的浪漫吧
[26:48] 在古癌的podcast一起浪漫
[26:50] 不管以后怎么样
[26:51] 希望老头身体健康
[26:52] 早点退休
[26:52] 爱你爱你爱你哦
[26:53] 讲三次
[26:54] 那我们祝大头牛牛的老头
[26:56] 可以平安健康
[26:58] 早点退休
[26:58] 下面一位
[26:59] 麻眼博士
[27:00] 最近的烦恼
[27:01] 挨大有被取过不喜欢的绰号吗
[27:03] 我因为厚道被朋友叫马人
[27:06] 对不起
[27:07] 跟他们反应不喜欢这样子叫
[27:09] 他们反而更常这样子开玩笑
[27:11] 那请问挨大
[27:12] 如果是你的话
[27:13] 会怎么样让对方闭嘴呢
[27:15] 对不起
[27:15] 前面刚刚不小心笑出来
[27:16] 因为很靠北
[27:18] 就是叫一个厚道的人马人
[27:20] 真的是很靠谣
[27:20] 因为以前都听到叫厚道叫月亮
[27:22] 第一次听到的叫马人
[27:23] 那当然尽量不要去帮人家乱取绰号
[27:25] 那这个就是说在国中
[27:27] 或者说小学阶段
[27:28] 好发
[27:29] 而且是说必然发生
[27:30] 我不知道现在的国中跟小学怎么样
[27:31] 可是我们的国中跟小学的时候
[27:33] 很多人都会被取超难听的一个绰号
[27:36] 像我就是什么小黑鬼爱度
[27:38] 然后一个女生直接被大家叫白带
[27:41] 啥小超难听
[27:42] 就是因为上什么健康教育课
[27:44] 听到什么白带
[27:44] 就叫那个人白带
[27:46] 或者说就叫他什么细胖
[27:47] 大口呆什么的
[27:49] 或者说像前面讲的
[27:50] 你厚道就被叫什么月亮仔
[27:52] 或什么的
[27:52] 第一次听到马脸
[27:53] 但我个人是这样认为
[27:56] 因为我也是曾经会被叫难听绰号的人
[27:58] 那如果遇到对方在叫的时候
[28:00] 其实你不能够有反应
[28:01] 这个很有趣
[28:02] 就是如果说你反应
[28:03] 你想要去抵抗
[28:05] 或是你要去告老师
[28:06] 你要去申诉或什么的
[28:08] 干他们就硬要继续去弄你
[28:10] 是这样子
[28:11] 除非说你可以去用一些
[28:12] 那种超级铁血的方式
[28:13] 就是你直接把这个人除掉之类
[28:15] 搞不好类似说
[28:16] 但我觉得像这种用绰号去歧视
[28:19] 可能没有像性平的威力这么大
[28:21] 因为像现在你可能去讲一些
[28:22] 什么情色笑话
[28:23] 人家直接去报性平
[28:24] 就准备就barbecue
[28:25] 就准备被人家赶走
[28:27] 那这个是很有效的
[28:28] 可是被叫绰号这个
[28:29] 我觉得就是说
[28:30] 在这个社会上的处罚力
[28:32] 倒是比较小一点
[28:33] 所以如果说没有办法
[28:35] 直接把他弄出去的话
[28:36] 他可能好像因为这样子
[28:38] 然后就故意一直去戳你
[28:39] 所以像这样子的讨厌鬼
[28:40] 在外面很多
[28:41] 那怎么样让他们闭嘴呢
[28:43] 其实就是比较屌他
[28:44] 就是跟这个人
[28:44] 就完全不要当朋友了
[28:46] 那最后面你也会
[28:46] 越来越少听到他的声音
[28:48] 我觉得这可能会是一个
[28:49] 比较好的做法
[28:50] 下面也会
[28:50] 哎呦汤包好吃哦
[28:52] 姐姐是阿琴
[28:53] 弟弟是阿轩
[28:54] 梦宫哥早安
[28:55] 前天梦到跟老婆在梦宫家做客聊天
[28:59] 真的是圆梦的感觉
[29:00] 那另外可以分享诺亚戒尿布的过程
[29:02] 或是你和Lisa对戒尿布的想法吗
[29:05] 过号用周杰伦的声音
[29:06] 那让我们欢迎特别来宾
[29:08] 谢梦宫故事的小黄花
[29:11] 冲出神啊
[29:13] 您就飘着
[29:14] 爱你啊爱你
[29:14] 那诺亚的戒尿布
[29:17] 其实还蛮顺利的
[29:18] 就是假如讲说你身为家长
[29:20] 你要可以去接受说
[29:22] 他会尿在裤子上
[29:23] 他会尿在床单上
[29:24] 就铺一个保洁垫或什么的
[29:26] 稍微的让他适应一下
[29:28] 跟他循循善诱之下
[29:30] 我觉得这个其实算是还蛮好解决
[29:32] 他比较难解决的那一段是
[29:34] 我不知道只有我
[29:35] 还是说很多家长都这样
[29:36] 但像我老婆是一个非常伟大的家长
[29:39] 就是她从孩子还很小
[29:41] 她也是第一次当妈
[29:42] 可是她就可以去习惯说
[29:44] 像小朋友吃东西
[29:45] 她都很主张
[29:46] 小朋友你要让他随便乱抓
[29:47] 弄到什么满脸都是满地都是
[29:49] 因为那个可能可以去促进
[29:51] 他神经的发展
[29:52] 会接得比较好
[29:52] 脑袋也会发展得比较好
[29:54] 可是像我的话
[29:55] 如果今天没有我老婆
[29:56] 我就会看到小朋友
[29:57] 你每次吃一餐
[29:58] 你弄得像命案现场
[29:59] 我就直接都会喂你的
[30:01] 那这个可能就不是一个好事情
[30:03] 所以一样的道理
[30:03] 很多家长可能会
[30:04] 类似我的心态
[30:06] 就如果我老婆没有教我的话
[30:07] 我可能也会觉得说
[30:08] 你怎么又尿裤子
[30:09] 我会觉得烦躁
[30:10] 或者说
[30:10] 我可能会
[30:11] 就是可能用一些
[30:13] 你要求成年人的方式
[30:14] 要求说
[30:15] 你会不要再尿裤子了
[30:16] 不然怎么样子
[30:17] 但你忘记说
[30:18] 他就是小朋友
[30:19] 他本身就会犯错
[30:20] 所以如果你可以去接受
[30:21] 他犯错的话
[30:22] 你就直接就
[30:24] 怎么讲
[30:24] 硬着头皮
[30:25] 陪他调下去
[30:26] 有些小朋友
[30:26] 可能会调比较长一点
[30:27] 有些比较短一点
[30:28] 但终究都是会弄好
[30:29] 这不是什么
[30:30] 太空科技
[30:31] 这个东西就类似说
[30:32] 像我的孩子
[30:34] 他是等到
[30:35] 大儿子
[30:35] 他是两岁多
[30:36] 还可以睡过夜
[30:37] 有些小朋友是
[30:38] 可能生出来两个月
[30:39] 就可以睡过夜
[30:39] 所以有些短
[30:40] 有些长
[30:41] 你只要放宽心
[30:42] 然后用平常心去面对
[30:44] 同时在生活之中
[30:45] 去用一些
[30:46] Life hack
[30:47] 就像说
[30:47] 如果今天是直接
[30:49] 渗到床包里面
[30:50] 你一定是非常痛苦
[30:51] 可是如果说你有放保洁垫的话
[30:53] 那你就会知道说
[30:54] 没事我只要去洗上面的东西就好
[30:56] 所以尽量让自己的
[30:58] 生活中的阻力变得小一点
[31:00] 家长比较不会烦躁
[31:01] 我觉得小朋友可能也会改善得比较好
[31:03] 因为小朋友是感受得到你的情绪的
[31:04] 所以这一点可能是还蛮重要
[31:07] 就类似说家里的一些地毯
[31:08] 就先收起来吧
[31:09] 然后或是
[31:10] 有些他会经过的地方
[31:12] 就铺个尿垫吧或什么的
[31:13] 我觉得很快就会去做解决了
[31:15] 下面一位
[31:15] 2345小菜菜
[31:17] 梦宫安安
[31:18] 第一次留言不期待被念到
[31:19] 就当做自爽
[31:21] 那分享最近的流水账
[31:22] 一自从开始给小费之后
[31:24] 感受到心灵快乐富足
[31:26] 二下周生日帮自己预约了橘色虎锅
[31:29] 你说过吃一餐橘色曾经是你的梦想
[31:32] 那现在我要沿着你的路线解锁了
[31:34] 那谢谢孟公带我迈入新的里程碑
[31:36] 三你分享的生活观念常常都说到我心坎
[31:39] 以至于我的朋友都怀疑老公有在收教徒吗
[31:42] 我说没有信教也不是拜佛
[31:44] 但就是爱了爱你一万年
[31:46] 我也爱你
[31:47] 那首先第一个
[31:48] 对我觉得给小费这件事情
[31:50] 是蛮不错的事
[31:51] 就即便可能我到美国
[31:53] 也是有被他们的小费文化吓到
[31:54] 就他会主动给你要求
[31:55] 要叫多少
[31:56] 但我都给超过
[31:57] 但我觉得感觉有差
[31:58] 就是说他们是期待并要求
[32:01] 甚至是要求你就要给他
[32:03] 那可是在台湾
[32:04] 或是说在日本
[32:05] 在其他地方
[32:06] 他们根本不会期待
[32:07] 这样的事情发生
[32:09] 所以当你给他
[32:10] 有时候你看到
[32:10] 他那个惊喜的表情
[32:11] 不然你心里就觉得
[32:13] 就很爽很满足这样
[32:14] 那我觉得这可能是
[32:16] 某种程度上的
[32:17] 做善事的好处吧
[32:18] 就是做善事
[32:19] 当然我们不会想要什么
[32:20] 一定要让大家都知道什么
[32:22] 那没有必要啦
[32:22] 但其实他对自己来说
[32:24] 是很充实的
[32:25] 那个真的自己感受过之后
[32:26] 会理解
[32:26] 就是师比受更有福啦
[32:28] 你可以当给人家的
[32:29] 然后你看到人家的表情
[32:30] 变得不一样或什么的
[32:32] 你就会觉得说
[32:32] 那我就要持续这样子做
[32:34] 因为每个人可能在生活之中
[32:35] 都有比较辛苦的时候
[32:37] 那这个时候
[32:38] 如果有人有注意到你的辛苦
[32:40] 或是他注意到
[32:41] 你即便在很辛苦的状况之下
[32:43] 你还是拿出你的笑脸
[32:44] 去面对一切
[32:45] 别人有发现
[32:46] 你是真的是充满热忱的
[32:49] 在这个世界上去活着的话
[32:50] 那其实自己也是很感动的吧
[32:52] 所以有点那种将心比心的一个味道
[32:54] 所以对各种服务人员
[32:55] 我觉得大家都要好一点
[32:57] 那再讲说橘色
[32:58] 对橘色曾经是我的梦想
[33:00] 稍微的快速recap一下
[33:01] 反正简单讲就是说
[33:02] 我们在大学的时候
[33:03] 那时候有一群学长
[33:05] 跟他们真的很像流星花园
[33:07] 不知道是沙小
[33:08] 就是他们可能在大学的
[33:10] 大二大三就都有车子
[33:12] 然后都是开不错的车子
[33:13] 然后很常就看到他们跑去吃
[33:15] 各式各样的好料
[33:16] 因为那时候脸书才刚红嘛
[33:18] 那所以就会看到他们的各种打卡
[33:20] 那当时就会觉得说
[33:21] 是谁可以去吃这种东西啊
[33:23] 太夸张了吧
[33:24] 这也太贵了吧
[33:25] 就他们怎么可以
[33:26] 每个礼拜都跑去吃之类的
[33:28] 那只是那时候毕业之后
[33:29] 就忘记这件事情
[33:30] 然后后来有一次自己跑去吃之后就
[33:31] 真的是还蛮好吃的
[33:33] 就可以理解为什么他们会一直去吃
[33:34] 但也没有像自己想象的
[33:36] 因为那时候想象说
[33:37] 有一天我赚钱我就要一直吃这个东西
[33:38] 但自己吃完之后就发现
[33:39] 嗯就是这样嘛
[33:40] 那理解了
[33:41] 那也跟过往的自己做一个交代了
[33:43] 就以前都是羡慕别人
[33:44] 那现在基本上他们要的东西
[33:46] 你可能也都有
[33:47] 然后就会明白说
[33:48] 其实生命中的追求呢
[33:50] 物质只是一小部分
[33:51] 但很多时候我们会把物质
[33:52] 当成是一个绝对的指标
[33:54] 那我觉得这个可能是
[33:55] 跟社群媒体发达是有关系
[33:57] 就是你会看到人家
[33:58] 可能今天跑去哪玩
[33:59] 吃什么东西
[34:00] 你就觉得说
[34:01] 我一定也要有这个东西
[34:03] 那可能因为这样子
[34:03] 就会破坏掉你的快乐
[34:05] 所以我觉得其实羡慕
[34:06] 跟嫉妒别人是快乐之贼
[34:09] 就是如果说
[34:10] 你产生这样的情绪的话
[34:11] 不管你现在的东西有多好
[34:14] 就其实严格上来说
[34:14] 一定也有人在羡慕你现在的生活
[34:16] 但只要你开始会对别人的生活
[34:19] 产生羡慕跟嫉妒的时候
[34:20] 你就破坏了自己的游戏体验
[34:22] 所以后来就慢慢的去理解这件事情
[34:25] 所以现在就算我可能看到一些朋友
[34:28] 或者说一些长辈们
[34:30] 然后他们可能在体验某个很屌的东西
[34:32] 我没有体验过的
[34:33] 但我也不会再受到影响
[34:35] 因为第一个是我知道我要做我也可以做
[34:37] 然后第二个是
[34:38] 我知道如果说我今天看了一个东西
[34:40] 然后我一直去羡慕或者去想他的话
[34:42] 我等于是破坏了
[34:43] 我自己内心的平静跟平衡
[34:45] 那所以我认为
[34:47] 去吃那一餐
[34:48] 对我来讲蛮重要的
[34:49] 就是给自己一个交代了
[34:50] 那现在事后回头看也发现
[34:52] 其实很多时候
[34:53] 我们家随便去吃一些
[34:54] 有的没有的东西
[34:55] 那个价格都是远超
[34:56] 就是那个涮涮锅的价格
[34:58] 但你也没有任何的感受
[35:00] 你会知道说
[35:01] 这就是很平常的一餐
[35:02] 所以你可能那时候心中想的是说
[35:04] 他们吃这个
[35:05] 他可能也很有仪式感
[35:06] 或什么的
[35:06] 结果你发现
[35:07] 那只是他的一餐
[35:08] 就他根本也没有去多想
[35:10] 你以为他在炫富
[35:11] 那也不是他在炫富
[35:12] 那只是他的日常
[35:14] 可是你因为别人的日常
[35:16] 然后导致说
[35:16] 今天你可能女朋友
[35:18] 去买一个鸡排饭回来给你吃
[35:19] 你就觉得说
[35:20] 十之无味
[35:21] 因为人家要吃这么好
[35:22] 我怎么吃这种东西
[35:23] 可是最终才发现说
[35:24] 幸福的美好
[35:26] 其实很多时候是在
[35:27] 很单纯的东西里面
[35:29] 但是如果你没有去体验过
[35:32] 那种曾经爬到
[35:33] 可能半山腰
[35:34] 或是山顶的一个过程
[35:35] 你无法懂这件事情
[35:37] 所以为什么
[35:38] 我们可能看一些电影
[35:39] 像是魔戒之类的
[35:41] 你就是要去外面走一圈之后
[35:42] 你才发现说哈比屯是很好的地方
[35:44] 就你的出发点已经很好了
[35:46] 但是你就是不信嘛
[35:47] 你就想去外面探索看看
[35:48] 然后走一圈回来才知道
[35:50] 幸福一直在你身边
[35:51] 听起来很像干话
[35:52] 很像一些什么鸡汤撒小蛋
[35:54] 这我的体验
[35:55] 所以你可以去体验看看
[35:57] 然后最后面
[35:57] 你应该会慢慢的感受到我的感受
[35:59] 就是你会回到最基本的东西
[36:02] 你还是回来打你的电动
[36:03] 你还是回来吃你最喜欢的Uber Eats
[36:05] 但是你是非常心灵充实的
[36:07] 下面为宽油帮同学
[36:09] 下面开始五星播客的技术总结
[36:12] 好久没有看王刚师傅了
[36:14] 他说孟公安好久不见
[36:15] 最近YT看到
[36:17] 是怎么念
[36:18] Engine de Poitrine
[36:21] 这应该不是英文吧
[36:22] 法文是不是
[36:23] 的表演整个人屌蕊
[36:25] 一个超酷的双人乐团
[36:27] 采访部说人类的语言一直诡教
[36:29] 那如果MAMMAX的火焰吉他手
[36:31] 在现实世界玩团
[36:32] 应该就是长这样
[36:33] 强烈推荐
[36:34] 那最后祝孟公一家和各位听众
[36:37] 都能够为了喜爱的事物健康的活下去
[36:40] 爱您
[36:40] 非常感谢宽油帮同学的祝福
[36:42] 下面一位
[36:43] 这期节目就是
[36:44] 古埃认证的边缘人
[36:46] 五星吹吹留言测试XIX
[36:48] 感谢MK一路陪伴分享
[36:50] 小的近期迎来史上最大的认赔
[36:52] 其实就是十几万台币
[36:54] 对各位猛男来讲就是一根鼻毛
[36:56] 但对小资如我
[36:57] 已经是当初购入这档股市的资产总额的10%
[37:01] 报了一年多
[37:01] 低于成本
[37:03] 上上下下始终是没有放弃
[37:06] 那最近跌破成本60%
[37:08] 终于决定要停损
[37:10] 那除了亏损心情也复杂
[37:12] 不是要来要安慰的
[37:14] 只想听听海大提点这种状况
[37:16] 我应该从中思考哪些问题
[37:18] 从中学到什么感恩爱您
[37:20] 那挂号以下MK自己决定要不要念出来
[37:22] 他说他的标题是8069元泰
[37:25] 那提供标题是希望我可以更具体的提供见解跟建议
[37:29] 谢谢
[37:29] 那首先我觉得投资有一件事情
[37:31] 大家一定要明白
[37:33] 就是没有人知道你买进的理由到底是什么
[37:35] 所以其实理论上每一笔买进
[37:38] 你都要去对自己负责所以你很常会看到人家跑出来东骂西骂骂说这个是哪一个什么节目出后台跟他介绍然后这个是什么在哪里看到谁讲什么你看到这个
[37:50] 你就基本上直接把它盖上韭菜印章
[37:52] 会这样讲话
[37:53] 10个有9.9个都是韭菜
[37:54] 剩下0.1个不知道
[37:56] 不知道是啥小
[37:57] 所以总之就是
[37:58] 只有你自己知道
[37:59] 为什么你要买这个东西
[38:00] 那如果你要
[38:01] 我用我的角度去解释的话
[38:03] 你大概去听我节目就知道说
[38:05] 我们大概已经
[38:05] 就是几万年没有去讲电子纸
[38:07] 所以你问我觉得很怪
[38:08] 因为我怎么知道你买的东西
[38:09] 我过去可能会聊到
[38:11] 电子纸的时候是怎样
[38:12] 是我可能注意到
[38:12] 像Inpig表现很好
[38:13] 或说台湾有一些新贵股
[38:15] 他可能是做电子纸
[38:16] 电子标签的
[38:17] 或是我知道Amazon那时候
[38:18] 有去下了大量的一个订单
[38:20] 或是像是可能
[38:21] 美国的这些巨型的量贩
[38:23] 开始要去做RFID标签
[38:25] 一般我们就会在市场里面
[38:27] 会去找一些线索
[38:28] 当我注意到线索之后
[38:29] 我可能就会去
[38:30] 全面往这个方向去看
[38:31] 只是我不知道说
[38:32] 你买进的理由是什么
[38:33] 如果说你跟我一样
[38:34] 是题材型的买进者的话
[38:36] 那你现在买这个超怪
[38:36] 因为我并没有在市场上看到任何
[38:39] 与这相关的催化或是题材
[38:41] 懂我意思吗
[38:42] 就类似说我前面在讲CPU
[38:44] 那我也是看到有东西
[38:45] 我才去做买进
[38:46] 所以我们不去做什么太多的预判
[38:47] 但如果说你不是题材型的买进者
[38:50] 你是去买公司的
[38:51] 你可能觉得他的营收获利的数字不错
[38:54] 或什么的
[38:55] 那你又何必来问我呢
[38:56] 因为你觉得好的话
[38:57] 那是不是理论上你买这个位置
[38:59] 你觉得是便宜
[39:00] 那现在更便宜了
[39:01] 为什么你不买
[39:02] 是什么东西决定了
[39:03] 你现在不要再买了
[39:05] 是纯粹价格的变化
[39:06] 那这边就可以去引用一下
[39:08] 像是查理蒙格跟巴菲特都很常讲的
[39:10] 他们讲虽然我觉得
[39:11] 以我们这种多头的时代来说
[39:14] 听起来很奇怪
[39:15] 他讲说如果你买一个标的
[39:17] 你无法接受说
[39:17] 什么在你的生涯之内
[39:19] 可能会跌到50%
[39:20] 两到三次的话
[39:21] 你就根本不应该买这个标的
[39:22] 其实他们要传导的一个概念就是说
[39:24] 你要知道你自己买的东西是什么
[39:26] 理论上更便宜的
[39:27] 你应该要买更多
[39:28] 因为他们的观念就是价值投资
[39:29] 所以我不知道你的观念是什么
[39:31] 你的观念如果是题材的话
[39:33] 就比较拐
[39:33] 因为现在其实没有什么电子纸的题材
[39:35] 那如果你的观念是价值投资的话
[39:37] 那现在便宜了
[39:38] 你为什么不买
[39:38] 那如果说你的观念是动能的话
[39:40] 那其实理论上你不会等它
[39:42] 已经回这么多
[39:43] 你才想要停损
[39:43] 所以没有人知道你到底为什么买
[39:45] 所以很多时候
[39:46] 为什么人家来问我
[39:47] 我会比较喜欢产业的讨论是
[39:48] 产业的讨论
[39:50] 还有可能有一个结论
[39:51] 至少说
[39:52] 到底某一个科技
[39:53] 在这一代产品会不会用
[39:54] 这个是yes or no的一个东西
[39:56] 那可是你跟我讲说
[39:58] 你这个标题为什么可以买
[39:59] 或是为什么不能买
[40:00] 我买的东西你不一定会喜欢
[40:02] 或是你买的东西
[40:03] 我不一定会喜欢
[40:04] 那我们就很难有交集
[40:05] 所以你真的是问身体健康的
[40:06] 这是为什么有时候
[40:07] 去讨论一些标的
[40:09] 我觉得没有讨论的
[40:10] 必要的主因在这边
[40:11] 因为我不知道
[40:11] 你买进的理由是什么
[40:12] 但我相信我这样跟你讲完之后
[40:14] 你到底是动能的理由
[40:15] 还是价值的理由
[40:16] 还是题材的理由
[40:18] 理论上你就会找到
[40:19] 自己的一个答案
[40:20] 你要自己去探索
[40:21] 而不是去问别人
[40:22] 下面一位
[40:22] 科技业背锅仔阿全
[40:24] 拜托念到我
[40:25] 好运一直来
[40:26] 大宁好小弟
[40:27] 在工作跟老板相处不太顺利
[40:29] 由于明年房子即将交屋
[40:31] 怕换工作会影响到贷款的条件
[40:33] 那前面来到小弟应该要怎么样调试
[40:35] 心情可以继续待下去
[40:36] 那前来到祝我和好友大宝阿忠工作顺利
[40:41] 早日实现买房买车的梦想
[40:42] 那明年顺利交屋小弟会捐出三分之一的月薪
[40:46] 谢谢来到爱宁
[40:47] 首先先讲一件事情
[40:48] 就是我相信对于绝大多数人来说
[40:51] 至少以我自己来讲
[40:52] 我觉得工作本身就是为了换钱
[40:55] 应该没有人是因为说
