[00:00] 歡迎收聽古埃,我是聖夢宮,本期節目由Backbone贊助
[19:06] 為什麼
[19:07] 因為如果說每次我去問你一個問題
[19:09] 你都要從頭到尾的
[19:10] 把我的一些需求
[19:12] 或者說我的一些特性
[19:13] 什麼都要再跑一次的話
[19:14] 那它其實要產生的Token的數量
[19:17] 會是非常多的
[19:18] 它要去佔用的算力
[19:19] 或者說更現實的
[19:21] 就是它要去使用的電力是很多的
[19:22] 那如果說我可以開始
[19:24] 把一些東西記錄進去
[19:26] 你可以把它想象成說
[19:27] 就是AI它自己有一個小本本
[19:28] 那它本來可能只有一張小便條紙
[19:31] 就是這些寸土寸金的記憶體
[19:33] 那現在如果說
[19:33] 可以變成是一個小本本的話
[19:35] 它有一本字典
[19:36] 它已經知道說
[19:37] 你們可能會問哪些問題
[19:38] 使用者可能有哪些分類
[19:41] 或者說那種非常刁鑽的使用者
[19:43] 他有哪一些前提的假設
[19:44] 或什麼的
[19:44] 他可以把它放在
[19:46] 他的這個DPU Storage裡面的話
[19:47] 那就可以變成是說
[19:49] 這個未來AI自己有一個
[19:51] 甚至可以講說大本本
[19:52] 他已經知道說你在講什麼
[19:54] 他更加的準確
[19:55] 然後外加呢
[19:56] 因為在他的
[19:57] 這個GPU Direct Storage的
[19:59] 一個架構之下
[20:00] 所以他的速度也不會比
[20:02] 就是大家可能把他想到說
[20:03] 一些資料
[20:03] 如果說你放進去
[20:04] storage server的話
[20:05] 它來回要花很多時間
[20:06] 沒有它還是會比較快
[20:07] 所以它算是蠻完美的去解決了
[20:10] 大家目前所看到一些痛點
[20:12] 但因為我自己本身
[20:13] 並不是那種技術的內行人
[20:16] 就是我都只是大概
[20:17] 像一些聽眾朋友所提到的
[20:18] 你可能跟那個PM的水準
[20:20] 感覺還比我們家PM的水準高
[20:22] 就對我大概知道這些東西
[20:23] 可是我要去跟工程師比的話
[20:24] 差非常多
[20:25] 所以我講的東西
[20:26] 可能有些工程師會覺得說
[20:27] 不太可能吧
[20:28] 技術上什麼什麼的
[20:28] 因為我跟一些身邊的工程師討論
[20:30] 他們就這樣講
[20:30] 可是反正我們的工作
[20:32] 就是去處理這些題材
[20:33] 然後去做投資
[20:34] 所以在我非常直覺
[20:36] 吸反射的一個角度看來
[20:37] 就是我也想知道說
[20:38] 所以你像這個TPU的storage server
[20:41] 你要用到的SSD
[20:42] 或是裡面相關的components
[20:43] 它會不會是需要NVIDIA certify
[20:45] 就如果說它是需要NVIDIA認證的話
[20:47] 那它可能就會變成像是HBM這樣子
[20:50] 也就是說
[20:51] 不知道就HBM它可能本身是一個
[20:53] 假設我們去想說
[20:54] 它就是一個儲存的東西
[20:55] 它本來是中性的
[20:56] 可是如果你今天透過我的驗證
[20:58] 你要達到我的一些水準跟要求
[21:00] 然後我才要把我的TPU架在上面的話
[21:02] 那這些東西就會有誰先誰後的問題
[21:05] 先進來先拿到quad的人
[21:07] 那可能就是會有一波漲幅的機會
[21:09] 那誰是後進來的
[21:11] 可能那個漲幅就會少一點
[21:12] 那就是說我們前面在看HPN3
[21:14] 3E的時候
[21:15] 大家都還去比拼說
[21:16] 這一代到底是什麼三星
[21:18] 還是海力士還是什麼最快
[21:19] 但我們最後發現說就海力士是最強
[21:21] 可是我意思是說
[21:21] 搞不好會有一樣的劇本產生
[21:23] 這個就是說如果他需要去quad的話
[21:25] 那如果說他不需要去quad
[21:27] 他只需要說
[21:27] 你可能不知道
[21:28] 就是每個廠商
[21:29] 你們所做出來的
[21:30] Storage Server
[21:31] 你只需要去採購
[21:32] NVIDIA的DPU
[21:33] 掛在上面的話
[21:34] 那你買硬體
[21:35] 我可能把軟體一起送你
[21:36] 這樣
[21:36] 那我就可以去做整合的話
[21:38] 那就不會有這一段機會
[21:40] 可是呢
[21:40] 我覺得對於整體SSD的用量
[21:42] 不管是前者還是後者
[21:43] 前者的話
[21:44] 就是有特定的SSD廠商
[21:45] 他們就會有很大的受惠
[21:47] 那後者的話
[21:48] 就是說全體的SSD廠商
[21:49] 他們就從本來的
[21:50] 大家想象說
[21:51] 這個東西只能夠冷儲存
[21:52] 然後現在變成說
[21:53] 它不只是冷儲存
[21:54] 它還可以做到
[21:55] 可能就是那種
[21:56] 也不敢說它是熱儲存
[21:58] 因為不會說什麼
[21:58] 每個東西都要跑進去那裡面
[22:00] 可是就是半熱之類的
[22:01] 準熱儲存
[22:02] 它也會有很多的機會產生
[22:04] 所以其實看到這個
[22:05] 是覺得還蠻嗨的
[22:06] 就是說老王這個非常厲害
[22:08] 從前面CPX給我們一個驚喜
[22:11] 我覺得大家還在那邊開始講說
[22:12] prefill這裡有一些問題
[22:13] 有一些障礙
[22:14] 上下文太多要讀了
[22:15] 他直接搞一個CPX給你
[22:17] 然後接著大家說DECO這邊
[22:19] 可能寫入的不夠快
[22:19] 然後他去搞了一個
[22:20] 跟Grok搞不好
[22:22] 未來在SRAM的一個合作
[22:23] 我有解決你的問題
[22:24] 然後現在大家覺得
[22:25] context太多
[22:26] 應該會有斷片或什麼
[22:27] 有的沒有的
[22:27] 要告訴你說
[22:28] 我家有一個ICMS的解放
[22:30] 所以真的是非常非常猛
[22:32] 非常非常的厲害
[22:33] 那這時候你就可以去回顧一下
[22:35] 那時候很多人講說
[22:35] 一些ASIC廠商
[22:37] 不然像什麼TPU的出現
[22:38] 他就要把老黃擊敗
[22:39] 你就會發現說
[22:40] 事情沒有這麼單純
[22:41] 真的沒有這麼單純
[22:42] 他們還是有很多的東西
[22:44] 鴨子滑水你不知道
[22:45] 然後真的是等到
[22:46] 大家遇到問題的時候
[22:47] 然後他突然間斷一個解放出來
[22:49] 你知道那個解放
[22:49] 他絕對不是說什麼
[22:50] 他看到這個問題
[22:51] 然後兩天開會就可以出來
[22:52] 那一定就是鴨子滑水很久
[22:54] 甚至是很多人
[22:55] 我自己也是下臺發現說
[22:56] 原來這個Bluefield這麼屌
[22:58] 因為之前大家其實都沒有什麼
[22:59] 在討論這個Bluefield TPU
[23:01] 就只是說
[23:02] 可能會寫到這件事情
[23:03] 可是沒有人去深度討論它
[23:05] 可是我覺得就是從現在開始
[23:07] Bluefield TPU應該會是一個
[23:09] 蠻多人會討論的一個重點
[23:11] 就它到底要怎麼樣去
[23:12] 支應這些Storage Server
[23:14] 然後去跟它的Compute
[23:16] 跟它的Switch去做一個結合
[23:17] 那怎麼樣去解決
[23:18] 現在大家的一個痛點
[23:20] AI的斷片
[23:20] 或者說超長的上下文
[23:22] 所耗損的一些算力
[23:23] 那些算力蠻多是白花的
[23:25] 這些東西如果可以解決的話
[23:27] 你就想站在資料中心的角度是
[23:29] 我可能因為這樣子
[23:30] 我又要省下更多錢了
[23:31] 所以老黃真的沒有騙你
[23:32] 就是買越多省越多
[23:33] 然後買越新的東西
[23:34] 你可能還會意外的又再省更多
[23:36] 所以雖然聽起來
[23:37] 在這一集
[23:38] 我可能分享的東西
[23:38] 像說我是老黃的一個業務
[23:41] 在幫他做宣傳
[23:41] 可是就真的覺得蠻厲害的
[23:43] 就是你會突然間那種
[23:45] 靈光乍現的感覺
[23:46] 就是當他推出這個東西
[23:47] 然後一開始大家可能就是看過去
[23:48] OK好他又有新東西
[23:50] 可是突然一想就發現說
[23:51] 哇靠這東西厲害
[23:53] 原來你們早就已經準備好
[23:54] 只是你們現在才把它端出來
[23:55] 大概是這樣的一個情形
[23:56] 所以稍微的跟大家分享一下
[23:58] 就是我認為說
[23:59] 當然可能在過去的半年
[24:01] 我們已經花了很多時間在講
[24:02] 什麼記憶體
[24:03] memory
[24:03] server
[24:04] storage什麼的
[24:05] 可是現在又一直有新的東西出來了
[24:07] 所以我不知道
[24:08] 這一波記憶體狂潮
[24:09] 我自己也覺得非常扯
[24:10] 只是在我自己的角度看來
[24:11] 就是這些東西
[24:12] 雖然也是跟記憶體是高度相關的
[24:15] 可是其實
[24:15] 假設我現在去重新介入的話
[24:17] 我就不會把它視為是某種
[24:18] 就是可能大家現在所看到的NAND
[24:20] 或是DRAND漲價題材來看待
[24:22] 而是把它視為說
[24:23] 就是可能KVCASH下放的一個新的題材
[24:26] 那像我自己好在有一個特性
[24:28] 就是我不太怕高
[24:29] 有些可能看起來很高的東西
[24:31] 那過去是漲A題材
[24:32] 那現在可能是B題材
[24:33] 那是不一樣的東西
[24:34] 所以可能還是會持續的去往
[24:35] 這個方向去做研究
[24:37] 那接著我找一些機會的話
[24:39] 也會試著去介入一下
[24:40] 所以大概的跟大家分享一下
[24:42] 就是因為我們從一個
[24:44] 怎麼講
[24:45] 就大家去參訪所拍到的照片裡面
[24:47] 然後本來大家只是很嗨說
[24:49] 那個上面怎麼會有全聯的controller
[24:51] 然後到去挖
[24:52] 然後知道說這個東西它不是一般的TLC它是sudo的SLC然後去理解為什麼他要用sudo的SLC為什麼要要犧牲三分之二的容量因為它要快速存取當你瞭解到它要快速存取它要有耐用性之後
[25:05] 你就可以理解到
[25:06] 它ICMS可能要搞的東西
[25:08] 跟這個是有關聯的
[25:10] 所以一切就這樣子
[25:11] 把它連在一起
[25:12] 當然可能在裡面
[25:13] 會有一些錯誤的東西
[25:15] 但我覺得市場就是這樣
[25:16] 不然說像我們前幾集
[25:18] 在跟大家去做一個
[25:19] 所謂的大膽的猜想
[25:20] 去猜想說
[25:21] 接下來大家會去找那些
[25:22] 可以打破記憶體牆的東西
[25:23] 然後最後面就發生了
[25:25] 因為其實我們
[25:26] 雖然可能在這種
[25:27] 非常工程方面的東西
[25:29] 那絕對是會輸那些工程師
[25:30] 那是他們的專業
[25:31] 可是在這種聯想方面
[25:32] 可能還是有一點修煉的
[25:35] 所以稍微跟大家分享
[25:36] 他自己的一個簡單的猜想
[25:38] 那也希望對大家有所幫助
[25:39] 好那接下來我們來進入Q的部分
[25:41] 第一位三峽二寶爸
[25:42] 感謝孟公大推薦活俠傳
[25:44] 今天早上送兒子去拖音中心
[25:46] 他的學校在XX國小裡面
[25:48] 每天早上國小都會放廣播音樂
[25:50] 大部分都是古典樂
[25:52] 或是一些鋼琴樂
[25:53] 那今天早上竟然是在放活俠傳的音樂
[25:55] 這種中國古風的音樂
[25:57] 放在國小裡也很合適
[25:58] 聽了覺得好開心
[25:59] 那是星期一上班前的小確幸
[26:02] 剛玩這款一開始以為是劇情在鬧
[26:04] 結果越玩越有深度
[26:06] 還玩到熱淚盈眶
[26:07] 那真的是一款很棒的遊戲
[26:09] 感謝主委大大的推薦
[26:10] 對活俠傳真的是一款超棒的遊戲
[26:12] 也是我心中的一個夢幻遊戲
[26:15] 那非常感謝大家都支援他
[26:16] 身體健康才是好
[26:19] 願一切都好
[26:20] 前幾集聽到某位聽眾
[26:21] 在感情中的痛苦
[26:23] 想對你說
[26:23] 沒有任何人事物
[26:25] 能夠讓你
[26:26] 沒有重要到
[26:27] 會讓你失去自己
[26:28] 我曾經也因為
[26:29] 在一起17年的
[26:31] 另外一半
[26:31] 在我備孕的期間
[26:32] 發現出軌
[26:33] 當時想不開不離開
[26:35] 拖了快要一年
[26:37] 生了一場大病之後
[26:38] 才果斷的離開
[26:39] 遠離讓你痛苦的人
[26:41] 和環境是很好的方法
[26:42] 願寧願每一個人都安好
[26:44] 那也祝夢多大一家
[26:46] 平安健康
[26:46] 謝謝您陪我度過
[26:47] 那段低潮時刻
[26:49] 感謝
[26:49] 我真的非常感謝
[26:50] 就是每次當我們的聽眾
[26:52] 有一些狀況
[26:53] 有一些分享
[26:54] 然後接著就會有其他聽眾
[26:56] 然後一起來
[26:57] 你可以講是取暖
[26:58] 或者說集思廣益都很好
[27:00] 我就是蠻喜歡這樣的一個節奏
[27:02] 非常感謝大家都一直互相的扶持
[27:04] 上集有一個爸爸提到說
[27:06] 他的小朋友檢查有某個問題的
[27:08] 那也有聽眾在YT這邊講說
[27:10] 這個是很建議要去做羊膜穿刺
[27:13] 他是講這樣的一個說法
[27:14] 那當然還是以你的醫師為主
[27:16] 這意思是說
[27:17] 可能是他有遇過類似的事情
[27:18] 然後他去做了這個東西
[27:20] 然後可能才發現說是怎麼樣之類的
[27:22] 所以可能可以跟醫師討論看看
[27:24] 那我意思是說
[27:25] 就像之前我的安哥
[27:26] 可能有些狀況的時候
[27:27] 也就很多聽眾給我feedback
[27:28] 雖然可能90%都是很恐怖的東西
[27:30] 可是就是因為他們提了這些
[27:32] 夠恐怖的東西
[27:33] 然後我們接著去一一的把它化解掉
[27:35] 我自己的心才是放得下來
[27:37] 所以都非常感謝大家的各種feedback
[27:40] 大家都可以參考看看
[27:40] 那希望大家都平安健康
[27:41] 下面一位
[27:42] HCYY前前
[27:44] 包賠的夠很多
[27:46] 包賠的夠很多
[27:48] 包
[27:48] 靠北
[27:49] 安安 挨大 淡淡大
[27:51] 小弟會計系大三
[27:52] 還在找尋未來的出路
[27:53] 自己對金融比較有興趣
[27:54] 嚮往產業分析師
[27:56] 或者是證券研究員的方向走
[27:57] 所以在寒暑假期間
[27:59] 我嘗試做了第一份研究報告
[28:01] 想請挨大認為
[28:02] 一個完整的研究報告
[28:03] 哪些資訊最重要
[28:05] 以記憶體產業為例
[28:06] 另外祝挨大全家身體健康
[28:08] 天天開心
[28:09] 安哥諾亞平安長大
[28:11] 世事順心
[28:11] 非常感謝這位兄弟的祝福
[28:13] 以我的角度來講
[28:15] 對他非常聰明
[28:16] 他還先講說要以記憶體舉例
[28:18] 因為其實每個東西
[28:19] 你問我都會給你不一樣的答案
[28:21] 就像說你今天說
[28:22] 電動輔助車
[28:23] 這個報告我要怎麼樣
[28:25] 才會覺得它是好報告
[28:26] 我覺得你只要跟我說明說
[28:28] 什麼是電動輔助車
[28:29] 它用在哪
[28:29] 它的市佔怎麼樣
[28:30] 那它的價格變化是怎麼樣
[28:32] 它的供應鏈環節
[28:33] 我會覺得很好
[28:33] 可是呢
[28:33] 如果你今天是跟我講記憶體產業
[28:35] 那你跟我講說
[28:36] 什麼記憶體的市佔怎麼樣
[28:38] 或者說什麼價格變化怎麼樣
[28:39] 或什麼
[28:40] 這個對我來講一點都不重要
[28:41] 為什麼
[28:41] 因為我們自己都掌握到了
[28:42] 所以確實會因為說
[28:44] 你對這個產業的涉入的深於否
[28:47] 而決定了你想要看到什麼樣的東西
[28:48] 那所以對我來講呢
[28:50] 像剛剛前面所隨便舉例的
[28:52] 什麼電輔車
[28:53] 你可能就要給我一些財務的資訊
[28:54] 那可是在記憶體的話
[28:56] 我覺得你給我財務資訊
[28:57] 我反而還想跟你講說
[28:58] 你怎麼估這個數字
[28:59] 就你怎麼會估這麼高
[29:01] 或這麼低之類的
[29:01] 那你給我這個數字的意義就不大
[29:03] 我反而需要的是什麼
[29:04] 就是你去跟我分析說
[29:06] 可能在接下來
[29:07] 像NVIDIA現在推了這個ICMS
[29:09] 我覺得它就是一個非常好的時機點
[29:11] 因為NVIDIA
[29:12] 它自己要去搞
[29:13] 這個Storage Server
[29:14] 那請問這個
[29:15] 對記憶體產業的影響
[29:16] 是什麼
[29:17] 你可以寫出來給我
[29:18] 我就會覺得你非常厲害
[29:19] 然後或者是說
[29:20] 你可以告訴我說
[29:22] 目前可能
[29:22] 因為我們知道說
[29:23] D5的價格
[29:24] 在一些時間點上
[29:26] 它比D4還便宜
[29:27] 所以勢必是有很多廠商
[29:29] 會怎麼樣
[29:29] 它本來做D4的
[29:30] 就像說我的筆電
[29:32] 是用D4的
[29:32] 我現在都發現說
[29:33] D4的價格比較貴
[29:34] 那我直接趁現在
[29:35] 規格提升
[29:35] 我就重新設計
[29:36] 那請問一下
[29:37] 這些Redesign
[29:38] 從D4變D5
[29:39] 哪些Components
[29:40] 只會用到很多
[29:41] 那這個可能就是
[29:42] 我會想知道的東西
[29:43] 就是說一些
[29:44] 怎麼講
[29:45] 因為我們對報價
[29:46] 是非常熟悉
[29:46] 那我們也知道說
[29:47] 漲幅
[29:48] 你們知道EPS的
[29:49] 孤法或什麼的
[29:50] 我們對於這些公司的環節
[29:51] 魔術廠是幹嘛
[29:53] 顆粒廠是幹嘛
[29:53] 都已經太熟了
[29:54] 所以我不會想知道這個
[29:55] 我只想知道
[29:56] 我不知道的東西
[29:57] 所以我只能夠說
[29:58] 報告沒有那一種
[29:59] 可以通吃的
[30:00] 但絕大多數人
[30:01] 他們需要的
[30:02] 只是一份通事報告
[30:03] 你可以跟我介紹說
[30:04] 每家廠商在幹嘛
[30:05] 然後你就會發現說
[30:06] 有些這種文章
[30:07] 在網路上超多人分享
[30:08] 大家說有料有料
[30:09] 可是在一些
[30:10] 大部分不知道是雞蛋挑骨頭
[30:11] 可是就對於我們一些
[30:12] 可能已經挖很深的人
[30:14] 我們就覺得說
[30:14] 這有什麼好看的
[30:15] 就是你看這個
[30:16] 對你是一點幫助都沒有的
[30:17] 你也不會因為這個
[30:18] 你就幫他交易賺到錢
[30:19] 那我就會想要更深入的東西
[30:21] 所以以記憶體的話
[30:23] 就是你可以在第一時間
[30:24] 現在其實已經有廠商
[30:25] 在做這樣的事情
[30:26] 我覺得蠻厲害
[30:27] 他們真的是敏感度非常高
[30:28] 你去找到一下最新的
[30:30] 某些應用
[30:32] 然後你告訴我說
[30:32] 它對於既有的產業的影響了什麼
[30:34] 那這個報告就會非常的值錢
[30:36] 所以覺得你說
[30:37] 你突然間寫一份這樣的報告
[30:39] 然後你丟到我的信箱
[30:40] 我看到
[30:40] 我還直接幫你內推
[30:41] 我還幫你內推給我的
[30:43] 一些那種在找研究員的朋友
[30:46] 說這個傢伙非常有料之類的
[30:48] 就是有時候你看到一些那種
[30:49] 令你非常印象深刻的東西
[30:51] 真的發生過幾次
[30:52] 我們有一些聽眾
[30:53] 是自己來跟我互動之後
[30:54] 然後後來被我推到
[30:55] 某些人的交易室裡面
[30:56] 去做交易之類的
[30:57] 因為你就覺得這個人不一樣
[30:59] 可是問題就是說
[31:00] 因為我都是單打獨鬥
[31:00] 所以我不需要你們來幫我工作
[31:02] 因為很多是寫信說
[31:03] 我想要幫你工作
[31:03] 可是我不需要你幫我工作
[31:04] 所以你就去
[31:05] 我朋友在找人
[31:06] 他有在需要心血
[31:08] 那你就過去
[31:09] 那就因為這樣找一些機會
[31:10] 所以你要做出
[31:10] 跟別人不一樣的地方
[31:11] 這個我覺得非常重要
[31:13] 但一樣是看你是什麼環節
[31:14] 就如果說你是一般的
[31:15] 消賽分析師
[31:16] 你也不打算
[31:17] 就是讓自己的生活太累的話
[31:19] 你做一個很棒的通識報告
[31:21] 可能大家就很喜歡了
[31:22] 可是如果說
[31:23] 你要去引起一些
[31:24] 比較特別的人的注意的話
[31:25] 那就寫一些特別的東西
[31:26] 我下面一位
[31:26] LM Hermes
[31:28] 古愛謝孟公
[31:29] 同為二寶爸的
[31:30] 我很喜歡你的節目
[31:31] 言論從心所欲
[31:32] 拿捏得當
[31:33] 不逾矩
[31:33] 跟酸民對賭的時候
[31:34] 也常用兩顆蛋蛋
[31:36] 當幸運金幣
[31:37] 也是投一人
[31:38] 那可以問一下
[31:38] 人生過程中
[31:39] 做對選擇時
[31:41] 是一種直覺
[31:41] 還是有什麼牽引著你嗎
[31:43] 能夠培養的嗎
[31:44] 那最後能夠用拉伸中
[31:45] 酸爽帶痛咬下嘴唇
[31:48] 我聽起來淫蕩的感覺
[31:49] The聲音柱
[31:50] 1月7號的
[31:51] 我生日快樂
[31:52] 愛您
[31:53] 好那非常感謝
[31:54] 這位兄弟的支援
[31:55] 那老實講
[31:55] 並不是說我的言論不逾矩
[31:57] 就是因為我的言論
[31:58] 逾矩過很多次
[31:59] 那我知道說
[32:00] 我講某些東西會出事情
[32:02] 就像說前面去跟大家講
[32:04] 我對黃牛的一些看法就有出事情
[32:06] 就被臭罵一頓
[32:07] 即便我還是得強調
[32:08] 我身邊跟我差不多思維的人
[32:11] 我覺得生活也過得蠻不錯的人
[32:13] 他們都完全認同我的說法
[32:15] 可是你知道這個說法
[32:16] 出了我的同溫層之後
[32:17] 竟然很多人是不認同的
[32:18] 所以代表說你知道
[32:19] 有些世界不一樣
[32:20] 你們的觀點就不一樣
[32:22] 就以前我可能也跟你想法一樣
[32:23] 只是我現在我可能
[32:24] 我有在努力往上爬
[32:25] 所以我想法變得不一樣之類的
[32:27] 因為我自己跟我自己的大學的思維比起來
[32:29] 我就覺得說
[32:30] 我那時候一直在
[32:31] 打臉我大學的自己之類的
[32:33] 就是為什麼會變這樣
[32:34] 因為沒有辦法
[32:34] 你成長了嘛
[32:35] 所以很多時候
[32:36] 並不是說什麼我不逾矩
[32:38] 反而是我其實
[32:39] 頻繁的在逾矩
[32:40] 那我可能自己
[32:41] 有時候講一些東西
[32:42] 我越想越覺得
[32:43] 好像不應該這樣講話
[32:44] 會刺激到人
[32:45] 或者是可能因為這樣子
[32:47] 然後真的有被攻擊
[32:48] 有被罵過什麼的
[32:49] 像據我來說
[32:50] 前陣子的那個耳包事件
[32:52] 就是明明我講的是A
[32:53] 可是在社群上面
[32:54] 大家都是在講B
[32:55] 然後他們都說
[32:56] 那是我講的
[32:57] 所以就知道說
[32:57] 就臺灣的快樂寶貝
[32:59] 真的很多
[32:59] 其實那些都是直接說
[33:01] 我是快樂寶貝
[33:01] 直接舉手了
[33:02] 因為很明顯他連聽都沒聽
[33:04] 然後直接做評論
[33:05] 才講那些話
[33:05] 可是你就知道說
[33:06] OK那我現在講的這些東西
[33:08] 有可能會觸動到那些人
[33:09] 即便我知道
[33:10] 他們跟我是道不同
[33:11] 不相為謀
[33:12] 可是你不想要
[33:13] 你整天在網路上給人家燒
[33:15] 你看了也煩
[33:15] 所以你是不是以後
[33:16] 就會避談這個東西
[33:17] 所以我覺得我是
[33:18] 在不停的嘗試之中
[33:19] 然後有一直去微服的做修正
[33:21] 只是這個修正
[33:22] 我不一定會每個都拿出來
[33:23] 跟大家講
[33:23] 只是我覺得我敏感度很高
[33:25] 我會知道說哪些東西會幫我惹到麻煩
[33:27] 我就很討厭麻煩的人
[33:28] 所以我就會稍微的去閃
[33:30] 所以是這樣子去做一些變化
[33:32] 然後再講說
[33:33] 人生中做對選擇是直覺嗎
[33:35] 其實老實講
[33:36] 我覺得人生之中的一些決定
[33:38] 我都有辦法把它腦補成為是好的
[33:40] 我就算當時遇到一些壞的事情
[33:42] 我心中就想說
[33:43] 因為假如說像我之前幫一個老闆打工
[33:45] 那個老闆什麼都對我很好
[33:47] 可是為什麼後面我們會分開呢
[33:49] 我不知道我們在節目講過
[33:50] 一定有講過
[33:51] 只是我也忘記是什麼時候
[33:52] 反正就是有一次他跟我講說
[33:54] 他要去投某個百貨
[33:55] 新開的百貨裡面
[33:56] 他要去丟一個餐廳
[33:57] 然後他希望這個餐廳
[33:59] 是由我幫他管
[34:00] 那我也可以去入股
[34:01] 拿到一些份額或什麼的
[34:02] 那這個餐廳以後呢
[34:04] 就是可以拼上市貴或殺小的
[34:06] 所以他要我去做處理
[34:08] 那我就是稍微的試探
[34:09] 跟他講說
[34:09] 我現在手上可能有個幾百
[34:11] 那我可以買多少%的股份
[34:13] 那我希望你可以
[34:14] 再多分一點給我
[34:16] 因為是我幫你做管理
[34:17] 你也不用再擔心或什麼的
[34:18] 然後他就直接跟我講說
[34:19] 反正就
[34:20] 孟公你怎麼會講這個
[34:22] 這東西以後上市之後
[34:24] 我回家跟我老婆講
[34:25] 然後我老婆也是非常支援我
[34:26] 就再也不幫這個人工作
[34:27] 當時當然對我來講
[34:29] 我就掉了一個收入了
[34:30] 收入還蠻不錯的
[34:32] 可是以現在的角度就是說
[34:33] 好險我沒有幫他工作
[34:34] 我如果有幫他工作的話
[34:36] 我不一定會這麼專心的在弄股票
[34:38] 或者說我不一定會開股癌這個節目
[34:41] 我不會認識這麼多人
[34:42] 我不會有什麼廣告的收入
[34:44] 或者說什麼
[34:45] 因為節目所帶來的一些資訊的優勢
[34:47] 可是老實講
[34:48] 如果我今天覺得說
[34:50] 我這個是做了對的決定
[34:51] 還好我有錄股癌
[34:52] 可是覺得說會不會因為
[34:53] 我在古來講了一些
[34:54] 可能不知道
[34:55] 就得罪人的話或什麼的
[34:56] 然後有朝一日
[34:57] 我真的傷透了
[34:58] 某個我很在乎的人的心
[35:00] 雖然這個是很誇張的句子
[35:01] 那我隨便舉例
[35:02] 然後接著呢
[35:02] 他在某一天決定要跑去跳
[35:04] 是因為我節目講的某些東西
[35:06] 刺激到他
[35:06] 然後說孟公
[35:07] 你真的是
[35:07] 讓我傷心的太深了
[35:09] 然後我就心中想說
[35:10] 媽的早知道不要錄這個節目
[35:11] 所以你真的不知道
[35:12] 就是你沒有在一些
[35:14] 關鍵的時間點回頭看的話
[35:16] 你不會知道說
[35:17] 這個選項到底是好是壞
[35:18] 有時候看起來是好
[35:19] 有時候看起來是壞
[35:20] 就像說像你自己的一些膽識
[35:22] 在某些時間點覺得說
[35:24] 還好我那時候有衝
[35:25] 所以我才追到老婆
[35:26] 還好那時候我說她
[35:27] 所以我現在怎麼樣
[35:28] 可是在某個時間點
[35:29] 你可能說
[35:30] 那時候為什麼我要這麼衝
[35:31] 我跑去偷我朋友的珍珠奶茶店
[35:33] 然後家裡我賠到歸零
[35:34] 可是你這個膽識
[35:35] 某個時間點是幫你
[35:36] 某個時間點
[35:37] 它卻變成是害你的東西
[35:39] 所以我很常覺得
[35:40] 福禍相宜
[35:41] 就是你沒有在某個時間點回顧
[35:43] 你不知道那個事情是好是壞
[35:44] 就算你現在覺得是好
[35:45] 它可能在未來
[35:46] 也有可能變成是壞或什麼
[35:47] 但無論如何
[35:49] 我是很相信直覺的人
[35:50] 那我是有
[35:51] 怎麼講
[35:52] 記憶的在訓練我的直覺
[35:54] 所以包含說像
[35:55] 你剛才前面問的問題
[35:56] 雖然感覺跟這個是沒有關係的
[35:57] 可是其實在我的角度
[35:58] 是有關係的
[35:59] 因為我就是直覺知道說
[36:00] 我現在講什麼東西
[36:01] 會刺到人
[36:02] 會得罪到人
[36:03] 所以有時候你會注意到
[36:04] 就是我節目有時候講
[36:05] 某些東西會想說
[36:05] 這個不要再講下去
[36:06] 因為我知道我講下去
[36:07] 我覺得惹到麻煩
[36:08] 我已經知道過往的肌肉記憶
[36:10] 這個再講下去
[36:11] 他媽的一定會有人
[36:11] 要跑出來幹掉我
[36:12] 老實講你幹掉我
[36:13] 我也不會痛
[36:14] 我不認識你
[36:15] 我們一輩子也不會交集
[36:16] 可是我就是不爽
[36:17] 奇怪為什麼
[36:17] 我好好的坐在家裡
[36:19] 要人在網路上
[36:20] 或者說直接什麼
[36:20] 跑來私訊幹掉
[36:21] 我覺得很煩
[36:22] 所以我乾脆不要講
[36:23] 我不講我也不會得罪到任何人
[36:25] 所以類似這樣子
[36:25] 所以對
[36:26] 就直覺是一直牽引我前進的東西
[36:28] 只是我沒有辦法確定說
[36:30] 這些決定到底是好還是壞
[36:32] 我也不確定這些選擇是對還是錯
[36:34] 至少至今回頭看
[36:36] 覺得說應該是做了蠻多對的選擇
[36:38] 才會走到這一步
[36:39] 下面一位
[36:40] 感謝您的節目
[36:44] 陪我度過大學五年的上學路
[36:46] 現在是每天焦慮的考研載
[36:48] 所以想來觀音大學這裡許願
[36:50] 希望可以考上心中最養趣的校系
[36:52] 如果考上的話
[36:53] 那我就會捐出當月的10%生活費給育幼院
[36:56] 最後希望可以用諾爾的聲音說
[36:59] 姐姐趕快起床唸書了
[37:00] 祝孟公一家五口身心健康
[37:03] 諾亞奇安平安長大
[37:05] 所有聽眾的小朋友都能夠有快樂的童年
[37:08] 這個祝福非常好
[37:09] 可是為地方美眉
[37:10] 我還是覺得啦
[37:11] 就是當月10%的生活費
[37:13] 你拿這種東西許願
[37:14] 你不會覺得害羞嗎
[37:15] 這就是我上臺通講的
[37:17] 你拿一個小泡芙
[37:18] 然後你許你變首富
[37:19] 你不會覺得說你當神明是白痴嗎
[37:21] 所以我自己幫你加碼好不好
[37:22] 就如果說你真的考上的話
