[00:00] 欢迎收听谷爱,我是孟公,本集节目由东碧堂赞助
[19:45] 那我们这边有时候也会可能
[19:47] 一开始讲的东西是错的
[19:48] 但我们最终一定都会拿到正确的答案
[19:49] 反正就是大家都在乱猜
[19:51] 大家都是有自己的方式去
[19:52] 拿到自己的资讯
[19:53] 然后把它拼凑起来
[19:54] 那我们这边目前看到的状态是这样子
[19:57] 就虽然可能在sunfish之后
[19:59] 你没有看到Blockhound的
[20:00] 下一代晶片的推出
[20:01] 但是应该会有一个
[20:03] 比较大颗的Sunfish
[20:04] 那当然这个代号
[20:05] 我们就先
[20:06] 不在节目上去聊
[20:07] 反正总之就是
[20:08] 会有一颗比较大颗的Sunfish
[20:10] 那它的做法怎么样
[20:11] 它就是把两片晶片去双拼
[20:13] 那根据我们的判断
[20:15] 应该是把它拼在一个Substrate
[20:17] 就把它拼在一个载板上面
[20:18] 那所以它的玩法
[20:19] 其实有一点像是
[20:20] 苹果的Ultra晶片
[20:21] 就苹果不是有出一个Ultra晶片
[20:23] 它其实就是两个晶片
[20:24] 把它双拼
[20:25] 变成是一个晶片这样子
[20:26] 那当然它并不是
[20:28] 透过那个Cow的方式
[20:29] 就是直接chip之间的对联
[20:31] 因为那可能比较难做
[20:33] 那當然用載板去做也會有它的問題
[20:34] 那是工程團隊要解決的事情
[20:36] 那不是我們要解決的事情
[20:37] 但總之就是
[20:37] 我們有看到這樣子的一個做法
[20:39] 所以可能在後續
[20:41] 當然因為我們知道說
[20:42] 現在老AI是市場裡面
[20:43] 大家比較是不喜歡的東西
[20:44] 大家想要去閃躲
[20:46] 但只要我們持續看到在產品線上面
[20:48] 覺得說像載板
[20:49] 你還是有新的故事存在
[20:51] 那當然在市場上對應的
[20:52] 我們就不會去點說是哪一家公司
[20:54] 反正總之就大家可能都有機會
[20:56] 講過誰家
[20:57] 或者說可能Google這樣子做
[20:58] 那別人也會想要學他這樣子做
[20:59] 都還是會有一些後續的可能性
[21:02] 所以我會認為說
[21:02] 像以下的老AI
[21:04] 那时候大概提一下
[21:05] 就是我会觉得说
[21:06] 现在可能进去街道
[21:07] 会稍微危险一点
[21:08] 因为这个市场的资金
[21:09] 确实有去做一些变动
[21:11] 但是可能等到未来
[21:12] 在某一段时间回头看
[21:13] 你会发现
[21:13] 就像说这个NVIDIA
[21:15] 它其实根本就
[21:15] 还是按照自己的Rollmap
[21:17] 在推进
[21:17] 它只是这一代的量产
[21:19] 可能没有用到
[21:19] 本来大家认为会出来的
[21:21] 某一个产品
[21:21] 它只是后面会出现
[21:22] 或者说可能会发现说
[21:24] 这个毛利率的低谷
[21:25] 就只是短暂的一两季
[21:26] 然后后面就会回升
[21:27] 那一样的道理
[21:28] 就是现在有一些老AI
[21:29] 可能大家不要
[21:30] 可是可能等到后面
[21:31] 突然间大家要去聊
[21:32] 这一颗晶片的时候
[21:34] 但这颗晶片
[21:34] 现在在市场上面的
[21:35] 曝光度是极低
[21:36] 好像我们自己
[21:37] 算是蛮大胆的去讲说
[21:40] 有可能有这个东西的存在
[21:41] 因为大概有看到这样
[21:43] 只是跟外面的一些言调
[21:45] 或是一些报告写的东西
[21:47] 是不太一样
[21:47] 每个人都有自己的认知
[21:49] 有可能就是等到
[21:50] 大家想要去把目光
[21:51] 放到这个地方的时候
[21:52] 有些那种老的
[21:53] 大家不要的
[21:54] 认为是狗屎的东西
[21:55] 又再次的会被拿到
[21:56] 市场的中央里面
[21:57] 那我觉得比较经典的就是像是
[22:00] 前阵子那时候聊一家公司叫AP Memory
[22:02] 就是爱普
[22:03] 那像这家公司呢
[22:04] 他也是在那一段时间
[22:06] 就不知道为什么市场就不喜欢他
[22:08] 可是后来当这个Google的TPU
[22:10] 变成是舞台正中央的时候
[22:12] 因为大家知道说
[22:13] 他的那个东西就是埋在灾办里面的电容
[22:15] 反正就是他们称为Integrated Passive Device
[22:18] 那像这个东西
[22:19] 就是因为Google的大量的曝光
[22:22] 大家注意到
[22:22] 就是再一次这个资金又回来
[22:24] 所以前面可能比较软的东西
[22:25] 都是有机会会在后面复活
[22:27] 所以这也是为什么
[22:28] 我会在这一波跟大家分享
[22:30] 就除了一方面是因为
[22:31] 东西真的拉很远
[22:32] 所以像我们身边蛮多人
[22:33] 我都注意到
[22:33] 大家没有刻意在挑拨
[22:35] 因为拉太远
[22:35] 大家don't fucking care
[22:36] 然后再来就是
[22:37] 我认为就是一些
[22:39] 可能现在看起来
[22:40] 是被提款的东西
[22:41] 我们就不去点哪些族群
[22:42] 因为在看盘的人
[22:43] 应该都可以很明显看到
[22:44] 有些族群已经是
[22:45] 整个软掉下去了
[22:46] 那不代表他们的故事结束了
[22:48] 就是不代表他们的故事结束
[22:49] 因为其实我们在后面
[22:50] 还是有看到一些产品线
[22:51] 会有他们露出的机会
[22:53] 那只是市场有时候就是这样
[22:55] 就是那个钱
[22:55] 就特别是像在四月的时候超明显
[22:58] 因为行情很好
[22:58] 所以就是万物齐掌
[23:00] 那现在就比较回到
[23:02] 就是我们可能比较看得懂的那种场景
[23:04] 也就是其实市场是会轮动
[23:06] 资金是会轮流休息的
[23:07] 那这种也是我们会把它推估为
[23:09] 是比较健康的行情
[23:10] 就是如果说你全部都在喷的话
[23:12] 我们反而会开始担心
[23:13] 所以现在反而觉得是踏实
[23:15] 就是有些东西可能下去或怎么样
[23:16] 那可是我们也不会因为说
[23:18] 它下去然后就要说
[23:19] 它不行啊
[23:20] 它烂掉什么
[23:21] 因为其实在后面都还是有一些
[23:22] 难见度
[23:23] 那只是当然
[23:24] 因为前面可能赚的人很多
[23:25] 所以会产生的一些情形是
[23:27] 我相信现在的一些强势股
[23:28] 后面也都会用这个方式
[23:30] 去做一个暂时的休息
[23:32] 就是下来都会下很快
[23:33] 为什么
[23:34] 因为大家赚太多
[23:35] 所以就随便乱卖
[23:36] 这个有时候也是蛮困扰的
[23:37] 像最近我自己手上一些标题
[23:39] 其实蛮多东西
[23:40] 都已经涨到进去处置股
[23:41] 所以我盘中其实没事做
[23:42] 因为没有办法出来
[23:43] 也没有办法动
[23:44] 所以就放着看
[23:45] 可是有时候就会观察到一些
[23:47] 像我现在觉得
[23:48] 是不是有很多
[23:48] 他妈杂鱼在锁掌亭
[23:49] 因为我们自己身边有一些
[23:51] 我认为算高阶所长庭
[23:53] 就真的是比较强的人
[23:54] 我就注意到说
[23:55] 有一些那种新来所长庭的
[23:56] 干他妈超烂
[23:57] 他可能今天所长庭
[23:58] 然后他隔天他连开高都没办法
[24:00] 你还是收一收回家吧
[24:02] 你连开高都没有办法
[24:03] 然后跑到市场里面乱人家筹码
[24:05] 那种劣质筹码
[24:06] 妈的你那边锁
[24:07] 然后隔天直接开一滴
[24:08] 然后开始乱砸
[24:08] 就开始会注意到很多
[24:10] 这种快乐宝贝跑出来
[24:11] 对就是有这些快乐宝贝出来
[24:14] 就有机会会帮一些东西做一个小偷
[24:16] 当大家可能信仰又没有特别的坚定
[24:19] 又看到隔壁东西在回档的时候
[24:20] 那外加前面也赚多了
[24:22] 就这样乱丢
[24:22] 所以其实我们就要看到
[24:24] 蛮多那种乱丢的东西出来了
[24:26] 那只是一样
[24:27] 因为现在市场的族群性
[24:28] 已经算是非常明显了
[24:30] 反正你拉强势股
[24:31] 都知道说是哪些族群了
[24:32] 那等到后面可能出现
[24:33] 一些新的轮动的时候
[24:34] 我们可能再去注意说
[24:36] 有什么新的故事
[24:37] 那有些东西
[24:38] 其实我们后面没有再
[24:39] 继续跟大家聊
[24:41] 也不是说什么我们怎么样
[24:42] 因为像前阵子就很烦
[24:44] 因为我曾经跟大家聊玻璃基板
[24:46] 其实那时候真的就是有看到
[24:47] 一些玻璃機板的東西
[24:47] 那後來我就沒有聊了
[24:49] 然後就有看到
[24:50] 在一些網路論壇就有些人講說
[24:51] 你看他一定是出完貨了
[24:53] 出完貨他又不聊了沒有我沒有空fucking babysit you我真的沒有空去照顧就是各路的白癡就是我們光是把訊息分享給大家你懂看的你就已經是有辦法自己去賺錢了
[25:04] 所以我不可能就是每個族群
[25:05] 我都你知道就是cover
[25:07] 或像是我們可能在年初的時候聊衛星
[25:09] 你說衛星到現在有沒有不看好
[25:10] 沒有絕對都是看好
[25:11] 可是我們的交易也是move on
[25:13] 我們會去找新的族群或什麼
[25:15] 所以有些東西我們賣掉
[25:16] 也不一定是代表說
[25:18] 我們是不看好或什麼
[25:19] 就是因為有一些新的東西
[25:20] 我們做交易的其實就是持續的往前看
[25:22] 老子就是有一些那种可能下去的东西
[25:24] 也不代表他现在不行
[25:25] 我觉得因为我们还是看得到
[25:27] 他后面的一些展望
[25:28] 所以或许就是要等资金的轮动
[25:30] 所以这一波的修正
[25:32] 目前自己的心中是看说
[25:34] 他应该比较不会是一个全面的崩盘
[25:36] 不一定
[25:37] 因为有些人讲说什么
[25:38] 联总会只要去换主席
[25:39] 后面都是会崩
[25:40] 好像有一个统计数据是这样
[25:42] 这个我当然也会有一点担心
[25:43] 但只要市场里面有强势股存在
[25:46] 就会觉得还OK
[25:47] 所以这其实在过去的两三集
[25:48] 就已经持续有去讲这个说法
[25:50] 只要还有强势族群在
[25:51] 然后东西开始锁
[25:52] 你其实只要有一点紧急
[25:54] 你要知道说
[25:54] 你现在手上的东西
[25:55] 其实不是它不好
[25:56] 只是因为大家可能
[25:57] 这个资金已经没有像过去四月
[25:59] 因为那时候朋友讲说
[26:00] 四月随便锁涨停
[26:01] 随便都会上去
[26:02] 我们在好像两三几前
[26:04] 也有讲到这件事情
[26:05] 因为以前你随便点一点
[26:06] 就会上去
[26:06] 然后现在不会
[26:07] 所以会开始有一些那种
[26:08] 强弱出来
[26:09] 弱的东西可能被你太掉的
[26:11] 你觉得心灰意冷
[26:13] 你不要了
[26:13] 想说我已经赚一阵子了
[26:15] 我就干脆把它丢光
[26:16] 或者是说
[26:17] 烂东西我最爱高点
[26:18] 它都不会动
[26:18] 它后面还是有机会
[26:19] 给你惊喜再一次上去
[26:21] 所以现在就是一个
[26:22] 我觉得蛮典型的多头市场
[26:24] 多头市场本来就是会有一些
[26:25] 涨多拉回
[26:26] 甚至拉回会掉得蛮重的
[26:28] 总之就是你只要持续的去锁定
[26:30] 我认为第一个就正确题材
[26:32] 第二个就真的会有
[26:33] 营收跟获利进来的东西
[26:34] 其实应该是不用想太多
[26:35] 除非怎么样
[26:35] 除非就是AI的投资突然间
[26:37] 亚然而止
[26:38] 那可能就会出事情
[26:39] 所以大概是对最近盘试的一个看法
[26:41] 就不会因为说回档
[26:42] 然后就讲说
[26:43] 这个要崩盘
[26:43] 像Michael Burry这样
[26:44] 要崩盘
[26:45] 我觉得一般我们不会这样子看
[26:47] 就算你真的喊中
[26:49] 那也没意义嘛
[26:49] 因为你从以前一路喊喊到现在
[26:51] 你总是会中一次的
[26:52] 所以大概这样
[26:52] 好那我们接下来就Q的部分
[26:54] 第一位Bang
[26:55] 第二次Spotify留言测试
[26:56] EP61Choco讲话超可爱心暖暖
[26:59] 都有诺亚奶因释出了
[27:00] 请问可以有Choco的版本吗
[27:02] 那最后祝孟公全家平安
[27:03] 请观音大爷保佑我顺利考上培训机制
[27:06] 升上FO后捐出每个月薪水30%
[27:09] 连续捐两年
[27:10] 这个真的是一个非常大方的许愿
[27:11] 因为FO的薪水不低
[27:13] 大概可能二十几万吧
[27:14] 然后他要捐30%
[27:15] 这个是很大方的一个捐献
[27:17] 希望你可以考上
[27:18] 那下面一位
[27:19] Magneto
[27:21] 呜呼
[27:21] 猛攻安安
[27:22] 我跟男友都是你的忠实听众
[27:25] 还没有在一起的时候
[27:26] 本来暗示他打电话给我
[27:27] 结果他叫我无聊就去听古来
[27:29] 从此爱上梦宫
[27:30] 奇卡迷人的嗓音
[27:31] 一听就是三年
[27:32] V24号是我男友凯克
[27:33] 生日希望大家可以用猛男的声音
[27:35] 祝我的男友
[27:35] 生日生到博士
[27:37] 绩效大爆色
[27:39] 救命
[27:39] 百美丽的女友
[27:41] 那顺便问一下猛攻
[27:42] 漫威最喜欢的角色是哪一个
[27:43] 那最近重新刷了一次
[27:45] 觉得万磁王真的帅爆了
[27:47] 祝大家都可以当
[27:48] 股市的万磁王兮兮
[27:50] 因为万磁王那个演员
[27:52] 除了帅之外
[27:52] 他蓝教也超大的
[27:53] 你可以查看看
[27:55] 他屌真的超大
[27:56] 我不知道怎么突然间
[27:57] 跟你讲这个
[27:57] 但因为我也非常喜欢
[27:58] 他有他什么
[27:59] 什么Fastbinder
[28:00] 还是什么吧
[28:01] 反正就是一个
[28:01] 非常酷的演员
[28:02] 你这样一讲
[28:03] 我突然间觉得说
[28:03] 好像漫威真的最帅的
[28:05] 就是他
[28:05] 其他的话
[28:07] 以前还会蛮喜欢
[28:08] 那个小老婆道尼
[28:09] 但后来就觉得说
[28:10] 是否偏油
[28:11] 那美国队长的话
[28:12] 就不知道
[28:13] 就太刻意的正面了
[28:15] 那所有的话又太卖肉
[28:17] 好像我妈在那边东挑西捡
[28:19] 可是不知道
[28:20] 你这样一讲好像真的万磁王是
[28:22] 就是你一说我就认为非常有共鸣
[28:24] 这是应该真的是最帅的角色
[28:26] 下面一位皮包卡到机
[28:28] 什么艺人头最圆
[28:30] 陶金银
[28:31] 6分
[28:34] 那梦宫您对台积电技术论坛提到的三层蛋糕
[28:37] 有什么看法
[28:38] 那里面有提到一堆光通相关的东西
[28:39] 以为会提振一下光通股
[28:40] 结果还是支支落
[28:41] 那是不是大家都知道
[28:43] 所以力多出尽了
[28:44] 然后孟宫认识X上面的Serenity吗
[28:47] 上次提到X上
[28:48] 感觉很多假外国人
[28:49] 在想他是不是其中一个
[28:50] 孟宫对于他的选股观点
[28:51] 有什么看法
[28:52] 感谢回复
[28:52] 再补一个好了
[28:53] 癌症病人的年终聚会叫什么
[28:56] 癌有为亚
[28:58] 七分
[28:59] 这个人蛮会讲笑话的
[29:00] 电视笑话冠军
[29:01] 然后再讲说台积电的论坛
[29:03] 因为他们有cue到光通相关的东西
[29:04] 有一个说法是这样
[29:06] 虽然我觉得是
[29:07] 未复新词强说丑
[29:09] 因为光通可能现在比较软一点
[29:10] 所以大家就硬讲
[29:11] 说你看台积金都可以自己做
[29:12] 所以别人都不能够做
[29:13] 我觉得不是这样一个情形
[29:15] 就是一样
[29:15] 我们不会去把一个市场
[29:17] 太容易的视为说是完全竞争
[29:19] 是红海市场
[29:20] 是零和市场
[29:21] 我们都认为说一个新的东西
[29:23] 如果他没有办法喂饱大家
[29:24] 他没有办法去带来一个
[29:25] 非常暴力的成长性
[29:26] 那这个市场连看都是不该看的
[29:28] 所以光头市场一定都是非常好的
[29:30] 那我觉得未来你回头看
[29:32] 一定都会注意到说
[29:33] 他的成长性是极好的
[29:35] 可能就是在过程之中
[29:35] 就势必涨多
[29:36] 就是会有一些回档的产生
[29:38] 那一个比较经典的举例
[29:41] 像以前我们蛮常聊到的一家公司
[29:43] S2R Labs
[29:44] 因为它后来不是我的大厂了
[29:45] 所以我觉得我比较少去聊它
[29:47] 但大家可以回头看一下
[29:48] 它底要100块
[29:49] 然后现在碰到多少钱
[29:50] 那你要记得那个感觉
[29:52] 就是它从上面掉下来的那一段时间
[29:54] 大家是怎么说它的
[29:55] 然后接着你再看它一下碰回去
[29:57] 你的感受就会很深
[29:58] 其实我觉得大家都要多累积
[29:59] 这样子的一些经验
[30:01] 有时候那个波段爆股
[30:02] 稍微的被虐到一下
[30:04] 没有关系
[30:04] 反正你只要不是all in满仓就好了
[30:06] 就是你去感受一下
[30:07] 一个股票从可能高档掉到低档
[30:10] 大家是怎么说他的
[30:11] 然后接着他又碰到新高的时候
[30:13] 就发现新一批的人出来吹他了
[30:15] 然后后面又再一次的循环下去
[30:17] 所以经常不要太容易受到市场的这些说法给影响
[30:20] 有时候就是你还是要
[30:21] 类似刚才前面不就有跟大家考那个FO吗
[30:24] 那你在做那个飞行训练的时候
[30:25] 他都会跟你讲一个重点
[30:26] 就是你在landing的时候
[30:27] 你要看的不是你面前的跑道
[30:29] 你是要看远方
[30:30] 你要看远方
[30:31] 你这样才可以调到
[30:32] 所以应该的道理就是
[30:33] 我们会去注意一些产业的cager
[30:35] 或是哪一个东西是发展性质比较好的
[30:37] 然后过程之中的一些震荡
[30:39] 都尽可能去忽略
[30:40] 你要吃大鱼的话就是要这样子
[30:42] 所以我不认为说台积电的论坛
[30:45] 没有去引发市场的兴趣
[30:47] 或者说像有些人讲的
[30:48] 他会打击到一些光通
[30:49] 没有那都是短期的一些影响而已
[30:51] 然后再讲说X上面的一个账号
[30:54] 我是不知道
[30:54] 然后再来是跟大家讲一个重点
[30:56] 就是我们绝对不会去看人家爆牌
[30:59] 或什么的
[31:00] 就是以我自己
[31:01] 或是我身边蛮多朋友
[31:02] 我们其实真的很少听到
[31:04] 谁会去cue说谁在爆牌
[31:06] 但好多散户喜欢这样子
[31:07] 就看什么哪一个账号在爆牌
[31:08] 什么准不准
[31:09] 我们真的不在意这样的东西
[31:10] 我们其实比较常看的是
[31:12] 像一些业内人士
[31:13] 你一看就知道这个人就是业内的
[31:14] 他分享的一些评论
[31:15] 然后他可能讲得很悲观什么
[31:17] 我们反而很高兴
[31:18] 就代表说你看业内人士都不看好
[31:20] 可是我们看到报价明明就是上涨
[31:21] 那就还会再继续喷
[31:22] 我们喜欢去看一些产业的讨论
[31:24] 以前可能我不知道
[31:25] 就比较菜的时候
[31:26] 我也会去看说什么
[31:27] 谁准不准
[31:28] 谁翻指标
[31:29] 但最后面发现说
[31:34] 知道的是一些
[31:35] 产业的趋势
[31:36] 那我X上面去注意到说
[31:38] 是不是台人反串的
[31:39] 也几乎都是在讲
[31:40] 产业趋势
[31:40] 只是他们可能
[31:41] 太刻意的去提一些
[31:43] 台湾的产业报告
[31:44] 券商报告
[31:45] 然后或者是什么
[31:46] 工商时报的新闻
[31:47] 我会觉得说
[31:48] 你们一定不是真正的
[31:49] 韩国人跟日本人
[31:50] 我就会这样子想
[31:51] 就我乱猜的
[31:52] 那下面一位
[31:53] Brett
[31:53] 六星好评
[31:54] 孟宫你好相亲
[31:55] 您用猛男的声音
[31:56] 祝福我最猛的老婆
[31:58] 婉逸
[31:59] 4月23号
[32:00] 18岁生日快乐
[32:01] 虽然时间已经过了
[32:02] 因为密码好难
[32:03] 他有多猛
[32:04] 他跟Lisa一样
[32:05] 生小孩没有打无痛这么猛
[32:06] 很感谢他从高中一年级以来
[32:08] 22年的陪伴
[32:09] 也在10年前生下了健康的儿子
[32:11] 一起度过了许多美好的时光
[32:13] 未来一起开开心心的过日子
[32:15] 我也会努力当一个好老公好爸爸
[32:17] 那PS十多年前老婆曾经明示
[32:20] 我好想要在海边被求婚
[32:21] 那我就先找了长滩岛的导游帮忙安排
[32:24] 平常的生活可以健忘一下
[32:26] 但是求婚这种可以记一辈子的事情
[32:28] 努力一下CP值还是很优的
[32:30] 你看吧
[32:31] 不是只有8加9会有疑似
[32:32] 雖然我上集跟大家聊完之後
[32:34] 真的很多人想說
[32:35] 他們身邊的一些地方媽媽
[32:37] 她的老公江湖未種的
[32:39] 一般都是氣氛組組長
[32:40] 就是真的都很會去
[32:42] 做一些儀式感的事情
[32:43] 你看就是跟我體感是一樣的
[32:45] 當然8加9負面的我們都不用講
[32:47] 因為大家都知道負面的東西一大堆
[32:48] 但總之就是在儀式感這部分
[32:50] 是值得學習的
[32:51] 其實還是有一些
[32:52] 就是我們講的比較稍微正常一點的台南
[32:54] 你看他也都準備儀式
[32:56] 我們講的東西都不是一個
[32:57] 怎麼講說絕對的東西
[32:59] 都是一個相對數字
[33:00] 一個感受的東西
[33:01] 所以有時候大家不要太認真
[33:02] 因為我看到有些人在那邊認真說什麼
[33:03] 啊8.9未婚花姻或什麼
[33:06] 你在派對裡面一定很有趣
[33:08] 就是你不用講這些廢話
[33:09] 大家都知道的事情
[33:10] 有時候我們就只是
[33:11] 就是好笑啦去cue一些東西
[33:13] 大家不要太認真去看待這樣的東西
[33:15] 然後再講說那個無痛
[33:17] 這邊要稍微講一下
[33:17] 因為可能有些新聽眾聽到說
[33:19] 啊fucking當生蓋
[33:21] 你是不是很小氣
[33:22] 你不讓你老婆打無痛
[33:24] 我老婆那時候不打無痛的主因
[33:25] 是因為她懷疑她生第一胎
[33:27] 之所以躺在床上三天起不來
[33:30] 就是因為五天
[33:31] 就是因为他打了那个无痛
[33:32] 因为他全身麻掉了
[33:34] 然后所以他这一台
[33:35] 就是说不要打
[33:36] 但是他这一台之后
[33:37] 他就说以后还是要打
[33:38] 就算会在场上躺
[33:40] 把什么三天五天起不来
[33:42] 还是要打
[33:43] 因为真的太痛了
[33:44] 所以真的女生生小孩
[33:45] 是非常不容易的
[33:47] 我觉得他这次的决定
[33:48] 真的是还蛮屌的
[33:49] 但他是有要说回来
[33:51] 所以大家不要觉得说
[33:52] 他是很喜欢这样
[33:53] 然后以后都要这样
[33:53] 没有他觉得还是要打无痛
[33:55] 下面一位
[33:56] 平均指数在
[33:57] But I'm a creep
[34:00] I'm a weirdo
[34:02] What the hell I'm doing here
[34:04] 你知道讲这个
[34:05] 就是大家都会觉得说
[34:06] 你不是Radiohead的真正的粉丝
[34:08] 虽然我不会这样
[34:08] 我只是说就是很多人
[34:10] 不然说其实乐团本身
[34:11] 他们都很讨厌
[34:12] 你一直cue他的那个成名曲
[34:14] 因为他们可能已经唱到很腻很烦了
[34:16] 但我还是非常喜欢creep
[34:17] 那最安安我是平均指数仔
[34:19] 最近几集感觉QA多了一种类型的留言
[34:22] 就是看起来不太适应台股
[34:24] 今年长成这样的台盘
[34:25] 大盘指数气氛仔
[34:27] 那常常几天的股票资产变动
[34:29] 就超过了工作年薪
[34:30] 感觉资产变多
[34:31] 同时也是有很多人资产变多之类的
[34:33] 那就像上面的歌词一样
[34:35] 然后又有赶3C类的产品
[34:37] 在AI浪潮下也暴涨
[34:38] 还有今年的油价影响也是
[34:40] 在这样子整体经济成长跟通膨的环境
[34:42] 加上大家都变有钱
[34:43] 指数仔们的体感应该是相对资产位阶
[34:46] 跟生活水准好像都没有什么变化
[34:48] 那通微指数仔要在这边分享一下
[34:50] 能够继续的稳健投资
[34:52] 维持正常的工作跟生活
[34:53] 平常能够开心的
[34:54] 从事自己的兴趣就不错
[34:55] 除此之外
[34:56] 更有底气面对一些
[34:57] 需要钱的情况
[34:58] 所以心理上也比较舒服
[35:00] 毕竟投资大盘
[35:01] 最主要就是抗通膨
[35:02] 跟着经济一起成长
[35:03] 而不一定是要让自己
[35:04] 变得非常的有钱
[35:05] 但也想顺便问主委
[35:06] 对此有什么看法
[35:07] 或是对于资产变多
[35:08] 却不是很舍得花钱
[35:09] 有没有什么建议之类的
[35:10] 另外我觉得
[35:11] 孟宫感好像还是太装熟了
[35:13] 还是用主委
[35:14] 或是孟宫的中性称呼
[35:15] 自己比较不会尴尬起来
[35:16] 感谢主委
[35:17] 祝全家平安健康爱你
[35:19] 我觉得我跟我们听众
[35:20] 有一个很有趣的互动
[35:20] 就是跟绝大多数的听众
[35:23] 真的在路上遇到
[35:24] 都像是已经认识十年一样
[35:25] 我不知道怎么会有
[35:26] 这么特别的体验
[35:27] 所以我绝对不会觉得
[35:28] 大家是在什么装熟之类
[35:29] 就你想要怎么叫
[35:30] 其实都可以
[35:31] 那只是
[35:31] 就之前有一次跟大家分享说
[35:34] 我老婆觉得叫我古癌
[35:35] 或是癌大的
[35:36] 一定就不是真朋友
[35:37] 讲完之后大家都不叫我那个
[35:39] 我自己也是蛮开心的
[35:40] 但反正你们要叫什么
[35:41] 其实我是没差
[35:42] 然后再来讲说
[35:43] 这个相对资产变化
[35:45] 没错
[35:45] 就人比人气死人
[35:46] 所以你只要知道说
[35:48] 你自己变得比之前有钱很多就好
[35:50] 那当然你去看一些物价的变化
[35:51] 你不一定会觉得自己的购买力上升
[35:53] 甚至是我跟你讲
[35:54] 就算你的物价是停在原本的地方
[35:56] 但随着你变有钱
[35:58] 你的眼睛就是会往上看
[36:00] 你以前去巴厘岛住一个晚上8000
[36:02] 超爽
[36:03] 太奢了吧
[36:04] 奢爆
[36:05] 现在你在订一个晚上4万块的Villa
[36:07] 之后好会再更贵
[36:08] more to come
[36:09] 所以人都是这样子
[36:11] 就是你如果可以把物欲限制
[36:13] 在某个范围内的话
[36:14] 其实很多人都有进行所谓的财务自由
[36:17] 那为什么很难自由的原因是因为
[36:19] 你就有很多新的事情要做
[36:20] 你会去住更好的饭店
[36:22] 你开始去买一些什么名贵红酒或什么的
[36:24] 所以你就觉得说
[36:25] 理论上我变有钱了
[36:27] 我已经变得是十年前我不敢想象的一个位置
[36:30] 但是我怎么好像没有很充实
[36:32] 我没有像可能不知道十年前
[36:33] 然后第一次打工拿到两三万块
[36:35] 我觉得自己变成世界上最富有的人
[36:37] 那个是一个心理上的东西
[36:38] 大家自己要去做调试
[36:40] 那我能够说比上的话很痛苦
[36:42] 可是当你有时候没有任何的恶意
[36:44] 因为像我们自己有时候
[36:46] 还是会看一下
[36:47] 大学同学在干嘛
[36:48] 你没有刻意要跟他比的意思
[36:49] 只是你会知道自己是幸运的人
[36:51] 因为很多人很老老实实的在工作
[36:53] 但是他根本就也不知道股票是什么
[36:55] 他没有投资
[36:56] 他就是没有跟上这一波
[36:57] 所以当你在觉得自己说
[36:59] 我感觉好像你知道
[37:00] 我们也只是赚一个市场平均报酬
[37:02] 物价也变贵
[37:03] 我没有变有钱
[37:04] 你去看一下那些没有投资的
[37:05] 你就会想要点点
[37:06] 你就不会想说
[37:07] 什么在社群上面发文
[37:08] 然后去抒情讲这个
[37:09] 因为比你苦的一堆
[37:11] 所以就是尽量不要去往上比
[37:14] 那當然也不要去往下比
[37:15] 重點是跟自己比
[37:16] 這個都是老生常談
[37:17] 但是蠻多人辦不到
[37:19] 然後再講說要怎麼樣捨得花錢
[37:21] 我覺得這個還是很困難就是按照我自己來講我個人認為我們用百分比來說因為如果你用絕對数字的话那绝对是不准因为你有了小孩你有了家人你很多开销都会变大可是你说我花的钱
[37:35] 有没有因为资产变高
[37:36] 所以我的百分比有加大
[37:37] 其实也没有
[37:39] 其实也没有
[37:39] 应该是说
[37:40] 你真的用百分比来算的话
[37:41] 是越来越省
[37:42] 当然你的资产到某个位阶之后
[37:44] 你一定那个百分比是越缩越小
[37:45] 但是没有特别的感受到
[37:47] 自己有真的在花什么钱
[37:49] 我比较少
[37:50] 像最近的话
[37:51] 当然就是花了
[37:51] 蛮大一笔钱
[37:52] 在搞红酒
[37:53] 真的是蛮大一笔钱
[37:54] 我也是吓到
[37:55] 想知道这个红酒的领域有多深
[37:57] 然后没有想到
[37:58] 真的是还蛮深的
[37:59] 可以花很多钱
[38:00] 可是在那之前
[38:01] 好像也没有真的去
[38:02] 花钱搞什么东西
[38:04] 就是以自己的收入的增长来看
[38:06] 好像也是不太会花钱的那一种人
[38:08] 那当然身边有非常会花钱
[38:10] 生活很多才多姿的
[38:11] 我不觉得你必须要
[38:13] 让自己变得跟他一样
[38:14] 因为重点是说
[38:15] 花钱有没有让你爽
[38:16] 就像说乱花钱
[38:17] 对我来讲
[38:18] 就是一个痛苦的事情
[38:19] 我认为把钱丢进市场滚
[38:21] 是最幸福的事情
[38:22] 可是现在花钱买一点红酒
[38:24] 可能觉得是蛮快乐的事情
[38:25] 当然可能三个月之后
[38:26] 我就会觉得红酒我就玩腻了
[38:28] 就是再去买别的东西
[38:29] 那可能有时候回头想
[38:30] 会觉得说当时真傻
[38:32] 但也不会真的想太多
[38:33] 就像可能以前
[38:34] 我也是狂买游戏网卡
[38:35] 可是后来过那个阶段之后
[38:36] 那现在也不会觉得说
[38:38] 那个游戏网卡套在那好麻烦
[38:40] 或是有些可能赚钱的人
[38:41] 但是你也不会想要去拿到网上卖
[38:43] 那就是一个过往的历史
[38:45] 所以不要太在意这个
[38:46] 你要去看一下黄文轩的故事
