[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由绿藤生机赞助
[20:10] 或者说高功率相关
[20:11] AI伺服器相关的东西
[20:12] 这个是比较缺乏的东西
[20:14] 那一样就是在这种时候
[20:15] 都还是有人跟讲说
[20:16] 所以你看那些可能台系
[20:17] 或是其他的公司是在乱张
[20:19] 就有点类似说
[20:20] 你知道其实我自己
[20:21] 我之前可能没有在节目讲
[20:23] 但我现在因为已经是那种
[20:24] 风头过了
[20:25] 所以可以稍微分享一下
[20:26] 你知道那时候被动元件
[20:27] 他全部在喷的时候
[20:27] 我也只有做一系列的布局
[20:29] 然后有一档
[20:30] 他也算是被动元件的大哥
[20:31] 因为他市值够大
[20:32] 可是我就不去买他
[20:33] 为什么我想说
[20:34] 这个都是消费性的
[20:35] 你们买这个
[20:35] 你们就是买错了
[20:36] 结果后来消费性的
[20:38] 可能是被动元件最喷的股票之一
[20:39] 就没有买到
[20:40] 但当然没有买到他
[20:40] 也不代表说
[20:41] 对你这个portfolio的影响大
[20:43] 因为最后面就大家都喷
[20:44] 只是很多时候
[20:45] 我们这些可能稍微懂一点点产业的
[20:47] 或是比我更懂的这些人
[20:48] 就是会聪明反被聪明误
[20:50] 他会用自己的经验就说
[20:51] 这个东西一定没事
[20:53] 可是他没有想到说
[20:54] 这一波可能特别大
[20:55] 外溢的效应特别阴险
[20:56] 所以我觉得在市场久了之后
[20:57] 会越来越谦卑
[20:58] 因为你知道有很多东西
[20:59] 是自己算不准
[21:00] 就像我们之前跟大家分享说
[21:01] 很多时候我们注意到
[21:02] 一些公司怕
[21:03] 为什么他们在起仗点都卖光
[21:05] 而且最常卖光股票
[21:06] 是可能公司的财务相关的人士
[21:08] 为什么
[21:08] 因为他过往都在看这个账
[21:10] 他就知道说
[21:11] 你这个地方就是高点了
[21:12] 就是你不可能再更高
[21:13] 就这次不一样
[21:14] 这次可能是一个
[21:15] 超级大的需求所驱动的
[21:16] 所以一样的道理
[21:17] 就是我们现在去看公寓元件
[21:18] 虽然就是要去讲一个
[21:20] no brainer
[21:20] 很无脑又最保守的话
[21:22] 就是一线的IDM的东西
[21:24] 才是真的缺料的核心
[21:26] 可是你不知道的是
[21:27] 他们如果说专注去做那些料的话
[21:30] 他会不会外抛一些东西出来
[21:32] 然后这些订单是可能让这些
[21:33] 中小或是所谓的二线厂
[21:36] 一吃就吃到饱到吐出来
[21:38] 他搞不好甚至会赚得比
[21:39] 这些一线厂还多
[21:41] 就类似说最早的机体
[21:42] 大家都只有在聚焦HBM
[21:43] 可是你没有想到说
[21:44] 第四第五可能是更赚钱的东西
[21:47] 所以是有这样子一个情形
[21:49] 有机会发生
[21:50] 所以以我们目前的角度来看
[21:52] 就是我们注意到它的lead time
[21:53] 然后跟各种状况都开始改变
[21:55] 所以我们现在假设去看7月行情
[21:57] 我们先当成说就7月以前
[21:59] 前半年都已经是我们就忘记了
[22:01] 因为反正都过完了
[22:03] 我们重点是后面
[22:04] 目前在7月要紧接着迎接我们的
[22:07] 就是各式各样的涨价性
[22:09] 所以后面就是有各式各样的涨价性出来
[22:11] 那这些涨价性会不会有效的去驱动一些标的
[22:15] 或者说族群把整个股票带到更高的地方
[22:17] 不是特别确定
[22:19] 这个不是特别确定
[22:20] 因为我们才刚刚走完一个修正
[22:21] 那一般在一个修正
[22:23] 就是说也不敢讲现在是完全结束
[22:25] 要等到新高才视为是完全结束
[22:27] 但至少有一个反弹出来
[22:28] 一般这种时候是我们会去找说
[22:30] 下一波强势族群是什么
[22:31] 那当然在昨天大家是看到变动元件
[22:33] 一大堆又说涨底
[22:34] 可是今天就软掉了
[22:35] 就是在新高附近或者说新高之后马上完掉
[22:38] 那这个就是有可能
[22:39] 它只是一个终极
[22:40] 所以我们要再稍微观察一下
[22:42] 那或像是今天突然转强了
[22:43] 这IC Design
[22:44] 到底谁后面会先率先冲出去
[22:46] 亦或是大家会回到
[22:48] 娘胎的一个怀抱TSM
[22:50] 因为我们最近注意到
[22:50] TSM整个转强
[22:51] 这都是有可能的
[22:53] 反正就是说
[22:53] 重点是说是谁会带领大盘
[22:55] 继续往前冲
[22:56] 这个是我们在接下来
[22:57] 要掌握的一个重点
[22:58] 所以就算有很多的涨价性
[23:00] 就算你知道Letown什么
[23:01] 你不能够忘记的是
[23:02] 其实有蛮多人
[23:02] 他已经涨很多
[23:03] 你不确定他是比反应
[23:04] 或者是像记忆体
[23:08] 一段时间内是盘整了几个月
[23:09] 那段时间其实它基本上
[23:11] 都是越来越好的
[23:11] 可是为什么它是盘整
[23:12] 不知道
[23:12] 因为资金就选择去别的地方
[23:14] 所以不代表说一个东西
[23:15] 你掌握到产业
[23:16] 它就一定会再继续上去
[23:17] 它有可能已经涨多
[23:18] 或是说现在可能市场上
[23:19] 有更香的东西
[23:20] 类似说理论上
[23:21] 你去转嫁成本
[23:22] 你也是香的
[23:23] 可是因为有需求去驱动涨价的
[23:25] 所以大家会选择去那个东西
[23:27] 所以这个可能后面
[23:28] 要再稍微的看一下
[23:29] 但无论如何
[23:30] 我觉得光是外资的rebalance结束
[23:32] 可能就会有蛮大的一个影响
[23:34] 因为像昨天的TSM都还给人家压盘
[23:37] 然后到今天就开始注意到说
[23:39] 压盘的趋势应该是已经
[23:41] 就会暂时的去告一个段落
[23:43] 甚至今天是拉尾
[23:44] 如果按照这样子去发展的话
[23:47] 外加投信他们法规也改好
[23:49] 就有可能会再一次的出现
[23:50] 搞不好钱要往这个地方去聚融
[23:52] 当然我觉得最关键的是在
[23:54] 接下来台积电要开法说
[23:57] 目前在市场上面
[23:58] 其实已经有蛮多的数字丢出来
[24:00] 其实大家猜的那个毛利数字
[24:02] 是蛮高的
[24:03] 甚至有猜
[24:04] 就是要在更上一层楼的那种数字
[24:07] 那实际上我们目前去做猜测的话
[24:09] 我们会觉得说
[24:10] 它有点类似前一两个Q
[24:12] 美光那时候不是大家
[24:13] 提早去把那个毛利猜很高吗
[24:15] 那最后面是miss嘛
[24:16] 所以miss你就当下看到很多人
[24:17] 就直接把东西就丢出来
[24:18] 但最后面它反正该到就是会到
[24:20] 所以我现在心态是这样觉得
[24:22] 就是如果说它终究
[24:23] 就是会到某一些数字
[24:24] 它终究就是要去做
[24:26] 可能营收的上修
[24:27] 因为它要涨价嘛
[24:28] 那毛利可能会改善或什么的
[24:30] 那就算他可能一两季短
[24:32] miss so what
[24:32] 就是他可能只是会把一些人手上的票给挤掉之类的
[24:36] 我会先暂时往这个方向去做看待
[24:38] 所以因为我们在上期节目是大概去讲说
[24:41] 认为那时候丢了几个可能性
[24:43] 战争
[24:43] 然后或者是可能通膨升息
[24:46] 然后跟资金面相关
[24:48] 因为有一个rebalance存在
[24:49] 然后面看是rebalance这个影响最大
[24:51] 因为战争可能在周末大家又看到说美国又跑去炸了然后大家想说周一完蛋了就surprise motherfucker喷烂所以就代表说战争的影響真的是不太重要特別你就直接看油價就好當然還是有些人會認為很重要那沒關係反正大家自己覺得什麼重要
[25:03] 你就自己用自己的方式去解釋每個行情都可以
[25:06] 那你說現在突然間這樣就不升息了嗎
[25:09] 也沒有再額外的有什麼宣示
[25:11] 所以比較合理的解釋就是我們上集猜的
[25:13] 應該是rebalance的影響會是比較大一點
[25:15] 那重點就是說在後面這個資金會往哪裡去做回饋
[25:19] 本來是很明顯就是感覺是衝進被動元件跟一些公寓元件
[25:22] 可是今天被动人间
[25:23] 有些开始出现一些软掉
[25:25] 有可能就是说静香情趣
[25:26] 碰到新高的时候
[25:27] 然后开始有一些资金要丢
[25:30] 如果说后面继续往上走的话
[25:31] 我觉得就很确定
[25:32] 那这个可能就是
[25:32] 再一次的变成是主流
[25:34] 他本来以前就是主流
[25:35] 然后现在再一次确定
[25:36] 他又是一个零投洋
[25:36] 所以后面几天蛮关键的
[25:38] 因为大盘又再一次的往上进攻
[25:40] 如果说有幸再一次回到新高的话
[25:42] 一定要有人带头
[25:43] 那个带头的大哥
[25:44] 可能就会冲特别远
[25:45] 所以我们会初步的
[25:47] 往这个方向去做规划
[25:48] 像我自己最近的一些操作
[25:50] 我觉得就我自己蛮不喜欢的
[25:52] 因为以波段的角度来讲
[25:53] 其实蛮不错
[25:54] 因为反正绝大多数都是强势股
[25:56] 在修正之后又再一次的泛弹
[25:59] 其实就已经离新高是蛮近的
[26:01] 只是我自己有点自作聪明
[26:03] 因为我自己本身就猜说
[26:04] 差不多到这个地方要修正完
[26:06] 所以在过去的几天
[26:07] 我就会找到一些转枪的东西
[26:09] 然后就干进去
[26:10] 而且我买的力道非常大
[26:11] 可是在它隔天可能稍微软掉之后
[26:14] 因为我又看到别的东西又在转枪
[26:15] 我就觉得说
[26:16] 我可能买错东西我就换
[26:17] 所以在过去的数个交易日
[26:19] 我觉得我自己的转仓的成本
[26:22] 或者说东西换来换去的
[26:24] 那个摩擦成本实在是偏高
[26:25] 那今天刚好跟朋友聊到
[26:27] 我觉得我要稍微去修正一下
[26:29] 其实我这个做法应该是OK
[26:30] 就大多头可以这样去抢钱
[26:31] 没错
[26:31] 只是你要等到可能盘面开始有新高
[26:34] 大家共识汇聚之后再这样做
[26:36] 我太早了
[26:36] 就我抢快
[26:37] 所以导致我就被修理了
[26:38] 就是过去的一些动能操作
[26:40] 在两个交易日
[26:41] 就把我赔了蛮多钱
[26:42] 所以不应该要赔这个钱
[26:44] 我觉得这个应该是可以修正的
[26:45] 所以我也往这个方向去做调整
[26:47] 就是不要太急着去扣说
[26:49] 所以就衝進去
[26:51] 因為可能就會修理
[26:51] 好像我去買一些老名字
[26:53] 我看到他要新高
[26:54] 我看說大家在爛的時候
[26:56] 你他媽你要創高了
[26:57] 就衝進去派對
[26:58] 結果隔天直接被殺到翻掉
[27:00] 一般來講來都來了
[27:01] 你也知道你買的東西不是垃圾
[27:03] 所以你可以等待
[27:04] 可是你有看到別的東西在衝
[27:05] 就受不了
[27:05] 你又再跑去別的東西
[27:06] 就是這樣子
[27:07] 就會多一些震盪的成本
[27:08] 這個也是我們有時候
[27:09] 會在節目提醒大家
[27:10] 就我自己也犯了
[27:11] 所以希望自己可以把這個東西
[27:12] 矯正好
[27:13] 我今天就把它
[27:14] 稍微的再去做一下調整
[27:16] 就是不要太急著去做下注
[27:18] 那新的部位可能会听看听一下
[27:20] 观察说如果新的趋势启动之后
[27:22] 再来看怎么样去做
[27:23] 那波段的就不用管他就抱着
[27:25] 所以大概是这样子去看待这个市场
[27:27] 那以上
[27:28] 那接下来我们就来进入Q的部分
[27:30] 第一位Cola
[27:30] 再强调一下
[27:32] 因为我们现在都是念Spotify
[27:33] 我今天看Apple的Podcast还是没有更新
[27:35] 所以未来都是念Spotify
[27:37] 知道后续有怎么样改变
[27:38] 跟大家讲
[27:39] 他说
[27:40] 孟公家感谢您录制优质节目
[27:42] 跟您一样住在林口
[27:43] 在疫情有一次在第二运动公园
[27:45] 挂号网球场旁的狗狗公园
[27:47] 遇到您
[27:48] 想不到您也入网球坑
[27:50] 希望有机会在林口跟您抽球
[27:52] 还有帮我跟最美丽的老婆
[27:54] Chia说辛苦了
[27:55] 谢谢你在二月生下健康的宝宝
[27:57] 妮软联盟有你真好
[27:59] 那祝福您
[27:59] Lisa 诺亚 安哥
[28:00] 秋口一切平安顺心
[28:02] 爱您
[28:02] 小弟目前的练习都还是跟教练
[28:06] 但是我觉得应该再给我个
[28:08] 一两个月的时间
[28:09] 按照我的训练频率
[28:10] 我应该已经可以跟人家打球
[28:12] 那这个打球不是说
[28:13] 怎么超级会打
[28:14] 很会打什么的
[28:14] 就是说就是有办法来来回回
[28:16] 不用一直捡球了
[28:17] 现在已经慢慢的往那个方向去迈进
[28:19] 我觉得现在比较难的是截击
[28:21] 截击我都还是会
[28:22] 被好心扭动身体太多
[28:24] 或者是说像教练会一直教说
[28:26] 那个拍子要向上
[28:27] 我觉得这很反直觉
[28:28] 就是我当然是要把球压下去
[28:30] 可是你其实拍子要向上
[28:31] 你是要用手腕的力量往下
[28:33] 让它下旋
[28:34] 让它去变成是比较难接的球
[28:36] 可是这个我还在去做一些微调
[28:39] 那希望可以把它练好
[28:40] 希望可以好好的抽球
[28:42] 我有听说这个第二运动公园
[28:44] 好像要改建成为学校
[28:45] 当然我教练跟我讲
[28:46] 不是近期的事情
[28:47] 但反正总之就是
[28:48] 那个地方应该变成学校
[28:50] 然后把网球场搬到别的地方
[28:51] 我自己最近有在想说
[28:53] 还是林口是需要
[28:54] 有一个室内的网球场之类的
[28:56] 这个是非常迫切的需要
[28:57] 现在在外面
[28:58] 他妈热到干
[28:59] 是真的超级热
[29:00] 以前我都会打
[29:01] 其他那种教练
[29:02] 叫我去地博的时间
[29:03] 我现在就是没有
[29:04] 四点半五点半以后
[29:05] 你可能不要叫
[29:05] 因为他妈太热
[29:06] 所以我觉得
[29:07] 可能大家可以
[29:08] 及时广议一下
[29:09] 之后换场地
[29:10] 或者说怎么样
[29:11] 有人要投资场地
[29:12] 这个很需要
[29:13] 这个如果弄下去应该超多人会非常有兴趣
[29:15] 下面一位
[29:16] 5269
[29:17] 梦宫去嘎
[29:18] 目前我大学即将毕业
[29:20] 摆在眼前有几个选择
[29:21] 第一个继续在补习班当老师
[29:23] 稳定到我厌倦那个环境的
[29:24] 第二个跟朋友出去一起创业
[29:27] 但一开始可能需要打一些零工
[29:29] 扛着前面的过渡期
[29:30] 想问问梦宫去嘎的想法
[29:32] 谢谢梦宫去嘎
[29:33] 祝梦宫全家平安快乐健康幸福
[29:35] 我不知道为什么
[29:36] 我想要给你一个非常干的回应
[29:38] 就是很像干话
[29:39] 可是我第一个想到真的这样
[29:40] 就是相信你的直觉
[29:41] 兄弟
[29:42] 相信你的直觉
[29:43] 你觉得虾该做什么就做什么
[29:45] 因为你已经算是很明确
[29:46] 你对于虾的环境是厌烦的
[29:47] 所以你一定会有一种期待的投射
[29:49] 就是你认为生活该是长什么样子
[29:51] 所以即便他可能就是
[29:53] 你选择了这个创业
[29:54] 然后一开始要打零工超辛苦
[29:55] 至少那是你期待的一个生活
[29:57] 先往这个方向去
[29:58] 然后预料看什么样的状况
[29:59] 再来做调整会比较好一点
[30:00] 所以去倾听自己的声音
[30:02] 那是蛮重要的
[30:03] 所以我会敲口
[30:04] 诸位你好
[30:05] 我身上有3000万的资金
[30:06] 有办法当中小所长廷吗
[30:09] 中小主力锁涨停吗
[30:11] 想知道主委锁涨停
[30:11] 又怎么说的
[30:12] 其实小弟的策略
[30:14] 并不是以锁涨停为主
[30:15] 我也不会讲
[30:16] 我自己是什么锁涨停
[30:17] 好像很霸气
[30:18] 锁涨停是身边的一些大哥
[30:20] 在做的事情
[30:20] 对我来讲就是
[30:21] 我可能看到你在涨停
[30:22] 叫我可以把你收掉
[30:23] 没有问题
[30:23] 可是你说我们在上面挂个
[30:25] 3000张10000张
[30:26] 这个离我都还是有点距离
[30:28] 那以我的资金分散程度
[30:30] 我也没有办法
[30:31] 在单一标的这样去做
[30:32] 那至于说3000万
[30:33] 有没有办法去锁一些中小型
[30:35] 那一定是可以
[30:35] 3000万应该已经算是够了
[30:37] 就是一些那種量比較小的股票
[30:38] 你是有辦法去做的
[30:40] 那這是要怎麼樣鎖
[30:41] 反正你不用想得太複雜
[30:42] 你就簡單想像成說
[30:43] 今天就是來到了漲停價附近
[30:45] 那一般漲停價上面都會掛很多單
[30:47] 你就相信說它明天會漲更多
[30:48] 你就把它票收光
[30:50] 其實就這樣而已
[30:50] 那重點後面都是各式各樣的優化而已
[30:53] 那我們不會在這邊去講太多這個東西
[30:54] 因為這個東西嚴格上來說
[30:56] 你真的要去挖的話
[30:57] 你可以講說這樣超重價格
[30:59] 但也不一定
[30:59] 我就是想在漲停買東西不行
[31:01] 對有些人就是這樣子
[31:02] 以前我也是很好奇說
[31:03] 這些鎖漲停的格格沖到底在玩什麼遊戲
[31:05] 那後來因為我自己開始去懂他們在玩什麼遊戲之後
[31:08] 甚至有時候會去幫忙參與一下
[31:10] 因為你知道這個遊戲它蠻有意思的
[31:11] 它是一個這個數學遊戲啊
[31:13] 就是懂的話會算的話就會知道說
[31:15] 嗯這裡面是有利可圖的
[31:17] 藏起來看但不要說什麼啊
[31:19] 我一次鎖失敗被盜隔天開一滴就覺得說爛策略沒有
[31:22] 因為每個策略其實都稍微拉長一點看
[31:24] 會有不一樣的一些觀察
[31:26] 就是稍微點你這樣
[31:27] 下面一位J Jack 夢工去感恩
[31:29] 我是一位美股跟單宅
[31:31] 只會匯整各路Podcaster跟催商各路投資人的分析後再投資
[31:35] 投资有赚就感谢
[31:36] 陪着就自己检讨
[31:37] 这几年资产腰斩也扛了不少次
[31:40] 近两年绩效都超越大盘不少
[31:42] 常怀疑自己都把功课交给人做
[31:45] 真的可以这么舒服吗
[31:46] 我越来越怀疑就是捐弱势团体
[31:49] 最后祝孟公一家跟听众们
[31:51] 健康平安持股爪上天
[31:53] 谢谢
[31:53] 其实这个不算是把
[31:56] 所谓的研究给别人做
[31:57] 就只能够说
[31:57] 你的消息来源是来自于一些社群
[32:00] 或是一些
[32:01] 就是可能在各种social media
[32:03] 大家的评论之类的
[32:05] 因为Podcast或是YouTube
[32:06] 他们严格上来说
[32:07] 都算是一个社群
[32:08] 这当然也是一种
[32:09] 获取资讯的方式
[32:11] 只是我自己会觉得
[32:12] 这个方式应该不是太好的方式
[32:15] 它应该不是太好的方式
[32:16] 甚至是很多人会以为说
[32:17] 东西我就是要越听越广
[32:19] 我要去尽量的去收大量的资讯
[32:21] 我才可能会有一个比较客观
[32:23] 或是比较中性的一个反应
[32:25] 这边我刚好是持意见相反
[32:27] 因为在投资里面
[32:28] 特别是一些短线的博弈上
[32:30] 你太容易跟所谓的散户
[32:32] 站在同一边
[32:33] 甚至我们自己身边的一些人
[32:35] 他们在做的时候
[32:35] 他们都会直接想说
[32:36] 散户在追了
[32:37] 这边就可以丢给他们
[32:38] 就是会有这样的想法
[32:40] 所以你不能够太从众
[32:42] 那我觉得之所以你这个策略
[32:43] 可能在过去一阵子
[32:45] 是非常的好用
[32:46] 是因为现在就是一个大多头
[32:48] 你干脆讲说
[32:49] 你买什么不会赚钱
[32:49] 现在就是基本上你只要
[32:51] 你不是all in单一标的
[32:52] 你是用傻的
[32:53] 类似说用大盘的心态
[32:54] 你去买个10档20档股票
[32:56] 或是0050或什么的
[32:57] 你的绩效一定很难差
[32:58] 就是不会差
[32:59] 所以这两年有可能是因为
[33:02] 你知道因为大盘的Beta好
[33:03] 整体环境好
[33:04] 所以导致说你的机器好
[33:05] 因为理论上去看大量的
[33:08] 你讲吧
[33:08] 你的来源是翠或是各路的Podcaster
[33:11] 包含小弟在内
[33:12] 我会觉得是这样
[33:14] 你宁愿去找几个
[33:15] 你觉得纯度比较高的去停
[33:17] 你也不要去找所谓的大家的共识
[33:20] 因为一般大家的那个共识
[33:21] 在盘面没有这么好的时候
[33:23] 你就会很常买在
[33:24] 已反应受伤的地方
[33:25] 因为大家都知道了
[33:26] 类似这样
[33:27] 为什么有些人在市场上
[33:28] 会被酸说是反指标
[33:30] 我们不用去点名谁
[33:30] 反正为什么有些人会被酸反指标
[33:32] 就是因为他们很多时候
[33:33] 都是等到事情已经发生了
[33:34] 才出来讲
[33:35] 就是类似说
[33:36] 在半信半疑讲的时候
[33:37] 因为没有人会相信你
[33:38] 或是很多人会觉得你很奇怪
[33:40] 你就举例来说
[33:40] 像我们前面在讲被动元件的时候
[33:42] 那时候也是
[33:43] 我不知道跟他分享
[33:43] 我身边朋友讲说
[33:44] 根本就没有看到涨价
[33:45] 我还心中想说
[33:46] 你等着看就知道
[33:47] 你一定会看到涨价
[33:47] 那也是我们有一个
[33:49] 就是那种自己的idea input进去
[33:51] 所以某个程度上
[33:51] 你那时候是在跟市场对着
[33:52] 因为大家不相信
[33:53] 可是大家都信
[33:54] 大家都信
[33:54] 也不是说没漏尺
[33:55] 还是有漏
[33:56] 只是就看你会赚哪一段的钱
[33:58] 我不是在讲说
[33:59] 我自己永遠是對的
[34:00] 然後覺得說
[34:00] 像我前面也曾經抓一些題材
[34:01] 像那時候我一直看到說
[34:02] 太陽能在那邊積極轉強
[34:04] 我去弄
[34:04] 弄一弄發現說弄不太起來
[34:05] 我就放棄就走了
[34:06] 所以其實我們在市場裡面
[34:07] 我們一直去找新的故事跟題材
[34:10] 那重點就是說
[34:11] 要持續讓自己賺多賠少
[34:13] 這個很重要
[34:13] 這樣講很像幹話
[34:14] 可是真的是這樣
[34:15] 就是你不可能每一筆都會對
[34:16] 不對的時候損失控制好
[34:19] 賺的時候讓它放飛
[34:20] 整體組在一起
[34:21] 就是一個不錯的報酬率
[34:22] 只是用社群作為消息的主要來源
[34:25] 我感覺應該真的不是一個好事情
[34:27] 下面一位Anzel Chen
[34:28] 孟公你好
[34:30] 我好友台中港大逼哥
[34:32] 最近土地少炒一点来炒股了
[34:34] 我请他弄快递
[34:35] 弄个交易室
[34:36] 顺便安装一台室内高尔夫模拟机
[34:38] 我要出
[34:39] 他一直兴致缺缺
[34:40] 你说话他比较愿意听
[34:42] 你可以用你迷人的嗓音帽圈圈他
[34:43] 并送他那四个字吗
[34:45] 谢谢爱你
[34:45] 这时候是要拿四个字
[34:47] 早生贵子
[34:48] 我不知道怎么突然想到这个
[34:49] 那总之呢
[34:50] 大逼哥看起来是一个
[34:51] 这个地方贤达人士嘛
[34:53] 土地一大堆
[34:54] 像这种呢
[34:54] 你就不要屌Enzo
[34:55] 你真的不要屌Enzo
[34:56] 虽然这个是我挺重
[34:57] 你知道他来拜托我做事
[34:59] 然后我直接在那边出卖他
[35:00] 但我还是觉得
[35:01] 就是你自己有办法成事的人
[35:03] 你要尽可能的去相信自己的直觉
[35:06] 即便可能某个程度上
[35:07] 让你看起来像是暴君
[35:08] 也在所不惜
[35:09] 怎么说呢
[35:10] 我后来有稍微的悟到一件事情
[35:12] 我发现人假设要成长的话
[35:15] 你身边的人理论上要越来越少
[35:17] 所以越来越少的时候
[35:18] 就那个核心的圈子
[35:19] 当然你要叫做一个企业的大老板
[35:21] 他是需要很多人的力量
[35:23] 去让他到那个地方去
[35:24] 那是我意思说
[35:25] 你没有办法去跟很多人交心
[35:28] 然后同时你在阶级上面
[35:30] 不停的往上跳
[35:31] 为什么
[35:31] 因为其实你每个身边交心的人
[35:33] 你看这个Ansel
[35:33] 就要跟他讲说去搞交易室
[35:35] 人家土地炒得好好的
[35:36] 然后你跟他讲说
[35:37] 赶快运动交易室
[35:38] 搞不好运动交易室
[35:39] 就是他妈的开始衰败的开始
[35:41] 所以你不要受到
[35:42] 身边这些杂讯的影响
[35:43] 你要坚持自己
[35:44] 认为什么是对的
[35:45] 闻到什么味道
[35:46] 觉得直觉在哪里
[35:47] 就往那个方向去
[35:48] 好啦
[35:49] 但如果说你跟Ansel
[35:50] 真的是好朋友的话
[35:51] 那个不伤身
[35:52] 土地这么多
[35:52] 弄一个
[35:53] 你知道大家可以在那边打高尔夫
[35:54] 一个main cave
[35:55] 也是一个不错的选项
[35:56] 那下面一位
[35:57] 家卫
[35:58] 孟公先祝你一家万安
[36:00] 小弟最近因为周围的人都在讨论股票
[36:02] 感到烦躁
[36:03] 也意识到我们里的做法
[36:04] 都是持有满仓现货
[36:06] 如果将来遇到一个较长期的回答
[36:07] 但不希望将持股出清
[36:10] 那请问这时候可以往什么方向去关注
[36:12] 那是选择相对抗跌的个股
[36:14] 还是选择与大盘生死共亡比较好
[36:17] 那请您指教
[36:19] OK反正就是希望说去做长期投资
[36:23] 然后东西尽量不要动
[36:24] 当然如果今天遇到大盘下跌的时候
[36:26] 我们讲一个比较经典的案例
[36:28] 2022
[36:28] 因为2022跌一整年
[36:30] 事后回头看2022的蛮多东西
[36:32] 当然你现在去讲
[36:34] 它都是有一些那种mix signal在里面
[36:36] 就你也不能够说
[36:37] 2022的东西完全是错杀
[36:38] 因为如果后面没有AI的话
[36:39] 说不定这些东西
[36:40] 根本就不会回来这么快
[36:41] 对吧
[36:41] 反正总之就是我们要持续相信说
[36:43] 人会往更好的方向去发展
[36:46] 人类的社会会持续的
[36:47] 有更多新的科技的加入
[36:49] 我们对于世界资源的产出
[36:52] 会越来越高
[36:53] 而不是像有些人去想象
[36:54] 就是说人类都是在
[36:55] 西光世界的资源
[36:56] 我们是站在另外一面
[36:58] 我们是相信说
[36:59] 我们借我们的新的工具
[37:01] 其实我们可以产出更多的资源
[37:02] 让大家生活去做显著的提升
[37:04] 最简单的一个举例就是
[37:05] 你在古代过的生活
[37:06] 跟你在现代过的生活
[37:07] 其实现代人过的生活
[37:08] 每个人都比古代皇帝来得好
[37:10] 对吧
[37:10] 所以当你有这样一个信仰之后
[37:11] 其实就可以去加深你去持有
[37:13] 不管是大盘或是一些
[37:14] 所谓的个股
[37:15] 你觉得它不错
[37:15] 你觉得它长期是OK
[37:16] 即便在过程之中
[37:17] 会遇到各式各样的事情去做挑战
[37:20] 只是在2022年
[37:21] 我必须得说还是一个
[37:22] 非常难熬的状态因为它一叠就叠一整年所以一些你看起来所谓的好公司所谓的成绩不错最后面也证明说对你其实是看对但他就是先跌掉50%那这时候怎么办因为好在你是纯线股
[37:34] 纯线股就是
[37:35] 你就是软蛋捏着
[37:36] 然后就跟他下去
[37:37] 可是因为按照我们自己的经验
[37:39] 就是我们是会相信说
[37:40] 特别是其实你去看指数的成分股
[37:43] 就知道了
[37:43] 在过去的数十年
[37:45] 就是每十年都拉指数的
[37:47] 前十大来看
[37:48] 你会注意到
[37:49] 他其实是在换人
[37:50] 所以有些东西
[37:51] 他看起来是好的
[37:52] 不代表他之后就会是好的
[37:53] 甚至是他可能就是会在这种
[37:55] 大盘大回荡的时候
[37:57] 他可能就被市场给淘汰掉
[37:58] 他可能就遇到一些财务
[38:00] 嘎不过来的状况
[38:01] 然后就倒闭了
[38:01] 所以一些太弱流强
[38:03] 我觉得还是需要的
[38:04] 所以如果你今天是被动投资人
[38:07] 像你是0050的投资者的话
[38:08] 我觉得你就可以
[38:10] 像你讲的
[38:10] 不希望出清我就熬过去
[38:12] 因为反正就算今天可能
[38:13] 0050的什么10到15大
[38:16] 被踢出去暴跌换人
[38:18] 可是就有新的人进来
[38:19] 所以他本身就是一个太弱流强机制
[38:21] 可是如果你是去持有现股的话
[38:23] 有些迭阿修的东西
[38:24] 他是有可能就就此站不起来的
[38:26] 有些在那种修正消息的东西
[38:27] 他可能后面就不会再回来了
[38:29] 所以不是说什么你有信念
[38:31] 然后你有研究
[38:32] 你就可以抱着
[38:33] 有时候你知道
[38:34] 那不是他的错
[38:35] 就像说高速公路的收费员
[38:38] 他得罪谁了
[38:39] 他没有得罪谁
[38:40] 他那边研究了半天
[38:41] 怎么样收那个票
[38:43] 收的又帅又快
[38:44] 让各个用户人非常的高兴
[38:46] 那他就被e-tag给取代掉
[38:48] 所以有些公司他很认真在经营
[38:50] 可是他就是就掰了
[38:52] 那个东西他不是说什么
[38:53] 你去针对这个公司挖很深
[38:55] 你就知道
[38:55] 因为那个是世界趋势的一个变换
[38:57] 所以我还是觉得
[38:58] 太弱流强是需要的
[39:01] 就是说在可能东西都在跌的时候
[39:03] 你必须
[39:04] 当然不一定要完全用价格去做衡量
[39:06] 可是你一定要做一个心理准备
[39:08] 就是这些东西有些是不会回来的
[39:10] 然后在这样的状况之下
[39:11] 你还是可以去做一些调整
[39:12] 你找到新的东西
[39:13] 你还是上或什么的
[39:14] 就类似说
[39:15] 其实我们在每次的租金轮动
[39:17] 都在做类似的事情
[39:18] 就当我可能年初是卫星
[39:20] 那后来可能是那种什么光设备
[39:23] 载板或是什么被动元件
[39:25] 功率元件
[39:26] 那中间我也被太阳能雷过
[39:28] 虽然太阳能
[39:29] 那个后来蛮多都是
[39:30] 据说我把它丢掉的时候
[39:31] 它有再继续上
[39:32] 可是对我来讲
[39:33] 那就不是我要的东西
[39:34] 我就把它换掉
