[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由NordVPN赞助
[19:33] 你讲一个东西
[19:33] 他就一直讲说
[19:34] What about什么
[19:35] 他扯一堆东西进来
[19:36] 当然这个我们一定都会去综合评估
[19:38] 可是其实加起来
[19:39] 那个market cap是没有到非常巨大
[19:41] 就是你跟韩国杠杆指数去比的话
[19:43] 其实我们的杠杆程度没有很大
[19:46] 但是在过去还是相当程度的去受到影响
[19:49] 就是整个市场都在去进行降杠杆
[19:52] 后面该怎么样去做处理
[19:54] 我还是会目前暂时先把它视为说
[19:57] 这是一个资金面的一个影响
[19:59] 在盘面上
[20:00] 包含说融资堆叠很高的地方
[20:02] 或者说热门度非常高的地方
[20:04] 你上FREDS
[20:06] 或者说你上什么讨论区
[20:07] 每个人都在讲的族群
[20:08] 就算他很好
[20:09] 可是短期内
[20:11] 好像今天算是有反弹
[20:12] 你注意到那些谈不太起来的东西
[20:14] 这个蛮高几率
[20:15] 上面人太多
[20:16] 上面人太多
[20:18] 其实按照我们过往的经验
[20:19] 就是怎么讲
[20:20] 一个股票最终还是会回归基本面
[20:22] 只是他可能会花
[20:23] 比较长的一段时间
[20:24] 要去超度掉这些人
[20:25] 因为去参与的人蛮多
[20:27] 他使用了大量的杠杆
[20:29] 当然我们自己本身
[20:30] 也都是会去使用融资跟杠杆的人
[20:32] 我只能够说某个程度上是一种信仰的测试
[20:36] 某种那种faith
[20:37] 因为蛮多人他去买标的
[20:39] 其实他是去道听途说
[20:41] 当然道听途说
[20:42] 你道听途说到台积电
[20:43] 你还是可以赚到蛮多钱
[20:44] 所以道听途说不一定是一个全然很坏的事情
[20:48] 但如果你今天是道听途说去买的各式各样的
[20:51] 甚至是比较偏向那种中小型的标的
[20:53] 当他今天波动放大的时候
[20:54] 当他今天事与愿违的时候
[20:56] 过去的六个月大家都知道
[20:58] 股票买了怎么样只会上涨
[21:00] 每次拉回无脑买只会上涨
[21:02] 可是最近应该大家都有感的感觉
[21:04] 这个盘面开始有点不一样
[21:06] 当大家开始去面临这样子的考验
[21:08] 知道说你去买拉回
[21:09] 他可能还在继续拉回
[21:10] 他可能拉回的幅度
[21:12] 是在过去的半年来之最
[21:14] 如果你拉好几年
[21:15] 这都小事情
[21:16] 其实现在严格上来说
[21:17] 根本就没有回荡
[21:18] 你看大盘他根本就没有回荡
[21:19] 可是为什么这么多哀鸿遍野
[21:20] 就是因为可能过去一些热门古籍
[21:22] 有非常多人
[21:23] 然后现在大家都想要跳车
[21:25] 因为没有人是有faith
[21:26] 没有人是有conviction
[21:27] 他有一句
[21:29] 我最近在X上面看到一个有趣的话
[21:31] 然后说你要怎么样知道说
[21:32] 你对这个股票是有信念的
[21:34] 是有faith是有conviction的
[21:35] 在下跌的时候你是开心的
[21:37] 你觉得你可以买更多
[21:38] 就是有faith跟conviction
[21:40] 可是绝大多数其实
[21:41] 就坦白讲就连我们自己
[21:43] 在交易的时候都会放一些动能的成分
[21:45] 大家都不要的东西
[21:46] 我们就跟着就从善如流就砍它
[21:47] 我要等你形态转好再来买
[21:49] 你想如果大家都是抱持类似的形态的话
[21:51] 那些杠杆堆叠非常高的地方
[21:53] 或者说过去非常热门的地方
[21:55] 可能在修正觉得比较残一点
[21:57] 不然其实按照我们现在的角度去砍
[21:59] 大家知道说台积电随后就要出来讲话了
[22:01] 其实他讲的东西不会差
[22:04] 前面有些人把它预期到很高的地方
[22:06] 不然说可能毛砍到70去
[22:08] 跟那时候美光还很高一样
[22:09] 那个应该不会在短期内发生
[22:11] 但是终究有没有可能往那个方向去
[22:13] 其实非常有机会
[22:14] 展望也是好的或什么的
[22:16] 然后再来就是其实市场上的这些热门族群
[22:18] 稍微的盘点一下
[22:20] 过去就是被动元件功率
[22:22] 然后到这一波其实转强的是什么
[22:23] 细菌源跟载板
[22:25] 或者说设备
[22:26] 其实蛮多已经在盘整的末端
[22:28] 光通的话
[22:29] 如果说没有破底的话
[22:30] 也开始进入一些横盘
[22:31] 最近常务在今天表态
[22:33] 所以这些东西
[22:34] 我们目前去乍看
[22:36] 都还是在产业的发展上
[22:38] 是没有什么太大的问题
[22:39] 就是可能跟韩国人所触发的
[22:42] 一个那种全球降杠感的
[22:44] 怎么样
[22:44] 就是有时候也不一定是
[22:45] 韩国人直接影响到你的市场
[22:47] 是你看到韩国人这样
[22:48] 你不免的就去思考一下说
[22:49] 妈我杠也杠很大
[22:50] 我可能就提早去降杠
[22:52] 所以有可能是这样的一些情形
[22:54] 只是我们注意到在台湾这边
[22:56] 可能大家真的赚太多
[22:57] 像昨天算是一个
[22:59] 那种蛮血腥的大屠杀
[23:00] 有很多都直接跑去绿灯的
[23:01] 最后面奇迹就拉回来
[23:03] 一般来说
[23:04] 在我自己的体感
[23:05] 我这个融资应该要减个
[23:06] 两三百亿以上
[23:07] 结果只减一百多
[23:08] 那再往前一天
[23:09] 其实也是蛮凶的一个回答
[23:11] 可是基本上是没有减多少融资的
[23:14] 这代表什么
[23:14] 其实我们的营业员都没有骗我们
[23:16] 像我就一直跟我营业员讲说
[23:17] 你等到有人被断头的时候
[23:19] 你跟我讲
[23:19] 就是我要把额度卡起来
[23:21] 以前我都可以借满的
[23:22] 现在都不让我借钱了
[23:23] 先强调
[23:24] 就是我的借满
[23:25] 其实算起来都还是一点多倍而已
[23:26] 我只是说
[23:27] 我在一些券商有去开那个额度
[23:29] 一般我都会把它用
[23:30] 那只是他现在都不给我用
[23:31] 因为被别人卡光了
[23:32] 我说等到他们死光之后
[23:33] 你就跟我讲
[23:34] 我要把那个额度卡起来
[23:35] 那至今其实每个回答
[23:36] 我回去问都没有
[23:38] 就是他都没有放出来
[23:39] 我就代表说
[23:40] 真的是大家都赚太多钱了
[23:41] 只是什么时候要卖
[23:42] 卖多卖少这样的一个差别
[23:44] 那所以在后面的观察是这样
[23:47] 其实这阵子
[23:47] 我自己跟身边朋友在讨论
[23:49] 因为像这波很明显转强
[23:51] 就是钱跑到宅版
[23:52] 然后跟细金源这边去
[23:53] 只是细菌人就还是像节目跟大家分享的
[23:57] 它绝对是一个在后面你会注意到说
[23:59] 可能报价会上去
[23:59] 状况很不错的东西
[24:00] 但就是偏贵偏早
[24:03] 在我看来是这样
[24:03] 然后库存的状况其实也都还偏高
[24:05] 但是我相信市场的资金
[24:07] 我们不知道说人家笨或什么的
[24:09] 因为市场去拉一定是有它的道理
[24:11] 可能就大家提早去反映
[24:12] 或者说它属于是过去还没有很明显拉到的东西
[24:15] 所以大家冲进去拉这个
[24:16] 那载板的话我觉得无庸置疑
[24:18] 它其实就是从去年到现在
[24:20] 都是一个非常匮乏非常缺的一个状态
[24:22] 那最近有一些新的drama
[24:24] 像盛宏这边
[24:25] 他们可能在一些材料上面
[24:27] 有出一些状况
[24:28] 所以有一些订单跑进来台系之类的
[24:31] 那他们表现的很好
[24:32] 这大家都知道
[24:33] 那大家往这边去怼
[24:33] 但他其实严格上来说
[24:35] 他在市场里面
[24:36] 也不是一个特别便宜的一个选项
[24:38] 所以只能够说
[24:39] 可能这两个地方的筹码是相对纯的
[24:41] 但有趣的是什么呢
[24:42] 因为刚好在过去的修正
[24:44] 我觉得太明显了
[24:45] 就是猴子都知道说
[24:46] 这些族群是最强的
[24:47] 所以其实有超多
[24:49] 至少我们身边那种
[24:50] 跟我自己不是太熟
[24:51] 但我知道那种杠超大的
[24:53] 全部都往这里面钻
[24:54] 他们全部都钻
[24:55] 因为这是市场剩下的强势股
[24:57] 所以就是一样会循环
[24:59] 可能过去的强势股
[25:00] 一堆人追的
[25:01] 然后再回涨的时候就特别凶
[25:02] 后面就是说
[25:03] 那个已经是预约好
[25:04] 可能下一波就是有机会
[25:06] 会换那边去做修正
[25:07] 所以我自己也不太敢
[25:08] 就是看到这个盘面
[25:10] 剩什么强的去追
[25:11] 你想说这可能跟
[25:12] 过往我们跟大家分享
[25:13] 一些泰罗刘强的逻辑相反
[25:15] 理论上泰罗刘强就是
[25:16] 市场哪里有强
[25:17] 就继续往那里去
[25:18] 可是当今天
[25:19] 我记得在几年前有举过这个例子
[25:22] 跟那个糖豆人一样
[25:22] 糖豆人有一关是地板上很多板子
[25:25] 然后那个板子只要被人家踩
[25:26] 第二次来第三次就开始掉下去
[25:28] 掉下去之后就少板子
[25:29] 大家能够活动的范围就变少
[25:31] 我觉得可能你之前可以想象成是
[25:33] 我们刚到这个arena里面
[25:35] 然后大家去踩这个板子
[25:36] 这个板子下越踩越少
[25:38] 它还在季线上的标的是越来越少
[25:40] 然后再来月线上的标的
[25:42] 可能就硕果仅存
[25:43] 剩下就是少部分的一些族群
[25:45] 所以说我资金推进去的话
[25:47] 当然你可以去赌说
[25:48] 它会有一小波
[25:49] 只是在我们的角度是
[25:51] 我如果进去
[25:52] 然后接着我很快又要考虑说
[25:54] 什么时候要出场的
[25:55] 那我不如就不要进去
[25:56] 就这个行情已经变得
[25:58] 对我们来讲是太复杂了
[25:59] 所以在这波我就没有选择去追
[26:01] 那一些比较强势的东西
[26:03] 在过去是这样
[26:03] 就是一波切一波
[26:04] 像可能今年出的卫星
[26:07] 然后后来切什么载板光设备
[26:09] 然后再什么被动功率
[26:11] 那时候都是这样切来切去
[26:12] 只是这波我的想法是
[26:14] 我暂时不会想要去
[26:15] 把资金赶快的切到那一边去
[26:18] 我反而是
[26:18] 现在可能把这个盘面
[26:20] 视为是某种区间来做
[26:21] 就我自己会把它视为
[26:22] 是某种区间来做
[26:23] 所以像自己手上一些
[26:25] 心态整个叠坏掉了
[26:26] 开始出现一个大头部的
[26:28] 就去做减码
[26:29] 因为我总是需要钱
[26:30] 去买新的东西
[26:30] 那新的东西的话
[26:31] 既然我不是去追最强的东西
[26:34] 我就开始去把眼光放到
[26:36] 财报机这边去做一个思考
[26:37] 那当然可能目前市场上
[26:39] 一个最明显的选项
[26:41] 就是像我们前面讲的
[26:42] 当盘不好的时候
[26:43] 大家都想起盛亏股的美好
[26:44] 大家都冲进去台积电
[26:45] 台积电之后有一个事件
[26:47] 就看他的事件
[26:48] 有没有办法把它往上推
[26:49] 那再来就是
[26:50] 接下来财报季到这个月底的时候其实是有蛮多的IDM会出来讲那我们目前是知道说公立援建的状况其实是好的只是在台股这一波他们其实回荡也都回了蛮大的那我们就来看一下说
[27:03] 可能等到7月底的
[27:04] 这些IDM出来讲话
[27:06] 有没有可能去触发
[27:08] 就是可能在过去修正比较多的族群
[27:10] 然后会谈上去这样
[27:11] 我会把它视为是一个区间来看
[27:13] 那当然现在这个地方
[27:15] 就会有某个程度上算是一个
[27:16] 我假定的区间底
[27:18] 我可能可以允许它
[27:19] 再往下一部分之类的
[27:20] 只是如果它往下到
[27:21] 跟其他那些破季线
[27:23] 然后破大支撑的东西一样的话
[27:25] 可能也不会在上面去做加码
[27:27] 所以其实在这个阶段
[27:28] 我自己的想法会偏向是要慢慢的缩起来
[27:31] 是要慢慢的缩起来
[27:33] 只是过往会缩得比较快一点的原因
[27:36] 是因为可以沿路去杠
[27:37] 只是就像我刚才前面讲的
[27:38] 这一波台湾的蛮多券商的融资管道都把你卡起来
[27:41] 所以其实你没有什么杠杆好缩的
[27:43] 所以其实还蛮老神在在的
[27:45] 只是也没有办法像过去这么chill
[27:47] 因为过去早上跑去打球
[27:48] 像我妈我礼拜二的早上
[27:50] 本来也是跟教练十点约功能训练
[27:52] 我竟然在思考说
[27:54] 是不是要跟教练请假
[27:56] 之后我发现
[27:56] 因为我教练真的太屌了
[27:58] 他太多学生
[27:59] 所以我觉得不能够做这种事情
[28:01] 我那个slot
[28:01] 我一定要卡到卡满
[28:02] 可是那可能是我过去几个月来
[28:04] 就第一次想留在家里看板
[28:06] 因为我觉得他妈一堆美红干的
[28:07] 他整天在那边恐慌乱杀表弟
[28:09] 韩国人在发疯
[28:10] 你们也跟他一起发疯
[28:11] 到底在冲三小
[28:12] 你为了怕
[28:13] 你也被大家踩死
[28:15] 当然最理想的状态
[28:16] 就是说你知道你买的东西什么
[28:18] 没关系你就跟他放
[28:19] 可是我觉得是这样
[28:20] 就是有些那种
[28:21] 比较偏向是一个循环肋骨的
[28:24] 或者说现在大家
[28:25] 已经是进入到退PE阶段的
[28:28] 他可能下去之后
[28:29] 他不一定会很快的上得来
[28:31] 我们还是相信说
[28:31] 你首先不要买垃圾的话
[28:33] 你相信说他都是还是有机会
[28:35] 但他有可能
[28:36] 就像说他前面的
[28:37] 那个PE Ratio的估值
[28:38] 后来的一段时间
[28:39] 他没有办法回去
[28:40] 他只能够等到后面的
[28:41] 可能月营之后
[28:42] 或者说财报出来
[28:43] 然后再把可能现在修正过后的
[28:45] 一个PE Ratio再推上去
[28:47] 变成是慢慢爬了
[28:48] 这个在我们看来
[28:49] 就是资金效率的不张的一种
[28:50] 所以就会去把那些
[28:52] 可能现在表现没有这么好的
[28:53] 慢慢去态掉
[28:54] 那在过去几集
[28:56] 就有跟大家聊到说
[28:57] 有一些在季线下面的
[28:58] 我自己会认为说
[28:58] 它弹起来碰到季线就软掉
[29:00] 那大家现在就可以去验证
[29:02] 就真的蛮多
[29:02] 后来弹起来碰到季线就软掉
[29:04] 所以即便是在
[29:05] 现在你手上的一些什么主流族群
[29:07] 我还是觉得
[29:08] 在这种就是
[29:10] 全民大逃杀的一个状况之下
[29:11] 如果说它的形态
[29:13] 开始长得不好看的话
[29:14] 其实后面大家会慢慢的去往一些
[29:16] 少数族群去再做最后的集中
[29:19] 然后或者是可能有一些
[29:20] 过去已经休息很久的
[29:22] 像厂务算是休息很久
[29:24] 或者说设备
[29:25] 其实厂务已经有点到不起不待了
[29:27] 我觉得他拉不得上去
[29:28] 他应该是有某种
[29:29] 我自己甚至会猜想是
[29:31] 搞不好海外的一些Hedge Fund
[29:33] 或是一些Family Office
[29:36] 主权基金之类的
[29:37] 他们持有蛮多
[29:38] 就是在过去
[29:39] 我们把它视为是可能殖利率
[29:40] 或者说发展不错的
[29:42] 稳定的公司
[29:43] 他们应该是有站在卖方一直在丢
[29:45] 所以就会把一些东西
[29:46] 压在那边都不会动
[29:47] 可是过去可能休息一阵子的
[29:49] 不管是什么宅版设备
[29:51] 还是什么光通设备
[29:52] 它已经盘一阵子
[29:53] 就有可能会再跑出来
[29:54] 变成新的领头
[29:55] 所以现在看会觉得
[29:57] 跟年初比起来的盘面是
[29:59] 轮动太快
[30:00] 轮动非常快
[30:01] 族群切换也切得非常的快
[30:04] 有些东西已经会选择
[30:05] 要把它放掉了
[30:06] 就是过去我会知道说
[30:07] 切新的族群
[30:08] 我就要赶快换过去
[30:09] 但现在我就会担心说
[30:10] 你切新的族群
[30:11] 会不会又跟我们
[30:12] 前面跟大家分享了
[30:13] 就这个盘就是你越追越死
[30:15] 你越是动的
[30:16] 你就是越容易被修理
[30:17] 就怕自己会被修理
[30:18] 在震荡之中
[30:20] 如果最后面发现的时候
[30:21] 盘面其实停在差不多的地方
[30:23] 正负5%而已
[30:24] 然后你的钱负30%之类
[30:26] 那个就非常严重
[30:27] 所以其实我们现在要担心的是
[30:29] 你不要在震荡里面
[30:30] 把钱都赔光了
[30:31] 所以会重新的去盘点
[30:32] 自己手上的标的
[30:33] 一些可能走没那么好看的
[30:35] 即便你有很大的信念
[30:37] 你觉得他不错
[30:37] 可是你也是抱几个月
[30:38] 就觉得OK
[30:39] 大家都不要玩是不是
[30:40] 没关系大家都不要玩
[30:41] 就开始去做钱
[30:42] 接着会往一些
[30:43] 可能我自己家
[30:45] 开始去看一些业绩股
[30:46] 我会觉得说可能比较激情的那一段
[30:49] 还是要等到大盘新高以后
[30:51] 虽然大盘距离新高真的没有很远
[30:52] 可是不知道为什么
[30:54] 不管是台股或是美股的NASDAQ
[30:57] 都是没有办法
[30:57] 就那个新高其实不远
[30:58] 但好像没有事件可以把它推上去
[31:01] 推上去之后
[31:02] 我觉得我们家的这些防守性的规划
[31:04] 都不用屌它了
[31:05] 但就是没有办法的话
[31:06] 那它就是有机会会走向区间盘
[31:09] 所以就会开始去往一些业绩股的方向去做集中
[31:12] 这个可能是后面自己的一些想法跟规划
[31:15] 但大致上来看
[31:16] 我们目前在市场上
[31:17] 没有注意到一些
[31:18] 会对AI的整体需求
[31:20] 或者说产业的基本面
[31:21] 造成破坏性影响的东西
[31:22] 我还是会比较把它定义为
[31:24] 就是过去的资金赚太爽
[31:26] 然后现在是一个
[31:27] 全面大提款的一个状态
[31:29] 那身边也蛮多朋友
[31:29] 他们就不玩了
[31:30] 就开始去放假
[31:31] 那就像我自己呢
[31:32] 因为孩子家还在下令营
[31:33] 所以会等到
[31:34] 我八月的时候也要去放假
[31:35] 八月放假的时候
[31:36] 就是再把部位
[31:37] 再降到更低的一个水位
[31:38] 那就慢慢的观察
[31:40] 大概是这样子
[31:40] 好那以上就是这次的节目分享
[31:42] 接下来我们就去看部分
[31:43] 第一位东瓜骑士
[31:44] 嗨MK我好想看秋口
[31:46] 你晚点可以发线动给我看吗
[31:48] 感谢哦爱您
[31:49] 好啊
[31:50] 下面一位巨型龟头
[31:52] 想颜色梦宫
[31:53] 我朋友跟女友交往之后第一次做爱
[31:55] 在女友帮小城口交词
[31:57] 女友竟然自己先高潮了
[31:59] 我朋友觉得很纳闷
[32:00] 女友说人家是敏感性牙齿
[32:03] 下面一位小猫爱讲笑话
[32:08] 哈哈哈哈
[32:09] 先进船的人会先说什么
[32:12] 会说online
[32:13] 哈哈哈哈
[32:14] 不好笑三分
[32:15] 我忽然想到一个
[32:16] 那个老奶奶跟洗发精
[32:18] 有什么共通点
[32:19] 经常倒在浴室地板
[32:21] 之后他讲的
[32:22] 不是我讲的
[32:22] 观音在看
[32:23] 我自己讲一个好笑的
[32:24] 耶稣讨厌上什么课
[32:26] 美劳课
[32:27] 因为老师会叫他动动手
[32:28] 累的时候要补充什么
[32:30] 十字架
[32:31] 因为他提神
[32:32] 哈哈哈哈
[32:33] 十分
[32:33] 这还叫笑话吗
[32:34] 以上这都不是我讲的
[32:36] 你看叠这样就疯了
[32:37] 我讲一个
[32:37] 而飞过山洞变什么
[32:39] 过洞儿
[32:42] 我不知道
[32:43] 我觉得他这个资讯量太大
[32:45] 这两个人是发生什么事情
[32:47] 然后他前面
[32:47] 那都不是我讲
[32:49] 那全部都他自己讲
[32:50] 下面一位
[32:50] 记得孟公家说过
[32:52] 不想再经历2022年那种程度的获利回吐
[32:55] 想请教您可能会准备什么策略
[32:57] 来控制下涨风险
[32:58] 以及如何判断时机
[32:59] 那另外谢谢您优质节目
[33:01] 陪我度过市场的每一天
[33:03] 祝您全家都健康快乐
[33:05] 2022年
[33:06] 我觉得我是被2020加2021养到有一点膨胀
[33:10] 就是知道说自己看的东西会对
[33:13] 那我只要敢买就会赚钱
[33:14] 就有点类似说像过去的半年
[33:16] 基本上就是买什么就会赚到什么的感觉
[33:18] 那所以当下就会认为
[33:20] 因为当时的乌鸥战争评估之下
[33:22] 其实你最后回头看
[33:23] 乌鸥战争跟全世界影响真的就很小嘛
[33:26] 他们现在还在打呢
[33:27] 他们现在整天还在护缸呢
[33:29] 就是没事啦就这样嘛
[33:31] 那只是当下他对市场的影响
[33:33] 老实讲是错估了
[33:35] 就是我是相信说他影响不会太大
[33:38] 所以我一开始还在那边接接接嘛
[33:39] 然后被杀了一两个Q之后
[33:41] 我那时候就是去开那个long short策略
[33:44] 简单来讲就是说会有多空去配置
[33:46] 那我不会做到neutral
[33:47] 我还是多单比较多
[33:48] 只是我会去配一些空单
[33:50] 因为已经发现说这个盘面不丢
[33:51] 它那个线已经开始往下走了
[33:53] 那可是我的东西我又不舍得卖它
[33:55] 我就喜欢啊
[33:57] 那我要怎么办去对冲我的下段风险
[33:59] 我就是去弄一些空单进来
[34:01] 就是我知道那种很差的
[34:02] 我就去补一些空单
[34:04] 那这一波的话
[34:05] 目前是没有想过要去使用任何空单
[34:07] 因为能见之处都还很好
[34:10] 我觉得一般是这样子
[34:11] 你一定要先受到相当程度的一个回档
[34:13] 可能先回个12%了
[34:15] 然后接着你才会去调你的策略
[34:17] 就看你可能前面赚多少钱
[34:19] 以今年来讲
[34:20] 因为前面真的是蛮不错的
[34:21] 所以向下根本就还没有回到15 20%
[34:24] 如果说真的有回到的话
[34:26] 我可能就会开始去想
[34:27] 说我策略要不要去改变
[34:28] 那不然现阶段的话
[34:29] 像我过去几个交易日在干嘛
[34:30] 我会抄底
[34:31] 我还在买
[34:32] 过去我就买太早
[34:34] 怎么讲
[34:35] 那都事后论
[34:35] 就是你现在回头看
[34:36] 后面再多叠这么多天
[34:38] 早知道我就最后一天在买
[34:39] 那只是我们人没有水晶球
[34:41] 那对我来说
[34:43] 就是有些东西杀得特别重
[34:44] 我不为又还没有买到上限的
[34:46] 我没有买到满的
[34:47] 我有喜欢的
[34:48] 我就开始去加码
[34:49] 只是像今天反弹之后
[34:51] 有蛮多都还没有弹到我加码的位置
[34:54] 应该说绝大多数
[34:55] 其实都还没有弹到加码的位置
[34:57] 但就这样子吧
[34:57] 先会用买
[34:58] 只是说后面假设弹起来
[35:01] 弹不上去
[35:01] 再破底的话
[35:03] 那首先加码单的部分
[35:04] 一定去把它砍掉
[35:05] 我没有办法去设定说就只砍这个价码
[35:07] 等于是说就要说
[35:08] 我本来是有500张好了
[35:10] 然后我这阵子加了变750张
[35:12] 那就他之后再给我破底的话
[35:13] 这250张我就先砍掉
[35:14] 我先回到本来的500张
[35:16] 我等于我先认赔一部分
[35:17] 那接着如果再继续出状况的话
[35:19] 就慢慢的去把它减掉
[35:21] 那我觉得会提早去做一些这种部位的调整
[35:24] 就是会把下档稍微的控紧一点
[35:27] 当你注意到盘面开始不好的时候
[35:29] 现在也没什么杠可以缩嘛
[35:31] 那我就去缩部位
[35:32] 我可能就把扣的现金的水位拉起来
[35:34] 现在还是没有扣什么现金
[35:35] 只是如果这一波反弹是上不去
[35:38] 那接着大盘甚至是从季线往下灌的话
[35:41] 我就会开始提早去扣现金
[35:42] 那这个操作其实已经比2022年那时候快很多
[35:46] 就是比较早去做预警
[35:48] 所以会想要这样子去做规划
[35:51] 那这个时机的部分
[35:52] 其实不要去太迷信
[35:53] 因为当你去做这样子的规划
[35:55] 我随便举例
[35:55] 如果这一次他就真的只是洗的比较深一点
[35:58] 然后之后全面开走
[35:59] 那你不为又没有及时的去补回来
[36:01] 或是追回来的话
[36:02] 等于你就带着20%的cash drag
[36:04] 这个是我自己非常不喜欢的
[36:06] 所以你每个决定
[36:08] 它都会有一些代价
[36:10] 你只要知道代价是什么就好
[36:12] 我知道我想要最极力避免的是
[36:15] 我已经不想再去忍受太大的回吐
[36:17] 即便这代表着牺牲掉我一些上当
[36:20] 但是我OK
[36:20] 就是我现在的状态
[36:21] 我会觉得我要往这个方向去努力
[36:23] 以前我也觉得
[36:24] 我要往最大获利去做思考
[36:26] 然后现在我是会变成
[36:27] 我会希望去规避掉一些风险
[36:30] 但不是全面的规避风险
[36:31] 就稍微的去规避一点点
[36:33] 那下面一位
[36:34] 我是去年加入的快乐宝贝
[36:37] 当时听到老公分享林口的
[36:40] 想说当个气氛仔前往
[36:42] 却没想到意外遇到老公
[36:44] 当时虽然没有讲什么话
[36:45] 但能够跟老公还有Noah合照
[36:47] 以及跟您停在同一排的机车格上
[36:50] 也算是解锁了人生不少成就
[36:52] 兄弟你的成就也太简单了吧
[36:55] 你可以设一个难一点的成就吗
[36:57] 然后说很谢谢当时的合照
[36:59] 我至今放在证券户的大头贴上
[37:01] 让我有如神力一般
[37:03] 不是啊
[37:04] 证券户怎么可以放我的大头贴啊
[37:06] 这是假冒吧
[37:08] 他说7月18号是我的生日
[37:09] 希望你可以用哈卡
[37:10] 跟我说那四个字
[37:12] 你还没给乱
[37:12] 那最后祝福老公
[37:14] Lisa Noah Killian
[37:16] 全家身体健康平安
[37:18] 绩效大爆色
[37:18] 求我干你娘
[37:19] 非常感谢这位兄弟
[37:20] 停在机车格合照
[37:23] 好像有一点印象
[37:24] 那希望你后面平安顺利
[37:25] 下面一位
[37:26] Ken10209
[37:27] 孟公去改
[37:29] 麻烦您用跟秋口讲话的声音
[37:31] 祝我家六月生日的
[37:33] 可爱小狗子生日快乐
[37:35] 那另外也祝我们
[37:36] 七月结婚周年快乐
[37:38] 目前在备孕的老婆辛苦了
[37:40] 有你们的生活
[37:41] 每天都很快乐幸福
[37:43] 并祝福孟公去改一家
[37:44] 健康快乐
[37:46] 希望你们可以顺利的怀上baby
[37:48] 也希望后面有一切顺利
[37:49] 下面为Eric Wong
[37:50] 孟公你好
[37:51] 不知道会不会想听我老二的故事
[37:54] 算了太长了我不想讲
[37:55] 看就是这样
[37:57] 每次排面开始震荡
[37:59] 开始修正
[37:59] 各路怪小
[38:01] 全部都跑出来
[38:02] 下面一位
[38:02] 请问我是好爱宝吗
[38:04] 公哥安安
[38:05] 这集可以用巨魔当标题吗
[38:09] 小弟老婆和家里
[38:11] 在家里跟孩子上
[38:13] 投入了非常多的心力
[38:15] 但总会担心
[38:16] 他是不是把太多重心
[38:17] 都放在家庭跟孩子身上
[38:19] 常常鼓励他
[38:19] 如果想做的事就放手去做
[38:21] 家里交给我就好
[38:22] 希望他先是他自己
[38:24] 再才是儿子的妈妈
[38:25] 我的老婆
[38:26] 但他说他就是喜欢把重心放在这里
[38:28] 想请教公哥这样的状态需要担心吗
[38:30] 这个是来晒的是不是
[38:32] 这是一个非常幸福的状态
[38:34] 就是老婆是以家里为重
[38:36] 老公同时也是非常帮忙家里
[38:38] 就是一个那种相敬如宾的状态
[38:40] 这个就是讲出来给大家羡慕的
[38:42] 那如果说今天太太是刚生完孩子的话
[38:45] 这可能是一个蛮正常的现象
[38:47] 像自己跟
[38:48] 昨天才一个朋友在吃麻辣锅的时候
[38:51] 就有提到他的老婆会不想要
[38:54] 就是自己的一些家人亲戚
[38:55] 甚至只是开个玩笑
[38:57] 好可爱哦
[38:58] 我把他带回去养养
[38:59] 超不爽的
[39:00] 我老婆其实那时候也是这样子
[39:02] 所以他们会有一个阶段是母爱炸射
[39:05] 他只想要去雇孩子
[39:08] 然后跟家
[39:09] 家也不是你的家兄弟
[39:10] 不是你的家
[39:11] 是这个孩子的家
[39:13] 他们那个母爱炸射
[39:14] 就会有这样子一个现象产生
[39:16] 一般来讲
[39:17] 可能就是到一两岁
[39:19] 就会稍微的收敛
[39:20] 如果之后还是这样子的话
[39:22] 不知道就捡到宝吧
[39:23] 我觉得因为其实在家里照顾孩子
[39:25] 是超级累的事情
[39:26] 你跟我交换我是不要的
[39:28] 好像我老婆
[39:29] 如果今天跟我讲说
[39:29] 她去搞股票
[39:31] 她去搞什么
[39:31] 有的没有的投资
[39:32] 她去做事情
[39:33] 然后在家里带小孩
[39:34] 我一定跟她说不要
[39:35] 因为这是一个
[39:36] 很困难的东西
[39:37] 所以我也不是说
[39:38] 什么让我老婆
[39:39] 一定要在家里
[39:39] 她愿意带的话是很好
[39:41] 我们现在只有找外援
[39:42] 就现在只有保姆
[39:43] 可是之前有一阵子
[39:44] 我老婆也是完全不接受
[39:46] 任何的什么保姆
[39:47] 或是协助
[39:49] 她都不要
[39:49] 甚至在诺亚
[39:50] 就是我们第一胎的时候
[39:51] 她连拖延中心都不想送
[39:53] 那时候是因为她生病
[39:54] 然后偷送
[39:55] 不然我真的觉得快BBQ了
[39:57] 因为我自己已经觉得
[39:58] 我快撑不下去了
[39:59] 那么我老婆还要喂奶
[40:00] 还要做一堆东西
[40:00] 她觉得她可以
[40:02] 可是连我都不行
[40:03] 因为连我都觉得
[40:04] 我累到没有办法去
[40:05] 做我自己的工作
[40:06] 所以有时候
[40:07] 可能要稍微再沟通一下
[40:08] 说不定你也是很客气的
[40:10] 希望老婆可以
[40:11] 多花一点时间在外面
[40:12] 甚至是花一点时间
[40:13] 在你身上之类的
[40:14] 但他们有时候脑子
[40:16] 如果说刚好是
