[00:00] 欢迎收听谷外,我是孟公
[20:02] 一定有人会在
[20:03] 某个最高点追进来
[20:04] 然后这些人最后面
[20:05] 就会讨厌你
[20:05] 但他们还是乐此不疲
[20:07] 去做分享
[20:08] 我是比较不喜欢
[20:08] 所以像前面光头会讲说
[20:10] 我等到他修正
[20:11] 我才要跟大家聊
[20:12] 因为我不想要去扛说
[20:13] 他在高点聊广通
[20:14] 明明我们可能在第一档就一直在讲
[20:16] 但你不想去扛说
[20:17] 因为大家只会记得最后面那一段
[20:19] 所以我们可能就是
[20:20] 稍微跟大家讲说
[20:22] 就是我们前面的
[20:23] 像是Marvel或是CPU
[20:24] 我认为都是case close
[20:25] 那你后面会听到很多讨论
[20:27] 那没有办法
[20:28] 因为就是说市场上的绝大多数人
[20:30] 或者说媒体
[20:30] 那个消息一定是慢的
[20:32] 然后他们现在就会如获至宝
[20:33] 一直去疯狂的洗
[20:35] 然后搭配一些股价
[20:36] 可能有些人就冲进去或什么的
[20:37] 那这一段我们不知道会到什么地方
[20:39] 一样套一下
[20:40] 自己可能在股票里面的朋友
[20:42] 有提到说
[20:43] 就是后面这一段
[20:44] 基本上就是交给那些
[20:46] 技术面跟量化去做了
[20:47] 那你不知道说
[20:48] 他们会把价格推去哪了
[20:50] 所以有时候你就是乖乖打车就好
[20:51] 你不用再去算一堆数字了
[20:52] 因为这时候就是已经在交易
[20:54] 那些可能情绪面相关的东西
[20:56] 所以就是自己要稍微的注意安全
[20:59] 就是当然我们家这阵子
[21:01] 也是还持续的
[21:02] 有去做类似的事情
[21:03] 反正就找一些右上角的股票
[21:04] 然后奉还靠进去
[21:05] 但是我们可能
[21:06] 算是某个程度上
[21:07] 是有训练过的
[21:08] 这个各个有练过
[21:09] 所以就是如果后面真的有一些风吹草动的话
[21:12] 对我们来讲
[21:12] 我们都可以很明快的去做一些处理
[21:15] 但你后面一定会看到有很多人
[21:17] 然后他会跑出来问说
[21:18] 什么那一只标的不是前面都超多人要吗
[21:20] 那怎么现在会这样
[21:21] 或者说他本来还兴高采烈的说
[21:23] 拉回就是买
[21:25] 掉下来给我就捡更多
[21:26] 然后捡到后来捡到
[21:27] 全部套在山上
[21:29] 然后就开始来问说这个标的还可以吗
[21:31] 那要记得一句至理名言
[21:33] 有问题的从来都不是这间公司
[21:35] 是你的成本
[21:36] 所以现在其实严格上来说
[21:39] 特别是以台湾的大盘来讲
[21:41] 在过去的一个月
[21:42] 是直接涨了6000点
[21:43] 虽然我们都知道说
[21:44] 就是台股
[21:45] 以我自己的角度是
[21:46] 我都一直觉得这个市场是很不错
[21:48] 但6000点
[21:49] 就是
[21:50] 真的发疯
[21:51] 真的是不知道该讲什么
[21:54] 我觉得就在这样的行业之下
[21:56] 其实如果持续下去的话
[21:58] 我觉得说我们随便乱举例
[22:00] 这个我当然相信是不可能发生
[22:01] 继续的四五个月都这样
[22:03] 其实像股外这种节目就没有必要
[22:05] 你根本不需要有任何的分析的能力
[22:07] 你只要有一个胆识
[22:08] 你只要有够大的软趴跟额度
[22:10] 你就是有办法赚到钱
[22:12] 所以这种时候
[22:13] 我们可能就出来跟大家谈谈心
[22:15] 这时候去讲什么基本面
[22:16] 我觉得意义也不大
[22:17] 因为反正就是都是喷
[22:19] 反正就都是喷
[22:20] 只是喷多跟喷少的一个差别
[22:22] 我们比较希望看到的一个局面是
[22:24] 当然喷一喷之后
[22:25] 它不是直接死掉
[22:26] 它进入肋骨轮动
[22:27] 那就精彩了
[22:28] 如果说可以后面
[22:29] 顺利的切到肋骨轮动的话
[22:31] 那就会非常的好玩
[22:32] 但如果说是这样子
[22:33] 就是强势股
[22:34] 然后持续无脑均一喷
[22:35] 新贵股无脑均一喷的话
[22:36] 那已经没有什么分析的价值
[22:38] 其实我们在市场上
[22:38] 已经找到太多
[22:39] 就是不合理的东西
[22:41] 那之后我们不会去聊空方
[22:42] 我们也没有去空东西
[22:43] 但我们就没有必要去打击人家
[22:45] 我们都只能够说
[22:45] 那个东西有很多人爱
[22:47] 他把它推到一个不可思议的估值
[22:49] 我们只羡慕说
[22:50] 我们自己的股票可以推到这么高
[22:51] 但不会去打击别人
[22:52] 所以大概就是最近的一些
[22:54] 消息跟大家分享一下
[22:56] 那最后面呢
[22:57] 要来帮忙自己的朋友
[22:59] 这个优势资本的刘老板刘董
[23:01] 稍微的征人一下
[23:02] 那这家公司
[23:03] 我相信老听众都已经是
[23:04] 非常的熟悉
[23:05] 跟刘老板的认识之后
[23:08] 算是一拍即合
[23:09] 就即便可能两个人做个东西不一样
[23:10] 他是做量化的
[23:11] 然后我是做质化相关的
[23:13] 基本面比较多一点
[23:14] 但其实我们都是很常在市场里面
[23:16] 有去做很多的交流
[23:18] 有时候在市场里面
[23:19] 就是你买到的东西
[23:20] 然后这边可能人家刚好有经手到之
[23:22] 所以就一直维持一个蛮不错的默契
[23:25] 之前也有跟大家分享说
[23:26] 我们一起去美国去拿大股详评球的故事
[23:29] 所以是一个非常厉害的市场老大哥
[23:33] 他的公司优势资本
[23:35] 也算是在台股
[23:36] 就是交易量是
[23:37] 数一数二的顶尖量化的公司
[23:38] 那他们这是一样是
[23:40] 要征人
[23:41] 那跟去年一样
[23:42] 而去年有帮他征人
[23:43] 那他的月薪呢
[23:44] 是凯斯西森
[23:45] 整套拿完的话是16万
[23:47] 他们是很敢给的一家公司
[23:49] 所以他算是业界的楷模
[23:51] 就是真的给你很多钱
[23:52] 那我们知道说
[23:53] 当然我们没要去踩别人的意思
[23:54] 只是因为蛮多人会去抱怨这件事情
[23:57] 就说什么跑去一些投资公司
[23:58] 明明就是大家都是号称自己在赚大钱
[24:00] 可是他不愿意给钱
[24:02] 那这家是非常愿意给钱的
[24:03] 那只是呢
[24:04] 当然他给要这么多的钱
[24:05] 就代表说你的竞争者
[24:06] 一定是非常的强大
[24:08] 那会有很多人要跟你抢这个工作
[24:10] 那他算是一个非常难得的机会
[24:12] 我自己很多时候也都是
[24:13] 在这个刘大哥身上学到很多东西
[24:16] 他的观念严格上来说
[24:18] 其实怎么说
[24:19] 我们在一些交易里面
[24:21] 可能是类似的
[24:22] 就在说像
[24:22] 就是新高的股票
[24:24] 不要去预设高点
[24:25] 像这种我觉得市场派里面的人士
[24:26] 只要你玩到一定程度
[24:28] 就大家都有这样的一个概念
[24:29] 就是比较不会去
[24:30] 你知道有些人
[24:31] 他很喜欢当末日博士
[24:32] 但末日博士
[24:33] 十个有九个都低两个
[24:34] 你一定要记住这句话
[24:35] 那有些我们是共同的
[24:37] 可是蛮多其实想法也不一样
[24:38] 因为他站的角度是
[24:40] 用量化或者用程式的角度去看
[24:42] 所以蛮多时候这样的一个摩擦
[24:44] 他可以帮我去想通更多事情
[24:46] 所以我是觉得说
[24:47] 你去帮他工作
[24:48] 你一定可以学到很多东西
[24:48] 但是可以保证的是
[24:50] 我觉得一定不是一个简单的工作
[24:52] 所以他薪水给得非常好
[24:53] 就一定是很硬
[24:54] 那够强的人
[24:55] 一定可以学到很多东西
[24:56] 所以你可以在我的脸书
[24:58] 或是在我的Telegram
[24:59] 你都可以找到他的招生的简章
[25:01] 或者你直接搜寻优势资本
[25:03] 你就会找到
[25:03] 那我的那个Telegram连结呢
[25:05] 就是在我节目下面都会放一个古来传送门那里面会有节目连结跟我Telegram的一个连结那要强调就是我们对所有的听众都是零对价的关系也就是我绝对不会跟你收费我也没有开课
[25:16] 因为我一向的主张就是说
[25:18] 要赚钱就去市场里面赚是最快的
[25:20] 所以就是我的Telegram
[25:22] 它比较像是一个
[25:23] 就是我推播的管道
[25:24] 就是可能跟脸书的推文有蛮多
[25:26] 会是重复的
[25:27] 那有些我自己的小Mermal
[25:28] 可能会放在那一边
[25:29] 那这些东西都没有任何对价关系
[25:32] 所以你如果看到有人跑来跟你讲说
[25:34] 什么他自称自我
[25:36] 前陣子很多啦
[25:37] 下诈骗我
[25:38] 我感觉说蛮多被扫掉
[25:39] 那绝对不是我
[25:40] 因为第一个
[25:41] 我绝对没空教你
[25:42] 然后第二个是
[25:43] 我绝对是不会想要去赚
[25:44] 说什么你的几千块
[25:46] 这个对我来讲是
[25:47] 不知道就你可能丢在地上
[25:48] 我连捡都不想捡
[25:49] 这不是我膨胀啦
[25:50] 我的意思是说
[25:50] 就是我不可能
[25:51] 你知道我说你要动动脑
[25:52] 就像是
[25:53] 你知道什么巴菲特比尔盖茨
[25:55] 要来教你炒股票开公司一样
[25:56] 就怎么可能他有空教你这个
[25:58] 那我知道我跟他们的地位
[25:59] 比当然差很多
[26:00] 但是老实讲老实
[26:01] 也是没空去做这些事情
[26:02] 所以千万不要被骗
[26:03] 千万不要被骗
[26:04] 要自己稍微的小心一下
[26:05] 或是你直接去找他们的
[26:07] 104的网站
[26:09] 也可以找到他们一些相关的资讯
[26:10] 希望可以让他顺利的
[26:12] 在市场里面找到对的人
[26:14] 这个对的人
[26:15] 他也可以在里面学到很多
[26:16] 然后这边也变成是交易圈的猛男之一
[26:19] 好那大概这样
[26:20] 那接下来我们就来进入Q&A的部分
[26:21] 第一位Betty Lee
[26:22] 孟公去嘎你好
[26:23] 我是长期潜水听众
[26:24] 边骑车边听你的节目
[26:26] 已经变成日常了
[26:27] 谢谢孟公的优质导节目
[26:28] 常常陪伴我下班的时光
[26:29] 想请孟公去搞用
[26:31] 男的声音
[26:32] 那祝我的好朋友香云
[26:33] 九月生产顺利
[26:35] 母女平安
[26:36] 那也祝我们的持股
[26:37] 我真的觉得有保姆
[26:38] 一定有九三八是低能儿
[26:39] 那也祝我们的持股
[26:41] 一起to the moon
[26:41] 那最后祝孟公去搞一家
[26:43] 平平安安快快乐
[26:44] 非常感谢贝蒂丽
[26:44] 那下面一位
[26:45] 奶精奶茶才是王道
[26:47] 孟公去搞无安
[26:48] 近期女儿开始学会讲话
[26:50] 每一次的呜啊啊的那个瞬间
[26:51] 直接疗愈到爆
[26:52] 那不知道某公
[26:53] 这种疗愈瞬间的分享
[26:55] 那另外是想要问某公
[26:57] 前几集QA有提到
[26:58] 用周线去判断趋势
[26:59] 这个指标是指说
[27:01] 长一根就代表趋势吗
[27:02] 动能载是周线一根叠爆
[27:05] 代表趋势的消失吗
[27:06] 想听猛公详细分享一波
[27:07] 祝主委一家平安喜乐
[27:09] 这个一直在讲详细分享
[27:10] 是不是全部都同一个人
[27:11] 然后换不同的ID一直来问
[27:12] 如果是的话
[27:13] 有可能是误会
[27:14] 但如果是的话
[27:15] 我真的觉得
[27:16] 就是我们QA有时候
[27:17] 有一些问问哥
[27:18] 你不要一直在问的
[27:20] 我跟你讲
[27:20] 你事情你没有
[27:21] 妈手下去做
[27:22] 你整天在问的
[27:23] 你一辈子不会进步
[27:24] 甚至是有时候
[27:25] 你就是要进去里面摩擦
[27:27] 被人家打一下
[27:28] 受伤一下
[27:28] 你不要想说
[27:29] 你都要问到最全面
[27:30] 再进去做
[27:31] 你一定会赔钱
[27:32] 就是怎么讲
[27:33] 就是说那是一个
[27:34] 观念跟态度的问题
[27:35] 那我不确定是不是同一个人
[27:36] 但是我开始感觉到
[27:37] 就是有一个那什么
[27:38] 可不可以请你详细
[27:39] 非常一波
[27:39] 因为都用同样的用词
[27:40] 我感觉是同一个人
[27:41] 只要不停地换ID
[27:42] 我如果是这样
[27:42] 赶快认真去交易
[27:44] 不要在那边浪费生命
[27:45] 浪费大家时间
[27:46] 但他搞不好不是
[27:47] 那我们一样
[27:48] 就是好好的回答一下
[27:49] 那用周线判断趋势
[27:51] 简单来讲就是说
[27:52] 它一定要是改变一个过往的状态
[27:55] 才会视为是
[27:56] 有可能是一个新的趋势的产生
[27:58] 什么叫改变过往的状态
[28:00] 就像说如果周线是一个红
[28:02] 一个黑
[28:02] 一个红
[28:03] 一个黑
[28:03] 上上下下
[28:04] 然后其实都在过往的
[28:06] 你画两条线
[28:07] 可能过往都是摸到上面这条线
[28:08] 然后下去到那条线
[28:09] 这个时候呢
[28:10] 它其实像是一个区间
[28:11] 它是一个箱形
[28:13] 它根本就没有新的趋势的展开
[28:15] 所以趋势的展开就是说
[28:16] 它一定要有一个突破上去
[28:17] 那你一定会注意到
[28:18] 只要这个突破上去
[28:19] 或是跌破
[28:20] 一般都会伴随着出量
[28:21] 就是大家会去赌说
[28:22] 这个地方可能是一个惯性的改变
[28:24] 那抑或是说
[28:25] 这个出量有可能是说
[28:27] 因为很多人习惯就在上缘会放空
[28:28] 所以他被嘎到就要回补
[28:30] 那就导致这个量会跑出来
[28:32] 但总之就是一般会介入在
[28:33] 这个趋势改变的地方
[28:35] 前面一讲就是这样
[28:36] 下面一位
[28:36] 变同P还有记忆的时候要相信光
[28:40] 孟公你好
[28:41] 去年10月投资的AOI
[28:43] 一买进就因为Q3的财报跟财策不佳
[28:45] 一路跌到账面负35%
[28:47] 因为很看好光通产业的发展
[28:48] 所以没有停损
[28:49] 打算长期持有
[28:50] 今年二月财策后又大涨50%
[28:53] 因为加入美股的时间比较晚
[28:55] 发现美股的财报跟财策
[28:56] 对股价的波动比台股剧烈
[28:58] 那想问孟宫会在财报前夕止盈部分
[29:00] 部位降低波动吗
[29:01] 那另外想问长期持有的部位
[29:03] 会去尝试做短线的价差吗
[29:05] 最近盘面群摸乱舞
[29:07] 那美股手上的光通没有什么动
[29:09] 要怎么调适FOMO的心态
[29:10] 那最后祝孟宫一家平安健康爱您
[29:13] 这就是我们讲的
[29:13] 就是明明G2说你去看一下
[29:16] Lumintown跟Coheren
[29:17] 那是一个涨超多的标的
[29:18] 但这阵子可能稍微横一下
[29:20] 其他东西都在动
[29:21] 所以蛮多人就坐不住了
[29:23] 这个就是怎么说
[29:24] 就是说行情很好的
[29:25] 某个程度上的一种副作用
[29:27] 其实大家都是在无病呻吟的
[29:29] 就是你前面已经赚很多了
[29:30] 然后现在可能横一下
[29:31] 在那边干干叫
[29:32] 有时候行情很好
[29:33] 就会发生这样的事情
[29:34] 你就看不是只有我这样
[29:35] 连QA来问的听众
[29:36] 都有一样的烦恼
[29:37] 那所以一般来说是这样
[29:39] 就是你要让自己的心理舒服的话
[29:41] 就是你就把一部分的钱
[29:43] 拿去做你想做的事情
[29:45] 就像说你觉得这个真的太慢
[29:46] 你想去追抢
[29:47] 你去追
[29:47] 你追了之后
[29:48] 然后你赚了头破血流
[29:50] 那也是小钱
[29:50] 没事
[29:51] 可是至少喷出去的话
[29:52] 就知道说
[29:52] 还好我当时有来
[29:53] 你就不会说那种
[29:54] 什么相对剥落感
[29:55] 这么样的严重
[29:56] 那再讲这个AOI
[29:57] AOI是一个
[29:58] 我们也算是蛮早
[29:59] 就在跟大家聊这家公司
[30:01] 但是我们一直去跟大家
[30:02] 强调说这家公司
[30:03] 基本上不好报
[30:03] 它会在林口办厂
[30:04] 所以很多人都知道
[30:05] 这家公司
[30:06] 那投资圈的人
[30:07] 就理解绝大多数
[30:08] 我们自己身边的
[30:09] 都是在它最后面
[30:10] 起喷那一段之前
[30:11] 都被洗掉
[30:12] 因为他真的太喜了
[30:13] 那个你抱不住了
[30:14] 你看他前面怎么样喜了
[30:15] 你现在看都像是小三
[30:16] 对不对
[30:17] 你要拉回去当时那样看
[30:18] 他上上下下
[30:19] 那真的你很多时候
[30:20] 觉得自己在做白工
[30:21] 所以他真的是
[30:22] 把这个报酬留给
[30:23] 就是相信他的人
[30:24] 然后最后面
[30:25] 是有成功的射出去
[30:26] 那你说在美股这边
[30:28] 是不是财报跟财策
[30:29] 对股价的波动
[30:30] 比台股更具有
[30:31] 我觉得是
[30:31] 为什么
[30:32] 因为台股是每个月公布营收
[30:33] 所以大家的心情
[30:34] 某个程度上是已经分散到
[30:36] 就是你本来是一季要反应
[30:37] 你变成是每个月都去反应的
[30:38] 那虽然有时候overshoot
[30:40] 有时候过度震荡
[30:41] 是台股的一个潜在的副作用
[30:42] 但好在就是说呢
[30:44] 他可以可能在前面的几个月
[30:46] 就已经先把这个进而给化掉了
[30:48] 他并没有说什么一次的扛
[30:50] 那美股这边就很容易在开
[30:52] 可能财报或者说去修他的guidance
[30:55] 有时候是上修照崩给你看
[30:57] 因为修的不够多
[30:58] 那这个在美股是很好发的
[31:00] 所以当然你如果会害怕的话
[31:02] 你可以选择就提早去做一些调整
[31:04] 那只是呢像我所说
[31:06] 前面AOI其实是一堆人的国民制服股
[31:09] 就是台湾人都有
[31:10] 那时候我们甚至用
[31:11] 台湾人的概念股去讲这档标题
[31:13] 可是为什么喷上去的时候没有
[31:14] 因为一堆人的想法是一样的
[31:16] 就是他其实在
[31:17] 就是他起喷的财报的前一个财报
[31:20] 他是讲的相对是保守的
[31:22] 所以其实蛮多人是看到这个讲说
[31:23] 那我就来做区间
[31:24] 我卖掉后面下来再买回
[31:26] 然后结果就买不回来了
[31:27] 所以简单说就是
[31:29] 你任何的决定
[31:30] 都是有它潜在的一个风险
[31:32] 包含说甚至上涨的也算是你的风险
[31:34] 你本来可以赚到这一笔
[31:35] 但是你没有赚到
[31:36] 所以这题没有标准答
[31:38] 因为大家都想要问一个稳赢的
[31:39] 这个真的是很白痴的问法
[31:40] 就是比较整天都想要去问一个稳赢的做法
[31:43] 那么最好是有人有
[31:43] 有的话
[31:44] 那每个人都这样做就好了
[31:45] 所以有时候是要稍微想一下
[31:47] 再来问问题
[31:47] 下面一位
[31:48] 威业6689TW
[31:51] 同为苗栗国子民
[31:53] 亲爱的孟公您好
[31:54] 小弟如果在林口清城卖香肠
[31:56] 店名叫做陈伯香肠
[31:57] 您会投资吗
[31:58] 你来啊
[31:59] 我就投你啊
[32:00] 你跟我讲你要多少钱
[32:01] 合理的话我就投你
[32:02] 没有问题
[32:03] 我还蛮喜欢去投这些小生意的
[32:04] 孟公大大您好
[32:07] 刚刚打了很多
[32:08] 然后又删掉了
[32:09] 总之祝您全家健康平安幸福
[32:11] 然后希望您可以用
[32:12] 会吓到外面保姆的声音
[32:14] 帮我大叫一声感恩
[32:16] 您不要真的不要
[32:16] 因为已经就已经笑他很多次
[32:19] 我觉得因为好像有一两个保姆
[32:22] 是我们听中
[32:23] 我没有记错的话
[32:24] 所以我不知道
[32:26] 我觉得很丢脸
[32:26] 我真的觉得很丢脸
[32:27] 小明威小明孟公家您好
[32:29] 最近股市涨成这样
[32:30] 小弟除了母胎单身上来许愿外
[32:33] 没有所求
[32:34] 那希望可以在猛男孟公
[32:37] aka古来越老的金口加持之下
[32:39] 脱离35岁母胎单身
[32:41] 瘦了30公斤
[32:42] 体脂保持13
[32:43] 去韩国做医美
[32:44] 努力过了
[32:45] 还是没有异性缘
[32:46] 那如果说今年脱单
[32:47] 我愿意捐出六个月薪水
[32:49] 那请孟公断来加持
[32:51] 谢谢您爱您
[32:52] 祝您跟所有听众们和家平安
[32:55] 好所以看起来这位兄弟
[32:56] 就是股市顺风顺水
[32:58] 身材都维持得很好
[33:00] 但是一直都没有密得良缘
[33:02] 但对于缘分这种事情
[33:04] 特別是我認為
[33:05] 至少以我自己的過往的關係來講
[33:08] 我覺得一段關係
[33:09] 我對他的期待都是他會維持一段時間
[33:11] 所以有時候真的是寧缺無難
[33:12] 當然你從出生缺到現在
[33:14] 那一定是老二會養
[33:16] 這個我是可以理解的
[33:17] 但我心中會給大家的一個真實的建議
[33:20] 還是如果說你現在找不到
[33:22] 你真的不要說什麼退而求其次
[33:24] 或是什麼
[33:26] 就是反正只要有人上來
[33:27] 我就先跟你在一起
[33:28] 然後後面再換
[33:29] 不要有這種想法
[33:30] 就是如果說一直都沒有等到你的緣分的話
[33:32] 你就是继续等待
[33:33] 千万不要硬要想去
[33:35] 错一个缘分进来
[33:36] 因为一般可能都不会是你要的
[33:38] 甚至以我自己
[33:39] 或是身边朋友的一些经验
[33:41] 很多时候真正的那种正缘
[33:43] 都是在你最想不到的地方发生
[33:45] 就是你可能妈想说
[33:47] 我打扮个要死
[33:48] 然后去一些场合可以认识人
[33:49] 结果反而是在你家门口的早餐店
[33:51] 然后就遇到你的什么真命天女之类的
[33:53] 所以时间到这种事情就会发生
[33:55] 我觉得不要去强求
[33:56] 强求来的都不会是甜美的
[33:58] 这个也不是说什么老人讲话
[34:00] 是很多人的经验都这样
[34:01] 包含我自己的经验是这样
[34:02] 下面一位
[34:03] 周周周周亚当
[34:04] 孟公
[34:05] 你好
[34:06] 先前多次提到大盘大跌
[34:07] 可以观察哪些个股跌幅相对不多
[34:09] 甚至没有跌
[34:10] 反过来大盘连续上涨的时候
[34:12] 手上持股没有什么涨
[34:13] 甚至小跌
[34:13] 这个时候做什么动作吗
[34:14] 另外我上周检查出左肾有涨东西
[34:17] 希望祈求观音断
[34:19] 能够让我最终没事度过
[34:21] 我两个儿子还需要你这个老爸
[34:23] 留言完我就会先捐出10万
[34:25] 加一盒小泡芙
[34:26] 爱你
[34:27] 现在大家真的都越来越大方
[34:29] 甚至有点太大方
[34:30] 前面那个要捐六个月是沙小
[34:32] 然后这个就直接就十万
[34:34] 当然大家要去做这种
[34:35] 善念的一种循环
[34:37] 我也是非常的鼓励
[34:38] 但其实也不用这么大方
[34:39] 你懂我意思吗
[34:39] 就大方好
[34:40] 但现在大家有点那种
[34:41] 推到另外一个极限去了
[34:42] 那再来讲说
[34:44] 会怎么样去做调整
[34:46] 简单来讲就是
[34:48] 我们会去注意说
[34:49] 在下跌的时候
[34:50] 相对有称的东西
[34:51] 简单来说
[34:52] 因为它就是习受的一个概念
[34:53] 就是如果大家都要砍标的
[34:55] 要去deleverage的时候
[34:57] 那些没有什么在跌的
[34:58] 有两个可能性
[34:59] 一个就是上面本来
[35:00] 多月资金就很少
[35:01] 就是说他是冷门股
[35:02] 这个一般我们也不会去看他
[35:03] 另外一个就是说
[35:04] 我们一样要去砍标的
[35:06] 可是有些那种国民自负股
[35:07] 大家疯狂在那边乱砍
[35:08] 可是有些
[35:09] 可能说大家共识都知道
[35:10] 他会很好
[35:11] 大家都认为说他相对有成
[35:12] 他EPSOK的
[35:13] 大家知道说这档不是炒股票
[35:15] 因为你知道有时候在多头的时候
[35:16] 像我们甚至会把眼睛蒙起来
[35:18] 冲进去一些
[35:18] 我们平常
[35:19] 就是假设今天是盘整盘
[35:21] 你不可能去买标的
[35:22] 只是因为他现在很喷
[35:23] 你就跟得上去
[35:24] 你甚至不一定知道
[35:25] 他基本名在干嘛
[35:26] 真的会这样
[35:26] 所以这种东西就是你优先会乱丢的
[35:28] 那些有称的东西
[35:30] 即便它可能也是不一定有基本面
[35:32] 可是至少说有人真金白银在那边买
[35:34] 我们就觉得这个东西
[35:35] 有可能就是如果说下一波起来的话
[35:38] 它又是第一个跳上去的
[35:39] 一般来讲那个就是下一波的一个主流
[35:41] 只是如果反过来的话
[35:43] 我的经验是
[35:44] 就是大盘在狂翻
[35:46] 以现在来讲
[35:46] 这些没有涨到的东西
[35:48] 我们刚才前面不是有讲一个
[35:49] 听起来像是自己在murmur的东西
[35:51] 可是我觉得那个蛮关键
[35:52] 就是说看后面会不会变成是肋骨轮涨
[35:54] 如果说是肋骨轮涨
[35:55] 那这是我最喜欢的
[35:56] 就是ABC族群
[35:57] 可能轮流都会动
[35:58] 那一段时间可能
[36:00] 就要说涨两个礼拜
[36:01] 然后提款一个礼拜
[36:02] 然后换别的东西动
[36:03] 这种我们就算是很会做这种盘
[36:05] 但如果说他不是这样子
[36:07] 就是后面是一个
[36:08] 因为现在真的很疯狂
[36:09] 直接喷大盘6000点一个月
[36:10] 那后面开始出现一些血崩的话
[36:13] 那一般来讲
[36:14] 那个没有涨的东西
[36:15] 也是会跟着下去
[36:16] 就想说
[36:17] 干瓜屁书
[36:17] 又不是我杀的人
[36:19] 可是你就是会跟着一起下去
[36:20] 甚至有时候会叠的比那些
[36:22] 就是前面很多人去的地方来的重
[36:24] 就很荒谬
[36:25] 我想说涨也没有跟到
[36:26] 然后跌反而全部都跟到
[36:27] 所以会去往强的东西靠拢
[36:30] 简单来讲就是说
[36:30] 在绝大多数的状况之下
[36:32] 都要尽量往强的东西靠拢
[36:33] 如果你真的坚持要去买弱的东西
[36:35] 就是你对它非常熟悉
[36:37] 这是第一件事
[36:37] 然后第二件事
[36:38] 你最好要有一定程度的track record
[36:40] 可能几年
[36:41] 就是你知道说
[36:42] 你的左侧交易其实是OK的
[36:43] 你的观念是OK
[36:44] 你的认知是OK的
[36:45] 很多时候只是你买在市场的前面
[36:47] 像我对我自己
[36:48] 就是相对有这样子的一个自信
[36:50] 在节目里面
[36:50] 也不是我们自己在吹
[36:51] 大家其实听得出来说
[36:52] 我们有一些资讯
[36:53] 就真的比市场早很多
[36:54] 所以像一个最近的例子
[36:57] 大家看一下Nuforten
[36:58] 4919最近碰到烂掉
[36:59] 然后你就看身边朋友在那边传说
[37:00] 他打进去BMC
[37:02] 你就回听一下两年前的节目
[37:03] 我们就讲说他打进去CSP的BMC
[37:05] 可是为什么两年前不会涨
[37:07] 因为两年前可能MCU本业太烂
[37:08] 大家不要
[37:09] 所以不是说你对就一定会赢
[37:12] 有时候你是对的
[37:13] 现在大家就在吵这个故事
[37:14] 看到信华破坏
[37:15] 你觉得说Nuforten也可以看一下
[37:17] 即便他的BMC的营收占比不高
[37:18] 大家就选择要去搞他
[37:20] 可是你如果是两年前买
[37:21] 你一样赔钱
[37:22] 你一样过分一样是挺损
[37:23] 所以如果你正要去买左侧的话
[37:25] 你有这样的心理准备
[37:26] 就是市场可能会超乎你的想象
[37:28] 搞不好就一直跌
[37:29] 跌到你完全崩溃了
[37:31] 然后之后才要开始涨
[37:32] 或甚至是之后就不涨
[37:33] 所以你最好要有一定的trade record
[37:35] 去证明说你的观念是OK的
[37:37] 然后再来做这件事情
[37:38] 不然有时候甚至有一点盲从
[37:40] 去相信市场的共识的结果会是好一点的其实你去买0050或是00620吧某个程度上你就是去相信市场共识的一个结果为什么因为他是用市值去type所以市值怎么样推出来的
[37:52] 资金买出来的
[37:52] 所以资金买出来的
[37:54] 前50大就是被你选到
[37:55] 所以你是相信
[37:56] 市场的一种判断
[37:57] 所以我还是觉得
[37:57] 绝大多数的时间点
[37:59] 你要相信市场的判断
[38:01] 但在一些案例里面
[38:02] 特别是你有经验之后
[38:03] 你很常会注意到说
[38:04] 最报酬封锁的是
[38:06] 市场在犯错的时候
[38:07] 可是你要怎么样
[38:08] 有资格去call说
[38:10] 现在是市场在犯错
[38:11] 那需要大量经验的累积
[38:12] 然后尽量不要太常做这种事情
[38:14] 像我自己也会尽量避免
[38:15] 不要太常去跟市场反而做
[38:17] 只是有时候
[38:17] 像前面可能盘不好的时候
[38:19] 很多人讲说什么
[38:20] 美股垃圾股票
[38:21] 我们那时候的说法
[38:21] 不是跟大家讲说
[38:22] 后面可能会涨到
[38:23] 就是你难以想象
[38:24] 就一下可能台股很强
[38:25] 后面可能换美股很强
[38:26] 大家看最近NASDAQ
[38:27] 是不是就很强
[38:27] 那为什么会知道这件事
[38:28] 也不是说什么
[38:29] 我有什么有开天眼
[38:30] 或什么
[38:31] 因为你可能过去看过
[38:32] 这样子的循环
[38:32] 大家在骂的时候
[38:33] 后面就给你一些惊喜
[38:35] 所以那都是一些经验的堆叠
[38:37] 那下面一位
[38:38] 西轰晃
[38:39] 跟孟公去卡分享一个好消息
[38:41] 我终于买房准备要跟女友住进去了
[38:44] 那谢谢您这几年不断的录节目
[38:46] 那陪伴我从大学一路到现在出社会
[38:48] 五年培养了比较好的投资观念
[38:50] 才能够达成买房这个目标
[38:52] 祝您全家大小身体健康
[38:53] 秋果继续干你娘
[38:54] 好非常感谢这位兄弟的感谢
[38:56] 最近确实有蛮多听众都来跟我说谢谢
[38:59] 那其实我也不一定需要说到这些谢谢
[39:01] 只是当然有时候听到还是蛮开心的
[39:03] 就是你某个程度上的影响到人家的一些生活
[39:05] 然后让他们生活走向一个更好的地方
[39:07] 那希望有更多这样子的一个正向的能量
[39:10] 希望大家可以持续的圆梦
