[00:00] 欢迎收听谷爱,我是星目公,本集节目由擅存叶黄素赞助
[18:45] 我们在三四个礼拜前
[18:47] 就跟大家说
[18:47] 春田要涨价
[18:48] 然后春田真的就涨价了
[18:50] 但是你看那些被动元件
[18:51] 像国际是有动一下
[18:52] 可是其他的
[18:53] 我们以为会大喷的
[18:54] 都没有动
[18:55] 所以这也是为什么我讲说
[18:56] 后面我会用比较多
[18:58] 就是可能直接去看
[18:59] 这个市场价格的结果
[19:00] 价格作为辅助的一个判断是
[19:02] 就算这个题材是对的
[19:04] 或者说你是对的
[19:05] 然后最后面那个EPS
[19:06] 也会到那边
[19:07] 可是不代表股价
[19:08] 一定会到那边
[19:09] 或者说不代表
[19:09] 一定要现在就到那边
[19:11] 所以还是要去参考
[19:12] 一些市场的情绪去做调整
[19:14] 反正总之
[19:15] 这次的发表会
[19:17] 我认为对于市场人士来讲
[19:19] 它算是一个没有意外的东西
[19:20] 可能稍微为之一亮
[19:22] 就在Physics AI这边
[19:24] 是稍微的多加了一点篇幅
[19:26] 但这个东西其实也是大家
[19:28] 怎么讲
[19:29] 每个人都想知道
[19:30] 后面会怎么样发展的东西
[19:31] 就是说你讲了半天
[19:32] 可是实际上还是要等待说
[19:34] 有没有一些现实的案例出来
[19:37] 那真的是造成一些效率的变革
[19:39] 所以数位孪生的工厂
[19:41] 是不是真的非常的有效
[19:42] 而不是只是这样
[19:43] 可能一些demo出来的东西
[19:45] 当然它在设计的一个范围之内
[19:46] 它一定可以给你一个很好的效果
[19:48] 那这个要等到后面
[19:49] 再来去做更多的一个验证
[19:51] 所以我觉得NVIDIA的状态
[19:54] 它可能
[19:55] 因为我之前在思考
[19:56] 就包含说像我自己手上
[19:57] 有一些铜的肋骨
[19:59] 铜的肋骨也在思考这件事情
[20:01] 就是说有机会
[20:03] 就是我们一般想象的
[20:04] 估值的成熟
[20:05] 可能就是说
[20:06] 要等到降息的时候
[20:07] 才可以把那个东西
[20:08] 再一次的推上去
[20:09] 如果说没有一些
[20:10] 降息或是
[20:11] 期待降息的可能性的话
[20:13] 有没有可能
[20:13] 现在的这个价格
[20:15] 就是已经是市场定价
[20:16] 玩的一个结果
[20:17] 这是我们要去思考的
[20:18] 只是我还是会认为说
[20:19] 像广因为在
[20:20] 接下来的几年
[20:21] 我们都是可以确定
[20:22] 它会有一个
[20:22] 非常漂亮的成长性
[20:24] 在27 28年的时候
[20:25] 会绝地大放量
[20:27] 所以它应该都还是
[20:28] 可以作用很高的
[20:29] 一个P ratio
[20:30] 所以如果说
[20:32] 像这波没有动
[20:33] 然后没有修正的话
[20:34] 光应该都还是一个非常好的去处
[20:36] 这个是我可能会蛮喜欢的
[20:38] 那再来就是在这个LPU方面
[20:40] 在市场上已经有一些分析师
[20:42] 出来去讲出它的量
[20:44] 我记得他们是写说
[20:45] 大概一年有个5 million颗
[20:47] 那我跟大家讲我的数字
[20:49] 我的数字大概是它的
[20:50] 不知道三十分之一吧
[20:51] 我觉得那个量应该是没有这么多
[20:53] 因为我们现在所了解到的状态
[20:55] 就像那时候跟大家分享说CPX一样
[20:56] 当然这个东西的idea跟想法
[20:59] 看起来是非常正确
[21:00] 看起来也是说
[21:01] 可以直接就是到市场上面
[21:03] 会找到一席之地
[21:04] 但目前我们是没有追踪到
[21:05] 说有大量的订单出来
[21:07] 我们相信会有
[21:08] 只是目前还没有看到
[21:09] 所以先比较保守而去看待
[21:11] 但总之就是说
[21:11] NVIDIA它给你全方位的解方
[21:13] 你要什么我都有
[21:15] 像这样的一站式的AI Workshop
[21:17] 我觉得可能在后面
[21:19] 都还是有很多发展的契机
[21:21] 跟可能性
[21:22] 简单来讲就是说
[21:22] 它现在把自己的AI Factory
[21:24] 就想要成是一个
[21:25] 反正它是可以
[21:26] 只用电力去乘出来
[21:28] 说它可以贡献多少钱的东西
[21:29] 因为反正我们去建立一个
[21:32] 这个EGW的Data Center
[21:35] 就是一个已经有公定价的东西了
[21:37] 现在重点就是说
[21:38] 每GW我们可以产生多少的Token
[21:40] 就是一个决胜点
[21:41] NVIDIA在这边应该都可以
[21:42] 持续扮演一个领先的角色
[21:45] 所以后面就去看它有什么更酷的表现
[21:48] 然后再来就是说
[21:49] 如果LPU这边有去做更多放量的话
[21:52] 我觉得一些想象空间会出来
[21:55] 不然说它去使用SRAM的一个solution
[21:57] 但如果我们再跟大家聊到SRAM的
[22:00] 那几集有提到
[22:01] 他其實本身是簡單講說你要去讀這個題材
[22:04] 就直接買像什麼三星或是台積電就好
[22:06] 因為那個是on chip的memory
[22:08] 所以那個就是他們直接就幫你做了
[22:10] 所以你應該是不會找到說什麼
[22:12] 哪個東西有什麼SRAM
[22:13] 像市場上蠻多人去炒的
[22:15] 所謂的SRAM類股
[22:16] 那有點像是一個美麗的誤會
[22:18] 那個我們跟大家聊過
[22:19] 那個是sudo SRAM
[22:20] 那並不是真正的SRAM
[22:21] 那但是其實怎麼講
[22:24] 就是有時候我們還是會注意到
[22:25] 市場有些標的會歪打正著的一個情形產生
[22:28] 像那時候在看這個sudo SRAM的時候
[22:31] 就蛮多人会想到说
[22:32] 就要说华邦电或者是爱普
[22:34] 可是这两个东西
[22:35] 虽然他们跟真正的X-RAN
[22:37] 有一定程度的差异
[22:39] 可是他们的产品线里面
[22:40] 都有一些东西是
[22:41] 就是在未来是有可能
[22:43] 可以用类似的概念去达成
[22:46] 就是所谓的这个
[22:47] On-chip的一个Memory Computing
[22:50] 它让整个效率是更好
[22:52] 那延迟是更低
[22:53] 像华邦电这边
[22:54] 是有一个东西叫Cube
[22:55] 我这么也介绍过
[22:56] 那Cube的话
[22:57] 基本上它可以当成是L3 Cache
[23:00] 去做使用
[23:00] 所以它跟SRN的概念
[23:02] 已经算是蛮接近的
[23:03] 再来在APP这边的
[23:04] Very High Bandwidth Memory
[23:06] 就是所谓的要去挑战HBM的东西
[23:09] 或是现在有些人把它称为是
[23:10] ZHBM
[23:11] 就是Z轴
[23:12] 垂直的直接叠在晶片上面的
[23:14] 那个也是一个类似的概念
[23:16] 只是它是有点像是说
[23:17] 那种客制化屏
[23:18] 就还是要看说
[23:19] 有没有客户要去用它
[23:21] 要把它产能包下来之类的
[23:23] 然后要陪着它去练功开发
[23:25] 那才会有一些其他的机会
[23:26] 但你要去找正规均的话
[23:28] 其实就是台积电跟三星
[23:30] 只是说这个东西
[23:31] 因为我们刚刚所提到的
[23:32] 就是它的量
[23:33] 其实我们现在跟市面上分析师
[23:36] 所喊的量
[23:37] 比起来我们看是没有这么多
[23:38] 然后就算是市面上分析师
[23:40] 讲的量的话
[23:41] 其实短期内也不会对这些公司
[23:43] 造成一些那种决定性的影响
[23:45] 比较偏向是一个题材
[23:46] 那有没有机会去上修一些
[23:47] 陈述的话
[23:48] 这个要看
[23:50] 但是如果用绝对数字去算的话
[23:52] 可能真的都还好
[23:53] 所以整个评论下来就是觉得
[23:55] 这东西我们可以去注意
[23:57] 它后面的爆发的契机
[23:58] 包含像CPX
[23:59] 那或者是说LPU
[24:01] 如果说产生一些爆发的话
[24:02] 那相关的应用应该都有机会
[24:05] 不管它是用在Data Center里面
[24:06] 或者说它是用在Edge Device上面
[24:09] 因为其实像我们本来理解到
[24:10] 那种像VHM之类的
[24:11] 它可能是放在一些Edge Device
[24:13] 那只是在最近公司的一个说法
[24:15] 只有提到说
[24:15] 这个东西其实我们可以把它
[24:17] 放在Data Center里面
[24:18] 那我们就很好奇说
[24:19] 那你的客户是谁
[24:20] 那像华邦电的话
[24:21] 是有听朋友讲说
[24:22] 他的客户好像是AMD
[24:23] 然后就是AMD应该是有要用他的东西
[24:25] 所以确实后面可能会有
[24:27] 越来越多相关的讨论出现
[24:29] 就是NVIDIA都把一些roadmap放出来给你看
[24:32] 所以有prefer,有decode
[24:34] 那如果说这个东西拿来跑decode是很好用的话
[24:36] 那就可以注意到可能像是AMD
[24:38] 或者是其他的ASIC玩家
[24:40] 也有机会往这个方向去努力
[24:42] 那他们可能就去找市场上一些现成的solution
[24:44] 或是去找一些伙伴
[24:46] 一些IC design house
[24:47] 然后一起来做一些开发
[24:48] 那可能就会额外的产生一些机会
[24:50] 但这个东西都比较偏向说
[24:53] 怎么讲就是市场看到的第一层东西是SRAM那我可不可以去买一些sudo SRAM但那其实不是SRAM所以我们会想跟大家讲说你们炒错了你们搞错东西了但同时呢他们可能也真的就歪打正着
[25:05] 去买到一个东西
[25:06] 那个概念是类似的
[25:07] 不是你讲的那一条产品线
[25:08] 是另外一条产品线
[25:09] 所以简单来说
[25:11] 是这样的一个情形
[25:12] 那接着呢
[25:13] 我们就来简单的看一下
[25:15] 那在ASIC阵营
[25:16] 最近有什么样的一个发展
[25:17] 其实我们是有了解到说
[25:18] 在Meta的ASIC上面
[25:20] 应该在前几集
[25:21] 有跟大家提到
[25:21] 他们其实应该有一些
[25:22] 砍单的状况出现
[25:24] 那在发展上面是没怎么顺
[25:25] 然后接着不是就出现说
[25:26] 什么Avocado还什么
[25:27] 就是他有一些模型
[25:29] 可能要地缘推出
[25:30] 因为发现说这个东西做出来
[25:31] 或者效率可能是
[25:32] 直接就跑出别人
[25:33] 所以我去出一个最新的东西
[25:34] 跑出别人
[25:35] 那我不如就不要出了
[25:36] 那他是有遇到
[25:37] 这样子的一些问题
[25:39] 但Meta他自己
[25:40] 最近也在做一些裁员
[25:41] 那一般裁员我们都会视为
[25:43] 是市场上的一个大利多
[25:44] 因为你把人砍掉
[25:45] 那代表说
[25:46] 你的整个营业的利益水准
[25:49] 就是会往上跑
[25:49] 你会赚更多钱
[25:50] 所以也代表说
[25:52] AI是真的有用
[25:53] 因为在AI的帮助之下
[25:54] 它其实不需要这么多
[25:55] Junior的Engineer之类的
[25:57] 那这可能对公司本身
[25:58] 算是一个加分
[25:59] 那某个程度上呢
[26:01] 我觉得就是一正一反
[26:02] 就是在正的方面
[26:03] 就是它在人员方面去做尊洁
[26:06] 那在反的方面
[26:06] 我们其实有注意到
[26:08] 在ASIC这边是有一点卡关
[26:09] 那其实也了解到
[26:10] 像Microsoft它的ASIC的话
[26:12] 是有遇到
[26:12] 它是要不太到产能的一个状态
[26:15] 因为它的迈亚的下一代
[26:17] 是想要下载台积电的N2
[26:19] 那只是说N2这边呢
[26:21] 基本上它并没有扩得超级积极
[26:23] 所以它不一定拿得到
[26:25] 拿不到的话
[26:25] 东西做不出来白搭
[26:27] 那也会比较尴尬一点
[26:29] 所以目前看得出来
[26:30] 在市场上比较有竞争力
[26:31] 除了老黄之外
[26:33] 然后可能就是BRAKON
[26:34] 只是BRAKON这边的有些客户
[26:37] 像刚才前面提到
[26:37] 可能有一些砍单
[26:38] 有一些调整或什么
[26:39] 好在它现在客户的
[26:40] 这个portfolio是越来越大
[26:42] 但最近又有听到一些新的八卦
[26:44] 就是在Google这边
[26:46] 它除了本来的两个design house之外
[26:48] 它是想要再额外再加一个
[26:50] 也就是说本来是MTK跟BRAKAN
[26:52] 然后他现在可能想要再拉另外一家
[26:54] 那另外一家是谁
[26:54] 其实应该都非常好猜了
[26:56] 反正就是M开头那一家
[26:58] 那M开头那一家有可能
[26:59] 看一下后面风向
[27:01] 我们可能要再测一下
[27:02] 可是已经有听到一些风声
[27:04] 有一些产品的事情
[27:05] 那如果是这样子的话
[27:07] 有没有可能M开头那一家
[27:08] 以前骗了我感情很多次
[27:10] 我上去压
[27:10] 每次压都赔钱
[27:11] 有没有可能就是这次是完整的
[27:13] 不晓得
[27:13] 我还是要再稍微观察一下
[27:15] 有时候是这样子
[27:15] 就是怎么讲
[27:16] 那是一个时间的问题
[27:18] 像可能跟自己身边的一些同业
[27:21] 在聊天的时候
[27:22] 他跟我讲一个东西
[27:22] 我觉得就很有道理
[27:24] 他说因为那时候
[27:25] 我去压一些涨价题材
[27:26] 他说你看前面
[27:27] 我们有做到一些涨价题材
[27:28] 我们弄到什么同卜
[27:29] 有弄到什么波线布
[27:31] 或什么的
[27:32] 那你现在在跟我讲
[27:33] 这些涨价题材
[27:34] 其实对啊
[27:35] 我知道你有涨价
[27:36] 我知道这个
[27:36] 可能涨价的幅度也都蛮大的
[27:38] 可问题就是说市场麻木了
[27:39] 你下去问一个市场仔
[27:42] 他真的会告诉你说
[27:43] 你干脆跟我讲什么
[27:43] 我没涨价
[27:44] 就我们看到的世界
[27:45] 是什么东西都在涨价
[27:46] 所以有可能这个东西
[27:48] 怎么说
[27:48] 就是说ASIC可能是
[27:49] 在某段时间
[27:50] 是非常有用的一个东西
[27:51] 可以把估值跳上去
[27:52] 可是会不会
[27:53] 后来一段时间
[27:54] 就类似像Invidia
[27:56] 可能就算开一些好消息
[27:57] 那股价
[27:58] 你看不到很显著的作动
[27:59] 因为可能不知道
[28:00] 就大家都习惯
[28:01] 这个我还要再稍微的观察一下
[28:02] 但反正总之
[28:03] 就后面应该会有一些
[28:04] 新的变局产生
[28:05] 那目前是在一个Lumer结论
[28:07] 那如果这些东西
[28:08] 后面有一些新的发展
[28:09] 我们可能在节目上面
[28:10] 再来跟大家讨论跟分享
[28:12] 那希望对大家
[28:14] 在判断上面会有一些帮助
[28:15] 那这节目就先
[28:17] 大概简单聊到这里
[28:18] 接下来我们来进入Q的部分
[28:19] 那今天一样是回到Spotify
[28:21] 只是我是早上录影
[28:22] 因为下午要出门
[28:23] 所以就是早上留言的人
[28:25] 就会不小心被黏到
[28:27] 那第一位
[28:27] 好下面这一位
[28:29] 就是这一集最后一则QA
[28:30] 梦宫你好
[28:31] 我有两个小猫咪
[28:32] 我从来也不骑
[28:34] 有一天我醒起来
[28:35] 才要准备好罐头腻
[28:36] 我手里拿着豆猫帮
[28:38] 大声喊Hey Siri
[28:40] 没事我只是想听听
[28:41] 有几个观众的Siri有反应
[28:43] 我的没有反应
[28:44] 不知道是啥小
[28:44] 那顺便祝老婆五周年快乐
[28:47] 他说到肌肉男的声音
[28:48] 那梦宫听众端午快乐身体健康
[28:51] 继续肌肉猛男声大叫
[28:54] Hey Siri
[28:54] 我大概是没动
[28:57] 不知道他妈撒小
[28:58] 不是啊
[28:59] 端午节是要到的是吗
[29:00] 不是今年才刚开始
[29:01] 怎么要端午节
[29:02] 下一位
[29:02] Joe163333
[29:05] 祝杨安安想问主委
[29:08] 如果想要下注OpenAI
[29:09] 但又不想要打Microsoft Oracle
[29:12] 这些插边球
[29:13] 那对一般小菜鸡
[29:14] 要什么好的方式吗
[29:14] 那最后我在这边
[29:15] 用张哥的语气
[29:17] 祝诸位电脑平安
[29:18] Microsoft应该严格上来说
[29:21] 不是擦边球了
[29:22] 它的持股不是还蛮多的吗
[29:24] 那Oracle的话应该算
[29:26] 那其他的话
[29:27] 像是Amazon
[29:28] 或是说其他有
[29:29] 有间接投资到的
[29:30] NVIDIA什么的
[29:31] 假设有拿到股权的话
[29:32] 我没有去细部去猜
[29:34] 它到底拿到多少
[29:34] 但反正就是如果拿到的话
[29:36] 那都算是有间接的投到
[29:37] 所以怎么说
[29:39] 如果你今天是去
[29:40] 押注OpenAI题材的话
[29:42] 我相信蛮多人也是这样子
[29:43] 然后会跑去买Microsoft的话
[29:44] 在过去一阵子
[29:44] 其实表现也不是太好
[29:45] 所以未必啦
[29:47] 就是有一些在市场上
[29:48] 看起来很潮的东西呢
[29:49] 也不一定代表说
[29:50] 它就是特别会涨
[29:51] 或是你可以透过一些基金
[29:52] 有一些那种可能
[29:54] 有些是在市场上交易
[29:55] 有些可能是没有
[29:56] 那他们的Portfolio里面
[29:58] 如果有这个OpenAI的话
[30:00] 那占比又够高的话
[30:01] 那可能也是一个
[30:02] 可以考虑的选项
[30:03] 下面一位
[30:03] 可可蛋糕在天上
[30:05] 梦工去搞
[30:06] 我是晕船仔
[30:07] 想问喜欢的人
[30:08] 不喜欢自己要如何调试
[30:09] 理智上知道要结束
[30:11] 内心还是会忍不住的在意
[30:12] 有时候会怀疑
[30:13] 自己是不是哪里不好
[30:14] 所以才会这样
[30:15] 那请祝我3月22号生日快乐
[30:17] 大家平安顺心
[30:18] 爱你
[30:18] 你知道
[30:19] 人家又不喜欢你的话
[30:20] 就尽量不要再趋于骚扰别人
[30:22] 因为这会对人家造成一些困扰
[30:24] 那如果说你是那种默默的偷喜欢
[30:25] 那可能又还好
[30:27] 那至于要不要去怀疑自己不好
[30:28] 我觉得完全不需要
[30:29] 特别是当你可能谈过了数个感情之后
[30:32] 或是你去问一些过来人就知道
[30:34] 有时候就是这样
[30:35] 你把自己准备得很好
[30:36] 可是不一定大家会喜欢
[30:37] 有时候你根本就没有用心
[30:39] 可是别人反而是超级喜欢
[30:40] 你这有点像他说
[30:41] 很多在求财的人
[30:42] 就是那些没有钱的人
[30:43] 那些不怎么求财的人
[30:45] 奇怪钱一直从天上掉下来
[30:46] 很多不求感情的人
[30:48] 妈的桃花长不断
[30:49] 那很多在求感情的
[30:50] 就是一辈子在感情里受伤害
[30:52] 有一堆这样子
[30:53] 下面一位
[30:53] Alan
[30:54] 海大您好
[30:55] 请问记忆体族群
[30:56] 一月份业绩大爆发
[30:57] 会一次性爆发库存低成本吗
[31:00] 那有没有机会延续
[31:01] 谢谢海大分享
[31:02] 如果你是想说
[31:04] 那些有低库存的
[31:05] 就要说像是群联
[31:06] 不是低库存
[31:07] 低价库存
[31:08] 群联或者是威刚什么的
[31:10] 就我们的理解
[31:11] 当然库存就是说用完就没了
[31:13] 只是可能都还是有蛮多库存
[31:15] 可以去做使用的
[31:15] 所以它不会是一次性
[31:16] 它可能是多次性
[31:18] 下面一位Slayer
[31:19] 嗨 孟公
[31:20] 算是新加入的听众
[31:21] 想问在操作的时候
[31:22] 通常比较紧张的形式
[31:23] 会把水位调低多少
[31:24] 目前水位40多%
[31:25] 美国人到底会不会做股票
[31:27] 每天都在到货
[31:28] 希望后面运起来
[31:28] 还是祝大家今年业绩喷爆
[31:30] 我最低的话
[31:32] 目前大概是70 60%左右
[31:35] 前阵子其实最低大概是80几70
[31:37] 就不会再往下
[31:38] 那只是最近呢
[31:39] 有在就是
[31:40] 可能前阵子有调到
[31:42] 大概70 60几
[31:42] 我们都在节目会
[31:43] 及时跟大家分享
[31:45] 那当然去分享这些
[31:45] 并不是要告诉你
[31:46] 说要怎么做
[31:47] 因为其实一堆人
[31:48] 做的比我好了
[31:48] 我相信
[31:49] 那我的想法只是说
[31:50] 反正我就把我的心得
[31:51] 给讲出来
[31:52] 那有时候可以
[31:52] 抛出来引诱
[31:53] 去吸引到一些人
[31:54] 来跟我讲说
[31:55] 那他们现在是怎么样
[31:56] 看待这些东西
[31:57] 他们有一些这种
[31:58] 产业上的认知什么的
[31:59] 我觉得对我来说
[31:59] 是挺好的
[32:00] 所以一般来讲
[32:01] 我都在节目会
[32:02] 持续的跟大家分享
[32:02] 那我不会调太低
[32:03] 这是我
[32:07] 调低的比例就不会到太多
[32:09] 因为它就是有蛮多东西
[32:10] 可能就放在市场里面
[32:12] 去随风飘
[32:13] 随这个大海
[32:14] 载着它去各个地方
[32:16] 到时候发现说
[32:16] 飘一飘就越飘越高
[32:17] 但是当然还是有一些身边的人
[32:20] 他们可能也是几个亿以上了
[32:21] 可是他还是会整天空手
[32:23] 或说满手这样切换
[32:25] 所以那是每个人的想法不一样
[32:27] 或说心情不一样
[32:28] 耐受度不一样
[32:29] 就有不一样的结果
[32:30] 下面一位Naruto1231
[32:31] 当然本人是一个
[32:32] 刚听一年多左右的
[32:34] 新听众兼快乐宝贝
[32:35] 本来是想了解市场
[32:36] 才来听节目
[32:37] 就发现自己太菜什么都听不懂
[32:38] 但是觉得爱大讲的东西很有趣
[32:40] 就默默的当了一年的气氛仔
[32:42] 那目前才高三
[32:43] 想要好好学习投资
[32:44] 未来当操盘手
[32:45] 也决定读财经系
[32:46] 看完会计思考
[32:47] 就不知道下一本要看什么
[32:48] 那想问爱大书袋里面有哪几本
[32:49] 是比较推荐新手看的吗
[32:51] 那还有想问爱大
[32:52] 有打算再写一本书吗
[32:53] 爱你
[32:53] 如果再写一本书的话
[32:54] 应该不会是跟投资市场相关的
[32:56] 应该是会跟可能
[32:57] 如何在RO里面课金
[32:59] 或是如何在尼基里面
[33:00] 疯狂的抽卡之间有关系的
[33:02] 或是一些也不知道
[33:03] 就有时候我也幻想一些
[33:04] 有的没有的剧情
[33:05] 我把它写成像小说那样子的东西
[33:06] 那所以应该不会再写一个
[33:08] 跟这个股票市场相关的东西
[33:11] 然后再讲说
[33:11] 对于这个人生规划的部分
[33:14] 其实如果说你想要去做这个
[33:15] 所谓的股票操盘的话
[33:17] 你不一定要念财经系
[33:18] 我没有认识多少
[33:19] 就是说什么这个操盘手
[33:21] 他们是财经系的
[33:22] 我意思是说不是说财经系不行
[33:23] 是说各行各业的人
[33:25] 都有可能会去做全市投资
[33:27] 或是跑到一些投资公司里面
[33:28] 去当这个操盘人
[33:30] 那当然财经相关的也是有
[33:32] 蛮多都是去可能
[33:33] 就像说先当券商的Sell side analyst之类的
[33:36] 然后后来就慢慢的就爬到买房去
[33:38] 然后就开始去做一些
[33:40] 帮人家操盘的这个motion管道
[33:43] 所以他不一定要去念
[33:45] 所谓的相关科系
[33:47] 那只是对于市场的敏感度
[33:49] 或是有熟悉的产品
[33:50] 这确实是很重要
[33:51] 所以我觉得说就是多多的看盘
[33:53] 所以看盘不是说什么
[33:54] 这个每天盯着他上上下下
[33:55] 不是就是你要去了解一下
[33:57] 各种情势
[33:58] 就像说以现在的状态就是说
[34:00] 油价可能对市场影响是什么
[34:02] 油价到多少的话
[34:03] 是不是市场就有那种需求破坏的一个可能性
[34:06] 通膨是不是就会炸裂
[34:07] 是不是就会影响到联总会的利率决策
[34:09] 是不是就会影响到你的股价的估值
[34:10] 这个可以稍微的理解一下
[34:12] 再来就是说各种公司在做什么
[34:14] 它做的东西可能对市场的影响是怎么样
[34:17] 如果说它成长率好的话
[34:18] 估值是不是可能可以高一点
[34:20] 如果成长率没这么好
[34:21] 即便EPS很好
[34:22] 是不是成长率就会低
[34:23] 估值就会低一点
[34:25] 这些东西都可以去多看多研究
[34:27] 反正就是整天去看这些东西
[34:28] 看久了我觉得会有一些帮助
[34:30] 至于高三可不可以就决定好
[34:33] 未来的生涯规划
[34:34] 我个人觉得非常困难
[34:35] 你去问身边一些年纪
[34:36] 可能比较大的长辈
[34:37] 你去问问他们
[34:38] 他们高中想的东西
[34:39] 可能跟最后面做的东西都差很多
[34:41] 甚至你到大学之后都还是差很多
[34:43] 所以不用给自己太大的压力
[34:44] 反正就顺水推舟试看看
[34:46] 如果兴趣一直在那边
[34:47] 那就持续往那边努力
[34:48] 下面一位台中彭宇燕
[34:50] 老婆殿下打炮的时间到了
[34:53] 请问猛公哥哥
[34:54] 什么东西老婆不吃
[34:55] 小三甘之如饴
[34:57] 我第一个想到变态的东西
[34:58] 但我们就先不提
[34:59] 那再的话可能是亏吧
[35:00] 老婆一定不会吃亏
[35:01] 但小三的话
[35:02] 可能想上位就会吃亏吧
[35:04] 那再讲说吃官司吧
[35:05] 小三可能就是不知道
[35:06] 就是为了去扛一些风险
[35:08] 然后换得正宫的地位
[35:09] 所以吃一点官司
[35:10] 他可能也是没有问题的
[35:12] 那再来就是说
[35:13] 吃大饼吧我在想
[35:14] 因为老婆久了就知道说
[35:16] 反正你他妈你讲的东西
[35:17] 就出一嘴
[35:18] 你就只剩下他妈一张嘴
[35:19] 你存一支懒觉
[35:20] 那可是小三的话
[35:21] 因为在恋爱的状态之中
[35:23] 什么都会相信
[35:23] 所以这些东西是我自己猜测
[35:25] 就小三可能比较喜欢吃的
[35:26] 下面一位
[35:27] YD Chen
[35:28] 那想透过爱大的金口
[35:30] 祝二月生日的肥脸妈妈
[35:32] 以及四月生日的宝贝女儿生日快乐
[35:34] 呦
[35:34] 瓜好
[35:34] 请用川普才要积木的声音
[35:36] 这个太难了吧
[35:37] What a nasty lego
[35:38] 好啦
[35:39] 那谢谢大大
[35:40] 祝何嘉平
[35:41] 下面一位
[35:42] 林敏华
[35:43] 然后三个emoji蝙蝠
[35:44] 下面一位
[35:45] Alice
[35:46] 梦宫chica
[35:47] 是这样子拼吗
[35:48] 晚安梦宫
[35:49] 你最近有看WBC棒球赛吗
[35:51] 我有个怀疑
[35:52] 就是为什么大家明明口口声声说
[35:54] 爱台湾却连最基本的支持正版90天方案
[35:57] 只要399都不愿意付
[35:58] 这跟买东西不想付运费的道理是一样吗
[36:01] 我认真好奇
[36:02] 我是没有什么钱的一日球迷
[36:03] 为了支持台湾以及更好的版权环境
[36:05] 还是懒怕捏着买了
[36:07] 难道这就是我跟有钱人的差距吗
[36:09] 就梦空一家健康快乐爱你
[36:11] 这位妹妹的意思就是说
[36:14] 是不是越抠的人才可以当有钱人
[36:16] 不是啊不一定啊
[36:16] 因为像我自己也是有订那个爱尔达啦
[36:19] 那爱尔达那个好像是一次付三年吧
[36:21] 我其实也是没有什么在看
[36:22] 像那个WBC就是人家跟我讲说
[36:24] 这场很好看
[36:25] 那我就会把它打开来看一下
[36:26] 所以就是放在那边
[36:28] 我会都会订阅
[36:29] 像觉得说最近也很少在看
[36:31] 那个Prime Video或是Disney
[36:33] 就比较少看
[36:33] 可是我都会放着
[36:35] 那这跟有钱与否
[36:36] 我觉得也没有什么关系
[36:37] 就是你知道每个人的这个
[36:39] 注意力都是有限的
[36:40] 瞎的娱乐太多了
[36:42] 有些人可能就不想要在这个地方花钱吧
[36:43] 那当然了绝对不要去看盗版的东西
[36:46] 那我还是觉得说要尽量支持正版
[36:47] 其实以前我们小时候
[36:49] 都是看一堆盗版的东西
[36:50] 没有办法
[36:51] 因为那时候真的是
[36:52] 像那个什么
[36:53] 是Steam的创办人吗
[36:54] 还是谁有讲过一句
[36:56] 我觉得很有道理
[36:57] 他说其实盗版会猖獗
[36:58] 就跟正版没有办法
[37:01] 有效的流动
[37:01] 有很大的关系
[37:02] 我真的认为是这样子
[37:04] 就是正版取得不易
[37:05] 有时候不一定是价格的问题
[37:06] 那所以呢
[37:07] 后来在一些平台的推进之下
[37:10] 其实你现在也很少
[37:11] 在听到人家什么打游戏
[37:12] 打盗版的
[37:13] 我觉得有时候是这样
[37:13] 就那个名字是慢慢会开起来
[37:15] 下面一位
[37:16] 宅宅律师的慢慢说法
[37:18] 孟公大您好
[37:19] 我是近一年入坑的粉丝
[37:21] 两年前赴美攻读LLM
[37:23] 挂号法律系修了商业法的课程因缘机会开始投资美股从那开始当仓很爽结果亏损惨重那再到期权小赚后大亏才理解到老生常谈的投资心法其实很有道理例如长期持有
[37:34] 选择难以想象
[37:36] 会消失的公司等等
[37:37] 那现在在制造公司
[37:39] 担任涉外法务
[37:40] 最近搞懂了POC NPI
[37:42] 三个验证流程
[37:43] NP等等的知识
[37:44] 那我自己觉得
[37:45] 法律必须要结合其他知识
[37:47] 才能够解决问题
[37:48] 所以感觉超充实
[37:49] 怕字太多先这样
[37:51] 看后面还有
[37:53] 再次再感谢
[37:54] 孟公大大提供优质的好节目
[37:57] 非常恭喜
[37:57] 开始搞懂一些
[37:58] 制造业会用到的东西
[38:00] 前面就是一个概念验证
[38:02] 后面就是说
[38:02] 新的产品推出
[38:04] MP就是说
[38:05] 大量的量产
[38:06] 这个其实也是
[38:07] 搞股票之后
[38:07] 我才学会的一些字
[38:08] 我是没有跑业界过
[38:09] 可是我们也是
[38:10] 越听越理解
[38:11] 后面就会慢慢上手
[38:13] 所以有时候不一定要太急
[38:14] 下面一位
[38:14] Lins
[38:15] 阿达您好
[38:16] 上集有提到
[38:17] 开始做股票的资产
[38:18] 是几十万
[38:19] 让我想到我的男友
[38:20] 月薪只有31K
[38:21] 没有什么存款
[38:22] 每天在研究
[38:23] Uber当充
[38:24] 就想要多赚一个便当钱
[38:26] AIDA是否觉得这样
[38:27] 是不妥协高风险呢
[38:28] 那是不是像他这样的
[38:30] 最好投资策略
