[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由Sally赞助
[19:40] 他就直接把数字都给你
[19:41] 所以我们不用去讲太多
[19:42] 量化方面的东西
[19:44] 我们去聊一些直话相关的内容
[19:45] 那我觉得他里面
[19:46] 讲了一段深得我心
[19:48] 或甚至可以直接就呼应到
[19:49] 我们上集所说的内容
[19:50] 就是提到说
[19:51] 他们现在要去
[19:53] 怎么讲
[19:53] 就是搞一个类似说
[19:54] No AI Slab Zone
[19:56] 这什么意思呢
[19:56] AI Slab就是我们讲说
[19:57] AI在网络上去产生的一些废文
[19:59] 废图什么的
[20:00] 那最近有看到
[20:01] 在亚马逊的这个ebook
[20:03] 就是说电子书的产质量
[20:06] 最近数字是拉得很高
[20:07] 为什么
[20:08] 因为可能一堆人透过AI
[20:09] 然后就开始去出一些垃圾内容
[20:11] 当然我们不在讲说
[20:12] 每个东西都是垃圾
[20:13] 可是一定有很多东西
[20:14] 就是出资滥造的东西
[20:15] 透过AI的协助
[20:16] 才有办法把这些作品生得这么快
[20:17] 我们也是相信说
[20:18] 当然有AI的协助
[20:19] 可以让一些作者
[20:20] 他可能本来就很有天分
[20:21] 只是加了一个杠杆加速器一样
[20:23] 然后把这个东西可以做出来
[20:25] 但反正总之
[20:25] 我们知道在网络上
[20:26] 下达的内容
[20:27] 它其实是越来越廉价的一个情形
[20:30] 因为产出的量实在是太大
[20:32] 那这我们就把它称为是AI Slop
[20:33] 不管是文字的
[20:34] 不管是图片
[20:35] 或是一些观念的传达
[20:36] 或是一些影片
[20:37] 你开始滑一些端影
[20:38] 又会看到说什么
[20:39] 去切一个玻璃水果
[20:40] 然后发出奇怪的声音
[20:41] 或什么的
[20:42] 或甚至是那种高度拟真的
[20:44] 川普的影片
[20:45] 或什么的这些东西
[20:46] 都是我们可以把它泛指为
[20:47] 是AI Slop
[20:48] 那当然这AI Slop
[20:49] 它如果是一个像是
[20:50] 迷因性质好笑的东西
[20:52] 那绝对是没有问题
[20:54] 反正大家看了
[20:55] 就是笑一笑就结束
[20:55] 可是问题是
[20:56] 当你今天要把这些AI Slop
[20:58] 拿进去公司里面去做应用的时候
[21:00] 它立刻就会产生问题
[21:01] 你在公司的应用
[21:02] 你不可以去出一个
[21:03] 模棱两可的东西
[21:04] 如果你今天只是
[21:05] 像你的老板
[21:06] 你在一个投资公司上班
[21:07] 然后他可能也没有
[21:08] 盯你盯得太紧
[21:09] 他会讲说
[21:09] 你去帮我去生一个AMD的
[21:11] Earnings Code报告
[21:12] 这个其实你现在真的
[21:13] 透过AI就立刻做出来
[21:14] 老板可能觉得说
[21:15] 你没有生产力
[21:16] 记得要去把那个
[21:16] 不是而是
[21:18] 不是但是什么
[21:19] 这种删掉
[21:20] 因为那是AI的用词
[21:21] 这个老板会抓到
[21:22] 那除此之外
[21:23] 就是这种
[21:24] 可能比较偏向一些
[21:25] 概念式分析的东西
[21:27] 他不用抓得太准
[21:29] 他只要抓到一些关键资料
[21:30] 怎么这个交给AI做是没有问题
[21:31] 可是当然今天是处理到账务会计
[21:34] 法尊人事
[21:35] 或者是有去对到你的客人的话
[21:38] 那这个东西就要求到非常的精准
[21:40] 所以Pentier他现在在努力的一块
[21:42] 或者说他在推动的一块
[21:43] 就是说这个AI必须要尽可能去降低
[21:46] 所谓的AI Slop
[21:47] 那他的FTE
[21:48] 某个程度上就在扮演这样子一个角色
[21:50] 简单说这个数据就是Garbage in Garbage out
[21:53] 如果你今天是喂垃圾的话
[21:54] 那出来的东西也高几率是垃圾
[21:56] 那如果说今天公司
[21:57] 只是随便去串一个网路上的AI
[21:59] 去做生成的话
[22:00] 你生成的东西不只是不准
[22:02] 还有可能会对公司造成一些伤害
[22:04] 所以非常精准的AI是需要的
[22:06] 那这件事情呢
[22:07] 我最近在网上看到一个
[22:09] 说法非常的有趣
[22:10] 忘记是在谁的留言区
[22:12] 然后有提到这件事情
[22:13] 就是说现在的网路
[22:15] 就是大家都宣称自己有传说厨具
[22:17] 可是我们至今还没有看到
[22:19] 传说料理的诞生
[22:20] 这什么意思
[22:21] 传说厨具就是说
[22:22] 因为像每个人都有AI
[22:23] 所以每个人都可以宣称说
[22:24] 什么AI多屌要取代谁
[22:25] 最喜欢讲取代别人
[22:26] 都不会说取代自己
[22:27] 那接着就是说
[22:28] 我今天用AI
[22:29] 又科出了什么产品
[22:31] 我今天用我的AI又怎么样
[22:32] 那我就问你各位
[22:33] 那你他妈产品到底在哪里
[22:34] 所以其实现在很多人
[22:36] 在用AI做的东西都是
[22:37] 怎么说
[22:38] 他可能自己觉得说
[22:39] 这是我一个小创作
[22:40] 我可以做出一个
[22:41] 我以前没有办法想到的应用
[22:43] 或什么的
[22:43] 你也看到很多人开课
[22:44] 跑出来讲这个
[22:44] 我用AI生成了一个什么
[22:46] 小gadget
[22:47] 一个小功能
[22:48] 小tools
[22:49] 这个东西非常好用
[22:50] 以前我可能要买或什么的
[22:51] 但这些东西
[22:52] 已经是非常严重的
[22:54] 怎么讲
[22:55] 就是在市场里面是膨胀到
[22:57] 就是基本上猴子都可以做出来
[22:59] 所以你现在可以做出这个东西
[23:01] 一点都不稀罕
[23:02] 那最直接的验证就是
[23:03] 你一定没有办法拿这个东西去卖钱
[23:06] 你会看到很多小故事
[23:07] 告诉你说要做一个什么小应用站
[23:09] 多少钱或什么的
[23:09] 但你会发现那是凤毛麟角
[23:11] 因为现在在做这件事情的人
[23:12] 实在是大部分太多了
[23:13] 可是真的有办法把它变成是
[23:15] 可以营运下去
[23:17] 那可以去获利的一个产品的人
[23:19] 是很少的
[23:20] 所以产品本身超级重要
[23:22] 那这个AI Stop的观念
[23:23] 就会反映在
[23:25] 就是在未来的一段时间
[23:27] 不然说像我们上次
[23:28] 有稍微的提一下
[23:29] NICN
[23:30] 即便这家公司
[23:30] 并不是自己有在观察
[23:32] 或是有布局的东西
[23:33] 可是它开出来的数字
[23:35] 是颠覆市场想象的
[23:36] 因为市场本来认为说
[23:37] 你就是死定了
[23:38] 特别是要知道说
[23:40] 这个东西死定
[23:40] 它不会是一个未来
[23:41] 它应该是现在进行式
[23:42] 为什么
[23:42] 因为过去你已经看到
[23:44] 巨头或是一些Enterprise
[23:46] 它确实是Shift了一大堆
[23:47] 可能过往的IT资源
[23:49] 或者说会去买一些软体
[23:51] 买一些有的没有的资源
[23:52] 全部拿去买AI伺服器
[23:53] 这个是已经在发生的事情
[23:55] 所以一定是有人受害的
[23:56] 就是你的钱
[23:57] 不是说会无限增生的
[23:59] 当你拿这么多的钱
[24:00] 去移到某个地方
[24:02] 一定有些地方钱会不见
[24:03] 所以如果今天你注意到
[24:05] 有些公司
[24:05] 他还是有钱进来
[24:07] 那他真的是有机会
[24:08] 可能就是错杀
[24:09] 因为在过去
[24:10] 市场给大家的一个论述
[24:11] 就是即便老黄
[24:12] 就所谓的AI教主
[24:13] 他自己都反对
[24:14] 他都说应该是要创造更多工作
[24:16] 软体会变得比既往更重要
[24:18] 或什么的
[24:18] 但蛮多人的想法就是说
[24:20] 这个以后都不需要
[24:21] 有任何的software
[24:22] 其實這個是很矛盾的
[24:23] 因為如果是這樣的話
[24:24] 那科技巨頭應該全部都要丟掉
[24:25] 不是說不用software
[24:27] 可是一定會有一些
[24:28] 可能典範轉移的事情發生
[24:30] 或是一定會有一些
[24:31] 太耗流強的狀態發生
[24:33] 那這個也不要講說是軟體
[24:34] 其實你說硬體也是
[24:35] 這陣子如果你在做
[24:37] 工業電腦這些廠商
[24:38] 其實就超級危險
[24:39] 為什麼
[24:39] 因為簡單說
[24:41] 就是你的採購溢價能力
[24:42] 本身也沒有人家強
[24:43] 你料也拿不贏人家
[24:44] 所以那些五哥十哥
[24:46] 他去做AI伺服器
[24:47] 即便毛利數字沒有這麼高
[24:48] 可是他至少可以確保
[24:49] 就一直賺錢
[24:51] 你現在又要去買那種貴深深的記憶體
[24:53] 然後現在板子又變貴什麼又變貴
[24:54] 所以一樣是在做server
[24:56] 可是其實有些人的財務狀況
[24:58] 在後面是有機會出現爆雷的
[25:00] 會出事情的
[25:01] 所以不是說每個做硬體的都一定會好
[25:03] 一樣的道理就是
[25:04] 不是說每個做軟體的都會好
[25:06] 但是你已經開始注意到
[25:07] 特別是我覺得像我們節目去提到
[25:09] 自己喜歡的軟體
[25:10] 這當然這不知道自吹
[25:11] 但你回頭看一下
[25:12] 像我們特別喜歡的CrossFly
[25:14] 或是Panty
[25:15] 或者是這個叫什麼
[25:17] Cloudflare
[25:18] 就是他們在過去一陣子
[25:20] 过去一阵子
[25:21] 其实有两家是正的
[25:23] 只是他parenteer
[25:24] 还是负的
[25:24] 还是在水下
[25:25] 但相较于一些software
[25:27] 他可能是已经跌掉
[25:28] 40% 50%
[25:29] 甚至是有跌掉60% 70%的
[25:31] 那他们是相对撑得住的
[25:32] 所以我觉得这里面
[25:33] 要传达的一个概念就是
[25:35] 你没有办法
[25:37] 很笼统的去听市场的
[25:39] 某一种说法
[25:40] 然后就把投资这件事情做好
[25:42] 你要有自己的一些判断
[25:43] 那这个判断不代表
[25:44] 你一定是会对
[25:45] 就是一定会有错的时候产生那至少你要stand your ground就是你不要说今天听到一些风吹草动然后立刻就改一個說法因為這對自己的credit也很傷那我知道絕大多數的散戶你不用管credit可是在我們自己的工作領域裡面
[25:58] 因為大家其實是會互相推標的
[26:00] 就是我跟你認識
[26:02] 雖然我不是投資公司
[26:03] 可是我們互相
[26:04] 你在看什麼我在看什麼
[26:05] 你整天都推垃圾
[26:06] 久而久之
[26:06] 大家都知道說你就是一個垃圾
[26:08] 所以你不能夠就整天改說法
[26:09] 然後或者說人家每次問你標的
[26:11] 你就是
[26:12] 手上都是強勢股
[26:13] 聽起來好像很屌
[26:14] 很多散戶看到那種
[26:14] 有些人手上是强势股
[26:15] 就是说这一定是神了
[26:16] 没有
[26:17] 那么这些东西
[26:18] 你只要每天打开XQ
[26:19] 你就那个涨幅排行榜
[26:21] 你就每个都去买
[26:21] 你手上就全部都是强势股
[26:23] 可是问题是
[26:23] 我没有办法在里面
[26:24] 看到一个叙事逻辑的话
[26:25] 这会出状况的
[26:26] 就是你可能只是
[26:27] 不知道
[26:28] 就除非你是一个
[26:29] 超强的量化魔人吧
[26:30] 不然可能长期来看
[26:32] 都不是一个太好的情形
[26:34] 那所以我认为去识别
[26:35] 就是每个软体之间的
[26:37] 那个差异是非常重要的
[26:38] 那特别是
[26:39] 一个很好的验证
[26:40] 就是现在的AI时代
[26:42] 大家正在把大量的资源投进去AI里面
[26:45] 所以如果在后面的财务数字开出来是OK的
[26:48] 很重要就是财务数字开出来
[26:50] 而不是说在那边嘴炮说什么
[26:52] AI怎么样的
[26:53] 你真的有财务数字
[26:54] 你真的有去提升你的margin
[26:56] 就是你整体的表现是变好的话
[26:58] 那这些东西有可能就是后面的一个机会之所在
[27:02] 所以这个当然我不会现在选择去做介入
[27:05] 因为我们的交易
[27:06] 其实是包含了蛮多的事件跟动能在里面
[27:08] 那我自己的想法是这样子
[27:10] 就是因为怎么讲
[27:11] 就是現在美股其實有些標的
[27:13] 自己手上持有的已經瘋到
[27:14] 你也不知道該說什麼了
[27:15] 那台股其實也是
[27:16] 就是一些那種出勤線的東西
[27:17] 整個都已經拉出去
[27:18] 好幾根漲停或什麼的
[27:20] 那想法是這樣
[27:21] 就是如果說這些東西
[27:22] 後面開始軟掉去橫盤的話
[27:23] 才會有機會會去找那些東西
[27:26] 就有點類似說
[27:27] 其實我現在手上看得到的一些劇本
[27:30] 你說像那個矽晶圓
[27:32] 環球經驗雖然昨天講的不是特別好
[27:34] 但整體來看
[27:35] 就是矽晶圓的一個週期
[27:36] 應該開始要上去了
[27:37] 那這就不會是首選
[27:39] 它是排在後面的一個選擇
[27:40] 虽然他可能最近股价也蛮强的
[27:42] 那再来另外一个
[27:42] 我觉得也蛮意外的是
[27:44] 像这个Vanguard
[27:45] 就是世界先进
[27:46] 世界先进
[27:47] 他在最近的一次对外的说法
[27:50] 也是显示了
[27:50] 他一些厂房
[27:51] 他是在做那个成熟制成的
[27:53] 就成熟制成的一些厂房
[27:54] 他可能还没有盖好
[27:55] 然后东西都卖掉
[27:56] 他那个利用率也是超级高的
[27:58] 那虽然这个其实大概在几个月前就看得到
[28:01] 但他就是不会是一个首选
[28:03] 所以我们现在的概念有点像说
[28:04] 我们自己的心目中会有一些异军跟恶军
[28:06] 那异军就是股价确实在右上角
[28:09] 然后故事又对的东西
[28:10] 今天开始有一些软鸟的情形产生的时候
[28:12] 那就会选择可能部分往二军去
[28:15] 或者说可能一军拉回够深的话
[28:16] 有机会再去做更进一步的布局
[28:18] 但整体看会认为说以下这个盘面
[28:21] 就是它那个协率真的太高了
[28:23] 所以一般这么高的协率
[28:25] 不知道除非是像那种打抗炮那种
[28:27] 就后来直接A下去直接
[28:29] 不然很难
[28:30] 就是一般一定会有一个
[28:31] 后面会给一个盘整段
[28:33] 那盘整段就去拼选股
[28:34] 那到时候就可以在这些东西去做一些轮动
[28:36] 所以自己心中的规划是这样
[28:39] 所以美股的一些在过往可能是
[28:41] 所谓的被AI排挤被杀到的东西
[28:43] 一些service或者说SaaS related的东西
[28:46] 它只要是财务数字够好的
[28:48] 可能后面都会想去注意它
[28:49] 因为它真的都蛮多跌到
[28:50] 所谓的便宜的位置
[28:51] 那当然便宜有可能是一个价值陷阱
[28:54] 只是如果有财务数字可以去做背书
[28:57] 那如果说公司给的guidance
[28:58] 也是够高的话
[28:59] 有可能后面会产生一些
[29:00] 市场论述的翻转现象
[29:02] 就像说在CPU这波转好之前
[29:04] 所以我说市场里面
[29:06] 有抓到很好的记忆力
[29:06] 因为你现在只记得
[29:08] 大家都会讲CPU很好
[29:09] 可是其实在几个月前
[29:10] 是不会有人跟你说
[29:11] CPU很好的
[29:12] 甚至你问大家
[29:12] 大家讲说谁会去买CPU
[29:14] 有时候就是在一个瞬间
[29:15] 这些东西就会去做反转
[29:17] 那就是说可能
[29:18] 在今年年初的时候
[29:19] 有些人就直接跟你讲说
[29:20] 美股死电了
[29:21] 对不对
[29:21] 不要再做美股了
[29:22] 什么的
[29:23] Surprise Motherfucker
[29:24] 直接就一路紧喷
[29:25] 所以我们已经开始
[29:26] 有去思考说
[29:26] 就下一步可能要往哪走
[29:28] 只是要等到时间到
[29:29] 有Trigger开下去之后
[29:30] 那可能再去做相对应的布局
[29:32] 类似说那时候可能看到
[29:33] CPU的股价机梯转强
[29:35] 這個是蠻重要
[29:36] 就市場先買給你看
[29:37] 有一些大資金
[29:38] 你知道我們不是笨蛋
[29:39] 他為什麼要去幫前面這些人解套
[29:41] 當他去做的時候
[29:41] 可能我們就會選擇去稍微的看一下
[29:44] 就像我自己今天在盤中的操作是這樣子
[29:47] 就雖然我沒有去做什麼解碼
[29:48] 可是我注意到尾盤轉強的東西
[29:49] 我馬上直接進去卡位
[29:51] 我就先卡
[29:51] 我都會知道你的故事是什麼
[29:52] 可是你記得你不拉的時候我就不要
[29:53] 你現在要拉我可能就卡一下
[29:55] 反正快盤就是用一些快盤的做法
[29:57] 大概這樣子
[29:58] 好 接下來我們進去Q的部分
[29:59] 第一位 Brian Wang
[30:00] 蛋蛋有一顆痣留言密碼測試
[30:02] 想當初我還是氣氛仔
[30:04] 都在85度C跟高中兄弟聊股票
[30:06] 国外节目出来后
[30:07] 我们又有更多的话题
[30:08] 孟公你是风
[30:09] 你是光
[30:10] 你是唯一的神话
[30:12] 只是我兄弟比你早点变二宝吧
[30:15] 他是两个女儿
[30:16] 祝福孟公生活事业都顺心
[30:19] 重要的是全家都要平安健康
[30:21] 最后麻烦你用川普的口音
[30:22] 祝我兄弟伊朗水煎包老板间
[30:25] 美股去年被大盘击败的战神大屌轩
[30:28] 过期的生日快乐
[30:30] 那他也要祝云云跟云娜快乐平安长大
[30:42] 介绍大学同学给叔叔
[30:44] 妈死变态
[30:45] 我跟你讲
[30:46] 讲到这一点
[30:47] 我最近跟我朋友就聊这件事情
[30:48] 就是呢
[30:49] 我以前在大学的时候
[30:50] 因为我有一个前女友
[30:52] 她的男朋友就是社会人士
[30:54] 然后那时候
[30:55] 因为我刚跟她在一起
[30:56] 我不知道什么
[30:56] 我心中就很纠结
[30:57] 我很自卑吧
[30:58] 我就是整天在喷说
[30:59] 我跟你讲啊
[31:00] 你那个男朋友就是那帮fucking loser
[31:02] 谁会你知道你已经收人事
[31:04] 然后你还要跑回来把大学美
[31:06] 你怎么会跑来把大学的美
[31:08] 这很丢脸啊
[31:09] 你一定是什么外面的卤蛇
[31:10] 然后他童年都不要你
[31:11] 反正那时候我就讲出一些那种超级激进的话
[31:14] 那后来我们更长大的时候
[31:16] 有一件事情还蛮好笑
[31:17] 反正就是我们那时候在国高中的时候
[31:20] 我们就认识一个在苗栗教英文的老师
[31:23] 那当然因为苗栗真的太小
[31:25] 所以我们就不要说是谁
[31:26] 那反正这个老师呢是一个外籍人士
[31:29] 他那时候真的就是每天跟我们混
[31:30] 那我就记得这个老师呢
[31:32] 他给我们很多生活上的冲击
[31:34] 就像说我们小时候开冷气怎么开
[31:36] 我们就睡觉前开一到两个小时
[31:38] 然后宝宝就会起来把冷气关掉
[31:39] 省钱
[31:40] 上乡
[31:40] 没钱
[31:41] 然后存钱
[31:42] 那反正就有粮就好
[31:43] 大家可以睡着就好
[31:44] 那晚上呢
[31:45] 可能甚至是还是需要盖被子之类的
[31:48] 那时候去这个外籍老师家呢
[31:50] 就会注意到
[31:51] 哇他家的冷气超屌
[31:52] 他24小时都不关
[31:53] 就是整天冷气都开着
[31:55] 然后他会把他的墙面就砌成什么
[31:56] 红色蓝色
[31:57] 你知道以那种苗栗的乡下孩子
[31:59] 我真的沒有看過這種事情
[32:00] 我們家裡一定是什麼
[32:01] 上面就是青鋼架 白牆壁
[32:03] 反正一定那種最土的
[32:04] 然後地板就瓷磚
[32:05] 第一次看到說
[32:05] 有人可以把室內裝潢弄成這樣
[32:07] 然後他的房間還有一個螺旋槳
[32:09] 就真的是飛機的螺旋槳
[32:11] 然後直接在那邊展示給大家看
[32:13] 然後花了好幾萬去買的
[32:14] 所以當時我們都很喜歡他
[32:15] 然後他帶我們去酒吧
[32:16] 然後他也都是會負責付錢
[32:18] 然後跟我們聊天
[32:19] 我們知道說他是記憶老
[32:20] 可是他也沒有對我們產生過任何興趣
[32:22] 然後甚至那時候家人會講說
[32:24] 你那個朋友年紀比較大
[32:26] 要稍微住一下
[32:27] 你们知道去哪玩
[32:28] 就家人会多问一点
[32:29] 人家讲说
[32:29] 问太多干嘛
[32:30] 朋友或什么的
[32:31] 可是我们长大才发现
[32:33] 你说我现在
[32:34] 我三十几岁
[32:36] 你说我会不会想去跟一个
[32:37] 你不要说大学生
[32:38] 你说刚出社会的
[32:39] 我根本也懒得跟刚出社会的混
[32:41] 没有任何恶意
[32:42] 可是对话对不起来
[32:44] 更何况我去跟一个学生混
[32:45] 我怎么可能
[32:46] 我三十几岁
[32:47] 然后我去跟一个大学生混
[32:48] 这我真的做不来
[32:49] 所以你懂的话就会知道
[32:51] 靠北那个老外
[32:52] 他四五十岁
[32:53] 然后整天跟国中生混
[32:55] 其实我如果是爸爸
[32:56] 我也担心
[32:56] 今天他媽諾亞
[32:57] 幹國高中
[32:58] 然後整天跟一個老人家混在一起
[33:01] 我也想說是要幹嘛
[33:01] 是要被肛了還是怎麼樣
[33:03] 所以是真的會很小心
[33:04] 只是還好後面都沒有什麼事情發生
[33:06] 所以看到你這個
[33:07] 突然提到說
[33:08] 怎麼介紹大學同學給叔叔
[33:09] 我覺得說我不知道
[33:10] 我真的對這種
[33:11] 就是跑回去爬學生的
[33:12] 我覺得你們他媽都怪怪的
[33:14] 下面一位
[33:14] 雖然李奧納多這樣可能也怪怪的
[33:16] 金城武說AMD YES
[33:18] 真的是YES
[33:19] 下面一位B
[33:20] 我都念拽
[33:21] 其實不用罵到人家媽媽
[33:22] 客家人還有嘴字拽字可以罵
[33:25] 印象中也是說別人蠢
[33:26] 傻蛋之类的
[33:27] 那肯请孟公去
[33:27] 帮我的女儿取英文名字
[33:29] 可心
[33:30] 打算取Cathy
[33:31] 或是Kelsey之类的
[33:33] 那最后祝孟公绩效
[33:34] 喷发继续大赚
[33:36] 一家健康平安
[33:38] 诺亚安哥快乐成长
[33:39] 我觉得这两个都可以
[33:39] 因为这两个跟他的名字是有像
[33:41] 那这个名字取得真好
[33:42] 可心
[33:43] 民中带心的都会发财
[33:45] 这些做芯片的
[33:46] 有什么
[33:46] 自新KY
[33:47] 训新KY
[33:49] 全部都是标国
[33:49] 这个好名字
[33:50] 下面一位
[33:51] 好好活着
[33:52] 才能够花自己的钱
[33:53] 孟公你好
[33:53] 五星好评一声推
[33:55] 小韭菜五年来在海外券商
[33:57] 从台币500滚到2500
[33:59] 中间未曾汇回台湾
[34:00] 也未曾申报海外所得
[34:01] 请问你每年会固定申报海外所得吗
[34:04] 即使没有汇回来
[34:05] 也会每年申报75万海外所得吗
[34:07] 今年开始付委托
[34:07] 不料目前已经有未实现600
[34:09] 以目前的形态也不敢保证
[34:11] 今年不会再买卖
[34:12] 那就算卖掉再买
[34:14] 也可能会有再卖
[34:15] 感觉会超过750的上限
[34:17] 是否没有办法一定会被克海外所得
[34:20] 谢谢您的解惑
[34:21] 接下来讲就是说
[34:23] 中华民国国税局其实也蛮厉害的
[34:25] 现在报税软体很方便
[34:27] 按两下就把你的钱直接给拿走
[34:29] 真的非常厉害
[34:30] 我们的报税软体非常的强大
[34:31] 他们要去查你税的话
[34:33] 也是有很多种方法
[34:34] 所以给大家最忠实的建议
[34:36] 就是诚实纳税
[34:37] 该缴就是得缴
[34:38] 就当成是你帮忙铺一下
[34:40] 你家门口的路或什么的
[34:41] 简单来说你要试着去忽略它
[34:43] 像我们自己平常去缴出去的税
[34:45] 你说什么鼓励税
[34:46] 缴出去会痛或什么
[34:47] 但你知道最痛的什么
[34:48] 最痛就是当你去看你的证交税
[34:50] 那個證交稅有時候查下去
[34:51] 我都不知道說已經繳這麼多稅
[34:53] 人家還說什麼
[34:54] 做股票都沒有繳稅
[34:55] 屁啦做股票繳一大堆的稅
[34:57] 繳超級多的稅
[34:59] 所以簡單來講就是說
[35:00] 你就言不見為盡吧
[35:01] 這當然是某一種交易成本
[35:02] 每個國家都有它的難題存在
[35:05] 以美國這邊來說的話
[35:07] 你去做短線的抽插
[35:08] 你身為美國人就是被嗑
[35:10] 以台灣這邊來講的話
[35:11] 有趣的是
[35:12] 我們竟然沒有資本利得稅
[35:14] 這個是非常好的一件事情
[35:15] 但是我們有交易稅
[35:15] 我們有海外所得稅
[35:17] 所以該報都是要報
[35:18] 如果說金額已經偏大的話
[35:19] 建议你去找会计师
[35:20] 他们会有一些方法
[35:21] 合法的去帮你做结税
[35:23] 有些东西你是直接问会计
[35:25] 因为我也不好去把
[35:27] 像自己认识的会计
[35:28] 或是我自己的会计
[35:29] 跟我讲我可以怎么样做
[35:30] 在这边公开的分享
[35:31] 我觉得说这感觉是帮自己找麻烦的事情
[35:33] 你就去找专业人士
[35:34] 他一定会去协助你
[35:35] 一般来讲
[35:36] 你花出的钱一定会比你
[35:38] 就是最后面赚到的钱来的少很多
[35:40] 这是一个就是该付出的
[35:42] 一个富人的成本
[35:43] 当你已经是要去考虑税务问题的时候
[35:45] 你就必须要去付这个成本
[35:46] 去买一个保护费
[35:48] 这个非常重要
[35:49] 下面一位Will
[35:50] 梦宫Chica
[35:51] 不是啊
[35:51] 这不是Chica
[35:52] 这是China
[35:53] China
[35:54] China
[35:55] China
[35:56] 留言密码测试
[35:57] 祝大家天天开心健康平安快乐
[35:59] 仙女妈妈我们爱你哦
[36:00] 下面一位
[36:01] Ember
[36:01] 梦宫我老公的老公
[36:03] 梦宫Chica
[36:03] 老公是您的忠实听众
[36:05] 今年要考内科专科医师考试了
[36:08] 青龄肌肉猛男的声音
[36:09] 刚才说快去念书
[36:10] 不要再滑手机了
[36:11] 祝贵元阿新哥内专考试顺利
[36:15] 继续在ICU好好的顾病人
[36:18] 百超Q老婆
[36:19] 那希望这位兄弟
[36:20] 可以顺利的考试通关
[36:22] 下面一位
[36:23] 莉
[36:23] 孟公好
[36:24] 我是二宝爸
[36:25] 谢谢你推的修理可礼盒
[36:26] 让我老婆非常的开心
[36:27] 那希望祝你
[36:28] 三胎生女全家平安
[36:30] 也希望借你的金口
[36:31] 向妈祖祈求
[36:32] 我的两个小孩
[36:33] 悠悠跟悠弟快乐长大
[36:35] 再用川普的声音
[36:36] 谢谢我的老婆
[36:37] Debbie
[36:38] It's very good to have you
[36:39] 好那下面一位
[36:40] 小明
[36:41] 肺瓣在本梦比
[36:42] 台积在本意比
[36:43] 这种心态
[36:44] 就像是领死薪水的公务员
[36:46] 看到拿业绩奖金的业务一样复杂
[36:48] AMD INTZ挂号股东
[36:50] 看我们满手台积的
[36:51] 就像是跑业务的同学
[36:52] 去嘲笑当医生的第一名
[36:54] 回答跟台积跟上废办的时候
[36:56] 是否就是我脱单的时候
[36:57] 孟公大我又来玩了
[36:59] 脱单捐六个月的薪水
[37:00] 这数字不是乱喊的
[37:02] 那因为朋友七位数取外配
[37:04] 没三个月就跑了
[37:05] 我这六个月的薪水
[37:06] 如果能够捐出去
[37:07] 那真的就谢天谢神谢孟公了
[37:09] 那希望这个地方的善男
[37:12] 可以很快的找到他的对象
[37:14] 那确实是台积电
[37:15] 它严格上来说
[37:17] 在整个AI的category里面
[37:20] 其实它跟NVIDIA一样
[37:21] 它们都是属于说
[37:22] 在业界非常耀眼的存在
[37:24] 但它们确实交易在一个便宜的数字
[37:27] 这就有点类似说
[37:28] 因为我这一波去搞被动元件的时候
[37:30] 我也是一排都直接上去
[37:32] 最后一面
[37:34] 我觉得基本面没有最强的
[37:35] 我跟一个朋友聊天的时候
[37:36] 我讲一个超北蓝的
[37:37] 我就说我有去
[37:38] 我就贴我一个截图
[37:40] 因为刚好就抄底
[37:41] 有买在前一天在回档的时候的
[37:43] 一个蛮好的位置
[37:44] 我说我刚好去帮他做一个
[37:45] 这个挡墙
[37:46] 我去买
[37:47] 然后他就跟我讲说
[37:48] 为什么你会在这时候加码这一只
[37:50] 形态看起来是不太好
[37:51] 为什么你会买它
[37:52] 那是不是你觉得
[37:53] 它的基本面很好
[37:54] 什么说
[37:54] 没有我觉得它的基本面
[37:55] 跟我买的其他的
[37:56] 某一只
[37:57] 某几只
[37:58] 我觉得没有这么好啦
[38:00] 那只是你知道
[38:01] 那就有点像是说
[38:02] 那种巷口的阿嬷店
[38:03] 手指会插到面里面的
[38:04] 它不一定是很好吃的东西
[38:06] 可是呢
[38:07] 你偶尔就是会想要吃一下
[38:08] 十字五味七字可西
[38:09] 还是配一点
[38:09] 结果这种东西
[38:10] 最烹连续好几根掌柄
[38:14] 没有在上面赚到很多钱
[38:15] 所以我觉得市场
[38:16] 蛮多时候真的会长这样
[38:17] 就是你会
[38:18] 怎么讲
[38:19] 在短期内注意到一些
[38:20] 它可能是在
[38:22] 共识上面
[38:23] 或是fundamental
[38:24] 没有这么好的东西
[38:25] 可是它却炒盆
[38:26] 但一般拉长来看
[38:27] 基本面好的东西
[38:29] 才是真的会一路走
[38:30] 走最远的
[38:30] 它即便在短期
[38:31] 可能看起来是
[38:32] 被冤枉了
[38:33] 被委屈了
[38:34] 当然市场就是这样子
[38:35] 没有办法
[38:36] 刚刚突然间蹦一声
[38:38] 我小儿子
[38:39] 不知道怎么
[38:39] 把他撞我的门
[38:40] 他把他撞门
[38:41] 然后开始在那边哭了
[38:42] 那下已经
[38:42] 安定好兄弟为CJ最近得知同事的孩子得了一个叫做South Brain的肌汗腱先天脑病宝宝的大脑表面跟保龄球一样
[38:53] 完全光滑没有皱褶
[38:54] 主要的症状是严重发展迟缓
[38:57] 一岁了还没有办法正常的做起
