[00:00] 欢迎收听谷外,我是圣梦宫
[19:21] 目前有在破点的东西
[19:22] 我会去把它提款出来
[19:24] 那台股的话
[19:25] 可能就是这些
[19:26] 比较强势的东西
[19:27] 如果说掉下去
[19:28] 就像过去有一只
[19:29] 自己手上买了蛮多的东西
[19:31] 是它掉下去之后
[19:32] 然后它就没有立刻再弹起来
[19:33] 即便它军线全部是往上冲
[19:34] 可是它踩到一些关键军线
[19:36] 然后它一样是在继续的往下的话
[19:38] 那这个就会变成
[19:39] 我也会把它卖出来
[19:40] 然后去以防
[19:41] 就假设美股真的出现一个全面破底
[19:43] 或是国际的地缘政治事件
[19:45] 再次的升温
[19:47] 油价下不来的话
[19:48] 可能会出现的一些危机
[19:49] 那只是比较尴尬的点是
[19:51] 因为我们还是会有一些
[19:52] 机械化操作的部分
[19:53] 所以其实在过去
[19:54] 好像手上的一些光设备
[19:56] 光设备又走得非常的好
[19:57] 或者说最近市场上的一个新话题
[20:00] 玻璃的glass core
[20:01] 它也是走得极好
[20:03] 所以你就只好一直加码
[20:04] 因为走得好多人就一直加码
[20:05] 然后发现说
[20:06] 这个部位还是打得有点太慢
[20:07] 所以看下礼拜怎么样再来做调整
[20:09] 我们就来稍微讲一下
[20:10] 玻璃基板是什么
[20:12] 然后它要怎么样去做应用
[20:13] 因为它是市场目前
[20:15] 可能蛮多人在聚焦的一个话题
[20:16] 其实当然最火红的一定还是光通
[20:18] 只是我心中想的是
[20:19] 我等光通开始回档的时候
[20:21] 我们再聊光通会比较好
[20:22] 不然有时候你去聊
[20:23] 然后就一堆人会怎样冲进去
[20:25] 然后接着就说
[20:25] 你不是说这很好
[20:26] 当然其实我们不要
[20:28] 因为一些快乐宝贝
[20:28] 去调整自己的一些做法
[20:30] 这很多时候
[20:30] 还是会稍微的从善如流
[20:32] 就是我们没有必要
[20:33] 在一个东西
[20:33] 就是今天是长在右上角
[20:35] 然后跟你讲说他有多好
[20:36] 因为这样会很像
[20:37] 其他跟风的人
[20:38] 所以我们就等到他
[20:39] 可能稍微有回答的时候
[20:40] 再跟大家聊
[20:41] 因为其实这一半
[20:41] 花蛮多时间
[20:42] 跟身边的朋友在对
[20:43] 可能像CW Laser
[20:45] 或是Optical Engines的数量
[20:47] 以及像是NVIDIA的
[20:48] Quantum跟Spectrum
[20:49] 到底是出了几台
[20:50] 因为我们发现说
[20:50] 那个数字其实超级乱
[20:51] 稍微有理出一点点的头绪
[20:54] 那是可能等到
[20:55] 就是光头回答的时候
[20:56] 我们再跟大家分享
[20:57] 应该会记得
[20:58] 总之玻璃基板
[20:59] 就是最近在市场上面
[21:00] 蛮火热的
[21:01] 就是我注意到有一些
[21:02] KOL或者是股票相关的
[21:05] 公司证券业者都有在发表
[21:07] 然后再来一些退休分析师的专栏
[21:09] 也突然间大家都在写玻璃基板
[21:11] 我相信一般这样子
[21:13] 就是无风不起浪
[21:14] 也不要觉得说人家都在拱东西
[21:16] 因为你知道有些人
[21:16] 他们看股票觉得说
[21:17] 好像美元都想要坏坏
[21:18] 不一定
[21:19] 有时候可能是大家
[21:20] 就是刚好观察到了一些产品
[21:22] 因为大家都有一些自己的线索
[21:23] 观察到之后就会把它写出来
[21:25] 所以如果今天很多人
[21:26] 同时在写一件事情的时候
[21:27] 那就是有可能这个东西
[21:29] 有一些新的突破跟发展
[21:30] 先讲我们自己的结论
[21:32] 就是我觉得GCS
[21:33] 也就是Glass Core Substrate
[21:34] 或说TGV,Fluid Gas Viya
[21:36] 就是玻璃通孔的
[21:37] 他们应该都要等到
[21:39] 大概是2027的中间到2028
[21:42] 才会开始出现放量
[21:44] 在2028才会真正的出现大量
[21:46] 所以如果说你用CPU去做类比
[21:48] 就是像市场上非常火红的东西的话
[21:50] CPU大概就是在2026的时候
[21:52] 开始有一些除量
[21:53] 然后等到2027的时候
[21:54] 会大量的放量
[21:55] 所以它其实是玩CPU的
[21:57] 那当然你会说CPU的股票
[21:58] 其实提早个
[21:59] 可能两三年就已经有在动了
[22:01] 所以说不定这个
[22:02] GCS或说TGV的股票
[22:04] 也会提早个两三年去动
[22:06] 不一定
[22:06] 这个我们没有办法讲得很绝对
[22:08] 但总之呢
[22:09] 我们先去跟大家聊一些
[22:10] 这种产业相关的话题
[22:12] 当然在投资方面判断
[22:13] 就要各位自己去做考量
[22:15] 那也不一定都要往正向去做判断
[22:17] 就有些人会觉得说
[22:19] 你讲的东西在这么远
[22:20] 你要去空
[22:20] 那当然都是OK
[22:21] 反正就是
[22:22] 我们比较中性的
[22:23] 去聊产业相关的一个议题
[22:25] 首先在玻璃方面
[22:27] 走的比较前面的
[22:28] 应该就是Intel
[22:29] Intel早在数年前
[22:30] 就已经有去找一些
[22:31] 台系的伙伴一起去开发
[22:33] 也是跟一些朋友聊天之后
[22:34] 才知道说
[22:35] 其实很多时候我们是用
[22:36] 怎么讲
[22:37] 就是现在进行式
[22:38] 来做一些事后论的东西
[22:40] 那也不是你故意要事后论
[22:41] 就是你看到现在是怎么样
[22:42] 所以就觉得说
[22:43] 好像十年前是这样
[22:43] 他说其实十年前
[22:45] 可以跟着Intel去做开发的
[22:46] 是比较厉害的
[22:47] 为什么
[22:47] 因为十年前intel是比较厉害的
[22:49] 那后来是台积电超车了嘛
[22:50] 所以现在每个跟着台积电的都极权生田
[22:52] 不管是那什么四四制程啊
[22:54] 或是一些coax的设备股票
[22:56] 都是过去可能最长的东西
[22:57] 那些可能去扒到intel的
[22:59] 当时觉得是扒到强者
[23:00] 但最后面就发现
[23:01] 他可能就衰落下去了
[23:03] 那当然可能像在
[23:04] 美国的制造业回流
[23:06] 或者说川普要去拱intel的一个状态之下呢
[23:08] 有些事情会改变
[23:09] 所以我们其实期待说
[23:10] intel有没有可能会带起新一波的
[23:13] 因为台系供应链蛮多是供他们的
[23:15] 然后可能相关的一些题材
[23:16] 都是有机会一起做起来
[23:18] 那Intel目前在市场上面
[23:19] 比较有把握会成功的东西
[23:22] 我认为是e-MIB
[23:23] 那e-MIB就是一个
[23:24] 你可以想象成说
[23:25] 它最早出来
[23:26] 是有点类似要去挑战
[23:27] CoreOS的一种封装方式
[23:29] 因为AI晶片
[23:30] 简单来讲就是说
[23:31] Triplet去加HBM
[23:32] 那随着尺寸越来越大
[23:34] 有机基板会产生翘曲的问题
[23:36] 或者是说
[23:37] 其实这个尺寸是不够用的
[23:38] 所以像CoreOS的话
[23:39] 它可以做到3.3个Retical Size
[23:41] 就是3.3个光照尺寸
[23:42] 如果你晶片要再更大的话
[23:44] 像以前是可能一个GPay
[23:46] 8个HBM
[23:47] 那你之后要再更大
[23:48] 可能就没有办法
[23:48] 所以像Google的Humufish
[23:50] 因为那整个晶片
[23:51] 是变得很大一颗
[23:52] 它除了本身的ASIC之外
[23:54] 还有一些HBM
[23:55] 还有一些IODY
[23:56] 所以它变得很大
[23:57] 所以它就是没有办法
[23:59] 在CoreOS上面去做执行
[24:00] 所以怎么样呢
[24:01] 他们就转去EMIP
[24:02] 当然也不排除
[24:03] 后面还是有机会
[24:04] 会转回到台积电的Corpus
[24:05] 也就是用Panel去做
[24:07] 可以把Radical Size
[24:08] 来做到更大的一个solution
[24:09] 总之我们目前所看到
[24:11] 就是在Google这边的TPU V9
[24:14] 也就是Humufish
[24:15] 它应该是会在Intel的EMIG
[24:17] 这边去做后段的先进封装
[24:19] 所以因为说有Google的一个采用
[24:22] EMIG就变成是大家在关注的
[24:24] 然后最近在日本的一个展会上面
[24:26] 其实也不是最近
[24:27] 已经大概只有两个月了
[24:29] Intel就是有展出
[24:30] 他们去使用Glass Core Substrate
[24:32] 然后去搭配EMIG
[24:34] 去做出来的一个solution
[24:35] 就是说把它的bridge
[24:37] 是直接埋在它的玻璃的基板里面
[24:39] 玻璃其实有分几种
[24:41] 就是現在我們目前可能在TSM會看到的是使用Glass Carrier
[24:45] 那未來就是大概在2027、2028會出量的是GCS
[24:49] 就是我們剛剛前面所提到Glass Core Substrate
[24:51] 就是玻璃的載板那在更後面應該是2029、2030以後才會出現的是Glass Interposer也就是玻璃的中介层那只是有时候会注意到这个包含说像我自己也是属于产业的相对外行的
[25:03] 当然是比一般的了解一点
[25:05] 可是我们是相对外行的
[25:06] 我们这些做股票的
[25:07] 很多时候我们会不小心的就把所有东西都变成是撒尿牛丸
[25:11] 就是把全部东西都混在一起
[25:12] 那可能会忽略掉有些东西的时间
[25:14] 可能是比较前面
[25:15] 有些东西是比较中间
[25:16] 有些是可能会到很后面才出来
[25:17] 那可是这个东西呢
[25:19] 我自己在心中的想法是觉得
[25:21] 像很多时候我们之前
[25:22] 像有一次跟大家分享说
[25:23] 就是市场在喊的
[25:25] 那个GB200喊到70K REC太高
[25:27] 那事后证明我们就是对的
[25:29] 就真的是喊太高
[25:30] 可是你有注意到
[25:31] 因为这个数字太高
[25:32] 有出现下调吗
[25:34] 就是说这个股价去大跌
[25:35] 不一定
[25:36] 很多时候是
[25:36] 反正这个股价先推上去
[25:38] 推上去之后
[25:39] 就算这个数字是错的
[25:40] 因为把所有东西都混在一起
[25:41] 但不一定会掉下来
[25:43] 因为大家很喜欢去买
[25:44] 这些有猫的东西
[25:45] 所以类似说
[25:45] 我们刚才前面所提到
[25:46] 因为最近去考察CPU
[25:47] 也注意到数字超级乱
[25:49] 那其实很多数字
[25:50] 人家喊出来的
[25:51] 你发现说是搭不起来的
[25:52] 但美茶因为大家都觉得说很香
[25:54] 就是先冲进去
[25:55] 我们这也不需要去做
[25:56] 看空的一个论述
[25:57] 只需要去表示说
[25:58] 这个类似像说
[25:59] 测不准定律
[26:00] 测不准大家是可以接受的
[26:02] 反正只要是题材对
[26:03] 大家就会很乐意的去
[26:04] 给它一个很高的P ratio
[26:06] 因为你有很高的一个P ratio的关系
[26:09] 所以即便你最后面的
[26:10] 那个E是没有达标
[26:12] 或者说是有地盐
[26:13] 是有怎么样的
[26:13] 只要市场的情绪是好的
[26:15] 都还是有机会
[26:16] 把你撑在一个相对高档的位置
[26:17] 就我们目前所理解
[26:19] 在台系业者我们所看到的
[26:20] 会是用在Glass Carrier为主
[26:22] 后面可能才会有一个GCS的应用
[26:25] 只是那个需要一段时间
[26:26] 在Intel这边可能会是走得比较快
[26:28] 除了Intel之外
[26:29] 有另外一家还走得比较快的厂商
[26:30] 就是Broadcom
[26:31] Broadcom目前在新加坡跟Tuban
[26:33] 日本的Tuban
[26:34] 他们有合资了一个产线
[26:36] 这个产线也是由台系的设备厂
[26:38] 会在里面去做一些输出
[26:40] 这个东西我们目前是期待
[26:42] 如果他后来拿来做一些
[26:44] 光通相关的东西
[26:45] 或者他的交换机
[26:46] 像是Tamahawk
[26:48] Tomahawk 6跟7的话
[26:49] 目前我们只有了解到
[26:50] 他们其实都有拿玻璃去做测试
[26:52] 只是在量产的时候
[26:53] 你不会看到有玻璃
[26:54] 可是等到第八代的Tomahawk
[26:56] 目前在业界的朋友是直接讲说
[26:59] 应该就是会去使用玻璃
[27:00] 没有意外的话
[27:01] 只是第八代的Tomahawk是什么时候
[27:02] 大概就是一两年
[27:03] 甚至是更久以后的事情
[27:05] 所以才会回到刚才一开始讲的
[27:06] 就是市场在关注这个话题
[27:08] 可是同时我们的感受是
[27:09] 第一直觉
[27:10] 这还太久
[27:11] 大家会不会太早去关注这个话题
[27:13] 但可能我在想
[27:14] 因为可能过去市场的情绪不错
[27:16] 所以像CPO也是大家提早两三年
[27:18] 那时候就一堆人跑去买光通了
[27:20] 你根本就看不到任何的数字
[27:22] 最后面发现说
[27:23] 那些人其实是动足极限
[27:24] 他们提早就先去布局
[27:25] 然后下一堆那种恨天高的光通股
[27:27] 所以说不定市场的情绪也是被沿用
[27:31] 然后要提早先去布局这些玻璃相关的东西
[27:33] 那就是要稍微的注意一下
[27:35] 像我们刚才前面所提到
[27:36] 它有些是用在carrier
[27:37] 有些是用在substrate
[27:39] 有些是interpose
[27:39] 那只是它是有一个时间差
[27:41] 只是这个东西也不一定是真的最重要的东西
[27:44] 有时候可能市场气氛对的时候
[27:45] 一切都会一起推上去
[27:46] 那只是呢
[27:47] 目前我们就是有看到
[27:49] 在Intel跟Block.com这边
[27:50] 我会去做这样子的一个尝试
[27:52] 那在TSM的话呢
[27:53] 他们有一个Corpus
[27:54] 那这Corpus是使用Panel
[27:56] 那目前我们应该是还没有看到
[27:57] 他会使用Glass Interposer
[28:00] 就是他不会用玻璃中介层
[28:02] 至少目前还不会
[28:03] 或许未来会
[28:04] 可能还在开发的一个阶段
[28:06] 但如果说等到TSM
[28:08] 也大量的去使用玻璃的话呢
[28:09] 那可能就是笃定的这个题材
[28:11] 是已经变成是真实的
[28:13] 那当然那时候可能就
[28:14] 不会是现在的这些价格
[28:16] 只是这个我们可能认为
[28:18] 是一个比较难去做估计的东西
[28:20] 所以简单的跟大家分享一下
[28:21] 就是这个玻璃的应用
[28:23] 目前我们是在市场上有注意到
[28:26] 就是大家要去关注它
[28:27] 那目前在量产方面
[28:28] 时间轴还是维持的差不多
[28:30] 就是差不多会等到
[28:32] 27年左右的时候
[28:33] 才会有一个放量
[28:34] 除非有一些意外
[28:35] 就是因为有什么急迫的需求
[28:37] 所以导致他们要去立刻做期换
[28:39] 只是目前我们去看产品的road map
[28:41] 不然说像NVIDIA的
[28:43] 但我们不用讲说
[28:44] 现在的VRuby
[28:45] 那已经是已经既有的东西
[28:47] 那个绝对是不会去采用
[28:48] 这样子的东西
[28:49] 那到后面的费曼
[28:50] 应该也都还没有去做
[28:52] 这样子的采用
[28:53] 所以应该会先透过Intel
[28:55] 或者是在BlockCon这边
[28:57] 先去做采用之后
[28:58] 然后看TSM
[28:58] 有没有哪些客户要去做采用
[29:00] 然后接着
[29:00] 如果说NVIDIA去做采用的话
[29:02] 应该就是这个末班车
[29:04] 所以先稍微的跟大家
[29:05] 简单讲一下这个东西
[29:07] 那当然这个TGV
[29:08] 我们也稍微的跟大家说明一下
[29:10] 因为大家可能会不太清楚
[29:11] 说以前都是用TSV
[29:12] through silicon wire
[29:14] 那下面是TGV
[29:16] 那差别在哪
[29:16] 其实都是在上面去做打孔
[29:18] 那只是TGV的打孔的话
[29:19] 它是先
[29:20] 你准备一个玻璃的核心的板子
[29:22] 接着你去透过雷射改值的方式
[29:25] 去把在玻璃方面
[29:27] 去产生一些改值区
[29:29] 它不是透过烧石的方式
[29:31] 反正就是它去打雷射在上面
[29:32] 接着这些被改值的地方
[29:34] 你再透过试试时刻的方式
[29:36] 你去放一些化学的物品上去
[29:39] 然后接着
[29:39] 它们被熔过去的速度
[29:41] 我觉得远高于那些没有改值的地方
[29:43] 所以就透过这样去创造出大量的窗孔
[29:45] 那这些窗孔就是用来做一些
[29:47] 讯号的连接
[29:48] 所以大概这样子
[29:50] 那简单跟大家讲一下
[29:51] 这个题材自己的一些想法
[29:53] 虽然可能是比较杂一点
[29:55] 反正总之就是
[29:55] 我认为我们进去抓一个东西
[29:57] 特别是以投资人的角度
[29:59] 我们都还是先看P跟Q
[30:00] 所以产业方面
[30:01] 我们不会去做的太详细
[30:03] 反正就是我们大概知道他在干嘛
[30:04] 那我们最主要是要知道说
[30:05] 谁会用
[30:06] 他会用多少
[30:07] 那价格是怎么样
[30:08] 那简单来讲就是cost
[30:09] cost
[30:10] cost
[30:10] 有些他都是太贵
[30:11] 类似说人家炒房
[30:12] 就是说location location location
[30:13] 那只要这个价格可以稍微的下来
[30:16] 良率拉上去的话
[30:17] 那当然他可能放量的速度就很快
[30:18] 那只是一般来讲
[30:20] 就是我们去观察一些
[30:21] 这个晶片的发展
[30:23] 就是你至少先等到他第一颗出来
[30:25] 那第一颗出来
[30:25] 可能就会先去做一个mini line
[30:27] 去做一个试产
[30:28] 那等到后面量产的时候
[30:29] 就代表说他的梦是正式的要实现
[30:32] 那目前我们去看的话
[30:33] 就会觉得说他的推动者
[30:34] 就会是由intel
[30:36] 然后在外加像是BlaCom的光通
[30:39] 或者是像Google的TPU
[30:41] 因为它是用在E-MID上面
[30:43] 那E-MID
[30:43] 他们可能为了要防止翘曲
[30:45] 所以就提早会去使用玻璃的基板
[30:47] 那这些东西可能会是推动玻璃
[30:50] 然后跟TGV的一个最主要的核心力量
[30:52] 那如果是要到台积电这边的话
[30:54] Corpos这边目前是只有用到Carrier
[30:56] 那当然不排除后面也会去使用玻璃
[30:58] 只是目前可能就是
[30:59] 像台积电这边的解放就透过一些胶带
[31:01] 那于是像超级标股三太子
[31:03] 它的胶带就是用来防止Warpage的
[31:05] 那只是后来用玻璃
[31:06] 可能就是可以避免掉这些Warpage
[31:08] 其实玻璃听起来很好
[31:10] 但你去做实际上采用的
[31:12] 它可能是需要蛮多时间去tune的
[31:14] 所以也不太确定
[31:15] 它会不会这么快的就有一些执行
[31:17] 于是就在这边就简单的
[31:19] 跟大家分享一下对这个题材的看法
[31:21] 就是说未来是非常好的
[31:22] 只是过程中还有很多挑战
[31:23] 我们怀疑的是市场真的可以这么快就去动它
[31:26] 这时候怎么办
[31:27] 那就看技术线图
[31:28] 接下来我们就来进入Q的部分
[31:30] 第一位
[31:30] 水利的安久拉
[31:32] 职场困扰情
[31:33] 梦工大大开市
[31:34] 跟老公因为工作认识
[31:35] 现在结婚了
[31:36] 周围的同事喜欢背后八卦
[31:38] 我们时常开酸酸的玩笑
[31:40] 让我们感觉不友善
[31:41] 过来老公大我蛮多岁的
[31:43] 被他们说是老牛吃嫩草
[31:45] 那婚前同住被说
[31:46] 是不是只是想要省房租
[31:49] 那但不理他们
[31:50] 却觉得我们都跟其他人隔离
[31:52] 我心想是不能够好好上班工作吗
[31:54] 就连只办家宴都要被说
[31:56] 没有公开告知
[31:57] 他们觉得很受伤
[31:58] 难道职场恋情低调一点也错了吗
[32:00] 感觉做什么
[32:01] 他们都可以拿来说嘴
[32:02] 请教孟公大大
[32:03] 能不能给我一点力量
[32:04] 面对不友善的同事呢
[32:06] 谢谢海大
[32:06] 这个先讲一个
[32:07] 就是有可能听起来会有点冒犯的结论
[32:09] 但是我心中第一个想出来
[32:10] 就你一定长得蛮漂亮
[32:11] 然后你老公应该蛮有钱的
[32:13] 一个有钱的老公配一个漂亮的老婆
[32:15] 就是最容易被说嘴的组合
[32:17] 那你就要想象成说
[32:18] 就这些人就是酸葡萄
[32:19] 简单讲就是说
[32:20] 每个人都想要漂亮的老婆
[32:21] 每个人都想要有钱的老公
[32:22] 那一样我要强调
[32:23] 不是说你老公就不帅
[32:24] 或者说你就不会赚钱
[32:25] 我不知道讲这个
[32:26] 我意思是说
[32:26] 一般这种组合
[32:27] 真的很容易被人家碎嘴
[32:28] 就像我自己
[32:29] 我整天给人家酸
[32:30] 说什么洗基因或什么的
[32:32] 他媽感覺像是你的聽眾
[32:33] 實際上就是要出來踩你鋸
[32:34] 覺得說你老婆是不是用買的之類的
[32:36] 那如果今天是去外面上班的話
[32:38] 你覺得我會不會睡醉
[32:39] 啊他老婆一定是買的啦
[32:40] 他怎麼可能娶到
[32:41] 幹他長得像史瑞克呢殺小
[32:43] 所以其實我對這種東西是很習慣
[32:44] 那我自己的觀察也就是
[32:46] 反正你只要是這樣子的組合
[32:47] 就是很容易給人家睡醉
[32:48] 簡單來講就是說懷璧其醉啦
[32:50] 你長得漂亮或是說你有能力的人
[32:52] 很多時候你就是給人家嫌
[32:54] 你就會給人家嫉妒
[32:55] 你被人家講的你才是真正有料的人
[32:58] 真的就是沒有人會去嫉妒一個庸才
[33:00] 大家只会去嫉妒一些很有能力
[33:02] 或者说长得很漂亮的人
[33:04] 真的是这样
[33:04] 所以你不要觉得这是一个RQ的心态
[33:06] 我只能够说你就忽略这些人就好
[33:08] 你走到哪都一定会有这样子的人
[33:09] 那你也没有办法去干扰说
[33:11] 你们好好上班好不好
[33:12] 他们就是喜欢八卦你
[33:13] 他们为什么不去八卦别人
[33:14] 因为别人没有什么好讲的
[33:15] 别人很无聊
[33:16] 他们就要去找一些可以八卦
[33:17] 像是你不会想要去八卦一个路边的杂鱼
[33:20] 你一定要去八卦Justin Bieber
[33:21] 差不多的道理
[33:22] 下面一位
[33:23] 是我我回来了
[33:24] 一定是五星好评的
[33:25] 吹捧吹捧吹捧吹捧
[33:26] 下面一位
[33:27] 恭喜恭喜成功人士
[33:28] 这个留言真的太冰凉了
[33:30] 孟公您好
[33:31] 在这边可以遇到闪电鸟
[33:32] 同好的听众
[33:33] 真的太感动了
[33:34] 那可以请你试着用猛男家
[33:36] 闪电鸟的声音
[33:38] 祝平正赛车手温地
[33:40] 7月2号生日快乐吗
[33:42] 闪电闪电
[33:44] 不讲
[33:45] 其实闪电鸟跟猛男的声音是违反的
[33:47] 因为猛男就是要讲话
[33:49] 要这样子
[33:49] 可是闪电鸟是闪电闪电
[33:52] 我为什么要认真的回答你
[33:54] 然后说加一点豪斯多的胡椒盐
[33:56] 曾冰良曾冰良
[33:57] 下面一位
[33:57] 书难想象
[33:59] 股票要买就买
[34:00] 不要一直问
[34:00] 洗基因这种没有水准的话
[34:02] 还在讲
[34:03] 我孟空老公下次就是女儿了
[34:04] 儿子像老婆
[34:06] 女儿一定是像老爸
[34:07] 这是我过来的经验
[34:08] MK请放心
[34:09] 女儿一定会像你的
[34:10] 而且是戴假发的
[34:11] 你看这个感觉
[34:13] 是要帮我去嘴一下
[34:14] 那些说我洗基因的
[34:15] 然后他直接给我一个重拳说
[34:16] 女儿会像我
[34:17] 那这样我还敢生女儿吗
[34:19] 我一定是model
[34:19] 我要生儿子
[34:20] 下面一位
[34:21] Jack help me
[34:22] 倪敏然大哥可以尊称为倪哥吗
[34:24] 他讲的不是我讲的
[34:25] 刚刚看reels看到龙兄虎弟的片段
[34:28] 我民国90年出生
[34:29] 到现在才知道张飞跟费玉清是亲兄弟
[34:31] 孟公知道吗
[34:32] 还有看到猪大哥
[34:33] 那猪大哥死了吗
[34:34] 你知道吗
[34:35] 我知道张飞跟费玉清是亲兄弟
[34:37] 我知道
[34:37] 虽然我第一次知道
[34:38] 所以蛮震撼的
[34:39] 因为两个style真的差很多
[34:40] 那再来猪大哥有没有挂掉
[34:42] 猪大哥应该是还没有挂掉
[34:43] 下面一位
[34:44] 改正常的昵称
[34:45] 观音断儿在背后会觉得有人在监视吗
[34:48] 猪的说把观音佛祖放在位置的后面
[34:50] 那这样子会不会都不敢看不正经的画面
[34:53] 不敢不穿内裤打游戏
[34:55] 那另外诸位怎么看
[34:55] Google的KVCash压缩技术
[34:58] 会提前反映把记忆体
[35:00] 三大原厂给压缩下去吗
[35:01] 那另外冷储存也一起遭殃
[35:04] 应该是错杀吧
[35:05] 最后住足为一家喜乐平安健康
[35:07] 那首先会不会觉得被监控
[35:09] 不会
[35:09] 因为如果真的要被监控的话
[35:11] 我会把一堆那种是人形的雕像
[35:13] 那应该每个都像是被监控
[35:14] 所以我老婆会讲说
[35:15] 我这个很像就是新一代版本的
[35:17] 以前人家会放什么陶瓷娃娃嘛
[35:19] 那我现在就是放这些
[35:20] 所谓的公仔或是雕像
[35:23] 我不觉得它是邪门的事情
[35:24] 我个人还是觉得蛮喜欢的
[35:26] 虽然我老婆很多时候会讲说
[35:27] 你放一些那种西洋棍桃子
[35:28] 还是很可怕的事
[35:29] 但没事
[35:30] 心存善念就没事
[35:31] 我觉得佛祖也是一样的东西
[35:33] 那下面再来讲说
[35:34] 是不是这个Google的Cavicash的压缩技术
[35:37] 会去影响到
[35:37] 我个人觉得这又是市场在色耍白痴
[35:40] 就是市场其实在过去的两年
[35:42] 我不知道大家不讲说
[35:43] 什么AI帮助大家判断
[35:44] AI应该是一个让大家变强的工具
[35:46] 可是其实市场一直在犯傻
[35:48] 你看从一开始的DeepSeek事件
[35:50] 然后后来到什么
[35:51] Google要被AI取代
[35:53] 因为以后不会有人用搜寻引擎
[35:54] 然后再到软体股的一个大屌杀
[35:57] 再来就是到最近的Cavicash
[35:59] 去杀记忆体的事件
[36:02] 其实当然就是每次杀下去
[36:03] 应该都是有一些东西会没有办法起来
[36:05] 但是你不可以把它视为说
[36:06] 就是一个族群的毁灭
[36:07] 但最近市场很喜欢就是这样一包端
[36:10] 就是整个
[36:11] 反正大家气氛对
[36:12] 直接骰个报纸通杀
[36:13] 全部一起把你打下去
[36:15] 事后就是说那些错杀的东西
[36:17] 可能就占回去
[36:17] 以这个软体股来讲
[36:18] 像是Parentier
[36:19] Cloudflare
[36:20] 其实都很快就占回去
[36:21] Cross-Trade其实也是有反弹
[36:23] 自大人最近又被
[36:24] Enthropia杀下去
[36:25] 就再一次市场
[36:26] 反正就出一个东西
[36:27] 然后就把大家都打下去
[36:28] 我个人是认为
[36:29] 像这个KVCash
[36:30] 我们先知道说
[36:31] KVCash是什么
[36:31] 就Key Value的
[36:32] 一个快取存储
[36:34] 这个东西
[36:35] 它某个程度上
[36:36] 它是一种存储
[36:37] 它同时也是一种运算
[36:39] 就是说你AI的一些
[36:40] 你问它
[36:41] 然后它要去记一些记忆的话
[36:42] 它就放在这个东西里面
[36:43] 这东西一般是放在哪里
[36:44] 放在HBM里面
[36:45] 或者说
[36:46] 如果今天HBM假设是满的话
[36:48] 它会去按照一些顺序的序列
[36:50] 就是哪个东西比较重要
[36:51] 都会放在可能最密集
[36:52] 需要去提取的地方
[36:54] 有些就把outflow到CPU的DRAM去
[36:56] 有些就把outflow在
[36:58] 到可能整个伺服器的
[37:00] 可能外面有一个什么DPU的RAC
[37:01] 然后里面是有
[37:02] 放一些可以储存的空间
[37:04] 或是跑到一些冷储存的storage里面去
[37:06] 它是有一个序列存在的
[37:09] 所以如果说今天真的要杀这个故事的话
[37:12] 那理论上是要去杀HBM
[37:14] 或者是就是比较高阶的DRAM
[37:17] D5以上的东西GDDR
[37:19] 可是他是通殺嘛
[37:20] 就台系的記憶體上也殺
[37:21] 所以他就是一個比較莫名其妙的事情再來就是說其實像這樣子的壓縮技術他不是第一个提出来的前面已经有很多厂商都不停的提出压缩技术那为什么要有压缩技术
[37:32] 因为记忆体本身很贵
[37:34] 然后为了去增进这些模型的效率
[37:36] 他们是持续的去在
[37:37] 不管是记忆体的采用
[37:38] 或是一些算力的方法上面去做改善
[37:41] 那可是这些改善
[37:42] 大家有注意到记忆体的需求
[37:44] 就因为这样子有被压抑吗
[37:45] 没有
[37:46] 那甚至可以去引用一个说法
[37:47] 就是之前的那个
[37:48] Satya他所提到的
[37:50] 反而就是节温式悖论
[37:52] 你这个东西如果说真的变便宜的话
[37:54] 那它反而用量会更大
[37:56] 据说如果因为压缩之后
[37:57] 它变得更有效率的话
[37:59] 那其实不是代表说
[38:00] 从此大家就不需要这么多记忆体
[38:01] 是会有更多的厂商会投入这个赛道
[38:04] 然后导致会用到更多的一个记忆体
[38:06] 所以我个人是觉得说
[38:07] 用这个题材去杀记忆体
[38:09] 也是很莫名其妙
[38:10] 但是因为在过去
[38:11] 我们已经看过太多次
[38:12] 就是说AI时代之后
[38:13] 我不知道是大家集体降制还怎么样
[38:15] 因为过去我记得市场是很常犯错
[38:18] 没错
[38:18] 可是没有像近期这么明显
[38:20] 但也可能是因为大多头久
[38:21] 就是一堆有的没有的人都在车上
[38:23] 所以就是很常会去丢出一个
[38:25] 莫名其妙的论述
[38:26] 然后就把所有东西都一起杀下去
[38:27] 那接着呢
[38:28] 当然你会知道说
[38:29] 真的有料的东西
[38:30] 就会站回来的特别快
[38:31] 所以你可以看
[38:32] 你用什么样的角度去看待它
[38:34] 一个角度就是
[38:34] 你不爽你的东西被杀到
[38:36] 那另外一个其实就是
[38:36] 真金不怕火炼
[38:37] 你会注意到说
[38:38] 那些很快就站回来的
[38:40] 一般来讲
[38:40] 就是它其实是不受影响
[38:42] 所以像说市场直接去帮你
[38:43] 去做一个太弱流强
[38:45] 那你可以把它用这个角度去看待
[38:47] 所以我不会认为说
[38:48] 这个东西是会对记忆体的需求
[38:50] 造成很大的影响
[38:51] 但我也不代表
