[00:00] 欢迎收听谷爱,我是沈木工,本集节目由善存赞助
[20:03] 我觉得封装厂
[20:04] 它有点像是说
[20:05] 那种转型变身的
[20:06] 因为刚刚前面有提到说
[20:08] 掌握产能的为王
[20:09] IDM的话
[20:10] 他们自己就有这些厂房
[20:11] 当然也是有可能
[20:12] 他们自己的厂房也不够
[20:13] 也要去外面去找外包的
[20:15] 其他的话
[20:16] 可能都会需要去找到这些外援
[20:18] 所以包含说
[20:19] 像以前大家都非常熟悉的
[20:20] 你在AI要获得胜利的话
[20:22] 不只是你的产品要做得好
[20:24] 重点是你要做出来
[20:25] 所以大家都要去巴结台积电
[20:26] 那一样的道理
[20:27] 你就可以把它套用在
[20:28] 这些可能是比较偏向是
[20:31] 成熟制成的晶圆制造厂
[20:32] 不管是什么六寸或是八寸的
[20:34] 或者说他们的后段的一些封装测试场
[20:37] 他们的一个叙事逻辑
[20:39] 其实会跟TSM或者说TSM后面的
[20:41] 不管是Encore或是略广那样的故事是类似的
[20:44] 只要可能是套用在不同的产品线
[20:46] 可能是在一些比较偏向成熟制程段的东西
[20:49] 或甚至是功率元件
[20:50] 一些导线架相关的内容
[20:52] 这个在后面都有绝对被看到
[20:53] 所以目前初步看是市场的故事
[20:56] 还是围绕在这几个关键的零组件
[20:59] 以前大家都把它认为是比较小的料件
[21:02] 你说虽然这个功率元件
[21:04] 它是主动型料件
[21:05] 感觉又稍微的聪明一点点
[21:07] 可是大家也是把它视为是便宜的小料
[21:10] 被动元件更不要讲了
[21:12] 它甚至是趁金润两在卖的
[21:14] 这个AI的现在一个运行
[21:16] 有点像那时候从一开始是
[21:17] 专注在那些毛利极高的design house
[21:20] 然后到晶圆制造公司
[21:22] 其实他们现在毛利率也都拉到很高
[21:24] 然后现在都跑到一些
[21:26] 这些感觉是比较知为莫及的小料件
[21:29] 他们也有机会在后面
[21:31] 基本上像被動員件是已經確定了
[21:33] 那功率元件的話
[21:34] 可能就是醞釀正準備發生中
[21:36] 我覺得他們的毛利
[21:37] 都可能會到一個蠻高的數字
[21:38] 所以反映的就是
[21:39] 這科技巨頭真的很有錢
[21:41] 你看把大家的毛利全部都拉起來
[21:43] 因為大家都是要在短時間內
[21:45] 去完成這些搶貨
[21:46] 所以就是去對產業造成一些
[21:48] 蠻大的改變
[21:49] 所以除了就是前面聊到的
[21:51] 像是被動員件或是功率元件
[21:53] 然後到現在的封裝端
[21:55] 我覺得都有機會會是下一棒
[21:57] 就是會有機會會帶著市場向前衝
[22:00] 只是因为我们目前还没有办法很明确的确定
[22:02] 因为才刚经历完修正
[22:03] 那接下来就是看谁转强
[22:05] 基本上转强的东西带头跟着大盘一起行高的
[22:08] 就死了
[22:08] 就可以确定他就死了
[22:10] 那我猜有机会在下礼拜
[22:12] 我下礼拜就会去见分晓
[22:13] 到时候我自己是非常期待的
[22:15] 但总之我也去完成了相对应的一个布局
[22:17] 那在这个礼拜有一个蛮大的新闻
[22:20] 就是说Meta要去投入Neo Cloud的一个建制
[22:23] 也就是他想要去把一些冗余的算力拿出来
[22:26] 出给大家
[22:27] 那这个在市场上立刻就掀起了蛮多讨论
[22:29] 绝大多数的评论都是认为说
[22:31] 这个就代表说Meta不要玩了
[22:32] 所以你去看一些那种X的
[22:34] 他们把它称为什么大V
[22:36] 就是整天去发表意见的一些
[22:38] 其他都喜欢放那种动漫的头像
[22:40] 蛮多的意见都在讲说
[22:41] 这个是Meta不玩的
[22:42] 那我们这边讲一下我们自己的看法
[22:44] 因为我们还是
[22:44] 除了自己有一些思考能力之外
[22:47] 然后再来就是我们在产业都有些朋友
[22:49] 就我们的理解
[22:50] 当然这可能是我们这一端的一些想法
[22:51] 那后面也都可能会改变
[22:52] 就我们只就当下
[22:54] 所可以拿到的资讯去做一个判断
[22:56] Meta它是打算要double down
[22:58] 什么意思
[22:59] 就是他是想要去靠这个东西赚钱
[23:02] 他不是说
[23:03] 完了我的AI算力不知道怎么用
[23:05] 拿出来租人家好了
[23:06] 他不是这样
[23:07] 他是打算要去投资
[23:09] 然后再去搞更多的算力
[23:11] 然后把那些可能比较legacy的
[23:13] 像是Hopper系列
[23:14] 这些东西可能在新一代的AI训练上面
[23:17] 发力的程度没有这么大
[23:18] 我就拿出去租给别人
[23:20] 所以他其实是想要去做更多建制的
[23:22] 当然这个后面可以再观察各个企业的动向
[23:25] 再去做一个验证
[23:26] 但就我们目前所了解到的
[23:28] 那不然说像是一些严调的单位
[23:30] 我有去看了一下
[23:31] 大家所提到的一些资料
[23:32] 提到说其实在Meta内部
[23:34] 他们是
[23:34] 本来已经出现一些
[23:36] 那种分歧的状态
[23:37] 就是有人想要冲
[23:38] 可是CFO想要去踩刹车
[23:39] 希望说大家不要这么冲
[23:40] 但因为现在找到一些解放了
[23:42] 就是说我们可以尽量的冲
[23:44] 因为我们没有用到的东西
[23:45] 我们可以拿出去租别人
[23:47] 那就导致说
[23:47] 现在公司变成只有共识
[23:49] 那我们确实就可以冲
[23:50] 因为我们可能没有用到的东西
[23:51] 或者还没有用到的东西
[23:52] 它不会形成一个浪费
[23:54] 它是有办法可以去
[23:55] 外租给别人去赚钱的
[23:57] 所以理论上这个事情
[23:58] 应该是要把它解释为
[24:00] 他们要继续充
[24:01] 我觉得目前看会是这样子
[24:03] 当然这要等后续的一些事情
[24:05] 去做验证
[24:05] 只是稍微讲一下自己的看法
[24:06] 因为市场上我看
[24:07] 绝大多数的看法在讲说
[24:08] 这代表说Meta
[24:09] 他要退出AI竞赛
[24:10] 我不觉得这是
[24:11] 他要退出AI竞赛
[24:12] 他只是想要去做
[24:14] Neo Cloud的一个business
[24:15] 外加自己对祖克博的一个认识
[24:17] 虽然他不是我的妈级
[24:18] 我也不认识他
[24:19] 就是说我只是有用
[24:20] 他产品的一个消费者
[24:21] 但我們從以前看祖克伯
[24:23] 他是一個非常厲害的
[24:24] 怎麼講
[24:25] 你可以講說是
[24:26] 講抄襲不好聽
[24:28] 就是說在商業上
[24:29] 本來就是大家會互相模仿
[24:30] 去效仿一些成功的商業模式
[24:32] 所以方言說像把Instagram收下來
[24:35] 然後去模仿Reels
[24:36] 然後在元宇宙
[24:38] 看到別人在弄
[24:39] 然後自己用得更大力
[24:41] 推得超猛的
[24:42] 雖然後面感覺有點落賽
[24:43] 但我們知道祖克伯
[24:45] 就是他絕不缺席
[24:46] 然後在AI時代也是
[24:48] 看到這些巨頭在衝
[24:49] 那聯舒身為一個他沒有辦法去把算力
[24:53] 對外賣的一個公司因為你知道這些巨頭其實他們可以充因為就算他的東西用不完他都可以做成成是靠然後去出租給別人嘛那可是呢Meta的東西是自用的可是他照樣跟大家衝
[25:05] 那他是一個很猛的公司啊
[25:06] 就是他只要找到各種風口浪尖的東西
[25:09] 有這種機會他都會去衝刺的人
[25:11] 所以呢 祖克伯我是相信說他去做的每個東西
[25:13] 他當下都會抓到那個趨勢
[25:15] 當然我們事後回頭看會發現說蠻多都是爛尾
[25:17] 蠻多都可能會失敗
[25:20] 但是我不會想去算這個啊
[25:21] 就類似說Google也去做了蠻多的爛尾投資嘛
[25:24] 就是最后面发现是没有办法
[25:25] 可是我认为身为这些巨头
[25:27] 或者说掌握大量现金流的公司
[25:29] 他们本来就应该要这样子做
[25:31] 因为他们其实不怕花错钱
[25:33] 只怕没有花到钱没有跟到
[25:35] 花错钱对我来讲是小事情
[25:37] 这个也在很多的访问
[25:38] 关于这些巨头
[25:39] 老板或者说董事长
[25:41] 他们其实都有去讲过
[25:42] 类似的东西
[25:44] 所以在我的角度会认为说
[25:46] 他要去做Neo Cloud的话
[25:47] 其实需要害怕的是这些Neo Cloud
[25:50] 而不是说大家会担心
[25:51] AI建制是要停
[25:52] 不是是他要来跟这些Neo Cloud来抢生意
[25:54] 而且他的做法都是那种超级痴汉
[25:56] 他会黏在后面
[25:57] 然后他会投入很多的钱
[25:59] 那可能会真的去少掉一些玩家
[26:01] 所以他的加入是对这些人
[26:03] 我觉得算是一个比较不好的消息
[26:05] 但病还很大
[26:06] 就是我们总是要往好处想
[26:07] 是总不可能多一个Neo Cloud的player
[26:10] 然后就导致AI的工序就平衡了吧
[26:12] 那代表AI的工序
[26:13] 其实也没有像大家想象的这么的紧俏
[26:16] 对吧
[26:16] 所以短期上应该会是一个
[26:18] 比较消息上的一个冲击
[26:20] 可是长期上我觉得
[26:21] 这个对于建制的故事来说
[26:23] 并没有造成太大的改变
[26:25] 甚至是某个程度上
[26:26] 他有机会是他准备要换档
[26:28] 再加速
[26:29] 然后去做更多的投资
[26:30] 因为他知道
[26:31] 今天一些冗余的东西
[26:33] 或是一些legacy的产品
[26:34] 他是有办法找到一个出海口
[26:36] 因为他本来是没有办法的
[26:37] 他本来东西都是纯自用
[26:39] 所以我认为他又一次的
[26:42] 因为他都是模仿
[26:43] 或者去效仿别人
[26:44] 他一定是看到
[26:45] 伊朗的
[26:47] 不管是SpaceX或是X
[26:48] 下面的classes
[26:50] 因為他拿去煮
[26:51] 然後結果發現說
[26:52] 媽的他竟然一年就可以回本
[26:53] 他一定是發現說
[26:54] 靠北 原來錢可以這樣子賺
[26:56] 因為本來Elon的東西
[26:57] 他也是打算自己要拿去建置
[26:59] 這我們知道XAI
[27:00] 是要有點卡關的情形產生
[27:02] Meta我們不確定
[27:03] 是不是也是卡關
[27:04] 雖然看起來像
[27:04] 但先不管他到底是卡關與否
[27:07] 他一定就是看到了
[27:08] SpaceX或是X的classes
[27:11] 原來可以這樣子賺錢
[27:12] 媽的我也要賺
[27:13] 因為這跟他過去的行為模式
[27:14] 是一樣的
[27:15] 就是他發現哪邊可能有東西
[27:16] 然後這個池漢就會衝進去
[27:18] 然后在那边转
[27:19] 所以就有机会
[27:21] 蛮好搞头的
[27:21] 那我有把相关的一些想法
[27:24] 丢到脸书上面
[27:25] 那我看到下面有一个听众的留言
[27:27] 就还蛮有趣的
[27:28] 他就说反正Meta的东西
[27:29] 你知道他就算最后面找不到客人
[27:32] 他也有那个诈骗集团
[27:33] 可以跟他住
[27:34] 这个听起来像是一个干话
[27:35] 可是我不知道
[27:36] 越来越觉得有可能
[27:37] 因为Meta的那些诈骗
[27:39] 像最近大家都知道
[27:40] 说在脸书上面就那个三宝吧
[27:42] 有一个三宝吧
[27:43] 整天在那边洗
[27:44] 那个就是诈骗
[27:44] 那既然你知道这么简单的一个东西
[27:47] 他可以用一些keyword
[27:49] 或是我很难想象
[27:51] 这对他来讲是一个技术挑战
[27:52] 我只能够认为说
[27:53] 这就像是我们当时的判断
[27:55] 其实Meta是有意的去放行一些东西
[27:58] 让他这样去做
[27:58] 或说他有意的不要去做
[28:00] 太密集的赶尽杀绝
[28:02] 因为他的金主
[28:02] 很大一部分就是这些诈骗
[28:04] 所以不晓得
[28:06] 搞不好后来对啊
[28:07] 反正有人跟他租就好了
[28:08] 你只要不要太明白
[28:10] 是用到犯罪集团角度来租
[28:12] 你去报一个某家公司
[28:14] 然后你换个皮
[28:16] 弄个防火墙
[28:17] 你來跟我租算力
[28:18] 我就租你啊
[28:19] 搞不好他可以找到更屌的生意
[28:22] 就是這些那種灰色經濟的東西
[28:24] 不然我很難去想像
[28:25] 我也不想要去感覺像是抹黑Meta或什麼
[28:27] 可是你知道詐騙的東西
[28:29] 他們會說他們有在抓
[28:30] 他們真的有在抓
[28:31] 我真的有看到
[28:32] 但你知道三寶爸他洗了這麼久
[28:35] 你把三寶爸封掉有很難嗎
[28:38] 就是我不曉得
[28:39] 甚至我們自己在後台
[28:40] 下一切關鍵字有時候他也不會生效
[28:42] 所以我就感覺說
[28:44] 對啦反正祖克伯他有很多的出海口
[28:46] 他先去抄classes
[28:48] 然后他跟的时间点又够快
[28:49] 所以他的算力
[28:50] 应该是有办法都可以卖掉
[28:52] 然后再来就是
[28:52] 如果后面他真的要跟别人竞争的话
[28:54] 他有一些额外的管道
[28:55] 可以去卖一些灰色产业的东西
[28:57] 他说不定可以做的
[28:59] 比那些Neo Cloud都来得更好
[29:00] 是自己的一个小小的观察
[29:02] 那大概这样
[29:03] 好那接下来我们来进入Q的部分
[29:04] 第一位高雄许光汉他爸
[29:06] 孟公亲家公你好
[29:08] 小儿三岁人称高雄许光汉
[29:10] 每次被人说小孩像爸爸
[29:12] 都比直接称赞我还让人轻飘飘
[29:15] 那尤其是这些话
[29:16] 从妹子的口中说出
[29:18] 能够掰弯小儿的
[29:19] 也只有诺亚安哥了
[29:20] 那希望亲家公
[29:22] 可以继续努力
[29:23] 增加我们结为亲家的几率
[29:26] 那祝福孟公一家
[29:27] 快乐平安
[29:28] 早日与我们团聚
[29:29] 那祝这位兄弟育儿快乐
[29:31] 下面一位
[29:32] 很高兴被你念到留言
[29:37] 听了很久您的podcast
[29:39] 很喜欢您的嗓音
[29:40] 分享的日常
[29:41] 跟对事情的看法
[29:42] 你的想法让我很认同
[29:44] 我的男友也变成了做尿派
[29:46] 最近发生了人生转折
[29:48] 经历了一场生死关头
[29:49] 很幸运挺过来了
[29:50] 我在家户病房醒来没有多久
[29:52] 护理人员问我有没有想听什么广播
[29:54] 我就请他帮我播骨癌
[29:56] 只因为当时很痛不舒服的时候
[29:58] 听着你的声音就能够睡着
[30:00] 这算赞美吗
[30:04] 那我很谢谢我的爸爸妈妈
[30:06] 妹妹以及我的男友
[30:08] 在我最困难的时候
[30:09] 都在身边不离不弃的照顾我
[30:11] 那谢谢你们没有放弃
[30:13] 我才能够熬过难关
[30:14] 那最后可以请你用肌肉猛男人声音
[30:16] 跟我男友说
[30:17] 7月7号顺利快乐爱你哦
[30:18] 谢谢孟公家
[30:19] 愿你们全家平安健康快乐幸福
[30:23] 好那我们先恭喜Lucky
[30:24] 七七顺利出院
[30:26] 那也非常恭喜有这么好的一家人
[30:28] 可以持续陪伴着你
[30:30] 我是不知道啦
[30:31] 就如果说今天是刚康复
[30:32] 就是要听古来的话
[30:33] 如果今天我是护理师的话
[30:36] 我就在想说
[30:36] 妈的这个家伙应该是套很多
[30:39] 现在应该很紧张
[30:40] 醒来第一件事情
[30:41] 先关心股票的状况是怎么样
[30:43] 先看外面的市场是怎么样
[30:45] 当然非常荣幸
[30:47] 非常荣幸在你面临这种生死交关的一个时刻
[30:51] 会选择收听这个节目
[30:53] 其实很多时候我听到这种东西
[30:54] 我觉得蛮奇怪
[30:55] 就像是有些人跟我讲说
[30:56] 他们的家人可能在最后一刻的时候要听股
[30:59] 我想说
[31:00] 就蛮奇怪的
[31:03] 但说不定我们之后在天上
[31:04] 也可以办一个天宗见面会
[31:06] 数年之后
[31:08] 下面一位
[31:08] Judy KK
[31:10] 孟公大大您好
[31:11] 男友一直都是您的忠实粉丝
[31:14] 之前甚至会特地的跑到林口三井
[31:15] 想说会不会遇到您
[31:17] 男友平常也热衷于跟我分享
[31:19] 您说过的题材跟各种事情
[31:21] 托您的福
[31:22] 今年上半年我跟男友的绩效都表现得很好
[31:24] 真的很感谢一路上有您的陪伴
[31:26] 那最后希望您能够祝查理7月5号生日快乐
[31:30] 每天开心身体健康
[31:31] 绩效大爆社
[31:32] 也祝福您全家健康平安
[31:34] 每天喜乐
[31:35] 祝你们两个快乐
[31:36] 下面一位
[31:36] 孟公老听众
[31:38] 最近转职绿色公股银行
[31:40] 因为有信贷
[31:41] 主管认为我都在炒股票
[31:43] 甚至担心我赔钱会偷客户的钱
[31:45] 那因此错失理专的机会
[31:47] 临时换成一位没有意愿的上位
[31:50] 那我今年的台股净值
[31:52] 从最低12万做到前天最高360万
[31:55] 是不是可以考虑离职专职投资
[31:58] 还是以机会成本来看
[31:59] 建议净值达到多少
[32:01] 挂号封控回档时要跑得掉再离开
[32:03] 毕竟上班的时间很难看盘
[32:06] 那最后祝老公Liza诺亚
[32:07] 安哥秋口身体健康
[32:09] 何家平安
[32:09] 360万可不可以就很认真出来搞股票
[32:13] 因为我自己的经验是绝对是可以
[32:14] 300多万
[32:15] 假设你今天是没有家
[32:17] 没有孩子
[32:18] 短期内没有结婚
[32:20] 没有要经营家庭
[32:20] 家里没有要跟你要什么生活费
[32:22] 其实甚至更早就有机会就可以
[32:25] 那只是当然我们不会想去鼓励大家
[32:26] 做这样子的事情
[32:27] 只是必须得很客观跟大家讲说
[32:31] 蛮多跑去交易室的人
[32:32] 然后或是像我们这种在家自己搞的
[32:35] 都是在甚至更小的时候
[32:36] 就有办法自己出来
[32:37] 那当然自己出来
[32:38] 某个层上都是有一点赌的成分
[32:40] 那时不时也会听到
[32:42] 有些人要回去上班
[32:43] 所以这个都是一种选择吧
[32:46] 那选择之后就要去承担
[32:48] 可能会引发的一些结果
[32:49] 那当然也不用再跟大家
[32:50] 多说一些风险的东西
[32:51] 因为猴子都知道
[32:53] 从2023到现在就大多头
[32:54] 所以没有经历过一些空头的洗礼
[32:57] 或是一些真正大碟的洗礼
[32:59] 其实你不太能够确定
[33:00] 到底你适不适合做这一行
[33:02] 但是换句话说
[33:04] 每一个工作不也是这样子
[33:06] 你没有遇到事情前
[33:07] 你也不知道说
[33:07] 你到底是不是适合这一行
[33:08] 或者说其实你准备了半天
[33:10] 去考了某一个
[33:11] 你的家人
[33:12] 或是谁叫你去的工作
[33:13] 然后这边发现自己不喜欢
[33:14] 这种故事我们也听到很多
[33:16] 所以到最后我还是认为
[33:17] 反正你觉得你有个想法
[33:19] 你就可以去试试看
[33:20] 不用用太多那种
[33:22] 过来人的经验去告诉你说
[33:24] 你这样子什么
[33:25] 忽视风行什么
[33:26] 以前我可能会讲这样的话
[33:28] 现在我都觉得说
[33:28] 反正你觉得可以试试看
[33:29] 你就试看看吧
[33:31] 说不定你真的就是
[33:32] 没有到万中选一
[33:34] 其实大概可能五十中选一
[33:37] 或是百中选一
[33:37] 就是适合在家
[33:39] 这种全职去搞股票
[33:40] 说不定你适合
[33:41] 希望你顺利
[33:42] 下面一位
[33:42] 很持久
[33:44] 只要留言不太长都不会跳过
[33:46] 超爱我两个儿子
[33:47] 感谢Lisa老婆
[33:48] 我们要开抽女儿了
[33:50] 在肉麻的话老公都会满足
[33:52] 他直接帮我发言
[33:53] 那挂号
[33:54] 该不会以后都被过滤了
[33:57] 那请问孟公
[33:57] 新手时期有犯哪些错误
[34:00] 曾有凹单或是贪贫吗
[34:01] 好难改掉这个信念问号
[34:03] 坏习惯
[34:04] 那专职这些人天生特职是后天训练的
[34:08] 是天生特职还是后天训练的
[34:11] 应该这样讲
[34:13] 就是像刚刚前面所提到的
[34:15] 那些专门在搞股票的人
[34:16] 也是分成星星色色的人
[34:18] 也是有那一种
[34:20] 可能强了几年之后后来又爆炸的
[34:22] 那也是有那一种
[34:24] 就是使用我们把它冲为左侧交易
[34:26] 反正就是东西越叠越买
[34:28] 那他叠下去有可能就叠半年一年之类的
[34:30] 然后最后面证明他赢之类的
[34:32] 或者说有些就被买掉
[34:33] 那也是有些是完全在做动能
[34:36] 就是我们把它称为是右侧交易
[34:37] 就是东西有涨就一直买
[34:39] 那如果今天开始跌就去减码
[34:40] 或什么的
[34:40] 那像这个就在过去的
[34:42] 一两个礼拜就被修理
[34:43] 虽然在过去的几年
[34:44] 这样做都还蛮不错
[34:45] 但反正总是呢
[34:47] 都是不同的阶段
[34:48] 可能有不同的策略
[34:49] 有些人有多策略
[34:50] 有些人只有单策略
[34:51] 或什么的
[34:51] 那各种人都有
[34:52] 那凹单跟摊平
[34:53] 对有些人来讲
[34:54] 他不认为那个叫凹单跟摊平
[34:56] 那个认为叫做丰低加码
[34:58] 便宜我就买更多
[34:59] 那什么时候会叫做
[35:01] 凹单跟贪贫呢
[35:02] 简单讲就是说
[35:03] 你是一个废酒菜
[35:04] 你不会赚钱
[35:04] 这个叫凹单跟贪贫
[35:06] 就像今天有一个人
[35:07] 他非常的大胆
[35:09] 然后他可能
[35:10] 会去做一些
[35:11] 别人不敢做的事情
[35:12] 他如果今天是一个CEO
[35:14] 或者说董事长的话
[35:15] 大家说
[35:16] 哇你看
[35:17] 这个就是人中虎豹
[35:19] 人中龙虎
[35:20] 太厉害了
[35:20] 太有胆识了
[35:21] 你今天如果是一个高中生的话
[35:22] 大家就说你是reckless
[35:23] stupid
[35:24] 你太年轻
[35:25] 你什么都不懂
[35:25] 所以其实没有办法去
[35:28] 讲某个行为一定是怎么样
[35:29] 像就来说
[35:30] 同样一个
[35:31] 就是一个东西狂跌
[35:33] 然后跌破你的成本
[35:33] 一直跌
[35:34] 然后你去买
[35:35] 如果你今天是
[35:36] 可能像我身边的一些
[35:38] 我觉得蛮不错的人
[35:39] 在做这件事情
[35:40] 我就会觉得说
[35:41] 你很有conviction
[35:42] 你一定是非常懂这个公司
[35:44] 你才会这样子做
[35:45] 虽然有些最后面证明
[35:46] 你是爆炸或什么
[35:47] 可是至少大家也都知道
[35:48] 什么出场
[35:48] 我觉得没有问题
[35:49] 可是如果今天是
[35:50] 随便有一个跑来QA留言的
[35:52] 说他买了一个东西
[35:53] 我现在被套了
[35:54] 怎么办
[35:54] 我越买越多
[35:55] 我就知道说你要去死
[35:56] 就算后来你对
[35:57] 我也覺得你是賽道的
[35:59] 所以你懂我意思嗎
[35:59] 你沒有辦法去講說
[36:01] 某一個行為一定是怎麼樣
[36:02] 就像你說追高不好嗎
[36:04] 沒有 追高也是可以做的策略
[36:07] 那攤評不好嗎
[36:08] 沒有 攤評也是可以做的策略
[36:09] 你今天是0050
[36:10] 你在那邊持續的攤評
[36:12] 一個角度叫攤評
[36:13] 另外一個角度叫做定期定額
[36:15] 所以像這樣的標的
[36:16] 你要去持續的買
[36:18] 我覺得就是沒有問題
[36:19] 所以不用太講究
[36:21] 這些名詞定義的東西
[36:22] 這一看就是
[36:23] 你一定還在超早的階段
[36:24] 你不知道說其實
[36:26] 同樣的一個東西
[36:27] 你给一个废酒去用
[36:29] 跟给一个强者去用
[36:30] 明明是同样的一个东西
[36:32] 你说一样都是使用左侧交易
[36:34] 也就是有些人会把它称为是凹单
[36:36] 或是贪品
[36:36] 有些人就做的跟鬼一样
[36:38] 有些人做的跟死一样
[36:39] 因为选的标的
[36:40] 你光是那眼光就不一样了
[36:42] 所以他没有办法这么简单去讲
[36:44] 然后再讲说
[36:45] 有没有常犯哪些错误
[36:47] 基本上不会一直让自己去犯一样的错误
[36:50] 你看有时候我自己去检讨我自己
[36:51] 我都会立刻去做改进
[36:53] 这点我觉得可能算是我的美德
[36:55] 好像我上集也跟大家稍微檢討一下
[36:57] 我發現說我太搶快了
[36:59] 我就立刻去做修正
[37:00] 修正好之後
[37:01] 過去幾天就蠻舒服的
[37:02] 因為我覺得任何一個錯
[37:04] 然後你還會持續的一直去踩
[37:06] 你一直知道它是錯
[37:07] 你還一直去踩的話
[37:08] 你就是賭狗
[37:09] 簡單講是這樣
[37:10] 所以就注定失敗
[37:11] 下面一位Tony Tsai
[37:12] 夢工Perplexity Computer
[37:14] 真的是有點好用
[37:16] 現在還可以用Fable 5模型
[37:18] 只是點數稍微有點快
[37:19] 想問夢工大什麼情況下
[37:22] 會單純用Cloud
[37:23] 那什么时候会用Perplexity Computer啊?感谢我现在几乎都是清一色的用Perplexity Computer我的use case就是我只要有任何的PDF那需要去帮他做同整画表格
[37:34] 或者是我需要去问
[37:36] 任何的问题
[37:37] 甚至是
[37:37] 我现在看到一些
[37:39] 我觉得可能蛮不错的
[37:41] 红白酒
[37:41] 因为我在研究这个嘛
[37:42] 那我可能就会去
[37:44] 让他帮我去挖说
[37:45] 可能哪一个年份是
[37:46] 大家比较推崇的
[37:48] 因为我都会先从
[37:49] 大家推崇的东西
[37:50] 先去下去试试看
[37:51] 然后接着再找到
[37:52] 自己喜欢的
[37:52] 所以我基本上
[37:53] 把所有的生活的应用
[37:54] 都已经放在上面了
[37:55] 所以需要一些那种研究成分的
[37:58] 也就是可能过往的use case是
[38:00] 我要在Google上面去看
[38:02] 超过5到10个网页
[38:04] 才给我结论的东西
[38:05] 我全部都会放给
[38:06] Perplexity Computer去做
[38:07] 那如果今天是一个问题
[38:09] 就可以查出答案的
[38:12] 然后就是可能像一般Google Search这样
[38:14] 我还是习惯用Google
[38:16] 因为Google的AI system
[38:17] 真的非常屌
[38:17] 就是它的AI overview
[38:19] 可以很快的去抓到一些重点
[38:21] 那如果今天是比较偏向是YouTube的影片
[38:24] 然后或者是说一些长篇的文章的话
[38:27] 我就会选择去使用Notebook LM
[38:29] 所以我已经开始有在收敛了
[38:31] 那当然这个收敛是名义上
[38:33] 因为实际上Proplexity Computer
[38:35] 它是去滋用了各式各样的模型
[38:37] 甚至有时候我不会太在意
[38:38] 它的模型是用哪一个
[38:39] 要分析的时候还是会用Cloud为主
[38:41] 那如果今天是一般的问题的话
[38:45] 我不太在意
[38:45] 我会让他去用他的那个模型分选器
[38:47] 因为这样去烧的token也会比较少一点
[38:49] 所以我已经很少去使用
[38:52] 模型厂家本身的
[38:54] 他们内建的模型的chatbot
[38:56] 我已经比较不去做这件事情了
[38:58] 这也是这几年的
[39:00] 没有几年
[39:00] 就是这半个月到一年之间的改变
[39:03] 那下面一位Linda
[39:04] 前阵子质押利率调升
[39:07] 最近我使用的台新证券
[39:08] 不限用途借贷已经全面停止
[39:11] 且发现其他的证券
[39:12] 也在更早以前就关闭申请
[39:14] 而且台新是到期之后就要还钱
[39:16] 不能够借新还旧了
[39:18] 那想问孟公对这件事情的看法
[39:19] 这会不会算是某种利空呢
[39:21] 因为大家从市场领钱出来
[39:22] 去还职业的钱
[39:24] 像这种就比较难以去量化
[39:27] 因为你不知道到底有多少人借钱
[39:29] 你也不知道大家的到期日
[39:30] 是不是在同一天
[39:31] 所以如果说大家到期日
[39:33] 理论上是在不同天
[39:34] 因为每个人去借款时间不一样
[39:36] 你说散户的这些他妈鸟资金
[39:38] 可以影响到市场
[39:39] 那你也是想太多了
[39:40] 所以那不是一个太大的问题
[39:42] 然后再来是像台新这样子
[39:44] 应该是比较少数
[39:45] 像我自己手上的几个
[39:47] 富邦国泰
[39:48] 然后可能统一
[39:50] 或什么有的没有的
[39:51] 这几个凯基
[39:53] 他们的一个共同点是
[39:55] 他们现在是这样子
[39:56] 他们会去锁我的额度
[39:57] 就像说我明明可以借2亿
[39:59] 那他现在只让我借6千万
[40:00] 就是过往都可以借到2亿
[40:01] 但他现在就说
[40:02] 没有办法
[40:03] 就你送职业进去
[40:04] 他是不收的
[40:05] 可是他不会去
[40:07] 让你没有办法续约
[40:08] 都还是有办法续约
[40:09] 所以我觉得可能
[40:10] 你是看每个
[40:11] 不一样的资金量体
[40:13] 或是你跟券商的
[40:14] 交友程度之类来决定说
[40:16] 他放多少东西给你
[40:17] 但現在確實是很緊沒錯
[40:18] 甚至我們身邊一些那種蠻大戶的跑去開普遷用途
[40:22] 他只給他50萬
[40:23] 是他小兒子羞辱人吧
[40:24] 但就真的沒有額度了啦
[40:26] 那所以他不會是一個那種全面的那種
[40:29] 像是收散的動作導致資金抽光
[40:32] 因為像我自己就沒有被收散
[40:33] 他只是不讓我放大槓桿而已
[40:35] 所以某個程度上算是被動風控
[40:38] 差不多這樣一個感受
[40:39] 那下面一位June
[40:42] 夢宮去卡台股光通是不是沒有人要的孩子
[40:46] 之前說股價回檔可以聊一下
[40:47] 現在是時候聊一下了嗎
[40:49] 其實我在過去看到蠻多人
[40:50] 都一直想要叫我聊廣通
[40:52] 只是這些人特別
[40:53] 他們連留言密碼都抓不太到
[40:55] 因為我就稍微的去滑一下
[40:56] 就發現說
[40:57] 第一個他們抓不太到留言密碼
[40:59] 第二個是他們連
[41:00] 有時候我們在市場上面
[41:01] 這個小打的pass都收不到
[41:03] 你就想為什麼我不會去聊他
[41:05] 你想一下
[41:06] 為什麼我不會去聊他
[41:07] 我們這麼會抓題材的人
[41:09] 就是為什麼我沒有去聊他
[41:11] 就這樣
[41:11] 你知道過去就是被動元件
[41:13] 過去就是
[41:14] 像他走到了这种主动元件
[41:16] 然后公率元件
