[00:00] 歡迎收聽谷外,我是星風公,本期節目由Sally贊助
[18:37] 比較聚焦的一個重點
[18:39] 在禮拜二的時候
[18:40] 我注意到說
[18:41] 臺股的散熱族群
[18:42] 蠻多都直接走出去了
[18:44] 我覺得這個是
[18:45] 可以稍微注意一下
[18:46] 為什麼過去散熱族群
[18:47] 會相對的在橫盤
[18:49] 其實我覺得一些老AI也是
[18:50] 可能就是市場資金的一個偏好
[18:52] 就是說這些東西
[18:53] 理論上都還是
[18:53] 為之不錯的成長率
[18:55] 有些公司可能會
[18:56] 在毛利率這邊
[18:57] 被大家拿出來
[18:58] 去做一些文章
[18:59] 但這個我們可能
[19:00] 在兩年前就跟大家講過
[19:01] 就是在AI的產品的中後期
[19:03] 就開始放量之後
[19:05] 有一些那種
[19:06] 就是它是可能走buy and sell模式的
[19:08] 那你就知道說
[19:09] 它的那個毛利數字一定是會
[19:11] 怎麼講
[19:12] 毛利率會比較差一點
[19:13] 但其實整體是賺更多錢
[19:15] 可是市場沒有想到
[19:16] 就兩年前大家都已經預判到的東西
[19:18] 然後現在竟然有些人
[19:19] 在反映這樣一個東西
[19:20] 那在散熱的材料方面
[19:22] 其實在過去是有蠻大的一些爭論
[19:25] 像我們有跟大家聊
[19:26] MCL
[19:26] 然後什麼MCCP
[19:28] 然後再來就是
[19:29] Stiffener跟Spreader
[19:31] 在過去的大概一兩個月前
[19:33] 都有持續的跟大家去做分析跟討論
[19:36] 那最近我們算是把它確定下來了
[19:39] 所以我覺得可能三日如群的一個突破
[19:41] 但我們還確定這個突破會不會是完整的
[19:43] 就還是要觀察一下
[19:44] 有沒有持續的走強勢
[19:45] 比方說我們突破一天之後
[19:46] 馬上掉下來那就沒了
[19:47] 那如果說它持續的有走出去的話
[19:50] 那就有可能是
[19:50] 因為過去也是橫盤了一陣子
[19:52] 然後想要把規格確定下來
[19:54] 就像那個MC
[19:54] 本來是認為說會上
[19:56] 然後後來發現說他就是低眼
[19:57] 因為真的是太難了
[19:58] 沒有這麼容易做到
[19:59] 所以還是會走Coplay的一個方式
[20:01] 可是像過往的臺股的三二之王建策的話
[20:05] 大家就發現說
[20:06] 他就算沒有走MCL
[20:07] 雖然MCL的價格很漂亮
[20:08] ASP很好
[20:09] 大家是賣夢
[20:10] 他很喜歡他
[20:10] 可是他往後延的話
[20:12] 可是他暫時拿出來的一個替代方案
[20:14] 像是Stiffener加兩片Spreader的這樣一個解方
[20:17] 他的ASP的價格也是很高
[20:19] 所以市場可能就是
[20:20] 怎麼講這個故事是一直都在那邊
[20:22] 可能現在就是確定下來了
[20:24] 所以當市場去把一些不確定性給消除掉之後
[20:27] 那可能就有一些資金要堆進去
[20:29] 所以我會覺得說
[20:30] 當然我現在是在海外
[20:32] 我就是晚上可能睡覺
[20:33] 有醒來我就會看一下
[20:34] 我沒有非常認真來看
[20:35] 可是如果大家要看的話
[20:36] 可以去抓那一些
[20:37] 就是現在走在最前面
[20:40] 有持續的突破性高的東西
[20:41] 那這可能就是
[20:42] 怎麼講
[20:43] 就我覺得現在這一段
[20:44] 要想象成說
[20:45] 有點像是
[20:46] 不敢說它是陌生段
[20:47] 或者行情就一定要結束
[20:48] 可是總是要比較警覺的地方
[20:50] 所以如果在這個地方
[20:52] 然後他沒有辦法
[20:53] 在新高繼續進攻的東西
[20:55] 至少以交易的角度
[20:57] 我要強調這是交易的角度
[20:58] 我們可能就會
[20:59] 讓他去做肩
[21:00] 你就休息吧
[21:02] 可能等下下一波再換你
[21:03] 我會這樣做
[21:03] 當然如果你今天是用
[21:05] 架頭投資的角度的話
[21:06] 什麼東西掉下來你都可以買
[21:07] 可是還是要記得
[21:09] 因為現在大盤是在一個相對高位
[21:10] 所以其實東西
[21:11] 嚴格上來說
[21:12] 便宜的東西是越來越少
[21:14] 所以其實架頭出手的機會
[21:15] 理論上越來越少
[21:16] 但蠻多人他很喜歡做的事情是
[21:18] 東西掉下來立刻接
[21:20] 然後就說自己在架頭
[21:21] 可是你其實還是買在一個
[21:22] 相對很高的地方
[21:23] 所以如果真的要修正的話
[21:24] 是有可能會掉滿身的
[21:25] 這是大家自己要稍微注意一下
[21:28] 接著聊一下市場的整體的氛圍
[21:30] 因為美股的各個財報電話會議
[21:33] 開始開出來
[21:34] 然後又有一些新的酷的應用開始出現
[21:37] 就像是Cloudbot
[21:38] 就獲得很多的討論
[21:39] 然後或是像是Apple開了一個
[21:41] 很不錯的First Quarter Results
[21:43] 然後大家就開始有一些新的論述
[21:44] 跟想法產生
[21:45] 首先在Google這邊
[21:46] 因為他有Genie
[21:47] 就是拿來做遊戲的模型出來之後
[21:50] 然後大家就認為說
[21:51] 是不是遊戲的開發商
[21:52] 或是這些工具軟體不行
[21:54] 然後或者說看到Apple
[21:55] 或者說看到Cloudbot
[21:56] 然後就覺得說Edge端開始要起來
[21:58] 那所以是不是導致說
[22:00] 這個軟體的應用會越來越低
[22:02] 因為在Edge端下
[22:03] 這些agent已經可以做到很多事情
[22:05] 所以未來就完全不需要軟體
[22:07] 我還是可以強調
[22:08] 這個市場很多時候
[22:09] 他們喜歡廢黑擠白
[22:10] 或者說其實人性就是這樣子
[22:12] 反正就某個東西起來的時候
[22:14] 就要講說另外一個東西絕對不行
[22:15] 那這個其實我們在市場長久的歷史下
[22:19] 看出來就是知道說
[22:20] 它不是這樣一個狀態
[22:21] 就算它是可能有一個地補
[22:24] 或者說取代了一個效應
[22:26] 它也不會是在短短的一段時間
[22:28] 就立刻的發生
[22:30] 因為人類的個性
[22:31] 或者說人類的習慣是很難去改變的
[22:33] 當它已經是常年都習慣用某些東西
[22:36] 不代表它立刻去做轉變
[22:37] 我舉例來說
[22:38] 你去問這些callbot在使用的人是誰
[22:40] 一般都是那種geek
[22:41] 就是真的是對於科技產業非常強大
[22:43] 或者說那些
[22:44] 新銳行銷軟體應用公司的人
[22:47] 他們很多在用這樣的東西
[22:48] 可是如果你今天去問一些相對老牌
[22:50] 年紀大一點的人
[22:51] 他們絕對會告訴你說
[22:52] 我知道這個東西
[22:52] 可是我可能不一定會用
[22:54] 因為這個東西在企業裡面
[22:56] 它不一定是可以直接拿用
[22:57] 甚至是有些企業會直接擋你
[22:59] 我相信現在一定有很多
[23:00] 會開始去跟你講說
[23:00] 你不準把這個東西
[23:01] 裝在我們的電腦裡面
[23:03] 因為等於你是把
[23:04] 所有的許可權都開給他
[23:05] 我們公司的東西
[23:06] 直接全部都有可能被盜走
[23:07] 你以為是AI在拿你的東西
[23:08] 搞不好這是像是
[23:09] 放一個木馬在你電腦裡面
[23:10] 是別人在拿你的東西
[23:11] 這就為什麼他們要去買一個
[23:13] 便宜的Mac
[23:14] 然後把東西存在裡面
[23:15] 因為就是
[23:16] 讓它成為一個封閉的環境
[23:18] 所以可能很多人
[23:19] 還搞不清楚這件事情
[23:20] 要知道他們出了一些
[23:21] 治安的問題之後
[23:22] 所以最近有朋友就蠻聰明的
[23:23] 他們已經在看一些治安內股
[23:24] 因為他覺得
[23:25] 後面一定會大爆炸
[23:26] 但我自己才沒有去研究治安內股
[23:28] 但我的想法
[23:29] 跟他們的想法是類似
[23:30] 就是現在其實很多人是把
[23:32] 怎麼講
[23:33] 就像你看到的很多工具
[23:34] 它其實某個程度上
[23:35] 是一些prototype
[23:36] 他們很酷
[23:37] 然後他們可能看起來
[23:38] 很新銳很潮
[23:40] 可是你要把它變成是
[23:42] 一些企業端可以去做使用
[23:44] 或者說
[23:44] 你的工作真的可以做使用
[23:46] 而不是一個罈子
[23:47] 就像可能不知道
[23:48] 之前那種一些圖文作家
[23:49] 不是在AI剛出來的時候
[23:50] 整天在那邊深塗說
[23:51] 這我畫的或什麼的
[23:52] 然後後來給大家笑
[23:53] 那你要去做這種
[23:55] 就是好玩的應用
[23:56] 那其實真的是
[23:57] 每個新的東西出來
[23:58] 你都可以隨便拿來用
[23:58] 可是你要把它變成去
[23:59] 整合進去你的workflow裡面
[24:01] 變成工作的一環
[24:02] 或者說你的老闆可以接受
[24:03] 你們公司的法尊資安可以接受
[24:05] 那個並不是這麼簡單的事情
[24:07] 所以你要搞清楚
[24:08] 一個東西是可以快速的去創造
[24:11] prototype
[24:11] 然後跟各種試驗性質的
[24:13] 那種酷玩業
[24:14] 然後另外一邊要的東西
[24:15] 其實它是要可以穩定的輸出去
[24:18] 產出公司所需要可信賴的產品
[24:21] 那個其實是兩個不同的面向
[24:23] 只是當然有時候在市場裡面
[24:25] 當大家看到很多這種
[24:26] Fast Prototyping的東西跑出來的時候
[24:28] 他們會很直覺的認為說
[24:30] 所以軟體就要去死
[24:32] 就類似說可能之前電車出來
[24:34] 有些人就認為說油車要去死
[24:35] 即便像我自己是電車的信徒
[24:37] 可是我也不會跟大家講這樣子的話
[24:39] 然後大家回頭看也知道說
[24:40] 其實油車沒有去死
[24:41] 當然在股價表現上
[24:42] 可能油車沒有這麼好
[24:43] 那是另外一個環境
[24:45] 只是說在軟體這邊
[24:46] 我覺得大家後面會看到的一個狀態是
[24:48] 因為其實我們現在有注意到
[24:50] 很多的軟體業者
[24:50] 他已經不像過去他是賣SEEDS
[24:53] 賣SEEDS當然是一個不錯的做法
[24:55] 之後後來大家發現說
[24:55] 如果你純賣SEEDS的話
[24:57] 你現在可能會產生一個問題是
[24:58] 當然他某個程度上是跟客戶對賭
[25:01] 因為你的各個軟體下
[25:03] 他們幾乎都會把AI包進去
[25:04] 也不要覺得這些軟體公司是白痴
[25:06] 他們不用AI
[25:06] 他們也在用AI
[25:07] 可是以前我可能是做一個軟體出來
[25:10] 就所謂的一本萬利
[25:11] 我就一套軟體
[25:12] 我就可以賣給10萬個人
[25:13] 100萬個人
[25:14] 或者說超級多的客戶
[25:15] 那我現在做出來
[25:16] 我當然一樣可以賣這麼多人
[25:18] 可是呢
[25:18] 我後面的那個計費
[25:19] 到底要怎麼樣算
[25:20] 這個我們大概在幾個月前
[25:21] 有稍微跟大家論述過
[25:23] 也有在臉書寫過
[25:24] 那我覺得這個會是後面
[25:25] 市場會去討論的一個主題
[25:27] 就是呢
[25:28] 如果你今天賣的
[25:29] 它不只是SEED
[25:30] 你連TOKEN
[25:31] 你都可以去轉嫁出去的話
[25:33] 那它可能反而會幫這些軟體公司
[25:35] 賺很多錢
[25:35] 就是說看你用哪個方向去解釋
[25:38] 你用A去解釋
[25:39] A方向我們去假設的一個scenario是
[25:41] 因為你本來是賣SEEDS
[25:43] 所以你一個軟體開發出來
[25:44] 就是一本萬利的在賣
[25:45] 然後你現在多了一個Token的成本
[25:47] 所以你的毛利會受到擠壓
[25:48] 對吧 聽起來很合理
[25:49] 可是如果你用B的scenario去解釋
[25:52] 就是我的產品比之前更強
[25:53] 我之前開發軟體很強
[25:55] 可是我現在有AI的匯入之後
[25:57] 假設AI真的不是騙人的
[25:58] 那它會如虎添翼
[25:59] 它變得更強大
[26:00] 所以我不只是可以去找到更多的客戶
[26:04] 我還可以upsell
[26:05] 就是我把軟體的AI加成
[26:08] 再跟你收一個錢
[26:09] 所以我不只是賣你SEED
[26:10] 我還賣你說Token的費用是多少
[26:13] 你用多少
[26:14] 我再按量去計價
[26:15] 而且我可能跟你收的錢
[26:17] 是某個固定的費用
[26:18] 但我們瞭解到的狀況是什麼
[26:19] 實物上的Token的費用
[26:21] 就跟Cloud的費用一樣
[26:23] 它是逐步的在降低
[26:25] 當然有時候你會注意到一些反彈
[26:26] 就是一些新用的產生
[26:28] 可能注意到H100
[26:29] 或者說B系列的租金
[26:31] 又在往上揚
[26:32] 可是長期是來看
[26:33] 它是一個下降的狀態
[26:35] 它就變成是某種那種
[26:36] Infrastructure
[26:36] 水電的感覺
[26:37] 水電費
[26:39] 所以如果說我今天可以去賣你SEEDS
[26:41] 同時我又賣你一個Token Base的費用
[26:44] 就是你用更多的Token
[26:46] 我就要賣你更多錢
[26:47] 同時我的成本
[26:48] 也就是我要付給這些
[26:49] Cloud Service Provider的Token的費
[26:52] 是持續的在下降的話
[26:53] 毛利反而是提升
[26:55] 所以看你相信的是A劇本還是B劇本在我的角度看來一樣我最討厭用那種非黑即白的方式去討論我覺得一定有些公司他可能只能夠走AG本因為他的產品競爭力
[27:07] 本身沒有這麼強
[27:08] 所以他把AI匯入之後
[27:09] 他可能有更多的對手
[27:10] 然後他可能
[27:11] 因為對手強大
[27:13] 或者說有些人可以
[27:14] 用Vibe Coding
[27:14] 就做出一個相對
[27:15] 也可以競爭的東西
[27:16] 所以他那個Token的費用
[27:18] 只能夠他自己吃掉
[27:19] 那就變成怎麼樣
[27:19] 他就會去做一些
[27:21] 類似像銷價
[27:22] 或者說砍毛利的競爭
[27:23] 那我覺得一定有些公司
[27:24] 是擺在A這邊
[27:25] 可是一定有很多公司
[27:27] 是擺在B這邊
[27:28] 就是你的產品本身
[27:29] 是卓絕極好
[27:30] 你會搭到AI的順風車
[27:33] 也會搭到大量的
[27:34] CSP建制之下
[27:35] 所導致的Token下降的
[27:37] 一個趨勢的一個受惠
[27:39] 所以你反而整體的
[27:40] 獲利會提升
[27:40] 這個我覺得
[27:42] 可能是後面會討論的
[27:44] 一個重點
[27:44] 但我們知道說
[27:45] 現在美股的軟體股
[27:46] 都在一個大逃殺的階段
[27:48] Parenting剛開一個
[27:49] 不錯的成績
[27:49] 搞不好會讓大家
[27:50] 重新的去審視
[27:51] 但之後我相信
[27:53] 這個討論一定會出來
[27:54] 就是一定會分成A Group跟B Group
[27:55] 就是有辦法把價格轉嫁出去
[27:58] 跟沒有辦法把價格轉嫁出去的
[28:00] 兩種族群
[28:01] 那當然也會有一些應用服務
[28:03] 特別是你今天如果是走to C端的
[28:06] 其實你被巨頭給擊敗
[28:08] 或者取代的機率是很高
[28:09] 可如果你今天走B端的話
[28:10] 我不覺得會有這樣子一個狀況
[28:12] 這是我對軟體的一些簡單看法
[28:14] 因為最近有蠻多討論
[28:15] 可是我覺得很多討論都還是
[28:17] 很淪於那種超級俗套的
[28:19] 就是可能在兩年前我們就看過
[28:20] 什麼AI出來誰要失業
[28:21] 請問一下這些人是真的全部失業了嗎
[28:23] 結果沒想到AI
[28:24] 真的讓大家失業的第二工作
[28:27] 就是AI所產生的工作
[28:28] 什麼Prompt Engineering
[28:30] 現在還有誰在講Prompt Engineering
[28:32] 所以反而是AI自己在迭代
[28:33] 外面的實體工作
[28:35] 你說有沒有被取代
[28:36] 一定有
[28:37] 可是沒有像大家想象的這麼快
[28:38] 而且很多時候
[28:39] 它反而是以一個
[28:40] 像是Hybrid的一個形式存在
[28:42] 那就是說電腦發明之後
[28:43] 不會說你的工作就不見
[28:44] 只是可能有些東西
[28:45] 被電腦給拿走了
[28:46] 很多人反而因為有電腦產生
[28:48] 他的工作變多了
[28:49] 不知道大家有沒有發現
[28:50] AI很強沒錯
[28:51] 可是大家有真的覺得說
[28:52] 你的工作變輕鬆嗎
[28:53] 你只是可能要花更多時間去監督AI
[28:56] 那你的產能變很大
[28:57] 可是其實大家並不會
[28:58] 真的有一些工作就說不見就不見
[29:00] 或者說真的變得很輕鬆
[29:02] 反而只是就人體
[29:03] 人類的整個
[29:04] 或者說人體的整個生產力
[29:05] 因為AI的幫助之下
[29:07] 然後整個在往上拉
[29:09] 好那蘋果的數字呢
[29:10] 我們就簡單的跟大家聊一下
[29:12] 我覺得比較意外的一點是講說
[29:14] 他講記憶體影響他Q1不多
[29:16] 然後到Q2開始有影響
[29:18] 可是呢
[29:18] 他預測他的Gross Margin
[29:20] 還是在48到49
[29:21] 所以說
[29:21] 其實真的空的非常漂亮
[29:23] 我覺得最主要原因是因為高階的像iPhone
[29:26] 它本來就把記憶體當類似到數位黃金在賣
[29:29] 所以可能就是說影響的幅度沒有到很大
[29:32] 公司這邊他們目前希望的一個方式
[29:34] 不要去做太多的漲價
[29:35] 可能本來margin抓很高
[29:37] 所以因為這樣子可以有效的去做一些抵銷
[29:40] 或者說用一些採購的方式
[29:42] 其他的料件去做壓價
[29:44] 稍微的去抵抗一下
[29:45] 可是就我們理解
[29:46] 其實這也算是一個公開資訊的
[29:48] 就是Apple它被記憶體大廠漲價都漲了大概七八十%以上
[29:52] 下個Q可能也還是這樣的一個數字
[29:55] 所以就連Apple這種超級大的採購量
[29:58] 超級大的客戶
[29:58] 理論上有一個很好的溢價權
[30:00] 他們都被漲這麼多
[30:01] 只是很意外就是說
[30:02] 它的margin竟然可以hold住
[30:04] 所以這大家可以稍微注意一下
[30:06] 然後再提到說
[30:06] 在中國這邊的營收創了史高
[30:09] 硬度也不錯
[30:10] 整體都還蠻好的
[30:12] 大家可能會想象說
[30:13] Apple的銷量可能是跟在AI的結合之下
[30:17] 可能讓他手機變得更好用有關
[30:18] 但我覺得不是
[30:19] 我覺得還是迴歸到
[30:20] 像這一代的iPhone
[30:21] 就是在它有這個
[30:23] 叫什麼
[30:23] Glass Core還是什麼
[30:24] 反正就是玻璃的
[30:26] 我已經忘記
[30:27] 公司用什麼行銷名字去講它
[30:28] 但是我那時候跟大家講
[30:29] 這代iPhone真的用起來不一樣
[30:30] 身為一個老國粉
[30:32] 我是大家講的
[30:33] 信仰非常忠貞的人
[30:35] 我之前都跟大家講說
[30:36] 以前那些iPhone老實講
[30:37] 我真的分不出來
[30:38] 只是為了我的工作
[30:40] 還是要買最新的
[30:40] 看說到底有什麼原件不一樣
[30:42] 我是不會拆機
[30:43] 可是我會去體驗
[30:44] 這代iPhone可能是
[30:45] 當然公司可能有不一樣的說法
[30:47] 只是我覺得像Tim Cook
[30:48] 也是有跟你提到
[30:49] 因為我們整體的應用
[30:51] 跟體驗
[30:52] 還有裡面晶片的整合度
[30:53] 都比過往來的更好
[30:55] 所以其實這代
[30:55] 我覺得是強在
[30:57] 它的整個使用體驗
[30:58] 然後不是可能外面
[30:59] 在講的一些AI的論述
[31:00] 因為如果你有拿iPhone的話
[31:01] 你就發現說
[31:02] iPhone的AI還是不行的
[31:03] 可是很多時候
[31:04] 我也覺得iPhone的AI的
[31:06] 相關的議題討論
[31:07] 很多時候是被大家高估了
[31:09] 因為如果你們都還是
[31:10] 在手機裡面會去使用
[31:12] 不管是Gemini
[31:13] 或是Notebook LN
[31:15] 或什麼這種第三方的APP的話
[31:16] 其實就代表說原生的APP
[31:18] 但它本身就會有
[31:20] 類似的功能
[31:20] 它一定是沒有辦法
[31:22] 滿足到你的程度
[31:23] 所以你才會去用外面的東西
[31:25] 如果大家都還是
[31:26] 用了很多的第三方的話
[31:28] 其實手機內建的AI
[31:30] 到底有沒有立刻的迎頭趕上
[31:31] 或許不是一個特別重要的東西
[31:33] 它是一個可以拿來吐槽
[31:35] 拿來嘴的東西
[31:36] 可是在消費者的買單方面上
[31:38] 可能並不是這麼重要
[31:39] 因為過去有一個說法是講說
[31:40] Apple的AI跟不上
[31:42] 大家就會跑去用Samsung
[31:44] 會跑去用Google的電話
[31:46] 但實際上好像不是這樣的一個情形
[31:48] 那就可以在之後的一些數字去做驗證
[31:52] 那簡單跟大家講一下
[31:53] 自己對一下市場的一些看法
[31:54] 好那接下來我們進入Q&A部分
[31:55] 好那一樣
[31:56] 這次我們是繼續念Spotify留言
[31:58] 直到後面跟大家通知說
[32:00] 改回去Apple或是怎麼樣
[32:01] 但如果說Spotify這邊念得很順的話
[32:03] 那我們就持續的念這裡的
[32:04] 那我本來是跟大家講說
[32:06] 就是可能先到先念
[32:07] 那只是後來發現像我手機開啟
[32:09] 好像跟電腦不一樣
[32:10] 手機開啟是後到的在前面
[32:13] 那我覺得這樣也蠻不錯
[32:13] 就是因為先到先念的話
[32:15] 那可能我每一集上傳
[32:17] 就一堆人就去留言了
[32:18] 所以就比較沒有這麼驚喜的感覺
[32:21] 反而後道的話
[32:22] 因為你不確定我什麼時候會要念留言
[32:24] 所以比較有那種抽獎的感覺
[32:26] 我們就從後面的人開始往前念
[32:29] 那第一位Jason323
[32:32] 古埃你好小弟我是你澳洲的聽眾
[32:34] 小弟在雪梨當程式設計師
[32:36] 我每天上班都聽你的podcast
[32:38] 我覺得邊coding邊聽你對市場的見解
[32:40] 能夠提升我的工作效率
[32:41] 那就這樣不知不覺變成忠實的聽眾
[32:44] 當然最近AI的出現變成
[32:46] 我邊看AI coding邊聽你的podcast
[32:48] 也是很有趣的轉變
[32:49] 那不知道是否能夠看到海外的留言
[32:51] 不過小弟祝你全家幸福快樂
[32:53] 那希望海大可以祝我下個月生日快樂
[32:56] 和老婆幸福快樂
[32:57] 生個女兒
[32:58] 有機會來雪梨辦個粉絲見面會
[33:00] 那非常感謝Jason的一個支援
[33:03] 那希望你跟老婆開心
[33:04] 也希望你們可以順利的生女兒
[33:05] 感謝你的支援
[33:06] 下面一位Noffy夢宮大
[33:08] 聽了前幾集的至聖有觀察進場的
[33:12] 今天漲停了
[33:13] 非常恭喜
[33:13] 但實際上呢
[33:14] 就如我跟大家分享
[33:16] 我把臺積電的法說
[33:17] 視為裝置跟常務的一個checkpoint
[33:19] 那在之後沒有表態
[33:21] 所以基本上相關的股票
[33:22] 都被我賣了蠻多的
[33:23] 所以就是我賣了之後才會漲
[33:25] 那不客氣
[33:26] 希望你們搭車愉快
[33:28] 那可能就是我後面找到便宜的機會
[33:30] 才想要去記錄
[33:30] 我覺得現在市場
[33:31] 我自己的感覺
[33:32] 重點沒有在這邊
[33:33] 但一樣有撈到漲停就恭喜你
[33:35] 下面一位Float愛寧
[33:37] 下面一位許浩威
[33:38] 我是股市菜雞
[33:39] 雖然身為iPhone很久
[33:41] 但現在才開始有點積蓄
[33:42] 可以丟股市
[33:43] 0050賺了一點小錢
[33:45] 想要試著自選股
[33:46] 結果就被這集所說的
[33:48] 買在謠言賣在新聞
[33:49] 給套在了高點
[33:50] 關號偽創
[33:51] 那雖然整體還是掙收益
[33:53] 但是難免受到打擊
[33:55] 再想年前乖乖清倉
[33:57] 定期定額0050就好了
[33:58] 那最後祝各位iPhone
[34:00] 跟大家幸福快樂
[34:01] 績效大爆色
[34:01] 關號諾亞跟安哥都可愛了
[34:03] 這位兄弟
[34:05] 就是我覺得
[34:05] 還是按照我給大家的一個
[34:07] 最簡單的Rule of Fund
[34:09] 就是如果你真的想要去試看看
[34:11] 選股的話
[34:11] 你還是以七成的指數
[34:13] 不會搭配三成以下的
[34:15] 一個選股去開局會比較好
[34:16] 那如果你做了半年一年
[34:18] 兩年之後發現說
[34:19] 哪一邊比較好
[34:20] 你就往那邊持續去做加大
[34:21] 我覺得這個是對於大家來講
[34:23] 可能是最好上手
[34:24] 也是最穩健的一個做法
[34:26] 那偽創的話呢
[34:27] 因為這兩個標題我們老熟了
[34:29] 不然說在AI的剛起步的時候
[34:31] 那時候我們跟大家講這支
[34:33] 好會被人家說炒股票
[34:34] 結果大家等一兩年之後
[34:35] 才看到營收
[34:36] 因為它算是一個
[34:37] 就是你在市場沒有know how
[34:39] 是很難去把這支股票
[34:41] 做好的一個公司
[34:42] 我直接跟大家講
[34:44] 它大致的理由是什麼
[34:45] 因為過去有在傳說
[34:47] NVIDIA它要去在
[34:49] 伺服器的組裝上面
[34:51] 去捏得更緊
[34:51] 所以它確實本來是打算說
[34:53] 就是它自己一路推到L10
[34:56] 之後再賣別人
[34:56] 那它的合作伙伴就是兩家
[34:58] 一個就是偽創
[34:59] 另外一個是鴻愛集團
[35:01] 那只是在近期發現說
[35:03] 在供應鏈這邊
[35:04] 有出現一些反彈的狀態
[35:06] 所以這個計劃是有稍微的遞延
[35:08] 也就是說它本來的故事
[35:09] 其實是已經不成立了
[35:11] 只是我沒有在節目裡面
[35:13] 去跟大家做後續的update
[35:14] 這個有時候會發生
[35:15] 就是我們沒有辦法
[35:16] 針對每個東西
[35:17] 如果我今天還有持有的話
[35:19] 可能就剛好聊到
[35:20] 可是如果沒有持有東西
[35:21] 有時候就會忘記
[35:21] 所以如果大家來問的話
[35:22] 我就可以告訴你說
[35:23] 可能真正的故事是什麼
[35:25] 可是不代表這樣不行
[35:27] 很多時候是
[35:27] 當這些故事
[35:28] 可能開始傳出去的時候
[35:29] 反而搞不好下一代之後
[35:31] 他要再次把它拉回來
[35:32] 然後就繼續噴走
[35:33] 不一定
[35:34] 只是很多時候
[35:35] 我們還是會希望
[35:36] 自己不要死得不明不白
[35:37] 會去了解一下理由
[35:38] 可是理由不一定是最重要的
[35:40] 因為當你知道理由的時候
[35:41] 可能早就已經反應完了
[35:42] 這是有可能的
[35:43] 所以希望你後面一切順利
[35:44] 下面一位J
[35:45] 艾大你好
[35:46] 聽到Spotify是趙順旭
[35:47] 念著就來留看看
[35:48] 沒有什麼想說的
[35:49] 甚至我也沒有買臺股
[35:50] 但是會定期收聽
[35:51] 祝你和Lisa
[35:52] 諾亞安哥
[35:53] 秋口平安健康
[35:54] 對了遊戲我也會支援一下的
[35:56] 非常感謝這位J暖男
[35:58] 根據我們的團隊開發時程
[36:01] 大概在第二季左右
[36:03] 就可以期待第一款
[36:04] 紅顏鹿比就會上
[36:05] 後面還會有一款
[36:08] 就是可能要再往後拉個
[36:10] 不知道一年左右
[36:11] 有機會可以看到它的上市
[36:13] 那同時呢
[36:14] 其實我們投的公司
[36:15] 有些已經是上市中了
[36:17] 就它的遊戲有在賣了
[36:18] 那只是
[36:19] 陳璐我之前跟大家分享的
[36:20] 我們有些是
[36:21] 按照這個團隊的一個
[36:24] 怎麼講
[36:24] 大家的默契
[36:25] 或者說他們的要求
[36:27] 就是有些我們不會去做曝光
[36:29] 因為人家只想要
[36:29] 好好的開發遊戲
[36:31] 但只能夠說
[36:31] 就是在這個遊戲的
[36:32] 投資過程之中
[36:33] 我算是
[36:34] 圓了自己的一些夢想
[36:36] 那有些
[36:36] 很喜歡的遊戲
[36:37] 或什麼都有
[36:38] 我順利的投到
[36:39] 順利
[36:40] 順利發揚官
[36:41] 反正我希望後面
[36:42] 還是可以持續的順利
[36:43] 非常感謝大家
[36:44] 支援湘南資本
[36:46] 跟烏山資本投資的遊戲
[36:47] 我們也希望
[36:48] 臺灣的遊戲圈
[36:49] 可以在我們的加入之下
[36:51] 變得更好
[36:52] 我們不知道一唱水
[36:53] 說什麼
[36:53] 我們來這邊
[36:54] 就是要幫大家
[36:55] 我覺得其實本來
[36:56] 大家就已經很努力了
[36:57] 因為像有時候
[36:57] 看到網上在討論說
[36:58] 什麼臺灣的遊戲
[36:59] 怎樣不好或什麼的
[37:01] 真的這麼不好
[37:02] 你覺得我們會來嗎
[37:02] 我們這些搞資本的
[37:04] 也不是笨蛋
[37:04] 老實講
[37:07] 自己的情懷之外
[37:08] 其實我們就覺得說
[37:09] 臺灣有超級多
[37:10] 有潛力的東西
[37:11] 所以有時候看到一些人
[37:12] 會拿像國外的一些
[37:13] 什麼3A大作
[37:14] 然後或是說
[37:15] 一些高成本製作的東西
[37:17] 然後來批評說
[37:18] 為什麼臺灣
[37:18] 沒有這樣子的遊戲
[37:19] 我跟你講
[37:20] 其實我後來發現
[37:21] 但我不確定
[37:22] 我這樣講對不對
[37:23] 我自己的一個小觀察
[37:24] 大家自己稍微心中
[37:26] 摸一下
[37:26] 看是不是真的這樣子
[37:27] 那些會整天去拿
[37:29] 外面的東西踩臺灣的
[37:31] 就是那一些會去笑
[37:33] Alex Hono
[37:33] 或者說
[37:34] 為什麼他可以去爬101
[37:35] 然後甚至爬完之後
[37:36] 才跑出來
[37:37] 蹭一下
[37:38] 然後爬之前就
[37:39] 風險風險
[37:40] 然後也是那一些
[37:41] 就是可能今天看到
[37:42] 馬斯克射火箭爆炸
[37:43] 會跑出來笑的人
[37:44] 大家去看一下
[37:45] 是不是同一群人
[37:45] 我覺得跟那個重疊比例
[37:47] 已經超高
[37:47] 就是一群那種
[37:48] 已經沒有希望的
[37:49] 已經像是鹹魚了
[37:50] 然後他自己的生命中
[37:51] 已經沒有光
[37:52] 他就要把別人的光也熄滅
[37:54] 我不太喜歡這樣子的人
