[00:00] 欢迎收听谷外,我是星风公,本期节目由NordVPN赞助
[18:51] 可能可以稍微注意一下的
[18:52] 那特别是在最近可能关于TPU的讨论又变了很多
[18:56] 不然说像蛮多人去研究
[18:57] TPU在未来是有机会用到的这个E-Meet
[19:01] 然后外加可能会用到TGV
[19:04] 这个也是市场里面
[19:04] 大家注意到过去很多标股
[19:06] 都是围绕这边产生
[19:07] 或者是现在可能去讨论
[19:08] 在栽败里面的IPD
[19:10] 这个也都是跟Google是相关的东西
[19:12] 然后外加最近有一个新闻
[19:14] 终于出来
[19:14] 如果有听我们节目的话
[19:16] 可能在两三个月前
[19:17] 就已经知道这件事情
[19:18] 当然我们不知道去show off
[19:19] 说我们在资讯上面
[19:20] 有多领先的优势
[19:21] 其实怎样讲
[19:22] 你有时候有优势
[19:23] 你会想低调一点
[19:24] 只是我们节目
[19:25] 还是会跟大家分享一些产业的趋势
[19:27] 所以就会不免的
[19:28] 会提到一些东西
[19:29] 然后大家很多时候
[19:30] 会在后面的新闻
[19:31] 就会获得验证
[19:32] 所以
[19:32] 模程上
[19:33] 我觉得这个节目
[19:34] 其实可能对大家来讲
[19:35] 也是蛮有趣的一点
[19:36] 在这
[19:36] 特别一些产业人士会喜欢
[19:38] 就是因为
[19:38] 他们可以获取一些
[19:39] 因为蛮多人其实在
[19:40] 做自己的工作
[19:41] 他们只看得到面前的东西
[19:42] 他甚至不知道
[19:43] 自己做的产品是什么
[19:44] 可是在我们这边
[19:44] 就哦
[19:45] 他知道他自己在做的东西
[19:46] 是什么
[19:46] 总之就是在昨天
[19:48] 开始有很多的外媒
[19:49] 大量去报道说
[19:50] 可能在Google这边
[19:52] 会引入Marvel
[19:53] 作为他们在
[19:54] 晶片设计的
[19:55] 一个新的partner
[19:56] 这个在我们节目的
[19:58] 数个月前就有跟大家提
[19:59] 那既然现在这个东西已经见报
[20:00] 我们就可以再
[20:01] 跟大家分享更多的detail
[20:03] 我们也知道是有两颗晶片
[20:05] 一颗可能就是跟TPU的influence
[20:06] 是有关系的
[20:08] 那它的代号呢
[20:09] 就是TIA
[20:09] 这个其实已经蛮多人知道
[20:10] 所以可以直接把它讲出来
[20:11] 那另外一颗是比较酷的东西
[20:13] 是跟memory process有关的
[20:15] 那代号就不方便跟大家分享
[20:16] 总之来说
[20:17] 我们是有看到两个案子
[20:18] 有开出来
[20:19] 那这两个案子
[20:20] 在后面会有多少贡献呢
[20:21] 其实现在讲都是太远了
[20:23] 所以甚至我是有想要去观察说
[20:25] 当这个MARVEL的事情被公布之后
[20:28] 首先第一个先看Marvel有没有喷
[20:29] 就知道说到底有多少内线仔
[20:31] 已经在前面都先蹲好了
[20:32] 然后第二个
[20:32] 就观察一下
[20:34] 当Marvel的消息出来之后
[20:35] 有没有影响到BlaKon
[20:36] 或者说MTK的一个价格
[20:39] 就知道说市场对这个东西
[20:40] 是不是恐惧的
[20:41] 但看起来是还好
[20:42] 所以代表的意思是说
[20:43] 其实市场也某个程度上的意识到
[20:45] 就我们之前一直跟大家讲的
[20:46] 其实AI是一个蓝海市场
[20:48] 所以不要觉得说
[20:49] 什么有一个新player的加入
[20:50] 然后什么其他人就得去死
[20:52] 什么光镜
[20:53] 然后或者说铜就要一定去死
[20:54] 然后或者说
[20:55] 可能今天GPU起来
[20:57] ASIC就要去死
[20:57] 没有
[20:58] 其实大家都可以获得
[20:59] 对应的市场
[20:59] 像最近高速传出的股票
[21:01] 其实蛮多也都直接
[21:01] 调色出去
[21:03] 可是在前面
[21:04] 可能在狂跌的时候
[21:05] 大家就会去
[21:05] 跟你讲这样的一个
[21:07] 好像说一个死
[21:08] 然后另外一个才能生的叙事
[21:10] 就类似可能现在
[21:10] 发生在软体的一些状态
[21:12] 所以其实在股市里面
[21:13] 去维持sanity
[21:14] 也是蛮难的
[21:15] 你要维持清醒
[21:16] 你要不被这些崩跌给吓到
[21:18] 那真的蛮困难的
[21:18] 所以你压多
[21:19] 你还会被吓到
[21:20] 所以自己大家要小心
[21:21] 当有时候知道一些消息
[21:23] 你知道蛮不错的营收跟获利
[21:24] 你也不要直接一股脑丢进去
[21:26] 因为有可能
[21:27] 因为市场的各种FUD的情绪
[21:29] 还是有机会把你踩死
[21:30] 总之Mavrilo这两颗
[21:32] 我们目前是没有办法看到
[21:34] 它具体的一个表现
[21:35] 或者说它可能有
[21:37] 潜在的一个头片数字
[21:38] 因为这个在代工厂
[21:39] 应该也是没有办法看到
[21:40] 它可能会是比较后续的一些案子
[21:42] 但确实是有看到
[21:43] 已经有开案出来
[21:44] 之后就再观察说
[21:46] 如果说它有放量的话
[21:48] 大概会是长什么样子
[21:50] 以及对于产业的影响会是怎么样
[21:51] 目前我们初步去看的话
[21:53] 它的那个模式应该会比较类似
[21:55] 就是Google跟MTK的模式
[21:57] 而不是Google跟Abago
[21:58] 就是Broadcom的一个模式
[21:59] 它不会是把所有东西
[22:01] 全权丢给Marvel去做
[22:02] 应该会是一个一起设计的过程
[22:05] 特别是在Marvel这边
[22:06] 他们其实有去发了一些PowerPoint出来
[22:09] 然后都在强调跟Memory有关的
[22:11] 不然说可能是SRAM
[22:12] 或者说HBM的一些整合
[22:14] 所以它非常强调
[22:15] 记忆体其实就是AI运算的一切
[22:17] 于是我们刚才前面讲的
[22:18] Memory Processing Unit
[22:19] 可能就是Google在后面
[22:21] 会拿出来去对标
[22:23] 像NVIDIA LPU的一个产品
[22:25] 至于这个TIA
[22:26] Inference Chip是要干嘛
[22:28] 是不是要拿来去
[22:29] 健全它的供应链
[22:30] 所以我们可能看到
[22:31] Humufish本来隔壁的
[22:32] 那个东西不见了
[22:33] 那会不会
[22:33] 它就是在后面
[22:34] 要去拉一个MARVEL
[22:36] 然后一样去做
[22:37] 像MTK这样子的东西
[22:38] 去做一个两箱的竞价
[22:40] 然后这是有可能的
[22:41] 可是一样就不用去
[22:42] 太害怕这样子的一些竞争
[22:44] 因为以目前的AI市场来讲
[22:45] 只要还是在扩张
[22:46] 其实大家都会一起
[22:47] 赚到非常多的钱
[22:48] 所以简单来讲
[22:49] 就是说在Google这边
[22:51] 如果它可以维持一个很不错的CAPEX
[22:54] 然后以及甚至在后面开始带来一些好消息
[22:56] 他们的AI的一些收益是变得很好
[22:59] 然后带来很多什么正向的现金流之类的
[23:01] 随便举例
[23:02] 其实某个程度上都可以去直接对应到这些
[23:05] 不管是晶片设计的
[23:07] 或者说帮他做后段的
[23:08] 或是Google的可能OCS相关的光通的类股
[23:11] 这个一包的Google Family
[23:13] 可能在后面都还是有一些表现的机会
[23:16] 可以密切的去注意看看
[23:18] 特别是其实像Google这样子的一个大玩家
[23:22] 他如果持续的在投片数字都维持的不错的话
[23:25] 其实我们目前的角度去看
[23:28] 像可能过去的半年就已经有跟大家分享说
[23:31] 我们目前看到的状况是Google他要的一个产能
[23:34] 实际上台积电可能只能够fulfill他四成左右
[23:36] 就目前我们看到他开出来的focus
[23:38] 是高到一个很下来的状态
[23:40] 所以后面有机会看到
[23:42] 如果说台积电也要跟排的话
[23:44] 那他就会去做一个上销
[23:45] 所以说不定台积电上销
[23:46] 也会再额外的去引申一些机会
[23:48] 所以其实每个东西都是环环相扣的
[23:50] 这个大家可以再稍微注意一下
[23:51] 那接下来我们来稍微的提一下
[23:54] 被动元件
[23:54] 因为大家相信在昨天前天
[23:56] 就是有看到一个新闻
[23:57] 太阳诱电去做涨价
[23:59] 那它涨价的东西
[24:00] 基本上已经像是那种
[24:01] 全系列的产品线都去动了
[24:02] 它用的理由是说
[24:03] 一些什么贵金属
[24:04] 什么金银的涨价
[24:05] 那一些业界的朋友就表示说
[24:07] 这个很怪啦
[24:08] 你那个最主要成本来源就不是这个
[24:09] 那怎么会扯到什么金去
[24:11] 但没有关系
[24:12] 反正涨价就是它要找个理由
[24:13] 那目前我们就是看到说
[24:15] 像是MLCC
[24:18] 跟电容
[24:19] 全部都有发生涨价的情形
[24:21] 特别是铝电容这一块
[24:22] 其实过往是比较少看到
[24:24] 说会一起被列出来
[24:25] 铝电容现在看起来
[24:26] 就像我们跟大家讲的SP Cap
[24:28] 或者说铝电容相关的东西
[24:29] 其实目前都是
[24:30] 呈现一个还蛮紧俏
[24:32] 缺货的情形
[24:33] 也有朋友在供应链这边
[24:34] 有看到说像部分的ODM
[24:36] 已经有被一些厂商给涨价了
[24:38] 所以被动人间这一波
[24:39] 到底可以去走多远
[24:41] 会不会像大家想象的
[24:43] 它有可能跟记忆体一样
[24:44] 变成一个缺货大潮
[24:45] 这个还要再稍微的观察一下
[24:47] 但一般如果說你要去拔得先機的話
[24:51] 就像我們前面就要先一直盯著
[24:52] 雖然可能前面被動元件
[24:54] 他想要突破個兩三次都失敗這次看起來像國巨是已經創歷史新高了終於上去了很多時候講就是說他需要一個東西像我們上集提到他要去催化他所以像SNDK那時候的漲價性就算是一個關鍵的催化
[25:06] 然後後來發生了SORA的一個事件
[25:09] 所以就導致整個就直接射出去了
[25:10] 那被動元件的話呢
[25:12] 我覺得就是要開始產生
[25:14] 其實像CPU這樣的一個影響有機會也會去推動到
[25:18] 怎麼說因為我們目前知道說像上集跟大家聊到
[25:21] GPU跟ASIC我們大家都已經知道說是市場上有缺的東西
[25:24] 只是突然间发现CPU的demand也超级高
[25:26] 所以当今天大家开始要疯狂的去抢货
[25:30] 或者说可能general purpose的这些CPU
[25:32] 不一定拉得到
[25:33] 然后开始有大量的arm based custom made CPU
[25:36] 开始要去做更多的加单的话
[25:38] 其实除了这些CPU相关的一些类股
[25:40] 一些元件可能也会一起被拉到
[25:42] 那当然说这里面有没有什么double booking
[25:44] 一定都是有
[25:44] 可是没有关系
[25:45] 在第一波就像记忆体也是一堆人在囤货
[25:47] 可是它就是会一直涨一直涨一直涨
[25:48] 所以有可能它也会产生一些结构性的问题
[25:51] 也就是简单来讲
[25:53] 现在在市场里面的供应是不够的
[25:55] 当大家可能在某些特殊的应用上面
[25:58] 需要用到大量的东西
[25:59] 然后又有一些新的应用的产生
[26:01] 导致说
[26:01] 我们以前去布的GPU跟ASIC
[26:04] 可能不只是
[26:05] 要去完成AI的一些基础的元件
[26:08] 你现在没有CPU的话
[26:09] 你那个Agenting AI可能跑爆
[26:10] 所以我必须也要去抢购CPU
[26:12] 可能就会导致
[26:13] 整个供应链就会再一次的被甩动起来
[26:16] 可能到时候就会产生一些有趣的现象
[26:18] 所以如果要去确定
[26:21] 这个趋势是不是成真的话
[26:22] 首先就是说
[26:23] 一些拉出新高的东西
[26:24] 它就不能够再摔回新高一下
[26:26] 那可能就会长得不好看
[26:28] 就会视为是一个突破的失败
[26:30] 然后再来就是去观察一些国际的族群
[26:32] 以日本来讲的话
[26:33] 就是春田 佑电 TTK
[26:35] 这个都是要持续去看着
[26:36] 那美国的话就像是Vichy
[26:38] 或者像KN这一档
[26:40] 也是要稍微的去盯
[26:41] 这不是要跟他爆牌
[26:42] 只是说你要看
[26:43] 就是要看整个族群整包
[26:45] 因为像那时候Memory整个启动的话
[26:47] 是整包一定就启动
[26:48] 当今天如果是一个那种全球性的缺货
[26:50] 一定就是整包都启动
[26:51] 所以如果说这东西整包都一起断的话
[26:53] 那就有可能会是
[26:54] 不敢讲会像是2017 2018那样的一个被动人间大潮
[26:59] 可是可能也会有一个
[27:00] 就是你不要去期待每个都一定是钓到大鱼
[27:02] 有些那种中小鱼可能也可以让很多人吃到很饱
[27:05] 所以被动人间虾又开始密集的看到各种长虾性
[27:08] 那在我们节目的发出的同时
[27:10] 这个国际可能正在发表
[27:12] 所以我们之后再来看一下国际讲什么
[27:13] 然后就可以知道说这个族群
[27:15] 后面可能会有一些更明确的展望
[27:17] 就是从海外的业者之外
[27:19] 在国内的业者也可以看到一些端倪
[27:21] 所以目前市场上
[27:22] 其实有很多的话题跟族群
[27:24] 像我还是很想跟大家分享
[27:25] 像前面跟大家聊的时候
[27:26] 我想要等到光通整个掉下来之后
[27:27] 然后再讲光通的一些数字
[27:30] 我们了解到的状况
[27:30] 可是它就是都不会掉下来
[27:32] 所以也不好跟大家分享
[27:33] 那之后可能有机会
[27:35] 再来跟大家聊一些市场里面
[27:36] 因为它族群太多了
[27:37] 所以基本上就是
[27:38] 我们自己有在关注的
[27:40] 然后有放在我们面前
[27:41] 都会优先的拿出来
[27:42] 跟大家去做讨论
[27:44] 希望大家在这一波
[27:46] 虽然现在这个情绪翻转得很快
[27:47] 前面好像说
[27:48] 罗尚考比
[27:49] 很多人都骂不想搞股票
[27:51] 觉得这股票真的是一个吃人的世界
[27:53] 然后可是隔没几个礼拜
[27:55] 现在行情突然变得超级
[27:56] 希望大家都可以打猎顺利
[27:58] 持银保贷
[27:59] 大概这样
[28:00] 接下来我们进去Q的部分
[28:01] 第一位Andy
[28:01] 五星留言吹吹吹
[28:03] 想住在矽谷工作的配集
[28:05] 挂号猛男生
[28:06] 不是你那个猛男生要挂号在前面
[28:07] 这样才顺
[28:08] 但你挂号之后
[28:09] 我们就把后面当猛男生
[28:10] 4月15号顺利快乐
[28:12] 今年过年带老妈去加州找你玩
[28:15] 出发之前想说完蛋
[28:16] 家人旅游一定吵架
[28:17] 结果两个星期都没有吵架
[28:19] 还超级好玩
[28:20] 谢谢你请假陪我们到处玩
[28:22] 一起趁老妈还走得动的时候
[28:23] 创造跟家人旅游的美好回忆
[28:25] 那希望可以尽快再去美国找你
[28:27] 爱您
[28:28] 也祝孟公Lisa
[28:29] 全家健康平安哥
[28:30] 生日快乐
[28:31] 非常感谢这位Andy哥
[28:32] 那下面一位Shang Chu
[28:34] 亲爱的孟公Chika你好
[28:35] 想知道您在面对孩子约四岁
[28:38] 在外闹脾气哭闹是如何面对
[28:40] 那自己还是会有时候控制不了
[28:42] 用大声吼的
[28:43] 不过每次都会很懊恼
[28:44] 而且发现小孩也都会学大人
[28:46] 其他发脾气也都用吼的
[28:47] 那不过又怕影响到别人
[28:49] 哈哈
[28:49] 顺便想问您一下
[28:50] 美股的前五大持股
[28:52] 跟抱得住的原因
[28:53] 方便再分享
[28:54] 极可爱您
[28:55] 祝您一家健康平安
[28:56] 目前的持股比较大的
[28:58] 就是CPU啦
[28:59] 然后再来就是Marvel
[28:59] 那CPU的话
[29:00] 我是买Intel ARM
[29:01] 然后跟这个AMD
[29:03] 那再来光通也买蛮多的
[29:06] 像Luminten跟Cohen
[29:07] 那Cloudflare也买蛮多的
[29:09] 还有Tesla也买蛮多的
[29:10] 那大概就是这几档
[29:11] 是我目前比较主要的持股
[29:13] 那都还会再变动啦
[29:15] 据来说
[29:15] 以目前CPU的话
[29:17] 我觉得应该还有机会再继续走
[29:19] 可是Marvell因为它的利多
[29:20] 就是我买的利多已经出来了
[29:22] 所以如果这边它没有继续走的话
[29:24] 它很快就会掉出我的主要持股
[29:26] 所以会去做一些调整
[29:28] 为什么会掉出去
[29:28] 因为最好原因是因为
[29:29] 我刚才前面提到
[29:30] 其实我知道这两个东西
[29:31] 这两个东西
[29:32] 它目前要去算数字
[29:33] 它还太远了
[29:34] 所以不会想去把它当成是一个
[29:37] 很solid的基本面的play
[29:38] 除非它的股价继续往前走
[29:40] 至于要怎么样抱得住股票
[29:42] 简单讲就是说
[29:43] 你要有爱
[29:43] 要有信仰
[29:44] 要大概了解它是什么
[29:45] 不然如果你完全用技术面的话
[29:46] 你什么东西都抱不太住
[29:48] 那当然又要有坏
[29:48] 如果你什么东西都抱不太住的话
[29:50] 那你可能在2022就不会受到这么大的伤害
[29:53] 所以呢
[29:53] 简单来讲会伤到你的人
[29:55] 都是你最相信跟你最爱的人
[29:57] 那再来讲说前面是怎么样面对这样子的小孩子
[30:00] 我自己的小孩如果在外面开始去哭闹的话呢
[30:04] 我会先试着跟他讲
[30:06] 那如果讲的没有用的话
[30:07] 因为你知道小朋友他们其实
[30:08] 简单来说他并不是故意要跟你对坐
[30:11] 他是脑袋之争还没有发育好了
[30:12] 所以他有时候他无法去理解说
[30:14] 为什么我这个情绪
[30:16] 不能够把它释放出来
[30:17] 甚至我会觉得说
[30:18] 有时候不要太刻意的
[30:19] 去压孩子的情绪
[30:20] 但是我自己跟你一样
[30:21] 我也是很怕会影响到别人的人
[30:22] 那如果你去吼的话
[30:23] 甚至隔壁桌会觉得说
[30:25] 干嘛这个家长比小孩更吵
[30:26] 所以我觉得用吼的
[30:27] 绝对是一个下下策
[30:28] 如果你真的觉得会影响到别人
[30:30] 那我自己的做法是这样
[30:31] 我会直接把小孩带出这个餐厅
[30:32] 就如果真的觉得他家已经太吵
[30:34] 他已经影响到别人
[30:35] 我就把他带出去
[30:35] 那带离现场
[30:37] 我觉得是一个蛮好的做法
[30:38] 到外面他可能可以稍微冷静一点
[30:40] 你就跟他沟通一下
[30:40] 其实小孩子他很好解决
[30:42] 你要先让他跟你沟通说
[30:44] 他到底为什么现在会想要哭
[30:45] 而不是你就叫他说
[30:46] Shut the fuck up
[30:47] 因为那是以前我们长辈的做法
[30:48] 一巴掌上去
[30:49] 看你敢不敢讲话
[30:50] 但我们尽量不要让自己
[30:51] 变成是那一种很恐怖的家长
[30:53] 很多时候我们小时候的创伤
[30:56] 其实都是因为在沟通的过程之中
[30:59] 然后直接像是撞到一面墙
[31:00] 所以产生的
[31:01] 所以我觉得我们不要让孩子
[31:03] 有这样的创伤
[31:03] 你就试着去跟他
[31:05] 好好的消以大义
[31:06] 虽然你可能会花很多精力
[31:08] 可是很多时候
[31:09] 我在跟我孩子沟通的时候
[31:10] 会觉得蛮可爱的
[31:11] 就会发现他哭的东西
[31:12] 其实一个
[31:13] 你一开始在气头上
[31:14] 你就觉得
[31:15] 这有什么哭的
[31:15] 可是后面你就觉得很可爱
[31:17] 就是他可能不知道
[31:17] 三五年后
[31:18] 他就不会再哭这个东西了
[31:19] 所以你好好把握现在
[31:20] 对
[31:21] 就是对孩子
[31:22] 我觉得多一点爱是比较好的
[31:23] 下面一位
[31:23] 为什么要跟我分手
[31:25] 梦工去搞早安
[31:25] 来问主委股票问题
[31:27] 红豆泥拍谢
[31:28] 那判断趋势这件事情
[31:30] 主委通常是看
[31:30] 几天的日可以决定
[31:32] 或是多少上涨%数
[31:33] 譬如说我今天看趋势
[31:35] 可能抓三天抓五天
[31:36] 可能有个答案
[31:37] 那要是另一个基准点
[31:38] 是抓五天判读
[31:39] 又是另外一个答案
[31:40] 关于技术面的判读
[31:41] 两种疑惑
[31:42] 一关于趋势
[31:43] 来到是用哪一种判断
[31:44] 是用天数还是趴数呢
[31:46] 那通常是抓天数跟趴数为何
[31:48] 关号伊朗事件告一个段落
[31:50] 今天也不过七天
[31:51] 但自身没有感觉
[31:52] 想听孟公怎么样判读的
[31:53] 二关于基准点的困境
[31:56] 要如何解呢
[31:57] 关号我主要是基本面
[31:58] 选股家做动能爱你
[32:00] 这位兄弟其实讲得很好
[32:02] 简单来说
[32:02] 就是如果一个股票
[32:03] 你不要讲说什么三天五天
[32:04] 因为三天五天很多时候
[32:05] 那个只是日内震荡
[32:06] 你会把自己吓跑
[32:07] 你就看日线跟周线就好
[32:09] 一档在日线看起来可以买的股票
[32:11] 可能在周线看起来
[32:12] 它只是一个怎么讲
[32:14] 趋势上的反弹
[32:15] 下降趋势里面的一个反弹
[32:17] 可是在日线看起来
[32:17] 好像要突破了
[32:18] 可是很快可能就碰到
[32:19] 这个反弹的压力线
[32:20] 然后再次被压下去
[32:21] 所以确实会因为你看的趋势线
[32:24] 不一样会有不一样的想法
[32:25] 那如果说你真的是很担心
[32:27] 这样子所谓的时间轴抓不好
[32:28] 而产生的一些杂讯的话
[32:30] 你就做新高就好了
[32:31] 新高最简单
[32:32] 新高就没有你讲的这些烦恼
[32:34] 当然新高可能就是一个
[32:35] 很竞争的地方
[32:36] 在台股的话可能就会锁起来
[32:38] 比手速之类的
[32:40] 但简单来讲就是说
[32:41] 如果你要避免这样的困扰
[32:42] 你直接去做新高的股票就可以
[32:43] 我自己会怎么样去看待趋势
[32:46] 其实我觉得那都是相对值
[32:47] 就是市场里面
[32:48] 我很难去跟你讲一个绝对值
[32:49] 像就像说在过去的一阵子
[32:52] 可能不到一两个月前
[32:53] 如果说你今天是相对有撑的股票
[32:55] 我都可以留着
[32:56] 我觉得没有什么问题
[32:56] 可是为什么在过去的几天
[32:58] 我就是开始有一些
[33:00] 像我自己手上的设备跟产物的东西
[33:03] 就一直被我捡
[33:03] 为什么因为我需要钱去买那些更强的东西
[33:05] 你们都不会动
[33:06] 我就把你砍掉
[33:07] 等到你之后要动的时候再回来
[33:09] 所以突然间他就变成是一个可以提款的对象
[33:11] 所以我觉得机会成本的概念很好
[33:13] 就是随时去考量
[33:15] 你部位都是用机会成本的思考去想
[33:17] 就是现在我这个钱可不可以有一个更好的去处
[33:20] 如果有的话
[33:21] 那我就把它拿出来
[33:22] 所以他有可能就是在一个非常intense的盘
[33:25] 冲很快的时候
[33:25] 就变成你会用越来越短的一个时间轴去做衡量
[33:28] 可是如果是一个没有这么紧凑的盘
[33:31] 你用的时间轴可能就比较宽松一点
[33:33] 所以它本身就是一个很有弹性的事情
[33:36] 那一样就是我每次在回答股票问题的时候
[33:38] 我都很喜欢跟大家讲一句就是
[33:39] 可能是台湾人的教育吧
[33:41] 虽然我自己是台湾教育出来
[33:42] 可是我觉得我有跳脱
[33:43] 就是大家太喜欢问标准答案
[33:45] 可是其实你只要动动你的脑袋
[33:47] 想一想就知道说
[33:48] 如果真的有标准答案
[33:49] 如果可以直接很明确的告诉你说
[33:50] 用哪一条均线
[33:51] 然后跟用哪样的一个时间轴
[33:54] 跟怎么样的策略
[33:55] 那你全部交给电脑做
[33:56] 大家不用做股票
[33:57] 大家收一收啊
[33:57] 电脑就可以赢了
[33:58] 对吧
[33:58] 所以它一定都是
[33:59] 充满各种弹性的
[34:01] 那只是你刚才
[34:02] 你的问题的结合
[34:03] 是蛮不错的
[34:03] 因为他前面提到说
[34:04] 像这个伊朗事件
[34:05] 我是怎么样看
[34:06] 那我们在过去的几集
[34:08] 就有跟大家聊到说
[34:09] 伊朗的事件
[34:09] 对我来讲
[34:10] 后面特别是我看到
[34:11] 美股拉这样的一个K
[34:12] 我觉得后面都算是顿化
[34:13] 就只要你的油价
[34:14] 不要再过新高
[34:15] 对我来说都叫做顿化
[34:16] 那为什么我会
[34:17] 这样子做一个判断
[34:18] 因为过去
[34:19] 我看过类似的事情
[34:25] 说绝对准确的判断
[34:26] 没有
[34:26] 就像说有些人可能在
[34:28] 那一根美股超大的红K之间
[34:30] 他就先买了
[34:31] 因为他有他自己的一个衡量方式
[34:33] 所以你会发现
[34:33] 市场是一个很有趣的地方
[34:35] 我跟你的判断可以完全不一样
[34:38] 观念完全不一样
[34:39] 喜欢的族群完全不一样
[34:40] 但我们两个都可以在市场赚钱
[34:41] 所以我们两个去讨论的时候
[34:43] 可能会吵架
[34:43] 因为我们喜欢的东西
[34:44] 跟看的面相是完全相反的
[34:46] 但是我们都可以赚钱
[34:47] 所以你真的不用问标准答案
[34:48] 你要的只是
[34:49] 你自己要有一套模式跟方法
[34:52] 这是最重要的
[34:53] 那我们的方法
[34:54] 其实都已经是开诚布公
[34:55] 在节目跟大家分享
[34:56] 那有时候错
[34:57] 也会直接立刻跟你检讨说
[34:58] 这个地方为什么会错
[34:59] 就像我前面去买一些报价
[35:01] 那输了就跟你讲
[35:02] 就真的就是没有赌到
[35:03] 或是像Marvel
[35:05] 这第三次远征
[35:06] 那我就直接把前面两次远征的钱
[35:08] 都一次讨回来
[35:09] 就是你不可能每次都赢
[35:10] 可是你其实每次进去
[35:12] 都是有凭有据的
[35:13] 像我最早去买Marvel的时候
[35:14] 我在买那个Maple
[35:15] 那时候也是全市场都不知道
[35:16] 有Maple这一颗
[35:17] 只是最后面Maple真的没有放量
[35:18] 没有办法
[35:19] 可是像创意就有压到
[35:21] 就创意一样是去做Google的东西
[35:23] 这个我就有吃到它
[35:24] 所以你不可能每次都会对
[35:26] 有时候可能会前面打个几次都失败
[35:28] 然后发现你后面要打回来就好
[35:30] 那这其实需要一点经验去验证
[35:32] 后面你会对自己比较有信心
[35:34] 然后就发现说
[35:34] 其实你的问题很多都
[35:35] 怎么样
[35:36] 我觉得大家都问太多了
[35:37] 就是你做太少问太多
[35:39] 那你一直想要去问出一个标准答案
[35:40] 可是真的没有标准答案
[35:41] 你要去接受说
[35:42] 你的交易里面就是会有几笔会是犯错的
[35:45] 所以如果你想要去优化到说
[35:47] 你一笔都没有犯错的话
[35:48] 那就很像是
[35:49] 有一些那種投信在發ETF的時候
[35:51] 那他就會overfitting
[35:52] 他要去湊出一個最好的東西
[35:54] 可是那個不代表在未來是可以用的東西
[35:56] 所以你要去可以接受生命中的不完美
[35:58] 我大概這樣 有一點概念就好
[35:59] 下面一位 Bluepeel
[36:02] 先來推薦MK動畫
[36:03] 異獸魔毒剛好最近上第二季
[36:05] 設定有趣又帶一點搞笑
[36:07] 唯一的缺點是周邊太少
[36:08] 無法收集公仔
[36:10] 另外請問之前提到Lisa
[36:12] 想要場地照顧狗狗
[36:13] 不知道有沒有後續
[36:14] 剛好因緣際會
[36:16] 林央狗狗也在尋找協會找尋新的場地中
[36:20] 那才發現困難重重
[36:22] 有聽到別的協會找了兩年多才找到適合的場地
[36:25] 最後祝MK全家身體健康
[36:26] 秋狗繼續幹你娘
[36:27] 後來我老婆我都是叫她去送屋所
[36:30] 所以她都跑去那個五股送屋所
[36:32] 那只是當然有我們二兒子之後
[36:33] 她最近就是比較沒有去
[36:35] 那之後我覺得她老了之後
[36:36] 應該還是會投入關於動物相關的東西
[36:38] 那我自己的想法就是我直接買一塊地給她
[36:40] 這樣就不會干擾到任何人
[36:41] 你不要去給人家什麼租地借地
[36:43] 或是用在人家隔壁人家給你的什麼
[36:45] 那个就是有可能会有一些纠纷吧
[36:47] 我们自己买在一个
[36:48] 那种荒郊野岭
[36:49] 然后就把你送去那一边
[36:50] 我在家打电动
[36:51] 这样还是蛮好的
[36:52] 所以应该会是用自己去
[36:54] 投入的做法
[36:55] 我们比较习惯
[36:56] 就是自己有什么想法
[36:57] 就自己去做
[36:58] 不用去呼吁
[36:59] 不用去纠纵
[37:00] 就当你有点能力的时候
[37:01] 就尽量就自己干下去最快
[37:03] 下面一位
[37:03] KC梦宫
[37:05] 你好
[37:05] 小弟是那位把你的大头照
[37:08] 印在衣服上的快乐宝贝
[37:09] 那想冒昧
[37:10] 请问梦宫是不是来自于
[37:12] 谢氏堂号宝树堂呢
[37:15] 小弟你有一直说
[37:16] 优秀的谢姓子孙
[37:17] 一定是跟他同宗的保树子弟
[37:19] 那小弟在那边祝福孟公一家
[37:22] 心得一年平安顺心健康快乐我不太确定如果坤林有听到这节目的话待会跟我讲講一下我們家是保宿堂我不太確定其實我已經老實講一段時間沒有回家掃墓現在想一想很汗顏
[37:35] 好像我妹
[37:35] 我姐好像都還有回去
[37:37] 我真的是後來
[37:38] 講小孩也不對
[37:40] 因為我姐也有小孩
[37:41] 對
[37:41] 我真的很久沒有回去找祖先
[37:43] 我應該回去找祖先一下
[37:44] 我們是怎麼談
[37:45] 我不知道
[37:46] 下面一位
[37:46] Freddy666
[37:48] 主委你好
[37:48] 去年留言
[37:50] 請你喝斥
[37:51] 用喝斥諾亞喝可樂的語氣
[37:53] 对Evon说
[37:54] 不可以吃金字淀粉
[37:56] 那平常他都是别人说的话
[37:58] 随便听一听
[37:58] 自己做决定
[38:01] 蒙你金口
[38:02] 这年他有听进去
[38:04] 气色变好
[38:04] 变得更健康了
[38:06] 那想对他说
[38:07] 谢谢你出现在我的生命里
[38:09] 我很珍惜这段时间的相处
[38:11] 今后要各自加油
[38:13] 那请诸位祝他早日找到理想的工作
[38:16] 那另外请用川普的语气
[38:17] 祝他生日快乐
[38:19] 他还帮我把台词写好
[38:20] What a nice girl
[38:22] What a great person
[38:23] Wish you a day as wonderful as your happy birthday
