[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由菲利普電壺刀贊助。
[28:46] 並且,在這次的開幕前,我們也有提到,在這次的開幕前,我們也有提到,
[28:56] 我們也有提到,
[29:06] 這就是我們所講的感覺,我們所帶來的績效都是短暫的東西。
[29:12] 雖然過去的十幾年都是還蠻不錯的,但是你不知道未來的十二十年會怎麼樣,你也不知道過去的十幾年會不會就是你人生的高光時刻。
[29:21] 所以,或許還是得把一些感覺的東西,因為人家很相信感覺,你要把感覺的東西要有辦法量化出來,然後變成是一個可以重複去實踐的東西。
[29:30] 有可能是在下個階段我想要去努力的一個方向。
[29:34] 但以目前這個階段來講,我覺得非常踏實的一點是,
[29:37] 就是我們會用人去看一些信號,
[29:41] 然後跟用人的下單、你的資金去判斷說,
[29:46] 你買一個東西有沒有人要去跟,
[29:48] 有沒有市場資金跟的推,賣壓大不大。
[29:51] 我這個都還是非常人為的去做判斷。
[29:54] 但是後端的一些處理,
[29:56] 就是以前我可能後端的處理是,
[29:58] 我處理的零零散散,
[29:59] 有時候真的像史丹利·朱克米爾講的,反正先買再研究吧,我先買盤中或盤後,我再去慢慢看。
[30:05] 現在這個盤中跟盤後慢慢看,它可以變成是在10分鐘20分鐘內就可以完成的東西。
[30:11] 可是你說它是不是這個交易裡最關鍵的東西?好像不一定是。
[30:16] 所以目前在自己的工作上就會呈現的是一種我覺得非常Hybrid的一個模式。
[30:22] 在短期內還沒有辦法看到會往人的方向去傾斜,或是往更多AI去傾斜。
[30:28] 反而是在找一個遮中的平衡,怎麼樣讓人跟AI結合得更好。
[30:32] 我覺得這是後面努力的方向。
[30:34] 所以如果我今天可以開一個Spec出來,就是怎麼樣讓我的工作效率再變得更高,
[30:41] 然後怎麼樣我可以去有感的感受到我的生活變得更輕鬆的話。
[30:45] 特別是我現在剛好在日本,其實我就覺得像一些菜單要翻譯,
[30:50] 我現在還是會打開手機,然後可能用 Google Translate 它有那種影片即時翻譯,
[30:55] 就是你只要攝影機對著它就會去翻譯,然後亦或是你拍張照它就會幫你翻譯,可是這個都還是會延遲都還是會有時間
[31:02] 如果說有這樣一句,它真的可以像就像是Siri它曾經給大家一個夢境
[31:07] 就是說它那個螢幕呢它是有一個感知功能的,它可以直接看著這個螢幕上的東西呢立刻就跟你做互動,類似像大家講說AirPods要出一個攝影機的嘛
[31:16] 其實我是非常期待就是低延遲的AI可以加入到我們的生活裡面
[31:21] 包含說剛剛前面講的那些工作應用,其實我覺得效益都會再拉到更高。
[31:26] 可是當然這些東西都沒有辦法立刻的去給你一個保證,就是你因為這樣可以帶來多少的績效。
[31:32] 但是它幫你心理的那個踏實感是真的建構的蠻穩的,所以有時候我甚至覺得這有點像Possible Effect,有點像是就是安慰劑效應的感覺。
[31:43] 你過往下單的時候可能不太穩,因為你是先買再研究之類的,但是現在你下單的時候其實你都是非常有自信的。
[31:48] 但是這不影響就是可能以最近那種震盪的盤勢,你可能不然現在就會被幹到停損啊,或者說回去想一想越想越不對勁啊,還是會去做一些減嘛,這都還是會發生啊。
[31:57] 所以我覺得市場這個地方有趣的是,因為競爭者重,各行各業的人都在,然後再來就是會用AI的人也是一大堆,所以你無法感受到AI為你帶來一種那種壓倒性的優勢。
[32:10] 但是它可以讓你整個心態變穩,有點像那種玄學面,讓你心態變穩,讓你在做決定的時候更有莫名的自信產生,這個是確實會發生的事情。
[32:21] 所以其實講到後來我自己都會覺得說,好像有點心虛,這到底AI幫了我什麼東西?沒錯,它真的是幫我變成一個更強大的人。
[32:27] 可是因為就是在市場這種充滿不確定性跟各種隨機事件都可能會發生的地方,
[32:33] 就算有一個超級AI幫你分析了什麼有的沒有的東西,你對一個產業跟買點都是研究到非常透徹。
[32:40] 因為這樣子,你選擇要開一個大槓,你最近也看到那個Situational Awareness,他非常的了解,你說在AI的領域有多少人可以比他理解?很少,但那個槓開到這麼大就還是會爆炸。
[32:52] 那你說我槓不要開這麼大就好了,對,你不要開這麼大的話,你可能最終你拉長看你也是跟某種半導體指數,說不定也是差不多,或者說贏人家一點點而已。
[33:01] 這幾個部分是在AI上投入指數等級的開銷,所以最後算起來也不一定是划算的。
[33:07] 這是近期在AI使用上的一些感受,順便把自己的工作流程跟大家分享。
[33:13] 雖然聽起來有點玄幻,但是我覺得如果自己有下去做的應該可以懂我在講什麼。
[33:17] 反正就是你盤中識別到訊號,然後現在後端的處理,有一個AI可以幫你去做。
[33:21] 最終你還是開槍的人,只是開槍下去到底會不會打中獵物,會不會有好的結果。
[33:27] 跟後段的AI,我覺得一開始你以為說關係很大,但最終發現說因為會使用這個工具的人太多了,所以甚至你現在會有感的感受到市場好像有一點變得更有效率了,就是有一些東西即便它目前只是在過往來說它這個地方不應該漲這麼多,但它現在就先狂噴了,所以你就算有一些資訊的優勢,你可能會聰明反而被聰明污衣,反而會在後面的一些回檔裡面受一些傷害,因為它可能就一次反應完了,所以市場的節奏也變得非常快。
[33:53] 我覺得因為市場有一些新的變化,所以導致你很難去量化到底你的工作跟AI所帶來的output有什麼超級大的直接的關係。
[34:04] 我覺得是很難去講出來的,所以待在這邊稍微跟大家分享一下自己的一些心得。
[34:09] 好,那接下來我們來進入Q&A的部分,第一位Max。
[34:12] 孟恭、猛男你好,你說買體驗比買東西重要的概念讓我購物癮好了很多,那也希望9月可以動起來找工作。
[34:19] 另外可以跟8月24日生日我說那四個字嗎?生日快樂!也祝孟恭跟廣大聽眾身體健康、績效衝破外太空!
[34:28] 我前幾天看到新聞還是什麼,有講到說韓國有一個購物網站,嚴格上來說它不是購物網站,它是一種去滿足你多巴胺的網站,就是你可以把一堆東西放進去購物車,你可以挑選,然後接著還可以選擇運送,但這個東西一輩子都不會來,好像獲得蠻多人的喜好,所以這或許也是一個解方吧。
[34:47] Pika Ping Pong Ping Pong Ping Pong Ping Pong Mo
[34:51] Nestor Wu 安 孟恭大 你好 絕對其要說我女友生日 希望孟恭 Chika 可以開金口用客家話跟大家說那四個字
[34:58] 阿美歐歐 祝美食獵人尼亞生日快樂 願你能夠保有最純粹的心 你永遠是最棒的
[35:06] 那另外如果留言成功 希望把圖示換成生日蛋糕的圖樣
[35:10] 也衷心感謝您的節目能夠在這個動蕩的世界給予我們一處放鬆療癒的空間
[35:15] 也祝Chika一家和聽眾們都能夠平安順利、健康、績效飛高高。
[35:20] 那我們祝美食獵人妮雅生日快樂,也希望你們兩個百年好合。
[35:24] 下面一位,竹北庫里。
[35:26] 孟恭Chika,你好,我是小小地方泌尿科醫師。
[35:30] 十分感謝孟恭Chika陪伴了我各種通勤上班的時間。
[35:33] 最近有件工作上的困擾,想要請教孟恭Chika。
[35:37] 我目前在地區醫院上班,穩定穩定,但是覺得自己年逾40,體力不太能夠負荷值班,
[35:43] 股癌 掛號 熬夜要花好幾天補眠 昂寇值班時或是病人狀況不穩時 心理壓力有點大 有點影響到生活
[35:51] 現在有個機會可以在附近的診所工作 收入理論上差不多可能甚至還多一點 可以少去值班的壓力
[35:56] 但是夜診的時間比較多 掛號一週兩次到三次到九點半
[36:01] 小孩準備要上小學了 覺得去診所可能會少一些陪伴小孩平日晚上或是陪他們念書聊天的時間
[36:08] 感覺各有好壞 但還是想偷偷請教孟恭取嘎的想法
[36:12] 謝謝!祝孟恭一家人身體健康、闔家快樂!紅顏路比長紅!
[36:16] 另外,蕭南資本有沒有機會投資開發手遊出去外面以及客廳顧小孩不能使用電腦?
[36:23] 首先非常感謝這位兄弟的祝福!
[36:26] 蕭南資本目前我們是有手遊的規劃,也有自己開發遊戲的規劃,所以除了去投別人的遊戲,想都沒有想到我們自己也會成為開發商的一員。
[36:37] 所以希望後面可以端出一些有趣的東西讓大家玩。
[36:40] 然後再來講說這個小小的困擾,不知道什麼,我直覺就是應該是要選附近的診所,因為一個是你要On Call,要值班,然後接著病人的造成心理壓力什麼的,那個確實是對於一個,怎麼說,我雖然不是醫師,但是我光是去意淫你,這樣講怪怪,就是說我把自己置入在你的身體裡還是很怪,反正就是我將心比心,我將心比心,我可以了解就是在那種比較大醫院裡面呢,
[37:08] 確實醫生可能壓力是比較大啦,我們身邊或是說像我自己的鄰居、家裡的親戚、有一些醫師,我感受是這樣子,就是大多數人可能還是覺得在診所的生活會比較好一點。當然這可能有一點以偏概全或什麼,但至少我在身邊感受到的體驗是這樣子。雖然說可能會有一些夜診的時間,一週兩次到三次,可是我覺得還OK啦,因為你的時間可能整個變彈性嘛。
[37:33] 然後在假日陪伴小孩的時候可能也不用擔心說隨時接到電話要幹嘛。
[37:37] 所以雖然有一些固定的時間感覺是被拿走了,但是你換來的是其他時間的一種清閒感。
[37:43] 那我覺得清閒感是非常重要的,這也是我一生在修煉的課題之一。
[37:47] 這就是我每次出來玩的時候,有時候會覺得遺憾,有時候也會覺得蠻討厭自己,就是為什麼我會一直想要去做自己工作相關的東西。
[37:57] 但最後面A君跟我講的東西我是有釋懷的,他說其實你是喜歡的啦,就你嘴巴在那邊抱怨,但你是喜歡的,如果今天不讓你去做這些事情,你可能也會覺得很憂鬱。
[38:06] 那你去做了你可能也會很憂鬱,因為就覺得說好像你沒有花太多時間陪孩子,或是為什麼你要把自己搞得壓力這麼大,那所以可能就是去抓中間的一種平衡吧。
[38:13] 我自己會認為,直覺來看,可能去診所會相對好一點吧。
[38:18] 但我不想去干預人家一生的選擇,只能夠說如果是我,我把自己放在你的鞋子裡的話,我去想,我也覺得是這樣子。
[38:25] 下面一位,指書邊邊一點。
[38:28] 孟恭孟恭,我老婆絕對要生日,請你幫忙說生日快樂。謝謝生日快樂。
[38:31] 孟恭是我老婆少數認可的男人,掛號邊宥錫是第一名。
[38:36] 邊宥錫是誰啊?
[38:38] 謝謝孟恭常分享直男的想法,讓我老婆比較可以理解男生減少認知上摩擦的衝突。祝孟恭舉牙一家平安快樂,聽眾大家一起抱賺。
[38:48] 然後再來講說直男的想法,就是自從你們一直在講說什麼直男巧合,然後很直男之後呢,我老婆也在社群上看到這些東西,然後她非常的不以為然,她就說你就是一個臭直男。
[39:01] 這就是我自己的感受,我自己的感受是很難,所以並不是說我真的在什麼兩性關係或是跟老婆跟家人的相處上特別有一套,我只是比較趕而已,就是我知道蠻多人他會演啊,他會裝,然後可能從婚前一路裝,裝到婚後,然後最後面受不了,終於爆炸,啊我就從以前到現在都不裝,而且我甚至是還蠻驕傲我不裝這件事情,並不是說什麼我是白爛啦,我還是會去改變,還是會進步,還是會去妥協,那只是呢,就是盡量不去演,那最後面發現說,其實兩性關係,其實我覺得不管男生或是女生都一樣,可是我覺得發現說你給人家,
[39:31] 這就是我的諺語,你給他你的手掌,最後面你整隻手都被吃下去,就是軟土生絕啦。
[39:35] 那所以有些底線應該要踩住,然後有些想法就算可能看起來是比較不正確一點,但是他就是你的想法嘛,那每個想法都是值得被聽到的。
[39:44] 然後再加上現在的世界上可能有蠻多那種脫獸或者說工具人,然後他們會讓一些女生可能會有些錯誤的期待,就覺得說男生好像每個都應該是這樣,像一條狗之類的。
[39:54] 可是實際上就不是這樣子啊,那反過來說女生也是有一些在雷的,然後讓其他女生感覺是被誤會。
[40:00] 所以我覺得就是說溝通啦,你要直接把你真正的想法講出來。
[40:04] 當然可能還是用一點修飾,可是你該講的一定要講,因為你演你最後面是沒有辦法持久的,就是終有一天呢是要坦誠相見的。
[40:13] 然後到那一天如果說前面累積的能量太多都沒有事發,反而會大爆炸。
[40:17] 我大概講了,下面一位Chiu Pa Mi Po La,孟恭、瓜寶,同為1992年出生的台灣人,第一次留言謝謝瓜寶分享的投資觀念,
[40:26] 例如 Never putting all your eggs in one basket, or buying in small batches。
[40:30] 從2020年跟著股癌進入股市,秉持這個觀念在投資道路上每天都可以好好睡覺,因為只是耐迷糊。
[40:37] 但也靠著投資讓自己更了解市場,學習更多知識,完全認同瓜婆說的,累積在自己身上的東西帶來的踏實感非常重要。
[40:45] 祝孟恭利薩諾、Enzo、秋口全家身體健康、開心過好人生中的每一天。
[40:52] 安卓是誰?
[40:54] 安卓是誰?怎麼我們家突然多一個安卓?
[40:57] 那下面一位,今年我30了,還是上面又是一個未來人?
[41:02] 上面那個是未來人嗎?
[41:03] 可是我不覺得就是家裡有什麼新的成員,我有可能會幫他取名叫安卓之類的。
[41:08] 今年我30了,安安孟恭,我是在2020年被放無薪假時開始接觸股票和聽你的節目,但我是氣憤仔,今天特地留言是希望你多講一點戒菸的好處,除了自己健康,對於身旁人的感受,甚至是運氣有沒有可能?
[41:21] 感謝孟恭祝一家平安幸福快樂
[41:25] 關號By the way Lisa真的好美
[41:27] 今天帶來最直接的好處就是呢
[41:30] 你早上起來的時候你覺得喉嚨沒有痰
[41:32] 光是這個就超讚的
[41:34] 因為你可能講是抽了很久的菸的話
[41:36] 你已經忘記其實你早上起來你是不用感覺到什麼你喉嚨是痰之類的
[41:40] 然後再來你去爬樓梯或是去做甚至不是極力的運動
[41:43] 只是走個小山丘之類的你不會感到喘
[41:46] 當然也有可能說因為你抽很大所以你已經習慣了
[41:49] 你的身體其實是一個蠻厲害的機器,所以你可能就是靠一些肌力訓練耐力訓練搞到就算你抽菸你還是有相當程度的肌耐力之類的。
[41:58] 但如果說你把菸戒掉,你會實質的感受到你的體力立刻就去做了一個藥神。
[42:03] 再來就是身邊的人可能比較不會側目跟白菸你,然後你也省下蠻多時間,比如說什麼走出去抽菸之類的。
[42:09] 就很像那種女生以前在國高中,我們去上廁所,然後三個人一起手牽手跑去,其實男生跑去抽菸也很像。
[42:15] 我們一起抽菸,然後三個人手牽手跑去吸菸區,然後在那邊抽菸之類的。
[42:19] 所以就是可以省掉這一些,我甚至會覺得說小麻煩的,就你不用找地方抽菸之類的。
[42:26] 那再來,省錢也是一個嘛,像我以前抽菸的時候是一天都會抽掉兩包左右,然後外加我都會去抽那種最高劑量的。
[42:33] 所以以前我最愛什麼就紅麻婆跟黑七星,這絕對不是推薦啊,就是說過往的一個壞習慣,都直接往那個可能劑量最高的去攻,然後覺得說很爽。
[42:43] 確實就是在可能不知道飯後啊或者說剛睡醒
[42:47] 然後或者是在壓力很大的時候去來一根就覺得非常的輕鬆
[42:52] 但最終就發現說其實那個輕鬆感呢
[42:55] 你可以很簡單的透過深呼吸就去交換到
[42:59] 其實你會發現說你喜歡抽菸的一個主因
[43:02] 蠻多人會以為說是抽菸本身很爽
[43:05] 不是其實你喜歡的可能是在壓力過後
[43:08] 然後可能是在辛苦過後的深呼吸
[43:11] 因為我們人其實沒有多少機會深呼吸,但是你抽菸的時候就是強迫你自己走到戶外去呼吸,對吧?
[43:18] 有些人可能會去那種吸菸室,但我覺得吸菸室,像我自己在抽菸的時候我也最討厭去吸菸室,我幹嘛要聞大家的言諱之類的?
[43:24] 那所以你可以試看看一個最簡單的做法,就是你在熱炒店,大家在那邊歡騰,很大聲,然後接著就是走到戶外,這時候不是把菸拿起來,這時候就在那邊這樣。
[43:37] 好,那你會感受到,哇,原來吸菸的新快感的主因其實在這一邊。
[43:41] 當然裡面的尼古丁可能也有幫忙你一點那種戒斷效應,然後讓你整個人舒服一下。
[43:45] 可是其實我覺得最關鍵的真的是呼吸。
[43:48] 然後抑或是可能考完試或是早上起床,你就走到戶外,就是你平常會抽菸的地方去深呼吸。
[43:54] 這是我之前的一個小發現,然後後來上網去找就發現有些人有類似的一個心得。
[43:58] 就是你抽菸喜歡的可能是那個深呼吸,而不是菸本身。
[44:03] 那帶來的好處就講不完,除了前面體力之外,再來就是,
[44:06] 我是比較不能夠去想像,因為我是孩子生之後我就已經早就戒嚥了嘛。
[44:12] 我是在想像說如果今天是在有孩子的時候抽嚥,你可能還要去跟他解釋說爸爸這個是什麼東西。
[44:17] 你不可以抽,可是我在那邊抽,就很怪嘛。
[44:20] 然後他可能會覺得說你很臭之類的,因為我孩子對味道也蠻敏感的。
[44:24] 所以應該說好處是講不完的啦,希望大家都可以順利的完成戒嚥。
[44:29] 那你再說什麼身旁的人的感受之類的,我以前是這樣,我會很害怕別人的眼光。
[44:35] 所以抽菸的時候就會盡可能的閃去隔壁
[44:38] 所以你會覺得說自己像一條狗嘛
[44:40] 要閃到很旁邊然後不要去影響別人
[44:42] 我知道有些人是不屌啦
[44:43] 就邊走邊抽啊或說那麼菸蒂亂彈之類的
[44:45] 就盡量不要去做這樣的事情
[44:47] 反正身邊的人一定也會感受比較好
[44:48] 沒有人會喜歡說我身邊最好擺兩個會抽菸的人
[44:51] 覺得很爽 沒有
[44:52] 那時候是我在戒菸的時候
[44:53] 我才會覺得說我蠻喜歡待在抽菸的人隔壁
[44:55] 就偷吸一下
[44:56] 但後來就完全沒有這樣子的一些煩惱跟問題了
[44:59] 那再來說運氣有沒有變好
[45:01] 我覺得運氣一定會變好欸
[45:03] 我自己是這樣認為
[45:04] 雖然不是說什麼煙害你的運氣變差,就只是蠻多人都不喜歡煙啊。
[45:09] 所以當我今天知道你要去抽煙的時候,我雖然不會在心中幫你畫一個查,就說你是抽煙,你就是壞影響,bad guy,不會這樣。
[45:17] 但如果說,怎麼說,就是你今天那種各種小的不好的印象,你全部都堆疊在我的身上的話,那我是不是對你的看法就會有一些改變?
[45:27] 所以我相信說你不抽煙的話,絕大多數人應該都是對你會比較加分的,那種隱性的加分應該有。
[45:32] 所以說運氣會變好,有可能就會變好。
[45:34] 那下面一位Neo,聽到孟恭喜歡極限返航,雖然我沒有看過,但聽你的描述讓我想到黑洞頻率這一部電影。
[45:41] 那這是一部科幻劇情片,描述跨時空拯救父親的生命,彌補了童年的遺憾,但產生了一連串的蝴蝶效應。
[45:49] 好,非常感謝你的推薦,有空去把它找來看看。
[45:51] 下面一位陳鳥蛋,Dear 孟恭 Chika,我太太的哥哥是您的忠實聽眾,常常聽他分享您的Podcast內容。
[45:58] 他一直以來有心臟的問題,最近因為病情惡化、心衰竭,還沒有度過危險期,正在等心臟移植,看著他承受這麼多的疾病、病痛,真的是很心疼。
[46:10] 全家人都在身邊陪著他,希望可以挺過這一關,麻煩孟恭主委對他說聲,陳永健早日康復,也祝福主委一家健康平安,謝謝。
[46:18] 那我們希望陳永健可以順利的起來,現在也才三點。
[46:24] 那下面有位奧斯卡卡。嗨嗨孟恭我老公午安。What do you call a fish with no eyes?
[46:31] Fish FSH
[46:34] A fish with no eyes
[46:36] 那為什麼是會少掉一個i
[46:39] 1.5分
[46:42] 其實也沒有想要說什麼
[46:43] 感謝老公製作優質節目陪伴我上班日常
[46:47] 也讓我可以介紹您的節目給我的好朋友C君
[46:50] 每次跟C君討論到您的QA我們都可以哈哈大笑
[46:53] 您的人生經驗也讓我們學習到很多。雖然C君已經離開我的生活圈,但是希望可以借孟恭金口送給C君四個大字,愛您為愛您。
[47:03] 天公啊,落水啊。
[47:08] 下一位是Song1A。
[47:11] 經過很多次的小產跟病痛的折磨後,透過課金,去年底終於加入捏軟陣線。
[47:17] 8月20日是我們的14年周年紀念日。
[47:20] 我想跟婷說,謝謝生命中有你以及兒子誕生的歡樂。
[47:23] 最後我做了一個免費證照管理APP叫做證照王,輸入licenseking30,送給各位免費一個月Pro,祝孟恭跟聽眾們都身體健康資產翻倍。
[47:35] 非常恭喜這位創業家,也希望你們全家平安一切順利。
[47:39] 下面一位,三花貓四祖,孟恭大你好,第一次留言,希望可以變電到今天8月21號是我老婆生日,可以幫我跟她說那四個字嗎?
[47:47] 不是啊,那四個字到底是什麼梗啊?為什麼每個人都在講說那四個字?你要講生日快樂,生日快樂,那四個字到底是什麼啊?
[47:53] 天乾物燥
[47:55] 今年老婆問我生日想要什麼
[47:57] 我回說我想要孟恭大的留言祝福
[47:59] 結果立馬回絕
[48:01] 是說這願望是不是太困難
[48:03] 還是應該要要求比較貴重的禮物
[48:05] 那總之謝謝孟恭大一直以來的節目陪伴
[48:07] 要一直健康快樂愛你我愛你
[48:09] 呃沒有啦其實留言應該是沒有這麼困難啦
[48:11] 我看以前的留言確實是蠻瘋狂的
[48:13] 現在他的留言應該是相對容易拍到
[48:15] 那希望你們順利
[48:17] 下面一位Karl
[48:19] 孟恭chka你好我大概從200集開始入坑的
[48:21] 我從200級開始入坑的,當時才剛上大學,現在已經大學畢業一年,要考培訓機師了,謝謝你陪伴我們聽眾這麼多時間,真心祝福你的家庭,期待某天在林口可以遇到這個素未蒙面的老朋友。
[48:33] 最後想要大推一部劇叫《大熊餐廳》,真的很好看,我相信你一定會喜歡。
[48:37] 這個也是已經在我的歷史上面蠻久,因為很多聽眾都在推了,有空去看一下。
[48:41] 下面一位Max Lai,嗨孟恭,知道你喜歡那種抽離的孤寂感,我大推我最愛的愛爾蘭後遙團《God is an Astronaut》。
[48:49] 聽者就像是隻身漂浮在無垠的宇宙中,時而真空,時而死寂,時而激昂殘酷,見譽夜深人靜時照著以下順序聽。
[48:58] 深空失重,Always Violent, Always Bright,恆星爆裂,Suicide by Star,鮭魚虛無,Fragile, Enjoy。
[49:19] 謝謝孟恭陪伴我好幾年的通勤度,但總有打斷我與您聲音相處的狗幹道路。
[49:25] 台南市政府交通局聽者豎鼓大道整段,機車道雙向圓孔蓋,凸到碾到軟氮會震掉。
[49:34] 汽車道都有左右專用號誌,機車道應該要進行汽車,不然一大堆大車跟機車牆道很危險,讓我通勤的路上平平安安順順利利可以嗎?
[49:43] 我們希望這可以讓有關單位台南市政府的交通局可以聽到
[49:47] 如果說我認識了幫忙稍微傳遞一下
[49:49] 希望可以去解決相關問題
[49:51] 好那這位拜拜
