[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由NordVPN贊助
[18:12] 有時候是比較照進了一點
[18:14] 那其實你從他在過往的一些做法
[18:18] 你就可以看出一些端倪
[18:19] 就像說他在2025年的9月的時候
[18:21] 他們曾經去辦一個party
[18:22] 去找Jay-Z來表演
[18:23] 就花了6800萬
[18:25] 那接著隔一段時間之後
[18:27] 卻砍了這麼多人
[18:28] 所以其實在很多人的眼中
[18:29] 就會去知道說
[18:30] 那就代表說
[18:31] 你在財務上面是比較沒有紀律的
[18:33] 這是一個非常荒謬的對比
[18:35] 那所以呢
[18:36] 甚至他有可能只是把AI當成是一種藉口
[18:39] 然後去做裁員
[18:40] 你說AI會不會對這些企業造成影響
[18:42] 一定會
[18:42] 只是他自己本身是一個
[18:44] 就是可能在僱員上面
[18:46] 是沒有這麼有紀律的人
[18:47] 亂花錢的人
[18:48] 所以藉由AI作為一個令箭
[18:50] 然後去砍人
[18:51] 我認為是這樣子
[18:52] 你說AI有沒有影響
[18:53] 一定有
[18:53] 只是他自己可能過度的招聘
[18:55] 才是最核心的理由
[18:57] 但未來陣子一定會有很多
[18:58] 企業用類似的理由
[19:00] 去針對人員做一個專輯
[19:02] 這個我覺得都是會看到的
[19:04] 但最近有一篇報道
[19:05] 我覺得蠻有趣的
[19:06] 就是在Citadel這邊
[19:07] 他們發出一個報道
[19:09] 然後有這個Indie的一個資料顯示說
[19:11] 在2026年初
[19:12] 美國軟體工程師的職缺
[19:13] 是年增的11%
[19:15] 如果搭配圖表觀看的話
[19:17] 就會發現蠻震撼的
[19:18] 我覺得這個反彈是很強勁
[19:19] 但如果說你把圖表的格局
[19:21] 拉得更大一點
[19:22] 就會發現說
[19:22] 相較於2020到2022的高峰點
[19:24] 這個軟體開發職缺
[19:26] 還是少了大概三分之一左右
[19:27] 所以算有量的一個補回
[19:30] 但是我覺得用我們股票的術語來說的話
[19:32] 就是那種前一波的主力被洗掉
[19:34] 然後再換新一波的主力進來
[19:35] 就是雖然一樣是看軟體工程師的總量
[19:39] 就像是看股票的一個chart
[19:40] 可是裡面的構成的人員
[19:42] 其實已經產生了蠻多結構性的改變
[19:44] 被裁掉了很多那種CRUD開發
[19:46] 客服行政相關的工程師
[19:48] 但新增了蠻多AI ML資料工程
[19:51] 資安跟FDE工程師
[19:53] FDE算是最近比較紅的一個職缺
[19:55] Foreign Deployment Engineer
[19:56] 其實它就有點類似說
[19:57] 工程師然後搭配Sales
[19:59] 再搭配PM的一個角色
[20:01] 也就是我要去把AI
[20:02] Deploy到你公司的話
[20:03] 很多時候是這樣
[20:04] 我必須要進去教你
[20:05] 怎麼樣去做使用
[20:05] 我要去串你的資料
[20:06] 所以它甚至是有一點
[20:08] 那種PM的味道在裡面
[20:09] 它要去了解你公司
[20:10] 到底在做什麼
[20:10] 這個是現在算是
[20:12] 比較火紅的職缺
[20:13] 它的佔比沒有到很大
[20:14] 可是它的成長率是非常好
[20:15] 在India的資料上面
[20:17] 是顯示說
[20:17] 它依然也是成長了800%
[20:19] 如果今天是Bloomberry的資料
[20:20] 它成長1100多%
[20:22] 所以是一個高速成長中的職業
[20:24] 那再來就是AI ML Gen AI工程師
[20:26] 這個不用講
[20:27] 大家應該知道說他會增長的不錯
[20:28] 大概有一個40%的年增率
[20:29] 那如果是帶有Generation AI的
[20:31] 關鍵字值確的話
[20:33] 也是成長了大概有一兩百趴以上
[20:35] 那後段的工程師呢
[20:36] 也算是成長的蠻不錯的
[20:38] 所以整個格局有一些改變
[20:40] 我覺得我們現在看到這個反彈呢
[20:42] 並不是
[20:43] 當然我自己也是很反對一下
[20:45] 那種AI Doomsday Point
[20:46] 可是他並不是拿來反擊
[20:48] 這些人的一個說法
[20:49] 說你看吧
[20:49] 你不是說AI要把軟體吃掉
[20:51] 那怎麼軟體還在逆勢的起來
[20:53] 它其實是結構上產生一點改變
[20:55] 就有點類似說可能不知道
[20:56] 就電腦出來
[20:57] 一開始會讓一些人失業吧
[20:59] 可是後面會去找一些
[21:00] 會用電腦的人來補這個職學
[21:02] 所以最後面你拉長看
[21:03] 可能發現說
[21:04] 受聘人員的數量反而是不減反增
[21:06] 這個是有機會會產生的一個現象
[21:08] 那如果你今天是專注在軟體裡面
[21:10] 就要說這個軟體的工程師
[21:11] 他產生一些質變
[21:12] 那有一個反彈的出現
[21:14] 那這個反彈呢
[21:15] 其實不是把過去的工作補了
[21:16] 而是換新的工作開始進來
[21:18] 當新的工作開始進來之後
[21:20] 可能新的工作
[21:21] 也會發現說
[21:21] 他們有一些新的需求
[21:23] 新的需求可能因為這樣
[21:24] 會創造出一些
[21:25] 我們在過去
[21:25] 不一定有看過的職業
[21:27] 所以其實整體看起來
[21:29] 我覺得是一個
[21:29] 整個格局的改變
[21:31] 不用把它解釋成為
[21:32] 是一個非常負面的事情
[21:35] 說什麼AI會奪走
[21:36] 很多人的工作
[21:37] 會
[21:37] 就是真的有人的工作
[21:38] 被拿走
[21:38] 但AI其實也開始在
[21:39] 創造一些工作
[21:41] 所以其實對這件事情的評價
[21:42] 我個人還是認為說
[21:43] 比較偏向是Jack Dorsey
[21:45] 可能自己在財務
[21:46] 跟招聘紀律上面
[21:47] 沒有做好
[21:48] 特別是前面馬斯克
[21:49] 已經演過了
[21:50] 我可以把你Twitter的人
[21:51] 裁掉80套
[21:51] 我還是可以做出
[21:52] 一樣的事情
[21:53] 我相信很多人
[21:54] 應該覺得說在Square
[21:55] 或者說Block的架構之下
[21:57] 他們的人可以裁掉很多
[21:58] 應該都還是可以
[21:59] 做一樣的事情
[22:00] 但至少有去裁員
[22:01] 就是好事
[22:02] 對於公司的營運來講
[22:03] 財務數字會變得
[22:04] 更加的好看
[22:05] 接著我們之前
[22:06] 有跟大家討論到
[22:07] 其實現在的市場
[22:08] 我是認為說
[22:09] 不確定性是變高
[22:10] 特別像是
[22:11] 美國最高法院
[22:12] 去擋下川普的關稅
[22:15] 然後再來
[22:15] 在伊朗這邊的戰爭風險
[22:17] 最近是有顯示說
[22:18] 在美國跟中國都已經是宣佈說
[22:21] 要請當地的國民立刻出來
[22:23] 要去撤僑
[22:24] 中國這邊也是有發出說
[22:26] 反正他們會透過民航機
[22:27] 然後跟陸路的方式
[22:28] 儘量的把自己的僑民給撤出來
[22:30] 我們現在也觀察到
[22:32] 在波斯灣這邊
[22:33] 是有很大幅度的軍力集結
[22:36] 這可能是從2003伊拉克戰爭以來
[22:38] 史上第一次這麼多人在那邊
[22:39] 所以我不知道
[22:41] 就感覺說人都到了
[22:42] 區域的一些小衝突至少會發生
[22:45] 會不會演變成那種比較大型的戰鬥
[22:47] 我們不確定
[22:48] 但有可能就是會有衝突的產生
[22:50] 所以可能或多或少去解釋
[22:52] 為什麼美股的表現會比較軟一點
[22:54] 至於為什麼亞洲股市會這麼屌
[22:56] 至今我是比較難以去形容
[22:57] 我也不知道為什麼會有這樣的一個情形
[22:59] 所以其實把我們自己的一些
[23:01] 對於市場的假設跟分析
[23:02] 套在美股覺得說
[23:03] 是還蠻OK
[23:04] 可是解釋不了臺股
[23:05] 臺股真的也懶得去解釋了
[23:07] 反正就這樣吧
[23:08] 那就報道
[23:09] 反正有常例可以出來再去做一些調整
[23:11] 美股這邊
[23:11] 我覺得說因為不確定性
[23:13] 是持續的在做加大
[23:15] 所以除非這個不確定性
[23:16] 有告一個段落
[23:17] 不然不會輕易的去把部位打滿
[23:19] 或是上槓
[23:20] 而是持續的去做觀望
[23:21] 特別是其他市場
[23:22] 也沒有真的拉出一些
[23:23] 所謂新的主流的題材出來
[23:26] 在過去比較強的是一些
[23:27] 光通相關的類股
[23:28] 像臺灣人非常愛的AOI
[23:30] 在我昨天看是
[23:31] 媽的噴了四五十趴
[23:32] 超級恐怖
[23:33] 前面也是把
[23:34] 我身邊絕大多數人都洗掉了
[23:36] 我相信現在留在上面的
[23:37] 都是那些
[23:37] 可能部位沒有壓太大
[23:38] 才有辦法留住
[23:39] 壓很大其實全部都被洗掉
[23:41] 所以看下來就還是光通相關的東西
[23:43] 是比較相對強勢
[23:45] 那其他東西並沒有走出一些
[23:47] 那種非常強勢的主流主權
[23:49] 特別在科技股這邊
[23:50] 所以持續的去做觀望
[23:53] 那戰爭相關的討論
[23:54] 我們就不會去做太多的一個論述
[23:56] 因為對於這種所謂的什麼戰機
[23:58] 怎麼樣部署啊
[23:59] 或者要怎麼樣打
[24:00] 那個我們不是專家
[24:01] 我們沒有辦法什麼事情都去做評論
[24:02] 但對我來說
[24:03] 這個就是一個不確定性白那邊
[24:05] 所以對市場有一些潛在的影響
[24:07] 包含說油價啊
[24:08] 科技供應鏈啊
[24:09] 或是臺股相關
[24:10] 軍工相關
[24:11] 美元相關
[24:13] 美債
[24:13] 這些可能都是
[24:14] 在後面會產生一些變化的東西
[24:16] 可是要去看到一個
[24:17] 可能趨勢的產生之後
[24:19] 我們再去跟大家做討論
[24:20] 會比較準確一點
[24:21] 那最後我們聊一下
[24:23] 被動元件
[24:24] 那上次跟大家聊到
[24:25] 被動元件的時候
[24:26] 是有稍微提一下
[24:27] 就被動元件的一些
[24:28] 那種主流的
[24:29] 比較大家的公司
[24:30] 其實大家都注意到
[24:31] 他們的股價表現
[24:32] 是相對的強勁
[24:32] 那至於我自己
[24:34] 是把它排在
[24:35] 就假設我現在
[24:35] 要在臺股這邊
[24:36] 去做加碼的話
[24:37] 我認為說
[24:38] 它是在tier的順序是比較後面一點的
[24:40] 那主要的理由
[24:41] 在上次跟大家分享是說
[24:43] 因為我覺得它中小型的股票的走勢
[24:45] 其實沒有這麼好
[24:46] 就理論上一個東西真的要噴的話
[24:47] 它會一個族群性
[24:49] 就全面都一包上去
[24:50] 但剛講完
[24:51] 然後我們在過去的這幾天的交易
[24:53] 就是注意到臺灣的一些
[24:55] 相對中小的被動元件
[24:56] 其實都開始去做轉強
[24:58] 所以於是像這樣子的一個市場的變化
[25:00] 在我的心中就覺得說
[25:01] 如果要去做加碼的話
[25:03] 它可能就會又再跑到更前面的一些tier
[25:05] 就是你要看整體有沒有走出去
[25:06] 那當然這個股價方面
[25:08] 我們就簡單跟大家小聊一下
[25:09] 我們最主要就會討論說
[25:10] 在產業方面
[25:11] 有沒有注意到一些
[25:12] 新的變化或是有趣的事情
[25:15] 那首先呢
[25:16] 我們都知道說
[25:16] 在臺股的一些被動元件
[25:18] 在前面的贏家在漲的時候
[25:20] 其實他們都已經有去做調漲
[25:22] 然後在日本的巨頭呢
[25:23] 其實價格也是有去做調漲
[25:25] 就目前我們知道說
[25:26] 像是這個淡電容
[25:27] 是漲了大概15到30%左右
[25:28] 晶片電阻也是漲20%
[25:30] MLCC線會漲20%
[25:31] 那電感磁珠
[25:32] 就是相關的被動元件
[25:34] 其實很多東西都在去做調漲
[25:36] 那目前整個產業的狀態是一個那種像K型分化的感覺就是在高階AI然後或者說部分的車用裡面是供不應求在消費級這邊是持續的去承受到壓力所以如果你今天純用產業的角度來看的話
[25:51] 就理論上應該往
[25:52] 可能像日本的一些大廠
[25:53] 春田TTK這些去做壓住
[25:55] 因為他們是在AI的一個
[25:57] 最主要的一個受惠者
[25:58] 但我自己心中的一個猜想
[26:00] 特別是在過去記憶體的行情
[26:02] 我們知道說在記憶體的行情裡面
[26:03] HBM它確實是一個供不應求
[26:05] 然後表現很好的一個族群
[26:07] 可是在後面的一個漲價階段的時候
[26:09] 你會發現說像一些DDR5的毛利
[26:11] 你是跑贏HBDM的
[26:12] 然後或者說DDR4的漲價
[26:14] 甚至是漲贏DDR5的
[26:15] 所以那些看起來是很通用品的東西
[26:18] 可能在缺貨的狀況之下
[26:19] 我們都知道說高階的東西
[26:21] 是大家市場上最缺的
[26:22] 可是因為大家都知道那個東西缺
[26:24] 所以廠商都把產能往那個地方去擴
[26:26] 所以導致一些那種中低階的東西
[26:28] 可能被放出來大家都不要
[26:29] 一瞬間導致供需失衡
[26:31] 所以就是有可能價格會漲得比較猛一點
[26:34] 所以像是2018被動元件職軟
[26:35] 也是這樣子一個狀態
[26:36] 那我們現在就有在思考
[26:38] 就我們知道說高階的MLCC
[26:39] 或者一些相關的電容電感
[26:41] 我們都知道說它的表現是很好
[26:43] 這已經完全不用討論
[26:43] 因為在一個AI伺服器裡面
[26:45] 只要用到大量這樣子的一個元件
[26:47] 一個單一機櫃的MLCC
[26:49] 用量可能就是四五十萬顆
[26:51] 如果是手機的話就只有1000多顆
[26:52] 所以非常的高
[26:54] 大家都知道這好
[26:54] 可是除了在高階很好之外
[26:57] 在中低階的部分
[26:58] 有機會在後面
[26:59] 可以看到一些訂單的事出
[27:00] 那這個我跟身邊的一些產業人士
[27:02] 去做討論
[27:03] 我們是判斷說
[27:04] 日系的一些大廠
[27:06] 在後面有機會退出一些
[27:08] 那種比較低階的被動元件
[27:09] 比較低階的電容
[27:10] 就是消費性的
[27:11] 他們可能就比較左
[27:12] 他們全部都要轉向去高階的方向
[27:14] 在這個低階的部分就有機會
[27:16] 當然現在是一個
[27:18] 比較偏向猜測的狀態
[27:19] 可是我們也有在供應鏈看到
[27:20] 確實有一些缺貨的情形
[27:22] 開始發生了
[27:23] 至於會不會缺貨大漲價
[27:25] 會不會像機體這樣
[27:26] 我們不敢去做一個直接的連線
[27:28] 但確實是有看到說
[27:29] 因為當大家把產能
[27:31] 都是往高階的方向去的時候
[27:32] 中低階就有很多東西會放出來
[27:34] 所以它其實跟過去幾次
[27:36] 那種缺貨漲價的一個醞釀
[27:37] 其實已經有點類似了
[27:39] 然後這方面做確認
[27:40] 可能就等到說
[27:40] 之後有公司出來跟你講說
[27:42] OK 下這個東西開始缺貨
[27:43] 哪一個大廠目前退出
[27:45] 就像之前我們知道說
[27:46] 三星可能他們要去關掉一些
[27:48] 那種過往可能不叫
[27:50] Legacy的記憶體的產線
[27:51] 如果這樣的情形出現的話
[27:52] 那就有機會會要出事情
[27:55] 所以像我自己又會再一次
[27:57] 可能回去關注一下被動人
[27:58] 即便我還在強調
[27:59] 就像臺股的題材真的太多
[28:00] 你在美股這邊
[28:01] 你不太確定什麼東西
[28:03] 可以下去接到
[28:04] 因為族群性沒有走出來
[28:05] 可是臺股因為太多選擇了
[28:07] 所以不知道
[28:08] 就我會再觀察一下
[28:09] 但就是有看到說
[28:10] 在被動元件這邊
[28:11] 除了高階很旺大
[28:12] 都知道之外
[28:13] 現在開始有一些
[28:15] 就是那種中低階的東西
[28:16] 要被丟出來
[28:17] 我們就看一下臺廠
[28:18] 有沒有機會趁這個勢頭
[28:20] 然後去接到很多的訂單
[28:22] 接下來我們可以瞭解到的是
[28:24] 春天還會有大概兩波的漲價
[28:26] 當然這就偏向市場rumor
[28:28] 我們的一個探索
[28:29] 我們有看到
[28:30] 大概可能會有兩波漲價
[28:32] 然後在春天漲價之後
[28:33] 可能在TTK
[28:35] 或者說三星電機
[28:36] 都會跟著去做漲價
[28:37] 臺系的大廠
[28:38] 像國巨
[28:38] 會不會也去跟
[28:39] 不知道
[28:40] 市場上有一個說法是說
[28:41] 不一定會
[28:42] 每個漲價都去跟
[28:43] 因為可以趁你漲價的時候
[28:45] 我不漲價
[28:45] 然後去搶市站
[28:46] 這也是有機會的
[28:47] 所以相關的變化
[28:48] 我覺得在後面會很劇烈
[28:50] 我們就等到
[28:51] 到時候有發酵的時候
[28:52] 再跟大家做更多的分享
[28:54] 所以以上
[28:55] 就是我們今天
[28:55] 要跟大家聊的一些東西
[28:57] 那接下來我們就來進入Q的部分
[28:58] 第一位
[28:59] 阿力的老公何金盈
[29:00] 我家有個小安保
[29:02] 我心推推好評
[29:02] 安保兩個月了
[29:03] 逐漸習慣育兒模式
[29:05] 新手爸媽都辛苦了
[29:06] 那想問問孟公
[29:07] 高速傳輸以及光通訊
[29:09] 兩個不同科技的看法
[29:10] 還是未來會是光同並行呢
[29:12] 感謝愛寧
[29:13] 我們現在看到的狀況
[29:15] 就是在光的發展
[29:16] 在近期是非常的強勢
[29:18] 其實我覺得是由TPU
[29:19] 帶起市場這樣的一個討論
[29:21] 然後剛好又trigger到
[29:22] 其實市場本身
[29:23] 在光的部分
[29:24] 我們都注意到
[29:24] 這個投片量的數字
[29:25] 持續的上升
[29:26] 然後在接下來GTC
[29:27] 高階率老黃
[29:29] 也會端出一些光相關的solution
[29:31] 但是其實這不代表
[29:33] 銅就是不行
[29:33] 其實我們在銅這邊
[29:34] 還是看得到
[29:35] 未來一段時間的數字都會不錯
[29:37] 但確實按照其他市場的氛圍
[29:39] 就是大家是完全的在買光
[29:41] 然後就儘可能的去sell銅
[29:43] 是你在美股可以看到
[29:45] 一個非常強烈這樣的一個趨勢
[29:47] 那未來的一段時間
[29:48] 都還會是光銅並行
[29:49] 那只是在股票投資方面
[29:51] 當然如果你覺得光是比較有未來的
[29:53] 那光下的估值其實相對高
[29:55] 那當然高可以再更高
[29:56] 你就選擇去往那個方向去佈局
[29:58] 那像我自己的話
[29:59] 光跟銅我都是有去做持有
[30:01] 那因為光就走出去
[30:02] 所以光就持續的加
[30:03] 那銅的話
[30:04] 其實在找機會去做介入
[30:06] 我覺得我要看到一個大反彈
[30:07] 再來做處理
[30:08] 下面有位大豬豬
[30:09] 留言密碼找不到
[30:10] 終於回來這邊的
[30:12] 安安主委
[30:12] Spotify留言密碼好難抓
[30:14] 一直顯示稽核中
[30:15] 沒有什麼想問的
[30:16] 相信主委
[30:16] 祝我跟老婆小豬豬
[30:18] 1月31號結婚
[30:19] 兩週年快樂
[30:19] 也祝主委一家跟股友們
[30:21] 新年快樂
[30:22] 身體健康
[30:23] 持股黨黨噴高高
[30:24] 敢愛你會愛你
[30:25] 其實Spotify留言是最簡單的
[30:27] 因為它顯示稽核中
[30:28] 只是說在我這邊
[30:29] 就是我要去按確認
[30:31] 它才會把它公佈出來
[30:32] 只是我不會去把留言
[30:33] 按確認公佈出來
[30:34] 所以當你留完的當下
[30:35] 我就已經可以立刻看到
[30:36] 它是瞬間的
[30:37] 它不像Apple Podcast這邊
[30:39] 是就是你可能留下去
[30:40] 然後你要看Apple什麼時候
[30:42] 資訊卡會把它丟出來
[30:43] 就所謂留言密碼
[30:44] 那在Spotify這邊
[30:45] 就是完全的
[30:46] 反正你只要一留言
[30:47] 它就會立刻在我的後臺
[30:48] 去做顯示
[30:48] 我自己有測試一下
[30:49] 是這樣的一個情形
[30:50] 那樣啊
[30:51] 就我們下禮拜三
[30:51] 就會回到Spotify
[30:52] 那如果有太多股票討論
[30:54] 我們一樣會跳過
[30:55] 因為雖然有些聽眾
[30:56] 有不同的意見
[30:57] 就你知道
[30:58] 我們那個節目這樣錄下來
[30:59] 每個人都有他喜歡的part
[31:00] 那我最喜歡的聽眾
[31:01] 就是那些他全部都喜歡的
[31:02] 無條件支援的
[31:04] 我愛你
[31:04] 那有些就會覺得說
[31:05] 那我想要多聽一點QA
[31:06] 有些說我想要多聽一點
[31:08] 什麼股票
[31:08] 有些說我想要聽前面的育兒
[31:09] 有些說
[31:10] 我希望在QA裡面
[31:11] 什麼不要有祝福的
[31:12] 像之前就會有出來
[31:13] 罵那種祝福仔
[31:14] 那有些說我想要聽多一點股票
[31:20] 我的意願
[31:21] 就我會覺得說
[31:21] 股票已經聊這麼多
[31:22] 所以我希望在QA
[31:24] 聽到一些乾的東西
[31:26] 一些那種怪小聽眾
[31:27] 一些奇怪的
[31:28] 有的沒有的
[31:29] 一些什麼感情家庭
[31:30] 或者說朋友
[31:31] 或者是育兒
[31:32] 我喜歡這類的東西
[31:33] 因為股票的
[31:33] 我回答到很膩
[31:34] 所以就會覺得
[31:35] 我想要往那個方向前進
[31:37] 大概這樣
[31:37] 但其實各種多元的言論
[31:39] 我們都還是歡迎
[31:40] 希望大家平安健康
[31:41] 下面一位
[31:42] henwen0322
[31:44] 孟公新年快樂
[31:45] 大新年好
[31:46] 想問一下關於美股的配置
[31:47] 是否預先考慮過
[31:48] 高額遺產稅的問題
[31:49] 不知道能否分享您的應對方案
[31:52] 或者是有什麼對一般小資族的建議
[31:54] 在此祝您滿年大吉
[31:55] 夫人公子秋口都平安健康
[31:57] 其實美股的稅務方面有一些
[32:01] 這個我就應該是不會在節目上面講
[32:03] 我也不是要故意賣關子
[32:04] 但你去找會計師問一下
[32:06] 大家稍微討論一下
[32:07] 去討論一下美國對於股
[32:09] 對於債
[32:10] 對於一些資產的課稅的方式
[32:13] 我就發現這些關鍵字去查一查
[32:15] 你會找到一些東西
[32:16] 就是一定是有方式可以去合法的
[32:19] 然後去稍微的規避一些稅
[32:21] 那要走比較土炮的方式
[32:23] 也是沒有問題
[32:23] 你就是反正
[32:24] 你每年只要有賺錢
[32:26] 你就搬一點回來
[32:27] 因為它是算獲利的
[32:28] 它不是算說
[32:29] 你總額是多少
[32:30] 你只要在可能
[32:31] 就是不會被課到
[32:32] 太多所值稅的狀況之下
[32:33] 慢慢的搬回來
[32:34] 那是沒有問題的
[32:35] 然後或者是
[32:36] 其實你死掉的東西
[32:37] 我還是這樣覺得
[32:38] 死掉的東西不要想太多
[32:39] 你就給它課一筆
[32:40] 那課完之後回來
[32:41] 有多少就用多少
[32:42] 你不一定要去講究
[32:43] 說什麼百分之百
[32:43] 都要完全到家人的手裡
[32:45] 如果說你真的會擔心這個的話
[32:49] 做一些處理之類的
[32:50] 或者說直接用付委託
[32:51] 這都是選項
[32:52] 這付委託當然也會遇到
[32:53] 類似的討論在未來會發生
[32:55] 只是目前可能是
[32:56] 付委託算是
[32:57] 有一種那種漏網
[32:58] 給解釋的空間在裡面
[33:00] 可是在國外的就會直接遇到
[33:01] 但其實這個你去找一些會計師討論
[33:04] 都可以去找出一些解方
[33:05] 接下來兩個就是
[33:06] 如果你今天的財產已經高到
[33:08] 你會有稅務的問題
[33:09] 你千萬不要在網路上
[33:10] 亂聽網友的建議
[33:11] 你直接找會計師問
[33:13] 這是我給普羅大眾的建議
[33:15] 大概這樣
[33:16] 下面一位
[33:16] 東施笑評不笑腸
[33:18] 夢跟我老公
[33:19] 看老公的IG
[33:20] 打完電波也太有感
[33:21] 整個生活等了幾周沒有等到
[33:23] 想問之後會出現在節目資訊欄的連結嗎
[33:25] 不然想衝去打了
[33:26] 對沒錯
[33:27] 就是那時候找我去的那個軍企
[33:29] 那軍企他們在後面是我們的sponsor
[33:31] 只是就是
[33:32] 因為我們節目的廣告
[33:34] 那個力探大概是三到四個月以上
[33:36] 也就是說你現在跟我說
[33:38] 你要有一個廣告的合作
[33:39] 你下次出現是在三個月以後
[33:41] 所以會有一個這個地緣的情形產生
[33:43] 那有興趣的朋友可以後面再等看看
[33:45] 那我自己目前的心得的話是
[33:48] 其實醫美真的有差
[33:49] 可以理解為什麼這麼多人喜歡打醫美
[33:51] 大概這樣的感受
[33:52] 下面一位
[33:52] 無助的捏軟陣線成員
[33:55] 太長跳過
[33:56] 下面一位
[33:56] NV to the moon
[33:58] 夢宮大大你好
[33:59] 先生下班回家想睡覺的時候
[34:01] 會想要播你的節目
[34:02] 然後就在沙發上躺著聽
[34:04] 大概聽不到五分鐘就睡著
[34:05] 我都不知道他在聽古來
[34:06] 還是在聽睡前的故事CD
[34:08] 那可以幫我用老婆的聲音跟先生說
[34:10] 喵喵快去洗澡
[34:11] 愛你
[34:12] 確實蠻多人用我們節目來睡覺
[34:14] 那對我來說
[34:15] 我不管你是怎樣的一個衍生應用
[34:16] 我都認為是對我的一種支援
[34:18] 所以非常感謝
[34:18] 下面一位
[34:19] 古海書童
[34:20] 我是算命仙
[34:21] 笑死多頭太久
[34:22] 一堆人就開始問股票的問題
[34:24] 我掐指一算
[34:25] 不出七七四十九個交易日內
[34:27] 指數必定回檔超過20%
[34:29] 不要打電話來問我
[34:30] 說為什麼知道
[34:31] 因為我衰啦
[34:32] 哈哈哈哈
[34:33] 年輕人我們夢中相見
[34:34] 其實後來發現說
[34:36] 我之所以可能對於一些股票的留言
[34:38] 會相對的反感
[34:39] 就特別是當密集出現的
[34:41] 就像以前如果是偶爾跑出來
[34:43] 你應該沒有聽得出來
[34:44] 我有反感的感覺
[34:45] 可是當密集出來
[34:46] 我會有一些比較
[34:47] 就你聽一下我比較躁
[34:48] 那我覺得可能跟我的肌肉記憶有關係
[34:51] 每次一堆人在問股票的時候
[34:52] 真的屢試不爽
[34:53] 每次一堆人在問
[34:54] 就早晚都會罰
[34:56] 所以的早晚就說
[34:57] 有時候罰是不到一個月之後
[34:58] 有時候是兩個月之後
[34:59] 反正一罰的時候
[35:00] 你過去的都會被套牢
[35:01] 所以確實是
[35:02] 每次很多人在問的時候
[35:03] 感覺都會出問題
[35:05] 也有可能是因為這樣子
[35:05] 我就比較不喜歡
[35:06] 一堆人整天在那邊問股票相關的
[35:08] 奇怪掉下來的時候
[35:10] 沒有人要問
[35:10] 早上去的時候拼命問
[35:12] 拼命追
[35:12] 然後之後又要問說
[35:13] 為什麼他會下跌
[35:14] 就是這樣的monkey
[35:15] 真的超多
[35:16] 下面一位
[35:16] Hi Bill
[35:18] Some might say
[35:19] 括號接著唱
[35:21] Some might say
[35:23] The sunshine follows thunder
[35:26] Go and tell it to the man
[35:29] Who cannot shine
[35:30] 不知道
[35:32] MK好
[35:33] 雖然我是男的
[35:34] 但還是想說你好帥又可愛
[35:35] 那最近聽到
[35:36] 群聯調整的付款條件的訊息
[35:38] Bill的故事會當作是
[35:39] 預測到要跌了先收錢的
[35:41] 還是真的只是被上游漲價缺現金
[35:44] 所以先收錢的
[35:45] 這個聽眾這樣講
[35:47] 我還真的沒有去想過這個方向
[35:49] 就是因為群聯那個是一封
[35:51] 反而就是給客戶的notice
[35:53] 我相信在市場圈的人士都有收到
[35:55] 就是當然他不是往市場圈的人士去傳
[35:58] 只是市場圈就很多資訊傳來傳去
[36:00] 然後就提到說
[36:01] 要開始去收一些預收款
[36:03] 一般來說我們看到這種預收款
[36:04] 我們的解釋是
[36:05] 反而就是供不運求
[36:07] 那你必須要先可能在我們這邊付定金
[36:09] 像臺積電你要去付定金
[36:11] 他才給你產能
[36:11] 不然我為什麼要給你
[36:13] 他這麼缺
[36:13] 所以一般會往利多的方向去解釋
[36:16] 像你這種往利空的方向去解釋
[36:18] 是比較少一點
[36:19] 我們是單純的針對這個事件去做分析的話
[36:23] 會覺得說他是偏向利多
[36:24] 至於一個利多會不會去促進股價
[36:27] 在更進一步的往上
[36:28] 不一定
[36:29] 因為很多東西他已經漲很多了
[36:30] 當高檔一直丟利多
[36:32] 然後沒有漲的時候
[36:32] 我們會相對警覺一點
[36:34] 但那個事情
[36:35] 其實我們比較不會把它當成是一種利空去解釋
[36:38] 我覺得要完蛋了
[36:39] 我先跟你收錢
[36:40] 不一定
[36:41] 但確實你這樣講也沒有問題
[36:43] 因為像一些LTA
[36:44] 我們過去看到
[36:45] 突然間要跟你去籤一堆LTA的時候
[36:47] 要去鎖價格的時候
[36:49] 很多時候你回頭看
[36:50] 就發現那個地方就是相對高檔
[36:52] 可能當時去籤LTA之後
[36:54] 後面又再漲一段
[36:54] 但就已經是高原期了
[36:56] 很多時候我們回頭看是這樣子
[36:57] 只是我不知道
[36:59] 很多人都說這是不一樣
[37:00] 我們再持續的看下去
[37:01] 下面一位高雄John
[37:03] 潛水的古埃粉
[37:05] 孟公大大好
[37:06] 最近行情好到不可思議
[37:07] 每天都要告訴自己不要膨脹
[37:08] 聽說孟公的觀音鬥愛很靈驗
[37:11] 特地來求觀音鬥愛
[37:12] 保佑我父親癌症治療順利
[37:14] 可以再陪我們生活個18年
[37:17] 治療成功會捐出每月薪資50%
[37:19] 持續18年
[37:20] 也祝孟公大大一家平安健康
[37:23] 績效天天創新高
[37:25] 這個屌
[37:26] 這真的屌
[37:26] 18年薪資要捐一半
[37:28] 只求他父親可以身體健康
[37:29] 我覺得老天一定會許你的願
[37:31] 這個太厲害太偉大
[37:33] 下面有位
[37:33] 哪尼
