[00:00] 欢迎收听谷爱,我是星梦宫
[20:05] 一定会有很多的鬼故事丢出来
[20:07] 那这时候大家就要去
[20:09] 考验一下自己的记忆力
[20:10] 如果你的记忆力好的
[20:11] 你就比较不容易
[20:12] 会上这样子的一个圈套
[20:14] 怎么说
[20:14] 像在过去的几个回档
[20:17] 我们不用讲到太远
[20:18] 你就抓过去
[20:19] 你拉那个加权指数来看
[20:20] 过去几个
[20:21] 讓你有痛過的地方
[20:22] 當時回檔的故事是什麼
[20:24] 說不定我現在問你 你都忘記了
[20:25] 因為等到後來信號你就忘記了
[20:27] 就沒有人會再去記得那樣子的東西
[20:29] 可是在當下的時候
[20:30] 你可能會一直把這個東西
[20:31] 拿出來放很大
[20:32] 是不是要出事情或什麼的
[20:34] 只是我覺得這些消息的東西
[20:37] 它某個程度上就是短線的一種衝擊
[20:38] 它針對一個該發生的長線的敘事
[20:42] 其實不會去造成太多的改變
[20:44] 所以包含像是AI所造成的一些
[20:46] demand的需求
[20:47] 然後或者是一些components
[20:49] 现在可能出现
[20:50] Lead Time开始去拉长
[20:51] 价格开始往上走的一个情况
[20:54] 它不会因为短期的消息而改变
[20:56] 会改变是什么
[20:57] 会改变的是股价
[20:58] 会受伤是什么
[20:59] 是你买在高位的
[21:00] 高成本的部位
[21:02] 可是其实对于这个公司
[21:04] 或是对于未来的一些前瞻性
[21:05] 我个人是觉得没有什么
[21:06] 太大的影响跟变化
[21:08] 特别是我自己下去看这个市场
[21:10] 我会觉得还算是
[21:11] 没有到非常的疯狂
[21:12] 在相对的中性
[21:14] 等到整个市场
[21:15] 可能大家都开始去买什么
[21:16] 卫星AI Data Center
[21:18] 然后或者说开始去买一堆机器人肋骨
[21:20] 机器人肋骨变成市场的主轴的时候
[21:22] 那就真的要担心
[21:23] 因为那些东西可能就是在短期内
[21:25] 真的是比较难看到数字的东西
[21:27] 但最近身边有些朋友又在跟我分享说
[21:29] 其实现在在机器人附近的讨论非常多
[21:32] 像有一个人去参加了
[21:34] 反正美光的某一种会议之后
[21:35] 然后出来就给我看了大量的PDF
[21:37] 反正就是他们是非常看好机器人的一个发展
[21:40] 虽然速度没有这么快
[21:42] 就搞不好是三年后五年后之类的
[21:43] 可是已经开始去注意一些规格的东西
[21:46] 所以在我的角度是
[21:47] 只要后面都持续的有故事存在
[21:50] 然后没有一些国际事件的重大冲击的话
[21:52] 其实还是会去把每次的这种拉回
[21:56] 或者修正都视为是一种机会
[21:57] 就是你过去讲说
[21:58] 上不了车的
[21:59] 你看真的车回来给你上
[22:01] 还是一堆人不会上
[22:02] 然后下次再问说
[22:03] 为什么股价可以炒这么疯狂
[22:04] 因为真的给你机会的时候
[22:06] 其实你会注意到
[22:07] 绝大多数人他根本就是不敢上
[22:08] 可是你说我们这种
[22:10] 就是早就已经在车上的人
[22:11] 会在这个机会就立刻去做补偿吗
[22:14] 其实也还好
[22:15] 特别是这家市场的结构
[22:16] 真的是还蛮特别的
[22:17] 不然说
[22:18] 其实你要再去搞
[22:19] 额外的资金加
[22:20] 是很困难的
[22:21] 这是第一点
[22:21] 然后第二点是
[22:22] 下游蛮多东西都
[22:23] 因为前面炒太凶了
[22:25] 所以就变成是处置股
[22:26] 所以你要再去加
[22:27] 处置股东西也很奇怪
[22:28] 所以以我自己
[22:29] 就是说用
[22:30] 谢梦宫本位的角度来看
[22:32] 就是
[22:33] 我有蛮多股票
[22:34] 下游拉出去
[22:35] 但我就不会想再去买
[22:37] 那些可能处置
[22:37] 我一定要等你关出来
[22:39] 就是如果我知道
[22:40] 说我要再被关的话
[22:41] 那又已经出了几次
[22:43] 这种态度矫正
[22:44] 然后跟信仰考验
[22:45] 你就会担心说
[22:46] 因为首先就是说
[22:47] 如果这种信仰考验
[22:48] 跟态度矫正越来越多
[22:49] 然后盘没有去往上重划
[22:50] 那军线会拉平
[22:51] 那当军线开始拉平之后
[22:53] 就是后面可能就真的来一个超大的
[22:55] 那如果你到时候东西
[22:56] 全部都卡在那种
[22:57] 流动性超低的东西
[22:58] 那是非常恐怖的
[23:00] 所以就是有可能
[23:01] 就会想要往更大的方向去
[23:03] 然后外加
[23:03] 前面朋友大家在讨论所讲到
[23:05] 就是我要知道你的营收跟获利
[23:07] 有放在那边的东西
[23:08] 是我们的选项
[23:09] 但是这是以现在的角度来讲
[23:11] 就是你也知道
[23:12] 我们节目的这个变化
[23:13] 跟谈信息是蛮大的
[23:14] 就像可能我们在年初的时候
[23:15] 是在大量的讲卫星
[23:17] 因为那时候其实就预判说
[23:18] 等到这个SpaceX上市的时候
[23:20] 你去注意那些卫星类股
[23:21] 一定全部都已经在右上角
[23:22] 那现在回头看
[23:23] 就真的全部都在右上角
[23:24] 可是我自己其实就只有做
[23:25] 一月多到可能
[23:26] 不知道就三月那一段之类的
[23:27] 那后面就是都放给别人了
[23:29] 但后面都还蛮大的一段子
[23:30] 那就不属于我了
[23:31] 那所以一样的道理就是
[23:32] 我现在可能会想注意的是
[23:34] 这一些有流动性
[23:35] 然后又有成绩
[23:36] 又是比较扎实
[23:37] 就是那种老牌名牌的东西
[23:39] 那可是当然就是
[23:40] 如果等到这个盘变好
[23:41] 说不定有一些新一波的想法
[23:43] 但整体来说
[23:44] 自己在这几天的行情
[23:47] 是没有做什么操作
[23:48] 基本上就是没有动
[23:49] 因为你也不能动
[23:50] 然后其实如果可以动的话
[23:51] 应该也不会动
[23:52] 因为在礼拜一跌停
[23:53] 然后礼拜六涨停
[23:54] 然后礼拜三还有新高
[23:55] 其实还有新高的东西
[23:56] 我们都不会太担心
[23:57] 就算它可能过程中
[23:58] 非常的bumpy
[23:59] 但它只要一直有在刷新高
[24:01] 然后没有出现那种什么
[24:02] 出货大黑K
[24:04] 或者是突然间爆量
[24:05] 在我们的角度都觉得说
[24:07] 反正可以再继续等看看
[24:08] 因为太多东西
[24:09] 已经是拉出去了
[24:10] 所以这个可能是自己
[24:11] 或是身边一些资金家
[24:13] 对于这个市场的评价
[24:15] 所以整体来看
[24:16] 我觉得刚才前面所提到的一些事件
[24:18] 台积电的那个涨价
[24:19] 应该算是一个蛮好的力度
[24:21] 然后再来Semi Analysis所发的
[24:23] 大家说是放雷的那两件事情
[24:25] 自己看起来是觉得还好
[24:27] 它有点像是说
[24:28] 就帮市场稍微的reality check一下
[24:30] 可能有些那种信仰不坚的
[24:32] 就会在过程之中
[24:33] 就被它给洗出去了
[24:34] 那也好啦
[24:35] 因为一个东西要涨的话
[24:36] 就是要把一些人洗掉
[24:37] 类似说我们那时候
[24:38] 在24年的7月
[24:40] 然后还有外加
[24:41] 像在关税战那时候
[24:43] 你就注意到说
[24:44] 有时候筹码这样子
[24:45] 上面卡一堆人
[24:46] 就是一堆人被洗掉之后
[24:48] 他才会继续再走下一波
[24:49] 不然每个人都在车上
[24:50] 到底换谁进来抬轿
[24:51] 那个车那么重
[24:52] 一堆人可能想要解套
[24:53] 就立刻丢掉
[24:54] 所以大洗一波
[24:55] 说不定是一个蛮好的事情
[24:57] 最后面
[24:58] 我们就稍微来看一下
[24:59] Apple的WWDC
[25:01] 整体来看
[25:02] 我认为没有什么
[25:03] 太多新的亮点
[25:05] 反正Apple就是更加的聚焦
[25:06] 要把手機做好這件事情上面
[25:09] 同時跟Google合作去做一些模型
[25:11] 自己當然也有一些本家的模型去做一些應用
[25:14] 像我自己之前的一個猜想是如果蘋果它是要去做一個收過路費的模式的話應該是還蠻不錯的應該是有機會可以賺到蠻多錢而且不用去扛巨大的capx那現在看起來呢
[25:25] 他們是要去走一個折衷的路線
[25:28] 特別是像我們今天有跟大家分享說
[25:29] 其實蘋果在
[25:30] 那是哪裡啊
[25:31] 反正就是桃園那附近有一個
[25:33] 好像什麼航空城工業區還是什麼
[25:35] 反正他們在那邊是有在搞伺服器
[25:37] 那蘋果是有自己的伺服器還是會去做頭部
[25:39] 而且是那種精品等級的東西做得很好
[25:41] 所以呢他們還是要去做
[25:42] 他們也想說走一個那種折衷路線
[25:44] 就是他们没有像那些巨头们
[25:46] 花大量的钱去砸
[25:47] 他就是可能一部分的东西是用我的
[25:49] 然后一部分东西是跟Google合作
[25:51] 那当然那种term and deal
[25:52] 可能要在后面再去做一些验证
[25:53] 但不是那种存过路费的一个模式
[25:55] 他们决定还是要把一些主控权
[25:57] 放在自己的身上
[25:58] 那我觉得这个在AI时代
[25:59] 可能是一个
[26:00] 怎么讲
[26:01] 就是他看起来是一个保守牌
[26:02] 但他或许是选择了一个正确的路线
[26:04] 因为大家就会担心说
[26:05] 如果你手上没有模型的话
[26:06] 是不是所有的主控权
[26:07] 都会放在别人的身上
[26:08] 但这件事情
[26:09] 我自己是不会这么的担心
[26:10] 因为我还是跟大家强调过
[26:12] 就是我觉得模型之间的差异
[26:14] 特别是走到越尖端之后
[26:17] 已经开始越来越不明显了
[26:19] 就是不会像之前说
[26:20] 好的模型跟坏的模型差非常大
[26:22] 在迭代之间还会互相超越之类的
[26:25] 所以我不会认为说
[26:27] 他不去做自己的模型就不好
[26:28] 但如果可以因为他去
[26:30] 还是有去投入伺服器去做自己模型
[26:32] 让大家稍微安心一点的话
[26:34] 他把过路费模式给降低
[26:36] 或甚至不去走
[26:37] 这样子来换取市场的一种信心的话
[26:39] 其实是还蛮不错的
[26:40] 那再来呢
[26:42] 就像我之前跟大家讲到说
[26:43] 我觉得苹果可能最大的亮点之一
[26:45] 是它的萤幕感知的功能
[26:47] 因为Agenting AI呢
[26:48] 目前我自己是已经是长期都在去做使用
[26:51] 因为反正不管是晚上要念孩子的故事
[26:54] 请AI去生一个故事
[26:56] 然后或是去做插图
[26:57] 这个他都做得非常好
[26:58] 而且我可以事后不理
[27:00] 反正我刚刚讲完之后
[27:00] 时间到东西就会去生出来
[27:02] 然后或者是像最近的一些事件
[27:04] 你要去请他做调查
[27:05] 这个事后不理的一个操作呢
[27:07] 其实下来已经是自己有办法把它做得非常好
[27:10] 那我觉得它也不是什么稀有的东西
[27:11] 但就是说还临门一脚差一点
[27:13] 差在哪
[27:14] 就是如果我今天手机上的一些画面
[27:17] 然后可以在Apple的这个萤幕感知之下
[27:19] 它可以立刻的去帮我去做更多的自动化的话
[27:22] 那我会认为说
[27:23] 我跟手机的绑定就更高了
[27:25] 就类似说它像是那个SADA的那种行动装置一样
[27:28] 它除了传送之外
[27:29] 应该蛮多事情都可以帮你做好
[27:31] 那所以我觉得这是苹果后面的一个杀手键
[27:33] 就是说去扩大它用户的base
[27:36] 然后特别是在这一波记忆体的大涨价之下
[27:39] 我們目前期待說蘋果的數量還是會越來越好
[27:41] 至少會贏過他同業非常多
[27:43] 所以他拿下很多的BASE
[27:45] 然後接著變成是一個更加去
[27:47] TerraMate個人化使用的一種裝置
[27:49] 我覺得這在AI時代對他來說是站在一個很好的位置
[27:53] 其他方面沒有什麼特別好聊的
[27:55] 反正都是跟之前是差不多
[27:57] 只是在模型的滋用上
[27:59] 本來以為說他會走一個去抽過路費的方式
[28:03] 然後現在變成他選擇自己也要偷洗下來
[28:05] 這就是半套就做半套
[28:07] 反正就是一個比較折衷的方式
[28:08] 那曾经来看还是非常看好的
[28:10] 那只是当然这可能要等到说
[28:12] 资金跑去消费性的时候
[28:13] 才会想进去
[28:14] 就是我对苹果是非常看好
[28:15] 那只是目前你很明显可以看得出来
[28:17] 说资金没有往消费性跑
[28:19] 前面有试着要去往一些PMIC跑
[28:21] 那之后有些就立刻被掐席了
[28:23] 其实PMIC是有故事的
[28:25] 那只是被掐席掉之后
[28:26] 就觉得说那再看一下好了
[28:28] 所以应该是要等到说
[28:29] 就是前往消费性跑之后
[28:31] 我才会对这个东西比较有兴趣
[28:32] 但长期来说对这家公司
[28:34] 目前不会认为
[28:35] 像可能过去大家聊到的
[28:36] AI会把它杀掉
[28:38] 或者把它取代掉之类的
[28:39] 你看前面不是有讲说
[28:40] 蛮多安卓手机AI功能多厉害
[28:42] 以后谁还要换iPhone
[28:43] 你后面看销量就会知道说
[28:45] 那些说法是很奇怪
[28:46] 可是在当下
[28:47] 大家就真的会去把这个说法
[28:48] 当成是好像是某一种真相
[28:50] 然后去解释说
[28:51] 你看Apple就是因为这样子
[28:52] 才会跌之类的
[28:53] 就类似说你看下
[28:54] 大家看到这些光通
[28:55] 或者说一些可能800V
[28:57] 相关的伺服器在跌
[28:58] 然后就会讲说
[28:59] 这个是因为可能Semi-Analysis
[29:01] 发什么东西
[29:02] 但是等到后面创新高的时候
[29:03] 就No one cares
[29:04] 没有人会再去提到这样的东西
[29:06] 所以这就是
[29:07] 我觉得每波修正
[29:08] 大家要学会的一个东西
[29:09] 那种大家
[29:10] 在当下非常担心的东西
[29:12] 很多时候你事后回头看
[29:13] 就发现说
[29:13] 它真的没有什么大不了
[29:14] 它只要不要对公司的本质
[29:16] 造成一些那种毁灭性的破坏
[29:18] 或者说它不会有什么违约
[29:20] 或者说可能票开不出来
[29:22] 会立刻倒掉的情形
[29:23] 其实蛮多都是在过程之中的
[29:25] 一些那种小风风雨雨而已
[29:27] 所以整体来看
[29:28] 还是会期待说
[29:29] 等到这一波修正结束之后
[29:30] 还是有机会可以再继续看
[29:32] 说有什么东西可以做多
[29:33] 那只要等后面才比较明确
[29:35] 那现阶段就只能够用
[29:36] 自己的角度去看
[29:38] 我会觉得说
[29:38] 我想要有流动性好的东西
[29:40] 我想要有成绩好的东西
[29:41] 类似这样子去做一个安排
[29:43] 大概这样子
[29:44] 好那这边让我们加进去的部分
[29:45] 第一位
[29:46] 纯水英子安
[29:47] 某工大哥
[29:48] 您觉得之后会像Cyberpunk一样
[29:50] 人机合一吗
[29:51] 这样就不会有什么身体痛的问题了
[29:54] 那会不会有神机错乱呢
[29:56] 好希望Neuralink可以做的跟动画里面一样
[29:58] 那可以像我这种废物也可以变强
[30:01] 哇好兴奋啊
[30:02] 还有您看Cyberpunk的时候有哭吗
[30:04] 我哭的是娘炮吗
[30:05] 那爱您全家安康哦
[30:07] Cyberpunk本身是没有哭啦
[30:09] 但是那个
[30:10] 就是有Lucy的那一部动画
[30:12] 那个是真的是非常的感动
[30:14] 很喜欢
[30:14] 然后再来讲说
[30:15] 会不会看到这个
[30:16] 人机合一的世界
[30:17] 一开始应该是
[30:18] 比较偏向一些残障人士
[30:20] 或是英雅人士
[30:22] 然后透过Neuralink
[30:23] 或是透过一些
[30:24] 可能不知道
[30:24] 智慧意志的方式
[30:26] 然后开始重新的
[30:26] 去获得一些能力
[30:27] 那应该还要等很久
[30:30] 才会看到说
[30:31] 一个正常人
[30:31] 然后透过人机合一的方式
[30:33] 去加强他的
[30:34] 什么运动表现
[30:35] 或是什么有的没有的东西
[30:36] 我觉得那个可能还要
[30:37] 有一段时间
[30:37] 那个太科幻了
[30:39] 大概这样子
[30:39] 那下面一位
[30:40] 安安你好
[30:42] 几岁给亏吗
[30:43] 公公台中有很多的
[30:44] 大坪数房子
[30:45] 不考虑吗
[30:46] 四房五房一定都是可以的
[30:47] 而且电梯不太会遇到人哦
[30:49] 那甚至有某建案
[30:50] 号称秘书会全力帮忙
[30:52] 控制电梯
[30:52] 不要遇到人
[30:53] 搜寻一下9955的住处
[30:55] 我觉得蛮不错的
[30:56] 不太会遇到人
[30:57] 来台中当邻居吧
[30:58] 首先手一起去吃
[30:59] 皮诺可可爱宁
[31:00] 其实我最早去选择林口
[31:03] 是因为我想要去离开台北市
[31:05] 然后去找人少一点的地方
[31:06] 那只是家在林口
[31:07] 算是定下来
[31:08] 因为小朋友在那边念书
[31:09] 那这个念书的地方
[31:11] 就是可以一路直升到高中的
[31:13] 那说不定后面就衔接
[31:14] 不管是在台湾
[31:15] 或者去海外念大学之类
[31:16] 这个太远了
[31:17] 我没有办法去想象
[31:18] 那总之就是目前觉得
[31:19] 这边养小孩子非常合适
[31:21] 所以因为是想要没有人而来
[31:23] 然后是因为可能教育
[31:24] 是还相对方便就留下来
[31:26] 其实我们家身边
[31:27] 蛮多这种林口的地方爸爸
[31:28] 很多都是因为教育的原因
[31:30] 所以选择这个地方
[31:31] 那会不会去台中
[31:33] 不知道
[31:33] 就是以下来看
[31:34] 应该是没有这样子的规划
[31:36] 对台中的话就是地大物博
[31:37] 什么东西都有
[31:38] 对之前有想过
[31:40] 但以下来看应该是
[31:41] 不会有这样的规划
[31:42] 下面一位
[31:43] 你好
[31:46] 听到你近几集的分享
[31:48] 想推荐你玩玩红酒之后
[31:49] 可以尝试看看耳机跟音响
[31:51] 同样一首歌
[31:52] 用不同等级的训员
[31:53] 不同等级的设备
[31:54] 会听到完全不一样
[31:55] 很多以前听几百次
[31:56] 都没有听过的声音会出现
[31:58] 非常有趣
[31:58] 那依你的实力
[32:00] 耳机应该可以直接攻顶深海的大澳
[32:03] 音响太深奥了
[32:04] 就等你攻顶之后分享了
[32:06] 期待听到孟宫曲卡的心得
[32:09] 首先我觉得
[32:09] 红酒我本身以为会是一个
[32:12] 玩完一轮就结束的兴趣
[32:14] 然后现在很意外的发现
[32:15] 它应该非常有潜力
[32:17] 变成一个长线的兴趣
[32:19] 因为前面对我来说是
[32:20] 我想尽快的去了解市场上的一些大物
[32:23] 或是大家吹捧的东西到底是什么
[32:25] 所以就透过一些酒商
[32:26] 快速的把很多东西都找来
[32:28] 所以一开始是用这种激辛菌的方式
[32:31] 跟杂钱
[32:31] 然后快速的去了解
[32:32] 那现在已经变成说
[32:34] 我觉得有玩出兴趣了
[32:35] 所以有时候当我注意到说
[32:36] 一些自己喜欢的地块
[32:38] 那可能有
[32:39] 我自己没有听过的酒庄有做
[32:42] 我也会非常感兴趣
[32:43] 然后立刻就下单
[32:44] 希望可以喝看看
[32:45] 所以现在会对于一些
[32:47] 自己可能喜欢的口味
[32:49] 那别人去酿造的
[32:51] 也感到很大的兴趣
[32:52] 然后注意到说
[32:53] 它是一个很有趣
[32:55] 且水很深的地方
[32:56] 这个水很深是好的
[32:57] 就是说他并不是说一下子就可以探索完
[33:00] 他其实应该是可以花好几年
[33:02] 甚至是上十年以上去探索
[33:04] 即便是用我这样子一个速度
[33:05] 那当然我现在是有把它减缓
[33:07] 没有这么疯狂
[33:07] 但我觉得这应该会是一个长期的兴趣
[33:10] 所以我非常感谢带我入坑的大哥
[33:12] 我觉得这个还蛮有趣蛮好玩的
[33:13] 然后再讲说音响
[33:15] 其实音响大概在我出社会的三四年左右
[33:18] 就有人想要带我入坑
[33:19] 非常的疯狂
[33:21] 你知道他们讲音响
[33:22] 因为蛮多听众可能不知道的
[33:24] 会以为说怎样
[33:25] 你家里放一个boss
[33:26] 那个就是一个音响
[33:27] 对于绝大多数人来讲
[33:28] 真的这样子就够了
[33:29] 可是他们讲的音响
[33:31] 或是说我自己猜想
[33:32] 这位兄弟家所提到
[33:33] 是那种怪物等级的音响
[33:35] 就是说真的会像是一个
[33:36] 庞然大物放在那边
[33:37] 不知道的会以为说
[33:39] 那是什么机械战警
[33:40] 就是那种很奇怪
[33:41] 长得很特别
[33:43] 甚至有些是比人还高的音响
[33:45] 这个在自己身边的一些朋友
[33:47] 特别是我觉得一般都年纪偏大
[33:49] 大家可能是五六十岁
[33:50] 他们会有这样子的兴趣
[33:51] 我也去听过
[33:53] 就是所谓的这些会让人感动
[33:55] 会听到一些不一样声音的音响
[33:57] 当我听到钱的时候
[33:58] 我是更感动了
[33:59] 哇靠
[33:59] 现在音响可以
[34:00] 一两千万以上
[34:02] 你们可以想象吗
[34:02] 音响是可以装到一两千万的
[34:05] 这个是很恐怖的一个数字
[34:07] 我之前有跟我老婆分享过
[34:09] 就是那时候去看完之后
[34:10] 我是没有说非常的心动
[34:12] 因为我听AirPods
[34:13] 其实我听得很高兴
[34:14] 我听我的Sony耳机
[34:15] 我就很爱
[34:15] 然后只是我就说
[34:16] 有人在搞这个
[34:17] 要不要以后我们可能
[34:18] 知道有缘分的话
[34:20] 我们或许可以归他看看
[34:21] 我老婆就看了说
[34:21] 占空间不准
[34:22] 所以目前没有这样子的想法
[34:24] 但是因为我们这样一路走来
[34:26] 大家应该说也不是只有我自己
[34:28] 我相信你各位也有发现
[34:30] 像小时候你们会嫌你爸妈怎么样
[34:31] 就你长大之后
[34:32] 你就慢慢的变成你的爸妈
[34:33] 某个层面
[34:34] 优化版的
[34:35] 但是很多东西你会慢慢的跟上
[34:37] 所以说不定只是年纪没到
[34:39] 就我现在听你在讲音响
[34:40] 我就只觉得说
[34:41] 那个是老人家在玩的东西
[34:43] 然后等到有一天
[34:43] 我开始在弄音响的时候
[34:44] 就知道说OK
[34:45] 我现在就是老人家
[34:46] 就差不多这样的感受
[34:47] 我不排除未来会弄
[34:48] 只是现在是真的
[34:49] 那个太复杂又太占空间
[34:51] 可能是暂时不会考虑
[34:53] 听我的boss可能就非常高兴
[34:54] 下面一位
[34:55] 皇上你何时才要翻我的牌啊
[34:57] 猛公你好
[34:58] 自从你开始聆信Spotify之后
[35:00] 我就两边下注
[35:01] 一转眼几个礼拜过去了
[35:02] 却迟迟等不到您的宠爱
[35:04] 我这样知道
[35:05] 您Steam游玩时数前五名的游戏
[35:08] 怎么那么难
[35:08] 那我看到的话
[35:09] 希望你可以解惑
[35:10] 愿您跟您所认识的人
[35:12] 身体健康
[35:13] 最后希望您用统神的语气说
[35:15] 太神啦
[35:16] 那前面几名的话
[35:19] 我觉得PUBG一定有上榜
[35:21] 然后再来GTA吧
[35:23] 巫师
[35:24] Cyberpunk
[35:26] 其他就
[35:28] 不知道
[35:29] 反正就都是大作
[35:30] 我自己还是比较偏向之外去玩大作
[35:33] 那当然
[35:33] 钟晓芹的游戏也喜欢
[35:35] 只是一般他的游戏时长就没有这么长
[35:37] 所以花比较多时间的
[35:39] 都是一些可以跟朋友联机对打的
[35:42] 或者说3A大作
[35:43] 大概这样
[35:43] 下面一位
[35:44] 周力821
[35:46] 孟公大
[35:47] 您好
[35:48] 我跟先生都是每集必听的忠实粉丝
[35:50] 这阵子发现先生想信贷来还他的卡债
[35:53] 先生会爆买公仔跟战斗陀螺
[35:55] 我体谅他工作压力大
[35:57] 之前希望他能够控制他的支出
[35:59] 但没有想到我再次发现
[36:01] 他又累积了一笔卡费
[36:02] 那我说我们都会听理财podcast
[36:04] 为什么他只懂消费不存钱
[36:06] 他认为他给我家用已经付出很多了
[36:09] 但我也是有在付家用的
[36:11] 请帮忙他醒醒吧
[36:13] 信贷来还卡债应该是对的
[36:17] 因为卡债的循环利率是更高
[36:19] 那只是如果说是
[36:21] 因为你现在等于说
[36:22] 把一个债务换成另外一个债务
[36:24] 信贷
[36:24] 然后去玩
[36:26] 不管是战斗陀螺
[36:27] 然后或者是一些公仔
[36:30] 我觉得这个不是太好的东西
[36:32] 那当然可能是因为
[36:33] 他的压力庞大到
[36:34] 他必须要去
[36:35] 你知道这个那种
[36:36] copy mechanism之类的
[36:38] 他就是必须要靠这个东西
[36:39] 来让自己舒服一点的话
[36:40] 那可能要先解决
[36:41] 他心里的那一个问题
[36:43] 就是有时候我们去注意到的东西
[36:44] 是比较偏向是表象上的
[36:46] 就是可能你看到一个
[36:48] 妈老婆在那边发疯
[36:49] 在路上大叫
[36:50] 然后说该你啊
[36:50] 不要发疯
[36:51] 有病是不是
[36:52] 可是你不知道
[36:52] 搞不好忍超久
[36:53] 他现在才在路上发疯
[36:55] 所以事出必有因
[36:56] 特别是现在你去看一些
[36:57] 那种行车肌肉剂影片
[36:58] 我发现蛮多人
[36:59] 也都有这样子的素养了
[37:00] 为什么前面那台车会这么凶
[37:02] 你要不要把前面的影片放出来
[37:03] 搞不好是你先去惹人家
[37:04] 就有很多这样的东西
[37:05] 所以当然他这个行为
[37:07] 绝对是不好的
[37:08] 可是为什么他会要这样子做
[37:10] 那会不会是
[37:11] 有一些东西可以被解决
[37:13] 如果可以去解决那一块的话
[37:14] 或许就不会有后面这一块
[37:16] 所以我觉得杰林还需细领人
[37:18] 可能你们两个要去探讨一下
[37:20] 为什么老公会压力到
[37:21] 要这样子去做一些冲动消费
[37:24] 虽然我自己本身也是冲动消费
[37:26] 只是我不会冲动到
[37:27] 可能是用负债的方式去玩一些东西
[37:30] 一定都是有余裕的
[37:31] 甚至是这样子
[37:32] 如果你说在这阵子
[37:34] 我才开始去搞红酒的话
[37:36] 我应该就会直接跳过那些非常夸张的
[37:39] 我先从可能比较入门款的开始之类的
[37:42] 所以即便其实这些东西
[37:43] 对我的生活是没有影响的
[37:45] 这些开销对我生活是没有影响
[37:46] 可是我会因为我的工作表现去决定
[37:49] 我现在可以花钱
[37:50] 甚至是
[37:51] 就像说
[37:52] 今天是一个回档日
[37:53] 是赔钱的
[37:54] 老子今天只能吃便当我吃其他东西我都觉得在浪费这个是自己的一种纪律吧所以以我的角度是我会冲动消费我会去买很多很夸张的东西没错那只是我还是会先考量一些
[38:06] 可能是比较远的东西
[38:08] 所以像我岳母也曾经有讲过说
[38:10] 其实孟公你的钱
[38:11] 已经早就可以
[38:12] 你知道你跟你太太
[38:13] 你们可以搬去西班牙
[38:14] 你们已经可以退休
[38:15] 你们可以去做很多
[38:16] 什么事情
[38:17] 我就说
[38:17] 我就是因为跟你想的不一样
[38:19] 所以我才有办法
[38:20] 持续的去累积
[38:21] 不管我可能在过程之中
[38:22] 做了什么东西
[38:23] 我去投了什么新的东西
[38:24] 我又去搞什么销男资本什么的
[38:26] 我每年的那个net worth
[38:28] 一定都是持续上去的
[38:29] 类似这样
[38:30] 那就是因为我们对自己有一些要求
[38:32] 那当然有些人
[38:33] 他可能没有这样子一个要求
[38:34] 好像我太太或是我岳母
[38:35] 或是说可能你们蛮多人
[38:37] 如果认识美国人的话
[38:38] 我们不再讲那种stereotype
[38:40] 就是真的就是说
[38:41] 以通案来讲是这样子
[38:42] 他们可能像之前一个
[38:44] 住在美国的听众就有分享说
[38:47] 那是马里卜还是哪边
[38:48] 就是反正美国不是加州大火吗
[38:50] 那很多富人区的房子烧掉之后
[38:53] 他们是没有钱去重建的
[38:55] 他们都是富人
[38:56] 没错
[38:56] 他们没有这么多的资产在那边
[38:59] 所以可能就是要再赚一阵子
[39:01] 然后才有钱去弄
[39:02] 他们就是反正今朝有酒
[39:03] 今朝醉之
[39:04] 所以我不会讲说
[39:06] 我的这个做法才对的
[39:07] 那只是你每个人
[39:08] 会有自己的一个做法
[39:10] 有些人就习惯说
[39:11] 反正钱就是要把他花掉
[39:12] 反正我是尊重大家
[39:13] 只是我分享一下
[39:14] 我会这样的做
[39:15] 我不会想要去透支自己的未来
[39:18] 我不会想去拼一发大的
[39:19] 然后这是死了算了
[39:20] 不管这样我就是
[39:21] 好像说我这个旅行没有去到的话
[39:24] 我就是枉为人
[39:26] 我这个陀螺没有达到
[39:27] 我就是怎么样
[39:28] 我还是会觉得说
[39:28] 会把未来的东西放得比较重
[39:30] 但这是个性问题
[39:31] 这个没有对错
[39:32] 所以我觉得你们可以思考一下
[39:34] 下面一位
[39:34] Yuna妈
[39:35] 梦宫去吧
[39:36] 今年元旦是我们家最难过的新年
[39:39] 因为胎盘早期剥离
[39:41] 我来不及出生的儿子
[39:42] 31周去当小天使
[39:44] 6月将再进入疗程
[39:46] 那希望梦宫去吧
[39:47] 请身后的观音保佑
[39:49] 儿子可以再回来当我们的小孩
[39:51] 那龙龙快回来我们家哟
[39:53] 宝宝跟妈妈姐姐都很爱你
[39:55] 因为他说那个挂号诺亚的声音
[39:56] 所以不是我在那边北揽
[39:57] 在那边哟好不好
[39:58] 有时候要跟大家讲一下
[40:00] 那如顺利的怀孕生下健康的宝宝
[40:03] 我将分期捐出两个月的薪水
[40:06] 愿天下每个宝贝都能够健康的来到这个世界
[40:10] 我现在看到这种就是比较偏难过的留言
[40:15] 某个程度上我是充满希望的
[40:17] 因为我知道说
[40:19] 至少我们这个平台有一个价值
[40:21] 他们有地方可以去讲这个东西
[40:23] 然后他们可以去感受到
[40:25] 其他听众可能有类似的问题
