[00:00] 歡迎收聽谷外,我是星夢宮,本期節目由NordVPN贊助
[19:08] 可我覺得時間本來就不好抓
[19:09] 他強調時間本來就不好抓
[19:11] 有些東西我們進去等突破
[19:13] 真的是等到天荒地老
[19:14] 然後他才發生
[19:15] 那有些東西就會比較幸運
[19:17] 像是這個衛星概念股
[19:18] 像MACO
[19:18] MACO我買不到兩個多禮拜
[19:20] 報酬七十幾趴
[19:21] 這個我真的沒有想過
[19:22] 會有這樣的一個發展
[19:23] 但要知道說有些東西是
[19:24] 你有幸運買
[19:25] 他就立刻動
[19:26] 那有些東西你買了
[19:27] 他要等一段時間才會懂
[19:28] 因為市場可能就是看不懂
[19:29] 他就要等一段時間才會去發作
[19:31] 所以我們對於他
[19:32] 時機抓不準這件事情
[19:33] 我覺得是還OK
[19:34] 就是我不會去很講究這一塊
[19:36] 可是我也覺得說
[19:37] 你的分析一定要有憑有據
[19:38] 那他其實在近期的一些分析
[19:40] 不然他講說什麼
[19:40] Google發了一個那種超長債
[19:42] 然後這等於是泡沫要破掉
[19:44] 那他就舉
[19:45] 可能在過去有一些什麼網通廠
[19:47] 他們也發了類似的債
[19:48] 然後在那邊爆掉
[19:49] 可是他沒有舉的是
[19:50] 有一堆公司也發了類似的債
[19:52] 可是他沒有爆掉
[19:53] 就是說他有點像是說
[19:54] 他只是想要去justify他的說法
[19:57] 他就找一些
[19:58] 怎麼講就overfitting
[19:59] 你找一些可以去解釋
[20:00] 你想要的一個方向的說法
[20:02] 來強化你的說法
[20:04] 可是實際上你並不是客觀的
[20:05] 你是有很多的主觀意識在裡面
[20:08] 這個裡面又有可能變成是有兩個可能性
[20:10] 一個就是說他是不小心的
[20:13] 不小心的其實不好
[20:14] 這代表說你身為投資人
[20:15] 這是你的失誤
[20:16] 另外一個更糟糕
[20:17] 就是他是故意的
[20:18] 故意的就更難解釋
[20:20] 就不知道為什麼他要這樣子
[20:21] 可能我不知道
[20:22] 很多時候都跟大家說不要拜神
[20:24] 或者說有些人可能喜歡聽我們節目
[20:25] 也會講說
[20:26] 國外說的怎麼樣
[20:27] 國外說什麼
[20:28] 國外說什麼
[20:28] 可是我都會覺得說
[20:29] 反正你知道很多人
[20:31] 他可能走在他生涯的某個階段的時候
[20:34] 他就會可能年紀到了
[20:36] 可能今天是不早
[20:37] 林老路花叢或什麼的
[20:39] 他就會開始有些說法是很莫名其妙
[20:41] 到時候你就記得要跳車
[20:42] 我覺得這非常重要
[20:43] 就類似說我們可能小時候
[20:44] 我們去參加過一些那種進座
[20:47] 或者說什麼抗議政府
[20:48] 啥小有的沒有的
[20:49] 然後那時候的一些領袖
[20:51] 然後現在很多都走偏掉
[20:52] 心中就想說
[20:53] 他們怎麼會走中成這樣
[20:55] 可是就還好我們沒有在拜神
[20:56] 所以這也是為什麼
[20:57] 我們有時候再去分享一些
[20:59] 可能在政治上面的評論
[21:01] 因為有時候政治跟股票會聯動
[21:02] 像我們去評論關稅
[21:03] 評論能源或什麼
[21:04] 有時候被人家嘴
[21:05] 然後人家就會說你是什麼顏色的
[21:06] 我都很想笑這些快樂寶貝
[21:08] 就是說你們就儘量拜神
[21:10] 有一天你的神都會讓你失望
[21:12] 所以千萬不要拜神
[21:13] 儘量就事論事
[21:13] 每個事件是怎麼樣
[21:14] 就用那個事件去討論
[21:15] 然後也不用去過度的
[21:18] 怎麼說
[21:18] 就是為了要去尋求一個政治正確
[21:20] 所以儘量要用一個那種
[21:21] 可能包牌的方式
[21:22] 或者說考慮大家的想法
[21:24] 所以不用想那麼多
[21:25] 就是我是一個
[21:26] 以投資為生的人
[21:28] 那我的評論
[21:28] 就會以投資的角度去講
[21:30] 所以這些東西
[21:31] 可能有些人聽了不舒服
[21:32] 可是你要知道
[21:32] 因為我們家的生計
[21:33] 在這個東西上面
[21:34] 所以我用這個角度
[21:35] 去評論是很正常的
[21:36] 那其實我家會喜歡
[21:37] 看這種評論
[21:38] 就是這種評論
[21:39] 才會是比較對的
[21:40] 我覺得他不是用
[21:41] 可能那種立場
[21:42] 或者是一些顏色
[21:44] 去做分類
[21:45] 他是比較就事論事
[21:46] 這個其實在蠻重要的
[21:47] 一件事情
[21:47] 反正總之就是在
[21:48] 他的Parentier的分析上面
[21:50] 你就可以有感的感受到
[21:52] 我覺得他就只是想要黑這家公司
[21:54] 他就只是想要黑他
[21:55] 然後他的一些那種事實的舉證上面
[21:57] 都是用不太對的東西
[22:00] 包含說他可能會去酸說
[22:01] 他沒有用自己的模型
[22:03] 只是我覺得這一點
[22:04] 看你是用什麼樣的角度去做解釋
[22:07] 對有些人來講說
[22:08] 自己的模型是很重要的
[22:10] 類似說像之前不是
[22:11] 在臺灣也有人說要搞一個
[22:13] 臺灣自己的模型
[22:13] 我們在節目裡面
[22:15] 就算是用一個反對的角度
[22:17] 或者說臺灣要去搞資料中心助力
[22:18] 我都覺得其實是反對的角度
[22:20] 因為這兩個東西
[22:21] 基本上你沒有那種超級巨大的財力
[22:23] 你是很難去把它做好的
[22:25] 然後再來甚至連你的母語都會影響
[22:27] 如果你今天母語是英文的話
[22:28] 那我覺得去做模型
[22:30] 可能勝率會比較高一點
[22:32] 所以其實不是要去唱衰
[22:34] 什麼臺灣的產業或什麼
[22:35] 就只是單純的
[22:36] 我覺得世界上是分工的
[22:37] 我就有些東西你可以做
[22:39] 有些東西你不能做
[22:39] 你要找到自己的定位
[22:41] 特別是我們人口也沒有真的到超級多
[22:43] 所以你能夠把一些產業做好
[22:45] 可能就非常重要
[22:45] 所以模型本身
[22:47] 到底是不是一個
[22:47] 非常重要的東西
[22:49] 對我來講
[22:49] 我會覺得模型後面
[22:51] 我的認知
[22:52] 我覺得它比較偏向
[22:53] 是commodity的一個存在
[22:54] 也就是說這些token
[22:55] 它就是一個commodity
[22:56] 它就是一個新的
[22:57] 大宗產品
[22:58] 然後這些東西
[22:59] 有點像是說
[23:00] 我們的水跟電這樣
[23:01] 甚至最後面
[23:02] 你會有點難分高下
[23:03] 你會覺得說
[23:03] 可能大家的水準都差不多
[23:05] 其實我覺得
[23:06] 隨著AI的推進
[23:07] 大家應該在近期
[23:09] 已經有這樣的一個感覺了
[23:10] 就是可能在之前
[23:11] 你會感受到
[23:11] 可能在AI的推進上
[23:13] 今天誰推了一個
[23:15] 某個新東西
[23:15] 大家跳過去
[23:16] 誰又再去做一個改版
[23:18] 大家又跳回去
[23:18] 所以你會換來換去
[23:20] 因為你會發現說
[23:21] 他們做的東西
[23:21] 有很顯著的一個差別
[23:22] 可是到現在
[23:23] 如果你去觀察這些AI模型的話
[23:25] 其實你是越來越難去
[23:27] 發現說這個模型之間的一個差距
[23:30] 當然你整天在玩的那些geek
[23:31] 你一定還是會發現出來
[23:33] 這也是我們會再過去聊到一個概念
[23:35] 就是那個geek不等於是所有人
[23:37] 類似說可能有些人去吃東西
[23:39] 他可以分得出來
[23:40] 那個東西的一個細微的差距
[23:42] 可是絕大多數人
[23:43] 他可能是分不出來的
[23:44] 所以在mass adoption裡面
[23:46] 我覺得模型本身
[23:48] 它可以當成是一個commodity的存在
[23:50] 所以其實我認為像Apple的方向
[23:52] 就是蠻正確的
[23:53] 就是它可能已經發現
[23:55] 它在模型的競爭上面是輸人家了
[23:57] 當然如果你有自己的模型是最好
[23:58] 因為它其實也是蠻夠格
[24:00] 有自己的模型
[24:00] 只是如果來不及的話
[24:01] 那其實可以去走一個
[24:03] 那類似是你就放大去競爭
[24:05] 那接著我去挑可能英家來做採用
[24:08] 接著用英家的這種模型
[24:11] 來輔導我們自己的模型
[24:12] 然後接著去把自己的東西拉起來
[24:13] 我覺得這就是他選擇的一個
[24:15] 很不錯且正確的一個方向
[24:18] 我覺得他去跟Google
[24:19] 去做一個深度的合作
[24:20] 那這是一個正確的方向
[24:22] 也就是最後面
[24:23] 你可能並不會特別在意說
[24:25] 在Apple的模型
[24:27] 他背後是用了
[24:28] 他自己的Fundamental Model
[24:29] 還是說他是用了Google的Gemini
[24:31] 還是他其實是用GPT
[24:32] 因為對我來說
[24:33] 我要的就是一個使用者體驗
[24:35] 所以甚至是
[24:36] 像現在大家會用什麼CloudBot
[24:37] 什麼有的沒有的東西
[24:38] 那我們先不去討論說
[24:40] 什麼治安
[24:40] 或是一些什麼有的沒有的問題
[24:41] 我們就討論說CloudBot本身
[24:42] 它其實就是一個
[24:43] 我覺得在agent方面的一個final solution的一個雛形那只是未必你會是繫結這些app我反而覺得說有可能是繫結一些硬體我覺得說他是用在Google Phone上面或是它是用在Apple裡面那今年Apple的手機如果它可以去幫我看我的Notes
[24:56] 它可以幫我看我的Gmail
[24:58] 跟什麼有的沒有的東西
[24:59] 全部都可以幫我去做閱讀
[25:00] 那接著去幫我下判斷
[25:01] 幫我去做指令的話
[25:02] 那其實我跟這個手機
[25:04] 基本上就是完全的繫結
[25:06] 我就會完全的去依賴它
[25:08] 那我就沒有必要
[25:09] 再去開一堆有的沒有的App
[25:10] 所以現在大家在討論說
[25:11] 什麼某個軟體吃掉某個東西
[25:13] 甚至搞不好最後面會變成說
[25:14] 某個硬體要去吃掉某個軟體
[25:16] 就是先預先在市場前面
[25:18] 先跟大家做出這樣大膽的一個假設
[25:20] 就是最後面還是會反覆歸真回到說
[25:23] 那到底誰獲得最大的一個硬體的採用
[25:26] 那可能他要去推的模型
[25:28] 或者服務就會是最成功的
[25:30] 那甚至是模型本身
[25:31] 並不是一個特別重要的東西
[25:32] 所以其實這些東西
[25:34] 我覺得需要時間去證明
[25:35] 可是對於我們這種
[25:37] 就是每天有在應用各種AI的人
[25:39] 我覺得我現在已經可以看到一些雛形了
[25:41] 所以我才會跟大家說
[25:42] 其實市場下一個說法說
[25:44] AI會取代一切軟體
[25:45] 是一個很笨的事情
[25:46] 即便連尖聲晃都這樣告訴你
[25:48] 可是還是有一堆人
[25:48] 我覺得為了流量
[25:49] 就一直去講那些非常手動的東西
[25:51] 或是像我們之前非常喜歡TPU
[25:53] 可是我們也絕對不會講說
[25:54] 什麼TPU可以吃掉一切
[25:55] 可是就是很多人喜歡po這種
[25:57] 他媽超垃圾的文章
[25:58] 總之我覺得可以這樣講
[26:00] 就AI會吃掉的東西是什麼
[26:01] 是那種
[26:02] 我們前面是用Cbase
[26:03] 或者說Tokenbase的方式
[26:05] 來跟大家分享
[26:06] 我覺得這些軟體的差距
[26:07] 現在假設要用一個
[26:09] 更簡單的方式的話
[26:10] 我最近有看到一個說法
[26:12] 我覺得這個說法是很簡單
[26:13] 直接明瞭的
[26:14] 就是說哪些軟體是隨差即用的
[26:17] 隨差即用的軟體
[26:18] 就是有可能會被AI給取代
[26:20] 那這個AI的取代也不是說什麼
[26:22] 哪一個人可以vibe coding
[26:23] 然後接著就變成next big thing
[26:25] 我覺得並不是被
[26:27] 可能某一個在家vibe coding的人取代
[26:29] 他被取代的而是那些巨頭
[26:31] 他們自己也會使用vibe coding
[26:33] 而且他們掌握了模型
[26:34] 那就可以去把一些這種
[26:36] 在非常表面應用的軟體給擊敗掉
[26:39] 就是它有這樣的一個可能性
[26:40] 當然其實
[26:41] 細部上
[26:42] 我覺得客戶的服務
[26:44] 跟一些整合
[26:45] 也是非常的重要
[26:46] 所以並不是這麼簡單
[26:47] 如果說Google
[26:48] 真的是做什麼都會成功的話
[26:49] 那就不會有過去一個說法
[26:51] 說Google去投一些新創
[26:52] 很多時候都像是
[26:53] 把錢丟到水裡面一樣
[26:54] 所以其實大企業
[26:55] 他們還是有他們
[26:56] 可以比較適合努力的方向
[26:58] 有一些比較需要
[26:59] teramate的東西
[26:59] 還是要交給小公司去做
[27:01] 那確實就是大企業
[27:02] 在這些隨差即用的軟體
[27:03] 我們隨便舉例
[27:04] 可能一些視訊軟體
[27:06] 然後可能是一些報表軟體
[27:07] 這個他就是有可能透過AI的應用
[27:10] 可以快速的去取代
[27:11] 可是Pantheon他的產品
[27:12] 有一個比較特別的地方
[27:13] 在於說他其實需要去派一些工程師
[27:16] 一些PM到你的公司裡面去
[27:17] 把你所有的資料都串連在一起
[27:20] 而且他不是隻是單純的一個報表的呈現
[27:22] 他把這些資料都串在一起
[27:24] 首先串資料本身就不容易
[27:25] 因為格式有千百種
[27:26] 再來就是他必須要讓你可以
[27:29] 在他的Dashboard上面直接就去下指令
[27:31] 而不是說我只是看到報表
[27:33] 接著我要處理
[27:34] 我要再去開10個App
[27:35] 然後去完成我要的任務
[27:37] 其實這本身也就是它的ontology
[27:38] 把這些東西都整合在某一個dashboard裡面去做處理
[27:41] 那如果說你有看過甚至經手過這些資料的話
[27:44] 你就知道說它有多複雜
[27:45] 所以它其實是需要花很多的苦功下去做的
[27:48] 它並不是說你可以直接透過一個AI
[27:51] 然後就把這些東西全部都接在一起
[27:53] 就是它並不是這麼簡單
[27:55] 所以它其實賺的是在
[27:57] 怎麼說這些軟體應用上的某一種那種surplus
[28:01] 某一種加值的服務
[28:02] 然後這個加值的服務
[28:03] 其實還是要動用到很多的人力去做處理
[28:06] 它並不是可以直接透過AI去做簡單的連線
[28:10] 但是這樣的一個東西
[28:12] 很多人可能還是無法意會
[28:14] 或是無法瞭解
[28:15] 這時候我就會用一個很簡單的方式
[28:17] 讓大家理解
[28:18] 簡單來說
[28:19] 你不管是今天看硬體或是看軟體
[28:21] 像我們今天跟大家分享看硬體
[28:23] 在看散熱的時候
[28:24] 我自己喜歡的是晶片附近的散熱
[28:26] 或者說可能在板子上面的散熱
[28:28] 像這些Coplate
[28:29] 當然你在晶片上面的散熱
[28:31] 那可能就只有一兩家可以做
[28:32] 然後接著你跑到板子等級的話
[28:34] 可能加速就會變多
[28:35] 可是如果你今天跑到
[28:36] 是整個伺服器的Rack
[28:37] 外面的那些QD快接頭的話
[28:39] 你就會注意到
[28:40] 那可以做廠商超過100家以上
[28:41] 所以從這邊
[28:43] 大家硬體上的想象就非常簡單
[28:44] 就會知道說
[28:45] 那一定哪個東西的難度是比較低
[28:47] 哪個東西難度是比較高
[28:48] 那難度最高的東西
[28:49] 他有時候也不一定是說
[28:50] 他在技術上面是很難
[28:52] 有時候他是一個信賴基礎的東西
[28:54] 就像說在晶片附近的散熱
[28:57] 你是必須要跟這些Foundry去合作的
[28:59] 那Foundry他能夠支援的團隊
[29:01] 可能就這麼多
[29:01] 我不可能我去找10家廠商
[29:03] 我都在跟你一起討論說
[29:04] 怎麼樣配合我們的Fabulous客戶
[29:06] 去做一個晶片設計
[29:07] 他可能固定跟這個廠商
[29:09] 這個廠商假設他開價太高
[29:11] 我就再額外拉一個二公進來
[29:12] 可是我最多就拉二公
[29:13] 因為我根本也沒有這麼多能力
[29:14] 去做到這麼多的協調
[29:16] 反而是那些可能比較外部的零件
[29:19] 那個是有可能
[29:19] 就是有一堆人都可以做
[29:21] 所以如果說你可以看懂這個環節的話
[29:23] 那很簡單
[29:23] 你今天去看這些軟體股
[29:24] 其實你可以用一個超簡單的方式
[29:26] 去做猜選
[29:27] 當然今天這個軟體
[29:28] 它是有超多競品在市場上面
[29:31] 我覺得它是一個隨差即用的視訊軟體
[29:34] 或是某一種報表軟體
[29:35] 或是某一種總結的軟體
[29:37] 好像現在很多人在vibe coding
[29:39] 它的題目其實就是AI的總結
[29:41] 可是AI總結也就是說每個人都會做
[29:42] 所以在這樣的狀況之下
[29:43] 其實這些東西要生存
[29:45] 它的機率就會低非常多
[29:46] 也就是說在這個討論裡面
[29:48] 我就會覺得是成立的
[29:49] 就所謂的AI去吃掉一些軟體
[29:51] 這個就是成立的
[29:52] 可是當今天你的軟體
[29:53] 我們先不去講說什麼
[29:55] 因為我假設去跟你講說
[29:56] 它的軟體到底厲害在哪
[29:57] 都講說你在那邊尬錘
[29:58] 那我們就直接講結論
[29:59] 就如果說
[30:00] 好他都在賺一個不義之財
[30:02] 他的東西他媽誰都可以取代
[30:03] 那為什麼市場上只有他一家
[30:05] 就是為什麼只有他一家
[30:07] 可以做這個東西
[30:07] 為什麼他會吃到
[30:09] 國防部的一些標案
[30:10] 所以其實在一些生意上面
[30:11] 我覺得當然
[30:12] 有做過生意的朋友
[30:14] 像我自己是
[30:14] 有投一些小生意
[30:15] 我並沒有真的第一線
[30:16] 去做一些開疆闢土的事情
[30:18] 可是我其實很常觀察到一件事情是
[30:21] 一些訂單的award
[30:23] 給你這個訂單
[30:24] 我不一定是真的覺得說
[30:26] 你的產品是他媽市場最屌
[30:27] 甚至說可能跟你差不多的產品
[30:29] 這麼多
[30:29] 可是為什麼我的訂單是給你
[30:31] 當然可能說老闆娘奶子大
[30:33] 我喜歡這個老闆娘
[30:33] 或者說
[30:34] 我就覺得說跟你講話是舒服的
[30:36] 或者說你的售後服務特別好
[30:37] 它其實有很多的專案在背後
[30:39] 或者甚至是你會帶我上酒店之類的
[30:41] 我們知道說很多在中國談生意的
[30:43] 然後談到酒店裡面去
[30:44] 所以它其實是有很多的環節在背後
[30:47] 它並不是這麼簡單的
[30:48] 可以講說
[30:48] 我可以做出一個差不多的東西
[30:50] 我可以在家裡土炮磕一個東西出來
[30:52] 所以我就也可以賣進去這些大企業
[30:54] 我就也可以去吃到這些政府的標案
[30:56] 你行你上
[30:57] 就一樣的道理
[30:58] 就你行你上
[30:59] 因為大家都想要賺錢
[31:00] 當你今天發現說
[31:01] 這個傢伙有一個超乎尋常的毛利
[31:04] 可是這個毛利
[31:05] 他竟然可以一直hold在那邊
[31:06] 他一定有他了不起的地方
[31:07] 我類似說NVIDIA的毛利
[31:09] 一直hold在那邊
[31:09] 你行你上
[31:10] 你可以去做一個很屌的
[31:12] 是什麼general purpose的GPU
[31:13] 然後把它幹爆
[31:14] 那他的毛利就會被你吃掉
[31:16] 那一樣的道理
[31:17] 如果說你覺得Pantheon
[31:18] 他現在是在賺取一個不易之財
[31:20] 他的營收年增率
[31:22] 或者說獲利是有問題的
[31:23] 那你去開一家
[31:24] 所以其實很多時候
[31:26] 我覺得跟這些那種
[31:27] 就是硬要去黑的人
[31:28] 討論到後來
[31:29] 你無法討論的原因
[31:30] 是因為你發現
[31:31] 就跟現在
[31:32] 所謂的後真相時代的
[31:34] 各種討論一樣
[31:34] 其實大家比較在意的是感受
[31:36] 而不是一些事實
[31:37] 有些事實擺在那一邊
[31:39] 類似說臺灣的關稅議題
[31:40] 那個事實就擺在那
[31:41] 你那個表格拉出來比
[31:42] 這談得超好
[31:43] 我現在已經發現說
[31:45] 大家都覺得談得好了
[31:45] 因為有些政黨開始轉向了
[31:47] 然後大家就支援
[31:49] 就跟著轉向
[31:49] 因為很多人真的是看著
[31:50] 他們支援的政黨
[31:51] 講什麼
[31:51] 他們就跟著講什麼
[31:52] 可是在我一開始
[31:53] 跟大家分享的時候
[31:54] 還有人丟給我看說
[31:55] 我在一些論壇上面
[31:57] 給人家幹到爆炸
[31:57] 幹我的人超過五成
[31:59] 我想說
[31:59] 這一個超簡單的
[32:01] 事實的東西擺在那邊
[32:02] 他媽你們連看都不會看
[32:03] 所以有時候甚至會覺得說
[32:05] 媽在市場裡面
[32:05] 我們可以賺錢
[32:06] 真的叫應該
[32:07] 雖然很多時候
[32:07] 我們會很比較謙虛的方式說
[32:09] 感謝市場
[32:10] 感謝老天廠辦
[32:11] 那媽你這麼多白痴
[32:12] 我不賺你的錢
[32:13] 那媽誰要賺你的錢
[32:14] 就總是有人要把你的錢賺走吧
[32:15] 總是有人要去
[32:16] 去做一些錯誤的判斷
[32:18] 當燃料
[32:18] 就媽你不爽就空
[32:19] 你是不是覺得這東西不好
[32:20] 你就空看看
[32:21] 我是做多
[32:22] 我們看誰會贏
[32:23] 類似這樣
[32:23] 只是當然有時候
[32:24] 我們還是會不小心的
[32:25] 掉到水溝裡邊
[32:28] 類似說像下的亂踢鼓迴盪
[32:30] 或者說有時候一些壓住的東西
[32:32] 可能最後面不是按照你希望的方向
[32:34] 或甚至是一些大環境的變化
[32:36] 像2022年
[32:37] 那時候就算你有非常卓絕的
[32:39] 一個基本面判斷能力
[32:40] 你還是得死
[32:41] 因為你買什麼都跌
[32:42] 因為市場就爛
[32:42] 所以有時候就是會這樣
[32:44] 可是我們為什麼還是會堅持
[32:45] 就一直去做這些
[32:47] 就是可能不知道
[32:48] 不是看著股價做事情
[32:49] 雖然我們也是一直跟大家強調
[32:51] 有時候會覺得很矛盾
[32:52] 我講的東西好像很矛盾
[32:53] 可是那真的都是各種恰到好處
[32:54] 你當然要看一點股價做事情
[32:56] 可是你也要看一點基本面做事情
[32:57] 每個都要來一點
[32:58] 你才有辦法把這件事情做好
[33:00] 會堅持下去的原因就是因為
[33:02] 你已經有長年的一個驗證
[33:04] 知道說你這樣做是對的
[33:05] 當然可能也不一定真的到非常長年
[33:07] 搞不好30年之後
[33:08] 然後大家都是成歸成土歸土
[33:10] 發現說做股票的人都是笨蛋
[33:11] 不一定
[33:12] 可是至少我們現在可以一直去重複的
[33:15] 獲得一些收益或什麼
[33:16] 就是因為我們一直去堅持做一些
[33:18] 可能在某些時候
[33:19] 人家覺得是很奇怪的事情
[33:20] 所以即便現在外面
[33:21] 可能各種風向是這樣講
[33:23] 我還是會覺得
[33:23] 我覺得像Panty
[33:24] 或者說Calfeel這樣的公司
[33:26] 它最大的問題真的就估值
[33:27] 像Panty
[33:28] 我自己在八十幾塊的時候
[33:29] 也賣掉蠻多的
[33:30] 那在節目跟大家分享
[33:31] 我其實很後悔我有賣
[33:32] 只是就覺得說
[33:33] 你漲到我看不懂的地方
[33:34] 可是後面
[33:35] 你沒有想到
[33:36] 它可以噴到更高的地方
[33:37] 所以其實
[33:38] 如果你再給我一次機會的話
[33:39] 就假設它真的要
[33:41] 要烙賽一下給大家的話
[33:42] 那我真的會覺得
[33:43] 對我來講就是一個
[33:44] 可能我想要重新介入的地方
[33:46] 所以我覺得我心態最近有調
[33:48] 我本來看美股
[33:48] 我覺得說美股不知道在跌什麼
[33:50] 甚至我覺得美股是不是要崩盤
[33:51] 因為太怪了
[33:52] 怎麼講
[33:54] 就雖然指數還維持在某個位階上
[33:56] 可是其實我們那股票跌爛
[33:57] 就跟臺股剛好相反
[33:58] 臺股是在關稅前後
[34:01] 就注意到說市場的廣度開啟
[34:02] 很多東西都上去
[34:03] 但最近又開始有一點
[34:05] 轉落的跡象出現
[34:06] 就稍微回到正常
[34:07] 本來是那種全面綻放
[34:08] 可是相較之下
[34:10] 這兩個市場真的差很多
[34:11] 你會覺得說美股感覺是那種搖搖欲墜
[34:13] 可是我已經把心態調整好
[34:15] 就是說當若今天有東西掉下來的話
[34:17] 我就會用像我們節目
[34:19] 跟大家分享的這些內容
[34:20] 我可能看到硬材說過什麼
[34:21] 我可能知道
[34:22] Pentier的放空報告說了什麼
[34:24] 可是我知道你們其實講的是錯的
[34:26] 我知道你是錯的
[34:27] 只是因為一下股價站在你那
[34:28] 所以形勢比人強
[34:29] 我們可能也不會直接去做借刀
[34:31] 當每天都有新低價出現
[34:33] 可能就等到軍線開始拉平的時候
[34:35] 再去做介入
[34:35] 其實抄底的時間點真的不好抓
[34:37] 因為像Tesla我在抄底的時候
[34:40] 320開始做
[34:41] 然後做到280
[34:42] 然後沒有想到他竟然可以跌到200
[34:44] 然後在200的時候
[34:45] 大家說會跌到100
[34:46] 只是最後面就回到400多去了
[34:47] 所以那個位置不好抓
[34:49] 可是我就覺得
[34:50] 當然你今天有一箇中心思想
[34:51] 也呼應到上幾個QA
[34:53] 在問股票
[34:55] 其實你要有一箇中心思想
[34:56] 你才會知道說什麼東西
[34:57] 你可以在他相對便宜的時候
[35:00] 也就是說他走不好的時候去撿他
[35:01] 因為你要知道
[35:02] 如果你都不知道
[35:02] 都只是看股價做事的話
[35:04] 很多時候特別是
[35:05] 當一些雙八盤出現的時候
[35:06] 可能就會比較容易受傷
[35:07] 所以也儘量不要去人云亦云
[35:09] 大概這樣
[35:10] 所以我們就簡單的跟大家分享一下
[35:12] 我們沒有去把Michael Burry所講的東西去詳列
[35:14] 但是反正他就是要找各種理由去噴
[35:17] 然後現在剛好是因為軟體股迴盪
[35:19] 他前面講的時候是被嘎拉爆炸
[35:21] 下軟體股迴盪
[35:22] 所以他又盛世的出來講一些東西
[35:24] 只要講的東西我覺得是不太認同
[35:26] 特別是一些那種基礎的觀念上
[35:27] 我覺得他有硬要把一些東西硬混進來
[35:30] 然後參成沙尚牛丸去賣他的說法的感覺
[35:33] 我覺得這是不太對的
[35:34] 就是論事
[35:35] 股價你可以說垃圾股價
[35:38] 垃圾公司股價看不懂
[35:39] 可是你要說他的服務是垃圾
[35:41] 那個就是有點像說
[35:43] 違反自己的一個基礎認知
[35:45] 大概這樣
[35:45] 好那這些我們再進入各個部分
[35:47] 第一位陳亞軍
[35:48] 孟狗你好
[35:49] 我是買你手刷書的讀者
[35:50] 但是在去年9月才開始追您podcast的聽眾
[35:53] 那因為聽您分享資訊
[35:55] 至今有小賺了一點
[35:56] 關好我因病在家無收入
[35:57] 原本朝樂觀的未來前進中
[35:59] 但終於有閒錢想要裝修房子
[36:02] 那卻被信任的設計師朋友雷到
[36:05] 那現在賠錢賠了時間也賠了朋友
[36:08] 那想問你對朋友共識有什麼想法及原則呢
[36:11] 該如何讓自己釋懷呢
[36:12] 祝您新的一年
[36:13] 舒心及全家身體健康
[36:15] 這位妹妹
[36:16] 我先希望你身體健康
[36:18] 希望你可以儘快養好你的病
[36:19] 那再講說裝潢的吵架
[36:21] 我只能跟你講
[36:22] 裝潢的吵架非常常見
[36:24] 就算你是找自己的設計師朋友
[36:26] 也是非常常見
[36:27] 在我身邊就發生了好多次
[36:29] 所以我甚至覺得
[36:31] 會不會其實裝修房子
[36:32] 本身最後面就是會吵架
[36:34] 然後套一句房迷講
[36:35] 就像買房子之後面
[36:36] 可能也會有很多的爭議
[36:37] 就是因為你想要買的房子
[36:39] 一般來講都是超過你的預算
[36:41] 那你的預算內可以買到的房子
[36:42] 就一定會有不完美的地方
[36:43] 那你可能就因為這樣子
[36:45] 想要去怪說什麼realtor
[36:46] 什麼沒有幫你挑一個更好的東西
[36:47] 那我覺得裝潢的道理可能也一樣
[36:49] 就是你想要的裝潢
[36:50] 可能就是要花非常多錢
[36:52] 所以你就會退而求其次
[36:53] 可能又沒有那麼好的材料或什麼的
[36:54] 那可是你又沒有那麼好的材料
[36:56] 或是你花沒有這麼多錢
[36:57] 那保固的時間可能就沒有這麼長
[36:59] 所以東西壞掉
[37:00] 你可能就會覺得說
[37:01] 蠻設計師幫我用什麼很爛的料子
[37:03] 或甚至你朋友會跟你講說
[37:04] 我做這個東西明明就沒有問題
[37:06] 為什麼你做的有問題
[37:07] 可是這個比較都是不對的類比
[37:09] 就是說你可能拿A去比你的A可是你沒有拿B跟C跟D或是E就是你有這麼多環節你應該每個都要比有些可能是我設計師做比較好有些是你的設計師做比較好可是蠻多時候就是大家都只會去聚焦在
[37:20] 那些不好的
[37:21] 然後就去找別人
[37:22] 就說我是不是被削了或什麼的
[37:23] 或像是我朋友也會跟我講
[37:24] 他說你家的油漆
[37:26] 怎麼感覺漆太貴了或什麼的
[37:28] 當然有些人聽到這個
[37:29] 可能就很生氣
[37:29] 說靠北
[37:30] 我被我設計師削了
[37:31] 可是有時候我去拿其他東西比
[37:32] 沒有我設計師其實沒有削
[37:33] 他可能只是油漆的報價稍微高一點
[37:35] 可是其他東西是便宜的
[37:37] 類似這樣
[37:37] 所以我覺得裝修之主
[37:39] 會有很多的爭議是在於說
[37:41] 第一個人多嘴雜
[37:42] 然後第二個是大家在類比
[37:43] 因為裝修的專案太多了
[37:44] 他們都只拿某個特定專案去刺激你
[37:46] 然後就覺得說天啊超級不爽什麼的
[37:49] 當然如果今天是那種超級雷的狀態
[37:51] 故意弄你的
[37:51] 我們也是有看過
[37:52] 即便是自己的朋友
[37:53] 也是有這樣的狀況出現
[37:54] 不管是發生在自己投資的東西
[37:56] 或者說自己身邊的朋友
