[00:00] 欢迎收听谷爱,我是孟公,本集节目由台扎苦火星生技赞助
[19:28] 可是刚好车用或者说消费这边
[19:31] 它的状况是不好的
[19:32] 没有拉货
[19:32] 所以就会导致说
[19:34] 大家其实没有特别在意这件事情
[19:36] 所以它以一个事件去做交易的话
[19:38] 那时候认为说算是失败的一个交易
[19:40] 只是走到现在就开始去意会到
[19:43] 因为有蛮多厂商
[19:44] 在我们可能去check的一个过程中
[19:47] 都有提到这件事情
[19:48] 就是说因为
[19:49] 它的一些市场的share被丢出来
[19:51] 或者说大家害怕
[19:52] 后续会有类似的事情再一次发生
[19:54] 所以提早的去
[19:56] 做non-China的布局
[19:58] 就跟其他的半导体元件一样
[19:59] 那所以导致呢
[20:00] 其实现在有蛮多这个
[20:01] 不管是美系或者说
[20:03] 台系或者欧系的厂商
[20:04] 就是在这些事件的影响之下
[20:06] 它是开始有一个受惠的情形
[20:09] 然后是逐渐的酝酿
[20:10] 然后到现在算是把它放到蛮大
[20:12] 所以它的那个起始点
[20:13] 跟我觉得被动元件有点像
[20:15] 就是它最早其实真的只是一个
[20:17] 成本转嫁所导致的一些涨价
[20:20] 那后来随着一些
[20:22] 在吊销场里面的赶虾鱼
[20:24] 我蛮喜欢用这个去做举例的
[20:26] 然后导致就是可能市场里面
[20:28] 真的有掀起一些涟漪
[20:29] 后面有些状况会产生
[20:30] 那一样市场里面的赶虾鱼
[20:32] 就是这些AI伺服器
[20:33] 或是当然最大的咖的
[20:35] 就是NVIDIA的VRubin
[20:36] 在后面要开始去做生产的
[20:38] 然后外加
[20:39] 其实前阵子这些族群
[20:41] 前面也都有拉一波
[20:42] 然后后来就开始出现修正
[20:43] 那我自己就有观察的一个现象
[20:45] 当然我不知道一谋论辙
[20:46] 只是我自己观察到一些现象
[20:48] 我就会想去猜解说
[20:49] 到底是发生什么事情
[20:49] 就是有蛮多这些
[20:51] 像是公立半导体相关的厂商
[20:53] 它的外资的持股减少超多
[20:55] 然后刚好那个时间点
[20:56] 就差不多是Semi Analysis
[20:58] 去讲说800VDC可能会有地盐
[21:01] 然后外加说光通
[21:02] 可能会有地盐的一个状况产生
[21:03] 那当然最近我是有看到说
[21:05] DM Patel他在X上面就回人家的时候
[21:07] 他就有讲到说
[21:08] 我们没有讲错
[21:10] 确实就是800VDC
[21:11] 可能你在明年就只会看到一个
[21:13] 5%的penetration rate
[21:14] 就只有一个5%的渗透率
[21:15] 其实我看到这个
[21:16] 我马上就传给我自己产业的一些朋友
[21:19] 我想说5%很多
[21:20] 其实5%很多
[21:22] 5%对这些人来讲
[21:23] 他们可能觉得说too early
[21:25] 或者说市场给的预期太高
[21:26] OK
[21:27] 因为确实就是有蛮多当的炒股票
[21:29] 他把数字喊到超级高
[21:30] 这个我们也都是很常见
[21:31] 但一个东西
[21:33] 如果有办法在明年就有5%的一个penetration rate的话
[21:36] 这个在我们的角度是很真实的题材
[21:39] 为什么
[21:39] 妈的我们连SpaceX都会去买了
[21:41] 你说火箭什么时候会赚钱
[21:42] 根本不知道
[21:43] 我们都会去买
[21:44] 那个好几年后的
[21:45] 我们都买了
[21:46] 那你说明年就有
[21:47] 而且是5%
[21:48] 我突然间觉得说
[21:50] 我不知道
[21:50] 我觉得他的那个报告
[21:51] 好像是某个程度上
[21:53] 帮大家洗筹码
[21:54] 把那些信仰不坚的
[21:55] 丢一丢丢下车之后
[21:56] 说不定我们之后
[21:57] 看到美国的IDM
[21:58] 全部都在这动起来
[21:59] 所以我最近是有想
[22:00] 观察这个东西
[22:01] 就是我觉得
[22:02] 如果真的要去
[22:03] 做一个启动的话
[22:04] 应该是会先注意到
[22:05] 这些在美国上市的IDM
[22:07] 他们一定是要先动起来
[22:08] 因为它是一个
[22:09] 全面性的东西
[22:10] 然后外加
[22:10] 它其实跟前面
[22:11] 我们刚刚所提到
[22:12] 它那个bottleneck的状况
[22:13] 是不太一样
[22:14] 它并没有说会有
[22:15] 立刻的缺货
[22:17] 或是断货的一个可能性
[22:18] 它只是供需
[22:20] 可能会产生一些变化
[22:22] 那大的厂商呢
[22:23] 他们会去做
[22:23] 更高阶的内容
[22:25] 像现在在市场上
[22:25] 很热门的一个话题
[22:27] 就是在讲说DRMOS
[22:28] 就是Driver MOS
[22:29] 那这个东西主要是用在哪
[22:31] 它是用在板端
[22:32] 像是GPU的ASIC
[22:33] 它一次又用到可能
[22:34] 十几二十颗
[22:35] 那后面还会再更大
[22:36] 那为什么会去做这种
[22:38] Driver然后加MOS的一个结合呢
[22:40] 就是因为板上的空间
[22:41] 是非常珍贵的
[22:42] 所以半个月后
[22:43] 像是用一些什么弹电容
[22:44] 为什么要用这个东西
[22:45] 为什么要用一个
[22:45] 真翼金属的原因
[22:46] 是因为它可以做得
[22:47] 比较小一点
[22:48] 它没有这么大颗
[22:49] 那或是为什么
[22:50] 有一些旅店
[22:51] 要用那种叠层式的
[22:52] 就是因为
[22:52] 它需要去珍惜
[22:54] 板上的空间
[22:55] 这个板上的空间
[22:56] 真的是不够用
[22:57] 那像这些
[22:58] DriverMos
[22:59] 或者说这些
[22:59] 进板端的东西
[23:00] 当然蛮多可能就是
[23:01] 握在欧美大厂的手里面
[23:04] 那台厂可能有部分
[23:05] 是有机会去做到
[23:06] 那只是呢
[23:07] 目前看可能是
[23:08] 跟消费端的是
[23:09] 比较有关系
[23:09] server端可能还需要
[23:10] 一些时间去组之类的
[23:12] 随着这些厂商
[23:13] 开始去往这些
[23:14] 可能比较偏向是
[23:16] 就来说像这个driver MOS
[23:17] 它是一个
[23:18] 我们可以把它想象成是
[23:20] 某个程度上比较高端
[23:21] 毛利较高的一个生意
[23:22] 大概是四五十趴以上的毛利
[23:23] 往这边去挤
[23:24] 然后外加可能往一些
[23:26] 高压的section去跑
[23:27] 就来说在
[23:28] 可能我们后面
[23:30] 如果真的进入800VDC的话
[23:31] 它会有SIC的MOSFET
[23:33] 放在最前端那个地方
[23:35] 然后去搭配高压的super junction
[23:37] 所以当越来越多厂商
[23:38] 往这边去靠
[23:39] 然后发现这边的需求是很大的
[23:41] 他自然而然
[23:42] 他没有办法去做其他环节的东西
[23:44] 其他环节的东西
[23:45] 他不会像前面我们听到的一些故事
[23:48] 各个元件会断货
[23:49] 他不会断货
[23:50] 可是他确实也就是产生了一些供应的可能性
[23:53] 甚至是有一些台商
[23:54] 可能因为这样子
[23:55] 就第一次的变成是恶工
[23:56] 他可能以前是没有办法做进去的
[23:58] 但因为现在就是取货
[23:59] 所以取货就会去验证你
[24:00] 这个其实我们在被动元件的旅店
[24:02] 我们也有看到
[24:02] 以前就是日本三控
[24:03] 就是Rubicon,Chemicon
[24:05] 然后跟Nichicon
[24:06] 可是现在可能三空的东西你拿不到
[24:08] 那怎么办
[24:08] 你就去找台系的厂商
[24:10] 这个我们已经在一些大型的EMS
[24:12] 有看到这样的一个情形
[24:12] 就要开始去验证台系厂商的东西
[24:14] 然后要去做采用
[24:16] 所以其实一样的道理
[24:17] 也是用在之前的Nextperia事件
[24:19] 就是以前可能很习惯都是用Nextperia
[24:21] 老实讲那些料也都不贵
[24:23] 那也都稳定
[24:23] 所以就长期去做使用
[24:25] 但我开始出现一些问题的时候
[24:27] 我可能就需要去验证新的厂商
[24:28] 所以因为这样子产生一些新的机会
[24:30] For others
[24:31] 但是当然这个东西
[24:32] 又不会变成是一个
[24:33] 缺货涨价密集的东西
[24:35] 我们不确定
[24:36] 但是它应该会产生一个
[24:37] 新的工序的结构
[24:39] 所以我就是最近因为可能
[24:41] 看到被动元件开始
[24:42] 从哪边乱走
[24:43] 然后想说要去找别的东西
[24:44] 因为总是要有下一个地方
[24:46] 总是脚突要有别的窟
[24:47] 一个窟我已经想好
[24:48] 就台积电
[24:49] 随时我发现说
[24:50] 妈的风向不对
[24:51] 我就要密地刮坑
[24:53] 就要躲进台积电
[24:53] 同时也去看其他东西
[24:55] 才发现说原来这个东西
[24:56] 也是蛮有搞头的
[24:57] 然后特别是
[24:58] 当我看到Semian analysis
[25:00] 有提到说
[25:00] 这个东西它可能在短期内
[25:02] 它就会有一个5%
[25:03] 其实5%就已经是一个
[25:04] 像是那種破冰船一樣
[25:06] 就是那種馬直接車進去
[25:08] 不管你是走哪一種approach
[25:10] 800V DC或是400V的去做一個中繼的話
[25:14] 其實都代表說
[25:16] 你不管是在Power端或在板端這邊你會用到的功率元件的數量都是大幅的上升就是整個PSU裡面功率元件的密度都會去拉高很多所以其實整體來看這邊也是一個蠻大的增量市場
[25:28] 而且它不只是增量
[25:29] 它也有價增的一個可能性
[25:31] 不管是在成本轉加
[25:32] 或是我們講因為供需結構的轉變
[25:34] 可能過去這些是大廠在做的
[25:37] 然後現在變成是台系的一些廠商
[25:39] 你說中系的可能要做還不一定可以做
[25:40] 可能只能夠去供他們自己華為相關的東西
[25:43] 台系的廠商就有可能去補漏洞之外
[25:46] 然后说不定也会有一些涨价的可能性
[25:47] 虽然它没有像可能被动元件
[25:50] 或是前面一些像记忆体
[25:51] 然后缺货
[25:52] 然后那种死命狗掌
[25:53] 但它其实也是一个不错的故事
[25:55] 所以你会发现说
[25:56] 这个市场蛮有趣的
[25:57] 就确实在市场里面
[25:58] 现在最喷的就被动元件
[26:00] 因为被动元件是
[26:01] 它有可能会有断货的情形
[26:03] 特别是在一些料件上面
[26:04] 所以它真的就是最喷
[26:05] 它就是老大没有问题
[26:06] 像前面记忆体
[26:07] 记忆体怎么可以喷成这样
[26:08] 因为记忆体真的超狗缺的
[26:10] 可是老大跟老二之后
[26:11] 然后再来老三老四老五
[26:13] 雖然可能老大老二很好的時候
[26:15] 你就根本就不會想看老三老四老五
[26:17] 但如果說老大老二沒有這麼好的時候
[26:19] 或許大家就會去看老三老四老五
[26:21] 因為他也是有受惠
[26:21] 他受惠的程度可能是相對的低一點
[26:24] 所以我會往這個方向去思考
[26:26] 然後去找市場中其他題材的可能性
[26:29] 其實在過去已經有蠻多的
[26:31] 不管是地方聽
[26:32] 重點是自己身邊的朋友
[26:32] 都是有跟我講說
[26:33] 他可能看到像什麼Texas Instruments
[26:35] 他們在瘋狂的加單
[26:37] 然後我就說加單加什麼
[26:38] 他們說看到車用跟機器人很好
[26:40] 然後我前面都是
[26:41] 怎麼講因為那種半信半疑
[26:42] 机器人沙小
[26:43] 我一直觉得说
[26:44] 机器人是一个超级远的故事
[26:45] 他们说就是可能在机器人
[26:47] 或者说什么孪生工厂
[26:48] 在工业端这边
[26:49] 有看到蛮多的用量去做加码
[26:52] 那我以前都不知道说
[26:53] 这到底是在干嘛
[26:54] 可是现在开始有一点看懂了
[26:56] 就是说他们可能提早
[26:57] 要去往新的路线去做布局
[27:00] 然后就先把这个库存的数量
[27:01] 给拉上去
[27:02] 提早去做备货
[27:03] 那可能相对一个保守的approach
[27:05] 那时候看不懂
[27:05] 然后现在可能就可以去理解到
[27:07] 说OK可能是因为他们也注意到
[27:08] 后面的这些discrete
[27:10] 或是一些功率元件
[27:11] 它会在用量上面显著提升
[27:13] 然后在SP也是有机会去提升
[27:15] 所以提早先往那个方向去做迁移
[27:17] 然后还是要先回归到原点
[27:19] 就是说它应该是不会有那种
[27:21] 超级FOMO的一个故事产生
[27:23] 大家对它的预期可能也比较低一点
[27:25] 但如果说今天属中无大将的话
[27:28] 料化也可以拿出来当先锋
[27:29] 所以可能会稍微的注意一下
[27:32] 所以今天来讲就是说
[27:33] 现在市场里面的故事跟题材
[27:35] 真的是还蛮多的
[27:36] 特别是每次其实在各种修正之后
[27:38] 像前一波修正虽然没有很多
[27:40] 但是也是有嚇到蠻多人
[27:41] 噴得滿身屎
[27:42] 其實這些東西出來之後
[27:44] 你就會注意到說市場蠻有趣的
[27:46] 就是可能你在修正之前
[27:48] 你會開始注意到說
[27:49] 有些地方可能已經是開始鳥獸散了
[27:52] 大家不喜歡了
[27:53] 可是疊完之後好像充滿那種洗一洗之後
[27:55] 又有新的東西又會跑出來
[27:56] 所以目前覺得市場裡面是
[27:59] 我覺得有很多故事
[28:00] 當然每個人會有不一樣的意見
[28:01] 沒有關係
[28:02] 你只要不要說是我的意見
[28:03] 然後到處跑去宣揚
[28:05] 這個我真的不喜歡
[28:06] 但每個人有不一樣的意見
[28:07] 沒關係
[28:07] 就像我上集講說
[28:08] 我覺得修正應該是差不多
[28:10] 那我们在YT就有听众
[28:11] 良性的沟通
[28:12] 就是说他觉得
[28:13] 根本还没有开始跌
[28:14] 或什么的
[28:14] 可是后来也理解这件事情
[28:16] 为什么可能同一个市场
[28:17] 然后大家感受不一样
[28:18] 因为不是
[28:19] 你如果是被动研究
[28:20] 你上礼拜五
[28:20] 你早就心高了
[28:21] 所以早就对你来说
[28:22] 是没有跌了
[28:23] 根本就是没有跌
[28:24] 根本就是心高
[28:25] 可是对于一些人
[28:25] 你觉得说你满手是光的
[28:27] 你一定觉得说
[28:27] 妈的跌成狗了
[28:28] 也太惨了
[28:30] 那整个说
[28:30] 虽然现在有那种
[28:32] 百花齐放的现象
[28:33] 可是当然
[28:33] 如果你的持股
[28:34] 都是高度集中在
[28:35] 某一个特定的族群的话
[28:36] 就可能会有
[28:37] 这个大好大坏的现象
[28:38] 而进而去导致
[28:39] 你可能对于拍面的判断
[28:41] 会有一点失据
[28:42] 你会觉得说
[28:42] 因为你看你手上的东西不好
[28:43] 你就觉得说整个盘不好
[28:44] 但可能整个盘
[28:45] 其实有蛮多故事在那边的
[28:47] 大概这样子
[28:48] 那真的要去理解的时候
[28:49] 才会知道
[28:49] 像我前面也都
[28:50] 全部都在盯那个被动元件
[28:52] 然后导致说
[28:53] 也就是我就没有注意
[28:54] 去看其他东西
[28:54] 可是真的出来看其他东西
[28:56] 觉得说其他东西
[28:56] 其实也蛮香的
[28:57] 那只是当然
[28:58] 它可能就是由赖于说
[28:59] 那些最主流的东西要休息
[29:01] 然后大家才会跑进去
[29:02] 不管像现在大家都觉得
[29:04] 超级便宜的台积或是NV
[29:05] 因为一堆人在问
[29:06] NVIDIA现在可能是
[29:07] 美股AI股最便宜的东西
[29:09] 可是为什么大家不要进去
[29:10] 我觉得可能道理是有点类似
[29:12] 就是有新的东西在
[29:13] 或者说大家跑去买SpaceX
[29:15] 然后短期内
[29:16] 其实我看到那个东西
[29:17] 我昨天就跟A君讨论
[29:19] 我就说
[29:19] 我觉得这是很恐怖的事情
[29:20] 因为SpaceX一天可能喷个一两层
[29:23] 它喷出来的市值量
[29:25] 换上在马斯克的身价
[29:26] 它等于它只花一两天
[29:28] 他就赚赢巴菲特的一辈子
[29:29] 就很狂
[29:31] 就这个世界真的会超出自己的想象
[29:33] 然后是我最近其实也有看到
[29:34] 马斯克在分享一篇文章
[29:36] 那是一个法国人去评论他的公司
[29:38] 就提到说
[29:39] 其实我们现在用地球的市值来看
[29:41] 那都会觉得说
[29:43] 这个是一个很贵的公司
[29:44] 可是如果你用全宇宙的角度来看
[29:46] 当然这可能有点那种造梦太豪小
[29:48] 但因为马斯克有转发
[29:49] 我就稍微看一下
[29:50] 就是如果你用一个更高
[29:52] 层次的角度去看的话
[29:54] 他未来可以掌握的资源
[29:56] 他不只是地球资源
[29:57] 还是可能宇宙的资源
[29:58] 或者什么的
[29:59] 或者说太空的一些发展
[30:01] 所以其实那个TM
[30:02] 可以拉到超级高的
[30:03] 也就是说
[30:04] 你不要被你的世界给影响
[30:07] 你这个视野的结界
[30:09] 世界
[30:09] 你不要被这个影响到
[30:10] 因为你没有想到说
[30:12] 原来世界上的钱
[30:12] 可以这么多
[30:13] 那可能是超出你的想象之类的
[30:15] 所以就有时候
[30:16] 还是用这个去提醒一下自己
[30:18] 就是有时候
[30:18] 当我们觉得某些东西
[30:19] 感觉已经到架了
[30:21] 感觉已经潮过头了
[30:22] 就真的是有很多事件
[30:23] 会告诉你说
[30:24] 没有现在还早
[30:25] 这样机体
[30:25] 自己算是卖的蛮早的
[30:27] 除了美光
[30:28] 因为美股比较不习惯一直去动
[30:29] 台股因为你一直看它
[30:30] 一直盯着
[30:31] 所以就
[30:31] 前面看到那种廉价回档
[30:33] 我直接把它砍光
[30:34] 然后没有想到后面有这么大一段
[30:36] 当然有追回来一部分
[30:38] 可是就是没有吃完全
[30:39] 就是因为想象力不足
[30:41] 所以想象力不足
[30:42] 有时候可能是要去改善的一个罩门
[30:44] 大概这样
[30:45] 好那这期视频就到这边
[30:46] 我们接下来进入Q&A部分
[30:46] 地位又又
[30:47] 孟公您好
[30:48] 我大约是听了两年的听众
[30:50] 刚开始听的时候
[30:51] 对我来说都太专业
[30:53] 听不太懂
[30:53] 但我很喜欢听你分享生活的故事
[30:55] 或者是一些事情的看法
[30:56] 那后来我去做了更多功课
[30:58] 慢慢也听得懂你讲产业的事情
[31:01] 今年的低轨光通被动元件
[31:02] 一早就上车了
[31:04] 谢谢您总是无私的分享产业的资讯
[31:06] 让我们也有机会赚钱
[31:08] 祝福全家身体健康
[31:09] 我是6月14号生日跟川普一样
[31:11] 希望您可以祝我生日快乐
[31:13] 但不要川普的声音
[31:14] 谢谢啊
[31:14] 那我们祝悠悠生日快乐
[31:16] 也非常感谢你的支持
[31:16] 下面一位无情社畜
[31:17] 想询问MK大如何跟同事相处
[31:21] 如果说有一个别的部门
[31:22] 但同办公室的同事
[31:24] 一天到晚一直在办公室
[31:26] 炫耀自己股票赚多少
[31:27] 谁要当老板的狗
[31:29] 白痴才工作
[31:30] 然后老板来了就一个屁都不敢放
[31:32] 然后觉得自己是下一个小主管
[31:34] 办公室什么事务都要管
[31:36] 都要评论
[31:37] 连别人的小孩都要偷揶揄
[31:39] 那更扯的是
[31:40] 还会对自己的女同事手脚乱来
[31:43] 上班听到她的声音都好躁
[31:45] 请问MK有解法吗
[31:47] 不是啊
[31:47] 她不是都手脚乱来了吗
[31:49] 你这个报信屏就直接把它处理掉了
[31:51] 这种就把它处理掉
[31:52] 就好了
[31:52] 下面一位
[31:53] Iris1980
[31:55] MK你好
[31:56] 我大四的孩子
[31:57] 最近付卡账单偏高
[31:59] 包含累积8万多的无息分期
[32:01] 孩子觉得只要按时的还款
[32:03] 就没有问题
[32:04] 但身为父母仍担心
[32:05] 学生的身份
[32:06] 承担这个金额过高
[32:07] 想请问MK
[32:08] 面对成年孩子的信用消费
[32:11] 父母该如何拿捏
[32:12] 关心跟放手的界限
[32:14] 谢谢您回复
[32:16] 我主妇之友的读者投稿
[32:18] 最后想请你用猛男的声音
[32:20] 对阿哲说
[32:21] 人生只有一次
[32:22] 要用力玩
[32:22] 但也别忘了帮自己的未来
[32:24] 做好妥善的规划哦
[32:25] 有钱就拿去买006208也很好啊
[32:28] 祝您全家平安喜乐
[32:30] 每天都笑着睡着
[32:31] 那关于这个问题的话呢
[32:33] 我觉得
[32:33] 包含说像我自己的孩子
[32:35] 虽然是未成年
[32:36] 但我就已经在面对
[32:37] 差不多的一个考验了
[32:39] 就是到底我们应该
[32:40] 涉入孩子的生活
[32:41] 到什么样的一个程度
[32:43] 那以我自己的经验的话呢
[32:45] 因为我的爸妈是属于
[32:46] 比较严格的父母啦
[32:48] 虽然我妈都讲说
[32:49] 土鸡饲养法没有在管你们
[32:50] 但其实现在我回头看
[32:52] 他们是管蛮多的
[32:53] 就是他们会
[32:53] 有蛮多是希望你怎么做的东西
[32:56] 那这些东西呢
[32:56] 当然我觉得
[32:58] 其实养育孩子很难的一点是
[32:59] 像我就还蛮感谢我爸妈
[33:01] 可能那时候是这样对我
[33:02] 即便有些东西
[33:03] 我自己是不太认同什么
[33:04] 可是如果他没有这样搞的话
[33:06] 搞不好我就没有
[33:06] 现在的抗压性或者什么的
[33:08] 所以每个东西的来源
[33:10] 都不是偶然
[33:10] 那你到底怎么样
[33:11] 可以养出一个
[33:12] 就是所谓的最健全
[33:14] 最自在
[33:15] 那不用对别人交代
[33:18] 或者说活出自我的一个孩子
[33:20] 这个可能是一个大灾问
[33:21] 但我们会试着用自己的一些感受去修正
[33:25] 就是我们到底要怎么样去对孩子
[33:26] 那我的爸妈他们就是属于相对是严格的
[33:29] 所以到我这里我就会觉得说
[33:31] 我对孩子应该要更加的放手
[33:32] 那甚至是你可能以前有一些体验
[33:35] 是你跟你家人说你想要做什么
[33:36] 然后他们就跟你讲说
[33:37] 这个东西没有办法赚钱
[33:38] 你怎么样
[33:38] 当然这一定都是为了你好
[33:40] 没有问题
[33:40] 那可是我自己知道这个体验不是太好
[33:42] 所以我就希望说我的孩子
[33:44] 我要放手让他去做所有的事情
[33:45] 那既然你要放手让他去做的话
[33:47] 你就势必会要看到他
[33:50] 他可能会受伤
[33:51] 他可能会跌倒
[33:51] 他可能真的会
[33:53] 不小心会嘎不过来
[33:54] 要找你求救之类的
[33:56] 那个时候你一定会很想跟他讲说
[33:58] 我早就告诉你了
[34:00] I told you
[34:00] 我早就跟你讲了
[34:01] 可是你讲这个
[34:02] 你的孩子就被你推走了
[34:03] 对吧
[34:03] 就是有被讲过这种话的孩子
[34:05] 你们家摸着这个软蛋
[34:06] 是不是你爸妈跟你讲这个
[34:07] 你就会觉得说
[34:08] 妈的好啊
[34:09] 那我以后什么都不要跟你讲了
[34:10] 就是对
[34:10] 我这次真的遇到问题
[34:11] 那我以后都不要找你
[34:12] 我都找别人
[34:13] 所以我觉得
[34:14] 他们一定会遇到一些问题
[34:16] 只要他不是去找什么高利贷
[34:19] 或者是说他真的去买一些很浮夸
[34:23] 然后根本就是在张扬的东西
[34:25] 因为那个有可能就是价值观偏差
[34:27] 如果是这样子我会去介入
[34:28] 但如果说你说这个8万的无息分息
[34:31] 他是在买一些
[34:32] 可能工作上会用到的东西
[34:34] 他在买一些设备或什么的
[34:36] 甚至我会默默的去赞助他
[34:38] 你懂吗
[34:38] 就是这个债务你要去观察他什么东西
[34:40] 如果这个8万块是完全的在乱花的话
[34:43] 我觉得我还是会稍微的跟他讲一些东西
[34:45] 可是我会去接受说
[34:47] 他可能会有引爆的可能性
[34:48] 我也很密集的看着
[34:49] 然后他真的被引爆的时候
[34:50] 我会第一时间出手去救他
[34:52] 然后我会训练我自己
[34:53] 不要去告诉他说
[34:54] I told you so
[34:55] 可是我也会确保
[34:56] 他一定要知道说
[34:57] 你看你这是爆掉了
[34:59] 所以你下次要小心
[34:59] 因为我不会一辈子
[35:00] 都在这边帮你扛
[35:01] 所以这是我大概的想法
[35:03] 那我相信这位地方妈妈
[35:04] 其实我后来发现
[35:06] 很多地方爸妈
[35:07] 其实大家自己心中都有答案
[35:09] 你知道要怎么做
[35:09] 你只是想找别人聊一下而已
[35:11] 就是我跟你聊完
[35:12] 你也未必会改变你的方式
[35:13] 但你只想听一下
[35:14] 别人是怎么做
[35:15] 就类似说
[35:15] 其实我自己下去喝一些红酒
[35:17] 我已经有自己的心得
[35:18] 但我还是很喜欢去看
[35:19] 说别人喝的感觉是什么样
[35:20] 就是这种感受
[35:21] 类似那种打游戏
[35:22] 稍微去看一下公略在写什么
[35:23] 可是你不是真的希望一个
[35:25] 破关的公略
[35:26] 因为你知道每个孩子
[35:27] 都是很特别的存在
[35:28] 所以希望你可以
[35:30] 有智慧的处理这件事情
[35:31] 我觉得大原则就是
[35:32] 最低程度的干涉
[35:34] 只有真的要BBQ的时候才出手
[35:37] 然后出手绝对不要去邀功
[35:39] 或是说我早就告诉你
[35:40] 因为你本来就比他成熟
[35:42] 你本来就比他有智慧跟有资本
[35:44] 所以你去讲这个刺激它
[35:45] 是没有意义的事情
[35:46] 我就会往这个方向去做努力
[35:49] 那下面一位PJ
[35:50] 五星凤上留言测试XLVII
[35:53] 相信大家都跟我一样
[35:54] 虽然在追随孟公去搞的路上
[35:57] 但距离有点远
[35:58] 连在全联昂瞎都还是有点勉强
[36:00] 能不能请MK分享
[36:02] 一支全联买到的红酒
[36:03] 感恩爱您
[36:04] PS但我发现这件事情有个问题
[36:06] 您分享一支全联买到的红酒
[36:08] 是不是只有我去全联就买不到了
[36:10] 我们也是没有去全联买过红酒
[36:14] 那或许好
[36:15] 我去逛一下
[36:16] 然后我自己一定也要去试一下
[36:18] 我再跟大家去分享说
[36:19] 可能哪一个是我觉得还蛮不错
[36:21] 像上次有跟大家分享
[36:22] 一个阿根廷的那个红酒
[36:23] 我觉得不错
[36:24] 那后来也有朋友在问我说
[36:25] 有没有差不多价格的白酒
[36:27] 就说有一个那个什么
[36:28] Montalina的Charlenay
[36:30] 那个也是蛮好喝的
[36:31] 因为那只有三四千块而已
[36:32] 然后上次刚好在
[36:33] 有一个这个朋友的饭局上
[36:35] 他们一直叫了二三十只在那边
[36:36] 然后大家喝到饱
[36:38] 就是当成是一个那种
[36:39] 就是table wine隨便喝
[36:41] 我覺得那個就超級好喝
[36:42] 也是大概只要3000多塊
[36:43] 那全聯的話
[36:44] 我去看一下再跟大家分享
[36:46] 大概這樣
[36:47] 因為我目前的管道
[36:48] 沒有從那邊來
[36:49] 大概這樣
[36:50] 下面一位GRD留言測試123
[36:53] 下面一位KTHO
[36:55] 對我跟你講
[36:56] 那個留言測試
[36:56] 其實不用太認真去做測試
[36:58] 因為可能每集錄的時間不一樣
[37:00] 像我今天這集
[37:01] 我現在錄的時間
[37:01] 是台灣時間的下午一點
[37:03] 所以對就是有時候看撞
[37:05] 因為我今天盤中
[37:06] 已經沒有事情做
[37:07] 我就提早就錄
[37:08] 孟公家你好
[37:09] 从麦克风装返停到现在
[37:12] 感觉你只要遇到问题
[37:13] 就是马上想办法解决
[37:14] 不会有任何的犹豫
[37:15] 失败了就换另一个方法
[37:16] 再来一次
[37:17] 很酷超级酷
[37:18] 想问你
[37:19] 如果你有机会
[37:20] 像世上的任何一个人问问题
[37:22] 你会想要问什么
[37:23] 首先前面那个事情
[37:24] 并不是一个很酷的事情
[37:26] 虽然可能对一些人来讲
[37:27] 就是说有问题
[37:28] 就直接硬把它扯过去
[37:29] 那怎么样都会解决
[37:30] 好像是一个蛮明快的做法
[37:33] 但我觉得像我这样的一个逻辑
[37:35] 在家庭的问题上面
[37:36] 婚后是还好
[37:38] 因为婚后可能就专注在小
[37:39] 可是在之前
[37:40] 还在跟我老婆在约会
[37:41] 是男女朋友状态的时候
[37:42] 其实这样的一个个性
[37:44] 造成了很多的麻烦
[37:45] 因为其实有蛮多的吵架
[37:46] 你当下是没有办法解决的
[37:48] 你要做的真的是给彼此空间
[37:50] 然后稍微的去隔壁凉快
[37:51] 打个手枪之类的
[37:52] 那你可能一两个小时回来之后
[37:54] 大家就是抱抱
[37:55] 继续看Netflix and chill之类的
[37:56] 可是如果你当下一直要去问说
[37:58] 所以你到底在气什么讲啊你讲啊你现在赶快讲我就要下厨里你到底不爽什么东西你刚才是讲男的女的怎么样来我们下节立刻来来来来来立来来然后赶快处理然后其实就是把事情变得更糟糕
[38:10] 所以这位兄弟或是妹妹
[38:12] 我不知道你是男的女的
[38:13] 但反正总之
[38:14] 你说的是对的
[38:15] 就是我有一个惯性
[38:16] 就是我要立刻的处理当下的问题
[38:18] 我会有那种忙次再倍的感觉
[38:20] 所以不管什么东西
[38:21] 我就要立刻处理
[38:22] 或者我立刻识别到
[38:23] 某个东西是威胁
[38:24] 我就立刻要移除掉那个东西
[38:25] 那感觉在工作上是很好
[38:28] 关键是不好的
[38:29] 所以后来我试着去学习
[38:30] 包含说去忍受一些
[38:32] 短期的不便
[38:33] 或者是说
[38:34] 就是大家是有情绪
[38:35] 是需要去消化的
[38:36] 不是每个人都像你
[38:37] 他妈的双子座的
[38:38] 可以今天
[38:38] 一个瞬间笑咪咪
[38:40] 然后突然下一个秒钟超生气
[38:42] 可是20分钟之后
[38:43] 突然又不气了
[38:44] 就有些人的情绪
[38:45] 是需要时间的
[38:46] 所以再稍微讲一下
[38:47] 就是这个并不是一个
[38:48] 特别好的事情
[38:49] 因为在我自己的生活体验上
[38:50] 它有造成一些困扰
[38:52] 那再讲说
[38:53] 可以找任何一个人
