[00:00] 欢迎收听谷爱,我是圣梦宫
[18:38] 废话谁不想买在最低点
[18:40] 只是问题是
[18:40] 就看你这个人是怎么样去做考量
[18:43] 有些人是觉得说
[18:44] 反正我就是只想要买到便宜的价格
[18:46] 没有到我就不要买
[18:47] 我的心态比较偏向说
[18:50] 宁愿买的时候
[18:50] 然后被你套个5% 10%
[18:52] 甚至20%
[18:52] 但最后面我打到车
[18:54] 因为如果说
[18:54] 你一直想要等最低点
[18:55] 就像那种超多人都说
[18:56] 怎么样等崩盘
[18:57] 或说什么出手牌车
[18:59] 我就买
[18:59] 那一定都不会买
[19:00] 然后等崩盘才要买
[19:01] 他一定最后面也不敢买
[19:02] 因为真的崩他绝对不会买
[19:03] 所以我的做法就是
[19:04] 反正只要我自己看得懂的
[19:06] 一些讯号出来
[19:07] 我就稍微加一点加一点这样
[19:08] 那看后面是怎么样去做发展
[19:10] 那在台股的方面
[19:12] 我在过去一阵子
[19:14] 我是把一些那种
[19:15] 报价相关的股票都调掉了
[19:16] 那最主要的原因是因为
[19:18] 我也算是受到身边的一些朋友的启发
[19:20] 因为他们有提到说
[19:21] 但我们就不点名哪一些标的
[19:23] 反正就有一些标的
[19:23] 是家市场超多人在追捧的
[19:25] 那这些标的
[19:26] 开始有一些那种锁不住的状况产生
[19:28] 或甚至是锁住了
[19:29] 然后隔天就直接变跌停
[19:30] 因为就大家开始大逃杀
[19:32] 所以在这样的状况之下
[19:33] 可能在后面一阵子
[19:35] 就是这些偏向报价
[19:36] 或者动能相关的股票
[19:38] 那大家会有一点那种
[19:39] 一直都被蛇咬
[19:40] 也不用到十年
[19:41] 可能就接下来三个月怕炒神
[19:43] 所以就会去担心说
[19:44] 这些股票会不会
[19:45] 不小心给它弄到之类
[19:46] 所以像过去那种
[19:47] 疯狂连续缩涨停
[19:48] 现在在我们的心中
[19:49] 就觉得说
[19:50] 那个发生几率会偏低
[19:51] 那再来就是
[19:52] 因为我看亚洲股市的话
[19:54] 像日本韩国
[19:55] 韩国是跌最重
[19:56] 那大家都在去做一个下调下修
[19:58] 其实前面都涨很多
[19:59] 那我们现在重点就是说
[20:00] 那我们觉得那个前高会不会破
[20:02] 要我去猜的话
[20:03] 我自己猜的话
[20:04] 我会觉得说
[20:05] 那些前高在短期内
[20:06] 应该是没有办法过
[20:07] 所以在接下来
[20:08] 我自己的策略
[20:09] 会想把它变成是
[20:10] 我就想象它是一个区间盘
[20:12] 也就是说
[20:12] 今天如果说掉下来
[20:14] 我可以收
[20:14] 然后上去讲是快到前高的位置
[20:17] 然后你又再给我出黑K的话
[20:18] 我就再丢
[20:19] 所以把它当成是
[20:20] 区间去做一个操作
[20:21] 当然还是有去把一些部位丢进去
[20:23] 一些我觉得是比较长线的股市
[20:25] 这个就是
[20:26] 我觉得我在美股学到的一课
[20:28] 因为其实像我去年开始
[20:30] 在美国的光通去做布局
[20:33] 好像是Lumenton
[20:34] Cohenron在节目都跟大家聊过
[20:36] 或是AXTI
[20:36] 就是它的上游
[20:37] 零化银的一个原材料基板
[20:40] 那这些是我在美国
[20:42] 去做一个光通布局
[20:43] 因为我那时候去看光通的时候
[20:44] 我会觉得说
[20:44] 美国这些我直接看得懂
[20:45] 因为像什么Lumet and Coherent
[20:47] 我都知道说你的客户是谁
[20:48] 我知道你会用在哪
[20:49] 我知道你的量
[20:49] 我知道你的东西长什么样子
[20:51] 那可是台股的光通
[20:52] 其实我一直都是一个
[20:53] 看不懂的一个状态
[20:54] 前面有去接触过一下光圣
[20:56] 因为它是Google最相关最纯的
[20:58] 那可是也没有把它爆出
[21:00] 就等于说只是做一个波段
[21:01] 类似说比较偏向
[21:02] 那种技术面的一个做法
[21:03] 那台股光通
[21:04] 我一直都是不晓得说
[21:05] 到底哪一个是真的有料
[21:07] 是哪一个是真的有搞头
[21:08] 直到美股的光通
[21:09] 这样正式的走出去
[21:10] 虽然最近你也看到
[21:11] 光通也出现回档
[21:12] 就过去最强的东西
[21:14] 现在也开始出现一些提款
[21:15] 可是我隐约已经感觉到
[21:17] 就市场最强势的东西
[21:18] 应该就真的会转去光通
[21:19] 我不确定美股的光通会不会继续喷
[21:21] 因为美股的光通在过去真的很强
[21:23] 只是在台股这边
[21:25] 我觉得有蛮多那种光通的机会
[21:26] 可能是后面有机会
[21:27] 这个资金会想要去汇聚的一个点
[21:29] 当然在挑选上面
[21:30] 就是说大家有各自的喜好
[21:32] 光通有蛮多那种中小的股票
[21:37] 證實說它到底是真的還怎麼樣
[21:39] 因為它有東西
[21:40] 簡單講說那是有特殊人脈
[21:41] 可以去做的公司
[21:42] 但是在我們的角度
[21:44] 我們是有辦法看到說
[21:45] 像一些比較大型的Fab
[21:46] 其實如果你要去買光通體材
[21:48] 你什麼都不懂
[21:49] 台積電
[21:49] 台積電就是一個非常純度高的光通的體材
[21:52] 那也是最簡單的
[21:53] 好像說不管怎麼樣
[21:54] AI光通什麼都是TSM
[21:56] 那扣除掉TSM以外
[21:57] 我如果是供TSM設備的一些
[22:00] 這種光通業者
[22:01] 就是說他本來他供的東西
[22:03] 不一定是100%是for光通
[22:05] 可是這些設備是可以用在
[22:06] CPU的一些封装
[22:08] 或者测试里面
[22:09] 这个对我来讲
[22:09] 也是有兴趣的
[22:10] 所以其实像这阵子
[22:11] 就拉了蛮多的
[22:12] 这些设备相关的股票
[22:14] 然后去看一下
[22:15] 它的营收占比
[22:15] 当然这个营收占比
[22:16] 因为你知道光通
[22:17] 是未来的东西
[22:17] 所以你没有办法
[22:18] 去透过过去的财报
[22:20] 那一定要透过一些
[22:20] 产业的人士去做推销
[22:22] 那我们大概有算了一下
[22:23] 有些在这个光通的占比
[22:26] 营收可能可以拉到
[22:27] 几十帕以上的
[22:28] 那我就觉得有兴趣
[22:28] 那如果说你光通
[22:29] 可以拉到几十帕以上
[22:30] 然后你现在trade的估值
[22:31] 是在今年或明年
[22:33] 只有十二十倍的话
[22:33] 那我就更有兴趣
[22:34] 就代表说
[22:35] 我相信光通这个东西
[22:36] 可以把一些valuation
[22:37] 给拉上去
[22:38] 所以就会想看一下
[22:40] 其实也注意到
[22:41] 有蛮多的标的
[22:42] 它是从
[22:43] 简单讲
[22:43] 它本来跟光的关联性
[22:45] 没有这么大
[22:45] 像康宁玻璃
[22:47] 我最早大家在讲
[22:48] 它的时候
[22:48] 在讲说
[22:49] 玻璃机板的封装
[22:50] 它现在变成是光的肋骨
[22:52] 再来像是
[22:53] 台湾的BizLink
[22:54] 也就是帽帘
[22:55] 它现在也算是
[22:55] 变成是光的肋骨
[22:56] 因为在过去一阵子
[22:57] 最主要就是说
[22:58] 他买下的厂房
[22:59] 那个厂房是有在出Shufflebox的
[23:01] 其实在过去一阵子
[23:03] 市场上最红的标题之一
[23:04] 就是有在出Shufflebox的瑞穗线路
[23:07] 所以就是蛮多人都往那个方向去看
[23:10] 其实我们自己稍微的看了一下
[23:12] 我觉得说像BizLink的话
[23:13] 他在可能光线
[23:15] 或者说光相关的东西
[23:17] 他那个营收是没有到很大
[23:19] 就是没有到那种
[23:20] significantly需要去注意的一个程度
[23:23] 可是问题就是说
[23:24] 我们现在开始来去假设这可能性
[23:26] 像刚才前面讲到
[23:27] 它是一个那种整体架构的论述
[23:29] 就是我过去有看这些设备
[23:30] 那这些设备我们都知道说
[23:32] 它的营收跟获利
[23:33] 我展望都蛮不错
[23:34] 可是问题是
[23:34] 它现在开始有在出一些CPU的东西
[23:36] 那光的估值呢
[23:38] 在市场上是可以给的比较高的
[23:39] 所以如果你今天可以去达成说
[23:41] 我现在不管你的营收的占比是有多少
[23:44] 我只知道你会提升
[23:45] 那同时我也知道说
[23:46] 不管它是由哪个来源而来
[23:48] 但整体来看
[23:49] 我都可以在接下来看到
[23:50] 你的一样业的表现是不错的
[23:52] 那可是同时呢
[23:53] 大家把它从本来
[23:55] 像就像说BizLink
[23:56] 我本來是給你銅線的一個估值
[23:58] 我現在改給你光的估值
[23:59] 或是我把過去我給設備的估值是多少
[24:02] 因為我甚至把它當成是某一種那種景氣懸殼
[24:05] 那台積電現在拉完之後
[24:06] 那怎麼可能會在接下來還是瘋狂的去
[24:08] 有很高的一兩億元去拓某些
[24:11] 就像說後段的封裝之類
[24:12] 雖然都不錯
[24:13] 但意思就是說那個最高原本過去
[24:15] 但現在就是畫風一轉突然間
[24:17] 它不一定擴過去的可能是那種front end back end的東西
[24:20] 我現在拓CPO可不可以
[24:21] 那CPO是一個新的跑道
[24:23] 或者说NV他们自己也在搞
[24:24] CPU相关的一些东西
[24:26] 他们是买一些设备
[24:27] 然后直接放在这些封装测试场里面
[24:29] 所以这些东西在过去
[24:31] 其实是相对强势
[24:32] 只是我觉得
[24:33] 我过去在做这些标的的时候
[24:34] 我心态是以CAPEX的角度去做
[24:36] 但我发现说不太对
[24:37] 就是说如果后面要再去
[24:39] 做一些估值的想象的话
[24:40] 这些东西应该要用光的层数去看
[24:42] 所以因为有这样子的一个思维在背后
[24:45] 所以就会觉得说
[24:46] 因为过去我都只有做到美股的光通
[24:49] 没有做到台股的光通
[24:50] 我已经看得懂一些台股的光通
[24:52] 就终于即便他们可能有些已经是
[24:54] 不知道喷了几十趴
[24:55] 但对我来讲
[24:56] 就有可能它是新的趋势之所在
[24:58] 所以最近刚才也有跟一个
[25:00] 这个产业大哥聊天有聊到
[25:02] 他就有提到说
[25:02] 这可能是新的一种那种典范转移
[25:05] 就是过去可能
[25:06] 全部人都在冲AI的东西
[25:08] 最近其实我们都有注意到一个现象
[25:10] 像最明显就是Invidia
[25:11] 在开完它的Earnings之后
[25:13] 它竟然没有涨
[25:14] 它的那个Earnings数字
[25:15] 其实是已经超越大家的预期
[25:17] 包含在Guidance都是
[25:18] 它Guidance也是盖的
[25:20] 比大家给的都好来高
[25:21] 比美林分析师或是我们一些市场上最乐观的人
[25:24] 他盖的都比这高
[25:25] 可是他竟然没有涨
[25:26] 他竟然先跌
[25:27] 那当然后面有一些反弹出现
[25:28] 但问题就是说
[25:29] 你知道以前他如果开这个数字
[25:31] 他一定盆爆
[25:32] 特别是他过去没有涨很多
[25:33] 他已经是盆很久了
[25:35] 就他竟然没有因为这样子直接射出去所以大家是开始有在想说会不会就是时代真的又在进入下一个篇章了我们在过去我们要花时间去说服大家说AI是真的
[25:46] 对吧
[25:46] 像那时候跟大家聊一些OEN ODM
[25:48] 我都还要跟你讲说
[25:49] 你知道那外面一堆论坛
[25:50] 说什么我们在炒股票
[25:51] 那是他们骂讯息太慢
[25:53] 那其他那些营收都出来
[25:54] 他们就终于看得懂了
[25:55] 所以现在相信的人
[25:57] 其实大于non-believer
[25:59] 就其他believer是比较多的
[26:00] 所以当believer这么多
[26:01] 很多时候它会产生的状况
[26:03] 就很类似说在2024的
[26:05] 2025忘记了
[26:07] 反正就是那时候有一段大爆杀
[26:09] 2025的4月
[26:10] 2024的7月是杀ODM
[26:12] 那时候刚好很多人在打股期
[26:14] 然后2025是
[26:15] 因为川普的小板翻事件
[26:18] 然后一堆东西掉下去
[26:18] 可是掉下去之后
[26:19] 那些老AI后来就全部射除
[26:21] 可是它前面其实是横盘横超久的
[26:23] 那我觉得有点类似那样的一个状态
[26:25] 就是说车上的筹码
[26:26] 都已经是充分的预期
[26:27] 后面会发生什么事情
[26:28] 所以才导致开了一个很好的东西
[26:31] 然后竟然没有人要把它买上去
[26:33] 因为大家都觉得说
[26:33] 好像是理所当然
[26:35] 或者说其实都在左顾右盼
[26:36] 想说你们要不要冲
[26:37] 你们冲我就跟加码
[26:38] 然后慢慢没有人要冲
[26:39] 所以那些东西要上去
[26:40] 就是搞不好要有一些
[26:41] 大的修正的产生
[26:42] 就把一些冲法洗掉之后
[26:43] 有可能再上去
[26:44] 但整体来看
[26:45] 就是说我们先跳出一下
[26:47] 近期发生一些事件
[26:48] 我觉得就是AI的一个大草
[26:50] 一定是不像一些人讲的
[26:52] 结束了泡沫
[26:53] 我觉得一定没有
[26:54] 只是就进入一个新的轮动
[26:56] 新的轮转
[26:57] 我们现在重点是要抓到说
[26:58] 下一波的主流到底是什么
[27:00] 其实说抓主流
[27:01] 有一个非常简单的做法
[27:02] 就是等到每次修正完之后
[27:04] 你看哪一个族群
[27:05] 第一个冲出去
[27:05] 一般那个就是主流
[27:06] 那只是有时候
[27:07] 我们会去做一些预判
[27:08] 我们希望说
[27:09] 可以买便宜一点
[27:10] 简单来说是抢快
[27:11] 三八
[27:11] 所以
[27:12] 像我自己的话
[27:13] 就觉得说
[27:14] 我在美股的光的exposure
[27:15] 是还蛮不错
[27:16] 可是在台股
[27:17] 我竟然没有什么光的东西
[27:18] 所以就借机想要去补一点
[27:20] 接着可能像过去
[27:21] 那种报价的东西
[27:22] 其实也是跟身边的朋友讨论
[27:24] 他会跟我分析
[27:25] 你看前面波线布
[27:26] 铜箔
[27:27] 再来到记忆体
[27:28] 其实现在很多人
[27:29] 对涨价是麻木的
[27:30] 他在那边讲之后
[27:34] 過去被動員階已經漲幾次
[27:35] 我是講不出來
[27:37] 我覺得好像已經整天看到漲價性的
[27:38] 各家都在發
[27:39] 或是一些什麼同伯企也看過好幾次漲價性的
[27:42] 各種營務量我們都看過很多次了
[27:44] 所以既然這些東西對大家來講
[27:46] 它可能不是一個非常直接的刺激
[27:48] 因為它沒有辦法像過去說一個漲價性丟出來
[27:50] 大家直接亂買亂充
[27:51] 記憶體也是
[27:52] 記憶體家人可能看到一些
[27:53] 告訴你說什麼
[27:53] 下一Q要漲多少
[27:54] 你也注意到那個是推不動股價
[27:56] 所以就乾脆把它變成是技術陷阱去做
[27:58] 也就是說你夠強勢我還可以留
[27:59] 你還不夠強勢
[28:00] 可能就稍微去把它作业减
[28:02] 所以其实就去做一些调整
[28:04] 我觉得以整个宏观的角度来讲
[28:06] 就是说把一些那种短线
[28:07] 然后偏动能的东西
[28:08] 在这一波就赶快把它调一调
[28:10] 然后接着就是往
[28:11] 一些比较偏向长线的论述去
[28:13] 那同时可能也会开始
[28:15] 因为假设把它当一个区间牌来做的话
[28:17] 那我觉得这个基本面的训练
[28:19] 就变得蛮重要
[28:19] 就我知道什么时候是可能相对便宜的
[28:21] 所以就去抓一下河流图
[28:22] 然后接着看
[28:23] 可能这个东西到下源的时候
[28:25] 因为每只股票其实不太一样
[28:27] 你不能够说每个都用10倍15倍
[28:28] 不一定
[28:29] 有些可能它的下源就是25倍
[28:30] 像台湾有些散热股
[28:31] 它的下源就是20到25倍
[28:33] 它没有办法再下去了
[28:34] 它过往的历史就是这样
[28:35] 所以它只要赶到下源
[28:36] 那可能就是可以卖
[28:37] 所以会先稍微用这个
[28:39] 比较平常说
[28:40] 首先第一个
[28:40] 我把我缺的东西补上
[28:42] 因为可能那些东西很多人有
[28:43] 只是我过去没有参与到
[28:45] 我可能在玩别的东西
[28:46] 那我就来这边补票一下
[28:47] 感谢老天给机会补票一下
[28:49] 接着就是会先暂时
[28:51] 用一个区间的角度去思考
[28:52] 我自己会比较难以想象
[28:54] 在这边可以直接V转上去到新高
[28:56] 如果有的话
[28:56] 这个市场我真的是从来都没有看过
[28:59] 只能够说长见识
[29:00] 身边一些大哥
[29:01] 比我多做好几年的
[29:02] 十二十年以上
[29:03] 他们也说没有看过这种事情
[29:04] 所以就当成是长见识
[29:06] 到时候再规划怎么样做
[29:08] 但现阶段会先
[29:08] 把它当成是类似一个区间来做一个操作
[29:11] 所以会比较偏向说
[29:12] 反正有东西掉下来
[29:13] 有断头
[29:14] 像在礼拜一的时候
[29:16] 是有很多期货超掉
[29:17] 直接开跌停附近
[29:18] 想说你们在干嘛
[29:19] 就是现货其实没有戳那么低
[29:20] 期货在那边乱戳
[29:22] 可能这些就是会想去做尝试
[29:24] 接着其实拉上去
[29:26] 一定要丢这一件事情
[29:27] 我可能不一定可以做得这么好
[29:28] 所以我还是会去挑一些
[29:29] 就像说我愿意抱的东西
[29:31] 那我可能不一定有在拉上去的时候
[29:33] 成功丢掉
[29:33] 但我至少
[29:34] 我知道说我没有买贵
[29:35] 那是可能是在可以的
[29:36] 所以大概在后面会这样子去做规划
[29:39] 那我觉得现在市场的重点
[29:40] 一定就是放在说
[29:41] 在中东这边的不确定性
[29:44] 什么时候会告一个段落
[29:45] 本来我认为说开战斩首
[29:46] 就是一个不确定性的告一个段落
[29:48] 可是其实很多时候就发现说
[29:49] 世间有太多东西
[29:50] 真的超乎你的想象
[29:51] 像委内瑞拉
[29:52] 竟然是马上就结束
[29:53] 那可是在这个伊朗
[29:55] 当然一定一堆人马后炮
[29:56] 怎么我早知道会打这么久
[29:58] 像是那些在中国嘴炮
[29:59] 一定不敢打一定不敢打
[30:01] 然后打之后就说
[30:02] 怎么你们怎么没有去遵从国际法
[30:04] 反正就一堆这种
[30:05] 妈死后论的拿嘴炮
[30:06] 可是我们工作需要
[30:08] 其实我们要比较冷静
[30:10] 甚至有点到冷酷的角度
[30:11] 去剖析每件事情
[30:12] 发生就发生的
[30:13] 那赶快去做一个
[30:14] 反正下风向怎么样垂
[30:16] 我们就去做相对应的规划
[30:18] 看是怎么样做
[30:19] 那我觉得现阶段就是要先
[30:21] 让这个杠杆的比例比较太高
[30:23] 因为可能随时被杀到
[30:24] 那接着去找一些
[30:26] 假设有东西掉下来
[30:27] 那或者说跌不下去的
[30:28] 这些机会来做一些尝试
[30:30] 跟过去
[30:30] 像我过去是比较平常去追抢
[30:32] 我觉得会去稍微做一点调整
[30:33] 那当然这每个人不一样
[30:35] 好身边已经还是有一些朋友
[30:36] 他是会决定说
[30:37] 反正就是持续的去做追抢
[30:38] 那只是反正每个人
[30:40] 都找自己的方法就OK了
[30:41] 那大概简单跟大家分享一下
[30:43] 最近的市场的一些想法
[30:44] 那接下来我们进入Q&A的部分
[30:46] 那因为我们今天的Q&A
[30:47] 就是轮到Spotify
[30:48] 然后跟大家讲一下
[30:49] 以后礼拜三就是Spotify
[30:50] 然后礼拜六就是在Apple Podcast这边
[30:53] 直到可能又有一些人让我非常烦躁的话
[30:55] 我们再来改一些规定
[30:56] 好那大概这样
[30:58] 那首先第一位Zchan
[30:59] 祝你新年快乐
[31:00] 从你感觉快挂了一直听到现在
[31:02] 听到陈静才都还我新店大威哥钱了
[31:05] 那希望这波再杀多一点
[31:07] 不然都不知道要买什么
[31:08] 果然市场周期还是要看留言讨论股票的数量
[31:11] 没错啊
[31:12] 真的跟我想法一样
[31:13] 真的超多人在讲股票
[31:14] 而且是那种
[31:14] 就是你一听就知道说这个人是来问涨跌的
[31:17] 这种人一多就真的会出事情
[31:19] 那再来对啊
[31:20] 陈敬才的文貌真的超级喷
[31:22] 文貌下是超多人的爱股
[31:23] 我知道买很多的
[31:24] 甚至说有一间交易室
[31:26] 好像就直接就搞了上万张
[31:27] 非常屌
[31:28] 反正总之也是在买光通的故事
[31:30] 你现在看到的很多股票
[31:31] 其实都是各种光通
[31:33] 或是里面一些什么雷射元件
[31:35] Coupe相关的东西
[31:36] 就全部都是在靠这个
[31:38] 所以我就觉得说
[31:39] 这个有可能是下一波的主流
[31:41] 虽然它其实在过去已经很强
[31:42] 但老实讲
[31:42] 台股在过去什么都买很强
[31:44] 现在重点是说
[31:45] 经历过一番洗净千华之后
[31:48] 谁还可以很强
[31:49] 那个东西可能就是下一波的一个主流
[31:52] 所以我们还是要去抓看看
[31:54] 对你的想法跟我想法一样
[31:56] 如果掉下有便宜的话
[31:57] 其实我们会更有介入的动机
[32:00] 跟美股不太一样
[32:01] 美股是已经很便宜
[32:02] 可是天天都更便宜
[32:04] 你甚至是买到快没钱了
[32:05] 可是台股的话
[32:06] 我觉得绝大多数人应该都很有余裕
[32:08] 台股要跌到大家真的没钱
[32:10] 可能还要一阵子
[32:11] 因为前面拉太凶了
[32:12] 下面一位徐满喵喵喵汪汪就一直滑到
[32:15] 我就想去问一下美国人
[32:17] 是不是不会做股票
[32:18] 到底是怎样
[32:19] 每天那么多货要到
[32:20] 你前天不到
[32:22] 你昨天不到
[32:23] 你今天到
[32:23] 每天狂到
[32:24] 你为什么你有这么多货要到
[32:26] 你前面不赶快给他到一到
[32:27] 为什么每次都要搞到
[32:29] 他妈每天醒来都开始到股票
[32:30] 这个其实是一个迷因
[32:32] 因为他全部写出来
[32:33] 我就知道把它念出来
[32:34] 那个就是
[32:34] 反正有一支我在吐槽美股
[32:36] 然后去年第一季
[32:37] 去年第一季
[32:38] 那真的是看不懂的一个状态
[32:40] 我觉得那个时候
[32:41] 跟现在的美股有点像
[32:42] 反正就是每天都割你一点肉
[32:44] 割一点割一点割一点
[32:45] 然后他妈自己给你来个大的
[32:46] 我跟现在美股的状态
[32:47] 真的是还蛮类似的
[32:48] 他说最近一直滑到
[32:50] 孟公有头绪吗
[32:51] 原本要昂瞎
[32:52] 说过年期间换了林口
[32:54] 谢孟公的图后一直喷
[32:56] 我现在还是闭嘴好了
[32:57] 爱你
[32:58] 对就尽量不要昂瞎
[32:59] 在股票里面真的是屡试不爽
[33:01] 只要开始昂瞎
[33:02] 开始舒服
[33:03] 很多时候就会开始被上课
[33:05] 下面一位台湾巴菲特
[33:06] 诸位救命
[33:07] 我以后不敢再想什么全职交易
[33:08] 一天喷掉三个月赚的
[33:10] 我要跟老板说对不起
[33:11] 最近态度不太好
[33:12] 还有台湾储值股的机制
[33:14] 为什么不取消
[33:15] 这个会挡到很多人的财路
[33:17] 特别是像前阵子
[33:18] 我朋友才教我
[33:19] 储值股怎么搞
[33:19] 一定会挡到我的财路
[33:21] 就是要有一些这种机制
[33:22] 要有储值股
[33:23] 要有锁涨停
[33:24] 要有跌停
[33:25] 涨跌幅的限制
[33:26] 这样子
[33:27] 其实才会有更多策略
[33:28] 可以去进行
[33:29] 所以我觉得市场是这样子
[33:30] 就算他取消这个机制
[33:31] 可能大家也会想到
[33:32] 一个新的玩法之类的
[33:33] 但有时候
[33:34] 你要去善用一些机制
[33:35] 简单讲这样
[33:36] 下面有位Jackie Lee
[33:37] 孟公大您好
[33:38] 上集EP640
[33:39] 听到有位听众在QA
[33:41] 问汉机器人啪啪啪
[33:42] 可不可以算在经验人数里面吗
[33:44] 那结果当晚我用巴哈的动画风
[33:46] 准备要看第一集的福利连的时候
[33:48] 眼睛就瞄到旁边有一部动漫
[33:50] 名称居然就叫做
[33:51] 汉机器人啪啪啪
[33:52] 能够算在经验人数里面吗
[33:54] 这是什么命运的巧合啊
[33:55] 立马点进去看
[33:56] 结果才发现是1月就开播的
[33:58] 那目前出到第八集
[34:00] 每一集都只有三到四分钟而已
[34:01] 就不多介绍剧情了
[34:03] 保证绝对够色
[34:04] 推荐您直接看爱宁
[34:06] 在这种时候可能就真的需要一点
[34:07] 这种精神粮食
[34:11] 感谢孟公持续分享生活故事
[34:13] 持续更新
[34:14] 矫正社会态度
[34:15] 没有我现在已经不会去矫正态度
[34:16] 我现在就说
[34:17] 真的像那个金乌里维耿图一样
[34:19] 不管你怎么讲
[34:20] 你讲的都对
[34:20] 我讲的都赛流
[34:21] 赞赞赞
[34:22] 他说我跟女朋友都是听众
[34:24] 偶尔会来帮助睡眠
[34:25] 祝孟公一家人平安健康
[34:27] 女朋友小娟是3月4号生日
[34:29] 希望孟公可以有男子汉的声音
[34:31] 就是本人的声音
[34:32] 他说小娟生日快乐
[34:34] 未来生活还是要继续认真过
[34:36] 我加班的时候不要生气
[34:37] 我只是想多赚点钱回家
[34:39] 对啊
[34:40] 就是有时候
[34:41] 这个老公在打拼
[34:42] 然后在加班的时候
[34:43] 难免
[34:44] 就是我们可能
[34:45] 在家的另外一班
[34:46] 有时候像我太太也会
[34:47] 昨天我可能跟朋友出去
[34:49] 我说这个是工作上的聚会
[34:50] 她说你一定很爽
[34:52] 我说真的蛮爽
[34:52] 那边唱周杰伦的歌
[34:54] 我真的觉得很过瘾
[34:54] 但其实老实讲
[34:55] 那也是有那种工作聚会的味道
[34:57] 跟大家还是要维系一下感情
[34:59] 老婆说你都没有陪我
[35:00] 所以有时候我们确实会
[35:01] 因为这样子被稍微念一下
[35:03] 骂一下
[35:03] 那我觉得要好好的安抚
[35:04] 也不要说很理直气壮
[35:06] 我真的就在赚钱
[35:07] 不然怎样
[35:08] 我觉得两方还是要互相体贴一下
[35:10] 有时候人家真的只是想你
[35:11] 所以不要用那种太强硬的语气去回人家
[35:13] 那下面一位
[35:14] 安安孟公
[35:16] 我是上古听众
[35:17] 上一次留言是问你知道
[35:18] 为什么冰鸟还敢下来
[35:20] 那这次想问你
[35:21] 为什么奇迹还敢下来
[35:22] 长得没有其他的卫星股多
[35:24] 叠的导致比其他卫星股还多吗
[35:25] 我自己的看法是他不够蠢
[35:27] 卫星占比不够大
[35:28] 想知道孟公对于这次的看法
[35:29] 感谢孟公开示
[35:30] 祝你一家人平安顺利
[35:32] 绩效大爆射
[35:33] 奇迹跟华通
[35:34] 还有日本的meco
[35:38] 賺最多錢的東西
[35:39] 其實你看他的那個股價漲法
[35:41] 那個比較沒有漲欸兄弟
[35:42] 還是說大家都被台股的漲幅給氧壞掉
[35:45] 你看那個是從100塊一路噴到
[35:47] 他媽最高的時候是到200去年
[35:48] 所以其實都漲很多啦
[35:50] 那很多時候是這樣子
[35:51] 你不用一直去問說什麼
[35:52] 哪一支股票為什麼不會漲
[35:54] 你要做的是你知道哪一支比較漲
[35:56] 就像說你覺得華通更好
[35:57] 你就趕快全部換去華通
[35:59] 你覺得耀華更好
[36:00] 你覺得日本的MACO更好
[36:01] 就全部換過去
[36:02] 所以很多人在做的事情都整天在問說
[36:04] 我拿的某一個族群裡面什麼東西不會漲
[36:06] 為什麼它不會漲
[36:06] 不是 不要问一堆
[36:07] 你就赶快换过去就对了
[36:09] 换过去之后
[36:09] 甚至有时候你觉得说
[36:10] 早知道我再蹲久一点
[36:11] 所以你就是白问的
[36:12] 很多人真的都是白问的
[36:13] 就是你过去之后
[36:14] 你又在那边怨叹说
[36:15] 妈早知道不要换
[36:16] 然后类似什么
[36:16] 陈进财的股票一堆人停损
[36:18] 不然像我自己
[36:18] 我是不会在那边干掉
[36:19] 因为我知道我买的理由是春田
[36:21] 我不是买它
[36:22] 可能下了光红的故事
[36:23] 但都讲说早知道我就爆
[36:24] 可是妈你这只会讲说
[36:26] 早知道我就爆
[36:27] 你另外一只又会讲说
[36:28] 早知道我就跑
[36:28] 那你到底想怎么样
[36:29] 所以其实很多时候
[36:30] 你不用一直问说
[36:31] 为什么我的东西不会涨
[36:32] 你就换去别的
[36:33] 你真的有更好的选择
[36:34] 你就换去
[36:34] 所以像我们的做法就是
[36:35] 我就会整天在那边换来换去
[36:37] 我有些东西会长期持有
[36:38] 可是我动能的部位
[36:39] 我就在那边切来切去
[36:40] 就是因为
[36:40] 我就是要去找最涨的东西
[36:42] 所以其实你要用交易的心态
[36:43] 去看就是要这样子
[36:44] 不用整天在那边
[36:45] 为什么它不会涨
[36:46] 如果说今天是要谈基本面的部分的话
[36:48] 它其实不会说纯度不够
[36:49] 因为它在市场上的话
[36:51] 大家都知道说
[36:51] 它有在做那个router
[36:52] 我之前也跟大家讲过
[36:54] 那个router
[36:54] 其实后面是有FIA
[36:55] 会进来去分掉一些
[36:57] 但他同时也有做卫星板
[36:59] 就那个板子的SMT
[37:00] 那也是他在做
[37:01] 那那个其实占比也不错
[37:03] 所以其实台湾的这些卫星股
[37:05] 我觉得营收占比
[37:06] 都是有隔几十趴以上
[37:08] 最纯的绝对是森达克
[37:10] 那你就问自己
[37:10] 为什么你不去买森达克
[37:12] 或者说
[37:12] 为什么你在高档的时候
[37:13] 才跑来要买奇迹
[37:15] 然后希望它可以涨更多
[37:16] 很多时候我没有办法
[37:17] 去回答大家这类的问题
[37:18] 你只能够问自己
[37:19] 下面一位
[37:19] 217AM472IMMYAQ32RGNQPY
[37:26] MK你好
[37:26] 早上听白灵果访问秋良
[37:28] 发现原来习大大也是个好爱宝
