[00:00] 歡迎收聽谷愛維生物工本期節目由扇存贊助
[19:00] 他是比較聚焦於一些數字
[19:02] 他在算數字
[19:03] 那我可能比較偏向是想象力的部分
[19:04] 可是想象力如果可以賺錢的話
[19:06] 可能也是蠻不錯的一個選項
[19:08] 所以目前看的話會認為說
[19:10] 這可能代表說自駕車是越來越緊
[19:12] 雖然我自己是一個實質受害者
[19:14] 因為我家就有一臺Model X Plaid
[19:15] 也會擔心說
[19:17] 會不會後面在後勤的維修方面會有問題
[19:19] 雖然他告訴你說應該是不會有問題
[19:20] 我自己的體感經驗
[19:22] 應該也不會有太大的一個問題
[19:24] 因為本身電動車的養護是非常容易的
[19:27] 所以就簡單跟大家分享一下
[19:28] 這個S跟X停產掉
[19:29] 我覺得是自駕的未來更近的一個可能性
[19:33] 當然公司有一個說法
[19:34] 想說他要把這個產線拿去弄Optimus
[19:36] 那也是一部分
[19:38] 就是我相信說他絕對是
[19:39] 想要去擠出更多的產能
[19:41] 所以才會開出一個
[19:42] 就20比1蠻大的一個CAPEX數字
[19:44] 那在機器人這一邊呢
[19:46] 當然我覺得可以把它視為是一個題材來看
[19:49] 就過去的大概一兩年
[19:52] 每次有人來問我機器人的時候
[19:53] 其實大家都知道說我的回答
[19:55] 都是覺得說這個東西偏遠
[19:56] 就是我們都已經可以看到說
[19:58] 他現在Bomb Cost大概是多少
[20:01] 然後他的殘儲量
[20:02] 其實我們是看得到的
[20:03] 但我們就沒有看到那個轉彎向上的時間點
[20:05] 或是像是之前的輝達
[20:08] 也曾經要炒過
[20:09] 反正就他在IPC裡面
[20:11] 會放一個小大腦
[20:12] 然後就說這個可以用在
[20:13] 什麼AMR跟機器人
[20:14] 那時候我們也是跟大家
[20:16] 不敢直接在風頭上
[20:17] 跟大家膩著做
[20:18] 可是就暗示你講說
[20:19] 其實我們沒有看到
[20:20] 這個量又起來
[20:22] 只是這一次公司
[20:23] 這樣的一個說法
[20:24] 當然它是兩層
[20:25] 一層就是我剛才前面的推論
[20:26] 就是有可能就是說
[20:27] 這個自駕車的發展
[20:28] 是超乎預期
[20:29] 另外一個就是說
[20:30] 機器人可能也要
[20:31] 開始去加速上去
[20:32] 那我們就去追蹤一下
[20:34] 可能在華文勳這邊的
[20:35] 所謂的機器人大腦的這些晶片
[20:37] 有沒有數量上來
[20:39] 然後再來就是在特薩的供應鏈
[20:40] 我又更認真去看
[20:41] 可是我覺得蠻有趣的
[20:42] 就是當他在電話會議裡面講這個時候
[20:44] 我隔天就稍微看一下
[20:45] 臺灣的機器人肋骨
[20:46] 然後其實沒有什麼在動
[20:48] 就是過去大家會炒作的
[20:49] 什麼亞光啊
[20:50] 羅森啊
[20:52] 然後再來什麼索羅門啊
[20:53] 彩玉哦
[20:54] 就有些人會把它當成是機器人肋骨
[20:55] 那這邊先跳出來
[20:57] 但也不要講潑冷水啊
[20:58] 就是實事求是嘛
[20:59] 其實在臺灣
[21:00] 你很難找到
[21:01] 純度很高的機器人內部
[21:02] 所以我第一時間是看了一下
[21:04] 日本的Harmonic Drive Systems
[21:06] 那它也沒有在動
[21:07] 所以可能是
[21:09] 但我們也不否認是市場有機會lag
[21:12] 因為市場也很常lag
[21:13] 所以我們才有辦法在裡面賺到一些錢
[21:15] 那當然第二個可能性就是說
[21:17] 其實大家也不是特別買單
[21:18] 這個機器人的故事
[21:20] 就只是他可能找個理由去
[21:22] 把這個Model S跟Model X的縮邊
[21:24] 給把它蓋掉
[21:25] 那我們覺得是自駕車這個
[21:28] 那可能機器人這個市場
[21:30] 也不是特別的買單
[21:31] 所以才會這樣
[21:31] 但我覺得可以稍微的觀察
[21:33] 就我覺得公司敢這樣講的話
[21:34] 就在我看來
[21:36] 過去我會跟大家說
[21:37] 你每次問我這機器人
[21:39] 我都跟你說太遠
[21:39] 那你現在問我
[21:40] 我就會說我會去看他
[21:41] 我就會覺得說
[21:42] 當公司敢做這樣子的表態的時候
[21:44] 我就會看他
[21:45] 那當然我們還要花更多時間
[21:47] 不管是top down
[21:48] 或者說bottom up
[21:49] 去看一些那種供應鏈
[21:50] 然後跟可能focus
[21:52] 有沒有看到這個機器人的數量跑出來
[21:54] 然後才可以更加的確定
[21:55] 但至少從現在開始
[21:56] 機器人可能也算是
[21:58] 跑進去我的防守圈裡面
[22:00] 雖然在臺股嚴格上來說
[22:02] 沒有那種純度很高的機器人概念股
[22:04] 他們做的東西
[22:05] 你可以想象成是說
[22:06] 反正機器人
[22:07] 他會有一些視覺的需要
[22:09] 他會有一些鏡頭
[22:10] 他有一些CIS影像感測
[22:12] 或什麼的
[22:13] 因為臺灣有些人有做這些東西
[22:15] 所以他就說這個是機器人概念股
[22:17] 可是這個就跟我們可能
[22:18] 之前舉例Nord Flash一樣
[22:20] 就是說這個東西
[22:21] 本來就是用在很多產品上面
[22:23] 所以你要不是說
[22:24] 你真的有非你不可的理由
[22:26] 或者說你的營收佔位元高
[22:28] 就可能特斯拉
[22:29] 自己把你的產線給包下來之類的話
[22:31] 那不然其實都比較偏向是說
[22:33] 有題材
[22:34] 可是它不一定會有
[22:35] 這個實質的大量的營收進來
[22:38] 所以臺灣的類股
[22:39] 我自己會覺得說
[22:39] 還是要稍微的觀察一下
[22:41] 但我相信還是可以找到一些機會
[22:43] 就基本上目前在全球的這種
[22:46] 反正就是說
[22:47] 每次有一個新的故事
[22:48] 新的題材
[22:49] 要去找供應鏈的時候
[22:50] 臺灣都一定找得到東西
[22:51] 所以從現在開始
[22:52] 可能會比較認真去看機器人這一塊
[22:54] 那之前就是有一些風聲會講說
[22:56] 像那個元香也曾經講過
[22:57] 有去送驗
[22:58] 就是在Tesla這邊的一些
[23:00] 視覺的solution
[23:02] 然後再來
[23:03] 像剛才前面提到的
[23:04] 什麼財域 亞光
[23:05] 其實都是有提到
[23:06] 跟他們是有關
[23:07] 那只是因為在
[23:08] 這個營收佔比的方面
[23:09] 我們還沒有辦法很明確的
[23:12] 去識別說
[23:12] 哪些可能會超級高
[23:14] 它不像可能
[23:15] 前面跟大家聊到一些
[23:16] 什麼衛星
[23:16] 然後或是可能
[23:18] 那些什麼板廠漲價
[23:19] 那個是很明確
[23:20] 可以算出P跟Q的
[23:22] 那這個可能是比較難算出來
[23:24] 它比較偏向先是一個想象
[23:26] 那光是想象
[23:27] 其實很多時候就會超噴
[23:28] 所以我覺得再看一下
[23:29] 但我認為其實這一次的電話會議裡面
[23:32] 表態是非常重要的
[23:33] 就是說正式的宣佈機器人的元年
[23:36] 可能真的要到來了
[23:37] 所以我們稍微看一下
[23:39] 但這有可能像那時候的電子紙一樣
[23:41] 就是他跟你講說要起來
[23:43] 就後來等了幾年之後才起來
[23:44] 有可能
[23:45] 但至少從現在開始
[23:46] 我會開始比較認真的去看他
[23:48] 以後在節目裡面去跟大家做
[23:50] 相對應的一個分享
[23:51] 以上是我對特斯拉這次的電話會議的心得
[23:55] 所以大家要注意到
[23:55] 對於ASML或者說特斯拉
[23:57] 都不會去講太多
[23:58] 數字方面的東西
[23:59] 因為特別是
[24:00] 現在是在一個大多頭行情
[24:02] 所以我覺得氣氛對
[24:04] 題材對
[24:04] 然後再來就是現行對
[24:06] 所以現行對
[24:06] 就是說資金有買單
[24:07] 會是比較重要的
[24:09] 我們什麼時候會認真算數字
[24:10] 就是等到可能開始崩的時候
[24:12] 開始崩的時候
[24:13] 你算數字就會知道說
[24:14] 哪邊是緩衝點
[24:15] 美股可能還是比較困難
[24:17] 因為美股很多時候掉下來
[24:18] 都還是很貴
[24:19] 可是臺股就掉到某些地方
[24:21] 那個殖利率算
[24:22] 我告訴你
[24:22] 超多去買殖利率的人
[24:23] 會進來接盤
[24:24] 所以就知道說
[24:25] 一個短底也出現
[24:26] 那所以算數字
[24:27] 可能會在那個地方
[24:28] 才是比較認真一點
[24:29] 那我們當然希望說
[24:30] 在短期內
[24:31] 不要去算到數字
[24:32] 希望這個行情可以持續的
[24:34] 就算沒有繼續進攻
[24:35] 可能橫盤
[24:36] 然後內部表現
[24:37] 這個是我們最希望的
[24:38] 一個局面
[24:38] 那到時候再跟大家
[24:39] 分享自己的一些想法
[24:41] 好那這邊
[24:42] 我們就來進入Q的部分
[24:42] 那因為我要錄節目的
[24:44] 千幾個小時
[24:44] 我看了一下
[24:45] 在Apple Podcast的留言
[24:47] 還是沒有去更新
[24:48] 它上次的留言
[24:49] 是五天前的
[24:50] 就一般它兩三天
[24:51] 會去做更新
[24:52] 那所以呢
[24:52] 我就有在我個人的
[24:54] Instagram上面
[24:55] 發一個限動請大家到Spotify去留言
[24:57] 那我們就先維持這樣子
[24:58] 就是從現在開始到
[25:00] 我跟大家講說可能換回去Apple Podcast之前
[25:03] 我們就會去唸Spotify的留言
[25:04] Spotify你要怎麼留言你就去找到我們那一集的單集它會有一個留言區你在那邊留言那它是即時的所以不會像Apple Podcast卻要去搶什麼留言密碼反正你先去留的
[25:16] 那你就會在最上面
[25:17] 那理論上
[25:18] 我就會從最上面的開始念
[25:19] 那做法呢
[25:20] 一樣是非常懶人
[25:21] 反正就是一路念下去
[25:22] 我也懶得去篩選大家
[25:24] 那只是這個
[25:25] 因為看不到什麼五星好評
[25:27] 所以就不會用
[25:28] 那個最簡單的filter
[25:29] 就你沒有留五星
[25:30] 我就不念你
[25:31] 那Spotify就是說
[25:32] 反正你只要來留言
[25:32] 應該都會被我念到
[25:33] 只是你可能要在比較前面的
[25:35] 才會被我看到
[25:36] 再來當然也是希望說
[25:38] 如果你覺得這個節目不錯的話
[25:39] Spotify也可以幫我按一下五星
[25:41] 非常感謝
[25:41] 因為我最近看Spotify那邊的分數
[25:43] 平常是沒有去注意
[25:44] 然後一看4.9超級高
[25:46] 所以非常感謝各位聽眾的支援
[25:48] 我們就來唸Spotify留言
[25:50] 第一位Tim
[25:51] 孟公大您好
[25:52] 聽您的節目也已經兩年了
[25:54] 學到相當多的股票知識
[25:55] 看到這陣子有很多人來許願
[25:57] 聽說這邊很靈驗
[25:58] 再一個禮拜就要考研了
[26:00] 也來嘗試第一次留言
[26:01] 可以請來一大幫我
[26:02] 跟您後面的觀音大
[26:03] 祝我今年考研究上
[26:05] 心中第一志願嗎
[26:06] 如果有上會
[26:07] 捐出去一個學期的學費
[26:10] 給慈善團體愛你
[26:12] 那希望你可以考上
[26:13] 那下面一位
[26:14] Christopher兄弟是我啦
[26:16] 那個整天問你
[26:18] 某板廠的那個傻逼
[26:19] 那我每天打給公司
[26:21] 終於在今天1月29號
[26:22] 發言人接我電話了
[26:23] 狠狠的聊了半個小時
[26:24] 終於把想知道的都問清楚了
[26:26] 感謝你當初說的
[26:27] 沒研究到感恩
[26:28] 那我現在還是走火入魔的
[26:30] 研究低軌衛星
[26:32] 先祝您全家一切順心
[26:34] 快樂過年愛您
[26:36] 那我自己現在也是
[26:37] 蠻喜歡這個低軌衛星族群
[26:39] 那你看我們過去幾期
[26:40] 一直在講衛星就知道
[26:41] 因為你的注意力在哪
[26:42] 你節目就只能夠聊什麼東西
[26:44] 那確實是我們有注意到
[26:46] 非常龐大的一個訂單的存在
[26:47] 那股價的表現也因為很好
[26:49] 那很好就可以一直加
[26:50] 它流動性也很好
[26:51] 那所以就還是會持續看它
[26:53] 就直到它轉弱為止
[26:54] 那這位兄弟我有印象
[26:56] 他有到我的Facebook去
[26:58] 跟我講一些產業的知識
[27:00] 因為他怎麼講
[27:01] 就說很多時候
[27:02] 我們不會去點出標的
[27:03] 因為像之前點標的
[27:04] 每次的經驗都不太好
[27:05] 反正就一定會有
[27:06] 他媽的一能兒
[27:07] 那就衝進去買
[27:08] 然後接著只要回檔就說
[27:09] 我聽什麼古愛的節目
[27:11] 我賠錢
[27:12] 你們就是註定被淘汰
[27:13] 你們不死的話
[27:14] 誰去死
[27:15] 老實講就是這樣子
[27:16] 所以後來我們也為了
[27:17] 避免這些麻煩
[27:18] 因為我其實很討厭
[27:19] 一堆人在那邊尿來尿去
[27:20] 所以我們就把節目的難度提高
[27:21] 就我不會直接跟你去點名一些
[27:23] 那種可能叫中小的公司
[27:25] 但是聰明的聽眾
[27:26] 一定都聽得出來
[27:27] 就你有用心的
[27:31] 也把一系列的股票都列出來
[27:33] 那就跟我的持股是高度重疊
[27:35] 他那時候就跟我講到某一些東西
[27:37] 我就跟他稍微的feedback一下
[27:39] 然後有些人就跟他說
[27:39] 沒有研究到
[27:40] 所以他可能就打電話去問
[27:42] 至於他是打哪家公司
[27:44] 我就不多說
[27:44] 可是你看就像這種投資人
[27:46] 你稍微認真一點的
[27:47] 你買的部位可能
[27:48] 我不確定
[27:49] 有些會大小眼
[27:50] 有些是假設你只要有買
[27:52] 你打過去給公司
[27:53] 他都願意跟你講
[27:54] 你看講半小時
[27:54] 這發言人是佛心來的
[27:56] 那就幫他釐清一些問題
[27:58] 所以就可能因為這樣子
[27:59] 他有更大的一個獲益
[28:01] 那希望這位兄弟順利
[28:03] 那下面一位
[28:06] Mogu
[28:07] Good morning
[28:08] 許久不見您阿公
[28:10] 我是士多小豪
[28:12] 其實只是想提早跟你拜個早年
[28:14] 還有祝皆さん身體健康
[28:17] 股市噴發
[28:18] 我都大便聽臺通
[28:19] 通勤聽孟公
[28:20] 不是啊
[28:21] 大便聽臺通的話
[28:22] 會笑到一直被我已經夾斷之類的
[28:25] 那我有印象
[28:26] 這一位好事多的小豪
[28:28] 就是應該是在那個
[28:30] 眼鏡部門隔壁
[28:31] 還是說是保健品部門
[28:33] 之前在節目跟大家分享
[28:35] 就是一個
[28:35] 我明明就是沒有看過他
[28:37] 可是我們一拍集
[28:38] 像是老朋友一樣
[28:39] 他直接帶我就
[28:40] 把我要買的東西全部都買好
[28:42] 一個好事多的頂級員工
[28:44] 那希望他工作順利
[28:46] 那也祝大家身體健康
[28:48] 下面一位
[28:48] Max
[28:49] 謝謝直男巧虎提供這麼優質的節目給大家
[28:52] 希望2026這一年
[28:53] 大家績效大爆射
[28:54] 資產累積的速度超越體重成長的幅度
[28:57] 那大家也平平安安
[28:58] 可以請巧虎保佑川普的聲音講
[29:01] Wish everyone a fucking awesome Chinese New Year
[29:05] China, China, I like China
[29:08] The best country in the world
[29:09] 好下面一位
[29:10] Kens
[29:11] 五星留言測試密碼
[29:13] MK好
[29:14] 我是收聽許久的骨灰級iPhone
[29:16] 一直陪伴在健身房揮灑汗水的我
[29:20] 激情四射
[29:21] 好啦哈哈
[29:22] 收聽節目不知不覺就變成一直以來的習慣
[29:25] 也對產業的發展有更多的瞭解
[29:26] 最近記憶體從E3的SNDK一直抱著
[29:30] 感謝過年的大紅包
[29:32] 那懇請諸位預祝在準備考研究所的
[29:35] 我能夠靜下來讀書
[29:37] 那或者是可以給我一些靜下心的建議
[29:40] 那祝福作為跟收聽節目的大家
[29:41] 績效大爆射
[29:43] OK那先祝你考試順利
[29:45] 那非常恭喜你的記憶體可以抱到現在
[29:47] 像小弟我的臺股的記憶體
[29:49] 七早八早
[29:50] 那個D-RAM全部被洗光光
[29:51] 那後來NAND Flash也是在
[29:53] NVIDIA的ICMS之後才追回來
[29:55] 你看你這超高的地方追回來
[29:57] 還是可以打個幾十趴報酬
[29:58] 真的嚇死
[29:59] 機體包發生什麼事
[30:00] 所以我只有美股的
[30:02] 就那種比較佛系的有報到
[30:03] 臺股在做交易的
[30:04] 真的是七早八早都被洗掉
[30:06] 所以恭喜各位有報住的
[30:07] 這真的是一個算蠻難得的行情
[30:09] 有機體會在你的經銷上面去加很多分
[30:12] 希望你一切順利
[30:14] 然後再來講說
[30:15] 有沒有什麼靜下心的建議
[30:17] 這個完全問錯了
[30:18] 因為我就是靜不下心的那一種
[30:20] 我是從小就非常容易分心
[30:22] 然後我會被一些
[30:23] 很小的聲音
[30:25] 就會影響到
[30:25] 可能就會爆氣
[30:26] 或者脾氣變很差的人
[30:28] 所以今天可能在考試的時候
[30:29] 如果外面有一個
[30:30] 頸鈴過去的話
[30:32] 我就完全的分析
[30:33] 然後我就畫答案卡
[30:34] 我還會畫錯行那種
[30:35] 就是我是一個
[30:35] 從小就一直被講說
[30:37] 是很粗心的小朋友
[30:38] 那至今其實我都知道
[30:40] 說我是這樣子
[30:41] 不然說像我可能去
[30:42] 看一些網頁
[30:43] 我都會開幾十個tab
[30:44] 然後桌面可能就只看
[30:45] 其中的一兩個之類的
[30:47] 或是有些東西
[30:47] 我後來有個訓練自己
[30:49] 就是如果真的夠重要的
[30:50] 我就立刻看
[30:51] 那你也不用強迫自己一定要記起來
[30:53] 因為如果夠重要
[30:54] 你的腦袋真的自己就會記起來
[30:55] 這個蠻有趣的
[30:56] 所以我覺得讓我的腦袋自己去篩選
[30:57] 反正會忘記的東西
[30:58] 應該就不是特別重要的事情
[31:00] 那就去訓練自己說
[31:02] 反正資料都要下來看
[31:03] 因為很多時候我存起來
[31:04] 我什麼我就再也不會看了
[31:05] 當然可能未來如果
[31:07] 覺得像這個Cloudbot
[31:08] 這夠好
[31:09] 雖然它現在
[31:09] 我自己還是有點怕
[31:10] 那個資安方面的一些問題
[31:12] 因為我現在有太多的資訊在我身上
[31:15] 我很怕
[31:15] 這些東西如果外流的話
[31:16] 會不會出事情
[31:17] 那所以我還不太敢用
[31:19] 但有照理認證
[31:21] 一定可以用的話
[31:21] 那我過去存起來的一些database
[31:23] 可能也會非常的有用
[31:25] 但很多東西我存起來
[31:27] 我真的後面就不會看了
[31:27] 所以我真的是完全沒有辦法
[31:29] 靜下心的那一種人
[31:30] 那我以前考試的成績也不是很好
[31:32] 所以我沒有辦法給你任何建議
[31:34] 那隻能夠祝你順利
[31:35] 下面一位
[31:36] 黑挨大有談過姐弟戀嗎
[31:39] 比人我跟一個泰國姐姐
[31:41] 糾纏了一段時間
[31:42] 發現人家情商好高
[31:43] 拒絕的時候
[31:44] 可以找一個很高明的理由拒絕
[31:46] 像我們是在交易場所認識的
[31:48] 那這種打原廠的方式
[31:50] 去說讓我感覺被拒絕了
[31:52] 那又感覺有點機會
[31:54] 我被虐爛
[31:55] 想問大家在常態分佈下
[31:56] 跟年紀大的女生談戀愛
[31:58] 是否很沒有優勢
[31:59] 能夠給比人解控建議嗎
[32:01] 謝謝愛寧
[32:03] 那這邊偷偷講
[32:04] 算幹嘛的
[32:05] 聽眾一堆可能也不是偷偷講
[32:06] 可是就是我過去的物件
[32:08] 幾乎年紀都比我大
[32:09] 大概99%
[32:10] 雖然我太太年紀比我小
[32:11] 我也沒有想過
[32:12] 說我會跟一個年紀比我小的結婚
[32:14] 但是她其實在她的
[32:15] 我覺得心智年齡方面
[32:16] 她很老
[32:17] 她超級老
[32:18] 所以像我岳母都會自己講說
[32:20] 她比較像女兒
[32:21] 雖然一個老人家這樣講怪
[32:23] 可是真的是這樣
[32:24] 就岳母她還會什麼party
[32:25] 要跟人家社交什麼
[32:26] 老婆就很懶
[32:28] 然後她很常會用一些
[32:29] 那種超級長輩的態度去評論說
[32:31] 像絕佳說她講說什麼
[32:32] 那再叫你古來的
[32:33] 你就再也不要理他們了
[32:34] 或什麼的
[32:34] 就是她會有這些
[32:36] 你想說你啥小
[32:37] 你怎麼會對這個世界充滿一些偏見呢
[32:39] 你是55歲嗎
[32:40] 然後她一個二十幾歲的人是這樣子
[32:42] 所以我確實是跟這個年紀比較長的人
[32:45] 比較容易交到朋友
[32:47] 不管是我當時的物件們
[32:49] 然後或者是
[32:49] 像是我現在的很多朋友
[32:51] 其實年紀都比我大很多
[32:53] 會跟我有什麼定期吃飯
[32:55] 幾乎年紀都比我大
[32:56] 那我自己是跟年紀比我大的人
[32:58] 相處起來是比較舒服一點
[32:59] 那當然我不會把這個講成
[33:01] 是什麼認知年齡
[33:02] 或什麼心智年齡之類的
[33:03] 可能就只是單純說
[33:04] 不曉得就有個老靈魂吧
[33:05] 跟這些老人家就是
[33:06] 完全可以結合在一起
[33:08] 雖然這樣講他們應該不太高興
[33:09] 可是就我都是跟年紀大的在一起
[33:11] 那年紀大的
[33:12] 因為他們可能也面對過
[33:13] 社會的鐵拳
[33:14] 所以他們不會讓有人有腳
[33:16] 他們都是比較圓滑一點
[33:17] 他們也知道說
[33:18] 怎麼樣去拒絕你
[33:19] 所以就類似人家講什麼京都人吧
[33:22] 就王沙開一些名音
[33:23] 不知道京都人都會去拐個彎
[33:24] 跟你講話
[33:25] 或者拐個彎罵你
[33:26] 我覺得有點像是這樣
[33:27] 就他們不是刻意要
[33:29] 怎麼講
[33:30] 就是說去玩一些文字遊戲
[33:32] 就像是你來我這裡
[33:33] 除非你很明顯是那種快樂寶貝
[33:35] 但大家應該很少看到
[33:36] 就即便說有些
[33:37] 你們一聽就知道說
[33:38] 幹這快樂寶貝
[33:39] 可是我還是會去
[33:40] 比較圓融的跟你講話
[33:41] 那這也是我練出來的
[33:42] 就我找這些節目
[33:43] 可能沒有辦法
[33:44] 可是因為
[33:45] 就一萬小時理論
[33:46] 你整天在那邊錄節目
[33:47] 你錄久
[33:48] 你也知道怎麼樣講話
[33:49] 大家不會受傷
[33:49] 或是其實有時候
[33:51] 我還知道怎麼樣降維打擊
[33:52] 我已經知道說
[33:53] 你會聽不懂
[33:54] 就是假設我可能
[33:55] 直接反應跟你講的東西
[33:56] 我知道你一定會聽不懂
[33:57] 就算你跟我說你聽得懂
[33:58] 我也知道你一定聽不懂
[33:59] 因為我看你的樣子
[33:59] 我看你的發言
[34:01] 我就知道你的水準在哪了
[34:02] 就這麼簡單
[34:02] 所以我會乾脆就直接
[34:04] 懶得去跟你去站說
[34:06] 你的水準怎麼樣
[34:06] 我就降到你聽得懂的方式
[34:08] 去跟你說明
[34:09] 所以我覺得
[34:10] 對於那些姐姐
[34:11] 或說那些哥哥來講
[34:12] 他們其實做的事情是一樣的
[34:14] 就是他不一定是要去打圓場
[34:16] 或是玩弄你
[34:17] 他只是想用
[34:18] 就是你可以聽懂的方式
[34:19] 那你看這個方式是有效
[34:21] 就雖然已經被拒絕打槍了
[34:23] 可是他不會讓你感受到說
[34:25] 你的自尊被踩在地上
[34:26] 或是你變恐怖情人
[34:27] 想要報復之類的
[34:28] 你就自己會知道說
[34:29] 像是碰了一個軟釘子一樣
[34:30] 你想去罵這個人
[34:31] 你也罵不下去
[34:32] 反正就OK好
[34:33] 我知道我現在就是被拒絕了
[34:35] 所以我要繼續去成長
[34:35] 所以我覺得那個概念
[34:37] 有點像是這樣子
[34:38] 因為我自己的物件逛
[34:40] 年紀都比我大
[34:41] 可是我自己遇到這些年紀比我大
[34:42] 我覺得很有趣的地方是
[34:43] 我一開始被吸引都是因為
[34:45] 反正我喜歡那些
[34:46] 你可以講我是M
[34:48] 可是我也不完全是M
[34:49] 但我就喜歡那種
[34:50] 像有時候我老婆去做一些那種
[34:52] 超級有決斷性的事情
[34:53] 她就決定說
[34:54] 媽的我小孩這樣子
[34:55] 我聞到她那個尿尿味道
[34:57] 我立刻要去送醫
[34:58] 這就是我會戀愛的時間點
[35:00] 就是那種超級果斷
[35:01] 超級果決
[35:02] 可是像我過往的一些經驗是
[35:04] 有些可能我在當下被你吸引
[35:06] 是因為我發現說
[35:07] 你超幹練練聰明
[35:08] 我對於那種聰明的女生
[35:09] 我抗心潮低
[35:10] 可是後來在一起之後
[35:12] 就開始會變成說什麼
[35:12] 就覺得說好像退化
[35:14] 就把他整天問我說
[35:15] 那個是誰
[35:16] 誰在跟你打電話
[35:17] 要吃醋什麼
[35:18] 我就不喜歡
[35:18] 我就不喜歡
[35:19] 我喜歡那種超級有自信
[35:20] 或者說他可以carry我的
[35:22] 就是如果今天是當spoon的話
[35:23] 我想當小spoon那種
[35:24] 所以我完全懂你好不好
[35:25] 那沒有關係
[35:26] 反正下一個會更好
[35:27] 那我們一樣是解控
[35:28] 解控要一起茁壯
[35:30] 下面一位
[35:30] dorindale650
[35:33] 謝謝主委
[35:33] 不放棄podcast一直做下去
[35:35] 真的有種一直成長的感覺
[35:37] 去年因為健康因素離職休息到現在
[35:39] 那3月8號是結婚的一週年
[35:41] 可以請主委提早祝福我跟老公
[35:43] 結婚紀念日快樂嗎
[35:44] 那謝謝老公一直對我溫柔體貼
[35:46] 疼愛有加
[35:47] 微微照顧好自己的身體
[35:48] 快要農曆新年的
[35:49] 祝福主委家新年快樂健康平安
[35:52] 那首先先預祝這個Dorian Liao
[35:55] 可以儘早解決你的健康問題
[35:58] 然後回到職場上面
[35:59] 那也祝你跟先生的結婚紀念日快樂
[36:02] 非常感謝你們的支援
[36:03] 那下面一位
[36:04] RayNaruto913
[36:08] 安安孟公
[36:08] 感謝孟公的人生觀點解惑
[36:11] 那時尚在人生覺得迷茫的時候
[36:13] 剛好聽到其他觀眾的QA
[36:15] 不只解決到他的問題
[36:16] 也解決到我的問題
[36:17] 小弟的生日
[36:18] 剛好跟仁勳爸爸同一天
[36:19] 可以先祝我生日快樂嗎
[36:20] 祝福大家平安快樂
[36:21] 愛你愛你
[36:22] 祝你生日快樂
[36:22] 下面一位
[36:23] Marco Chang
[36:25] 孟公你好
[36:26] 我是馬可
[36:27] 上次分享前老闆
[36:28] 不讓你入股的故事
[36:29] 真的讓我深有同感
[36:31] 這麼冷門
[36:32] 這種東西竟然有人也可以
[36:34] 有共鳴
[36:35] 他說
[36:36] 我曾經為一個老闆工作了五年
[36:38] 對我很好
[36:38] 常帶我出國
[36:39] 但是不可以談薪水
[36:41] 五年來陸續有12個月
[36:43] 沒有拿到薪水
[36:44] 念在有感情
[36:45] 感謝他
[36:45] 就用各種理由催眠自己
[36:47] 後來還是離開了
[36:48] 如今自己也在創業的路上
[36:50] 不後悔人生每一次的經歷
[36:52] 回頭來看總是更好
[36:53] 不過還是要靠北一下
[36:54] 不要壓榨人
[36:55] 自己當老闆就知道
[36:57] 要慷慨路才會廣愛你
[36:58] 這個真的就是
[36:59] 完全呼應到
[37:00] 我前幾集跟大家講的
[37:01] 不只是對神明
[37:02] 對大家人都要大方一點
[37:03] 因為其實我覺得現在的人
[37:06] 可能是因為資訊發達的關係
[37:08] 就是你就算自己的人生歷練
[37:10] 沒有到很多
[37:11] 可是你多看
[37:12] 你一般來說還是會有加分
[37:14] 當然如果你看到資訊是更好的
[37:16] 那加分更大
[37:17] 所以現在是真的可以實現說
[37:19] 就類似你跟AI對話
[37:20] 你沒有去外面行萬里路
[37:22] 但你還真的某個程度上
[37:24] 知天下的事
[37:25] 類似這樣
[37:25] 雖然會有些偏差
[37:26] 可是你知道的那個東西
[37:27] 一定是比以前的人多很多
[37:29] 所以如果你今天是一個
[37:31] 那種小氣的人
[37:32] 或者說你今天在畫虎蘭
[37:33] 在碰瘋什麼
[37:34] 其實被看穿的可能性
[37:35] 我覺得都比早些年
[37:37] 就是沒有這些先進工具的人
[37:39] 來得高很多所以大方真的是非常重要我真的覺得大方氣度格局這個雖然有些8加9也會整天把這些放嘴上但一樣是實踐程度的問題我覺得很重要大家一定要切記
[37:51] 因為大家真的都看在眼裡
[37:53] 所以很多時候
[37:53] 像我現在跟一些朋友
[37:55] 做生意或什麼的
[37:57] 就是我會去投資人家的生意
[37:58] 我都是直接讓利
[37:59] 基本上像我投的生意
[38:01] 有好幾個我都是投全額
[38:03] 可是我只拿你
[38:04] 可能10%或是20%的股份
[38:06] 你要給我多我還不要
[38:07] 因為我自己也知道
[38:08] 就以前會算很精
[38:09] 還沒有那麼有錢的時候
[38:11] 可能現在也沒有說很有錢
[38:12] 那就是說比以前好
[38:13] 那你以前就會覺得說
[38:15] 反正股權說話
[38:16] 那出錢多的人
[38:17] 那可能就當然股權要多一點
[38:18] 可是你後來就發現說
[38:20] 很多生意就是到後面
[38:21] 如果你今天是賠錢的話
[38:23] 大家還有可能是朋友
[38:24] 賺錢之後很多就會鬧翻
[38:25] 那覺得說媽我做半天
[38:26] 為什麼我要分你這麼多
[38:28] 雖然他這個想法是不厚道
[38:29] 沒錯吧
[38:30] 可是這就是人之常情
