[00:00] 欢迎收听谷爱,我是星风公,本集节目由NordVPN赞助
[18:56] 就是说这怎么可能不通膨啊
[18:58] 太夸张了
[18:58] 这会在涨价
[18:59] 所有东西都在涨价
[19:01] 太夸张了
[19:02] 那只是当我们看到这些涨价的东西
[19:04] 像我前阵子就是这些涨价的东西
[19:06] 不管是一些什么power的这个元件啊
[19:09] 然后或者是说被动元件或什么的
[19:11] 我每次掌握到它要涨价
[19:13] 或是我自己算了一下
[19:14] 觉得这东西会涨价
[19:15] 然后最后发现说我也赌对
[19:16] 它真的有涨价
[19:17] 但是你去做股票
[19:19] 那个报酬率不是太好
[19:20] 甚至很多时候
[19:21] 你会因为这样子
[19:22] 就不小心搞在水安第一排
[19:23] 然后给人家到货到报
[19:25] 那即便最后面证明你是对的
[19:26] 就是你压的这个理论是有发生
[19:28] 可是你还是不会赚到钱
[19:29] 那所以当时呢
[19:30] 就是有身边的朋友跟我讲说
[19:32] 其实有可能是因为记忆体吧
[19:33] 这种就是对于涨价的预期
[19:35] 的这些资金全部都吸走了
[19:37] 其实我觉得是还蛮合理的
[19:39] 为什么
[19:39] 因为其实记忆体
[19:40] 它其实还有点像是说
[19:41] 这个市场里面的
[19:42] 那个Victoria Secret Model
[19:43] 你知道就是
[19:44] 他们的身形太好了
[19:46] 然后大家太喜欢了
[19:47] 所以经验看到那种
[19:48] 涨价信出来
[19:49] 那个涨价信
[19:50] 其实老实讲都涨蛮多的
[19:51] 可是
[19:51] 有一个东西摆在那边
[19:53] 你说你涨多少
[19:54] 你涨什么30% 50%
[19:56] 那个涨100%
[19:57] 那个价格涨100%
[19:58] 那你要去哪
[19:59] 当然全部都往100%去冲
[20:00] 这个30% 50%
[20:02] 除非说你现在是在低档位置
[20:04] 大家可能还有兴趣
[20:05] 但如果你也是在相对高档
[20:06] 我当然还是买最强的
[20:07] 所以他其实某程度上是这样子
[20:09] 然后把一些
[20:10] 就是喜欢去玩
[20:11] 报价变化的资金
[20:12] 全部都拉去了
[20:13] 所以我自己的想法是这样
[20:15] 就是我不会想去当一个
[20:16] 什么大预言家
[20:16] 说什么记忆体会长到什么时候
[20:18] 不晓得
[20:18] 因为如果你真的知道的话
[20:19] 那你就发了
[20:20] 可是没有人可以抓得很明确
[20:22] 但只要看到他的长势
[20:24] 我认为就稍微的变弱一点
[20:26] 或者说开始去横盘的话
[20:27] 那有可能这些喜欢赌报价的
[20:30] 就会重新的去回到那些
[20:31] 报价相关的肋骨
[20:34] 就是他们一样有长之
[20:35] 他们长出记忆体
[20:35] 有可能是这样子
[20:36] 但那天去开会的时候
[20:38] 同时也有一个这个
[20:39] 产业上的朋友
[20:40] 有分享有一点
[20:41] 我觉得蛮有趣的
[20:42] 他就是有提到说
[20:43] 其实我们现在要
[20:44] 很明确的分得出来说
[20:45] 什么东西是需求driven
[20:47] 什么东西是供给
[20:49] 或者说价格成本导致的涨价
[20:52] 就是说两个drive是不一样的
[20:54] 如果今天是需求去驱动的话
[20:56] 那当然我觉得它在市场上的表现
[20:59] 就是会更好
[21:00] 因为这是一个非常明显的说法
[21:02] 只是可能有时候
[21:02] 当你过度的去研究一些东西
[21:04] 你的眼睛都盯着那个东西
[21:06] 就像是你变成一个锤子
[21:07] 你看所有东西都变成是钉子
[21:09] 所以你不要看到说什么报价涨就高潮
[21:12] 因为其实确实在过去
[21:13] 有蛮多的报价涨
[21:15] 其实是在反映像是原物料的价格上涨
[21:17] 那所以呢
[21:18] 他们受不了
[21:19] 他们只好去把
[21:20] 这个对客户的报价给往上调
[21:22] 可是他不一定在需求方面是很强劲
[21:25] 所以像被动元件有蛮多环节
[21:27] 是因为他会用到硬
[21:29] 所以导致呢
[21:30] 他们有一个价格的变化产生
[21:31] 那如果我们今天去细究
[21:33] 其中的一些差别的话
[21:34] 我觉得就是一些高阶的MLCC
[21:36] 然后或者是像什么TEL VR电感
[21:39] 这个都是很明确看到说
[21:40] 在未来可能会出现一些工序适合的东西
[21:43] 所以就是说
[21:44] 如果你今天去看一个报价上涨的话
[21:47] 那这边也要稍微的提醒一下
[21:49] 就是你要注意说
[21:49] 这个报价上涨是
[21:50] 纯粹的因为是需求导致的
[21:53] 那可能它会是一个上旋
[21:54] 会比较好
[21:55] 那如果它是因为
[21:56] 是在供给的成本方面
[21:58] 去被涨价
[22:00] 所以它把它转嫁给客户的话
[22:01] 那可能是摆在次等的
[22:03] 只是我们目前去看的话
[22:05] 会觉得
[22:05] 其实市场上面
[22:06] 要涨价的东西是蛮多的
[22:08] 那其实
[22:08] 如果是用这个
[22:10] 供需的角度来说的话
[22:11] 是在需求方面的
[22:13] 要求而导致涨价的东西
[22:16] 也是相对多
[22:17] 当然有些东西
[22:18] 它其实并不是因为需求driven的
[22:20] 那这个就要比较小心一点
[22:22] 那至于记忆体方面的话呢
[22:24] 最近自己有听身边的一些朋友提到
[22:27] 因为三大厂其实近期都是在开会
[22:29] 那我们看到的一个状态是
[22:32] 在接下来
[22:32] 他们已经开始去倾向认为说
[22:35] 在NAND的涨价应该是会跑因低润
[22:38] 那低润还是有在一个涨价的状态
[22:40] 我们没有要去分一个谁高谁低
[22:41] 或是捧黑彩币这样
[22:43] 那只是客观的去描述一个情形
[22:45] 就是说在NAND的方面的需求
[22:48] 还是非常的强劲
[22:49] 那这当然就是归功于说
[22:50] 在AI的存储
[22:52] 因为像大量的
[22:54] 怎么说
[22:54] 就每个人都在使用AI
[22:56] 每个人都在产生很多的废图跟废片
[22:58] 所以导致这个存储的需求是拉到很高
[23:01] 那我们是有看到说
[23:02] 在NAND这边的表现都还是会很好
[23:05] 那至于在一些模组厂的表现
[23:07] 或是一些controller
[23:08] 他们自己会自带模组的
[23:09] 就是可能会有颗粒的囤积的话
[23:12] 那大家可能比较担心是说
[23:14] 他会不会等到低价库存烧完之后
[23:16] 然后就不赚钱了
[23:17] 当然这个也是前几天跟朋友聊天的时候
[23:19] 然后稍微被点到
[23:20] 他就说低价库存
[23:22] 大家看的都是可能不知道一两年前
[23:23] 那种买超便宜的低价库存
[23:25] 可是问题是
[23:25] 有时候他们如果赌对的话
[23:27] 就觉得说我在这季买一大堆东西
[23:29] 然后下一季跟下一季继续涨很多
[23:31] 那这也都是低价库存
[23:33] 所以其实这个也呼应到一点
[23:35] 就是现在的这个时代很有趣的地方
[23:38] 是你敢不敢赌
[23:39] 这个也是近期可能在美国系股圈
[23:42] 也很多人在讨论的东西
[23:43] 像OpenAI就是一个非常敢赌的组织
[23:46] 所以它在一开始就给你喊一个
[23:48] 像是画梦般的算力需求
[23:50] 可是像Enthropic
[23:52] 它是一个比较保守的组织
[23:54] 所以相对之下
[23:55] 就是等到他们真的要可以大张拳脚
[23:57] 或是他们其实最后面发现
[23:58] 所判断是对的
[23:59] 就是这个东西真的超缺的时候
[24:01] 比较敢冲的
[24:02] 比较敢建制的
[24:03] 它会有更多的能量可以去推
[24:05] 这个不只是发生在
[24:07] 矽谷的这一些顶级的劣食者
[24:09] 其实在台系的供应链
[24:10] 那不管是一些板材厂
[24:12] 然后或者是我们刚才前面提到的
[24:14] 这种记忆体模组上
[24:15] 你敢不敢采购的
[24:16] 好像虾的赢家是那一些敢冲的
[24:18] 就是你越敢冲的
[24:19] 你越敢扩敞的
[24:21] 你敢配合客户的
[24:22] 那你敢相信说这次可能不一样的
[24:25] 那他会是最大的一个受益者
[24:27] 所以看起来好像是要往这种
[24:29] 最冲的方向去
[24:30] 那我自己有个倾向说
[24:31] 可能接下来挑的东西会往这个方向去
[24:33] 那当然要稍微下一个警语
[24:35] 因为这个已经有点类似
[24:37] 那时候在2021、2022发生的事情了
[24:39] 因为2021、2022的时候
[24:41] 那时候因为缺货塞港的状态
[24:43] 所以导致有长短料的产生
[24:45] 短料大家都有
[24:47] 长料的部分就是比如说
[24:48] 谁敢去下单
[24:49] 谁敢买得多
[24:50] 谁的库存高
[24:51] 那就有办法把东西拼出来
[24:53] 出货然后开始赚钱
[24:54] 只是你知道说
[24:56] 就是世界的任何万物
[24:58] 就是它最后面都是脱离不了循环
[25:00] 只是可能这一次的循环是比较大一点
[25:01] 所以那时候可能去囤最多东西的人
[25:04] 在一开始看他是赢家
[25:06] 只是后面就会有一个
[25:08] 神奇的转折点出现
[25:09] 那個轉折點出現有時候是某一個事件所導致
[25:12] 搞不好又在一場戰爭或是怎麼樣
[25:14] 像那時候就是烏鴉戰爭可能打響了這個警鐘
[25:17] 然後讓大家稍微的煞車之後發現說哇靠我庫房裡面的庫存超級多然後到時候就迎來了一了一个逆转所以这可能是稍微要小心的只是这个可能就很难去判断说到底什么时候会发生
[25:29] 因为像那时候库存一直在往上拉的时候
[25:31] 我还记得可能在2020年的
[25:33] 差不多年中左右就有人讲说
[25:35] 那库存上去太快
[25:36] 就它就一路这样涨
[25:38] 涨到2022年
[25:39] 然后才出现一个崩盘这样
[25:40] 所以也有可能就是
[25:42] 你现在可能看到一些这种
[25:43] 很敢冲很敢投资的厂商
[25:45] 你想说过去历史演过
[25:47] 他们那么敢冲
[25:48] 那后面真的要反转的时候
[25:49] 他们就摔最惨最死
[25:51] 但它有可能是一两年之后
[25:53] 才会发生的事情
[25:53] 所以这个可能就是
[25:54] 我不知道
[25:55] 因为我的角度是这样讲
[25:57] 反正我们是在股票市场投资
[25:58] 我们并不是去投资实业
[26:00] 如果我今天我是实业的
[26:01] 我东西丢下去
[26:02] 我投息下去
[26:02] 我走不掉的
[26:03] 我就会非常的小心
[26:04] 可是我在股票市场的
[26:05] 我发现不对
[26:06] 我随时可以把东西砍掉
[26:07] 所以对我来讲
[26:08] 这个是否成本是可以接受的
[26:10] 那我还是会选择去往
[26:11] 就是敢冲
[26:12] 然后敢投资的厂商去靠
[26:14] 那等到发现
[26:15] 它有些什么跌破的产生什么的
[26:17] 那我们再去做调整
[26:18] 就觉得OK
[26:19] 就算你会吃到一些损失
[26:20] 但至少流动性是够大的
[26:21] 所以目前心态是这样
[26:23] 虽然现在盘面是一个
[26:25] 以美国来讲很不好的一个状态
[26:27] 但我还是会认为说
[26:29] 不改变的是AI的趋势
[26:31] 不改变的是这些需求
[26:32] 不改变的是我们看到大量的demand
[26:34] 那只是可能因为一些地缘政治
[26:36] 因为一些有的没有的东西
[26:37] 所导致说
[26:38] 现在盘面的资金可能比较缩一点
[26:40] 然后触发这些CTA的
[26:41] 这种商品顾问的添损潮
[26:44] 那添损潮呢
[26:45] 你也不知道就绝对的那个低点在哪
[26:47] 可是呢就是按照我们的经验
[26:48] 我们像之前跟大家分享
[26:49] 就是说
[26:50] 就像说VIX跳上去
[26:51] 每次过40以上
[26:52] 你不知道跳上去之后
[26:54] 可能会再往下个几根
[26:55] 可是反正到那个地方左右
[26:57] 就是一个不错的买点
[26:58] 那CTA开始在那边叼砍的时候
[27:00] 一般来讲
[27:01] 就你收回来看
[27:02] 也都是不错的买点
[27:03] 那至于那些要追求说
[27:05] 一定要买最低点
[27:06] 抱歉我真的就帮不上你了
[27:07] 你妈你那么厉害的话
[27:08] 你也不需要去听任何的节目
[27:09] 或是任何人跟你分享
[27:10] 反正总之就是
[27:11] 当你注意到这些指标出现的时候
[27:13] 理论上都是要保持冷静
[27:14] 去做出一些
[27:16] 就是采买的行为
[27:17] 那事后回头看
[27:18] 就会发现说
[27:18] 谢谢自己这样
[27:19] 只是在当下
[27:20] 其实你就会发现说
[27:21] 这些决定都是不容易的
[27:22] 所以有时候会认为
[27:23] 就是有些人在投资市场赚到钱
[27:25] 那很多人都觉得说
[27:26] 这些人怎样干
[27:27] 你看你们都没有去
[27:28] 贡献实质生产力
[27:29] 你凭什么赚钱
[27:29] 他们在大家不相信的时候
[27:32] 去相信这些公司
[27:33] 去帮他撑股价
[27:34] 去帮他做宪争
[27:35] 帮他认CB什么的
[27:37] 他活该
[27:38] 他活该赚钱
[27:39] 所以当大家都失去信仰的时候
[27:41] 我觉得我们还是会专注的去focus在
[27:43] 一些产业的变化
[27:45] 一些基本面的状态
[27:46] 那我们就是锁定在基本面的部分
[27:48] 所以有时候虽然我们讲的东西
[27:50] 可能会跟股价是感觉是反过来
[27:52] 可是我们会坚持下去
[27:53] 因为最后面这样看
[27:54] 这个一面是高的
[27:55] 只是当然有些东西
[27:56] 它势必会就是会让你失望
[27:58] 就像是你打十场牌
[28:00] 一定会有几场是输的
[28:01] 那没有办法
[28:01] 那我们就尽量站在一个
[28:03] 就是了解产业并分析产业的角度
[28:06] 所以目前整体看下来
[28:07] 我认为还是偏向市场情绪的一个不稳定
[28:10] 然后更不确定性
[28:11] 但目前我们所看到的各大CSP的顶面
[28:14] 或什么都还是在一个极好的状态
[28:15] 那只是有可能产生一种新的移转
[28:18] 就是过去可能大家对于AI的这些
[28:19] 疯狂上去的陈述
[28:20] 会换到新的族群
[28:22] 像是光或是CPU的类别里面去
[28:25] 但应该都还是有东西可以持续走
[28:27] 因为我们现在去看
[28:28] 像台股的这些光的类股
[28:30] 或是美股光的类股
[28:31] 都还是在很强势的状态
[28:33] 所以这个地方要出现全面崩盘
[28:35] 一般来讲就除非真的世界有出什么大事
[28:37] 不然比较难
[28:38] 但如果世界有出大事的话
[28:40] 那当然什么事都可能发生
[28:41] 那我们是没有办法预期这种大事
[28:42] 所以只能够等到看到之后
[28:44] 再来做一些修正跟调整
[28:45] 以上
[28:45] 所以稍微简单跟大家分享
[28:47] 最近的一些盘试的状态
[28:48] 希望大家可以顺利的度过
[28:50] 像这种时候就是大家互相取暖一下
[28:52] 很多时候回头看就会发现
[28:53] 我们又度过了一次这个难熬的低谷
[28:56] 虽然我真的觉得台股
[28:58] 没有任何难熬的感觉
[28:59] 但美股是真的有这样的一个感受
[29:01] 所以稍微简单跟大家分享一下
[29:02] 好那接下来我们就来进入QA的部分
[29:04] 地位大出出
[29:05] 波动好大安
[29:07] 主委这阵子市场波动大
[29:08] 那希望大家都能够安然度过
[29:10] 没有问题想问
[29:11] 祝主委一家跟股友们身体健康
[29:13] 持股持续喷高高
[29:14] 感恩爱宁同为爱宁这位兄弟
[29:15] 也希望你平安健康
[29:16] 下面一位我要上观影
[29:18] 那天晚上弄了他
[29:20] 隔天就有了
[29:21] 那想请问供应链猛男几个问题
[29:23] 红海的PCB儿子近期开了法说会
[29:25] 有提到今年的伺服器
[29:26] 已经光通讯版的
[29:27] 营收成长一两亿
[29:29] 而是100到150%
[29:30] 那光通讯模组跟近期
[29:32] 最热门的CPU封装有相关吗
[29:34] 感谢猛男解惑
[29:35] 红海的PCB
[29:38] 4958真鼎
[29:39] 如果是的话
[29:41] 它应该是比较多pluggable的东西
[29:43] 可能可以透过一些玻璃基板
[29:44] 玻璃载板的东西
[29:45] 去切到CPU相关
[29:47] 只是一般
[29:47] 如果你要讲说
[29:48] 像宏佳君里面跟CPU比较有关
[29:51] 应该是6451
[29:52] 迅行
[29:52] 应该不是GDT4958
[29:54] 那对
[29:56] 就是一般我们
[29:57] 如果要看CPU的话题的话
[29:59] 应该往另外一支去看
[30:00] 而不是这一支
[30:01] 但这一支也有摸到
[30:02] 这支就是在coop方面
[30:03] 很多人是在买这个题材
[30:05] 所以都是不错的公司
[30:07] 下面一位
[30:07] 其实我近期的心态
[30:23] 慢慢跟这位兄弟有点像
[30:24] 以前我看到蝶
[30:25] 我也是会很紧张
[30:26] 但我觉得随着自己的认知水平
[30:28] 慢慢变高之后
[30:28] 其实有时候看到蝶
[30:29] 还真的是兴奋的
[30:31] 还真的是蛮爽的
[30:32] 看到对人在骂的时候
[30:33] 你就觉得说
[30:33] 超爽
[30:34] 你们全部杀在低点给我捡
[30:36] 所以现在心态真的是
[30:37] 稍微有点改变
[30:38] 那我们玩过三三元针对
[30:40] 有已经全破了
[30:40] 蛮好玩的
[30:41] 那再想说
[30:42] 如果是不生派的话
[30:43] 我的人生会长什么样子
[30:44] 我觉得应该就是
[30:45] 疯狂要打电动吧
[30:46] 那再来可能就是
[30:47] 时不时的会出国走一下吧
[30:49] 只是可能会是
[30:49] 比较偏向比较废的那一种
[30:51] 就是怎么讲
[30:52] 很多时候大家都是
[30:53] 活在自己的想象里面
[30:54] 不瞒大家说
[30:55] 有时候我也是活在
[30:56] 自己的想象里面
[30:56] 有时候我会想说
[30:57] 如果我单身的话
[30:58] 我就疯狂做爱
[30:59] 可是我后来我仔细想想
[31:00] 就算我现在单身的话
[31:01] 应该没有办法
[31:02] 就是一样
[31:02] 我就躺在那边说
[31:03] 你动我不要动
[31:04] 就是你自己想象的东西
[31:06] 跟你自己最后面实际做的东西
[31:08] 有时候会有一些落差存在
[31:10] 那可能是源自于你的年纪
[31:12] 或者说
[31:13] 你现在就是不像年轻的时候
[31:15] 这么有新鲜感
[31:16] 或者是你现在就喜欢
[31:17] 舒服的待在棉被里面
[31:18] 然后大家说出来玩
[31:19] 不要
[31:20] 我就要睡觉
[31:20] 我在饭店里睡觉
[31:21] 舒服爽快
[31:22] 以前都会讲说
[31:24] 我要去冒险
[31:24] 看那什么白日梦冒险王
[31:26] 我要去冰岛
[31:27] 我要去最难的地方
[31:28] 然后会发现说
[31:29] 这个最喜欢的地方
[31:30] 就是待在城市里面
[31:31] 喝喝热拿铁之类的
[31:33] 那个是我最快乐的一段时间
[31:35] 老弟是这样子
[31:36] 或是像那时候我去德国的时候
[31:37] 因为我去看Radiohead演唱会
[31:38] 我还连续看两场
[31:39] 我当下的想法是
[31:41] 因为我老婆从来都不让我自己出国
[31:43] 所以我那时候可以自己出国的时候
[31:45] 其实我心中是有一点那种澎湃的
[31:47] 我就想说
[31:47] 妈的老子出去一定东看西看
[31:50] 当然我还是不会搞得没有东西
[31:51] 可能也没有那个性质
[31:53] 只是就是心中想就说
[31:54] 我自由了
[31:55] 我出去我就是要看自己的东西
[31:57] 到处乱逛
[31:58] 然后就没有要出去
[31:59] 我后来都是一直待在
[32:01] 附近的一个卖场
[32:02] 然后买一堆小朋友的玩具
[32:03] 然后再来就是
[32:05] 整天跟我儿子打电话
[32:06] 我以为说
[32:08] 晚上我可以去看一下
[32:09] 柏林人晚上在干嘛之类的
[32:10] 结果晚上我也不知道干嘛
[32:12] 所以才连看两场演唱会
[32:13] 不然都开一场
[32:14] 之后就可以去走一走
[32:15] 我发现说我哪里都不想去
[32:16] 我只想待在饭店
[32:17] 我只想快点回家
[32:18] 我只想把演唱会看完就好
[32:20] 可是那个感觉很难形容
[32:21] 就是我回来之后
[32:22] 我跟朋友分享
[32:23] 我都会觉得说
[32:24] 我觉得还好
[32:26] 就是说看完
[32:26] 不错啦这样
[32:27] 那没有什么特别的想法
[32:29] 但隔了几个月之后
[32:30] 好像说那个跟酿酒一样
[32:32] 放一阵子之后
[32:33] 我现在回想那个回忆真美好
[32:34] 但同时也了解到说
[32:36] 就是跟你想的不一样
[32:37] 你不然约说你自己一个人出去
[32:39] 好像解放或什么
[32:40] 就你自己出去
[32:41] 你反而是希望跟家人混在一起
[32:43] 所以很多人会跟自己想的不太一样
[32:45] 所以我现在如果去假设说什么
[32:47] 我四五十岁
[32:48] 我单身会怎么样
[32:49] 你自己脑中想的一定是说
[32:50] 你身材练得很好
[32:52] 又要ripped
[32:52] 然后可能不知道
[32:53] 一堆像里奥纳多皮卡丘一样
[32:56] 什么年轻的女朋友或什么的
[32:57] 可是实际上我觉得都不会是那个样子
[32:59] 就是你想象的东西
[33:00] 跟你实际上最后面会做的事情都差很多
[33:03] 那如果今天单身的话
[33:04] 可能就还是会以电动为主
[33:06] 然后可能会去过一些那种超级废的假期之类的
[33:09] 虽然我自己心中想象的是
[33:10] 我要更加的冒险更帅
[33:12] 晒成古铜色或什么
[33:14] 但我知道我做不到
[33:15] 所以对就大概这样吧
[33:16] 我觉得不会有什么太大的差别
[33:18] 只是从可能有人陪伴
[33:20] 变成没有人陪伴这样的一个状态
[33:22] 好下面一位
[33:22] 资产缩水中绿棒吃不完
[33:25] 主要好近期听到主委回锅四转服
[33:28] 也有这个起心动念
[33:29] 想听主委分享RO回锅心得
[33:31] 以及收装备的心得
[33:33] 加了一些交易赖群
[33:35] 看了超越套
[33:35] 也分了好多附魔
[33:37] 那祝回忆路上一切开心
[33:39] 希望两个越大的儿子
[33:40] 别再当台服最强扣格模
[33:42] 那希望他不会再吐奶
[33:44] 也希望他平安健康的长大
[33:46] 那回锅的心得的话呢
[33:48] 就是我觉得非常的值得啦
[33:49] 虽然可能花了不少钱
[33:50] 但是因为我自己太冲动
[33:52] 我觉得一般人是不需要花到这么多钱
[33:53] 那我先稍微简单讲一下
[33:55] 就是我是怎么样回锅搞这个游戏
[33:57] 那首先呢
[33:58] 是我先去买了一大堆的宠物蛋
[34:00] 即便我根本就不需要这么多的宠物蛋
[34:02] 后来我把那个宠物蛋截图
[34:03] 截给我RO的一些卖家
[34:05] 就卖我装备的
[34:06] 我丢给他们看
[34:07] 他们都狂笑
[34:07] 他们觉得说
[34:08] 干真的是有病
[34:09] 因为我就情怀嘛
[34:10] 我就觉得说这些东西小时候
[34:11] 我看了很喜欢
[34:12] 我没有我现在都要有嘛
[34:13] 那其实像RO的宠物蛋
[34:14] 它是要花时间的
[34:16] 但就觉得说
[34:16] 别人要帮你花时间养到变得非常亲密
[34:19] 你知道你密集的喂食
[34:20] 要11天不眠不休
[34:22] 你用挂网的话要31天
[34:24] 就是你要喂超多宠物饲料
[34:25] 才可以养成那样子
[34:26] 然后我现在只要用几百块
[34:27] 一两千块就给买到
[34:28] 我当然的妈我全部都买了
[34:29] 超爽
[34:30] 我买了几十颗蛋
[34:31] 然后重点是
[34:32] 我根本就不会把它孵出来
[34:33] 我就觉得说
[34:33] 我身上哪一堆蛋我就很爽
[34:35] 那本来想说到这边就好
[34:36] 那之后还想说
[34:37] 我还是去理解一下
[34:38] 一下他的练功好了
[34:39] 那去查一下装备
[34:40] 就发现说他家装备就分成
[34:41] 就两个体系
[34:42] 一个就把它称为是台特
[34:43] 也就是说
[34:44] 是转蛋里面会出的
[34:46] 就是台湾伺服器特有的一些装备
[34:48] 那当然可能在日本
[34:49] 或者说在韩国伺服器
[34:50] 也有他们特有的装备
[34:52] 就转弹装
[34:52] 那转弹装的话
[34:53] 就是反正就省装
[34:54] 那如果说你今天
[34:56] 是要在游戏里面自己打的话
[34:57] 就还有一个什么次元套
[34:59] 那个你有办法弄到很强
[35:00] 可是就是你要花时间
[35:01] 你要去解身亡或什么的
[35:02] 所以其实我觉得
[35:03] 它的游戏平衡
[35:04] 就二十几年之后
[35:05] 它还是做得非常好
[35:06] 那我后来稍微的
[35:07] 用我的Property Computer
[35:09] 去帮我爬资料之后
[35:10] 发现说它的壁纸
[35:11] 也是维护得很好
[35:12] 那我觉得可能就是因为
[35:13] 它还算是很活络吧
[35:14] 在8591
[35:15] 我看它是前十名的交易
[35:16] 就这么老的游戏
[35:17] 然后它还是在
[35:18] 前十名的成交量里面
[35:20] 那所以呢
[35:21] 就是说有两种体系
[35:22] 一种就是你用花钱
[35:23] 你自己去抽转蛋
[35:24] 或者说你直接去找玩家买
[35:26] 那另外一种就是
[35:27] 你可以自己浓
[35:28] 所以其实你要自己浓
[35:29] 或是你要花钱
[35:30] 都是可以的
[35:31] 所以你不用太在意
[35:32] 网络上各种嘴炮
[35:33] 因为我后来不知道为什么
[35:34] 就是很多那种
[35:35] 就是你是无课玩家
[35:36] 然后会玩出优越感
[35:38] 你知道有啥小
[35:38] 就是无课并不是一个
[35:39] 很值得骄傲的事情
[35:40] 這個連我以前是無課的時候
[35:42] 我都不會捲腳
[35:43] 我都謝謝課長讓我遊戲玩
[35:45] 就是因為有這些人他媽有病
[35:46] 整天在那邊課金買商城的東西
[35:48] 那才可以讓無課玩家
[35:49] 你可以免費玩遊戲
[35:50] 不然你覺得遊戲是誰買單的
[35:52] 很多人就超級討厭課長
[35:54] 但其實我現在是覺得說
[35:55] 怎麼講
[35:56] 這不是想不想當課長的問題
[35:57] 是你可能過了像30歲
[35:59] 你怎麼可能
[36:00] 其實你現在回頭想
[36:02] 以前我們在打魔獸世界的時候
[36:03] 那等於在上班
[36:04] 超誇張
[36:05] 你的工會要刷副本或刷小
[36:06] 那個你是幾個小時
[36:07] 甚至一兩天在線上
[36:09] 那真的就是像在上班一樣
[36:11] 那只是現在你不可能這樣去上班的嘛
[36:13] 所以你就是有些東西
[36:14] 可能你就是必須要用課金的方式去滿足嘛
[36:16] 或者說有些等級練不過了
[36:18] 就拜託一些朋友幫忙你處理一下之類
[36:20] 因為真的美孔
[36:21] 像我那時候所有蛋都是用買的
[36:23] 但其中有一顆
[36:24] 因為真的買不到
[36:24] 愛麗莎寵物蛋
[36:25] 它是用進化上去的
[36:27] 那可是呢
[36:28] 它需要愛麗莎女僕的圍裙
[36:29] 那這個圍裙呢
[36:30] 就算你去吃了一個那個
[36:32] 掉保率加倍的東西
[36:33] 你去打
[36:34] 可能都打三隻才會掉一個
[36:35] 那它又不是說什麼
[36:37] 因為那張地圖
[36:37] 你没有办法用畅营翅膀传一传去
[36:39] 所以你要自己用走的
[36:40] 我就在那边打了一两个小时之后
[36:41] 我发现说不对啊
[36:42] OK我体验到了
[36:43] 我体验到浓的感觉了
[36:44] 那我就再找里面的玩家
[36:46] 我直接用那种全屏
[36:47] 说有没有人要帮我打
[36:48] 你帮我打我给你钱
[36:49] 然后就很多人要报名帮我打
[36:51] 然后我就给他们钱
[36:52] 你看这样不是很好的一个循环吗
[36:54] 就是客长付钱给你
[36:55] 你也开心嘛
[36:56] 我付一个超高的溢价
[36:57] 那我也开心嘛
[36:58] 因为我可以省下时间
[36:59] 所以它是一个健康的文化
[37:01] 我就说有些人花钱
[37:02] 有些人要花时间
[37:03] 反正总之就不要让那种无课玩家
[37:05] 感觉说有课玩家排挤他们
[37:07] 这样就好了
[37:08] 反正两条线你都可以走到
[37:09] 你要的目的地
[37:10] 所以我觉得他在平衡方面做得很好
[37:13] 然后其实我也在思考这件事情
[37:14] 就是说是不是游戏
[37:15] 应该就是要玩最新的或什么
[37:17] 那只是老实讲
[37:18] RO的新的那些几个游戏
[37:20] 什么守爱或什么有的没有的
[37:22] 我全部走一轮之后
[37:23] 我发现说还是四转服最好
[37:24] 那有可能是因为情怀
[37:26] 因为小时候喜欢玩这个
[37:27] 或是像我最近也看到很多
[37:28] 直播组在玩天堂经典服
[37:30] 它的画面一定没这么好
[37:31] 可是大家就喜欢玩
[37:32] 我老婆看到那畫面說這是什麼trash
[37:34] 我說這個是我們小時候的回憶
[37:36] 所以大家還是非常喜歡
[37:37] 然後花很多錢在上面
[37:38] 所以我覺得說就是
[37:39] 怎麼講小賭一情
[37:41] 小花錢都是OK
[37:42] 我是比較衝動
[37:43] 就像我的裝備是
[37:44] 直接全身都是那種心臟裝
[37:46] 就是要吃心臟的
[37:47] 那一個心臟就要台幣六萬塊
[37:49] 所以我全身都神裝
[37:51] 我現在打每個東西都跟打玻璃一樣
[37:53] 但我覺得它不是好事
[37:55] 所以我覺得如果真的要
[37:56] 輕懷克金的話
[37:58] 其實它是可以把預算壓到蠻低的你可能就買一個核心裝就好因為有些裝備是像念咒你要有它的天地數信仰的話你的毀滅衛星的CD時間會降到很低所以它是核心裝
[38:10] 就有這個之後你的遊戲體驗完全不一樣
[38:12] 可是你就買這個就好
[38:13] 這個可能就台幣十萬塊就解決
[38:15] 那你其他東西你不用買
[38:17] 因為其他你買完
[38:18] 你加起來搞不好就往百萬去了
[38:19] 可是你只要買這個
[38:20] 其實你就可以自己慢慢的去
[38:22] 重新的感受那種最初的感動
[38:24] 就不要說全部都搞到紙上
[38:26] 因為像我就全部搞到紙上
[38:27] 所以我現在每個東西都跟打玻璃一樣
[38:28] 所以我很快会在开心的角色
[38:30] 要重玩过
[38:31] 因为这个跟
[38:32] 可能我们之前讨论的
[38:33] 一些人生的议题有点像
[38:35] 你真的要自己去体验管理
[38:37] 因为我自己不是说什么
[38:38] 我出生下来就是
