[00:00] 歡迎收聽谷海,我是小萌公,本期節目由Sally贊助
[17:47] 就是說
[17:48] 它有很多很創新的想法跟服務
[17:50] 可是在它真的去執行
[17:52] 這個量能上面
[17:53] 可能是跟不上的
[17:54] 那Levonet就是鎖定這個痛點
[17:56] 就是知道說
[17:57] 你雖然也是一個軟硬整合公司
[17:59] 你想做保險
[17:59] 可是你對於保險的
[18:01] 一個後勤的處理上
[18:02] 或是效率上
[18:03] 可能就是沒有我們這些
[18:04] 專業的保險公司來得更好
[18:06] 當然他可能也是一個
[18:07] 比較新穎的模式
[18:08] 但是他們有自信
[18:10] 可以做得比他更好
[18:11] 所以如果我今天保費
[18:12] 也可以跟你一樣有競爭力
[18:13] 因為我也拿到你的資料
[18:14] 我串API
[18:15] 你知道以前他是要用一個當狗
[18:16] 就接在車上
[18:17] 然後去看這些資料
[18:18] 現在還不需要
[18:19] 他直接就串了
[18:20] 所以特賽他可以拿到的東西
[18:22] 就跟他可以拿到的東西一樣
[18:23] 然後搭配他比較好的
[18:24] 一個後勤力量
[18:25] 他認為這就是他有一個
[18:26] 非常強大競爭力的地方
[18:28] 那他算盤也算是打得非常精
[18:29] 就是說他要的東西
[18:31] 不只是你的車險而已
[18:33] 如果說你今天可以去透過
[18:35] 你車子上的一些資料跟記錄
[18:37] 我就可以很精準的
[18:38] 幫你算出保險
[18:39] 而且價格很實惠的話
[18:40] 那我這邊剛好有一個bundle
[18:42] 你家裡的一些產險
[18:44] 或是你出去的什麼旅遊線走
[18:45] 你要不要一起在那邊買
[18:46] 而且因為我對你很熟悉
[18:48] 我也有你的資訊
[18:48] 所以他就有可能
[18:50] 可以有一個upsell的空間
[18:52] 就是他不是隻是
[18:53] 賣你車子相關的保險
[18:54] 他連其他東西
[18:55] 都可以綁一包賣給你
[18:56] 所以我其實看下來之後
[18:58] 我就覺得說
[18:58] 我真的沒有想過這一塊
[19:00] 就是在AI應用上面
[19:02] 其實保險業可能是一個
[19:03] 蠻不錯的一個事情的場域
[19:05] 因為傳統的保險
[19:06] 可能是有一個
[19:07] 帶位的資料方式
[19:08] 就是你住在哪些遊地區號
[19:10] 你附近區域的人
[19:12] 大概是怎麼樣
[19:12] 年齡是怎麼樣
[19:13] 或者說你的性別
[19:16] 用這樣去分
[19:16] 像在臺灣的話
[19:17] 男生去投保
[19:18] 車險是比女生貴的
[19:20] 這也是我自己投保
[19:21] 都才知道說
[19:21] 原來是有這樣的一個東西
[19:23] 我之前都不知道
[19:23] 大家認為說
[19:24] 男生可能是比較危險
[19:25] 但其實合理
[19:26] 我們都可以懂這件事
[19:27] 可是其實男生有些
[19:28] 開車很細心很小心的
[19:30] 那個把車當小老婆的
[19:31] 靠北
[19:31] 那個都超注意的
[19:32] 會讓的
[19:33] 而且我們也知道說
[19:34] 就是有些三寶
[19:35] 他明明就是女生
[19:37] 當然男生有之後說
[19:38] 我們可能看到
[19:39] 也很多是女生
[19:39] 為什麼女生的什麼保費
[19:41] 可以比較低之
[19:42] 那可能是某種刻板印象
[19:43] 就是過去說
[19:44] 他們當然也是有跑過
[19:45] 一些資料去看
[19:46] 那他們認為是這樣
[19:47] 可是問題是
[19:48] 因為你現在已經有
[19:49] 更新的工具
[19:50] 更快速的分析
[19:51] 所以理論上
[19:52] 保險應該可以做到的是
[19:54] 從過去
[19:54] 我是直接抓一群的人
[19:56] 我給你貼一個表現
[19:57] 現在我可能直接去分析你的行為
[19:59] 像我就看到那個創辦人
[20:00] 在X上面有寫到
[20:02] 就他下面有人在QA就問他說
[20:04] 在晚上開車
[20:06] 其實你那個晚上開車的時速越高
[20:08] 那個保費可能就稍微的調整
[20:09] 因為我們認為晚上開車是比較危險的
[20:12] 那他說這個有沒有一些修正的空間
[20:13] 他說有
[20:14] 當然如果你今天在晚上是用AP
[20:16] 你用自駕開車的話
[20:17] 那就不會有調高的問題
[20:18] 可是如果你是在晚上開車
[20:20] 開的比那些在白天開車的人多
[20:22] 那你的保費貴是合理的
[20:23] 所以其實他們是已經看到
[20:24] 這麼細的東西了
[20:25] 他們是真的是用你的駕車的習慣
[20:28] 你平常什麼時候開車
[20:29] 你會不會急踩剎車
[20:30] 你會不會去亂逼車
[20:31] 你會不會車距都抓很近
[20:33] 你會不會去搶黃燈
[20:34] 搶黃燈之類的
[20:36] 那透過這些東西
[20:36] 去算出一個更精準的保費
[20:38] 那其實光是這樣子
[20:40] 你就可以很合理的去想象說
[20:41] 他算出來的保費
[20:42] 一定是比較合理的
[20:43] 因為以前可能是
[20:44] 一群人一起去納保
[20:45] 可是呢
[20:46] 你們可能是幫忙去負擔一些
[20:48] 很差的那些價值
[20:49] 就是說賠付率很高
[20:50] 最後要賠一堆錢給他的那些人
[20:52] 你去幫忙負擔的
[20:53] 它的部分的成本
[20:54] 因為它直接把你們
[20:55] 都算成是一群的
[20:56] 可是現在可能就會去
[20:58] 按照每個人的
[21:00] 一個駕車的特性
[21:01] 去做一個量身定做的保險
[21:02] 而且它並不會因為
[21:04] 以前我們聽到
[21:05] 這種量身定做的保險
[21:06] 你想說
[21:06] 那這樣保險業務員要幾個
[21:08] 他到底要接幾個感測器
[21:09] 才可以獲得這樣子
[21:10] 不用
[21:10] 他現在都是直接串接好的
[21:11] 所以這其實是一個
[21:13] 很酷的idea
[21:14] 就是說
[21:14] 理論上他金手的案子
[21:16] 會多很多
[21:16] 然後他要去處理的
[21:18] 各種資訊的細節
[21:19] 會多很多
[21:20] 可是呢
[21:20] 以前這個是變動成本
[21:21] 就是我需要去做的
[21:23] 這麼量身定做
[21:24] 我要找一堆的保險從業人員
[21:26] 那現在我可能不用
[21:27] 我就是一次性的
[21:28] 軟體寫完之後呢
[21:29] 然後後面就是這個
[21:30] 一本萬利
[21:30] 就是說那個盈盈槓桿
[21:31] 就會直接跑出來
[21:32] 所以仔細想想
[21:33] 這個是蠻有趣的一個
[21:35] 思考方式
[21:36] 當然它有風險嘛
[21:37] 這絕對是有的
[21:38] 就像說你算出來的
[21:39] 這個東西非常的糟糕
[21:40] 像以前Lemonade
[21:41] 它的那個賠付率
[21:42] 可能也是表現的比較不好
[21:44] 或者說它的那個
[21:44] 現金流沒有轉正嘛
[21:45] 所以大家就會講說
[21:46] 你那個保險其實賣出去
[21:47] 每多賣一個人就多賠一個
[21:49] 當他開始
[21:50] 他的財務狀況轉好之後
[21:51] 他就是有辦法去說服人家說
[21:53] 其實我這個模式是OK的
[21:55] 而且我可能可以去吃掉很多
[21:56] 既有保險公司的市場
[21:58] 這時候大家可能就會產生一個問題
[22:00] 因為會產生這樣子的問題
[22:01] 就是如果真的AI這麼好的話
[22:03] 保險公司他不就要趕快大力去做
[22:05] 當然現在一定有很多保險公司
[22:06] 都在做類似的事情
[22:07] 只是其實這一些比較大型
[22:09] 或者說比較老的企業
[22:10] 他要轉彎還是比較困難的原因
[22:12] 有幾個
[22:12] 第一個其實就是說
[22:14] 公司它最終就是人
[22:16] 所以就來說
[22:17] 有一群人
[22:18] 他會直接被這些軟體所影響到
[22:20] 你覺得在內部的會議跟簡報裡面
[22:22] 他會不會找出各種千萬個理由
[22:24] 告訴你說
[22:24] 為什麼這些軟體不能夠用
[22:25] 他會不會故意去找出一些
[22:27] 軟體犯錯的東西
[22:29] 然後把它放得很大
[22:29] 他不去管全面性的資料
[22:31] 之前類似說
[22:32] 就是我們常看到說
[22:32] Tesla只要出車禍
[22:33] 一定上新聞就會寫說
[22:35] Tesla出車禍
[22:36] 他一定會把它寫出來
[22:37] 可是如果今天是別的牌子出車禍
[22:39] 他不一定會把它寫出來
[22:40] 為什麼
[22:40] 因為人就是有這樣的一個濾鏡
[22:42] 他就是可能要為了流量
[22:44] 或者說為了自己的利益
[22:45] 他就要去扭曲一些事實
[22:47] 或者說他去強調一些
[22:49] 明明就不應該被強調的
[22:50] 可能說他只是一個個案
[22:52] 他就故意把它拿出來講
[22:54] 這個是在人的部分
[22:55] 然後再來就是其實在
[22:57] 後臺的一些資料或是軟體上面
[22:59] 這也是有一個很大的問題存在
[23:02] 就像說可能一堆東西
[23:03] 放在什麼IBM Manframe
[23:04] 或是放在什麼各式各樣的
[23:05] 那種什麼Diapase裡面
[23:06] 然後他都用不一樣的格式
[23:08] 這些東西你要把它拉出來
[23:10] 去做整理
[23:11] 它是一個不簡單的事情
[23:12] 這個是以前
[23:13] 我都沒有辦法
[23:14] 接觸到的東西
[23:14] 後來去看了一些
[23:15] 軟體公司之後
[23:16] 然後人家給我demo
[23:17] 才知道說
[23:18] 光是要去做這些轉接器
[23:20] 就不容易
[23:20] 就是它有這麼多的格式
[23:22] 而且很多時候
[23:22] 像一家百貨
[23:24] 它可能為了要去處理
[23:25] 它整體百貨的營運
[23:26] 它開發了很多的
[23:28] 那種小型的軟體跟應用
[23:30] 可是開發的人
[23:31] 他就離職了
[23:32] 所以那個東西擺在那
[23:33] 本來大家用都沒有問題
[23:34] 可是今天如果突然間說
[23:35] 我們可能要匯入
[23:36] 一個新的服務
[23:37] 把這些東西都串起來
[23:38] 然後把過往的歷史資訊都拉出來
[23:39] 然後發現說
[23:40] 哇靠沒人會
[23:41] 沒人會修
[23:41] 沒人會改
[23:42] 沒人會去看這個資料
[23:44] 不知道怎麼樣去做調整
[23:45] 沒有人會把它融合在一起
[23:46] 那他就需要花很多的工
[23:49] 然後可能要花很多的錢
[23:50] 所以這時候呢
[23:51] 他們可能就會去站在一個
[23:52] 比較保守的角度
[23:53] 就說那我們再看看
[23:55] 我們來看看說
[23:56] 那些AI軟體
[23:57] 是不是真的會影響到我們的生機
[23:58] 會的話我們再動
[23:59] 可是這時候他就輸人家
[24:00] 可能兩年三年之類的
[24:01] 所以我覺得一些破壞式創新
[24:03] 或是一些新科技
[24:04] 他有辦法實現
[24:07] 這樣的一個說法的主因
[24:08] 就是在於說
[24:09] 第一個是有些人
[24:11] 因為他的利益受損
[24:12] 他就會去做一些杯葛的行為
[24:14] 第二個就是資料可能太複雜
[24:16] 然後或者說
[24:17] 在資金上可能需要太多的成本
[24:19] 他們就猶豫了
[24:20] 他們並沒有立刻的去
[24:21] 放下自己的身段
[24:23] 然後去擁抱新的科技
[24:25] 這個其實我們在一些手機
[24:26] 車商
[24:27] 然後或者是說像Netflix這樣的案例
[24:29] 我們都看過很多
[24:30] 就是為什麼一些
[24:31] 所謂的成熟大企業
[24:32] 他明明就有錢
[24:33] 可以去做這些投資跟改革
[24:35] 可是為什麼他還是被新的企業給擊敗
[24:37] 為什麼Nokia會下去什麼的
[24:39] 那個都是有他的背景因素存在
[24:42] 那多半是離不開這些
[24:44] 就是說他既有
[24:45] 因為他可以長這麼大
[24:46] 他已經有一些制度跟結構存在
[24:49] 然後這個制度跟結構
[24:50] 反而在這時候可能會變成是他的一個
[24:53] 阻撓的石頭所以這個也是蠻有趣的那當然我自己本身是沒有去買Lemonade股票再跟大家講一下因為它最近直接噴出去了我也是看到說它有在漲然後看到臺灣的數位保險然後跟相關的東西
[25:04] 我才去做這樣子的研究
[25:05] 所以這絕對不是任何推薦
[25:07] 應該說我們的節目
[25:07] 都不是在跟大家推薦股票
[25:09] 就是我們去做一些有趣的東西
[25:10] 那當然有些東西真的看了很喜歡
[25:12] 真的覺得不錯
[25:13] 真的覺得可以搞
[25:14] 然後算起來又夠便宜
[25:15] 我們就會去做投資
[25:16] 那只是絕大多數的時間
[25:18] 其實我們都在做這種研究跟開發
[25:20] 那研究開發的東西
[25:20] 就像說十個的話
[25:22] 可能最後面買的東西
[25:23] 只有一兩個
[25:24] 好類似這樣
[25:24] 那就簡單跟大家
[25:25] 稍微的分享一下
[25:26] 最近的一些小觀察
[25:27] 就是我發現說
[25:28] 其實在這個保險業上面
[25:30] 這個AI有可能
[25:31] 可以去幫他們
[25:31] 做出一些這種
[25:32] 構造改革的事情
[25:33] 那當然我們要鎖定的物件
[25:35] 就是這一些
[25:36] 比較偏新創的
[25:38] 所謂的保險軟體公司
[25:39] 應該說他們有一個
[25:40] 本質上的差距
[25:40] 就是一般的保險公司
[25:42] 可能是在想說
[25:42] 我在我的保險公司的
[25:43] 基石上面去加
[25:45] AI跟科技軟體
[25:46] 類似這樣
[25:46] 可是他們的態度
[25:48] 其實有點像是反過來
[25:49] 他們是一個AI科技軟體公司
[25:50] 只是他們在營運保險
[25:52] 到底哪一個會獲得最後的勝利
[25:54] 不知道
[25:55] 我們要稍微再看下去
[25:56] 只是最近看Laminate的一些數字
[25:58] 然後跟Tesla的合作
[25:59] 我覺得說
[26:00] 這個有可能是新的東西
[26:01] 在電動車上可以用的話
[26:03] 會不會在其他地方上
[26:05] 也都是有類似的應用
[26:06] 會有機會可以產生出來
[26:08] 因為以前這可能是
[26:09] 我要去設計一個保險
[26:11] 我要去算
[26:11] 那個需要很多的成本
[26:13] 在臺灣的話
[26:13] 就是你每個東西
[26:14] 還要過那種管理機構
[26:15] 非常的麻煩
[26:16] 那如果說這個有關單位願意去放手
[26:19] 那在外加說
[26:21] 從業人員他們願意去採用新工具的話
[26:23] 那可能就有新的一番氣候了
[26:25] 稍微跟大家分享一下自己的觀察
[26:26] 那接下來進入Q的部分
[26:28] 地位榮榮張0218
[26:30] 狂戰是如此頻繁
[26:31] 希望有時間務必帶諾婭跟安哥去屏東小琉球
[26:34] 括號已經去了第四次
[26:36] 10月底到12月最佳旅遊時間
[26:38] 括號我們這一家民宿大推
[26:40] 東洋的溫暖
[26:41] 涼涼的微風
[26:42] 漂亮的貝殼沙
[26:43] 抓不完的寄居蟹
[26:44] 在你腳邊游泳的海龜
[26:46] 掛號
[26:47] 哈板灣
[26:48] 那根本就是
[26:49] 小孩跟大人的天堂
[26:50] 備好餐點跟食物
[26:52] 可以放空耍廢
[26:53] 暫時忘記股票財報
[26:55] 有老婆跟孩子在身邊
[26:56] 這就是最終站的幸福
[26:58] 祝何家平安
[26:59] 希望一週兩次的更新
[27:00] 就這樣一成不變
[27:01] 一起到老
[27:01] 謝謝大家陪伴
[27:02] 愛你
[27:03] 非常感謝
[27:04] 小琉球屏東的一個推薦
[27:07] 我好像有去過一隻小琉球
[27:10] 那時候好像是去看海龜
[27:13] 反正就是浮潛看海龜
[27:14] 而且我記得我第一次
[27:15] 看到海龜的時候
[27:16] 我嚇到
[27:16] 就是海龜你在電視上看
[27:18] 或是說你在
[27:19] 可能百科全書裡面翻到
[27:21] 你會覺得就是一個
[27:22] 就可愛的動物
[27:22] 可實際上它蠻大隻的
[27:24] 而且它遊很快
[27:25] 就是你看不出來
[27:26] 它的腳有很用力的在遊
[27:28] 可是它本來在很遠的地方
[27:29] 一瞬間就到你面前
[27:30] 然後它是很大隻
[27:31] 就你還是會嚇到
[27:32] 它就會震撼一下
[27:33] 所以我有這個印象
[27:34] 對可能之後
[27:35] 也會帶小朋友去走走
[27:36] 非常感謝你的推薦
[27:37] 下面一位賽特
[27:38] 大家好帥也巧
[27:39] 星期日想說隔天放假
[27:41] 這一拜是我跟太太的結婚週年紀念
[27:44] 那就訂了愛大最愛的林口日料
[27:46] 這家離家超近
[27:47] 沒想到一開啟就看到你坐在裡面
[27:49] 而且超幸運位置就在你的旁邊
[27:51] 關號半岸林口還沒有巧遇過你
[27:53] 也是我們第一次拜訪凱壽司
[27:55] 很喜歡師傅做菜的笑容
[27:57] 我很認真把每道菜記下來
[27:58] 那吃完能和偶像拍照真的很開心
[28:01] 關號我太太說我一整天都很開心
[28:03] 最愛大一家在歐洲順心愉快
[28:05] 趕快跟Lisa和好
[28:06] 不是啊
[28:07] 你怎麼知道Lisa前幾天跟我吵架
[28:08] 你該不會也是投資業內的人士吧
[28:12] 因為這應該只有投資業內知道
[28:14] 那我大概簡單講一下
[28:15] 反正就是我們有一個好朋友
[28:17] 我就姑且先稱他為小黃
[28:19] 那小黃他以前就開很多群組
[28:21] 他就是讓投資業界的朋友
[28:23] 或是一些好朋友
[28:24] 就是對投資有興趣的
[28:25] 大家都會放進去
[28:26] 然後他有好幾號群組
[28:27] 然後後來就是可能為了管理方便
[28:29] 他就把一些可能做得比較深的
[28:32] 或者說比較要好的朋友
[28:33] 就拉到另外一個群去
[28:34] 然後那個群
[28:35] 當然你知道其實就是說
[28:37] 裡面如果都是一些專業人士的話
[28:39] 那他們也不太需要去討論股票
[28:41] 嚴格上來講是這樣
[28:42] 而且甚至有時候去討論一些東西
[28:43] 反而變成是
[28:44] 就大家會互相廝殺
[28:46] 你知道因為可能籌碼是有限的
[28:47] 除非是很大的標題
[28:48] 大家不在意之類
[28:49] 那所以就變成說
[28:50] 就基本上那邊是沒有人在講股票
[28:52] 就全部都在傳A片
[28:53] 那我就在這個騙子群組裡面
[28:55] 天地良心
[28:56] 就是我自己平常是不會去
[28:58] 整天滑這些A片
[28:59] 因為我知道我家裡是有在管
[29:00] 可是我就是有在裡面
[29:01] 就呈現一個待機的狀態
[29:03] 然後後來就是在那個
[29:07] 上廁所的時候
[29:08] 然後出來就遇到一個人
[29:09] 他看著我
[29:09] 他就說
[29:10] 哎呀
[29:10] 我們在同一個A片群
[29:12] 我說哈
[29:12] 因為你真的
[29:13] 你太震撼了
[29:14] 你才剛睡醒嘛
[29:16] 睡了八個小時
[29:17] 九個小時
[29:18] 然後你剛睡醒
[29:18] 腦袋不清楚
[29:19] 有一個人劈頭就說
[29:19] 我們在同一個A片群
[29:20] 我還想了一下
[29:21] 我說哦
[29:22] OK
[29:22] 所以你也是在那個
[29:24] 肉肉的裡群啊
[29:25] OK
[29:25] 然後大家就相認一下嘛
[29:27] 然後他就在那個群組
[29:28] 跟大家說
[29:28] 他在飛機上遇到我
[29:29] 我要進去跟他打招呼
[29:30] 然後回家
[29:31] 這個我老婆
[29:32] 看我手機的時候就看到
[29:33] 然後他很屌
[29:33] 他不只是把我退群
[29:34] 他還先嗆裡面的人
[29:35] 他說disgusting pigs
[29:37] 然後接著就把我退群
[29:38] 我是很不好意思
[29:39] 因為他嗆裡面
[29:40] 我想說奇怪
[29:40] 又不是他們逼我進來的
[29:43] 你嗆人家幹嘛
[29:44] 他老婆就
[29:44] 他就是這樣的人
[29:45] 他就每次都這樣幹
[29:46] 幫我製造麻煩
[29:47] 亂噴別人
[29:48] 然後把我退出
[29:49] 其實老實講
[29:49] 退出之後
[29:50] 我自己心中也是
[29:51] 放下一個掛礙
[29:52] 因為我其實
[29:52] 以前就一直在想說
[29:53] 如果有一天我老婆知道我在這
[29:54] 她一定會生氣
[29:55] 可是也礙於說
[29:56] 因為這些人都是我們的同業
[29:58] 大家在這邊
[29:59] 所以你也不知道要幹嘛
[30:00] 你平常也不會在那邊講話
[30:01] 但不知道
[30:01] 就覺得說你沒事
[30:02] 你也不會想要去退出
[30:03] 或什麼的
[30:04] 然後突然間
[30:04] 還用這種很丟臉的方式退出
[30:06] 我覺得很不好意思
[30:06] 那當然也是立刻跟老婆道歉
[30:08] 說對不起
[30:08] 我真的沒有在那邊
[30:09] 看片打手槍
[30:11] 我只是剛好在裡面而已
[30:12] 雖然他可能不一定會相信我說的話
[30:14] 但他隔天就原諒我
[30:15] 可是你怎麼知道
[30:15] 他對我生氣還蠻厲害的
[30:17] 那這位聽眾就是我那時候
[30:18] 凡安吃日料
[30:19] 我不知道他怎麼聽眾
[30:20] 但很多人都這樣
[30:21] 很會演
[30:21] 他都坐在那邊裝沒事
[30:23] 然後出來之後才
[30:23] 孟公
[30:25] 艾大什麼的
[30:26] 這種我都超怕
[30:27] 我想說我剛才會不會有講一些東西
[30:29] 可能是
[30:30] 就太私密的
[30:31] 然後被人家聽到之類
[30:32] 但其實我也沒有什麼隱私的東西
[30:34] 也還好
[30:34] 只是我想說
[30:35] 你要認清你就早一點認
[30:36] 很多都等到我出來
[30:37] 只是我們後來
[30:39] 也聊得蠻開心的
[30:40] 然後就陪他走回家
[30:41] 因為剛好在回我家的路上
[30:43] 所以我還記得這位聽眾
[30:44] 剛剛太太
[30:44] 希望你們結婚週年快樂
[30:47] 下面一位
[30:47] 我是莉莉莉
[30:48] 第一次留言測試
[30:49] 艾大您好
[30:50] 明天凌晨三點半
[30:51] 要起床搭一大早的飛機
[30:53] 期待兒子出國玩
[30:54] 現在都晚上11點半了
[30:55] 還沒有睡意
[30:56] 來試試留言密碼
[30:57] 諾雅安哥
[30:58] 秋狗超可愛
[30:59] 好喜歡你們一家
[30:59] 是幸福家庭的典範
[31:01] 那祝孟公一家平安健康
[31:02] 聖誕快樂
[31:03] 小妹我12月19號生日
[31:04] 希望可以聽到孟公
[31:05] 用肌肉猛男的聲音祝我
[31:07] 生日快樂
[31:07] 我現在有點猛不起來
[31:08] 因為我這個喉嚨
[31:09] 還是在一個爆炸的狀態
[31:10] 那希望
[31:11] 這個跟兒子的出國玩
[31:13] 可以平安健康
[31:14] 可以開開心心
[31:16] 小妹一位
[31:16] 在棉被放屁
[31:18] 有點臭臭的
[31:19] 挨大你好
[31:19] 在上一集的內容中
[31:20] 有提到發現裝置股動起來
[31:22] 想問某某股動起來
[31:23] 這件事具體是怎麼樣判斷
[31:25] 過後希望可以聽到挨大
[31:26] 看到哪些資訊後
[31:27] 從而下出這樣的判斷
[31:29] 收聽上一集之後
[31:30] 我去拉線圖來看
[31:31] 但似乎沒有看到共同的指標
[31:33] 錄節目當天
[31:34] 裝置股當天開紅多
[31:35] 上漲的%數大概3%
[31:37] 裝置股在昨天有漲有跌
[31:38] 那如果判斷是確實有資金
[31:40] 輪到到這個題材
[31:41] 而不是是巧合呢
[31:43] 過後像2330這幾天也漲
[31:49] 怎麼樣抓的
[31:49] 個人知道
[31:50] 不會每次都中
[31:51] 單純想學習高手
[31:52] 怎麼樣判斷的
[31:52] 越詳細越好愛你
[31:54] 不用臺舉
[31:55] 不用講高手
[31:55] 就是一個一般人
[31:56] 跟大家分享
[31:57] 那首先我們是
[31:58] 怎麼樣判斷的
[31:59] 一般我們不會抓臺積電
[32:01] 一般也不會抓聯發科
[32:02] 就是你很少會聽到
[32:03] 人家講說
[32:04] 聯發科在漲
[32:05] 所以IC Design都在漲
[32:06] 一般不會這樣
[32:07] 也不會說臺積電在漲
[32:08] 所以那個半導體的
[32:09] 製造在漲
[32:10] 我們不會這樣抓
[32:11] 你說具體是為什麼
[32:12] 不知道
[32:13] 就因為它是全子鼓
[32:14] 全子鼓在動的時候
[32:15] 不一定是跟著族群
[32:16] 有可能是說今天外資要拉盤
[32:18] 拉臺積基本方便
[32:19] 拉臺積點數影響多
[32:20] 所以一般我們會看一些比較中小的族群
[32:23] 要怎麼樣去驗證說這個東西是真的有料
[32:26] 就像說像今天IC的載板
[32:29] 我先講IC載板ABFBT或什麼的
[32:32] 新井座南電
[32:33] 很多時候他們一動就三隻一起動
[32:34] 如果說三隻剛好都在關鍵位置
[32:37] 就可能去突破頸線要上去的話
[32:39] 我們就視為說有可能資金要到這個地方
[32:41] 所以其實每次我跟大家分享的時候都是
[32:43] 有可能但不確定
[32:45] 那如果說後面確定是怎麼樣
[32:47] 就他真的會走出去
[32:47] 像9月的記憶體
[32:48] 真的走出去
[32:49] 那其實走出去
[32:49] 都是會邊打邊加嘛
[32:51] 就是你不會說什麼
[32:52] 你就是進去壓
[32:53] 然後接著就堵他們上去
[32:54] 沒有的話就砍掉
[32:55] 有些人這樣做
[32:56] 只是我會
[32:56] 除了去下一些試單
[32:59] 就是我要先插起
[33:00] 然後插眼在那邊看著
[33:01] 那你真的會一直上去的話
[33:02] 我就一直加
[33:02] 所以他比較像是說
[33:04] 我們有觀察到資金
[33:05] 有往這個方向匯聚的一個可能性
[33:07] 不是很絕對
[33:08] 就是有這樣一個可能性
[33:10] 那所以我們就進去
[33:10] 那你說的沒有錯
[33:11] 就是裝置股呢
[33:12] 有些後來就跌回來
[33:14] 就他可能上去一下下
[33:15] 然後就直接就砍回來
[33:16] 那我們也不具體點名是哪幾只
[33:18] 那可是呢
[33:19] 在我們現在來看
[33:20] 覺得資金還是往這個方向去匯聚
[33:22] 就是說你可以觀察到
[33:24] 他跟其他的股票相對起來
[33:26] 可能是相對強勢的
[33:28] 就是說股票其實都是一個相對值
[33:29] 因為如果今天盤不好
[33:30] 可能大家都會爛
[33:31] 可是他可能跌的沒有其他東西升
[33:33] 那如果說在好的時候
[33:34] 他反彈又是第一棒反彈
[33:36] 那有可能這個就是資金去匯聚的地方
[33:38] 所以我們會用這樣去抓
[33:40] 就類似說我去抓這個
[33:41] 火箭或是衛星相關內部也是嘛
[33:44] 你就注意到說
[33:44] 美國跟臺股的東西都在動
[33:46] 所以這個時候呢
[33:47] 就是你會找機會去佈局
[33:48] 當然不是說什麼
[33:49] 就一波炒進去
[33:49] 有些人會
[33:50] 然後動能仔很多
[33:51] 聽到就直接幹進去
[33:53] 然後隔天就被修理
[33:54] 類似像之前海運也是這樣子
[33:55] 就如果說你太嗨的話
[33:57] 有時候就會被修理到
[33:58] 因為你不確定它是不是真的
[34:00] 所以其實比較健康的做法是
[34:01] 當你注意到一些有可能的東西
[34:04] 你就先插齊一點
[34:05] 就像說你本來要買個1000萬
[34:06] 就先丟個100萬
[34:08] 就先放著
[34:08] 然後真的有上去
[34:10] 真的有站穩一些價格
[34:11] 然後就再加200萬
[34:12] 再加300萬
[34:13] 然後類似這樣
[34:13] 然後真的出去之後
[34:14] 甚至可以上槓上去
[34:15] 所以會往這個方向去做
[34:18] 那要怎麼樣知道是不是巧合
[34:19] 有時候它真的就是巧合
[34:20] 就是說可能
[34:21] 不知道
[34:21] 不一定是說巧合兩個字
[34:23] 有可能說沒洞逃
[34:24] 就是真的有人想去拉
[34:25] 真的有一家外資去發了報告
[34:28] 那結果拉不上去
[34:30] 這樣有沒有
[34:30] 有啊
[34:30] 像前陣子全新不就是
[34:32] 全新在市場上
[34:33] 大家想說
[34:33] 那要發報告了
[34:34] 後面一定要調拉
[34:36] 然後接著就
[34:36] 我覺得車太重
[34:37] 因為上面太多人
[34:38] 所以就上不去
[34:40] 也是有這樣的可能性
[34:41] 那當然他沒有辦法告訴你一個絕對答案
[34:44] 所以我們在做的事情
[34:45] 其實有點類似說
[34:46] 很多人會以為說
[34:48] 你對的人就是一直都會對
[34:49] 那沒有辦法
[34:50] 因為從小被訓練就覺得說
[34:51] 考試一定有正確答案
[34:52] 但其實不是
[34:52] 可能是對的人他長的結構
[34:54] 像是說實體裡面他會對六到七題
[34:56] 甚至是有些只對三到四題
[34:58] 可是因為他對的
[34:58] 他都可以咬到很多分數
[35:00] 所以他還是可以賺錢
[35:01] 他會比較偏向這樣
[35:02] 所以不能去追求一個絕對正確的答案
[35:04] 你只要大概走到大方向
[35:05] 就可以去試看看
[35:06] 臺中小子女
[35:08] 希望Aida祝我聖誕節生日快樂
[35:10] 有時候會想Aida跟我同年紀
[35:11] 為什麼思想各方面都感覺這麼有經驗
[35:14] 面對各種粉絲的問題都能夠侃侃而談
[35:16] 很想請教Aida
[35:17] 有沒有覺得在哪個瞬間突然開竅
[35:20] 或是思維進階的醍醐灌頂的經驗
[35:22] 以及有沒有建議做什麼
[35:24] 會有幫助自己能夠更成長呢
[35:26] 又要長一歲的我
[35:28] 希望能夠越來越喜歡自己的生活
[35:29] 越來越有自信
[35:30] 那最後也要謝謝這一年的陪伴
[35:32] 讓我度過許多迷茫時光的優質節目
[35:35] 也祝大家全家聖誕快樂
[35:37] 祝你聖誕快樂
[35:37] 也祝你生日快樂
[35:38] 那這一題的話
[35:39] 我覺得它是蠻多面向的
[35:41] 像這個回答問題侃侃而談的
[35:44] 它有點像是說
[35:44] 因為練習練出來的
[35:45] 因為就是我錄了600多集
[35:47] 拜託那個一萬小時理論
[35:48] 我已經不知道刷了多少小時了
[35:50] 所以對我來說
[35:51] 我現在甚至可以看到
[35:52] 你的一些留言的方式
[35:54] 或甚至是你怎麼樣去寫自己的ID
[35:55] 我就大概知道你是什麼樣的人
[35:57] 就是你已經有一個
