[00:00] 歡迎收聽古玩,我是孟公
[18:35] 那我們不是要去預示說
[18:37] 太陽能有機會也會噴爛之類的
[18:39] 我們是要去做一個
[18:40] 就是因為我們有看到一個現象
[18:41] 一般我們就針對這個現象
[18:42] 去做調查的一個討論
[18:44] 那當然我也希望說
[18:44] 如果有更多聽眾知道一些
[18:46] 內情或是有的沒有的東西
[18:48] 可以再回來跟我講
[18:49] 因為我們最後面都是靠投資過火的
[18:51] 所以我們其實是很需要一些
[18:52] 各路的情報
[18:53] 那我們先講我們自己所知道的東西
[18:55] 首先我們知道說
[18:58] 這個法案其實會去針對太陽能的建制
[19:02] 跟太陽能電池的生產去做補助
[19:04] 但是在川普上任之後
[19:06] 因為我們都知道說
[19:07] 他其實對於綠能是比較反感
[19:08] 特別他最反感的是風電
[19:10] 就是風電基本上是直接被他打殘的
[19:12] 可是在太陽能這邊
[19:13] 部分是有看到他要踩剎車的一個狀態
[19:16] 就是說他還是反對綠能
[19:17] 可是太陽能這邊並沒有趕盡殺絕
[19:19] 我們去觀察一下
[19:20] 在LRA法案裡面的相關補助
[19:22] 其實有些他只是把那個deadline往前拉
[19:24] 也就是說過去可能可以讓你遲到
[19:26] 隨便舉例2035年
[19:27] 然後現在我可能在2032年
[19:29] 我就希望你退場
[19:30] 然後已經他加入一個更加嚴格的規定
[19:33] 這個規定其實某個程度上
[19:35] 還是在去做對中國人的一個剋制
[19:37] 所以他會要求說
[19:39] 像你要獲得太陽能電池的一個
[19:41] 45X的法案補貼的話
[19:43] 你必須要有domestic content超過65%以上
[19:46] 我記得好像一開始是50%
[19:48] 然後最後就要65% 75% 85%
[19:50] 就最終的terminal是到85%
[19:52] 只有15%可以用中國的components
[19:54] 同時這裡面嚴禁有任何中資控制實體
[19:58] FEOC的材料
[20:00] 不然補貼就會直接歸零
[20:01] 所以導致的狀況就是看到一些
[20:03] 中國的可能太陽能相關的模組廠
[20:06] 或是一些電子廠
[20:07] 他們就趕在這段時間
[20:09] 特別是有些廠房可能剛建好的
[20:11] 他就立刻的找買家脫手
[20:13] 因為他如果留在這邊的話
[20:14] 他知道他沒有辦法去拿到這些補貼
[20:16] 他會直接打輸當地的廠商
[20:17] 會直接賠到爆掉
[20:18] 所以其實某個程度上
[20:19] 就在進行一次的去中化
[20:21] 可是太陽能這個領域很有趣的一點是說
[20:24] 因為它就是由中國人去把整個市場給完殘掉的
[20:27] 中國基本上在各個components
[20:29] 或甚至整個模組的一個市佔
[20:31] 大概都是八九十趴以上的一個位階
[20:33] 所以它處在一個Domino的地位
[20:36] 它是全世界的一個價格的下降驅動者
[20:39] 它如果直接被拔除掉的話會發生什麼事情
[20:42] 首先我們已經知道說在美國這邊去採購一些
[20:44] 太陽能相關的零元件或是電池
[20:46] 它的成本其實是比你從外面引進來還要來得貴
[20:49] 那這合理嘛
[20:50] 就像是我們知道說臺積電在臺灣生產
[20:51] 跟在美國生產那個成本其實不太一樣的
[20:53] 可是再加上這條法案之後
[20:55] 會產生有趣現象是
[20:57] 因為過去其實是因為中國的一個銷價競爭
[20:59] 導致整個產業爆炸
[21:01] 現在不只是美國要去把中國給排除掉
[21:04] 甚至連中國自己內部
[21:06] 他們家都已經取消掉太陽能
[21:07] 對外出口的一個退稅
[21:10] 也就是說中國自己也希望去降低銷價競爭的行為
[21:13] 包含像在各項產業
[21:14] 他們都有去做類似的一個投入
[21:16] 所以我會覺得說在接下來的一段時間
[21:18] 如果美國這邊他們要去加強電力的建制
[21:21] 然後如果他們可以去克服一些關鍵的bottleneck
[21:23] 那bottleneck我們在後面再講
[21:25] 那就有可能在太陽能這邊
[21:27] 會引來新一波的一個契機
[21:28] 就是non-China的一個太陽能
[21:30] 不管你是提供裡面的多精細
[21:32] 或是裡面的銀漿
[21:33] 相關的材料
[21:34] 甚至什麼鋁框之類的
[21:36] 只要你是non-China的
[21:37] 可能你都有一些發揮的空間
[21:38] 那過去你一定都是被競價到死的
[21:41] 那只是現在你有可能
[21:42] 你不只是會獲得很好的訂單
[21:44] 價格還有可能會上揚
[21:45] 那我們自己請朋友的力量
[21:47] 稍微調動了一下人脈
[21:48] 看了一下這個太陽能電池的報價
[21:50] 就有注意到有稍微的
[21:51] 彈起來一點點
[21:53] 那這個就有點類似說
[21:54] 那時候可能在2024年的時候
[21:56] 蠻多人就跟我講說
[21:57] 記憶體會不會有一個大潮
[21:58] 那時候我也是有去幫大家看報價
[22:00] 跟大家說有勾起來一點點
[22:02] 可是大家都知道說
[22:03] 其實那一波的記憶體
[22:04] 話還是沒有起來的
[22:05] 所以一樣要先稍微的警覺一下
[22:07] 我們只是說
[22:07] 有可能有這樣的一個契機
[22:09] 那當然要看到全面的一個現象發生
[22:11] 再去做介入
[22:12] 會是比較好一點的一個清醒
[22:14] 有可能就是說
[22:15] 現在臺股真的是全面在盆
[22:16] 所以大家都跟著亂門
[22:18] 跟大家分享這樣的一個小觀察
[22:20] 所以在中國的玩家被拉走之後
[22:22] 當然我們就可以期待
[22:23] 剩下的玩家
[22:24] 也就是10% market share的人
[22:25] 然後你們要去養活
[22:27] 這個non-China的一個市場
[22:29] 不只是美國
[22:29] 搞不好其他的美國盟友也會跟進的話
[22:31] 那有可能過去的一些
[22:32] 價格被殺到爛掉的劇本
[22:35] 就會就此改變
[22:36] 所以它其實有點像
[22:37] 跟其他四大產業
[22:39] 差不多的一個劇本
[22:41] 反正就是說在供應端這邊
[22:42] 有產生一些問題
[22:43] 而且在供應端可能有
[22:44] 蠻大一部分
[22:46] 就是有機會是跟non-China的
[22:47] policy是有關的
[22:49] 那在需求端這邊呢
[22:50] 我們就必須要去看說
[22:51] 那有沒有可能需求大增
[22:53] 去導致供需失衡
[22:54] 而有價格的一個變化產生
[22:55] 那不然他就只是有可能
[22:57] 價格回穩
[22:58] 然後停在那邊
[22:58] 或者說稍微的
[22:59] 下降的速度慢一點
[23:01] 就那他可能就不是一個
[23:02] 很好的在投資方面的一個故事
[23:04] 那需求部分
[23:06] 我們都知道說科技巨頭
[23:07] 他現在有迫切的去建置自己的
[23:09] 不管是發電的設施
[23:11] 或是電網的一個需求
[23:12] 是在電網這邊呢
[23:13] 過去AWS有一個案子是
[23:15] 反正他們本來想要
[23:16] 自己去拉一個電網
[23:18] 連到隔壁的一個核能發電廠
[23:20] 因為他們就是故意
[23:21] 把那個data center
[23:21] 蓋在核能發電廠旁邊
[23:22] 然後想說自己去拉一個
[23:23] behind the meter的電網
[23:25] 那只是最後面的
[23:26] 這個就達到法院去
[23:27] 然後是判他輸
[23:28] 那判輸的主因
[23:29] 我覺得還是比較偏向說
[23:31] 因為他們擔心科技巨頭
[23:32] 會把這種成本給外部化
[23:34] 因為你雖然是自己去拉了一個電網
[23:36] 連到這個核能發電廠
[23:38] 可是你可能會產生的問題
[23:39] 是第一個
[23:40] 假設你的用電量非常大的話
[23:41] 你搞不好在這邊
[23:42] 產生一個電價的通膨
[23:43] 然後再來就是
[23:43] 就算你現在是直接接到
[23:45] 這個核能發電廠
[23:46] 可是你還是會去接到
[23:47] 當地的電網去做一個備載
[23:49] 所以你還是會用到當地的電網
[23:51] 可是你卻不用去
[23:52] 可能分攤當地電網的一個成本
[23:54] 那他們認為這是一個不道德的事情
[23:56] 所以這個判決最後面是A到B的輸掉
[23:58] 於是可能在behind the meter
[24:00] 這種自己去建電廠
[24:02] 加電網的一個解放
[24:03] 它並不是像大家想象的說
[24:04] 美國是一個非常獨立自主
[24:07] 然後以及可能在企業方面
[24:09] 是很自由的地方
[24:10] 不一定
[24:10] 因為你可能需要過環平
[24:11] 那你可能需要去過電網這一關
[24:13] 那傳統的這些電網業者呢
[24:15] 可能不會讓你這麼輕易的透過
[24:17] 那在過去的一些案例上
[24:19] 我們已經有看到一些驗證
[24:20] 所以呢其實它並不是這麼簡單
[24:22] 就是說我現在可能有一些燃氣機
[24:24] 然後一些fuel cell
[24:25] 有一些往復式引擎
[24:26] 我現在可以隨便再採購一些太陽能板
[24:28] 我就可以去做好這個能源的配置跟建制
[24:30] 沒有它可能必須要去
[24:31] 跟這些電力業者還是要去做協作
[24:34] 它也是要去併入當地的電網
[24:36] 那要併入當地的電網的話呢
[24:37] 就會產生一個很嚴重的問題
[24:39] 也就是在過去兩年前
[24:41] 然後最近它股價還是非常強的劃成
[24:43] 讓它出那個變壓器
[24:45] 其實變壓器
[24:46] 其實就是一個非常大的bottleneck
[24:47] 它目前的lead time
[24:48] 大概就是三年左右
[24:49] 也就是說你去跟它下單
[24:50] 到你拿到大概就要三年
[24:52] 像Stargate它有插隊
[24:53] 就稍微快一點
[24:54] 付多一點錢
[24:55] 可以可能在一兩年的時間去拿到
[24:57] 但是大家都是要去做等待
[24:59] 所以這馬上就有一個bottleneck的產生
[25:01] 就算可能電網業只要跟你合作
[25:03] 可是它沒有夠多的一個變壓器
[25:04] 它不一定可以幫你併網進來
[25:06] 再來第二個就是
[25:07] 如果你自己有土地的話
[25:08] 你有沒有可能自己去架太陽能板
[25:10] 在美國這邊有非常嚴格的一個環平問題
[25:13] 所以它不是這麼簡單
[25:14] 就是說我可能在旁邊去圈隔一塊地
[25:16] 然後插滿太陽能板
[25:17] 我就可以去做處理
[25:18] 我能夠做的是怎麼樣
[25:19] 根據我們去問一些專家學者的意見
[25:22] 就在當地有去做建制
[25:23] 或者我們投資圈去call一些所謂的專家會議
[25:26] 那是有提到說
[25:27] 他們在自己的設施上面
[25:28] 或者說一些附屬的建物上面
[25:29] 要去插太陽能板
[25:30] 在他們的園區裡面要去搞是沒有問題的
[25:33] 可是如果說他今天是要去隔壁圈一個空地
[25:35] 然後插滿太陽能板
[25:36] 那不一定會過
[25:40] 要有賴於一些政策的調整吧
[25:43] 那政策調整有沒有一些機會呢
[25:45] 其實我最近會開始有聞到一點味道
[25:47] 然後覺得有機會
[25:48] 主因當然是因為我已經看到臺股
[25:50] 或者說中國的股市相關的在動
[25:52] 那其實美股上游的材料廠在動
[25:54] 這是我為什麼會想要去做研究的主因
[25:56] 一般我們都先看到東西
[25:57] 像那個Stanley Drucker-Miller講的我先上車我再研究我先看到我再去做研究那我們就有注意到像是馬斯克有提到說他在未來的三年他要搞100GW的一個太陽能雖然馬斯克講的數字
[26:08] 老子講的就直接打折
[26:09] 這個就算我是喜歡馬斯克的
[26:11] 我都跟大家講
[26:12] 那一定要打折的
[26:12] 然後外加100GW
[26:13] 其實一個非常不合現實的一個數字
[26:16] 他一定是沒有辦法拿到這麼多的
[26:18] 甚至是隻有兩折的數字
[26:19] 就已經奧密頭佛了
[26:20] 但是他有去宣誓說
[26:22] 他就是要搞一大堆的太陽能
[26:23] 好這是第一點
[26:24] 那再來第二點
[26:25] 就是在all in part的一個主持人
[26:26] 這個Pally Habity
[26:27] 那這個過去我們跟大家聊過
[26:29] 可是後來我也跟大家表態說
[26:30] 我不太喜歡這個人
[26:31] 因為我已經很明顯的感受到
[26:33] 這個人是表裡不一
[26:34] 他有很多的兩面手法
[26:35] 但可能就是你在商業的市場上要成功
[26:38] 你就知道這樣子吧
[26:39] 但總之他有很多的做法
[26:41] 那所以跟大家分享
[26:41] 我不太喜歡
[26:42] 那所以其實後來就已經是
[26:44] 沒有什麼在看他的東西
[26:45] 那只是因為我在做這個調查的時候
[26:47] 我就發現說
[26:47] 這一咖在過去的六天有發一篇文
[26:51] 就是提到說
[26:52] 為什麼我們需要太陽能
[26:53] 那他的論述最主要還是聚焦在
[26:55] 他發在他的substack上面
[26:56] 是要付費訂閱的
[26:57] 就是在聚焦
[26:58] 可能是因為跟中國的一個對抗
[27:01] 那我們需要有自己的能源自主
[27:02] 這已經不只是一個發電問題
[27:04] 它還是一個戰略問題
[27:05] 不知道
[27:05] 但是他把這篇文
[27:06] 然後分享到他的ex
[27:07] 就是他要帶他導流過去
[27:09] 可是在下面
[27:09] 就是有很多網友去吐槽他
[27:11] 其實就跟我想的一樣
[27:11] 就這個人他很常去
[27:13] 怎麼講
[27:13] 就見人說人話
[27:14] 見鬼說鬼話
[27:15] 他在散戶面前
[27:16] 跟大家講說
[27:16] 衝啊
[27:17] 我們去買這些股票
[27:18] 嘎爆機構
[27:18] 他自己先下車
[27:19] 那樣的道理
[27:20] 他在川普的面前
[27:21] 跟他講說
[27:22] 你就是應該要停掉
[27:23] 這些綠電的補助
[27:24] 這些綠電補助
[27:25] 砍掉之後
[27:26] 我們的產業
[27:27] 才可以更健康的一個發展
[27:28] 有些人就是應該被淘汰
[27:30] 可是他現在又在跟大家講說
[27:31] 我們就是應該要去建綠能
[27:33] 嚴格上來說
[27:33] 這算是兩件事
[27:35] 只是就是說觀感不佳
[27:36] 在一些人眼中看起來就是
[27:37] 媽的你前面不是講說
[27:39] 不要這些補助
[27:40] 你不是要去阻止這些東西
[27:41] 現在怎麼變成說
[27:42] 你又在推這個東西
[27:43] 發了一個雄文
[27:44] 現在流行雄文
[27:46] 寫一大堆
[27:46] 我就有觀察到這個現象
[27:49] 就是說怎麼講
[27:50] JK是一個投機主義者
[27:52] 我覺得他很投機
[27:53] 所以他一般去講某些東西
[27:55] 他一定是有聞到這個東西
[27:57] 是可能有機會
[27:59] 廚房已經有在煮了
[28:00] 那當然煮出來是怎樣不知道
[28:01] 可是有在煮他才會去講
[28:03] 因為他很投機
[28:04] 他的一些發文
[28:05] 其實你都看得出來
[28:06] 有這樣的一個狀態
[28:07] 所以有可能就是後面
[28:09] 當然這個還算是一個比較wild guess
[28:11] 就是川普有沒有可能
[28:12] 因為他非常討厭一個綠能的背景之下
[28:15] 那他竟然還可能反手去
[28:17] 可能在太陽能這邊去開放
[28:19] 讓大家去做
[28:19] 那我們知道說
[28:20] 在前面之所以
[28:21] 那個45X的太陽能的補貼
[28:23] 沒有被完全的殺掉
[28:24] 其實是因為有一些共和黨的人
[28:26] 去聯署支援
[28:27] 就是說因為在紅州這邊
[28:28] 有很多太陽能的設施
[28:30] 所以他們認為說
[28:31] 你不可以把這個砍掉
[28:31] 很多人會失業
[28:32] 所以才把它停掉
[28:34] 不然如果在歐巴架構下面
[28:36] 其實他們已經把風電給停掉
[28:37] 太陽能沒有停掉是因為這樣子
[28:39] 所以他等於算是殘喘的活下來
[28:41] 只是現在有可能會變成一個
[28:43] Alternative的某種發電方案
[28:45] 只是說就是它解決的問題
[28:46] 是比較多一點
[28:47] 第一個就是像剛才前面講的
[28:49] 變壓器
[28:50] 然後跟美國電網的一個建制
[28:51] 然後再來就是在法規方面
[28:53] 然後以及環平
[28:54] 就是這些東西如果都有透過的話
[28:56] 就我們假設說這四個東西
[28:58] 現在都不存在的話
[28:59] 其實我真的就覺得
[29:00] 這個四大產業的太陽能
[29:01] 也要起來了
[29:02] 可能就只剩下LED在躺在地上
[29:04] 但也不一定
[29:04] 這些發光的東西最近也非常猛
[29:05] 但反正總之看下來就是說
[29:07] 在供給端這邊
[29:08] 因為最大的supply直接被拔掉
[29:10] 然後現在他們也要去對印度
[29:12] 因為印度現在被視為是下一個
[29:13] 可能覺得說臺西有些業者想說
[29:15] 我可能可以在那邊去設廠
[29:16] 然後可能往其他地方出
[29:17] 就連印度這邊都要去客觀水
[29:20] 印度本來是視為說
[29:21] 中國之後的下一個
[29:22] 可能是太陽能的重要據點
[29:24] 那也要客觀水
[29:25] 所以就能夠選擇要往美國去
[29:26] 或者說像我們從臺灣這邊出往美國去
[29:28] 可能是有一些機會的
[29:30] 所以因為很大的supply不見
[29:32] 所以它一定會產生一些供應上的問題
[29:34] 那只是好在
[29:35] 在這個需求端這邊
[29:36] 雖然需求很破解
[29:38] 可是因為法規
[29:39] 因為電網
[29:39] 因為變壓器
[29:40] 所以導致需求沒有辦法一次的衝進來
[29:43] 所以可能也因為這樣子
[29:45] 我相信就算它有一些報價的變化
[29:48] 或是漲幅出現
[29:49] 它應該不會太猛
[29:50] 因為有太多東西卡在那了
[29:52] 但如果有一天大家注意到
[29:54] 這些卡關的東西都被抽走的話
[29:56] 那有可能就是有事情要發生的那一天
[29:59] 所以最近就是研究到這個
[30:00] 然後發現說蠻有趣的
[30:02] 它有機會成為下一個故事
[30:04] 當然現在市場上的故事非常多
[30:06] 在臺股是多到已經是選擇障礙
[30:08] 然後在美股是
[30:09] 不知道就沒有選擇
[30:11] 把什麼東西都逮要爛掉
[30:12] 但無論如何
[30:13] 反正我們會持續的
[30:14] 跟大家分享在市場上的
[30:15] 各種酷東西
[30:16] 然後自己的一些看法
[30:18] 那這些看法
[30:19] 希望可以為大家
[30:20] 在思考上面帶來一些幫助
[30:21] 那當然如果你覺得
[30:22] 我講的是fucking bullshit
[30:24] 或者不會發生的話
[30:25] 這其實也是對你有幫助
[30:26] 你就去short這些股票
[30:27] 你就空爆他們
[30:28] 那也是一個選項
[30:29] OK那大概這樣
[30:30] 那接下來我們就來進入
[30:31] 這個部分
[30:31] 第一位冰激凌
[30:33] 嗨猛公
[30:33] 我是地方捏卵聯盟的二寶吧
[30:36] 二女兒剛出生
[30:36] 最近發現有騎尿管樓管
[30:39] 那必須要動手術
[30:41] 也因為年紀太小
[30:42] 必須全身麻醉
[30:42] 希望你可以幫我跟
[30:43] 觀音大愛祈求一切順利
[30:45] 好那我現在已經回到總部
[30:47] 後面就是觀音大愛
[30:48] 所以應該有聽到
[30:48] 希望你的女兒可以一切平安
[30:50] 希望你們兩個要
[30:51] 持續的堅強下去
[30:52] 好吧我們相信好事會發生
[30:54] 那下面有黃伯榮
[30:55] 蒙公大愛大好
[30:56] 感謝全新的指引
[30:58] 那請問大家要報到多少下車
[31:00] 不要問我這種白痴的問題
[31:01] 好不好
[31:01] 就對全新可能也是
[31:03] 我們覺得說是不錯的公司
[31:05] 我會在節目跟大家講很多不錯的公式
[31:07] 可是我真的很不希望我們被導向一種那種
[31:09] 就爆牌臺的感覺
[31:10] 我不會去跟你收割
[31:11] 什麼哪隻標的我講
[31:13] 然後什麼下多少
[31:13] 就讓臺股都漲爛了
[31:14] 只是因為我知道去收割這種東西
[31:17] 或者說在節目上舒服
[31:19] 說你看我講的東西多屌
[31:21] 你看我賺多少錢
[31:22] 然後下次它跌下來的時候就有人靠揹你
[31:24] 那你知道股市就上上下下
[31:25] 所以其實我是想避免這一切的紛爭
[31:27] 我只想要去做好我自己的投資
[31:29] 所以我跟大家分享一些產業分析
[31:31] 你們最好就丟東西回來給我
[31:33] 這是我要的
[31:33] 那你們跟我說
[31:34] 怎麼謝謝你賺多少
[31:35] 那個是你們家自己的事情
[31:36] 自己處理
[31:37] 下面一位
[31:37] HYS
[31:39] 麥克風一震就開始聽的
[31:41] Tier2矮寶來的
[31:42] 聽說林口謝夢宮很猛來參拜
[31:44] 不是啊
[31:45] 不要亂拜啦
[31:46] 只是拜那個後面的觀音
[31:48] 我們只是借花獻佛
[31:49] 其實我也沒有要借他花獻佛
[31:50] 只是我不知道
[31:51] 你們怎麼形成這種壞習慣
[31:52] 整天跑來找林北許願
[31:54] 他說
[31:55] 我媽今年除夕突然倒下
[31:56] 進ICU嚇壞一家人
[31:58] 現在穩定
[31:59] 終於願意乖乖開刀治療
[32:00] 找該處理的問題
[32:01] 許願一切順利
[32:03] 就為早該進行的工程
[32:05] 公務工程買單
[32:06] 掛號大概是1million的NTD
[32:08] 那希望一切順利
[32:10] 也祝林口老公一家幸福
[32:11] Lisa永遠青春
[32:12] Noah安哥平安長大
[32:14] 公哥快當女寶爸
[32:15] 掛號讚的
[32:16] 你看他後面讚的
[32:17] 就知道說這個一定是女寶爸
[32:19] 那希望您的母親
[32:20] 可以儘快的康復
[32:21] 一切平安順利
[32:22] 下面一位盧先生
[32:24] 挨大您好
[32:24] 11月底的急速
[32:26] 挨大預期劇本會碰前高再下跌
[32:29] 因此策略以加碼單丟掉
[32:30] 並坐等恐慌大買
[32:31] 但經歷了這幾個月
[32:33] 原本坐等恐慌大買
[32:34] 到現在都能不會可以做的
[32:36] 中間具體最核心的
[32:38] 修正判斷的點是什麼
[32:39] 想知道愛大如果跟自己的預期劇本
[32:42] 差異多大
[32:42] 會願意認錯並修正判斷
[32:44] 該怎麼判斷
[32:45] 想不到範麗可以用
[32:46] 11月到現在舉例說明
[32:48] 希望一步步具體的觀察跟推導邏輯
[32:51] 關於譬如大盤連三根的紅K
[32:53] 或是大盤連漲超過某個%
[32:55] 希望可以從中學習愛大的判讀技巧感官
[32:59] 對就是去年11月的時候
[33:01] 確實是我自己的一個解碼位置
[33:04] 就是我們會去觀察一些
[33:05] 當有大黑可以出來的時候
[33:07] 就會把手上的部位給丟掉
[33:09] 一般都先把槓桿的丟掉
[33:10] 那如果說持續的去下行
[33:12] 然後碰到一些關鍵的均線
[33:14] 就像說像這次碰月線
[33:15] 然後探底下去拉回來
[33:17] 那如果說他探底下去
[33:18] 或是彈起來之後
[33:20] 然後再繼續往下的話
[33:21] 就會再慢慢的再砍
[33:22] 然後砍到像我自己的話
[33:23] 不會砍到太低
[33:24] 蠻多人可能會一次砍到
[33:26] 就像說五成或是三成
[33:27] 甚至有些人會空手
[33:28] 那只是像我自己
[33:29] 可能最多都砍到
[33:30] 七成八成我就留著
[33:31] 因為我還是會有一些
[33:32] 那種長期持有的部位
[33:33] 會繼續放
[33:34] 那至於什麼時候
[33:35] 會選擇繼續買回來
[33:36] 一般來講我們不太會
[33:38] 像我自己的話
[33:38] 不太會去砍掉一個
[33:40] 就像說我現在
[33:41] 本來在做記憶體
[33:41] 那我砍掉之後
[33:43] 我再把記憶體買回來
[33:44] 這個我不太做
[33:44] 一般我砍掉的東西
[33:45] 我就是let it go了
[33:46] 所以我就會去找下一個
[33:48] 可能我自己有在
[33:49] 物色的題材裡面
[33:50] 有在繼續往上走的東西
[33:52] 我去買它
[33:52] 那最好是他要有創新高
[33:54] 或者說他直接
[33:55] 就像他往下跌的時候
[33:57] 他本來是一個盤整區間
[33:58] 往下跌
[33:58] 那他可以去站回去
[34:00] 本來的盤整區間
[34:01] 那我就覺得說
[34:02] 這個可能是一個強勢的股票
[34:03] 或是最簡單的一個做法
[34:04] 就是看站回去無日線時事線
[34:06] 只是一般這種我不一定會這麼喜歡
[34:08] 因為無日線時事線
[34:08] 剛站回去有時候
[34:09] 可能只是一個反彈
[34:10] 然後就被打下來
[34:11] 所以一般來講
[34:12] 我會去買一些
[34:13] 可能在右側
[34:14] 就是他持續去進攻的東西
[34:15] 所以基本上手上會隨時留著的東西
[34:18] 都是那些持續在破性高的東西
[34:20] 這個是以動能為主
[34:21] 那如果今天有遇到修正
[34:23] 舉例來說像下盤算很猛
[34:25] 可是如果再出一個大黑
[34:26] 可以吞掉前面一兩個
[34:27] 我一樣會把東西給丟掉
[34:28] 那所以這其實都是會看當下的盤式去做調整
[34:32] 沒有辦法抓得非常準
[34:33] 然後舉例來說像這一波的
[34:35] 前面去碰月線那邊
[34:36] 我本來以為說這波行情要結束
[34:38] 那只是因為看到這個恐慌出來之後拉回來
[34:41] 那時候我是晚起了
[34:42] 所以我買的比較慢一點
[34:43] 但是因為有看到恐慌
[34:45] 我就願意去撿一點部位回來
[34:46] 接著當然就要看後面是怎麼樣
[34:48] 所以一般來講我們不太會去
[34:50] 至少像我自己或是身邊的朋友
[34:51] 很少聽到什麼劃線給股市走
[34:54] 你最好知道未來股市會怎麼走
[34:56] 所以一般大家都見招猜招
[34:58] 很多時候是還是建議大家
[35:00] 部位要盡量的留一些在手上
[35:02] 因為會長到超乎你的想像
[35:03] 就是你去問那些說什麼
[35:04] 像老人傢什麼以前講說什麼
[35:08] 不怕一萬只怕萬一
[35:09] 到一萬一千點趕快賣掉
[35:11] 現在三萬多點會不會只有五萬點
[35:13] 都是有可能的
[35:14] 只是為什麼我們就算知道說
[35:16] 可能未來有機會五萬點
[35:17] 我們還是會這樣切來切去
[35:18] 因為你不太確定
[35:19] 就是那時候走的題材是什麼
[35:20] 就像說你在2022 2023
[35:22] 你有辦法想到
[35:23] 現在記憶體會這樣噴嗎
[35:24] 其實很難
[35:24] 或者說你在2020
[35:25] 有辦法想到會噴黑暗嗎
[35:26] 你不知道
[35:27] 所以其實我們會一直去做
[35:28] 這型別的切換
[35:29] OK那下面一位
[35:30] 豬排飯好吃
[35:32] 猛攻關於個股
[35:33] 或是族群漲跌的原因
[35:34] 市場在漲跌
[35:35] 什麼故事是怎麼知道的
[35:36] 怎麼知道只是日常的漲跌服
[35:38] 還是有什麼的故事在裡面
[35:40] 愛你
[35:40] 你看我就說Spotify
[35:41] 為什麼每個都在問股票
[35:43] 還是我們之後還是拉一天去Apple好了
[35:46] Apple我感覺整天問股票的人比較少
[35:48] Spotify還是這樣
[35:48] Spotify還一堆還在struggle的是吧
[35:50] 好啦那還是回答一下
[35:52] 到底是怎麼知道
[35:54] 首先第一個
[35:55] 你一定會先去抓族群
[35:56] 就是說有東西在漲的時候
[35:58] 如果說只有一隻在漲
[35:59] 一般我們是不太喜歡
[36:00] 我們喜歡的是說大家一起漲
[36:02] 我覺得說像是我們在過年期間
[36:04] 我們知道說春天有漲價
[36:05] 那雖然春天漲價
[36:06] 這個我們在幾個月前就跟大家講說
[36:07] 我們有觀察到這樣的現象
[36:08] 只是說等到可能在農曆春年的時候才發酵
[36:11] 接著我們就會去看一整包的被動元件
[36:14] 其實你去看一整包被動元件
[36:15] 像我自己對被動元件的喜好度
[36:18] 沒有這麼高的原因
[36:19] 是因為被動元件其實就是強的那幾只
[36:21] 像是華清科跟國居大的在漲
[36:23] 一些比較弱的
[36:24] 其實那個形態走的不是太好
[36:25] 所以它其實沒有很全面
[36:27] 像這種我們就會比較沒有這麼喜歡
[36:29] 可是還是可以把它排進去
[36:31] 舉例來說tier2 tier3
[36:32] 我沒有選項的時候我就去選它
[36:34] 可是如果說全面性都很強的話
[36:36] 像下的ABF跟BT載板
[36:37] 8086 3037
[36:39] 然後跟3189
[36:40] 全部都非常強
[36:41] 這個我們就最喜歡
[36:42] 我們就知道說
[36:43] 那一定是有故事在背後
[36:44] 那一般來說
[36:44] 我們去透過一些crosscheck
[36:46] 或問一些產業的朋友
[36:47] 甚至打電話直接去問公司
[36:49] 或者透過法蘭業務去約公司
[36:50] 那我們知道一些
[36:52] 現實的狀況
[36:53] 如果有契合的話
[36:53] 我們就會持續的去加碼
[36:54] 跟持有大概這樣子
[36:55] 下面一位
[36:56] 林浩大屁眼
[36:57] 用安哥說話的語氣
[36:59] 小公你上次推薦的
[37:00] 特斯拉按摩棒
[37:01] 我拿來弄我的屁眼超舒服
[37:03] 不知道有沒有榮幸
[37:04] 可以捅我拜託
[37:05] 我家對Spotify印象蠻差的
[37:08] 下面一位
[37:08] 五星推推
[37:10] 請問一大
[37:10] Pfizer用的Adaptive
[37:12] 在記憶體驅動的背景之下
[37:13] 是否有機會大規模被採用
[37:15] 目前我們沒有看到
[37:16] 這樣子的一個狀態
[37:17] 雖然大概在一兩年前
[37:19] 我那時候去Pfizer的時候
[37:20] 我就有跟大家分享說
[37:21] 這個Adaptive的解方
[37:22] 那只是目前我們是沒有看到
[37:25] 這個解方被擴大應用
[37:27] 當然我們是期待
[37:28] 我們也相信說
[37:29] 搞不好Pandon有機會
[37:30] 讓這個東西
[37:31] 最後面就真的就切入一些
[37:33] 那種特別市場
[37:33] 可是其實他最後面噴的故事
[37:35] 並不是這個Adaptive
[37:36] 而是因為他手上有很多的
[37:38] NAND的庫存
[37:39] 至於未來有沒有機會被大規模採用
[37:41] 目前還沒有看到
[37:42] 有看到的時候可能會跟你分享一下
[37:44] 下面一位
[37:44] 祝北安安海瑟威
[37:46] 艾大好
[37:47] 謝謝你的優質節目
[37:48] 想問艾大對於目前特斯拉的看法
[37:49] 中國的FSD跟機器人會不會是很大的威脅
[37:52] 還是相差甚遠
[37:53] 那祝全家都平安健康
[37:56] 特斯拉的看法我覺得就差不多吧
[37:58] 特斯拉不就是那樣嗎
[37:59] 其實基本上
[38:00] 像大家在買特斯拉的
