[00:00] 欢迎收听谷外,我是羡慕公,本期节目由Osen 8电极家用提纸机赞助
[00:04] 最近台股一天涨跌上千点,大家都知道杠太大会出事
[20:38] 想賣的人都賣得掉
[20:39] 那這個東西才會熱絡
[20:41] 不然其實大家久而久之
[20:42] 會不想去參與這樣的一些標的
[20:44] 所以當你今天可以進去的時候
[20:45] 你就要有辦法可以出來
[20:46] 那可以出來
[20:47] 不然說像是剛剛講到的
[20:49] 造市商要去幫忙努力一下
[20:51] 然後再來就是市場的熱度
[20:53] 其實本身就是要夠
[20:54] 如果市場量都縮掉的話
[20:56] 也比較少人會想要參與的主因在這
[20:58] 因為當你部位夠大
[20:58] 你就會懂這件事情
[20:59] 你會沒有辦法出來
[21:01] 那你要怎麼樣進去
[21:02] 你會開始產生一些害怕的心理
[21:04] 然後再來就是
[21:05] 如果說這時候又有
[21:06] 制度上的一些重擊的話
[21:08] 還記得那時候在四五月的時候
[21:09] 跟大家分享
[21:10] 其實很多標的都漲到進儲值
[21:11] 非常爽狂噴這樣
[21:13] 可是當它下來之後
[21:14] 其實就是另外一個風景
[21:15] 就是如果你今天是部位夠大
[21:17] 所在裡面的話
[21:17] 以我自己當時的例子來講
[21:19] 而如果那些部位我都是一張未出
[21:21] 然後後來下來處置這樣關
[21:23] 那其實非常恐怖
[21:24] 為什麼
[21:24] 因為假設你手上有2000張東西
[21:26] 然後你現在你知道你灌跌停
[21:28] 只能夠出60張
[21:29] 那真的會死人
[21:30] 就如果說你今天是只有現股的話
[21:32] 你可能可以跟他拗看看
[21:33] 可是如果你今天有去上一些槓桿的話
[21:35] 那就是可能會造成一些那種連鎖效應
[21:38] 所以其實像這波
[21:39] 我們是有注意到說
[21:40] 一些那種中小型的股票
[21:41] 它其實就是流動性整個被抽乾的一個結果
[21:44] 所以導致它超跌
[21:45] 當然其實我們如果今天站在一個局外人的角度
[21:48] 超跌也会产生一些
[21:49] 可以做多的机会
[21:50] 只是就是整体来看
[21:52] 市场到底有这个制度是好是坏
[21:53] 我觉得是比较不好的
[21:55] 虽然说这个制度的存在
[21:57] 它会让像刚刚前面提到
[21:58] 你懂得玩这个制度了
[21:59] 你有一些获利的机会
[22:01] 那再就是你懂得在旁边看
[22:03] 知道说这个制度
[22:04] 造成一些破坏的时候
[22:05] 你会有一些减贫的机会
[22:06] 对这些人会有受惠的一个效果
[22:08] 没错
[22:08] 可是整体来看
[22:09] 我会觉得说这个制度废掉
[22:10] 它的收到的好处
[22:12] 应该是会远大于坏处
[22:13] 就是可能只是有一些人
[22:15] 没有办法在这个策略上面赚到钱
[22:16] 可是对整个市场来讲
[22:18] 就流动性重配
[22:19] 是很重要的一件事情
[22:20] 所以其实像是
[22:21] Action Brands的
[22:22] Situational Awareness
[22:23] 也是遇到类似的事情
[22:24] 就刚刚前面提到
[22:25] 为什么他在整包东西
[22:26] 给sit掉
[22:27] 因为他如果再继续
[22:29] 再往下乱靠的话
[22:30] 可能对市场
[22:31] 或者说对自己的部位
[22:33] 都会造成更大的伤害
[22:34] 他终于就是找到一个人
[22:35] 其实那个人家已经是
[22:37] 他也不是好心
[22:38] 就是Ken Griffin
[22:39] 他也不是说
[22:39] 就看到你这样好可怜
[22:40] 我来救你
[22:41] 因为这东西
[22:42] 基本上已经像是那样
[22:43] 跳楼大拍卖大折了
[22:44] 这一块钱的东西
[22:45] 可能卖你四毛之类的
[22:47] 所以你有多少东西
[22:48] 我就跟你全收
[22:49] 直接跟你对接
[22:50] 其实是有蛮多人去bid的
[22:52] 就我理解看报道上面
[22:53] 看什么Genstreet
[22:54] 还有什么Milani
[22:54] 我们大家都想要
[22:55] 那这最后面被Sell了拿去
[22:57] 他就是把这个部位给接收掉
[23:00] 等于说突然有一个造市场愿意出来
[23:02] 就说好OK
[23:02] 在某一个价位
[23:03] 在100块这个价位
[23:04] 你有多少你就丢给我吧
[23:05] 我就帮你把它清掉
[23:06] 那他就赚到这个爵士大反弹
[23:08] 非常的厉害
[23:09] 但如果说市场的流动性
[23:11] 是更加充沛的话
[23:12] 其实他就不会去受到
[23:14] 这么大的一个伤害
[23:15] 所以这一点就是要去讲到说
[23:17] 像刚刚前面提到说
[23:18] 这个储值股的制度
[23:19] 是把流动性又在收到
[23:20] 更窄的一个状况之下
[23:21] 所以以在台股来讲
[23:23] 甚至你的部位
[23:24] 只要在单一标的超过1000万
[23:26] 你遇到这种所储值
[23:26] 你就会头很大了
[23:28] 1000万根本在
[23:29] 以世界的规模来讲
[23:29] 是那么超级小资
[23:31] 可是1000万在一个
[23:32] 小型的储值股里面
[23:33] 就够你难受
[23:34] 那个部位就会卡死
[23:35] 那一样的道理就是
[23:36] 如果当你今天
[23:37] 不会涨到够大的时候
[23:38] 其实就连像美股这种
[23:39] 基本上造势算是很积极
[23:41] 很深的市场
[23:42] 它还是有可能在波动
[23:43] 放到超级大的一个状况之下
[23:45] 市场恐慌的一个状况之下
[23:47] 大家都在往同一个方向
[23:48] 靠的一个背景前提下
[23:50] 那就导致说
[23:51] 这个东西它是出不掉
[23:53] 或是它一直出
[23:54] 它就会疯狂的造成
[23:55] 自己的一个自残的效果
[23:57] 因为你觉得自己
[23:57] 把这个价格给砸掉
[23:58] 这也是为什么像过去的节目
[24:00] 有时候在节目中会聊到一些
[24:02] 当然聊到这些东西
[24:03] 并没有特别的什么宣誓意味
[24:05] 那这真的是我们心中的一个想法
[24:07] 大家不要玩
[24:07] 那我要跑第一个
[24:08] 为什么
[24:09] 因为我今天没有跑第一个跑掉的话
[24:10] 我就跑不掉了
[24:11] 我在这个可能最大量的支撑区
[24:14] 我没有办法去把部位解码
[24:15] 我就是要跟着留在里面
[24:16] 所以有时候它算是一个非战之罪
[24:18] 像刚刚前面讲说
[24:19] 我不认为你去笑它会显现出
[24:22] 你比较高级比较厉害
[24:23] 因为人家的绩效是真的就是非常好
[24:25] 它只是对风控没有错
[24:26] 这是真的
[24:27] 那只是呢
[24:28] 就是如果说今天这个部位是够大的话就是有照来说你长得比较大或者说你在市场里面慢慢變大你不一定是去美國市場跟大家競爭你在太古市場當你的部位開始變大你會開始懂它的痛
[24:41] 好像以這一波來講
[24:42] 可能以我自己來說
[24:43] 我算是我們身邊一些巨資裡面的
[24:46] 那種中小資
[24:47] 都是一個相對
[24:48] 就是我跟真正小資比我是大資
[24:50] 可是上面還有更大資的
[24:52] 那些更大資的
[24:54] 自己身邊一些朋友
[24:55] 他們在一些股票裡面是那種大股東的
[24:57] 他根本不可能出
[24:59] 所以這波為什麼我們的JODAN會感覺說
[25:01] 可以稍微的小一點點
[25:03] 你還有機會躲去盛虧股
[25:05] 單純是因為你出的掉
[25:07] 所以你有辦法這樣
[25:08] 如果這些大哥他們也有辦法出掉的話
[25:10] 其實大家的JODAN都可以很小
[25:12] 所以這時候又變成說
[25:13] 誰能再走亦能復舟
[25:14] 然後再上去的時候
[25:15] 當你的部位大
[25:16] 你自己本身就會造成Momentum
[25:18] 你自己的狂買就會把部位推上去
[25:20] 所以它甚至不一定是基本面的反應
[25:21] 它是一個動能的效果
[25:23] 但反之在下跌的時候
[25:25] 就是有可能你自己一直賣
[25:26] 就是一直把這個東西砸掉
[25:27] 那亦或是你发现你卖不掉
[25:29] 你干脆不卖了
[25:30] 所以你就会去扛超级大的一个drawdown
[25:33] 但以长远的角度来看
[25:35] 就是我觉得
[25:36] 特别是我几年前的节目
[25:37] 我就有这样的一个宏愿
[25:39] 就是我希望有照样自己变资本家
[25:41] 所以资本家就是
[25:42] 像这些上市柜老板一样
[25:44] 其实你要想
[25:45] 他们基本上都是在里面去
[25:47] 跟着这个股票载幅载成
[25:49] 上去100%
[25:50] 下来100%
[25:51] 那很多人说老板卖股票
[25:53] 可是你仔细去算
[25:54] 他可能卖的股票是不到1%的股票
[25:56] 就那种超级少
[25:56] 因为人家总是要生活
[25:57] 看起来好像他很笨
[25:59] 上去你没有卖
[26:01] 下来你也没有办法再买
[26:03] 人就卡死了
[26:04] 可是可能如果你拉
[26:05] 5年10年的Horizon来看
[26:07] 最终赢家就是他
[26:08] 类似李嘉诚那时候
[26:09] 买到Zoom一样
[26:10] 他最终爬很高
[26:11] 如果他前面
[26:11] 他也是想要去抓
[26:12] 泼风泼股的话
[26:14] 可能就没有办法
[26:15] 涨得这么大
[26:16] 自己会认为说
[26:17] 有照理要往这个方向去
[26:18] 因为就是说
[26:19] 你钱可能达到
[26:20] 某个程度之后
[26:21] 你就再也不用去
[26:22] 在意一些短线的波动了
[26:23] 有些东西
[26:24] 讲最难听就是
[26:25] 我在里面零鼓励
[26:26] 我都饿不死
[26:27] 我家人都不知道
[26:29] 他可以吃穿几辈子了
[26:30] 所以这些资本家
[26:31] 其实是我羡慕的一个对象
[26:32] 只是说如果你今天
[26:33] 发展到资本家的程度
[26:35] 就是你已经有个那种
[26:35] 几十亿百亿以上了
[26:37] 可是你还是要去做一些交易
[26:39] 你还是要把杠杆开很大的话
[26:41] 那就呼应到我们上集提到的
[26:43] 就是很多人会以为说
[26:44] 有钱人在下跌的时候
[26:45] 特别有优势
[26:46] 因为他钱很多
[26:47] 这个就是对股票不够理解的人
[26:49] 就会这样讲话
[26:49] 因为股票终究都是一个
[26:51] 百分比的游戏
[26:51] 就算你今天像Actionbrain
[26:53] 你搞到你有那種數百億AUM的資金
[26:56] 可是你只要是在槓桿開太大的狀況之下
[26:59] 你都是有機會一波被歪砲
[27:01] 雖然你被歪砲你被清算之後
[27:04] 你的錢還是夠用幾輩子
[27:05] 可是那個造成的傷害會遠大於一個小資
[27:08] 去想像說今天遇到股災他會受到的傷害
[27:10] 因為燈家是跑不掉
[27:12] 你是隨時可以跑
[27:13] 如果說要讓台灣的市場更加健全的話
[27:15] 其實就是讓大家隨時要買都買得到
[27:18] 要跑都跑得掉這個是比較好的
[27:20] 甚至可能漲跌停的一些機制
[27:22] 都是有討論的空間
[27:23] 因为最早就是说涨的一天
[27:24] 其实它不是10%
[27:25] 它是更小
[27:26] 后来才往上调
[27:27] 就是大家会慢慢的去意识到
[27:29] 我觉得随着部位的变大
[27:30] 然后市场参与的人变多
[27:32] 那里面的一些那种
[27:33] 可能中年少年股神
[27:35] 以前你知道在2000年
[27:37] 2020以前
[27:38] 你差不多一年赚1000万
[27:39] 大家觉得很厉害
[27:40] 可是2020年以后
[27:42] 你赚1000万已经算是一个
[27:43] 就那很多人的日内震荡
[27:45] 就是长这样子
[27:45] 所以世界都通膨了
[27:46] 所以大家就更加会去考虑
[27:49] 这个流动性的问题
[27:50] 所以这波的总结
[27:51] 就是一个降杠杆
[27:53] 跟流动性所造成的一个巨大的破坏
[27:55] 那后面市场就会相信
[27:58] 然后慢慢的会去做recover
[28:00] 可能还会有一些余威人在
[28:01] 因为当你看到有这样子一个
[28:04] 大型的案例之后
[28:05] 你就知道说台北下一定有很多
[28:07] 像中小型
[28:07] 像我们前面讲的有些POD
[28:08] 他可能下来后面也要去做一些战场整理
[28:11] 要去清算掉
[28:12] 那所以可能就会还有一些震荡
[28:14] 可是后面这个事件的影响
[28:15] 应该就越来越小
[28:16] 所以我们就可以把目光放到
[28:18] 后续的一些新的事件上
[28:20] 所以大概这样跟大家讨论一下
[28:21] 这个最近市场的一些
[28:23] 有趣的事情
[28:25] 那我觉得他跟Archegos事件
[28:27] 有一点像
[28:28] 只是Archegos那时候
[28:29] 很明显飙晃
[28:30] 他买的是一堆拐鼓
[28:31] 只是他买一堆拐鼓
[28:32] 大家想说
[28:32] 他买拐鼓关其他人什么事
[28:34] 没有
[28:34] 因为他造成的连锁效应
[28:36] 是像那些什么券商大赔
[28:38] 或者说其他人
[28:39] 可能因为有跟着去追这些东西
[28:41] 发现说被嘎爆
[28:42] 然后他就要卖其他东西来补
[28:44] 就市场其实大家都会连在一起
[28:46] 所以一些人的爆肠
[28:48] 其实会影响到更多人
[28:49] 就是没有像大家想到说
[28:51] 他自己惡搞
[28:51] 他自己自作自受
[28:53] 没有就是会一起影响到大家
[28:54] 甚至这一波我也不会讲说什么
[28:56] 所以最回获手就是
[28:58] Situational Awareness
[28:59] 我还是觉得说
[29:00] 搞不好就是韩国人先跳楼
[29:01] 然后开始跳楼的时候
[29:02] 他部位就开始Imbalance
[29:04] 就开始出问题
[29:04] 因为多空他一直要去调
[29:06] 所以就变成
[29:07] 后面就调不过来了
[29:08] 然后软体又嘎他空
[29:09] 多重压力之下就导致爆炸
[29:12] 所以金融恐怖分子的效果
[29:14] 还是非常叼炮的
[29:15] 大概这样
[29:16] 好那接下来我们就来进入Killer部分
[29:17] 第一位北极熊Killer
[29:18] 哭啊我的仓位呢
[29:20] 嗨主委
[29:20] 以下有问题要问
[29:21] 一你有打过红眼路比的二周目吗
[29:24] 有
[29:24] 二陈尚提你打到哪里
[29:26] 这真的是普通人有办法玩吗
[29:27] 就全部破完了
[29:28] 那成就也全部拿到了
[29:30] 你说普通人有没有办法玩
[29:31] 应该这样讲
[29:33] 如果这是你的第一款
[29:34] 内魂的话会真的很辛苦
[29:36] 但如果说你已经有打过
[29:38] 相关的内魂的话
[29:40] 这个应该是在二三十个小时内
[29:42] 是可以完成的东西
[29:44] 如果说没有玩过的
[29:45] 确实是要花比较多时间
[29:46] 它就是一种游戏分类
[29:47] 那三想问你有没有
[29:49] 请人帮你的家里植物浇水
[29:52] 我自己有浇了
[29:52] 我觉得也蛮屌
[29:53] 浇完之后就真的出于
[29:55] 绝世大反弹
[29:56] 以后我天天要浇水
[29:57] 但我出国之后
[29:58] 可能就没有人浇水
[29:59] 就浇给老天了
[30:00] 所以有下雨的话
[30:01] 就有浇到水
[30:02] 然后说谢谢您
[30:03] 祝您全家人度假顺利
[30:04] 非常感谢这位兄弟
[30:05] 下面一位
[30:06] 我咬到得头
[30:08] 说话都不叮嘟
[30:09] 8分
[30:12] 我咬到得头
[30:13] 就真的会讲笑话
[30:15] 就是在随手挥毫
[30:17] 就可以立刻做出一个
[30:19] 蛮不错的作品
[30:20] 孟公家你好
[30:21] 第一次留言
[30:22] 我和男友是远距离恋爱
[30:23] 男友是你的忠实听众
[30:25] 因为男友的推荐
[30:26] 也开始听你的podcast
[30:26] 虽然我很常听到睡着
[30:29] 在起床重听
[30:30] 很感谢你用温柔沉稳的嗓音
[30:32] 分享生活跟市场见解
[30:33] 搭配直男的吐槽
[30:34] 陪伴我们大家
[30:35] 挂好几次都听到笑出来
[30:37] 谢谢你
[30:37] 大家的源端好朋友
[30:38] 8月2号是男友的生日
[30:40] 孟公可以用猛男的声音
[30:41] 跟秉秉说那四个字吗
[30:43] 救救我啊
[30:44] 谢谢你
[30:45] 那也祝孟公一家平安健康
[30:47] 动物园的奇异灵体犬
[30:49] 我们祝男友8月2号生日快乐
[30:51] 在我儿子后面一天
[30:52] 8月是什么
[30:53] 狮子座
[30:53] 我不太想讲吉祥话
[30:55] 可是我不知道狮子座有什么东西
[30:57] 下面有位JLM
[30:59] 孟公家您好
[31:00] 又是我居社大GG
[31:02] 朋友兼同事的二宝
[31:04] 一出生就遇到了心脏方面的问题
[31:06] 这个状况需要多次的手术
[31:08] 前几天看到了第一次手术的照片
[31:10] 看到可爱的宝宝
[31:11] 胸口开了一个长长的手术到肚脐
[31:14] 当下是有忍住
[31:15] 但一样身为二宝爸
[31:16] 投射到自己的小孩
[31:18] 真的会很想哭
[31:19] 在那边希望得到
[31:20] 孟公祈祷跟观音斗爱的祝福
[31:22] 祝福最后手术都能够平安顺利
[31:24] 也祝福孟公祈祷全家平安健康
[31:26] 谢谢
[31:27] 这个是地方捏软阵线的
[31:29] 各个朋友们
[31:30] 都一定会有的一种感受
[31:31] 就是可能在
[31:33] 自己没有小孩之前
[31:34] 你看到一些东西
[31:35] 老实讲
[31:36] 也不要说什么没血没泪
[31:37] 就是你真的就没有感觉
[31:38] 相较之下
[31:39] 真的就有点像没血没泪
[31:41] 可是当你自己有孩子之后
[31:44] 那个想法真的会差很多
[31:45] 你看到
[31:46] 那可能就真的是同理心的建立吧
[31:48] 你就会知道
[31:49] 这个东西如果发生在我身上
[31:50] 我是怎么样的晴天霹雳
[31:52] 亦或是其实我身上发生过类似的事情
[31:55] 那我现在很幸运的
[31:56] 可能我的状况是没有这么严重的
[31:59] 或是我们已经是成功把他了结掉
[32:01] 那别人正要进去
[32:02] 所以像我看到一些私讯的听众跟我讲说
[32:05] 孩子现在遇到一些问题
[32:06] 跟我求助
[32:07] 问说可能有没有机会去推荐一下
[32:10] 哪一个医师会处理到什么
[32:11] 我一般都会立刻回来
[32:13] 然后讲干话的
[32:14] 因为真的太多
[32:14] 所以不一定有空回大家
[32:16] 不好意思
[32:16] 可是像这种就立刻回
[32:18] 因为你知道当下那种心急如焚的感觉
[32:21] 所以希望每个人的小朋友都健康
[32:23] 希望观音会保佑他们
[32:24] 下面一位
[32:24] 恩
[32:24] Iowa上涨靠钱堆
[32:26] 下跌靠风吹
[32:28] 但怎么感觉这个下跌也是靠钱砸
[32:30] 隔日重游在锁跌亭的吗
[32:32] 孟公那些空你股票的
[32:34] 是不是该教训一下了
[32:35] 那话说阿明到底是企业家
[32:37] 还是职业操守啊
[32:39] 总是能够高歌离席闪崩厉害
[32:41] 那另外需要请教天传法师
[32:43] 开示一下波形的
[32:45] 他是常出现在你社群的吗
[32:47] 那最后安哥会说话了吗
[32:48] 可以叫他说V转吗
[32:50] 安哥目前就只会
[32:51] 爸爸
[32:52] 爸爸
[32:52] 然后狗狗
[32:53] 就是这两招
[32:54] 那再来天传法师的话
[32:56] 其实天传法师
[32:57] 现在还是属于
[32:58] 比较看多的一个方向
[33:00] 只是这一波洗得很深
[33:02] 他自己有吓到
[33:03] 前几年就有跟我聊到说
[33:04] 跌到他都有一点害怕了
[33:06] 一般他不太害怕
[33:07] 但是现在跌到他都有一点害怕
[33:08] 那再来讲说
[33:10] 阿明是企业家还是职业操守
[33:12] 其实我觉得两个应该都是
[33:14] 这个企业家绝对是
[33:15] 因为可以把一个企业搞到这么大
[33:17] 并购天王
[33:18] 这个一定不是一般那种阿妈阿狗
[33:21] 那职业操守的话
[33:22] 确实是就是每次在高档
[33:23] 就有一些神奇事件
[33:24] 好像前面是这个
[33:26] 但那个可能不干他的事
[33:27] 前期卖股票
[33:28] 然后这一波就是解职
[33:29] 虽然他们自己的说法是解职
[33:31] 他不是卖股票
[33:32] 可是你后来就会懂说
[33:33] 为什么一堆股票都跌五六十趴
[33:35] 可是他被骂最凶
[33:36] 因为他在高档解职
[33:38] 就像我朋友讲
[33:38] 这就有一点那种
[33:39] 就是大家一定会找你来骂
[33:41] 你说其实黄崇仁的股票也跌掉了50%
[33:43] 可是为什么好像没有人要骂他
[33:45] 然后大家在那边RIP
[33:46] 都是比较正向一点
[33:48] 施者为大这是肯定的
[33:50] 可另外一方面就是
[33:50] 因为人家没有在高档截肢
[33:52] 所以就是一种那种观感的问题
[33:54] 因为其实这波一堆股票都跌掉了60%
[33:55] 但你发现说全部人都在骂阿明
[33:57] 应该就是跟这个有关系
[33:58] 然后再想说
[33:59] 是不是有隔日冲在锁跌停
[34:01] 没错会有
[34:02] 就是他知道说这档股票有一些
[34:05] 可能不好的消息
[34:06] 或者说断头的危机
[34:07] 他就先去把他锁住跌停
[34:09] 所以這個就跟前面
[34:10] 我們討論到的流動性一樣
[34:11] 就像鎖漲停跟鎖跌停
[34:13] 或這些處置股
[34:14] 它某個程度上都是一些人
[34:15] 可以拿來獲利的一個東西
[34:17] 但是我是不會去敵視這些人
[34:19] 因為這就是制度下必然的一個結果
[34:21] 就是你的制度會鼓勵大家
[34:22] 往那個方向去
[34:23] 就是當你覺得說
[34:24] 你這個制度是跟大家講說
[34:26] 股息就是要抽你一堆稅
[34:27] 就會產生
[34:28] 你知道有些人會在前面
[34:29] 把它敲掉
[34:30] 或是有一些機構
[34:31] 會協助你做這樣的事情
[34:32] 那個是難免的
[34:33] 你不可以說這些人猥瑣什麼
[34:34] 就是你制度這樣定
[34:36] 大家就會這樣子繞
[34:37] 当你有一个涨停
[34:38] 有一个跌停
[34:38] 有一个处置股
[34:39] 那别人可能也会去利用它
[34:41] 亦或是像你自己
[34:42] 拿自己来看就好
[34:44] 你知道你的东西
[34:45] 后面就会掉进去处置
[34:46] 那他下跌
[34:47] 掉进去处置
[34:48] 你就知道你出不掉
[34:49] 请问你现在会怎么做
[34:50] 当你想通这一点
[34:51] 你就会去懂说
[34:52] 那为什么有些人会跑得并快
[34:54] 或是有些人他想要
[34:55] 趁你病要你命
[34:56] 这个就是因为制度所造成的
[34:58] 一些后续的影响
[34:59] 大概这样
[35:00] 那下面一位阿哲
[35:01] 相信黄董年底就懂
[35:03] 可是黄董你怎么先走了
[35:04] RAP
[35:05] 希望黄董在天之灵
[35:06] 可以保佑利基店早日破百
[35:07] 也祝福MK家人身体健康万事如意
[35:09] 那最后想要对高雄强尼说
[35:11] 不要跳槽啦
[35:12] 一堆妹子的环境
[35:13] 绝对比一堆老人的环境还要香
[35:15] 后面我不知道你们在讨论什么
[35:17] 但我完全认同
[35:18] 就是如果今天是跟
[35:19] 没有我不认同
[35:21] 我不认同啊
[35:22] 对
[35:22] 对还是跟老人上班比较好
[35:25] 然后再来讲说利基店早日破百
[35:26] 对希望这个
[35:28] 也不要只有说利基店
[35:29] 就所有这一波遭受到重击的股票
[35:32] 希望大家都可以尽快的早日回到前高
[35:35] 希望大家的部位都没事
[35:37] 对啦以后股市就少一个梗
[35:39] 因为以前大家讲说
[35:40] 相信黄董年纪就懂
[35:42] 其实有两个都大家会相信
[35:43] 黄董跟另外一个潘董
[35:45] 相信潘董年纪就懂
[35:46] 你还有一个潘董可以信
[35:48] 但黄董就
[35:49] 希望他在天之灵
[35:50] 可以继续的保佑台股
[35:52] 保佑台湾的产业发展
[35:54] 大概这样
[35:54] 下面有位IDKDIK
[35:57] 梦跟我老公
[35:58] 小弟最近想要买电竞笔电
[36:00] 突然想到之前黄爸爸
[36:01] 来台湾推广AI笔电
[36:02] 老公说过也可以玩游戏
[36:04] 价格两个好像差不多
[36:05] 那想问老公你会怎么选择爱你
[36:08] 就是那个N1X的笔电
[36:09] 如果今天要我去买一台笔电
[36:11] 因为我已经有笔电了
[36:12] 所以我不急的话
[36:13] 我会想等N1X
[36:14] 就是AI最高规格的笔电出来再去买它
[36:17] 那如果说你比较急的话
[36:18] 那当然就是直接先去买一台
[36:20] 堪用的就好
[36:21] 就早买早享受
[36:22] 所以这个都是看个人的价格的取向
[36:25] 跟你急不急
[36:26] 这个有很大的一个差别
[36:27] 那下面一位
[36:28] Arraylex
[36:30] 亲爱的MK你好
[36:31] 请问你是如何养成凡事直上的习惯
[36:33] 几年前退休后听你的建议开始买0050
[36:36] 虽然知道在长期绩效上单笔投入会比定期定额好
[36:39] 但因为没有勇气把所有的退休金单次而投入
[36:42] 所以只敢选择每个月百来万做定期定额
[36:45] 迄今资产累积到数千万
[36:47] 也因此不小心转变身份成为假专业投资人那近期营业员推荐我做0050的FCN我有听你的建议不懂得产品不要碰所以我有做了一些功课稍微了解FCN可以帮我的资金闲置时
[36:59] 获得高利息
[37:00] 风险是跌穿履约价的时候
[37:01] 我去履约价的价格购入0050
[37:04] 但因为我原本就会定期定额买0050
[37:06] 所以这个风险对我来说似乎是可控的
[37:08] 担心功课是否做得不够完整
[37:11] 所以来听听看你的看法
[37:13] 怪我可以小力骂我这个快乐宝贝
[37:15] 但请帮助我即使不做这个商品
[37:17] 也可以多认识一项产品
[37:19] 谢谢祝全家平安健康
[37:21] 美满幸福
[37:22] 你可以想象成说
[37:23] 就是有人在帮你做sell put
[37:25] 只是你自己做sell put的话
[37:26] 你不用给他抽
[37:27] 他帮你做sell put
[37:28] 他可能就跟你抽一些钱
[37:30] 他跟你报的价格
[37:31] 可能也不一定会很好
[37:32] 所以像我自己是
[37:34] 一概不推荐叠床架屋的产品
[37:36] 但我后来有慢慢的
[37:38] 比较世俗化一点
[37:39] 我懂
[37:39] 就像我懂说
[37:40] 为什么有一些长辈
[37:42] 他们全部都是在付委托
[37:44] 即便付委托是一个算起来相对贵的东西
[37:46] 我也开始懂为什么有些长辈
[37:48] 他会把钱放在一些
[37:50] 我们认为是没效率的地方
[37:51] 因为真的就是每个人的设计是不一样的
[37:54] 那就算是你告诉他有一些东西
[37:56] 是真的可以帮他省下一些手续费或什么的
[37:59] 或许是很多的手续费
[38:01] 但对他来讲
[38:01] 他要把钱会去国外
[38:03] 然后他又不知道说
[38:05] 回来的时候要怎么样去报税
[38:06] 或是如果说他今天突然间挂掉
[38:08] 他也不知道有些手段可以去做处理的话
[38:10] 对他来讲
[38:11] 其实付委托这样的一个
[38:13] 成本就是OK的
[38:15] 所以一样的道理就是
[38:16] 如果说自己会去使用SELF PUT
[38:17] 或是一些策略的规划
[38:19] 你可能就会对FCN这个东西
[38:20] 是没有兴趣
[38:21] 可是如果不会的人
[38:23] 说不定就有兴趣
[38:24] 如果你有兴趣的话
[38:25] 那当然就是要告诉你说
[38:26] 对没错就是
[38:26] 今天如果说跌穿的话
[38:28] 一般他们有时候会配好几个产品给你
[38:29] 然后最后面就会指定
[38:31] 叫你去接一个比较鸟的
[38:32] 这你要小心这是一个陷阱
[38:33] 就像有些朋友会看到说
[38:34] 有三档标的包成一个FCN
[38:36] 他以为说A是他接的
[38:38] 就在那边接到B或C
[38:39] 那是他不要的东西
[38:40] 所以如果是这样子的话
[38:41] 特别小心
[38:42] 如果说这是很单纯的
[38:43] 就是单一标的的话
[38:44] 你评估过后之后
[38:46] 你觉得可以试看看
[38:47] 那你就要去注意说
[38:48] 他报给你的报价
[38:49] 或是里面的内涵的一些
[38:51] 手续费跟酬佣会不会算起来
[38:53] 其实他吃掉你很多的利润
[38:55] 但还是要回到大原则
[38:56] 大原则是我觉得
[38:58] 就是去买各种原型产品
[38:59] 就是最单纯
[39:01] 最不会夜长梦多
[39:02] 也不会有机会被人家拐
[39:03] 被人家骗或什么的
[39:05] 当然讲这可能会挡到一些
[39:06] 李专的财路或什么的
[39:08] 我之前也跟这些李专
[39:09] 有稍微道歉过
[39:10] 因为以前我会讲说什么坏坏离庄
[39:11] 后来知道说大家都知道生活
[39:12] 他也知道卖产品
[39:13] 有时候也是他的上司叫他卖
[39:15] 他也不想卖
[39:16] 可是他就只好要卖
[39:17] 所以这个社会是很复杂的
[39:19] 有时候我话就是讲到这
[39:20] 我就跟大家讲说
[39:21] 我不喜欢那样的东西
[39:22] 如果你们还是很坚持要去的话
[39:24] 那就不要再回来问我
[39:25] 就像有些东西
[39:26] 我会跟大家讲说
[39:27] 就这个地方我价格就看不懂了
[39:29] 然后你还要死命追的
[39:30] 你后来再回我
[39:31] 回来问我说
[39:32] 为什么会这样
[39:33] 我也没有办法告诉你
[39:34] 因为我只能够给大家一些暗示
[39:36] 如果说大家很坚持要做的话
[39:39] 其实最后面要找下单的权限在自己的手上
[39:41] 有评估好风险之后
[39:42] 其实什么都是可以做的
[39:44] 说不定你会成为最后的一个赢家
[39:45] 大概这样
[39:46] 那下面一位白
[39:47] 不懂怎么留言
[39:48] 反正就是8月1号是儿子5岁生日
[39:51] 请去给他帮忙祝亲骨亲腻的儿子
[39:54] 晨晨生日快乐
[39:55] 我们祝晨晨生日快乐
[39:56] 下面一位七七
[39:57] 想问孟公认为之后用什么来确立
[39:59] AI泡沫要闪人的
[40:00] 避开如打抗泡沫的崩盘
[40:02] 是资本支出开始减少吗
[40:04] 瓜好有些巨头还在扩大资本支出
[40:05] 但像是微软新一季的财报
[40:07] 印象中资本支出比预期减少
[40:09] 那个是他账上的调整的问题
[40:12] 就我理解到初看是这样
[40:13] 就他并不是真的有去缩减
[40:15] 他好像是把一些那种
[40:16] 韧劣的东西调一调之后
[40:17] 然后就看起来是
[40:18] 好像比预期减少
[40:19] 那还是像您之前提到的
[40:21] 等AI变很便宜的时候
