[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由MakeEasy贊助。
[25:40] 一樣這些東西都是有可能在反轉之後會出事情的,現在是這樣需求很旺,反轉之後有可能會掉快。
[25:47] 再來他們也提到說目前電力跟許可會是關鍵的瓶頸,有一個17英里的管線被否決兩次,就不讓它過。
[25:56] 再來有另外一個州要求一個A減的性貧,不然要你去遞交70億的信用狀,同時大量的選民反對。
[26:04] 所以這也正式的宣告,特別是大家最近應該有看到Bernie Sanders去反AI電話Center跟AOC啊,那越來越多的報導,這樣貼文瘋狂的去發,所以AI基礎建設呢現在已經進入了地方政治的一個階段。也就是說地方的政治是有可能,特別是假設,我自己在想像啊,就是共和黨假設後來的選舉稍微失利的話,民主黨聲勢上來,就有可能會讓整個資料中心的建制呢會出現一些變數啦。
[26:33] 我還是認為以美國民主黨之間的人的說法,特別是Bernie Sanders,我也不知道為什麼有Bernie Sanders這樣的各種論述,大家去看他X,我覺得任何名利人或是有在外面工作的應該都會覺得老頑癲亂講話,就很奇怪,他的很多說法是非常奇怪的。
[26:50] 這個人就感覺他的工作就是去分配別人的財產,然後去阻止別人的發展,這樣子也可以獲得選票,然後跟很多的支持,沒有辦法,所以我一向都認為就像你去推這些先進的科技,其實你讓大家要去共同的分享到一些利益,這是非常重要的。
[27:10] 如果說真的只有少數人賺錢的話,民主的制度就是票多得贏,少數的賺錢的人你投票還是有可能會投不贏。
[27:17] 大多數相對剝奪,即便他們自己本身可能也是實質受惠,但他們就覺得看你們賺這麼多錢,好像我都沒有分到。
[27:26] 然後再外加一些Propaganda說可能對水、對空氣的污染,或者是你的電力成本漲價,即便有太多證據去佐證,根本不是這樣。
[27:35] 但都可能會對這些選民造成影響,然後去投下對Data Center的一個反對票。
[27:40] 所以我覺得這個是後面可能也會稍微要去注意的一個利空。
[27:44] 那也因為說電力系統會有比較卡關的一些可能性,
[27:49] 所以表後的供電,
[27:51] 包含說他們自己去搞那種活塞式的,或是燃氣,或是有的沒有的,甚至是太陽能。
[27:58] 最近像Tesla這邊就有一個傳說是這樣,
[28:02] 對外放出了大量的太陽能的訂單,導致一些相關的供應鏈又跑起來。
[28:08] 這些可能都是在後面的一些solution,就是如果你想要去建置這些大家都知道現在非常賺錢的AI data center,上集還剛聊到,像BlockCon直接提出,一年就可以回本。
[28:19] 最大的問題其實是要在法規跟電力這邊要去過關,所以與其去等人家,說不定有蠻多這些大企業就會選擇,我自己用硬幹的方式看怎麼樣自己去做突破。
[28:31] 所以像 Oracle 這一季的表現其實都還蠻好的,然後針對一些關鍵大家會有疑慮的地方也做出了一些說明。
[28:38] 在它的營收部分是年增了30%,那未履約的合約呢,RPO 有6600多億,所以上修全年,狀況都很好。
[28:46] 但一樣,現在整體市場的環境有點偏向說,利多也不一定會漲,因為就是比較處於震盪的一個情形,還是希望早點改出這個狀態,但目前的現況就這樣。
[28:56] 最後再稍微講一下,因為我們上集是聊到Google在Government SACS的一個會議上面所提到的東西,後來的一天,Park也去了GS的會議,也有一些說法。
[29:08] 我們就直接快速的講結論就好,就是說他目前心中的想法是怎麼樣?他認為,避鎖模型最後的贏家是寡頭,甚至就是一個人,就是只有一組人會獲得勝利,他會獲得最大的一個價值。
[29:20] 這個我是先稍微的打一個問號,我自己是覺得說應該還是會偏向至少像像他這種雙頭的模式是很有機會的,Empiric OpenAI輪流的超車應該是在後來一段時間會看到的。
[29:33] 然後再來就是其實AI它並不是像大家想像的就是你可能用其中一個模型就可以什麼事情都做到。
[29:40] 隨著大家越來越熟悉AI模型之後也知道AI模型它在各個領域其實都會有它強大的模型存在,所以有可能後面會呈現那種特化的版本。
[29:50] 我是相信說可能在某些頂尖領域,它就是只用某一種模型,這是對的,但因為領域非常多,所以應該都還是有很多空間。
[29:58] 那他有提到一個蠻關鍵的數字是說,目前這些避所是的,你可能投一千億是可以賺一千三百億,如果你今天是開放式權重的模型,你可能投一千億能夠賺三百億,所以大家都懷疑這樣的一個經濟模式是不是會work。
[30:11] 這可以呼應到我們過去幾集有提到的,簡單來說,這些AI的錢除了外面消費者給的之外,就是這些大型語言模型的廠商他們去對市場、對於一些股東所募資到的錢,他把它投入這些設備,當然還有一些那種Cell Financing的東西。
[30:31] 以目前來說,我認為之所以沒有辦法看到一些價值產生的主因是因為還沒有辦法很明確的去定義說到底是哪個領域,最後面會由這些開源的模型去做。
[30:46] 所以開源模型下比較偏向是,簡單來說它還是有很多錢去投資,因為大家還是持續的相信這些東西也有可能在後面會蹦出一些紫微。
[30:54] 雖然領投資是避手模型,主要付錢的是兩大模型廠商。
[30:57] 但後面隨著我覺得劃分越來越清楚之後,像前面所提到的稍微簡單一點的應用可能就交給開放權重的模型去做,到時候那邊產出來的價值應該就會拉上去一些,然後隨著硬體建置的成本開始拉flat之後,後面的我覺得價值產出會開始慢慢出現。
[31:17] 但現在當然是很明顯最主要的價值是在這些圈圓模型這邊
[31:22] 那可是圈圓模型他們壓力也很大
[31:24] 因為他賺到的錢就要立刻再投出去
[31:26] 而且還是要持續的募資信用的狀態也不是很好
[31:29] 而且隨時都有可能如果真的像哈克所講的話
[31:32] 那只有可能寡頭可以贏
[31:34] 那其他爆炸你知道爆炸是很嚴重的
[31:36] 可能只要有一兩家也不用到兩家可能一家爆炸
[31:40] 對於整個市場的論述跟供需都會造成巨大的影響
[31:43] 所以就是大家一起爆炸
[31:44] 然後只要有一家爆炸我覺得市場就一起爆炸
[31:47] 所以會傾向相信說他講的劇本比較不會發生啦
[31:51] 就是會往那個傾向去只是有一些細部的東西要稍微的把它講清楚
[31:55] 不然如果真的是發生他講的劇本他自己也是一個最大的受害
[32:00] 差不多這樣你的感受
[32:01] 那以上就是這集節目跟大家分享
[32:03] 那接下來我們要進入Q&A的部分
[32:04] 第一位KT后夢宮chika您好
[32:07] 想問您一關於功能性訓練您有推薦的說嗎
[32:10] 我明顯都是問教練
[32:11] 然後二和台通陳誠是怎麼認識的
[32:13] 好像是共同朋友介紹的我也沒有印象
[32:16] 但我記得第一次見面好像是見到他跟呱吉,都是第一次見面。
[32:21] 如果有天諾亞或安哥對於你和Lisa安排的活動不再感興趣,不斷跳針喊著好無聊,您會怎麼做呢?
[32:28] 呱好不是想求正確答案,就是想聽聽看不同的人的不同做法。
[32:32] 其實目前諾亞就已經會很常喊無聊,而且後來真的會發現孩子不可以偷生,他跟我一樣有時候情緒會比較跳一點,
[32:41] 所以他可能早上還在跟我們講說要找他的朋友來家裡。
[32:45] 下午朋友玩一下下,他就會默默地跑過來說:"爸爸,可不可以叫他回家?"
[32:51] 他就會希望他的朋友趕快回家,他覺得夠啦,他覺得夠就叫人家回家。
[32:55] 然後晚上的時候還會在那邊唸,就說:"下次不要讓朋友來我家,因為他來我家的話我就沒有時間自己玩了什麼之類的。
[33:03] 他有一次玩具沒有收好,我們就跟他講說:"你要這樣子的話,那下次我們就可能沒有辦法讓朋友來你家,
[33:10] 因為你看你招待人家來玩,那你都不把自己的東西收好,就YEAH!他直接Q我他媽的YEAH!他就覺得說他不想要。
[33:17] 所以他是一個很有主見的孩子,非常有自己的一個想法。
[33:22] 那一般來說我們會稍微的順著他一點,就是他想要幹嘛我們就讓他做。
[33:27] 但是呢,如果說你完全的順著你的孩子,那你就是沒有做好父母的本務嘛。
[33:32] 你還是要做一些,因為小朋友畢竟腦袋沒有建構好,所以你認為是對的事情,你要讓他做。
[33:39] 出去運動,出去走一走,還是要拿去,所以即便不喜歡,還是會把他拐出去,但是我們比較不用強迫或是用罵的,就是用右拐的方式,你現在去的話,那待會就給你一些什麼好處啊,或是你回來就可以稍微玩一下Switch之類的,那目前會用這樣的方式去推。
[33:54] 那再來說第四,平常會對Lisa做親密的舉動嗎?比如說出門抱一下之類的,結果老婆超像老人家,她就是不太喜歡那種年輕人的一些互動,她都會說very gay,就是不要對我做這麼gay,這麼cringy的事情。
[34:08] 他會有很多自己的想法。
[34:10] 那就對啊,我會故意為了讓他生氣,就抱一下親一下,但他就會不要不要不要,但有時候他自己那個氣氛對情緒好的時候自己會跑過來,所以不一定啦,不一定。
[34:21] 沒有那個,怎麼講,就是自視的走法。
[34:25] 那下面一位,夢夢,懵公懵公,我男友南港胖虎每集都會聽5678遍,感覺很閒,對你有夠著迷,即使如此,他絕對9日生日我還是在留言。
[34:35] 雖然過了幾天拜託有機會念到可能會愛我多一點其中肌肉猛男的聲音送他四個字
[34:40] 生日快樂
[34:41] 先別為你唬
[34:43] 嗨老公今天來分享一下我乾女兒真的超可愛的啦動不動就乾爹喜歡你
[34:48] 討千千抱抱甚至會送珍藏的貼紙真的會被融化
[34:51] 喔對了我上次說找另外一半會捐一季的薪水快樂寶貝啦小弟自己辦事不力還沒有達到願望
[34:58] 但貪心的想再請觀音抖來實現兩個願望
[35:01] 第一個願望是後天4歲生日的乾女兒雨娜寶貝健康快樂長大遇到很多好人貴人
[35:07] 第二個願望祝老公可以至少有一個女兒每天來融化一下
[35:11] 不過小弟最近手頭比較緊7月到現在持續做動能還開始打融資YTD從300多%掉到15%
[35:19] 那雖然相信今年還可以打回新高投資5年都贏大盤
[35:23] 但還是先保守一點慢慢捐一個月的薪水來獻祭愛您
[35:27] 非常感謝在這個 Year Today 的報酬大爆炸還是願意要捐錢甚至是要幫我實現願望
[35:34] 非常感謝你希望你可以順利的找到你的另外一半
[35:37] 然後你的乾女兒可以健康快樂的長大
[35:40] 只是還是要稍微的多嘴一下
[35:42] 就是從300多%掉到15%
[35:44] 雖然對你過去都贏大盤
[35:46] 雖然你還是正的
[35:47] 但這樣的一個 Draw Down 其實代表著你可能是用
[35:52] 我覺得可能是太高風險的方式在做操作
[35:55] 當然富貴險中求啦,你很多那種高風險操作也是隱含的,你有可能會瞬間暴富嘛。
[36:01] 只是長遠下來呢,我們一般是不會建議大家有這樣子的一個報酬曲線,就是暴漲、暴跌或什麼的。
[36:08] 因為後來趨近爆炸的機率應該是會高蠻多的,所以還是建議你盡量要稍微的穩當一點會比較好。
[36:17] 那下面一位夢遊先生,安安夢工指南宮起嘎。
[36:21] 最近無聊又來重看獵人,孟恭知道紐克新市其實是New York倒過來嗎?
[36:27] 不知道
[36:31] 吸索倒過來就是鑰匙,掛號台語,握金就是Wallchain,不知道為什麼剛剛要認真看,這字媽還講幹話
[36:37] 前陣子聽潘董在財報狗節目聊到AI Adaptive 的降本效果極佳,台幣兩三百萬的投入可以節省50 million左右
[36:49] 很適合大部分的中小企業作為先期AI的導入,未來放量之後的商業模式可能會改賣授權,變得有點像是SI的味道。
[36:55] 這部分有什麼有趣的訊息可以分享嗎?如果還不太能聊也沒關係,反正還是愛您一萬年,祝何家平安健康!
[37:02] 這個是不能夠聊啦,因為那時候Adaptive剛出的時候,我就已經去群聯參訪,在一兩年前的節目就有跟大家聊到這樣的一個解方。
[37:09] 非常感謝當時的林偉博士還有他們的CEO以及一些快樂的好夥伴。
[37:15] 潘董也沒有在現場,也跟我視訊,還送了我一本他簽名的書,那時候有稍微講他的故事。
[37:22] 其實你現在回頭看就會覺得,這家公司是蠻針之著劍的。
[37:26] 他們在最早的時候,也不是說他們開創出某種東西,因為畢竟他們就是做NAND Flash其家的公司,做那個Controller,自己又有很多顆粒,所以過去賺了蠻多錢。
[37:36] 他們手邊有這樣的一個產品,所以就丟出一個問題,有沒有可能我們用自己手邊的產品去幫大家做到地端模型的,不管是一些fine-tune或是說推論,我可以幫大家省下很多錢,你也比較不會卡工一點,雖然事後回頭看就是NAND其實也是蠻卡的,價格也漲得很兇,但相較於寸土寸金的什麼HBM、SRAM、然後接著DRAM,有沒有可能我用NAND去幫你做這件事情?
[38:03] 最近就已經越來越多討論跟一些實務的做法
[38:06] 就是我把KV cache往外丟嘛
[38:08] 我丟到NAND丟到甚至Storage Rack裡面去
[38:11] 開始去切分這些模型嘛
[38:12] 他們很早就在提這個概念
[38:14] 就是我去幫你切
[38:15] 把東西切一切之後呢
[38:16] 然後用我們的硬體做訓練
[38:18] 可以幫你省下非常多錢
[38:19] 不管是在硬體採購
[38:21] 抑或是你知道你公司如果開始去走應用
[38:24] 這個其實就是我們前面聊到話題的一個引申啦
[38:27] 如果你是持續的去推尖端模型
[38:29] 沒有辦法你還是得加入那個鞋肉競技場
[38:32] 繼續往前衝,去堆硬體。
[38:35] 後面會開始劃分出一些企業日常的應用。
[38:39] 這個東西是,我沒有必要每次都上雲。
[38:42] 我一直上雲的話,老闆先把我抓一屌一頓。
[38:44] 你說AI可以讓大家省錢,用AI反而又讓一些公司搞到快破產。
[38:49] 你看Uber那個帳單直接爆發。
[38:51] 除非有些最尖端最前端的東西,你必須要上雲之外。
[38:55] 其實有一些應用都已經開始會往低端的方向去推。
[38:59] 這時候去使用他們又相對容易入手的硬體
[39:04] 然後搭配你這樣的一個思維
[39:05] 降本增效讓運算在低端
[39:08] 其實這個combo是蠻厲害的
[39:10] 我上次更新大概是半年一年前
[39:12] 我記得他們有跟Advantech
[39:16] 就研華有一些合作我是不知道後面推的怎麼樣但其實這個idea是蠻好的重點還是回到那時候一兩年前的說法,要看有多少客戶會去採用,因為有時候你走太前面的話,曲線Ramp上還是需要一點時間,但我覺得整個概念是蠻好的。
[39:33] 那確實就是可能會從一個就是最早大家講說是Controller 廠嘛然後就就越做越廣他們有一些高速傳輸的solution就這家公司的各種佈局其實真的都蠻廣的啦你說會不會有點像SI也不一定就可能會找一個夥伴去幫他推吧不會自己去推他就負責去做那個設備而已就就應該會這樣因為SI的話蠻多那種鳥屎的事情啊那你知道去年的工程師是很貴的那這些那種開發工程師我不太想應該兩兩三百萬年薪以上吧所以應該比較不會去做那幫客戶巴斯法尼亞我自己猜測會是這樣
[40:03] 大家要找夥伴去做搭手啦!
[40:05] 所以這個東西確實是有一些機會喔!
[40:07] 下面一位 Miss Cho
[40:09] 無敵感謝孟恭去搞的節目!
[40:11] 才智有趣兼具好好聽!
[40:13] 最重要是讓我跟學長變熟!
[40:15] 一開始愛您愛您的開玩笑
[40:17] 變成了愛你然後最近結婚了!
[40:19] 掛號孟恭是我們的媒人!
[40:20] 謝謝您愛您!
[40:21] 雖然我跟老公的相愛過程很坎坷
[40:24] 之前很陰謀到私訊孟恭抒發一波
[40:27] 掛號有點像是祈禱的概念
[40:29] 那雖然還在調適
[40:30] 但恍然大悟想好好把握現在得來不易的幸福,麻煩孟恭幫我跟老公說兩週年快樂要好好疼老婆讓老婆放心喔!PS我最愛的男人第一名是我老公第二名是孟恭第三名是童生。
[40:41] 你怎麼都喜歡這種非主流怪咖你老公會不會也是他媽一個怪小?
[40:46] 那再來講說祈禱其實這個蠻常發生的就是我的IG下有蠻多是就是你感覺之前他也不一定是要你真的回答什麼
[40:54] 他會講說希望聽孟恭跟我講一下是什麼樣的感受但我知道他沒有要聽他只是想找個地方講話
[41:00] 那我就會去順應大家
[41:02] 反正你也不確定我們看到吧
[41:04] 但是講完之後有時候你自己就舒服
[41:06] 或是你腦中就開了
[41:07] 反正我如果給你feedback
[41:08] 又讓你整個吹奏欲馳春水
[41:10] 所以對我就擔任一個垃圾
[41:13] 有一點像垃圾箱
[41:14] 就信箱啦
[41:15] 反正你們要寫東西
[41:16] 你們隨便寫沒有完
[41:17] 不要傳那種奇怪的東西
[41:18] 你知道有些人會把我IG的那個對話欄
[41:21] 當成是他去存一些
[41:24] 你知道
[41:25] 有時候我也是看得蠻開心的
[41:26] 就是他會把一些影片存在那邊
[41:28] 很北欄
[41:29] 他覺得不錯的
[41:30] 不知道存在哪,就存在跟我的對話裡面。
[41:32] 對啦,反正就是有很多延伸的應用啦,
[41:35] 類似剛剛前面講到的Adaptive,
[41:36] 你也不知道大家最後會不會怎麼樣用,
[41:38] 說不定一些延伸應用是產出最多的應用。
[41:41] 總之只要對大家有所貢獻,
[41:43] 我覺得都是還蠻開心的,
[41:44] 希望你們可以一切順利。
[41:46] 那下面一位,Winter Chen。
[41:48] Ida,您好,我和男友在新竹開麻辣香鍋,
[41:51] 您的節目常常讓我們在打掃的時候不孤單,
[41:54] 也很謝謝您無私的分享。
[41:56] 今年開店第四年,
[41:58] 因為店面有些問題不想續約了,
[42:00] 一方面也覺得父母年紀很大想陪在他們身邊,希望您可以祝福我們順利把新竹的店面點讓出去,並在台北找到適合的店面繼續營業。
[42:08] 如果一切順利,我會捐三萬塊給愛兔協會。
[42:11] 那如果是您的粉絲,希望您用自己原始的聲音祝他未來一切順利,股票賺大錢。
[42:16] 那也祝福你們一家平安順利一年,非常感謝Winter。
[42:20] 希望你們可以順利的在台北找到店面,並且順利的把新竹的店點出去,一切平安。
[42:29] 下面一位 Lizzy Chang 不知道現在留言來不來得及,聽到孟恭講貓咪的故事,居然眼眶泛紅是正常的嗎?我覺得孟恭也不用太自責,至少比起在街頭流浪有一個安穩可以生活的地方,他應該就很開心了。
[42:42] 非常感謝這位妹妹的留言,其實有時候就會想比較多,類似你知道Choco他有幾個兄弟姐妹,好像是三隻黑的兩隻白的,我們到時候都是在伊蘭的送屋所認領的嘛。
[42:56] 後來發現他的姊妹們都被送去美國和加拿大,反正就是有愛媽在中間牽線,最後面他們都去美國加拿大。
[43:07] 穿完照片發現有一個坐在SUP上面戴著墨鏡,超酷。
[43:12] 另外一個全身穿裝備跑去滑雪。
[43:15] 我們就想說我們是不是耽誤了這隻狗,這隻狗跟我們在臺灣在林口。
[43:20] 也不是說牠生活不好,其實Choco生活很好,他一兩禮拜去一次Salon。
[43:24] 他都會去做頭髮的整理、親耳朵什麼的。
[43:27] 我老婆都說狗過的生活比較好,他吃很好的飼料,然後接著像我太太也是有那種怎麼講自己的一些那種強迫症吧,就是一天一定要帶他出去好幾次,然後一定要走到固定的部署,也是不錯,只是就是說在一個那種都市叢林的感覺,好像說哇,如果那時候我們沒有遇到他說不定在更好的地方。
[43:45] 對啦,但退彎不來講,像是希寶,就是之前那隻貓咪,然後是Choco,遇到我們,就是生活會有所提升啊,總比在外面好,嗯,真的是這樣,也能夠就是靠這樣的一些想法讓自己稍微好過一點。
[43:58] 那我覺得,其實寵物就跟孩子一樣啦,你就會希望他更好,你不會覺得說,當然你跟朋友講話的時候會說,幹他過那麼爽,類似我說,媽Choco過那麼爽,可是你心中就還是會覺得,欸,有沒有可能讓他過得更好之類的,因為這些東西太珍貴了,他們是真心的愛你啦。
[44:14] 像我剛剛前面講的,像人與人之間沒有信任嘛,狗跟你之間,狗不會算計你啦,狗真的不會。
[44:20] 我又扯到狗,為什麼你們每次來跟我講貓咪,我最后面都講回狗,因為我覺得狗是更加單純的存在,貓咪不一定,貓咪狗狗都會想要陷害你,但也是蠻可愛蠻好玩的。
[44:29] 下面一位,嗨嗨,謝孟恭,只能夠偷偷問你了,相比於在全台碰運氣遇到你,我覺得New Balance的10公里馬拉松終點等你的機會大一點,請求預約和你拍照,會先讓你喘個幾下差低,希望有機會願望一次滿足。
[44:44] 有你還有Lisa和兩個兒子。
[44:47] 當然是沒有問題啦,基本上我覺得台灣人都非常的友善,至少在台灣做一個小名人我至今是沒有不舒服的體驗,真的沒有影響,就是完全沒有。
[45:00] 所以我覺得大家的分寸都很好吧,像一開始有人會講說,後面有人跑步跑一跑然後竟然停下來拍照,我覺得就不會遇到這種人啦,台灣的素質其實真的是蠻高的,所以都不用想太多。
[45:11] 我就只是一般人啦,其實我至今都還是有點搞不懂你們為什麼要拍照到底怎麼拍的,但你們要幹嘛我就能夠做的,大家開心都可以啦,小事情。
[45:20] 下面一位
[45:20] 當我遠揚夢光安康育兒的路上有淚有淚有歡笑,
[45:27] 那幸好有老婆這個神隊友還有夢宮跟眾多捏軟正線的空中陪伴,
[45:32] 覺得27號是我的太太aka彎曲林志玲的生日,她的生日願望是聽到你再一次把跳槽變成跳蛋,
[45:39] 然後再加重他四個字,也祝孟恭和各位空中的朋友們闔家健康平安,跳蛋生日快樂,希望心想事成。
[45:49] 但有些人跟我講說,其實盡量不要亂祝心想事成,因為我們很常會有不好的想法,或想要害別人,或是說生氣的時候一個念頭閃過去,但最後面就還好沒有做。
[45:59] 所以心想的東西也不要全部事成,但是願望可以獲得實現,這樣不講,我覺得願望比心中想到的東西更加的實際。
[46:07] 我到底在Murr沙西啊?我不知道在MurrMurr什麼?
[46:09] 下面有位很持久、是韭菜的韭。孟恭看問題就知道槓龜很多次。
[46:15] 詳問之前回檔說資金轉去盛虧股0050個指數,這樣不是滿手多擔嗎?什麼情況下會上空單避險?
[46:21] 季線下彎還是很彈性憑直覺,風高避險跟跌勢開始才避的困惑。
[46:26] 另外提問納斯達克要連續開盤23小時,其實不太懂小納跟納斯達克成份股沒跟著開的話,這樣有什麼意義跟影響?
[46:34] 最後會讓小孩學鋼琴嗎?安哥是不是蠻適合培養成運動員?對球好像很有興趣。
[46:39] 目前看起來他對運動類型的東西特別的有想法,而且他的力道也蠻大的。
[46:45] 不會說要培養為運動員,但會先往我們觀察到他的一些特質去努力。
[46:51] 就類似說諾亞他的耳朵是聽得出來寶可夢那種各種機台奇怪的聲音,一般聽不太懂,他聽得出來,所以就會想說可能有機會讓他學一下音樂。
[46:59] 我們會盡量往那個方向去推,沒錯。
[47:01] 那再來講說指數如果開盤23小時的影響是什麼?
[47:06] 就像是台紙它也是晚上會開夜盤嘛
[47:10] 那有些夜盤的期貨也會動
[47:13] 一些大票像台積電會動
[47:15] 可是問題是其他是沒有開的
[47:17] 但你說這樣就不影響嗎?還是會啊
[47:19] 它就是有點給你一個early indication 的感覺
[47:21] 你今天看到夜盤期貨狂跌就可以期待
[47:24] 那明天呢?就東西跟著跌的機率會高一點
[47:27] 也不一定有時候像夜盤狂跌
[47:29] 疊完早上反而就直接開地一堆人停船之後就殺出去
[47:33] 它可以作為一個Reference
[47:35] 但是你說對每隻絕對標的
[47:37] 可不可以很明確的講出它的影響
[47:39] 那個是沒有辦法的
[47:40] 然後再講說之前回答的時候轉進去這幾個
[47:43] 我認為是比較偏向防守性的東西
[47:45] 這樣還是滿手多擔
[47:46] 對沒錯就是滿手多擔
[47:47] 因為對我來說
[47:49] 我記得我今天有一集有跟大家聊過
[47:51] 它會隨著你目前的year to date的一個變化會有所變化
[47:56] 至少以我自己的策略會這樣
[47:57] 就是因為今年就真的太好了啦,所以我會覺得我可以跟你拼看看,我也可以凹久一點嘛,所以才會導致像前面有一些本來賺蠻多的東西,然後在7月回檔就跌到相對蠻深的地方,我才把它停利出去,因為我的心態就是反正我已經那個都是幾百%的東西,我根本就沒差,我現在隨便賣我賺錢,只是沒有想說GaN可以回這麼深,那後來就是還是打到心中設定的一些標準會出去,那這個就是因為你前面已經拉出去很遠了,那但如果說就像今年的報酬就只有個可能10、20%再往下就是10%的報酬,那這個就是因為你前面已經拉出去很遠了,那但如果說就像今年的報酬就只有個可能10、20%再往下就是
[48:27] 這幾個股票的投資者會不會是在這個時候就直接轉負的話,就會立刻轉為比較防守的姿態了。
[48:32] 所以其實會每年都把它重新計算的感覺。
[48:35] 也不會說什麼啊,因為我的資產相較於前幾年已經多很多,所以我現在可以隨便玩。
[48:39] 不會,就還是會把錢當錢,很認真看。
[48:42] 那就用可能每年每季這樣去看。
[48:44] 所以如果今天已經是狀況是不太好了,那接著又再繼續往下破的話,就會進入更加防守的一個姿態。
[48:50] 空單可能是比較罕見的狀況才會上,就是已經明確知道出事了。
[48:54] 這就是我們在第二季以後才開始上去的。
[48:56] 當然有些人會說他一早就空,我只能跟你講說摸頭去空的,那就代表在多頭的路上他早就已經不知道被尬多少次了。
[49:04] 你不可能每次都是摸到最高點,所以我們的做法還是我要看到一些indication才會去做相對應的調整,這樣不會自己去亂猜。
[49:13] 特別是如果說你在過去是做這種Pair Trade的
[49:17] 除非你是一些機構有被要求或什麼的
[49:20] 不然我會覺得蠻可惜的啦
[49:22] 因為這個算是我不敢講說是幾十年一遇這種事情
[49:26] 搞不好台灣還是會開大運還是很多年
[49:28] 可是它確實是一個非常罕見的行情
[49:30] 就是狂噴亂噴
[49:32] 在2020以後好像說就是這些股市的參與者行大運
[49:37] 很多人都發大財
[49:38] 如果說你做太多那種跌床架屋
[49:41] 自以為的避險
[49:42] 我以前早期會笑
[49:43] 散戶的幣錢都越幣越閒,最後面就是雙把。
[49:46] 其實都會對績效造成一定程度的影響。
[49:48] 有時候你就是想簡單一點,你就是回歸到投資的本質。
[49:51] 玩而玩,投資是什麼?就是你找好公司,買進並等待。
[49:54] 你在過去有吃過這些波段的人,你會對這段話很有感受。
[49:59] 你就會知道報酬真的都是等出來的。
[50:02] 當然它會隨著可能每次的盤勢不一樣,大家心態又會有所改變。
[50:06] 像最近身邊就開始又有看到不是我們自己最核心圈子的。
[50:10] 我覺得我核心圈子的朋友大多數都還是那種多軍
[50:13] 就是無論如何場上的多彈一定都是多的
[50:15] 因為甚至講白一點今天就算他媽股市崩盤
[50:18] 這線也沒差了
[50:19] 他早就已經賺了不知道夠幾輩子用的錢了
[50:21] 我拿股息我他媽都贏
[50:23] 所以他也不會想亂動
[50:24] 反而是一些就是我注意到的那種就是可能還比較相對小的
[50:28] 最近有蠻多那種全面轉空開始要上空單
[50:31] 覺得什麼明年會崩盤
[50:32] 這個我都會覺得就蠻可惜的
[50:34] 因為像這樣的想法我們在過去的幾年
[50:37] 就是從2020至今我們也聽過好幾次
[50:39] 你有這樣的想法,你就是賺不到這樣子的錢。
[50:41] 那當然有朝一日一定會變成說,你有這樣子的想法,你會賠掉蠻多,可是你前面也賺到蠻多的,你懂我意思嗎?
[50:47] 所以我是不太鼓勵一般的散戶去做太多的空袋,那是因為我們自己,連連類似說這就是我們的工作嘛。
[50:54] 所以當我已經有辦法看到一些訊號的時候,我會想去賺那個錢。
[50:58] 只是有些錢呢,你在大多頭的行情,你還是不會想賺。
[51:01] 就像說,像前陣子有朋友教我搞儲置嘛,後來我自己也是變得,就是我會搞這個。
[51:07] 可是我就是沒有任何的動機去搞
[51:09] 因為除非你今天是夠大的票進儲值
[51:12] 不然那個可以賺多少錢
[51:13] 你那媽整個跟完一趟下來可能就幾百了不起快一千
[51:17] 你說這也是錢啊沒錯
[51:18] 只是我就會認為我蹲在別的地方
[51:20] 我老老實實的蹲我還不用看盤
[51:22] 有時候我一天就超過了
[51:23] 所以你就不會想去賺那個錢
[51:26] 只是如果你今天整個盤面都沒東西好做的話
[51:29] 你確實就會考慮說那是不是我要上一點空單
[51:31] 像2022就是這樣的一個感受
[51:33] 因為你做多是根本沒有任何勝利的可能性的
[51:36] 所以你就變成是你會配一點空單,但是最主要的目的還是為了去保護你的多單,而不是說你想靠股票崩盤賺到錢。
[51:43] 所以盡量不要去這個什麼空單避險啊,或是去什麼要完美的閃過下跌啊,這個都是很不切實際。
[51:51] 你會發現就只有還蠻菜的會一直去強調這些東西,因為你後來你就想嘛,任何一個你變資產階級的,你看那些大老闆他們會跟你講說要空手嗎?
[52:00] 那沒辦法空手啊,然後那些很大的大家知道的investment hero,他們也不會整天跟你空手啊。
[52:06] 沒有辦法,因為就是在股票裡面報酬率期待還是最好的,所以一定會有東西在市場裡面,所以不要太迷信那類的東西。
[52:13] 那早期我自己也會很聚焦這樣子,後來就是隨著你的那個見解越來越開闊,那你的資產可能越來越多,你會慢慢去懂這件事情。
[52:21] 但一開始不懂沒關係,你真的覺得自己是那個騰天拓海,當然可以都去試試看,反正你的績效會告訴你答案,大概這樣。
[52:28] 那這期節目就到這邊,掰掰。
