[00:00] 歡迎收聽谷海,我是星夢公
[18:21] 如果說他把東西都全部
[18:23] 都丟出去給別人的話
[18:24] 你才要擔心
[18:26] 一些科技巨頭不花錢一樣的道理
[18:28] 所以我會覺得
[18:29] 特別是我們自己在公益鏈
[18:30] 也有看到微軟在接下來的ASIC
[18:32] 它會推的比較大力一點
[18:33] 雖然其實如果你用它的
[18:35] Lifetime的size來算的話
[18:37] 都還是不多
[18:37] 就幾千Racks而已
[18:38] 可是至少就是比本來
[18:39] 根本就生不出來來的好
[18:41] 或許在後面
[18:42] 它會獲得一些更多的討論
[18:44] 所以我覺得它其實也是
[18:46] position在一個
[18:47] 蠻OK跟正確的位置
[18:49] Google更不要講
[18:51] Google如果真的有掉下來的話
[18:52] 也會想要減值
[18:53] 問題就是說
[18:53] 我覺得因為Google
[18:54] 在過去的一陣子
[18:55] 它比較偏向是
[18:56] 因為市場上大家都已經是相信
[18:58] Google是最好的選項了
[18:59] 所以一般像這種東西
[19:00] 我們心中不免的就去思考說
[19:02] 那會不會以反應
[19:04] 所以會不會它下來之後
[19:05] 它反而要再彈上去的力道是不夠的
[19:07] 它會給它偏向是一個相對橫盤
[19:09] 或者說它在漲的時候
[19:10] 可能漲幅是會相對少
[19:12] 因為夠多了已經進去了
[19:13] 所以對我來講
[19:14] Google比較偏向一個neutral的狀態
[19:16] 就是自有Google的持股
[19:17] 可是就是hold
[19:17] 那應該不會想要再去額外加它
[19:19] 要去加的東西就是一定是要有
[19:21] 在這一波可能被無條件殺下來的
[19:24] 那同時是你知道
[19:24] 它其實後面的成長是很強勁的
[19:26] 它不是隻是像我們前面所提到
[19:28] 那些我們不會選的
[19:29] 就是說沒有這麼差吧
[19:30] 沒有
[19:31] 就是沒有這麼差的
[19:32] 可能就會就此被淘汰掉
[19:33] 可是那些明明就是逆勢增長的東西
[19:35] 那可能就是被挫殺的一個物件
[19:37] 所以目前自己去掃視的話
[19:39] 會覺得像是Cloudflare
[19:41] 或像是Microsoft
[19:42] 應該都是其中的一員
[19:44] 然後再來再往下看的話
[19:45] 像Cross-Trike我覺得也非常明顯
[19:46] 因為Cross-Trike
[19:47] 這個毛利竟然是不減反增
[19:49] 所以其實在AI的一個運用之下
[19:52] 特別像很多人在用龍蝦
[19:53] 在用Open Cloud
[19:54] 我覺得後面一定會有很多的討論出來
[19:57] 我覺得還要再等它煮一下
[19:59] 因為太多人把自己的許可權
[20:00] 都放給這種開源式的Asian
[20:02] 它什麼都可以取用
[20:03] 它可以拿到你的所有的資料
[20:05] 不是每個人都可能就聰明到
[20:07] 知道說要去買一臺額外的機子
[20:10] 然後讓它像是在沙盒裡面運作一樣
[20:12] 所以一定會有一些災情的產生
[20:14] 甚至後面可能會出現
[20:15] 我在這邊大膽的去猜想
[20:17] 就是會有一些企業會出來講說
[20:19] 不準員工去使用Open Cloud
[20:21] 然後應該會跑到一些新聞的版面上去
[20:23] 所以應該會有類似的事情發生
[20:26] 所以它應該會去刺激到一些資安股的表現
[20:28] 因為其實在AI agent的一個時代上面
[20:32] 就大家說這agent什麼都可以做
[20:33] 可是問題就是在資安的標的上面
[20:35] 它其實追求的並不是一個95分
[20:37] 就像是Cross-Ride
[20:38] 或是Palo Alto Network的高層都有提到
[20:40] 類似的觀點
[20:41] 這個資安的防禦是要求
[20:42] 你要做到百分之百要滴水不漏的
[20:44] 而且它要可規則性
[20:45] 所以很多時候你還是會把一些
[20:47] 像是這種法尊
[20:48] 或者說Payroll
[20:49] 稅務
[20:50] 然後跟治安相關的東西
[20:52] 你寧願會花錢找別人
[20:53] 因為你自己標可不可以
[20:54] 可以
[20:55] 只是問題就是說
[20:56] 你可能沒有辦法去maintain它
[20:58] 或者說之後如果出問題的話
[20:59] 其實你要找到的是一個可規則的一個物件
[21:01] 所以我反而覺得治安股應該是要受惠的
[21:04] 在這一波
[21:05] 其實治安股也都跟著殺下去
[21:06] 以Cross-Trade來說
[21:08] 我是比較喜歡
[21:09] Palo Alto Network的話
[21:10] 在昨天開完這個電話會議之後
[21:11] 他也一起往下掉
[21:13] 這個的話我就覺得說
[21:14] 他可能要再掉夠深一點
[21:16] 我才會有一些興趣
[21:17] 因為公司已經是直接去承認說
[21:19] 他們為了要去讓這個平臺化
[21:21] 做得更徹底
[21:22] 所以他們在初步的服務上面
[21:24] 他們會對客戶做一些折讓
[21:26] 那像這樣的一個說法
[21:27] 我知道美股的市場
[21:29] 是會因此受到影響的
[21:30] 就在自己的經驗裡面
[21:31] 知道說美股市場很受這種
[21:33] 就是我已經直接坦然跟你講說
[21:35] 反正我在後面一段時間
[21:36] 我財務的表現沒那麼好
[21:37] 即便我是for greater good
[21:38] 即便這個投資是必要的
[21:39] 即便這個是某種
[21:41] 對未來的一種挹注
[21:42] 可是他們就是知道說
[21:43] 你短期的成績就是不會好
[21:45] 所以短期內要讓它上去
[21:47] 我猜我自己的猜想
[21:48] 會覺得比較困難
[21:49] 至少這是我自己
[21:49] 過去的經驗所看到的
[21:50] 所以會稍微的等待一下
[21:52] 不然其實我覺得
[21:53] 它佈局的方向
[21:53] 也算是正確
[21:55] 反正就是把過往
[21:56] 你可能需要去接
[21:57] 好幾個軟體
[21:58] 然後像我全部都是
[21:58] 把它拉到一個平臺上面
[22:00] 在這個過程之中
[22:01] 會有一個振痛期
[22:02] 我會有一個
[22:03] 類似我要讓客戶去試用
[22:04] 然後我要去
[22:05] 引誘他們過來
[22:06] 說要去支付的一些成本
[22:08] 這些成本可能就是
[22:09] 會反映在他們
[22:10] 未來收進來的營收
[22:11] 或者說一段時間內的
[22:12] 毛利的表現變化
[22:13] 所以這個應該是
[22:15] 大家會稍微
[22:16] 比較警覺一點的
[22:17] 就會覺得說
[22:18] 它要上去的話
[22:18] 可能比較不會這麼快
[22:19] 所以其實整體來看
[22:21] 我會覺得
[22:22] 以目前來說
[22:23] 我自己比較有興趣的東西
[22:24] 就是Microsoft跟Cloudflare
[22:26] 然後跟可能像是
[22:28] 這個Crossstrike
[22:29] 如果要再往更後面去找的話
[22:32] 那就當然
[22:33] 如果它有一個便宜的價格出來
[22:34] 是可以的
[22:34] 目前我們是有聽到朋友
[22:35] 是在講說
[22:36] 高盛內部是已經有一個說法
[22:37] 是講說他們給一個PS Ratio
[22:39] 是6倍
[22:39] 6倍的話
[22:41] 他們就認為是
[22:42] 可以買的時間點
[22:43] 我自己稍微的看了一下
[22:45] 目前美股的這些泛軟體
[22:47] 或治安相關的類股
[22:48] 你要買到6倍的東西很難
[22:50] 6倍的話
[22:50] 那目前其實以Salesforce
[22:52] 就差不多是在6倍的一個價格
[22:54] 可是我反而不喜歡它
[22:56] 因為我覺得它的營收增長是不夠的
[22:57] 那你要知道其他的東西
[22:58] 就算它的一個NTM的PS Ratio
[23:02] 可能是在10倍或15倍
[23:03] 可是它隱含的
[23:04] 就像Pantheon
[23:05] 它的營收年增率是超級變態
[23:07] 就是一個營收年增率
[23:08] 超級變態的東西
[23:09] 怎麼可能會跟一個營收年增率
[23:11] 可能只剩下10%的東西
[23:13] 還在同一個估值呢
[23:14] 這個其實是我覺得在市場上面
[23:17] 特別是很多時候在恐慌的時候
[23:18] 一堆人都會忽略
[23:19] 或是他沒有看到的東西
[23:20] 就是兩家公司雖然都是EPS10
[23:23] 可是過程很重要
[23:24] 你是從EPS5跑到10
[23:26] 還是從9跑到10
[23:27] 那個差距就很大
[23:28] 或者說你明年是從10變成15
[23:31] 或者10變成11
[23:32] 你的估值怎麼可能會一樣
[23:33] 可是很多人都會用同樣的一個
[23:35] 估值模型去套著
[23:36] 他們一樣都賺10塊
[23:37] 所以他們應該在同一個價格
[23:39] 這個就是可能類似是放棄思考
[23:40] 只是很多時候在這種大盤崩跌
[23:43] 也沒有到崩跌
[23:44] 就是說大盤可能是橫盤
[23:45] 然後肋骨崩跌的一個狀況之下
[23:47] 那很多人講說
[23:48] 不管反正就是沙
[23:49] 所以他們這些說法都合理
[23:51] 但我還是會說
[23:52] 這個說法其實是不合理的
[23:53] 所以一些讓成長性比較高的東西
[23:54] 他本來就應該要去
[23:56] 獲得比較高的一個估值
[23:58] 所以如果說你今天反而是
[24:00] 就叫做你相信了高盛的說法
[24:01] 當然這個說法也沒有什麼問題
[24:03] 反而講說我給你一個弱放
[24:04] 就到PS6的時候就是可以考慮
[24:06] 那你因為這樣先去買
[24:07] 率先到PS6的可能就會錯
[24:09] 因為那個PS6的東西
[24:10] 他可能是在
[24:12] 未來的營收成長率是比較不好的
[24:13] 所以它提早先到了PS6的一個位置
[24:16] 那其他人可能覺得說
[24:17] 它營收成長率是這個PS6載的10倍之類的
[24:20] 那它如果今天掉到PS15就停住的話
[24:23] 你還是要先買那個東西
[24:24] 因為那個成長率是好太多了
[24:25] 所以你今天如果用PEG的模型去套的話
[24:28] 你就會知道誰是一個更好的選擇
[24:29] 所以有時候不要過度的去仰賴單一一個指標
[24:32] 那我最近同時又有一個新的靈光乍現
[24:35] 因為就是前面跟朋友在討論的時候
[24:37] 我覺得他的那個說法真的是很有意思
[24:38] 他說如果我未來的軟體
[24:40] 就真的要像OpenCode的老闆上訪問所提到
[24:43] 80%軟體都要去死
[24:44] 那蘋果現在應該要直接抵要爛掉
[24:46] 因為蘋果他收了一大堆的軟體稅
[24:48] 所以很明顯就是說
[24:50] 市場目前是部分買單的這樣的一個說法
[24:52] 可是他們並沒有讓他全面去執行
[24:53] 所以當然你有兩個解釋方向
[24:55] 一個解釋方向就是說蘋果還要跌
[24:56] 另外一個解釋方向就是說
[24:57] 其實市場下真的在亂恐慌
[24:58] 那蘋果其實應該是要上
[25:00] 那其他人其實應該是跌過頭了
[25:02] 所以他們應該是要回來
[25:03] 那像我自己會比較傾向是後者的一個說法
[25:06] 像最近大家是非常在瘋
[25:08] 這個OpenCode
[25:08] 我自己當然有去做一個測試
[25:10] 同時我也去看了很多
[25:11] 就是所謂的馬農
[25:13] 或是這些geek
[25:14] 因為他們去做了
[25:15] 很多有的沒有的應用
[25:16] 因為像我自己的話
[25:17] 我日常的應用
[25:18] 就是去做這些股票
[25:19] 基本面的研調跟分析
[25:21] 可是對我來說
[25:23] 就是目前這些
[25:24] 所謂的AI agent的東西
[25:25] 其實幫助我不大
[25:26] 我覺得它對我的幫助
[25:27] 並沒有到很大
[25:28] 可能最好的一個東西
[25:30] 就是在Notebook LM裡面
[25:31] 我就可以去辦到
[25:32] 其他的這種
[25:33] 可能像是OpenCode這種
[25:34] 我反而還會去害怕說
[25:36] 我讓他去爬我的資料那我這些資料外流的話會發生什麼事情所以對我來講我反而是不敢用它可是同時大家不知道我們有意識到一件事情其實蘋果的Apple Intelligence就是某個程度上的Open Cloud
[25:47] 只是它沒有這麼強
[25:48] 它並沒有像這個Open Cloud
[25:50] 可以去做很多的自動化執行
[25:52] 但是以目前的Apple Intelligence來講
[25:55] 當然Apple的Siri或什麼
[25:56] 我還是要去講一下
[25:57] 就是我沒有要幫它護航
[25:58] 我沒有要覺得說它很屌
[25:59] 可是它真的有在
[26:00] 鴨子滑水慢慢進步
[26:02] 我覺得說像我現在要去看
[26:03] 我的手機的同時
[26:05] 它已經會告訴我說
[26:06] 在過去一段時間
[26:07] 你收到了一些LINE的訊息
[26:09] 然後一些重點是什麼
[26:10] 他會幫我提出來的
[26:11] 以前可能是直接
[26:12] 給我一排的通知
[26:13] 那我自己看說
[26:14] 每個人講什麼
[26:14] 然後下次他就幫你
[26:16] 做一些總結
[26:16] 然後再來就是
[26:17] 他現在也會去塞出
[26:18] 一些priority的東西
[26:19] 會告訴你
[26:20] 像你在Gmail
[26:20] 收到一些比較重要的信
[26:22] 其實我是不太清楚
[26:23] 他背後機制怎麼樣運作
[26:24] 但他就會告訴你說
[26:25] 這個信是比較重要的
[26:26] 你要先看
[26:26] 那確實他是比較重要的
[26:28] 所以其實我目前去看
[26:29] 在YouTube上面
[26:30] 分享OpenCode的一些使用
[26:31] 但我們今天不去
[26:32] 講自動化那一塊
[26:33] 在前面的這一塊
[26:34] 也就是說通知
[26:35] 跟一個那種mission center的感覺
[26:36] 其實目前我認為
[26:37] 我iPhone的東西
[26:38] 好像就是這些人在講的事情
[26:40] 就感覺是還蠻類似的
[26:42] 那我就好奇說
[26:43] 就是蠻多把這個吹到天上去
[26:45] 是不是你沒有一隻iPhone
[26:46] 或是你沒有一個
[26:47] 夠好用我智慧型手機之類的
[26:48] 因為其實蠻多這種通知相關的東西
[26:50] 就是我每天起床
[26:51] 我龍蝦就跟我倆發生什麼事情
[26:53] 這個我手機也在跟我講一樣的事情
[26:54] 那要並沒有去踩open call的意思
[26:56] 我只是突然間
[26:57] 靈光乍現就是說
[26:59] 如果蘋果今天可以把
[27:00] 自動化的東西也弄進來的話
[27:02] 它其實會變成一個
[27:03] 就是好像大家突然想通說
[27:05] 蘋果有機會是Agent的贏家
[27:07] 因為如果你今天
[27:08] 很相信OpenCode的一個說法
[27:10] 你也覺得這東西很好用的話
[27:11] 那我們把它簡單的去做總結
[27:13] 就是它可以去串各式各樣的東西
[27:15] 幫你去做一些資料的分析
[27:17] 跟統整
[27:18] 接著去幫你做出一個執行
[27:19] 資料的分析跟統整
[27:21] 其實目前透過這一件手機
[27:22] 我覺得已經可以做到
[27:24] 蠻不錯的一個水準
[27:25] 當然它距離完美
[27:26] 可能還有一段距離
[27:27] 可是已經可以
[27:28] 看到不錯的一個結果
[27:30] 並且它持續有在進步
[27:32] 可是在後面的
[27:33] 自動化這一塊
[27:34] 其實是非常見仁見智的
[27:36] 就像說
[27:36] 以我自己的工作的話
[27:38] 因為我已經有看到
[27:39] 有些人在使用
[27:40] OpenCode的一個自動發文
[27:42] 我們就不去點是誰
[27:43] 反正就是我在網上
[27:44] 有看到一些
[27:45] 很明顯
[27:45] 它發文可能還設定錯
[27:47] 所以會跳一些亂碼出來
[27:48] 或是它在空格的方面
[27:49] 沒有把它做好
[27:50] 換行也沒有做好
[27:51] 當然很多人就知道說
[27:52] 你這個是用OpenCode在發文
[27:53] 就對於一些人來講
[27:55] 如果他發的是那種
[27:56] 比較廢文形式的東西
[27:57] 他當然是可以這樣做
[27:58] 可是以我自己來說
[27:58] 我是沒有辦法去接受
[27:59] 在我的粉專
[28:00] 或者說
[28:01] 我可能要在節目錄的內容
[28:03] 然後是一個這種
[28:04] 就是我直接交給機器人去做
[28:06] 然後認為他可以做得比我好的
[28:07] 就我自己是不認為
[28:08] 他們可以做到這樣的一個程度
[28:10] 但如果今天是一個
[28:11] 不知道
[28:12] 我在經營某一個小商店
[28:13] 那我只知道定期跟大家說
[28:14] 說某個東西
[28:15] 一下有折價或什麼
[28:16] 那當然你交給龍蝦去做
[28:18] 他就可以做得很好
[28:19] 所以其實自動化這邊
[28:20] 我覺得見仁見智
[28:20] 有些人他是真的
[28:21] 可以把他的工作交給自動化
[28:22] 那他可以把他的工作
[28:23] 交給自動化
[28:24] 其他不免就要問自己說
[28:25] 那你是不是工作
[28:26] 就要被取代掉的那一個
[28:27] 那反而這些
[28:28] 我們自己覺得說
[28:29] 我們的工作
[28:29] 其實下不太能夠
[28:30] 用這個自動化去做處理
[28:31] 或者說我們直接在做投資
[28:33] 在做買賣的
[28:33] 我們知道說
[28:34] 你可以用這個AI
[28:35] 去幫你做交易
[28:36] 只是問題就是成果不好
[28:37] 那反而我們的工作
[28:38] 是可能可以保比較久的
[28:39] 這是第一方面的想法
[28:40] 那第二方面的想法是
[28:42] 大家都知道說
[28:43] 這個OpenCode
[28:43] 可能在後面
[28:44] 會有一些資安的問題產生
[28:45] 應該說下
[28:46] 敏感度比較高的人
[28:47] 就已經發現了
[28:47] 我如果去搞一個沙盒給你
[28:49] 意義不大
[28:49] 因為沙盒的話
[28:50] 那種封閉式的東西
[28:51] 我只是知道說
[28:52] OK你可以做到這樣子
[28:53] 可是如果我沒有把個人的data
[28:55] 整合進去的話
[28:55] 那當然他不可以發揮
[28:56] 他所有的一個潛力
[28:58] 可是如果說
[28:59] 我今天在我的Apple手機裡面
[29:00] 你會注意到
[29:01] Apple的一些佈局還蠻有趣的
[29:02] 包含說他說
[29:03] 他的一些運算
[29:04] 除了在手機本體裡面之外
[29:06] 他如果有上雲的話
[29:07] 他會上到他們的一個
[29:09] 私有的伺服器裡面
[29:10] 並且他不會去留下
[29:11] 任何可以去追蹤說
[29:13] 這個內容到底是由誰發出
[29:15] 或者說去做儲存的一個行為
[29:17] 他會把這些東西是去識別化的
[29:18] 所以其實Apple某個程度上
[29:20] 他如果今天
[29:21] 我在想如果OpenCore
[29:22] 他不是交給OpenAI
[29:24] 是交給Apple的話
[29:25] Apple應該就直接設出去
[29:26] 如果今天不是交給Apple
[29:28] 也沒有關係
[29:28] Apple只要後面把自動化的這一塊
[29:31] 稍微的最佳化一下
[29:32] 其實某個程度上
[29:33] 大家會去聯想到
[29:33] 其實你的智慧型手機
[29:34] 就像我們上集所提到的
[29:36] 會不會有造成
[29:36] 大家突然發現說
[29:37] 其實硬體最後面還是真正的贏家
[29:39] 就是說你持有這個手機
[29:41] 你持有這些消費者
[29:42] 你把一些東西穿進去之後
[29:44] 大家是離不開你的手機的
[29:45] 所以最後面你還是獲得最終的一個勝利
[29:47] 我反而現在越來越買單這樣的說法
[29:49] 所以蘋果在掉下來的時候
[29:51] 我自己也有在試一點
[29:52] 我就覺得說蘋果應該會是
[29:54] 自己想要加大的一個東西
[29:56] 因為大家突然覺得說OpenCode很好
[29:57] 我今天有一個選項是
[29:59] 它沒有辦法做到像OpenCode這樣的一個自動化
[30:02] 可是在Mission Control的資訊方面
[30:04] 已經可以越做越好
[30:05] 然後外加在資安方面的防務是極強的話
[30:08] 你為什麼不選擇這個東西
[30:10] 就是我寧願讓Apple去看我的Gmail
[30:12] 去看我的Notes
[30:13] 看我的信用卡資料
[30:13] 反正我東西早就都存在裡面了
[30:15] 對不對
[30:16] 我所有的支付
[30:16] 什麼都是綁在我手機裡面
[30:17] 所以我一定是相信他的
[30:19] 再來就是他有規則性
[30:21] 如果他今天真的
[30:22] 把我的資料全部都外流的話
[30:24] 那就準備給人家告到爆炸
[30:25] 所以他承受的壓力
[30:27] 可能是更加龐大的
[30:28] 當然這也可能隱含了
[30:29] 他有更大的一個風險
[30:30] 可是在我的角度會認為說
[30:32] 這可能是消費者
[30:33] 使用習慣的一個大宰問
[30:36] 就是你要把你的使用習慣
[30:38] 全部都換到某個新的東西
[30:40] 你知道這個新的東西
[30:41] 大家還記不記得之前在吹MCP
[30:43] 然後現在大家說NCP已死
[30:44] 會不會等到一年之後
[30:45] 大家說OpenCore已死
[30:46] 不要覺得不可能
[30:47] 其實真的很多時候
[30:48] 我們看到AI的發展
[30:49] 是這樣子
[30:50] AI它其實一直在取代掉
[30:51] 是它自己所創造出來的東西
[30:53] 又不是所謂外面的
[30:54] 一些實體的工作
[30:55] 然後那都是在當下
[30:56] hype的時候
[30:56] 大家不會看到
[30:57] 可是你回頭看就發現說
[30:58] 過去已經有好多的
[31:00] Buzzword
[31:00] 現在全部都躺在水裡面
[31:02] 所以可能最終就是迴歸到
[31:03] 最普世無華的硬體
[31:04] 所以除了這些軟體之外
[31:06] 我覺得部分的硬體
[31:07] 可能也是我在後面
[31:09] 會想要去追蹤的一個物件
[31:11] 當然是以我自己
[31:12] 可能最喜歡用的
[31:12] 像蘋果手機
[31:13] 就會是一個
[31:14] 我認為很有機會的東西
[31:16] 特別它在市場上
[31:17] 目前也是屬於
[31:17] underdog的一環
[31:18] 就是大家是不看好它
[31:20] 是覺得說
[31:20] 你沒有自己的模型
[31:21] 你沒有AI
[31:22] 怎麼你要去死
[31:22] 我反而不這樣子認為
[31:24] 所以目前是有
[31:25] 這樣的一些想法
[31:26] 在這集就簡單
[31:27] 跟大家分享一下
[31:28] 最後面就做一個
[31:28] 簡單的總結
[31:29] 就是我覺得AI
[31:30] 現在在做的事情
[31:31] 就是make everything possible
[31:33] 但是possible
[31:34] 不代表是viable
[31:35] 就是說你可以做到
[31:36] 不代表說
[31:37] 它可以持續性的做到
[31:38] 或者說一樣
[31:38] 把硬體的TCO的道理
[31:40] 放進來
[31:41] 你Total Ownership裡面
[31:42] 你不一定會比較便宜
[31:43] 你可能後面後續要花的錢是更多的
[31:45] 或是假設一次爆炸
[31:46] 就像說你想要去自己
[31:47] 靠自己的法尊跟Payroll系統
[31:49] 那你一次違規
[31:50] 可能就要去坐牢
[31:51] 或者說要有沒有的一些事情要承擔
[31:53] 你跟你去買人家的服務比起來
[31:55] 你最後面搞不好發現說
[31:56] 去買人家服務是更省錢的
[31:58] 就你自己去
[31:59] 怎麼講
[32:00] 去Vibe Coding一個東西出來
[32:01] 那當然很簡單
[32:02] 可是你要去養護它
[32:03] 要持續的去加強它
[32:04] 那個可能要花出去的錢跟人力
[32:07] 或者說時間
[32:07] 那可能是更高
[32:08] 或是一些大家沒有想到的隱藏成本
[32:10] 包含說你可能會被罰
[32:11] 你可能會被關
[32:12] 這個可能是大家沒有想到
[32:13] 所以Day 1跟Day 2 and beyond
[32:16] 是差很多的
[32:17] Day 1我覺得是AI目前可以做到的事情
[32:19] 就是讓所有東西都是possible
[32:20] 你都可以做出來
[32:21] 只是你可不可以持續
[32:22] 你可以built
[32:23] 但你可不可以maintenance
[32:24] 那個是一個
[32:25] 我認為在後面
[32:27] 大家要去思考的一個專案
[32:28] 當然現在講這個可能會感覺很傻
[32:30] 可是我就是習慣性的
[32:32] 反正我不喜歡在標的很好的時候
[32:34] 無限去唱好
[32:35] 類似前面TPU
[32:36] 我們自己雖然是TPU的
[32:37] 一個很大的受惠者
[32:38] 也都有遲到
[32:39] 可是當大家說
[32:40] TPU要去吃掉一切的時候
[32:41] 我就一直在節目跟大家說
[32:43] 我不覺得是這樣子
[32:44] 所以我不太喜歡
[32:44] 那種overhype的一種
[32:46] 尬錘
[32:46] 類似說最近大家有看到
[32:48] 什麼達里歐的文章
[32:49] 就是因為盤不好
[32:50] 所以達里歐
[32:51] 他媽的那只是從書裡面
[32:52] 拉出來的一個章節
[32:53] 大家就在傳說什麼雄文
[32:54] 雄力勇敢
[32:55] 你看這些人他媽不學無術
[32:57] 就是以前一定也都沒有
[32:58] 認真在關注市場
[32:59] 達里歐從過去
[33:00] 他媽的他整天在吹中國
[33:02] 吹到哪裡去
[33:02] 後面發生什麼事情
[33:03] 就他一定都是沒有在關注
[33:05] 大理歐以前我也很喜歡
[33:06] 可是從那邊熊貓派之後
[33:07] 後來我就覺得
[33:07] 這個人講的東西不太對
[33:09] 然後他可能
[33:10] 罵在書裡面的某一個章節
[33:11] 一下拿出來
[33:11] 然後大家把他當聖經來擺
[33:13] 你知道這個市場下
[33:14] 其實有很多事情
[33:14] 你會以為說
[33:16] 其實大家應該都很聰明
[33:17] 但很多時候
[33:18] 真的會發現大家不聰明的地方
[33:19] 所以大概這樣
[33:20] 簡單的跟大家分享
[33:21] 最近的一些心得
[33:22] 接下來我們進Q的部分
[33:23] 好第一位
[33:24] Jackie Lee
[33:24] 夢宮大有看福利聯第二季了嗎
[33:27] 這季有好多福利聯的可愛畫面
[33:29] 喜歡這種平淡的日常劇情
[33:31] 反而不愛戰鬥打打殺殺
[33:32] 看到網路上很多人截圖網飛的
[33:35] 超瞎中文翻譯快笑死
[33:36] 那記得您好像是看英文字幕
[33:38] 那不知道有沒有影響到觀影的體驗
[33:40] 那推薦大家可以訂閱巴哈的動畫風
[33:43] 我都一次訂一整年
[33:44] 每個月不到100塊
[33:45] 便宜又好用
[33:46] 祝大家新年快樂
[33:47] 愛你哦愛你
[33:48] 第二季我已經開始看了
[33:49] 我真的非常不錯
[33:50] 那我跟你的想法一樣
[33:51] 我在之前就有發表過說
[33:52] 在第一季後來都在打架的時候
[33:54] 我就沒有這麼喜歡的一個說法
[33:55] 我確實是比較喜歡他去陳述那種平淡倦勇味道的畫面跟相關的劇情
[34:01] 那也非常感謝你的推薦
[34:03] 下面一位
[34:04] 聽到MK大說留言改Spotify念
[34:08] 沒有iPhone的我趕緊來留言試試看
[34:10] MK大描述解控讓我心有慼慼煙
[34:12] 有決斷力的聰明女生就是超級性感
[34:15] 雖然已經晚了
[34:16] 但聽古來多年
[34:17] 終於有機會祝老婆竹北最正女醫師1月24號生日快樂
[34:23] 新的一年也多多指教
[34:24] 也祝主委一家身體健康
[34:25] 事事順心
[34:26] 非常感謝Ron Orr
[34:28] 也祝你新年快樂
[34:28] 那沒錯
[34:29] 就是解控就是有魅力在
[34:31] 他們這種大悶悶的感覺
[34:32] 這是我最喜歡的
[34:33] 下面一位
[34:33] 肖
[34:34] 肖卓翰
[34:36] 那時候那個字我不能念不好意思
[34:37] 老公晚安
[34:38] 我是去年來留言的
[34:40] 自達思考呀
[34:41] 謝謝您的加持跟祝福
[34:43] 家父的身體狀況越來越好
[34:44] 好到可以開車載我媽去外線市旅遊外宿
[34:47] 那謝謝您的祝福
[34:49] 支援我們一家度過最艱難的治療時刻
[34:52] 去年底小弟也跟交往多年的女友結婚了
[34:55] 想分享喜悅給老公
[34:56] 想問寄喜餅給老公的話
[34:58] 您會希望怎麼收件呢
[34:59] 我住桃園或是約親送
[35:01] 我也都很方便
[35:02] 就把它送給你家樓下警衛
[35:04] 然後說是我送他的這樣就好了
[35:05] 就非常心靈
[35:06] 因為我知道很多人都想要寄各種東西給我
[35:08] 但我是吃不下這麼多東西
[35:10] 然後外加其實現在因為有太多這種廠商寄的東西
[35:13] 基本上我們都是送給各地的鄰居朋友
[35:17] 或是一些什麼警衛
[35:18] 不是說這些東西不好
[35:18] 都很好
[35:19] 只是真的太多了
[35:20] 所以我們就把它回饋給大家
[35:21] 所以非常感謝你的心意
[35:22] 恭喜你的家人治療順利
[35:24] 也恭喜你結婚
[35:26] 下面一位
[35:26] Toni Cai
[35:27] 孟公你好
[35:28] 救命我家在林口夜市旁邊
[35:30] 觀音廟香火鼎盛
[35:31] 夜市那塊地
[35:32] 現在暫時變成停車場
[35:34] 到處都是人
[35:35] 好可怕
[35:35] 貴球推薦幾本好書
[35:37] 讓我可以過年看
[35:38] 如果黃油也推薦我幾款
[35:40] 謝謝愛寧
[35:40] 因為我後來發現
[35:41] 我之前都是太肆無忌憚
[35:43] 在節目去聊黃油
[35:44] 可是發現
[35:44] 我們節目的收聽層
[35:45] 其實還蠻廣的
[35:46] 所以這個我未來
[35:47] 就不會在節目上
[35:48] 直接去做推薦
[35:49] 還是要顧一下這些家長們的感受
[35:51] 雖然他們沒有來找我靠背
[35:52] 我也非常的高興
[35:53] 只是我們自己會抓一個平衡
[35:54] 那書的話
[35:56] 我最近推就是在臺通節目上
[35:58] 有推一本關於蒙古的書
[35:59] 你可以去找來看
[36:00] 在最後面一段有提到
[36:01] 那下面一位Nixon
[36:02] 孟公兄新年快樂
[36:04] 也祝大家馬年愉快
[36:06] 昨天在林口公園遛女兒
[36:07] 發現一個極為休閒又帥氣的爸爸
[36:09] 帶著兩個兒子在公園玩耍
[36:10] 不看沒事竟看嚇一跳
[36:12] 這不是除了金城武以外
[36:13] 目前臺灣最帥的創投老闆謝孟公嗎
[36:16] 立馬拿出筆記本
[36:17] 要讓孟公兄簽名
[36:18] 那結果老婆在旁邊喊一聲
[36:20] 起床吃早餐了
[36:21] 才發現原來是一場遊戲一場夢
[36:23] 希望有機會真的在公園與孟公相遇
[36:25] 應該會遇到
[36:25] 因為我真的蠻常遛我小朋友的
[36:27] 那非常感謝這位兄弟
[36:29] 夢到我雖然有點這個
[36:30] 甲衛過農
[36:31] 但還是蠻喜歡的
[36:32] 下面一位
[36:33] 大夫苦
[36:34] 哈嘍直男巧虎摸哥
[36:36] 祝您新年快樂
[36:38] 我是從疫情開始聽的
[36:39] 聽個身體健康
[36:39] 也沒有參與股市
[36:40] 因為本業真的很忙
[36:41] 回到家就耍廢
[36:42] 什麼事都不想做
[36:43] 聽到您去巴厘島玩
