[00:00] 欢迎收听谷外,我是星梦高空,本集节目由NordVPN赞助
[19:16] 那就要注意说
[19:17] 它有没有办法去拿到
[19:19] 它要的一个产能
[19:20] 那可能就会去找一些
[19:22] 不管是六寸或是八寸的
[19:23] 外包的代工厂
[19:25] 所以其实你如果去注意一下
[19:26] 就会注意到这些六寸八寸的代工厂
[19:28] 他们的股价来说
[19:29] 相对的是走得比较强势一点
[19:30] 就是市场有些资金
[19:31] 也已经提早去想到这件事情
[19:33] 就是你没有拿到产能的话
[19:35] 那一切都是给供的
[19:36] 都是多说的
[19:37] 但这边有一点要注意
[19:38] 就是说虽然产能是很重要
[19:39] 可是其实涨价
[19:41] 有时候是只会落在某一个环节
[19:43] 所以还要去注意一下说
[19:44] 哪个环节的溢价权
[19:45] 可能是比较大的
[19:46] 就像说可能是在设计端这边
[19:49] 因为他是直接对客户
[19:50] 他直接对客户涨价
[19:51] 它除了去反映它的
[19:53] 晶圆制造的成本上升之外
[19:55] 它可能在额外的加一些markup
[19:57] 把这个数字来拉上去
[19:58] 所以最后面它可能受惠的程度是更大
[20:00] 也就是说你要去把它产能纳入考量
[20:02] 可是也不代表说有产能就一定是王
[20:04] 或是最后面它可能在
[20:05] 这个资本利得的表现会是最好
[20:07] 这个是大家稍微的要看一下的
[20:09] 那我大概去扫了一下
[20:11] 在过去一阵子
[20:12] 不管是在美系日系
[20:14] 或甚至是中国的像什么
[20:15] 世南委华伦委之类的
[20:17] 那都会注意到说
[20:18] 其实全部都是
[20:19] 既已出现一个表态的状态
[20:20] 所以有点类似说
[20:21] 我觉得大家不要去幻想成为说什么
[20:24] 我们是喊盘变这样
[20:25] 比方说我们就是一个
[20:26] 你可以说可能蛮敏锐的观察
[20:28] 然后注意到有一些东西不一样了
[20:31] 所以像自己的资金
[20:33] 或者说自己的眼光放到这个地方
[20:34] 全球这些动起来
[20:35] 那绝对不是说什么单一一个Podcast
[20:37] 可以喊盘造成的一个现象
[20:39] 就是很多时候大家都喜欢去诉诸神秘
[20:41] 都要去把每个东西讲的
[20:43] 你知道特别是有些可能自己在分享
[20:45] 他们也喜欢去诉诸神秘
[20:46] 只是我们是蛮喜欢去除昧化的
[20:48] 这就是一个单纯的
[20:49] 全球市场的资金的轮动
[20:51] 就是可能大家
[20:52] 全部都是在看passive之后
[20:53] 然后现在开始有一些资金轮出来
[20:56] 然后去看别的族群
[20:58] 那我自己也稍微的去做一些复盘
[21:00] 像过去我自己在追VShare的话
[21:02] 我观察的东西
[21:03] 其实都是它的被动元件
[21:05] 那VShare这家公司
[21:06] 很特别的一点是在于说
[21:07] 它除了被动元件之外
[21:09] 它其实算是功率半导体厂商
[21:11] 它是一个综合体
[21:12] 就是这两个东西都有
[21:14] 所以甚至会让我去怀疑
[21:16] 就是会不会过去
[21:17] 我自己在看VShare的时候
[21:18] 我只是用我自己
[21:19] 因为那时候可能自己满手
[21:21] 全部都是那种Pathic Components
[21:22] 所以你就会觉得说
[21:23] 它一定在涨被动元件
[21:24] 就这方面不一定
[21:25] 它搞不好其实满多时候
[21:26] 是在涨功率半导体的部分
[21:28] 因为我注意到说
[21:29] 其实VShare有些料
[21:30] 那个Lead Time拉得非常的恐怖
[21:32] 比它的被动元件还要恐怖非常多
[21:33] 所以就是有点像歪打正着的感觉
[21:36] 那一语于两次
[21:37] 所以在接下来我自己的一个观察重点
[21:39] 是会去注意说
[21:41] 这些IDM厂
[21:42] 他们目前的产能状态怎么样
[21:43] 所以像自己就扫了一下
[21:45] 各家公司在上一次的电话会议
[21:47] 就当然都有看过
[21:48] 可是没有很认识去看他
[21:49] 然后现在就很认识去看他
[21:50] 那其实都已经会注意到说
[21:52] 他们在一两季前
[21:53] 就已经持续的去释出讯号
[21:54] 说在AI这边是很好
[21:55] 那只是现在可能终于就是来到了一个
[21:58] 那种bottleneck的一个状态啦
[22:00] 反正最终就是要知道说
[22:01] 市场里面的一个最大驱动者
[22:03] 就是这些AI伺服器
[22:04] 那这些AI伺服器
[22:05] 因为现在开始进入一个密集的拉货配合
[22:08] 特别是Vera Rubin
[22:09] 那所以就会导致
[22:10] 大家开始去审视每一个环节
[22:12] 那所以在这边呢
[22:13] 其實最需要去注意的還是要盡量把自己的思維放在需求端去做考慮
[22:17] 就如果說是因為一些什麼貴金屬導致的漲價的一些元件
[22:21] 我反而會覺得它的續航力一定是不會太好的
[22:24] 那如果說是需求端
[22:25] 那你要怎麼樣去考驗這些需求端它實際上的韌性呢
[22:28] 就是如果沒有這一些料
[22:30] 這個伺服器就是拼不出來
[22:32] 那就是了
[22:33] 所以就直接往這個方向去看的話就會非常的穩妥當
[22:36] 那至於後面你要去找不管是IDM或是Fabulous
[22:39] 然後或者是金銀代工廠
[22:41] 或甚至是封測廠都可以
[22:42] 因為它就是一整個Chain
[22:44] 就類似說被動引擎
[22:45] 我們剛剛前面所提到的
[22:46] 它其實就全部都是噴出去
[22:48] 有時候最讓你意外的是
[22:50] 你本來可能在整個出去裡面
[22:51] 相對比較Neutral
[22:53] 沒有這麼看好的某一個料件
[22:54] 因為你看它加工率沒有滿
[22:56] 就它最後面是噴最多的
[22:57] 這個是我們就比較難以去做論斷的
[22:59] 我覺得股價這種東西
[23:00] 我們還是要去保持一些敬畏
[23:02] 因為有時候你真的不知道到底在噴什麼
[23:04] 一開始甚至會覺得它亂噴
[23:05] 然後最後面原來在噴這個
[23:07] 原來是這樣子
[23:08] 這個機率是還蠻高的
[23:09] 就最後面滿多時候去
[23:11] 最後面開牌的時候
[23:12] 特别是有族群性出来的时候
[23:13] 它几乎都是有故事
[23:15] 如果是那种单一的个股
[23:17] 突然间自己大喷射
[23:18] 然后之后面整个A下来
[23:20] A到爆炸的
[23:20] 那可能就真的是人为
[23:22] 在那边瞎炒作所造成的
[23:23] 所以你要有办法去识别
[23:24] 哪一些是人为
[23:25] 哪一些是族群性
[23:27] 因为族群性代表说
[23:28] 盯的人是够多的
[23:29] 所以一般当族群性发生
[23:30] 它是对的几率会是比较高一点
[23:33] 然后就尽量不要去把市场当笨蛋
[23:35] 像是一些听众他会视讯
[23:38] 他认为这个是可能是假的
[23:39] 或者说状况没有这么好
[23:41] 你要知道说
[23:42] 当一个东西已经正式的表态
[23:43] 然后开始一堆法人冲进去的时候
[23:45] 就是所有的研究力量都在这边
[23:47] 所以如果他是假货的话
[23:48] 他会在未来的一阵子
[23:50] 立刻就A下来
[23:51] 因为所有的研究力量
[23:53] 跟眼光都丢上来
[23:54] 然后甚至是能够去扣公司考察的
[23:56] 一定都上了
[23:57] 所以如果是假的一定会下来
[23:59] 如果他不是假的
[24:00] 他就有可能会持续的上去
[24:02] 然后最后面反正
[24:03] 我觉得在市场里面
[24:04] 你不是要去争一个对错
[24:05] 反正大家都是想办法
[24:06] 里面稍微的赚到一点钱而已
[24:08] 所以大概跟大家分享一下
[24:10] 自己的一些心得更新
[24:11] 然后再来就是
[24:12] 我家有一个心得
[24:14] 我觉得是
[24:15] 还有下消费性
[24:16] 是在一个满鸟的状态
[24:18] 消费性跟车用
[24:19] 是满鸟的状态
[24:20] 我自己是有去试想说
[24:21] 如果今天消费性
[24:23] 跟车用的状态是好的话
[24:25] 那这波真的会非常恐怖
[24:27] 它会是一个通膨的巨浪
[24:29] 那就是因为说
[24:30] 消费性跟可能车用
[24:32] 因为它本身也算是一个
[24:33] 很大需求的地方
[24:34] 那他们是相对的疲弱
[24:36] 所以导致
[24:37] 就是市场里面
[24:38] 只有一个箭头在冲
[24:40] 那你就已经注意到
[24:41] 这样的一个涨价潮了
[24:42] 如果他们是好的话
[24:43] 那就是多箭头同时冲
[24:45] 所以最后面就会
[24:45] 很快的拉到一个
[24:47] 就是价格崩坏的点
[24:49] 怎么说
[24:50] 就是当一个东西
[24:51] 像我们以前会用原油举例
[24:52] 这个油价
[24:53] 它是不太可能无限上涨的
[24:55] 像那时候前一波
[24:56] 忘记是
[24:56] 不是伊朗战争
[24:57] 在更前面
[24:58] 那时候我记得
[24:59] 是哪一家外资
[25:00] 有写到他们一个剧本
[25:01] 是把那个油价喊超高
[25:02] 反正好像乌克战争那时候
[25:04] 他有提到
[25:05] 到那个位置
[25:06] 那那个报告
[25:07] 我是不知道是谁写的
[25:08] 但其实一看就知道说
[25:10] 那应该是某个菜皮
[25:11] 把自己来幻想
[25:12] 因为油价不可能到那个位置
[25:13] 为什么
[25:13] 因为你还没有到那个位置之前
[25:15] 需求就被破坏了
[25:16] 就大家就没钱买了
[25:17] 最后面你要知道说
[25:18] 就像现在这种AI
[25:20] 各种梦幻厨具
[25:21] 大家都讲说AI多屌
[25:22] 可是最终
[25:23] 你就是要有办法去找到消费者
[25:25] 所以我们对软体的一个评论就是
[25:26] 谁可以接触到消费者
[25:27] 谁赢
[25:28] 所以业务能力
[25:29] 变得前所未有的重要
[25:30] 这些原件的道理
[25:31] 其实差不多的
[25:32] 就算当然现在有一方
[25:34] 我们把它称为是CSP
[25:37] 不计代价来去收东西
[25:38] 可是如果今天是消费
[25:40] 跟可能像车用也很好的话
[25:42] 其实大家都会某个程度上的
[25:44] 全力的去收货
[25:45] 只是收到一些点
[25:47] CSP因为它最有钱
[25:48] 所以它可能可以把价格拉到最高
[25:50] 可是可能到某个位置
[25:51] 消费机厂商就撑不住了
[25:52] 好像像iPhone不是也告诉你说
[25:54] 前面机器体我们可以吞
[25:55] 我们可以忍
[25:56] 然后后来告诉你说
[25:57] 撑不住了要去涨价
[25:58] 到某个时间点
[25:59] 就是消费者的口袋是有限的
[26:01] 注意力是有限的
[26:02] 所以他没有办法拿出这个钱
[26:04] 那就会造成一个需求的破坏
[26:06] 所以就会导致价格可能就索罕那边就上不去
[26:08] 所以油价是没有办法无限上去的
[26:10] 因为到某个时间点就会停住
[26:11] 那一样的道理就是说
[26:13] 其实这一波我会觉得之所以蛮多东西可以走这么远
[26:16] 或者说像台股的这些硬体股
[26:17] 其实像自己身边有蛮多朋友
[26:19] 做量化的或是一些真的超级会看市场的
[26:22] 他们也是没有想到说可以走这么远的一个主因
[26:24] 就是我认为因为像消费性跟可能车用
[26:27] 他们是比较鸟一点的
[26:28] 所以他没有很快的去撞到那个需求爆炸的点
[26:32] 那导致一个东西冲很快
[26:33] 就有點類似那個Gavin Baker所提到
[26:36] 就是說台積電像是一個限制器一樣就如果台積電是這個瘋狂的大擴產的話那可能這一波AI就會走得更猛可是很快就會結束可是就是因為說裡面都有一些那種
[26:47] 看起來是小缺陷的事情
[26:48] 因為產能可能沒有辦法全部開出來
[26:50] 因為消費型跟車用是相對的軟
[26:52] 就這些其實
[26:53] 如果你把它放在一個那種分析表上
[26:55] 會屬於說是negative
[26:56] 你把它放在負面的
[26:58] 可是就是因為
[26:58] 好在有這些負面東西的存在
[27:01] 所以導致東西可以走得更遠更長
[27:04] 類似這樣
[27:05] 等到這些東西可能後來起來
[27:07] 也要去跟這些大廠商去做強料的時候
[27:10] 或者說他也開始要去driven一些需求的時候
[27:13] 其實甚至可能會看到新一波的一些變化的產生
[27:16] 因為現在可能大家是把location拿去做那些高價的東西
[27:20] 可是後來如果真的有別的單位要進來
[27:23] 他是別的不同category的東西要進來一起去做分食的話
[27:26] 那會有更多有趣的現象產生
[27:28] 所以自己的角度會認為說
[27:30] 當然因為現在排名已經又在一次的走到新高
[27:33] 走到新高杨就不应该太悲观的去看整个市场
[27:35] 所以说后面已经验证是巨仙盘
[27:37] 不然我们就会持续的去看说
[27:39] 如果后面这两个领域也跟着去站起来的话
[27:42] 那对市场造成的供需的影响是什么
[27:45] 那谁是有办法手握产能
[27:47] 或是他自己不一定是可以手握产能
[27:50] 他手握客户
[27:51] 然后他可以secure到很多产能
[27:53] 因为他的客户是不计代价都要买到东西的
[27:55] 那这些人即便他自己手上不一定有金元
[27:57] 或是不一定有封测的产能
[27:59] 可是他也会是很大的一个受惠者
[28:00] 所以大概会往这个方向去做一个观察跟布局
[28:04] 大概这样
[28:04] 那这些就在我们家GQ的部分
[28:06] 好那因为我今天本来是要念Apple Podcast
[28:08] 我们礼拜六是念Apple那边的留言
[28:10] 但因为我刚刚看Apple的留言是上礼拜的
[28:13] 就是不知道怎么他那个系统是没有更新
[28:15] 那所以呢我就在我的线动发来一下
[28:17] 就请大家到Spotify留言
[28:19] 所以我们还是回到Spotify
[28:20] 那这些应该是比较偏向是IG的听众
[28:23] 因为你在IG有看到
[28:24] 那你才不还留言
[28:25] 所以就大概这样稍微念一下
[28:27] 那因为说可能是因为我有Post说可以来留言
[28:29] 所以就一大堆的那种爱您我爱你
[28:31] 西西爱你这种
[28:32] 那我会这样跳过这些
[28:34] 就是非常感谢大家的这种
[28:37] 难言之隐
[28:38] 难分难舍的东西
[28:39] 我们还是这样的去念一些
[28:41] 就是有内容想表达的
[28:43] 那下面一位
[28:44] Mark骂小弟想要做无痛未尽检查
[28:48] 但听说很麻烦很可怕
[28:50] 我记得有一集你有做整套的健康检查
[28:52] 想问问您的
[28:53] 那祝您全家幸福平安
[28:55] 股票我们都飞高高
[28:56] 并不麻烦可怕
[28:59] 因为它唯一一个比较麻烦的点
[29:01] 是你在前一天的凌晨
[29:03] 要起床喝泻药
[29:04] 你好像是七八点会先喝一次
[29:06] 然后接着你就会先开始去排
[29:08] 然后接着就是凌晨
[29:09] 还在叫你再喝一次
[29:10] 所以凌晨要爬起来喝那个
[29:11] 是稍微比较麻烦的点
[29:13] 那实际上进去做的话
[29:14] 我相信就是有去做无痛的
[29:17] 应该是远大于有痛的
[29:19] 就比较轻松了
[29:19] 因为你就是睡着了
[29:21] 它会帮你抠一个
[29:22] 我也不知道那是什么麻醉针
[29:24] 反正总之就是
[29:25] 你打下去之后
[29:26] 我自己心中还想说
[29:27] 我要跟它抵抗
[29:28] 我要看可不可以撑到10秒
[29:29] 他叫你数几秒
[29:30] 大概数到4或5左右
[29:32] 你下次醒来
[29:34] 你就已经是在恢复室里面
[29:35] 所以你会一瞬间的完全断片
[29:37] 你也不知道发生什么事情
[29:38] 所以那是一个
[29:39] 甚至我觉得很舒服
[29:40] 很赞的一个体验
[29:42] 那不用太担心
[29:43] 唯一一个比较麻烦的点
[29:44] 事后回想起来
[29:46] 就是你要在半夜起床去喝泻药
[29:48] 这比较麻烦
[29:49] 那再来就是
[29:50] 我希望呼吁一下各地的健检单位
[29:52] 我不知道是不是每个都这样
[29:54] 但至少我上次去就遇到这个问题
[29:56] 那我还直接跟护士反应
[29:57] 然后护士说
[29:57] 你讲的其实蛮有道理的
[29:59] 因为我是做全套的
[30:00] 所以他除了去检查你的肠胃镜之外
[30:03] 他也有去检查摄护线
[30:05] 男生检查摄护线
[30:06] 一样是从你后面的洞去做检查
[30:08] 我不知道他妈逼的
[30:09] 为什么你要等到我们醒来之后
[30:11] 你才去检查摄护线
[30:12] 然后还跟我讲说
[30:13] 他前面有栏杆
[30:14] 你大概可以抓着
[30:15] 我想说为什么要抓栏杆
[30:16] 就开始抓栏杆
[30:17] 我就想说
[30:18] 你不可以在我跟他睡着的时候
[30:20] 你就顺便检查摄护线吗
[30:22] 然后护士就说
[30:23] 这个感觉是可以讨论看看的
[30:25] 对
[30:25] 所以我觉得那个可能是
[30:27] 整个检查比较痛苦的部分
[30:29] 我觉得应该要并进去
[30:30] 肠胃镜的时候
[30:31] 就一并做检查
[30:32] 应该就是比较好的一个解方
[30:33] 那下面一位
[30:34] 太长跳过
[30:36] 下面一位
[30:37] 世界怎么差联电这么多
[30:38] 猛建论好用
[30:39] 我也瘦超多
[30:40] 印象中老公说过
[30:42] 身边有生计猛男
[30:43] 好奇这样被普罗大众接受的真货
[30:46] 那里来的股价也真实的反应
[30:49] 这种钱是有一种
[30:50] 正期望值的策略能够赚到吗
[30:52] 还是就只能靠学士眼光
[30:54] 再加上运气
[30:55] 对当然身边是有专门在做生技股的朋友
[30:59] 以我的角度来看的话
[31:01] 我都会觉得老实讲
[31:02] 我真的是不太懂他们在干嘛
[31:04] 就他们做这些东西是比较复杂一点的
[31:07] 然后甚至是有些东西
[31:08] 我事后回头看
[31:09] 就他最终都是没有办法开出营收跟获利的
[31:12] 那当然不知道讲说每个生技股都这样
[31:14] 可是他们赚很多钱的那些标的
[31:16] 有蛮多最后面还是没有办法开出来
[31:18] 或者说他可能还需要很长的一段时间
[31:20] 可是他们实际上就真的因为这样子赚到很多钱了
[31:23] 所以我觉得比较偏向是
[31:25] 它是更进阶的一种
[31:26] 像我过去都有讲
[31:27] 它是更深水区的
[31:28] 它是某一种
[31:29] 你要去预判别人的预判
[31:30] 你要去预期别人的预期
[31:32] 它又是比较难以去透过
[31:34] 就像说你去做一些
[31:35] 那种供应链零组件的话
[31:36] 你有办法知道
[31:37] 接下来的营收状况不错
[31:39] 这不一定是内线
[31:39] 单纯是就像说
[31:40] 我自己本身就是产业的
[31:42] 我知道这个东西后面很缺
[31:43] 所以营收一定会上来
[31:44] 你有办法透过这个
[31:45] 去拱很多人进来
[31:46] 不是说你主动去拱
[31:47] 就是因为大家看到
[31:48] 也是都自己就会冲进来嘛
[31:49] 那可是呢
[31:50] 生计就是没有这些东西
[31:51] 所以他更要去trade一些消息
[31:54] 或是有的没有的
[31:55] 我觉得他是真的是相对复杂的啦
[31:56] 那对
[31:57] 就是如果说你没有相当程度的话
[31:59] 我觉得去做这个
[32:00] 被割掉的几率都是偏高的
[32:02] 那兄弟们
[32:03] 早餐吃肉圆
[32:04] MK大家好
[32:05] 最近的生活难题是
[32:06] 跟爸妈出门高中畜生当久了
[32:09] 在家的时间就像是
[32:11] 在自由行住饭店一样
[32:13] 跟爸妈出门
[32:13] 有种蛮不自在的感觉
[32:15] 老妈的碎念
[32:16] 跟被抓去拍照的不情愿
[32:17] 以后应该都会很怀念吧
[32:19] 但现在没有
[32:20] 那现在是该死的年轻人
[32:21] 只觉得一直被输出有够法克
[32:23] 那希望安哥跟诺亚长大
[32:25] 不要变这样
[32:26] 也希望自己能够活出
[32:27] 生命的价值跟厚度
[32:29] 赶快长大
[32:30] 简单来讲就是跟爸妈出去
[32:32] 是不快乐的嘛
[32:33] 我是觉得就是爸妈
[32:35] 几乎以我们这一辈来讲
[32:36] 因为这位兄弟
[32:37] 你可能是比较年轻的
[32:38] 我不知道就是
[32:39] 你们那一辈的爸妈是怎么样
[32:41] 可是以我们七八年级的爸妈
[32:43] 爱念是正常的
[32:45] 然后外加会比较输出
[32:46] 负向的能量给你也是正常的
[32:48] 因为大家都是这样
[32:49] 甚至是我们看了黄仁勋的报道才知道
[32:52] 原来黄仁勋的爸妈
[32:53] 也都是觉得他不够好
[32:54] 哪边可以做得更好
[32:55] 所以大家都一样
[32:56] 所以最终面对爸妈就是
[32:58] 好啦好啦知道了
[33:00] 就这样
[33:00] 就最常讲的话就这些
[33:01] 可是你还是会去接受说
[33:04] OK那可能你的爸妈就这样
[33:05] 而且他们已经承受了很多
[33:06] 因为他们小时候
[33:08] 可能受到的待遇是更夸张的
[33:10] 他已经去优化了自己
[33:11] 然后给你这样子的待遇
[33:12] 那当然如果你觉得不舒服的话
[33:14] 就还是稍微的去做一些远离
[33:17] 不瞒跟大家讲
[33:18] 我跟我家人也是
[33:19] 我没有办法
[33:19] 甚至是我比较年轻的这种岳母
[33:21] 我都没有办法了
[33:22] 他们就终究是长辈
[33:24] 长辈就是会觉得说
[33:25] 他比你懂
[33:26] 他要多念一下
[33:27] 实际上你也知道说
[33:28] 他不一定比你懂
[33:28] 可是你听他念
[33:29] 念久你会觉得说很烦
[33:31] 所以我自己给我自己的一个
[33:33] 怎么讲提醒
[33:35] Heads up
[33:35] 就是未来我当爸爸
[33:37] 所以爸爸不是说
[33:38] 现在去教育这种婴幼儿的爸爸
[33:41] 是说青少年的爸爸或什么的
[33:42] 我尽量不要去训他们
[33:44] 或是因为我比他有经验
[33:46] 比他有钱
[33:47] 或者是
[33:47] 废话你年纪比他大
[33:49] 我这样不要让他有这样的感受
[33:52] 所以我觉得每一代的爸妈
[33:53] 都是持续的在往前进
[33:55] 虽然我们去体恤自己的爸妈
[33:58] 也有往前进的
[33:58] 可是你不免的
[34:00] 有时候还是会觉得
[34:01] 跟自己的爸妈相处
[34:02] 可能是比较困难或什么
[34:03] 如果你真的有这样子的感受的话
[34:04] 你就稍微的远离一下
[34:06] 没有关系
[34:07] 跟爸妈讲一下
[34:08] 说有时候就是不想出门
[34:09] 我觉得这个应该是
[34:10] 可以被接受的
[34:11] 就是说你就是不想去之类的
[34:13] 当然以我们以前的那一辈来讲
[34:15] 我们讲不想去
[34:16] 有时候还是会被强迫抓去
[34:18] 可是像我自己的孩子
[34:19] 他不想去一些地方
[34:20] 我就真的会去尊重他的意愿
[34:22] 即便他妈才四岁
[34:23] 但他跟我讲一些东西
[34:24] 我会稍微的去
[34:25] 按照他的轮廓去养他
[34:28] 可是那是因为我们已经有相对于
[34:29] 所以你要知道
[34:30] 其实每个爸妈都尽力了
[34:31] 如果说他让你不爽的话
[34:34] 当然你自己的不爽
[34:35] 还是要去做处理
[34:37] 只是就不会再去做太多的怪罪
[34:39] 你就知道说
[34:39] 发现你的爸妈是有所极限的
[34:41] 等到你发现你自己爸妈是有所极限
[34:43] 等到你发现你爸妈
[34:44] 其实不是无所不能的时候
[34:45] 就是你真正长大
[34:47] 然后准备要换你当爸妈的那一天
[34:49] 差不多是这样
[34:49] 下面一位
[34:50] Chung KK MKHKA
[34:52] 安安一看到你在IG
[34:54] 请我们转嫁Spotify留言
[34:56] 立马手刀来流
[34:57] 猛攻您上集讲完功率原件
[34:58] 周四立马反映在市场
[35:00] 那下一点缝隙进场的机会都没有
[35:04] 再下一点进场的机会都没有
[35:06] QQ最近有分析师说
[35:08] 现在行情才三局下半而已
[35:09] 你怎么看
[35:10] 那天气热走在路上
[35:12] 看到肥宅流着臭汗散发出来的体味
[35:14] 脑袋都会想起来
[35:15] 大家说的有些真的活该被人道毁灭
[35:18] 抱歉是不是太激进了
[35:20] 但真的好难受
[35:21] 好吧最后祝孟公一家平安健康
[35:23] 我自己本身也是对于味道是相对敏感的人
[35:26] 所以我都会在节目能够呼吁的时候
[35:29] 就稍微的呼吁一下
[35:30] 就是一些什么提香膏
[35:31] 或是一些香水止汗剂
[35:33] 然后再来就是
[35:34] 其实很多人不知道的一点是
[35:36] 衣服穿久是要丢掉的
[35:38] 衣服并不是真的要穿到荷叶边
[35:41] 或者是说已经开始吞色
[35:42] 很严重
[35:43] 然后破掉才要丢
[35:44] 衣服特别是那种
[35:46] 你会穿去运动的那一些
[35:48] 它到某个程度
[35:49] 但这个程度很难说
[35:50] 有些人会去透过什么
[35:51] 泡苏打水
[35:52] 让它延缓之类的
[35:53] 可是呢
[35:54] 就是说当他去吸了够多的汗之后
[35:57] 他是没有办法
[35:58] 你透过什么样的方式去洗
[36:00] 然后让它复原的
[36:01] 他的纤维里面
[36:02] 已经会藏一些细菌
[36:03] 所以有些人很臭
[36:04] 其实因为他的衣服很臭
[36:05] 就像我的孩子
[36:06] 绝大多数的时间
[36:07] 我们一定都是把他洗得香香的
[36:09] 可是有时候我就发现说
[36:09] 他开始有味道
[36:10] 为什么
[36:10] 因为他们在学校整天跑一跑
[36:11] 就会流汗
[36:12] 所以他那个衣服就是要换的
[36:14] 那我就会立刻的去要求
[36:16] 这个孩子的妈
[36:16] 或者孩子的姑姑
[36:17] 因为我自己没空去处理这个
[36:19] 我就说
[36:19] 衣服我闻到味道
[36:20] 帮他换新的
[36:21] 他们就说
[36:21] 那个看起来好好的
[36:22] 我说不要就帮他换新的
[36:23] 因为我们自己是过来的
[36:24] 我们知道
[36:24] 所以其实换衣服
[36:26] 本身是一个重要的事情
[36:27] 我讲换衣服并不是说
[36:28] 什么你运动完
[36:28] 就换一个新的衣服
[36:29] 因为你的衣服
[36:30] 可能本身就有问题了
[36:31] 所以衣服如果你穿一阵子
[36:33] 你要去注意说
[36:34] 如果你很容易一流汗
[36:35] 立刻有问题
[36:35] 那有时候其实不一定是说
[36:37] 你的体位臭手
[36:37] 那是那个衣服的纤维已经坏掉
[36:39] 这个也再稍微提醒一下
[36:40] 就除了这个止汗剂
[36:42] 然后跟香水之外
[36:43] 很多人忘记的
[36:44] 其实你的衣服已经有问题了
[36:46] 这个要稍微的去看一下
[36:48] 大概这样子
[36:49] 那再来就是说
[36:50] 行情是不是才在三局下半而已
[36:53] 我们没有办法去做
[36:54] 这种预知未来的东西
[36:56] 其实节目听久就会知道
[36:57] 我自己是很反对
[36:58] 去做各式各样的预测
[36:59] 一般我们都是见招猜招
[37:00] 我看到现在的盘面怎么样
[37:02] 我去做出相对应的反应
[37:04] 那其实也是知道说
[37:05] 我自己都在做这样子的工作
[37:06] 所以才知道
[37:07] 就是市场本身
[37:08] 为什么会难的原因
[37:09] 是因为你必须要
[37:10] 持续的去想说
[37:12] 这个地方我应该要干嘛
[37:13] 就即便你是持续的去做多
[37:15] 感觉是你都没有动
[37:17] 但你每一天看到你的部位
[37:18] 决定要把它留下来
[37:20] 而不是卖掉
[37:20] 那都等于是做了一个决定
[37:22] 那有些用比较消极的方式
[37:23] 就是直接把APP删掉或什么的
[37:25] 那可是以我们的工作来讲
[37:26] 我们还是会持续的去做
[37:27] 就是去盯着啦
[37:29] 会稍微看着
[37:30] 未必到钉盘那样的一个程度
[37:31] 所以一般来讲
[37:32] 就是要看状况去做判断
[37:34] 所以就像说
[37:35] 像前面在修正的时候
[37:36] 当然我也是去做好
[37:37] 某种心理准备
[37:38] 是它有可能会跌到季线
[37:40] 如果季线撑不住
[37:41] 真的就要开始进入一个大修正
[37:42] 有没有可能
[37:43] 我觉得几率低
[37:44] 但还是有可能
[37:44] 我不会去划掉这样的一个可能性
[37:46] 可是当我今天注意到一些指标
[37:48] 像可能在前几集
[37:49] 跟大家讲说
[37:50] 我感觉是跌完了
[37:51] 那就是我自己有注意到一些指标
[37:52] 我去做
[37:53] 有可能我做完之后
[37:54] 后来又再出一个大黑
[37:55] 可以继续往下爆炸
[37:56] 然后可能隔两三集
[37:57] 我可以讲说
[37:58] 没有我觉得可能还没有跌完
[38:00] 那可能有些人就觉得说
[38:00] 你看这个人不准
[38:02] 他改来改去
[38:02] 可是我就讲
[38:03] 你只要一直去追求说
[38:05] 你要看谁准不准或什么的
[38:06] 你就注定要当韭菜给人家隔
[38:08] 因为真的没有人知道
[38:09] 明天会发生什么事情
[38:10] 大家都是在建造拆造
[38:12] 所以我是很不喜欢预言家
[38:14] 其实我注意到身边强者
[38:15] 几乎也都不是预言家这种人物
[38:18] 几乎都是属于那种蛮会随机应变
[38:21] 就随机应变是一个
[38:22] 比较重要的人格特质
[38:23] 而不是你的预言能力
[38:24] 所以你去猜说
[38:25] 现在是在几局下半
[38:26] 这个我觉得不是特别重要
[38:27] 当然我们心中会有一些想法
[38:29] 像我自己也认为说
[38:30] 可能AI都只是在一个幼年期而已
[38:33] 但这个幼年期到青少年之间
[38:35] 会不会先来一个30%的修正
[38:37] 然后才继续上去
[38:38] 这都是有可能的
[38:39] 所以去猜这些东西
[38:40] 我觉得意义其实不大
[38:41] 大概这样
[38:42] 下面一位
[38:43] 底线兽
[38:44] 孟公你好
[38:45] 最近有听到GTA6预购消息出来
[38:47] 想买PS5
[38:48] 你觉得要直上Pro好
[38:49] 还是买一般光碟机就可以
[38:51] 想听你的看法
[38:52] 那祝Lisa 孟公 秋口 诺亚 安哥
[38:55] 身体健康谢谢
[38:56] 我自己一开始是买一个光碟机的
[38:59] 然后只是后来我就把这一台送给朋友
[39:02] 那我自己就是买了一个Pro
[39:04] 那当时会想买Pro的原因是因为
[39:06] 我想说Pro的画质到底提升多少
[39:08] 想要去感受一下
[39:09] 老实讲其实是感受不了多少
[39:11] 但我后来蛮喜欢Pro的一点就是
[39:13] 反正我透过硬碟扩充的方式
[39:16] 我还是可以玩大量的游戏
[39:18] 然后全部都用下载的
