[00:00] 歡迎收聽股癌,我是謝孟恭,本期節目由善存益生菌贊助。
[28:18] 我剛才想說要怎麼樣講才不會講說人家年紀比我大
[28:20] 這個好像有點冒犯
[28:21] 但他就講到說其實這個以他在股票裡面的經驗來講
[28:26] 這種所謂的沒有連續性的盤
[28:29] 比較扭的盤其實是常態
[28:31] 在過去一陣子這個不是常態
[28:33] 但是在我的世界觀裡面
[28:35] 就是我加入市場的快要一半
[28:38] 就是這種超級熱鬧的盤
[28:40] 所以我會覺得那個叫常態
[28:41] 我就會說現在盤好難做
[28:43] 這個沒有連續性
[28:43] 但這個可能是正常的樣子
[28:45] 所以其實就是趁現在好好的習慣一下
[28:48] 我相信就等到AI大潮稍微告一個段落之後
[28:50] 就會有更長的一段時間
[28:52] 可能會是長這個樣子
[28:53] 所以如果說你過度的去聚焦一些非常短線的東西
[28:57] 包含說這個東西的什麼
[28:59] 他可能又要取消他又要delay這個在市場上超常發生的
[29:03] 其實從最早那種GB200那時候節目不是會聊到說
[29:06] 啊怎麼有人喊到什麼7萬多Racks那根本就不可能達成數字嘛
[29:10] 可是他在上漲的時候大家就開始3萬Racks、5萬Racks、7萬Racks越喊越高
[29:14] 然後接著下來的時候自己在那邊修正啊砍單了啦遞延了啦什麼5萬4萬
[29:19] 可是問題是如果真的很認真去研究說不是從頭到尾就是2萬嗎
[29:23] 那個上去的數字是你們在炒的時候自己喊上去然後自己就把它喊下來
[29:27] 這就是一樣的道理啦,所以我對這件事情的評價是,我認為它就是類似在Trade的一個還在研究中或是還在發展中的某種Roll Map裡面的東西,然後接著可能因為一些成本的因素或是供應來不及之類的,那亦或是他想要快點上,那所以導致有些東西他沒有在大家想像的那個時間點出現,所以大家就瘋狂的去Sell這個東西,但最終他還是會出現,然後等他再次出現的時候可能又會再上去啦,
[29:55] 所以就看你是要聚焦怎麼樣的一個市場,非常短期還是長期,那個沒有對錯,完全是看個人自己的交易週期。
[30:02] 所以就是那一天因為我是在電玩展,然後就看到盤中超多人,有些在咒罵,有些人在幹屌說他亂講或什麼的。
[30:11] 我覺得理性上來看會知道說對啦沒錯啦,他這樣說也不能夠說他錯,就是確實是會,如果說我可以在這邊就解決掉一些訊號的問題的話,
[30:24] 那我或許在短期內的材料升級就沒有這麼的窘迫嘛
[30:28] 你這樣說就可能是比較中性、比較neutral
[30:31] 大家也會覺得是可以認同
[30:32] 但如果突然間丟一個那種殺手鍵出來
[30:35] 類似那種前面海外的一些炎掉
[30:37] 突然丟某種東西出來那種嚇大家
[30:39] 然後整個市場掉下去
[30:40] 可能就會變成是眾矢之地
[30:42] 大家就會追究你
[30:43] 即便你講的方向其實是蠻可以理解的
[30:46] 只是一些用詞
[30:47] 所以稍微的評論一下這個在市場裡面的事件
[30:51] 希望對大家有所幫助
[30:53] 那今天我們進入Q&A的部分
[30:54] 地位 SCI 害夢工地下長照問題除了在制度上有需要改善的地方以外,台灣也需要再更理解生命的重量及尊重。
[31:03] 撇除掉特殊的案例難以解決,明明就有AD跟ACP可以預先簽署,那為什麼不好好地跟家人討論未來醫療處置的方式?
[31:12] 如果只是想用老人家傳統想法難以溝通,覺得所謂的長照安樂死可以解決問題,很像是在逃避問題。
[31:19] 溝通的責任不願承擔,卻想要外包至親的生命責任。安樂死不是你安樂讓他死。
[31:49] 我覺得也蠻合理的
[31:50] 首先蠻多人是講說
[31:52] 很感謝我把這樣的一個觀念跟大家分享
[31:56] 因為確實蠻多人的安樂死是安我然後讓你去死
[31:59] 差不多這樣的一個感覺
[32:01] 只是我也懂得一些地方聽眾的分享
[32:04] 他就說如果說有一些老人家
[32:06] 我一定就看得出來說他們是感情沒那麼好
[32:09] 他就覺得說
[32:10] 那是你的身體
[32:12] 我跟你也不好
[32:13] 可是現在你變成是我的負擔
[32:14] 所以是不是如果說你今天財力在某個水準以下
[32:17] 那也已經沒有辦法治理了,變成是可能家中某一個人的承擔的義務。
[32:24] 那這樣子是不是你沒有資格決定自己的生死?
[32:27] 當然這個東西說出來,老實講,如果你會覺得非常不合理,或是你會認為這個人實在是有夠冷血,那可能你是在蠻不錯的家庭,就你卻無法想像這件事情。
[32:38] 那當然我還蠻感謝就我自己是在苗栗長大了,因為我現在身邊的朋友都是一群相對富足的人。
[32:44] 所以大家的觀念可能都會比較偏向是世界大同和平
[32:49] 因為你在一個相對平靜有資源的家庭長大
[32:54] 你比較不會看到一些社會的陰暗或是那種為了生存沒有資源所必須做出的一些取捨
[33:00] 因為我小時候有看過類似的東西
[33:03] 所以我可以理解這些人為什麼會有這樣的一個說法
[33:06] 即便可能會覺得說他實在是有夠惡劣的
[33:09] 這也是你爸媽或什麼
[33:10] 他就跟他爸媽沒有感情
[33:12] 所以他有蠻多可以討論的那種age cases,就是在極端的案例之下,那一定是有很多的空間。
[33:21] 我覺得這也是為什麼會有一些法官的存在,就是一些那種長照輪輪杯葛,什麼親自把家裡的某個人送下去,然後順便發現說其實他已經照顧了幾十年了,他一輩子就在這個人身上。
[33:33] 他受不了了嗎?他累了嗎?或者說他捨不得嗎?就是一些那種什麼老母親把自己的那種重病的孩子給弄掉,因為他覺得自己快走了。
[33:41] 阿走了這個孩子不知道怎麼辦,那不如就親自讓他下去之類的。
[33:44] 那像這種就是要必須靠可能就是一些法官,看是怎麼樣,那用一個這個比較人道的方式去做處理。
[33:53] 我整個說就是我們每次去講很多案例的時候,我覺得最困難的一點就是像前面說的,因為我們的聽眾太多了,那一定有各自各樣的極端的案例。
[34:02] 那可是我們無法改變的是通力,就是通力上是你不能夠去幫別人決定他要生他要死。
[34:08] 我知道社會上有可憐的人,我知道怎麼樣。
[34:11] 就像我說分享一些東西,以前在FREZ上面,為什麼後來把FREZ給刪掉?
[34:15] 因為我覺得這個平台太多低能額了。
[34:17] 你要知道低能額是怎麼樣的一個樣子呢?
[34:20] 很簡單,就是他們喜歡用極端的案例去反駁通利。
[34:22] 所以不管你講什麼,都會有人可以拿某一種極端的案例出來講,然後接著就好像說你在亂講。
[34:28] 可是那個就是極端的案例,那我們也知道世界上有各種極端的案例,
[34:31] 可是我們沒有辦法去顧及到太多非常hard core的東西。
[34:36] 我隨便講一個很北南的例子,因為現在是準備要在日本的飯店要Check out嘛。
[34:40] 你知道以前我們在飯店在弄的時候,就是跟朋友在競技的時候,你知道在業界有些人是這樣,他會用那個熱水壺去洗內褲,很屌。
[34:49] 就是是怎麼樣的他媽怪小大媽會做,一般都是女生,老大嘛,他們喜歡用那種熱水壺消毒之類的。
[34:56] 那因為這樣子,所以我們的房間就全部都不應該放熱水壺嘛,還是熱水壺那邊應該要放一個監視器之類的。
[35:02] 就是你就知道說一定有人會去做一些比較奇怪的事情
[35:05] 可是你沒有辦法為了那個很奇怪的人去改變全部人
[35:09] 就是你還要去相信
[35:10] 絕大多數的這個社會的人士是良善的
[35:14] 大家不會有一些惡念之類的
[35:16] 雖然一定會有這樣子的人
[35:18] 所以一定也會有一些失職的父母
[35:20] 失職的曾祖父曾祖母
[35:22] 你就覺得說媽的
[35:23] 我在你還年輕還強壯的時候
[35:27] 又沒有受過你的饋贈
[35:28] 你也沒有照顧過我
[35:29] 好像說生的時候就是媽的
[35:31] 就是任務就完成了,我可能甚至都沒有看過你,然後既然你老了我要去照顧你,你會想把它over掉,我覺得也是蠻合理的一件事情啊,所以對對對,我們沒有辦法去討論一些極端案例,那也要去知道就是說社會上有一些那種很苦的人啊,所以他們有時候講出一些那種極端的東西,就是反映的,就是他的生活是過得非常糟糕啊,啊我們也沒有辦法幫他什麼,所以就有時候不用把話說得太死啊,大概是這樣,下面一位全職投資人愛寧愛寧,下面一位龍夢宮chka,您好,謝謝您的節目陪伴我從小大愛寧,謝謝您的節目陪伴我從小大愛寧,謝謝您的節目陪伴我從小大愛寧,
[36:01] 讓我從戰士九流美轉變為乖巧指數宅,資產成功累積到八位數,而且睡前聽市場話題還有奇效,真的是獲益良多。祝孟恭全家平安快樂,諾亞十年後還是愛跟爸爸一起打電動。
[36:16] 我跟男友是從顧力雄雄福利那一集開始聽的,今年是我們六週年,上個月男友循著巧虎開市做了後車廂的求婚。
[36:25] 所以你男朋友是做八大是不是?還是那個淘載的?地下金融業?怎麼會用後車廂?後車廂股就是那種C300八大仔最喜歡用的。
[36:33] 9月29號是他的生日,請問可以用福利熊的語氣唱?
[36:37] Wash your booty, wash your booty everyday,亮亮Happy Birthday,不要再玩股票玩到睡不著了。
[36:45] 不是啊,這位龍妹妹也蠻厲害的耶,她說聽我的節目從小大一到出社會,我的節目現在幾年了?2020開始的嘛,現在2026,
[36:54] 直接就抓6年好了
[36:55] 所以簡單來說他出社會兩年而已嘛
[36:57] 女生不用擋兵
[36:59] 兩年
[37:00] 然後他竟然可以累積到八位數
[37:02] 其實過去的指數是很好
[37:04] 沒錯
[37:04] 但是沒有好到這樣
[37:05] 這個應該也是家裡有礦
[37:06] 但恭喜啊
[37:07] 我們不會去酸那種家裡有礦的人
[37:09] 因為我覺得
[37:10] 簡單來講就是像我現在努力的東西
[37:11] 也是希望讓我的兒子家裡有礦
[37:13] 所以我兒子以後就可以
[37:15] 起跑點在更上面的地方
[37:16] 父母就是孩子的起跑點
[37:18] 這是沒錯的
[37:18] 所以大家都一起努力
[37:20] 祝你們生日快樂
[37:22] 下面一位Sherry
[37:23] 孟恭、Chika、安安,我是目前在法國商學院就讀的碩士生,因為工作了幾年才來念書,所以身邊的同學都比我小了很多,但我還是非常努力地適應這邊的生活。
[37:33] 今年8月正式跟男友開始台法遠距離,可以聽聽您對跨國遠距離的想法。男友是個非常認真工作,也受上司青睞的有為青年,也是您的大粉絲。
[37:43] 他開車在我的路上都是聽您的Podcast,也跟您在同一間健身房,他說您真的又瘦又帥。
[37:48] 希望孟恭大家可以祝林口艾斯摩爾的響響9月30日30歲生日快樂。
[37:53] 希望響響可以繼續在領域中發光發熱,交易報酬大爆射。也祝孟恭一家身體健康、平安、快樂。
[38:00] 首先我還是得講,老樣子,我們不會因為說,可能人家聽了溫馨的故事就改變我們的說法。
[38:08] 就是觀念上,其實遠距離真的是蠻困難的。
[38:11] 遠距離是不好搞的事情,但如果只是一個短暫的遠距離,
[38:15] 雙方有妥善的未來生涯規劃或人生中的安排,什麼時候結婚、要有小孩等,我認為遠距離不是太大問題。
[38:29] 但我們身邊看到蠻多的案例是這樣子,就其實跟很多長輩,我今天早上才看到一篇文章,反正就是在FRED上面,人家轉貼,有一個阿伯,他就在分享說什麼,
[38:40] 他的兒子在美國哪一間唸到什麼碩士?他的外甥又在哪裡唸到什麼東西?現在年輕多少錢?
[38:48] 你知道每次我看到這種我就超想笑
[38:50] 就是很可憐啦 就他媽一把年紀的人 然後再數說自己的小朋友多屌什麼
[38:54] 可是沒有人要回來跟你生活啦 然後出去就出去 他沒有人要回來的意思
[38:58] 也不是說什麼人家不能夠在外面啦 就是去追尋自己的這個生命中覺得重要的東西嘛
[39:03] 哪裡有高薪 哪裡的生活環境好 往那個方向去 無可厚非啊 大家都會這樣子做
[39:07] 可是就很北蘭啊,就是你要跟大家分享這個東西是要幹嘛?
[39:11] 你要分享說你很會教育嗎?還是怎麼樣?
[39:13] 你教育到孩子都不回來,我知道他不回來不一定是不愛你啊,這就是很奇怪的東西。所以一樣的道理就是很多搞遠距離的最後會變成說就一方就不回來啦,那你不回來你就要去試著把另外一個接過來,你要有這個心態,如果說沒有,然後想說反正就是且看且走嘛,我先繼續發展看怎麼樣再說,一般這種就結束了,就高機率就結束了,那一樣不要拿一些H cases來跟我講,就是主要都是我們看到這樣子就知道說你就掰掉,所以遠距離也沒有說很難,就如果你觀念正確就不難,但是如果說觀念沒有橋段,就不要說遠距離也沒有說很難,就如果你觀念正確就不難,但是如果說觀念沒有橋段,就不要拿一些H cases來跟我講,就是主要都是我們看到這樣子就知道說你就掰掉,所以遠
[39:45] 這超級難,所以關鍵正確就是你們已經選定就是彼此了嘛,然後接著即便可能兩個人在不同的地方都沒有見到面,可能還會去面臨各自的同事啊同學或什麼的各式各樣生活中誘惑啊一些有趣好玩的東西價值觀的衝擊,你都還是知道說就是那個人在家裡等你,那你也知道你要回家或是你要把他接過來,我覺得就沒有問題,那就沒有問題,所以設立一個共同的目標是很重要的,而且要一起往那個目標努力,不要說我設立一個目標然後接著就只有單一的目標,然後就只有單一的目標,然後就只有單一的目標,然後就只有單一的目標,然後就只有單一的目標,然後就只有單一的目標,然後就只有單一的目標,然後就
[40:15] 請不吝點讚、訂閱、分享、打賞支持明镜与點點栏目
[40:45] 你這老鬼,小時候以為考上牙醫系之後人生就沒有煩惱,長大後的某個timing到達自己定義的自由之後好像也沒有過得比較快樂、比較不焦慮。
[40:56] 疫情解封至今,也出國旅遊40次左右,有時候也未同交納,沒有當初的喜悅。
[41:03] 雖然遠不及猛攻的萬分之一,但每週看診路上都有Chica溫柔的聲音陪伴,各種金句真的是會有良多,超級感謝。
[41:11] 最近有人分享生小孩就是Trading Fund for Joy。我也依然對人生方向處處不淺。可以給後輩一個Mission Challenge嗎?像是Kobe當初發起挑戰期許後輩一樣。
[41:27] 我平常不會跟別人分享這些,但孟恭真的是我的Role Model。祝孟恭、我老公全家平安一切順心,中秋節快樂。
[41:35] 一樣我很常跟大家講說
[41:37] 一個人講的話就會反映出你的狀態
[41:41] 那你剛剛前面講的說
[41:43] Trading fun for joy
[41:44] 我認為不是這樣子
[41:47] 為什麼?因為很多人是這樣
[41:49] 他好不容易賺到錢
[41:51] 他就不太會賺錢嘛
[41:52] 好不容易終於有錢了
[41:53] 所以呢他就覺得說我要好好的享樂
[41:55] 要吃要玩要喝
[41:57] 然後出國要殺小的
[41:59] 那是他嘛
[42:00] 因為他就是很匱乏
[42:02] 所以他會覺得他做這些事情他會爽啊
[42:04] 我就一直跟大家講,你覺得這樣會爽,你就盡量做,做到你覺得夠了為止,你再去開啟一個新的DLC。
[42:11] 這個DLC,這個Downloadable Content,這個新的冒險,支線任務,它不是一個你一定要開啟的東西。
[42:19] 我也不是要去宣教或是告訴人該去做什麼事情,我的觀念還是一樣,干我屁事,你要選什麼幹我屁事。
[42:26] 但有些真的想知道我的想法的人,我就會告訴你,對我來說或是對你來說,你不是也講了嗎?
[42:32] 你出國四十幾次,這個是人人稱羨的東西啊,但我懂你啦,我真的懂你,就是你會覺得不知道要幹嘛嗎?
[42:39] 像我現在跑來日本出差,前兩天覺得很新鮮,其實後面像我昨天去的時候在找說有沒有辦法快一點回台灣,你其實心中在想的東西是什麼?
[42:47] 一開始據他說我也曾經因為我跟我老婆很早就結婚嘛,小朋友也算是就以台灣的角度來說我是很早就有小孩,還是媽家兩個嘛,34歲就是二寶吧。
[42:58] 在我的觀念上,我曾經也會想過說,如果我再單身一陣子會發生什麼事情?
[43:06] 如果我今天獲得自由,我會怎麼樣?你會有很多想像啊,那就跟是你在那種床前說,老子今天要幹死你,我就要把你幹死。
[43:16] 結果你可能一發不到,你就累了,躺在那邊喘,跪在床腳那邊沒有力氣了,或者是就弄到一半軟掉直接睡覺。
[43:25] 這就是我最喜歡的一件事,就是我自己的生活。
[43:27] 我自己的生活是不一樣的,我自己會在腦中意淫一大堆。
[43:29] 我今天單身,我媽出去玩的時候,我會怎麼樣?
[43:31] 像那時候我去德國看Radiohead的時候,那是我第一次獨履啦,我老婆不會讓我去獨履的,我是直接發起了大抗議,因為我真的太喜歡Radiohead。
[43:39] 只是沒有想到後來它變成是一個,就他們現在說每年就要開好幾個演唱會,日本的我應該也會去。
[43:45] 反正總之那時候我就想說,這麼多年來第一次終於要出來辦演唱會,我一定要去,我一去就直接看了兩場連續back to back,超級開心的。
[43:52] 我心中想說我到德國去我一定會到處走走我去看一下當地晚上的生活在幹嘛
[43:57] 我不一定要惡搞我沒有要做什麼別的事情可是我就一定會你知道就一個人嘛自由了就你知道我在幹嘛
[44:02] 我每天在看玩具然後去挑小朋友的玩具然後接著就累了就回房間房間房間睡覺
[44:09] 然後接著等下一場演唱會就我之後面就什麼東西也沒有做叫Room Service躺在飯店裡面
[44:14] 那這跟自己想像是不太一樣就是我很難去形容那種感受
[44:19] 但是我身邊的一些朋友一些大哥
[44:22] 為什麼我喜歡跟老人家混
[44:23] 對不起
[44:23] 我不是說你們全部都老人家
[44:24] 可是年紀比我大蠻多的
[44:26] 12、10歲以上
[44:27] 像有一個大哥講的很有道理
[44:28] 他說當你已經習慣跟喜歡上被需要的感覺
[44:32] 那個是非常有吸引力的
[44:34] 就是你在家裡你就會覺得自己非常有價值
[44:36] 你一定會想說
[44:37] 啊媽的你不要再管我了
[44:39] 女人你給我管
[44:40] 殺小
[44:41] 孩子我也是養大了
[44:42] 或什麼
[44:43] 你會有這樣的想法
[44:43] 可是你自己出去一次
[44:44] 你不一定會想要當個脫僵野馬
[44:47] 因為對你來說
[44:48] 像你前面講的東西嘛,什麼旅遊啊,很多人跑去吃什麼板錢啊,還整天,我覺得那種就是對於這種生命很有熱愛的人,有時候我也是蠻羨慕他們啦,就他們會覺得這是很酷的東西,就會分享嘛,會share嘛,可是我就不會覺得這種東西是到底有什麼好share的,這超一般的啊,就是因為錢可以買到的東西太廉價了,現在誰沒有錢啊,雖然我講這個我知道又有一些人會覺得我可能在刺激他或什麼,所以我就說這個不同階段,你就聽不同階段的我,想法也會有一些改變,我現在的想法就是,誰沒有錢啊,每個人都有錢啊,
[45:17] 所以你身邊還在比錢的人超low的啦
[45:20] 好像有一些那種交易圈的下游講說那個誰什麼十億大哥百億大哥
[45:23] 啊十一百億有很屌嗎
[45:24] 其實也沒有多屌就就這樣嘛
[45:26] 對不對
[45:26] 就是你其實大家都幾億的人
[45:28] 每個人生活都一樣都長一樣的啦
[45:30] 你會想要一直去做一些鋪張消費
[45:32] 那是你嘛
[45:32] 你覺得那樣很爽嗎
[45:33] 你覺得還要去拐年輕妹妹嗎
[45:35] 啊我不想啊
[45:36] 我不想要我覺得那很無聊啊
[45:37] 因為我玩膩啊
[45:38] 就是一樣都是吃東西一樣都是什麼
[45:40] 啊我都有啊出國我也有啊
[45:41] 我也都是可以不用去考慮預算什麼的
[45:43] 那你說這種東西會有放嗎
[45:45] 就不會有放了
[45:46] 那FUN跟JOY會在哪?就是你被需要的感覺,你跟你喜歡你愛的人重新的去體驗童年,這些孩子們,你的童年一期,也不是說你童年一定要過得很差啦,就是你過去就沒了嘛,你有時候會想要回到小學,回到幼稚園去體驗一下當時的生活,你沒有辦法,可是你跟著孩子就可以。
[46:04] 所以沒有孩子就沒有FUN AND JOY,在我的角度是這樣,因為前面那些東西對我來講已經是沒有意義了,我再做100次我都不會覺得高興啦。
[46:12] 我覺得像我這次來日本做星宇的頭等艙想說試看看一點感覺都沒有發張照片上傳也沒有
[46:19] 我不是說星宇的服務不好很好只是就是就那樣嘛這哪有什麼東西就那樣
[46:23] 你隨便要掏錢出來你都可以做到東西你可以重複做一百次的東西
[46:27] 那到底好玩在哪就不好玩了
[46:29] 所以我不認為是trading fun for joy不是這樣
[46:33] 是你到某個時間點你可能就會覺得生命是很empty的
[46:37] 你就想要有一些新的DLC出來
[46:39] 那這時候可能就非常適合
[46:41] 但是有趣的是當一般人到這個時間點
[46:45] 因為不是每個人都是很會賺錢或是幸運或是很有天分
[46:49] 所以可能是等到四五十歲他才到我瞎的可能我二十幾歲又到了階段
[46:53] 然後他就會想要有孩子
[46:55] 所以你看到台灣人的月子中心都是一堆四十幾歲的在生小孩
[46:58] 然後老來得子超高興的
[46:59] 他們年輕的時候一定講話都很嗆
[47:01] 幹嘛要有這種拖油瓶什麼的
[47:02] 他就還沒到那個階段
[47:04] 所以還沒到那個階段的人你跟他多說是無益的
[47:06] 他無法理解
[47:07] 所以你後來越來越懂家裡的一些長輩
[47:09] 雖然有時候他們講話不動聽或什麼的
[47:11] 他說你老了就懂啦,你年紀慢慢變大了,你三十幾歲、三十五歲、四十歲,你又會開始,啊你老了就懂啦,你會想跟你朋友講這些,但你只要講這個就好像以前的老人家,所以你就選擇就不講了,你就好好地感受自己的生活,大概這樣。
[47:23] 所以我不會對你發起一些challenge,我只要告訴你,其實不要太相信外面的一些說辭,因為簡單來講你生活過得很好的,你沒有空在網路上整天在那邊喇叭啦,大概是這樣。
[47:35] 所以你整天在網路上看一下喇叭你是不會有任何進步的
[47:38] 你只會聽到一些那種還在struggle的人
[47:41] 然後好像他媽他懂很多事情
[47:42] 但他一點都不懂
[47:43] 下面有位JJ小菜雞夢宮安最近回聽老集數
[47:47] 聽到那時GTA6在講要上市結果搞到競爭財上
[47:50] 那想問您炒股掛號事件交易是不是受這款遊戲的影響啟蒙
[47:55] 預計那麼幾歲會碰這款遊戲
[47:57] 那因為我媽以前都叫我不要玩
[47:59] 現在想想也確實覺得小朋友沒有見識好幫助這個遊戲
[48:02] 可能會跟某個台灣藝人的兒子一樣
[48:05] 長大去美國當葛雷夫抓捕怕,回台灣繼續當藍寶。
[48:09] 那這...幹,這個講話很好笑。
[48:12] 然後最後祝最近去做天使的奶奶能夠保佑我還有孟恭一家人,謝謝,謝謝這個奶奶跨刀保佑我們,非常感謝你。
[48:21] 那這款遊戲跟炒股有沒有什麼關係?沒有關係,這個事件交易跟這個遊戲是沒有什麼影響,但是在Tech2 Interactive這個股票我是賺錢的,然後我去做波蘭蠢魚我是賠錢的。
[48:33] 然後之前的遊戲橘子事件,我忘記了,那時候應該是沒有獲得什麼收益,就是當時要出那個天堂嘛。
[48:39] 所以對,這個應該跟交易是沒有什麼太大的關係。
[48:43] 那會不會讓諾亞去碰這個遊戲?會耶,我覺得沒有關係耶。
[48:46] 就是當然我知道在GTA裡面你是非常的自由嘛,你可以開車子直接把一排人給鏟掉嘛,或是什麼的。
[48:52] 其實每個玩GTA都一定會這樣子玩啊,不是說每個都會跑去幹大的嘛,去做什麼奇怪的事情。
[48:58] 甚至我有一個可能是unpopular opinion的樣子就是發我個人的意見
[49:03] 我覺得就是有這些遊戲讓一些人可以紓壓
[49:06] 所以社會上會少一些事件
[49:08] 你知道嗎
[49:08] 就像是日本的地牢賽上面有各種超劣期的那種色情小黃油
[49:13] 有些是真的那種口味重到我都會皺眉頭說
[49:16] 幹這真的有人要搞這個嗎
[49:18] 就是你們你們這腦袋到底裝什麼東西
[49:21] 可是你不免就會想說
[49:22] 如果你沒有這些東西讓人家去發洩的話
[49:24] 他不會做更奇怪的事
[49:26] 所以後來會懂生命中社會上的一些東西的存在是有它的意義的
[49:31] 以這種電玩、影視或是說甚至是修道院的存在
[49:36] 你知道有一個說法就是說因為有這些修道院
[49:39] 所以在每次的生產力爆發的時候
[49:42] 那些Incel或是有些那種丑女的
[49:45] 反正就遭受於那種年輕男生的地方
[49:48] 如果他們沒事做因為生產力爆發
[49:50] 所以可能不一定找得到工作
[49:53] 閒閒在家之類的
[49:54] 不需要這麼多勞動力
[49:56] 他們沒有辦法去找到地方去
[49:58] 像以前的修道院或像是Vikings出海
[50:01] 那可能就會變成一些社會的問題
[50:03] 所以這個事情上我是覺得就是好在有這些遊戲
[50:07] 所以應該少掉了很多社會上的問題
[50:09] 你就紓壓了嘛
[50:10] 你本來是覺得心情鬱悶
[50:11] 你回去在遊戲裡面做一些那種Really fucked up things
[50:14] 你就覺得快樂啦
[50:16] 我就沒事了
[50:17] 所以我不會覺得不可以去玩這個遊戲
[50:19] 但我現在會遵循
[50:21] 就是可能裡面給你的一些年紀的建議
[50:24] 這個會因為有些東西你會發現
[50:26] 就像說像Astro Bot
[50:28] 它其實是一個非常親子的遊戲
[50:29] 但是像那個裡面的那個綠色大魔王出來的時候
[50:32] 兒子還是會害怕
[50:33] 所以當我注意到他害怕的時候我就說
[50:35] 這個遊戲你可能還不能夠玩了
[50:37] 就稍微的玩一點
[50:38] 然後再讓你去玩那個環節
[50:40] 所以會去注意這一點
[50:41] 但是不會去反對孩子玩遊戲
[50:44] 那你媽媽以前不讓你玩
[50:46] 也不一定會讓你就是現在可能發展得更好了
[50:50] 因為我媽媽就是讓我玩的那個
[50:51] 我從小就是打GTA長大的嘛
[50:53] Vite City超讚,然後後來San Andreas,然後再到GTA5,現在到GTA6,等到花都謝了。
[50:59] 但我覺得還好我小時候有玩這些東西,它算是有開啟我的一些想像,或是一扇窗,對英文的好奇,對於這些遊戲的設計什麼的都有影響。
[51:11] 跟炒股可能關係不大,可是對生活的一些看法會有差。
[51:16] 所以剛好就是昨天跟一起來這邊出差的朋友聊天
[51:21] 他就問我說就是我覺得哪些遊戲啟發我很大
[51:23] 我第一個就說就GTA系列
[51:25] 第一個就是GTA
[51:26] 然後再下面一個是因高的東西
[51:30] 特別是艾爾登法環真的太喜歡了
[51:32] 裡面的各種道具的說明什麼的
[51:34] 那個也是很fucked up的遊戲
[51:36] In a way
[51:37] 就在某個角度上來看
[51:38] 它裡面有些像什麼湖人
[51:40] 不是那種Lakers
[51:41] 就是懂的就懂
[51:42] 反正就是那個湖人
[51:43] 他們有一些劇情
[51:45] 然後跟一些設計安排,這些烏澤村的人,那個都是很twisted,就是很,我是故意只要講津津題,抱歉,因為我經常都是跟我老婆講,因為我平常也沒有誰可以對話,很扭曲啦,就是很扭曲的東西,可是它不代表就是玩這個遊戲的人會變得很扭曲,反而我覺得就是你看了這些恐怖的人倫悲劇之後,你會在這個生命中對更多東西會產生敬畏之意,你會知道要愛彼此,我覺得反而是這樣一個感受。
[52:12] 對 所以這兩款遊戲都影響我非常多
[52:15] 所以我不會阻止我孩子玩遊戲
[52:17] 甚至我也很鼓勵他玩遊戲
[52:18] 這一點就跟馬斯克前幾天PO的那個一樣
[52:21] 就是說打遊戲的人會比較聰明
[52:23] 我是相信這件事情的
[52:25] 好 那再見 掰掰
