[00:00] 歡迎收聽古埃,我是星目公,本集節目由NordVPN贊助
[19:03] 所以我們早就已經看到說
[19:04] V8E在MTK這邊
[19:06] 就是2026會有20到25K
[19:08] CoreOS頭片的這個晶片
[19:10] 就已經是on track了
[19:12] 所以為什麼Huck還是會一直強調說
[19:15] 就是外面在講說
[19:16] 反正他的什麼客戶被人家分走
[19:18] 或者說有客戶想要自己in house
[19:21] 因為像MTK這個解方
[19:22] 是Google他自己去做晶片
[19:25] 然後再來在IO端這邊交給聯發科
[19:28] 所以就是已經有發生的事情
[19:29] 至少就是在供應鏈上就是有看到
[19:31] 可是我感覺他的說法還是堅決在否認
[19:34] 當然我們就不去揣測說他的意思到底是什麼
[19:37] 而且可能最後面他有機會是對的
[19:39] 就像說像MTK這個晶片
[19:40] 如果後面表現的不好
[19:41] 當然我們不希望他不好
[19:42] 只是說假設他表現的不好
[19:44] Google發現說這條路不可行
[19:46] 所以他就全部再去重回普通的懷抱的話
[19:49] 當然Hack就講對
[19:50] 可是如果說MTK的表現很好
[19:53] 然後回來到V9
[19:54] MTK是繼續做
[19:55] 而且還放大量的話
[19:56] 那Huck就等於說
[19:57] 他講的東西是錯的
[19:58] 所以這個也呼應到
[19:59] 就是我們前幾集有跟大家講說
[20:00] 你知道一個所謂的事實
[20:02] 它有可能在當下是對的
[20:04] 可是後面它會變成是錯的
[20:06] 可是不代表當下那個人在騙你
[20:07] 或者在唬賴你
[20:08] 沒有
[20:08] 是因為後面的狀況就改變了
[20:10] 所以我還是不太瞭解
[20:12] 就是Huck為什麼可以這麼
[20:13] 篤定的去否認掉
[20:15] 說客戶可能會自己做
[20:16] 或者說他的大客戶裡面
[20:19] 可能有其他的競爭對手的加入
[20:20] 去分時訂單
[20:21] 他都去否認這件事情
[20:22] 但我們看到就是有這樣的事情
[20:24] 但這個東西你說
[20:25] 對他的影響會很大嗎
[20:27] 目前我們看應該是覺得還好
[20:29] 因為Blockhound他在
[20:30] Quas的這個投片數字
[20:32] 大概是MTK的十幾倍
[20:34] 或者十幾倍以上
[20:35] 當然這裡面不是全部都是TPU
[20:37] 可是TPU在裡面的佔比是很高
[20:39] 所以他還是一個Man Supplier
[20:41] 然後再來就是他拿到的錢
[20:42] 應該會比MTK這邊高很多
[20:44] 因為只做IO的話
[20:45] 那個價格大概是
[20:47] 他的十分之一
[20:48] 但普通的金額是包含他自己要去買一些HBM
[20:51] 但他的收益不覺得說會立刻的
[20:54] 就是因為MTK的加入
[20:55] 然後就被分掉很多
[20:56] 而且要看後續到底MTK的晶片表現怎麼樣
[20:58] 所以就簡單的大概評論一下公司的說法
[21:02] 就是有些我是認同他
[21:03] 然後有些我是覺得說
[21:04] 他講的東西
[21:05] 跟大家在供應鏈上看到的東西
[21:07] 可能是不太一樣
[21:08] 所以也跟大家講一下自己的想法
[21:10] 那再有提到矽光子的全面普及
[21:12] 還需要一段時間
[21:12] 其實他們自己本身是有矽光子的解放
[21:16] 所以他講這個
[21:17] 我覺得就是很值得采信
[21:18] 因為如果你今天是一個
[21:19] 就像說你就專門在
[21:20] 充這種細光紙的公司
[21:22] 然後你講說這個東西
[21:23] 很好或是怎麼樣
[21:24] 那可能就是因為
[21:25] 跟你利益是相契合
[21:26] 所以你當然會講他好
[21:27] 可是如果像Block.com自己
[21:28] 就是他有多重解方案
[21:30] 然後都告訴你說
[21:31] 這個東西可能還需要
[21:32] 一點時間
[21:32] 那可能就真的
[21:33] 還需要一點時間
[21:33] 但我覺得不重要
[21:34] 因為在現在這個階段
[21:36] 基本上大家都是
[21:37] 一直持續的去往光
[21:38] 還有雷射的方向去看
[21:40] 但最主要原因是什麼
[21:41] 最主要是因為Google
[21:41] 在最近在市場上
[21:42] 獲得非常多的一個關注
[21:44] 那Google的交換器
[21:45] OCS就是一個全光的解放
[21:47] 它並沒有光電轉換
[21:48] 它是直接用全光的方式去做
[21:51] 所以它的能耗的表現
[21:52] 跟效率都是極好的
[21:53] 因為這個OCS
[21:54] 所以導致像
[21:55] 就前幾集有跟大家聊到說
[21:57] 像我自己在美股的
[21:58] 光通相關的佈局
[22:00] 就是Luminten跟Coheren
[22:01] 這個其實都是跟Google相關
[22:03] Google是用Luminten的東西
[22:05] 這Coheren它的做法
[22:06] 也是有可能
[22:08] 它長什麼
[22:08] 易經做法
[22:09] 一個是MIMS做法
[22:10] 一個是易經做法
[22:11] 也是有可能在後面會
[22:12] 因為Google這樣做可行
[22:14] 所以大家會想學
[22:15] 然後就找一些
[22:16] alternative的solution來做
[22:18] 都是有機會
[22:18] 所以目前我們看
[22:20] 這個矽光子
[22:20] 確實它就是像
[22:22] Hack所提到的
[22:23] 它其實要全面普及
[22:24] 還需要一段時間
[22:25] 但是我個人是認為
[22:26] 像臺股在2022 2023
[22:28] 在炒矽光子的時候
[22:30] 那時候我可能會跟大家講說
[22:31] 這個東西還超遠的
[22:32] 但現在我就不會
[22:32] 跟大家講很遠
[22:33] 即便公司跟你講說
[22:34] 還有時間
[22:34] 但這個東西
[22:35] 從現在開始
[22:36] 它就是一個
[22:37] 持續爆發的狀態
[22:38] 所以相關的類股
[22:39] 也是我自己會關注的
[22:40] 一個物件
[22:41] 這個簡單跟大家聊一下
[22:42] 那再來呢
[22:43] 他又提到一個
[22:44] 當然這可能就跟他自己
[22:45] 沒有太大的關係
[22:46] 可是跟我們在丁供應鏈的有關係
[22:48] 其實算是重申
[22:49] 因為老聽眾應該也知道說
[22:51] 我們已經講到不要再講了
[22:53] 就是現在其實在AI晶片
[22:54] 最缺的東西是packaging這邊
[22:56] 於是我們才會跟大家講說
[22:57] 像臺積電這邊
[22:58] 如果沒有辦法滿足大家的話
[22:59] 很多會跑去外面的all set廠
[23:01] 其實都是同樣的一個邏輯
[23:03] 他們又再一次跟大家講到說
[23:04] 就是在packaging這邊是非常的卡
[23:06] 所以就是後面的all set的一些
[23:09] 不管是相關的裝置或是設廠
[23:11] 這個都是可以持續關注的
[23:13] 因為臺積電如果沒有辦法
[23:14] 持續的往上開的話
[23:15] 他們已經開很多
[23:16] 只是就是還需要更多
[23:18] 那可能就是
[23:19] 有些訂單就會跑到
[23:20] 後面的OCE端這邊
[23:21] 那其實我覺得這個
[23:22] 對臺積電來講也是好事
[23:23] 就變成說它的風險
[23:24] 是由大家一起去承擔
[23:25] 本來是
[23:26] 假設大家都只期待它擴散
[23:28] 然後自己擴很多的話
[23:29] 那風險就在這
[23:30] 所謂的風險是什麼
[23:31] 就是大家在外面討論的
[23:32] AI是不是有overshoe
[23:33] AI是不是有overbooking
[23:35] 或者說
[23:35] 是不是大家數字喊過頭
[23:37] 那個臥底聯盟
[23:38] 會不會根本最後面
[23:39] 沒有辦法拿出多少錢來做投資
[23:40] 本來這個風險可能基本上就是臺積電一家在扛
[23:43] 可是現在就變成說
[23:44] 其實在Foundry跟OC這邊
[23:46] 聶奕祥城有一個臥屌聯盟
[23:47] 只要臥屌聯盟不像OpenAI這樣這麼直接
[23:50] 就是去找大家來當股東入股或什麼的
[23:52] 他們這邊是比較偏向說
[23:53] 反正就大家用一個衍生當默契
[23:55] OK我會擴敞
[23:56] 我擴敞的速度跟需要的數量
[23:59] 我就已經擺出來給大家看了
[24:00] 剩下不夠的
[24:01] 你各位覺得說他們講的是真的
[24:03] 這些美系客戶講的是真的
[24:04] 你們就趕快一起來擴
[24:05] 所以裝置股也是我們在前面跟大家聊說
[24:08] 會有機會雲煙在這邊
[24:10] 然後最近在市場上
[24:11] 有注意到一些新的變化了
[24:12] 就是常務股
[24:14] 大概在2023 2024年的時候
[24:15] 是市場上很多人
[24:16] 在關注的一個物件
[24:17] 因為那時候講說
[24:18] 要去AZ設廠
[24:19] 那確實也是因為這樣子
[24:20] 他們有動一波
[24:21] 那只是現在要討論的
[24:22] 就是說如果今天這些
[24:24] OCE廠或者說Foundry
[24:25] 他之後都有一些
[24:26] 可能上修的可能性的話
[24:27] 那是不是就代表說
[24:29] 他要更多的無成師
[24:30] 要更多的配管
[24:32] 配電配線
[24:32] 配管就是可能水管氣管
[24:34] 然後電力
[24:35] 這全部都要去做
[24:36] 所以常務相關的東西
[24:38] 我們最近在市場上也是有注意到
[24:39] 它有一些變化
[24:40] 那當然就是如果我自己講的
[24:41] 因為其實近期的一個做法
[24:45] 因為我現在人在國外
[24:46] 所以我就沒有辦法這麼去盯這些東西
[24:47] 這些東西我把它視為是動能
[24:49] 我覺得它是偏向比較動能的東西
[24:50] 因為基本上基本面就一直都擺在那邊
[24:52] 只是今天大家突然拿出來要去
[24:54] 你可以講說去關注它
[24:56] 或者可以講更俗套一點
[24:58] 就是說炒作它
[24:59] 大家要去修它骨子的話
[25:01] 就偏向比較動能
[25:02] 所以這個我可能自己就沒有辦法去盯
[25:04] 可是就我們的老習慣
[25:06] 因為我們有看到這個拿分量
[25:07] 我們注意到說這個常務相關
[25:08] 就最近都在動起來
[25:09] 那所以有可能就是在後面
[25:11] 會再出現一個全面性的上修
[25:12] 當然這也是
[25:13] 我覺得蠻有底氣的
[25:15] 因為確實我們現在看得到
[25:16] 這個CAPEX應該可以一路拉到2027
[25:18] 就沒有問題
[25:19] 所以前面在2023 2024反映的東西
[25:21] 可能在反映說現在
[25:23] 那當然現在反映的東西
[25:24] 可能就反映到2026 2027的東西
[25:25] 所以除了這個建廠跟這個裝置以外
[25:29] 反正就是在整個
[25:32] 你可以想象成說
[25:33] 先進製程封裝的一個擴散跟擴大
[25:36] 他有機會會用到的所有東西
[25:39] 跟各個環節
[25:39] 他可能都是後面會有
[25:41] 受惠機會的一個物件
[25:42] 所以這邊也稍微的
[25:43] 簡單跟大家分享一下
[25:44] 就是說我們從在
[25:46] chip vendor這一端也看到
[25:48] 他就跟你講說
[25:48] 這個東西是不夠
[25:49] 他們還要更多
[25:50] 這個就是bottleneck
[25:51] 這邊就是瓶頸
[25:52] 所以就驗證了
[25:53] 因為如果今天都是
[25:54] 像我們剛才前面講的
[25:55] 你是利害相關人士
[25:56] 你是細光子業者
[25:58] 然後你講細光子
[25:58] 大家可能不一定相信你
[25:59] 你是擴廠相關業者
[26:01] 你說有在大擴廠
[26:02] 大家不一定會信你
[26:03] 可是如果今天是別人講
[26:04] 你交叉比對對得起來的話
[26:06] 那可能就是有新的東西要出來了
[26:08] 那這邊簡單跟大家分享一下
[26:09] 好那接下來我們進入Q&A部分
[26:10] 好那我節目的前半段是在下午錄的啦
[26:13] 那下午出去走一走
[26:14] 突然就覺得說
[26:15] 還是再去看一場演唱會去好了
[26:17] 那即便我可能在開頭還跟大家講說
[26:19] 什麼想到要排隊
[26:20] 什麼就覺得很累
[26:21] 這不是什麼中年人可以做的事情但我還是去了那我覺得這一次就是比較熟門熟路了就已經完全對場地什麼都超熟悉所以呢反正就壓哨才進去那出來也是最快就搭上計程車
[26:33] 所以我就想說我們這種人就是這樣
[26:34] 你只要給我們觀察個幾次
[26:36] 一兩次之後一定就可以找到pattern
[26:39] 然後就破解它
[26:39] 那非常高興Radiohead他的歌單又換了
[26:42] 所以當然有很多首是重複的
[26:44] 但有一些前面沒有聽到的小遺憾
[26:46] 像是什麼Just的band Pyramid Song
[26:49] 全部都唱了
[26:50] 所以現在整個人是覺得非常開心
[26:52] 那我們現在就來回答一下
[26:54] 這個QA的部分
[26:55] 第一位
[26:55] 電腦他媽是電腦熒幕
[26:57] 我綠老頭啦
[26:59] 安卓您好
[26:59] 小弟和女友都是您的忠實粉絲
[27:01] 最近應徵國內教職
[27:02] 卻遇到歧視吐蕃學歷的問題
[27:04] 實在是不能夠理解
[27:06] 自己明明數字上的表現不比人差
[27:07] 卻用這種不能夠量化的標準打槍
[27:09] 奉勸各位猛攻寶貝們
[27:11] 有想在臺灣攻讀博士的人
[27:13] 還是趕快放棄吧
[27:14] 那之後可以請主持人
[27:15] 用性感唐老牙的聲音
[27:17] 唱生日快樂歌
[27:18] 不知道是怎麼唱
[27:19] 祝兩個月前的凱麗寶貝
[27:21] 10月7號生日大快樂
[27:23] 不懂
[27:25] 現在已經誇不出來
[27:26] 你有沒有聽到我聲音
[27:27] 其實跟早上比應該有點撒牙
[27:29] 因為剛剛這
[27:29] 媽真的太high了
[27:31] 那個just
[27:31] 然後street spirit
[27:33] 就是嘶吼到
[27:34] 這喉嚨沒有聲音的
[27:36] 祝他生日快樂
[27:37] 還有機師考試準備順利
[27:40] 那也祝他可以順利考上
[27:41] 祝主委全家幸福平安
[27:43] 好所以兄弟
[27:44] 請你不要氣餒
[27:45] 就是
[27:45] 此處不留爺必有留爺處
[27:48] 這個地方他不喜歡你的話
[27:49] 一定會找到適合你的地方
[27:51] 如果這個地方
[27:52] 他當時給你進去的話
[27:54] 他最後面一定會讓你不開心
[27:56] 所以很多時候都覺得這樣
[27:57] 道不同不相為謀
[27:58] 你不用去覺得說
[28:00] 即便不管是在這種工作事業上
[28:03] 還是感情上
[28:04] 就不要在第一時間就去思考說
[28:06] 是不是我的東西不夠好
[28:07] 就可能只是人家不懂得欣賞
[28:09] 所以如果你因為這樣子氣餒
[28:11] 或者說開始去講一些喪氣話的話
[28:13] 那是很奇怪的事情
[28:14] 你知道就算你今天是拿一個什麼楊博
[28:17] 就是你現在認為說
[28:18] 土博好像不如楊博
[28:19] 你搞一個楊博
[28:20] 還是有人看到你
[28:21] 你以為你很屌嗎
[28:23] 像以前那種當兵的班長
[28:24] 你們學歷這麼高還不是要給我電
[28:26] 所以難道你就講說學歷不重要嗎
[28:28] 反而去部隊還是要給班長電
[28:29] 不是嗎
[28:30] 你就是跟他是他媽的不同世界的人
[28:32] 所以有時候不用講太多
[28:33] 不用想太多
[28:34] 你換個環境就好了
[28:35] 下面一位
[28:35] 我留言被念三次
[28:37] 感覺被猛攻罵了
[28:38] 猛攻你好像飛機或是臺灣高鐵就算了
[28:42] 德國高鐵臨近車廂是有指定
[28:44] 一到兩節的寫明是silent zone
[28:46] 但還是會有快樂寶貝進來吵
[28:48] 講電話的大聲聊天的
[28:50] 擴音放音樂的
[28:51] 那最後還是隻能夠戴上抗噪耳機
[28:53] 怕吵或是對聲音敏感的人
[28:55] 是不是自己活該啊
[28:56] 常常在想這種基因
[28:57] 是不是根本就不該留在世界上
[28:59] 不是啊沒有那麼誇張啦
[29:00] 因為像我自己也是對聲音極度敏感的
[29:02] 我跟聽眾分享過很多次嘛
[29:04] 那種車內嘻嘻酥酥的聲音
[29:06] 什麼摩擦的聲音塑膠的聲音
[29:08] 然後或甚至是
[29:09] 就像說有人在那個
[29:11] 可能紙板上
[29:13] 然後手在那邊打節奏之類的
[29:15] 就是我聽到這種聲音
[29:16] 我就會超級敏感
[29:17] 然後聽久了就會覺得很煩躁
[29:19] 所以我還是活過來了嘛
[29:21] 雖然就是有時候會因為這樣子生氣
[29:23] 可是後來也慢慢學會去跟他共處
[29:25] 所以確實啊
[29:26] 就對聲音敏感的人
[29:27] 會在生活中會有一些不便
[29:29] 但是可以去做調節的啦
[29:31] 然後再講說會有一些快樂寶貝
[29:33] 什麼把音樂放在大廈
[29:34] 我跟你講就是全世界
[29:35] 他媽怪咖都有啦
[29:36] 到處都有
[29:37] 有時候就是
[29:38] 你當然可以選擇去態度矯正人家
[29:40] 以前的我就是會選擇
[29:41] 那種態度矯正人家
[29:42] 我就覺得說
[29:43] 媽的我不做誰要做
[29:44] 但我現在就是
[29:45] 已經過了那個時期
[29:46] 所以對
[29:47] 我就會帶上我的抗躁耳機
[29:48] 跟你一樣
[29:48] 下面一位
[29:49] 痛扁臭直長髮男
[29:51] 挨大再不選
[29:52] 我就要被女友墊死求你
[29:53] 挨大安安
[29:54] 我是三月有被挨大唸到
[29:55] 女友注瘦的臭直男友
[29:56] 這個我必須先讓孟公知道
[29:58] 前陣子女友常做春夢到老公
[30:01] 但他平常超哈
[30:02] 曹佑寧等級的帥哥
[30:03] 是不是代表我挨大
[30:04] 也是一線男偶像
[30:06] 那另外還有夢到
[30:07] 孟公開市夾燈
[30:08] 掛號隔一集
[30:09] 真的就被捱打點出來
[30:10] 可惜信仰不夠
[30:12] 女友也沒有買
[30:13] 但不論如何
[30:14] 還是要祝謝家人
[30:15] 能夠永遠平安健康
[30:16] 繼續帶來優質的節目
[30:18] 另外可以用
[30:19] 死了都愛的語音
[30:20] 包對1月4號生日的
[30:22] 痴漢女友
[30:23] 心電喊急說聲
[30:25] 不知道
[30:25] 一樣這個聲音啥啥
[30:27] 那個死了都愛一下
[30:28] 絕對是唱不出來
[30:29] 但我們先祝他生日快樂
[30:30] 然後再講說
[30:31] 這個做春夢夢到老公
[30:33] 這個是給人家那種
[30:34] 是給人家強了吧
[30:36] 就是我感覺說
[30:37] 如果做春夢夢到我的話
[30:38] 是一個蠻可怕的事情
[30:39] 對啊就還是去夢到像曹佑寧啊
[30:41] 阮今天這些的會比較好一點
[30:43] 那再來講說
[30:44] 開示家燈
[30:46] 我應該是沒有跟大家開示過家燈啊
[30:47] 但是家燈確實是有蠻多QA聽眾問到
[30:49] 然後上次不是有一個超級怪小
[30:52] 就是標題放什麼家燈
[30:53] 然後說要烤什麼牙醫系的那他媽怪卡
[30:55] 我後來有去買他推薦的飲料
[30:57] 還真的不錯喝
[30:58] 對後來家裡的冰箱就多一個成員
[31:00] 因為我飲料都這樣喝零卡的
[31:02] 零卡可樂
[31:02] 維他路P雪碧
[31:03] 紅牛
[31:04] 然後再多一個乳酸飲
[31:06] 那我非常感謝大家的推薦
[31:08] 那下面一位
[31:09] Rainman Lin
[31:10] 夢共我老公
[31:12] 略密碼測試
[31:12] 以愛大好
[31:13] 我是今年加入
[31:14] 捏軟正新的小菜集
[31:15] 五年前第一次跟老婆約會
[31:16] 車上就播著你的節目
[31:17] 現在想想
[31:18] 我們都覺得不可思議
[31:19] 12月17號
[31:20] 是我老婆臺中Linda的生日
[31:22] 希望你可以用
[31:22] 諾爾德語音包
[31:23] 祝老婆生日快樂
[31:24] 謝謝你把弟弟照顧得很好
[31:26] 我愛你
[31:27] 祝主委一家平安健康快樂
[31:28] 愛你為愛你
[31:29] 那個愛你為愛你是他寫的
[31:31] 但不是啊
[31:32] 那個為愛你我就會講
[31:34] 你們只要寫愛你就好
[31:35] 不用浪急
[31:37] 反正總之就是
[31:38] 非常感謝各位聽眾支援這麼久
[31:41] 這下來這個節目
[31:42] 已經要邁入第六年了
[31:43] 有時候想想都會覺得很不可思議
[31:44] 就是不知道怎麼可以
[31:45] 就這樣子就過了六年了
[31:47] 所以陪伴大家度過一些
[31:48] 生命中的時刻
[31:50] 也是我的榮幸
[31:51] 希望大家都平安健康
[31:52] 下面一位大豬豬
[31:54] 留言密碼好難抓
[31:55] 感謝主委製作優質好節目
[31:57] 矯正我許多股票的觀念
[31:59] 雖然時間過了
[32:00] 還是請主委幫我跟
[32:01] 11月23號生日的老婆小豬豬
[32:04] 說聲生日快樂
[32:05] 一定要身體健康
[32:06] 每天要開開心心
[32:07] 最愛你的大豬豬
[32:08] 那就祝主委一家和各位鼓友
[32:10] 身體健康一切順心
[32:11] 手上持鼓
[32:12] 噴高高
[32:13] 謝謝主委愛您
[32:13] 我給大家看一下那個夜盤的狀態
[32:16] 這個禮拜一應該大家一起去吃大便
[32:18] 但之後我們還是希望
[32:19] 大家都可以一起噴高高
[32:20] 那謝謝這位聽眾
[32:21] 也祝他的老婆小豬豬生生快樂
[32:23] 下面一位
[32:24] NNI2AK
[32:26] 剛分手就敲槍
[32:27] 沒有什麼是一發解決不了的
[32:29] 如果再有再多一發就好
[32:31] 那請問挨大
[32:32] 你是單眼皮
[32:33] 然後兩個寶貝眼睛比你大十倍
[32:35] 太誇張了
[32:36] 沒錯就是我的基因
[32:37] 在我的升職的這個過程之中
[32:40] 是完全沒有付出任何的努力
[32:42] 那這也是我每天非常感謝老天的部分
[32:45] 就是讓我的基因是呈現比較弱勢的
[32:48] 所以都被老婆的基因carry
[32:49] 希望是維持這樣的狀態
[32:51] 如果還有後面的話
[32:52] 也是這樣的狀態是最好了
[32:53] 下面一位
[32:54] 好燙的冰淇淋
[32:56] 喝著少冰的熱拿鐵
[32:57] 加上熱乎乎的涼麵
[32:59] 嗨節目裡總聽到
[33:00] Lisa會對男女關係吃醋生氣
[33:03] 那Lisa有什麼男女關係
[33:04] 讓你吃醋生氣過嗎
[33:06] 如果Lisa單獨跟異性出去吃飯
[33:08] 或是跟異性朋友出遊
[33:09] 你可以接受嗎
[33:10] 掛號認真好奇
[33:11] 不是啊
[33:11] 這是不是Lisa開假賬號來留言啊
[33:14] 你知道Lisa她很屌欸
[33:15] 她以前是會去註冊好幾個賬號
[33:17] 然後那種YT有人嗆我的
[33:18] 她會跑去嗆人家
[33:19] 用中文
[33:20] 那中文寫的比我更好更嗆
[33:22] 我懷疑這個是她自己跑來留言
[33:24] 那老實說
[33:26] 就是我老婆講的一句話
[33:27] 蠻中肯的
[33:28] 她說之所以我看起來
[33:30] 不像是一個會吃醋的人
[33:31] 是因為我根本就沒有任何的機會可以吃醋
[33:34] 因為他對於這個奮技的掌握非常好
[33:37] 然後甚至可以講說
[33:38] 他是有點討厭男生
[33:40] 他是討厭男生
[33:41] 然後再來就是他對人類本身好感就不高
[33:44] 所以他朋友也不多
[33:45] 真的是蠻機歪的
[33:46] 就是他是比較喜歡動物的那一種人
[33:48] 那很多時候他都會要我換位思考
[33:50] 他講說如果今天是我出去
[33:54] 就我是Lisa
[33:55] 如果是我出去
[33:56] 那我跟一堆男生什麼跑去吃飯
[33:58] 然後又會拍照
[33:59] 然後他們會傳訊息給我
[34:00] 那我又有什麼前男友會密我
[34:02] 然後密我的時候呢
[34:03] 又要一副就是好像說
[34:05] 不要讓你的老公知道我密你之類的
[34:08] 即便可能沒有明說
[34:09] 但感覺是這樣
[34:10] 因為老婆有個說法
[34:11] 她是說
[34:11] 女生其實都默默的在互相競爭
[34:15] 她說不管你們男生有沒有注意到
[34:16] 或是在不在意都不重要
[34:18] 但女生就是會默默的競爭
[34:20] 所以如果今天有一個女生
[34:21] 她認為她可以傳一些
[34:24] 可能比較私密
[34:26] 或是內心的一些訊息給你
[34:28] 她知道你有老婆
[34:29] 或是她知道你有女朋友
[34:30] 他還是敢這樣傳給你
[34:31] 那就代表說
[34:32] 他正在把另外一個女人踩在腳下
[34:35] 我說你他媽是不是韓劇看太多
[34:37] 但他說就是這樣
[34:38] 他說反正女生就是這樣子
[34:40] 女生是一個
[34:41] 充滿很多競爭行為的一種動物
[34:44] 本來他講我都不太相信
[34:46] 直到我近期滑FRED
[34:47] 我就發現說
[34:48] 最常為難女生的就是女人
[34:50] 這真的是我的小觀察
[34:53] 女人何苦為難女人
[34:54] 那種女人家
[34:55] 他不知道他自己有一些想法
[34:57] 他可能就想說
[34:58] 我在家做一些手作的東西
[35:00] 我想要照顧老公
[35:01] 幫老公煮個飯
[35:02] 然後就一堆女的去罵他
[35:03] 就在那邊狂幹
[35:04] 我想說
[35:04] 真的都是女生在罵女生
[35:06] 就女生跟女生之間
[35:07] 是不是有一個
[35:08] 非常強烈的競爭關係之類的
[35:09] 反正總之就是
[35:10] 他就跟我講說
[35:11] 因為我神經大條
[35:12] 我不知道人家這樣做
[35:13] 其實是在什麼
[35:14] 踐踏他之類的
[35:15] 所以就請我不要怎麼樣
[35:16] 怎麼樣怎麼樣
[35:17] 他就跟我去
[35:18] 設一些約法三章
[35:19] 後來我就去尊崇
[35:20] 那確實是我老婆
[35:21] 在這一點就做得很好
[35:22] 所以我基本上是
[35:23] 零吃醋機會
[35:24] 那他也沒有說什麼
[35:26] 跟前男友有發展到什麼
[35:28] 很後面的境界
[35:29] 都沒有
[35:30] 他唯一比較親密的
[35:32] 就是以前小時候
[35:32] 跟人家玩什麼大冒險的時候
[35:34] 親嘴嘴
[35:34] 就那一次
[35:35] 然後那一次還被我嘴
[35:36] 我就想說
[35:36] 你他媽的十幾歲
[35:38] 我們十幾歲在幹嘛
[35:38] 我們十幾歲在教室
[35:39] 每天都在教室
[35:41] 玩自修我們聽過
[35:42] 你知道什麼叫玩自修嗎
[35:43] 就是晚上不回家
[35:44] 你們兩點半要下課
[35:45] 我們媽的十點半
[35:47] 那還是家長去報名的
[35:49] 希望小朋友不要太早回家
[35:50] 校車的媽最晚一班九點半
[35:52] 故意拖到十點半
[35:53] 然後叫你們就坐在教室裡面唸書
[35:55] 即便真的沒有多少人在唸
[35:56] 可是就逼你們全部關在那邊
[35:58] 哪有時間跟你搞
[35:59] 他媽什麼男女關係之類的
[36:01] 但我後來發現說
[36:02] 就是還是有人在搞
[36:03] 只是我們就是以前國高中
[36:05] 那個發育沒有太好
[36:06] 所以就是沒有任何機會
[36:08] 但他國高中就跟人家玩大冒險
[36:10] 他媽在那邊親親
[36:11] 我想說是撒嬌
[36:12] 但就那樣而已
[36:13] 他說就是那一次
[36:14] 除此之外他也沒有任何什麼
[36:15] 所以對啊
[36:16] 我就是沒有機會去驗證
[36:18] 我到底是不是一個愛吃醋的人
[36:19] 但是他很多時候
[36:20] 他要我換位思考的時候
[36:21] 我就覺得說蠻生氣的
[36:22] 對我確實不能夠這樣做
[36:24] 所以我可能也是一個愛吃醋的人
[36:25] 下面一位
[36:26] 心盈準捏軟阿語
[36:28] 超音波看到小香腸的陰謀感
[36:30] 大家應該懂看到小香腸當下的複雜情緒
[36:33] 天底下應該沒有不想要女兒的爸爸吧
[36:36] 臭小子18歲就給我去從軍
[36:38] 把薪水拿回來孝敬你媽
[36:40] 希望愛到諾婭的聲音
[36:41] 祝福我最愛的孕媽咪
[36:43] 心盈阿妹宅
[36:44] 運氣跟寶寶一切順利健康
[36:46] 喲爸爸還是會愛你的啦
[36:47] 一起打電動打籃球
[36:49] 我跟你講一開始真的是這樣
[36:50] 只有第一胎諾婭的時候
[36:52] 那時候節目就有在錄了
[36:53] 我就跟大家分享
[36:54] 我當時的一個失落感
[36:55] 真的是很失落
[36:57] 然後失落到
[36:58] 就是我本來以為說
[36:59] 我老婆會稍微安慰我一下子
[37:00] 但是當我現在回想
[37:01] 我就很白痴
[37:02] 到底要安慰你啥小
[37:03] 可是我那時候真的很難過
[37:04] 然後老婆就跟你講說
[37:05] 你在這樣子
[37:06] 我下一臺跟別人生
[37:07] 所以怎麼講
[37:09] 就是真的是像你講的
[37:10] 因為每個人都想要女兒
[37:11] 所以當你看到一根懶叫
[37:13] 就是會從下面拍
[37:14] 兩個大腿
[37:15] 中間這一個
[37:16] 你一看就知道
[37:17] 那個就是懶叫
[37:18] 那個就是男生
[37:19] 第一個是真的非常失落
[37:21] 那到第二個的
[37:22] 其實就沒有什麼感覺
[37:23] 第二個反而說老婆有點失落
[37:25] 但她失落不是說她不想要男生
[37:27] 應該說她就是想要有一個女兒
[37:29] 那怎麼又一個兒子來報到
[37:31] 但還是覺得沒差
[37:32] 就下一個可能再試看看
[37:33] 如果下一個又是兒子怎麼辦
[37:35] 她覺得就算了
[37:36] 就是這是我們的命運
[37:37] 可是反而到第二個
[37:38] 是她自己有傾向說
[37:40] 如果是女兒的話更好
[37:41] 那我自己是覺得沒差
[37:43] 兒子也很好
[37:44] 像現在如果你過兩週
[37:45] 第三個也是兒子的話
[37:47] 我會覺得蠻開心的
[37:48] 因為我跟我的兩個兒子的互動下來
[37:51] 我是覺得兒子本身也是很好玩
[37:53] 當然女兒可能是像大家講的
[37:55] 你是難以想象你有女兒
[37:56] 媽媽一堆有女兒
[37:57] 整天在那邊跟我鬼吹
[37:59] 只是我自己在養育兒子的過程中
[38:02] 也獲得很多的快樂
[38:03] 所以像那時候去講的一些幹話
[38:06] 怎麼會把兒子送去斯馬庫斯
[38:07] 趕皮就給我去山上種田
[38:09] 後來都沒有發生
[38:11] 應該也不會發生
[38:12] 所以我覺得還是很開心
[38:14] 不要想太多
[38:15] 現在的小朋友
[38:16] 每個都是天上給你的禮物
[38:18] 那下面一位
[38:19] 挨大讚贊贊
