[00:00] 歡迎收聽股癌,我是孟恭,本期節目由NordVPN贊助
[19:06] 你就是看看就好
[19:06] 你知道在心中有底就好
[19:07] 然後後來看到新聞
[19:08] 可能不需要太害怕
[19:09] 那再來呢
[19:10] 有另外一篇報道
[19:11] 就是引用了這個
[19:12] 好像是South China Post
[19:13] 還是什麼
[19:14] 然後提到TPU
[19:15] 可能有一些避眼的狀態
[19:17] 那這個我覺得也是小事情
[19:18] 因為基本上Zeebra
[19:19] 就這樣track
[19:20] 那可能HUMU
[19:20] 就是會有一些調整
[19:21] 有機會就是可能往後一Q
[19:24] 或甚至是沒有往後
[19:25] 那這個它本來就是說
[19:26] 產品放量的一個階段
[19:27] 就是會有機會
[19:29] 會出現的一些動態
[19:30] 跟彈性的調整
[19:31] 那一樣就是因為前面都跌過
[19:33] 所以也不會覺得
[19:34] 這可能是一個大不了的事情
[19:36] 反正按現在的一個
[19:37] 狀況看來
[19:38] 不管是在MTK這裡
[19:40] 或者說在BRAKON這裡
[19:41] 大家的Roll Map都還是一樣
[19:43] 就算有一些時程上的調整
[19:45] 它應該也不是什麼大不了的事情
[19:46] 只是就是很訝異
[19:47] 最近怎麼突然間一堆人
[19:48] 要試著丟鬼故事出來
[19:50] 但這個盤看起來是沒有在屌鬼故事的
[19:52] 都是繼續的在網上充
[19:54] 再來在光通這邊
[19:55] 也有放一個消息出來
[19:56] 就是說在中國這邊
[19:57] 出貨的一些光通元件
[19:58] 未來是有可能被ban掉
[20:00] 這邊簡單來講
[20:01] 它的影響其實是比
[20:03] 想像中的會低滿多的
[20:05] 只是有可能後來
[20:06] 會有一些外交的論戰
[20:08] 有機會被當利空解釋
[20:09] 但純用產業的角度來看的話
[20:12] 就是在中國這邊的中繼續創
[20:14] 其實它出去美國的
[20:15] 就是大多數是用海外的工廠
[20:16] 那再來就是另外一家
[20:18] 可能是排比較後面的中細的廠商
[20:21] 那它其實也是一樣的道理
[20:22] 就是如果今天是for美國用的
[20:25] 基本上它都不會是從中國這邊出貨
[20:27] 所以中國這邊出貨的光通元件
[20:29] 會不會被美國造成一個封殺
[20:31] 然後導致說可能海外的
[20:33] 一些光通元件
[20:34] 有一個什麼爆發性的成長
[20:35] 目前看是除非他也把中國在海外的產能
[20:39] 也列入了封禁的清單裡面
[20:40] 不然影響是不大
[20:41] 那如果說真的造成影響的話
[20:43] 要比較擔心的是
[20:44] 因為中國這邊掌握了零化銀基板
[20:46] 算是蠻關鍵的一個supplier
[20:49] 所以中國這邊是有可能就類似當初的那個稀土事件
[20:52] 就如果你今天要卡我的話
[20:54] 那我就封你的稀土
[20:55] 那因為他道理是
[20:55] 如果你今天要去卡我的光通元件的話
[20:58] 那我可能我就去卡你的光通的上游的材料
[21:02] 我就卡你的零化銀或是有的沒有的東西
[21:04] 那就是有可能會造成一些震盪
[21:07] 但就我們看來
[21:08] 目前在產業上這種高速發展
[21:11] 且非常缺的東西
[21:12] 就算有一些動盪的產生
[21:15] 大家也會立刻的去做解決
[21:17] 因為這個影響太大了
[21:19] 甚至最近身邊有一些朋友的說法是
[21:21] 像NVIDIA跟Google的決勝點
[21:23] 可能就會比說
[21:24] 誰可以拿到更多的光纖
[21:25] 更多的光通元件
[21:27] 所以既然是一個決勝點
[21:28] 那你就知道說
[21:29] 其實美國是一個民選的政府
[21:31] 所以如果真的卡到某些東西
[21:33] 會造成很大的影響
[21:34] 你看前陣子老黃
[21:35] 我們就立刻的上書給軍王
[21:38] 告訴他說
[21:39] 要注意開源模型是必須要存在的
[21:42] 這個東西當然蠻大的一部分
[21:44] 是在為自己
[21:45] 或像是AMD這樣的GPGPU業者
[21:47] 去做一個結套
[21:49] 因為如果說你真的是
[21:50] 把開源的模型
[21:52] 中國的開源模型給封殺掉
[21:53] 你開始去讓他們不能夠去
[21:56] 在美國或是在外面的
[21:58] 其他世界發展的話
[21:59] 那就會導致對於這些產品的需求
[22:02] 會大量的下降
[22:03] 所以他們一定是不希望這種事情發生的
[22:05] 所以我會覺得這個事件
[22:07] 第一個就是說
[22:08] 純用產業面的角度來講
[22:10] 續創跟新一盛
[22:11] 在北美的營收的部分
[22:14] 都是在海外的工廠
[22:15] 不管是在泰國或是馬來西亞去做出貨
[22:18] 所以實質的打擊本身就是小的
[22:21] 因為是可以繞開
[22:21] 如果說進一步的升溫
[22:23] 它直接去封殺整個品牌的話
[22:26] 雖然不太瞭解它要怎麼樣做
[22:27] 但如果是這樣做的話
[22:28] 中國會反制
[22:29] 反制之後
[22:30] 可能我覺得很快的時候
[22:31] 會把它和諧掉
[22:32] 會把它戳掉
[22:33] 因為這個東西事關重大
[22:35] 他們是不會去
[22:36] 自己斷這一條腿的
[22:38] 這個嚴格上來說
[22:39] 它算是一個海外的利多
[22:42] 對中國算是一個利空
[22:43] 可是你去看一下
[22:44] 續創跟新一省
[22:45] 其實他們也沒有大崩
[22:46] 我覺得就是因為理性的資金
[22:48] 直到說
[22:49] 因為目前可能出北美的
[22:50] 他們並不是從中國這邊出過
[22:52] 所以影響是不會這麼大
[22:54] 或是說相信可能後面
[22:55] 都是有機會把它敲掉的
[22:57] 但這邊還是要去多多的關注
[22:59] 中國加一的各種變化的可行性
[23:04] 因為如果說今天對中國
[23:06] 有更多的元件的封禁的話
[23:08] 那一樣就是中國加一的廠商
[23:09] 都是有機會受惠
[23:11] 那只是在光通這一塊
[23:12] 比較特別的是
[23:13] 基本上光通中國算是掌握的
[23:16] 比較高階的那一塊
[23:17] 有很多是在中國這一邊
[23:19] 所以會變成初步判斷
[23:22] 因為畢竟你要去做出
[23:23] 這些伺服器
[23:24] 你就需要這些元件
[23:26] 所以對美國來講
[23:27] 利益還是大於弊
[23:28] 所以可能等到他們自己的廠商
[23:30] 可以有很好的上游的供應
[23:32] 然後或者說出貨順利
[23:34] 跟代數的發展都很順利的時候
[23:35] 就有機會對中國去做進一步的封殺
[23:37] 只是目前看應該也是一個
[23:39] 屬於在過程中的
[23:41] 這個小型的鬼故事
[23:42] 對中國廠商來講
[23:43] 然後對外國廠商來講
[23:44] 就是一個小型的利多
[23:46] 但是後面大家應該會發現說
[23:48] 這個事件除非有進一步的去列出
[23:51] 該怎麼樣去做處理
[23:52] 不然我們會認為
[23:53] 它比較偏向是一個
[23:54] 反正還在研擬中
[23:55] 實際上要去執行
[23:56] 是非常不容易的一個方案
[23:58] 那再來最近Parentier也開了一個非常不錯的財報
[24:01] 那我覺得這些東西
[24:03] 我都會稍微的看一下的一個主因
[24:05] 是因為其實這一波的大跌
[24:07] 如果你不是在搞半導體元件
[24:10] 或者是AI的infrastructure的話
[24:12] 蠻多人是感覺不到的
[24:14] 就像標普他現在是新高
[24:15] 他已經去摸新高了
[24:17] 然後再來就是加權指數
[24:17] 其實離新高也超近的
[24:19] 但如果說你手上有很多的半導體相關的類股
[24:22] 或是一些中小的話
[24:23] 才會感受到
[24:24] 就是這波你真的是摔成小狗
[24:26] 不然像我們自己都覺得說
[24:27] 這波回漲實在是有夠痛
[24:29] 但其實外面的世界
[24:30] 就是特別是沒有在重倉半導體
[24:32] 跟infrastructure的
[24:33] 他其實沒有感覺到這麼多的一個痛苦
[24:36] 所以像美國的指數之所以會漲得
[24:39] 看起來是非常強大的原因
[24:40] 是因為美國市場是一個非常多元的市場
[24:42] 他們就算今天在重殺這些
[24:45] 可能半導體或是一些supply chain
[24:47] 可是他同時有像是M7
[24:49] 你就注意到巨頭最近有蠻多都硬起來了
[24:51] 所以他們都會扮演一個撐盤的效果
[24:54] 再來就是軟體或是一些有的沒有的
[24:55] 甚至像是Healthcare也是過去撐盤的一個重點所以在美國這邊我們比較常常雜食就是每個東西都會稍微的看一下那台股这边会去追题材的原因是因为反正台股就是由电子股组成最主要就是电子股
[25:06] 那電子股裡面的題材輪來輪去
[25:08] 那美股的話就是一個
[25:09] 比較均衡的一個情形
[25:10] 那我們最近看到Paymentier
[25:11] 直接整個跳上去
[25:13] 我覺得就是一掃過去的陰霾
[25:15] 因為在過去真的太多人
[25:16] 不停的跟你強調說
[25:18] AI會把所有的軟體給幹了
[25:20] 那這個我們一直都是站在一個
[25:22] 反對的角色
[25:24] 雖然我們都明白
[25:25] AI一定會對產業造成一些影響
[25:27] 最簡單的一件事情就是
[25:29] 未來的所有軟體的輸出
[25:31] 它都是有成本的
[25:32] 它是有cost of goods的
[25:33] 這什麼意思
[25:34] 就是以前我可能做一個軟體
[25:36] 我做出來我就只是
[25:37] 我不知道就是古早年代
[25:39] 是我要花幾片CD
[25:40] 我要去複製
[25:41] 以前用什麼Nero還是什麼的
[25:43] 就是你要去燒錄軟體
[25:44] 那你要去做實體的光碟片
[25:46] 或什麼
[25:46] 那個就是你的成本
[25:47] 可是你軟體就是做一套
[25:49] 你就可以賣超多套
[25:50] 然後這個成本
[25:50] 其實都小到可以忽略
[25:52] 那在後來的這個
[25:54] software as a service
[25:55] 更是沒有這些實體的成本
[25:57] 所以基本上就是
[25:58] 以前我們講軟體是一本萬利
[25:59] 那現在的軟體
[26:01] 其實還算是一本很多利
[26:03] 只是它的成本就是會拉上去
[26:06] 因為其實每次的產出
[26:08] 特別是當跟AI
[26:09] 做一個深度的結合之後
[26:10] 它都必須要去跑一些算力
[26:13] 它都有token的消耗
[26:14] 所以對這些軟體公司來講
[26:16] 初步毛利受到一些擠壓
[26:18] 其實是蠻正常的一個情形
[26:20] 就是你要想象的是
[26:21] 你不可以再像過去那樣子賺錢了
[26:23] 然後再來就是純套皮
[26:25] 或者說單一功能的軟體
[26:27] 沒有去做資料整合的
[26:29] 可能就是會被淘汰
[26:30] 沒錯這個是對軟體的影響
[26:31] 但是要把software這個東西整個化掉
[26:34] 或甚至像馬斯克
[26:35] 其實馬斯克講這個我是不太認同
[26:36] 就我認同他蠻多說法
[26:37] 但這個說法不認同
[26:38] 就是他有一個說法
[26:40] 之前有提過
[26:40] 反正未來的軟體
[26:41] 可能我就直接捐一個
[26:42] 但這個是等於你沒有考量到
[26:44] 成本的一個前提之下
[26:46] 然後再來就是
[26:47] 可能每次捐出來的東西
[26:48] 還是有一些隨機性的存在
[26:49] 那這個在商務軟體
[26:50] 不能夠這樣做
[26:51] 你在日常就要說
[26:53] 我想要去建一個小gadget出來
[26:55] 然後去幫我
[26:56] 不知道整理一下財報或什麼
[26:58] 這個你自用是可以的
[26:59] 可是如果你今天是要走到企業端
[27:01] 你要有法尊需求的話
[27:03] 這個是不太可能的
[27:04] 你還是會需求穩定
[27:05] 所以我覺得一些那種
[27:06] 樣板式的東西還是要出來
[27:08] 就是你不可以接受太多的隨機性
[27:10] 所以其實軟體公司
[27:11] 你可以把它想象成是
[27:13] 有些那種功能很簡單的
[27:15] 他們就是被時代給淘汰掉
[27:16] 沒錯
[27:17] 這個市場已經做出一個結論
[27:18] 可是有些像是治安
[27:20] 過去一直被誤會的
[27:21] 而且很多都跑去新高
[27:22] 都是持續的越漲越多
[27:24] 即便在當下
[27:24] 像Mythos推出來的時候
[27:25] 重殺一波
[27:26] 然後再來就是
[27:28] 可能像是Pantheon
[27:28] 或是像Cloudflare
[27:29] 之前也是有一個論述
[27:31] 是講說
[27:31] 他們也都是會被擊敗
[27:32] AI可以繞過這些軟體
[27:34] 或是AI可以自己
[27:35] 建築這些軟體
[27:36] 後來發現說沒有辦法
[27:37] 因為畢竟AI
[27:38] 其實就是一個工具
[27:38] 它就是一個
[27:39] 我還真喜歡
[27:40] 聽眾的一個留言
[27:42] 所寫到的
[27:43] AI就是一個傳說廚具
[27:44] 一堆人聲稱有傳說料理
[27:46] 可是我們沒有看到
[27:47] 多少傳說料理
[27:48] 真的拿出來在市場上賣
[27:51] 真的沒有看到多少東西
[27:52] 所以像Parentier這個財報數字
[27:54] 當然我覺得已經是沒有意外
[27:56] 它本身就是開一個好的數字
[27:58] 但是重點是什麼
[27:58] 重點是市場願意去反映它
[28:00] 市場願意給它一個兩三成的漲幅
[28:02] 雖然我相信可能
[28:03] 蠻高比例在嘎空
[28:05] 因為真的太多人在上面空
[28:06] 但反正總之
[28:07] 在這個不管是美國
[28:09] 或者是說臺灣的市場
[28:10] 我們都去觀察
[28:11] 有沒有東西表態
[28:13] 什麼叫表態
[28:13] 所以表態就是說
[28:15] 這個族群過去不怎麼動
[28:16] 或者說他們其實在緩漲
[28:17] 可是突然間所有的人
[28:18] 都一起跳上去
[28:19] 市場的論述開始改變
[28:21] 這個我們就把它稱為是表態
[28:22] 就有可能是新一波的
[28:23] 那種大型波段的一個產生
[28:24] 特別是其實
[28:26] 以臺股市場來講
[28:27] 為什麼我會覺得
[28:28] 本來後面我會覺得相對保守
[28:31] 大概在一個月前
[28:32] 為什麼那時候會覺得相對保守
[28:33] 因為我們不知道
[28:33] 大概疊沙小
[28:34] 那是我們最害怕的
[28:35] 可是當我們知道說
[28:36] OK就是有人爆倉
[28:37] 後面的東西
[28:38] 其實沒有什麼太多的改變
[28:40] 我們會越來越穩健
[28:41] 就是會覺得說
[28:41] OK後面這邊
[28:42] 其實都還是可以相信
[28:43] 這個市場繼續做
[28:44] 當今天看到像是光通
[28:46] 這樣的東西
[28:47] 它是開始領跑
[28:48] 這其實是市場
[28:49] 一個算健康的現象
[28:51] 高估值的東西
[28:52] 大家還願意推
[28:53] 那既然高估值的天花板
[28:54] 可以推上去
[28:55] 就代表說其他人
[28:55] 都還是有更多上修的一個空間
[28:57] 那我覺得像Pen & Tear
[28:58] 就是扮演了
[28:59] 類似這樣子的一個角色
[29:00] 就是當他去做出
[29:01] 這樣的一個漲幅
[29:02] 當市場可以接受
[29:03] 他覺得是一個好公司
[29:05] 可是呢
[29:05] 到底可不可以
[29:06] trade這樣的一個價格
[29:07] 市場如果可以接受
[29:08] 他可以有這個價格
[29:09] 或亦或是像SpaceX
[29:11] 他其實開的成績
[29:12] 跟整個對未來的展望
[29:13] 我覺得也蠻喜歡
[29:14] 雖然他盤後面也是跌
[29:15] 但如果說這一類
[29:16] 就是高估值很貴的東西
[29:18] 那種精品型別的
[29:19] 然後他可以繼續的穩住
[29:21] 站在上面
[29:23] 然後往上推的話
[29:24] 那其實代表說
[29:25] 後面的各個peer
[29:26] 都是有一個上修的機會
[29:27] 所以我會覺得像Parentier這份財報
[29:29] 他在數字上面並沒有太多
[29:31] 就是會讓
[29:32] 沒有去研究這家公司
[29:34] 或者有研究這家公司的人
[29:35] 會那種怎麼樣
[29:36] 大開眼界
[29:37] 因為畢竟就是很好的數字
[29:38] 他一直以來的問題
[29:39] 就只是他太貴
[29:40] 但是他如果可以持續的
[29:42] 去撐住這個估值
[29:43] 而不是說談話一線
[29:44] 就噴一天
[29:45] 然後接著就是那種連路盤疊回來
[29:46] 類似之前Oracle那樣
[29:48] 那就會可以視為是有機會
[29:50] 其他人都是可以再去對標
[29:51] 這個估值往上求
[29:52] 特別是標普下在新高
[29:53] 那NASDAQ如果說這個趨勢展開
[29:56] 因為美股是這樣
[29:56] 它一般那種開始屌漲之後
[29:58] 他們比較難剎車
[29:59] 他們跟臺灣市場又有點不太一樣
[30:01] 那種敢愛敢恨
[30:02] 真的可以上去的話
[30:03] 就可以一直上去
[30:04] 就有機會就大家都會跟著去
[30:05] 把那個估值再往上調
[30:06] 所以本來在7月初以前
[30:10] 那時候對下半年的展望是樂觀
[30:12] 然後7月被殺到一個暈頭
[30:14] 我開始在懷疑說
[30:15] 是不是有房間大象
[30:16] 沒有注意到之類
[30:17] 然後後來確定是爆倉
[30:19] 然後跟看瞎盤面
[30:20] 一些高估值的東西
[30:21] 願意往上推
[30:22] 其實我會覺得
[30:23] 在後面看起來
[30:24] 應該都還是OK的
[30:25] 就即便說後面開始可能
[30:27] 因為畢竟短線是談很多
[30:28] 就算出現一些震盪一些喜
[30:30] 只要這些貴的東西
[30:31] 我覺得我的看點就是
[30:33] 貴的東西可以撐住的話
[30:34] 市場就沒有什麼大問題
[30:36] 所以大家知道
[30:37] 簡單跟大家分享
[30:38] 最近對於一些公司的
[30:41] 不管是它基本面的一些rumor
[30:42] 或是電話會議
[30:44] 然後跟盤面的一些看法
[30:45] 希望對大家有所幫助
[30:46] 那也希望大家都可以在接下來
[30:49] 這個新高的就繼續新高
[30:50] 還沒有新高
[30:50] 可以儘快的收復失土
[30:52] 大家經歷過了一個非常恐怖的盤面
[30:55] 還是要強調一下
[30:56] 這個真的是蠻恐怖的
[30:57] 因為7月呢
[30:58] 貴買是跌掉了
[30:59] 這個往三層去靠了
[31:01] 那到2022年呢
[31:02] 整年也就跌掉三十幾趴出頭
[31:04] 所以我們花一個月的時間
[31:05] 把中小跌掉
[31:07] 2022差不多一年的一個感覺
[31:09] 大家都活下來了
[31:10] 活下來是最重要的
[31:11] 那後面就是展開這個反攻的號角
[31:14] 希望一切順利
[31:14] 那接下來我們QA的部分
[31:15] 第一位Revival Rover
[31:17] 五股金城武尚
[31:19] 想請問一段
[31:19] 有沒有遇到那種
[31:20] 賣出必賣非
[31:21] 買進超高几率下跌的朋友
[31:23] 我被他搞得好害怕
[31:24] 是正常的嗎
[31:25] 遇到這種情況
[31:26] 是不是不跟他講持股
[31:27] 好好做自己的操作就好
[31:29] 這一題我是持相反意見
[31:31] 你更要讓他知道
[31:32] 然後你要從他的行為裡面
[31:33] 去判斷說
[31:34] 現在行情的狀態是怎麼樣
[31:35] 因為其實在我們自己
[31:37] 或者說身邊的朋友之間
[31:39] 大家其實都會有一些
[31:41] 那種反指標的存在
[31:42] 反指標的意思就是說
[31:44] 不是說這個人的判斷不行或什麼
[31:47] 甚至會很令人訝異的是
[31:49] 蠻多時候這些反指標
[31:51] 他們其實在產業面
[31:52] 或是在一些認知上是蠻有一套的
[31:55] 可是他在股票裡面
[31:57] 他就是一直會去做
[31:58] 跟盤面最後面走向相反的事情
[32:00] 為什麼
[32:01] 因為他會在可能
[32:02] 大家都已經很樂觀的時候才進去
[32:04] 就身邊真的有這樣子的人
[32:05] 就像一些那種產業圈的人
[32:07] 你一開始跟他講一些產業趨勢的時候
[32:09] 他都會跟你講說
[32:10] 他覺得那個東西不特別
[32:12] 他覺得那個東西很還好
[32:13] 我相信我講到這裡
[32:15] 一定一堆人心有慼慼焉
[32:16] 因為我們身邊一定都有這種人
[32:17] 然後接著等到
[32:18] 可能開始噴50% 100%
[32:20] 你就發現說這個朋友
[32:21] 他前面跟你講這個東西
[32:22] 沒有什麼特別
[32:22] 就他自己家買最多
[32:24] 因為他看到了
[32:24] 他終於在他的工作上看到了
[32:26] 因為股票有時候跑在前面
[32:27] 他開始狂買
[32:29] 然後他真的也是會先嚐到甜頭
[32:31] 然後接著就爆炸
[32:32] 然後爆炸的時候
[32:33] 他一般就是在高檔會探探探探探
[32:34] 然後接著就把所有的部位
[32:36] 基本上都是成本在三點上
[32:38] 然後接著等他賣掉之後
[32:40] 就開始爵士大狗談
[32:42] 因為這個相關案例
[32:44] 其實我們看過蠻多
[32:45] 我認為股市到最後
[32:47] 你會瞭解到
[32:48] 當你做了萬全的準備
[32:50] 你把機制都搞懂
[32:51] 配置搞懂
[32:52] 基本面搞懂之後
[32:54] 其實人性這關是很多人都過不去的
[32:56] 就是說當你發現你可以賺錢的時候
[32:58] 你是不是就會想要一直加大
[33:01] 甚至去借錢去開槓
[33:02] 當你發現你賠錢的時候
[33:04] 你是不是就會想要
[33:05] 立刻的把所有東西砍掉
[33:06] 然後還自己那種
[33:07] 無事一生輕的感覺
[33:09] 那光是要對付這樣的一個感受
[33:11] 其實很多人就要花好幾年的時間去做適應
[33:14] 甚至到現在我們自己都還在修煉中
[33:16] 所以這個是蠻不容易的
[33:18] 那當你發現身邊有這樣子的人的時候
[33:19] 請好好的愛惜並支援他
[33:21] 那他如果今天肚子餓的時候
[33:23] 就多買幾個便當給他吃
[33:24] 但是務必請他跟你分享
[33:26] 就下這個盤面的狀況是怎麼樣
[33:28] 好大概這樣
[33:29] 下面一位
[33:29] 現在幾點
[33:30] 我覺得孟恭很帥
[33:31] 留言嘗試到看學測前
[33:33] 我們覺得被唸到
[33:34] 孟恭去搞好
[33:35] 到底為什麼17歲那麼想要做愛
[33:37] 還有你第一次是什麼時候
[33:39] 那如果可以回到17歲
[33:40] 會想要改變什麼
[33:41] 每日一發真的不行嗎
[33:43] 都會被同學笑
[33:44] 如果不看臉的話
[33:45] 我不知道
[33:47] 這個應該不是真的17歲
[33:49] 因為你知道
[33:50] Spotify的留言
[33:50] 是可以看到大頭貼
[33:51] 然後大頭貼就是一堆股票綠綠的
[33:53] 這樣
[33:54] 所以這應該是一個
[33:55] 假裝自己是17歲的那種地方肥宅
[33:57] 可能住在他媽地下室之類的
[33:59] 那你說17歲怎麼想要住
[34:01] 我覺得那很正常吧
[34:02] 因為在那種青少年時期
[34:03] 不是那種搞過同噴發的時期嗎
[34:05] 所以你知道以前會這樣
[34:07] 就那種女朋友你看到她
[34:08] 那就直接
[34:08] 就整個就硬到爆
[34:10] 硬到你蛋蛋會痛
[34:11] 你們有這種感受嗎
[34:12] 你們知道
[34:12] 就是假設你硬超久的話
[34:14] 是硬到蛋蛋會痛的
[34:15] 那是很年輕的時候會這樣
[34:17] 然後後來長大一點
[34:18] 其實像這樣子的體驗就越來越少
[34:20] 我只能夠說
[34:20] 就是當你還有這樣的體驗的時候
[34:22] 就好好把握
[34:22] 但當然不要去做一些
[34:24] 違反人家意志的事情
[34:26] 這一定是要兩情相悅
[34:27] 如果兩情相悅
[34:28] 你們想要每天搞
[34:29] 也是OK
[34:29] 下面一位
[34:30] 大安森林
[34:31] 諸位你好
[34:32] 這波下跌在上禮拜四
[34:33] 受不了停損
[34:34] 結果爆噴沒幾天噴了5000點
[34:36] 我是不是不適合玩股票可以罵我嗎
[34:40] 這就是我們講的
[34:42] 這個就是可能像上面那個
[34:44] Revival Rover的朋友
[34:46] 就是你後來發現說
[34:48] 其實蠻多人爆腸
[34:50] 或者說受不了停損
[34:52] 然後跟賣出噴飛的那個點
[34:54] 都很類似
[34:55] 為什麼
[34:56] 因為就是會洗到
[34:57] 你知道就是那種生無可戀
[34:59] 然後剩下的都是
[35:00] 老實講
[35:01] 你再往下洗
[35:02] 他們也不會賣了
[35:03] 他們要不是腳麻了
[35:04] 就是成本太遠
[35:05] 不想看的
[35:06] 然後這時候就是會出谷底
[35:08] 然後開始噴
[35:08] 可是就是等到這些槓桿
[35:10] 全部被洗掉之前
[35:11] 就是不太會噴
[35:12] 他就一直疊一直疊
[35:13] 所以最近在X上面
[35:14] 就有看到人家在調侃
[35:16] 那個situational awareness
[35:17] 我覺得沒有什麼意義
[35:18] 因為他一定還是會
[35:19] 募到很多錢
[35:19] 相信我像這樣子的人
[35:21] 一定超多人會再掏錢給他
[35:22] 要他東山再起
[35:23] 但反正總是有人調侃他說
[35:25] 如果他可以再多撐兩天
[35:27] 他就可以看到現在
[35:28] 我跟你講那個人
[35:28] 他一定寫錯
[35:29] 他如果再多撐的話
[35:30] 就是再繼續殺
[35:31] 就是會殺到
[35:32] 那個有點像他說
[35:33] 不知道冥冥之中的吧
[35:35] 因為我們後來
[35:36] 也是說長期看下來會知道
[35:38] 就是會把那些
[35:39] 死不認輸的硬凹的
[35:41] 整個都炸掉
[35:42] 讓他已經是心灰意冷
[35:43] 然後接著就會噴出
[35:45] 噴出之後
[35:46] 像我們這波身邊蠻多朋友
[35:47] 也很壞了
[35:47] 都還在互相問
[35:48] 只是我們現在
[35:49] 因為怎麼講
[35:50] 就是說大家也都長大了
[35:51] 所以我們身邊那種
[35:52] 就是純動能
[35:53] 然後都對部位
[35:54] 沒有任何信念的人
[35:55] 是越來越少
[35:56] 所以有時候都要
[35:56] 透過幾層朋友去問說
[35:57] 你們那邊少年古城
[35:59] 好像把少年古城
[36:00] 當一個貶低的話
[36:01] 你那邊少年古城
[36:02] 那邊剛趕宅下開始做多美
[36:03] 然後就發現說
[36:04] 這波其實超多人都還沒有上車
[36:06] 就大家都還在等
[36:06] 就前面那種受到傷害都還在等
[36:08] 那就是有可能會再繼續噴
[36:10] 一般都是長這樣
[36:10] 所以像前面那一種
[36:12] 就是把大家洗刀爆掉再開走
[36:15] 這個也是很常見的事情
[36:16] 那重點就是說
[36:17] 下次要怎麼樣
[36:19] 不要被洗刀爆掉
[36:20] 所以有兩種做法
[36:22] 一種做法就是
[36:23] 你可能下一次就是要更加的
[36:25] 去尊重一些技術面的指標
[36:27] 也就是說
[36:27] 今天一些東西跌破軍線
[36:29] 或什麼的就直接砍掉
[36:30] 你就不用變成說
[36:31] 因為你知道其實後來很多東西都是
[36:33] 它早就已經破線一直在往下
[36:34] 你就只是凹到某個心理的關卡
[36:37] 過不去之後你就把它賣掉
[36:38] 可是這時候其實是一個不理性的操作
[36:40] 你反而去對著一些均線做
[36:42] 那還是相對理性的一個操作
[36:44] 要麼就是說類似這種panic early的做法
[36:46] 反正今天就是有東西跌破什麼位置
[36:48] 那我就把它砍掉
[36:49] 那要麼就是說
[36:50] 要把這個配置的觀念弄進去
[36:52] 就是說一定會有東西摔得比較重一點
[36:55] 可是也會有東西起來的很快
[36:56] 那你透過再平衡的方式
[36:58] 透過單一部位的佔比不要太高
[37:00] 是比較扛得住
[37:01] 然後再來就是儘量的去降低槓桿的使用
[37:04] 當你今天槓桿開得越大
[37:05] 你對波動的耐受度就會越低
[37:07] 那我個人是認為說
[37:09] 在市場裡面是一定要去接受
[37:10] 波動這件事情的
[37:11] 所以當你今天特別是
[37:13] 假設是在相對的早期
[37:15] 發現說你的部位被洗掉的話
[37:17] 它對你來說不一定是一個壞事
[37:19] 因為下次你一定就會掌握得更好
[37:21] 所以這不是不會做股票
[37:24] 這應該就是說經驗不足就會這樣子
[37:26] 那后来一定会学会这是一定会学会因为没有学会的话就是很难存活下去下面一位艾爾文孟恭吉好因为密码测试我是在西雅图香蕉厂工作的工程师我跟女友长期美国台湾远距离
[37:39] 在她的強烈推薦之下
[37:40] 我每一集都有認真收聽
[37:41] 我的女友生日8月22快到了
[37:43] 可以請猛公送她四個字嗎
[37:45] 寫賺大賺
[37:48] 你看差很多
[37:48] 前面的四個字
[37:49] 我都只會想到賠錢的東西
[37:50] 我現在就是想到那種賺錢的東西
[37:52] 祝福安哥諾亞平安長大
[37:54] Lisa永遠美麗
[37:55] Choco不要幹你孃
[37:56] 我們公積效報社
[37:57] 讓我們祝拜二十號的女友生日快樂
[37:59] 這是來自於西雅圖香蕉廠的男朋友艾爾文
[38:02] 下面為皮炎癢癢的是不是長痔瘡
[38:05] 嗨 孟恭起卡有個疑問想請教
[38:07] 在GG法說會暴跌後的反彈
[38:10] 孟恭你判斷為人道走廊
[38:12] 但7月31號禮拜五反彈3000點
[38:15] 孟恭你是判讀為下星期的動能
[38:17] 有機會將大盤帶上去
[38:18] 那為什麼這兩個反彈都是反彈
[38:21] 可是判讀上給出截然不同的結果
[38:23] 想知道你是怎麼判讀的
[38:24] 關號GG法說會反彈
[38:26] 因為大盤現行
[38:27] 還是有許多大均線在上頭
[38:29] 但7月31號反彈
[38:30] 也是有同樣的大均線在上頭
[38:32] 為何判讀會不同愛您
[38:33] 這個其實就是在市場上
[38:36] 我覺得比較難去修煉的一塊
[38:37] 當一開始可能還不懂的時候
[38:40] 會覺得怎麼你的說法
[38:42] 跟前幾天不一樣
[38:43] 但因為那個盤面都是
[38:44] 整個是動態在跑的
[38:46] 據來說那時候跟現在的差別是什麼
[38:48] 差別在你知道說
[38:50] 原來是有一個傢伙爆倉了
[38:51] 而且他背後隱含的資金是很大的
[38:53] 一堆人都跟他在做一樣的事情
[38:55] 那再來就是你知道說
[38:57] 像韓國的槓桿
[38:58] 或者說臺灣的槓桿
[38:59] 那個融資也是在那段時間去大減
[39:01] 所以那時候的判斷會跟
[39:04] 就是前面
[39:04] 當你沒有這些資訊的判斷
[39:06] 是不一樣的
[39:07] 但我覺得這邊其實就是劃分的
[39:09] 你有沒有辦法
