[00:00] 歡迎收聽骨癌,我是聖夢宮,本集節目由iHerb贊助
[18:39] 就像說像現在推出這個V7的Ironwood
[18:42] 其實本來在內部的一個call name是V6P
[18:45] 就大家也是把它當V6
[18:46] 不然說在代工廠這邊
[18:47] 大家也是把它稱為是V6
[18:48] 那只是最後面它把它稱為是V7
[18:51] 所以我們現在都是以Google的稱號為主
[18:53] 那如果說Ironwood是V7的話
[18:54] 那之前大家所討論的就是
[18:57] 後面會有一代是
[18:59] Blockhound是做整個晶片
[19:00] 然後再來就是Google會去做Manchip
[19:03] 然後再來MTK會去做IO的
[19:05] 這一代就會變成是V8
[19:06] 就是本來大家講的V7P跟V7E
[19:09] 其實現在在Google的一個命名的次序下
[19:12] 會變成是V8P跟V8E
[19:15] 那下一代V9
[19:16] 其實也已經是在ongoing的一個狀態
[19:19] 所以如果要有任何的搶單
[19:20] 或者說各種奇怪的狀況發生
[19:22] 應該會發生在V10
[19:23] 也就是更後面的一個代數
[19:25] 那前面所提到的EMIB這個封裝
[19:28] 可能就是會落在V9這一邊
[19:30] 所以這邊稍微的跟大家簡單分享一下
[19:33] 那我還是認為
[19:34] 就是有機會在下禮拜
[19:36] 或者說這個週末
[19:37] 如果說OpenAI有端出東西的話
[19:39] 這個Google的supply chain
[19:40] 如果說OpenAI的東西很好的話
[19:42] 就有機會有一個情緒上的反應
[19:44] 那當然我們現在的做法
[19:46] 其實都比較偏向是為所留
[19:47] 過去可能是比較偏去追右上
[19:50] 只是我最近就發現說
[19:51] 追右上很常被教訓
[19:52] 但我們買的東西
[19:53] 都還是會以多頭的結構為主
[19:54] 只是就比較不喜歡去追最右上的地方
[19:57] 至少我是這樣
[19:58] 可是我身邊有時候手上聽到朋友
[19:59] 他們說我不管
[20:00] 怎麼樣都知道
[20:01] 一直去買那個最強的股票
[20:02] OK那我就會把它調整成
[20:03] 特別是我這樣調整
[20:04] 我覺得還蠻不錯
[20:05] 像最近去接交換季相關的某臺股大廠
[20:09] 也是前面大家死命追
[20:11] 然後突然都不要亂丟
[20:12] 然後後來買完之後
[20:13] 開始就去上修報告
[20:15] 我覺得還蠻爽的
[20:16] 就是去買這種
[20:17] 稍微有一點拉回的時間點
[20:19] 會是我做的
[20:19] 只是這種拉回的時間點
[20:22] 一般可能會搭配一些事件上的話
[20:24] 會比較有機會會回的深一點
[20:26] 所以觀察一下
[20:27] 如果說在接下來的
[20:29] 就是OpenAI這邊
[20:30] 如果出了一個蠻不錯的模型
[20:32] 市場要去做反應的話
[20:33] 那可能就可以稍微注意一下
[20:34] 在Google這邊
[20:35] 要記得當時大家自己所說的話
[20:37] 大家都覺得Google很好
[20:38] 不要說OpenAI突然丟個東西
[20:40] 然後大家突然就說什麼Google不好
[20:41] 就儘量不要在基本面上面去做
[20:44] 我們上集所提到的
[20:45] 基本面隔日重
[20:46] 或基本面隔週重
[20:48] 很奇怪
[20:48] 因為基本面其實不會在短期內
[20:49] 發生這麼巨大的改變
[20:50] 那都是大家的人心上的改變而已
[20:53] 同時就是有可能會伴隨
[20:55] 這發出來的一些什麼TPU強單的言論
[20:58] 我們在這邊先跟大家去做說明
[21:00] 但後面可能才會有一些討論出來
[21:02] 到時候就知道說
[21:03] 這個東西可能是一個Lumer
[21:04] 確實有機會有一些合作的方案產生
[21:07] 只是這個合作方案
[21:08] 可能不是TPU這一顆晶片
[21:10] 這個稍微簡單來跟大家分享一下
[21:12] 最後面稍微來跟大家聊一下
[21:14] 自己在軟體股裡面的一些心得
[21:16] 之所以會突然間想要拿出來聊一下
[21:18] 是因為我裡面的其中一個持股
[21:20] Confluent
[21:21] 那也算是我把它稱為是軟體股支援
[21:24] 就是在整個軟體組合裡面
[21:26] 算是表現的很差的一個
[21:28] 那講實際上很差
[21:29] 那以現在被IBM收購的狀況來講
[21:31] 也是拿了大概二十幾%三十%左右
[21:33] 但就還是不太好
[21:35] 因為如果你相較於Pentier的話
[21:36] 最高是有到八九百%
[21:38] 然後如果是Cloudflare的話
[21:39] 也是有個三五百%這樣子
[21:41] 所以它在這個組合裡面確實是不太好
[21:44] 但如果是用整個組合的角度來看的話
[21:46] 算是一個非常好的組合
[21:48] 這個軟體組合真的算是在過去
[21:50] 幫我帶來了蠻多的收益
[21:51] 那現在被買了
[21:53] 當然就直接把它清掉了
[21:55] 那只是心中會有一點惆悵
[21:57] 跟有一點感傷
[21:58] 因為本來自己那時候的想法
[22:00] 是認為說
[22:00] 它有機會會是最標的股票之一
[22:02] 那個是單純的用
[22:04] 就是我去意淫它未來的一個
[22:06] 策略佈局的角度
[22:08] 然後再加上它的market cap
[22:09] 因為相較之下
[22:10] 它可能是市值比較小的
[22:11] 它跟CloudFare的市值是
[22:12] 怎麼樣
[22:13] 因為CloudFare現在是漲很多
[22:14] 那還沒有漲之前
[22:15] 就是可能是比較接近
[22:17] 那Payant也是一個比較大資的股票
[22:18] 所以老實講
[22:19] 如果說回聽可能當時的節目的話
[22:21] 我的評論應該是會比較偏向
[22:23] 但我也忘記我那時候講什麼
[22:24] 但反正我評論應該是比較偏向說
[22:26] Pentium應該是不會漲那麼兇
[22:28] 甚至我那時候在七八十塊的時候
[22:29] 就開始在那邊倒貨
[22:30] 因為我都覺得說
[22:31] 太誇張了
[22:32] 怎麼可以噴成這樣
[22:32] 市值蠻大的東西
[22:34] 它可以這樣子噴
[22:35] 反而一些那種
[22:36] 我覺得可能比較該噴的
[22:38] 或者說有機會會
[22:39] 怎麼講
[22:40] 因為它的規模小
[22:41] 所以如果營收跟獲利進來
[22:42] 會灌很大的公司
[22:43] 像是Confluent
[22:45] 然後跟臺灣的一個軟體股
[22:47] 他們的表現就是相對差
[22:49] 所以這真的是算是顛覆我當時的想象
[22:51] 當時就覺得說小的應該比較噴
[22:52] 然後大的會小噴
[22:54] 然後整體來說會賺錢
[22:55] 那現在整體來說呢
[22:56] 其實算是蠻賺錢
[22:57] 只是說跟自己的預期有很大的一個落差
[23:00] 那為什麼會有這麼大的一個落差
[23:01] 還是有辦法抱住呢
[23:02] 真夠說這個也算是可能在過去幾年的一個修煉
[23:06] 就是慢慢的開始理解到說
[23:08] 怎麼講
[23:09] 就是用講的大家都會
[23:11] 就是股票最大的獲利都是爆出來的
[23:13] 然後或者說一些統計資料
[23:14] 他們有發現嗎
[23:15] 是哪一個Fidelity嗎
[23:16] 哪一家
[23:16] 然後他講說
[23:17] 他去看他的旗下客戶的
[23:19] portfolio裡面表現
[23:20] 然後表現最好的那一群人
[23:22] 都死掉了
[23:23] 那什麼意思
[23:24] 不是說他死掉了
[23:25] 會操盤
[23:25] 是說因為他死掉
[23:26] 他東西放在那邊
[23:27] 他都沒有動
[23:27] 所以反而他表現最好的
[23:28] 當然有些人會講說
[23:29] 這可能是倖存者偏差
[23:30] 有些東西表現不好
[23:32] 或是說有些人
[23:33] 他可能買到垃圾
[23:34] 然後報到下市之類
[23:35] 但這個是人家統計資料
[23:36] 就是說整體看起來
[23:38] 那種表現最好的那一群人
[23:39] 是buying hold的那一群人
[23:41] 所以特別是我們在
[23:42] 近年的市場裡面
[23:43] 身邊有些朋友跟我討論
[23:45] 有些講到
[23:45] 那些AI的Big Names
[23:46] 其實都是說
[23:47] 你在2023年就知道這些東西了
[23:49] 那只是為什麼你都沒有報出
[23:50] 因為可能過程之中
[23:51] 發生一些事情
[23:52] 或是可能像
[23:53] 前面聊到的Marvel
[23:55] 就整天我要搶單
[23:56] 我要什麼
[23:56] 所以你可能就嚇到
[23:57] 你就砍
[23:58] 或是可能什麼AWS
[23:59] 要用誰的東西之類的
[24:00] 改來改去
[24:01] 然後弄來弄去
[24:02] 然後最後發現說
[24:02] 就你在過程中
[24:03] 整天擔心受怕
[24:04] 然後追高殺低
[24:05] 搞來搞去
[24:06] 你那個報酬率
[24:07] 可能不會比你報者
[24:08] 還來得好
[24:09] 當然一定有些人
[24:10] 還是會講說
[24:11] 這可能是倖存者偏差
[24:12] 如果你報到錯了怎麼辦
[24:13] 所以我就講說
[24:13] 你要有這樣的一個底氣
[24:15] 其實你要先有驗證過
[24:16] 也就是說你驗證過
[24:17] 你眼光是還OK的
[24:18] 那你才有資格去講說
[24:19] 所以我可以試看看
[24:21] 報長一點
[24:21] 所以我現在做法
[24:22] 比較偏向是
[24:23] 我去拉一個配置
[24:25] 就我在配置裡面
[24:26] 還有小配置
[24:27] 類似說自己去組的
[24:28] 那種小ETF
[24:29] 這個可能是一個
[24:30] 就像我現在在美股的
[24:32] 一個光通
[24:32] 我就是Lumentum跟Cohelion
[24:35] 當然是一堆人
[24:35] 都做這樣的事情
[24:36] 只是我也跟大家一樣
[24:37] 反正這兩支就很明顯
[24:38] OCS東西用他們的
[24:40] 所以我們就買它
[24:40] 如果今天是軟體的話
[24:42] 那我可能就三支
[24:43] 就是Confluent跟Panthear
[24:45] 然後跟Cloudflare
[24:47] 那可能當然也有試看看一點
[24:48] HubSpot跟Salesforce
[24:50] 可那個就是佔比不會太大
[24:52] 那比較大的就是這幾家
[24:53] 然後跟臺灣的軟體股
[24:54] 就拉一個組合
[24:55] 那有時候發現說
[24:55] 拉一個組合的好處就在於說
[24:57] 你看就是裡面可能有些東西
[24:58] 表現得比較差
[24:59] 可是你還是有機會抱著它
[25:01] 然後獲得收益
[25:02] 即便那個收益老實講
[25:03] 因為它收的價格算下來
[25:05] 其實就是賺格大概二三十趴
[25:07] 但跟其他比是很爛沒錯
[25:09] 可是你要想
[25:10] 如果今天是走另外一種劇本
[25:12] 他搞不好是有機會碰很多的
[25:14] 那只是因為你在過程中
[25:15] 你可能嫌他慢
[25:16] 或者說嫌他爛之類
[25:17] 你就把他砍掉
[25:17] 那你就沒有辦法賺到這個錢
[25:19] 當然這些東西聽起來
[25:20] 可能都是有一些事後論
[25:22] 但我覺得
[25:22] 最後沒有想到一個
[25:24] 比較好的方式去詮釋這件事情
[25:25] 就是我們去做交易做投資的一個最終目的就是要去改善生活然後改善生活其實不是只是在講說錢多不然說你的生活也希望優雅一點你不要整天在那邊盯盤盯到什麼眼睛出問題之類的或者說體力很差
[25:38] 或像我之前跟大家分享說
[25:39] 我去歐洲都整天在熬夜
[25:40] 我不想要這樣
[25:41] 我想要過一個
[25:42] 可能就是比較舒適的生活
[25:44] 就不想要整天這麼拼
[25:45] 所以有沒有可能折中
[25:47] 就是我去用一些方法
[25:48] 讓我不要這麼累
[25:49] 搞不好那個報酬率還會更好
[25:50] 不一定
[25:51] 像那時候在2024
[25:52] 有跟大家分享
[25:52] 如果2024我的NVIDIA
[25:53] 一股都沒有賣的話
[25:57] 操作器也算是蠻不錯
[25:58] 換來換去就有賺到錢
[25:59] 可是其實是不會比得上
[26:01] 就是你就是直接在裡面站著
[26:03] 那當然一樣
[26:04] 我講這個我都知道
[26:05] 一定有人會講說
[26:05] 倖存者偏差
[26:06] 如果你今天剛好是報到英特爾的話
[26:08] 你就不會這樣說了
[26:08] 但我們就是因為經過了多年的驗證
[26:11] 然後發現說
[26:11] 可能自己的眼光還OK
[26:12] 除非就是可能有一天
[26:14] 市場他不走科技股
[26:15] 那可能覺得受傷
[26:17] 那如果說他還是在走科技股的話
[26:18] 那眼光是可以的
[26:20] 所以是可以接受說
[26:20] 有些東西就是應該要抱著
[26:22] 那你抱著可能可以帶來一些
[26:23] 意想不到的收益
[26:24] 那所以在這個當下
[26:26] 其實是心中有點那種百感交集
[26:28] 就是一個你自己會覺得說
[26:30] 是你部位裡面的軟體股支援的東西
[26:32] 然後接著被這個IBM買去
[26:34] 那感覺有點像是說
[26:35] 之前我也蠻喜歡茂達這家公司
[26:37] 然後後來被國巨買去
[26:38] 然後在國巨買去之前
[26:39] 就是我跟大家講這家公司
[26:40] 大家想說牛皮垃圾
[26:42] 買這種東西幹嘛
[26:43] 可是你看泰銘哥是喜歡的
[26:45] 所以你看IBM是喜歡的
[26:47] 所以並不是說你錯
[26:49] 就只是說可能在當下
[26:50] 因為絕大多數人的一個判斷的
[26:52] 衡量標準就是看你的股價
[26:53] 就是說你不要跟我講那麼多
[26:55] 我看你股價有沒有動
[26:56] 你跟我講這個東西很好
[26:57] 股價沒有漲
[26:57] 這就是一個廢物
[26:58] 當然以前我們也曾經
[27:00] 這樣子一個人
[27:00] 就非常非常動能
[27:01] 只是後來
[27:02] 當然自己身邊朋友有蠻多
[27:03] 他們可能以前也是鎖漲停
[27:05] 或者說做超短
[27:06] 他們也開始去轉一些長線的部位
[27:07] 會去看一些基本面
[27:09] 然後不會這麼容易的人云亦云
[27:10] 就是你開始隨著大家一起成長之後
[27:12] 你也發現說
[27:13] 有時候就是去買一個
[27:15] 就是不錯的東西
[27:16] 好的東西
[27:16] 然後就暴折
[27:17] 你不確定是不是每一把都會贏
[27:19] 可是長期來看
[27:20] 就整個組合加起來
[27:23] 就是繼續放著就好
[27:24] 那Renticool的想法
[27:26] 我覺得還是跟
[27:27] 就是當時買進的理由是差不多
[27:29] 那只是我必須得說
[27:30] 就是有些東西
[27:31] 是有那種時間差的問題
[27:32] 像Panty它算是很快
[27:34] 就直接帶來很不錯的營收跟獲利
[27:36] 所以我覺得它漲的算是實至名歸
[27:37] 只是真的漲很多
[27:38] 漲有點過頭
[27:39] 我覺得漲過頭
[27:40] 所以那時候有講說
[27:41] 像是大賣空Michael Burry
[27:45] 他去放空什麼Invidia跟Panty
[27:47] 我覺得說Invidia它一定是空錯
[27:49] Panty有機會可以
[27:50] 即便這個是我持股
[27:51] 但我知道它太貴
[27:52] 那像Confluent的話
[27:54] 其實它漲不多也是合理的
[27:56] 因為後來那個營收穫利
[27:57] 是沒有開出來
[27:58] 它是真的沒有開出很好的成績
[28:00] 所以有點像是說
[28:00] 就算你可能買了這個故事
[28:02] 有機會是對的
[28:03] 可是至少它就不是下了發銷
[28:04] 所以嚴格上來說
[28:05] 這是一個沒有這麼好的一筆投資
[28:08] 只是剛好就是被IBM給收走
[28:10] 所以就是變成了
[28:11] 還是是獲勝的狀態出場
[28:13] 那目前整個軟體配置
[28:15] 看下來就都還不錯
[28:17] 就是都是有賺到錢
[28:19] 那即便可能有些
[28:19] 在過去表現不怎麼好的
[28:21] 然後最近也稍微的有一些起色
[28:23] 所以心得就是
[28:25] 有時候或許就是等待吧
[28:26] 就是我覺得我在接下來的一段時間
[28:30] 就是大家應該會感受到
[28:31] 這個傢伙又更新了新的版本
[28:34] 那這個新的版本
[28:35] 並不是說我們痛定思痛
[28:37] 或者是覺得有什麼東西
[28:39] 有立即的改善的需要
[28:40] 所以去做改變
[28:41] 而是就是開始去往自己的生活去做探險
[28:43] 我覺得好像已經沒有必要這麼累了
[28:46] 所以可能
[28:46] 對我們還會去追很多動能相關的東西
[28:50] 或市場的一些rumor跟訊息
[28:51] 還都去做交易
[28:52] 那只是希望把這樣的比例
[28:53] 再去做降低
[28:55] 然後其實要搭配一些事件去做
[28:56] 也就是就像說
[28:57] 像這次要去看演唱會
[28:59] 你就是不想這麼累
[28:59] 然後你要回孃家
[29:00] 你就是不想這麼累
[29:01] 有時候是這樣
[29:02] 就是你順著這些事件
[29:04] 去調整你自己
[29:05] 然後接著你可能回來之後
[29:06] 你就變成不一樣的人
[29:07] 那我覺得可能在明年
[29:09] 就會有很顯著的一個改變
[29:11] 就是在自己的配置上面
[29:12] 也會去做一些調整
[29:13] 特別是我們現在也開始去做一些
[29:15] 比較長線的事業
[29:16] 像這種遊戲的創投
[29:18] 那都是很長線的東西
[29:19] 你不會去要求說
[29:20] 什麼人家要給你看
[29:20] 什麼營收
[29:21] 什麼這一季的季報
[29:22] 不會做這種事情
[29:23] 那可能一投
[29:24] 都三五年以上
[29:25] 錢就是鎖在裡面
[29:26] 那所以
[29:27] 我覺得就是整體的
[29:28] 那種包含上是人格
[29:30] 或說對一些事情的反應
[29:31] 也會因為這樣子
[29:32] 會有一些改變
[29:33] 然後特別是
[29:34] 其實像Conflict
[29:35] 被買去這件事情
[29:35] 對我來說
[29:36] 是有點那種百感交集
[29:37] 就是一個
[29:37] 我覺得是廢物的東西
[29:39] 然後終於
[29:40] 其實代表
[29:40] 也沒有說什麼
[29:41] 真的看得很偏差
[29:42] 不然IBM怎麼會買它
[29:44] 然後再來就是
[29:44] 其實去算報酬也還OK
[29:46] 可是為什麼在過程之中
[29:47] 我一直覺得這個東西哪裡有問題
[29:49] 然後我甚至有在想說
[29:50] 要不要把它賣掉
[29:51] 然後去砍仙花
[29:52] 砍雜草然後灌溉仙花
[29:54] 可是還好沒有這樣做
[29:55] 因為如果這樣做的話
[29:56] 那就變成我的Cowfare跟Pantheon
[29:59] 可能就墜在山頂上面
[30:00] 然後不會太集中
[30:01] 可能晚上又不一定會好睡
[30:03] 所以很多事情很難講
[30:04] 真的是要等到最後
[30:05] 就是還是那時候去臺通所講的那個
[30:08] 就是終局論
[30:09] 你沒有走到最後
[30:10] 你根本不知道到底是怎麼樣
[30:11] 你根本不知道說
[30:12] 它最後面是被收購的
[30:14] 這種方式去做結束
[30:15] 這個是那時候
[30:16] 連想都不敢想的一個劇本
[30:18] 雖然沒有為你帶來一個
[30:19] 很大的報酬
[30:19] 但總之就是一個
[30:20] 算還不錯的投資
[30:22] 從本來你認為是一個
[30:23] 廢物投資
[30:24] 然後整天爛在那
[30:25] 我都跟朋友講說
[30:26] 這個是軟體股支援
[30:27] 它最後面是
[30:29] 獲得了一個不錯的出場
[30:31] 也簡單的跟大家分享
[30:32] 自己的一些過程中的想法
[30:34] 至於整體軟體股的話
[30:36] 我覺得看法都還是差不多
[30:37] 反正就是去關注說
[30:39] 他們在營業利益上面
[30:40] 是不是有一個
[30:41] 非常顯著的改善
[30:42] 這個是我會比較緊盯的指標
[30:44] 那當然如果40這種最基本的
[30:46] 大家都會看
[30:47] 那只是我會比較在意的
[30:49] 就是說大家都在吹AI
[30:50] 都在說好用
[30:51] 那你到底有沒有真的去改善
[30:52] 大家的工作的效益
[30:54] 有沒有真的去做到降本增效
[30:56] 然後去把這個利潤給炸出來
[30:58] 這個是我會看的
[30:59] 所以如果持續維持這樣一個狀態的話
[31:00] 那這些股票都可能還會想要繼續抱著
[31:03] 甚至去加碼買更多軟體股
[31:05] 特別是我們都知道說
[31:06] 就是等到這個infrastructure
[31:07] 告一個段落之後
[31:08] 就是大家都會去鎖定應用面
[31:10] 只是說在這個時代的應用面
[31:12] 可能跟infrastructure
[31:13] 還是某種程度的結合在一起
[31:14] 像Google本身就是infrastructure
[31:16] 然後再加software的應用
[31:17] 都在他自己身上
[31:18] 所以或許可能等到
[31:20] 很認真去佈局軟體的時候
[31:22] 然後也會是變成說
[31:24] 你手上是一堆巨頭
[31:25] 然後搭配一些小軟體
[31:26] 應該會這樣做
[31:26] 只是在這些去
[31:27] 盯自己想要盯的這些財務指標
[31:29] 後面可能找到一些酷的機會
[31:31] 再跟大家分享
[31:32] 好那這些我們接下來就QA部分
[31:34] 第一位上古聽眾生日祝福
[31:36] 請幫我用猛男的聲音
[31:37] 祝福12月12號生日的
[31:39] 麗子大美女生日快樂
[31:40] 投資操作
[31:41] 我剛剛這樣喊的時候
[31:42] 我突然耳朵聽到飆一聲
[31:44] 這是怎樣
[31:44] 要出事了是嗎
[31:45] 那績效大爆射到宇宙
[31:47] 早日請牛排大餐
[31:49] 也祝孟公資產持續成長
[31:51] 安哥諾亞健康長大
[31:52] 麗莎青春永祝秋口天天開慶
[31:54] 非常感謝這個上古聽眾
[31:55] 那我們祝他的朋友
[31:56] 麗子大美女生日快樂
[31:57] 下面一位
[31:58] 桃園Uni媽
[31:59] 祝每天火車通勤的爽爸生日快樂
[32:02] 我也是一位因為先生而入坑
[32:04] 古來的地方媽媽
[32:05] 常聽著老公的育兒護妻理念
[32:07] 對於愛友們的感情家庭問題
[32:09] 提供一些正向的解法
[32:11] 或是觀念都讓我覺得感動
[32:12] 那和先生從交往到生子
[32:14] 已經有五年的時間
[32:15] 家庭背景和思想的差異
[32:17] 讓我們幾度吵到快離婚
[32:18] 也不確定那個常說
[32:20] 我九四沒辦法跟孟公那樣
[32:23] 掛號捏軟
[32:24] 不善於主動擁抱放軟的傲嬌先生
[32:26] 對於咱們的夫妻溫度還剩多少
[32:29] 但我想說的是
[32:30] 還是希望一家三口可以心繫彼此
[32:33] 牽手不放手
[32:34] 讓Uni媽少掉一些珍珠
[32:36] 掛好眼淚
[32:37] 祝每天騎車轉火車通勤的爽爸
[32:40] 12月8號生日快樂愛你
[32:42] 這是一個非常深情的告白
[32:44] 我是覺得在婚後有一些糾紛
[32:48] 或是甚至會有一些離婚的想法
[32:51] 至少以我自己的角度來看
[32:53] 我覺得可能是蠻正常的
[32:54] 我們可能是會很羨慕那些
[32:56] 就是都可以一帆風順的人
[32:57] 只是自己的經驗是
[32:59] 就即便我們可能遇到一些不好的事情
[33:00] 有吵架有鬧離婚或什麼的
[33:02] 但最後面
[33:03] 還是會在一些時刻
[33:05] 去瞭解到說
[33:06] 還好我是跟你在一起
[33:07] 好像我老婆也會
[33:08] 就是有時候可能前一天
[33:09] 媽媽超堵爛
[33:09] 往那邊狂幹
[33:10] 然後隔天突然講說
[33:11] 還好我是跟你在一起
[33:12] 我才不想要跟其他人在一起
[33:13] 就是有這樣的一些時刻
[33:15] 還是會讓你理解到說
[33:16] 還好我們找到了彼此
[33:17] 反正總之
[33:18] 我覺得我現在對世界的看法
[33:20] 就是一切都是可能會改變的
[33:21] 所以我們能夠做的
[33:22] 就是在我們還在一起的當下
[33:24] 但搞不好可以很久
[33:25] 搞不好我不知道
[33:26] 後面發生什麼事
[33:26] 沒有人知道
[33:27] 就是好好珍惜彼此
[33:29] 好好地讓彼此都度過美好的一天
[33:31] 我們持續往這個方向去做努力
[33:33] 那希望你們順利
[33:34] 下面一位
[33:34] 挨大讚贊贊
[33:36] 直男巧虎贊贊贊測試2
[33:38] 挨大你好
[33:38] 不知道你跟Lisa
[33:39] 有沒有什麼共同的興趣呢
[33:40] 如果沒有一樣的興趣
[33:41] 又沒有小孩的話
[33:42] 會不會沒有辦法一起生活下去啊
[33:44] 或是你們有一起培養什麼興趣嗎
[33:46] 臭直男對於什麼東西都沒有興趣
[33:48] 不知道該怎麼辦才好
[33:49] 好怕結婚後相看兩瞪眼
[33:51] 那出來帶一家
[33:52] 身體健康萬事如意
[33:54] 基本上我跟Lisa
[33:56] 是沒有什麼太多共同的興趣啊
[33:59] 真的沒有
[33:59] 像我們去羅馬的時候呢
[34:01] 那我自己會喜歡去看
[34:03] 像什麼萬神殿啊
[34:05] 競技場啊
[34:06] 或是一些什麼地下通道啊
[34:08] 這樣的地方
[34:08] 我會覺得這些東西是蠻有趣的
[34:10] 可是我老婆覺得那個叫做stones
[34:12] 就跟我岳母的說法一樣
[34:13] 那個叫做stones
[34:14] 就是我們要去看一個stone
[34:16] 要去看一個石頭
[34:17] 然後再來就是我們吃的東西
[34:18] 有很大的差異
[34:20] 所以很多時候是這樣
[34:21] 我們類似是互補啦
[34:22] 我們跑去一個餐廳吃飯
[34:23] 然後我就吃全部的肉
[34:24] 然後吃全部的澱粉
[34:25] 他也不是吃素
[34:26] 他就吃澱粉
[34:27] 那或者是說
[34:28] 我喜歡看的一些電影
[34:30] 他可能不一定喜歡
[34:30] 當然我們可能在影集上面
[34:31] 有一些共同點
[34:32] 可是呢
[34:33] 除此之外
[34:33] 好像沒有太多的共同點
[34:35] 那我老婆是一個很保守的人
[34:38] 甚至有點極度保守的那個傾向
[34:40] 那跟我
[34:41] 我覺得我慢慢有受到影響
[34:42] 比較保守一點
[34:43] 可是我其實是相對
[34:44] 也是比較開放的人
[34:45] 確實是很多東西是不一樣
[34:47] 所以我才會在
[34:48] 忘記是上上集還是上上集
[34:50] 有跟一個聽眾聊到
[34:51] 就那個聽眾想離婚嘛
[34:52] 我就說其實我跟我老婆
[34:53] 也是差異超級大
[34:54] 可是不知道為什麼
[34:56] 我覺得這個差異大
[34:57] 從一開始我認為是一個問題
[34:59] 然後到最後覺得這是互補
[35:00] 就是我反而覺得
[35:01] 這是一件好事
[35:02] 所以很難說
[35:03] 就是有些人可能覺得說
[35:04] 所謂的那種
[35:05] 大家都會稱羨的伴侶
[35:07] 是你們都是完全的契合
[35:09] 然後喜歡做一樣的事情
[35:10] 但我反而在我老婆
[35:12] 跟我分享之後
[35:12] 我覺得說我不一定會喜歡
[35:14] 就是有一個女生
[35:15] 就她也有一臺podcast
[35:16] 那我就想說
[35:17] 幹你會在上面靠杯
[35:18] 或者說她也在做股票
[35:20] 然後變成說
[35:20] 我可能
[35:21] 我平常跟一些那種大哥比
[35:23] 我覺得我很難受
[35:24] 就像我竟然還要跟我老婆比
[35:25] 我搞不好更難受
[35:26] 很難講你不知道
[35:27] 所以我不認為
[35:28] 就是一定要有一樣的興趣或是
[35:31] 但是有一點可能蠻重要
[35:32] 價值觀
[35:33] 我覺得價值觀可能蠻重要
[35:34] 就很多時候
[35:35] 當我看到一些
[35:36] 很荒謬的社會事件發生的時候
[35:38] 我就很高興
[35:39] 我老婆的想法跟我是一樣的
[35:40] 所以即便我們興趣什麼不一樣
[35:42] 但價值觀好像差不多
[35:43] 其實我自己跟你
[35:44] 在回答的過程中
[35:45] 我好像找到結論了
[35:47] 因為我剛才價值觀是差不多的
[35:48] 很多我們覺得
[35:49] 媽的很狗乾的
[35:50] 或者說該媽的送去槍斃的人
[35:52] 那個都是差不多的
[35:53] 所以就覺得說
[35:54] 我好像有知音的感覺
[35:55] 即便我們的興趣差超多
[35:57] 所以大概這樣
[35:57] 下面一位
[35:58] 新竹悲傷仔
[35:59] 七年長跑分手
[36:00] 愛大安最近因為人生方向不同
[36:02] 而被女友提分手
[36:04] 我們從大學一路交往到出社會逛
[36:06] 都是按照兩個人的未來規劃
[36:08] 現在剩下一個人時間好空
[36:10] 愛大通常是怎麼做呢
[36:11] 感謝解惑
[36:13] 好先打手槍
[36:13] 下面一位
[36:14] 酷斯拉一點都不酷
[36:16] 成功牛排把肉切厚點
[36:18] 那初音音你好
[36:20] 我覺得好壞
[36:21] 我剛剛對前面一個失戀的人這樣講話
[36:22] 但就這樣吧
[36:24] 反正我不知道
[36:25] 我有時候心中想的是
[36:27] 還要你有分手
[36:28] 你不覺得嗎
[36:28] 你不覺得嗎
[36:29] 就是會分手的
[36:30] 你不覺得就好像就是
[36:31] 隱隱約約覺得你總是會分手
[36:33] 所以還好你現在跟我分手
[36:35] 你是七年
[36:35] 算七年已經很痛了
[36:36] 如果是14年的話怎麼辦
[36:38] 如果是21年生了兩個小孩子
[36:40] 又怎麼辦
[36:41] 所以還好就是你瞎切一切
[36:43] 所以趕快去打手槍
[36:43] 這個沒有問題
[36:44] 然後他說
[36:45] 諸位你好
[36:45] 想問庫斯拉一點都不酷的話
[36:48] 為什麼要叫庫斯拉
[36:49] 摩斯拉會吃摩斯漢堡嗎
[36:52] 相信你最後當兵的聲音
[36:53] 那祝我們新化王世賢早日當上
[36:57] 還有一偶一偶
[36:59] 祝12月9號生日的
[37:01] 鞭森皇生日快樂
[37:03] 謝謝諸位
[37:04] 謝謝比特幣大戶諾曼
[37:06] 他前面講的東西
[37:07] 我他媽完全不知道他在幹嘛
[37:08] 那我們就協助他
[37:10] 祝福一下他的朋友們
[37:11] 下面一位
[37:11] 九等了大人
[37:13] 這個有點長
[37:14] 還是念一些好了
[37:15] 這是他留的
[37:16] 我是從第一集
[37:17] 又開始聽的聽眾
[37:17] 先祝各位好愛寶
[37:19] 乖家五口
[37:20] 身體健康
[37:20] 股票飛高高
[37:21] 從小就對我爸感到很沮喪
[37:23] 他是那種只關心自己
[37:25] 不在意別人感受的人
[37:27] 所以我們的關係一直都不太好
[37:28] 那最近因為一些事情又吵架了
[37:30] 實在是不想再為了他
[37:31] 委屈自己的感受了
[37:33] 那這樣一直不回家的我會很爛嗎
[37:35] 那雖然比愛大年紀稍長
