[00:00] 欢迎收听谷爱,我也是孟公
[22:29] 之前认为说这个东西不会缺
[22:30] 就它现在确实慢慢的开始变成
[22:32] 是市场上的一个主流
[22:33] 这个应该就是说
[22:35] 在第二阶段
[22:36] 就Power Center的时候
[22:36] 会开始会有机会受惠的一些东西
[22:38] 再来就是什么DC的UPS
[22:40] 就是不断电系统
[22:41] Busway
[22:41] Tankan
[22:42] SSCB
[22:43] 这些可能就是偏向
[22:44] 我自己猜测
[22:45] 大概2028到2030之间
[22:48] 就是会往这个方向去走
[22:50] 所以到時候一些那種大型電源廠
[22:53] UPS廠可能全部就會是一個受惠的對象
[22:56] 但這個還早
[22:56] 這個可能就是要走到兩三年之後才會再發生
[23:00] 那再走到更後面會走到什麼樣架構呢
[23:02] 就是DC Power Block
[23:03] 這個應該就是要2030以後
[23:06] 或是新建制的一些電壓中心
[23:08] 他們有去做特殊的規劃
[23:10] 才有可能會是往這個方向去走
[23:11] 那到時候裡面受惠的環節
[23:13] 就會變成像什麼TRUSST
[23:15] BESS DC Switchboard
[23:17] 或是說什麼那種超大安培數的Bus Doct
[23:20] 那設施級的控制等等的
[23:22] 所以那時候就會變成像是去做那些系統整合
[23:25] 儲能或是像上個階段的話
[23:28] 公立半導體他們也是在這裡面的一環
[23:29] 那再來就是重點
[23:31] 這個可能就會是最主要的一個受惠的對象
[23:34] 那我覺得這一份白皮書
[23:36] 其實他講的東西以理論上
[23:38] 對於絕大多數的產業人士來說
[23:40] 它不是一個超級意外的東西
[23:41] 就是大多數人應該都已經知道說
[23:43] 他本來就是往這個方向去
[23:45] 但是因為這份資料最近在大家之間跑來跑去
[23:48] 所以我覺得有可能就是大家會重新的回頭去看
[23:52] 特別是像我們前面在講的市場一些題材
[23:55] 它蠻多它不一定會在短期內就立刻會有
[23:58] 營收或是獲利的一個表現
[24:00] 可是這些Power廠其實甚至嚴格上來講
[24:03] 他們在過去的幾個月是那種跌不騰洋不歪
[24:05] 大家都不要看
[24:06] 因為就是前面就是簡單來講吵過了
[24:09] 大家都買過了
[24:10] 所以你再叫我們去買
[24:11] 就像我們上集講的知識的一種詛咒之類的
[24:14] 因為你早就研究過
[24:15] 想說這不是早就看過
[24:16] 可是有時候就是會有一些那種事件的驅動
[24:19] 所以像我覺得這一份白皮書
[24:21] 它出來的時間真剛好
[24:22] 就剛好在很多股票修正完之後
[24:24] 然後大家在找說市場到底有什麼可以看
[24:27] 然後突然丟這樣的東西出來
[24:29] 然後結合現在的一些散熱的股票蠻多拉出去
[24:32] 其實我覺得又有一個那種新的故事
[24:34] 已經正在醞釀中
[24:35] 對像前面在崩跌的時候
[24:36] 很多人都告訴你說什麼還沒了
[24:39] 這個領主見美樂漲價美樂
[24:40] 然後現在開始回魂之後
[24:42] 有沒有發現其實蠻多都是自己下自己
[24:45] 然後可能把所有東西都砍在最低檔的位置
[24:47] 只能夠說股價有時候是很壞的東西
[24:50] 長期來看其實股價跟基本面是
[24:53] 我不敢講100%會連動
[24:55] 可是他們相關係數一定超級高
[24:57] 就是連在一起
[24:58] 跟你的稅後盈餘的表現是很有關係的
[25:00] 可是短期就像說我知道一個東西
[25:02] 它會到1000塊
[25:03] 它現在是300塊
[25:04] 我不確定它是300 400 500 600
[25:06] 然後到1000直接上去
[25:07] 還是它會先300然後跌到200
[25:09] 然後跑到600
[25:10] 然後再掉回180
[25:11] 然後最後面到1000
[25:12] 但如果说你的获利都是可以开上去的话
[25:14] 是没有什么太大问题
[25:15] 所以结合像这一个白皮书所提到的各种趋势的话
[25:19] 我是觉得其实大家就可以开始去
[25:21] 把这个当成是一个案例去做测算
[25:23] 就是哪些东西是在未来有机会去开出营收
[25:26] 那会开到什么样的时间点
[25:28] 那现在的股价跟它的营收表现的一个状态是怎么样
[25:32] 你就可能可以找到一些线索
[25:34] 可以去稍微的关切一下
[25:36] 所以简单讲就是我觉得Power在过去它比较偏向是就是市场没有什么人在看的东西可是最近因為這一個白皮書我也不確定這個白皮書release的時間是什麼但因為這蠻多人在傳蠻多人在研究所以有可能然後就是
[25:49] 這個會變成是市場上某一個
[25:52] 就是大家會想要去討論的東西
[25:54] 那再來就是跟大家講一下
[25:56] 為什麼舉例來說
[25:57] 我們家的Data Center可能跑得好好的
[25:59] 什麼AC又怎麼會跑去要用DC
[26:01] 那如果今天從什麼正負400V
[26:04] 然後說更小的一個這個福特數
[26:06] 然後跑到800V的時候
[26:07] 为什么会有一些东西需要去做更改
[26:11] 为什么会有些新的规格产生
[26:12] 它又会产生什么问题
[26:14] 这个稍微用比较简单的方式
[26:16] 跟大家讲
[26:16] 就是最主要的核心
[26:18] 还是来自于
[26:19] 就是我们以前在聊到
[26:21] 可能这些Server Rack的时候
[26:22] 我们是提到说
[26:23] 一个怪物机器
[26:24] 然后100多KW
[26:25] 快200KW
[26:26] 就好像非常恐怖
[26:27] 非常变态
[26:28] 只是后面会出现的东西
[26:29] 可能是330KW
[26:31] 570KW
[26:33] 当产生这样的状态的时候
[26:35] 就立刻会有一些瓶颈的产生
[26:37] 像是什麼銅牌跟線纜 Connector
[26:40] 這看要怎麼樣去做處理
[26:41] 因為你進入到350到400kW per rack之後
[26:44] 54V架構它遇到的
[26:46] 並不是什麼電源轉換的效率
[26:48] 而是低壓大電流
[26:49] 物理尺寸就會變成是
[26:51] 像Busbar那個截面越來越大
[26:53] Cable它的重量跟彎曲半徑
[26:55] 是不是都要變大
[26:56] Connector尺寸插拔力也會有問題
[26:59] 然後再來就是你要留給運算
[27:01] 跟冷卻的空間也會變少
[27:03] 所以我們要怎麼樣去解決這件事情
[27:05] 我今天就是把這個
[27:07] 就像說800V導入進來之後
[27:09] 那我的安培數是不是就下降了
[27:12] 如果今天是54V的話
[27:13] 它是6.1Ka左右
[27:15] 那如果今天是800V的話
[27:16] 它就會變成是0.4Ka這樣子
[27:19] 那這樣子就會去使得就是
[27:22] 相較於本來的一個
[27:24] 假設我們硬推上去
[27:26] 那有很多東西要改的話
[27:27] 那這樣子我要改的東西就變少了
[27:29] 所以它並不是像現在想像什麼
[27:32] 炒股提鈔什麼
[27:33] 它其實是有蠻多問題要解決
[27:34] 因為有一些這種瓶頸的問題在
[27:37] 剛剛講的是第一個瓶頸
[27:38] 再來就還有第二個瓶頸
[27:39] 第二個瓶頸就是
[27:40] 像是PowerShelf跟轉換空間
[27:43] 也會開始產生問題
[27:43] 如果你要繼續靠54V的話
[27:45] 你為了去處理這些比較大的電流
[27:47] 要怎麼辦
[27:48] 你要更多並聯的PSU
[27:50] 更大的Bus Bar
[27:51] 更多PowerShelf
[27:53] 更多更大Connector
[27:54] 然後再來一些更複雜的均流控制
[27:57] 散熱轉換的負擔也會越來越大
[27:59] 一樣這些東西都會卡到
[28:01] 我們知道說現在這個Server
[28:03] 它可能是全世界最寸土寸金的地方
[28:05] 裡面你本來可以放GPU
[28:07] 可以放NV Switch
[28:08] 可以放有的沒有記憶體什麼的空間
[28:10] 它都會被這些元件給佔用到
[28:12] 所以如果你今天放一個
[28:13] 800V的Sidecar進去
[28:15] 你就是把部分ACDC的轉換
[28:16] 去拉到這個Computerec外面
[28:19] 所以就讓機櫃裡面的運算空間
[28:21] 是變得更大
[28:21] 當然最終
[28:22] let's but not least
[28:23] 就是冷卻
[28:24] 冷卻會直接惡化
[28:26] 當今天你的Rack跑到了
[28:27] 可能400 500kW以上之後
[28:30] 像GPU它一定是要用液冷
[28:32] 你以前用氣冷就是沒有辦法
[28:33] 你PowerShelf也要用液冷
[28:35] 甚至你的Busbar跟Connector
[28:37] 也是要去使用液冷
[28:39] 全部都要使用液冷
[28:40] PowerRack本身它也變成是熱源
[28:42] 所以它會觸發一系列的問題
[28:44] 導致你必須要把這個V數給拉上去
[28:47] 才可以去做解決
[28:48] 所以看完這份白皮書
[28:50] 但我自己本身並不是那種
[28:51] God damn搞電的
[28:53] 對電很熟
[28:54] 很多東西我也是要邊看邊查詢
[28:55] 但是看完或者說其實看之前
[28:58] 就大概知道說為什麼會這樣推
[28:59] 看完就是更加明確知道
[29:01] 其實它是有一個邏輯可循的
[29:03] 它也算是一個滿Sally的東西
[29:05] 因為很實際的就是說
[29:07] 現在每一個RAC的功耗
[29:08] 就是持續的往上拉
[29:10] 然後大家做出來的東西越來越怪物
[29:12] 所以這個是必須要解決的東西
[29:14] 跟一些
[29:15] 可能如果我們今天講說
[29:16] 那種Connectivity的東西
[29:18] 它有時候是說我給你五個方案
[29:19] 那五個方案我也不確定
[29:21] 哪個一定要推
[29:21] 反正就是慢慢推過去
[29:22] 那我就慢慢選
[29:24] 可是如果今天是跟電相關的東西
[29:25] 它是立刻要解決
[29:27] 所以其實以前大家就已經有一個牢梗
[29:29] 就是說沒有電的話
[29:30] 你怎麼可能會有這些電壓Center
[29:32] 那只是過去一陣子可能電休息了很久
[29:35] 就是大家都沒有在看它
[29:36] 所以好像變成是
[29:37] 甚至我們網路上有一個笑話是講說
[29:40] 現在怎樣
[29:40] 現在電壓Center都不用用電是不是
[29:42] 都是連銅線跟光都不用用了吧
[29:45] 因為那段時間銅線跟光都在跌
[29:46] 那雖然當然
[29:47] 後面很多銅線的股票都噴回去了
[29:50] 那像光的股票最近也都復活了
[29:52] 所以一樣就是Power
[29:53] 我覺得也是搭上這一波
[29:54] 就跟著一起來動
[29:55] 所以整體來看
[29:56] 就是現在整個市場上的故事
[29:58] 都還是我覺得非常的充沛
[30:00] 那就是看說到底誰會搶得頭籌
[30:04] 已經開始有股票去拉新高了
[30:05] 那如果今天開始有些族群產生
[30:07] 那可能就會變成是
[30:09] Hunterson
[30:09] 就是有趣的發展就產生
[30:12] 希望到時候已經回到台灣
[30:13] 就可以去參與這一場
[30:14] 但當然我回去一下子之後
[30:15] 我要再繼續跑出去
[30:16] 可是這算是我熱情之所在
[30:18] 就我在外面我還是會持續的去看
[30:20] 昨天就是在這個躺椅上面
[30:22] 曬著太陽腳泡在我們的泳池裡面
[30:25] 然後就看一下這個白皮書是寫什麼東西
[30:28] 昨天跟前天
[30:29] 滿有趣的
[30:30] 這邊稍微跟大家分享一下自己的心得
[30:32] 因為我自己本身不是搞定的
[30:34] 所以如果大家覺得
[30:36] 哪邊可能有說錯什麼的
[30:37] 當然都歡迎來指教
[30:38] 這其實是我節目的一個小套路
[30:40] 之前被一個大哥發現
[30:41] 有一個大哥講說
[30:42] 你這個節目最無敵的一點就是
[30:44] 你如果講錯
[30:44] 也有人會告訴你正確答案
[30:46] 所以你永遠都會拿到正確答案
[30:47] 耶 答對了
[30:48] 對 所以就稍微跟大家分享自己的心得
[30:50] 希望可以幫助到大家
[30:51] 接下來我們進入Q&A的部分
[30:52] 第一位 Bigass Nika
[30:54] 這集標題可以用那什麼潛水鏡嗎
[30:57] 諾亞安哥真的好可愛
[30:59] 聽到主委說要去跑NB的路跑活動之後
[31:02] 我也開始訓練跑步
[31:03] 訓練了一個月才發現報名截止了
[31:05] 哭啊
[31:06] 那想問主委對於被動跟功率的看法
[31:08] 今天早上看到Situational Awareness
[31:11] 新增了VSH和STM
[31:13] 那加上太陽誘電不久前的消息
[31:15] 原件的後世好像比想像中還樂觀
[31:18] 那最後祝主委
[31:19] 其中一個兒子能夠取到大股強品的女兒
[31:22] 好
[31:23] 那首先呢
[31:24] 對於這兩個原件的看法
[31:26] 當然他是過去可能算噴多
[31:28] 然后后来也跌很多
[31:29] 那现在开始出现反弹的一个族群
[31:31] 那在喷的时候
[31:32] 大家就是无条件的相信说
[31:34] 后面会很好
[31:35] 然后跌下来的时候
[31:36] 你就开始注意到
[31:37] 其实有蛮多那种网络论坛
[31:38] 都开始在讲说
[31:39] 所以是不是根本就没有涨价
[31:41] 你就可以知道说
[31:42] 就绝大多数的股民
[31:43] 基本上就是当成是进赌场在玩
[31:45] 那如果说你有注意到
[31:46] 这些族群他们开出来的营收
[31:48] 都会知道说
[31:49] 他们持续的在开新高
[31:50] 那再来就是如果他们有开财报
[31:53] 或是字节的
[31:54] 也会注意到他获利的成长速度
[31:56] 是高于营收的成长速度
[31:58] 代表什么
[31:58] 代表他们的价格的条件
[32:00] 各项的状况
[32:01] 应该都是属于越来越好
[32:02] 那只是当然
[32:03] 如果今天用股价的角度
[32:05] 去平息的话
[32:05] 就会让事情变得很困难
[32:07] 那确实是像前面被动元件
[32:10] 特别的明显
[32:10] 在喷到后期的时候
[32:12] 甚至是像我们的节目
[32:13] 就跟大家讲说
[32:14] 老实讲已经不知道在喷什么
[32:15] 可是其实我们真的也不知道
[32:16] 他会喷到什么地方
[32:17] 所以当下其实也不会立刻说
[32:19] 还在喷的时候就丢
[32:21] 一般都是等到开始回吐
[32:22] 被杀之后
[32:22] 然后才慢慢的把一些东西
[32:24] 获利了结
[32:24] 当然说汉摩下一波
[32:26] 理论上东西应该都是会跟着
[32:28] 基本面的状况持续的去发酵
[32:30] 前面回的够神
[32:32] 所以就变成
[32:33] 我相信应该是还有机会会去做推升
[32:35] 只是当然今天还是要去看一下
[32:38] 在市场上面会不会有其他的族群
[32:40] 相对应的是有更甜的价格出现或什么的
[32:44] 因为其实前面那一波杀下来
[32:45] 算是把很多东西都变得很便宜
[32:47] 所以有点像是就我们前面所提到
[32:49] 大家都在抢说
[32:50] 到底资金会到哪里去
[32:52] 大家都希望資金會去
[32:53] 青睞自己所青睞的一個族群
[32:55] 所以這可能還要再稍微的觀察一下
[32:57] 但純用產業面的角度來說
[32:59] 確實就是不停的看到漲價
[33:01] 然後需求是持續的轉強
[33:03] 特別是在AI的領域
[33:04] 其他方面像什麼車用
[33:06] 或是PC消費電子
[33:07] 比較平常是說被排擠
[33:09] 有些被排擠
[33:10] 它也有跟著漲價
[33:11] 但那個漲價就會漲到某個位置之後
[33:14] 就會價格破壞
[33:14] 跟AI那種可以一直狂漲
[33:16] 是有點不太一樣
[33:17] 所以自己還是要區分清楚
[33:18] 下面一位
[33:19] 現在幾點
[33:20] 這個跳過
[33:21] 我最近念過好幾次
[33:22] 下面一位
[33:22] 迪化街台南人
[33:24] 这次留言来谢谢孟公
[33:26] 去给他录制节目
[33:27] 特别是不同主题的分享
[33:29] 让工作生活两头忙的二宝爸
[33:31] 有效率的体验生活
[33:32] 那像是每周夜配
[33:33] 都好像在逛百货公司一样
[33:35] 游戏介绍让我迷上了红颜鹿鼻
[33:36] 跟无意间发现了文明帝国
[33:38] 还吃起了辣起司chips
[33:40] 那跟吐司粒啊
[33:41] 也收集各方爸爸的育儿感想
[33:43] 最后可以在极度忙碌下
[33:44] 有最新的市场产业摘要
[33:46] 让喜欢投资的我有方向研究
[33:49] 真的是受益良多
[33:50] 那最后期待这个月底
[33:51] 要跟老婆单独去古关的
[33:53] 红杏诺亚体验慢活
[33:54] 祝大家平安健康
[33:55] 然后祝迪化街的台南人
[33:57] 可以旅途平安
[33:59] 下面我也困宝
[34:00] 鸡鸡农场主人
[34:02] 新买了一只公鸡
[34:03] 第一天他把农场里的
[34:04] 所有的母鸡都巡过一轮
[34:06] 晚上还再来一次
[34:07] 第二天更夸张
[34:08] 鸭子都不放过
[34:09] 鹅不放过
[34:10] 连鸽子都不放过
[34:11] 到了第三天
[34:12] 主人看到公鸡
[34:13] 一洗二躺在地上
[34:14] 旁边还有一只秃鹰
[34:15] 不停地盘旋
[34:16] 主人摇头笑道
[34:17] 活该玩过头了吧
[34:19] 公鸡突然抬起头大骂
[34:20] 闭嘴啦
[34:21] 你把秃鹰吓跑了
[34:22] 八分
[34:24] 我蛮喜欢这种
[34:25] 八分
[34:25] 下面一位
[34:26] 山中无家子
[34:27] MK您好
[34:28] 想请问你之前提到复盘
[34:30] 是很认真的写三千字的检讨报告
[34:32] 然后记在小本本上
[34:33] 还是心中想一想就结束了
[34:35] 那推荐两部跟酒有关的动漫
[34:38] 深知那以及上一那牡丹
[34:41] 醉姿如百合
[34:43] 和刚练作者新作黄泉使者
[34:46] 另外想請你用猛男的聲音祝我6月27號生日快樂
[34:50] 也祝您一家健康身體平安
[34:53] 績效繼續突飛猛進
[34:54] 我自己是比較不會去寫檢討報告
[34:57] 可能早期會
[34:58] 早期比較偏向說就是當你被幹到恍神之後
[35:01] 然後你就會拿出一個筆記本在上面
[35:03] 你也不知道你自己在寫什麼
[35:04] 反正就是一直想一直寫這樣子
[35:06] 進入那種心流意識流的感覺
[35:09] 現在比較不會再去寫東西
[35:10] 就是會坐在那邊想
[35:12] 然後如果老婆或是小孩在那邊講話就說
[35:13] 拜託你們離我遠一點
[35:14] 如果現在想東西
[35:15] 可能聽起來有點不禮貌
[35:16] 可是真的在想東西
[35:17] 你需要那種hyper focus的時候
[35:19] 就會請說身邊的人稍微的離開一下
[35:22] 我需要一點空間
[35:23] 所以比較偏向是自己去思考
[35:24] 已經比較不會去把它寫下來的
[35:27] 當然有些人可能還是會習慣去寫小本本
[35:29] 但是我是不會給你參考
[35:31] 非常感謝你關於酒類動漫的推薦
[35:34] 那個神之拿為什麼會知道念拿
[35:36] 是因為已經很多人跟我推這個
[35:37] 所以我去查了知道這個字是這樣子念
[35:38] 然後我稍微看了一兩集之後就覺得
[35:41] 我不知道有點那種over glorified的感覺
[35:44] 可能是 你不知道
[35:45] 就其實我自己的習慣是
[35:47] 比較偏向會把遊戲體驗玩壞掉那一種
[35:49] 因為我一來我就會直接直上硬桿這樣
[35:51] 所以他開頭講的一些什麼
[35:53] 各種傳奇多雕的東西
[35:54] 因為那個都喝過
[35:55] 你就不會覺得說有傳奇多雕
[35:56] 但是我相信如果你是
[35:58] 真的從那種入門開始
[36:00] 然後慢慢摸
[36:01] 那知道說有一些那種神一般的存在
[36:03] 然後再看這個漫畫
[36:04] 你可能會特別有感受
[36:06] 但是我一開始就直接先去打王的意思
[36:08] 所以我就沒有特別的感受
[36:10] 所以就沒有再持續的看下去
[36:12] 很多人都有推薦
[36:13] 那比较可惜
[36:14] 可能我自己要修改一下
[36:15] 我切入某些新的主题和做法
[36:18] 那下面一位
[36:19] Ryan
[36:20] 孟公家好
[36:21] 我是从麦克风装返
[36:23] 就听的骨灰听众
[36:24] 上集太太留言
[36:25] 祝我生日快乐
[36:26] 被念到我们夫妻快乐了很久
[36:27] 很谢谢他送我这个生日礼物
[36:29] 听骨牌几年下来
[36:30] 学习真的很多
[36:30] 赚了一点钱
[36:31] 还不够财富自由
[36:32] 但已经可以有更愉悦的生活
[36:34] 那这是以前都无法想象的
[36:35] 谢谢孟公开拓了
[36:36] 我的眼界跟世界
[36:37] 你的节目是我人生的转捩点
[36:39] 祝孟公平安快乐
[36:41] Lisa健康美麗
[36:41] 諾亞安哥平安長大
[36:42] 一切順利利愛您
[36:43] 看到這種就覺得特別感動
[36:46] 希望這位兄弟跟太太
[36:48] 可以順利的到達
[36:49] 你跟你太太想要去的任何地方
[36:51] 希望一切都平安健康
[36:53] 下面一位
[36:53] 夢宮我被甩了怎麼辦
[36:55] 嗨夢宮寶貝
[36:57] 前幾集有人問GG法說
[36:58] 反彈跟7月31號反彈差別是什麼
[37:00] 關於這次事件是股價先動
[37:02] 事後才有事件跑出來
[37:03] 可是網路上各種小作文
[37:04] 跟新聞一大堆
[37:05] 要怎麼知道
[37:05] 確實是因為Situational Awareness的事件
[37:07] 瘋狂導致估值修正呢
[37:09] 市场上超级多讯息
[37:11] 孟宫怎么判断
[37:12] 确实是因为这个讯息导致的呢
[37:13] 挂号你通常怎么判断
[37:14] 如果没有办法100%确定
[37:16] 那怎么知道利空消失的消失
[37:17] 真的已经消失呢
[37:18] 挂号猜测此事件登在报纸上后
[37:20] 加上隔天美股台股的大反弹
[37:22] 所以可以视为利空消失
[37:23] 有错拜托跟我说爱你
[37:25] 这位兄弟的观察力不错
[37:26] 确实就是会去结合市场的走势
[37:29] 去做一个观察
[37:30] 那你前面讲的就是
[37:31] 你怎么知道这个地方就是结束了
[37:34] 没错
[37:34] 所以很多时候会猜错
[37:35] 就会导致说
[37:36] 就像说像我们前一波去抄底的时候
[37:39] 早在那个最低点的前一个礼拜
[37:42] 就早就在那边买了
[37:43] 就是一直买一直被套
[37:44] 那你这样你被买
[37:45] 你被套到之后
[37:46] 你就知道说
[37:47] 那可能就要稍微的收手
[37:48] 因为有时候是这样子
[37:49] 就是你以为说老板不在家打八折
[37:51] 然后最后面打六折
[37:53] 打五折之类的
[37:54] 那你的东西没有那种一路的靠下去
[37:56] 你没有资金再去做加码的话
[37:58] 就会变成是你买到东西
[38:00] 最后面只能在山上等待解套
[38:02] 或甚至你可能等到抵出来之后
[38:04] 你要转换族群
[38:05] 然後再把一些東西忍痛停損
[38:07] 因為我們經歷過這樣子的次數
[38:09] 是蠻多次的
[38:10] 所以最後都會知道說
[38:11] 抄底的時候一定要慢慢抄
[38:13] 千萬不要有那種不切實際的想法
[38:15] 就是覺得一定可以抄在最低的地方
[38:17] 一般來講是分幾批打
[38:18] 很高機率就是你分幾批打
[38:20] 打到你的子彈都乾掉的時候
[38:22] 可能都還沒有見到底
[38:24] 這個就是像在
[38:25] 2025年的關稅事件的時候
[38:27] 那時候跟大家分享
[38:28] 我跟一個好朋友去做健康檢查
[38:30] 然後他在被麻醉前還跟醫生講說等一下他要抄底可是那時候我已經沒有錢可以抄底了他還有錢钱可以抄底可是我没有了那所以有时候你就会提早把这个子弹打光了那像这一波的话就是到底部这边
[38:41] 还是有钱可以去做抄底
[38:42] 所以要认知到的一点是
[38:44] 你不可能会百分之百完美的抓到底部
[38:47] 那如果说有人会相信这种事情
[38:48] 那他就是一个非常好诈骗的受体
[38:51] 这个要骗就是要骗这种人的钱
[38:53] 那总之因为我们没有办法
[38:55] 很确切的去猜说底在哪
[38:57] 可是我们一般都可以抓一个相对值
[38:58] 我觉得说像我们自己节目
[39:00] 有時候講一些很籠統的體感
[39:02] 這邊過得太爽
[39:03] 後面一定會被填法
[39:04] 實際上你回頭看
[39:04] 每次去立這種flag的時候
[39:06] 後面確實都有填法
[39:07] 只是填法有時候是一個月
[39:08] 有時候是兩個月
[39:09] 有時候甚至三個月
[39:10] 或四個月之後才來
[39:11] 你不知道
[39:12] 那如果說你有印象的話
[39:14] 也知道我們沒有要跟大家收割意思
[39:16] 大家知道我們節目是不幹這一招的
[39:17] 就是像我們有時候跟大家說
[39:19] 這個地方真的是便宜的點
[39:20] 那在講的當下
[39:22] 我相信有些新的聽眾進來
[39:23] 可能想說幹你娘
[39:24] 你不是說這麼便宜的點
[39:25] 他媽明天會再更便宜
[39:26] 可是你等一兩個月回頭看
[39:28] 幾乎那個地方就確定就是便宜的點
[39:30] 所以我們能夠知道的是相對未知
[39:32] 但是覺得未知真的太難了
[39:34] 真的太難了
[39:34] 所以像那時候還在狂炸的時候
[39:36] 我就跟大家聊到說你知道
[39:37] 因為那時候有一個新加入的股民
[39:40] 他說他研究了半天
[39:41] 可是為什麼他買
[39:42] 然後什麼東西都被幹爆
[39:43] 我們就跟他說
[39:44] 那時候是命運的問題
[39:45] 就像現在加入的人
[39:46] 他一定就會覺得說股票好簡單
[39:48] 我隨便買隨便賺
[39:49] 所以你確實你回頭看
[39:50] 就是在7月底加入的人
[39:52] 他真的就媽的
[39:53] 他會覺得自己是選股神了你知道嗎
[39:54] 他會覺得自己超屌
[39:56] 什麼判斷事件都超準
[39:57] 可是他不知道的是
[39:58] 其實那個就是大盤
[39:59] Beta在那邊狂衝反彈
[40:01] 所以你講的東西確實是
[40:03] 在市場裡面
[40:04] 我們要持續去做修煉的東西
[40:06] 一般來講我們會去搭配
[40:07] 這個反彈的走勢強勁與否
[40:10] 就是像你講的事件
[40:11] 然後搭配走勢
[40:12] 它是初步的判斷
[40:14] 那再來就是當你的樣本數夠多之後
[40:16] 你會知道說這走勢是強的
[40:18] 就是可能
[40:19] 就像說一兩年才會出現一次的
[40:21] 還是說它是可能兩三個月
[40:23] 就會出現一次的
[40:24] 一般那種兩三個月就會出現一次的
[40:25] 我們就不會把它視為是
[40:26] 有可能是抵到了
[40:27] 但如果是出現那種爵士大狗彈
[40:30] 那種可以創紀錄的
[40:31] 一般來講就像這種東西
[40:33] 它不會是什麼幾個散戶
[40:34] 隨便你都可以點上去
[40:35] 那一定就是大量的可能資金回補
[40:37] 然後大量的法輪幹進去
[40:39] 才會有這樣的抵出來
[40:40] 那一般那個抵就比較難破
[40:42] 那如果他要破掉的話
[40:43] 就代表說下面就是無底深淵
[40:45] 所以我們才會有一些自信去判斷說
[40:47] 搭配因為事件出來了
[40:49] 然後加上那種什麼爵士狗彈
[40:51] 所以有可能就抵在這邊
[40:53] 當然我知道一定會有另外一個平行時空
[40:55] 我講完之後然後再繼續破底
[40:56] 然後就會被人家笑說哈哈
[40:58] 但我覺得股票這種東西就是
[41:00] 如果你沒有辦法理解說
[41:01] 每個人都只能夠抓一個相對
[41:03] 就是說落水三千子取一瓢飲
[41:06] 那你不可能吃完全斷
[41:07] 你不可能抓到最完美的進出場點
[41:09] 你無法去懂這件事情
[41:10] 你就媽注定一輩子當韭菜
[41:11] 然後就跑去笑別人
[41:12] 那可是你笑別人笑一笑
[41:14] 別人的資產值會越來越高
[41:15] 那些想要去追求完美的
[41:16] 想要什麼完美抄底完美討頂什麼的
[41:19] 你就會注意到說
[41:20] 很多時候都是空手宅
[41:22] 就是怎麼樣都不會下場
[41:23] 因為下場就要知道說
[41:24] 市場就是有超級多的不確定性
[41:26] 我們要面對的就是波動跟不確定性
[41:29] 只能夠盡量的用
[41:30] 比較健全的心態去面對
[41:32] 然後資金的調整
[41:33] 就隨著自己的經驗
[41:34] 越來越熟練之後就會慢慢的懂得
[41:36] 但是千萬不要去遐想
[41:38] 可以抓到絕對的位置
[41:40] 所以像你講的
[41:41] 沒有辦法百分之百確定
[41:42] 對 就是沒有辦法百分之百確定
[41:43] 你乾脆跟我講說
[41:44] 誰可以百分之百確定
[41:46] 除了網路上的詐騙之外
[41:47] 你說大概投資英雄
[41:48] 你說巴菲特
[41:49] 巴菲特多少東西買完立刻被套
[41:51] 他如果真的像大家講
[41:52] 是投資之神的話
[41:54] 為什麼他被套
[41:55] 有些韭菜一定就會問這種問題
[41:56] 因為他不知道
[41:57] 就是市場是一個需要被尊重的地方
[42:00] 而不是說任何一個人可以
[42:01] 這邊就是怎麼樣
[42:02] 這邊就是怎樣
[42:03] 那個都是詐騙集團
[42:04] 下面一位
[42:05] 我不希望阿力跟一個垃圾在一起
[42:08] 關號為你談周小幫的業區
[42:10] 紀念我死去的國局
[42:12] 夢宮去搞好
[42:13] 前陣子酸左的事件
[42:14] 在媒體上炒了沸沸揚揚
[42:16] 假如關號只是假如而已
[42:18] 諾亞跟安哥在青少年叛逆時期
[42:20] 到處的搞事
[42:21] 你會怎麼應對跟處理
[42:22] 以及如何預防的
[42:23] 希望股市年底前可以衝破五萬點
[42:25] 紅顏路比稱霸
[42:27] Steam排行榜愛您
[42:30] 會怎麼樣應對跟處理
[42:31] 你說假設
[42:32] 或者就是變成像安佐哥這樣子的話
[42:34] 我覺得安佐哥的案例
[42:36] 已經是蠻困難的
[42:37] 因為他已經是形塑了一個人格
[42:39] 然後這個人格就是
[42:41] 可能比較不會被
[42:42] 現代的社會價值觀給接受
[42:44] 那他會覺得自己是對的
[42:46] 可是社會上很多人會覺得他是怪的
[42:48] 那爸爸可能在心中
[42:49] 就還是會覺得說
[42:50] 他是我的那个baby
[42:51] 所以就看起来是一个
[42:53] 有点荒诞的画面
[42:55] 那我个人是觉得
[42:57] 就是我们身为爸妈
[42:58] 我们是没有办法去保证
[43:00] 自己的孩子长大之后
[43:02] 一定会长成什么样子
[43:04] 就即便一些什么
[43:05] 亲子专家 两性专家
[43:06] 亲子专家小孩子变成说
[43:09] 干啦 外面恶搞的也有
[43:10] 两性专家自己离婚的也有
[43:13] 所以也不要想说
[43:15] 什么专家就一定会没事
[43:16] 其实这个就跟我们前面
[43:17] 讲股票一样
[43:18] 你哪有一件事情
