[00:00] 歡迎收聽股癌,我是孟恭。本集節目由ZZSleeper減二度兩感忘憂診贊助。
[26:30] 或是Coheren跟Luminten的光引擎本身?
[26:33] 另外這些製程究竟有多少是台積電或客戶自己掌握,多少會外包給設備或零組建廠?
[26:40] 如果從投資角度您認為哪個環節最有可能吃到量而不是只有題材?
[26:45] 這個已經是老生常談
[26:47] 就是一般來講你進入一個新的題材
[26:48] 然後你就會注意到有很多的所謂的概念股
[26:50] 那一般我們的做法就一定是全包
[26:52] 就是你真的要買這個股市你就會去把你認知的環節
[26:56] 就像你講的那個高精度主動對位
[26:58] 那個確實是非常重要的一個環節
[27:00] 所以為什麼就是過往你看到一些那種鏡頭廠
[27:02] 他們本來是在做那種什麼機械加工的嘛
[27:05] 然後現在這個機械加工它的精度必須要搞到半導體層級嘛
[27:08] 所以於是你看他直接吹到PE 30倍去
[27:10] 抑或是FAU相關的Components的股票,有些甚至在市場上大家整天在講說某某就不去點名人家,他坐進台積電,可是在台積電的人都講說根本就沒有看到這家廠商的東西有什麼展貨,可是你看他股價就永遠都在很高位的。
[27:25] 因為其實大家都會去做相對應的賭注,就是他去賭這件事情會發生,可是很多時候他最終你回頭看是跌破你的眼鏡的。
[27:34] 所以按照我們的經驗就是一般我們去買題材我們一定都是一包直接包
[27:39] 所以這位兄弟你猜的其實蠻完整的
[27:42] 就這些確實就是我們目前注意到在整個光通Supply Chain裡面的價值鏈
[27:46] 那只是你不太確定就是裡面的價值分配最終會落在哪
[27:50] 也就是Bottleneck到底會掉在哪個地方
[27:52] 哪個地方是真的可以漲價
[27:53] 那抑或是有些就像台積電它就是蠻多地方的一個Bottleneck
[27:57] 可是他們就是太有品了嘛
[27:59] 他們沒有像一些零組件瘋狂給你漲價
[28:01] 因為魏董都直接講了
[28:03] 他們是希望跟客戶一起成長,他也很羨慕那些記憶體廠商可以這樣去漲價,所以他不夠狠,他可能也沒有辦法在短期,就是有一些題材或者說很高的收益進來,然後把股價推很高,但這個推很高的蠻多就是推一波,然後很快就掉下來,因為客戶也不是笨蛋,客戶知道說你整天在學我,他就會立刻想要再去找Second或是Third Supply Chain,所以在我們的角度是你一定是先全包,你不是說每次都要買,可是就像說你每個主題你可能就可以挑個一兩檔,然後就把錢打進去,然後總共可能占你的部位30%、50%之類的,
[28:32] 然後可能是分散到適當裡面
[28:34] 那接著呢你一定會在過程之中會慢慢的發現
[28:37] 價值鏈是往哪跑
[28:38] 那個有時候就有點像是那種真相越辨越明一樣
[28:41] 你在前面不知道就像現在大家也會爭論
[28:43] 到底AI未來的價值鏈會是怎麼樣分配
[28:46] 是誰賺最多錢是雲還是大模型
[28:49] 還是最後面發現說其實就是這些賣產值的賺最多
[28:52] 沒有人知道都是邊走邊看
[28:54] 那一般來講反正你如果方向有壓對
[28:56] 你一定會賺到錢只是賺多賺少
[28:58] 你不一定會買到最漲的然後你買最多
[29:00] 但一般來說就是整個題材鏈的東西如果你有包到你應該都會是outperform大盤
[29:06] 所以建議你是直接廣撒下去
[29:09] 那這個沒有辦法在很初期的階段就說一定是哪個東西最受惠
[29:13] 就算它是最受惠它也不代表在投資的角度它是在短期內漲最多的東西
[29:18] 因為這還是要回歸到像前面講你漲價夠不夠狠嗎
[29:21] 你是不是現在大家採購去瘋狂搶的環節這都會有所影響
[29:26] 那下面一位
[29:27] 奔雷守文泰來
[29:29] 挨大您好,昨天是我朋友三重女股神新神的生日,想請您用猛男的聲音對他說出那四個字,恭喜發財!
[29:37] 謝謝孟恭,也祝您股市長紅別再賣飛愛您喔愛您。
[29:40] 那下面一位Rai,挨大有幾個問題想問。
[29:44] 一,有想過小朋友幾歲可以罵髒話嗎?要是還沒有到會不會給他態度矯正?
[29:49] 掛號小時候玩童的Toukei很紅但完全不知道意思,在玩電腦的時候唱了被我爸罵。
[29:55] 那二,假如某一天不小心看到諾娃在高墻會有什麼反應?
[29:58] 關號小時候差點被抓到,那最後想請用猛男的聲音祝台中Freedom黑暗殺手禁殺順利!
[30:06] 好那首先第一個,我們小時候紅的是什麼?羅百吉。
[30:10] 那你後來長大才知道說羅百吉,幹他真的是走在超前面,DJ Jerry走在超前面。
[30:16] 雖然可能蠻多人對他印象就是這樣,幹、幹、幹呀、幹呀,可是除此之外他的音樂蠻多都很前衛的,就你現在聽還是會認為是蠻有趣的。
[30:26] 那時候我們去唱這些歌的時候,我們就不去點名,因為他的歌詞真的都蠻露骨的。
[30:32] 你說我們真的想像的就是很literally,就是那個行為嗎?不是,你只是覺得很好笑、很好玩,然後你的朋友都在唱,所以你就跟著唱。
[30:40] 當然我們不會希望小朋友太早去開出口,所以你也注意到,我孩子之後,其實我節目的出口就越講越少,因為我一講,我發現他會學我,我就會盡量去克制我自己。
[30:49] 所以孩子也會幫助你學習
[30:51] 但大原則上我們會不希望他講出口
[30:55] 不然我也不會說我發現他模仿我我就停下來
[30:58] 所以孩子也是一面鏡子告訴你說什麼是對什麼是錯
[31:01] 所以理論上我會希望他在我面前都不要講出口
[31:05] 大概是這樣子
[31:06] 然後再來講說如果注意到他開始進入一些
[31:09] 就是這種生理需求的解決會怎麼辦
[31:11] 我會假裝沒看到
[31:13] 如果說我知道他做的這些事情
[31:15] 就像說他沒有做對
[31:17] 或是說他做的某些行為是有可能有風險的
[31:19] 我們會有那種Mans Talk的機會
[31:21] 我會提醒他
[31:22] 就是我希望我最終跟我的孩子
[31:24] 前幾天剛好聽一個投資朋友分享
[31:27] 他說他跟他孩子的互動就叫做沒大沒小
[31:30] 然後他其實覺得沒大沒小這件事不錯
[31:32] 因為他的目標就是成為他孩子的哥哥
[31:35] 而且他是用超認真的臉在講這件事情
[31:37] 不是說像一些那種地方阿姨說
[31:39] 我是我孩子的姐妹
[31:40] 他只是想讓自己年輕一點
[31:41] 沒有他是很認真把自己經營成為是哥哥
[31:44] 所以他會接受他的孩子有一點沒大沒小
[31:47] 因為沒有辦法就是你不可能通吃
[31:49] 你不可能期待說一個老公會賺錢
[31:51] 然後回家什麼家事也都會做
[31:52] 那個一般可能是怪怪的
[31:55] 有一些事情你不知道
[31:56] 一般來講人的專注力是有限的
[31:58] 然後跟精力的投入是有限的
[32:01] 那個分配你這邊好一點
[32:02] 那邊可能就差一點
[32:03] 所以他如果要跟你是像朋友的互動
[32:06] 他就一定不會這麼尊敬你
[32:07] 如果說他真的超級尊敬你的話
[32:09] 他就是沒有辦法跟你像是朋友
[32:12] 沒大沒小的一個互動
[32:13] 所以我會希望讓孩子是隨時可以跟我分享事情的人。
[32:17] 所以像你跟你朋友說,幹我昨天尻了幾槍,這樣都沒有問題。
[32:20] 我覺得我未來努力的方向會是這樣子。
[32:22] 那下面一位Majajja,你不要不愛我,Majami,後面是我自己加的。
[32:26] 跟主委推薦兩個東西,一人機迷惘Pragmeta,主委玩過了嗎?
[32:31] 二,請問主委現在拿哪一支牌子?如果有機會可以試試看Wilson Clash。
[32:34] 有機會可以試打看看,超軟Q打起來舒適又輕鬆,手肘跟手腕相對友善。
[32:40] 那順便問一下主委有遇過很有錢但很摳又很愛奧朋友的人嗎?
[32:45] 遇到這種盪生王者真的是很賭爛
[32:47] 超爽得感恩愛你歐愛你
[32:49] 欸這款還沒有很認真去玩它
[32:52] 但是我在PC跟PlayStation都已經有下載
[32:55] 然後稍微的小玩一點
[32:56] 就目前還沒有時間去玩
[32:57] 聽說超級好玩
[32:58] 聽說卡普空現在on fire推的東西都很屌
[33:01] 然後再來講說是哪一個拍子
[33:03] 我有一個是Wilson
[33:04] 然後另外一個我一直想不起來好像叫做Head
[33:06] 那個是朋友送我的
[33:07] 問題就是兩支拍子會輪流使用
[33:08] 那一個拍子是屬於你的發力要大力一點的可以把球打回去比較Q彈那種那另外一種就是很硬的
[33:14] 但很硬的那果蝦打起來的手感是蠻好的那非常感謝你推薦拍子
[33:18] 然後再講說有沒有遇到這樣子的人一定會遇到啊
[33:21] 而且那個其實跟有錢與否沒有關係
[33:24] 就是蠻多人會喜歡講成說有錢人一定就是怎麼樣
[33:27] 沒有啦有錢的人有大方跟小氣的窮鬼也有大方跟小氣的
[33:31] 這個人是有很多面向的
[33:33] 人我也不相信只有十二星座這麼少啦
[33:35] 那應該是很複雜的一種東西
[33:37] 所以一般跟他有錢與否沒有關係,只是他有錢又很小氣的話會讓你格外的不爽
[33:42] 就是在相較之下,如果剛好又有一個可能是比較捉襟見肘的朋友,但是他很樂意跟大家分享
[33:48] 你立刻就會覺得說後者是天使,前面那個是蓋尼亞笨手東西
[33:52] 所以一定會遇到,一般遇到這種人你就閃遠一點就好
[33:56] 就是我自己也是不太喜歡很愛算,或者是過於精明
[34:00] 就是他最聰明,別人都是笨蛋那種,我是不喜歡這樣子的人
[34:04] 所以就直接閃開就好
[34:05] Fan Fanny 猛攻大大您好,我男友是從麥克風裝返就開始聽得聽眾。您的節目是他每天通勤南崁內湖的陪伴,只要同一集重複播放兩次還沒有到內湖他就會抓狂。我很感謝有您線上陪伴辛苦通勤的他。想借您的親口用川普的聲音祝他9月22號生日快樂,再用柔弱小貓的聲音說,柔弱小貓是他媽撒小,上班辛苦了。
[34:33] 那之前看到小朋友...
[34:35] 我想把我自己殺掉
[34:37] 之前看到小朋友滑雪好可愛
[34:39] 想請問孟恭會想帶兩位小朋友去滑雪嗎?
[34:41] 推薦您新野度假村
[34:43] 裡面還有很多設施可以玩個幾天都沒有問題
[34:45] 那最後我的水屯男友非常喜歡橘子
[34:47] 請問可以用橘子當這一集的標題嗎?
[34:49] 那最後祝您績效長紅全家平安順心
[34:53] 之前是有稍微研究一下滑雪
[34:55] 因為有一陣子我注意到身邊有蠻多朋友就整天都跑去滑雪
[34:57] 我也不知道到底在滑什麼意思
[34:59] 因為你問他們他們都說啊很好玩啊很好玩
[35:01] 當然要玩然後下面一句就結束
[35:02] 啊要小心摔斷手啊
[35:03] 注意掉下去的時候
[35:04] 骨盆可能會裂掉
[35:05] 我說那到底好玩在哪
[35:07] 就是為什麼要去做這種事情
[35:08] 所以一開始看大家在滑雪的時候
[35:10] 當然有想過說是不是要去
[35:11] 所以那時候就在找嘛
[35:12] 然後後來發現說我可能找錯
[35:14] 因為我就發現說
[35:14] 身邊有些朋友會跑去二世谷
[35:16] 然後後來知道二世谷就是一個
[35:17] 反正就是很資本主義點到最滿的地方啦
[35:20] 你願意花錢可能也會好玩
[35:22] 但不一定
[35:22] 就是有時候你還要去找一些在地的東西
[35:24] 可能會更多有趣的
[35:25] 所以確實有人跟我推薦
[35:26] 星野
[35:27] 而且星野是不是類似那種全包式的
[35:29] 好,反正忘記了,就有人也跟我推了幾個全包式的,就是小朋友可以有所照顧,那你也可以玩到的,或許之後會找機會去試看看啦。
[35:37] 但我後來就是聽了太多滑雪的恐怖故事,然後後來有一個朋友跟我分享,他有一個朋友跑去滑雪,然後接著呢就跌倒,然後跌倒的時候還大家不知道他跌倒,因為他就坐在旁邊,大家有在休息什麼的,然後後來還知道說原來他是跌倒,然後在那邊已經放空了,然後接著呢就是過去幾天的滑雪的故事他全部都忘記了,他全部都忘光了,他根本就不知道他為什麼在這個地方之類的。
[35:59] 想到很恐怖,外加也看到有蠻多朋友摔斷手或屁股撞傷之類的。
[36:04] 我覺得我會三思,可能會挑那種最簡單的東西,想玩一下就好。
[36:08] 因為現在生命對我來講是一個蠻重要的事情。
[36:11] 下面一位James Chang,孟恭午安希望孟恭用下面的心境說出PN好痛四個字。
[36:17] 1.持股當天全面漲停。
[36:20] PN好痛!
[36:21] 2.川普拿出小版本後跌停三天。
[36:25] PN好痛。
[36:26] 3.生氣。
[36:27] PN好痛!
[36:28] 期待 屁眼好痛 害羞 屁眼好痛 最後祝您全家平安天天開心
[36:35] 欸你們不要再叫我去模仿一些聲音了
[36:37] 因為我有點像是說求來就打啦
[36:40] 可是有些東西就是我講完之後我會發自內心的憎恨自己
[36:43] 就是不要再做這種事了
[36:44] 下面有位John MK想問你美股當初怎麼開槓桿的融資好貴喔
[36:49] 欸對美股就是融資特別貴的一個地方
[36:51] 那如果你今天是用option的話
[36:52] 你去把它換算成為利率也是很貴的一個東西
[36:55] 但好處就是什麼
[36:55] 就如果說你真的不小心call對的話
[36:58] 就蠻爽的,我最近一次靠Option就是前面有一波Intel,那個真的是極爽,但基本上Option它有點類似說可能蠻多最後都會是賠錢或是小賠收場這樣,偶爾撈到一個大的,然後大的去補全部。
[37:11] 那我是怎麼樣使用槓桿?一般會使用Option,然後再外加一些Margin,那你就不要去想那個利率啊,你去開融資槓桿,你就是想說我就要賺得比較多,就是這樣。
[37:20] 那當然你在台灣開會是更自在的一件事情,台灣的成本大概落到2-3%,現在應該全面都上修到3%左右了。美股的話,10幾%有時候都是蠻常見的一個事情,所以就是要去評估一下自己過往的績效是怎麼樣,然後再考慮要不要來開槓桿。
[37:34] 一般開槓桿它不會是長期的把眼後都比較偏向是去trade的一些看法或是消息會是這樣子做。
[37:41] 下面一位,三個愛心,孟光安我有幾個問題想問,不方便的話直接跳過。
[37:47] 1. 笑男不公開的遊戲個人猜測是?
[37:51] 嗯對就是蠻會猜的但我們不能夠跟大家講
[37:55] 2. 個人很愛隔壁太太2黑白妹
[37:58] 之前你說你是黃油專家有沒有你很愛的小黃油
[38:02] 隔壁太太2真的是一個把文本做到極限的小黃油
[38:07] 特別是在你玩完之後的後日談
[38:09] 他會從太太的角度去講自己那個悖德行為
[38:12] 那個文本是非常強大的一個黃油
[38:15] 那再來因為後來我意識到
[38:17] 就是有時候我太自我了
[38:18] 簡單講說節目本來我的態度就是我想分享什麼就分享什麼
[38:21] 但有時候我意識到我們這個是有那種闔家收聽的
[38:24] 有些家長可能會比較難以去跟小朋友去解釋說到底現在發生什麼事情
[38:29] 所以有些東西我可能會講
[38:30] 有些東西我可能就後來我自己會去做一點調整
[38:33] 還是盡可能的口無遮攔
[38:35] 像這樣那麼講什麼
[38:36] 因為那也是原汁原味
[38:37] 但去推薦黃油這個
[38:38] 你來問我
[38:39] 那我就可以回你
[38:40] 但你要我去推我可能就比較不方便
[38:42] 三孟恭你有沒有考慮養貓貓真的好可愛
[38:46] 而且不需要遛。大小便、清潔方便。
[38:49] 沒有養過的人可能覺得貓咪很冷漠,但其實家貓也是很親人的。
[38:52] 最後祝您全家健康快樂,一切平安愛您。
[38:55] 這個貓咪的話我自己也是有養過,而且我至今對那隻貓咪都有很大的一個虧欠。
[39:00] 簡單來講這個貓咪是我們那時候在台東去做飛行訓練的時候,
[39:04] 然後有一次我們去台東大學健身房,然後在門口的一個,反正往健身房的路上,
[39:08] 它有一個大牌,然後這個大牌上面就是有很簡單的水泥可以通過這樣,
[39:13] 然後在大牌裡面我們就聽到有貓咪的喵喵喵喵的聲音。
[39:15] 這一個很早期的節目說不定有分享過
[39:17] 那總之呢大家就把這隻貓咪帶回家然後一起養在宿舍裡面
[39:20] 然後後來大家都知道這個故事就是威航倒閉
[39:23] 然後我們的公司就直接就地解散
[39:25] 那當時大家就先回家啦
[39:27] 就雖然我們家同事所有都還是有在線上拒飛
[39:30] 可是當時真的沒有人知道說未來會發生什麼事情
[39:32] 所以大家都是一個非常難過的心態
[39:34] 然後那隻貓咪呢就有點變成說不知道誰要帶回家
[39:38] 那我就是屬於那一種
[39:39] 也不是說我正義感到傻小
[39:40] 我想說好反正就感覺我應該可以吧
[39:42] 我就把它選擇先帶回家去養
[39:45] 但是後來的事情就發生得太快,就是接著在台北搞東西,然後後來又遇到我老婆什麼結婚、小孩之類的,然後後來我們有一隻狗狗Choco,那有Choco之後,這個貓咪就沒有辦法跟狗在同一個環境裡面,所以那隻貓咪後來就是圍遊家人,就是在苗栗,所以這是一個我至今都覺得是蠻不好的事情,因為你就變成是很多人就是那種動物就是丟回去給家裡養這樣,那當然我會去負責一些開銷啦,只是就是變成可能只有回家的時候去看看它,
[40:13] 後來有了二寶之後又沒有再回家
[40:16] 然後前陣子貓咪就過世了
[40:18] 我就去幫牠儲戶
[40:20] 那想起來是一個就是蠻難過
[40:22] 然後就是有虧欠的故事
[40:23] 就希望說下輩子可以再一次的去彌補它
[40:28] 我就覺得說這隻貓咪應該可以過得更好
[40:30] 雖然牠在苗栗也過得蠻好
[40:31] 但牠就是沒有辦法在我的身邊跟我一起生活
[40:34] 大概這樣子
[40:34] 貓咪確實是一個蠻棒的東西
[40:36] 牠最棒的是全自動
[40:38] 就是牠會自理
[40:38] 牠不像狗狗
[40:40] 可能今天要拉屎要什麼樣的
[40:42] 你就是要幫牠處理
[40:43] 他比較貓就直接丟到貓砂裡面然後就很好料理
[40:46] 狗會有比較多的需求啦
[40:48] 但狗跟貓其實都是不錯的存在
[40:50] 他算是去反映了兩種人格
[40:52] 就是你會選擇當貓的一個氏族
[40:55] 其實那個特性會相對類似
[40:57] 會選擇狗的其實也是相對類似
[40:59] 只是後來我還是這個比較傾向是狗派
[41:01] 我覺得狗是一個
[41:03] 不知道就有時候人家講說什麼生個叉燒都比生某個兒子好之類的
[41:09] 有些人可能對小孩很失望
[41:10] 會有這樣的一個想法
[41:11] 但狗是一個很難讓你感覺到失望的東西,牠永遠都是在家裡最期待你回來的,然後牠看到你就是搖尾巴超級開心,帶牠出去,你會感覺到為什麼狗的生命這麼短的一個哀傷,就是牠們很喜歡牠的生命,那可是為什麼要活這麼短?
[41:28] 當然貓咪也蠻不錯啦,只是貓咪絕大多數都不是那種很loving的,牠可能就是想吃飯,想要奴役你的時候,然後跑到你隔壁這樣發出那個震動聲,都不錯都不錯。
[41:39] 那下面一位桑培隆出家當尼姑的鴿子算是一種尼哥嗎?
[41:44] 不是你們不要再講這種這種可能會讓我惹上麻煩的東西
[41:48] 因為我的制約就是我不會跳過任何的留言
[41:51] 我就一個一個念
[41:52] 然後念了之後像最近那個超立方喔
[41:55] 他不叫超立方他叫什麼超富賀啦
[41:58] 他就是那個節目又直接播出來
[42:00] 然後說啊謝孟恭你這樣不行啊
[42:02] 謝孟恭你怎麼可以講這個不是我講的
[42:04] 都是你們講的
[42:05] 然後你們把話塞到嘴巴裡面
[42:06] 然後哪一天害我給人家騷
[42:08] 感謝孟恭每週固定的分享
[42:12] 請問孟恭有要帶諾亞出去看雞爪跟馬票好難搶哦
[42:16] 愛您接力棒
[42:17] 這個是一定會處理好的
[42:19] 就絕對會帶大家去看
[42:20] 你剛剛講雞爪跟我想說什麼
[42:21] 就G-Dragon
[42:22] Big Ben要來台灣唱歌嗎
[42:25] 這個是勢在必行
[42:26] 一定要去看一下
[42:27] 因為我兒子是Big Ben的
[42:29] 算是狂粉蠻喜歡的
[42:30] 下面一位
[42:31] 其美劉德華永康三寶爸
[42:33] 請問什麼時候來台南喝牛肉湯
[42:35] 感謝孟恭去趕每週無私的分享
[42:38] 先祝福何家平安,紅眼路比長紅愛您,請關愛大愛,保佑內湖吳奇隆和Tiffany,寶貝這次忘記帶東西了,請讓他趕快回來。
[42:47] 未來母子均安將捐出每個月的薪水一半,連續半年給台大兒科醫院。
[43:08] 因為遇到就是遇到了。
[43:09] 一個是選擇怨天尤人,我為什麼這麼衰,我為什麼怎麼樣,你最後面會讓自己掉入一個不好的循環裡面。
[43:17] 那另外一個是,雖然感覺是傻樂觀,雖然有點像你甚至會覺得我是不是在自欺欺人,我是不是在編一個故事讓我自己好過,但你們全家的氣氛就會不一樣。
[43:27] 所以盡可能的用樂觀的心態去面對所有的事情是生命中一個非常重要的指導原則。
[43:33] 不管你現在多苦多慘、多不如意、遇到多賽曉的事情,你用樂觀的心態去解出來的機率都會比較高一點。
[43:41] 這是我自己的感覺,那我相信它一定會順利回來的。
[43:44] 下面一位,五股果果爸,感謝孟恭去卡女寶8月底已經順利地降落地球,目前正在新手村努力學習技能中,先前提到的吸管真的很實用,掛號可玩,應放入代產包必備物品之一。
[43:59] 另外想請問,想幫女保取個英文名字,想說看有沒有靈感。諾亞奇安真的都好聽又好記,最後祝一家平安順遂。
[44:08] 不是啊,你要先給我一點,像之前不是有一位他就放了中文的名字嗎?
[44:12] 那接著我就可以大概去想說英文名字怎麼樣?
[44:15] 因為我現在的一個大原則是,我盡量讓孩子只有一個英文名字,或說只有一個中文名字。
[44:21] 這是一個連貫的名字,而不是說我今天可能叫孟恭,然後我的英文叫Freddy或者是Mark,還有什麼Sebastian之類的。
[44:30] 我覺得這是不對的啦,這個也算是我之前岳母的男朋友給我的一個靈感。
[44:35] 就說奇怪了,為什麼你要幫自己額外取個名字,那就不是你的名字,你的名字應該是什麼。
[44:39] 但這個每個人見仁見智啦,我知道現在可能在一些業界大家還是習慣會幫自己取一個就是跟自己名字無關的名字。
[44:47] 但我現在心態是這樣,所以如果你找我的話我一定都是用諧音梗啦。
[44:50] 我們台灣人最會寫音梗
[44:52] 所以像那時候也是先想說
[44:54] 因為他要叫Noah
[44:55] Noah就很簡單嘛
[44:56] 就諾亞嘛
[44:57] 那Killian要怎麼樣把它變成中文
[44:59] 就Ki就是奇嘛
[45:00] 那N跟安算有一點差
[45:02] 本來是要叫奇恩
[45:03] 但後來覺得奇恩還有點那種太教會的感覺
[45:06] 就奇安
[45:07] 大概可以啦
[45:08] Killian可能有些那種腔調的關係
[45:10] 你就覺得這個也是OK的
[45:11] 所以就是給他一個名字就好
[45:13] 所以如果你給我一點靈感的話
[45:14] 說不定我可以幫忙想
[45:16] 那你要憑空捏一個名字的話
[45:17] 我覺得是比較困難一點
[45:19] 各位今朝展覽館,嗨夢共家,之前有聊到諾亞不喜歡吃肉,有點共鳴想分享,原本我也是孩子開心就好的順義派,然後後來跟老婆討論,瓜瓜被教訓之後才醒悟,給孩子自由不是讓他想做什麼就做什麼,而是該做的事情裡面讓他自己能夠選擇可以接受的方式,例如說小孩睡前不想刷牙,順著他並不是直接讓他不刷,而是先弄清楚原因,太累了就提早刷,牙刷會痛就換成軟毛牙刷,重點不是因為他拒絕就放棄,而是找到拒絕背後的原因再陪他一起解決。
[45:46] 我們這一代的物質條件比較充足,也有餘裕去嘗試不同的方法,不必再複製以前那種不聽話就打的教育。
[45:53] 這是我最近對給孩子自由的心理解釋分享給同樣想尊重孩子卻不知道界線怎麼樣拿捏的父母。
[45:59] 這位兄弟完全講到我心坎裡,他跟我的做法還是一樣。
[46:03] 我跟我太太第一個討論的東西也是,如果我們立刻順著他,然後跟學校說你就是給他額外的選項。
[46:10] 我們不是那種奧客,我們不是說什麼就是為了兒子去克制的話,不是。
[46:13] 就是可能你不喜歡吃肉是不是,那你就吃素。
[46:16] 但我們發現這樣是不行的
[46:17] 就是我們一定會去討論各種可行性
[46:19] 那我們立刻就發現說這個不行
[46:21] 就是你一定還是要讓他知道說你不喜歡吃肉是不是
[46:23] 那我們是不是有一些解方可以讓你吃肉
[46:25] 你不喜歡吃肉原因是因為味道嗎
[46:27] 那還是因為是尺寸
[46:29] 那我們會發現說尺寸有蠻大的一個關係
[46:31] 他很懶惰他就是不想要去嚼很大的東西
[46:34] 所以怎麼樣你可能就是讓他變小一點
[46:36] 所以就跟他講說你可以自己去用剪刀
[46:38] 因為我們家有教他去用剪刀
[46:39] 我們孩子是會用剪刀的
[46:40] 就是你把這個肉變小
[46:42] 或是如果說老師不給你用的話
[46:43] 那就是請老師幫忙一下
[46:45] 這老師願意幫忙
[46:46] 讓你的東西變成是你可以放進嘴巴裡面的
[46:48] 就像他講的我們去解構到底為什麼你會有這樣的一個反感
[46:53] 你為什麼會這樣子想
[46:54] 然後接著我們盡量去拆
[46:56] 那如果有些東西是站在爸媽的角度
[46:59] 而且我們已經盡可能的抽離
[47:01] 就是類似用第三者角度去看
[47:03] 這件事情就是該做的
[47:05] 那我們還是會讓他做
[47:06] 只是會讓他怎麼講
[47:08] 就心態上比較可以接受的方式
[47:10] 就像說他會去抱怨說他不想要上學
[47:12] 可是我怎麼可能不讓你上學
[47:14] 我如果真的就不讓你上學的話
[47:15] 我這個就要把你寵壞
[47:17] 我一定要讓你上學
[47:18] 但是我要怎麼樣讓你喜歡上學校
[47:20] 就小以大義嘛講一些東西設定一些獎勵
[47:23] 然後再來就是跟他分享爸媽的故事
[47:24] 或是他回來的時候你多跟他聊在學校發生什麼東西
[47:27] 其實久而久之去聚焦在快樂的一些元素
[47:31] 他們就會去期待在學校裡面會發生那些快樂的元素
[47:34] 所以我也跟他約定就是晚上一起戴上這個夢幻手錶
[47:38] 我們自己亂取的反正那時候去
[47:40] 那是哪個地方
[47:41] 美國的環球影城裡面的瑪利歐樂園
[47:44] 他會給你一個手錶
[47:45] JSON HSU
[48:15] 為何三國時期的周瑜要向孫權推薦甘寧擔任水軍將領嗎?
[48:19] 因為某天在操兵演習結束後的周瑜看到甘寧正在把衣服上的漢字擰乾,驚訝地發現原來甘寧的名字倒過來念就是擰乾,想必是善於水性之人,所以就向孫權推任此人擔任將軍。
[48:32] 全球首次接觸半導體公司的工作人員,有多大?
[49:02] 這週六 9月12日生日的地方三重黃爸爸 四個字嗎?
[49:08] 恭喜發財!
[49:09] 不過我知道我只想到這四個字
[49:11] 祝猛公會家世事順心 諾亞安哥健康長大 麗莎好漂亮 秋後幹你娘愛你愛你
[49:16] 希望你可以順利的拿下你的碩士學位
[49:20] 但笑話可能就以後不要再講了
[49:21] 下面一位寶寶兔 祝安安想問
[49:24] 主委對Pentier受到Google DeepMind切入政府跟軍工影響的看法 謝謝你
[49:30] 完全不會去想這種東西
[49:31] 大家不要認為這個世界是零和的,有人進來,另外一個人就要去死。這個世界的經濟跟 TAM 都要去想像它是會一直在擴張的,它不是一個零和的市場,有人進來,然後另外一個人就會去死。
[49:44] 所以一個正常的市場本來就會越來越多 player 進來,這才是正常且值得去征途的市場。所以不覺得這個是有什麼影響。
