[00:00] 歡迎收聽趙懷古惑仔第1167集,今天是2026年的8月21號,又是星期五啦!
[32:38] 現在語速上前盤中跌快10%吧
[32:40] 所以告訴你說其實資金開始又有點在淡化
[32:44] 那他們確實也漲了一段
[32:46] 所以你就要留意就是說這個題材消失完之後它的基本面能不能support
[32:50] 我個人覺得新代應該後面還會繼續往上走啦
[32:53] 但是我覺得他現在開始觸角開始往外移了
[32:56] 所以我覺得你也可以觀察一下他去轉投資的那些公司未來的變化
[33:01] 例如說像他跟蒙利也有合資一個公司嘛
[33:04] 我如果沒記錯的話
[33:05] 因為他跟河大也有合資一個公司
[33:08] 其實這些都是他們未來在不管是協駁或是減速上面的一個新的發展
[33:13] 其實大家都可以做觀察
[33:14] 而且很多機器人股他是多角化的啦
[33:17] 通常他可能會跨到部分是半導體
[33:20] 其實上一大銀委也有在講這個話題喔
[33:22] 有
[33:22] 盟利也有啊
[33:23] 有
[33:24] 盟利也有半導體相關設備
[33:25] 所以我覺得如果是兩邊都有的人
[33:27] 不妨就是可以多觀察
[33:30] 因為他有一半是其實在位階上比較低的
[33:33] 對
[33:33] 他有一半其實是大家比較寄予厚望就是半導體的部分
[33:37] 對
[33:37] 如果這兩半都能夠合而為一往上走的時候
[33:40] 對他們的股價的爆發力就會有明顯的
[33:43] 其實盟利前一陣子就有創歷史新高
[33:46] 但最近也回的比較多一點點
[33:47] 盟利提的還很多嘛
[33:48] 因為第一個他有ABF
[33:49] 這幾個股票的成本是如何?
[34:19] 這就是股價的基本面。通常空投的時候,題材相對是比較不受用的。題材通常都沒有辦法激勵它上漲,反而是負面題材它就會下跌。但是如果是實質的基本面,業績真的好,它股價就是會上漲。
[34:33] 所以我覺得大家從這個角度去看,再來就是時間點我講,很快就進入九月份,我說九月份開始就會迎來一些半導體新的題材。
[34:41] 亞利桑那州市長要來台灣,那是媒體戰略大寫特寫,尤其是我們政府跟美國關係又這麼渴望能夠更親近,一定會大輸特輸。
[34:52] 好,九月的半導體戰,那個規模應該也是史上最大,其實現在動不動就是史上最大,在AI的簇擁下什麼都史上最大,所以大家也可以期待一下當時的發酵,那你真的不講一下九月升降期的預期這件事了嗎?
[35:06] 9月我個人覺得升息的機會很大
[35:09] 雖然市場其實大家都看得比較保守
[35:13] 所以想聽聽你的見解
[35:14] 飛蛙旗目前好像是4成吧
[35:15] 36剛剛開始36
[35:17] 對
[35:18] 但我覺得其實要從8月19這個轉折點開始看起
[35:23] 就是你要觀察這個禮拜市場的氛圍
[35:26] 因為感覺上油價就是已經被點燃了
[35:30] 它下不來
[35:31] 其實這就要考驗到說川普到底怎麼去對應這件事情
[35:35] 因為你要知道升息對美國的房地產還有對AI的籌資都是很不利的
[35:41] 都是很不利的
[35:42] 這個我們有聊了
[35:43] 那這是川普不樂見的
[35:44] 對
[35:45] 但是情勢已經逼到這樣
[35:47] 所以他會不會犧牲一下去維持他對伊朗目前的態度
[35:51] 是
[35:51] 我覺得這也是要觀察
[35:52] 因為感覺伊朗就是很難剔頭
[35:54] 沒錯
[35:54] 對
[35:54] 所以伊朗他也不認輸
[35:56] 那你又沒有辦法對付他
[35:58] 所以我覺得他其實就是逼迫中國
[36:01] 就是跟中國講說你就不要買伊朗的油
[36:04] 伊朗就會認輸,因為伊朗80%的油都是賣給中國,所以伊朗斷了經濟命脈,當然他就只能認輸,我覺得他就想做這件事情。
[36:17] 好,這個我們就靜觀其變,因為我為什麼覺得可能會有點干擾是,我認為前一波在下殺的時候,也跟聽眾朋友分享過,他已經有反映到升息預期這件事,反映到驅槓桿等等的資金緊縮面的事情。
[36:33] 但是因為又談上來了嘛,事情就這樣,又談上來了,而且現在FairWatch的9月升息機率又比較低,假如有個萬一,那市場又嚇一跳,市場就怕嚇一跳。
[36:44] 嚇一跳,當然凱哥也講過,就算是預防性升息也不礙事,反應完了就完了,一碼真的也沒什麼這樣子。
[36:52] 所以我們就只要謹記著今天在節目裡面跟大家分享的,到底整體的產業的情況如何,節奏如何,
[36:59] 如果今年的成長率是高的,明年沒有那麼高,但股價修正這已經是機會。
[37:05] 今年的成長率沒有那麼高,明年特別高,這也是機會。
[37:08] 所以我們只要相信這個AI的產業往前走的情況下,我們受惠的廠商真的很多,只要節奏抓好,心有定見就對了。
[37:17] 那今天是星期五喔,希望大家週末愉快囉。
[37:20] 對,週末愉快。
[37:21] 大家掰掰。
[37:22] 大家晚上記得看達人秀喔。
[37:24] 晚上看達人秀喔,掰掰。
[37:29] MING PAO CANADA MING PAO TORONTO
