[00:00] 歡迎收聽趙華與古貨仔第1021集1021
[25:25] 最近的市場股價的表現
[25:28] 我覺得很多所謂的
[25:31] 你說我富裕哥好像講的
[25:34] 很頭頭是道
[25:35] 我告訴你
[25:36] 這股市很多聰明人
[25:37] 大家也都看得出來
[25:39] 所以都會
[25:41] 他們的股價表現
[25:42] 大概也就一夜之秋
[25:44] 所以富裕哥很堅定的覺得
[25:48] 70件大家可以看一下
[25:49] 因為我們的70件的競爭力
[25:51] 是蠻好的
[25:52] 這必須跟大家講
[25:54] 然後像除了地寶之外
[25:56] 大家也會看像東洋
[25:57] 東洋也算是在北美
[25:59] 市佔率非常好的公司
[26:01] 甚至他們在美國也有廠
[26:02] 有時候本來就不見得
[26:04] 已經完全受害於關稅了
[26:06] 現在狀況又變得比較好
[26:08] 當然還加上一個
[26:09] 就是川普現在跟格林蘭
[26:11] 他想要把格林蘭買下來
[26:14] 所以他就覺得
[26:15] 有阻擋他的一些歐盟國家
[26:16] 他也會克徵10%的疊加關稅
[26:19] 這個關稅依舊是川普的武器
[26:22] 希望我們這些亞洲國家
[26:24] 是已經離開這個風暴
[26:26] 那如果去對付歐洲
[26:28] 那相關的像工具機
[26:29] 對不對
[26:30] 有一些跟歐洲在做競爭的
[26:31] 可能也有受惠的可能性
[26:33] 不曉得工具機這一塊
[26:35] 富士哥怎麼看
[26:36] 因為大家例如說
[26:37] 比較喜歡看上癮
[26:38] 如果上癮有動
[26:39] 可能覺得全體的工藝機
[26:41] 才有可能轉
[26:41] 我不認為要看上癮
[26:43] 上癮不是指標
[26:45] 為什麼
[26:45] 美國市場占上癮的比重
[26:48] 並沒有很高
[26:49] 大概二十幾趴
[26:52] 我認為稱之為高
[26:53] 要三十五趴以上
[26:55] 像地寶的美國比重大概是40%
[26:59] 東洋更高
[27:01] 東洋大概是六七十%
[27:03] 那提維西跟地寶是差不多
[27:06] 伯仲之間就是40%上下
[27:08] 那我的上癮沒有那麼高
[27:11] 那工具機你看誰
[27:12] 因為上癮可能中國大陸那邊還是蠻多的
[27:15] 對對
[27:15] 那第二個就是我覺得工具機
[27:17] 要看那種
[27:18] 你假如說是做人家零件的
[27:21] 我是零件的一部分
[27:24] 我告訴你那個關稅
[27:26] 我認為他那個都是客戶在負擔關稅
[27:28] 頂多就是說
[27:29] 客戶說你那個現在有關稅
[27:31] 調整我們你也要負擔一下
[27:34] 會拆啦
[27:35] 拆整
[27:36] 但是你假如做那種
[27:38] 比如說整個整機的
[27:40] 農民加工機啦
[27:41] 這種東西
[27:42] 臺中經濟
[27:44] 東臺啦
[27:45] 臺中經濟啦
[27:47] 什麼成泰啦
[27:49] 這種整整桌的啦
[27:52] 他們那個關稅
[27:55] 我認為是相當程度是自己負擔
[27:57] 那他可能是受惠會比較多
[28:00] 而且我剛才講的成泰
[28:02] 這些美國比重又比較高
[28:04] 像榮澤科
[28:07] 大家記不記得榮澤科
[28:09] 實在是很有趣
[28:10] 工具機的第一槍就榮澤科
[28:12] 我還記得那時候我做parket
[28:13] 然後要錄音前就看到榮澤科
[28:15] 發了一個無薪假宣告
[28:16] 然後我就想完了
[28:17] 這不就完了嗎
[28:18] 就是整體的臺中中部的工具機廠商
[28:22] 應該都無法倖免於難
[28:24] 就是狀況很差
[28:25] 對
[28:25] 所以如果龍澤科有復活
[28:27] 我覺得會是一個很大的指標
[28:29] 對
[28:29] 我會把它當成指標
[28:31] 真的
[28:31] 我會把它當成指標
[28:32] 但我不會把上林當成指標
[28:35] 不是它不好
[28:35] 是它的比重的問題
[28:37] 就是結構的問題
[28:38] 所以工具機
[28:39] 但是問題是說工具機有個軟熱
[28:41] 軟熱
[28:42] 就是工具機
[28:43] 我剛才講的
[28:45] 那個
[28:45] 那個
[28:46] 比如說龍澤科
[28:48] 陳泰
[28:50] 陳泰一家還有小賺
[28:51] 就是大部分屬於虧損
[28:53] 因為去年太慘了
[28:54] 但你也可以反向思考
[28:57] 因為去年太慘
[28:58] 那今年搞不好
[28:59] 今年搞不好
[29:00] 那個recover的機會
[29:02] recover的機會就會更強
[29:05] 你也可以這麼思考
[29:06] 比較積極
[29:06] 但畢竟夫婿都已經快60歲
[29:08] 生性膽小
[29:10] 對於虧損的公司
[29:12] 就是比較提不起勁
[29:13] 今年讓我覺得
[29:16] 沒有什麼不可能
[29:18] 對不對
[29:18] 因為像面板也在漲
[29:19] 當然因為他們有三出行風中
[29:21] 我必須再跟大家分享
[29:23] 但是你說是不是獲利很好
[29:25] 不是嗎
[29:25] 所以他就比較難成為像富士哥眼中喜歡的
[29:29] 但是富士哥之前講過像驅動IC
[29:31] 有蠻多本益比很低的
[29:33] 講過續創
[29:34] 對不對
[29:34] 當然這一波沒有大漲
[29:36] 可是也是溫溫的
[29:38] 對
[29:38] 就是也沒有在下跌
[29:40] 例如說我喜歡看聯勇
[29:42] 對不對
[29:42] 那當然因為以獲利來說
[29:44] 我也必須講
[29:45] 我也打聽過
[29:45] 他們覺得今年要成長並不容易
[29:47] 因為第一是
[29:48] 他們還是有蠻大一塊
[29:49] 市場是在中國的
[29:51] 第二是他們難免
[29:52] 還是有做到中國的消費性電子
[29:54] 那這兩塊還是很難
[29:56] 在2026年看到契機
[29:57] 必須說
[29:58] 但是今年有沒有可能
[29:59] 在評價面上有所提升呢
[30:01] 這個就不知道了
[30:03] 這就要看整體市場環境
[30:05] 有沒有一點點的改變
[30:06] 包括自己中國內需
[30:08] 我們講差了那麼多年
[30:09] 到底有沒有哪一年可以好一些
[30:11] 或是說像我瞭解3034的聯勇
[30:13] 他是有想辦法
[30:14] 從中國市場做出去
[30:16] 就不要再卷在裡面
[30:17] 想辦法多爭取一些美系的客戶
[30:20] 大家都會想辦法
[30:21] 就像昨天我有回答一位
[30:24] 有私訊我的網友
[30:25] 因為他在問一家材料公司
[30:27] 那這家材料公司很奇妙
[30:28] 他今天漲停板
[30:29] 但我的看法沒有改變
[30:31] 我的意思是
[30:32] 現在有在中國有比較大的
[30:34] 像剛剛為什麼夫妻哥說
[30:35] 上癮他不能算指標
[30:36] 因為還有像雅德克
[30:37] 雅德克很多的產能
[30:39] 也是放在中國
[30:40] 他們就是相對比較辛苦
[30:42] 可是你說他們能不能受惠於
[30:44] 今年可能大家對整體族群的評價上升
[30:47] 這個我就說不準
[30:48] 有可能
[30:48] 而且他們其實在開發說什麼時候
[30:51] 他們也是想辦法在解決這個問題
[30:53] 就是我如何把我在中國區的產能
[30:56] 能夠移出來到更受惠的地方去
[30:58] 其實每一家
[30:59] 如果是稍微有點資歷的廠商
[31:01] 都在努力這件事情
[31:03] 所以什麼時候有成果
[31:04] 我們就各自follow自己喜歡的公司
[31:07] 像我自己就會蠻follow
[31:08] 就是聯勇的一些進度
[31:10] 那聯電很強
[31:11] 聯電今天是因為報紙頭版
[31:13] 寫了一個他切近CPU
[31:14] 這個也很有趣
[31:16] 有沒有切近CPU
[31:18] 我覺得大家都會努力
[31:20] 因為剛剛講了
[31:21] 這個就是未來的方向
[31:22] 所以今天我們CPU整體很強
[31:24] 我覺得上中下游都有受到一些激勵
[31:25] 就是這就是未來要的方向
[31:26] 不管臺電 聯電
[31:27] 大家都要做CPU
[31:29] 今天包括連跟CPU相關的
[31:31] 像探針系列也都全面轉強
[31:32] 之前都偏弱
[31:34] 那聯電的評價
[31:36] 我覺得他也是今年
[31:37] 其實他不會成長到哪裡去
[31:39] 可是評價大幅提升
[31:41] 不曉得大家有沒有注意到
[31:42] 因為我瞭解聯電的狀況是說
[31:45] 他們今年其實在這個
[31:47] 有一筆蘋果手機的零元件
[31:49] 從三星的轉單
[31:50] 對他們有益助之外
[31:51] 你說臺積電有沒有可能
[31:53] 把承受制程切出來
[31:54] 其實有可能
[31:55] 他說下半年有在規劃這件事情
[31:56] 好 零零總總加起來
[31:58] 它可能會成長
[31:59] 可是它不是大幅成長
[32:01] 比起它的股價
[32:02] 他們自己也覺得很疑惑
[32:03] 說我們的股價到底怎麼會這麼猛
[32:05] 可是今年在整體的
[32:08] 這些低位階的評價提升
[32:10] 看起來現在在1月是有譜的
[32:11] 所以會不會貫穿全年
[32:13] 我覺得是可以留意的
[32:14] 但大前提就是像富士哥講的一樣
[32:17] 你不能所有的熱門族群都轉空
[32:19] 所有熱門族群都轉空
[32:21] 那就沒有整體評價提升這件事情了
[32:24] 好那我們再回到節奏的問題
[32:26] 一一月看起來已經非常的猛了
[32:28] 那農曆年過完之後就三月了
[32:30] 因為今年農曆年比較晚一點
[32:32] 好很多人都說第一季
[32:34] 很多的金控看第一季好
[32:35] 二三季會修正
[32:37] 第四季再好
[32:37] 富士哥心裡面有這樣的一個節奏版圖嗎
[32:40] 我倒是沒有這樣的傑作版圖
[32:44] 我還是
[32:45] 但是我會很盯緊那些熱門股的
[32:48] 我建黨的那50黨熱門股
[32:51] 40 50黨熱門股的動向
[32:54] 假如超過一半以上
[32:55] 從高點拉回20%
[32:57] 我就會有所警覺
[32:59] 這是第一個指標
[33:01] 這個指標其實是我認為是相當敏感的
[33:04] 第二個就是我會觀察大盤從高點
[33:07] 以前我都設定
[33:09] 假如從高點跌回百分之十那個學理上叫修正那我通常也會減碼個5到7%我整個都減碼5到7%
[33:21] 甚至10%
[33:22] 那這個我也會觀察
[33:25] 但是我反而認為
[33:28] 剛才那個勒門股
[33:29] 你追蹤他的股價
[33:31] 會更及時
[33:33] 會更走在修正前面
[33:38] 你說那整年
[33:41] 我覺得過年之後
[33:44] 要不要會不會說
[33:47] 過年前要不要解碼
[33:50] 什麼的
[33:51] 每年都會遇到
[33:53] 對
[33:53] 要不要報復過年
[33:55] 事實上我每年也都會思考這個問題
[33:58] 真的
[33:58] 說實在的
[33:59] 我過去這大概十年都沒有實施過
[34:03] 對
[34:04] 我也是
[34:06] 其實我們不太會在農曆年前
[34:07] 做大幅的變動
[34:09] 對對對
[34:09] 也真的是沒有
[34:11] 除了是說要
[34:13] 過年要可能要需要
[34:15] 額外需要用到一些錢
[34:17] 可能會賣一些股票之外
[34:19] 你說因為過個長期
[34:22] 要為了那個十幾天的休市
[34:24] 而那個
[34:25] 這也不像我們價值投資人的一個風格
[34:29] 對對對
[34:30] 這個是很有趣
[34:31] 但是你說會不會
[34:32] 市場的主力大戶會在過年前間
[34:34] 每一年都難免會有一些這樣的現象
[34:37] 所謂的品種資金結賬
[34:39] 這些我們常常在聊的股市的老現象
[34:42] 可能還是會有一些
[34:44] 但是股市往往會很推陳出新
[34:46] 像今年我想很多的驚奇
[34:48] 也就是之前我們也許不一定會看到的
[34:50] 那我們這邊就邊走邊聊
[34:52] 因為像我現在要進入的是講記憶體
[34:54] 我不曉得富士哥對這塊有沒有研究
[34:56] 就是因為這個盧特尼克
[34:59] 這個名字常常都不好念
[35:01] 就有提到
[35:02] 之前在講半導體關稅
[35:04] 對不對
[35:05] 要克什麼100%什麼的
[35:06] 現在有講說
[35:07] 如果不在美國設廠的記憶體
[35:10] 那要克關稅100%
[35:11] 這是美國的商務部長在講的
[35:13] 但是有沒有受到這件事情的影響
[35:15] 其實我覺得臺灣現在的記憶體
[35:17] 好像也不是那麼怕這個
[35:19] 臺灣的記憶體
[35:20] 現在感覺上就是比較怕說
[35:21] 漲價不漲了
[35:23] 然後可能外資的報告降頻了
[35:25] 對於現在美國拿這個關稅來
[35:28] 要求的時候
[35:29] 都其實我覺得感受沒有很害怕
[35:31] 但是那現在他這樣講
[35:33] 當然是保護美國企業嘛
[35:34] 因為在美國有場的自然一定是美光嘛
[35:37] 海力士三星要不要去美國設廠呢
[35:40] 我們的華邦電南雅科要不要去美國設廠呢
[35:43] 那目前當然華邦電南雅科的說法是說
[35:46] 沒有那麼急切的需要
[35:47] 沒有那麼急切的需要
[35:49] 確實說實話
[35:50] 他們跟臺電有點不一樣
[35:52] 因為終究機體
[35:53] 它還是有點景氣迴圈的意思
[35:55] 不要再瘋狂擴產了
[35:57] 如果你這時候瘋狂擴散
[36:00] 後面的狀況通常都不太好
[36:02] 就是像面板
[36:03] 就是一個血淋淋的例子
[36:05] 我記得有一年
[36:06] 在跟友達跟群創
[36:07] 分別去了解他們的資本支出
[36:09] 兩家都很排斥
[36:11] 對方要做資本支出
[36:13] 對兩家都說
[36:14] 對方資本支出這樣也太高了吧
[36:16] 這樣怎麼樣
[36:17] 就像剛剛
[36:19] 那個夫妻哥講到的
[36:20] 提威西看地寶
[36:21] 可能互相看一下
[36:22] 你要不要漲價
[36:23] 那面板就很討厭
[36:24] 對方在資本支出
[36:25] 因為已經殺價了
[36:26] 那記憶體現在市況很好
[36:27] 其實大家都有一些擴敞計劃
[36:29] 才會有美光又跑來問這個利基電
[36:32] 其實利基電的那個廠
[36:34] 根據產業界人士瞭解是
[36:36] 他不容易讓美光
[36:37] 馬上有很好的良率
[36:38] 就那個廠當初設計
[36:40] 又不是為了記憶體
[36:41] 所以這個東西
[36:42] 就變成是大家在擴敞上
[36:44] 一定還是要注意這個情況
[36:46] 不要變成最後又一堆記憶體
[36:48] 又失控
[36:48] 所以大家聽完
[36:50] 總之這個美國商務部長的
[36:51] 盧特尼克講
[36:52] 我覺得他不是殺傷記憶體
[36:54] 最大的殺手
[36:55] 我覺得殺手還是在哪一天的報價
[36:58] 它相對之下高檔頓化
[37:00] 然後或者是股價比報價領先頓化
[37:03] 那我這邊的話
[37:04] 機體界的友人是有提醒我說
[37:06] 農曆年前如果喜歡玩機體的
[37:08] 真的要比較注意有獲利要入袋
[37:10] 是有聽到這樣的說法
[37:12] 不代表今年機體就不行
[37:14] 還是常常講這件事
[37:15] 但是你看今天一回答
[37:16] 大家好多人都跟我說好害怕
[37:18] 那會讓大家害怕的東西
[37:20] 就是你有賺到就好
[37:22] 除非你的建倉的成本非常低
[37:25] 那就沒什麼好乾預的
[37:27] 我手上有一些很老的股票
[37:29] 就是建倉成本非常低
[37:30] 不管它今天大漲或不漲
[37:32] 好像都不會想要把它賣掉
[37:34] 對
[37:34] 如果是這樣的情況
[37:36] 當然你可以再等一等
[37:37] 對
[37:38] 因為現在看起來就是震盪中
[37:39] 還是往上走
[37:40] 對
[37:41] 那PCB的上游撥籤類
[37:43] 撥籤類現在傳回來的訊息
[37:45] 確實是變得非常非常缺
[37:47] 我覺得這也是很奇妙
[37:49] 因為去年講了大半年
[37:50] 就是波圈這個東西會漲價升級
[37:52] 那現在就傳出非常缺
[37:54] 當然它也呼應了盤面上的股價
[37:56] 所以我覺得波圈在洗的時候
[37:58] 大家也不要太緊張
[38:01] 因為看起來需求是很強的
[38:03] 那富士哥也有在觀測
[38:05] 富僑是比較洗的沒有錯
[38:06] 那今天德宏好像也今天也變洗了
[38:09] 建榮是漲停做收
[38:11] 臺波漲停做收
[38:12] 所以這個族群看起來還是會蠻強悍的
[38:15] 大家可以來留意
[38:16] 這個產業上
[38:17] 他們目前的需求
[38:18] 沒有明確的變化
[38:19] 是非常吃緊的
[38:21] 這些應該富翼哥不喜歡
[38:22] 我剛剛講的這些領域
[38:24] 但是我有在關注
[38:25] 就是富翼哥關注的物件
[38:27] 關注他們的股價變化
[38:29] 是
[38:29] 好
[38:30] 那今天我們就從比較
[38:32] 價值面對不對
[38:33] 那像這些高股息的ETF
[38:36] 去年很苦哈哈的
[38:37] 今年可能就會發現
[38:39] 抱著抱著
[38:40] 它又復活了
[38:41] 它又復活了
[38:43] 因為它的裡面
[38:44] 剛剛有講
[38:45] 可能有像聯電世界先進
[38:46] 這樣的公司
[38:47] 甚至我發現
[38:48] 有一些高股息
[38:48] 因為他們都有設計一些因子
[38:51] 例如說有的高股息設計的科技因子
[38:54] 有的高股息設計的動能因子
[38:56] 他們就會有某些部位
[38:58] 可以拿去買比較熱門的股票
[39:01] 所以有一些高股息
[39:02] 開始納入了臺積電
[39:03] 以前說高股息買臺積電
[39:05] 大家會笑
[39:05] 那你什麼高股息
[39:07] 現在不管了
[39:08] 反正我設計的因子裡面
[39:10] 有可以沾得上的
[39:11] 我裡面也多多少少納入一些
[39:13] 這種成分股進來
[39:14] 我覺得這是市場上
[39:16] 大家可以去關注
[39:17] 個頭性發行商品的時候
[39:19] 我覺得很有趣的一個變化
[39:22] 那高股息ETF
[39:23] 今年富士哥手上的是會增加呢
[39:26] 還是會繼續持有
[39:27] 我今天高股息
[39:29] 我其實我高股息
[39:32] 我去年第四季買了不少
[39:35] 加碼了不少
[39:36] 目前的報酬率也都很好
[39:39] 那麼最近高股息ETF都是
[39:41] 都填息狀況都非常好
[39:44] 包括我買的那個非投資等級
[39:47] 在凱基的
[39:48] 也都填息狀況
[39:50] 今天是除息
[39:51] 好像就填了一半以上
[39:55] 我目前
[39:57] 這些我是大概是不會變
[39:59] 因為沒寄領息
[40:01] 只是我跟大家報告
[40:03] 我今天比較特殊的
[40:04] 我在柴基店開完低季法說會之後
[40:08] 我開始買了一檔
[40:10] 以前我沒買的
[40:11] 那不是高股息ETF
[40:12] 是ETF
[40:13] 誰
[40:14] 0052
[40:14] 富豪方科技
[40:16] 這趙懷跟大家分享過
[40:18] 72%臺積電
[40:19] 對
[40:19] 我最近有慢慢
[40:21] 著量開始買進
[40:24] 因為為什麼呢
[40:25] 他差70幾%都臺積電
[40:27] 我認為臺積電
[40:29] 開完第一季法說之後
[40:31] 我去年我有個反省
[40:32] 巴菲特
[40:33] 他算是我們的偶像
[40:35] 價值投資人的偶像
[40:36] 他都說
[40:37] 你不懂的產業
[40:39] 你不要碰
[40:40] 所以他說
[40:42] 他科技產業不懂
[40:43] 他比較不碰科技股
[40:45] 那我覺得這句話好像
[40:47] 可能適合他不適合我們平凡人
[40:51] 我們平凡人想要靠投資翻身
[40:54] 你反而不懂的東西
[40:56] 你反而要努力一點
[41:00] 看能不能搞懂
[41:01] 那假如努力之後又搞不懂那就算了
[41:04] 但是至少要努力過
[41:06] 所以我去年績效這麼好
[41:09] 我自己我也不是說很鐵齒不反省
[41:12] 我有反省
[41:13] 所以我開始比較努力研究的AI
[41:16] 臺積電
[41:18] 所以我就開始買了0052
[41:21] 是水文
[41:22] 先跟大家報告一下
[41:24] 跟大家報告一下
[41:26] 這個用ETF做配置
[41:29] 我個人是覺得
[41:30] 絕對是比較心安的
[41:31] 我不曉得大家記不記得
[41:32] 去年那時候碰季限的時候
[41:34] 我跟大家講我買了什麼
[41:35] 我說我買了市值型的
[41:38] 也買了市值比較動能型的
[41:40] 我也買了俗動式的
[41:42] 這些都是我在
[41:43] 大盤迴檔的時候
[41:44] 會做的事情
[41:45] 當然剛剛富士哥講的
[41:46] 熱門股回檔
[41:47] 你可能要注意
[41:48] 大盤門轉空
[41:48] 可是事實上
[41:49] 大盤在大跌的時候
[41:50] 對我們這種投資人來說
[41:52] 有時候反而是
[41:53] 比較容易累積到部位的
[41:55] 真的
[41:55] 因為像
[41:56] 雖然前兩天我有去買
[41:58] 這個買黑不買紅的
[41:59] 主動市場
[42:00] 可是買不多
[42:01] 因為已經三萬了
[42:02] 三萬一了
[42:03] 甚至要快三萬二了
[42:04] 買不多
[42:05] 往上買
[42:06] 說實話我買不多
[42:07] 對
[42:07] 可是如果說
[42:08] 你今天回測季線那一天
[42:10] 我是買蠻多的
[42:11] 就是我比較擅長這樣做
[42:13] 所以像現在的盤
[42:15] 雖然沒有錯過
[42:16] 可是我也不可能是賺最多的那一個
[42:18] 但是我知道
[42:19] 如果今天盤有回檔的時候
[42:21] 我已經把我要買的那些標的明確列出來
[42:24] 那ETF是
[42:25] 為什麼會講ETF
[42:26] 不是我不買個股
[42:27] 是我後來發現
[42:28] 大家真的在個股上太容易害怕了
[42:31] 然後買了沒有漲就會非常害怕
[42:33] 然後會聽來人家講
[42:36] 然後來問我
[42:37] 可是因為我不知道
[42:37] 你聽了那個人跟你講的時候
[42:39] 你如何去追蹤
[42:41] 這些都會是大家
[42:42] 在買個股上面
[42:43] 很困難的地方
[42:44] 但是個股非常迷人
[42:45] 當我看到我的全股池裡面
[42:47] 我的所謂的庫存裡面
[42:49] 有人漲停板
[42:50] 那一天感受也是特別不一樣
[42:52] 但是那就是
[42:53] 你只能配一部分
[42:55] 大部分的投資人來說
[42:56] 就像今天行政助理說
[42:58] 你們在講哪一檔股票
[42:59] 可以跟我講嗎
[43:00] 我也可能也會告訴他
[43:01] 要不就是跟富士哥一樣
[43:03] 0052
[43:03] 要不然就是大盤型的
[43:05] 不管0050
[43:06] 或是像比較動能00985A
[43:08] 或者是被動式
[43:09] 我們剛剛說
[43:10] 如果你想要穩定
[43:11] 每個月有現金流
[43:12] 其實我一直覺得
[43:13] 高股息沒有不對
[43:14] 高股息就是適合
[43:15] 喜歡每個月有現金流的
[43:17] 當今天大盤不好
[43:18] 你的賬面率有有
[43:19] 可是你知道
[43:20] 這個月的股息要進來
[43:21] 它在心理上
[43:22] 本來就是有一個安慰作用
[43:23] 所以對每一個人的想法來說
[43:25] 各型別的ETF
[43:27] 都有它的功能在
[43:28] 你積極一點的
[43:29] 科技型的ETF
[43:30] 我們也講過很多次
[43:31] 昨天還跟大家介紹
[43:32] 有含記憶體
[43:33] 含量高的ETF
[43:34] 你就喜歡什麼
[43:36] 你就用ETF去配的時候
[43:38] 也許他不會給你一個漲停板那麼快樂
[43:40] 可是你絕對會有參加獎
[43:42] 以及長期累積下來
[43:44] 你的資產增幅
[43:45] 肯定會比沒有做理財的人快非常多倍
[43:48] 我想這個絕對是在臺灣
[43:51] 或者是說像現在的K型社會里面
[43:53] 大家一定要做投資理財
[43:56] 很重要的原因
[43:57] 好那今天很謝謝富士哥
[43:59] 又囉嗦了一堆
[44:01] 那就我現在開始的話
[44:02] 會把那個我們的
[44:03] 題目今天有講了什麼
[44:06] 我會在我們的文字說明欄
[44:07] 也列上去
[44:08] 希望方便大家
[44:09] 收聽這一集的節目內容了
[44:11] 好
[44:11] 那我們就跟古厚仔朋友
[44:12] 說拜拜咯
[44:13] 拜拜
[44:13] 拜拜
