[00:00] 欢迎收听赵华依国货载第1148集
[23:53] 股安连现在不见了
[23:55] 退赢了
[23:55] 那时候我们就
[23:57] 有聊到这个问题是说
[23:59] 高利率环境终究会让
[24:01] 这些需要举债的高科技股付出代价
[24:04] 其实这个我们在两年前就有聊过这事
[24:07] 可是有没有付出代价
[24:08] 到目前为止没有
[24:09] 就是因为刚刚讲到的
[24:11] 大家对AI的前景或是发展
[24:12] 真的很棒
[24:13] 他们真的有回收
[24:14] 不是说真的只有头没回收
[24:16] 只是回收的比投的来的慢
[24:18] 就这样子
[24:18] 可是累积到这边
[24:20] 会不会时不时就变成一个爆点呢
[24:23] 这个说实话我们不确定
[24:25] 因为现在还狭带着
[24:26] 其他的利空是除了韩国的去杠杆之外
[24:29] 大家也担心
[24:30] 涨价的零组件涨到这边
[24:32] 客户会无法承担
[24:33] 对不对
[24:34] 记忆体的问题是赵华以前最关心的
[24:36] 一直涨记忆体
[24:38] 涨到现在我害我买iPhone18
[24:40] 可能也要被涨个6000块
[24:41] 那不是每一个人都愿意吸收这个6000块
[24:44] 大家可能会觉得很消费上很痛苦
[24:48] 也不是每个人在前一波都在股市上赚到钱
[24:50] 甚至现在可能很多人是回吐
[24:52] 甚至追高的人
[24:53] 现在是赔钱加入
[24:55] 那就会更影响到消费力
[24:56] 它就会形成
[24:57] 往恶性循环跑了
[24:59] 刚刚讲到高利率环境
[25:01] 举在不顺AI的压力
[25:03] 零组件涨价涨到这边
[25:04] 大家无法承担
[25:05] 消费吃紧
[25:06] 它会变成一个恶性的
[25:08] 我们当然不希望
[25:09] 是往这个方向走
[25:10] 因为如果往这个方向走的话
[25:12] 市场的恐慌
[25:13] 就会需要一段时间的消化
[25:15] 反过来说
[25:17] 假如今天联准会给你一个希望
[25:20] 它不会升息
[25:21] 他遵循了川普的意志
[25:23] 市场的情绪好一点了
[25:25] 对不对
[25:25] 高科技股
[25:26] 接下来财报是好的
[25:28] 市场愿意接纳
[25:29] 他的财报是好的
[25:30] 也再度的相信
[25:31] 他未来能回收
[25:32] 市场的气氛好转了
[25:34] 韩国的去杠杆
[25:36] 这一次是说
[25:37] 又会有新的
[25:38] 有新的杀招
[25:39] 新的杀招如果再出来
[25:40] 大家麻木了
[25:42] 就跟我讲的
[25:42] 不要再买了
[25:43] 你们就先停
[25:44] 麻木了
[25:45] 韩国没有再跌到
[25:46] 暂时停止交易了
[25:47] 也许事情就会
[25:49] 又开始逆循环
[25:50] 又变成说
[25:50] 往正向走了
[25:51] 所以我们现在做的就是
[25:53] 假如大家真的不确定
[25:55] 也不用像我说
[25:56] 因为今天点2000点
[25:57] 我觉得多少买点东西
[25:58] 不一定啊
[25:59] 你真的可以等啊
[26:00] 真的可以在旁边
[26:01] 先观望一下嘛
[26:03] 不是每个人都说
[26:04] 一定要一遇到什么大跌
[26:06] 我就今天要赶快进去买
[26:07] 会没有钱啊
[26:08] 对不对
[26:08] 那如果跌到39000呢
[26:10] 如果40000真的跌破呢
[26:11] 还有钱吗
[26:12] 我想这个都会是在人性上
[26:14] 跟资金上很大的考验
[26:15] 所以先等一等
[26:16] 我觉得那个是没有问题的
[26:18] 没有问题的
[26:19] 可是你说手上的股票
[26:20] 是不是要处理
[26:21] 刚刚我已经提供了一些想法
[26:23] 当然如果他占你的资金
[26:25] 不会不大
[26:26] 你觉得老娘
[26:27] 就是这时候
[26:29] 你可以凹啦
[26:30] 凹到回来
[26:31] 然后不痛啦
[26:32] 反正我不靠这个生活
[26:34] 我还有本业
[26:35] 我还有其他的存款
[26:36] 我根本不在乎
[26:36] 那当然那就这样吧
[26:38] 我也怕害你砍在阿呆骨啊
[26:40] 搞不好讲完明天
[26:41] 就反弹1800点
[26:42] 那我怎么办对不对
[26:43] 所以这个事情
[26:45] 我觉得反而是
[26:45] 先定下心来
[26:46] 不要紧张
[26:47] 今天体感不好
[26:48] 也不舒服
[26:49] 可是自己要怎么做
[26:50] 我觉得想清楚了
[26:51] 明天在大跌后
[26:53] 谈的几率终究是高的
[26:55] 我觉得趁谈做处理
[26:57] 总是比较舒服的
[26:58] 对啊
[26:59] 因为今天说真的啦
[27:00] 我觉得一定是有恐慌性的卖
[27:02] 因为你看盘中
[27:03] 大概接近快要100股票
[27:04] 100档股票跌停板
[27:06] 那而且跌股票
[27:07] 也都是盘面上的热门股
[27:09] 不是那种
[27:09] 真的很要的股票跌停板
[27:11] 你看到像所谓载板
[27:12] 被动元件
[27:14] 记忆体
[27:14] IC设计
[27:16] 联发科也是跌停板
[27:17] 然后创意等等的
[27:18] 其实这些都是
[27:19] 大家认同度很高的股票
[27:21] 今天是全面性的重挫
[27:23] 那就代表说
[27:24] 今天我觉得是所谓的
[27:25] 系统性风险
[27:26] 恐慌性的卖压
[27:27] 也跟国际股市不好
[27:29] 那这些所谓的
[27:31] 比较守纪律的法人
[27:32] 或主力
[27:33] 或一些投资公司
[27:34] 肯定会停损嘛
[27:36] 那他们停损完之后
[27:37] 资金其实也会再找地方
[27:39] 再重新把它买回来
[27:40] 那只是说
[27:41] 对一般的投资人来讲
[27:44] 你毕竟不像他们一样
[27:45] 他们可能有
[27:45] 必须要肩负到
[27:47] 公司获利的目的
[27:48] 所以对很多人来讲
[27:50] 当然不一定要跟着他们做停损的动作
[27:52] 但还是要跟大家讲
[27:53] 就是现在大家可能就比较想要知道的是
[27:57] 那会不会今年就是所谓的AI需求的高点
[28:01] 后面就所谓AI泡沫的来临
[28:03] 那当然因为我们今天应该是代班民汉
[28:06] 如果以民汉的说法
[28:08] 他虽然说请假没来
[28:10] 但他一定会跟你讲说
[28:11] 如果AI需求成长是完全不用担心的
[28:14] 我个人是认同这样的看法
[28:16] 为什么这样说呢
[28:17] 因为你会发现到
[28:19] 这个所谓的AI
[28:20] 大家会担心的事情的引发点
[28:23] 就是在上礼拜Google的财报
[28:25] 那它自由现金流变成负的
[28:28] 但Google的营收获利
[28:30] 毛利率都在创新高
[28:32] 所以就像刚刚赵老所说的
[28:34] AI变现是没有问题的
[28:35] 只是说它的资本支出的
[28:38] 这个烧钱的速度
[28:39] 超过它获利的速度
[28:41] 所以大家会担忧
[28:42] 但我觉得另外一个角度来想
[28:44] 你想想看
[28:45] Google它已经是全世界
[28:47] 我说数一数二会赚钱的公司了
[28:49] 难道他不会知道说
[28:51] 他自由现金流是付的
[28:53] 会引发市场的担忧
[28:55] 或股东的担心
[28:56] 但他们为什么要做这样的事情
[28:57] 甚至连那个研调机构说
[29:00] 未来两年
[29:01] Google自由现金流
[29:02] 可能每一季都是付的
[29:03] 对那
[29:04] 是
[29:05] 我就说举一个很简单的例子嘛
[29:07] 他如果已经是世界首富了
[29:09] 他为什么要all in
[29:10] 就代表他们其实内部
[29:13] 这些所有的开发AI模型的科技巨头们
[29:16] 他们一定评估过
[29:17] AI的需求绝对不是在今年见顶
[29:19] 所以才愿意投入这么多的资金
[29:21] 不然你就像苹果一样
[29:23] 我就不要投入
[29:24] 我就稳稳的去享用
[29:26] 别人AI开发的一个状况就好了
[29:29] 所以我觉得
[29:29] 如果你以这个角度来想的话
[29:31] 就像我刚刚跟大家说的
[29:33] 如果全世界的首富
[29:35] 现在是all in在投入
[29:36] 所谓的AI的资本支出
[29:38] 代表他们看到的是
[29:39] 未来AI需求
[29:40] 一定比我们想象来得更好
[29:42] 所以如果你有这样信仰的话
[29:44] 你的股票就可以抱得比较久一些
[29:47] 那一样不是说所有股票都可以爆
[29:49] 因为我们其实经历过很多
[29:51] 就是你股票可能从这个高点爆到后面
[29:55] 再也没有回来过的股票也很多
[29:56] 没错
[29:57] 所以才会跟大家说
[29:58] 你第一个要有对AI的信仰
[30:00] 你现在可能就可以比较稳定
[30:02] 第二件事情你要检视
[30:03] 你不能够光有信仰
[30:06] 然后不去检视它
[30:07] 那比方说像我们美股
[30:08] 我有投SpaceX跟特斯拉
[30:10] 那你就会发现到
[30:12] 你投马斯克的公司
[30:14] 就信仰的比重很高
[30:16] 当然高啊
[30:17] 对
[30:17] 因为基本上
[30:19] 它几乎没有什么样的基本面
[30:20] 可以让你好好地解释
[30:21] 好不容易公司赚钱了
[30:23] 隔年又更烧钱
[30:24] 资本支出又变富的
[30:26] 但是长期来看
[30:27] 你会发现到
[30:28] 你长期投资马斯克
[30:29] 他真的会说要做到
[30:30] 所以我们因为
[30:31] 长期累积这样的信仰
[30:33] 所以愿意爆他的股票
[30:34] 但台股不一样
[30:35] 台股毕竟很多是供应链的
[30:38] 所以有些是供应链
[30:39] 开始掉单
[30:40] 那还是说
[30:41] 他整个产业
[30:42] 可能你已经看到
[30:43] 他财报最好的时间过去了
[30:44] 你这种股票再爆的话
[30:46] 就会有很大的风险
[30:48] 所以为什么这一波这样下来
[30:50] 我说虽然我们讲说
[30:52] 跌得很重啊
[30:53] 台股很多腰斩的
[30:54] 那我们讲说痛苦
[30:55] 其实是比较出来的嘛
[30:57] 是
[30:57] 所以你看最近
[30:58] 网路上很多人就说
[30:59] 你看被动元件
[31:00] 这个国剧叫躲魂剧啊
[31:03] 对
[31:03] 然后这个什么
[31:05] 德
[31:05] 德宏
[31:06] 中探针是受受针啊
[31:08] 受受针啊
[31:09] 然后你这个Q部的德宏
[31:10] 是骗人部啊
[31:11] 对啊
[31:13] 就是因为
[31:13] 第一个你会发现到
[31:15] 其实我们讲
[31:15] 网友都很有创意的
[31:17] 很有趣
[31:17] 还有梗图
[31:18] 很多梗图
[31:19] 对啊
[31:20] 那我会说就是
[31:21] 你会发现到这些股票
[31:22] 跌那么重
[31:23] 很多原因是在于说
[31:24] 他们的基本面
[31:26] 有些时候跟股票的涨幅
[31:27] 是没有完全跟上的
[31:28] 没有错
[31:29] 所以一旦修正下来
[31:30] 真的就是一个尖头反转下来
[31:32] 好像找不到明显的支撑
[31:34] 但另外一个角度来讲
[31:36] 如果他们跌到一个超跌的时候
[31:38] 我觉得就会有反弹的机会
[31:39] 所以今天还是给大家一点信心
[31:41] 你去看一下细光子的族群
[31:44] 相对强啦
[31:45] 但尾盘还是都有
[31:47] 蛮多被灌下来了
[31:48] 对
[31:48] 但他们最好没有在破底的
[31:50] 对
[31:51] 因为昨天还有一个新闻嘛
[31:52] 大家帮我们留意
[31:53] 就是辉达在收购
[31:54] 所谓的暗光仙的事情
[31:55] 对
[31:56] 就是已经铺好
[31:57] 但是还没有完全建制好
[31:59] 也还没有点燃
[32:00] 点亮
[32:00] 要怎么讲
[32:01] 点燃有点奇怪
[32:02] 的光仙
[32:03] 其实以前大家就做了很多
[32:06] 可是后来网路泡沫
[32:07] 就可能闲置或什么
[32:08] 辉达就收购了很多这种东西
[32:10] 这种事情就有点像是
[32:12] 我们昨天在节目里面有形容
[32:14] 就像是可能某一居
[32:15] 好像那个什么
[32:16] 靠近哪里啊
[32:17] 有那个什么飞碟屋好了
[32:19] 不是都荒废在那里吗
[32:21] 可是后面就有人说
[32:22] 他们想要来收购这个飞碟屋
[32:24] 因为后面可能有些
[32:25] 什么样的开发需求
[32:26] 假设这样子好了
[32:28] 所以他们就从
[32:28] 原本没有人要用
[32:30] 变成可能以后
[32:31] 它真的是一个住宅的用地
[32:33] 或者是很需要用到
[32:34] 拿来传输用的
[32:35] 那现在便宜嘛
[32:36] 所以辉达买很多
[32:38] 对
[32:38] 就是所以细光子
[32:40] 又让大家知道说
[32:41] 辉达台积电等等的
[32:43] 都真的要做没有不做
[32:45] 对所以我跟大家讲
[32:47] 就是说我们虽然看到
[32:48] 股价的表现
[32:49] 真的是比较疲弱
[32:50] 这时候真的很难跟大家讲说
[32:52] 大家完全不用担心
[32:53] 这行情基本上
[32:54] 未来一定会创新高
[32:56] 因为很多股票腰斩下来
[32:57] 代表一定有
[32:58] 比我们早知道的人
[33:00] 看到一些可能
[33:01] 比较大的一个利空
[33:02] 但回归到我们刚刚讲的
[33:03] 产业的成长
[33:05] 目前看起来
[33:05] 还是没有任何的问题
[33:06] 像刚刚讲的
[33:07] 辉达为什么要去投资
[33:09] 去买一些暗光纤
[33:10] 就是说他已经看到
[33:12] 未来资料传输
[33:13] 一定会比现在需求是爆发的
[33:15] 所以整体上来看
[33:17] 我觉得AI需求
[33:18] 为什么现在又有鬼故事传出来
[33:20] 也跟近期
[33:21] 所谓的AI模型的停滞有关
[33:23] 所以如果你会发现到
[33:25] 我们从这个OpenAI
[33:27] 开始有ChapGD以来
[33:29] 几乎每大概半年
[33:31] 就会有传出来
[33:32] AI泡沫的一个疑虑
[33:33] 那什么时候会打破
[33:35] AI泡沫的疑虑
[33:36] 就是有更新
[33:37] 更厉害的杀手型
[33:38] 应用出来之后
[33:39] 让大家有愿意
[33:40] 更多的一个投入
[33:41] 所以我觉得每一个阶段
[33:43] 你看之前
[33:44] ChangeVT只是一个文字聊天的一个机器人
[33:47] 后面你发现到
[33:49] 原来可以用它生图
[33:50] 生成图片之后
[33:51] 整个所谓订阅数开始成长
[33:53] 现在流行到什么
[33:56] 像这个Enthopic
[33:57] 你可以用它写一些所谓AI的程式
[33:59] 让它做AI助理的一个动作
[34:01] 所以我觉得其实你目前
[34:03] 对于AI需求的一个所谓天花板
[34:06] 都是建立在目前
[34:08] 我们看到AI模型使用上的能力
[34:10] 但我们刚刚提到
[34:11] 為什麼這些所謂的模型大廠
[34:14] 科技巨頭要不斷地投入
[34:15] 就代表他們其實在開發當中
[34:17] 一定有看到
[34:18] 可能未來有一些殺手級的應用
[34:20] 會在AI成長出來
[34:22] 所以我覺得整體上來看
[34:23] 應該代表說
[34:24] 畢竟AI從2023年到現在
[34:26] 已經三年的時間了很多東西是你知我知大家都知道的所以後續整個一個股市的成長或股價的一個往上再創高的話我覺得一定要來到一些實際上的應用的爆發
[34:39] 那目前來看
[34:40] 我覺得不用看得太過於悲觀
[34:42] 因為AI的一個所謂的模型的進步能力
[34:46] 我覺得比大家想像的更強
[34:47] 所以在這樣的一個風雨飄搖的時候
[34:51] 我覺得大家就回歸到
[34:53] 如果你第一個有信仰
[34:55] 第二件事情
[34:55] 如果你真的要長報股票的話
[34:58] 我覺得就回歸到
[34:59] 如果你真的
[35:00] 有選擇障礙
[35:01] 你就覺得股票都很好
[35:03] 我覺得就不妨回到
[35:04] 你認同
[35:05] 比方說漲價概念股
[35:06] 或說你可以去看所謂的
[35:08] 未來下一代
[35:10] 因為很快嘛
[35:11] 貝拉魯賓要開始出貨了
[35:12] 貝拉魯賓出貨的物料成本表裡面
[35:15] 哪一些所謂產業
[35:17] 他的一個漲幅比較大
[35:19] 他的一個所謂的
[35:20] 佔整個物料成本的比重比較高的公司或產業
[35:24] 我覺得他就會是你比較有信心去報的一個公司
[35:27] 因為他會反映什麼
[35:28] 隨著貝拉魯賓的一個出貨
[35:30] 他們的營收毛利率或EPS
[35:33] 都會因為出貨關係有成長的空間
[35:36] 那也代表說如果你真的要選擇一個產業
[35:39] 或一個股票去套的話
[35:41] 你最早你要確定的是未來半年
[35:43] 這家公司他交出來的成績單都是利多消息
[35:47] 不要去報一個可能未來是一個利空消息的股票
[35:50] 你就會報得很痛苦
[35:51] 好 这个各股的研究真的很多
[35:55] 就像刚刚讲到
[35:56] 有一些细腻的一环牵一环
[35:58] 为什么老师在讲要担心升息
[36:00] 为什么讲自由现金流
[36:02] 然后可是讲完之后又告诉你
[36:04] 其实以更高的制高点来说
[36:07] 就是以像不管是投资界的大佬
[36:10] 或者是说像这些AI科技的大公司
[36:12] 他们还是决定要做投入
[36:14] 为什么
[36:15] 因为AI的发展以制高点来说
[36:18] 目前看来就是必须不断地往前走
[36:20] 这个事情没有变
[36:21] 可是中间市场的情绪会变
[36:23] 我觉得这个是
[36:25] 我们身在市场中
[36:26] 没有办法
[36:26] 你就像是在一个
[36:27] 你今天开的是一个航母
[36:30] 还是你开的是一个独木舟
[36:33] 其实我们是小散户
[36:34] 我们多半开的是独木舟
[36:36] 你就会觉得风浪特别大
[36:38] 可是航母可能会觉得
[36:39] 现在有风浪
[36:40] 我就开慢一点
[36:41] 但是我还是会坚定的
[36:42] 往我的目标开去
[36:43] 这个就会是一些不一样的想法
[36:46] 所以我才会讲说
[36:47] 当风浪大的时候
[36:48] 你如何准备你的晕船药
[36:50] 就是我们知道
[36:52] 基本面来说应该会往前走
[36:54] 可是我们同步也要理解
[36:56] 市场一定有风浪这件事情
[36:59] 这就是赵华讲的
[37:00] 预测跟对测
[37:01] 我们两个事情要同步的来准备
[37:04] 当往上走的时候
[37:05] 真的叫做人人是股神
[37:07] 每一个人是赚了几十趴
[37:09] 还觉得别人赚百趴不舒服
[37:10] 赚了百趴觉得别人赚三百趴不舒服
[37:13] 是一个这个情况
[37:14] 跌下来的时候
[37:15] 反过来呢
[37:17] 今天买了发现明天更便宜不舒服
[37:20] 可能会变成是这样的一个情形
[37:22] 所以反正不管是往上或往下
[37:25] 我们一定要知道
[37:26] 自己能做到的事情在哪里
[37:28] 我觉得这个很重要
[37:30] 就是像我的个性就是
[37:31] 往上我一定不会是赚最多的
[37:33] 但往下我肯定也不会让自己不舒服
[37:36] 就像前几天有人问我说
[37:38] 赵华人都没有在这个叠的过程中
[37:40] 赔到很痛苦很难过吗
[37:42] 然后我就想我有赔钱
[37:44] 先强调我有赔钱
[37:45] 因为有人突然传讯息跟我说
[37:46] 听说你都没有赔过钱
[37:48] 怎么可能
[37:48] 我有赔钱
[37:49] 我有赔钱
[37:52] 可是我很少让自己赔到不舒服
[37:55] 或是晚上睡不着
[37:56] 但正因为我也有过这样的情况
[37:59] 有过之后我就在调整我自己
[38:01] 我常常跟大家分享一件事情
[38:03] 就2023年之后
[38:05] 我几乎不做空了
[38:06] 因为那一年我就是觉得
[38:08] 基本上不好
[38:09] 2022年是空头年
[38:11] 很容易这样子
[38:13] 空头年的隔年
[38:14] 你会发现业绩不起来
[38:16] 可是股价起来了
[38:17] 这就是股价先行的一个态势
[38:20] 那空头年当年还有可能是
[38:21] 业绩起来股价不起来
[38:23] 所以有时候股市很考验人性
[38:25] 2022年的上半年
[38:26] 有很多的公司都还在创历史新高
[38:28] 或是还在做一个营收年增
[38:30] 可是股价就是一直溜滑梯
[38:32] 到了2023年
[38:33] 我们要去业账了
[38:35] 就那些库存要拿出来卖了
[38:37] 所以2023年市场
[38:38] 整体上市柜公司的企业获利是下修的
[38:41] 是一个年减的
[38:43] 但是股价却颠簸中上去了
[38:45] 那一年我就做空
[38:46] 就做空就被嘎啦
[38:48] 被嘎到晚上真的睡不着
[38:49] 因为我用个骨气
[38:51] 这故事我还在那个
[38:52] 现场讲座的时候
[38:53] 跟那个官员朋友做分享
[38:55] 然后那一次之后我就觉得
[38:57] 为什么我要把自己搞成这样
[38:58] 所以对于杠杆我就会很小心
[39:00] 然后对于做空
[39:01] 我也会很小心
[39:02] 这两件事情就形成了
[39:04] 我对风险控管上面
[39:05] 一个更大的一个意识这样子
[39:08] 好
[39:08] 所以大家在不同的时机点
[39:10] 一定会学到不同的事情
[39:12] 就像这一次
[39:13] 我想最多人想到的一定是
[39:14] 以后我一定要按时停利
[39:16] 对
[39:17] 我一定不要再让我的获利
[39:18] 拖回去
[39:19] 我觉得这可能是这一波上来
[39:21] 大家感受最深的
[39:23] 那像前一阵子
[39:24] 三月那时候
[39:25] 美衣站的时候
[39:26] 我觉得大家感受到是
[39:28] 哎呀
[39:28] 那时候破线就应该多买
[39:30] 那时候破线多买
[39:31] 后面都会有好的成效
[39:33] 对不对
[39:33] 那时候一定是这样的感觉
[39:34] 要勇敢
[39:35] 可是现在的勇敢受到了挑战
[39:37] 好
[39:38] 勇敢受到挑战的时候
[39:40] 就也是一个考验
[39:41] 例如像今天
[39:42] 我还是按照我的纪律
[39:43] 我买了一些
[39:44] 但是我知道大家的心情
[39:46] 大家心情是
[39:47] 我今天就算有钱我也不敢买
[39:48] OK呀
[39:49] 这非常的正常
[39:51] 或者是我前面就很急呼呼的子弹打完了
[39:54] 我现在就面临到想加码也不能加
[39:57] 甚至我有赔钱我要不要出去
[39:59] 这也是一个很好的考验
[40:01] 就是资金水位的管理
[40:02] 对不对
[40:03] 所以我觉得我们常常讲说
[40:06] 市交人其实比较容易交汇
[40:08] 不管大家现在面临什么样的状态
[40:11] 我当然最希望大家是面临到
[40:13] 我前面都有做停利
[40:14] 所以现在我手上的东西
[40:15] 也都是我信得过
[40:17] 也抱得住的
[40:17] 所以我的心情
[40:18] 依旧不慌不乱
[40:19] 我觉得我是用这样的心情
[40:21] 面对这一次的修正
[40:22] 那就是Burr棒
[40:23] 对
[40:24] 就是完全出师了
[40:26] 应该比我还要
[40:26] 更加的猛了
[40:28] 对
[40:28] 好
[40:29] 那
[40:29] 我还是觉得
[40:32] 以所谓的长期来看
[40:35] 大家的长期
[40:36] 可能真的要拉长一点点了
[40:37] 两个月
[40:38] 三个月
[40:39] 给自己一点点时间
[40:40] 股市往右上的几率
[40:42] 它还是高的
[40:43] 而且我们预测的利空
[40:44] 它确实在发酵
[40:46] 就是所谓的
[40:46] 旺季没有那么旺啊
[40:48] 涨价概念股会形成压力
[40:50] 也有来啦
[40:51] 然后这个可能美伊的战争
[40:53] 它还没有办法得到妥善的解决
[40:54] 大家对升息的恐慌
[40:56] 这些他们确实都告诉大家
[40:59] 盘面是还是有影响跟波折的
[41:02] 那我们就等这些事情发酵过去吧
[41:05] 因为刚刚汉玮也讲了
[41:07] 企业并没有要停止对AI的前进
[41:10] 而是必须思考
[41:11] 如何解决这段时间的方式
[41:13] 前一阵子拉货拉得凶
[41:14] 那现在先休息一下
[41:16] 那下一阵子没有货了又得拉
[41:18] 其实循环就是这个样子
[41:20] 对啊
[41:21] 所以我觉得当然现阶段
[41:22] 因为整个行情不好
[41:24] 所以我觉得这时间点
[41:26] 可能大家会觉得有点慌有点乱
[41:28] 尤其是你如果是七月份一路
[41:30] 其实应该要七月中之后就发现到
[41:32] 已经没有钱可以打了
[41:34] 那反正股价越跌越多
[41:36] 你有便宜都不敢捡
[41:37] 那我觉得其实回归到这时间点
[41:39] 第一个我们讲
[41:40] 今年台股其实有一个惯性
[41:42] 就是一般来讲
[41:43] 指数涨三个月
[41:44] 就会有一个月比较大的回吐
[41:45] 所以三月大跌之后
[41:47] 涨了四五六
[41:48] 那七月大跌之后
[41:49] 我觉得八九十这三个月
[41:51] 可能会开始慢慢回稳
[41:53] 那回稳的过程里面
[41:55] 但第一个
[41:55] 我觉得还是优先去寻找
[41:58] 所谓的一个基本面好的公司
[42:00] 龙头型的公司
[42:01] 他会是你比较适合去摊平
[42:03] 因为你对他会比较有信心
[42:05] 所以不然台积电
[42:06] 今天很惨的台达电
[42:07] 那甚至说台光电
[42:09] 我觉得这种所谓的产业当中
[42:11] 有护城河的公司
[42:12] 其实反而是比较适合大家
[42:14] 在这种拉回的时候
[42:15] 你买了放着不看它
[42:17] 你都不会太过于担心的
[42:18] 那第二件事情
[42:19] 但盘面上还是会有一些股票
[42:22] 它可能在这种行情
[42:24] 比较不好的时候
[42:24] 能够逆势冒出头
[42:25] 你看今天盘面上
[42:27] 比方说茂林KY
[42:28] 它先叠的就先止叠
[42:29] 有部分的西光子
[42:31] 甚至说你可以看到一些传产族群
[42:33] 今天盘面上
[42:34] 也这种逆势的往上走高
[42:36] 甚至连友达盘月亮的时候
[42:38] 它反而是逆势抗跌
[42:39] 那我觉得这些都是
[42:41] 适合大家做一些短线的操作
[42:42] 那短线操作的一个秘诀
[42:44] 还是在于说
[42:45] 它必须形态要比大盘来得更强
[42:47] 所以大盘跌破季线
[42:49] 如果你看好的公司
[42:50] 或者说你有兴趣
[42:52] 强短的公司的话
[42:53] 它形态比大盘强
[42:54] 它可能在季线以上
[42:55] 甚至说好一点的
[42:56] 它可能现在还在月线以上的
[42:58] 它就会适合大家
[42:59] 做一个短线的操作
[43:01] 但只要大盘
[43:02] 没有回到季线以上的话
[43:03] 我觉得大家现阶段操作
[43:05] 要不就是拉回分批承接
[43:08] 要不然就是有强势的股票
[43:10] 短线上潜藏极致
[43:11] 我觉得是比较适合
[43:13] 目前的一个操作形态
[43:14] 好那今天也没有
[43:17] 跟大家多分享什么产业了
[43:19] 因为我想产业的想法
[43:20] 跟我们前一阵子
[43:22] 甚至到昨天
[43:23] 讲的也没有什么不一样
[43:25] 它现在比较回归到
[43:26] 大家的资金水位的布置
[43:28] 和所谓到底你现在希望
[43:30] 自己的风险承担
[43:32] 和压力值到底到哪里
[43:33] 我觉得这个反而是
[43:35] 这段时间比较重要的
[43:36] 我还记得在2022年的时候
[43:38] 因为开台没多久
[43:40] 我们就陷入了一个
[43:41] 比较长时间的空头
[43:42] 从这个二月
[43:44] 对不对
[43:45] 二屋站开打到年底
[43:46] 大概十一二月都还没止稳
[43:48] 十一二月才开始陆续反弹
[43:50] 可是那时候大家已经不相信了
[43:51] 因为已经叠了
[43:52] 至少可能十个月
[43:54] 这十个月过程中
[43:55] 我们在干嘛
[43:56] 我们每天还是录节目
[43:57] 然后录到后来
[43:58] 就会开始讲一些故事了
[44:00] 就会讲一下每一个人的资历
[44:02] 每一个人在这种空头年
[44:04] 怎么度过的
[44:05] 也在那个时候
[44:06] 例如刚刚讲到明翰
[44:07] 讲到说
[44:07] 原来他国中是个不良少年
[44:09] 就是打架
[44:10] 飙车
[44:11] 样样来退学
[44:12] 什么样样来
[44:13] 讲得目瞪口呆
[44:15] 但是也因为听了这些故事之后
[44:18] 像朱老师也聊过
[44:19] 他军人退伍之后
[44:20] 创业失败
[44:21] 失败之后
[44:21] 在学技术型态
[44:22] 开始也赔钱
[44:23] 因为没有完全遵守
[44:24] 巴拉巴拉的
[44:25] 但是这些故事
[44:26] 我觉得很棒
[44:27] 就是因为大家历经了
[44:29] 这些人生的考验
[44:30] 所以现在这些状况
[44:32] 就有点小菜一碟
[44:34] 当然对于新加入的朋友们
[44:36] 可能不是小菜一碟
[44:37] 可能会觉得实在是有够恐怖
[44:39] 但是为什么会跟大家分享这些历练
[44:42] 就是投资本来就是一个长期的事情
[44:44] 它是一个
[44:45] 不要说全码
[44:47] 至少也该是半码
[44:48] 所以如果这段时间
[44:50] 上半年赚得很顺的人
[44:51] 会觉得
[44:52] 为什么我赚钱吐回去
[44:53] 那可能也要思考
[44:55] 那就是因为这些赚来的钱
[44:57] 它没有在你认知的范围内
[44:59] 对
[44:59] 所以它会吐回去
[45:00] 那也没有关系
[45:02] 如果没有受到重伤
[45:03] 都是万幸
[45:04] 都是万幸
[45:05] 都还有机会
[45:06] 再做一下自己的调整
[45:08] 毕竟这波的回档
[45:09] 不到万劫不复的
[45:10] 那一种大崩盘
[45:11] 真的是不太一样的状况
[45:13] 所以呢
[45:14] 都是有机会做调整的
[45:16] 或是回吐就当做
[45:17] 说实话
[45:18] 自己本来就没有赚到那些钱
[45:20] 我是讲真的
[45:22] 我自己也回吐啊
[45:23] 对不对
[45:23] 我跟大家分享
[45:24] 一张回吐十万的
[45:26] 但是当你出去的时候
[45:27] 发现
[45:28] 你还是做了一个
[45:29] 比较好的决定
[45:30] 因为后面它就是
[45:31] 有一直下去嘛
[45:32] 当然如果V转
[45:33] 我当然会财心
[45:33] 砍在最低
[45:35] 但那又如何呢
[45:36] 那就是自己帮自己做的一个决定
[45:38] 所以我觉得
[45:40] 现阶段讲产业
[45:42] 即使讲得再好
[45:43] 大家心里面有个底就好了
[45:45] 但对策是最重要的一件事情
[45:48] 对啊
[45:50] 你哥只讲一个对啊
[45:52] 那我们今天的古惑仔就到这边咯
[45:55] 明天再会了
[45:56] 拜拜
[45:56] 拜拜
[46:03] by bwd6
