[00:00] 歡迎收聽《照華於股貨》載地1171集,今天是2026年的8月27號。
[34:55] 我不曉得是不是兩岸隔了一個海峽之後,題材的流行也會有一個時間差,差到這麼久嗎?我也不清楚。
[35:03] 不過最近確實坊間開始大量流傳8039台紅的小作文
[35:08] 而且我昨天收到一個小作還蠻有意思的
[35:11] 他用最後一個目標價然後建議強力買進
[35:14] 那根據2027年預估EPS16塊錢然後30倍本益比
[35:22] 結果他算出來的目標價並不是16乘30明明是480
[35:27] 結果他給了目標價650
[35:29] 所以這個小作文可能是國文老師教的數學,好像充滿了一些瑕疵,有點為了罕見而罕見。
[35:37] 不曉得現在聽眾朋友有沒有手邊有收到過那一篇,那其實我覺得當然你都可以收集資訊,不過提醒大家有時候小作文真的是你要看仔細一點,不要只光看到強力買進貨目標價,這個眼睛都發亮了。
[35:50] 這個真的不太容易分辨,因為呢,這樣講好了,我們是對財務金融比較熟嘛,那以前我們都會做過一件事,連我們這個東森都要求我做過一件事,就是去預估未來三年的財務預測,對,就是你到底可以幫公賺到多少錢啦,或者是什麼的。
[36:08] 然後當時我讀到一本書叫《Google 模式》,這本書現在很不幸它絕版了,其實它非常好看耶。
[36:16] 它在講Google當初創業後來有一定規模的時候,他們就在討論說他們不想做財務預測這件事情,因為它在網路的這個世代裡面太多變數了。
[36:27] 對,我們要努力的讓自己的技術在最領先,可是可能隨時隨地就有一個替代性的方案或是其他的變通的事情會跑出來,或是競爭對手跑出來。
[36:35] 所以他們會覺得我們盡力的在自己能夠掌握的狀況下引領市場的風潮。
[36:40] 可是你要我去預估未來三年到五年財務社是很困難的嘛。
[36:44] 那在科技裡面我想這更是人人有機會各個沒把握。
[36:48] 例如說像我在了解這個PTFE的時候,當然我相信有很多的產業專家一定是比我更加的了解。
[36:54] 但是我聽到的版本就非常複雜哦。
[36:57] 有這個東西可以取代掉Cube,有這個東西其實可以搭配Cube。
[37:02] 那這個東西它可能完全不用破遷。
[37:04] 這東西可能也可以有部分摸鮮。
[37:07] 那這東西怎樣?
[37:08] 所以就很未定。
[37:09] 記得大力光在發展光通訊的時候中間有摔一跤嗎?
[37:13] 因為他們說康寧的橋接技術不需要用到FAU這個模組。
[37:18] 所以用康寧的話就不用到大力光。
[37:21] 當時我們也講說如果是一個完全用不到的東西,
[37:23] 大力光不會去跟台積電聯絡了啊。
[37:26] 大力光也不可能就這樣投入。
[37:27] 事情都在發展的路上。
[37:29] 而且到後面有沒有最佳解決方案?
[37:31] 也許有。
[37:32] 但是是不是這個最佳解決方案就是單一解決方案?我想不會是。
[37:36] 這個就是科技裡面有趣的東西。
[37:39] 就像今天公司如果希望我們賺5億好了,這5億有可能是ABCDE的組成,也可能只有A就賺了4億。
[37:48] 這些事情我不知道,可是我會努力地在發展的進程中知道哪一塊是具有機會達成的而把資源投入在上面。
[37:55] 科技就是如此。
[37:56] 所以現在有一些廠商受惠於未來的夢想,我覺得大家就要理解他是未來的夢想,但是他現在形態或是大戶就是在做他,那你做他的時候你一定要記得你做的不是他的基本面,你做的是他的夢幻跟他現在的籌碼跟他現在的技術面,一定要用這樣的想法喔。
[38:16] 如果你希望的是,我跟你講因為2029年就會全面都是用這種PTFE,所以現在切入的廠商到了2029年他一定就是股王,那我覺得失望的可能性就會相當大。
[38:26] 嗯,如果這句話是黃仁勳講的話,我還認真參考一下。
[38:32] 除此之外的話呢,我覺得就是聽聽就好。
[38:35] 是,好,所以剛剛對比起來,就老A雖然讓你覺得很無聊,
[38:40] 可是老A是不容易消失的公司。
[38:42] 確實,沒錯。
[38:43] 好,那剛剛講到這些會讓你覺得,哇,我看到的是盤面氣氛的好轉。
[38:47] 盤面氣氛決定讓這一些,你沒有辦法確定什麼時候會用,甚至搞不好不會用喔,的材料。
[38:54] PODCAST 全職人員的資料,像玻璃機板我們以前也請曲柏來認真討論過,就是它那麼多優點,對不對?它的那種抗阻,他們都是要傳輸更快嘛,其實簡單一句話,大家都是要傳輸更順暢、更快、效率更好,都是往這方向走。
[39:09] 那它既然這個材質可以讓你傳輸效率是最快的,那為什麼沒有用它呢?那肯定就是後面的缺點很多。
[39:15] 像薇良這樣長得又帥又有內在,腦子又有東西,品格又好,玩人沒有了啦!
[39:45] 但是會有,因為它就會變成一個主流,它一定是最棒的,然後它就是成為一個主流。
[39:51] 那如果像威良他今天上我的Podcast,他是要跟我收20萬的通告費,我也沒辦法,對,諸如此類的。
[39:58] 所以呢,我覺得這就是科技有趣的地方,而慶幸的是,我覺得真的叫慶幸的是,第一,比較多的創新科技確實在美國,可是第二,比較多的創新科技的單子外溢的時候通常是到台灣。
[40:11] 我們的產業在科技上面是比較多元性的,因為大部分的科技,我們有兩個產業世界第一嘛,一個半導體,好,大部分的科技圍繞在半導體走不掉,我們有一個全世界第一的產業叫做PCB,所以現在看起來板材的進展,我們也不會離開,這兩個事情我們就已經非常非常非常厲害了,我覺得先這樣想,那先這樣想的時候,在裡面我們選擇個股的方向,就要知道我現在選的是踏實的,它現在跌下來有點可憐,本益比其人跌下來大家都在可憐,
[40:41] 可憐金像店,我也覺得是啊,它會被還供到的,可是可能需要點耐性。
[40:46] 那大家喜歡做夢的啊,喜歡台灣亞電啊,那就要知道自己在做什麼。
[40:50] 但這個領域我們不會缺席,我想這個就是最好的底氣啦。
[40:55] 沒錯。
[40:56] 好,那今天謝謝完美的威良。
[40:59] 沒有沒有沒有。
[41:00] 跟古厚仔的朋友說拜拜吧。
[41:02] 好,拜拜。
