[00:00] 歡迎收聽趙華語古惑仔第1015集1015
[22:15] 擴散出去的封測
[22:16] 他們今年的建廠題材
[22:18] 股價都會漲的話
[22:19] 那我覺得其實
[22:20] 但你這個禮拜不要再去做那些
[22:22] 什麼半導體供應的股票啦
[22:23] 容易被成為這個
[22:25] 利多賣出的一個物件
[22:27] 但今年你說一整年
[22:29] 他們會不會有後續的空間
[22:31] 我覺得都會有
[22:32] 所以半導體這個相關臺積電供應股票
[22:35] 我覺得你可以先放著看
[22:36] 如果你這邊前段時間沒有做
[22:39] 那你就等到
[22:40] 他的這所謂的一個法術會之後
[22:42] 再做一些進場的動作
[22:43] 今天其實還是有一些股票在漲
[22:46] 但是漲的可能就類似油田
[22:48] 這種被重新聽說是要打入到臺建工業
[22:51] 一些相關的一個公司
[22:54] 進去出一個比較好的表現
[22:56] 那其他像在所謂臺積電的這個金財
[22:59] 也是大家最近很關心的
[23:00] 就是看起來股價之前是低迷了很久
[23:04] 最近股價我覺得加速的走高
[23:05] 而且投信有在買房
[23:07] 那我覺得其實都可以從這方向去看
[23:09] 相關的臺建工業夥伴的一個操作
[23:12] 目前來看
[23:13] 我覺得只要臺積電股價創歷史新高
[23:15] 那先從臺積電自己的集團個股
[23:18] 我覺得是比較有表現的空間
[23:21] 好
[23:21] 臺積電的子公司對不對
[23:23] 就相對之下
[23:24] 一定會覺得被照顧蠻多嘛
[23:26] 像IP的話
[23:27] 創意對不對
[23:28] 今天的狀況也還不錯
[23:29] 那剛剛講到軍工
[23:31] 軍工的話
[23:32] 我們一直卡在
[23:33] 去年就講了
[23:34] 有這個500億的無人機標案
[23:36] 要開始招標
[23:38] 但是後面的話
[23:39] 就發現怎麼搞的
[23:40] 本來以為去年底
[23:41] 10月11月會有一些
[23:42] 陸續曝光
[23:44] 就都沒有
[23:44] 都沒有
[23:45] 我覺得就會讓他們的股價
[23:47] 在先前已經大漲過一波之後
[23:49] 就有點壓力
[23:50] 但是你說2026 2027
[23:51] 這些表演到底要不要開出來
[23:53] 當然要
[23:54] 然後美國在增加
[23:55] 這個軍購採貝的狀況
[23:57] 預算的時候
[23:58] 我們如果有賣到美國去的
[23:59] 會不會受惠
[24:00] 我想還是會
[24:01] 那當然軍工股
[24:02] 有的有賺錢
[24:03] 有的沒賺錢
[24:04] 也有人問我說
[24:05] 雷虎都沒賺錢
[24:06] 為什麼都是他
[24:07] 我說因為他的業務
[24:08] 在無人機上面
[24:09] 真的比較蠢
[24:10] 對
[24:10] 但是在技術上
[24:11] 可能就是真的要努力
[24:12] 要不然也會發生過
[24:14] 應該也是海偉哥講的
[24:15] 投了這麼多的標
[24:16] 為什麼標出來不是他
[24:18] 那不是他一方面
[24:19] 你可能會覺得
[24:21] 會不會標案的毛利太差
[24:22] 因為大家廠商去投標
[24:23] 總是希望能賺錢
[24:25] 那如果太差就沒標到
[24:26] 那可是有沒有可能
[24:28] 也是技術上的一些想法
[24:30] 這個必須講
[24:31] 因為我們政府的官員總統
[24:34] 都去參觀過雷虎
[24:35] 就代表什麼
[24:36] 對對有時候
[24:37] 他們跟政府的關係
[24:38] 肯定不是差的
[24:39] 這也是標案裡的一環
[24:42] 就退一萬步響
[24:44] 這個當然是
[24:45] 可是那為什麼會
[24:46] 業績出不來或什麼的
[24:48] 沒有也不能說完全出不來
[24:50] 其實去年他有一兩個月
[24:51] 業績是不錯的
[24:52] 還是要更正一下
[24:53] 那如果都能跟上的話
[24:55] 在接下來今年開標的案子
[24:57] 我想雷虎他的機率就很高
[24:59] 那另外一些有拿過政府標案的
[25:02] 例如中光電跟長龍航太
[25:04] 那顯然在這一次
[25:06] 如果有標案要開標的話
[25:07] 也蠻有機會
[25:08] 所以我覺得大家可以去關注
[25:10] 像我如果喜歡有EPS的
[25:13] 我可能就會比較傾向
[25:14] 看看長龍航胎這種的
[25:15] 但它不一定就會漲
[25:16] 那如果喜歡靈活的
[25:18] 可能像雷虎中光電這一種的
[25:20] 他們可能就不一定會
[25:21] 狹帶著業績多好的優勢
[25:24] 可是會狹帶著題材往上走
[25:26] 那我自己最喜歡的全訓
[25:27] 那就更不用講了
[25:28] 不會動
[25:29] 所以常常跟大家講
[25:32] 不用碰它
[25:33] 我只是支援我們國家級飛彈
[25:35] 就這樣子而已
[25:36] 好 這個是在軍工的部分
[25:39] 我覺得今年軍工還是會有戲
[25:41] 無論如何我聽到太多了
[25:43] 就是標案要開出來
[25:45] 以及就在增加預算的這個部分
[25:47] 可是什麼時候有戲我不知道
[25:49] 而他們每一檔的個性股性
[25:51] 又差異有點大
[25:52] 如果他們有集體性的時候
[25:54] 我覺得倒是不用太煩惱
[25:55] 因為大家就會一起亂標
[25:57] 不管你是EPS三塊的
[25:58] 五塊的
[25:58] 0.3的都會標
[26:00] 只要你有搭到這個題材上面
[26:03] 對所以軍工股建議大家
[26:05] 就是說你可以在臺股當中
[26:07] 選一些所謂知名的代表比方說在天上飛的你可能就選雷虎香港鐵道中光電等等在這個海里面跑的可能就選隆德造船啊隆德造船中興造船啊
[26:19] 新貴的這些
[26:19] 我覺得都可以選
[26:20] 那另外像一些
[26:22] 所謂的飛彈等等的
[26:23] 也有一些代表的公司
[26:25] 那除了這個以外
[26:26] 因為我們講
[26:26] 軍工股的股性不太好做
[26:28] 所以你可以搭配
[26:29] 所謂的ETF
[26:30] 那臺灣有相關的
[26:32] 軍工相關
[26:33] 軍工嗎
[26:34] 你是剛剛講到太空衛星
[26:36] 太空防衛
[26:36] 然後還有一個全球軍工國防科技ETF
[26:40] 好像是元大的還是哪一家的
[26:42] 也都有一些不錯的表現
[26:43] 因為這一波上來
[26:44] 你看到從川普要提高軍費之後
[26:47] 歐洲的日本的韓國的美國的軍工股
[26:51] 其實都創下波段高或歷史新高
[26:54] 所以今年其實在這個題材的配置
[26:56] 還是相當的多元
[26:58] 那回到臺股的部分
[26:59] 我覺得今天當然剛剛提到了軍工以外
[27:02] 另外一個就是所謂低軌衛星
[27:03] 剛剛我講0091年是太空衛星ETF
[27:06] 它是目前最標的ETF之一
[27:09] 對因為剛好今年的熱度最高
[27:11] 也是在所謂的太空科技方面
[27:14] 除了這個所謂的馬斯克Space
[27:16] 又跟這個美國NASA宣佈了
[27:19] 7500顆衛星的一個發射計劃
[27:21] 那中國其實今年預計要發射衛星數量更多
[27:26] 所以全球在中美兩個所謂的大國
[27:29] 在全球的這種科技防衛市場
[27:31] 要做一個太空的佈局的時候
[27:34] 我覺得今年就會是一個
[27:35] 比較大的商機的來源
[27:37] 那當然你看到臺股
[27:38] 最近的低軌衛星的題材
[27:39] 其實走勢
[27:40] 我覺得真的也不輸給記憶體啦
[27:42] 像到所謂的2313的華通
[27:44] 是
[27:44] 對那當然它本身
[27:46] 我覺得就是具備業績
[27:47] 而且本益比算相對合理
[27:49] 那股價最近當然是比較飆
[27:51] 哇這個最近
[27:52] 華智貝的股票也是很強
[27:54] 是
[27:54] 對啊
[27:55] 要劃華通
[27:56] 對啊
[27:56] 然後什麼華景電啊
[27:58] 華景電
[27:58] 華景電會當了啦
[27:59] 出關後就會當了
[28:01] 對
[28:01] 然後今天還有一個
[28:02] 華電網
[28:03] 華電網是之前的標股
[28:05] 對今天也是漲0.8
[28:06] 但因為華的股票真的很多
[28:07] 所以我們這有點偷吃布
[28:09] 但不管怎麼樣
[28:10] 華通、耀華這兩檔很強
[28:12] 都跟帝國衛星版有關
[28:14] 那它當中的指標股還是申達克
[28:16] 那現在股票已經到800
[28:18] 好像880了
[28:19] 以前認識它200塊而已
[28:21] 對所以我們其實去年有跟大家講過
[28:23] 一個所謂的主流族群
[28:25] 一定會誕生一個千元的股王
[28:26] 所以看起來帝國衛星股王
[28:28] 這個應該
[28:29] 有機會
[28:29] 這個申達克應該很有機會
[28:31] 以今年它的
[28:32] 其實業績是真的是逐月高逐季高
[28:35] 因為它真的是有非常多
[28:36] 低軌衛星版的訂單
[28:37] 那唯一的缺點就是本益比
[28:39] 一直都居高不下
[28:40] 但是現在沒關係
[28:41] 反正就是做夢題材
[28:43] 大家對本益比沒有那麼高的要求
[28:45] 所以我覺得低軌衛星這一塊
[28:47] 就是今年看起來是這個
[28:49] Space要IPO上市的很大的題材
[28:53] 那Space大概預計
[28:54] 可能是今年快的話要到下半年
[28:56] 所以我覺得這個題材
[28:58] 就有機會延續一整年的時間
[29:00] 所以低軌衛星上去
[29:01] 你會發現到除了低軌衛星以外
[29:03] 像在所謂的一個太陽能
[29:05] 那現在太陽能的討論度也越來越高
[29:08] 因為就是預期可能未來三年到五年之後
[29:12] 那個相關的太陽能的技術
[29:14] 或說一些太空材料的取得會比較好的話
[29:18] 那對整個一個太空太陽能的發展
[29:21] 會有一個比較正面的幫助
[29:22] 所以現在都先行反映這樣的一個題材
[29:25] 那我剛好最近看了一個報告
[29:27] 就是對岸所出的
[29:28] 他說未來太陽
[29:30] 在太空太陽能發電的一個
[29:32] 運用程度會越來越高
[29:35] 就是說基本上來講
[29:36] 你只要發射上去
[29:37] 太陽能發電就可以達到所謂的
[29:39] 太空算力的湧動機
[29:41] 就沒有所謂能源的問題
[29:42] 那當然會採用幾個重點的原料
[29:45] 第一個當然太陽能板是重點嘛
[29:47] 但是他提到
[29:48] 太陽能板目前有兩種技術
[29:49] 一個叫做所謂的一個
[29:51] 生化加太陽能板材料
[29:53] 所以生化加最近也非常的強
[29:55] 對所以你看文貌全新
[29:58] 全新 紅結科
[29:59] 那所以全訓也有機會
[30:01] 因為他也是生化家
[30:02] 對 很奇妙
[30:03] 他也是哦
[30:04] 他也是第三代半導體生化家等等的
[30:06] 但不管長軍工還是長生化家
[30:08] 他都不太動
[30:09] 但是他有EPS哦
[30:11] 他也不是沒有EPS
[30:11] 而且他還是那種
[30:13] 營收會創新高的
[30:14] 真是超有趣
[30:15] 對 所以他是苦守寒窯型的公司
[30:17] 真的很奇妙
[30:18] 又是中研院扶持的
[30:19] 就是正國家軍
[30:20] 對 但我們這種公司
[30:22] 其實有時候真的
[30:23] 我真的是在扶持的想法在買他的
[30:25] 不然那種股性誰要
[30:26] 對啊
[30:27] 但我覺得其實終於會等到他了
[30:29] 因為畢竟他真的是
[30:31] 我覺得獲利好的公司
[30:32] 但你會發現到文貌
[30:33] 已經衝到200多塊的
[30:35] 這個我們可敬的朱老師
[30:37] 選的股票真的很強
[30:38] 因為文貌開玩笑
[30:39] 之前很多答案
[30:40] 其實陸陸續續都會想說
[30:41] 他低檔轉搶
[30:42] 或是低位接賬
[30:43] 不是很容易喊
[30:45] 但朱老師的點位非常巧妙
[30:47] 因為我的影片是12月18號
[30:49] 那個公佈出來的
[30:51] 所以我們起算點就12月18號
[30:53] 大家可以看一下
[30:53] 現在應該還是你第一名
[30:55] 對因為我前年有推過文貌
[30:57] 那時候推達平臺是因為
[30:58] 推不動吧
[30:59] 他的養豬的豬價格開始上漲
[31:02] 後來他賣掉那一塊了
[31:03] 被大家詬病到不行
[31:05] 對那現在我們說
[31:06] 真的迴歸到本業的一個
[31:08] 屬於時代來臨了
[31:09] 所以我要跟大家講
[31:10] 所謂太空算力這一塊
[31:12] 就剛剛提到
[31:13] 除了低軌衛星這一塊
[31:14] 本來就已經看到業績的
[31:16] 另外所謂的PA功率放大器
[31:18] 或說一些微波接收器
[31:21] 這些的我覺得都可以看的
[31:22] 那太陽能部分
[31:23] 當然你可以看到
[31:24] 最近的一些太陽能股票
[31:25] 當然原金還是當中的代表
[31:27] 因為它是想象空間最大
[31:28] 被關完之後又繼續在創高
[31:31] 所以目前股價
[31:32] 我覺得已經來到
[31:33] 非常高的一個高點
[31:34] 本已無人算
[31:35] 而且它公佈的營收
[31:36] 真的非常賴
[31:37] 但是原金上去之後
[31:39] 你會發現到今天像國碩
[31:40] 然後什麼新金頭控
[31:43] 股價也大漲
[31:45] 那我覺得其實你可以看
[31:46] 國碩集團的股票
[31:47] 我覺得相對來看
[31:48] 因為他們有切入到
[31:50] 所謂AI伺服器的散熱
[31:51] 所以國碩跟碩和
[31:53] 他們11月營收
[31:54] 我記得年增好像是
[31:55] 170幾%跟150幾%
[31:56] 到12月份營收
[31:58] 已經變成了200多%營收的成長
[31:59] 所以看起來這家
[32:01] 這個所謂的朔和國作集團
[32:03] 他們今年應該是有企圖心
[32:05] 因為我們上次也在節目上
[32:07] 有介紹過朔和
[32:09] 去年前價格虧了8塊多
[32:11] 真的慘
[32:12] 一次性的打消一些東西
[32:14] 對 把它打消完了
[32:14] 通常會這樣
[32:15] 對 所以看起來就是
[32:16] 股價也反應完了之後
[32:17] 我覺得現在就有一些所謂的起色
[32:19] 那當然你這兩檔公司
[32:21] 國作跟朔和
[32:22] 優先我覺得國作
[32:23] 因為位階比較低
[32:24] 股價也比較低
[32:25] 所以比較活潑一點
[32:26] 那塑合因為我覺得業績比較好
[32:28] 我覺得是大家可以觀察的
[32:30] 因為最近大家可以發現到
[32:31] 黃金跟白銀的價格
[32:34] 間又創下歷史的新高
[32:35] 那現在所謂被動元件跟太陽能
[32:38] 都會因為導電銀江的上漲
[32:41] 而有調漲的價格
[32:42] 那塑合本身又是全球前幾大導電銀江大廠
[32:46] 所以這些都是後續的題材
[32:48] 那目前來看我覺得
[32:49] 低軌衛星還有一個就是
[32:50] 之前跟大家分享過的
[32:53] 這個跟習高有關的生貌
[32:55] 那生貌我覺得它也是具備
[32:57] 這個低軌衛星題材
[32:58] 那又是多題材
[32:59] 半導體封測材料
[33:01] 而且席價也創下歷史的新高
[33:03] 同樣也有這種漲價
[33:05] 低價庫存的一個題材
[33:06] 我覺得都是這一整塊看起來
[33:08] 也是族群慢慢有在點火跟擴散
[33:11] 那當然你最優先要做
[33:12] 有這個業績的題材的話
[33:14] 還是以低軌衛星相關的
[33:16] 直接跟板材有關的
[33:17] 那些看起來是業績明顯的貢獻
[33:19] 你看到今天連金寶
[33:21] 都出現漲停板的發展
[33:22] 所以我覺得這些就代表說
[33:24] 這個區塊來看
[33:25] 都還是這個多方的形態
[33:27] 慢慢在擴散
[33:28] 但是有一些低軌衛星
[33:29] 有重疊的
[33:30] 比方像奇蹟
[33:31] 像什麼中雷之翼的
[33:33] 他們有一些可能
[33:33] 有低軌衛星
[33:34] 但又有傳統型的網通
[33:36] 那他們可能就是
[33:37] 股價的操作上面
[33:39] 難度會比較高
[33:40] 這是大家可能要去
[33:41] 做一些留意跟觀察的
[33:42] 好
[33:43] 因為剛剛講到低軌衛星
[33:44] 突然想到
[33:45] 這個雖然不是在
[33:46] 古惑仔講
[33:46] 是在這個達仁秀
[33:48] 剛好上禮拜
[33:49] 因為雲翔哥
[33:50] 他看高做低嘛
[33:51] 所以他看到華通衝出去
[33:52] 他就覺得那坐低看要滑這樣子
[33:55] 後來小哥來幫忙看籌碼
[33:56] 那他也有提到說
[33:57] 滑通的籌碼比較好
[33:59] 可是要滑其實籌碼並不好
[34:00] 所以在滑通漲的時候
[34:02] 要滑是用跟的
[34:03] 後來就有一個網友就留言說
[34:06] 所以小哥跟雲翔哥的想法是對坐嗎
[34:08] No
[34:09] 其實他們的想法不是對坐
[34:10] 為什麼
[34:11] 看高坐低就代表
[34:12] 漲出去的那個一定是最厲害的
[34:13] 不管什麼原因
[34:14] 不管是獲利的原因最厲害
[34:16] 或是這個籌碼的原因最厲害
[34:18] 他能夠衝出去
[34:19] 一定有他最厲害的地方
[34:20] 那雲翔哥的想法是
[34:22] 他也覺得最厲害的東西通常最好
[34:24] 可是如果你今天會擔驚受怕
[34:27] 那就去找跟的
[34:28] 跟的他一定有他的缺陷
[34:30] 就是漲得慢的股票
[34:31] 肯定有可憐之股
[34:33] 有他比較不幸的地方
[34:35] 例如說像耀華的獲利
[34:37] 是不是今年真的能夠達到
[34:39] 市場上講的兩塊五兩塊六
[34:41] 因為我問過婉婷
[34:42] 婉婷覺得其實是稍微比較困難的
[34:45] 可是這個時候不用去澆市場的冷水
[34:47] 也就是說從基本面上
[34:49] 雖然今年看得出來
[34:50] 你會覺得他好低估
[34:51] 如果說還沒有上漲之前
[34:53] 可能本益比才10倍11倍
[34:55] 可是那就是因為他的成長動能
[34:56] 也許真的沒有那麼的厲害
[34:58] 就網傳有那麼高
[35:00] 可是你看那麼紮實看產業的晚停
[35:02] 就講說沒有那麼高嗎
[35:03] 可是雲翔哥知不知道呢
[35:05] 我覺得他當然也知道
[35:06] 可是他知道現在市場上有人
[35:08] 就是把他估得高
[35:09] 而他還沒漲
[35:10] 所以看高做低可以這麼做
[35:12] 所以沒有錯
[35:13] 那小哥有沒有錯
[35:13] 小哥當然沒有錯
[35:14] 因為他看到要劃出馬就是比較爛
[35:16] 那為什麼
[35:17] 因為劃通是領頭的
[35:18] 他一定是資金比較集中
[35:20] 才會漲得比較快
[35:21] 可是耀華會不會跟
[35:22] 會啊
[35:23] 因為你現在雖然籌碼爛
[35:25] 可是華通如果一直漲
[35:26] 人家會不會想說
[35:27] 那我也來做一下耀華
[35:28] 會
[35:28] 那他的籌碼可能就會慢慢的好轉
[35:30] 但他不會是最好的
[35:32] 我覺得他們兩個的想法都沒有錯
[35:34] 我覺得這邊的話
[35:35] 我要講的一件事情就是
[35:36] 現在的狀況就是有點是這樣
[35:39] 你看到基優的股票會漲
[35:41] 你看到不基優的股票也會漲
[35:44] 對
[35:44] 然後你會發現以前叫做籌碼爛
[35:47] 可能那你漲一下就沒了
[35:48] 可是如果基優的股票
[35:49] 或是帶頭的大哥太強
[35:51] 或是整體的大盤氣氛太好
[35:53] 那就算籌碼爛
[35:54] 也會漲一段時間
[35:55] 現在的氣氛
[35:56] 有點走到這樣
[35:57] 那這樣的氣氛
[35:59] 有人會說太投機了
[36:00] 常常會有人說
[36:01] 這個時候不注意風險
[36:03] 就完蛋
[36:03] 但我也必須講
[36:04] 以我們在股票市場的經驗
[36:06] 這樣的氣氛
[36:07] 就是一個全員暴走中
[36:10] 因為12月還沒那麼明顯
[36:12] 12月其實很多的
[36:14] 大型基礎股都不動
[36:15] 真的都是漲
[36:16] 沒有賺錢的股票
[36:17] 可是現在是有賺錢的
[36:18] 也漲沒賺錢的
[36:19] 像我覺得最牛就像日月光
[36:21] 可是日月光漲啦
[36:23] 對不對
[36:23] 還一直漲
[36:24] 還創高了
[36:25] 歷程也漲啦
[36:26] 還創高了
[36:27] 這些本來就是本一筆
[36:28] 低估有獲利的公司
[36:30] 他們都在漲
[36:31] 甚至用漲停板來表態
[36:32] 甚至剛剛講到日月光
[36:33] 還蔓延到他自己的子公司宏景
[36:36] 搞不好他是有乘坐一些廠房
[36:38] 或什麼的題材
[36:39] 對
[36:39] 所以像這樣子的情況下
[36:41] 我就會覺得
[36:42] 暫時不用去預設立場
[36:44] 我們知道有風險就好了
[36:45] 可是你喜歡什麼樣型別的公司
[36:47] 你都還蠻有機會的
[36:49] 其實我覺得對投資人來說
[36:50] 反而比較容易做
[36:52] 像今天上漲的加速
[36:53] 有1200、1300加
[36:54] 所以會是一個
[36:55] 欣欣向榮的狀態
[36:56] 那當然接近到農曆年的時候
[36:58] 會有冰凍資金的結賬
[37:00] 對不對
[37:00] 我們有長假的效應
[37:02] 那你也不喜歡抱著
[37:03] 那麼多股票
[37:04] 過整個農曆年的話
[37:05] 那我覺得
[37:06] 是不是就適度的
[37:07] 依照你的習性節碼
[37:09] 或者是你配置在
[37:10] 我常常會講
[37:11] 你不敢買個股
[37:12] 你就配一點在ETF
[37:13] 你不敢買低軌衛星
[37:16] 那我們現在有太空衛星
[37:17] 你不敢買國防軍工
[37:18] 我們有國防軍工ETF
[37:20] 真的很細碎
[37:21] 當然我個人是
[37:22] 不一定會那麼著重在小產業
[37:24] 我還是喜歡它是在大產業
[37:26] 例如半導體
[37:27] 綜合科技型的
[37:29] 電子型的
[37:30] 但是我覺得沒有差
[37:32] 因為現在的話
[37:32] 它的入手價都很低
[37:34] 所以你自己組一個
[37:36] 從ETF再組一個ETF
[37:38] 報過年
[37:39] 我覺得問題也不大
[37:40] 對啊
[37:41] 所以我覺得其實
[37:42] 但機會很多
[37:43] 但大家的困擾應該是說
[37:44] 好像資金沒有辦法
[37:45] 切得那麼散
[37:46] 就是大家畢竟也沒有說
[37:48] 每一個都是那種身家過億破億的這種身家
[37:51] 就算是那種身家也不會壓這麼小的股票
[37:53] 不會分得那麼散
[37:54] 所以我覺得還是回歸到
[37:55] 像剛剛提到的就是
[37:57] 產業當中所謂大哥二哥三哥的排序
[38:00] 那剛剛提到低谷衛星
[38:02] 可能就是華通大哥
[38:03] 耀華是二哥
[38:04] 三哥你可能找到晉鵬
[38:05] 那晉鵬你會發現到
[38:06] 如果以這個所謂的排序來看的話
[38:08] 大哥一定就是所謂業績最好
[38:10] 法人最認同
[38:11] 股價也是最先創高的
[38:12] 那二哥可能就是說
[38:14] 他的產品跟大哥有重疊
[38:16] 但毛率跟獲利跟市場率可能沒有那麼高
[38:18] 會不會跟漲
[38:19] 會跟漲
[38:20] 那你如果做到
[38:21] 所謂三哥的話
[38:21] 他可能就會
[38:22] 比較大的落差
[38:23] 最大的代表
[38:24] 就是所謂PCB的這個
[38:26] 聯貿
[38:26] 也是銀杆哥的
[38:29] 看高做低
[38:30] 被拿出來鞭打
[38:32] 但是就實際上來講
[38:34] 你看說什麼
[38:35] M8 M9
[38:36] 他就真的是比較落後
[38:37] 人家都已經開始出貨
[38:39] 他可能還在送樣
[38:40] 那人家送樣到M9的時候
[38:42] 他可能在送樣M8
[38:43] 所以你要做這種股票的話
[38:44] 當然你說他會不會跟著漲
[38:46] 會
[38:46] 但是就是真的
[38:48] 會比較慢
[38:48] 所以我覺得就是一樣
[38:50] 就是回到所謂的投資嘛
[38:51] 就是你要高報酬
[38:53] 就一定要承擔高風險
[38:54] 那如果說你要找那種最落後的
[38:56] 自然你就會承擔到
[38:58] 比較低的報酬
[38:59] 那只是說你用時間去等
[39:00] 你就用時間去換
[39:01] 一定會換到它相關的機會
[39:03] 所以目前來看
[39:04] 我覺得這些所謂的一個
[39:06] 各個產業
[39:07] 你可以用這樣的一個順序去看
[39:09] 如果你能夠買龍頭
[39:10] 買龍頭
[39:11] 如果真的不行
[39:12] 你覺得龍頭高
[39:12] 你買老二
[39:13] 你買老三的話
[39:14] 你就要有心理準備
[39:15] 它可能就漲得比較慢一點但是會不會漲也會漲所以現在我覺得不管就產業或就族群都可以看到這樣一個輪動的跡象所以我覺得
[39:25] 低軌衛星聊完之後
[39:27] 我們就聊到
[39:27] 像機器人
[39:28] 我覺得最近也是
[39:29] 大家可以慢慢
[39:30] 回頭來看的一個公司
[39:31] 難得在
[39:32] 因為這樣的盤式
[39:33] 我稍微對它有點興趣
[39:35] 要不然我真的覺得
[39:36] 太難了
[39:36] 因為獲利的狀況不好
[39:38] 然後我覺得
[39:39] 有人會說
[39:40] 很多獲利狀況不好
[39:41] 最近不是也漲嗎
[39:42] 面板也在漲了什麼
[39:43] 但是他們真的
[39:44] 非常非常久
[39:45] 非常非常久
[39:46] 太陽能也是
[39:47] 非常非常久
[39:48] 那機器人因為
[39:49] 時不時每一年
[39:50] 都會覺得有點機會
[39:51] 會動一下動一下
[39:52] 反而就沒那麼
[39:53] 乾淨利落啦
[39:55] 那但是今年會不會
[39:56] 再度輪到機器人
[39:57] 我覺得還是會啦
[39:59] 對
[39:59] 有期待性啦
[40:01] 那今天因為我覺得
[40:01] 因為機器人跟西光子
[40:04] 蠻像的
[40:04] 西光子去年
[40:05] 整年都沒有看到出貨
[40:06] 那今年看起來
[40:08] 會開始爆發出貨
[40:09] 所以業績會出來
[40:10] 今天聯亞漲停板
[40:11] 我也是嚇到
[40:12] 我說聯亞還能漲停板
[40:14] 對 但你發現到
[40:15] 2025年的下半年開始
[40:17] 很多矽光子的營收年增就上來了
[40:19] 有出來
[40:20] 對 因為他們就是
[40:21] 2024年打更差
[40:22] 所以2025年的出貨
[40:23] 年增就會出來
[40:24] 所以今年的機器人
[40:25] 應該會複製去年的矽光子
[40:27] 就是因為去年的機器人
[40:29] 從上年那些
[40:30] 從關稅戰之後
[40:32] 他們營收就開始
[40:33] 非常明顯的下滑
[40:34] 有這個稅率
[40:36] 有關稅不確定性
[40:37] 有這個無薪假的一個影響
[40:40] 那我認為
[40:41] 他們大概從第二季開始
[40:43] 因為去年低基期就會出現比較明顯的年增成長
[40:47] 那下半年開始相關機器人的出貨就會更加明顯
[40:51] 因為阿特莫斯如果馬斯克沒有在開公路支票
[40:54] 理論上今年的下半年應該會開始出貨
[40:57] 那你看到所謂小鵬機器人
[41:00] 現代的汽車
[41:01] 他們也都開始出機器人
[41:03] 甚至說中國的不管是宇宿
[41:05] 智源到優幣選
[41:07] 那像波斯頓動力
[41:09] 今年都有預測預期要做一個快速出貨的一個現象
[41:13] 所以不能夠說今年機器人
[41:15] 動輒就出現出貨50萬臺100萬臺
[41:18] 我覺得那個難度在
[41:19] 但今年你說全球機器人加起來
[41:21] 有沒有機會超過10萬臺的出貨量
[41:23] 我認為是有
[41:24] 所以他們就會有一個所謂產業衝
[41:26] 原本你只是覺得是一個概念
[41:28] 那今年我覺得陸陸續續
[41:30] 不管各種形態的機器人
[41:31] 都有機會拉貨
[41:32] 那我們回到個股
[41:33] 那既然指標性上癮
[41:35] 它在12月營收
[41:37] 我記得是交出26個月的新高
[41:39] 所以看起來公司也是有點在年底
[41:42] 就是想要把它仗作的比較漂亮一點
[41:44] 是
[41:44] 對那大銀圍啊
[41:46] 我覺得這個上銀集團的股價
[41:47] 當然他們很大一塊不是機器人出貨
[41:49] 是半導體裝置的出貨
[41:51] 所以這個我覺得
[41:52] 當然他們都會具備所謂多題材啦
[41:55] 你單看純的機器人
[41:56] 臺灣大概就達明而已
[41:57] 那其他當然會有一些其他的相關的
[42:00] 那廣名
[42:01] 但我覺得最近是得到這個投信的青睞
[42:03] 也是大家可以觀察的標的
[42:05] 那我比較喜歡的臺灣清瑞股價
[42:07] 我覺得最近也慢慢爬上來了
[42:09] 對他來到700塊附近
[42:11] 那我們上次有跟大家分享過一家公司
[42:14] 叫做上尾投控
[42:15] 那上尾投控我覺得它還是股價很穩
[42:18] 但是它的子公司上尾心裁
[42:21] 今天在中國大陸的股價已經來到將近170塊
[42:25] 那它當初去年剛把這個上尾心裁
[42:29] 就是上尾投控賣給智源機器人的時候
[42:31] 股價是7塊8
[42:32] 所以我們算起來它這個賬面上漲幅已經漲了19倍
[42:36] 所以我覺得對於上尾投控來講
[42:38] 因為還持有20%的上尾心裁
[42:40] 我覺得就有想象空間
[42:41] 因為定投控持有這個超銀嘛
[42:43] 股價也是這種大幅度的拉高
[42:45] 我覺得這是大家可以看的
[42:47] 就是說臺灣的機器人公司
[42:49] 目前我覺得唯一的最大優勢就是
[42:51] 股價位階很低
[42:52] 那籌碼相對比較乾淨
[42:54] 所以如果說大家可以看到一些相關的公司
[42:57] 有慢慢表態往上的話
[42:58] 那我覺得都是在
[43:00] 你到農曆年前
[43:02] 想要去找這種底部上來的股票
[43:04] 也許機器人是大家可以參考的一塊
[43:06] 但是我也認同
[43:09] 就是不是說很盲目的說
[43:11] 因為今年會有題材來
[43:12] 因為我也是有聽到
[43:14] 就是例如說
[43:15] 揮打或種種的
[43:16] 就是跟機器人
[43:17] 有關的一些大廠
[43:18] 他們會有一些單子
[43:19] 往臺灣移動
[43:20] 所以會聽到
[43:22] 最純的達明之外
[43:23] 有一些可能本來就是
[43:25] 揮打供應鏈
[43:25] 有合作過的
[43:26] 都有機會接到
[43:28] 機器人相關的訂單
[43:30] 我覺得這個是
[43:30] 比較紮實的事情
[43:31] 那剛剛還有
[43:32] 都有提到一個事情
[43:33] 我突然想到
[43:33] 也要提醒大家
[43:34] 因為我們講到
[43:35] 這個骨後為隱
[43:36] 對不對
[43:37] 為什麼第四季
[43:37] 這個好像三綠三將
[43:39] 大家有點嚇到
[43:40] 第四季是個
[43:40] 很微妙的一季啦
