[00:00] 欢迎收听 赵华语古惑仔第1126集
[00:09] 今天是2026年的6月25号
[24:42] 刚刚云翔哥讲的
[24:43] 如果你今天是出现一个
[24:45] 比较急速的下杀
[24:46] 其实我们最近运气是不错的
[24:48] 对对没错
[24:49] 真的就是没有杀到断头
[24:51] 我还记得上一次
[24:52] 我们不是有回测
[24:54] 这个四万三四万二吗
[24:55] 然后其实期货真的变动比较大
[24:58] 因为期货那天
[24:59] 其实有回测到将近快要四万点
[25:01] 可是现货没有
[25:01] 所以就比较没有
[25:03] 如果再下去
[25:04] 那时候其实有来宾分析
[25:06] 以融资维持率来说
[25:07] 如果现货也杀到四万的时候
[25:10] 会有第一批的人断头
[25:12] 就是因为融资维持率
[25:14] 我记得那时候平均好像一百五吧
[25:16] 就是如果再往下杀的话
[25:17] 那因为融资
[25:18] 这个133会断头嘛
[25:20] 对
[25:20] 所以那时候就觉得说
[25:22] 如果再杀到4万
[25:23] 你会断
[25:23] 但没断
[25:24] 因为后来现货4万2
[25:26] 就直稳了
[25:27] 就上去了
[25:28] 好
[25:29] 那这一波累计融资
[25:30] 就是赚钱融资
[25:31] 对
[25:31] 所以他们就越来越勇敢
[25:33] 维台也是啊
[25:34] 大家还记得吗
[25:35] 维台大做多
[25:36] 最近大做多
[25:37] 也都是几乎是赚钱
[25:39] 那夜盘被吓出去不算嘛
[25:40] 对
[25:40] 如果是到了隔天的白天
[25:42] 其实大部分是赚钱的
[25:44] 对
[25:44] 所以我觉得说
[25:45] 对我来看法也是这样
[25:47] 就是说不能够太意气用事
[25:50] 就是说你不能因为你想看空
[25:53] 然后就一路认为说
[25:55] 它一定要跌一定要跌
[25:56] 因为没有办法
[25:57] 因为这个行情就是
[25:59] 当资金在往这个所谓的
[26:02] 正向的方向推挤的时候
[26:04] 你基本上这个资金只要没有下来
[26:07] 其实我比较担心的是
[26:08] 资金有没有瞬间就是开始下滑
[26:12] 比如说以现在的量能来讲
[26:14] 跟以前又不一样了
[26:15] 以前我可能会讲说
[26:16] 那可能七千亿八千亿
[26:18] 可能维持这个动能来讲
[26:20] 基本上就可以维持住
[26:21] 可是现在不一样啊
[26:22] 现在不是三万多点
[26:24] 现在是四万多点
[26:25] 现在是五万点
[26:27] 对
[26:27] 那这样的情况下来讲
[26:28] 这个资金要往前推挤到过前高
[26:31] 那我觉得说
[26:32] 那可能就不是1.5兆的事情了
[26:35] 对
[26:36] 你可能就变成要突破前高
[26:38] 那这时候可能要到1.7 1.8兆
[26:41] 我觉得这个机会是
[26:43] 可能是比较高
[26:44] 容易有创高的行为
[26:46] 所以如果这个量能
[26:48] 万一它是慢慢慢慢萎缩掉
[26:50] 这时候你反倒要稍微小心一点
[26:52] 所以说这时候
[26:54] 其实资金如果是
[26:55] 还是全力的往上走
[26:57] 那这个创高的机会
[26:59] 我觉得还是会比较大一点
[27:02] 好
[27:02] 资金这种东西就是
[27:04] 水能载舟
[27:05] 亦能覆舟
[27:07] 但是不好意思
[27:08] 现在的舟是比较往上
[27:10] 在开的舟
[27:11] 刚刚讲到
[27:13] 最近如果说
[27:14] 压力比较大
[27:15] 我觉得就是三月
[27:16] 就是每一开战
[27:17] 每一开战
[27:18] 你就会有点比较像是
[27:19] 我没想到
[27:20] 事情拖那么久
[27:20] 没想到油价喷那么高
[27:22] 但除了那一次之外
[27:24] 后面的都不是
[27:25] 极巨大的事情
[27:27] 但是滑雪那时候
[27:28] 我认为是一个
[27:29] 因为你可能会从
[27:30] 预期降息环境
[27:31] 变成升息环境
[27:32] 这个确实是一个
[27:33] 所以这也是现在盘面上
[27:35] 我觉得会比较主导
[27:36] 在老乱的因素
[27:37] 不过有跟大家分享
[27:39] 跟云翔哥的看法一样
[27:40] 例如你说台积电的
[27:41] 第二季很好
[27:42] 不止台积电的第二季很好
[27:44] 以目前看到的营收来说
[27:46] 很多的电子电子公司
[27:48] 第二季应该都会非常好
[27:50] 我觉得都是受台积电的影响很大
[27:53] 因为你都是由台积电分时下来
[27:58] 一些所谓的供应链
[28:00] 这没有办法
[28:01] 这一看大概就知道
[28:02] 这个单子大概至少到
[28:05] 我觉得到下半年很多都停不了
[28:07] 而且大家要知道
[28:08] 对比去年的第二季
[28:10] 我们面临到的是台币的暴利升值
[28:13] 所以当时候对外销概念股
[28:16] 真的是很大的一个压力
[28:17] 每一家都在提炼说
[28:18] 我们可能接下来有会损什么的
[28:20] 现在不是
[28:21] 现在我们排币在贬值
[28:23] 现在我们第二季的成绩
[28:26] 如果结出来
[28:26] 我们有贬值的收益
[28:28] 有自己业绩成长的收益
[28:29] 所以第二季一定是一个很棒的成绩单
[28:33] 在七八月会陆续开出来
[28:35] 第二季季报也好
[28:36] 或是半年报也好
[28:38] 搞不好有人会对收益进来之类的
[28:40] 这些都会是在基本面上面
[28:42] 目前我们觉得
[28:43] 相对乐观的原因
[28:44] 我觉得这个是个总体方向
[28:46] 但在选股上面
[28:48] 云翔哥也会讲
[28:49] 第一是你当然要选
[28:50] 你自己还是看得好的产业
[28:52] 刚刚讲到半导体设备
[28:53] 是绝对没什么问题的
[28:55] 第二就是看高做低
[28:57] 第三就是一定要放量
[28:59] 对
[29:00] 所以之前我们大概像
[29:02] 之前常讲那一支什么
[29:03] CCL的那个联贸
[29:05] 联贸这两天
[29:06] 它被迫字节
[29:07] 对
[29:08] 所以我觉得说
[29:10] 很多事情是这样
[29:11] 就是说
[29:12] 如果就是看高做低的这个做法
[29:15] 你是不是要想到说
[29:17] 他可能就是要有一个
[29:19] 所谓的引爆点
[29:20] 那这是我觉得联贸
[29:22] 基本上也是这样
[29:23] 你发现说
[29:24] 他对比这个台光电
[29:26] 跟这个台药
[29:27] 已经落差非常非常大了
[29:29] 台光电都已经上五千了
[29:31] 所以那时候基本上就是说
[29:33] 人家赚的钱也差很多
[29:34] 也差很多
[29:36] 可是如果他自结
[29:37] 自结到一个月要一块多
[29:40] 他自结一个月一点二一
[29:42] 对
[29:42] 很厉害
[29:43] 确实是不一样
[29:44] 确实是不一样
[29:45] 不过当然
[29:47] 因为他还没有完全公告
[29:49] 他的一个内容
[29:50] 对
[29:50] 这内容里面有没有业外
[29:52] 是不晓得
[29:53] 所以比较担心是他有没有业外
[29:55] 如果是存益
[29:56] 是因为本业收益
[29:59] 获利到1.2
[30:00] 那我觉得说
[30:01] 这个确实就是说
[30:02] 你就不能小看这些
[30:04] 有相关的一些材料
[30:06] 基本上涨价的一个效应出来
[30:08] 好
[30:09] 还有材料
[30:10] 就是等于是说
[30:11] 今天在不管是同博基板
[30:13] 大家所谓的涨价升级的这件事情里面
[30:16] 其实材料是非常重要的
[30:18] 但是当然因为最近的特化股
[30:20] 可能整体的族群性还没有被拉出来
[30:22] 就点放点放
[30:23] 也不能说都没有涨
[30:25] 但也会是云翔哥关注的一个重点
[30:28] 我觉得如果现在是这样
[30:29] 就是说你有些资金在
[30:32] 那你想要找一些比较安全的
[30:34] 那确实现在当然
[30:35] 我觉得说现在去追那些
[30:38] 已经比如说已经上线的国具
[30:40] 我想你自己会毛毛的
[30:42] 因为才两个月
[30:43] 从300变成1000多
[30:45] 被动还是很强
[30:46] 对 还是很强
[30:47] 对 我觉得还是很强
[30:49] 就是说你不是说
[30:50] 一定要卖它
[30:51] 我讲的是
[30:52] 你现在才要进场的
[30:54] 对你来讲
[30:55] 就是有压力在
[30:56] 那我觉得说
[30:57] 现在进场
[30:57] 当然你就可以开始
[30:59] 稍微去步说
[31:00] 这个市场还是会轮动
[31:02] 我觉得说
[31:03] 这个族群轮动来讲
[31:05] 这只要是
[31:07] 在未来几年
[31:09] 未来五年十年
[31:10] 都是对的产业
[31:11] 刚讲了低轨位型
[31:13] 你觉得它不会轮动
[31:14] 一定会轮动
[31:15] 特化一定会轮动
[31:17] 因为政府太低轨位型
[31:18] 所以我觉得说
[31:20] 以这些来讲
[31:21] 当然说你也可以先去步
[31:22] 当然如果用长线来步的话
[31:25] 你可以先去步这些
[31:27] 它的本益比基本上
[31:28] 是比较偏低一点
[31:29] 可是它还是有成长性
[31:31] 很多基本上你看
[31:32] 如果你过了出第二季
[31:34] 或者说第一季对比
[31:35] 今年被你估出来的数字
[31:38] 是一个本益比落点
[31:40] 我觉得说现在落点在20倍以内的
[31:43] 基本上就是已经是很
[31:45] 比较低估了
[31:46] 20倍真的是
[31:47] 真的很低估了
[31:48] 因为现在市场
[31:49] 动不动都已经估到大概三四十倍了
[31:52] 有些东西已经很难说
[31:53] 像今天载板很强
[31:55] 我记得前几天有跟大家分享说
[31:57] 因为载板下半年涨价的幅度
[31:59] 又在提高了
[32:00] 所以修正之后
[32:01] 虽然已经
[32:02] 你用本益比来看
[32:04] 已经很难看懂了
[32:05] 但这个族群
[32:06] 还是在涨价题材里面
[32:08] 一定要留意的
[32:09] 今天锦硕在创历史新高
[32:11] 我不敢说
[32:12] 我其实锦硕500以上
[32:14] 我就不敢说
[32:14] 这样叫合理吗
[32:16] 可是这就是资金势头的厉害
[32:18] 强势族群
[32:20] 帮大家整理一下
[32:21] 像载板类
[32:21] 它还是强势族群
[32:23] 那被动元件
[32:24] 还是强势族群
[32:25] 功力元件
[32:26] 也许今天也是称之不齐
[32:27] 但它还是强势族群
[32:29] 我觉得这些是可以留意的
[32:30] 设备也转强
[32:31] 其实前阵的设备
[32:33] 也有一两天是突然被中杀
[32:35] 我记得汉堂
[32:35] 也被打到跌停板什么的
[32:37] 可是设备族群
[32:38] 我觉得这个真的是无庸置疑
[32:40] 就看你叠到哪里
[32:41] 你觉得自己喜欢
[32:42] 他就是要接纳全世界的扩敞
[32:45] 不是台湾
[32:46] 全世界的扩敞再度强调全世界的扩敞所以设备族群大家就各自去找因為他們最麻煩的就是大部分
[32:57] 成交量不能算太大
[32:59] 所以有時候一個投信在賣或什麼的
[33:01] 可能就燒到跌停板
[33:03] 有時候入帳的時間挺麻煩的
[33:05] 有人喜歡這個記底入帳
[33:07] 有人中間突然就入帳
[33:09] 有人突然就沒入帳
[33:11] 這個所以會建議你也不要搞得很散
[33:13] 你去弄幾檔你自己比較能夠追蹤的
[33:15] 我講個大白話 例如說像亞翔好了
[33:17] 這種常務工程的龍頭股
[33:19] 他能有什麼問題
[33:21] 所以他如果有遇到重挫的時候
[33:23] 他就會是我覺得比較首選的
[33:25] 不一定要追
[33:27] 然後剛剛講到特化在休息嘛
[33:29] 但特化肯定業績會成長的
[33:31] 就是你要去找到說
[33:33] 你要蹲點的一定是你要有信心的東西啦
[33:35] 那剛剛余翔哥也講到
[33:37] 雖然現在風完全不在低軌衛星上面
[33:39] 很多人問說
[33:41] 聖達克怎麼了 聖達克自己也很好
[33:43] 很好一陣連增三位數
[33:45] 可是生產科的本益比例拉高之後
[33:48] 現在錢被誰吸走
[33:49] 其實SpaceX掛牌以後
[33:51] 其他的太空相關股票都很慘
[33:53] 錢就被他那一支吸走
[33:55] 台灣的也因此就開始有點風沒來
[33:58] 但不代表以後沒有風
[34:00] 你就等資金回來
[34:02] 他們只疊族群性出來再買都還來得及
[34:05] 對 因為對比當然不能是SpaceX
[34:08] 本身股票的一個對比
[34:11] 应该是说他基本上这个营收
[34:13] 会不会持续再放出来
[34:15] 因为你既然这个已经变成一个庞然大物
[34:18] 那当然你的营收也要出来嘛
[34:20] 所以相对应该我觉得是好的
[34:22] 未来是好的
[34:23] 那现在来讲
[34:26] 整个市场我觉得是真的
[34:29] 你真的不能够去看衰它
[34:33] 因为刚刚也提到了
[34:34] 就是这原油物料在涨
[34:36] 资金一直进来的情况下
[34:40] 我觉得说
[34:41] 现在真的就是要
[34:42] 找到对的一些族群
[34:44] 那尤其我觉得
[34:45] 台湾有个优势
[34:46] 你知道什么
[34:47] 因为整个
[34:49] 跟国外的市场来比
[34:50] 你会发现
[34:50] 台湾大部分都是中小企业
[34:52] 对啊
[34:53] 中小型股
[34:54] 所以大概都是
[34:54] 几亿到几十亿
[34:56] 这种公司很多
[34:57] 那你看刚刚讲
[34:58] 就像亚翔
[34:59] 亚翔才二十来亿的股票
[35:02] 对
[35:03] 结果在手订单
[35:05] 两千多亿
[35:06] 这就没办法
[35:07] 就刚才讲
[35:07] 全世界接到手软
[35:09] 对
[35:10] 那我倒觉得说
[35:11] 以这样的情况下来
[35:12] 就是说你会发现
[35:13] 整个市场如果说
[35:15] 这个全球这个大厂的
[35:18] 这个营收一直在增加
[35:20] 那相对我觉得
[35:21] 对台湾这一种所谓的
[35:23] 比较偏中小的
[35:24] 我觉得它的一个爆发性
[35:27] 确实是会蛮大的
[35:29] 是
[35:29] 对
[35:30] 好 讲到是爆发性
[35:31] 对不对
[35:32] 还有个族群
[35:33] 其实刚刚忘了说
[35:34] 就云翔哥来就跟我说
[35:35] 其实他觉得机器人
[35:37] 还是有
[35:38] 股心不好
[35:39] 对不对
[35:39] 所以我们常常跟大家强调说
[35:42] 你的资金
[35:42] 如果你很积极
[35:44] 你当然可以去锁定
[35:44] 现在盘面上最强势
[35:46] 例如你全部都重压在
[35:47] 功率元件跟这个
[35:48] 所谓的被动元件嘛
[35:49] 反正今天涨这个
[35:50] 或是你就重压在载板
[35:52] 那但是
[35:52] 如果你喜欢分散布局的话
[35:54] 刚刚讲到设备股很值得蹲
[35:56] 然后特化股也值得蹲
[35:58] 那机器人
[35:59] 我觉得大家可能会有点犹豫了
[36:00] 因为股性就是一个
[36:01] 一直来来回回
[36:03] 可是他还常轮动啦
[36:04] 应该这样讲
[36:05] 因为在整个市场里面
[36:07] 当然AI
[36:08] AI的这个族群里面
[36:10] 说AI啊
[36:11] 机器人啊
[36:11] 低微星啊
[36:13] 这里面
[36:13] 衍生出去的
[36:15] 基本上就非常多嘛
[36:16] 所以我倒觉得说
[36:17] 如果现在
[36:18] 当然还没有轮动
[36:19] 轮动到他
[36:20] 不代表他
[36:21] 未来这一两个月
[36:22] 不会轮动到嘛
[36:23] 那我觉得说
[36:24] 机器人是常会
[36:25] 被轮动的一个族群
[36:26] 所以大概也是可以
[36:28] 这个找到机会
[36:30] 还是可以布局的
[36:31] 因为现在来讲说
[36:32] 市场可能
[36:33] 比如像这些
[36:34] 这个光学相关的
[36:36] 其实光学
[36:37] 触及到的面很大
[36:38] 因为以光学来讲
[36:40] 整个比如说这个
[36:42] 自驾电动车
[36:44] 这一块还是未来的趋势
[36:46] 那机器人当然也是一个
[36:49] 未来的趋势
[36:50] 那包括这个
[36:51] 连大立光都会
[36:55] 触及到这个所谓的CPU这一块
[36:58] 所以我倒觉得说
[36:59] 也可以朝这个光学镜头
[37:01] 这边也可以看一下
[37:02] 好 光学镜头也沉寂很久
[37:04] 要不是大立光
[37:05] 一鸣惊人地跑上来之前
[37:07] 大家可以去留意
[37:09] 什么叫做对等关税之后
[37:11] 都没涨的科技股
[37:13] 真的光学就是
[37:15] 因为大家可能会觉得
[37:17] 就是用在消费性电子
[37:19] 手机这有什么好玩的
[37:21] 可是光学的应用真的很多
[37:23] 当然因为它应用的
[37:24] 有点倒霉
[37:25] 像机器人好的时候
[37:26] 其实光学曾经好过
[37:27] 无人机对不对
[37:28] 无人机的镜头
[37:29] 可是因为现在无人机
[37:30] 跟机器人相对之下
[37:32] 没有那么强悍
[37:33] 是要切到CPO
[37:35] 但是这就是光学厉害的地方
[37:37] 有CPU
[37:38] 有手机
[37:39] 有机器人
[37:40] 有无人机
[37:40] 有AI眼镜
[37:41] 对不对
[37:42] 所有运用到镜头的
[37:44] 其实都跟光学有所关系
[37:46] 而这里面因为他们的位阶
[37:47] 即使最近联谊光涨很多
[37:49] 但是还是相较于
[37:52] 其他可能涨了
[37:53] 五六七八倍的股票来说
[37:55] 光学股还算是合理的范围内
[37:57] 我觉得这也是
[37:58] 今天其实云翔哥也有思想
[38:00] 我跟你讲
[38:01] 云翔哥现在如果有菜叫我试吃
[38:03] 我都马上试吃
[38:04] 当正餐吃
[38:05] 他也有跟我分享一些光学股的想法
[38:08] 我觉得大家在布局上面
[38:10] 可以去做这样的思考
[38:12] 对啊
[38:14] 好那最后呢
[38:15] 我想请教云翔哥一个事情
[38:16] 因为云翔哥比较少来股货仔
[38:18] 那他在达人秀是神医般的存在
[38:20] 很多人就听完云翔哥就赶快买
[38:22] 不过因为云翔哥自己是短冲高手
[38:25] 等于是短冲波段他都会做
[38:27] 所以有些股票可能可以涨一段
[38:29] 有的可能一两天就回档了
[38:31] 你的出场的依据跟想法是什么
[38:35] 我觉得还是要跟
[38:36] 谷坡仔的朋友聊一下
[38:37] 我想现在我会做的
[38:39] 比较是所谓的短波段
[38:41] 你最近做比较短
[38:42] 刚刚有讲
[38:43] 对
[38:43] 那倒觉得说
[38:45] 什么时候出场
[38:47] 但我觉得说大概几个条件
[38:50] 大概要抓一下
[38:51] 一个是如果在这种所谓的
[38:54] 像很多被动运营
[38:56] 基本上现在是在
[38:57] 喷出的一个状况
[38:58] 那喷出的状况
[39:00] 之前我大概一直有聊到说
[39:01] 你倒是可以用所谓的像移动停利这种模式
[39:04] 那当然我今天就不用再讲移动停利了
[39:07] 另外来讲就是
[39:09] 在这种喷出了这个两三倍的这种行情
[39:13] 那最怕的就是在高档的时候
[39:16] 有没有这种爆长黑K
[39:18] 对长黑K
[39:19] 高档长黑K真的很伤
[39:21] 对很伤
[39:22] 就是说长黑K爆大量的情况下
[39:24] 也代表说新的AB套牢者进来
[39:27] 卡在这个所谓的位置上
[39:28] 基本上对你来讲
[39:30] 这个后市来讲
[39:31] 要再过这个点
[39:32] 基本上当然难度比较高
[39:34] 除非有持续性的一些利多因素
[39:38] 然后能够大量把它压过去
[39:40] 所以我倒觉得说
[39:41] 如果就以交易者来讲
[39:43] 就是说他的一个出场机会点
[39:44] 就是这种爆量
[39:47] 然后反转的这个时间点
[39:49] 当然你就要小心
[39:51] 那另外当然进场也重要
[39:53] 进场就是说
[39:54] 如果现在
[39:55] 刚刚一直提过
[39:56] 你可能现在是一直在被动
[39:58] 可能在低润相关族群
[40:01] 强势的情况下
[40:03] 那未来可能会转向其他
[40:05] 那如果转向其他
[40:06] 你不想先把资金压住
[40:08] 在这些股票上面
[40:10] 因为搞不好一个月才动
[40:11] 两个月后我收不了
[40:12] 那有一个方法就是
[40:15] 你可以看所谓的
[40:16] 这个族群
[40:18] 它的量的行为
[40:20] 所以族群量的行为就是说
[40:21] 它有没有在这个时间点
[40:23] 突然间爆量两倍三倍
[40:25] 我们讲说日量
[40:27] 日量就是说
[40:27] 如果你当天就要提早知道
[40:29] 你可能在九点多
[40:30] 9点半10点你就有预估量
[40:32] 可以估值估算说
[40:34] 原来现在今天的量
[40:36] 会比之前大过这个两倍三倍
[40:39] 那代表说资金好像真的有转过来
[40:41] 这时候进场基本上
[40:43] 可能就是第一根的发动点的机会比较大
[40:46] 那你就不用先把资金丢在那边
[40:49] 等了一两个月搞不好没发动
[40:51] 这是一个方法
[40:53] 其他我倒觉得说
[40:56] 整个运作来讲
[41:00] 还是看高做低
[41:01] 就是说进场的时间点
[41:04] 基本上我当然会找这种
[41:06] 之前曾经有强势过
[41:08] 因为会有轨迹
[41:09] 就是说这种强势股
[41:11] 在拉升的轨迹够强
[41:12] 那它整理过后
[41:14] 如果它整理完
[41:15] 再发量攻击
[41:16] 它基本上它的强度
[41:18] 应该也不会太弱
[41:19] 好 看高做低
[41:21] 我这边也想分享一下
[41:23] 因为最早谁跟我讲联贸
[41:24] 其实联贸很早就有人讲了
[41:26] 因为那时候台药联贸
[41:27] 台光电
[41:28] 其实台光店我记得才从四五百块
[41:31] 然后才要可能一百出头
[41:34] 那时候的联贸是七十几
[41:36] 七十几块
[41:36] 从这时候开始大家就会讲了
[41:38] 后来就发动
[41:39] 发动的时候云翔哥就觉得
[41:41] 联贸实在落后得太离谱了
[41:42] 去年就讲了
[41:43] 所以我也买了联贸
[41:44] 但联贸是不是不动
[41:46] 真的它不动
[41:47] 它长得真的超级无敌慢的
[41:50] 不过我比云翔哥
[41:52] 有一件事情可能也不能说厉害
[41:54] 云翔哥一定比我厉害
[41:56] 就是我觉得对啊
[41:57] 可是台光店跟台药涨那么多
[41:58] 我中间也有买过台药
[42:00] 台药也给我还不错的报酬
[42:02] 但是我一直死抱火抱
[42:03] 就是就是连帽
[42:04] 那个云翔哥跟艾伦知道
[42:07] 我还有连帽的时候都吓呆
[42:08] 到今天
[42:09] 这根掌亭
[42:11] 我都还有连帽
[42:13] 但是我想云翔哥已经没有了
[42:15] 对
[42:16] 因为好
[42:17] 我的理念很简单
[42:18] 第一是他
[42:19] 他当然一定是
[42:20] 大家都知道
[42:21] 像我的核心持股
[42:22] 可能我有比较多是像ETF类的
[42:24] 或是像围绕在台积电相关的
[42:26] 这个是我压得比较大的
[42:28] 那联贸为什么我可以一直抱着
[42:30] 是因为我觉得我就不信
[42:31] 我就不信台光电已经4000、5000到6000
[42:34] 你联贸会真的不起来
[42:36] 当然我也知道联贸的业绩
[42:38] 相较之下成长性比他们两家差很多
[42:41] 可是这就是我会死抱的
[42:43] 因为我看到很多人说
[42:44] 包那么久
[42:45] 左侧交易真的好痛苦什么的
[42:47] 好 大家要去思考
[42:48] 因为他同族群就是非常的强
[42:51] 所以你就是要等他
[42:53] 当然他有没有可能成为
[42:54] 这个族群里面唯一不争气的
[42:56] 它是有可能的
[42:57] 但是我就有抱住
[42:59] 我每次看到联耀在大涨
[43:00] 联贸在大涨的时候
[43:01] 我就很想跟云翔哥说
[43:02] 我还有
[43:03] 但你已经没有了
[43:05] 所以说刚刚讲也对
[43:06] 就是说如果联贸真的
[43:07] 像你七十几那个
[43:08] 你要抱到何时
[43:09] 抱半年
[43:10] 对对对
[43:10] 它都没有动
[43:11] 可是它真正开始发动点了
[43:13] 你发现是一百多块
[43:14] 那时候量开始攻起来的时候
[43:16] 对 有效率啦
[43:17] 就是你可以找一些
[43:18] 就是它开始攻量的时候
[43:20] 我觉得机会点来讲
[43:21] 就是说可以缩短
[43:23] 你这个等待的时辰
[43:25] 好好好
[43:26] 我还有脸
[43:27] 好今天谢谢云翔哥
[43:30] 也谢谢云翔哥
[43:31] 跟大家分享很多的心法
[43:33] 希望对我们
[43:33] 古惑仔的朋友有所帮助
[43:35] 因为云翔哥是属于
[43:36] 比较积极进出型的
[43:38] 我想也是可以带给大家
[43:39] 不一样的体验
[43:40] 好那我们今天的节目
[43:42] 就到这边了
[43:42] 大家拜拜
[43:43] 拜拜
