[00:00] 欢迎收听赵怀古惑载地1152集
[23:33] 就会人踩人
[23:34] 可是我一直不是很强烈的
[23:36] 抱持着这个想法
[23:38] 会
[23:38] 就是在大的跌幅出现的时候
[23:41] 它会因为主动市益贴付
[23:42] 可能要调节
[23:43] 会形成卖压
[23:44] 会
[23:44] 可是崩盘不是主动市益贴付造成的
[23:47] 我们还是要强调这件事
[23:49] 崩盘是整体环境造成的
[23:51] 但是主动市益贴付的好处是什么以前我们在投资基金的时候大家知道100亿规模以上就是大基金那大基金为什么之所以大家会觉得比较信任比较稳因为百亿以上他可以用的钱
[24:03] 当然缺点就是他没有办法去砸钱
[24:05] 在很小的股票
[24:06] 筹码流通性不好的股票上
[24:08] 优点就是他比较有转环的余力
[24:10] 对不对
[24:11] 就是他今天大盘不好的时候
[24:14] 他比较底气嘛
[24:15] 我收了今天投资人的钱
[24:16] 我可以有底气
[24:18] 我不要搞到
[24:19] 以前有基金是那种不到两亿元
[24:21] 只好被清算
[24:22] 规模太小太冷了
[24:25] 没有人注意到
[24:26] 那他手上的钱少
[24:27] 你要他怎么转还
[24:28] 他能保住他的规模没有流失
[24:31] 就已经不错了
[24:32] 因为在下跌的时候
[24:33] 不但基金的净值会流失
[24:36] 赎回的压力
[24:37] 也会让他的规模下降
[24:39] 他会双重流失
[24:40] 可是现在主动ETF
[24:42] 大部分都养得很大了
[24:43] 养得很大的缺点
[24:44] 自然是就像大家讲的
[24:45] 当他想要卖某档股票的时候
[24:47] 你就觉得哇塞
[24:48] 可是呢
[24:48] 你也看到这一次的底气在
[24:50] 他想要互助某一档股票的时候
[24:52] 他不想要离场的时候
[24:54] 他想要抓反弹的时候
[24:56] 他就是有能力拿钱出来
[24:58] 做这件事情
[24:59] 所以我目前观测他们的行为做法
[25:03] 结论我都还是正向看待
[25:06] 不会觉得说
[25:06] 买主动市ETF
[25:07] 好像就是什么很糟糕的事情
[25:09] 对啊
[25:10] 我觉得其实对一般人来讲
[25:12] 说真的你要抓每一档股票的转折
[25:14] 你看今天台股反弹
[25:16] 台光电大涨
[25:17] 台达电是下跌的
[25:18] 你一般人会觉得说
[25:19] 我们台湾台积电台光电台达电
[25:21] 就照着买就好了嘛
[25:22] 但你今天发现到
[25:23] 好像只买台光电会赚钱
[25:25] 你买台积电都会赔到钱
[25:26] 所以整体上来看
[25:28] 我觉得对大多数人来讲
[25:30] 没有那么多时间去研究筹码
[25:32] 技术面啊
[25:33] 产业面的变化
[25:34] 谁掉订单
[25:35] 谁现在毛利掉了
[25:36] 那你就交给经理人去帮你操作
[25:38] 我觉得是一个比较好的方法
[25:40] 那当然以现在整个台股的时间点
[25:43] 我会跟大家讲
[25:44] 其实很快到八月份了
[25:47] 那八月份陆续
[25:48] 你就可以知道
[25:49] 我们要公布7月营收
[25:51] 所以营收就会是大家一个检视的一个方法
[25:55] 因为第二季大家觉得反正顺风顺水
[25:57] 第三季刚刚讲了开始有杂音
[25:59] 所以你就可以从营收部分去检视
[26:01] 你股票跌了两层
[26:03] 跌了三层
[26:04] 跌了四层五层下来
[26:05] 是不是有人知道营收会掉
[26:06] 如果是有的话
[26:07] 你就可以看到营收就会是一个
[26:09] 利多利空的一个解读器
[26:11] 如果股价在低档区
[26:13] 然后营收有利空还在跌
[26:15] 那就代表可能这个利空还没有反应完毕
[26:18] 那接下來也要公布所謂第二季的季報
[26:21] 那理論上來講
[26:22] 台股第二季季報應該都要交好成績單
[26:24] 那你現在也這個檢視方法就是
[26:26] 如果他股價不管是談了一天談了兩天
[26:30] 然後即將公布季報
[26:31] 季報出來如果開始利多而不漲
[26:34] 就代表他股價可能已經到了一個壓力區
[26:36] 有些人可能就在等季報要賣股票的
[26:39] 那這種股票就不適合大家做一個
[26:41] 比較長線的持有
[26:43] 因為你要想的是
[26:44] 股價跌那麼深
[26:46] 你等到一個季報利多出來
[26:47] 大家反弹都想要卖股票
[26:49] 那后面还有什么利多可以推升上去
[26:51] 所以我觉得这个是第二个
[26:53] 你可以检视
[26:53] 透过营收的方式去检视
[26:55] 那第三点
[26:56] 但大家还是要关注的是
[26:58] 那台股到这个地方
[27:00] 我觉得你心存希望
[27:03] 就是觉得说台股手上股票
[27:05] 可能套牢有机会
[27:06] 8月9月解套
[27:07] 我觉得关键在于说
[27:08] 台股后去还有没有反弹上去的空间
[27:11] 那我觉得整体上来看
[27:13] 大家还是以国际股市的一个位阶
[27:15] 做一个对比
[27:16] 那我们会发现到
[27:17] 美股在7月份
[27:19] 其实道琼跟标普500
[27:21] 是有收红的
[27:23] 但纳达克费班都下跌
[27:24] 所以代表问题的升级点
[27:26] 就像刚刚讲的
[27:27] 大家突然之间
[27:28] 对于AI的资本支出有疑虑
[27:31] 对一些所谓涨很多的AI硬体股
[27:33] 都出现了
[27:34] 大家看到那种动能资金的一个退场
[27:37] 然后相关的动能策略
[27:38] 在7月份是全军覆没
[27:40] 所以我觉得这个代表说
[27:41] 很多可能上半年涨多股票
[27:44] 都是7月份跌最重的股票
[27:46] 那来到8月份就可以看到
[27:48] 这些所谓的原本的当红炸子期
[27:51] 他们股价在美股在日股在韩股当中
[27:54] 反弹力道有多少
[27:56] 那就会决定到台股到8月份
[27:58] 是真的有机会出现那种报复性的反弹
[28:01] 还是说可能在这边还是要做一个主底
[28:04] 再做一个筹码的沉淀
[28:06] 我觉得如果以这个大盘指数来看
[28:09] 第一个大家最简单的解释
[28:10] 季线能不能站上
[28:11] 那我们刚看到台子期的夜盘
[28:15] 其实呈现下跌
[28:16] 可能跟期货空单多有关
[28:18] 所以如果明天
[28:20] 没有办法站到季线的话
[28:21] 我觉得时间点
[28:22] 大家就简单去做一个判断
[28:26] 也就是说如果大家去看
[28:27] 大盘的季线扣底跟月线扣底
[28:30] 大概8月10号以前
[28:32] 季线跟月线都要扣底往下
[28:35] 所以代表说多方能够扭转
[28:38] 这个7月份颓势的时间的窗口
[28:41] 大概就在8月10号以前
[28:43] 如果能够在8月10号以前
[28:44] 把季限站稳
[28:45] 甚至说守稳的话
[28:46] 我觉得8月份下旬就还有机会
[28:48] 可能你的股票
[28:49] 也许反弹的幅度就会多一点
[28:51] 因为大盘转强嘛
[28:52] 但如果说8月10号之前
[28:54] 台股这个季限没办法站上去
[28:56] 甚至又往下回头的话
[28:58] 你就要小心
[28:59] 因为到8月10号以后
[29:01] 月线跟季限会同步往上扣底
[29:03] 所以季限月线下弯的角度会变陡
[29:06] 那就会变得比较麻烦
[29:08] 所以我觉得其实对大多数人来讲
[29:10] 应该是要把握
[29:11] 就是刚好公布财报
[29:13] 是
[29:14] 供付营收
[29:15] 然后搭配基础现行
[29:16] 去做你手上
[29:18] 要不要做一个强弱持股的一个调整
[29:20] 所以目前来看的话
[29:22] 我觉得盘面上
[29:23] 大致上我们还是做一个简单的分类
[29:25] 今天盘面上我们会看到
[29:27] 被动元件很强
[29:28] 那可是你如果看日本股市
[29:31] 不管是春田
[29:32] 或说这个相关的太阳诱惑电
[29:34] 其实表现不太好
[29:36] 那当然跟今天的日股韩股都不好有关
[29:38] 今天我们在牙股里是厉害的
[29:40] 对
[29:40] 那日股韩股的跌
[29:42] 待会再跟大家讲另外的理由
[29:43] 但我觉得简单去解释
[29:45] 就是说看起来台股这一波
[29:47] 因为修正的够深
[29:49] 所以我觉得反而是筹码
[29:51] 还是比较积极卡在里面
[29:52] 那如果你看到的是国际大厂股价
[29:56] 开始转弱了
[29:57] 不再上去了
[29:58] 像记忆体也是一样
[29:59] 现在三星海力是跌了大概8% 9%
[30:01] 那台湾记忆体南亚克华邦亭
[30:03] 还能够收涨停
[30:04] 那我觉得有一部分是因为
[30:06] 他们上礼拜五是涨30%
[30:08] 对啦
[30:08] 对我们礼拜五整个涨10%
[30:10] 所以有点是补他的这个
[30:12] 上礼拜没涨到的
[30:14] 那明天就是一个决胜关键点
[30:16] 因为我们有涨跌幅限制嘛
[30:17] 对
[30:17] 所以这个我觉得就是
[30:19] 你可以从这样方向去看
[30:21] 你这些所谓热门股票
[30:22] 到底该怎么看后续的表现
[30:24] 但整体上来说会跟大家讲
[30:27] 就是说我们还没有看到国际大厂当中
[30:30] 你现在看到所谓盘面上热门族群
[30:32] 就连今天的联发科等等
[30:33] 你看迈威尔
[30:35] 看安摩
[30:36] 看这个高通
[30:38] 博通AMD
[30:39] 英特尔等等
[30:39] 美股的IC设计厂企业
[30:41] 都是在挣扎的边缘
[30:43] 所以你要去期待联发科
[30:45] 接下来就V型翻转
[30:46] 往上去挑战5000块
[30:48] 我觉得时间就有点太早
[30:50] 所以整体上会跟大家讲
[30:52] 就是现在我觉得
[30:53] 我们只能够说台股
[30:55] 是有慢慢从底部爬起来的感觉
[30:58] 但要出现这种像
[31:00] 4月份到6月份第二季
[31:02] 这么强势的上涨
[31:03] 我觉得还没有看到这样的迹象
[31:05] 所以这个我觉得是在
[31:06] 整个盘面上
[31:07] 一些热门股的一个观察
[31:09] 整个我觉得族群的部分
[31:10] 第一个我们可以确定
[31:11] 像刚刚讲的
[31:12] 被动元件有慢慢变好
[31:14] 记忆体它的优点就在8月营收
[31:16] 7月营收跟第二季的季报
[31:18] 然后在PCB族群
[31:20] 也是可以看到营收跟季报表现都很好
[31:23] 那法案目标在上调
[31:25] 所以你看到今天宅版族群
[31:26] 其实也蛮整齐在往上
[31:27] 甚至说台光电台药这些的
[31:29] 也慢慢低档上来
[31:30] 然后再看到细心远的问题
[31:32] 还是在于说环球性
[31:33] 那一个字节的获利
[31:35] 让大家有点惊吓
[31:37] 我们有解释过
[31:38] 但是大家还是觉得挺麻烦的
[31:40] 对
[31:41] 然后主动元件分离式元件的部分
[31:44] 可以留一道像强茂
[31:45] 它我记得在上个礼拜
[31:47] 我是头信大卖
[31:48] 所以今天其实也蛮整齐的
[31:50] 整个主动元件股票慢慢上来
[31:53] 我觉得他们是基本面
[31:54] 有转强的现象
[31:55] 有部分转强了
[31:56] 对
[31:57] 但是整体上
[31:58] 我觉得形态也还没有做好
[31:59] 然后再来我觉得
[32:01] 可能先进封装这一块
[32:03] 也许是大家可以优先看的
[32:04] 对
[32:05] 因为他们毕竟所谓的业绩是稳定的
[32:07] 然后这一波修正下来
[32:09] 也没有跌得那么可怕
[32:10] 所以筹码比较沉淀
[32:11] 那另外在半导体设备
[32:12] 我觉得他们都还是
[32:13] 业绩的一个代表
[32:14] 你看到今天的亚翔
[32:15] 汉唐
[32:16] 这些我觉得都是
[32:17] 反应业绩的代表
[32:18] 然后另外细光子
[32:20] 光通族群
[32:20] 我觉得是先破底
[32:22] 其实他们离底部
[32:24] 有越来越远的迹象
[32:25] 所以有点这种
[32:26] 痞急态的感觉
[32:27] 那我觉得这是目前
[32:28] 盘面上的一些
[32:29] 热门股的扫描
[32:30] 所以整体上来看
[32:32] 会跟大家讲
[32:33] 这些热门股票
[32:33] 他们共同特色
[32:34] 就已经先跌过了
[32:35] 那你现在也不要太
[32:37] 说我可能压模一档股票
[32:39] 太积极的操作
[32:40] 就像刚刚赵老师所说的
[32:42] 我们都没办法去掌握
[32:43] 可能明天会不会韩国又去杠杆
[32:46] 然后股价又跌下来
[32:47] 所以我觉得这个就代表说
[32:48] 你操作这些可能低档
[32:50] 转折上去破底翻扬
[32:52] 或者跌深反弹的股票
[32:53] 现在我觉得大家心态
[32:55] 就是尽量以做短
[32:56] 买黑不买红
[32:57] 然后做一个区间操作就可以了
[32:59] 好
[32:59] 就完全认同
[33:01] 刚刚汉玮哥讲的那一段
[33:02] 就是各族群的观察也是这样子啊
[33:07] 而且这可能一向就是我们的
[33:09] 应该说我的风格也是喜欢看
[33:11] 我确定他的业绩会好的公司嘛
[33:14] 所以有跟大家聊过一件事情就是
[33:16] 为什么被动元件
[33:18] 这个一波上去的时候
[33:19] 我们还是很坦白的跟大家讲
[33:21] 并不是所有的被动元件
[33:23] 他们的获利都呈现非常出色
[33:26] 当然我们有看到六月字节的时候
[33:28] 有蛮多有年增100%以上的了
[33:30] 所以我们必须认可哦
[33:31] 这个族群是有人已经出现
[33:34] 他的获利营收年增率超过百%的
[33:37] 这是可以认同的
[33:38] 所以我觉得他们在等一个股价平衡点
[33:41] 不过这边也提供一个小小的情报好了
[33:43] 就是自己有蛮多的同学在产业界
[33:46] 他们有聊到说
[33:48] 例如说记忆体的价格还是很硬
[33:51] 可是记忆体的库存其实够的
[33:53] 就是没有到很缺
[33:55] 可是价格很硬
[33:56] 然后被动元件其实价格没有那么硬
[33:59] 他们有提到这件事情
[34:00] 就是如果说像我们刚刚讲到第三季在讲
[34:03] 大家可能要看到
[34:04] 哪些东西还能接受涨价不涨价的
[34:06] 机体还是一个硬需求
[34:08] 所以双方都很硬
[34:10] 就是我也希望你可以便宜点给我机体
[34:12] 场上也有
[34:13] 不行我不能给你
[34:14] 但是你要的量我可能可以给你这样子
[34:16] 但是其他的元件主被动的话
[34:19] 其实就比较有谈的空间
[34:22] 不是说不会涨了
[34:24] 但比较有谈的空间
[34:26] 我觉得这个也要跟大家聊说
[34:27] 为什么之前在被动上来的时候
[34:30] 我自己很关注这件
[34:31] 那所谓的分离
[34:32] 是原件也有同样的一个问题
[34:34] 在涨的时候
[34:35] 有跟大家提醒
[34:36] 他们的营收的成长率
[34:38] 只有少数几家
[34:39] 是率先有开出比较好的成绩
[34:42] 但大多数到了六月
[34:43] 我记得看五月的时候
[34:45] 他都还呈现
[34:46] 有人年增是个位数而已
[34:47] 的一个情况
[34:48] 所以我觉得
[34:49] 他就会在下跌的时候
[34:51] 你比较摸不到
[34:52] 你比较脚踩不到底
[34:54] 就是你不确定
[34:55] 这一波修正
[34:56] 他哪里是底这样子
[34:57] 可是如果像刚刚讲的
[34:59] 像设备类
[35:00] 永远在问下一次的资本支出
[35:02] 在手订单的时候
[35:03] 他都告诉你又多了
[35:04] 又变多了
[35:05] 像这种的
[35:06] 他在下探的过程中
[35:08] 你就可以自己设定
[35:09] 刚刚浩文哥讲到亚翔
[35:11] 我想亚翔也是上个礼拜
[35:12] 少数有跟大家聊到说
[35:14] 看到六字头的亚翔
[35:15] 会非常的心动
[35:16] 不是说今天他怎样
[35:18] 他今天碰到五日线
[35:19] 一样也是被压住
[35:21] 股息没有到非常好
[35:23] 可是就是你心不会那么怕
[35:25] 至少怎么样
[35:26] 他接了那么多的单子
[35:27] 化成鼓励都好
[35:29] 即使我没有那么喜欢股利
[35:31] 但是不能否认在下跌的过程中
[35:34] 能够有低的本益比
[35:35] 或者配发出高的股利的公司
[35:38] 它就是有一定的保护伞
[35:39] 我觉得这是这一波
[35:40] 我陆续在观察的
[35:42] 以及同样的跟大家分享的是
[35:44] 不管你比较积极
[35:46] 你喜欢高波动的主动式ETF
[35:48] 或是你干脆死心了
[35:50] 你买所谓的市值型的ETF都好或者是你觉得现在是高债息的环境你买了一点债券型ETF当你的部位真的是蛮大的时候我觉得它都没有什么
[36:01] 我觉得它都比买个股
[36:03] 会让我觉得放心
[36:04] 我觉得这个是我自己的一个体认
[36:07] 以及就像六日的时候
[36:09] 我被我自己的朋友问到说
[36:10] 那我现在怎么办
[36:11] 我现在是不是可以拿一千万
[36:13] 就all in台积电
[36:14] 它是不是就只会涨不会跌
[36:16] 对真的
[36:17] 它是真的这样问我
[36:19] 是不是就只会涨不会跌
[36:21] 我说不可能
[36:22] 他说那我愿意放一段时间
[36:24] 是不是一定就能赚钱
[36:26] 好
[36:26] 我说如果你告诉我
[36:28] 你放五年
[36:29] 而且这五年间
[36:30] 如果又遇到有比较大的沙盘
[36:32] 你愿意再加钱进去
[36:34] 那我可以跟你讲
[36:35] 因为过去有统计
[36:35] 定期定额五年到六年
[36:38] 胜率一百趴
[36:39] 对
[36:39] 好
[36:40] 那我觉得我可以跟你说
[36:41] 真的是应该是不太可能会赔钱
[36:44] 会赚钱才对
[36:45] 尤其是他的EPS是明显成长
[36:47] 或者是你买0050
[36:48] 结果他有问了我一句话
[36:49] 他说其实他一直都不知道
[36:50] 什么是0050
[36:51] 对
[36:52] 他知道0050这个商品
[36:54] 他知道大家说傻瓜投资
[36:56] 就是买0050
[36:56] 可他其实不知道
[36:57] 什么是0050
[36:58] 对
[36:59] 好
[37:00] 所以我觉得今天的节目
[37:02] 我在录音前
[37:03] 我本来也有想到一件事是
[37:04] 呼应他的问题
[37:05] 我会给他什么建议
[37:07] 他手上可能至少有一千万
[37:08] 那我会觉得
[37:10] 如果跌下来了
[37:11] 很简单的
[37:13] 例如说
[37:13] 他还是一直在问我说
[37:15] 那我如果买哪一档个股
[37:16] 可不可以立刻反败文实
[37:17] 就他心里面
[37:18] 对于那个个股梦
[37:19] 其实没有熄掉
[37:20] 我会觉得
[37:21] 那你就先拿一半
[37:23] 买四指形的ETF
[37:25] 然后剩下一半
[37:26] 就是我讲的
[37:27] 如果盘不稳下去了
[37:28] 你可以再加一点
[37:30] 不管加台移电也好
[37:31] 0052也好
[37:32] 0050也好
[37:33] 甚至我会觉得
[37:35] 一点点去加正二都好
[37:37] 对
[37:38] 用这样的一个方式
[37:39] 然后呢
[37:40] 用大概两成的钱
[37:42] 你觉得你真的很喜欢什么股票
[37:44] 念念不忘
[37:45] 你那两成的钱去做股票就好了
[37:47] 如果要说一个
[37:49] 我自己的黄金三角的话
[37:51] 那就真的就叫做
[37:53] 市值可能30%到40%
[37:55] 然后有一些可能低波动的东西
[37:57] 30%
[37:58] 然后积极型的主动CTF
[38:00] 30%
[38:02] 大概这样搭起来
[38:03] 其实我觉得没有什么
[38:04] 要惊慌失措的
[38:06] 只是很无聊
[38:07] 对
[38:08] 还有就是在下跌的时候
[38:10] 大家愿不愿意加吗
[38:11] 以及最傻的
[38:12] 回到一个最傻的部分
[38:14] 就定期定额定期定额
[38:15] 我不是讲钱
[38:16] 就算是这样跌
[38:17] 你要扣哦
[38:18] 你不要在这个时候不扣
[38:20] 反之就算是喷上去
[38:22] 你要扣哦
[38:22] 你喷上去不扣
[38:23] 用这样的方式
[38:26] 就能至少建立一个基础
[38:28] 我真的是强烈的建议
[38:29] 在这波如果挫折感非常深的朋友
[38:32] 你至少要把一部分的资金这样做
[38:35] 这一部分的资金是给你保住
[38:37] 你在投资市场
[38:39] 你的资产在一个几年内
[38:42] 我觉得会稳定成长的
[38:43] 那另外你爱怎么冲
[38:45] 你觉得你放弃不了
[38:46] 那个个股一次可以涨停板
[38:48] 涨十倍的那种魅力
[38:50] 你就去弄
[38:50] 可是那一块
[38:51] 不要伤到你的筋骨就好了
[38:53] 对因为我觉得
[38:55] 就像赵华刚刚所说的
[38:56] 我们也有身边
[38:58] 因为我也有念EMBA
[38:59] 有蛮多的学长姐
[39:00] 对那大家都可以知道说
[39:02] 其实对这些人
[39:03] 有些可能都是事业有成
[39:04] 然后工作本业非常强
[39:06] 然后对他们来讲
[39:07] 就是闲钱拿来投资
[39:08] 所以很多时候会问说
[39:10] 那我这些钱可以放在哪里
[39:11] 其实因为我们就做这个相关
[39:14] 都会跟他们讲说
[39:14] 其实最稳定的方法
[39:16] 就买市值型的ETF
[39:18] 或者说买台积电这种龙头型的公司
[39:20] 原因在于说
[39:21] 因为他们做本业一定知道说
[39:23] 现在AI的需求还在成长
[39:25] 所以你就选择
[39:27] 你买了三年五年之内
[39:29] AI需求成长里面
[39:30] 一定不可或缺的公司
[39:32] 那就绝对是稳定的
[39:33] 所以不管说你说短期
[39:36] 中期长期的生育有多少
[39:37] 如果你本业有信心
[39:38] 那你就投资
[39:39] 你跟本业有相关的公司
[39:41] 我觉得就不会有太大的问题
[39:43] 所以其实像刚刚提到的
[39:44] 我们讲第三季可能有一些杂音
[39:46] 有些东西涨价不太动
[39:47] 有些可能毛利会下滑
[39:49] 但如果我们讲说
[39:51] 把时间拉长到三年到五年之间来看
[39:54] AI的需求
[39:55] 我觉得都还是一个成长性非常好的公司
[39:58] 所以不管你要投40期ETF
[40:00] 或说你这一波
[40:01] 可能有一些修正很凶的
[40:03] 可能主流肋骨拉回来
[40:04] 我觉得其实都还是有介入的空间
[40:06] 首先是你要相信未来三年之内
[40:09] AI的需求不会马上的反转
[40:11] 那我个人看法
[40:12] 我认为说大概到2027年的上半年
[40:15] 应该都不用太过于担心
[40:17] 所以如果说你是
[40:19] 有中长期投资的需求的话
[40:22] 其实我觉得当然不用说
[40:23] 台股已经涨了
[40:24] 两天涨了三四千点上去去追
[40:27] 但你就把握到
[40:28] 如果真的有再有拉回的时候
[40:29] 我觉得都是可以去做一些
[40:31] 定期定额的一个所谓持有
[40:33] 甚至说你1000万要买台积电
[40:35] 那你可能分成两批三批
[40:37] 到了2200到2000块买
[40:39] 我觉得都不是问题
[40:40] 那现在就回归到目前盘面上
[40:44] 我觉得刚刚提到了
[40:45] 今天日韩股市的跌
[40:46] 我觉得在这两天当中
[40:48] 市场在担心另外一件事情
[40:50] 就是日元升值的问题
[40:52] 对所以日元升值
[40:54] 大家如果有印象
[40:55] 2024年的8月份
[40:57] 是去杠杆
[40:58] 因为大家都借便宜的日元
[41:00] 来投资全世界
[41:02] 就日元要升息
[41:03] 要升值
[41:04] 所以呢
[41:05] 赶快赶快还钱
[41:06] 就去杠杆了
[41:07] 对所以这个carry trade的反转
[41:09] 会让大家有点担心
[41:11] 尤其日元生殖幅度还蛮大的
[41:13] 因为上个礼拜
[41:14] 我觉得日元还在160几
[41:17] 没错没错
[41:17] 那现在已经升到150几
[41:19] 可恶
[41:19] 一定是知道我年底要去日本玩
[41:21] 你还没换吗
[41:22] 不过我户头已经本来就有日元
[41:24] 对那就没有差
[41:25] 我之前在第一位街有换
[41:27] 是我自己一直没有出去玩
[41:28] 对
[41:28] 而且现在出去玩都刷卡
[41:30] 对
[41:31] 对啊
[41:31] 我也有换日元
[41:33] 但是日元也换得比较早
[41:34] 所以之前是严重被盗
[41:36] 但我觉得这件事情
[41:38] 可能是大家接下来
[41:39] 可能要关注的
[41:40] 因为现在大家对这种
[41:41] 所谓利率资金的环境
[41:43] 非常紧张
[41:44] 所以刚才跟大家讲
[41:45] 为什么今天韩国股市大跌
[41:46] 我觉得大跌的原因
[41:47] 就是刚刚提到
[41:48] Carry Trade的一个反转
[41:49] 所以日本股市
[41:50] 你看到春田
[41:51] 明明财报利多
[41:52] 为什么不涨
[41:53] 就是因为日元转身
[41:54] 所以让他们股价下
[41:56] 出现了比较明显的一个拉回
[41:58] 那今天为什么下有电子盘
[42:00] 台股的电子盘
[42:01] 或者说外资的空调增加
[42:02] 我觉得有部分
[42:03] 也可能反映到
[42:04] 有一些新的汇率的变动
[42:06] 就会变成新的
[42:07] 不确定性的因素
[42:08] 所以我觉得这个可能是大家接下来要关注的重点
[42:12] 就是在整个汇率市场的变化
[42:15] 那当然日元的升值代表美元转贬
[42:18] 美元转贬代表台币可能会转升
[42:20] 所以这个当然对于外资
[42:22] 它可能在现货期货的一个水位也会有一定的变化
[42:26] 那我觉得这是在整个资金大方向的一个观察
[42:29] 那刚刚提到其实有很多排名上主流股
[42:31] 但我觉得8月份大概可以留意到
[42:33] 机器人跟工具机的股票也会有一定的转机
[42:37] 转移来自于大家如果还有印象
[42:39] 2024年8月份
[42:40] 为什么台湾很多工具机开始飙高
[42:42] 就是因为那一段时间
[42:43] 日元大幅度的升值
[42:45] 大家就觉得
[42:45] 我们台湾工具机的竞争力可以提升了
[42:47] 所以现在如果日元升值幅度
[42:49] 比台币的升值幅度来得更大的话
[42:52] 我觉得反而你现段可以回头去看一些
[42:54] 可能机器人相关的股票
[42:56] 因为除了刚刚讲的汇率市场有利以外
[42:59] 那8月19号台湾的
[43:02] 2026年的机器人大展也即将登场
[43:04] 那接下来就是
[43:06] 我记得好像是这个月的5号
[43:08] 那在中国的科创板
[43:10] 要迎接这个语速机器人的挂牌
[43:13] 然后理论上来讲
[43:15] 特斯拉机器人不会再拖太久
[43:17] 应该在八九月份也会发表
[43:19] 所以我觉得这个就是在题材面
[43:21] 搭配上说资金面
[43:22] 然后再搭配上说
[43:23] 很多机器人股票
[43:24] 这一波也跌得很深
[43:26] 所以你今天排名上
[43:27] 可以看到大银尾涨停板
[43:28] 上银盘中涨停板
[43:29] 新代整理很久
[43:31] 又回到2200块以上
[43:33] 所以机器人股票
[43:34] 我觉得也可以一并来看待
[43:36] 另外工业电脑同样也是这样的情况
[43:38] 这一半我就有研华的这个法收会
[43:41] 研华很值得留意哦
[43:42] 对所以我觉得这些都是这个区块里面
[43:45] 可以看到整个机器人
[43:46] 其实今天盘面上
[43:47] 虽然说大部分股票都在涨
[43:49] 但机器人有一个族群性在慢慢转强
[43:52] 连锁门都涨停板了
[43:53] 也会是我觉得在八月份上旬
[43:56] 如果营收真的像某些机器人工具机大厂说
[44:00] 现在在加班赶工
[44:01] 那可能就可以看到营收表现不错
[44:04] 搭配整个族群的转强
[44:05] 也许是在8月份
[44:07] 你也可以留意到一些重点族群
[44:09] 就毕竟这个族群
[44:10] 严格来说都还是
[44:13] 大多数在地位界
[44:15] 就之前大英伟有带头冲过
[44:17] 可是他就长势都是不延续
[44:19] 或者说族群性都不够明显
[44:21] 就是有人是领头羊
[44:23] 没错
[44:23] 但后面跟的可能对我拖很长
[44:25] 就掉在后面的人
[44:27] 就真的超级慢
[44:29] 像我们之前
[44:30] 我们常常关注这个能率集团的
[44:32] 像嘉能
[44:34] 它这个现增价都跌到破掉
[44:36] 今天当然也有反攻
[44:38] 可是这些都会是
[44:40] 资金没有办法青睐到的原因
[44:42] 我觉得在反攻的路上也是
[44:44] 像今天有110档的涨停半
[44:46] 那资金可能就先去
[44:48] 出轮到这些东西上面
[44:49] 因为最后量能还是没有放出来
[44:51] 刚开盘的时候
[44:52] 有一兆出头的量
[44:53] 后来就慢慢又变小了
[44:55] 不过上攻没有量
[44:57] 我个人还好
[44:58] 因为代表说不脱模
[44:59] 就是说如果你今天上攻
[45:01] 需要说放大量
[45:02] 然后大家都在那边开开关关
[45:03] 那有点恐怖哦
[45:04] 那其实就代表说
[45:06] 想买的人也很多
[45:07] 可是也有很大量的人在卖
[45:09] 那是谁啊
[45:10] 所以上攻量没有非常的大
[45:13] 还好
[45:13] 但是也就显见市场上
[45:15] 当然这个疑虑的感受是比较深的
[45:18] 如果是没有什么量
[45:19] 却涨很多的时候
[45:20] 它就是代表大家想买的企图性
[45:22] 就方向性很强嘛
[45:24] 吸受对不对
[45:25] 所以我觉得这些都是
[45:26] 盘面上可以做观察
[45:27] 上礼拜五就是这样
[45:28] 上礼拜五太多
[45:29] 一下一开盘十分钟就涨停了
[45:31] 你说没有量很正常
[45:32] 没人卖
[45:33] 今天的话量没有很大
[45:36] 但涨停板加速多
[45:37] 也还是可以
[45:38] 不过就是
[45:39] 这个市场上
[45:42] 随时会有出来测验的
[45:44] 今天利多胜
[45:46] 今天在台股好了
[45:48] 因为日韩股可能有点回吐
[45:50] 在台股是利多胜
[45:51] 我们就继续的观测下去
[45:54] 然后如果想要趁今天
[45:56] 好不容易资产有点回暖
[45:58] 再做一些好的配置的朋友
[46:00] 我觉得也是很好的日子
[46:02] 也是很好的日子
[46:03] 那我们刚刚讲的
[46:05] 其实我觉得已经涵盖了
[46:07] 想要跟大家做叮咛的
[46:08] 也希望大家不要气馁好不好
[46:10] 不要因为这个上半年
[46:12] 吐掉就气馁
[46:13] 因为我有询问我朋友说
[46:15] 本来不是很顺风顺水
[46:16] 做个股吗
[46:17] 他说就是因为这样
[46:18] 所以赚的钱全部都投入
[46:20] 全部都投入
[46:21] 就是赚的钱再进去
[46:22] 赚的钱再进去
[46:23] 那位阶就越买越高
[46:24] 其实我想这个
[46:25] 大概是90%的散户的心情
[46:27] 对
[46:28] 不是没有停利
[46:29] 是可能已经有卖了
[46:30] 可能卖了还在涨
[46:31] 那就再买
[46:32] 所以后来变成是从
[46:34] 这个好像前几天也讲过
[46:36] 年初可能100万
[46:37] 到了快年中的时候
[46:39] 变300万好高兴
