[00:00] 歡迎收聽《照華一股貨載》第1191集,今天是2026年的9月24號。
[33:42] 對,我覺得這個地方你可以觀察中國有個紅利就是機器人。
[33:46] 是。
[33:46] 其實中國機器人發展的非常迅速。
[33:48] 非常好,真的真的。
[33:49] 所以我覺得你可以多觀察一下台灣跟中國機器人這邊有一些交流的廠商。
[33:54] 他們就是可以吃到中國的市場。
[33:56] 是。
[33:57] 你看這個習近平剛飛抵美國,可是今天的大陸的股市基本上表現並不漂亮。
[34:02] 是。
[34:03] 其實他們今天就是跌的蠻重的喔,跌的蠻重的。
[34:05] 所以告訴你什麼,已經知道他們逃不到什麼好果子吃了。
[34:08] 是。
[34:09] 對,就是這樣子。
[34:10] 好,那這個廉價錢,很謝謝凱哥又幫我們再看了一下盤面上的各種產業訊息,而且給大家應該不錯的信心過節啦,因為現在我們也不能幹嘛了嘛,除非你要去交易美股或海外期貨或你的虛擬幣,這個就不在我們的關懷的範圍內,但應該不會太差,這段時間我們就看一下,當然如果這個四天裡面,美國又發生了什麼真的會讓你很Shock的事情,我覺得我們就是做好準備。
[34:38] 我們很常在週末的時候說完了,禮拜一完了,這是禮拜二,禮拜二完了,其實不是,你每次回頭看,那一天的完了,那一天的跌一千點、兩千點,現在都是很好的進場點,一定要記得這個經驗喔。
[34:52] 好,那就跟各位股貨仔們說拜拜囉。
[34:54] 拜拜,中秋節快樂。
[34:56] 中秋節快樂。
[34:56] 對,月亮代表我的心,拜拜。
[34:59] 好,千里共產捐囉大家,拜拜。
