[00:00] 欢迎收听赵怀谷破载第1093集
[23:05] 就是你没有办法达到
[23:07] 他内心很期待的那个数字
[23:09] 他就说那你不OK
[23:11] 我觉得这样真的有点坏
[23:13] 但是
[23:14] 但他们真的涨好几倍
[23:16] 所以为什么台线
[23:17] 其实它没有什么太大变化
[23:18] 是因为它没有大涨
[23:19] 你自帮前面一波还大涨
[23:21] 所以接下来就是变成是
[23:23] 你有大涨的股票
[23:24] 你就要面临这个基本面的考验
[23:26] 就是你的数字
[23:27] 能不能交出一个
[23:28] 市场可以很满意的数字
[23:31] 如果没有很满意的数字
[23:32] 可能它就是要整理一下
[23:33] 所以外资在这个地方
[23:35] 虽然是每天有小幅的买超
[23:38] 但是空单越增越多
[23:39] 像今天外资空单
[23:40] 已经来到五万三千口以上了
[23:42] 这些我们都还是要留意一下
[23:44] 虽然我们知道
[23:44] 这段时间外资空单
[23:46] 形同虚设
[23:47] 就是他们自己要做避险
[23:48] 以及在今年的三月
[23:51] 外资把台股真的是卖得乱七八糟的
[23:53] 一路提款
[23:54] 所以现在的话做一点空单
[23:56] 高位接买回
[23:57] 所以空单多一点也是很正常
[23:59] 不过筹码就是这样
[24:00] 都在累积
[24:02] 像今天我们又收到一张图表
[24:03] 就是告诉大家
[24:04] 各券商的不限用途信贷
[24:06] 唧唧呼呼
[24:07] 都不想要再放贷了
[24:09] 要不然就是调高利息了
[24:10] 那我们都一边看着
[24:12] 一边想
[24:12] 对我们都听到咯
[24:14] 可是大盘还是一直涨啊
[24:15] 我们不要太害怕
[24:16] 但终有一天
[24:17] 这些事情会完全集结起来
[24:20] 给大家一个棒喝
[24:22] 总是要消化掉这些状况的
[24:24] 市场再平衡后就没有问题
[24:27] 例如说这两天
[24:28] 为什么讲国际光宝科涨
[24:30] 委屈嘛
[24:31] 那为什么瑞玉联勇涨
[24:32] 委屈嘛
[24:33] 对不对
[24:34] 虽然瑞玉联勇
[24:35] 并没有跟AI这么高度的关联
[24:37] 业绩也没有大幅的成长
[24:39] 但是就是委屈啊
[24:41] 所以他们的接棒
[24:42] 我觉得也蛮好
[24:43] 我不敢说他们会走很远
[24:44] 可是至少知道他们两家是
[24:47] 全世界前十大的IC设计公司
[24:49] 台湾前三大就联发科林勇瑞玉
[24:52] 他们应该要还一点公道
[24:54] 至少这样的话
[24:56] 盘面是稍微比较健康的
[24:57] 对因为我记得上次古鱼来
[25:00] 那时候有讲到
[25:01] 古鱼他怎么想到古鱼
[25:02] 我那时候讲说他在推IC设计
[25:04] 其实是因为这两家
[25:06] 其实是有
[25:07] 是他说的
[25:07] 这两家IC设计有很多的IP
[25:10] 所以其实他们是某种程度
[25:12] 你看到联发科
[25:13] 他把他的IP拿出来
[25:15] 帮Google设计TP的时候
[25:16] 你就想说
[25:17] 那联勇跟瑞玉
[25:18] 是不是他们也可以把IP
[25:19] 拿出来做类似的事情
[25:21] 所以其实市场就有些想象
[25:22] 有想象
[25:23] 所以他不是真的在讲IC设计
[25:25] 而是他也勇精制重
[25:27] 他也有一个很赚钱的部门
[25:30] 他没有可能
[25:31] 把他换成实质的收益回来
[25:34] 但是这个就还好再看
[25:35] 因为毕竟他们的东西
[25:37] 你像瑞玉他是做网通的IP
[25:40] 没错
[25:40] 联勇是做面板的IP
[25:42] 这东西到底是AI会用得到的吗
[25:44] 这就未必
[25:45] 因为联发科它本身
[25:47] 是一个比较多功能的公司
[25:49] 它不纯蓝的是手机
[25:51] 它早期它也有做电视晶片
[25:54] 对
[25:54] 所以它基本上是
[25:55] 应该讲说是
[25:57] 除了台积电以外
[25:59] 应该它所有的IP它都有
[26:00] 只是多跟少的问题而已
[26:02] 好
[26:03] 对
[26:04] 原来是古鱼讲的
[26:05] 我就在想哪一天有人讲了这两档
[26:08] 因为这两档我记得有一年
[26:09] 他们其实是有在讲跟安某
[26:12] 有进行一些合作架构的开发
[26:14] 所以他们有IP
[26:15] 虽然不是现在我们主流上说
[26:17] 跟AI高度紧密关联的
[26:19] 可是有没有开发的能力
[26:21] 一定是会有的
[26:22] 就终究是大厂
[26:24] 对不对
[26:24] 所以这边的话可以来观察一下
[26:26] 那520快到了
[26:28] 对不对
[26:29] 520之前
[26:30] 凯哥觉得会有所谓的520行情
[26:32] 或特定的像军工股
[26:33] 今天也是有一点
[26:35] 怎么讲
[26:36] 隐隐要作动的那种感觉
[26:38] 因为今天那个
[26:39] 这个蓝白就已经通过了这个预算
[26:45] 大概好像是八千亿吧
[26:47] 我记得
[26:47] 对
[26:48] 就是他有通过了一个国防采购预算
[26:50] 所以今天军工就稍微动一下
[26:52] 但是没有完全的满足民进党的需求
[26:55] 但随着川习会快要到了
[26:58] 520也快要到了
[26:59] 其实市场会进入有点停看停的阶段
[27:02] 因为又开始要觉得说
[27:04] 台湾会不会被怎么样
[27:05] 应该是不会
[27:06] 因为既然国民党去了都没事
[27:09] 基本上也不会在这个时候发生什么事
[27:11] 那赖总统讲的话
[27:13] 基本上他对于这个大的策略
[27:17] 我觉得跟股市应该是影响不太大
[27:20] 但是如果他多讲一点跟南进有关系的
[27:23] 倒是可以多注意一下
[27:25] 因为像你可以看到
[27:26] 很多厂商都在泰国设厂
[27:28] 其实我觉得我们的政府应该在泰国多下一点功夫
[27:32] 而不是厂商去而已
[27:34] 是你的政府的配套也要到泰国去
[27:37] 你多一点在泰国的政府的服务上面
[27:40] 我觉得会对我们的这些厂商
[27:42] 会有比较大的加分
[27:44] 因为我们看到泰国
[27:46] 其实你看泰达
[27:47] 包括像很多的大厂都去泰国
[27:50] 很多PCP厂在泰国都去泰国
[27:52] 然后台药也要去
[27:54] 然后像今天华通也说
[27:56] 他们要继续扩厂
[27:57] PCP厂真的超多
[27:58] 所以告诉你
[27:59] 泰国未来一定也是会人力不足
[28:01] 那你政府能不能在泰国
[28:04] 做一些配套服务
[28:05] 回过头来讲就是说
[28:06] 华通要办宪争了
[28:08] 很多人就说
[28:09] 华通办宪争
[28:10] 难怪前一阵子
[28:10] 股价怎么样怎么样
[28:11] 是不是利空啊
[28:12] 其实不是啊
[28:13] 因为它是要扩敞啊
[28:14] 它扩敞基本上
[28:15] 它怎么会是利空
[28:16] 它基本上是长线的利多
[28:18] 只是它可能
[28:18] 短线因为有人会听到
[28:20] 会觉得它股价短线
[28:21] 涨不上去了
[28:22] 要压价了啊
[28:22] 就觉得说
[28:23] 我就先放弃好了它会让股价短时间进入一个阵但反而又是一个很好的长线的买点这样因为华通现增出来的时候大家就好像有一种不只是因为低轨额卫星的
[28:34] 那一个消息
[28:35] 而是说
[28:36] 大家会觉得现增
[28:37] 那有的人就会想说
[28:38] 那我就认新股
[28:39] 卖老股
[28:40] 现增价一定比较低
[28:41] 之类的
[28:43] 然后
[28:43] 会不会前一阵子拉价
[28:45] 就是为了把这个现增价
[28:46] 先抬稍微比较高
[28:47] 什么
[28:47] 很多这种俄语
[28:49] 那确实
[28:50] 但是股价
[28:51] 通常会有一定的压抑影响
[28:53] 但凯哥也讲了
[28:54] 如果今天不管你今天是发债
[28:56] 或者是现增
[28:56] 是为了要扩厂
[28:58] 其实这是我们最喜欢看到的
[29:00] 当然不是盲目扩厂
[29:02] 造成产能供过于求这样
[29:04] 是现在真的需求很硬
[29:06] 很需要
[29:07] 所以大家在扩厂
[29:08] 为什么宅版那么凶
[29:09] 就是因为
[29:10] 大家都想要扩厂
[29:12] 然后风策也是到处在抢厂
[29:14] 这个都是他们产业景气
[29:16] 很旺的一个证明
[29:18] 我觉得这是可以拿来做证的
[29:20] 最后我们请凯哥
[29:21] 花一点时间讲一下CPO
[29:23] 例如说指标股PoloV好了
[29:26] 它上去了
[29:27] 一千多块钱上去又下来
[29:30] 又上去又下来
[29:31] 最近的CPO它比较是洗的状态
[29:34] 基本上PoloV
[29:37] 它的客户主要应该也是AOI
[29:41] 应该是这样讲
[29:42] 目前看起来AOI的产能是有点不太够
[29:46] 所以它也有打算要找一些后段的
[29:49] 打建厂来配合
[29:51] 所以这两天有出现一档新标股
[29:53] 就是台表科
[29:54] 台表科突然起来了
[29:56] 对
[29:56] 因为台表科要做AOI的打件
[30:00] 就是他要补破洛威的不足
[30:02] 因为之前有传过说
[30:03] 破洛威可能要找瑞轩来做一个配合
[30:07] 对
[30:07] 但是目前听起来是AOI
[30:09] 是比较属于台表科
[30:10] 所以看起来其实是
[30:12] 大家都还在这个路上走
[30:13] 只是大家有点长多了
[30:16] 可能会进入一个休息
[30:17] 所以你可以看到今天的盘面上
[30:19] 虽然有一些CPU是跌的
[30:22] 可是你像看联军这些是涨的
[30:24] 就是说其实资金还在轮动
[30:25] 其实我觉得
[30:27] 从这个角度来看
[30:29] 基本上就算光盛今天跌下来
[30:31] 其实你也不用太难过
[30:32] 因为它之后还算涨上去
[30:34] 光盛还算是这波弱的
[30:35] 我必须讲
[30:36] 就是它这一波相对比较弱
[30:37] 因为大家会觉得说
[30:38] 那后面的合胜挂牌
[30:40] 是不是它就没有什么可以买的
[30:42] 确实大家在买光盛
[30:44] 有一部分是在看合胜
[30:46] 但是你不要忘记
[30:47] 它也是它的转投资的收益
[30:49] 所以我觉得至少他会
[30:50] 到他挂完牌之后
[30:52] 跟着再冲一段
[30:53] 然后才会
[30:54] 才会这个加油机
[30:56] 才会慢慢脱离母鸡
[30:57] 这是概念
[30:59] 就是你现在就想说
[31:01] 光剩就是那个加油机
[31:02] 合剩就是那个子鸡
[31:04] 那他就要加完油
[31:05] 他就要脱离
[31:06] 所以他还没有加完油
[31:07] 还没有挂牌
[31:08] 就还不会脱离
[31:09] 不要想太多
[31:11] 所以基本上
[31:13] 我觉得行情还没结束
[31:15] 虚约行情还没结束
[31:16] 只是大家夹着
[31:18] 自己不同的题材在走
[31:19] 对
[31:20] 好第二季是四五六月嘛
[31:22] 所以现在才五月初嘛
[31:23] 对不对
[31:24] 刚刚凯哥讲的是
[31:25] 第三季要小心嘛
[31:26] 所以我们还一个多月
[31:27] 一个多月很够长了
[31:30] 是啊
[31:30] 对一个多月很够长了
[31:31] 这种长法很可怕
[31:32] 好
[31:33] 所以像今天的话
[31:34] 刚刚前面也提到的
[31:36] 被动元件
[31:36] 对不对
[31:37] 被动元件其实是
[31:38] 这一波上面比较慢的
[31:39] 但是我觉得和声堂
[31:40] 已经衍然成为一个
[31:41] 带头的大哥啦
[31:42] 指标股
[31:42] 列容店真的也很呛
[31:43] 那信仓店虽然刚刚讲到
[31:45] 也许在AI的占比上
[31:47] 没有那么高
[31:47] 不过我了解是
[31:48] 新唐店有跟大厂签到约
[31:51] 所以他可能都有些背后的因素
[31:53] 反正现在假如公司安静
[31:55] 小作文有发出来
[31:56] 就跟着涨
[31:57] 就会跟着涨
[31:59] 那CPO我想真的是风水轮流转
[32:02] 因为刚刚讲到联军
[32:03] 联军是这一波才起来的
[32:05] 之前最弱的
[32:06] 哇之前真是烂爆
[32:07] 我都不知道怎么跟大家讲
[32:09] 对因为有人就
[32:10] 我后来就有点为他抱屈
[32:11] 所以后来有人跑到我的YouTube频道
[32:13] 就留言说
[32:14] 赵华你有什么都不讲
[32:15] 迅兴KY讲联军
[32:17] 星星快要比联军差吗
[32:18] 什么什么
[32:18] 然后我就说不是
[32:19] 是因为联军太差
[32:20] 太差不是他的体质太差
[32:23] 是他的股价太差
[32:24] 我说我只是帮他喊冤
[32:26] 并不是说
[32:26] 我就说特别只看好他
[32:28] 不看好别人
[32:29] 但现在今天来说
[32:30] 哇联军400块了
[32:31] 吐了一口闷气
[32:33] 反而是其他人在整理
[32:35] 可是也代表
[32:35] 这个族群也是高低位阶在流
[32:37] 对这个很懂
[32:38] 好那最后呢
[32:39] 因为最近好像
[32:41] 比较少念大家的留言
[32:42] 请大家尽量用私信留言给我
[32:45] 因为我不会去
[32:46] 赵华宇古惑仔的
[32:47] Apple Pocket那边捞留言
[32:49] 这边很sorry
[32:50] 因为那边的留言都不能管理
[32:52] 有时候会有一些比较
[32:54] 你可以说是恶意
[32:55] 但是有很多善意
[32:56] 对恶意永远都只有一咪咪
[32:58] 我昨天晚上跟
[32:59] 艾德恩和雷老板吃饭
[33:00] 我们就有聊到
[33:01] 这一路以来
[33:02] 我们看到那些
[33:03] 0.01%的恶意
[33:05] 难免还是会觉得
[33:06] 就像白纸上面有一个小黑点
[33:07] 有时候心里面会还是
[33:08] 有点那个一点
[33:09] 好
[33:10] 但私讯来的话
[33:11] 我自己就可以应付
[33:12] 好
[33:13] 这边的话有位朋友
[33:14] 他就说他也希望被我看到
[33:15] 因为他也曾经有过一段
[33:17] 就是乱投资乱做的情况
[33:19] 那结果最后呢
[33:21] 跟着人家上车都赔钱的
[33:23] 散户失败者
[33:24] 那后来也有听我们节目
[33:25] 也有调整心态
[33:26] 就觉得自己不要做当充
[33:28] 哇你这个好拼
[33:29] 还做当充
[33:30] 其实我很少做到当充
[33:32] 除非是我买了之后
[33:33] 觉得有什么不对劲
[33:34] 但我几乎没有做当充
[33:36] 然后就说因为
[33:37] 我是零死薪水的公务员
[33:39] 家里又没有矿
[33:40] 那心里还要买房梦
[33:41] 所以就一开始定期定额
[33:43] 慢慢累积
[33:44] 但是在股市大跌时候
[33:45] 去年勇敢借了信贷
[33:48] 买了0050挣二
[33:50] 和一些热门型的ETF
[33:51] 不过也因为去年这个决定
[33:53] 资产成长了两倍
[33:55] 也很幸运在年底跟男朋友
[33:57] 一起在新竹买了预售屋
[33:59] 这边的话就不来干预人家买预售屋
[34:02] 未来要共同挂名
[34:03] 还是自己挂名的事情
[34:05] 当然买了以后有点担心
[34:07] 觉得说现在看起来房市没有很热
[34:09] 不要你买自住屋
[34:10] 或未来梦想这个事情
[34:11] 你就不要管这个了
[34:12] 然后但因为付了预售屋前期的款项
[34:15] 手上持有的股票卖了一大半
[34:17] 那现在还有一些资金
[34:19] 继续跟着大盘往上喷
[34:20] 但是想要问的一件事情是
[34:22] 如果想要学习较短期的交易学习
[34:26] 想要拥有自己买卖个股的技能
[34:28] 推荐怎么做呢
[34:30] 他有买一些课程啦
[34:32] 奖励来看
[34:32] 那我自己个人是觉得
[34:34] 如果就是老王卖瓜
[34:37] 老李卖瓜
[34:37] 就是我以前在理财大人秀里面
[34:40] 就做过一系列的教学单元
[34:42] 这里面包括了
[34:44] 朱家宏老师专门讲技术线图的
[34:47] 叫做标股在线的
[34:48] 然后还有全振小哥
[34:50] 专门教大家看筹码的
[34:52] 不过那个要搭配筹码的软体
[34:54] 外面免费软体
[34:55] 不一定功能那么齐全
[34:56] 那个叫做歌有筹必报
[34:59] 还有古鱼的
[35:01] 因为古鱼是存股工程师
[35:03] 对不对
[35:04] 所以那一个系列叫做
[35:05] 存股debug
[35:07] 我们取名字是不是都很厉害
[35:10] 这三个单元大概都做了至少50集
[35:14] 都是免费教学
[35:17] 那当然他会有一个小小的订阅的费用
[35:19] 是如果你愿意进行一个小的订阅的话
[35:22] 他会进入到有一个所谓的荣耀班升级
[35:25] 但因为现在都没有更新
[35:26] 我也必须说以公开版教的
[35:28] 就真的非常充实
[35:30] 就像三本三堂很长的课一样
[35:33] 我觉得分别代表了基本面
[35:35] 技术面
[35:36] 筹码面
[35:37] 这个是我自己觉得
[35:39] 做过功德的一件事情
[35:42] 真的系统性教学
[35:44] 那里面还有零零星星
[35:46] 例如幸福哥有开过
[35:47] 这个幸福报价所
[35:49] 教人家怎么看报价
[35:51] 还有产业队长也帮忙开过
[35:53] 产业捷报
[35:55] 好大家可以到理财大人秀的
[35:57] 这个单元里面去学习
[35:59] 虽然都不是最新的
[36:00] 都不是说这一年的
[36:02] 已经可能两三两年以前了
[36:04] 可是这些的技巧
[36:05] 不会落后的
[36:06] 再来当然也推荐
[36:08] 你可以去听听看凯哥的演讲
[36:10] 那凯哥有一些学堂有在上课
[36:13] 我觉得也是很好的选择
[36:14] 是产业类的
[36:16] 我觉得你看这么多的达人
[36:18] 其实都有很多的美感
[36:20] 其实你只要愿意跟着我们达人学习学
[36:23] 基本上应该没有100分
[36:25] 有80分
[36:25] 对应这个盘试
[36:27] 我觉得是绰绰有余的
[36:28] 所以我们在这边还是要跟大家说
[36:30] 多用功是好的
[36:32] 那刚才讲的这些课程
[36:35] 绝对都有帮助大家
[36:36] 在各股买卖上的学习
[36:37] 但是也要切记一件事情
[36:39] 不要急
[36:40] 就是说虽然去年您用信贷
[36:42] 然后买杠杆型的商品
[36:44] 你得到很好的成效
[36:45] 可是有时候在股票市场里面
[36:48] 我看到最近有一些打人
[36:49] 我觉得蛮佛的
[36:50] 就是他们是很积极派的
[36:52] 可是他们有提醒大家一件事情
[36:53] 他们能够在现在积极
[36:55] 是因为过去的十年二十年
[36:56] 有累积了长线的底气
[36:58] 所以他们可以在这一波很积极
[37:00] 因为如果当潮水退了
[37:02] 或是有急速崩盘的时候
[37:04] 他们也能闪过去
[37:05] 所以他会说
[37:07] 如果自己觉得自己底子不扎实
[37:09] 并没有完全跟上这一波到四万二的
[37:11] 真的不要太急
[37:12] 股票市场不是比谁赚得快
[37:14] 是比谁活得久
[37:16] 对
[37:17] 我觉得这个是我看到
[37:18] 最近有一些厉害的达人
[37:20] 已经开始在呼吁这个事情
[37:21] 我觉得大家都很有良心
[37:23] 真的是太好了
[37:24] 凯哥不喜欢碎念
[37:27] 所以就结束这一回合
[37:29] 也希望大家周末愉快
[37:31] 是啊
[37:31] 马上就母亲节到了
[37:33] 记得要回去陪妈妈吃饭哦
[37:35] 好
[37:35] 也祝全天下的母亲
[37:37] 这个周末母亲节快乐
[37:39] 是
[37:39] 然后要天天快乐
[37:41] 天天快乐
[37:41] 不止母亲节这一天
[37:43] 不要母亲节了
[37:43] 还要叫你的妈妈
[37:44] 在那边帮你们煮饭
[37:45] 打扫做家务哦
[37:47] 是啊
[37:47] 请把她当女皇
[37:49] 好
[37:50] 大家拜拜
[37:51] 拜拜
