[00:00] 歡迎收聽趙華與谷貨仔的新春特別版
[25:16] 而且我遇到大部分的投資人
[25:19] 信心怎麼來的
[25:20] 很簡單股價
[25:22] 因為他在漲的時候
[25:23] 他就很有信心
[25:24] 當一跌的時候就沒有信心了
[25:26] 那這個我常常講
[25:27] 最後這個投資
[25:29] 這個也是就是必須
[25:31] 要如果你資產要累積
[25:33] 必須要跳脫的這個邏輯
[25:35] 就是我覺得我最起碼
[25:37] 我現在都可以做到
[25:38] 這種情境就是
[25:40] 好或不好
[25:41] 其實是數字會說話
[25:43] 我從來不會因為
[25:45] 就以可能說
[25:46] 美股財報出來是好的
[25:49] 但它股價盤後是跌的
[25:51] 然後就說
[25:51] 因為它哪裡不好
[25:53] 哪裡不好
[25:53] 我不會
[25:54] 我就說它是好的
[25:55] 但是現在市場氛圍是不對的
[25:57] 只會導致他好但是跌
[25:59] 像這種其實就是一個投資的機會
[26:02] 那這樣子的邏輯就是最後
[26:04] 就剛剛提到第一你如果投資低
[26:06] 你真的要對未來有看法
[26:08] 然後呢
[26:09] 進場投資都要有自己的理由
[26:12] 當理由在就不要怕你要加碼
[26:15] 如果理由不對了
[26:16] 無論賺賠都必須要做減碼的動作
[26:19] 我覺得能夠用這樣長線邏輯
[26:21] 然後慢慢把資金移到這個
[26:24] 長線投資
[26:25] 然後好處就是時間的累積
[26:28] 你的資產慢慢會不斷的擴大
[26:30] 那至於剛剛提及的
[26:32] 為什麼不投資房地產
[26:35] 我覺得
[26:36] 你不買自住屋對不對
[26:38] 還是說你家裡面其實已經有自住房
[26:40] 對 應該說這個有兩點
[26:42] 第一點就是剛剛提到
[26:43] 就是這個是我是幸運的
[26:45] 因為我在家裡臺北就有房子
[26:47] 雖然說我那個房子
[26:49] 已經四五十年的老公寓了
[26:51] 當然現在有沒有能力
[26:53] 我在自己
[26:54] 當然有能力
[26:55] 我是可以
[26:56] 可是有兩個原因
[26:58] 第一個這是我們自己家的房子
[27:00] 然後我跟
[27:02] 對我姐姐住旁邊
[27:03] 我覺得家裡一起住
[27:04] 我覺得是一個
[27:06] 我現在不可能有辦法去買一排
[27:08] 說大家一起住
[27:09] 所以而且我對我而言
[27:12] 我覺得很多東西
[27:13] 就物質的東西
[27:15] 對我來講不是那麼重要
[27:17] 然後我還有一個問題
[27:19] 我會覺得有點可惜
[27:20] 因為重申就是
[27:22] 這幾年的市場
[27:24] 真的是非常非常好
[27:25] 是
[27:26] 對我就會覺得
[27:28] 可能要我拿出一點點資金
[27:31] 雖然要我拿一些資金
[27:33] 出來投資別的
[27:34] 我就會覺得有點可惜
[27:36] 尤其現在
[27:36] 或者是我們常常講
[27:38] 就是人家賭博
[27:38] 現在手正順
[27:39] 對不對
[27:40] 所以我就覺得
[27:41] 我現在投資的角度不錯
[27:43] 然後如果拿一些資金出來
[27:45] 我就會覺得有點可惜
[27:47] 而且這個需求
[27:48] 對我來講也不高
[27:49] 然後我就說
[27:50] 我是幸運
[27:51] 所以我這一塊
[27:52] 我是目前角度
[27:53] 我是不會投資
[27:54] 但不代表這個是
[27:55] 不能投資的商品
[27:57] 純粹只是每個人的
[27:59] 因為我常常講
[28:00] 要坐在自己的牆上
[28:02] 因為剛好我是證券業的
[28:06] 然後剛好
[28:07] 我的職業都在研究
[28:10] 這些股票的東西
[28:11] 所以稍微多
[28:13] 一般投資人多了理解一點點
[28:15] 剛好我覺得
[28:16] 我要重申
[28:18] 我真的覺得理解不是很重要
[28:20] 最後的是領悟
[28:21] 因為唯有領悟了
[28:24] 你就可以瞭解
[28:25] 因為我剛剛講了
[28:26] 即使在我們這個職場裡
[28:28] 做了20年了
[28:31] 老師我自己就覺得
[28:32] 能夠領悟的也不是多數
[28:34] 所以投資人倒也不用氣
[28:35] 因為確實投資
[28:38] 我剛剛提到
[28:39] 你難還是簡單
[28:40] 完全是看個人
[28:41] 因為我領悟了
[28:42] 我就覺得很簡單
[28:43] 你任何東西
[28:44] 你只要有長線的看法
[28:46] 中間呢
[28:47] 無論出現了什麼震盪
[28:49] 你自己的那個信心
[28:50] 能夠抵抗過它
[28:52] 最後又發現
[28:53] 真的都跟你講的一樣
[28:55] 能夠在你的軌道之上
[28:56] 然後你的資產
[28:57] 自然就能夠持續的往上爬升
[28:59] 好 今天本來是要問
[29:01] 明漢協理的人生
[29:03] 結果他還是回到
[29:04] 投資的邏輯上面
[29:05] 三句話難離本行
[29:08] 好 沒有關係
[29:09] 但還是很受用
[29:11] 他真的在各方面
[29:12] 都不斷重申
[29:13] 不斷重申
[29:14] 哥 就是你
[29:15] 不過什麼樣的公司
[29:17] 看得到未來
[29:18] 我想很簡單的一件事
[29:19] 就是我們臺灣
[29:20] 有臺積電
[29:20] 老生常談沒有錯
[29:22] 講到爛掉沒有錯
[29:23] 可是你至少有一個標的
[29:25] 是可以讓你就知道
[29:27] 這件事情是安心的
[29:28] 其他在延伸到
[29:29] 各產業的一些龍頭股
[29:31] 其實也不難
[29:32] 說實話也許剛開始
[29:33] 你就從臺灣50概念股
[29:34] 裡面去找
[29:35] 也是一種可以的方式
[29:37] 好那標的部分
[29:38] 我們今天就不細談了
[29:39] 謝謝這個明翰協理
[29:41] 又把這個想法回到了
[29:43] 投資邏輯該如何建立上面
[29:46] 那一樣有興趣的朋友
[29:47] 可以去聽
[29:48] 應該是334集
[29:49] 他的故事在那一集就非常非常的完整
[29:52] 好
[29:52] 那我們今天謝謝明翰協力
[29:54] 也希望各位股貨仔的聽眾朋友們
[29:57] 在新的一年
[29:58] 趕快找到你們投資上最正確最好的步調
[30:02] 開開心心的來過馬年
[30:03] 好
[30:04] 大家拜拜
[30:05] 拜拜
