[00:00] 欢迎收听赵华宇古惑仔第1057集
[25:39] 或者刚刚讲到的
[25:40] 能不能联想到台股
[25:41] 因为说实话
[25:42] 真的是联想
[25:43] 我还听到一个有趣的事情
[25:44] 是好朋友跟我分享
[25:45] 就黄文勋有在现场说
[25:47] 今年的GTC
[25:49] 技术开发人员来的比例是少的
[25:51] 但什么人来的多呢
[25:53] 就是金融交易
[25:55] 金融服务的人占绝大多数
[25:59] 他说OK
[26:00] 我希望大家来
[26:01] 还是希望听技术
[26:02] 就是如果来的是想要交易
[26:04] 是可以理解
[26:05] GTC大会已经变成台湾的形状
[26:09] 就是背板股是什么
[26:11] 因为今天很好笑
[26:13] 我看到早盘
[26:13] 同仁们就做了那个五层蛋糕
[26:16] 然后立刻就把五层蛋糕
[26:18] 对应什么股票
[26:19] 通通都列出来
[26:20] 然后这次的背板股
[26:22] 有什么股票
[26:23] 通通都列出来
[26:24] 我快笑翻了
[26:25] 这就是台湾人
[26:26] 那现在GTC大会
[26:29] 据说超过70%是金融
[26:32] 从业人员跑去听
[26:33] 但有去听的朋友
[26:34] 也有分享
[26:35] 他说你知道吗
[26:36] 2022年的时候
[26:37] 门票是150美元
[26:39] 他说到了2026年的今年
[26:41] 门票多少
[26:42] 门票是2500美元
[26:44] 哇塞
[26:46] 通膨的好厉害
[26:47] 这个通膨是
[26:48] 这个演唱会吗
[26:50] 还是大家要去日本
[26:52] 看经典赛的门票
[26:53] 不知道
[26:54] 难怪来的会是炒股的人
[26:56] 所以这个大家有兴趣的话
[26:58] 我觉得晚上理财答案秀
[26:59] 我们有辅助役图表
[27:01] 大家可以来看一下
[27:02] 那接下来的话
[27:04] 我觉得还是跟大家分享
[27:05] 这段时间
[27:06] 因为说实话比较不好做
[27:08] 大家的操作心态要怎么做
[27:10] 昨天晚上啊
[27:11] 有一个人敲我
[27:12] 叫做杨云翔
[27:13] 他说我跟你讲
[27:14] 我买put了
[27:15] 他现在是南板吧
[27:17] 你没有
[27:18] 开玩笑开玩笑
[27:20] 他因为他一直有做选择权避险
[27:23] 但这段时间很好笑
[27:24] 他就一直觉得
[27:25] 台股前阵子不是有大跌吗
[27:27] 他就觉得大跌了
[27:28] 他就不要买put
[27:29] 结果后来没想到
[27:31] 就又再跌下去
[27:32] 对
[27:32] 他就觉得
[27:33] 怎么自己那么笨
[27:34] 为了省十万
[27:35] 结果他说
[27:36] 最多有少赚将近五百万
[27:38] 对
[27:39] 然后他就一直在
[27:40] 这个put的魔咒里面
[27:42] 很好笑真的
[27:43] 然后他昨天晚上跟我说
[27:44] 他终于很下心
[27:46] 去做选择权的放空
[27:47] 然后我第一个反应就是
[27:49] 那夜盘要涨五百点
[27:51] 夜盘真的涨五百点
[27:52] 然后第二个反应
[27:54] 我就问他说
[27:55] 你说你现货加多少钱
[27:57] 因为我现在没有
[27:58] 经过本人的授权同意
[28:00] 不能公布他现货加多少钱
[28:02] 但他现货加很多钱
[28:03] 所以他才会很下心去买PUT
[28:05] 因为最近的PUT是比较贵一点点
[28:07] 他就很下心去做了选择权币显示
[28:09] 因为他现货加非常多那就是一个积极操盘人他在这个短线破断上发现中小型股非常厉害做的决定就是他大幅加码
[28:20] 就是厉害的活泼股票
[28:22] 好
[28:23] 可是一般的投资人
[28:24] 我必须讲
[28:24] 一般投资人到现在
[28:26] 可能还会陷于一个情境中
[28:28] 就是之前一直涨
[28:30] 涨到三万五了
[28:31] 都没有跟上
[28:32] 都这样一直涨
[28:34] 反正低位阶的
[28:35] 也可能会涨
[28:36] 那我就在等等
[28:37] 我的价值股
[28:38] 能不能涨上来
[28:39] 或是这些委屈套牢股
[28:40] 会不会翻身
[28:41] 看别人赚好羡慕
[28:43] 这可能是在
[28:43] 三万五的时候的一个现况
[28:45] 当然我有收到
[28:46] 很多的朋友跟我说
[28:47] 有忍痛
[28:48] 把这个弱势股换成强势股
[28:50] 感觉走出这一步很舒服
[28:53] 然后再来就回挡了
[28:55] 回挡的时候
[28:56] 又会让大家加深说
[28:57] 你看吧
[28:58] 回挡了真恐怖
[28:59] 你去买那些热门股的
[29:01] 动不动就吃一根叠停板
[29:02] 所以呢
[29:03] 就先这样
[29:04] 我再等等看
[29:05] 好那现在中小型股复活了
[29:07] 心情又同样出现了
[29:09] 为什么下来
[29:10] 我就只能减减市值呢
[29:12] 下来我也不敢减这些股票啊
[29:15] 我的股票还是没有动
[29:17] 所以我就看到
[29:18] 其实你有发现一件事情
[29:20] 其实跟大盘涨跌没有关系
[29:23] 跟现在盘面上热什么
[29:24] 也没有关系
[29:25] 是大家在投资决策上
[29:27] 到底要不要稍微
[29:29] 做一点点改变
[29:31] 前几天傅旭哥来
[29:32] 他讲了一件
[29:33] 他以前最得意的事情
[29:34] 不是某一档股票
[29:36] 看对了
[29:37] 从价值股变成标股
[29:38] 赚五倍
[29:38] 而是他忍痛
[29:40] 把两档股票
[29:41] 他曾经很看好
[29:42] 而且压非常高部位的
[29:43] 砍掉
[29:44] 停损
[29:45] 他觉得这是人生
[29:47] 最光荣的事情
[29:48] 当然不是说停损
[29:49] 你这辈子
[29:50] 然后当然你要离开股市
[29:51] 就算了
[29:52] 停损之后
[29:53] 当然是继续奉行着
[29:54] 他觉得有找到好股票
[29:55] 把它挪到
[29:56] 他觉得好股票上面去
[29:58] 所以韦泰常常
[29:59] 跟我们分享的
[30:00] 也是这种心态的问题
[30:01] 我非常希望
[30:02] 这一次台股
[30:03] 从三万五千点修正下来
[30:05] 然后现在看得出来
[30:06] 台湾还是在一个很高的GDP成长
[30:08] 以及我一直强调
[30:09] 现在是一个多头景气往上的回档
[30:13] 所以要找机会做多的情况下
[30:16] 你这边很简单的建议
[30:18] 如果手上爆满了
[30:19] 不会动的股票
[30:20] 该怎么样的来做心态上的调整
[30:24] 刚刚听到那个云翔哥
[30:27] 他的那个策略
[30:28] 对我又讲了一串
[30:30] 又出卖了他
[30:31] 不会啊
[30:32] 我觉得这个给各位投资朋友听一听
[30:34] 也是一種這個啟發
[30:36] 那我只是覺得說
[30:37] 如果是我的話
[30:39] 我可能會在這個跌盤誰扣
[30:41] 就是我要做賣方
[30:42] 因為其實就像我剛剛說的
[30:45] 假設我現在對目前盤勢的看法
[30:48] 是一個上有鍋蓋下有鐵板
[30:50] 我可能去做勒勢或者去做跨勢
[30:53] 就是說我認為它前波高點不會過
[30:57] 然後它下面的這個季線不會跌破
[31:00] 我在這個地方會拖一段時間的話
[31:02] 反而会去做这种
[31:04] 收权利金的这种动作
[31:06] 如果是我的话
[31:07] 那这个一般的投资朋友
[31:10] 我个人觉得也不用这么麻烦
[31:12] 我通常就讲说
[31:14] 那是法人才需要做避嫌
[31:16] 一般的投资人你看不顺眼
[31:19] 你觉得你要去控制住
[31:22] 可能的一个损失
[31:23] 你就把资金抽回来就好了
[31:25] 你就不要做了
[31:26] 对啊就把资金抽回来
[31:27] 对这个其实我觉得
[31:28] 反倒是对一般投资人来讲
[31:30] 算是比较好的一种做法
[31:31] 那至于说在这个选股上面来讲
[31:36] 其实我觉得刚刚赵宝说的那个情况
[31:39] 很多人都碰到
[31:41] 包括我自己
[31:42] 也不是说全部都压到电子股
[31:44] 也这波也没有说真的大赚
[31:46] 可是我觉得我现在买的一些个股
[31:48] 也都是我个人认为
[31:50] 它是持续的在转好当中
[31:52] 那我觉得这部分大家必须要相信
[31:56] 相信什么
[31:57] 相信你的这个一开始的一个投资的
[31:59] 一个理念跟哲学
[32:00] 像我基本上就是认定说
[32:02] 只有它具有投资价值的
[32:05] 我才会去做一个介入
[32:06] 所以我觉得基本上
[32:07] 它短时间之内没有涨到
[32:09] 但是我只要它的公司
[32:11] 在未来五年不会消失
[32:14] 基本上我觉得我都会蛮有信心
[32:17] 当然像之前的台塑化我讲过
[32:19] 那其他的一些电力的部分
[32:22] 我也觉得像这一次
[32:23] 我们来雪中送太阳一下
[32:25] 装宝科
[32:26] 可是你明明就有讲
[32:29] 它的东西delay
[32:30] 你会比较concent
[32:31] 跌下来了嘛
[32:32] 跌下来了嘛
[32:33] 对不对
[32:34] 我们说
[32:35] 这个我们可以
[32:36] 他之前200多
[32:37] 200块我们不看嘛
[32:38] 他现在如果说真的跌下来
[32:40] 那我觉得他这一波就看看说
[32:42] 这个超马的一个消化情况
[32:44] 会怎么样
[32:44] 因为看起来在这次GTC大会
[32:46] 他所秀出来的一些
[32:49] 所谓的一个
[32:50] 未来的一个方向
[32:51] 我觉得店员这一块
[32:52] 其实
[32:52] 我说实话
[32:54] 除了台达店
[32:55] 光宝科之外
[32:56] 好像我还看不到
[32:57] 其他的人有办法做到
[32:59] 1200瓦相关的
[33:02] 所谓的高瓦数的一个产品
[33:05] 我觉得没有
[33:05] 所以他们终究还是会有机会
[33:08] 拿到这方面的订单
[33:09] 至于说股价的部分
[33:12] 就让这个市场去做一个
[33:14] 去做一个消化
[33:16] 所以这部分就是我刚刚提到的
[33:18] 针对你认为长线看好的标的
[33:21] 我觉得还是可以去趁拉股的时候
[33:23] 去坚持自己的一个看法
[33:25] 好
[33:26] 我再讲的是另外一个层面
[33:27] 也是我有一些朋友的想法
[33:30] 我的意思是说
[33:31] 如果你觉得那个东西
[33:33] 非常有价值
[33:34] 对不对
[33:34] 那你就不会FOMO
[33:36] 就你很认同
[33:38] 你手上抱的东西
[33:39] 就像那一天
[33:40] 富居哥有聊到
[33:41] 他还是喜欢高股息
[33:43] 不管高股息是不是险学
[33:44] 但是他会去停损的
[33:46] 就是代表说
[33:47] 有可能就是获利不如预期了
[33:48] 所以股息配发率也比较不好了
[33:50] 或者说股息发出来
[33:51] 跟股价的对称来说
[33:53] 因为股价会随着
[33:54] 获利不好掉下去
[33:55] 他觉得已经不值得了
[33:57] 所以他会做调整
[33:58] 可他重新买的
[33:59] 他还是着重在
[34:01] 有成长性的高股息价值股上面
[34:04] 所以他不会换得换失说
[34:06] 哎呀我不管了
[34:08] 我就去买那种亏转赢的
[34:09] 然后飙上天的
[34:11] 我去买旺红
[34:12] 就不会这样想
[34:13] 那我之前也有分享过
[34:15] 我有一些好朋友
[34:15] 他也是跟我说
[34:17] 他的股票在这一波涨到
[34:19] 之前涨到3万5
[34:20] 他股票都没动
[34:20] 那我也好心跟他讲说
[34:22] 你要不要试试看
[34:23] 就买一点主动式的ETF
[34:24] 或是有哪一些像低轨卫星
[34:26] 或什么的
[34:26] 他回我说不用了
[34:28] 其实我很相信我自己的股票
[34:30] 我觉得总有一天他们就是会动
[34:32] 现在零零股息也没有什么关系
[34:34] 所以他没有FOMO
[34:35] 他只是跟我提到而已
[34:36] 所以这一切都是否
[34:39] 你会觉得你好羡慕别人来做的事情
[34:43] 与其在那里一直羡慕别人
[34:46] 那你就做好你的配置
[34:48] 会飙的或是积极型的东西
[34:50] 你就配一点
[34:51] 也不要看不起ETF
[34:52] ETF真的很猛
[34:53] 然后呢
[34:55] 不会动的
[34:56] 你觉得还有机会的
[34:57] 你真的信得过
[34:57] 你也放着
[34:58] 没有人逼你说
[34:59] 你一定要卖掉才是对的
[35:01] 因为一切都立足在
[35:03] 其实你会觉得很羡慕别人
[35:04] 那刚刚
[35:05] 韦泰讲的就是另外一个
[35:07] 他自己也有一些
[35:08] 可能就不是这一波里面
[35:09] 主流的标的
[35:10] 其实我也有
[35:11] 可是我们不会觉得怎样
[35:13] 干嘛觉得怎样
[35:15] 你要说怎样
[35:16] 大家都知道
[35:17] 赵华有很多的债券
[35:18] 对不对
[35:19] 后来为什么不讲了
[35:20] 因为全部的人
[35:20] 也不是全部人
[35:21] 对不起
[35:22] 大多数会抱怨的人
[35:23] 都对债券有错误的认知
[35:25] 以及有另外一个层面
[35:27] 就是你非常不信任美国
[35:29] 你觉得川普会让美债
[35:31] 爆掉倒掉
[35:32] 如果你觉得美债会爆掉倒掉
[35:34] 我觉得那个真的是
[35:35] 根深蒂固在你骨子里的话
[35:37] 真的就不要碰
[35:37] 因为这种恐惧是没有办法的
[35:39] 这种恐惧
[35:40] 你恐惧一家公司会爆
[35:41] 你怎么可能买他的股票呢
[35:43] 你恐惧一个政府会倒
[35:44] 你怎么可能买他的债券呢
[35:45] 好这深入人心
[35:46] 另外一个错误的想法就是
[35:48] 他都没有涨
[35:49] 他跟股票比起来
[35:50] 他都没有涨
[35:51] 我放在上面
[35:52] 我不如把钱放股票
[35:54] 当然就非常不适合
[35:55] 谁跟你说债券在没有降息的环境里面会涨啊
[35:58] 倒在幻想什么
[35:59] 那为什么我能
[36:01] 因为那一块就是我的安定资产
[36:03] 有息就好啦
[36:04] 我买在之前有跟大家分享
[36:06] 我买在都是殖利率跳起来的时候
[36:08] 就债券相对便宜的时候
[36:09] 我才去见部位嘛
[36:10] 所以他现在每一年稳稳的息
[36:12] 我实在是觉得我没有什么好抱怨的
[36:15] 而且我也不觉得美债会倒掉
[36:16] 这是我个人
[36:17] 我个人
[36:18] 但是因为我最近增加的股票的部位
[36:22] 一定是越来越多嘛
[36:23] 随着财股上去
[36:24] 中小型热门体财股
[36:25] 越来越多
[36:26] 我一定是
[36:26] 股票部位越来越多
[36:28] 所以我的配置上面
[36:29] 我就需要有安稳
[36:30] 我不用管他的
[36:31] 我也不用烦心的
[36:32] 那另外一边就是
[36:33] 既然你要
[36:34] 有点冲冲冲
[36:35] 你也要去选你自己
[36:36] 信得过的
[36:37] 这样的配置平衡下
[36:39] 你就不会有任何
[36:40] 想要去羡慕别人的感觉
[36:42] 我觉得我们花了
[36:43] 非常非常多力气
[36:44] 在这段时间讲这个
[36:45] 真的是希望大家
[36:47] 听了以后
[36:48] 做一点调整跟改变
[36:51] 对
[36:52] 然后才不会说
[36:53] 明明台股真的就是
[36:55] 还在多头的循环里面
[36:57] 却没有赚到钱
[36:58] 那当然如果今天台股崩了
[37:01] 美股崩了
[37:02] 是因为景气不好
[37:04] 我们也会有景气不好
[37:05] 下面的一些对策
[37:07] 届时也许你就会很感谢
[37:09] 你手上有做了一些定期定额的
[37:11] 或是稳定资产的
[37:12] 或是债券避险的
[37:13] 你那种想法又会不一样
[37:15] 但目前我想大多数人
[37:17] 都是很羡慕别人
[37:18] 有标股这件事情
[37:19] 所以跟大家再做进一步的分享
[37:22] 因为维泰对这方面的心得
[37:23] 也是很多的
[37:25] 因为他学生也很多这样的问题
[37:27] 那今天呢
[37:28] 谢谢维泰
[37:29] 我们也跟古惠仔的朋友说拜拜咯
[37:31] 谢谢大家
[37:32] 拜拜
