[00:00] 歡迎收聽趙懷古惑在地1034集
[21:52] 很多經理人
[21:52] 其實今天就在調節部位
[21:54] 這也是為什麼今天
[21:55] 賣壓相對比較重的原因
[21:56] 然後再來就是
[21:57] 因為我昨天剛好去
[22:00] 這個飛碟電臺
[22:01] 我去這個朱衛英姐的節目去錄
[22:04] 他就在問我說
[22:05] 凱克凱克
[22:06] 如果我們有買ETF
[22:07] 像主動型ETF
[22:08] 我們怎麼樣來去做一個操作
[22:10] 那我就給他一個觀念
[22:12] 就是說我們通常
[22:13] 就用月線在觀察
[22:14] 當這個月線還在向上的時候
[22:17] 它往上超越月線10%
[22:21] 我會減碼
[22:22] 超越10%
[22:23] 再超越10%
[22:24] 也就是20%
[22:25] 我會減碼再減碼
[22:26] 當它月線破下的時候
[22:28] 破10%我會加碼
[22:30] 破月線10碼
[22:32] 10%再10%
[22:33] 也就是20%的時候
[22:34] 我會再加加碼
[22:36] 但是如果季線向下的時候
[22:38] 不好意思
[22:38] 我會全部都調節掉
[22:40] 這個就是操作的一個邏輯
[22:42] 所以其實你在操作
[22:44] 這個主動型ETF的時候
[22:45] 基本上我就跟你講
[22:46] 你就也不用每天盯著看
[22:48] 畢竟你不是像我們
[22:49] 這麼認真在做股票的人
[22:51] 但是你就是
[22:52] 至少每一週
[22:53] 你要去看一下你的月線
[22:55] 有沒有開始做一個轉折的變化
[22:57] 你用這個邏輯去看
[22:58] 我覺得基本上應該都是大賺小賠
[23:02] 讓自己維持在大賺小賠
[23:06] 而不是都不能賠
[23:07] 或賠了就一直死抱婆抱
[23:09] 賺一點點就跑掉
[23:10] 我覺得這個是一個很長期以來的
[23:12] 我想大家在操作上會遇到的一個問題
[23:15] 那當然還是不免俗
[23:17] 凱哥認為
[23:19] 我們剛才有討論到
[23:20] 美國現在這樣的狀況
[23:22] 是很害怕資本支出
[23:23] 無法回收
[23:24] 所以我們不是說
[23:25] 這件事情
[23:26] 我們就要完全跟美國
[23:27] 唱反調
[23:27] 一定可以回收什麼的
[23:29] 我們還是有在觀察
[23:30] 因為剛剛凱哥有講
[23:30] 當美國像什麼
[23:32] 納指什麼月線
[23:33] 要下彎
[23:33] 那感覺是差的
[23:34] 所以我們要尊重
[23:35] 因為他們畢竟
[23:36] 還是在世界科技股
[23:37] 裡面的一個老大哥
[23:38] 就是要尊重
[23:40] 但目前看起來
[23:41] 還沒有到那麼的糟
[23:42] 然後加上臺股
[23:43] 在農曆年後
[23:44] 開我們海南機率
[23:45] 還是相對比較高
[23:46] 凱哥能不能清點一下
[23:47] 現在盤面上
[23:48] 你覺得風險跟機會
[23:50] 會擺在哪些重點上
[23:51] 我覺得原本我們看好的
[23:53] 應該是沒有什麼太大問題
[23:55] 就是還是那些股票上面
[23:57] 但是確實有一些股票
[24:00] 我覺得很奇怪
[24:01] 例如說像
[24:01] 最近在講這個低軌道微信
[24:03] 很多太陽能板都跟著漲上來
[24:05] 那之前有講過嗎
[24:06] 戴太空
[24:07] 對
[24:07] 我已經學起來了
[24:10] 人有賬就不會聽到
[24:11] 怎麼在家
[24:12] 就是告訴你
[24:13] 其實都還是比較虛無縹緲的
[24:16] 但是很多投稿老師在講
[24:17] 因為在家倉買也沒有人有
[24:19] 所以他們就相對來講
[24:21] 會是這一波資金parking的地方
[24:24] 所以可以看到
[24:24] 你可以看最近
[24:26] 其實投信一直在買的是金融股
[24:29] 這也是避險的想法
[24:31] 他們其實就是在避險
[24:32] 其實他們就是把資金掛
[24:33] 還有再來就是
[24:34] 我們之前講說被誤殺的散熱廠商
[24:37] 這幾天也拉起來了
[24:38] 所以告訴你什麼
[24:39] 就是他們現在就是選擇
[24:41] 人多的地方不要去
[24:42] 他們就選擇那個人少的
[24:43] 所以我覺得
[24:45] 有些個股做了一點降溫
[24:47] 其實對市場也沒有不好
[24:49] 我覺得其實
[24:50] 我覺得納指會跌
[24:52] 還有一個很大原因
[24:53] 就是我感覺
[24:55] 我自己覺得NVIDIA
[24:56] 其實好像它的獲利的能力
[24:59] 有點在趨緩
[25:00] 我猜是不是因為跟著
[25:02] 隨著Google TPU
[25:03] 積極的要問世
[25:05] 然後大家都要開自己的晶片
[25:07] 它是不是相對的需求
[25:09] 沒有那麼強
[25:10] 這個就是
[25:11] 我們從產業聽到就是
[25:12] NVIDIA試圖要把一些的
[25:15] 採購權收回來
[25:16] 把一些採購權收回來
[25:18] 那他為什麼要把採購權收回來
[25:19] 當然就是因為
[25:20] 他賺的沒那麼多
[25:21] 如果他賺很多
[25:22] 幹嘛把採購權收回來
[25:23] 他就是賺的沒有那麼的多了
[25:25] 所以我覺得這個地方
[25:27] 可能在Rubin正式問世之前
[25:29] 在GB300這個階段
[25:32] 可能就要留意的就是
[25:33] 這個採購權的部分
[25:35] 那當然凱哥在業界
[25:36] 還是要持續幫大家關注
[25:37] 就是未來在Rubin的時候
[25:39] 會不會這採購權
[25:40] 又放回給廠商
[25:41] 放回給廠商
[25:42] 因為看起來
[25:44] 現在就是有TPU的一個
[25:46] 就是既合作又競爭的這個結構
[25:49] 那有些廠商像Meta
[25:51] 他們就跳去買TPU
[25:53] 他們就可能就減少買一些GPU
[25:56] 所以我覺得這會造成一個NVIDIA的壓力
[26:00] 因為我們可以從形態上來看
[26:01] Google是持續在創新高的
[26:03] 可是NVIDIA相對來講
[26:05] 它就一直盤在這裡
[26:06] 我覺得這個也是一個可以觀察的一個部分
[26:09] 那當然這些廠商
[26:11] 他們在做不管是TPU或GPU
[26:13] 基本上他們都需要散熱
[26:14] 他們也需要配合的廠商
[26:17] 他們也需要臺積電幫他們代工
[26:19] 所以臺灣的廠商
[26:21] 可能在這個地方
[26:22] 有一些人可能相對
[26:24] NVIDIA的比重比較高
[26:26] 可能相對比較吃虧
[26:27] 例如說鴻海 廣達
[26:29] 可能他們就因為這樣
[26:31] 所以趙元燕可能他們是沒有效
[26:33] 你看他們臉色很沉重
[26:35] 其實他們吃得很開心
[26:36] 但其實內心可能在
[26:38] 我們不能講說
[26:39] 可能我想在流淚
[26:41] 可能在流淚
[26:42] 但是這邊的話
[26:45] 因為凱哥
[26:45] 一定還是很多人
[26:47] 對老AI有期待
[26:48] 到底老AI現在算是委屈
[26:51] 會等著漲
[26:52] 還是老AI有他的問題
[26:54] 我們可能去看一些別的
[26:55] 像齊紅去趙源宴就有效果
[26:57] 對
[26:57] 因為他之前沒有他
[26:59] 對
[26:59] 就是要有新的
[27:01] 所以告訴你說
[27:03] 為什麼齊紅在這一次
[27:04] 出現在趙源宴
[27:05] 所以告訴你說
[27:06] 他就是去滅火
[27:09] 就是之前講的
[27:10] 教主講說不需要三樂
[27:12] 這個散熱的水冷機不需要了
[27:15] 感覺好像沒有那麼熱
[27:16] 所以這個就讓這個散熱股就打下了
[27:20] 可是他又把奇隆早去造源業
[27:23] 就告訴你說
[27:24] 其實散熱還是對他非常的重要
[27:26] 解熱這問題還是很重要
[27:28] 然後你看像什麼高利潤往上漲
[27:30] 然後我今天還問了一些建策的主力
[27:33] 他們就說他們過年前不會解碼
[27:36] 所以告訴你說
[27:38] 其實有些主力在解碼股票
[27:40] 有些主力
[27:41] 有些主力是我就把重點留下來
[27:43] 其他剪掉
[27:44] 但可以
[27:46] 大家都有在剪啦只是剪的是什麼對而且我還有聽到也有朋友跟我分享說如果在封關前就算是封關的最後一天然後市場是比較大幅往下的話
[27:57] 他那天就會撿東西
[27:58] 對就是說
[27:59] 他是撿股票嗎
[28:00] 他就會買東西
[28:02] 因為他
[28:03] 他現在是屬於逢高撿馬派
[28:04] 所以他手上是現金比較多
[28:06] 那他的意思是說
[28:07] 他還是看好後市
[28:08] 對所以他會覺得
[28:09] 如果接下來三天是大跌盤
[28:11] 他反而會樂於
[28:13] 在長假來之前
[28:14] 先撿東西
[28:15] 就每個人有自己的想法
[28:16] 風關前兩天怎麼操作
[28:17] 我們今晚上打人秀跟大家
[28:19] 請他晚上來看打人秀
[28:21] 我覺得最重要的是
[28:22] 例如說你們很喜歡凱哥的話
[28:24] 那凱哥的方式
[28:25] 對不對
[28:26] 因為我常常講
[28:26] 我們每一個人的條件
[28:28] 千奇百怪
[28:29] 各種人都不一樣
[28:30] 對不對
[28:30] 但是因為達人有很多種模板
[28:32] 例如說朱老師
[28:34] 永遠都會告訴你
[28:34] 你不要讓自己被套牢
[28:36] 所以只要破這個五日線
[28:38] 你這個股票已經漲一段
[28:39] 他都會建議你先走
[28:39] 管他後面有沒有什麼低軌衛星
[28:41] 管他後面載板有沒有產能緊缺
[28:43] 我管你
[28:43] 我現在破了線我就走
[28:45] 很簡單
[28:46] 對他來說
[28:46] 他的人生很乾淨
[28:48] 就是如果你聽我這套
[28:49] 那就是這套這樣
[28:50] 但是也會有很細膩
[28:52] 像凱哥就是細膩型的
[28:54] 他會觀察籌碼形態
[28:56] 但是他也會加入
[28:57] 對產業的觀察
[28:58] 所以對他來說
[28:59] 能夠掌握到
[28:59] 這個好像有一點超跌
[29:01] 這個的味道
[29:02] 他就會格外的敏感
[29:03] 那如果你是喜歡凱哥的
[29:05] 凱哥至少會用
[29:06] 所謂的大量中值
[29:07] 等等這些形態
[29:08] 來作為輔助
[29:09] 籌碼的變化來作為輔助
[29:11] 那就要練習凱歌這一套
[29:14] 那造法這套就小複雜
[29:15] 但是說實話也不復雜
[29:16] 就你不會做決定的時候
[29:18] 你就讓ETF去決定
[29:19] 因為我聽到了很多門派
[29:22] 那大家也知道說
[29:23] 很不好意思
[29:23] 我這個人雜學
[29:24] 就是大家都覺得好有道理
[29:26] 我又幸運
[29:27] 例如說我就跟凱歌
[29:28] 直接問說
[29:29] 我今天要買列印材
[29:30] 假設啦
[29:31] 我比較幸運嘛
[29:33] 當然也不是真的
[29:33] 就是這樣開口生手牌
[29:35] 不是啦
[29:35] 我自己也會有一個study
[29:37] 對 還有自己的想法
[29:37] 對
[29:38] 所以我找很多人來聊的時候
[29:40] 像明翰協理
[29:42] 他就很簡單
[29:42] 他就是AI的信仰者
[29:44] 所以只要跌深
[29:46] 或跌到月線
[29:47] 他也會認為
[29:48] 那就是那幾檔
[29:49] 他講的AI一線君
[29:50] 他覺得還是很好
[29:51] 所以你可以按照你的個性
[29:54] 你的生活環境
[29:54] 你的條件
[29:55] 你的資產配置的狀況
[29:56] 去跟隨你比較喜歡的
[29:58] 那一位達人的想法
[29:59] 這就是這個節目
[30:01] 我希望可以帶給大家的
[30:02] 並不是說
[30:03] 你聽這個節目
[30:03] 就只能買什麼
[30:05] 對
[30:05] 但是有沒有能夠
[30:07] 培養出你的邏輯
[30:08] 是我最在意的
[30:09] 對
[30:09] 對
[30:09] 大家不要太擔心
[30:10] 今天你可以看出來
[30:11] 政府很認真在護盤
[30:13] 你看今天盤中老AI就拉起來
[30:15] 老AI就拉了
[30:16] 對
[30:16] 就是政府那隻手在裡面
[30:18] 對
[30:19] 這就要問你了
[30:19] 政府之心在這段時間
[30:21] 到底會怎麼做
[30:22] 一定是認真護盤
[30:23] 是
[30:23] 對
[30:23] 再加上我們又跟對岸
[30:25] 把話講這麼的硬
[30:26] 對不對
[30:27] 當然是要護盤
[30:27] 護盤
[30:28] 護盤
[30:28] 對
[30:29] 大家安心過年
[30:31] 對
[30:31] 所以大家
[30:33] 當然我覺得
[30:34] 我自己觀察最大的變數
[30:36] 可能還是美國
[30:37] 到底對於這一次
[30:39] 大家在撒錢卻不領情
[30:41] 這個心情會擴散到什麼程度
[30:44] 因為不管怎麼說
[30:45] 我們怎麼看好
[30:46] 市場是不是來到了
[30:47] 歷史高點的附近
[30:48] 是歷史高點一直往上噴
[30:51] 我們一月就漲了十幾趴
[30:53] 那你一月漲了十幾趴
[30:54] 你二月突一點回來
[30:55] 真的還好啦
[30:56] 就是怕大家
[30:57] 就是在party最熱的時候衝進來
[31:00] 所以就會有一點回檔的時候
[31:01] 壓力又格外的沉重
[31:03] 而美國
[31:04] 我覺得這個確實
[31:05] 如果他們的政央擴大
[31:07] 但是我的個人心情是這樣
[31:08] 我覺得AI這件事情是絕對絕對會繼續往下
[31:12] 而川普也不會希望美股崩盤的
[31:14] 對所以
[31:15] 但他最近講一個比特幣的事情
[31:17] 我們不管
[31:17] 哇比特幣跌到6萬多塊錢
[31:20] 好等一下再來聊這個
[31:21] 那所以只要今天這個AI的疑慮有點擴大
[31:24] 而跌幅真的加重的時候
[31:26] 我覺得到時真的是一個
[31:28] 到處都會有比較便宜股票的好機會
[31:30] 要掌握
[31:31] 而不是說我們進入到空頭迴圈
[31:34] 真的進入到空頭迴圈
[31:36] 會有一些更多的總經面上的問題
[31:38] 會出現
[31:39] 到時候會跟大家分享
[31:40] 沒錯
[31:41] 那凱哥的話
[31:42] 就會覺得在年前
[31:44] 對不對
[31:44] 做好的配置
[31:45] 你要放達林秀嗎
[31:46] 你不要這樣
[31:46] 古惑仔也稍微建議一下
[31:48] 我個人覺得
[31:50] 就是如果是我們個人的操作
[31:52] 我覺得你就是
[31:53] 至少是五成的部位
[31:54] 在這個市場裡面
[31:55] 因為這行情目前看起來
[31:57] 並沒有明顯的結束
[31:58] 我剛剛講了
[31:59] 新貴股還在創新高
[32:00] 就跟你說
[32:01] 這盤基本上沒有太大問題
[32:02] 只是大家就是急著要先
[32:04] 獲利去過年了
[32:06] 那我們一般的操作上面
[32:09] 我剛剛講了
[32:10] 品種已經在退了
[32:11] 但它最近這兩天也在減了
[32:12] 所以你最安全的買點
[32:14] 應該其實我講了
[32:15] 其實就是今天
[32:16] 但今天大家都不敢出手
[32:18] 所以最好的買點
[32:19] 會在下週的二跟三
[32:21] 因為該出場的都出場了
[32:23] 該留下來的
[32:25] 基本上它也不會有太大的動作
[32:26] 所以我覺得下週的二跟三
[32:29] 反而是年前
[32:31] 看好買定離手的一個操作模式
[32:35] 那現在的話
[32:36] 大家要注意
[32:37] 一月營收陸續出爐
[32:38] 我這邊也跟凱哥更新一下
[32:40] 新興一有
[32:40] 一月營收出爐了
[32:41] 127.67億元
[32:43] 是史上第三高
[32:44] 年增34.48%
[32:46] 還可以
[32:47] 實權是34.91億元
[32:51] 年增1.12%
[32:52] 這是歷史次高
[32:54] 所以就沒有再創新高
[32:56] 然後旺宏
[32:57] 30.17億元
[32:58] 年增率51.41%
[33:00] 月增率14.61%
[33:02] 是有成長
[33:03] 大概這個成績你覺得如何
[33:06] 我覺得旺宏沒有什麼疑慮
[33:08] 因為Flash現在就是價格在往上漲
[33:10] 只是說因為畢竟大家會把它當作記憶體的一部分
[33:13] 所以其實旺宏它不是DRAM
[33:16] 它其實是Flash
[33:17] 但是市場就是這樣
[33:19] 就是當DRAM的氣氛不好的時候
[33:21] Flash的氣氛也不會太好
[33:22] 它就會被拖累
[33:24] 所以理論上應該是
[33:27] 這時候是減碼一點DRAM
[33:29] 加碼Flash
[33:30] 可是你要看
[33:31] 整個大的記憶體的氛圍怎麼樣
[33:33] 如果大記憶體都是跌五六趴
[33:36] 我覺得Flash不會太好
[33:39] 也會被拖累
[33:40] 所以我覺得如果就這個角度來看
[33:42] 基本上Flash你不要壓重
[33:44] 這樣相對會比較好
[33:46] 還有就是
[33:47] 雖然美國對於這些大型公司
[33:49] 付出的錢能不能回收很有疑慮
[33:51] 但還是要強調一件事情
[33:52] 他們的付出的錢會跑到哪裡去呢
[33:55] 會跑到臺灣廠商的手裡面來
[33:57] 凱哥常常講
[33:58] 大家去開飲料店去開餐廳吧
[33:59] 我們做杯子的
[34:00] 我們做碗盤的
[34:02] 我們就越賣越多
[34:03] 你這個餐廳沒有開起來倒了
[34:04] 沒關係
[34:05] 別人有在開
[34:06] 別人也要買器具
[34:07] 我們是負責賣器具的地方
[34:09] 所以為什麼臺股
[34:11] 你也可以說
[34:12] 看到資本支出
[34:13] 我們還是高興的
[34:14] 對
[34:14] 所以又拉角了
[34:16] 那就好像臺積電只要擴廠
[34:17] 那些資本支出廠
[34:18] 鼓掌鼓掌
[34:19] 壓力給你臺積電扛
[34:22] 你的毛利率如何維護給你扛
[34:24] 但是裝置你要叫跟我買
[34:25] 所以他今天說要去日本
[34:26] 要從6奈米提升到3奈米
[34:28] 鼓掌鼓掌鼓掌
[34:29] 對
[34:30] 很棒
[34:30] 所以大家在這個
[34:32] 整體的思考上
[34:33] 目前確實是
[34:34] 不用太悲觀
[34:35] 但是自己如果會在
[34:37] 這樣的風浪裡面擔心的
[34:39] 也是要怎麼持銀保泰
[34:41] 自己要做好分配
[34:42] 那我這邊再念一則
[34:43] 因為最近有念
[34:43] 沒念好像覺得不是很公平
[34:45] 這位朋友
[34:46] 他是很長期支援我們的
[34:47] 有時候我們有實體講座
[34:48] 也會來
[34:49] 他現在也在唸EMB
[34:51] 在交大吧
[34:52] 我記得
[34:52] 他說謝謝趙華學姐
[34:54] 沒有成為你真正的學姐
[34:56] 不過還是覺得
[34:58] 你也是一個很堅持的人
[34:59] 他說這麼多年看下來
[35:01] 你真的是我看過
[35:02] 我最認真最堅持
[35:03] 最嚴格把關內容品質的CEO
[35:06] 我覺得早已經超過主持人的範疇
[35:08] 看到你密集的節目跟活動安排
[35:10] 真的佩服你的血量
[35:11] 跟行動力都滿滿
[35:12] 他說是我七年的老觀眾
[35:14] 然後很感謝市場波動時
[35:16] 總是第一線提醒
[35:17] 也穩住大家的軍心
[35:19] 他想許個願
[35:20] 希望我能多安排假期
[35:22] 好好休息
[35:23] 照顧身體健康
[35:24] 真的啦
[35:25] 就是大家如果這個年假也去
[35:28] 像我有安排這個全身健康檢查了
[35:30] 我已經很多年沒有檢查了
[35:32] 那我希望檢查出來當然是沒事
[35:34] 都會覺得人都很那種苟且偷生
[35:37] 就會覺得沒檢查沒事
[35:38] 會不會也有檢查就有很多事
[35:40] 但是該檢查了
[35:41] 因為今天可能大家不見得會看得到
[35:43] 就是我的眼睛
[35:44] 其實出現了那一個
[35:46] 應該蠻多人得過
[35:47] 就是我的那個微血管破裂
[35:49] 所以我現在的右眼
[35:50] 有一半的眼白是變紅了
[35:53] 對
[35:53] 不過電視上看的不是很清楚
[35:55] 我這樣講會晚上就大家放大來看
[35:57] 但我自己覺得有收到警訊
[36:00] 因為我這個禮拜為了錄一些春檔
[36:02] 什麼真的是每天都忙到很晚
[36:03] 然後有一些廠商會希望我可以幫忙
[36:06] 講一些東西
[36:06] 我都直接說真的我沒有時間了
[36:08] 對
[36:09] 所以我覺得可能自己心裡面的壓力
[36:11] 以及在行情裡面
[36:12] 最近大家問的問題真的非常多
[36:14] 我自己心裡面的壓力等等的
[36:16] 所以我的眼睛是第一次出現
[36:18] 這個微血管破裂
[36:20] 就是我也覺得有點可怕
[36:22] 那幸好我已經排了健康檢查
[36:24] 就一併去檢查一下
[36:25] 所以大家在年關前
[36:27] 除了關注股票之外
[36:28] 也要關注自己的健康
[36:30] 聽說下禮拜會變冷
[36:31] 忽然間的變冷
[36:33] 也是一個健康的殺手
[36:35] 所以希望大家都平平安安
[36:37] 健健康康的
[36:37] 好
[36:38] 那我們就跟
[36:40] 到節目的尾端了
[36:41] 因為凱哥下禮拜
[36:42] 可是我下禮拜不知道有沒有要錄
[36:44] 我不確定
[36:45] 好像有2月10號
[36:47] 是
[36:47] 凱哥下禮拜還會繼續來
[36:49] 所以沒有要道別的意思
[36:51] 就是先暫時
[36:52] 對
[36:52] 不能先跟大家住
[36:54] 馬年
[36:55] 下禮拜再來
[36:57] 大家週末要放鬆
[37:00] 愉快一下
[37:00] 大家拜拜
