[00:00] 欢迎收听赵华与古货在地1096集
[23:06] 而对我们有带动吗
[23:07] 那这家公司你觉得问题是出在哪连遥时金谱的加持好像都拉不上去首先我觉得因为现在真的太多太多人大家呢都是在关注瑶池金母
[23:20] 就是00981A
[23:22] 每天他的进出名系
[23:24] 新买了什么
[23:25] 市场一览无遗
[23:27] 那很多的网络社群
[23:29] 然后财经媒体都会报道
[23:32] 对所以大家应该都知道
[23:34] 那有时候通常一个这么这么透明的筹码
[23:37] 而且影响力非常巨大
[23:39] 除了他本身的基金规模
[23:41] 已经大约将近2800亿
[23:42] 他的影响力很大之外
[23:43] 更重要的是
[23:44] 因为这么多人在看
[23:45] 所以后面牵动的资金跟筹码
[23:48] 我觉得那个力量也是非常可观的
[23:50] 那我们就会合理开始怀疑
[23:52] 会不会就是有心人士
[23:55] 比如说当冲或隔日冲的主力大户
[23:58] 他就反群众心理来做一些操作了
[24:01] 因为既然大家看了
[24:03] 姚石金母去买华通
[24:05] 那会不会就想说
[24:07] 他昨天买
[24:08] 那我今天买的话还来得及
[24:10] 没有差太远
[24:11] 赶快跟
[24:12] 那这样子来讲的话呢
[24:13] 有些主力大户可能就会趁机呢
[24:15] 他如果本来手上就有华通
[24:17] 他可能就可以倒出来
[24:18] 或他本来没有手上没有
[24:20] 他也可以呢
[24:21] 先炫空
[24:22] 那再去做回补
[24:24] 所以我觉得
[24:25] 最近看到几档
[24:27] 瑶池金母去做新增
[24:30] 或者加码买进的标的
[24:32] 我觉得都有一点
[24:33] 在短时间可能会先
[24:34] 跟大家预期的方向会相反
[24:37] 包括刚才前面讲到像8150南茂
[24:39] 他刚买完
[24:40] 结果呢
[24:41] 当天很强
[24:42] 隔天呢立刻就转落了
[24:44] 那我觉得会不会就是有人借机卖出
[24:46] 这个当然我们还要有待追踪
[24:48] 不过也提醒大家
[24:49] 所以其实市场上再厉害的经理呢
[24:52] 也不可能说
[24:53] 他的每一档持股
[24:55] 胜率百分之百
[24:56] 然后每一次的进出都是完美无瑕
[24:58] 包括最近他对于鸿海的操作
[25:01] 我觉得其实也算是
[25:03] 短线蛮快速的
[25:05] 买进之后没多久就卖出了
[25:07] 那至于华通的部分
[25:08] 或整个低轨卫星来看
[25:09] 我觉得也许华通呢
[25:11] 是在整个低轨卫星族群里面
[25:15] 他的交易一直都算是相对很热络的
[25:18] 所以表现也是还蛮极端
[25:22] 蛮活泼的
[25:23] 像昨天也是大涨
[25:24] 然后但今天马上就大跌了
[25:26] 但这可能应该都没有
[25:27] 跟他的基本面有什么明显的改变
[25:30] 因为你不可能说
[25:31] 昨天是因为基本面很强
[25:33] 今天基本面很差
[25:34] 那华通主要还是在两个大方向
[25:36] 一个就是在于天上卫星版
[25:39] 它市占率九成以上
[25:40] 这个是属于高门槛的
[25:43] 那又是属于相对高单价的产品
[25:46] 另外一个部分是在于
[25:48] 它的一个AI的布局发酵
[25:50] 就是在光模块的部分
[25:51] 最近其实从供应链当中
[25:54] 所得到确认是
[25:55] 反而订单还有上修的一个情况
[25:57] 所以在下半年来看
[25:58] 应该没有什么太大的悬念
[26:00] 未来的业绩会比过去
[26:02] 还要来得更强更好
[26:03] 市场法人的一个目标价
[26:06] 上檔空间甚至也有超过300元以上
[26:08] 这都是一个可以参考的方向
[26:10] 那我觉得低轨卫星
[26:12] 其实最近也是稍微在做轮动
[26:13] 一下子是华通长
[26:16] 一下子是申达科
[26:17] 那一下子奇迹
[26:18] 对
[26:19] 但是可能就是
[26:20] 还没有到一个整体性的一起群攻
[26:23] 那或许就要看看
[26:24] 越接近五月
[26:26] 也许下旬会不会SpaceX
[26:28] 它要上市的一个话题会持续在增温
[26:31] 因为毕竟这个挂牌的时间点
[26:33] 预料应该就会是在六月份
[26:35] 6月中旬或下旬
[26:36] 那越靠近
[26:38] 我觉得这个题材有机会增温
[26:39] 不过真正SPAC-S
[26:40] 如果确定IPO之后
[26:42] 反倒那个时候
[26:43] 可能要小心一次利多的出镜
[26:45] 是
[26:46] 好 因为比较多人问
[26:47] 就帮忙问了一下
[26:49] 那为什么还是
[26:50] 今天只是小蝶呢
[26:51] 因为他也会去加码一些
[26:52] 我觉得算蛮有延续性的
[26:54] 像他昨天也有加码
[26:56] 这个大立光
[26:57] 是新增持股
[26:58] 也有加码新兴
[26:59] 也加码了台积电
[27:01] 台积电条款
[27:02] 这边的话也跟大家做说明
[27:04] 因为上一次我们有特别提到
[27:05] 台积电在主动式的基金
[27:07] 和主动式的ETF上面的上限
[27:10] 对不对
[27:10] 可以开放到25%
[27:12] 也有跟大家分享
[27:13] 不会马上就每一家都变成25%
[27:16] 那这边我们也有跟各个投信
[27:17] 其实有聊过
[27:18] 确实有的投信说
[27:20] 他们会有明显的真实台积电
[27:21] 根据他们基金或ETF的属性
[27:24] 那有一些他们说
[27:25] 可能还是差不多就顶多10%
[27:27] 对
[27:28] 不会因为这个上限打开
[27:29] 就变得买一堆台积电
[27:31] 这个是其一
[27:31] 然后其实是有朋友有私讯说
[27:34] 好像这个条款不用去修改公开说明书
[27:37] 这边也说
[27:37] 只有少数几家投信的商品
[27:40] 他们可能当初在设计的时候
[27:41] 公开说明书里面有一些比较弹性的条款
[27:44] 他们不用修
[27:45] 但是大多数的要修
[27:46] 所以大多数的主动式ETF跟基金
[27:50] 目前他们还是面临到内部正在修改公开说明书
[27:54] 跟一些买股的流程等等的
[27:57] 不会现在就有钱马上可以大买台积电
[28:00] 这边的话也跟大家再补充做个说明
[28:02] 所以大家各家修好时间都不一样
[28:06] 所以我也不知道哪一家会先修好
[28:07] 但是有人会真的说它会明显的增加
[28:10] 有人就说不会
[28:11] 这也是市场上的一个
[28:13] 帮大家来问来的一个情况
[28:15] 也让大家做一点分享
[28:17] 好 我要讲的是
[28:18] 981A它有加码到会大涨的
[28:21] 今天也很抗跌的
[28:22] 但也有加码到
[28:23] 可能今天就表现不如预期的
[28:24] 那它的同门师兄弟就是403A
[28:26] 昨天是市场上重中之重
[28:29] 暴巨量对不对
[28:30] 然后又大溢价5.2%
[28:32] 今天溢价收敛了
[28:34] 希望大家不要太失望
[28:35] 虽然中场我们看到
[28:37] 那个溢价幅度还是有一点点
[28:38] 但是至少把这个超涨的部分
[28:40] 先收敛回来是一个好事情
[28:42] 那昨天就有买建策
[28:44] 今天建策就让他
[28:46] 直接吃一根底停板
[28:47] 所以让他也是有一点点压力
[28:48] 不过他钱还没有买满
[28:50] 所以都还有机会做调整
[28:51] 如果以短线来说
[28:53] 昨天追高的朋友
[28:54] 也不要太紧张
[28:56] 就是如果你是一个
[28:58] 长期计划的话
[28:59] 你就用时间
[29:00] 去摊平你的成本
[29:01] 我觉得那个
[29:01] 还是问题不大
[29:02] 但如果是参与
[29:03] 募集的朋友
[29:04] 其实昨天看到
[29:05] 溢价
[29:06] 他会真的很想卖
[29:07] 因为像我自己
[29:08] 我有很多的00830
[29:10] 常跟大家分享过
[29:11] 他也非常喜欢
[29:11] 这就要讲了
[29:12] 好几年了
[29:13] 他今年也出现过
[29:14] 超级大溢价
[29:15] 就是因为他的配息
[29:16] 配得太好了
[29:17] 把价差拿出来配
[29:19] 就那天就超级大溢价
[29:20] 超级大溢价
[29:21] 可能我记得有7、8%
[29:23] 然后我就想
[29:24] 还是6%
[29:25] 我就想
[29:25] 我抱了那么久
[29:27] 我要这个时候因为溢价卖掉
[29:29] 后来我没卖
[29:30] 没卖有一点小那个
[29:32] 因为他后来回跌好几天
[29:33] 就收敛那个溢价
[29:34] 那现在又创新高了
[29:36] 所以看大家想的是短还是长
[29:38] 可以去做一些自己认为好的调度
[29:41] 那如果昨天真的买贵了
[29:42] 而你是长期像昨天就不肯卖
[29:45] 或昨天就不明就里的买了
[29:47] 那你的计划可能就要拉长一点
[29:49] 其实昨天的403A之乱
[29:52] 这个应该又是再一次看到
[29:56] 可能有很多股市的新手
[29:58] 是
[29:59] 那因为可能听说
[30:01] 这个统一所发的ETF都很厉害
[30:04] 很会赚钱
[30:04] 然后甚至有人可能
[30:06] 甚至以为它是
[30:08] 有点像无风险
[30:09] 是
[30:09] 可能就跳进去了
[30:11] 所以才会再一次出现
[30:12] 就是说
[30:13] 这个溢价之高的一个情况
[30:15] 我想这个
[30:16] 大部分我们Podcast的听众
[30:18] 其实大家都
[30:19] 都是非常有经验的
[30:21] 应该吧
[30:21] 对
[30:22] 所以大家已经
[30:22] 昨天没有人跟我哀嚎
[30:23] 对ETF都非常清楚
[30:25] 一定要先看这个溢价率的一个关系
[30:28] 但是市场上可能还是有很多很多
[30:30] 将来这个造华潜在的Package的听众
[30:34] 表示他们还没有吸收到足够的一个知识跟观念
[30:38] 那我个人是没有去参与这个00403A的募集
[30:43] 但如果假设是我当初10块买的话
[30:46] 昨天一挂牌
[30:46] 这个溢价率盘中剩超过7%
[30:49] 我一定是卖的
[30:50] 因为这个溢价
[30:51] 如果是超过这种什么3%
[30:54] 5%
[30:54] 7%
[30:56] 跟大家保证
[30:57] 他一定会收敛的
[30:58] 只是用多快的时间
[31:00] 有些可能几分钟收敛
[31:02] 有些可能要花个一两天
[31:03] 但是他一定会收敛
[31:05] 所以如果真的
[31:05] 就算我长期看
[31:07] 我会把它当做
[31:08] 中奖了
[31:09] 卖掉
[31:09] 再把它重新买回来
[31:11] 但是我觉得平行而论
[31:13] 因为当时在募集的时候
[31:15] 网路各大社群讨论版
[31:18] 都是把这个00403A跟00981A
[31:22] 放在一起去做比较
[31:23] 可是其实呢
[31:24] 我觉得这两档
[31:25] 它并不是完全相同的一个
[31:28] 操作属性跟产品
[31:30] 所以未来的机架能不能完全复制
[31:33] 或者走出一样这种
[31:35] 惊人的翻倍模式
[31:36] 不确定
[31:37] 但是毕竟呢
[31:38] 大家一定要知道一件事情就是说
[31:40] 981A它是锁定在市值前300大
[31:44] 那403A它锁定的是市值前200大
[31:48] 那光这200大跟300大
[31:50] 后面那100就表示呢
[31:52] 我的股性可能就更活泼了
[31:55] 可以有更多的中小型股来挹注绩效
[31:58] 所以就合理的理论上面来讲的话
[32:01] 我觉得981A的绩效应该会更亮眼
[32:05] 应该是也是合理的
[32:06] 那403A就看经理人怎么去炒出这一盘菜
[32:10] 是
[32:10] 好他昨天403A有买红镜啦
[32:13] 所以也是啦
[32:14] 就是其实主动CTF的好处
[32:15] 就是他们可以灵活换股之外
[32:17] 他们的选股的组合
[32:19] 就是刚刚讲的
[32:20] 会有互相抵消
[32:21] 那上涨的时候
[32:22] 如果刚好今天是个百花齐放
[32:24] 那这个效益就会变得很显著啦
[32:26] 好到底要老牌的
[32:27] 还是新出来的
[32:28] 我觉得都是让他们跑一下
[32:30] 再怎么老牌才一年
[32:31] 主动CTF在台湾的资历
[32:34] 真的是非常的少
[32:35] 就是一年就算是老牌了
[32:38] 但是还是在多给他们
[32:39] 一点时间考验的状态
[32:42] 因为目前几乎全员
[32:44] 如果是诉求在绩效上的主动ETF
[32:46] 是赢大盘的
[32:47] 几乎全员
[32:48] 可是还没有历经过空头
[32:50] 我们这一波就是大多头
[32:52] 大多头你赢大盘是合理的
[32:54] 可是如果接下来
[32:55] 真的遇到黑天鹅了
[32:56] 遇到震荡了
[32:57] 或者是说像今年真的涨很多
[32:59] 明年就算有成长
[33:00] 可能成长的性也会变得比较低
[33:02] 因为今年的基期又更高了
[33:04] 诸如此类出现比较明显回档的时候
[33:07] 那才是考验的开始
[33:08] 对因为跌得下去也要涨得回来
[33:11] 而大盘的话
[33:12] 因为我们会有非常多不同的全职股
[33:14] 尤其是像台移电的业绩非常的稳健
[33:16] 在做撑盘
[33:17] 所以这时候大盘的好处就会出来
[33:19] 那刚好最近可能真的
[33:21] 大家不管有没有投入到股市的
[33:24] 都很希望用一种
[33:26] 现在还能长期投资的角度来询问
[33:29] 那刚好今天威良在
[33:31] 也有这个听众朋友
[33:32] 听起来是刚想要参与股市
[33:35] 刚想要在四万两千点附近参与股市
[33:38] 因为他有说
[33:39] 他听了我们的那个podcast一段时间
[33:42] 他觉得应该要做长期投资了
[33:45] 所以这人生有趣
[33:47] 我不许讲
[33:49] 随时随地
[33:51] 大家都可以做长期投资
[33:52] 一万点可以
[33:54] 两万点可以
[33:54] 三万点可以
[33:55] 四万点可以
[33:56] 就算是四万点要跌回三万点
[33:58] 三万点要跌回两万点
[33:58] 还是可以
[33:59] 因为你是用长期来平滑
[34:02] 你的风险跟成本
[34:04] 所以选的标的相对是比较重要的
[34:07] 如果是个股我不敢说
[34:09] 因为我举一个例子
[34:11] 我忘了是不是在股货展
[34:13] 还是在跟阿格力聊天的时候
[34:14] 有举过一个例子
[34:15] 有一家最近股价涨很多的上市公司
[34:19] 里面有一些高层就决定要离职了
[34:22] 因为他们这辈子
[34:23] 没有看过股票涨那么多的
[34:25] 那他如果不离职了
[34:26] 卖股票要申报
[34:27] 其实挺麻烦的
[34:28] 也绝对老板不好意思
[34:30] 所以干脆就
[34:31] 反正一辈子的财富已经赚到了
[34:33] 就绕跑了嘛
[34:34] 就离职了
[34:35] 因为个股他们都会觉得
[34:37] 我都在这家公司
[34:38] 我这辈子没看过这荣景
[34:39] 我现在把它卖掉
[34:40] 所以我不敢说
[34:40] 过了五年十年
[34:42] 他的股价是不是还是这么高
[34:43] 万元的信华
[34:44] 是不是还万元
[34:45] 我不知道
[34:46] 搞不好十万元
[34:47] 搞不好一千元真的不知道所以产品就变得很重要随时可以开始但产品很重要因为他就问现在AI盛行但是起伏又很大AI会适合长期投资吗
[34:59] 自从听了你的节目
[35:00] 对于投资有进一步的了解跟策略
[35:02] 知道了热什么
[35:03] 也知道资金流向
[35:04] 可是内心真的会一直毛毛的
[35:06] 会觉得就能靠AI吗
[35:08] 那是不是科技传产要来配一下
[35:11] 个人潜见是这样
[35:14] 第一个当然AI还会好一阵子
[35:17] 那这个不是我个人的说法
[35:20] 而是我们来自己参考
[35:21] 国内外各大CEO老板们的看法
[35:24] 包括台积电魏哲嘉
[35:25] 或辉达黄仁勋等等
[35:26] 所以AI目前应该还是在
[35:29] 这个爬坡甚至起始的阶段
[35:31] 所以应该能够在好个五年
[35:33] 或十年都有可能
[35:34] 但是到底是好五年六年
[35:36] 七年八年十年
[35:37] 这我真的不知道
[35:38] 但是终究AI还是有它一天
[35:41] 见到高峰然后转落
[35:42] 但是科技不灭
[35:44] 过去有这个
[35:46] 不管是说元宇宙
[35:48] 或者说像自驾车
[35:49] 电动车
[35:50] 有5G
[35:51] 有6G
[35:52] 现在有AI
[35:53] 那再过十年以后有什么
[35:55] 不知道
[35:55] 但是科技会持续不断的
[35:58] 跟带叠新
[35:59] 所以我觉得要抓住科技
[36:01] 因为那个创新的能量
[36:02] 就是让公司的业绩
[36:04] 股价市值大幅度爆发增长
[36:06] 最重要关键
[36:07] 所以我觉得
[36:08] 如果是要做长期投资的话
[36:10] 透过ETF
[36:12] 确实是首选中的首选
[36:14] 那当然因为ETF
[36:16] 它是一篮子的投资组合
[36:17] 避免就是说你单一个股
[36:20] 确实有一段时间
[36:21] 它非常非常好
[36:22] 可是接下来根本已经
[36:23] 产业发生改变了
[36:24] 一般投资人没有跟得上
[36:26] 就可能变成抱上又抱下
[36:29] 对所以如果透过ETF来做投资
[36:31] 我又有几个不同的想法跟方向
[36:33] 可以做一个组合搭配
[36:35] 那首先我觉得最基本款的
[36:38] 就是买市值型ETF
[36:39] 因为美股的市值型
[36:42] 你要锁定保守一点
[36:44] 就是S&P500指数
[36:45] 这是最能够代表美股大盘的指数
[36:48] 那其实科技股也是自然而然的形成
[36:51] 它目前权重最重的板块
[36:53] 但并不是因为它只买科技
[36:55] 而是这是自然而然
[36:56] 因为科技获利好
[36:57] 那股价高
[36:58] 所以就形成它最重要板块
[37:00] 那如果你觉得说
[37:01] 我可以承担高一点的风险
[37:03] 希望火力再集中一点的话
[37:05] 那我觉得美股当中像纳斯达克
[37:07] 纳斯达克100指数
[37:08] 甚或是像这个费城半导体指数
[37:12] 我觉得就是可以作为一个搭配
[37:14] 比例在于一个人的想法去做一个调整
[37:17] 像我个人就会觉得说
[37:19] 这么多不同世代的AI科技
[37:22] 或者说不同流行的科技
[37:23] 智慧型手机等等
[37:25] 反正从电脑手机到AI时代
[37:28] 其实所有科技全部离不开半导体
[37:31] 所以我个人还蛮喜欢费城半导体指数的
[37:34] 因为它就是网罗的全球最厉害的
[37:37] 这个半导体的公司
[37:38] 包括台积电在内
[37:39] 那回到台股这边来讲的话呢
[37:41] 一样也就是以市值型的
[37:43] 为最重要的基底
[37:44] 那当然就包括像老牌的0050
[37:47] 006、008等等
[37:48] 那再来就是说
[37:50] 刚才讲如果希望报酬益再升级
[37:52] 那其实就仰赖专业的经理了
[37:54] 所以这一年以来
[37:55] 就出现了蛮多的主动式台股ETF
[37:58] 那或许呢
[37:59] 每一个小时期
[38:01] 或每一个中周期
[38:03] 其实流行的这个主流产业不太一样
[38:06] 那到底有时候是要放在CPU多一点
[38:09] 还是记忆体可不可以续报
[38:11] 还是应该要重新转战到散热电源PCB
[38:15] 其实这个就通通
[38:16] 这个专业的明星操办手
[38:18] 他会帮我们去做一个决定
[38:19] 对
[38:20] 我也是觉得刚刚讲个股的话
[38:22] 没有办法跟大家保证
[38:23] 当然可能唯一大家会知道
[38:25] 越叠越满没问题的是台积电
[38:27] 但是台积电它现在是五年的蓝图
[38:29] 再怎么贴嘴我也不敢说
[38:31] 未来五十年都不会改变
[38:34] 但未来五年台积电蓝图已经画出来了
[38:36] 所以我觉得以台积电为核心
[38:37] 也没有什么问题
[38:38] 那市值本来就是
[38:40] 台积电就算是半个核心了
[38:41] 如果你要更多的台积电
[38:43] 可能像0052这类型的
[38:45] 台积电有占了百分之七十几趴的
[38:47] 都是可以考量当作核心的
[38:49] 其实现在要做长期投资
[38:51] 我觉得至少是台美
[38:53] 这两个区域都有部件一些
[38:56] 所以刚刚讲到这个费城半导体
[38:58] 那台湾就是00830嘛
[39:00] 甚至像我自己很喜欢买这个00988
[39:03] 它是投资在美国的标股
[39:06] 所以你也可以七巨头
[39:08] 七巨头你会觉得
[39:08] 去年买七巨头
[39:09] 觉得好闷哦
[39:10] 烂死了
[39:11] 但今年开始
[39:12] 七巨头也是逐步的有表现
[39:14] 陆续有创新高
[39:15] 稳的当然是以巨头型的
[39:17] 那标的也可以配一些
[39:18] 所以我觉得长期投资
[39:20] 没有什么大问题
[39:20] 那我个人啊
[39:21] 我个人的偏好
[39:22] 确实是以科技为主
[39:24] 而且是多年不变
[39:25] 因为我觉得世界
[39:26] 会推进的力量
[39:27] 真的就是科技
[39:28] 这个实在是
[39:30] 这是我的个性
[39:31] 我觉得大家要参考
[39:32] 可以按照大家自己觉得属性
[39:34] 我的个性就是
[39:35] 我在投资股市的部分
[39:37] 我几乎就是常年
[39:39] 多年来就是科技
[39:41] 因为没有科技
[39:42] 这世界可能就不会进步
[39:44] 而世界是永远在追求进步的
[39:45] 所以为什么有一些东西
[39:47] 可以有本梦比
[39:48] 传产就好难有本梦比
[39:49] 就是得沾上梦这件事情
[39:51] 所以长期投资
[39:53] 我个人几乎是
[39:54] 90%都在科技股里面
[39:56] 可是我又很保守的
[39:58] 我有配了一些债券
[39:59] 债券就是我的一个
[40:00] 算是下档的
[40:02] 你说一个厚厚的垫子也好
[40:04] 这也很看个人
[40:05] 我常常讲
[40:06] 如果你希望债券跑得跟股票一样
[40:07] 你千万不要配债券
[40:08] 会把这个东西骂到烂掉
[40:10] 而且今年又不会
[40:11] 目前看来不会降息
[40:13] 你抱它就只有息而已
[40:15] 没有别的好处了
[40:16] 或者是抱它
[40:17] 你就只有在大盘
[40:18] 真的不是一千点
[40:19] 可能是跌一万点的时候
[40:21] 你会特别有感觉
[40:21] 就这样子
[40:22] 所以我今年也有把部分债券的钱
[40:25] 抽出来到所谓的ETF上面
[40:28] 那我就是选主动的
[40:29] 那如果今天开始是要做长期投资
[40:31] 我觉得第一个要建立的核心
[40:33] 一定是市值
[40:34] 台美市值都可以
[40:35] 台美像美国就是有什么QQQ
[40:38] 对应台湾也有相对应的ETF
[40:40] 台湾有费办的ETF
[40:42] 也有纳斯达克的ETF
[40:44] 也有标普500的ETF
[40:46] 所以你也可以用台币
[40:47] 买到美国的指数
[40:49] 然后我觉得台湾指数
[40:50] 跟美国指数加在一起
[40:52] 做一个核心之后
[40:53] 旁边卫星就看个人
[40:54] 如果你喜欢的是一些基优传产
[40:57] 觉得他们只是没有涨
[40:58] 那去找那些
[41:00] 可能有一些高息低颇
[41:01] 它里面就会有
[41:03] 比较多的机油产产
[41:04] 那我也很认同
[41:05] 威良讲的
[41:06] 其实如果有一天
[41:07] 世界改变了
[41:08] 例如说要防御了
[41:10] 我有看到主动CTF
[41:11] 在三月的时候
[41:12] 有一些例如说
[41:13] 现金就会增加比较多
[41:14] 或是有一些
[41:15] 他真的就会去买
[41:16] 什么中华电信
[41:17] 对
[41:18] 他们也会去
[41:19] 随时做一些防御
[41:20] 或者是有一天
[41:21] 哎呀
[41:21] 今天真的叫做
[41:22] 传产原物料大行情来咯
[41:24] 我猜他们会转向
[41:26] 所以有时候
[41:27] 看他们的进出
[41:27] 目前都还是AI股进进出出
[41:29] 可是搞不好以后你就会看到
[41:31] 没想到这个基优传达台数世宝
[41:33] 也会进进出出
[41:34] 他们去帮我们抓风向
[41:36] 我觉得这个问题倒不大
[41:38] 但是因为主动市的才出现一年
[41:40] 还需要多一点的时间考验是真的
[41:42] 其实我在还没进头股之前
[41:45] 就有帮自己还有家人小朋友
[41:48] 都有做一些个股的存股
[41:50] 但是这几年我陆陆续续在减少
[41:53] 就是不管是获利的或者是也有亏损的
[41:56] 陆续来减少
[41:57] 都是慢慢把它转向ETF
[41:59] 就是因为我发现就是
[42:00] 产业变化大
[42:01] 然后个股呢
[42:02] 真的是要呢
[42:03] 经常去做一个追踪
[42:06] 回头去做检视
[42:07] 其实我长期持有的存股里面
[42:09] 像科技股
[42:10] 让我炫耀一下
[42:11] 也有呢
[42:12] 买过那种
[42:12] 像秦城啊
[42:14] 做饥渴的810秦城
[42:15] 七十几块钱买的
[42:17] 那一路都没有卖掉
[42:19] 到现在
[42:19] 到现在都没有卖掉
[42:20] 那不就已经
[42:21] 差不多有二十倍了
[42:22] 对啊
[42:23] 那你的
[42:24] 现在你库存你的报酬率
[42:26] 远赢我
[42:27] 我里面最高的只有500%
[42:29] 但是呢
[42:30] 大家听了也不用太羡慕
[42:32] 就是我的存股里面呢
[42:33] 也有那种腰斩的
[42:34] 就是我发现就是说
[42:36] 我可能没有那么多的心力
[42:38] 这个每一档都把它顾得很好
[42:39] 所以平常都是在服务我的客户
[42:42] 所以呢我去买ETF
[42:43] 我就会换个想法
[42:45] 我也让这些呢
[42:46] 专业的明星的操盘手来服务我
[42:49] 所以我觉得买ETF就是一篮子组合
[42:52] 而且主动式的
[42:53] 他们自然会去决定
[42:54] 什么时候只能主流的板块再换了
[42:57] 哪些个股已经超涨高估了
[42:59] 反正留给他们去做烦恼
[43:00] 所以我自己的比例上面
[43:01] 也慢慢就是说
[43:02] 有一些个股
[43:04] 不管是赚钱或赔钱
[43:05] 我慢慢在做减少降低
[43:07] 然后移到ETF
[43:08] 那另外来讲的话
[43:10] 刚才讲如果你是要配置像
[43:11] 0050这种四指型ETF的话
[43:13] 那真的不要纠结在说
[43:16] 四万点现在才起步
[43:18] 我会不会马上变成割韭菜
[43:19] 那我给大家一个
[43:21] 以过去数据回测
[43:23] 百分之百必胜的方法
[43:24] 就是呢
[43:25] 0050你想到了
[43:26] 就随时开始启动定期定额
[43:28] 但是请你一旦开始扣款之后呢
[43:30] 一定要扣满六年以上
[43:33] 每个月扣一次都不能停
[43:35] 不管大涨大跌你都不能停
[43:37] 扣满六年之后
[43:39] 你的获利几率是百分之百
[43:41] 但是那是过去哦
[43:43] 未来我不敢百分之百跟大家保证
[43:44] 但是我们从2003年6月0050
[43:47] 成立以来回测
[43:48] 你在任何一个时间点
[43:49] 启动定期定额
[43:50] 只要扣满六年
[43:51] 所有人都会是赚钱
[43:53] 胜率百分之百
[43:53] 好 当然如果你要手动
[43:55] 像例如有遇到大跌的时候
[43:57] 3月不就大跌了吗
[43:58] 去年12月其实也遇过一次回荡
[44:00] 这时候如果你愿意再单笔加码的话
[44:02] 效益一定会更加的显著
[44:04] 但是我觉得威良很厉害
[44:06] 威良是我身边所有
[44:07] 就是我们会有一些达人有分类
[44:09] 例如说专门讲ETF的会有一些达人
[44:11] 对不对
[44:12] 那威良是属于在股市里面的操盘高手
[44:15] 但是非常会讲ETF
[44:17] 超级强 观念也超级清楚
[44:20] 因为威良最早的话就待过
[44:21] 发行台湾第一档ETF的投信
[44:24] 保来投信
[44:25] 也就是现在的元大
[44:26] 也就是被元大并走了
[44:28] 但是第一档ETF是保来投信发的
[44:30] 不是元大
[44:31] 是元大并了保来
[44:32] 对
[44:32] 所以每次听欧阳讲ETF
[44:34] 我都觉得很过瘾
[44:35] 很有以前那一种
[44:36] 我们讲基金的规则
[44:37] 或者是后来变成大家封ETF
[44:40] 规模比基金大很多
[44:41] 但规则有时候是类似的
[44:43] 基金也是定期定额
[44:44] 你用一个周期六年
[44:45] 刚刚讲的平滑你的成本
[44:47] 跟平滑你的风险
[44:48] 当然产品很重要
[44:49] 有一些东西真的是一去不回头
[44:51] 那债券型的不适合定期定额
[44:54] 债券型的完全是要看
[44:55] 基本利率的状况
[44:56] 也不见得适合每个人
[44:58] 尤其是在股市大涨的时候
[45:00] 大家容易FOMO
[45:01] 还不如就是从
[45:02] 因为我想绝大多数的人
[45:04] 少部分的人可能就是
[45:05] 我退休了
[45:06] 我只要稳定的离席就好了
[45:07] 但大部分的人可能还是希望
[45:08] 我在绩效上面
[45:09] 不要输人家太多
[45:10] 所以至少做到跟随大盘
[45:12] 我觉得这个很重要
[45:13] 那大盘也是我们唯一
[45:15] 比较能够保证
[45:16] 你用一个长时间
[45:17] 可以换来报酬的东西
[45:19] 所有的个股
[45:20] 甚至现在很厉害的
[45:21] 主动型ETF
[45:22] 我们都没有办法
[45:22] 跟大家很肯定的保证
[45:24] 它能跑到最后
[45:25] 对
[45:25] 不过台股是个很有趣的市场
[45:28] 我觉得
[45:28] 我们的经纪经理人
[45:30] 相对于去抄海外的东西
[45:32] 对于我们台股的掌握度
[45:34] 我觉得是厉害的
[45:35] 我觉得是厉害
[45:36] 尤其是现在
[45:37] 虽然叫做
[45:38] 主动式ETF的元年档数
[45:40] 看起来多
[45:41] 但是你跟基金比起来
[45:42] 是少的
[45:43] 我觉得现在是精锐进出
[45:44] 就这一批肯定是
[45:46] 当年发基金厉害的人
[45:48] 才敢在这一波
[45:49] 赶快去做这个主动ETF
[45:51] 所以我觉得这一批的精英们
[45:53] 精英操盘手们
[45:55] 我们是可以看得他们
[45:56] 对他们有所期待的
[45:57] 没错
[45:57] 那今天很谢谢微良
[45:59] 也希望大家知道
[46:01] 最近台股还是一个很强势的状况下
[46:03] 即使您要做长期投资
[46:05] 不要害怕
[46:06] 但是你要记得坚持下去
[46:08] 选对产品
[46:10] 用时间平滑成本
[46:12] 遇到大跌
[46:13] 不要惊慌
[46:14] 你的产品是对的时候
[46:15] 那时候就来进行加码就好了
[46:17] 好
[46:17] 我们是幸福的
[46:18] 因为商品很多
[46:19] 那我们今天古货仔
[46:20] 就到这边了
[46:21] 我们下次再会
[46:22] 拜拜
[46:23] 拜拜
