[00:00] 欢迎收听赵华宜股货载第1073集
[23:13] 有没有那么夸张
[23:14] 但现在确实
[23:15] 有时候你一看到
[23:16] 五点结出来的时候
[23:17] 他把昨天买的东西卖了
[23:20] 真的就是这样
[23:21] 隔日充
[23:22] 对
[23:22] 那如果你用跟的
[23:24] 你可能反而是
[23:25] 我看到他买了
[23:26] 那我买一点
[23:26] 结果你就隔天被倒出来
[23:28] 是真的有可能
[23:29] 所以我觉得
[23:30] 与其跟着他们的股票
[23:32] 或者是你本来就看好这个股票
[23:34] 那你要很高兴说
[23:35] 他看上我的股票
[23:36] 对没错
[23:37] 因为像我昨天也是写说
[23:40] 像我的库存可能有封测
[23:42] 这个我已经讲好几天了
[23:43] 不少几天
[23:44] 可能有一两个礼拜以上了
[23:45] 就是高单封测的业绩真的很好
[23:48] 那后来昨天大家就是一个
[23:49] 我讲说昨天不是追进日
[23:51] 昨天是火力展示日
[23:53] 就是你之前布局的
[23:54] 昨天有成果的
[23:55] 可以拿出来跟大家分享
[23:56] 例如说像奇邦
[23:58] 例如说像刚刚讲的
[24:00] 星泉其实也是封测的一环
[24:01] 还有像细格
[24:02] 这些都是
[24:03] 以了解接到蛮多订单的
[24:05] 封测厂商
[24:06] 然后后来就有人留言说
[24:08] 奇邦会涨停
[24:09] 是因为981A有买
[24:10] 但是我不是因为981A有买
[24:12] 我才买他的
[24:12] 早就知道业绩好
[24:14] 就在那边等了
[24:15] 所以他们买是加分
[24:16] 可是你跟他们买就不一定
[24:17] 像今天奇邦就有点跌下来
[24:19] 那等一下我們看一下988是不是有賣
[24:21] 還有一個很有趣的是
[24:24] 你知道台股現在9XX用完了
[24:27] 最後是野村發行的00999A
[24:31] 所以今天有掛牌一檔叫做國泰的是00400A對 就是其實我們代號都是這樣用完了就你看我們第一檔ETF是什麼 0050但是你會發現到現在新的這個ETF
[24:45] 最起碼都是三碼以上
[24:48] 沒有再弄兩碼的
[24:49] 因為兩碼就是用完了
[24:50] 用完了
[24:51] 對 而且就是說會加一個A
[24:53] 就代表它是Active 主動式的
[24:56] 所以這一塊來講的話
[24:57] 你會發現
[24:58] 就為什麼我一開始跟大家分享
[25:01] 就是说其实台股的基金市场
[25:04] 跟ETF是蓬勃发展
[25:05] 很重要的一个原因
[25:06] 好我们刚刚讲的是兴高采烈
[25:08] 但是我也有
[25:09] 昨天也有跟大家分享
[25:11] 也有人在这段时间
[25:13] 虽然我们讲了非常多的策略跟商品
[25:15] 可是可能还是没有赚到钱
[25:17] 不过我还是重申我昨天讲的
[25:19] 我发现我昨天讲的
[25:20] 反而问的当事人可能没听
[25:21] 但是有一些旁边不是当事人
[25:24] 有类似感受的人
[25:25] 都有传讯息回馈说
[25:27] 他们也很感谢
[25:30] 这样我讲都有点不好意思
[25:31] 就是我昨天又碎念的那一段
[25:33] 就是如果你之前的方法
[25:35] 真的都是错的
[25:36] 让你一直赔钱
[25:37] 但没有关系
[25:38] 真的没有关系
[25:40] 因为你有换一些钱回来
[25:42] 你停损
[25:42] 你总是手上还有一些钱
[25:44] 或是你还是有收入
[25:45] 你有在赚钱的话
[25:46] 你就重新开始就好
[25:48] 虽然我们刚刚讲到
[25:49] 主动式的ETF
[25:50] 比主动式的基金可能透明
[25:52] 可是基金还是有好处
[25:53] 基金就是一千两千三千
[25:55] 就可以开始了
[25:56] 而且好的绩效的基金也很多
[25:59] 对
[26:00] 所以如果你是小钱
[26:01] 你会觉得
[26:02] 买一张一万多
[26:03] 两万多
[26:03] 你都觉得有压力
[26:04] 你也可以从基金开始
[26:06] 我刚刚还跟志源哥
[26:07] 有点开玩笑的说
[26:08] 我说其实
[26:09] 如果人家问我感情问题
[26:11] 我觉得比较难解
[26:13] 因为可能
[26:14] 你失去的那个人
[26:15] 他对你的好
[26:16] 或他带给你的快乐
[26:17] 那真的是一个独特性的
[26:19] 我真的不确定
[26:20] 你会不会再遇到一个
[26:21] 你觉得同样满意的人
[26:22] 对
[26:23] 可是在投资路上
[26:24] 我反而觉得
[26:25] 对我来说
[26:26] 解投资的难题是简单的
[26:28] 因为它就是一个方法而已
[26:30] 你的方法本来是不对的
[26:32] 那你就换一个方法
[26:34] 对
[26:34] 你换一个方法
[26:35] 一定会得到比较好的结果
[26:37] 而且用这个稳定的
[26:39] 不管地期定额
[26:40] 市值型什么
[26:40] 稳定的
[26:41] 无趣的
[26:42] 规律的方法
[26:43] 你就可以得到比以前好的成果
[26:45] 对没错
[26:46] 我觉得整理心态是非常重要
[26:48] 其实一开始的时候
[26:49] 我刚跟那个赵华在闲聊
[26:51] 我个人也是提供这样的看法
[26:53] 就是说
[26:53] 假设你是操作个股
[26:56] 然后就觉得不顺
[26:57] 明明多头
[26:58] 结果你还是不顺
[26:59] 还是赔钱
[27:00] 你可能在心态上面
[27:02] 你期待很高
[27:03] 就是你可能以后不工作
[27:04] 或者你靠这个来退休
[27:06] 你就可以赚很多钱
[27:07] 结果实际上并不是这样子
[27:09] 有一段时间
[27:10] 甚至于影响到你的一个
[27:12] 精神状态或心态的时候
[27:13] 什么工作也被影响
[27:15] 我觉得最重要的就是说
[27:16] 如果你真的觉得说
[27:17] 有影响到的时候
[27:18] 先停下来
[27:19] 什么都不要做
[27:20] 离开这个市场
[27:21] 你也不要去看说谁涨了
[27:23] 都不要
[27:23] 离开一段时间
[27:24] 我觉得把自己的
[27:26] 这个心境沉淀下来
[27:28] 等到你觉得说沉淀的差不多之后
[27:30] 回来然后重新用别的方法
[27:34] 我们刚讲
[27:35] 如果你是操作个股不顺
[27:36] 这个时候我们刚讲的
[27:38] 那你为何不需要去相信市场上
[27:42] 已经在历练很多年
[27:44] 而且非常有经验的团队
[27:46] 其实也不是个人
[27:47] 因为我们刚讲的这些主动式的ETF
[27:49] 他们靠的
[27:50] 我觉得并不是基金经理人
[27:52] 是团队
[27:53] 为什么是团队呢
[27:54] 他们有非常强大的研究的一个团队
[27:57] 收集资料
[27:59] 然后基金经理人呢
[28:00] 利用他的一个专业去进行消化
[28:03] 之后呢
[28:04] 做出一个投资的一个决定
[28:05] 再加上其实赵华有提到
[28:07] 不管基金ETF
[28:09] 其实他进入的门槛都不高
[28:10] 那像新的这些主动式的ETF
[28:13] 就算是成立最久的
[28:16] 现在也不过才20多块
[28:17] 2万块
[28:18] 那ETF也可以做
[28:20] 你可以去跟基金公司约定
[28:21] 所谓的定期定额
[28:22] 也是可以的
[28:23] 所以你把它当
[28:24] 因为它也是基金嘛
[28:25] 的一种
[28:26] 所以我觉得在方法上面
[28:28] 其实是有很多的
[28:30] 那我觉得很好的地方就在于说
[28:32] 你累积这些小的胜利
[28:35] 譬如说你看到你的基金金
[28:36] 或ETF开始赚钱了
[28:38] 3% 5%慢慢赚钱了
[28:40] 你就会怎么样
[28:41] 慢慢有信心了
[28:42] 有一点小信心之后
[28:44] 再慢慢累积
[28:45] 你就会变成一个比较大的信心
[28:47] 那最重要就是你不要贪心
[28:50] 我们投资这些就是按部就班
[28:52] 该做什么
[28:52] 该做定期订人就让他扣
[28:54] 然后该加码就做加码
[28:57] 等到你市场上你觉得说
[28:59] 历练了一个比较有市场敏感度
[29:01] 你想要试试看
[29:03] 你可以去
[29:03] 你就可以去试单看看
[29:05] 那一样就是说
[29:06] 我们按部就班
[29:07] 每天收看赵华的这个节目
[29:10] 那我觉得就是
[29:11] 了解盘面上的主流变化
[29:14] 是很重要的
[29:14] 然后培养好的一个投资的心态
[29:17] 那我觉得因为这是一个
[29:18] 长长久久会伴你一生的
[29:20] 我觉得就是说
[29:21] 也不要把自己的压力
[29:22] 搞得这么大
[29:23] 我觉得这样的一个心态会比较好
[29:25] 好
[29:26] 那我们今天除了顺念的同时
[29:27] 也来聊一些比较开心的
[29:29] 因为像昨天有人说14颗灯
[29:31] 对不对
[29:32] 他说很多都零股
[29:33] 其实我想很多人可能都有这样的问题
[29:37] 像我也是
[29:37] 其实如果今天把我的库存表打开来
[29:40] 里面说实话
[29:42] 需要管理的股票真的还蛮多的
[29:46] 我们在场告诉大家
[29:47] 如果你要认真头
[29:48] 当然我自己也是
[29:49] 比较集中火力的
[29:51] 可能5到10档就已经很多了
[29:53] 但是你忍不住人家听你讲
[29:55] 你就先买个几百股
[29:56] 一张的可能也不少
[29:58] 那在现在有一个叫做
[30:00] 股东会旺季来了
[30:01] 要开始发股东会纪念品
[30:04] 那有时候你会觉得很累
[30:06] 有人会为了一股可以换
[30:08] 就跑去买什么
[30:08] 好像虎航啊
[30:09] 大鲁阁啊
[30:11] 但是像我自己那么多股票啊
[30:13] 我都没有在领股东会纪念品
[30:16] 我也没有
[30:17] 我就这样随便给他let it go
[30:19] 可是很多人跟我说
[30:21] 你好浪费
[30:21] 你难道不晓得有这个公园套件子吗
[30:24] 可以去公园吃便当
[30:25] 用野餐店行军椅什么的
[30:27] 我觉得为什么我们比较少注意的原因
[30:30] 是在于说
[30:31] 我个人认为
[30:33] 这个个股
[30:34] 如果说它发
[30:36] 再怎么样精美的股东会纪念品
[30:39] 如果它没有缴出一个好的
[30:41] 绩效成绩单
[30:43] 或者是它的一个股价好的一个表现的话
[30:46] 其实是没有用的
[30:47] 它就是一个补偿心态而已
[30:49] 那如果说
[30:51] 你这档公司
[30:52] 这个公司能够在营运上面
[30:54] 找出一个漂亮的成绩单
[30:56] 获得基金经理人
[30:58] 跟这个散户朋友们的认同
[31:00] 然后让他的股价
[31:01] 不断地攀高的话
[31:02] 那我觉得他其实就做到
[31:04] 他应该要做的
[31:05] 那你可能在股票市场上
[31:08] 赚到的可能都比还
[31:09] 比那个纪念品
[31:11] 股东纪念品还要来得多
[31:13] 但是我觉得还是可以看看
[31:16] 是的原因是因为
[31:17] 我觉得有一些股东会纪念品
[31:19] 这几年其实是做得越来越精美
[31:21] 我讲一下我历史的一个经验
[31:23] 不行
[31:23] 但是讲了这个经验
[31:25] 大家就透露我的年龄
[31:26] 30年前
[31:27] 我第一张股票
[31:29] 台积电
[31:30] 他有送
[31:31] 我还以为你要讲中钢
[31:32] 你知道吗
[31:33] 因为大家历年很喜欢讲中钢
[31:34] 没有没有
[31:35] 我这躺台积电
[31:36] 那一年呢
[31:37] 我记得
[31:38] 我好像是130几块买的
[31:40] 然后呢
[31:41] 除全之前
[31:42] 因为他那一年好像
[31:43] EPS将近10块吧
[31:45] 然后配8块钱的股票鼓励
[31:48] 然后你知道他发什么纪念品吗
[31:50] 什么纪念品
[31:50] 100块的电话卡
[31:53] 对
[31:54] 我有点surprise
[31:56] 现在可能要找到公用电话
[31:57] 都会有点困难的
[31:58] 现在
[31:58] 但是你想想30年前
[31:59] 还没有手机的实在
[32:00] 那还是BB code
[32:01] 那个时候真的是公用电话很多
[32:04] 所以我觉得也对
[32:06] 就是说他算是个实用性的
[32:08] 那就像我讲的
[32:09] 我期待他是给我更高的资本利的
[32:12] 其实他发这个100块就是
[32:13] 而且你会发现到
[32:15] 股东位纪念品
[32:16] 跟股价不一定有成正比的关系
[32:18] 当然
[32:19] 所以刚才会讲说
[32:20] 因为我自己以前有一个好朋友
[32:22] 他是大鲁阁的副总
[32:23] 他就会发现
[32:24] 他们的赠品可能价值假设600或800
[32:27] 但他们股价才十几块
[32:29] 所以他们有人就买一股
[32:31] 对
[32:31] 然后去换几百块的赠品
[32:33] 但是我觉得还是要正本清源
[32:35] 我还是觉得说
[32:36] 我花钱买这档股票
[32:39] 是想要赚他的资本利的
[32:40] 不是想要赚他的股东会纪念品
[32:42] 当然
[32:43] 我觉得这个还是比较重要
[32:45] 我可以理解
[32:46] 对对对
[32:47] 但是现在有很多是要一张
[32:49] 他就也有讲零股不行
[32:50] 对没错
[32:51] 那我觉得就是现在因为
[32:53] 大家越设计的越来越精美
[32:55] 所以我觉得还是有一些有看头的
[32:57] 像我觉得今年比较有看头的是
[32:59] 联店
[33:00] 因为我们也没有
[33:01] 我特别帮他注意一下
[33:02] 联店要送什么
[33:02] 这个Snoopy的保温杯
[33:04] 但是你现在买来不及了
[33:06] 为什么呢
[33:06] 因为呢
[33:07] 他好像3月25号之前就要买进
[33:09] 所以各位天空的朋友
[33:11] 就是说如果你对股东会纪念品
[33:13] 有兴趣的话
[33:14] 你要留意一下那个时间点
[33:16] 就是说因为最后过户日的时间
[33:18] 大概就是股东会之前
[33:20] 差不多六十几天
[33:22] 所以呢
[33:22] 那这个资讯怎么查
[33:24] 其实我觉得网路上现在也很多啦
[33:26] 那所以也是不难查
[33:28] 那联名过后还有没有一些好的
[33:31] 其实还是有啊
[33:32] 比如说像华南金有出一个
[33:34] 卡波联名的双盘组
[33:37] 那我觉得这个就是因为他很可爱
[33:39] 那我觉得这几年呢
[33:41] 受到欢迎的几个
[33:42] 就是说第一个他实用
[33:44] 第二个呢
[33:45] 他如果跟那个某个IPR联名的话
[33:49] 像这个你就会觉得他很可爱
[33:52] 好像金控公司都送的不错
[33:53] 对因为他们好像就是
[33:55] 有花一点时间在做
[33:59] 那我为什么以前不太想去领股东会
[34:03] 今年有几个原因
[34:04] 第一个大部分都要清领
[34:07] 那清领的话
[34:08] 有一些股东会开会的时间
[34:11] 你可能要上班
[34:12] 或者是怎么样
[34:13] 哇他
[34:14] 这个在那个鸟不生蛋的地方
[34:17] 比如说什么
[34:18] 工业区
[34:19] 说实话我以前光是去参加都觉得好痛苦
[34:21] 如果你住台北台中高雄的人
[34:23] 你要特别去那个地方
[34:24] 真的还是很不容易
[34:25] 为了那么一点点
[34:26] 光交通费可能就不止那个钱了
[34:29] 所以以前我为什么不太喜欢领的原因
[34:31] 我觉得最大原因在这个地方
[34:33] 但我觉得这几年其实有一些进步
[34:36] 就是说后来呢
[34:37] 你看像东森附近的重庆南路
[34:40] 其实有时候常常看到
[34:42] 那边蛮多的
[34:42] 万头骚动
[34:43] 其实就是因为说
[34:45] 现在有所谓的一个
[34:46] 股物代理的部分
[34:47] 可以帮忙进行
[34:49] 带领的一个部分
[34:50] 所以这一块来讲
[34:51] 我觉得慢慢有在增加
[34:54] 一些它的便利性
[34:55] 但是我还是觉得
[34:56] 有点不够方便
[34:57] 所以我觉得现在
[34:59] 最方便的
[35:00] 最好是怎么样
[35:01] 一化
[35:02] 我们什么东西
[35:03] 一化最好
[35:04] 是
[35:04] 有时候你
[35:05] 如果我可以发给我的话
[35:07] 那我是不是取得
[35:08] 某一个凭证
[35:09] 然后我就在我家附近的
[35:11] 这个7-11或全家
[35:13] 我如果就可以
[35:14] 直接这样去领的话
[35:15] 其实最理想的嘛
[35:16] 那我就不用花那么多时间
[35:18] 周车劳顿
[35:19] 然后为了一块香皂
[35:21] 或者是50块的这种
[35:23] 这个超商卡
[35:24] 然后就是非常的奔波
[35:26] 我觉得这样来讲的话
[35:27] 是一个比较有效率的
[35:28] 一个方式
[35:29] 我记得好像是不是
[35:30] 中钢是发50块的超商卡
[35:32] 大家就抱怨
[35:33] 觉得怎么样怎么样
[35:34] 那是因为中钢
[35:35] 没有让大家赚钱
[35:36] 你看旺系也是
[35:37] 发50块的超商卡
[35:38] 忘记让你赚那么多钱
[35:40] 你就不会写
[35:40] 就没人讲话
[35:41] 安静
[35:41] 没有领都没关系
[35:43] 50块超商卡这类型的
[35:45] 还蛮多
[35:46] 其实我喜欢
[35:47] 因为如果你有好几家都是50
[35:49] 你加起来也是一笔小钱
[35:51] 而且像我常常买咖啡
[35:52] 去超商的
[35:53] 就可以直接用
[35:54] 没领到
[35:55] 好像真的有点浪费
[35:56] 可是如果可以一化领
[35:58] 我可以一化的领到这些卡券吗
[36:01] 可以
[36:02] 现在已经有一些管道可以一化
[36:06] 但还不是全部
[36:07] 就是说有一些一化的公司
[36:09] 其实是有在一些平台上面
[36:12] 今天可以跟大家分享一下
[36:14] 我观察到的就是说
[36:15] 现在大概有三个方式
[36:18] 你可以做一化的一个动作
[36:20] 第一个方式就是
[36:23] 吉宝的一手掌握APP
[36:25] 第二个方式就是各券商
[36:29] 他们有所谓APP里面
[36:30] 也有这样的一个功能
[36:32] 第三个就是所谓的
[36:34] 吉保的
[36:35] 电脑
[36:37] 的一个网页的部分
[36:38] 也有这样的一个
[36:40] 管道可以去进入
[36:41] 那这进入呢
[36:43] 当然有几个条件啦
[36:44] 就是说
[36:44] 他必须要做几样事情
[36:47] 那不能说
[36:48] 你进来之后
[36:49] 就马上领到
[36:50] 这个股东会纪念品
[36:51] 不行
[36:51] 你要完成几个东西第一个事情呢就是你要完成所谓的电子投票因为其实我们在开股东会的时候其实公司都会讲什么
[37:05] 都会承认去年的一些财报
[37:07] 然后决定可能今年要发多少的股利
[37:11] 如果他有一些特别的事项的话
[37:14] 也会在股东会提出来
[37:16] 所以这个时候每一样的动议都需要股东的一个同意
[37:21] 所以你去那边
[37:22] 有人喜欢去股东会
[37:24] 是希望听到董事长
[37:27] 有没有去讲一些
[37:28] 未来的营运的一个讲话
[37:30] 因为对股价的一个帮助
[37:31] 其实是最大的
[37:32] 所以我觉得参加股东会
[37:35] 不是只是换换股东会
[37:37] 纪念品这么简单
[37:38] 你赋予一个重要的任务
[37:40] 就是说
[37:40] 因为你就是这家公司的一个股东
[37:43] 所以你要去参与
[37:45] 它未来成长的一个方向
[37:47] 所以完成电子投票
[37:49] 是一个非常重要的一个
[37:51] 股东权益
[37:52] 对 股东权益
[37:53] 你不要以为说人为言轻
[37:55] 你只有一张或只有零股
[37:58] 不要这样想
[37:59] 你只要持有这档公司的股票的话
[38:02] 因为这是一个大众化的
[38:04] 一个机制的一个过程
[38:05] 你都有权去提出一些
[38:07] 好的一个建议
[38:08] 就好像就是说
[38:10] 我也曾经看过
[38:11] 就是有一些股东会
[38:13] 可能他今年的股利
[38:14] 股东觉得说
[38:16] 你赚那么多钱
[38:17] 好像还可以再提高一点
[38:18] 现场吵一吵
[38:19] 有用耶
[38:20] 真的有用耶
[38:21] 最典型
[38:22] 就是那时候郭台铭郭董事长
[38:24] 对或者是说
[38:24] 我也好像之前也有这个
[38:27] 有在讲说
[38:29] 像宏达店有在讲说
[38:31] 这个公司盈运表现好像不如预期
[38:34] 结果呢
[38:35] 现场发手机
[38:36] 也有
[38:37] 现场去的人才有
[38:39] 所以呢
[38:40] 我觉得就是说
[38:41] 你完成这个电子投票
[38:43] 就是说你完成这个公司的一些
[38:45] 盈运上面重要的一个参与人
[38:47] 是非常的一个重要的
[38:49] 那第二个条件
[38:50] 要件是什么
[38:51] 你不可以把这个委托书交付出去
[38:55] 这什么意思呢
[38:56] 就是说我们在开股东会之前
[38:59] 基本上你都会收到一个挂号信
[39:02] 就是这个股东会的一个开会的通知书
[39:05] 里面其实不是那么简单
[39:07] 说叫你林林股东会纪念品
[39:09] 不是这样子
[39:10] 它里面会讲说会讨论哪一些重要的事项
[39:13] 然后另外呢
[39:15] 就是会有一个委托书
[39:18] 那委托书的意思就是说
[39:20] 假设你没有办法亲自开会
[39:23] 但是你又想要参与的话
[39:24] 你可以委托人家
[39:26] 有点类似像我们讲的
[39:29] 这个什么委任状之类的
[39:31] 但是呢
[39:32] 我们有讲过
[39:33] 你身为一个股东
[39:34] 你要参与这个公司营运的
[39:36] 重要的方向的
[39:37] 这个同意案的时候
[39:39] 我们刚刚讲
[39:40] 第一个要件是要完成电子投票
[39:42] 你完成了电子投票
[39:43] 然后你又把委托书交给人家
[39:45] 那会不会发生两种状
[39:48] 就是你投贊成
[39:50] 但是因為你又把委託書給交出去了
[39:52] 收到那張委託書的人
[39:55] 他投反對
[39:55] 那一個股東會有兩個意見
[39:57] 這樣可以嗎
[39:58] 當然是不行
[39:59] 所以第二個要件很重要
[40:00] 就是說你不可以把你的委託書交付出去
[40:04] 你要自己去完成這個電子的一個投票
[40:08] 那第三個當然就是門檻
[40:10] 就像趙華一開始所講
[40:12] 其實現在一化的來講的話
[40:15] 大部分都是限制說一千軌
[40:17] 一张以上
[40:18] 希望大家有一张以上
[40:18] 对对对
[40:19] 比较合理
[40:19] 对
[40:20] 不然的话可能就
[40:21] 因为一股的话
[40:23] 可能就劳民伤财
[40:24] 所以这个部分来讲的话
[40:26] 还是要请大家留意一下
[40:28] 那我们刚刚讲这三个管道
[40:29] 不管是这个吉宝的一手掌握
[40:32] 或者是各捐商的这个APP
[40:34] 或者是这个吉宝的
[40:36] 电脑化的这个网页
[40:38] 你进去之后呢
[40:39] 基本上你就可以找得到
[40:41] 这个电子投票这一栏
[40:43] 然后电子投票
[40:45] 你把它点进去之后
[40:46] 但是你点进去不一定就马上会出现
[40:49] 因为你要看一下说
[40:50] 这家公司有没有符合
[40:52] e-gift这样的一个要求
[40:55] 目前并没有办法100%
[40:57] 对没有100%
[40:58] 还是要提醒大家
[40:58] 但是我觉得说
[40:59] 每一年应该会增加的越来越多
[41:02] 这绝对是一个好的一个现象
[41:04] 然后进去之后呢
[41:05] 你就看到就是顺着这个里面
[41:08] 他的一个指示呢
[41:09] 完成那个要件
[41:10] 譬如我们刚刚讲的这些
[41:12] 电子投票这些相关的事宜之后
[41:14] 最后呢
[41:16] 他就会跑出一个
[41:17] 领这个什么e-gift
[41:19] 领e-gift
[41:21] 就有一点点像我们在
[41:22] 这个超商寄杯咖啡一样
[41:25] 你有一个领用券
[41:27] 那个领用券呢
[41:28] 就有一些相关的一些序号之类的
[41:31] 然后呢
[41:32] 你基本上
[41:33] 有了这个序号之后
[41:34] 就可以前往
[41:35] 他指定的
[41:36] 不管是可能7-11也好
[41:39] 或者是全家也好
[41:40] 前往他指定的这些
[41:41] 那就方便了
[41:42] 因为第一个
[41:43] 你不用去那些
[41:44] 可能亲孙拿来
[41:46] 或者是
[41:46] 这个真的很远的
[41:48] 这种股东会开会的一个地方
[41:50] 第二个就是说相对来讲
[41:52] 你参与了公司重要的营运的
[41:54] 一个方向的决定
[41:55] 然后呢
[41:56] 你又可以用这样的一个方式
[41:58] 获得股东会的一个纪念品
[42:00] 所以呢
[42:00] 我觉得呢
[42:01] 真的是一个非常好的一个方式
[42:03] 提供给大家做一个参考
[42:06] 因为现在大家都很忙
[42:08] 要顾家里
[42:08] 要顾工作什么的
[42:10] 我觉得有很多东西进行依化
[42:12] 像我其实
[42:12] 自己有那个
[42:14] 吉宝的一手掌握
[42:16] 有一段时间
[42:18] 我就发现真的很方便
[42:19] 因为呢
[42:20] 过去来讲
[42:20] 我可能过去
[42:22] 哪一个地方开过户头
[42:24] 我都不知道
[42:24] 哪一些地方有领股的
[42:26] 那种所谓散落在那个地方
[42:28] 我都不知道
[42:28] 现在呢
[42:29] 我透过吉宝的这一手掌握
[42:30] 我自己都可以查询得到
[42:32] 很多
[42:33] 就是我各个券商开户的状况
[42:35] 还有我每一个券商持股的一个内容
[42:38] 那所以我
[42:39] 因为吉宝中心就是做这件事情
[42:40] 对对对
[42:40] 那甚至于呢
[42:41] 如果你有ETF
[42:42] 我有发现有一些ETF会把
[42:44] 就是配息的时候
[42:45] 你会把它相关的资讯
[42:47] 或配息
[42:48] 配股配息的资讯
[42:49] 把它给纳进来
[42:51] 它也会帮忙整理
[42:52] 对 所以我觉得
[42:52] 真的现在是非常的好
[42:54] 这个APP真的是非常的实用
[42:56] 那现在又扩集到
[42:57] 就是可以领股东会纪念品
[42:59] 真的是可以推荐大家
[43:01] 可以好好的运用
[43:02] 因为吉宝中心本来就是
[43:03] 告诉大家你的证券资产
[43:06] 到底现在的状况是如何
[43:07] 它就是有一点叫做
[43:09] 吉宝依存者
[43:10] 我也有
[43:10] 很早之前就已经下载了
[43:13] 什么叫依存者
[43:14] 就是他把你所有资料
[43:15] 都汇整在里面
[43:16] 像以前你还要自己
[43:17] 可能手动做Excel表
[43:18] 股息到底进来没
[43:19] 什么的
[43:20] ETF到底配多少
[43:21] 他都会帮你整理
[43:22] 好哦
[43:23] 而且他会越来越完善
[43:24] 因为我们必须讲
[43:25] 也不是台股1700、800家公司
[43:27] 他可能全部的资料都有拿到
[43:28] 但是他有跟各上市柜公司都讲了
[43:31] 就是希望大家能够
[43:32] 纳入这个体系
[43:33] 那现在这个股东会今天
[43:34] 如果有这样可以方便
[43:36] 线上帮你开股东会
[43:38] 就等于你可以线上电子投票
[43:40] 你就可以获得很多抽奖的机会
[43:42] 对
[43:43] 他也是为了鼓励你
[43:44] 所以他有一些什么
[43:45] 像e-gift好礼抽
[43:46] 找鸟抽
[43:47] 惊喜抽
[43:48] 各种抽奖的方式
[43:50] 让你愿意去使用这个APP
[43:52] 我今年呢
[43:53] 意愿就还蛮大的
[43:53] 为什么
[43:54] 因为我看到那个
[43:55] 有我们刚刚讲的
[43:56] 这个e-gift好礼送
[43:57] 有抽什么
[43:58] 抽奖
[43:59] 东京
[44:00] 不是东京
[44:01] 是大阪的那个商务舱
[44:03] 或者是经济舱
[44:04] 那我觉得说
[44:05] 不管是商务舱还是经济舱
[44:06] 只要能中机票
[44:07] 其实基本上
[44:08] 大家都很开心的一件事情
[44:09] 而且你真的是用得到
[44:10] 你真的到处保
[44:11] 对对对
[44:12] 那其实呢不止这些
[44:13] 还有包括一些超商的一个礼券
[44:16] 或者像Switch这些
[44:17] 我觉得真的是非常实用的
[44:20] 我觉得吉宝也是相当用心
[44:21] 就是除了让大家在交易
[44:24] 整个证券的一个过程当中更方便
[44:27] 然后及时能够查询到
[44:29] 你自己的一些资产状况之外呢
[44:31] 现在把很多真的都是很恼人
[44:34] 就是这种
[44:35] 譬如说你亲身要去的这些事情
[44:38] 现在把它给一化了
[44:39] 那我觉得真的是
[44:40] 非常的一个方便
[44:41] 那如果你能在方便之余呢
[44:43] 还能够参加这些
[44:44] 不小心中奖的话
[44:46] 不小心中奖
[44:48] 对
[44:48] 因为现在樱花季
[44:50] 现在大家很多人
[44:51] 樱花季是开完了吗
[44:53] 还没
[44:53] 还没吗
[44:54] 今天还在看说
[44:55] 河口东京的
[44:56] 你好内行
[44:57] 河口湖满开
[44:58] 我每天都被那些樱花洗白
[45:00] 我很可怜
[45:01] 我今年又没有跟到
[45:02] 我自己姐妹的那一团
[45:04] 我不想跟我的听众讲过
[45:05] 他们都会临时起意
[45:07] 就会说
[45:07] 我们就下礼拜去这样子
[45:09] 可是我没有办法
[45:10] 因为大家知道
[45:11] 我一到五满满的
[45:12] 甚至礼拜六都有工作
[45:13] 我一定要先跟公司请假或什么
[45:15] 但他们那几位都是说走就走
[45:18] 就他们这次去东京
[45:19] 就看到樱花
[45:20] 而且多幸运
[45:20] 他们回来的第二天
[45:21] 说东京下大雨
[45:23] 打落了不少樱花
[45:25] 我真的超级羡慕
[45:26] 而且他们回来之后呢
[45:27] 又还办了一个小聚会
[45:28] 交换他们在
[45:30] 因为有人先回来
[45:31] 然后回来
[45:31] 后回来帮大家带货
[45:32] 就交换说在东京买的东西
[45:35] 然后后来他们就问我
[45:36] 说我要不要去
[45:37] 我说终于有人想到我这个可怜人
[45:39] 其实我觉得也不要羡慕
[45:41] 像我去的时间点
[45:43] 然后我就希望樱花掉光光
[45:44] 没有了
[45:45] 因为像我出差的时间点是三月中旬
[45:48] 那个时候其实不是
[45:50] 东京的燃井集也已经盛开的时候
[45:53] 然后我多停留了两三天
[45:56] 我就带我的家人
[45:58] 因为我有看一下花矿
[46:01] 其实我觉得对于这些
[46:03] 像日本韩国这种樱花很多的国家
[46:06] 就是动态调整
[46:07] 所以我就去神奈川
[46:09] 那种樱花稍微早一点开
[46:11] 在三月中就开的那种
[46:13] 我也是看到那种好几百棵
[46:15] 整个都是樱花
[46:16] 但是不同的一个品种
[46:17] 所以现在盛开的是在
[46:20] 东京那一些
[46:22] 或者大阪京都的燃井基野樱
[46:24] 之后会不会没有
[46:25] 如果赵华还想安排的话
[46:28] 可以早点跟公司请假
[46:30] 往东北走
[46:31] 东北日本那个方向
[46:33] 就会一直往上
[46:35] 还会往冷的地方去开
[46:36] 是
[46:37] 没关系
[46:38] 我跟他们预约了
[46:39] 就是今年要去赏风
[46:41] 赏风
