[00:00] 歡迎收聽《照懷古惑仔》第1187集,今天是2026年的9月18號。
[29:41] 那為什麼突然發酵?媒體幹嘛突然講?
[29:44] 我們也是跟風啦,我必須要早盤我們這個股東前朝可能也有講到一些。
[29:49] 可是如果一開盤那就應該反映啊,也沒有嘛。
[29:52] 所以這些看來都會是一個盤面上在發展的鬼故事。
[29:56] 那今天就沒有什麼特別鬼故事了,今天大家都歡欣鼓舞,反而來分辨。
[30:00] 在歡欣鼓舞的時候,有哪一些是你比較能夠放心就是抱下去的?
[30:06] 因為凱哥也講了,櫃買前面還有個大量高其實沒有過,小娜也是哦。
[30:10] 也就代表我們今天歡欣鼓舞沒有錯,可是衝上去有一些壓力要過關。
[30:15] 為什麼有時候我們講創新高的公司啊,特別的萬里無雲,就是籌碼都集中在他身上嘛,高還會更高,其實創意就是一個這樣的代表。
[30:23] 積極的人做這樣的股票就順勢,對不對?
[30:26] 對,可是我們這種很小的人呢?我們很小的人,可能要不要蹲一下力旺啊?要不要蹲一下世新科技?花時間跟你抗戰也可以,可是自己心裡面要有譜,最好的一定跑最快。
[30:38] 你說最好的都沒漲,這個很稀奇,這個很稀奇。
[30:41] 對我來說,其實像設備股跟風車股,它就滿容易會是明年相當好,但現在發酵不多的。
[30:48] 我覺得我們大概可以相對來比較出。
[30:51] 那CPU我覺得就很看人,因為你可以看到CPU的火真的不滅。
[30:55] 這幾個股票的投資者,對於這幾個股票的投資者,是否會有所影響?
[31:25] 這幾個公司確實是好公司,但是它就是還不太反應,所以時間點可能還沒有到,所以我覺得再等等。
[31:33] 但是這個時間點其實我們已經看到水已經在滾了,像前一段比較冷的公測,就是要趕快去挑了,你不能再等了。
[31:45] 因為他們之前基本上都是很溫吞,那現在突然發動起來,所以他還會再加熱喔,還沒有到說已經完全沸騰的階段,只是開始在冒泡泡了,所以這時候你就要趕快去挑不錯的股票去做買進的動作。
[32:00] 為什麼?因為你最近發現到說,之前的NVIDIA跟AMD,AMD有點快死掉的感覺,可是AMD最近是活過來了,而且你看他的月線也是上彎的。
[32:10] 我們上次在講說,你看甲骨文的業績都不錯,就告訴你說,基本上在這個AI的大架構裡面,目前還沒有哪一家要出去,大家就是輪動。
[32:21] 甚至還有人在講說,這個OpenAI為什麼要延後掛牌?我說它延後掛牌很簡單,因為它還繳不出漂亮的成績單,因為還在塑形的過程裡面。
[32:31] 那還在塑形的過程裡面,它如果直接跳上市櫃,它就怎樣?它就被市場公開檢驗它的獲利數字,反而不利它的籌資。
[32:39] 這就是一個很重要的問題,因為我們現在的投資,它現在繼續在衛生事櫃裡面等待,它只要跟特定的大咖像暖銀這種說我要多少錢繼續投入,其實是比較容易的。
[32:49] 所以不要因為說誰誰誰怎麼樣,就突然好像覺得好像風一面的倒,其實你都要去思想說為什麼他選擇是暫時先緩一點上新櫃,而另外一家卻選擇就Just on time的上櫃,這基本上是不太一樣的邏輯跟不一樣的想法。
[33:08] 好,很喜歡跟凱哥在禮拜五聊,我前幾天有看到一個留言,也唸出來給凱哥了解,他有說他是一個上班族,他就留在理財達安秀,他說他每個禮拜五一定來聽凱哥講什麼,他說因為升職上班族要了解產業實在太難了,其實我相信90%人都太難了,除非身處在業界,或者是說像我們有一些職業是可以去跑公司的,他說他都用非常感恩的心情在聽凱哥分享,然後到禮拜五,其實我也是用非常感恩的心情,
[33:38] 因為我覺得我有很多很多的問題,也不見得每個來賓都可以那麼了解,但丟給凱哥,叫做有求必應,有求必接,有問必答。
[33:47] 我覺得這個是一個很棒的,而且我們在有風險的時候會提醒大家風險,可是該認同這個產業,我們常常講一件事,你真的不要因為它股價沒有動,然後就覺得我們講的事情不會發生。
[34:00] 今天其實就驗證了嘛,它會動,就算是今天動了,也不太貴,因為我們看的是到明年後年整體的一個發展。
[34:09] 當然,我們會有所謂的系統性風險,像整個生息環境它就是一個難免叫做系統性風險,這個我們真的要觀察。
[34:16] AI 將歸將速雖然不會馬上發生,可是它在過程中一定會時不時出來擾亂大家。
[34:22] 而且前一陣子擾亂大家就是會不會投太多錢啊,會不會資本支出自由現金輪為富,這個會擾亂。
[34:28] 接下來 AI 降速這個事情也會老亂,而且你會發現老亂是有用的,你一聽到鬼故事你就會覺得像昨天講的 CTRL 不也是降規的事情嗎?你就會先殺,可是現在的市場你一定要切記一件事,在這兩年內發生這個鬼故事的時候,反而是給我們比較好的機會喔,這個一定要記得喔。
[34:48] 好,那今天很謝謝凱哥啦,那也在禮拜五祝福一下大家吧,下禮拜就要過中秋林,這樣沒有禮拜五了喔。
[34:56] 對,凱哥下禮拜四就要來了。
[34:57] 是這樣子是不是?我們怎麼那麼Smart?
[35:01] 下禮拜沒有禮拜五男孩,有禮拜四男孩了。
[35:04] 跟股貨宅們說掰掰吧。
[35:06] 大家認真的選股,下禮拜積極的操作。
[35:10] 下禮拜再度加中秋節。
[35:11] 然後也會跟大家分享會不會中秋變盤。
[35:13] 大家掰掰。
[35:14] 謝謝趙華,謝謝大家。掰掰。
