[00:00] 歡迎收聽趙華宇古貨仔第1026集
[21:45] 當然傳產是有在動
[21:46] 速換我們等一下有機會可以聊
[21:48] 那我們先講好了
[21:49] 這種你心態上面
[21:51] 會有一種被嘎空手
[21:52] 或者你買對股票
[21:53] 但你抱不住
[21:54] 或者是買不夠多
[21:55] 或買不夠多
[21:56] 我覺得這種很正常
[21:57] 因為行情這麼熱
[21:58] 說真的大家都會怕
[21:59] 那只是這個地方
[22:00] 真的是勇敢的人先享受
[22:02] 你敢買
[22:04] 要非常勇敢
[22:05] 對你敢買你敢抱
[22:06] 應該只要選對方向
[22:08] 那其實說真的
[22:09] 主流的地方
[22:10] 大家也不用花太多時間
[22:11] 我覺得每天你在看達元秀或聽股貨仔
[22:14] 你也都知道主流在哪裡
[22:16] 所以你已經把範圍縮小了
[22:17] 你就往這個範圍裡面去打
[22:19] 那重點就是因為你熱度高
[22:20] 那週轉率快
[22:21] 等於是你不要在高點的時候硬追
[22:24] 所以我很認同趙華你剛才講的
[22:25] 你金居
[22:26] 其實你已經發現他股價有個慣性
[22:28] 他每次準備要到他這個區間高點的時候
[22:31] 就忽然就被灌下來了
[22:33] 那是不是他在來到了區間的低檔
[22:35] 你反而就是可以慢慢的把它買上去
[22:37] 因為你會發現他的股價
[22:39] 當然整個上游
[22:40] 我到目前我都還是認為
[22:42] 在臺灣有技術護城河的公司
[22:44] 他在接下來的股價
[22:46] 就等於是他有一個支撐在這邊
[22:49] 一個基本面的支撐在這裡
[22:51] 所以為什麼我會很喜歡金居的原因
[22:53] 當然也是因為全臺灣你高階同博
[22:55] 目前上市櫃公司能做的就是他
[22:57] 榮科你終究就只是小金居
[22:59] 你產品的等級還是沒有到這麼高
[23:01] 所以沒有道理說榮科一直噴
[23:03] 或者是榮科能夠創新高
[23:05] 金居沒辦法
[23:06] 這是我的邏輯
[23:07] 所以我還是很看好金居
[23:09] 在接下來股價
[23:10] 應該還是有機會
[23:11] 可以挑戰高點
[23:12] 但他的問題就是
[23:13] 因為他真的太常被關
[23:14] 關到後面
[23:15] 大家會覺得
[23:15] 我就乾脆先去玩其他的股票
[23:17] 對
[23:17] 然後就不回來了
[23:19] 我覺得感覺到主力
[23:19] 也是有這樣的想法
[23:21] 對
[23:21] 所以就在控他的盤
[23:22] 對啊
[23:22] 那這個地方的話
[23:23] 他接下來就是看
[23:24] 他什麼時候能去做突破
[23:26] 能突破市場的資金
[23:27] 就會被重新吸引回來
[23:28] 那就是放到口袋清單裡面
[23:30] 我覺得至少
[23:32] 以現階段來講的操作
[23:33] 我真的還是比較偏積極
[23:35] 那這些上游也好
[23:36] 或者我們剛剛講到
[23:37] 這些新的題材
[23:38] 那甚至最近
[23:39] 低位階的數化
[23:40] 也開始動了
[23:41] 臺碩世寶有一天
[23:42] 也是都紛紛漲停
[23:44] 對就昨天而已嘛
[23:45] 對
[23:46] 那因為它其實會漲停
[23:47] 這次我也可以跟大家講
[23:48] 因為我以前
[23:48] 其實不太認同數化
[23:50] 我們看基本面
[23:51] 我真的不是很喜歡
[23:52] 但確實是從百元修正下來的
[23:54] 臺碩百元到三十元
[23:56] 它的股價位階真的很低
[23:58] 那在這一次
[23:59] 基本面有沒有改善
[24:00] 產業來講的話
[24:01] 我先跟大家報告
[24:02] 有
[24:02] 因為你在上個禮拜週末的時候
[24:05] 你有聽到
[24:05] 包含現在都會聽到
[24:06] 美國大學
[24:07] 那美國大學的話呢
[24:09] 他會影響到的其中一個地方就是德州
[24:12] 德州在墨西哥灣那邊
[24:13] 有很多的煉油廠跟化工廠
[24:15] 你因為大學全部停工
[24:17] 所以我確實有看到PVC的報價跟SM
[24:20] 就是那個叫什麼
[24:22] 本乙烯還是聚氯乙烯是PEC
[24:25] 反正大家可以去查中文
[24:27] 這兩個的報價都確實有跟上
[24:29] 都有上來
[24:29] 所以為什麼禮拜一會漲停
[24:31] 我覺得是因為週末的訊息
[24:32] 可是可以看到以今天來講的話
[24:34] 臺數在盤中也拉了將近半根漲停板
[24:37] 我覺得它是一種大牛股
[24:39] 就是大象在跳舞的行情
[24:40] 就像之前大家可能聯電拉低
[24:42] 跟半信半疑
[24:43] 世界先進拉低跟半信半疑
[24:45] 都不相信這種大型股
[24:47] 可以走出一個大的波段
[24:48] 可是像臺數的話
[24:49] 它的位階真的很低很低
[24:51] 然後我們去看到
[24:52] 你真的在產業的報價
[24:54] 有開始往上走
[24:55] 它等於會是一個
[24:57] 我們說它是一個催化劑
[24:59] 因為你畢竟它要像記憶體
[25:00] 或者像一些電子材料
[25:02] 銅箔或者是ABF
[25:03] 那種真的是由需求端去拉動的
[25:06] 我覺得是不太一樣
[25:07] 可是你畢竟他的位階低
[25:09] 就是一個很大的優勢
[25:10] 所以速化呢
[25:11] 其實在今天我們嚴格來講
[25:13] 算是發動的第二天
[25:14] 我覺得他的位階
[25:16] 跟他的風險報酬比
[25:17] 還是很漂亮
[25:18] 因為你了不起
[25:19] 你在禮拜一的那一個
[25:21] 紅K的低點被跌破
[25:22] 你就是知道
[25:23] 我這一槍打歪了
[25:24] 那我就先把資金收回來
[25:26] 但如果他真的是要走一個
[25:28] 大象會跳舞的行情
[25:29] 要繼續往上走
[25:30] 那現在位階低
[25:31] 我覺得他就等於是
[25:33] 你原本高位階
[25:33] 右上角的股票不敢買
[25:35] 但你又想要去買那種剛發動的
[25:37] 底部剛開始起來的
[25:39] 那或許碩化股就是大家的一個選擇之一
[25:42] 選擇之一啦
[25:43] 對因為它的整體獲利
[25:44] 以2025年來說還是蠻爛的
[25:46] 還是蠻爛的
[25:47] 好但是選擇之一
[25:49] 因為碩化我們在2025不是沒講
[25:51] 但是也有跟大家講說
[25:53] 它就是屬於非常右下角
[25:54] 然後而且跌不下去了
[25:56] 那如果跌不下去的話
[25:57] 那就有可能會醞釀一些反彈
[26:00] 但目前報價當然是有上揚
[26:02] 但並不是什麼強力上揚的情況下
[26:05] 大家還是要看
[26:05] 因為我們常常分享說
[26:07] 現在在K型經濟裡面
[26:09] 我想你到各大論壇
[26:11] 大家還是會發現
[26:12] 股市好熱
[26:13] 可是我的生活好辛苦
[26:15] 如果我沒有在做投資
[26:16] 我的產業好辛苦
[26:17] 現在是尾牙年終
[26:19] 我們公司的尾牙年終
[26:20] 可能有一票人士
[26:21] 像金融業有看到都真的很好
[26:23] 可是可能很多傳產業都說
[26:25] 我們今年年終是縮水的
[26:26] 別人家的參加獎
[26:28] 是我們家的頭獎
[26:29] 這種情況在臺灣
[26:31] 在2025年
[26:32] 我覺得會格外的如人飲水冷暖自知
[26:36] 是真的是這樣的情形
[26:38] 所以你說塑化是不是整體的景氣有好轉
[26:41] 其實它就是一個景氣觸底回溫
[26:43] 絕對是可以告訴你最壞的情況可能過了
[26:46] 可是像這型別的東西它要好
[26:47] 它要整個消費性的市場變好
[26:50] 現在就是很麻煩在這件事情上
[26:52] 你說消費性的市場好不好
[26:54] 其實比較普
[26:55] 第一是需求普
[26:57] 第二是大家還是很常討論
[26:58] 例如說像記憶體會殺傷
[27:01] notebook跟這個手機
[27:03] 所以我們很期待的AI手機
[27:04] AIPC的換機槽
[27:06] 或是大爆發
[27:07] 在目前來看
[27:08] 它還是一個懸而未決的
[27:10] 希望它有
[27:11] 可是目前就是還沒有
[27:12] 但會不會有一天有
[27:13] 我覺得會有一天有
[27:14] 只是現在他們就是
[27:15] 期待2026可以復甦的時候
[27:18] 又遇到這個記憶體漲價的問題
[27:20] 所以現在的產業
[27:21] 雖然我們看到排名上是輪動
[27:23] 但多多少少
[27:24] 他們還是會跟願景有關
[27:26] 最近我看到大家在討論群創
[27:28] 說好不容易解套了
[27:29] 沒賣又下來了
[27:30] 原因是什麼呢
[27:31] 其實原因真的好簡單
[27:33] 就是當這個面板在漲的時候
[27:35] 甚至你說什麼
[27:35] 友達那些都在跟
[27:36] 管你有沒有散出行風樁
[27:38] 有沒有低軌衛星
[27:40] 反正現在看到有人帶頭漲了
[27:42] 那當然漲最多的是群創
[27:43] 那現在也回擋了
[27:45] 就有人說
[27:45] 我本來剛解套
[27:47] 結果沒有賣就吐掉了
[27:49] 那為什麼
[27:50] 因為說實話
[27:50] 當你這件資金的風
[27:51] 又輪到別的東西上
[27:53] 而他又沒有繳輸
[27:54] 獲利成績單的時候
[27:55] 他就比較容易
[27:56] 又被丟到旁邊
[27:57] 不是說接下來群創就不會漲
[27:59] 也不見得是如此
[28:01] 可是我的意思是
[28:02] 當你去找這種離開景氣谷底
[28:04] 而它並不見得會有快速復甦
[28:06] 因為群創是消費型點子
[28:08] 那你就要承受它有可能是這樣
[28:10] 最好是見好就收
[28:12] 寧可賣飛也不要抱上抱下這是今天在我們很多投資群組裡面大家在討論的一件事情你一定會賣飛就像晶圓店我也賣飛可是你寧可這樣你總是比報上報下來的好
[28:26] 對因為我覺得群創今天大家會很有感
[28:28] 你畢竟跌幅蠻重的
[28:30] 然後群創面板我們過去有跟大家分享過
[28:33] 可是我記得在他的股價來到27塊多以上
[28:37] 我們就有提醒過
[28:38] 因為你過去面板
[28:40] 他就是用股價淨值比去做估值
[28:42] 所以你的群創的每股淨值就是27塊多
[28:47] 當你股價來到27塊多
[28:48] 心裡面你就應該會有一個警訊
[28:51] 或者是你會有一個想法
[28:53] 你要知道確實以估值的角度來講
[28:55] 這裡應該是OK了
[28:57] 那會不會再上去
[28:59] 那個是市場的資金要去投票決定
[29:01] 但相對來講
[29:02] 友達他的股價淨值19.55
[29:04] 那對比他的股價就還有空間
[29:07] 可是你就會發現
[29:07] 確實在題材上面
[29:09] 有沒有做FOPLP
[29:10] 有沒有低軌衛星
[29:11] 它就是反映在股價的動能
[29:13] 也就代表市場的資金熱歸熱
[29:15] 但你還是有一點
[29:16] 程度上面的理性跟理智存在
[29:18] 就是大家還是會去選擇
[29:20] 那至於說今天這一根往下跌
[29:22] 跌到這個位置
[29:23] 因為我其實有看一下這個群創
[29:25] 群創的話應該是來到月線附近
[29:27] 如果我沒記錯
[29:28] 應該是在月線
[29:29] 它在月線附近它有沒有守住
[29:30] 對
[29:31] 所以等於是你如果前面沒賣了
[29:32] 那這個地方你也不用急著再掙
[29:34] 對啊
[29:35] 因為它到了月線支撐
[29:36] 那它要去做測試
[29:38] 如果有守住
[29:38] 那你當然還有機會再走第二波
[29:40] 可是如果沒有守住往下破
[29:42] 那你的動作也很簡單
[29:43] 就是把資金收回來
[29:44] 所以到這個位置上面
[29:46] 你就是不用
[29:46] 就是好像股價跌很多
[29:48] 然後很恐慌趕快把它賣掉
[29:50] 我覺得這種情緒都大可不必
[29:52] 在現階段行情很熱
[29:54] 那我們更重要的應該是
[29:56] 要怎麼樣在這麼熱的行情裡面
[29:57] 保持清醒
[29:58] 因為重點不是我們去跟旁邊的人比
[30:01] 你的同事或你的誰誰誰
[30:03] 旁邊跟你說
[30:04] 我今天當初又賺了多少萬
[30:06] 多少萬
[30:06] 我今天做這個波段南亞科多少帕
[30:08] 那些都不關你的事
[30:09] 對那些都不關你的事
[30:11] 重點是你自己賺了多少
[30:12] 我們遇過很多的投資人的狀況是
[30:15] 他看到身邊的人賺很多錢
[30:16] 所以他就試著想要把槓桿加上去
[30:18] 去信貸去幹嘛融資之類的
[30:21] 然後去做出了超出自己能力
[30:22] 負荷的事情
[30:23] 然後你等到行情一震盪
[30:25] 你就會睡不著
[30:26] 吃不好
[30:27] 那我覺得這個件事情
[30:28] 不是一個好的現象
[30:30] 所以我還是提醒大家
[30:31] 你不要去跟別人比較獲利
[30:32] 那你重點是呢
[30:34] 用你自己舒服的模式
[30:35] 然後用你認同的投資方式
[30:37] 包含我們一直在這邊
[30:38] 跟大家分享的
[30:39] 產業基本面也好
[30:40] 或者像朱老師
[30:41] 來會分享技術面
[30:42] 我覺得有很多的資訊
[30:43] 是你可以去參考
[30:44] 但重點就是你不要急
[30:46] 那我們能提醒的就是
[30:47] 現在的行情
[30:48] 還沒有真的出現這種敗筆
[30:50] 那你的行情
[30:51] 能夠繼續往上走
[30:52] 我們就應該要
[30:53] 試著去尋找機會
[30:55] 但不是隨便亂槍打鳥
[30:57] 好 不是亂槍打鳥
[30:58] 就像今天讓我很傷腦筋的
[31:01] 就是仔版
[31:01] 我有跟大家分享過我的心聲
[31:04] 後來還有人私訊我
[31:05] 說他的心聲跟我一模一樣
[31:07] 因為我們在非常地位界
[31:08] 就買了宅版
[31:09] 而且剛好私訊我的
[31:10] 他也是買錦碩
[31:11] 當然大家買新興
[31:12] 買南丁
[31:12] 我想都已經賺飽了
[31:14] 那錦碩呢
[31:15] 那時候不是跟大家分享
[31:16] 有好幾次他漲停板
[31:17] 都覺得應該把它賣掉了
[31:19] 可是又想到婉婷交代我的
[31:21] 宅版2026年正式復甦
[31:22] 2027年會更缺
[31:24] 這個2026年才1月
[31:26] 好像沒有必要
[31:27] 可是我自己看都怕
[31:28] 我說真的
[31:29] 那今天宅版像錦碩又漲停了
[31:31] 我也是就看
[31:32] 但因為他是創新高
[31:33] 反而創新高不急著出手
[31:35] 一定要立刻把它賣掉
[31:36] 對
[31:37] 除非你真的覺得
[31:38] 這個報酬率
[31:38] 你已經非常滿意了
[31:40] 年關錢要用錢
[31:41] 可以收回來
[31:41] 因為這是很有趣
[31:43] 人性是這樣
[31:43] 大家都好希望
[31:45] 我今天賣掉之後
[31:46] 他明天就跌了
[31:46] 但是以朱老師
[31:49] 或是很多人的說法
[31:50] 是你最好看到
[31:51] 他出現敗相
[31:51] 再賣會比較好
[31:52] 但是你可能就會離高點
[31:54] 已經差了10個百分點
[31:55] 感受就會有點
[31:56] 圈圈叉叉
[31:57] 對
[31:57] 那當然如果你要承受說
[31:59] 我想要賣在最高點
[32:00] 那你可能就會
[32:01] 因為他其實現行形態
[32:02] 基本面沒有惡化
[32:03] 他反而噴得更高
[32:05] 就是賣飛
[32:05] 都可以
[32:06] 其實你有獲利路帶就好
[32:08] 所以我現在一直看著他
[32:09] 我也會一直思考說
[32:11] 到底要不要離開了呢
[32:12] 就是已經交往一段時間
[32:15] 好 長到這邊來了
[32:17] 好 但我今天沒有動作
[32:18] 我還是看著他
[32:19] 我想可能真的就是
[32:20] 等他哪一天
[32:21] 比較有大型的回檔
[32:22] 或是整個大盤
[32:23] 因為今天大盤還是很好
[32:24] 不好的時候
[32:25] 我可能再來處理他
[32:28] 對 這是個人在
[32:29] 我看到今天
[32:30] 我所有的持股裡面的
[32:31] 一些小小想法
[32:32] 那因為我還是很強調一件事
[32:34] 不要去跟小萌剛剛講一樣
[32:36] 不要去羨慕別人
[32:37] 在某一黨
[32:38] 或是某個族群裡面的獲利
[32:40] 因為他的背後
[32:41] 他肯定不可能把100%的資金
[32:43] 都剛好壓在
[32:45] 漲最多的那一黨上面
[32:46] 那個是一個偏差的想法
[32:48] 所以呢
[32:49] 等一下今天晚上
[32:50] 像雲翔哥來他也會講
[32:51] 這一波他不做記憶體
[32:53] 他做別的
[32:54] 他做低軌衛星
[32:55] 他做一些半導體的材料
[32:57] 他做一些其他的東西
[32:59] 他也PCB等等的
[33:00] 他也一樣往他的目標邁進了
[33:03] 而且是有點超乎預期的賣進
[33:05] 所以市場上永遠可以有你選擇的東西
[33:08] 最重要的是不要在回檔或什麼時候
[33:10] 你是賠錢把它砍掉的
[33:12] 或是人家在賺錢
[33:13] 你在賠錢那當然感受是不好的
[33:15] 可是不用去羨慕那些
[33:17] 我今天股票什麼好多檔都漲停板或什麼的
[33:20] 那個不可能是他的全部
[33:21] 我覺得這個是在現階段一定要提醒各位
[33:24] 不用把那個這種心情太過的放大
[33:27] 那這裡的話
[33:29] 其實我覺得大家在操作上面
[33:31] 這終究是紀律跟策略的問題
[33:33] 因為你每個人的順勢逆勢的這種
[33:36] 交易想法不同
[33:37] 那我跟趙豪會比較像
[33:38] 然後跟朱老師也會比較像
[33:40] 我們都會等到他出現敗筆
[33:42] 我們再去賣
[33:42] 原因是因為行情這麼熱
[33:44] 我們就舉最實際的例子
[33:45] 南亞科好了
[33:46] 南亞科他雖然前面一波大漲上去
[33:48] 但他中間有一度回撤到140塊錢左右
[33:51] 可是你要想
[33:52] 如果今天你在140真的買進了
[33:54] 你真的在140買
[33:55] 那你因為他中間可能跌一天
[33:58] 或者你覺得漲到160已經是高點
[34:00] 我已經賺10%了
[34:01] 我就把它賣掉
[34:02] 後面那段都跟你沒有關係
[34:04] 所以即便你有可能
[34:05] 會吃到10%的獲利回吐好了
[34:07] 但是你就是因為
[34:08] 你願意去承受這樣子的波動
[34:10] 你沒有那種
[34:11] 就是我一定要賣在最高點的心態
[34:13] 反而會怎麼樣
[34:14] 反而你會看到股價
[34:15] 有機會越報越高
[34:16] 越報越高
[34:17] 報到現在已經到295塊錢
[34:19] 我說最高點295塊
[34:21] 那幾乎是一個翻倍的價差
[34:22] 所以很多投資朋友
[34:24] 在操作上面的盲點
[34:25] 我不是說這樣子做一定不對
[34:27] 因為你能賺錢
[34:28] 我就恭喜你
[34:28] 可是很多的盲點
[34:29] 就是你可能覺得
[34:30] 我獲利已經來到
[34:31] 5% 10%
[34:32] 我已經很開心
[34:33] 我很滿足了
[34:34] 所以我就把它賣掉
[34:35] 結果賣掉以後
[34:36] 股價繼續漲
[34:37] 你又覺得我賣飛
[34:38] 然後後面再繼續漲上去
[34:39] 我要不要追回來
[34:40] 你就會一直陷入
[34:41] 這種糾結的心態
[34:42] 那這個代表是
[34:44] 其實你心裡面
[34:45] 也就是想要去拆那個高點
[34:47] 那如果你覺得
[34:48] 這樣子會讓你很困擾的話
[34:50] 我還是會蠻鼓勵大家
[34:52] 就是你要能夠忍受
[34:54] 獲利回吐這件事情
[34:55] 你才有機會賺到
[34:56] 更大更大的報酬率
[34:58] 如果你一點點的
[34:59] 獲利回吐
[34:59] 你都沒辦法忍受
[35:00] 跌2%回檔2%
[35:01] 你就覺得
[35:02] 這裡是高點我要賣掉
[35:03] 那你註定的就是什麼
[35:05] 你要賺到翻倍的股票
[35:07] 除非他就是連續9根漲停板
[35:09] 那不然的話
[35:10] 你一定中間的過程
[35:11] 你會抱不住
[35:11] 所以我會鼓勵大家
[35:13] 在行情熱的時候
[35:14] 股票也不會是每天噴
[35:15] 你選好一些
[35:17] 你覺得鎖定的族群以後
[35:18] 趁著他股價回檔
[35:19] 來去逢低佈局
[35:21] 慢慢買
[35:21] 買一點買一點
[35:22] 那他股價上去了呢
[35:24] 你就是去想好
[35:25] 他沒有轉弱
[35:25] 那我就繼續抱
[35:26] 他轉弱了
[35:27] 我就把資金換到其他地方
[35:28] 我覺得這個可能是
[35:30] 一直到農曆年前
[35:31] 剩下來的將近
[35:32] 兩個禮拜多的時間
[35:34] 是可以一直用到
[35:36] 封關前
[35:37] 還有機會賺到
[35:38] 我覺得很滿意
[35:39] 獲利的一個方法
[35:40] 來跟大家做一個分享
[35:41] 最後還是不免俗的
[35:44] 跟大家聊
[35:45] 就是不想用個股的話
[35:46] 還是善用所謂的ETF
[35:48] 還是再次跟大家講
[35:50] 如果你喜歡美股
[35:51] 其實臺灣也有相對應的
[35:53] 不管也是投資在
[35:53] 納斯達克 費半
[35:54] S&P500
[35:56] 臺灣都有用
[35:57] 臺股計價
[35:58] 然後掛牌在臺股市場交易的ETF可以選擇
[36:01] 那如果你喜歡臺積電
[36:02] 你買不起臺積電
[36:03] 現在好像買一張臺積電的人
[36:05] 就可以牌上不知道前幾名的股東
[36:07] 好沒有關係
[36:08] 那你買0052
[36:09] 它有72%臺積電對不對
[36:11] 有人還特地傳訊息跟我說
[36:13] 0052裡面沒有臺達電
[36:14] 因為臺達電好像被歸為工業
[36:16] 沒有被這個富邦科技給選走
[36:18] 也沒有關係
[36:19] 因為你買0052要的是臺積電
[36:21] 這個是買臺積電的方法
[36:23] 那還有常常跟大家提到
[36:24] 這個主動式基金的經理人
[36:26] 也在這一波展現了他們的厲害之處
[36:29] 本來在這個今年的前十個交易日
[36:31] 是有點落後給被動式基金
[36:33] 馬上轉
[36:34] 馬上換股
[36:35] 現在你看這個
[36:36] 不管是981也982又都上去了
[36:38] 所以真的是蠻猛的
[36:40] 你也可以一部分配置在
[36:42] 用經理人幫你找這個個股的輪動上面
[36:46] 對
[36:46] 我覺得這些都會是在行情好的時候
[36:49] 參與臺股
[36:50] 你會比較壓力不大的方式
[36:52] 那當然還是切記一件事情
[36:54] 你想要在農曆年長假之前收回資金
[36:56] 那是沒有問題的
[36:58] 但是也要想好
[36:59] 接下來的策略呢
[37:00] 如果在過年期間
[37:01] 美股還是繼續上去呢
[37:02] 那你的想法是什麼
[37:04] 不過呢
[37:04] 臺股真的不可能都沒有回檔
[37:07] 這邊還是要強調一件事情
[37:09] 就像你把時間拉長來看
[37:11] 20年來看
[37:12] 臺股會永遠在右上角
[37:13] 可是在右上角的過程中
[37:16] 有沒有伴隨者曾經有鉅額的回檔
[37:18] 有
[37:19] 有沒有小幅的回檔
[37:20] 更多
[37:20] 所以還是一樣
[37:21] 那你會買在怕追高的話
[37:24] 就買在回檔的位置上面
[37:25] 我覺得總是讓你的持股成本
[37:28] 或是心理壓力小一點
[37:29] 好那今天很謝謝這個小明同學
[37:32] 他趕快去做他的直播了
[37:33] 辛苦他了
[37:35] 好那我們的今天的
[37:36] 趙懷谷貨載就到這邊了
[37:38] 大家拜拜
[37:39] 親愛的朋友大家拜拜
