[00:00] 欢迎收听赵华宜古货仔第1078集
[25:31] 但不要出现惊艳
[25:33] 因为上次太过惊艳
[25:34] 就会导致这一次会很难再往上修的压力
[25:39] 所以最好就是
[25:40] 永远都在大家预期的上缘处
[25:43] 让它能够一直保持着
[25:45] 持续往上走高
[25:47] 那我就常常讲
[25:48] 这个短线
[25:49] 简单来讲
[25:50] 短线是看不到
[25:51] 太明显的风险
[25:53] 当然我们常常听到
[25:54] 经济会有问题
[25:56] 常常是黑天鹅没错
[25:57] 但投资呢
[25:58] 就是我们看目前的状况
[26:01] 走一步
[26:01] 看一步
[26:03] 我们持续观察
[26:04] 现在没有太大的疑虑的情况下
[26:06] 投资上应该还是要维持乐观
[26:08] 其实如果大家
[26:09] 把台电的线性打开来看
[26:11] 10月开法说
[26:12] 1月开法说
[26:13] 4月开法说
[26:14] 每次开完法说
[26:16] 其实可能还会有点
[26:17] 微微往上面都讲得很好
[26:18] 然后后来就会遇到
[26:19] 一些事情修正
[26:20] 甚至就修正到
[26:22] 回到当初开法说的那个位置
[26:24] 然后再上去
[26:25] 到了下一次开法说的时候
[26:27] 事实上它已经会超越
[26:29] 上一次法说的高点
[26:30] 像现在也是一个
[26:31] 创新高开法说
[26:32] 所以可能会微微的
[26:34] 在未来的
[26:34] 可能一个月内
[26:35] 也许它会再压下来
[26:36] 但下一次它再开法说的时候
[26:38] 可能他又上去了
[26:39] 所以你看到他这样一个节奏
[26:41] 你就知道为什么要放心
[26:43] 以及前一阵子一直讲
[26:44] 一期自投的台积电压
[26:46] 大家如果有入手
[26:48] 就算领股也好
[26:49] 应该都会觉得
[26:50] 真的是赚到了
[26:51] 不是因为现在涨上来赚到了
[26:53] 是本来他的节奏
[26:55] 就是长这个样子
[26:56] 他就是成长股
[26:57] 未来复合年成长25%的公司
[27:00] 所以今天盘中最高有2090
[27:03] 不用太在意
[27:04] 他有稍微回
[27:05] 甚至回到1900
[27:07] 就买一点吧
[27:08] 那都没有的人
[27:09] 法说会后买一点
[27:11] 其实真的就是
[27:12] 现阶段
[27:12] 为什么又重新回到
[27:14] 好像是二月份的时候
[27:16] 跟大家聊
[27:16] 因为二月份不是一直涨一直涨
[27:17] 过完年一直涨
[27:19] 大家就很慌嘛
[27:20] 因为年假前
[27:21] 想说不要放年假的时候
[27:22] 报股过年
[27:23] 就低持股
[27:24] 当时我想我跟明翰
[27:26] 也是给大家建议是
[27:27] 如果你非常低持股
[27:28] 你就应该先买一点
[27:30] 对
[27:30] 那今天三万七千多点了
[27:33] 一样
[27:33] 如果这一波上来
[27:35] 你已经卖光光了
[27:36] 或是你都没有进来
[27:37] 你就一路眼睁睁的
[27:39] 心里面很害怕的
[27:40] 看到了创新高
[27:41] 那你还是买一点
[27:43] 总之就是无论如何
[27:45] 你手上要有点部位
[27:46] 你才有办法往上或往下做
[27:48] 这件事情在今天
[27:50] 很奇妙的
[27:51] 不是在三万两千点
[27:53] 跟大家讲
[27:54] 是在三万七千点
[27:55] 跟大家讲
[27:55] 那这边的话
[27:56] 还请明汉
[27:57] 我们就切入到产业的部分了
[27:59] 现在热门的还是这一些
[28:00] 设备股有回档
[28:01] 但是PCB还是很厉害
[28:03] 今天同博基板类的
[28:04] 载板类的
[28:05] 南电七百多块钱
[28:07] 这些都还是盘面上的强横强
[28:10] 所以我们有可能在等到他们稍作回档
[28:15] 还是一样就跟刚刚的逻辑一样
[28:18] 没有的人都先买一点在手上
[28:19] 我觉得稍微回档
[28:22] 我觉得是有可能的
[28:23] 尤其是设备族群
[28:24] 他的特色
[28:25] 他特色他会跟台积电的走势会比较接近
[28:29] 所以他法术会前很多人赌
[28:31] 他会相对比较强势
[28:33] 到法术会前就开始观望
[28:35] 法说会后
[28:36] 他的整理走势会跟台积电很相似
[28:39] 但是一个礼拜整理
[28:41] 但记得一件事情
[28:42] 一个礼拜后
[28:42] 过往记录台积电会比设备强
[28:45] 台积电会先走
[28:46] 走完大概接近两个礼拜之后
[28:48] 设备族群才慢慢跟上
[28:50] 那如果放的比较长线
[28:52] 当然因为中小型族群的关系
[28:55] 所以设备族群的表现
[28:56] 甚至会高过台积电
[28:58] 才是比较合理的
[29:00] 因为你担的风险比较大
[29:01] 你的报酬率自然就会相对比较大
[29:04] 我覺得這才是一個比較合理的一個架構
[29:06] 至於PCB載板的部分
[29:09] 老實講長得有點無法無天
[29:12] 今年以來就是這個樣子
[29:15] 真的
[29:15] 我覺得它的架構跟台積電有點像但是因為他們中小型族群波動又更大一開始年初就樂觀他當然漲是合理的但漲到你覺得好像有點離譜了
[29:31] 他又開始放出一些利多
[29:34] 大家又上修他的EPS
[29:37] 發現其實本益比好像也沒什麼太大
[29:39] 他本益比是很高
[29:41] 我們要重申本益比很高
[29:42] 但是他只要漲
[29:44] 大家都在上修
[29:45] 他再漲
[29:46] 大家再上修
[29:47] 但是一直都维持一个很高的本益比的一个恐怖平衡
[29:51] 那所以我觉得我还是重申就是
[29:55] AI族群呢
[29:57] 应该是尽量每个产业都布局一点点
[30:00] 其实老实讲也不用多
[30:01] 四到五个产业其实就很多了
[30:05] 你从这个晶片
[30:08] 晶片大概就只有台积电
[30:09] PCV族群散热啦
[30:12] 或者是机壳啦
[30:14] 甚至到组装
[30:15] 现在组装都很弱
[30:17] 可是我觉得也应该稍微布局一些些
[30:19] 其实整体架构
[30:21] 大家都会持续健康轮动
[30:23] 那我还是觉得说
[30:25] 这个趋势是不会改变
[30:27] 就像刚刚赵华提到说
[30:28] 你总是应该买一点点
[30:30] 我们再把这个时间拉长一点
[30:32] 一样回到二三年以来
[30:34] 记得一件事情
[30:35] 你只要做到这个所谓的
[30:38] 你只要做到两件事情
[30:40] 其实你的投资主轴绝对不会错
[30:43] 第一个就是资金放在AI上
[30:45] 第二就是要报警
[30:46] 就是报警筹码
[30:48] 其实他怎么震荡都只是暂时的
[30:51] 最后还是会持续不断走高
[30:53] 当然就是刚才提到
[30:56] 有一些投资人可能这个
[30:57] 第一点位抓得准
[30:59] 第二手脚也够快
[31:01] 那他上来了
[31:03] 他就减码甚至把它出掉
[31:05] 然后等待震荡拉回的时候
[31:07] 再重新买回赚点价差
[31:09] 我觉得这个当然是一个很好的策略
[31:12] 但是这个我常讲
[31:14] 这个真的要看每个人的属性
[31:16] 如果今天你自己
[31:18] 这个短线买卖有赚到价差
[31:21] 你记得就是要持续操作
[31:24] 认真一点
[31:24] 然后中间有价差多少赚
[31:27] 但是如果你每一次进去
[31:29] 你会发现该卖的时候
[31:31] 你又就在那边犹豫不决
[31:34] 然后等到卖完之后
[31:35] 拉回来没买又过高才追回来
[31:38] 最后其实还不如干脆都乖乖的抱着
[31:40] 从头到尾抱着
[31:41] 对 反而是比较对的策略
[31:44] 所以刚刚就是跟大家提到
[31:47] 尽量布局在AI族群
[31:49] 那你自己手中的持股
[31:51] 你其实也不用跟着说
[31:53] 多认真
[31:54] 所有新闻都要了解
[31:56] 其实不重要
[31:57] 你只要看看他的财报
[31:58] 看看他每个月的营收
[32:00] 然后都在AI
[32:02] 有跟着AI族群走
[32:04] 营收还在持续走高
[32:06] 那就最后我刚刚提起的就是
[32:09] 台积电做完晶片
[32:10] 其实最后还是整机必须要装好才能出去
[32:15] 所以当晶片做好
[32:17] 代表的后面什么散热PCB
[32:20] 最后都还是得拉货
[32:21] 最后还是得组装
[32:23] 所以台积电营收能创高
[32:25] 代表后面的这些族群营收也都还会创高
[32:28] 所以股价来讲
[32:29] 再次重申
[32:31] 你在4月就认为会高点就会拉回
[32:34] 我觉得理论上怕年底又会觉得
[32:37] 当时可惜没有上车
[32:39] 好
[32:40] 今天像贵买啊
[32:42] 贵买也是创新高的状况
[32:43] 贵买还爆量了
[32:44] 贵买现在交易量是三千亿
[32:46] 三千亿以前是台股的大量了
[32:49] 现在光一个贵买的成交量
[32:51] 就要三千亿了
[32:52] 所以这个中小型族群
[32:55] 或是这种比较活泼的
[32:56] 小股本族群
[32:57] 他们可能也是现在盘面上
[32:59] 大家会觉得体感很热的一个原因
[33:02] 因为贵买的话
[33:03] 它通常代表是散户的心情
[33:05] 所以今天贵买的表现
[33:07] 也是非常厉害的
[33:08] 那刚刚讲到的
[33:09] 所有的热门族群
[33:10] 我们目前没有看淡的
[33:11] 除了我们之前有提过记忆体
[33:14] 对
[33:15] 民汉的记忆体想法
[33:17] 跟我是比较一致的
[33:18] 就是他比较容易受到
[33:20] 目前看起来
[33:21] 就是整个报价
[33:22] 以现货市场
[33:24] 受到一些比较大的压力
[33:25] 我这边再讲一点点我的想法
[33:27] 因为大家知道
[33:27] 我们当然记忆体有分两派
[33:29] 其实80%
[33:30] 都会觉得台湾的记忆体
[33:32] 当然目前以他们的获利来说
[33:34] 似乎是有点低估了
[33:35] 因为现在什么海力士
[33:37] 这个凯夏
[33:38] 然后美光Sandisk的股价表现都很好
[33:41] 就我们自己台湾人记忆体弱到个不行
[33:44] 可是我自己的观察是因为
[33:45] 毕竟韩美都是做高阶的HBN这件事情
[33:50] 跟我们毕竟在结构上真的长不一样
[33:52] 然后再来是像他们讲什么长期存储
[33:55] 长江存储
[33:55] 说现在还有家新的也要量产
[33:57] 他们真的会比较打到我们
[34:00] 而不一定会打到人家做高阶HBN的
[34:02] 这就是我们一直都比较担心台湾记忆体的原因
[34:05] 但是不能否认他们的获利超好
[34:07] 所以会形成一个
[34:09] 到底要去取决于股价超跌
[34:12] 还是一个报价受压
[34:13] 人家在扩产等等的压力
[34:15] 这个大家可能就要去拿捏
[34:17] 这个心中的一把尺
[34:19] 不过今天有受惠记忆体的
[34:21] 一个讯息的人是联电
[34:22] 因为联电以前有做过记忆体的颗粒
[34:25] 所以呢
[34:26] 他现在就说
[34:27] 他现在也要切入这个
[34:28] 记忆体的晶片的设计这样子
[34:30] 所以今天联电就
[34:31] 没有证实这个传闻
[34:33] 但直接就拉一根掌停板
[34:34] 可是如果联电竟然参战
[34:36] 那会不会像什么力基电
[34:38] 或是南亚科
[34:39] 他们会有点压力
[34:40] 我不确定
[34:41] 我也不确定他们的产品线有没有重叠
[34:42] 只是我觉得这个讯息挺有趣的
[34:45] 因为今天联电是很早
[34:46] 一开始就拉上听了
[34:48] 我觉得这个
[34:49] 这个一样
[34:50] 股价跟基本没有分开
[34:52] 我们刚才提到
[34:53] 联电这事情没有获得证实
[34:55] 但我这样讲好了
[34:57] 就算我个人觉得
[34:58] 就算证实
[34:59] 这个要记得一件事情
[35:01] 就是这个
[35:02] 要做一个晶片
[35:05] 不是炒一碗饭
[35:06] 没有错
[35:07] 对对
[35:07] 我们决定今天要弄一弄
[35:09] 明天就有
[35:10] 这个一次下去
[35:11] 都是用年下去做单位的
[35:13] 所以老实讲
[35:15] 这种记忆体的循环
[35:16] 都是用记为单位
[35:18] 不是年为单位
[35:19] 所以你现在讲说谁要扩产
[35:22] 其实都老实讲
[35:24] 真正对供需
[35:25] 其实都不会有显著影响
[35:27] 这个就像前天南亚科的法术会有提到
[35:31] 说今年供不应求的架构
[35:33] 贯穿全年是不会改变
[35:35] 我很相信
[35:36] 这个是真的
[35:37] 他讲的都是真的
[35:39] 就是贯穿全年供不应求
[35:41] 这是真的
[35:42] 他的第二季的报价也还在往上
[35:45] 这也都真的
[35:46] 因为他的是合约价
[35:48] 合约价跟这个现货价是有落差的
[35:52] 现货价从去年九月涨到今年一月底
[35:56] 其实涨了十倍以上
[35:58] 但合约价不可能那么高
[36:00] 所以会导致一个现象
[36:01] 就是看到现货价已经开始有点下跌
[36:05] 但合約價還會再持續往上
[36:07] 所以代表著應該說
[36:09] 整個台灣的記憶體的營收跟獲利
[36:13] 你都會持續看到不斷創高
[36:15] 包含我們剛剛提到三月的營收
[36:19] 第一季的財報
[36:20] 一直到四五六都還是會持續創高
[36:23] 這是非常合理的現象
[36:25] 但是有比較大的問題
[36:27] 就過往經驗
[36:28] 就是記得一件事情
[36:30] 就是這個也不是只有記憶體
[36:33] 就是所有的股市都一样
[36:37] 就是股市有一个预知未来的能力
[36:40] 这我也是不断地在里面
[36:43] 见识到股市真的有预知未来的能力
[36:47] 他可以知道哪一个公司
[36:50] 半年后会见高点
[36:52] 他半年前就会开始走弱
[36:54] 这个老实讲什么原因
[36:56] 当然也可以用很多方式解读
[36:59] 比如说内部
[37:00] 甚至老实讲半年前
[37:02] 连公司内部最重要的
[37:05] 看数字的关键人员都不会知道
[37:07] 包含Sales在卖都还是供不应求
[37:11] 但是股价在半年前
[37:12] 就会先见到高点开始下跌
[37:15] 所以老实讲
[37:16] 这很难做很合理的解释
[37:18] 但这就是股市厉害的地方
[37:20] 但是刚刚提到的
[37:22] 就是记忆体
[37:23] 它就会有一点点的压力
[37:25] 就是你没办法就现在的数字
[37:28] 来去猜测它的高点在哪里
[37:30] 只能说尊重市场
[37:31] 我常常讲
[37:33] 在这种循环之下
[37:36] 如果它已经大涨过后
[37:38] 这种族群把握一个原则
[37:40] 只有强势的时候才能买
[37:42] 弱势的时候是不能买的
[37:44] 要记得这件事
[37:45] 弱势的时候千万不能买
[37:46] 你不能因为它弱
[37:47] 因为它本益比很低
[37:49] 它修正到哪里了就有价值
[37:51] 这个都是你用现在的角度下去看
[37:55] 因为他们循环过后
[37:56] 他们的获利会从原本的个位数
[38:00] 突然涨到几十块
[38:02] 未来还可能再回到
[38:04] 之前不太赚钱的架构
[38:07] 所以你现在觉得
[38:08] 以现在的本益比来讲很低
[38:10] 那是现在
[38:11] 所以我还是要重申
[38:12] 就是这个产业
[38:14] 我们以前看的时候
[38:15] 就是两个关键点
[38:17] 一个是刚刚提到
[38:18] 国际的股价
[38:20] 就是三星海力士美光
[38:21] 那另外一个就是报价
[38:23] 现在的最弱势
[38:24] 就是报价在转弱
[38:26] 所以导致股价一蹶不振
[38:28] 另外三个股价
[38:30] 以前都可以做参考
[38:32] 但这次不一样
[38:33] 因为这次
[38:34] 这三家龙头宫
[38:37] 我们已经分到扬镳
[38:38] 因为我们还在做
[38:39] DDR4为主
[38:40] DDR5的比例
[38:42] 连两成都不到
[38:43] 那人家已经在做HBM了
[38:45] 所以呢
[38:46] 他们跟我们股价会有脱钩
[38:48] 我觉得也不意外
[38:49] 所以最后就是重申
[38:51] 做记忆体的投资人
[38:53] 要乖乖的去看报价走势
[38:55] 第二个就是呢
[38:57] 这个族群
[38:57] 他跌身转强的时候
[38:59] 进去赚价差
[39:01] 没有问题
[39:01] 但是下去的时候
[39:03] 绝对不要往下谈
[39:04] 因为它最后
[39:06] 你现在觉得本益比很低
[39:07] 没错
[39:07] 但是你过一段时间
[39:09] 你会发现他们的获利
[39:11] 半年后才开始反转
[39:12] 代表着
[39:13] 其实以明年或后年的角度
[39:16] 其实它本益比
[39:17] 不代表真的很低
[39:18] 好
[39:19] 不知道为什么
[39:20] 因为我们
[39:21] 常常跟大家分享说
[39:22] 我就是目前比较
[39:23] 没有在管记忆体
[39:25] 可是每次都会花很大的篇幅
[39:26] 跟大家聊记忆体
[39:28] 我又聊到后来
[39:28] 应该天骨破仔的朋友
[39:30] 应该其实都没有什么做记忆体吧
[39:32] 那也因为我发现
[39:34] 其他几个热门趋势产业
[39:36] 没什么问题
[39:37] 我变成民汉了
[39:38] 像仔板
[39:40] 每一次下来都有提醒
[39:42] 因为仔板的波动
[39:42] 其实大起来也很可怕
[39:44] 我们之前很常拿新兴做例子
[39:46] 新兴涨到好像500
[39:48] 我都被打回400块
[39:49] 然后那就是一个波段低点
[39:50] 然后涨到600
[39:52] 被打回450
[39:53] 又是一个波段低点
[39:54] 然后又上去了
[39:55] 所以现在
[39:56] 我觉得他们很明确一件事情
[39:59] 就是回党
[40:00] 你要对他们有信心
[40:02] 其实整个台股呈现的
[40:03] 就是一个这样的现象
[40:04] 回党
[40:04] 你要对这些热门族群
[40:06] 是有信心的
[40:07] 尤其是他
[40:07] 如果是在成长的轨道上
[40:09] 那你随便摊开
[40:10] 每一天的强势股
[40:11] 就可以看到
[40:11] 一定有这些领头羊在里面
[40:13] 例如说像低轨卫星好了
[40:15] 奇迹
[40:15] 他虽然有经过前两天
[40:17] 有一个洗盘
[40:17] 但今天还是再创历史新高
[40:19] 这个就西华和经济
[40:22] 十一远见起来了
[40:24] 昨天和前天
[40:25] 都有特别跟大家分享说
[40:26] 其实这一波被动元件
[40:27] 我个人听到的讯息是
[40:29] 涨价涨真的
[40:30] 然后族群的整个形态
[40:32] 看起来也变得相对是
[40:34] 整齐跟健康很多
[40:36] 比起之前那个断断续续
[40:38] 我觉得健康很多
[40:39] 当然国具还是有点点
[40:40] 小不干不脆
[40:41] 可是中小型的
[40:42] 真的看起来就很强
[40:43] 而且有听到
[40:44] 所谓的电源大厂
[40:45] 有开始跟几个
[40:47] 被动元件厂商
[40:48] 要签下所谓的长约
[40:50] 这就代表
[40:51] 他希望能够在大涨价前
[40:53] 能够取到一个合理的合约
[40:55] 那有听到这样的讯息
[40:56] 所以我对这一波被动元件的看法
[40:58] 是属于比较正面的
[41:00] 那今天在排面上被动元件
[41:01] 除了实营元件之外
[41:02] 也是有像什么信仓店
[41:04] 这类型的比较小型的股票
[41:06] 也是涨停板的
[41:07] 我觉得这些都可以来做
[41:08] 大家在选股上面的一些想法
[41:11] 那PCB还是很强
[41:12] 连帽从三地变三哥
[41:14] 所以为什么我们可能
[41:16] 花偏扶在记忆体上面
[41:18] 是因为有点担心
[41:19] 大家在记忆体上面会持续受伤
[41:22] 就有点错过了刚刚念的这一些
[41:24] 包括细光子都有
[41:26] 前顶今天还是涨停
[41:27] 就是他们都还是一个
[41:29] 整体趋势向上的
[41:31] 而且不管你看高作地也好
[41:33] 朝林投杨也好
[41:34] 都是会赚钱的
[41:35] 不妨把资金多关注在这些族群上面
[41:38] 然后像大立光昨天有提到
[41:40] 他其实是99之前
[41:42] 我记得大概三个月前吧
[41:45] 他就已经公告
[41:46] 他就是做细光子的公司
[41:48] 不过因为前两天投信没有青睐
[41:50] 今天再看一下有没有
[41:51] 我还是觉得
[41:53] 它算是我心目中有潜力的公司
[41:56] 我觉得这边也是提供给大家我的观察
[41:58] 刚刚提到所谓的被动元件
[42:02] 我补充一下
[42:03] 我个人觉得对比来讲
[42:05] 被动元件我个人觉得跟PCB
[42:09] 我觉得如果今天让我选
[42:12] 我觉得算是一个两个蛮公平的产业
[42:15] 就我来讲
[42:16] 我觉得如果今天我两万块
[42:18] 我可能各买一万块
[42:19] 不会差很多
[42:20] PCB结论就是基本面还是远比
[42:23] 被动元件好
[42:24] 但是股价位阶比较高很多
[42:26] 就是被动元件
[42:27] 它的位阶相对是低很多
[42:29] 但是它的动能是不如PCB的
[42:32] 就是一分钱一分货
[42:34] 那就是现在的架构呢
[42:36] 就是动能好的就是比较贵
[42:38] 动能比较差一点点
[42:40] 它就是比较便宜
[42:41] 所以我觉得这个如果
[42:43] 因为你在投资上
[42:44] 你必须要考量到很多的架构
[42:46] 基本面好
[42:47] 贵好
[42:48] 可是你股价位阶
[42:49] 也必须要去做考量
[42:51] 所以我觉得
[42:52] 其实落差性并不会太大
[42:55] 大家都有吃到AI
[42:56] 但是吃到AI的比例是有落差
[42:59] 导致基本面的一个差异存在
[43:03] 但是我觉得应该说
[43:05] 现在比较好的现象就是
[43:07] 假设我们刚刚预期台积电
[43:10] 再来要休息了
[43:11] 代表着就是
[43:13] 大家也会认同
[43:14] 不会有太大系统性风险
[43:16] 所以资金如果从
[43:17] 不再去大型全资股
[43:20] 它自然又会回到OTC上
[43:22] 所以刚刚提到
[43:23] 今天也是OTC爆量
[43:25] 就中小型爆量
[43:26] 然后能够创高
[43:28] 我觉得下礼拜
[43:29] 他们相对比较强势的机会是高的
[43:32] 就是大家还是会留在这个场内
[43:35] 尽量选择大型全资股休息
[43:38] 其他的部分下去操作
[43:39] 所以投资人长短线分开
[43:41] 短线你就去选择这些中小型强势的
[43:45] 但是如果你今天短线
[43:47] 每次都玩不过人家
[43:49] 那你还不如
[43:50] 大型圈子股
[43:51] 休息拉回的时候
[43:52] 下礼拜就是布局的时间点
[43:55] 就像很多人说
[43:56] 之前买这个美股七巨头
[43:57] 曾经两年前风光一时
[44:00] 去年你觉得闷爆了
[44:01] 现在其实他们动起来了就是大型圈子是不是也会有动起来说会啊最近美股的七巨头是不是表现就相对比较好回答其实也在涨哦我觉得这些是可以观察的
[44:12] 然后刚刚有一个说法是
[44:14] 与其就是短线
[44:17] 要去跟别人玩
[44:18] 有时候爆肠的
[44:19] 反而真的是比较有机会
[44:22] 我这边再一次的讲
[44:24] 为什么在三月的时候
[44:25] 一直跟大家讲
[44:25] 往下杀的时候买ETF
[44:27] 因为往下杀的时候
[44:28] 有时候个股真的会杀很深
[44:29] 或是波动很大
[44:31] 大家的压力会很大
[44:32] 可是因为ETF
[44:33] 经理人会想办法
[44:34] 在逆势帮你想办法
[44:35] 而且它是一箩筐的股票
[44:37] 所以一旦有反攻反弹
[44:38] 你不敢捡
[44:39] 但他们会帮你先捡起来
[44:41] 所以往下杀的时候
[44:42] 我都会建议大家
[44:43] 你就先买ETF
[44:44] 不一定要特别去捡一些个股
[44:46] 怕你接到刀子
[44:47] 可是气氛好的时候
[44:49] 我个人就比较推荐是
[44:50] 可以找一些股票了
[44:52] 气氛好
[44:53] 股票就会强很强
[44:54] 那ETF不是不能买
[44:55] 假设你真的还是很害怕个股
[44:57] 你当然现在
[44:58] 要去捡一点ETF的部位也不错
[45:00] 我想逻辑都跟大家讲了
[45:01] 往上涨的时候
[45:02] 你可以进一点
[45:03] 当然如果出现往下点
[45:04] 就要加更多一点
[45:06] 那这边有一些
[45:07] 听众朋友最近
[45:08] 给我一些回馈
[45:09] 我觉得蛮开心的
[45:10] 我也再念个两三则
[45:11] 因为大家知道
[45:13] 这个频道现在
[45:14] 感觉上是用碎碎念念起来的
[45:16] 那明汉也是个
[45:17] 会碎碎念的人
[45:18] 我上次
[45:19] 黄峰凯凯哥来
[45:20] 我说你碎碎念
[45:21] 他还念不起来
[45:22] 不知道为什么
[45:23] 韦泰也稍微可以念
[45:25] 明汉很会念
[45:26] 所以我们赶快来念一下
[45:28] 好 像这位朋友
[45:29] 他讲的是蛮简单的
[45:30] 他说他是理财单位秀
[45:32] 和赵怀谷破载的忠词听众
[45:34] 他说他昨天
[45:36] 应该说前天的
[45:37] 因为这则是昨天传来的
[45:38] 有关经济的事情
[45:39] 为什么会讲到经济
[45:41] 十一元件
[45:41] 我有提到理财单位秀
[45:43] 就有人留言抱怨说
[45:44] 当初小哥说地缘分点在收
[45:46] 然后结果等了好久
[45:48] 觉得被套住了就很生气
[45:50] 好不容易最近才解套
[45:52] 我就说不是解套
[45:53] 如果从小哥说到现在
[45:55] 因为我是买在小哥说之前
[45:56] 我们的理由不一样
[45:58] 小哥说地缘分点
[45:59] 我是因为那时候
[46:01] 我知道他全年业绩不错
[46:03] 然后石英元件
[46:04] 其实也有用量提升
[46:05] 但是他完全没有反映
[46:07] 在任何的AI题材上
[46:08] 所以那时候
[46:09] 是以直立率的角度去买他的
[46:11] 然后也因为
[46:12] 我自己好朋友在经济
[46:13] 就知道说他们业绩
[46:14] 真的是没问题
[46:15] 又在扩产
[46:15] 这个都去听
[46:17] 前两天的
[46:18] 我就不赘述了
[46:19] 现在不是解套
[46:21] 现在是标了
[46:22] 大概至少六七十趴
[46:24] 这位朋友他就是有听话
[46:26] 那时候买了经济
[46:27] 用领股的方式慢慢买进
[46:29] 他现在公布获利是40%
[46:31] 他说呢
[46:32] 他我觉得这句话很好
[46:33] 没有破五军之前会继续抱着
[46:36] 因为你获利已经拉开了
[46:38] 你就要找一个出场的理由
[46:40] 像我最近也有点想卖经济
[46:42] 不要影响到各位哦
[46:43] 我想卖是因为报酬率60几%
[46:46] 70%
[46:47] 那对我来说
[46:48] 当初是因为有一个殖利率的题材
[46:51] 当然现在经济也被大家纳入说
[46:53] 以这个所谓泛被动原件领域
[46:56] 他有涨价跟用量提升题材吗
[46:59] 可能本益比会再做提升
[47:01] 这个我也承认
[47:02] 不过我自己内心也会有一把尺
[47:04] 就是哇
[47:05] 涨了六七十八
[47:06] 可能要八十八
[47:07] 我等一下再看一下我的库存
[47:09] 那到底要不要获利了结
[47:10] 麦菲就算了
[47:12] 不要再跟我讲
[47:12] 很多人一直跟我分享说
[47:14] 他麦菲多难过
[47:15] 不要再难过了
[47:16] 这就是你自己做决定
[47:17] 就像我现在做决定
[47:18] 要自己负责
[47:19] 好不好
[47:19] 继续念完这位朋友
[47:21] 我每次都会岔题
[47:22] 然后他就说
[47:23] 因为还没有成为
[47:24] 我们的观众跟听众之前
[47:25] 那常常卖飞
[47:27] 例如说15块就把长龙海运卖飞
[47:29] 你不要难过
[47:30] 我扬名卖过11块
[47:31] 然后30块买监点
[47:34] 40块就卖飞
[47:35] 所以这一次
[47:36] 他有了解达人的思维
[47:38] 好好的抱住载板的新星
[47:40] 还有刚刚讲的经济
[47:42] 以及也抱住了主动式的ETF
[47:44] 全职妈妈的
[47:45] 我每天接送小孩之余
[47:47] 接收资讯投资也获利
[47:49] 这边的话还有点名说
[47:51] 小朋友下班回来
[47:54] 下课补习下课回来
[47:55] 会看理财大人秀
[47:56] 说得出来
[47:57] 小咪同学
[47:58] 名汉协理
[47:59] 对
[48:01] 他说连我在节目
[48:02] 什么佛心幽默都背起来了
[48:04] 好
[48:05] 好那个
[48:06] 我补充一下
[48:07] 我觉得有一个关键点
[48:08] 我就刚刚绕好讲
[48:10] 这以经济来讲
[48:11] 我觉得到底
[48:13] 卖不卖飞
[48:15] 我觉得倒小事
[48:16] 我觉得
[48:16] 我自己的观念
[48:18] 跟大家分享
[48:19] 我觉得你要进场的时候
[48:21] 每个人
[48:22] 我常跟同志讲
[48:23] 你进场
[48:24] 你一定要有一个中心思想
[48:25] 你为什么要买这张股票
[48:27] 就不用多一个就好
[48:29] 可是有个问题
[48:30] 你进去的时候
[48:31] 你要用这个理由进去
[48:32] 可是每个人出场时间点就不一样
[48:35] 刚刚经济就很明显
[48:37] 如果你今天是小哥
[48:39] 他当时就是讲就是筹码集中
[48:41] 那你就必须观察
[48:42] 发现筹码集中
[48:44] 就代表他应该要涨
[48:45] 万一他都没涨
[48:47] 然后那个筹码开始分散
[48:49] 那你也得出场
[48:50] 因为你一开始赌的就是
[48:52] 他筹码集中之后会开始拉抬
[48:56] 万一是错误的
[48:58] 那也没关系
[48:58] 你就小赔就出场就结束了
[49:01] 那赵华如果说今天是以殖利率
[49:03] 那喷书那没什么话好讲
[49:04] 因为你大涨殖利率就下来了
[49:06] 所以你原本进场的那个利基就不在了
[49:10] 那你就应该要出场
[49:11] 但是如果你今天一样买经济
[49:13] 可是你是认为他下半年会好
[49:15] 那虽然说现在已经获利六成
[49:17] 那我就会建议你不要卖
[49:19] 因为你看这下半年的业绩
[49:21] 所以每个人进场论点
[49:23] 本来就不一样
[49:24] 没错
[49:24] 所以你要想一个问题
[49:26] 当你进场论点不对的时候
[49:28] 你该退场
[49:29] 但我退场不代表你该退场
[49:32] 因为我们本来
[49:33] 进场的论点就不一样
[49:35] 没错
[49:35] 因为呢
[49:36] 虽然我说是用殖地率
[49:37] 但是我也承认一件事
[49:39] 我当然不可能说
[49:40] 就是因为它殖地率好甜
[49:42] 我就买它
[49:43] 我一定也在想说
[49:44] 奇怪
[49:44] 因为其实那时候我问同学
[49:46] 同学说
[49:46] 我们也算是AI的一环
[49:48] 只是市场现在就没有认同
[49:50] 你当然内心也会觉得
[49:51] 总有一天
[49:52] 大家应该也会被市场认可
[49:54] 它就是AIE有所谓的涨价
[49:56] 或者是用量提升题材吧
[49:57] 那现在是不是涨这个
[49:59] 其实现在涨的是这个
[50:00] 现在当然市场不可能因为
[50:01] 经济殖利率好高
[50:03] 跑去买
[50:03] 不是嘛
[50:04] 现在市场就把它跟着被动元件
[50:06] 就挂一包一起来了
[50:08] 所以对我来说
