[00:00] 歡迎收聽趙懷谷貨載第1020集1020
[21:27] 因為低谷衛星在漲
[21:28] 所以臺灣有很多
[21:30] 相對應的產品
[21:31] 被動式的優點缺點
[21:32] 也是一念之間
[21:34] 跟主動式一樣
[21:35] 被動式就是
[21:36] 他股票進來
[21:37] 他不能隨便換嘛
[21:38] 所以他可能可以忍耐過
[21:39] 那一段震盪時間突然噴了
[21:41] 他就也噴了嘛
[21:42] 所以他們各有各的好處啦
[21:44] 我覺得大家可以練習
[21:46] 現在在31500點以上
[21:49] 用一點點ETF嘗試進場
[21:51] 然後不要忘記一件事
[21:53] 去年12月我們才歷經過
[21:54] 臺股是會回撤季線的
[21:56] 你回撤的時候
[21:57] 再丟多一點錢去加碼
[22:00] 我覺得問題不大
[22:00] 不會沒有這種時間
[22:02] 一定會有的
[22:03] 對啊
[22:03] 所以其實剛剛照了非常很多啊
[22:05] 所以我們會跟大家講
[22:06] 其實今天排名上
[22:07] 很多熱門的產業
[22:08] 但在講產業之前
[22:09] 還是要跟大家講
[22:10] 風險報酬比的觀念
[22:12] 對也代表說
[22:14] 其實你會發現到
[22:14] 我覺得現在風險報酬比
[22:16] 你要分成兩個來看
[22:17] 一個是價格風險
[22:18] 一個是時間的風險
[22:19] 價格風險顧名思義就是說
[22:20] 你喜歡追那種
[22:21] 每天強勢創新高的股票
[22:24] 它的所謂的風報比
[22:26] 就是它承受比較高的風險
[22:27] 但同時會帶來高報酬
[22:29] 那如果說你不是這樣的人的話
[22:30] 基本上我覺得
[22:31] 這個你就是潛藏就此
[22:33] 那如果說你喜歡什麼
[22:34] 就喜歡那種低風險
[22:36] 低報酬穩定的
[22:37] 你就經常去找一些價值的股票
[22:38] 另外時間風險也是一樣
[22:40] 就像剛剛提到的老AI股票
[22:42] AI族群
[22:42] 他們具備不具備價值
[22:44] 具備
[22:44] 但你現在買它
[22:45] 你就要拖比較長的時間
[22:47] 你要承擔比較長的時間風險
[22:48] 但是如果你時間撐過的話
[22:50] 我相信都會有一個好的報酬
[22:52] 因為目前來看
[22:53] 就像剛剛提到的老AI股票
[22:55] 第一個毛利率在下滑
[22:56] 有一部分可能是產品的調整
[22:58] 或說學習體驗上來
[22:59] 第二供應第三供應進來之後
[23:02] 造成毛利率的競爭
[23:03] 但我覺得這些東西
[23:04] 在這個下一代的
[23:06] Mera Rubin的一個出貨之後
[23:08] 應該能夠改善
[23:09] 就開始重新拉開
[23:10] 所謂強弱的一個狀況
[23:11] 那第二件事情
[23:12] 我覺得跟川普的政策有關
[23:14] 上禮拜五川普公佈了一個行政命令
[23:16] 那說針對這些所謂科技巨頭
[23:19] 他們要提前去購買
[23:22] 未來十年十五年的一個
[23:23] 電價的合約
[23:24] 因為川普要啟動選舉嘛
[23:26] 他不希望AI的用電
[23:28] 來去造成這個
[23:29] 美國民眾的電價的大漲
[23:32] 會影響他的選票
[23:33] 那這個也代表說
[23:34] 這些所謂AI巨頭
[23:35] 會投資本支出
[23:37] 他們的一個資本支出的先後順序
[23:39] 可能就是現在就是以
[23:40] 鞏固用電安全為優先
[23:42] 接下來可能是一些
[23:44] 營建的支出
[23:44] 原物料的支出
[23:46] 相關關鍵零元件的支出
[23:48] 最後才回到
[23:49] 所謂的臺灣的組裝廠
[23:50] 所以我覺得這個當然代表說
[23:51] 你看到老外的股票
[23:53] 為什麼我們跟大家講
[23:53] 他們現在就承擔
[23:55] 比較長的時間風險
[23:56] 因為買了之後
[23:57] 可能要等很久
[23:58] 那我覺得大家就是
[23:59] 用這個方法去看一下
[24:00] 你的產業是不是有
[24:01] 具備這樣的一個情況
[24:03] 那我們先跟大家講
[24:04] 現在看起來
[24:05] 具備高風險高報酬的相關產業在哪裡
[24:08] 第一個就在記憶體族群
[24:10] 今天你可以發現到
[24:11] 記憶體我覺得就有點像瘋了一樣
[24:13] 很多我們講
[24:14] 現在記憶體有九檔股票被處置
[24:17] 那這九檔當中
[24:18] 我今天看一下應該有六檔
[24:20] 然後七檔是漲零半
[24:21] 好因為劉德英董事長
[24:23] 對不對
[24:23] 揭露了他買了美光2.4億臺幣左右
[24:27] 然後買的價錢大概317
[24:30] 就是相當高
[24:31] 不是什麼其他商店買的相當高
[24:33] 所以大家就會覺得
[24:34] 如果劉德寧董事長都有這樣的眼光
[24:37] 可見的一定看到了什麼
[24:38] 記憶體了不起的未來
[24:40] 那南雅科今天下午開法說會
[24:42] 目前有位元組
[24:43] 就是也不能說位元組
[24:45] 就開法說會
[24:45] 就等於公告了
[24:46] 這個去年第四季EPS是賺了3.58元
[24:50] 轉虧為盈
[24:51] 全年賺了2.13元
[24:53] 可見的前三季是賺賠錢的
[24:55] 所以靠第四季把它弄回來
[24:57] 這樣子
[24:58] 然後這個成績我已經有點模糊了
[25:00] 我就跟漢偉哥說這樣是好嗎
[25:02] 然後漢偉哥說第四季
[25:03] 其實賺的有比市場預期低一點
[25:05] 我說有嗎
[25:05] 其實我已經搞不清楚了
[25:07] 感覺他們只要有賺錢沒賺錢
[25:08] 像利基電現在今天有這個
[25:10] 美光廠
[25:11] 賣廠給美光18億元的事情
[25:13] 證實是真的
[25:14] 黃董這次沒有騙人
[25:15] 相信黃董
[25:17] 賣廠給美光是真的
[25:19] 所以利基電繼續漲停板
[25:21] 所以現在就
[25:22] 因為他11月利基電自己也是虧錢
[25:24] 所以那時候我就覺得
[25:25] 好像不管虧錢賺錢
[25:27] 只要是記憶體
[25:28] 現在就會漲
[25:28] 再加上劉德英的加持
[25:30] 但大家要記得
[25:31] 劉德英那時候卸任前
[25:32] 說的最後一句話是
[25:34] 請大家買臺積電的股票
[25:35] 所以真的是送了很多錢給大家
[25:38] 對那我覺得當然劉德英
[25:40] 買美光的股票
[25:42] 應該是禮拜五美股盤前
[25:43] 最大的事情之一
[25:44] 因為從那個訊息傳出來之後
[25:46] 看到美光的電子盤
[25:48] 就盤後盤直接大漲
[25:49] 五個百分點以上
[25:50] 那到了禮拜五
[25:52] 你看美股大部分都開高走低
[25:53] 但唯獨在非半值度創造率的新高
[25:56] 最大貢獻
[25:57] 當然就來自於所謂的這個
[25:58] 美光的股價漲了
[26:00] 7%創造率的新高所帶動的
[26:02] 那我會跟大家講就是說
[26:04] 美光其實最近的訊息很多
[26:06] 像在禮拜五他也傳出來
[26:07] 就是在紐約蓋了所謂的一個
[26:10] 1000億美元最大美國的半導體的投資案
[26:13] 做一個開工動土典禮
[26:15] 那預計2030年會要投產
[26:17] 那這個訊息出來之後
[26:18] 他的美光CEO去做一個相關的動土的開工
[26:21] 也講了很多
[26:23] 就說看起來這個所謂D-RAN的市況
[26:25] HBN的市況大概會缺到
[26:27] 所謂2027年
[26:28] 美光雖然說盡力滿足客戶的需求
[26:31] 但目前看起來
[26:32] 嚴重的供服營業球狀況
[26:34] 還是持續當中
[26:35] 搭配劉德英的訊息
[26:36] 那再搭配什麼
[26:37] 就禮拜天所謂的
[26:39] 利基電跟美光的一個
[26:41] 銅鑼廠的這個投資案
[26:43] 所以發現美光現在在大舉投資
[26:45] 過往大家發現到
[26:46] 海力士加速投產
[26:48] 美光加速投產
[26:49] 那記憶體應該很慘嘛
[26:51] 就是應該大家會覺得說
[26:52] 記憶體的視況會不好
[26:53] 但目前看起來這個市場的訊息都往正面去反映所以跟大家講說勢頭上來看的話記憶體當然是當中的一個強勢主曲那我們先從利基電開始看起因為他今天是直接跳空掌盈版
[27:05] 那第一件事情因為利基電還在處置交易
[27:07] 那預計是禮拜五1月23號要正式做一個正常的交易
[27:12] 所以今天的掌盈版有一點就是FOMO
[27:14] 因為大家算一下哇18億美元
[27:16] 貢獻這個利基電的EPS可能算起來非常可觀
[27:20] 然後接下來他因為跟美光
[27:22] 有所謂的一個代工的合作
[27:24] 所以大家覺得說
[27:25] 黃董下了一個非常好的棋
[27:28] 就把這個經營的風險
[27:29] 轉嫁給美光
[27:30] 那接下來我就穩穩的
[27:32] 像臺鉛一樣賺代工財就好了
[27:34] 那當然有些人會解讀說
[27:35] 長線來看
[27:36] 把你最有價值的這個資產
[27:38] 割出去到底是好還不好
[27:40] 但我覺得市場現在是
[27:41] 把它當作力度來解讀
[27:42] 所以目前來看
[27:44] 我覺得利基電
[27:44] 可能是這兩三天
[27:46] 大家觀察的重點指標
[27:47] 今天是掌鈴鎖柱都沒有開啟
[27:49] 那因為處置期間嘛
[27:50] 所以明天大家可以持續看一下
[27:52] 第一個早上8點45分
[27:54] 先看他的股票期貨
[27:56] 如果股票期貨沒有直接開場停的話
[27:58] 那明天可能就會有一個比較大的震盪風險
[28:01] 但是畢竟他是這個禮拜五才正常交易
[28:04] 我覺得比較大的一個觀察是
[28:06] 禮拜五正常交易當天
[28:08] 很多人這個先卡位的
[28:09] 先知道的
[28:10] 先上車的
[28:11] 會不會有比較大的賣壓
[28:12] 但短暫來看
[28:13] 我覺得看起來還算安全
[28:15] 那當然大家會說
[28:17] 相信黃董年底就懂
[28:19] 那網上有人就說
[28:20] 啊原來黃董的年底是農曆年啊
[28:22] 不是新曆年啊
[28:24] 也別這麼說
[28:25] 因為利基電在2025的年底
[28:27] 也算是漲了不少了
[28:28] 當然離他的新高點還很遠啊
[28:31] 對他
[28:31] 那去年年底
[28:33] 大家壓利基電會拉高坐賬
[28:35] 結果沒有
[28:36] 他我覺得去年底
[28:37] 他是有點壓回來啦
[28:38] 但沒關係
[28:39] 農曆年有這個
[28:40] 這個逆轉勝
[28:42] 我覺得都還算很好
[28:43] 所以利基電我覺得會比較偏向低價的代表
[28:45] 你看利基電上來
[28:46] 今天旺宏也跟著漲
[28:47] 最後也摸不著頭緒
[28:48] 那旺宏的第一多題材是什麼
[28:50] 但不管怎麼樣
[28:52] 就代表整個機體的視況
[28:53] 我覺得在今天盤面上
[28:55] 應該是有蠻多追價買盤進去的
[28:57] 那回到第二件事情
[28:59] 就是大家很期待南亞科的一個法說會
[29:01] 你如果今天去看
[29:03] 所謂的華邦店跟南亞科
[29:04] 同樣是在處事期間
[29:05] 南亞科尾盤掌心是鎖住的
[29:07] 那華邦店尾盤掌心是開啟的
[29:09] 所以代表說
[29:10] 大家是很期待下午南亞科的一個法說會的內容
[29:14] 但因為三點到四點才召開法說會
[29:16] 所以我們在錄音的這段時間裡面
[29:18] 還沒有看到他們的說法
[29:20] 我們只能夠從第四季公佈出來的財報裡面
[29:22] 去做一些解讀
[29:23] 第一個
[29:24] 因為在第四季法說會之前
[29:27] 我看了一些法人報告
[29:28] 有人估大概3塊7到4塊錢
[29:30] 因為看到那個合約價
[29:32] 12月份漲了更多
[29:33] 但是這一次我們大概可以看到
[29:35] 他們位元組出來的一些數字
[29:37] 他提到就是說
[29:38] 這個第四季整體的南亞科出貨量
[29:42] 大概激增低位數的10個百分點
[29:45] 代表他可能就是10到15%的出貨激增
[29:48] 那合約價部分的話
[29:49] 整個季的季增幅度是30%
[29:52] 其實比整體上
[29:53] 整個大家所估算的
[29:55] 第四季的合約價暴漲
[29:57] 有一定的落差
[29:58] 那我覺得這個
[29:59] 當然要等到法說會
[30:00] 我們可能要等到
[30:01] 四點之後
[30:01] 他們內容
[30:02] 應該會反而去問說
[30:03] 那為什麼你們跟
[30:04] 其他家的這個合約價
[30:05] 差這麼多
[30:06] 那我個人的解讀會是
[30:08] 可能南亞科跟他的
[30:09] 舊客戶的關係比較好
[30:11] 所以考量到
[30:13] 客戶關係的關係
[30:14] 不要漲得太多
[30:15] 這也是有可能的
[30:16] 對
[30:16] 所以你可以去查一下南亞科
[30:18] 既然第一季有出貨
[30:20] 而且是大概低百分
[30:22] 低十位數的百分比出貨
[30:24] 那臺灣模組場
[30:25] 如果拿比較多庫存的話
[30:26] 他們的漲價延續力道
[30:28] 我覺得第一季就有希望
[30:30] 那當然我覺得漲望比較重要
[30:32] 也就是說到底第一季
[30:33] 這個南亞科
[30:35] 他合約價的一個漲望是多少
[30:36] 我覺得可以觀察
[30:37] 那第二件事情
[30:38] 我們就要看財報內容
[30:39] 既然南亞科
[30:40] 我覺得漲價比較客氣一點
[30:42] 所以他的12月的一個位元組的獲利
[30:45] 我幫大家算了出來
[30:46] 就是說他整個第四季大概賺了3.58塊
[30:50] 但是11月份位元組是賺1.37塊
[30:53] 所以我算起來就是12月份
[30:55] 他如果是以單月來算
[30:57] 12月份大概是賺1.55元
[30:59] 但你會發現到南雅科10月是0.66
[31:02] 所以10月11月你會發現到
[31:04] 11月的1.37比0.66成長了一倍以上
[31:07] 那12月跟10月相比理論上價格漲更多
[31:10] 但反而位元組的獲利沒有多那麼多
[31:13] 所以這個當然就是
[31:14] 如果以現在我們看到的數字
[31:16] 不含法說會內容的話
[31:18] 我覺得明天南雅科如果再開高
[31:20] 那可能大家就要小心一下
[31:22] 可能會有或多或少的失望性賣壓
[31:24] 因為我覺得這個獲利數字
[31:26] 沒有想象的那麼好
[31:27] 是
[31:27] 好這個交給漢瑋哥判斷
[31:29] 因為我剛剛講了
[31:31] 我已經失去判斷力了
[31:32] 因為包括說
[31:33] 旺宏之前也漲到位元組
[31:35] 那賺四分錢很好嗎
[31:37] 市場我覺得很好
[31:38] 所以我講
[31:39] 我不會判斷
[31:40] 我只知道這個獲利最好的是群聯
[31:43] 對不對
[31:43] 那其實今天大漲
[31:45] 但也有點
[31:45] 2000關卡有點壓回啦
[31:47] 所以都是這樣子的
[31:49] 我寧願去怎麼講
[31:50] 剛剛講到的
[31:51] 那不然就找一些
[31:52] 含劑量
[31:53] 記憶體的量
[31:55] 比較大的ETF
[31:56] 或者說
[31:57] 像現在主動式操盤
[31:58] 我想他們也會慢慢的
[31:59] 在想辦法
[32:00] 看能不能再賺到
[32:01] 記憶體這一波等等的
[32:02] 可是漲到這邊
[32:03] 如果說今天哪顆的
[32:05] 法說出來
[32:06] 市場的反應
[32:07] 並不是那麼理想
[32:08] 那就要稍微小心一下下
[32:09] 那像我們剛剛也有在討論
[32:11] 模組場不是漲很多嗎
[32:12] 那平安漲很多對不對
[32:14] 那我們兩個都不約而同的說
[32:16] 可是平安的庫存量是比較少的
[32:18] 大家知道威剛和實權
[32:19] 都是第一名第二名的
[32:21] 差不了多少
[32:21] 就是所謂的資產
[32:23] 就是他們的庫存
[32:23] 跟他們的股本比來說
[32:25] 兩家都很高對不對
[32:27] 好那其他的話
[32:29] 我們如果要再找
[32:30] 例如說宇瞻
[32:31] 也稍微高一點
[32:32] 建立是一直保持一個
[32:33] 很穩定的庫存
[32:34] 大概就是庫存股本比
[32:36] 一倍多一點這樣
[32:37] 但平安相對比較少
[32:38] 可是因為我們都在漲平安
[32:40] 可能就是因為它的股價
[32:41] 就是幾十塊
[32:43] 所以有時候就不見得這麼有道理
[32:45] 像今天友達也噴
[32:46] 我就想說可是我們都知道
[32:48] 最近漲應該不是面板的報價
[32:49] 那友達在噴什麼
[32:50] 我自己聯想到的是
[32:51] 他其實在去年也有賣場給美光
[32:53] 不知道大家記不記得這件事情
[32:55] 那時候基體還沒漲
[32:56] 所以他賣場給美光的時候
[32:58] 大家就覺得那就是多了一筆收入而已
[33:00] 沒有想什麼
[33:01] 可是現在會不會有其他的影響
[33:02] 我不知道
[33:03] 因為他賣兩座場給美光
[33:04] 對
[33:05] 會不會有想說
[33:06] 會不會在基體上面有什麼合作
[33:08] 我不確定市場有沒有這樣的想法
[33:10] 但他有做這件事情
[33:12] 那群創是賣場給臺積電嘛
[33:14] 那他要做三出行封裝
[33:16] 這個跟大家分享過非常多次
[33:17] 好那今天盤中
[33:19] 大概就是這些族群
[33:20] 在PVP上游
[33:21] 剛剛講到
[33:22] 富橋也漲
[33:23] 可能獲利還沒開出來
[33:24] 但至少富橋還算是
[33:26] 我們比較知道
[33:27] 蠻正宗的坡遷部
[33:28] 在漲價升級的
[33:29] 如果說今天德宏建榮
[33:31] 都可以漲這麼多
[33:32] 對不對
[33:32] 那我覺得富橋
[33:33] 他只是籌碼上面
[33:35] 我覺得比較重
[33:36] 因為他是最早
[33:37] 可能大家會比較關注的
[33:38] 那德宏跟建榮
[33:39] 可能會漲到
[33:40] 大家不敢買
[33:41] 所以他超車富巧了
[33:42] 富巧就有點委屈了嘛
[33:44] 你要這樣子比
[33:45] 就有點委屈了嘛
[33:47] 那現在被關的像金居
[33:49] 我還是覺得金居應該是不錯
[33:51] 但是他的籌碼上面
[33:52] 一直被關一直被關一直被關
[33:53] 他就會有點被影響到
[33:54] 那他又不像記憶體
[33:56] 他就是金居龍科兩家
[33:57] 比較明確是在同博上面
[33:59] 所以他的族群性
[34:01] 就不見得會這麼強
[34:03] 那大家參考
[34:04] 那至於我一直跟大家分享說
[34:05] 這個錦縮一直爆爆爆爆到今天
[34:07] 但爆到今天呢
[34:09] 我也隨時覺得
[34:10] 怎麼講
[34:11] 即使今天是2026年的1月
[34:14] 婉婷說2026年
[34:16] 只是剛開始
[34:17] 2027年還會漲價
[34:18] 我都覺得我真的有點太燙了
[34:20] 抱不住了
[34:21] 對
[34:22] 我會有點不太確定
[34:23] 為什麼新興在這樣的股價上面
[34:25] 可以創歷史新高
[34:26] 但是
[34:26] 我記得我們也有跟大家分享
[34:28] 等到他們的EPS開出來
[34:30] 可能就不漲了
[34:31] 這個族群真的很煩
[34:32] 對
[34:34] 現在的話
[34:35] 相較之下
[34:35] 真的本益比都超高
[34:37] 可是他們往往會跌在EPS開出來的時候
[34:40] 所以我覺得這個也是
[34:41] 大家可以去考量的啦
[34:44] 就是操作這型別的族群
[34:46] 真的很辛苦
[34:46] 就是明明有好成績的時候
[34:48] 你就想怎麼好成績都不漲
[34:50] 對好成績就不漲咯
[34:51] 成績爛才會一直漲一直漲哦
[34:54] 最會漲的時候應該是說
[34:56] 他現在沒那麼爛了
[34:56] 其實他現在開出來很多營收
[34:58] 也都會是什麼近兩年近三年的新高嘛
[35:00] 就代表沒那麼爛了
[35:01] 可是他的營收還沒歷史新高
[35:03] 股價先歷史新高
[35:04] 是不是很詭異的一件事
[35:05] 是嗎
[35:06] 那就是有時候這些迴圈股的特質
[35:09] 就是長這個樣子
[35:11] 那當然我們還可以看到
[35:13] 像這個最近不管是歐洲有被克關稅
[35:15] 或者是像這個
[35:17] 我們覺得我們的關稅15%談定
[35:19] 那是不是對我們的工具機族群
[35:21] 這型別的跟歐洲有一定競爭的
[35:24] 會有一點點的優勢
[35:26] 因為這一塊的話
[35:27] 漢瑋哥也是對他們不離不棄
[35:28] 一直在觀察
[35:29] 對啊
[35:30] 因為剛剛提到高風險高報酬嘛
[35:32] 所以剛剛講記憶題
[35:33] 我們之前大概一兩個月前
[35:35] 跟大家講基底有參加獎可以參加
[35:37] 但我們現在參加的風險很高
[35:40] 所以儘量我覺得大家就是這種高風險
[35:42] 高報酬的股票
[35:43] 你就要先有一個設定停損的一個機制在裡面
[35:47] 所以所謂的這個PCB
[35:49] 甚至說載板族群
[35:51] 我覺得現在其實都面臨到比較高的風險
[35:53] 那你說為什麼現在這些所謂的
[35:55] 看起來也不開財報
[35:56] 股價能夠漲那麼多
[35:57] 就是因為我覺得現在是財報空窗期
[35:59] 營收也公佈完了
[36:00] 那接下來就是位元組
[36:01] 所以如果說是這個被列為注意股票
[36:04] 然後公佈位元組又很好的話
[36:06] 那我覺得當然就會有一些
[36:07] 所謂的後續的一個點火
[36:09] 跟想象的題材
[36:10] 那目前來看我們就講說
[36:12] 那你要避開這種高風險高報酬的
[36:15] 那你就要尋找一些低風險
[36:16] 那可能有高報酬的機會
[36:18] 那目前來看
[36:19] 我覺得當然工具機
[36:21] 甚至說這一次關稅之前受害的
[36:24] 那會不會轉為受惠
[36:25] 就工具機啊
[36:26] 然後傳產啊
[36:28] 汽車零元件啊
[36:29] 都是過去受到高關稅所苦
[36:31] 那我覺得現在看起來就有一些轉機性
[36:33] 那我們講工具機的部分
[36:35] 當然可以先看
[36:35] 你看今天盤面上
[36:36] 龍澤科先亮燈漲停板
[36:39] 那龍澤科就是去年
[36:41] 所謂關稅一開始
[36:42] 先修無薪假的這個廠商
[36:45] 所以我覺得代表說
[36:46] 當他也開始漲停板的時候
[36:47] 大家對所謂工具族群的付出
[36:49] 一定有比較高的一個期待性
[36:51] 那所以我覺得工具目前的
[36:53] 所謂的低風險高報酬怎麼來的
[36:56] 第一個是時間的風險降低了
[36:58] 因為他們已經大概將近一年沒漲過
[37:01] 所以大部分都已經整理到了末端
[37:03] 你看很多所謂的工具機的股票
[37:05] 現行一轉上來之後
[37:07] 它低檔的什麼軍線多頭排列
[37:09] 際線連線轉上彎
[37:11] 代表中企在轉強當中
[37:13] 第二件事情就是關稅的利多
[37:15] 那我們可以講說
[37:16] 在中美的對等關稅
[37:18] 談起來看起來是比日韓更好
[37:20] 那接下來我們講說
[37:21] 歐洲因為這一次的格林南的事件
[37:24] 所以有可能會被川普針對
[37:26] 那德國也是當中首當其衝
[37:28] 那德國有很多的工具機大廠
[37:30] 跟臺灣是有競爭的關係
[37:32] 所以目前臺灣可能就少了一個德國對手
[37:34] 剩下日本這個對手
[37:35] 那我覺得這個當然對於整體的
[37:37] 工具機族群來講有一個轉機性
[37:39] 所以我們常常在講說上癮
[37:41] 上癮不動
[37:42] 好像大家都不動
[37:43] 但上癮我覺得慢慢也轉強上來
[37:45] 雖然說還沒有過這個
[37:47] 四月份股災反彈的一個高點
[37:49] 但當它過高點之後
[37:51] 這個底行大概長達一年時間的底行
[37:53] 就已經完成
[37:54] 那我覺得這個對工具機族群來講
[37:56] 有一些指標性的示範意義
[37:58] 但像剛剛趙華所說的
[38:01] 現在大家喜歡的是低價股票
[38:02] 所以最近什麼喬福
[38:05] 建春
[38:06] 對建春
[38:07] 對啊
[38:08] 然後什麼百德
[38:09] 全球傳動
[38:10] 對全球傳動
[38:11] 這種越低價股票
[38:13] 我覺得動起來就越快
[38:14] 甚至說和大高峰
[38:16] 香港黨就是大家原本都很高期待性的股票
[38:19] 我覺得最近也都動起來了
[38:20] 所以你可以從這個族群當中去看
[38:23] 他們我覺得就具備所謂的低風險
[38:25] 高報酬的代表
[38:26] 因為他們離前低
[38:27] 其實沒有非常的遠
[38:29] 你破前低停損
[38:30] 好像都還可以承受
[38:31] 但上去離前坡高點
[38:33] 離上漲可能到年限
[38:34] 或說到這個前坡的套牢反壓
[38:37] 都還有很大的空間
[38:38] 所以你可以從這個方向去找
[38:40] 看起來有這樣的一個族群性存在
[38:42] 那甚至說你看到全場族群
[38:43] 最近的東洋
[38:44] 然後耿鼎 提威西
[38:46] 汽車林組建
[38:47] 對 那他們都具備代表
[38:48] 東洋其實位元組去年的第四季
[38:51] 也是交出應該是歷史次高的成績單
[38:54] 但股價還是非常委屈
[38:55] 所以我覺得你還是一樣
[38:57] 可以在盤面上
[38:58] 三萬一千點
[38:59] 三萬兩千點關卡的時候
[39:00] 可以根據你喜歡的
[39:02] 風險報酬比
[39:03] 去尋找當中的標的
[39:05] 那高風險高報酬股票
[39:07] 就是你可能很享受
[39:09] 一個禮拜可能兩三天
[39:10] 它都是強勢族群
[39:11] 那低風險高報酬股票的話
[39:13] 它可能就需要時間等待
[39:15] 但你去蹲點
[39:17] 我覺得都會有一些
[39:17] 不錯的一個表現
[39:18] 那比較擔心的是
[39:20] 大家去買那種
[39:21] 高風險低報酬的股票
[39:23] 那相對來看
[39:24] 你可能就要承擔
[39:25] 比較大的一個風險
[39:26] 就像之前的土方之亂的一個股票
[39:28] 它就是有一點類似這樣的情況
[39:30] 雖然說今天可林衛
[39:31] 又亮燈漲停板了
[39:33] 沒有漲停
[39:33] 好像漲6%多
[39:34] 對 盤中漲停
[39:36] 然後後來壓下來了
[39:37] 但這個我覺得就代表說
[39:39] 其實就回歸到
[39:40] 你當初在買這些股票的時候
[39:42] 要先有認知
[39:43] 它的題材到底是長線題材
[39:45] 還是短線題材
[39:47] 短線題材
[39:47] 你就是要以短線的思維去做
[39:49] 那很多人為什麼
[39:50] 前一波可能套到一些別的族群
[39:52] 就是因為
[39:52] 他可能把那些族群
[39:54] 當作一個長線題材來看待
[39:56] 所以忽悅他可能在短暫漲多之後
[39:58] 其實一旦跌下來
[39:59] 比較難回到之前的波段高點
[40:01] 所以我覺得簡單從這四類去劃分
[40:04] 目前來看高風險高報酬
[40:06] 有他的一個操作方法
[40:07] 低風險高報酬部分
[40:09] 但就是底部上的股票可以留意
[40:11] 那目前來看除了工具基礎群以外
[40:14] 我覺得同樣可以留意到
[40:15] 電力相關的族群
[40:17] 因為剛剛提到
[40:18] 現在的這個AI基礎建設
[40:20] 電力列為各家大廠的一個優先的要求那我們先從大股票開始看起臺達電那臺達電在上禮拜我又創歷史新高了所以臺達電一旦轉強那大家就會對於整個電力供應
[40:34] 這個族群
[40:34] 又更加有信心
[40:35] 雖然說這邊BBU
[40:37] 不是特別的強
[40:37] 但我覺得臺達電上來
[40:39] 大家可能也會去看
[40:40] 一些相關的個股
[40:42] 那我們會講說
[40:43] 現在流行低價嘛
[40:44] 所以金人寶集團
[40:45] 就變成當中
[40:46] 大家的喜好的標的
[40:48] 像金寶今天又創了
[40:50] 不斷的一個高點
[40:51] 那它是低軌衛星的題材
[40:53] 那人保就是跟著金寶上來之後
[40:56] 康書也上來了
[40:57] 也是所謂電力電源相關的一個題材
[40:59] 所以你大致上可以看到
[41:01] 就是說如果一些領頭羊出來
[41:03] 那股價位積又比較低
[41:05] 又是低價股的代表
[41:06] 我覺得動起來就會比較快
[41:08] 那另外一個
[41:09] 我覺得太陽能族群大家也可以看
[41:11] 我覺得上禮拜有跟大家講像碩和
[41:13] 那碩和上個禮拜應該到今天吧
[41:16] 大概有大概有三根漲停板
[41:18] 創了波段高點
[41:19] 那我覺得主要原因還是在於說
[41:21] 因為太陽能就是長期
[41:22] 大家覺得就是這個
[41:24] 放牛班的這個壞學生
[41:27] 那大家就喜歡在這種題材裡面
[41:29] 因為我們講說
[41:30] 你說資優生
[41:31] 好像沒有比臺建更資優的股票
[41:33] 所以比較起來
[41:35] 大家覺得放牛班的這種
[41:36] 所謂的逆轉勝
[41:37] 人生的這種所謂的
[41:39] 大轉機的股票
[41:40] 反而吸引到市場的一個焦點
[41:41] 所以我們這樣跟大家說的說
[41:43] 去年他的前瞻紀
[41:44] 就任意了8.7塊的虧損
[41:46] 正常人看到都不會想買這種股票
[41:48] 但他股價拉上來
[41:49] 你會發現到籌碼很輕
[41:51] 拉伸速度就非常快
[41:52] 那一樣說
[41:53] 我覺得大家今天應該已經
[41:55] 就是已經到了極度的
[41:57] 被異常注意的股票
[41:58] 有可能明天會被關
[42:00] 但當它上來之後
[42:02] 搭配原金的還是維持強勢
[42:04] 那整個所謂的太陽能出去
[42:05] 你看聯合再生一樣也賣場
[42:07] 股價也是一樣有發動
[42:09] 那我們講說就是你會看到
[42:11] 如果大家去尋找這種低風險高報酬的
[42:14] 這時候我覺得基本面
[42:15] 你可以稍微放到一邊去看
[42:17] 因為現在市場喜歡這樣的題材
[42:19] 所以同樣題材就發現到
[42:20] 今天也有這種
[42:21] 類似接到訂單的題材
[42:23] 像盛輝
[42:23] 對他一樣也接到大單
[42:25] 但股價先反而是不漲反跌
[42:27] 所以我覺得如果
[42:29] 半導體裝置這兩天都比較辛苦
[42:30] 對就是大家感覺是臺階天之後
[42:33] 獲利的賣壓還沒有
[42:35] 還沒有完全宣洩完畢
[42:36] 那我覺得也有點順勢壓盤
[42:38] 要吃貨的一個感覺
[42:40] 那但是目前來看
[42:42] 他們就不是盤面上的重點的族群
[42:44] 所以大家我覺得
[42:45] 從這個方向去看的話
[42:47] 但你到年底之前
[42:49] 你如果要做一些短線的
[42:50] 這種所謂的比較活潑的股票的話
[42:52] 有些時候可能要先把基本面放一邊
[42:55] 那如果說你真的很重視基本面
[42:56] 那就回歸到
[42:57] 目前盤面上金融族群
[43:00] 我覺得算是具備基本面
[43:01] 又是穩健的族群
[43:03] 對甚至說大家可以看到
[43:05] 最近的成交量那麼大
