[00:00] 欢迎收听赵怀谷货载第1138集
[23:00] 这个我不确定
[23:01] 但当然更好的是
[23:02] 当大家的期待都慢慢的降下来了
[23:04] 因为最近沙一波大
[23:05] 我看到也有人留言说
[23:06] 真的这两个月就是做白工
[23:08] 我本来六月就说
[23:09] 已经有点做白工了
[23:11] 现在七月到七月
[23:12] 14号7月中了
[23:14] 还是在做白工
[23:15] 还是在做白工
[23:17] 不错
[23:18] 我觉得整理的时间拉长
[23:20] 是真的有必要
[23:21] 我们太久没有遇到
[23:22] 整理这件事情了
[23:24] 对
[23:24] 我们以前就是
[23:25] 真的就是短短的
[23:27] 一两个月内你的事情
[23:28] 你的股票就会恢复上涨
[23:29] 但是现在不是嘛
[23:30] 现在这一个半月
[23:32] 两个月
[23:32] 可能很多人觉得做白工
[23:34] 其实反而是好事
[23:35] 我们以前常有一句话讲
[23:36] 股票市场里面
[23:37] 整理才是占了
[23:39] 绝大多数的时间
[23:40] 可是因为这件事情
[23:41] 从去年对等关税以来
[23:43] 它就被颠覆了
[23:44] 它就变成是
[23:45] 股票大部分时间
[23:46] 应该要上涨
[23:47] 应该要上涨
[23:49] 那很好
[23:51] 我们现在遇到了一个真理
[23:52] 但是另外一个好处是
[23:54] 我们要观察的是
[23:55] 基本面有没有改变
[23:56] 其实基本面一直
[23:58] 它都没有改变
[24:00] 它都没有变差
[24:01] 它一直都是越来越厉害
[24:03] 但是也因为估值涨高了
[24:05] 期待变高了
[24:07] 你会发现
[24:08] 缴出来的成绩再怎么好
[24:10] 你可能都麻痹了
[24:11] 我刚刚有跟小明说
[24:13] 其实六月营收创新高的家数
[24:15] 有将近180几家
[24:16] 如果你把新贵一些阿里布达加进来
[24:18] 可能有将近200家
[24:20] 创下营收的历史新高
[24:23] 而且这叫营收
[24:24] 如果你再去看
[24:26] 如果他们是外销产业
[24:27] 加上第二季的汇率
[24:29] 肯定
[24:29] 只要不要乱做什么汇率操作
[24:32] 肯定会对收益是会有的
[24:35] 所以等于第二季可能在三绿上面
[24:38] 还有很多的公司
[24:39] 也会缴出非常好的成绩
[24:40] 所以这件事情是棒的
[24:42] 就是基本上
[24:43] 根本就没有出现什么问题
[24:45] 那产业的问题
[24:47] 可能第一是
[24:48] 大家会对像光通讯
[24:49] 本来说2028量产没什么
[24:52] 现在觉得2028量产很严重
[24:54] 好
[24:54] 载板也会起起伏伏吗
[24:56] 因为载板我有跟大家分享
[24:58] 上半年还没有什么缺口
[24:59] 下半年明年缺口
[25:01] 才会日渐放大
[25:02] 涨价幅度才会拉高
[25:03] 那就看来买不买单
[25:05] 细金园今天盘面上还是很强
[25:07] 但细金园的惯性
[25:08] 如果大家去看环球金
[25:09] 涨五天休息
[25:11] 涨五天休息
[25:12] 现在刚好是在涨五天的范围
[25:14] 所以还是需要观察一下
[25:16] 被动元件
[25:18] 我觉得这个就有点符合
[25:20] 当初明翰来特地
[25:21] 而提面面一件事情
[25:23] 就是他们很吃势头
[25:25] 就今天势头上去的时候
[25:27] 大家真的叫做
[25:28] 我也不知道啊
[25:29] 怎么会涨到这样子
[25:31] 因为我们有讲
[25:32] 他们的营收不是没成长
[25:34] 可他们的营收成长
[25:35] 真的跟股价涨幅比起来
[25:36] 跟PCB完全不同世界
[25:38] 对PCB三位数的年增
[25:40] 他们可能就是
[25:41] 个位数的年增也在喷这样子
[25:43] 功率元件其实也是一样的
[25:45] 只是因为功率元件比较慢涨
[25:47] 所以他的筹码
[25:48] 现在看起来还是相对干净一些些
[25:50] 所以盘面上
[25:52] 如果我们的基本面没有变坏
[25:54] 那就是一个气势
[25:56] 或是情绪
[25:58] 或者是气氛上面
[25:59] 做一下估值修正
[26:01] 那就是酝酿着
[26:03] 刚刚小明讲的
[26:04] 暴力式反弹也好
[26:05] 或者重回上升轨道也好
[26:06] 因为这边我也在教大家一件事情
[26:09] 这个听到有福啦
[26:10] 因为我们说股票回档
[26:12] 大家都看到股价跌了
[26:14] 这个是一个事实
[26:15] 可是股价跌
[26:16] 我自己会把它分成三个不同的原因
[26:19] 或者我们说的这种想法
[26:21] 第一层叫做所谓的杀估值
[26:23] 什么叫杀估值
[26:24] 就是你前面涨太多
[26:25] 就像被动元件
[26:26] 或者是前面的大力光
[26:28] 前面的联发科
[26:29] 这个叫做杀估值
[26:30] 遇到这种所谓杀估值的股价回档
[26:33] 你反而要觉得开心
[26:34] 因为它的基本并没有改变
[26:36] 所以他反而透过股价的回跌以后
[26:39] 他的风险会变小
[26:40] 这种股票可以买
[26:41] 但是第二种就是所谓的杀营收
[26:43] 你营收公布出来不如预期
[26:45] 或者是甚至下滑
[26:46] 年减月减这种的
[26:48] 这种的回档修正就会比较严重一点
[26:51] 那你就要去严格盯紧
[26:53] 他在未来这几个月
[26:54] 或者是在未来下一季的财报
[26:56] 有没有真的出现了一个严重的转折
[26:59] 毛利率掉很多
[27:00] 或营收数字真的很明显
[27:01] 确定再也回不来了
[27:03] 这种的话股价可能反弹的力道
[27:05] 就会比较小
[27:06] 那第三种最严重
[27:07] 这个叫做杀逻辑
[27:08] 什么叫杀逻辑
[27:10] 就像是我们当初
[27:11] 在国际第一波涨上去
[27:12] 2016 2018那个时候
[27:13] 它涨上去的时候是说
[27:15] 被动元件大涨价大缺货
[27:17] 后面为什么股价会像是过山车
[27:19] 就是因为后面说
[27:20] 没有其实没那么缺
[27:21] 下游的库存塞满了
[27:23] 塞爆了我不再拉货了
[27:24] 所以是整个产业的逻辑改变
[27:26] 这种杀逻辑
[27:28] 那个超级恐怖
[27:29] 那种说你整个股价
[27:30] 会变成空头的形态
[27:32] 所以我们回过头来
[27:33] 第一个先看台股
[27:34] 我们现在到底是杀估值
[27:36] 还是杀营收
[27:37] 还是杀逻辑
[27:38] 很显然的一定是杀估值
[27:39] 因为刚才赵华讲了
[27:41] 200多家的上市柜公司
[27:42] 营收能够创新高
[27:44] 所以你营收是确定没问题的
[27:46] 那我们这波的逻辑是什么
[27:47] 是跟AI有关
[27:48] 所以AI的逻辑
[27:49] 它没有反转之前
[27:51] 我都不认为我们的这个故事
[27:52] 就是在这边就此打住
[27:54] 因此我就会把这一波的回涨修正
[27:56] 归类在是在杀估值
[27:58] 那既然这个逻辑是成立的
[28:00] 我就会说你跌得越深
[28:01] 你是不是就是可以逢低买的
[28:03] 一个好的一个进场点跟机会
[28:06] 那你放到产业上面也是一样啊
[28:08] 像光通你也要去检视
[28:10] 他到底是杀哪一个
[28:11] 被动元件是杀哪一个逻辑呢
[28:13] 他是杀哪一个部分
[28:14] 他是杀估值呢
[28:15] 还是杀营收还是杀逻辑
[28:17] 那你所有的产业
[28:18] 你把它一致排开来
[28:19] 你就可以去挑出
[28:20] 哪一些公司是真的被错杀
[28:23] 而且未来最有机会涨回去
[28:24] 现在就买他
[28:25] 好那我们来讨论吧
[28:26] 现在就买他
[28:28] 买谁
[28:28] 是我的话
[28:29] 好我们俩刚刚有先讨论了
[28:31] 对有先讨论
[28:32] 我觉得联发科不错
[28:34] 大力光也不错
[28:35] 安全牌
[28:37] 但都高价股
[28:39] 对高价股
[28:40] 那不然的话
[28:41] 我觉得像先进光也不错
[28:42] 而且说真的
[28:43] 大家买零股也OK
[28:44] 然后台达电叠到这个位置
[28:46] 我也很有兴趣
[28:47] 都是龙头
[28:48] 都是龙头
[28:49] 先以龙头为主
[28:50] 比较不会出事情
[28:52] 对不对
[28:52] 因为比较安全
[28:53] 然后产业也是明确的
[28:55] 法人的资金真的要回头
[28:57] 也会先买这些
[28:58] 好
[28:58] 然后因为电力相关的
[28:59] 我觉得确实这一波比较委屈
[29:01] 他们的位阶相对都已经先杀到比较低了
[29:05] 那国具呢
[29:07] 因为我跟你讲前两天你兄弟啊
[29:09] 艾伦跟我说
[29:11] 国具700我才要买
[29:12] 我说今天怎么就接近了
[29:14] 那时候900
[29:16] 两天就到了
[29:17] 其实国具我也有兴趣
[29:20] 到季限
[29:20] 但是我必须讲
[29:21] 因为之前大家听到我那边哀嚎卖废
[29:23] 所以我现在确实天天都在看
[29:25] 我天天都在看
[29:26] 我什么时候可以买回来
[29:28] 但我这人就这样
[29:29] 就有点紧张
[29:30] 而且发现主动式ETF有挺损他了啦
[29:32] 因为之前有些主动式有买
[29:34] 后来就卖掉
[29:35] 然后有一些是卖的还不错
[29:37] 像988其实还算早就把它卖掉
[29:39] 不过今天988也跌很惨
[29:40] 今天盘中我看到好像有到6%
[29:42] 有5%多6%
[29:43] 今天好多主动式ETF
[29:44] 又来了一个6%左右的跌势
[29:46] 跟贵买差不多
[29:47] 所以我有减
[29:49] 但我要讲的是
[29:51] 那你会考虑国际吗
[29:54] 会
[29:55] 那你要等到什么样的
[29:57] 已经七字头啦
[29:58] 严格来讲我觉得现在买
[30:00] 你不要说买贵
[30:01] 现在买我都觉得蛮便宜
[30:02] 因为就是国巨对我来讲
[30:04] 他在这一波
[30:05] 第一个他不会一波涨完
[30:06] 第二个我们就讲了
[30:07] 他的营收
[30:08] 说真的顶峰还没看到
[30:09] 甚至我连他顶峰会出现在
[30:11] 哪一个时间点
[30:12] 我都不知道
[30:12] 你要提前反应
[30:13] 我们也要先知道
[30:14] 他顶峰会出现在哪
[30:16] 所以如果国巨
[30:17] 我自己心里面的目标
[30:19] 或者是我的想法
[30:20] 他就算只上四位数的股价
[30:23] 你现在进去买
[30:24] 大概都还有20%的空间
[30:26] 那这种就是他跌的越深
[30:28] 你的安全边际就越大
[30:29] 那我们会认为季线是生命线
[30:31] 所以真的季线大家都会盯紧
[30:33] 可是你就要换另一个方式思考
[30:35] 如果当大家都想要在季线买国具的时候
[30:37] 股价真的会到季线吗
[30:39] 所以我可能就会用分批的方式
[30:42] 我把资金分成几份
[30:43] 那我真的对被动原先有兴趣
[30:45] 那里面我当然我还是很信仰基本面价值的
[30:50] 所以国具呢
[30:51] 我可能现在先买一点
[30:52] 那他如果真的开始越往季线靠
[30:54] 我再把资金分批投入
[30:55] 这个时候其实说真的啦
[30:56] 就算你现在买
[30:58] 我就说了700多块钱的国巨
[31:00] 800多块钱的国巨
[31:01] 能涨到1000涨到1200
[31:02] 甚至到法人的目标价看到1500
[31:05] 这段空间是蛮值得期待的
[31:08] 那如果你说真的看错的话
[31:10] 它跌破季线我就砍掉
[31:11] 那个风险是可以控制
[31:13] 所以我觉得现在的操作
[31:15] 手上有现金的投资朋友
[31:16] 你就是开始去逢低
[31:18] 去买一些我们讲的
[31:19] 你认为后面最有可能
[31:21] 先涨回去的股票
[31:22] 那这种价差空间
[31:23] 基本上都是20%起跳
[31:25] 那你会想要买矽晶元吗
[31:28] 因为它是强势的
[31:30] 细金元
[31:30] 因为刚刚讲弱势的
[31:32] 我们说了一拖拉裤都弱势
[31:33] 对
[31:34] 那你说细金元
[31:35] 我可能会放在比较后面一点
[31:36] 原因是因为我们一样看产业
[31:38] 你要说细金元
[31:39] 它真的有这个供需的缺口吗
[31:41] 其实
[31:42] 它有涨价
[31:43] 对它有涨价
[31:44] 但我必须先跟大家讲
[31:45] 第一个细金元会有一个叫做长约问题
[31:48] 什么叫长约问题
[31:49] 它只要一旦签长约了以后
[31:51] 后面涨价都跟它没关系
[31:52] 因为它就是用长约的价格去买
[31:54] 那现在的细金元也有同样的问题
[31:56] 它在过去几年的时候
[31:58] 包含2021年
[31:59] 也有拿到很多的长约
[32:01] 长约在这个行情不好
[32:04] 产业状况不好
[32:04] 景气不好的时候
[32:05] 是他们保护
[32:06] 可是当你今天
[32:07] 整个矽晶园在涨价的时候
[32:09] 这些长约又变成他们的累赘
[32:11] 所以我会觉得
[32:12] 矽晶园它的势头还在
[32:14] 因为它涨的时间
[32:15] 比较慢一点晚一点
[32:17] 所以等于是
[32:18] 它还有很多的空间
[32:20] 是可以去做反应
[32:21] 但是如果以产业的
[32:22] 基本面来讲的话
[32:23] 它不会是我现在
[32:25] 跌深的第一批首选
[32:27] 但你要说股价会涨吗
[32:28] 我认为它会涨
[32:29] 因为它的这个动能没有消掉
[32:31] 涨价的故事也还在延续
[32:32] 只是要我现在选
[32:33] 我会选那种基本面的能见度
[32:35] 真的比较高的公司
[32:37] 会是我最有兴趣的股票
[32:39] 好
[32:40] 想套我话对不对
[32:42] 今天没有啊
[32:43] 因为今天涨
[32:44] 今天我看到合金跌停板
[32:45] 对
[32:46] 其实我有想说
[32:47] 合金跌停板了
[32:48] 之前不是一直说什么
[32:49] 没有挂到吗
[32:50] 要不要去碰
[32:51] 可是我还是没碰
[32:52] 你没碰
[32:53] 因为我还是在信息里面
[32:54] 我们比较相信环球镜
[32:55] 对
[32:56] 再保险一点就是中美金
[32:57] 因为今天中美金尾盘超猛
[32:59] 今天中美金尾盘涨到9%多
[33:01] 我刚才看到
[33:02] 真的假的
[33:02] 对啊
[33:03] 我刚才看到中美金尾盘
[33:05] 拉到9%多
[33:05] 这也太离谱了
[33:06] 合金是跌幅收敛
[33:08] 但是我觉得合金的问题是
[33:10] 我觉得太多的散户朋友去买了
[33:12] 对
[33:13] 所以我觉得
[33:14] 虽然它后来也很强
[33:15] 拉到只跌1%多
[33:17] 对
[33:18] 但是我觉得散户朋友太多
[33:19] 这个事情我会觉得有点恐怖
[33:21] 就是说网络上太多人讨论了
[33:22] 因为它可能价位上
[33:24] 比较便宜近人一点点
[33:25] 环球金毕竟是千元股
[33:26] 对
[33:27] 但我自己的首选
[33:29] 还是环球金
[33:30] 然后我也可以理解
[33:31] 小明同学讲的
[33:32] 长约这个事情
[33:33] 但是长约这个事情
[33:35] 两个
[33:36] 一个就是虽然价格是降股
[33:37] 可是它的获利就稳定了
[33:39] 就比较不容易受到
[33:40] 后面景气波动的影响
[33:42] 毕竟现在定价格
[33:43] 应该相对是有利的
[33:44] 然后第二是
[33:46] 还是有毁约的可能性
[33:47] 对会有
[33:48] 因为其实在2021年
[33:49] 我们就有讲到
[33:50] 承受制程就有被毁约的问题
[33:51] 連店就有被一龍店毀約嘛
[33:53] 對沒錯
[33:54] 對 所以這個事情一翻兩瞪眼啦
[33:57] 如果後來價格真的跌得太多
[33:59] 可能還是會有人有毀約的問題
[34:01] 但目前看起來的話
[34:03] 勢頭是 矽見月勢頭是往上嘛
[34:05] 所以美光跟他簽長約也是正常的啦對也是正常的啦好 那業界我自己還是會比较注意的是记忆体我的记忆体不是说要去检查而是说记忆体造成的
[34:17] 大家的压力
[34:18] 到底什么时候可以舒缓
[34:19] 然后有没有解方
[34:21] 因为如果今天大家能够
[34:23] 舒缓于记忆体的缺货的时候
[34:25] 那就是记忆体倒霉的时候
[34:26] 对没错
[34:27] 所以这个恐怖平衡
[34:28] 我一直在观察
[34:29] 我自己是比较不会去
[34:32] 投资记忆体的股票
[34:32] 这个我想股货仔的朋友
[34:34] 已经听到烂掉
[34:34] 连骂都不想骂我了
[34:36] 但是并不代表
[34:39] 机体的获利不好
[34:40] 不过这个问题
[34:41] 是一直卡在我心里面的
[34:43] 就是说
[34:43] 今天我们要发展
[34:44] 其中有一个零组件
[34:45] 或是一个关键的东西
[34:47] 它非常的昂贵
[34:48] 贵到不行
[34:48] 它终究不会是一个长的趋势
[34:51] 它终究要有一些
[34:52] 终究要有一些替代方案
[34:54] 或是变通方案
[34:55] 所以这也是为什么
[34:56] 当韩国的这个总统李在明
[34:59] 说要扩产的时候
[35:00] 其实市场会对机体
[35:02] 有点害怕
[35:02] 因为觉得这个一扩下去
[35:04] 这个又会变成紧急循环股
[35:06] 当然因为以记忆体来讲的话
[35:08] 我跟你是一样的
[35:09] 我其实基本上这段时间
[35:10] 我大概从
[35:10] 就真的不太会做
[35:12] 对过年以后
[35:12] 我几乎都没有碰记忆体了
[35:14] 那我觉得最美好的时间
[35:16] 就留给股价最美好的时候
[35:18] 但是记忆体目前来讲
[35:20] 供需缺口
[35:20] 大家一定都看不到
[35:21] 然后对产业的想象
[35:22] 一定都很好
[35:23] 那我跟你的想法一样
[35:25] 我们真的不知道
[35:26] 产业的故事
[35:27] 那个逻辑
[35:28] 什么时候会出现拐点
[35:29] 或许基本面
[35:30] 不会这么快反应
[35:31] 你可能基本面
[35:32] 它现在你说要反应到
[35:33] 2028 2029
[35:34] Who knows
[35:35] 但是产业的逻辑
[35:36] 他真的忽然哪一天
[35:38] 一个利空说
[35:38] 我们记忆体
[35:39] 这地方扩产的速度
[35:41] 什么时候产能
[35:41] 会提前开出来
[35:42] 我会很担心的
[35:44] 就是这种鬼故事
[35:45] 三不五时就要来K我一下
[35:47] 那我干嘛没事
[35:48] 站在这边给他K
[35:49] 我可以有
[35:50] 其他的出路跟选择
[35:51] 所以我也确实是
[35:53] 比较不会碰记忆体的那一挂
[35:54] 那反而是现在
[35:56] 为什么我会特别去看
[35:57] 说台达店可以看
[35:58] 我不知道大家在周末
[36:00] 因为我自己会划TRADE
[36:01] 然后我也会去看
[36:02] 很多的那种产业
[36:03] 上面的分析
[36:04] 我发现上个礼拜周末
[36:06] 很莫名其妙
[36:07] HVDC的故事又开始来了
[36:09] 对股价还没反应
[36:10] 但我有看到
[36:11] 所以我会觉得
[36:12] 那是不是也有机会
[36:14] 那另外一个证据是
[36:15] 我不知道赵华还记不记得
[36:17] 我在达仁秀有分享过一档股票
[36:19] 7788
[36:20] 松川精密
[36:21] 你有背起来
[36:22] 7788
[36:23] 对很好背
[36:24] 然后你会看到他最近的股价
[36:25] 这几天在震荡
[36:26] 他是他每天都在涨
[36:28] 是
[36:28] 然后所以我会认为真的啦
[36:30] 这个就是我们在分享的一些公司
[36:32] 它的基本面跟产业
[36:34] 等于是我先做第一关的把关
[36:37] 它也确实六月份的营收
[36:39] 创历史新高
[36:39] 年增率也非常漂亮
[36:41] 那前面股价在跌什么
[36:42] 它就是在杀股值
[36:44] 所以它先涨回去
[36:45] 那我就觉得这套逻辑
[36:46] 既然我们已经看到了
[36:47] 有一些跟电力有关的零组件
[36:49] 已经涨上去
[36:50] 那台达电跟光宝科
[36:52] 这一组
[36:53] 我会觉得可能在七月的中下旬
[36:55] 是有机会给大家一个交代
[36:57] 好
[36:57] 给大家一个交代
[37:00] 其实七月通常是涨率高的啦
[37:04] 这个在历史上有统计
[37:05] 美股也是台股也是
[37:06] 所以先这样压一下
[37:08] 没有什么关系
[37:09] 那当然
[37:10] 我觉得还是同样一句老话
[37:12] 就是有人会说
[37:13] 我刚才看到一个留言说
[37:14] 虽然都是老生常谈
[37:16] 可是不晓得怎么赵华
[37:17] 讲起来就特别有道理
[37:18] 我也觉得有点老生常谈
[37:21] 因为还记得吗
[37:22] 上一次
[37:22] 刚好我自己在脸书留言
[37:24] 一个多月前
[37:25] 就是跟大家讲说
[37:26] 如果大家杠杆开得高
[37:28] 会给自己压力的
[37:29] 还是要记得去一下杠杆
[37:31] 不是每一次都会马上拉下一线
[37:33] 不是每一次都是破约线
[37:35] 马上会站回来
[37:36] 这个测验会随时来
[37:38] 我觉得测验随时来
[37:40] 大家开杠杆都不是问题
[37:42] 问题是
[37:43] 如果因为有一天这个测验
[37:45] 让你反而从这个市场毕业了
[37:48] 那个东西不容易回复
[37:52] 它会造成一个伤口
[37:54] 我们常常会讲说
[37:55] 我们身边有很多的很厉害的达人
[37:57] 看到小哥云翔哥
[37:58] 什么都资产归零过
[38:00] 我也有
[38:01] 好像很厉害的人
[38:03] 都一定要经历过资产归零
[38:05] 才能变成亿万富豪
[38:07] 可是不要
[38:09] 对可是不要
[38:10] 我个人真心建议不要
[38:12] 昨天不是有在聊吗
[38:14] 有人说
[38:14] 昨天这个因为获利回吐
[38:16] 就会产生到
[38:17] 已经严重到这种头痛
[38:19] 肚子痛
[38:20] 然后可能想要吐什么的
[38:21] 然后问我有没有这样的经验
[38:23] 我说我必须有很多
[38:24] 这种小不舒服的经验
[38:26] 我没有那么大不舒服
[38:27] 我没有大不舒服
[38:28] 资产规定肯定是大不舒服
[38:30] 那个真的是要骨骼清奇的人
[38:33] 可能才有办法浴火重生
[38:35] 其实那个都是
[38:36] 你看到已经浴火重生
[38:38] 在这边跟你侃侃而谈的人
[38:40] 有更多人是
[38:41] 可能搞到负债
[38:42] 可能搞到一辈子都不想要碰股票
[38:44] 可能搞到交代子子孙孙
[38:47] 这辈子我们家都不要碰股票
[38:48] 他已经变成甚至家里的困扰
[38:51] 加到中弱
[38:52] 因为父母亲非常爱乱玩股票
[38:54] 对
[38:54] 然后形成孩子的伤口
[38:56] 不用
[38:57] 对
[38:59] 就是你听到达兰这些经历
[39:01] 你会觉得
[39:02] 对啊没有关系
[39:03] 可是事实上发生在身上
[39:05] 是非常不OK的
[39:06] 我们都要做好风险管理
[39:08] 这个真的就是
[39:09] 因为我以前就是谨慎
[39:11] 谨慎的人也许真的不容易
[39:12] 变成什么少年股神
[39:14] 对少年股神一定都有赌性
[39:15] 坦白讲一定是这样子
[39:17] 或是有很厚的家底
[39:18] 那我不是
[39:19] 大家都知道我是大学
[39:20] 自己办公办读赚学费
[39:22] 父母很早就走了什么的
[39:23] 好慢慢起来
[39:24] 所以我对金钱是比较谨慎的
[39:26] 但是在谨慎中
[39:28] 如果你会做到风险管理
[39:29] 那你就不会离开投资市场
[39:31] 因为你会知道投资市场
[39:33] 绝对是你在本业之外
[39:34] 可以让你的财富跟选择权
[39:37] 加分的一个选项
[39:38] 对
[39:39] 所以我会希望大家
[39:40] 不要遇到这一种说很侥幸
[39:43] 反正之前看杠杆
[39:44] 都可以赚个好几倍
[39:45] 那些不开杠杆都很慢
[39:47] 或者羡慕别人
[39:48] 结果却在某一次
[39:50] 比较明显的回答
[39:51] 或是你选择重要的股票
[39:52] 就出场了
[39:54] 其实它就很可惜
[39:56] 投资真的是一个长线马拉松
[39:58] 对这中间稳定的获利
[40:00] 跟你安心的资产
[40:02] 可以放大这件事情才是重要的
[40:04] 你不要追求很高的报酬率
[40:06] 但是其实你的资产才一点点
[40:07] 你用几万块赚了几万块
[40:09] 没有意思的啦
[40:10] 你要用几百万赚到几百万
[40:12] 用几千万赚到几千万
[40:14] 虽然都是可能翻一倍
[40:16] 但是大的size才是有意义的
[40:19] 因为这个啊
[40:21] 我可以跟大家讲
[40:22] 确实真的不要让资产归零
[40:24] 因为资产归零很痛苦啦
[40:26] 这个虽然是老生常谈
[40:28] 但我自己的经验
[40:29] 那个时候你真的资产归零
[40:31] 甚至因为我那时候年轻
[40:33] 借信贷
[40:34] 还大额赔
[40:35] 想说那我要还多久才还得完
[40:37] 我那个时候最实际的
[40:38] 就是你会躺在床上
[40:39] 因为你不知道要干嘛
[40:40] 你好像觉得人生没有方向
[40:42] 我就看着天花板
[40:43] 我就在想说
[40:43] 那我这辈子是不是就这样了
[40:45] 就二几岁就这样想
[40:47] 二十几岁啊
[40:48] 然后因为你会觉得
[40:49] 二十几岁
[40:50] 然后你欠个几十万
[40:51] 感觉好像很多耶
[40:52] 很多耶
[40:53] 但是你后来仔细
[40:55] 想一想
[40:55] 真的留在市场
[40:57] 会让你有机会可以再翻身
[40:59] 然后这个就是我们讲的
[41:02] 你还是会有一些人
[41:03] 就是从此就离开市场
[41:04] 但我自己觉得我是幸运的那一个
[41:07] 那就是有成功
[41:08] 那我们有重新回来过
[41:10] 但就是这种经验
[41:11] 它一方面让你刻骨铭心
[41:13] 让你知道要做风险控制
[41:14] 但另一方面对你的健康
[41:16] 绝对不会是一件好事
[41:17] 你会畏食到逆流
[41:18] 然后你会头痛
[41:19] 真的会
[41:20] 然后你会觉得说
[41:21] 好像做什么事情都没劲
[41:23] 然后整个人卡在那边
[41:24] 那要避免这种事情
[41:26] 说真的
[41:26] 我跟赵华或我们很多达人
[41:28] 在这边苦口婆心
[41:30] 讲了老半天
[41:30] 真的会听进去的
[41:32] 我还是要讲
[41:32] 真的不会有太多人
[41:34] 因为人交人交不会
[41:36] 世交人一交就会
[41:38] 对
[41:38] 很多人真的要自己碰过
[41:40] 他才会知道
[41:41] 原来这样不可行
[41:42] 因为我也是那个
[41:43] 讲不听的人
[41:44] 以前都觉得
[41:44] 哪有什么问题
[41:45] 反正我凹单
[41:46] 我也会赚回来
[41:47] 可是真的就是碰到一次
[41:49] 那你会知道
[41:50] 不可以再这样子做
[41:51] 所以我们讲归讲
[41:53] 但就是反正
[41:54] 大家心里面有一个种子
[41:55] 那我觉得你就半信半疑
[41:57] 行情好的时候
[41:58] 就先当旁边放着嘛
[42:00] 但现在有波动
[42:02] 但还没有到真的大空头的时候
[42:04] 我觉得大家可以先慢慢的练习
[42:06] 怎么去做减压
[42:07] 跟把资金控制好
[42:09] 至少这件事情有做好
[42:10] 你就不会让自己变成
[42:12] 资产归零这样的最糟的状况
[42:14] 好
[42:15] 所以物极必反
[42:16] 对不对
[42:17] 当我们很乐观
[42:18] 觉得说再不买来不及的时候
[42:20] 他就会反转给你看
[42:21] 也要强调
[42:22] 这次的反转不是因为任何的黑天鹅
[42:25] 是以知之事实
[42:27] 就是一直提到的韩国美国
[42:30] 我们都希望大家不要过度杠杆
[42:33] 这件事情
[42:34] 前两天不是央行总裁杨金龙
[42:36] 我那天还口误
[42:37] 我还说成彭金龙
[42:38] 抱歉抱歉
[42:39] 我们现在金龙关很多
[42:41] 央行总裁杨金龙也有出来讲
[42:44] 就有提到说
[42:46] 他觉得AI的发展
[42:47] 倒也没有到泡沫或估值过高的太大问题
[42:50] 他觉得问题还是在杠杆
[42:52] 央行总裁都出来跟你讲了
[42:54] 然后韩国央行都告诉你
[42:55] 在这样我要升息了
[42:57] 我希望大家不要杠杆
[42:58] 大家都这样说了
[43:00] 那美国呢
[43:01] 其实我们也讲过一件事情
[43:02] 就是华许不管他上任后
[43:05] 要不要遵循川普的意志
[43:06] 要不要因为通膨要升息
[43:08] 他至少已经先做一件事情
[43:09] 就是减少购债
[43:11] 就是有统计的话
[43:13] 从4月5月开始
[43:14] 美国是有减少跟市场上
[43:16] 就是买债这件事情的
[43:18] 所以资金紧缩
[43:19] 他本来就是这两三个月
[43:20] 我们有看到的现实
[43:22] 它现在只是效果
[43:24] 有点跑出来了
[43:25] 那大家就小心一点嘛
[43:27] 自己就杠杆收一下
[43:28] 可是不用到非常的悲观
[43:31] 也没有必要
[43:32] 刚刚讲了
[43:32] 基本面的状况
[43:33] 还是非常的理想
[43:34] 7月的下旬
[43:36] 会有非常多的
[43:37] 重量级的美股财报
[43:38] 要公布
[43:39] 我相信他们
[43:40] 结出来的财报跟展望
[43:41] 依旧是好的
[43:42] 当然这边
[43:43] 但书要讲在前面
[43:44] 假如有某一家
[43:45] 这个云端伺服器大厂
[43:47] 告诉你
[43:47] 它的展望突然变悲观了
[43:48] 这就是很严重的事
[43:50] 对
[43:50] 目前当然看到的都没有
[43:52] 已知的财报
[43:53] 看到的数据
[43:55] 未知的
[43:56] 我们目前都还是站在
[43:57] 比较乐观向上的方向
[44:00] 所以今天我依旧视为
[44:02] 机会大于危机
[44:04] 对
[44:05] 危机是大家把钱用光了
[44:07] 危机是没有办法挺过去
[44:08] 大的波动
[44:09] 这件事情我觉得
[44:11] 是要再度的跟大家提醒的
[44:13] 那确实
[44:14] 反正我们最后的结论
[44:16] 就是大家保持乐观
[44:17] 一起乐观
[44:18] 反正只要台股
[44:19] 能够再创历史新高
[44:20] 现在挺过去的人
[44:22] 应该后面你能够赚多少回来
[44:25] 就是取决于你现在手上
[44:27] 有多少的资金可以去运用
[44:29] 或者是你选的产业跟个股
[44:31] 因为到下半年操作难度一定会变高
[44:34] 跟上半年这种什么东西都乱长一通
[44:36] 我个人判断是会很不一样
[44:39] 所以下半年的话
[44:40] 我们要去专注在那些
[44:41] 真的营收能够被市场验证
[44:43] 或者是他的story
[44:44] 能够被市场验证的这些公司
[44:47] 这些公司跌下来才是真的有价值
[44:49] 那有些投机的公司跌下来
[44:51] 股价可能就一去不复返
[44:52] 所以就考验大家在上半年
[44:55] 赚到钱很开心
[44:56] 也帮大家开心
[44:57] 下半年认真做功课
